tandus.siuisum	tandus . si uisum
.cibisdelicatioribusuti	. cibis delicatioribus uti
cogerentur.Iobqueabstinentiasubditi:prelatiiudicio.	cogerentur . Iob que abstinentia subditi : prelati iudicio .
sicutprediximusdebetapprobari.celestisenimmagistermunus	sicut prediximus debet approbari . celestis enim magister munus
illudgratiusacceptabit.quodsubditus	illud gratius acceptabit . quod subditus
nonarbitrioproprieuoluntatissedimperiopresidentis:obtulerit.	non arbitrio proprie uoluntatis sed imperio presidentis : obtulerit .
cordisetiamcompunctiosuoternarioconsecrataest.habetenim	cordis etiam compunctio suo ternario consecrata est . habet enim
lacrimarumprofusionem.orisconfessionem.etoperiscorrectionem	lacrimarum profusionem . oris confessionem . et operis correctionem
.necessariumprorsusest	. necessarium prorsus est
utoculihucusque	ut oculi huc usque
pleniconcupiscentiis:eternumfletumlacrimistemporalibuspreueniant	pleni concupiscentiis : eternum fletum lacrimis temporalibus preueniant
.etquiper	. et qui per
illicita:noxiacuriositate	illicita : noxia curiositate
consueueranteuagari	consueuerant euagari
.necauanitatererumtemporaliumsepenitusauertant	. nec a uanitate rerum temporalium se penitus auertant
.necplangerecessetoculis	. nec plangere cesset oculis
.quodilliciteconcupiuitanimus	. quod illicite concupiuit animus
.sordesenimanime:lacrimecompunctionisabluunt	. sordes enim anime : lacrime compunctionis abluunt
.etinhabundantiaprofluentes.ignemgehenne.impiis	. et in habundantia profluentes . ignem gehenne . impiis
etpeccatoribusdeputatum:uelutimpetustorrentis:extingunt	et peccatoribus deputatum : uelut impetus torrentis : extingunt
.orisautemconfessiocompunctionicordisindubitatum	. oris autem confessio compunctioni cordis in dubitatum
gerittestimonium	gerit testimonium
.Inpuraenimconfessione	. In pura enim confessione
:perfectecontritionisperpenderesolemuseffectum.	: perfecte contritionis perpendere solemus effectum .
hecinquamconfessiospiritualiumestmedicinauulnerum.sinequa	hec inquam confessio spiritualium est medicina uulnerum . sine qua
nonestsalusanimarum.sicuteniminecclesiaste	non est salus animarum . sicut enim in ecclesiaste
scriptumest.Quiabsconditscelerasua:nondirigetur	scriptum est . Qui abscondit scelera sua : non dirigetur
.quiautem	. qui autem
confessusfuerit	confessus fuerit
etdimiseritea:	et dimiserit ea :
ueniamconsequetur.sedattendendum	ueniam consequetur . sed attendendum
.quiaquatuor	. quia quatuor
suntque	sunt que
uirtutemuereconfessioniseneruantetinpediunt	uirtutem uere confessionis eneruant et inpediunt
.uidelicet.pudor.ettimor.spes	. uidelicet . pudor . et timor . spes
.etdesperatio.	. et desperatio .
pudor:uirtutemuereconfessionisimpedit.dum	pudor : uirtutem uere confessionis impedit . dum
peccatorumscelerasuagrauia	peccatorum scelera sua grauia
etignominiosaesseconsiderans.	et ignominiosa esse considerans .
inseipsoconfunditur.etpreconfusionespiritus	in se ipso confunditur . et pre confusione spiritus
:eaconfiterierubescit.talibusdicitapostolus.Quem	: ea confiteri erubescit . talibus dicit apostolus . Quem
fructumergohabuististunc.in	fructum ergo habuistis tunc . in
quibusnuncerubescitis:antiquo	quibus nunc erubescitis : antiquo
etiametusitatoprouerbiodicisolet.quia	etiam et usitato prouerbio dici solet . quia
peccatauestera.nouampariuntconfusionem.	peccata uestera . nouam pariunt confusionem .
nonillaminquamconfusionem.dequascriptum	non illam inquam confusionem . de qua scriptum
est.estconfusioadducensgloriam.sedillam	est . est confusio adducens gloriam . sed illam
dequadicitur.	de qua dicitur .
estconfusioadducens.peccatum.talisenim	est confusio adducens . peccatum . talis enim
confusiopeccatumadducit.non	confusio peccatum adducit . non
adimit.quiaquodperostensionemdeleredebuerat:per	adimit . quia quod per ostensionem delere debuerat : per
occultationem.magisaugmentat.audiatquesoqui	occultationem . magis augmentat . audiat queso qui
sicconfunditur.etdiligenter	sic confunditur . et diligenter
attendatuerbumilludbeatiiob.memoria	attendat uerbum illud beati iob . memoria
dignum.etad	dignum . et ad
hiusmodiconfusionempenituseliminandam.summenecessarium.	hiusmodi confusionem penitus eliminandam . summe necessarium .
sicutinquit	sicut inquit
nubesconsumituretpertransit:	nubes consumitur et per transit :
sicquidescenditadinferosnon	sic qui descendit ad inferos non
ascendet.	ascendet .
necreuerenturultra	nec reuerentur ultra
indomumsuam.neque	in domum suam . neque
cognosceteum.amplius	cognoscet eum . amplius
locuseius.Quapropteretego	locus eius . Qua propter et ego
nonpareamori	non paream ori
meo.loquarintribulationespiritusmei	meo . loquar in tribulatione spiritus mei
.confabulaborcumamaritudineanimemee.super	. confabulabor cum amaritudine anime mee . super
heclocumsic	hec locum sic
aitbeatusgregorius	ait beatus gregorius
.orisuo	. ori suo
parcit.quiconfiterimalum	parcit . qui confiteri malum
quodfeciterubescit.	quod fecit erubescit .
Inlaboremueroosmittit:qui	In laborem uero os mittit : qui
adconfessionem	ad confessionem
osaperit	os aperit
.timoretiaminordinatius.uirtutemconfessioniseuacuat.	. timor etiam inordinatius . uirtutem confessionis euacuat .
dumpeccatorpropriefragilitatimetuens.onussatisfactionispropeccatis	dum peccator proprie fragilitati metuens . onus satisfactionis pro peccatis
suissubireformidat.	suis subire formidat .
Dehuiusmodi	De huiusmodi
inlibroiobscriptumest.	in libro iob scriptum est .
Quitiment	Qui timent
pruinam.irruetsupereosnix	pruinam . irruet super eos nix
.scitisquia	. scitis quia
nixruitde	nix ruit de
superioribus.pruinauerocongelescitinferius.per	superioribus . pruina uero congelescit inferius . per
pruinamigiturpenatemporalisettransitora.perniuem	pruinam igitur pena temporalis et transitora . per niuem
uerodesignatureterna.undeineodemlibroiobde	uero designatur eterna . unde in eodem libro iob de
reprobisscriptumest	reprobis scriptum est
.transibunt	. transibunt
abaquisniuiumadcaloremnimium	ab aquis niuium ad calorem nimium
.Etinprouerbiis	. Et in prouerbiis
.demuliere	. de muliere
forti.uidelicetecclesia.	forti . uidelicet ecclesia .
dicitur.non	dicitur . non
timebitdomuisueafrigoribusniuis.Omnesenimdomestici	timebit domui sue a frigoribus niuis . Omnes enim domestici
eiusuestitisuntduplicibus.	eius uestiti sunt duplicibus .
rectoergodictumest.Quitimentpruinamirruetsuper	recto ergo dictum est . Qui timent pruinam irruet super
eosnix.quia	eos nix . quia
quipenamtemporalemprosatisfactionepeccatorumsubiremetuunt	qui penam temporalem pro satisfactione peccatorum subire metuunt
:infuturodistrictumdeiiudiciumexcipient.quod	: in futuro districtum dei iudicium excipient . quod
euaderenonualebunt.hincetiamsalomonait.Qui	euadere non ualebunt . hinc etiam salomon ait . Qui
obseruatuentos:nonseminat.hocest	obseruat uentos : non seminat . hoc est
quipenitentietemporalis	qui penitentie temporalis
laboremsubirerefugit	laborem subire refugit
:fructusbonorum	: fructus bonorum
operuminfuturauita	operum in futura uita
percipiendos:inpresentinonmultiplicat.	percipiendos : in presenti non multiplicat .
similiter.spesuirtutemconfessionisminuit.dumpeccator	similiter . spes uirtutem confessionis minuit . dum peccator
commodumtemporaleconsequidesiderans	commodum temporale consequi desiderans
.illispenitusoccultatur.aquibus	. illis penitus occultatur . a quibus
effectumreiconcupitelatenterobtinerenititur.nesi	effectum rei concupite latenter obtinere nititur . ne si
fortepeccatumquodlatet:inconfessione	forte peccatum quod latet : in confessione
detegat:afructuspeiconcepteuacuusomninoremaneat	detegat : a fructu spei concepte uacuus omnino remaneat
.quiaquodadipiscidesideratperstudiumcupiditatis	. quia quod adipisci desiderat per studium cupiditatis
:nonestdignusassequi.meritoiniquitatislatentis	: non est dignus assequi . merito iniquitatis latentis
.Desperatio	. Desperatio
etiamuirtuticonfessionisobuiat.dum	etiam uirtuti confessionis obuiat . dum
peccatorscelerumsuorummultitudinem.magnitudinem.diuturnitatemconsiderans.	peccator scelerum suorum multitudinem . magnitudinem . diuturnitatem considerans .
deipsisapuddeumueniamseconsequiposse	de ipsis apud deum ueniam se consequi posse
desperat.Quorum	desperat . Quorum
similitudinemgessitcaynillemaledictuscumait.maior	similitudinem gessit cayn ille maledictus cum ait . maior
estinquitasmeaquamutueniammerear.Et	est inquitas mea quam ut ueniam merear . Et
detalibusalibiscriptumest.Impiuscuminprofundum	de talibus alibi scriptum est . Impius cum in profundum
uenerit:contempnit.contemptus	uenerit : contempnit . contemptus
enimdesperationemgenerat.desperatioautem:	enim desperationem generat . desperatio autem :
spemquauiuimus.etadcelestiasubleuamur:	spem qua uiuimus . et ad celestia subleuamur :
penituseliminat.Exclusisigiturhis	penitus eliminat . Exclusis igitur his
quatuorqueconfessionis	quatuor que confessionis
euacuantmeritum.iiii.alia	euacuant meritum . iiii . alia
diligentiusattendamus.	diligentius attendamus .
queinconfitentibus	que in confitentibus
perfectionisoperanturaugmentum.perfectaautemeritconfessio	perfectionis operantur augmentum . perfecta autem erit confessio
:sinuda.siintegra.	: si nuda . si integra .
sifidelissit	si fidelis sit
etordinata.nudaestconfessioqueuerborumfoliisnon	et ordinata . nuda est confessio que uerborum foliis non
palliatur.integra:queperpartesnondiuiditur	palliatur . integra : que per partes non diuiditur
.stultumestenimut	. stultum est enim ut
scripturaait.	scriptura ait .
dimidiamsperareueniam.immoinconfessionediuidere	dimidiam sperare ueniam . immo in confessione diuidere
peccata:semperestcarereuenia.fidelisautem	peccata : semper est carere uenia . fidelis autem
eritconfessio.si	erit confessio . si
isquiconfitetur.piamde	is qui confitetur . piam de
remissionepeccatorum	remissione peccatorum
fiduciamconcipiat.ordinata:siprelato	fiduciam concipiat . ordinata : si prelato
suo.nonalii.culpassuas	suo . non alii . culpas suas
humiliterexponendodeplangat.Illiuseminestadhibere	humiliter exponendo deplangat . Illius emin est adhibere
remedium.quiincurasusceperegrotum.	remedium . qui incura susceper egrotum .
Orisconfessionemsequitur	Oris confessionem sequitur
operiscorrectio.queinobseruationemandatorumdei	operis correctio . que in obseruatione mandatorum dei
consistitetperseuerantia.ut	consistit et perseuerantia . ut
peccatorcreatorisuoreconciliaridesiderans:declineta	peccator creatori suo reconciliari desiderans : declinet a
malo.etfaciatbonum.etin	malo . et faciat bonum . et in
bonoopereusquein	bono opere usque in
finemperseuerans.	finem perseuerans .
asupernoremuneratore	a superno remuneratore
salutiseterneconsequaturpremium.Qui	salutis eterne consequatur premium . Qui
enimperseuera	enim perseuera
ueritusquein	uerit usque in
finem:hicsaluuserit.cruxetiam	finem : hic saluus erit . crux etiam
penitentis.sicutprediximusconsistitin	penitentis . sicut prediximus consistit in
iniuriarumremissione.scitisquia	iniuriarum remissione . scitis quia
irrogareiniurieintusanimumcruciant.forismanum	irrogare iniurie intus animum cruciant . foris manum
aduindictamprouocant.undequiinsepeccantibusex	ad uindictam prouocant . unde qui in se peccantibus ex
cordedimittit.crucemproprieuoluntati:	corde dimittit . crucem proprie uoluntati :
uindictamproiniuriisillatisexpetenti:quodammodouiolenterimponit.	uindictam pro iniuriis illatis expetenti : quodammodo uiolenter imponit .
adhanccrucemsaluatornosinuitatdumpeccatoresipsumin	ad hanc crucem saluator nos inuitat dum peccatores ipsum in
iniquitatibussuisincessanterexacerbantes	iniquitatibus suis incessanter exacerbantes
.nonsolumpatientersustinet	. non solum patienter sustinet
.sedetiampenitentibus:ueniamremissionis.clementia	. sed etiam penitentibus : ueniam remissionis . clementia
suepietatisindulget.cuiusindulgentietriplicemgratiam.	sue pietatis indulget . cuius indulgentie triplicem gratiam .
totadeuotionerecolendam.diligentissimedebemusattendere.sicenim	tota deuotione recolendam . diligentissime debemus attendere . sic enim
plenariammisericorsetmiseratordominus	plenariam misericors et miserator dominus
penitentibuslargiturindulgentiam.ut	penitentibus largitur indulgentiam . ut
deincepsnecdampnetulciscendo.nec	deinceps nec dampnet ulciscendo . nec
confuendatinproperandonecminus	confuendat inproperando nec minus
diligat.inputando.audianthoc	diligat . inputando . audiant hoc
quesoclaustrales.	queso claustrales .
etardentius	et ardentius
imitaristudeant.	imitari studeant .
suntenim	sunt enim
quidamqui	quidam qui
siqualibetoccasionelesi	si qualibet occasione lesi
fuerint:donant	fuerint : donant
fortassisiniuriam:sedquod	fortassis iniuriam : sed quod
omninoremisisseiusisunt:frequentiusinproperarenon	omnino remisisse iusi sunt : frequentius inproperare non
uerentur.suntetaliiquietsi	uerentur . sunt et alii qui et si
postacceptasiniuriassileant.rancoremtamenincessanter	post acceptas iniurias sileant . rancorem tamen incessanter
urentemseruantinanimomanetaltamenterepositum	urentem seruant in animo manet alta mente repositum
.siquiddictumuelfactumfuerit	. si quid dictum uel factum fuerit
.undeipsisoffensionismateria.scandalioccasioprestitauideatur	. unde ipsis offensionis materia . scandali occasio prestita uideatur
.adeoutgraueseisetiamaduidendum.	. ad eo ut graues eis etiam ad uidendum .
quizeloreligionisetdiscipline:excessuseorumcorrectione	qui zelo religionis et discipline : excessus eorum correctione
dignos.uellenireprehensionenotauerint.contrahosbene	dignos . uel leni reprehensione notauerint . contra hos bene
inecclesiastico	in ecclesiastico
scriptumest.homohominiseruat	scriptum est . homo homini seruat
iram.et	iram . et
adeoqueritmedelam:	a deo querit medelam :
longeabhiisest	longe ab hiis est
diuinemiserationisbenignissimaliberalitasquesicindulgetplenarie:	diuine miserationis benignissima liberalitas que sic indulget plenarie :
utpeccatoressedpenitentes.non	ut peccatores sed penitentes . non
solumareatu	solum a reatu
preuaricationisclementer	preuaricationis clementer
absoluat.sedethabundantiore	absoluat . sed et habundantiore
dilectioniscumulo.ingratiamdulcissime	dilectionis cumulo . in gratiam dulcissime
familiaritatisadmittat.probathocpetrusapostolusconscius	familiaritatis admittat . probat hoc petrus apostolus conscius
secretorumdei.cuiposttrinamnegationem:commissa	secretorum dei . cui post trinam negationem : commissa
estuniuersalisecclesiecustodia.probat	est uniuersalis ecclesie custodia . probat
hocidemfamosissima	hoc idem famosissima
peccatrixinqua	peccatrix in qua
sicutscriptum	sicut scriptum
est.postquamhabundauitpeccatum:superhabundauitetgratia	est . postquam habundauit peccatum : super habundauit et gratia
.crucem	. crucem
latronisinsultantis	latronis insultantis
.penamperhennempeccatorisessediximus.	. penam perhennem peccatoris esse diximus .
finaliterinmaloperseuerantis.Etheccruxquatuorin	finaliter in malo perseuerantis . Et hec crux quatuor in
sebrachia	se brachia
continet.uidelicetuermemconscientie.horroremgehenne.	continet . uidelicet uermem conscientie . horrorem gehenne .
tenebrarumcaliginem	tenebrarum caliginem
.penarumacerbitatem	. penarum acerbitatem
.Deuermeconscientiescriptum	. De uerme conscientie scriptum
estineuangelio.simul	est in euangelio . simul
etinysaia.uermis	et in ysaia . uermis
eorumnonmorietur.Quodlicetplanumsitadlitteram	eorum non morietur . Quod licet planum sit adlitteram
:tamenad	: tamen ad
accusationemremordentisconscientie:recte	accusationem remordentis conscientie : recte
retorquetur.	retorquetur .
quantumadspiritalemintelligentiam.Dehorroregehenne	quantum ad spiritalem intelligentiam . De horrore gehenne
inlibroiob	in libro iob
scriptum.ubiumbramortis.etnullus	scriptum . ubi umbra mortis . et nullus
ordo.sedsempiternus.horrorinhabitans.tenebrarum	ordo . sed sempiternus . horror inhabitans . tenebrarum
caliginem.sermoexprimiteuangelicus.ubidicit	caliginem . sermo exprimit euangelicus . ubi dicit
.mittenturintenebras	. mittentur in tenebras
exteriores.penarumacerbitatem:ubisubiungit	exteriores . penarum acerbitatem : ubi subiungit
.Ibierit	. Ibi erit
fletusetstridordentium.caueamusdilectissimi	fletus et stridor dentium . caueamus dilectissimi
fratresnehuiccrucipeccatisnostris	fratres ne huic cruci peccatis nostris
exigentibuseternaliteraffigamurcarnalesconcupiscentiasuoluntariacastigationecohibentes.	exigentibus eternaliter affigamur carnales concupiscentias uoluntaria castigatione cohibentes .
temporaliterpotiusmaceremur.quamsuppliciisdeputemureternis.et	temporaliter potius maceremur . quam suppliciis deputemur eternis . et
sicrucemchristi.cruceminnocontie	si crucem christi . crucem innocontie
.utpotereietnocentesbaiularenonpossumus:	. ut pote rei et nocentes baiulare non possumus :
saltemcrucempenitentie	saltem crucem penitentie
.quenos	. que nos
abeternocruciatuliberet	ab eterno cruciatu liberet
:diebusistisprecipue.nobisassumamus.Qui	: diebus istis precipue . nobis assumamus . Qui
enimchristisunt.carnemsuamcrucifixerunt.	enim christi sunt . carnem suam crucifixe runt .
cumuiciiset	cum uiciis et
concupiscentiis.obseruandumnobisest.utchristisimus.	concupiscentiis . obseruandum nobis est . ut christi simus .
etcarnem	et carnem
nostramcum	nostram cum
uiciiset	uiciis et
concupiscentiiscrucifigamus.multienimcarnemsuamcrucifigunt.	concupiscentiis crucifigamus . multi enim carnem suam crucifigunt .
ettamenchristinonsunt.	et tamen christi non sunt .
utpoteexoperibussuisquerectauidentur:	ut pote ex operibus suis que recta uidentur :
humanamstudiosiusappetuntgloriam.sedtanquamfatueuirgines	humanam studiosius appetunt gloriam . sed tanquam fatue uirgines
obeuminuasisnonhabentes:	ob eum in uasis non habentes :
uacuamuirtutibushabent	uacuam uirtutibus habent
conscientiam.	conscientiam .
lucentquidem.sed	lucent quidem . sed
nonardent.quiperlucembonorum	non ardent . qui per lucem bonorum
operum:forissimulantuiteperfectionem.sedintus	operum : foris simulant uite perfectionem . sed intus
ignecaritatisnonaccendunturadsalutem.utigiturfructuosa	igne caritatis non accenduntur ad salutem . ut igitur fructuosa
sitcarnisnostremortificatioexterioriconuersationiconcordetinterior	sit carnis nostre mortificatio exteriori conuersationi concordet interior
mentisintentio.utsicopera	mentis intentio . ut sic opera
nostraluceant	nostra luceant
coramhominibus:quatinusetilliperomnia	coram hominibus : quatinus et illi per omnia
placeamus.quicordiumscrutatorest	placeamus . qui cordium scrutator est
intimus.Iehsuchristusdominusnoster	intimus . Iehsu christus dominus noster
.cuiusregnumetimperium.	. cuius regnum et imperium .
permanetinsecula	permanet in secula
seculorum.amensermoIngeneralicapitulo	seculorum . amen sermo In generali capitulo
Egosumpastorbonus.	Ego sum pastor bonus .
quipascoouesmeas	qui pasco oues meas
.etproouibusmeisponoanimammeam.	. et pro ouibus meis pono animam meam .
necessariumfueratfatresetpatresdilectissimi.	necessarium fuerat fatres et patres dilectissimi .
utdieipresentisexhortationem.lingue.torrenti.et	ut diei presentis exhortationem . lingue . torrenti . et
fecundopectoricommisissem.decuiusplenitudinenos	fecundo pectori commisissem . de cuius plenitudine nos
omensaccipientes.etsacrescripturedulcedinem.palatocordis	omens accipientes . et sacre scripture dulcedinem . palato cordis
degustantes.uerbis	degustantes . uerbis
diuinisquasiquibusdamcarbonibusuastatoriis	diuinis quasi quibusdam carbonibus uastatoriis
.adamorempreceptorum	. ad amorem preceptorum
dei.uehementiusaccenderemur	dei . uehementius accenderemur
.netamen	. ne tamen
caritatiuostreuideaturiniuriosum	caritati uostre uideatur iniuriosum
.sisecundummoremdiei	. si secundum morem diei
.uerbumdeinonprocedat:	. uerbum dei non procedat :
aliquiddicere.licet	aliquid dicere . licet
presumptuosusaudebo.	presumptuosus audebo .
etintabernaculodomini.nonquoduolo.sed	et in tabernaculo domini . non quod uolo . sed
quodualeo.deuotusofferam.inhoc	quod ualeo . deuotus offeram . in hoc
maximeloquendi	maxime loquendi
sumensfiduciam.	sumens fiduciam .
quiadeusmunus	quia deus munus
quantumlibetparuumnonrespuit.	quantumlibet paruum non respuit .
quodoblatum	quod oblatum
fueritboneuoluntatisaffectu.	fuerit bone uoluntatis affectu .
seduereornedelicatasauresoffendat	sed uereor ne delicatas aures offendat
sermorusticio	sermo rusticio
.etquinoua	. et qui noua
frequenterauditis:uetera	frequenter auditis : uetera
.etsiueradespiciatis.sedetisenimadmensam	. et si uera despiciatis . sedetis enim ad mensam
diuitis.etnuptiisagni	diuitis . et nuptiis agni
communicatis.eticircoquasi	communicatis . et icirco quasi
conuiuedelicatiquequeminussapida.minuspreparata:non	conuiue delicati queque minus sapida . minus preparata : non
immeritofastiditis.sedrursusattendo	immerito fastiditis . sed rursus attendo
quodintercibosdelicatiores.grossioraquequenon	quod inter cibos delicatiores . grossiora queque non
numquamdulciussapiunt.ethumanusanimusgratauicissitudine	numquam dulcius sapiunt . et humanus animus grata uicissitudine
sequandoque	se quandoque
communibusapplicat.utadpenetrandamsubtiliumprofunditatem.	communibus applicat . ut ad penetrandam subtilium profunditatem .
ardentiuspostmodumrecurrat	ardentius postmodum recurrat
.scioquidempatreskarissimi.plures	. scio quidem patres karissimi . plures
esseinteruosuerbidiuinidispensatoresydoneos.quilegem	esse inter uos uerbi diuini dispensatores ydoneos . qui legem
diuinamdigitodeiincordibuseorum	diuinam digito dei in cordibus eorum
scriptam.nonsoluminsermonefrequenterannuntiant	scriptam . non solum in sermone frequenter annuntiant
.sedetiamefficaciterinoperedemonstrant.quiatamen	. sed etiam efficaciter in opere demonstrant . quia tamen
fratumprofectibus	fratum profectibus
exiniunctoteneorofficiodeseruire	ex in iuncto teneor officio deseruire
.nonabreiudico.adedificationem	. non abre iudico . ad edificationem
simplicium.saltemcommunia.etquasiomnibus	simplicium . saltem communia . et quasi omnibus
notaproponere.Insufficentiamitaquemeamuobis	nota proponere . Insufficentiam itaque meam uobis
nonincognitam	non incognitam
:penesuos	: penes uos
excusans.ueniam	excusans . ueniam
depresumptionepostulo.quialinguamcuisilentiumscientiedefectus	de presumptione postulo . quia linguam cui silentium scientie defectus
imponitetimperat.fraterne	imponit et imperat . fraterne
caritatisaffectusad	caritatis affectus ad
loquendumresoluitetconfortat.Egosumpastorbonus	loquendum resoluit et confortat . Ego sum pastor bonus
.etcetera.Inuerbisistisfratrestriaprimo	. etcetera . In uerbis istis fratres tria primo
considerandanobisoccurrunt.bonitas	consideranda nobis occurrunt . bonitas
redemptorisnostri:cumdicitur.	redemptoris nostri : cum dicitur .
Egosumpastor	Ego sum pastor
bonus.sollicitudo	bonus . sollicitudo
etaffectuseiuserganos.cum	et affectus eius erga nos . cum
additurquipascoouesmeas.bonitatisetsollicitudiniseiusdem	additur qui pasco oues meas . bonitatis et sollicitudinis eiusdem
.inenarrabilisetfactus.cumad	. inenarrabilis et factus . cum ad
extremumconcluditur.	extremum concluditur .
etproouibusmeisponoanimammeam.Et	et pro ouibus meis pono animam meam . Et
primoquidemadbontatis	primo quidem ad bontatis
ipsiushabundantiam.mentisoculosretorquamus:et	ipsius habundantiam . mentis oculos retorquamus : et
inueniemusproculdubio.	inueniemus proculdubio .
multiplicesboneficiorumeiusconsolationes.quibusquasiquibusdam	multiplices boneficiorum eius consolationes . quibus quasi quibusdam
stimulisinamoremipsiustotomentisaffectu	stimulis in amorem ipsius toto mentis affectu
rapiamur.Intribusautemprecipuebonitatemdiuinam	rapiamur . In tribus autem precipue bonitatem diuinam
possumusattendere:	possumus attendere :
uidelicetinhominiscreatione.inipsius	uidelicet in hominis creatione . in ipsius
recreatione.etineiusdemglorificatione.Increatione	recreatione . et in eiusdem glorificatione . In creatione
quidem.quiapropterbonitatem	quidem . quia propter bonitatem
diuinamcreatusesthomo.sicuttestaturbeatusaugustus.	diuinam creatus est homo . sicut testatur beatus augustus .
inlibrode	in libro de
doctrinachristiana.ubiait:quiadeusbonus	doctrina christiana . ubi ait : quia deus bonus
est.nossumus.etinquantumsumus	est . nos sumus . et in quantum sumus
:bonisumus.Eccequiacreatusesthomo	: boni sumus . Ecce quia creatus est homo
.propterbonitatem	. propter bonitatem
diuinam:creatusestetiampropterutilitatemsuam	diuinam : creatus est etiam propter utilitatem suam
.utileestenimhominiseruiredeo	. utile est enim homini seruire deo
:utpostmodumfruatur	: ut postmodum fruatur
eo.deoenimseruireregareest.et	eo . deo enim seruire regare est . et
sicordinauitdiuinamoderatio.	sic ordinauit diuina moderatio .
utomniaquepropterhominemfactamsunt.et	ut omnia que propter hominem factam sunt . et
subipsoexistuntusibuseiusdeseruiant	sub ipso existunt usibus eius deseruiant
.utipseordinelegitimo.suo	. ut ipse ordine legitimo . suo
superiori.	superiori .
idestdeodebitumexibeatfamulatum.In	idest deo debitum exibeat famulatum . In
recreationeautemhominis:maioremcumulumdiuine	recreatione autem hominis : maiorem cumulum diuine
bonitatispostsumus	bonitatis postsumus
attendere.Quantaenimdignatio.ut	attendere . Quanta enim dignatio . ut
filiusdei	filius dei
autemsecula.factushominisfiliusinfineseculorum.	autem secula . factus hominis filius in fine seculorum .
defectusnostrecarnissintsusciperet.et	defectus nostre carnis sint susciperet . et
humanigenerismisereriemisericorditerconpatiens.hominemperditum	humani generis misererie misericorditer conpatiens . hominem perditum
adregnacelestiareuocaretur:	ad regna celestia reuocaretur :
oquamdiuesinmisericordia.	o quam diues in misericordia .
quammunificus	quam munificus
ingratia.redemptornoster.	in gratia . redemptor noster .
quidesinupatrisdescendens.	qui de sinu patris descendens .
ouemperditampropriishumerisadgregem	ouem perditam propriis humeris ad gregem
reportauit:etprimeperuaricationis	reportauit : et prime peruaricationis
reatumdiluens.	reatum diluens .
seipsumpronobispreciumredemtionisoptulit.	se ipsum pro nobis precium redemtionis optulit .
Inhominisueroglorificatione:multo	In hominis uero glorificatione : multo
magiselucet	magis elucet
diuinerespectusmisericordie.Queenimmaior	diuine respectus misericordie . Que enim maior
gracia.quamutdestructacaptiuitate.	gracia . quam ut destructa captiuitate .
seruusintretingaudiumdominisui.ethereditatemconsequatur	seruus intret in gaudium domini sui . et hereditatem consequatur
.quedeceterononpossit	. que de cetero non possit
auferri:hocestquodipsedominusait:	auferri : hoc est quod ipse dominus ait :
pateruoloutubisum:illicsitet	pater uolo ut ubi sum : illic sit et
ministermeus.Et	minister meus . Et
alibipater.quosdedistimihi:uolout	alibi pater . quos dedisti mihi : uolo ut
ubiegosumetilli	ubi ego sum et illi
sintmecumut	sint mecum ut
uideantclaritatemmeamquamdedisti	uideant claritatem meam quam dedisti
mihi.quiadilexistime.autem	mihi . quia dilexisti me . autem
constitutionemseculi.Inhacautemglorificatione	constitutionem seculi . In hac autem glorificatione
.triaquilibetelectorumdiuinomunereconsequitur:	. tria quilibet electorum diuino munere consequitur :
quibusabsortamorte	quibus absorta morte
inuictoriam:	in uictoriam :
sineterminofeliciterperfruetur.primum	sine termino feliciter perfruetur . primum
esteternasacietasindei	est eterna sacietas in dei
contemplatione.secundum:internaiocunditas	contemplatione . secundum : interna iocunditas
inconscientiepuritate.tercium:iocundaunitas.	in conscientie puritate . tercium : iocunda unitas .
insanctorumsocitate.Ethoc	in sanctorum socitate . Et hoc
quidemdebonitateredemptorisnostrisuccinctepercurrentes:necad	quidem de bonitate redemptoris nostri succincte percurrentes : nec ad
sollicitudinemetaffectumipsiuserganosconsiderationisoculos	sollicitudinem et affectum ipsius erga nos considerationis oculos
accollamus.	accollamus .
Egosuminquitpastorbonus:	Ego sum inquit pastor bonus :
quipascoouesmeas	qui pasco oues meas
.pascitdominusouessuas.idestfideles	. pascit dominus oues suas . idest fideles
populosmultipliciter.siquidempascittemporaliumsubministratione:pascit	populos multipliciter . siquidem pascit temporalium sub ministratione : pascit
diuiniuerbieruditione.pascitetiamsacramentorumparticipatione:ad	diuini uerbi eruditione . pascit etiam sacramentorum participatione : ad
extremumpasciteternasuediuinitatisuisione	extremum pascit eterna sue diuinitatis uisione
.pascittemporalium	. pascit temporalium
subministratione:sicut	subministratione : sicut
habetisinpsalmo.Quicustoditueritatem	habetis in psalmo . Qui custodit ueritatem
inseculum.facitiudiciuminiuriampatientibus	in seculum . facit iudicium iniuriam patientibus
:datescamesurientibus.escamuidelicettamcorporalem	: dat escam esurientibus . escam uidelicet tam corporalem
quamspiritalem.etalibi.Quidatescam	quam spiritalem . et alibi . Qui dat escam
iumentisipsorum:etpulliscoruoruminuocantibus	iumentis ipsorum : et pullis coruorum inuocantibus
eum.pascit	eum . pascit
diuiniuerbieruditione:sicutinaliopsalmo	diuini uerbi eruditione : sicut in alio psalmo
scriptumest.Dominusregitme.et	scriptum est . Dominus regit me . et
nichilmihideerit.inlocopascue.hoc	nichil mihi deerit . in loco pascue . hoc
estintelligentiadiuinisermonis.ibi	est intelligentia diuini sermonis . ibi
mecollocauit	me collocauit
