mout fu irie z	---|-|----⌫|
quebienpooit	--|---|----|
cestechoseestres	----|----|----||
il poois t	-|-----⌫|
estre quehom	----|--|--|
nas q u ist sanzpere.ettientm olt	---⌫-⌫-⌫--|---|---||-|----|-⌫--|
sesclersa saiges etlors	--|----||-----|-|---|
le sap elatou zensembleet lors	--⌫|--⌫--|---⌫|-------|-|---|
distuos t uitm auez	---|--|-⌫--||---|
une chos eet chas cuns pa rs oi.e t il	--|----⌫|-|----⌫---|--⌫|-⌫-||-⌫|-|
demandenttui tsire orla	--------|---⌫|---|-|-|
nosr etraiez.et	--|-⌫------||-|
l iroi slor	-⌫|---⌫|--|
ret raittotmotamot sicomil	---⌫---|--|--||--|-|--|-|
l orentco nté.	|----|--⌫---||
etlorsdient	-|---|----|
tuit sec e	---|-|-⌫|
nest uoirsqu e	|--|----|--⌫|
auonscontésifaide	----|-----|-|--|-|
nost oncomendeme nt.et	--|-⌫-|---------⌫-||-|
lor demandepueti lestreuoirs	--|------|---|-⌫|----|----|
nestres anzpereet	-----|-⌫--|---|-|
respon ne ntsire	------⌫--⌫-|---|
nosn oimes	--||----|
ma isparlerquedec estui	--⌫-|-----|--|-|-⌫----|
.mais tant	|---|---|
poons bie ndirequecist	----|---⌫|---|--|---|
estnezsanzfailleetestou	--|--|---|-----|-|--|-|
sestiemean. etliro is	-------|-||-|-|--⌫-|
distqueil lesferamol tbi en	---|--|-|--|---|---⌫|--⌫-|
garderetenu oieraquerrelesanc	-----|-|---⌫----|-----|-|---|
delenfant etil li dien tl ors	-||-----|-|-|-|----⌫|-⌫--|
tuitensemble	---|-------|
sire n osuoulonsquetu nos	---|-⌫-|------|--|-|--|
faces biengard ermais	----|---|----⌫-|---|
quetune parol es a lenfantneque	--|-|-|-----⌫-|||-----|-|--|
nouuoiesmais	|-|----|---|
come nd e quilsoitocisetque	----⌫--⌫|-|-|---|---|-|--|
li sans tan soit	-|---||-|---|
a portez eins itenrat a to r	-⌫-----|----⌫|----|-⌫|--⌫|
tenirdo it	----|--⌫-|
sanzfaille.	---|-----||
liroisles fist	-|---|--|---|
touznestre en	---|-----|-|
fort meson etlor fist	---|----|-|--|---|
doner aboiureetamengie r et	----||-----|-||------⌫|-|
mestiersl orfu etpristses	-------|-⌫-|-|-|----|--|
mes aigessi les enuoiapartout ela	---⌫----|-|--|-----|--|----⌫|-|
terreyy etyy	----|-|-|-|
deces mes aigesi	-|--|---⌫----||
ot yyeta ces	-|-|-||--|
fis tli roi siurerseur	---⌫|-|---⌫|----|---|
s ainz quecilquice len fant	-⌫---|--|--|--|--⌫|--⌫---|
trouerr oientl	-------⌫----||
ocir ro ie ntet	----⌫--⌫--⌫-|-|
aporteroient lesancet que i lne	-----------|-|---|-|--|-⌫|-|
reuendroient deuantqueil	-----------|--------|-|
t rouuez .	-⌫-----||
einsis enu oiali rois	-----|---⌫--|-|---|
uert igiers	----⌫-----|
ce lenfantquer re et	--⌫|-----|----⌫-|-|
limess ai ge	-|----⌫--⌫-|
s edepart irent duiet	-⌫|------⌫----|--|-|
qu istrentp arma intes terre s	--⌫------|-⌫-|--⌫----|-----⌫|
etpa rmainz	-|--⌫|----|
p aistan tquil	-⌫--|---⌫--|-|
entr etrou u erentduimessaige autre	----⌫-----⌫-⌫----|--|-------|----|
et distrentquiliroie nt	-|-------|-|-|-----⌫-|
ensembleune	-------|--|
piece.einsis	----||-----|
che uauc hierent	---⌫----⌫------|
t uityytantqui l	-⌫--|-|-----|-⌫|
auintun i orqu	----|-|-⌫-|-|
passerentzz grant	--------|-|----|
a lentreed une ui leet	||-----||--|--⌫-|-|
auoitgrantp lente denfanz	----|----|-⌫----||-----|
qui iouoient a la	--|-------||-|
quitout e slesch ose s	--|----⌫-⌫|--|--⌫---⌫|
sauoituitcel s	-----|--|---⌫|
requeroient s e	----------|-⌫|
si traistpres del	-|-----|---|-||
desplus richesde lauileporce	--|---|-----|-|-|---|--|-|
qu eilsauoitbienq ue	--⌫|-|-----|---|-⌫-|
cillemessameroit si	--|-|----------|-|
sifiertl enfant	-|----||-----|
cil c omencea	--|-⌫-----||
me rli namessaamer	--⌫---⌫||--------|
quilestnezsanzpere	-|-|--|--|---|---|
cilqu iesga rdo i entetqui	--|--⌫|----⌫---⌫-⌫--|-|--|
celenfantqueroien tquifu ne z	--|-----|--------⌫|--|-|--⌫|
sanzpe reloirent	---|--⌫-||-----|
siale rent	-|---⌫---|
yyue rsceluiquiploroitsi	-|--⌫-|----|--|------|-|
demander entqui	--------⌫--|--|
estc il qui	--|-⌫-|--|
feru etillordistce	---|-|-|--|---|-|
fildunefemm e	--||--|----⌫|
onques neso t q uila e ng endré	-----|-|--⌫|-⌫-|||-⌫--⌫-----|
n eonqu es pereno t.	-⌫|----⌫-|---||-⌫||
quantmerlinsloisiuint	----|------||-|-|---|
els riantetlor	--|----|-|--|
dist iesui	---|-|--|
c il queuosquerezet	-⌫-|--|--|-----|-|
auezi uré	---|-⌫---|
auroiuert ig ie r	-|--|----⌫--⌫--⌫|
que u osmocirr ez	--|-⌫-||-----⌫-|
etqueuosli	-|--|--|-|
porte rezmonsanc.	-----⌫--|--|---||
quant cil loirentsi	----|--||-----|-|
molt esbaietresponnent	---|----|-|---------|
q uitacedi t	-⌫-|||-|--⌫|
ie les ai bien	-|-|-⌫-|---|
desqueuosle iurastes.etcil	-----|--|-|-------||-|--|
dientue nrastu auecn os	----|--⌫---|-|---|-⌫-|
nosten portons et il	--||-|------|-|-|
lorrespontiecreimbroieque	--|------|-|---------|--|
uos nemoceissi ez	--|-||-------⌫-|
bienq ueil n enauoient	---|-⌫-|-||-|------|
maisil ledisoit	---|-|-|-----|
poralsmi auz	--|--|--⌫--|
acointer .	-------||
lor distse uosme	--|---|-|--|-|
creant ezque uos nemociroiz	------⌫-|--|--|-||------|
mieiem eniraiou oset si	--|-||-|---||-⌫-|-|-|
quoi lator	---|-|--|
tenir dontuosme u oulez ocirre.et	----|---|--|-|-⌫----|-----||-|
quant ci lloire n t	----|--⌫||----⌫-⌫|
sifurenttuitesbahiet	-|-----|---|-----|-|
dientcistnosdit	----|---|--|--|
m erueilles	-⌫--------|
granzpechiezser oit	----|------|---⌫--|
ociens.e tc hascunsdels dist	-----||-⌫|-⌫------||--|---|
uuel mielzpar iurerque iel	---|----|---⌫----|--|-||
lorslordist	---|--|---|
merlin s uos uendro iz herbe rgier	------⌫|--|------⌫-|-----⌫----|
la oum amereest quar ie	-|-|-⌫|---|--|---|-|
neporroieale r auec uossanzle	-|------|---⌫|---|--|---|-|
congie de mamere et	-----|-|-|---|-|
s anz le congi e	-⌫--|-|-----⌫|
au p rodome	-|-⌫-----|
quie st enla me sonouma	--|-⌫-|-|-|--⌫--|-|-|
mereest.etil	---|--||-|-|
dientnos irons	----|--|----|
uo ur as .e insisenamenez	--⌫--⌫-||-⌫----|-||----|
les mess aigesqui	--|----⌫----|--|
estoientuenu	-------|---|
chiessame r ee nune mesonde	----|-|--⌫-⌫|-⌫|--|----|-|
r el igionden onains oueleestoit	-⌫--⌫----|-|-⌫-----|-|--|-----|
et quantmerli ns uint enl a mais on	-|----|-----⌫-|---|-|-⌫|----⌫-|
comen daa cels	-----⌫-||---|
delamaison	-|-|-----|
quillorfeissentbe le	-|-|--|-------|--⌫-|
chi ere et	---⌫--|-|
quant ilfurentdescendu	----|-|-----|-------|
sile smena d euantblaisesetli	-|--⌫|---|-⌫----|------|-|-|
distuoizcicelsq ue	---|---|-|---|-⌫-|
qui medeuoientu e ni rquerre por	--|-|-------|-⌫-⌫--⌫|-----|--|
ocirreetdist a s messaiges	-----|-|---|-⌫|--------|
queuosconoissiez	--|--|---------|
uoira cestprodome	---||---|------|
dece que ie	-|-|--|-|
uos diraide uostre	--|----|-|-----|
o euuresanz menti ret t a ntuoil	-⌫----|---|-----⌫|-|-⌫-⌫-|---|
uos bien sachiez seuosen	--|---|------|-|--|-|
mentez queie	-----|--|-|
etliprodo m ed ientnosn	-|-|-----⌫-⌫|-⌫---|--||
mentirons ia. -cegardez uos	--------|-|||-|-----|--|
bientuit queuosnem en	---|---|--|--|-||-|
mentoi z. etme rlinsdist a bla ise	------⌫||-|--⌫----|---||---⌫--|
orententbien	-|-----|---|
quecil prodomete	--|--|------|-|
di ront.etil	--⌫---||-|-|
uosi estesau nroiqui an o n	--|-⌫----||-⌫|--|--||-⌫-⌫|
uertigi ersetcil r ois	-------⌫--|-|--|-⌫--|
siuoltfa ire une	-|---|--⌫--|--|
tor e tc el etor	--|-⌫|-⌫--⌫|--|
quantil lafaiteyy toises	----|-|||----|-|-----|
hautesou quatre sin e puet	-----|-|-----|-|-⌫|---|
teni r ainzfontqu anq ue il	----⌫|---|---|--⌫---⌫-|-|
afa it enuneor eet ilen est	|--⌫-|-|--|--⌫|-|-|-|--|
molti riezett antque il ma nd a	---|-⌫---|-|-⌫-----|-|--⌫--⌫|
clers.si enia y y qui	----||-|-|||-⌫|--|
et l idistrent	-|-⌫|-------|
diroientbienporquoi la tor ne	-------|---|--|---|-|--|-|
t eniretcom ent	-⌫---|-|---⌫--|
eletendroit	--|-------|
g iterentlorsorzsineuirent	-⌫------|--|---|-|-|-----|
ri endel a tornene n sorentnule	--⌫-|-|-⌫|--|-||-⌫|-----|---|
c hosem aisil	-⌫---|-⌫--|-|
sor entqueie	---⌫--|--|-|
nez .silor	--||-|--|
fu auis que	-|---|--|
pu issenuiresis acorderent qu	--⌫---|----|-||---------|-|
feroientocir re parce quil	-------|----⌫-|--|-|-|-|
diso i ent que la tortenroit	----⌫-⌫--|--|-|--|------|
iauoit dousancdel en fa nt	|----|--|---|-||--⌫--⌫-|
pere . et u erti gier s	---||-|-⌫----⌫----⌫|
letint a grant	-|---||----|
m erueillesi	-⌫-------|-|
cuidaqueuoir s	----|--|----⌫|
et i lcomende rent qu el en	-|-⌫|-------⌫---|--⌫|-⌫-|
m e queisttantqueiefusse trouuez	-⌫|-----|------|-|----|------|
et distrentleroique	-|-------|-|--|--|
deffendita se smessaiges	--------||--⌫|--------|
namenassent	|---------|
pasdeuant lu imais	--|-----|--⌫|---|
oce is sient moiqu a ntil m	---⌫--⌫----|--|--⌫-⌫-|-||
trouu éetenportesien t monsancp or	-----⌫-|-|-|---------⌫|--|---|-⌫-|
mestre oumort ie r delator .	-----|-|----⌫--⌫|-|-|--||
sidirent queporce	-|-----|--|--|-|
tenr oitla	----⌫--|-|
tormaisilment irentqueia por	--|---|-|----⌫----|--|-|--|
cenetenroit. e tuertigiers	-|-|------||-⌫|---------|
come ndementpri sty ymessaiges	----⌫------|---⌫-|-⌫|--------|
silorfi st atouz iurersorsainz	-|--|--⌫-||---|----|--|----|
queilmocirroient	--|-||---------|
li porter oientmon san c.e i ns iles	-|------⌫----|--|---⌫||-⌫-⌫--⌫|--|
en uoia to zyydeus etdeus	--⌫---|--⌫|-|---|-|---|
etcistyys eso ntentretrouué	-|---|-|-⌫|--⌫-|-----------|
sipassoientpardeuantcecham p	-|--------|--|-----|-|----⌫|
oucil autreen f a ntc oul oie nt e tie	-|--|----|--⌫-⌫-⌫-|-⌫---⌫---⌫-|-⌫|-|
qui so i b ienqu ila loie nt	--|--⌫|-⌫--|-|-|-⌫----⌫-|
que rant ferizz de senfanz	---⌫---|---|-|--⌫|-----|
ceque ies auoiebien q u enou auz	-|--|-|-⌫----|---|-⌫-⌫|---⌫--|
mediro itqueil sa uroita son	-|----⌫-|--|-|--⌫----||--|
escia ntetqu ilmereprocheroit que	-----⌫-|-|-|-|-|-----------|--|
e stoiene z s anspere.et	-⌫----|--⌫|-⌫--|---||-|
fisporc equ eieuol sque	--|--|-⌫|--⌫|-|---⌫|--|
c istprodomeme	-⌫--|------|-|
trouuas sentet	-------⌫---|-|
onttro uué.	--|---⌫---||
bl aisedemandez lorseiedi	--⌫---|-------|--|-|-|-|
uoir.et il lordemande	---||-|-|--|------|
se ces temerueill e est u oire	-|---⌫-|--------⌫|--|-⌫---|
queildite tilresponnent	--|-|--|-⌫|-|---------|
aue zlouosbien oi etentendu	---⌫|-|--|---|-|-|------|
to uteinsicontésedex	--⌫-|----|-----|-|--|
et l aistto rnera rriere s	-|-⌫---|--⌫---|-⌫------⌫|
ennost re pa i s	-|----⌫-|--⌫-⌫|
soions tu itmortde	-----|--⌫-|---|-|
glaiueil ne	-----|-|-|
uo s ade mot	--⌫||-|--|
nosesc ianz	--|---⌫---|
lemaistrese	-|------|-|
saingneetditilsera	------|-|--|-|---|
encor esmolt	-----⌫-|---|
saigesseil uitet il	-----|-|-|--|-|-|
seroitmol t	-----|---⌫|
granzdama iges seuos	----|----⌫---|-|--|
l ociiez . - sirenos uoudrions	|-----|||---|--|--------|
sirenosuoudrions	---|--|--------|
mielz quenos	----|--|--|
fuss ien s	----⌫---⌫|
pariuretou t es nozuies etque li	------|---⌫-⌫-|--|---|-|--|-|
nostols ist touz	--|----⌫--|---|
nozher itaiges et il	--|---⌫------|-|-|
meismes qui tou tes	------|--|---⌫--|
lesa utres	--|-⌫----|
chose sset pue t bie n	-----⌫|--|---⌫|---⌫|
sauo ir se	----⌫-|-|
no senauonstalant .	--⌫|-|----|-----||
etblai sesdistuosditesuo ir.	-|----⌫--|---|--|----|--⌫-||
ie li dem anderaietce	-|-|---⌫------|-|-|
chose uoian tuosdontuos	----|-----⌫|--|---|--|
merueillerez de	-----------|-|
ceq ueildira.	-|-⌫-|-|---||
apelerentq uarils en estoit	--------|-⌫--|-||-|-----|
alezp orce queiluoloitque	---|-⌫-|-|--|-|-----|--|
ilpar lassentens emblepriuee ment	-|---⌫------|---⌫----|------⌫---|
iluin t. etle maistre	-|---⌫||-|-|------|
parole silidistt out	-----|-|-|---|-⌫--|
tulas dit et	-||-|--|-|
ilont coneuque	-|--|----|--|
ilestu oirs	-|--|-⌫---|
autr e chose queie	----⌫|----|--|-|
ted emande	-|-⌫-----|
seilont t alan tde toi	-|-|--|-⌫----⌫|-|--|
ocirre.etmerlins	-----||-|------|
iesai bien ladieu	-|--|---|-|---|
etlalor qu	-|-|--|-|
on t oresnul	--⌫|---|--|
uos aue zuoirdi t. uendroiz uos	--|---⌫|---|--⌫||-------|--|
enuosonos etilrespo nt	-|--||--|-|-|-----⌫-|
oil s anzfaillese	--|-⌫--|-----|-|
mecre ant ez	-|---⌫---⌫-|
leaumentqueuo s memenro iz	-------|--|--⌫|-|-----⌫-|
deuantle roiet q ue uosne	-----|-|--|-|-⌫-|--|-|
souferroiz q uenulmal m esoit	---------|-⌫-|--|--|-⌫|---|
deuantqueie aiea lui	--------|-|--||--|
pa rlé q ue	--⌫---|-⌫-|
i enaie garde.	-⌫||--|----||
e t ei nsisli creant ent	-⌫|--⌫---|-|------⌫--|
maistr eparol eetditor	------⌫|-----⌫|-|--|-|
uoii e quet umeuiausl aissier	--|-⌫|--|-⌫|-|----|-⌫------|
que ie t e facede cesteoeurequetu	--|-|-⌫|---|-|----|----|--|-|
mefeiscomencie r.	-|---|--------⌫||
e t ilrespont	-⌫|-|------|
dece que tume	-|-|--|-|-|
demand e stediraiieraisonet	------⌫-⌫|-|----|-|-----|-|
uoi r.n ostre sirequipar	---⌫||-⌫----|---|--|--|
par r aison m	--|-⌫----||
a done ́ tantd e	|----⌫|---|-⌫|
se n et dememoireque c i l quime	--⌫|-|-|------|--|-⌫-⌫|--|-|
cuidaauoira	----|----||
son huesf a it	--|---|-⌫-⌫-|
perduetdi ex m aes leuaunsuen	----|-|--⌫-|||--⌫--||-|---|
seruise faire	------|----|
q ue nusne	-⌫-|--|-|
porroitfair e	------|----⌫|
se ieno nqua r nus	-|-|--⌫|---⌫|--|
leschoses si co miesai	--|-----|-|--⌫|-|--|
etsisaiqui lme couienta	-|-|--|-|-⌫|-|------||
aler encele terr e	---|-|---|----⌫|
son tuenuquerre.eti e ferai	---⌫|---|-----||-|-⌫|----|
dir aita ntque	---⌫-|--⌫-|--|
ieserailiplus	-|----|-|---|
quionquesfustcreuz	--|-----|---|----|
enterre fors dieu . e t	-|----|---|---||-⌫|
iuenraspor	|-----|--|
acom plir ces t e oe ure	----⌫---|---⌫-⌫|--⌫--|
que tuas e nco menciee ma is tune	--|-|-|-⌫---⌫------|--⌫-|-|-|
uenras pasaue cmoiainz i ras	-----|--|---⌫|--|---|-⌫--|
parto i et demender asune terre	--|--⌫|-|--------⌫-|--|----|
qui anonnorh ombell andeetcele	--||--|----⌫------⌫---|-|---|
terresi est p lene	----|-|--|-⌫---|
de molt gran z	-|---|----⌫|
forez etsi	----|-|-|
estra ngeagenz	-----⌫--||---|
meismesquei li a de te ls pa rt ie s	------|--|-⌫|||-|--⌫-|--⌫--⌫--⌫|
n aencore sté.	||----|-⌫---||
etlaconuerserasetie iraia	-|-|----------|-|-|---||
toiettedirailes	--|-|-|----|--|
cho ses qui	---⌫--|--|
t aurontmest ierau liurefaire que	|-----|----⌫--|-|----|----|--|
tu faizetbientedoiz	-|---|-|---|-|---|
t r auaillie rqu artuen auras molt	-⌫-⌫--------⌫|--⌫-|-|-|----|---|
bon louier .et seztuquel	--|-----||-|--|-|---|
ie t enseingnerai q uelloier tuen	-||-----------|-⌫--|----|-|-|
aurasa tau i e acompl iss ementde	----||-|-⌫-⌫|------⌫---⌫----|-|
toncu eret apreslafinioie	--|--⌫-|-|----|-|--|---|
par durable. ettoeu r e serato z	---⌫------||-||---⌫-⌫|---|--⌫|
maistantcomle	---|---|--|-|
siecledurra	-----|----|
retrait eetuolantiers	-------⌫|-|---------|
oie. etsez	--||-|--|
tudon t cestegrace uenraele	-|---⌫|----|----|----|--|
uen radel agraceque nostre	---⌫-|-|-⌫|----|--|-----|
do n na aioseph	--⌫-⌫-||-----|
ac elui iosephcuiil	|-⌫---|-----|--|-|
fu donezen l acroiz.	-|----|-|-⌫|----||
e tquant tuau rasbie n	-⌫|----|-|--⌫--|---⌫|
trauai llié	------⌫----|
porlui etpor sese n cess orset	--|--|-|--|--|-⌫-⌫----⌫--|-|
p or ses h oirs	-⌫-|--|-⌫---|
quide s alingniee	--|-|-⌫|-------|
sontissuettu	---|---|-|-|
aurastantde	----|---|-|
oeuresfaitesquetudeuras	-----|-----|--|-|-----|
auecels en	---|--|-|
l orc ompo ignie	-⌫-|-⌫----⌫----|
enseingnerailaou	-----------|-|-|
ilsero n t et	-|----⌫-⌫|-|
uerrasl es	-----|-⌫-|
belessold ees	----|----⌫--|
etlesglo rie usesqu e	-|--|---⌫---⌫---|--⌫|
porlecors ihesucrist qui	--|-|---|----|----|--|
lifudonnee	-|-|-----|
por les souesso ldees	--|--|----|--⌫----|
ie uoilque	-|---|--|
tu saiches	-|------|
portoifair epluscertainquediex	--|--|----⌫|---|------|--|---|
madonétel sene ttelmemoire	||----|--|--|-⌫|--|------|
queie ferai	--|-|----|
reigneouie	-----|-|-|
uoistraua illi er le s prodomeset	---|-----⌫----⌫-|--⌫|-------|-|
pr odefe m e s	--⌫--|--⌫-⌫-⌫|
enc ontreun quidoi t	---⌫----|-|--|---⌫|
estrede cel lingnaigeq ue	----|-|--|--------|-⌫-|
diextantaime.m ai s	---|---|---||-⌫--⌫|
bienq uetusaiches	---|-⌫-|-|------|
que ngranttrauail	-|-⌫|----|------|
a cuineseracuicil	|--|-|---|--|--|
g rant t rauails erontaura	-⌫---|-⌫-----|-⌫----|---|
ettuteniras la ou ie	-|-||-|---|-|-|-|
ditetieiraisouuentat oi	--|-|-|---|------||-⌫-|
ettediraiiceleschoses qu e ie	-|-|----|-----|-----|--⌫|-|
uo udraiqu etu mestesen	--⌫----|--⌫|-|-----|-|
e tsaich esquetes liuressera	-⌫|-----⌫-|--|--|-----|---|
encores m olta meze tmolt	------|-⌫--|-⌫--|-⌫|---|
demaintesgenz	-|------|---|
ueuet quanttul aurasfait	--|-|----|-||----|---|
sileporteras en la comp oignie	-|-|-------|-|-|----⌫-----|
i celes bonnes	-⌫----|-----|
genz quiontnon	---|--|--|--|
gl orieusessoldee sdontietai	--⌫-------|------⌫|---|-||-|
parl éneilnauraprod ome	----⌫-|-|-||---|----⌫--|
fe mmeencele partieoui em	--⌫--|-|---|-----|-|-⌫||
uoisque ien e	---|--|-|-⌫|
tefacemetre	-|---|----|
partiedesa u ie . etsaichesbi en	-----|-|-|-⌫-||-|------|--⌫-|
qu e onquesnule	--⌫|-----|---|
uiede g enz	--|-|-⌫--|
plus uolentiers	---|---------|
oiede fols	--|-|---|
s aig esqueseracele	-⌫---⌫-|--|---|---|
quiauranonartusetde sgenzqui	--|---|--|----|-|--⌫|---|--|
ace tensregner ont .et	|-|---|------⌫--||-|
quan t tu auras	----⌫|-|----|
cetoutacompliet	-|---|------|-|
loruiesretrait essiaur as	--|---|-------⌫-|-|---⌫-|
d eserui lagr acequecilo nt	-⌫-----|-|--⌫--|--|--|-⌫-|
s ont en lacompoigni e	-⌫--|-|-|---------⌫|
douuaisselque le n apelegraal	--|------|--|--⌫|----|----|
tesliur esparcequet uena s	--|----⌫-|--|-|--|-⌫|-|-⌫|
parceque tuen feras	--|-|--|-|-|----|
q uanti lseron tparti	-⌫---|-⌫|-----⌫|----|
de cestsiecleetaléau	-|---|-----|-|---|-|
ihesu crist-	----|----||
retra ire- et tu serasalezdecest	-----⌫--||-|-|----|---|-|---|
siecleetmorzsi	-----|-|---|-|
tantc o mli mondesdu rera tes	---|-⌫-⌫|-|-----|--⌫---|--|
liuresliliuresdougraal e t	-----|-|-----|--|----|-⌫|
seramoltuolent iers oizquil	---|---|------⌫---|--|-|-|
aurap oichose	---|-⌫-|----|
fa i te et dit eennul	--⌫-⌫-|-|---⌫|-|--|
leuqui bonnesoi tneprofita b le	--|--|----|---⌫|-|-------⌫-⌫-|
donti lniaitaucune	---|-⌫|||--|-----|
p a rtie . einsi s	-⌫-⌫---||-----⌫|
par la mer linsason	---⌫-|---⌫---||--|
maistrepo rcequ eilauoites te ́	------|--⌫|-|--⌫|-|----|--⌫--⌫|
maistressamere .et	-------|-|---||-|
liprodo mq uantil	-|-----⌫|-⌫---|-|
eins isparler senfu	----⌫-|-----||-|-|
moltliezetdist tune me	---|---|-|---|-|-|-|
comenderas ia chose que ie	---------|-|----|--|-|
queienela fac e.einsis	--|-|-|-|---⌫||-----|
merlinsson afaireatornéet	------|--|-----|------|-|
a ses messaiges qui so ntporlui	|--|--------|--|--⌫-|--|--|
l o rdist u enez	-⌫-⌫|---|-⌫---|
queieu oil	--|-|-⌫--|
queu os oiez le	--|-⌫-|---|-|
co n ted emoi et de ma.	--⌫-⌫-|-⌫|--|-|-|-||
mereet ill esmoine la	---|-|-|-⌫-|----|-|
mereestoitsi li distbele	---|-----|-|-|---|---|
le nmeestuenuzquerre d	--⌫|-|--|----|-----||
regneetdeloingt ain paissi	----|-|-|------⌫--|---|-|
uoilale rparuostrecongiequaril	---|---⌫|--|-----|-----|---|-|
mecouient a	-|------||
rendreihesucri st	-----|----|---⌫-|
leseruisedontil m	-|------|---|-||
adoné pooir	|----|----|
neie nel ipui srandre	-|-|-|-⌫|---⌫|-----|
e n uoisencest eterre	-⌫|---|-|----⌫|----|
cistmeuueulen tmene r	---|-|-------⌫|----⌫|
e tblaiseuostre mestress	-⌫|-----|-----|------||
e t einsisu osc ou ient d eno s	-⌫|-----|-⌫-|-⌫--⌫---|-⌫|--⌫|
yyacon sirrer. etlamere	-||---⌫-----||-|-|---|
paroleetditbiausfi lsa	-----|-|--|----|--⌫-||
di eusoiezu os c o mendezquarie	--⌫-|----|-⌫-|-⌫-⌫-----|---|-|
nesui pass isaigeque	-|--|--|-⌫|----|--|
ieuo sdo ierete nir	-|--⌫|--⌫-|----⌫--|
. mai s s i luos	|---⌫||-⌫|--|
plaistie uousissemol tque	-----|-|-------|---⌫|--|
blaises rem a nsist.et	------|---⌫-⌫----||-|
merlins dist	------|---|
ce n ep u ete stre	-|-⌫|-⌫-⌫-|-⌫---|
einsi s pristcongi emerlins a s amere	-----⌫|----|-----⌫|------||-⌫|---|
etsi s enuaitauec les	-|-||-|---|---|--|
messaiges.etblaisess	--------||-|------||
enr eparti st	-|-⌫------⌫-|
s en uaitd autre	|-|---||----|
en norhu mbellandel aou merlin sli ot	-|-----⌫--------|-⌫|-|------⌫|-|-|
comendé .	-------||
merlinscheuaucheauecle s	------|--------|---|--⌫|
messaige setcheuauchierent tant que	--------⌫|-|-------------|----⌫--|
passerent parmiune uile etcele	--------|----|--|---|-|---|
u ile siauoitzzmarc hie . e t	-⌫--|-|----|-|----⌫--||-⌫|
com ilor entlauille	--|-|--⌫--|-|----|
passee s i	-----|-⌫|
trou erent zzuilai n	----⌫----|-|-----⌫|
qu iotmolt	--⌫|-|---|
forssolersac hatez e t s i	---|-----|--⌫----|-⌫|-⌫|
enp ortoit	---⌫-----|
l e cuirassole rsafaitiercomme il	-⌫|---|-|----⌫-|-------|----|-|
se roi en tdepciéquar	--⌫---⌫--⌫|------|---|
uouloit ale r enpeleringnaige .	------|---⌫|-|------------||
u itleuilain etilfu	-⌫-|-|-----|-|-|-|
luisi riste tlimessaige	--|-|---|-⌫|-|-------|
qu ilemenoient demenderentpo r	--⌫|-|-------|----------|--⌫|
quoii la uoitriset i ldist	---|-⌫|-⌫---|--|-|-⌫|---|
porceuil ainq ue uosu e ez	--|-|---⌫--|-⌫-|--|-⌫-⌫-|
li dem endezqueilu uelt	-|---⌫----|--|-|-⌫---|
faire decestcuir queilempor t eet	----|-|---|---|--|-|-----⌫-⌫|-|
il uosdirase ss olers afaitier	-|--|---|--⌫|-⌫----|-------|
etuo slesiu ezqu e ie uos di	-|--⌫|-|---⌫-|--⌫|-|--|-|
certenement queil seramorz	----------|--|-|---|---|
en sameson.et quant	-|-|----||-|----|
letinrentagrant	-|------||----|
merueilleetdie n t ce	--------|-|---⌫-⌫|-|
essaie ronsnos	------⌫---|--|
ia seil puet	-|-|-|---|
estreuoir s.	----|----⌫||
lors alerentauuilainsili	---|------|-|-----|-|-|
dema nderent queil uou loit	----⌫------|--|-|---⌫---|
faire decessolersetdec ec u ir	----|-|--|-----|-|-|-⌫|-⌫-⌫-|
en portoitetillo rdist	--⌫------|-|-|--⌫|---|
quiluouloitaler	-|-|------|---|
enpeler ingna ige	-|-----⌫-----⌫--|
senuoulo it sessolers afait ier	|-|-----⌫-|--|-----|-----⌫--|
etquantil oir ent qu il lor	-|----|-|---⌫--|-|-|--|
ce quemerlinslorot dit	-|--|------|--|-|--|
meisme ssi en ore ntmoltgrant	------⌫|-|-|---⌫-|---|----|
meru eille e td istrent	----⌫----|-⌫|-⌫------|
cisthomsamblees tre touz	---|--|-----|--⌫--|---|
s ainset touz haitie z.	-⌫---|-|---|------⌫||
suiron sli du id e nose tli	------⌫|-|--⌫|-⌫|--|-⌫|-|
aut redui a illentlorchemin	---⌫-|--|-⌫-----|--|-----|
etnos atandent la o uil	-|--|-------|-|-⌫|-|
gerrontenneuois queilfera	------|-------|--|-|---|
bon sauoirce ste merueille	--|-----|--⌫--|--------|
ale rentli	---⌫---|-|
duiapre sl euilain	--|----⌫|-⌫|-----|
etlesiguerentnei ln o rent	-|-|--------|-|-⌫||-⌫---|
plus duneliuequant	---||--|---|----|
uirentleuilaincheirmorts es	-----|-|-----|----|---|-⌫-|
so lersenson	--⌫---|-|--|
bras. quantil l	---||----|-||
orentueuete sgardé s isen	----|--|-|-⌫------|-⌫||-|
retor nerentet at ain dr ent	-----⌫-----|-|--⌫---⌫--⌫--|
compoig nons s ilorco nteren t cele	-------⌫---|-⌫|--|--⌫------⌫|---|
merueille que	--------|--|
ilauoien t ueue.	-|------⌫|---||
qu antcilloirentsi	--⌫--|--||-----|-|
distren tmult fi rent	-------⌫|---|--⌫---|
quicome nderent	--|----⌫------|
o ceisions sisaige	-⌫-------|-|----|
et liautre	-|-|----|
