orescotezpor	-|------|--|
l eschambre sporle	-⌫-|-------⌫|--|-|
gregoiresent entl am enace	--------|---⌫--|-⌫|-⌫----|
fierementl escuenb race	--------||---|---⌫---|
treitcontre luia	----|-----|--||
grant poi ssance	----|---⌫-----|
p ointlecheualbrandilala nce	-⌫---|-|-----|-----|-|--⌫--|
detotlaissent l e ranpo ner	-|--|-------|-⌫|-----⌫--|
granzcoups s euo ntentr edoner	----|----|-⌫|--⌫-|----⌫-----|
degrantairsea n tr equierent	-|----|--|-|-⌫-⌫--⌫--------|
des lancesredes sen tref ierent	--|-----|----||--⌫----⌫-----|
eliducsagregoirefe r u	|-|---||-------|--⌫-⌫|
tres pas s e dehorz	----⌫---⌫-⌫|-----|
maisne ladesa pasel corz	---|-||----|--|-|---|
bien crei si el	---|---|-|-|
cors l atensist	---||-------|
quede l ch eu almortlabatist	--|--⌫|--⌫--⌫-|---||------|
cel cou pssest bie n te nus	--|---⌫-||--|---⌫|--⌫--|
que pri m esn i es tabat u s	--|---⌫-⌫-|||--⌫|----⌫-⌫|
lisue nscoupsna lapasen uain	-|---⌫-|----||-⌫-|--|-|---|
quar u npetitbaiss a sa main	---|-⌫|----|-----⌫|-|---|
ad esc ouer t	|-⌫---⌫----⌫|
desor l escu	----||---|
de lade strepart feru	-|-|--⌫---|---|---|
la maillede l	-|-----|--⌫|
haubert faucé	------|-----|
p armileflanclatrespercé	-⌫---|-|----|||---------|
t ozf ucouerzde s ancli	-⌫-|-⌫|-----|-|-⌫--|-|
edelc heualabatuz	|--|-⌫----|-----|
q uant gre goiresleuit	-⌫---|---⌫-----|-|--|
sil e n fulezn	|-|-⌫|-|--||
estuet pasq ue rre	-----|--|-⌫--⌫--|
lesp eetr aitsor l uisareste	|---⌫-|--⌫--|--|-⌫-||-----|
uoltcou perla teste	---|---⌫--|-|----|
apres estutsor	----|----|--|
sonch eual	--|--⌫---|
l edu caual	-⌫|--⌫|---|
eueitqueilpasnesemuet	|---|--|-|--|-|-|---|
porpensasei qu ebienlenpue t	-------|--|--⌫|---||-|---⌫|
porterel chastel	-----|-|------|
aunaseldelha umeleprent	-|----|--|--⌫--|-|----|
sorlecol del cheual lenporte	--|-|--|--|-----||-|----|
p oignant enuai tdre italaporte	-⌫------|-|---⌫|---⌫-||-|----|
sil esuanoiz delsanc	--|-------|--|---|
quiliissei t parmileflanc	--|-|-----⌫|----|-|----|
s ifaitementquepas ne_	-⌫|--------|--|--|-||
c o mentgregoi resl enpo r tot	-⌫-⌫---|------⌫--||-|--⌫-⌫--|
q uantcilde lost ontce ue u	-⌫---|--|-||--|--|-|--⌫|
leduc aba tu	-|--|---⌫-|
quar ueianttozena	---|-----|--|-||
alarescossepoingne nt tuit	|-|-------|-------⌫-|---|
maisgre goires forment s en fuit	---|---⌫-----|------||-|---|
baronque il	----|--|-|
misded e nzla	--|---⌫-⌫-|-|
amo ntsenuaitdreital pal aiz	---⌫-||-|---|----|-|---⌫--|
iluecadeschargiéson f aiz	----||----------|--|-⌫--|
a bon esgard es	|---⌫-|----⌫-|
puissisenest ar ier s	---|-||-|--|--⌫---⌫|
quarcil de l osterententré	---|--|-||--|----|-----|
ensembleoelz enlac ite	-------||--|-|-|-⌫--|
adreite f or ce	|-----|-⌫--⌫-|
amaltalent	|--------|
moltlesmalement	---|--|-------|
tozles des trenchoentafais	--|--|---⌫---------||---|
iai eustmoltmauu aispl ais	-||---|---|----⌫--|--⌫--|
quar ia ulzaueient sus c hace z	---|--⌫--|------|--|-⌫----⌫|
iusq uedauantlemaistre	----⌫-|-----|-|------|
bientostpreissent ledrag o n	---|---|--------|-|----⌫-⌫|
q uantgregoireaesperon	-⌫---|-------||------|
luruintp oi gnantque lures cri e	--|---|-⌫--⌫----|--|--|--⌫---⌫|
tornezb aronne dot ez	-----|-⌫---|-|---⌫-|
entrelz s e mete	---|--|-⌫|--||
formentiure	------|---|
tornésont a desconfiture	-----|---||-----------|
parlaforce d e scheualiers	--|-|----|-⌫-⌫|---------|
quiretornerentuolen tiers	--|----------|-----⌫----|
sestmisgregoiresenlabatail le	|--|--|--------|-|-|------⌫-|
etraitsespeequibien taill e	|----||----|--|---|-----⌫|
consu t en	-----⌫|-|
le lm ens on	|-⌫-|-|-⌫-|
totlep orfentiusqu	--|-|-⌫-----|----|
diceltrai tperdi dessue ns	|---|----⌫|----|--|---⌫-|
gregoirescheualie rsboens	--------|--------⌫-|----|
de l os tiot	-||--⌫||-|
merueillostorment	---------|------|
qu ant cil delost ueientcebien	--⌫--|--|-||--|-----|-|---|
quelurforceni	--|--|----|||
uaudrar ien	-----|-⌫--|
alurrecetsen sont	|--|----||-|---|
puisont celz	---|--|---|
del chaste lmandé	--|------⌫|-----|
queilseienttrestuit	--|-|-----|-------|
quege rreie rnepoentmais	--|--⌫-----⌫|-|----|---|
atanto ntdefinélaguerr e	----|-⌫-|------|-|-----⌫|
m ise n pais tote	-⌫-|-⌫|---|---|
liduxmeismes a cont é	-|--|------||----⌫-|
le sfaiz gre go ireesa bo nt e	--⌫|---|---⌫--⌫--||-|--⌫--⌫|
t restuit dientparl acite	-⌫------|----|--|-⌫|---|
aen lui grant bon te	|-|--|----|---⌫-|
liciteanforment	-|-----|------|
petiteg rantuee irlecorent	----||-⌫---|---⌫-|-|-----|
trestuitdien t comunement	-------|----⌫|---------|
q ue o n que shomede soniouent	-⌫-|-⌫-⌫---⌫|---|-|--|-----|
ne fudepl usgenteu a lo r	-|-|-|--⌫-|----|-⌫-⌫--⌫|
ne miauz deustestres eignor	-|----|----|----|-⌫-----|
d ungrant paisodun co nt e	|-|----|---|||-|--⌫--⌫|
eques ei luenist agre	|--|-⌫|-⌫|-----||--|
quelur damese mar iast	--|--|---|-|---⌫---|
preistbi en esplei tast	-----|--⌫-|------⌫---|
tantfu l aparolemenee	---|-|-⌫|-----|----|
quedauan t	--|-----⌫|
la dameest	-|---|--|
celeparo le	---|----⌫-|
e distquesen	|---|--||-|
conseilera	---------|
l esbaronsdeso npais	-⌫-|-----|-|--⌫|---|
pu isfera cequelen_	--⌫-|---|-|--||-||
loresfudeables angoisos	----|-|------|-------|
quant ceoie	----|-|-||
m oltioios	-⌫--|----|
delai oster moltsepena	-||--⌫----|---|-|---|
quarp remeir ement	---|-⌫------⌫----|
le frereela ser or ensembl e	-|----||-|---⌫-|-------⌫|
bonporch azfera celi se mb le	--|-----⌫-|---|-|-|--⌫--⌫-|
e aioste rpuet parnulespl eit	|------⌫|---|--|--|----⌫--|
quelifilzalame res eit	--|-|---||-|--⌫-|-⌫--|
eque le prengeenmari age	|--|-|-----|-|----⌫--|
mo ltl es enmet	--⌫-|-⌫-|-|--|
enbon corage	-|--|-----|
moltsentremetd elz	---||-------||--|
soe uo lente fair e	--|--⌫----|----⌫|
p ris fu li du xesa meisnee	-⌫--|-|-|--⌫||-|------|
fu mo ltporlui desconseillee	-|--⌫-|--|--|------------|
enl aselefudesarmez	-|-⌫|---|-|-------|
e d eua n tla dame amenez	|-⌫---⌫-⌫|-|---|-----|
quan tl iduxfu deu an tladame	----⌫|-⌫|--|-|---⌫--⌫|-|---|
cuerdamorlaflame	---||---|-|----|
quari euosaimsortote rien	---|-⌫|--|--|--|---|---|
l ezsui deceque	-⌫-|--|-|-|--|
eseuo s prendrem euolez	|-|--⌫|------|-⌫|----|
me iuo lezseign orfai re	--⌫|--⌫--|-----⌫-|---⌫-|
neuospuet ueniren ormaire	-|--|---|----|--⌫-|----|
carcon tesdehautparage	--|---⌫--|-|---|-----|
nosfer unttu itpar mei homage	--|---⌫--|--⌫-|--|--|-----|
qu a ntla ot	--⌫-⌫-|-|-|
cee entent	-||-----|
iureeaff ic he fier ement	---||---⌫--⌫-|----⌫----|
queia maisnistradeprison	--|-|---||----|-|-----|
tr esqueaura la	--⌫----|---|-|
ch eualiers bonse prouez	--⌫-------|---||-----|
edor mars tr esbien	||-|---|--⌫-|---|
edecontes l esconte z	|-|-----|-⌫-|-----⌫|
elesost agesb iense rrez	|--|---⌫---|-⌫--|--⌫---|
que guerre maisne li	--|-----|---|-|-|
femenelaprendra	---|-|-|------|
qua ntliduxotle	---⌫-|-|--|-|-|
uoillene nuoille so n	-----|--⌫|-----|--⌫|
liatotp orchaciée f ai t	-||--|-⌫--------||-⌫--⌫|
sat erresen uait	-|-⌫---||-|---|
quagregoireui nt	-||-------|--⌫-|
enporp ens	-|----⌫--|
q uerreire it ch eualerie	-⌫----|---⌫-|--⌫-------|
negaaig notmie	-|-----⌫--|--|
ala contesse alaparler	|-|-------|--|-----|
ese ssode esdemander	|--⌫|----⌫-|-------|
fudefiercor age	-|-|---|---⌫--|
bonconseilenp ristcomesage	--|------|-|-⌫---|---|---|
e ot en sec re ial seneschal	|-|-|---⌫--⌫|-|--------|
q uele donraacel uassal	-⌫|--|----||--|-----|
q ue t an tlesa biensecoruz	-⌫-|-⌫--⌫|--||---|------|
e lurenemis confonduz	|--|-----|--------|
icelconseilquiestte nuz	---|------|--|--|--⌫--|
estle deablesenbatuz	--|-|------|------|
pech eles amoneste	----⌫|--|-------|
edem alfa ire	|-|-⌫-|--⌫--|
les apreste	--|------|
dient lituitco nmunement	----|-|---|--⌫--------|
que leretiengeleeme nt	--|-|-------|-----⌫-|
esilepreng easei gnor	|-|-|-----⌫||---⌫---|
quarele ne _aueir meilor	---|--|-||----|-----|
dehardementne depoer	-|--------|-|-|---|
nede saueir	-|-|-----|
t antsestd eablesentr emis	-⌫--||--|-⌫-----|----⌫---|
quelame re asonenfan tpris	--|-|--⌫-||--|-----⌫|---|
quant orentdefiné lurplait	----|----|------|--|----|
grantioiefait	----|---|---|
gregoires oten bail lie	--------|-|-|----⌫--|
terreseautremanentie	-----||----|-------|
eot r eceus es om ages	|-|-⌫---|-⌫-|--⌫---|
chastelsmisessesgardes	-------|----|--|-----|
pa rtrestot fu	--⌫|------|-|
si reec uen sd etotcla mez	--⌫-||-⌫---⌫|-⌫|--|---⌫--|
un iora so nostel ala	-|--||--⌫|----|--|
o deprimes	|-|-----|
seherberia	-|-------|
ches le bor gois oprimes	---|-|---⌫---||-----|
quiala g u erreleretint	--||-|-⌫-⌫---|-|-----|
samalecomanda	-|---|------|
lestablesp rist sien por ta	--|-----|-⌫---|-|-|---⌫-|
lesmars dor li don a	--|---||-|-|---⌫|
et ot largentquill ilaissa	|-⌫-||-----|-|-|-⌫|-----|
b ienalest ables	-⌫--||--|-⌫----|
res cosees	---⌫-----|
nef urentahome monstrees	-|-⌫----||---|--------|
susen lasele	--|-|-|---|
ce strepairé	|-⌫-|-------|
aq uis erecerché	|-⌫--||--------|
unluese cr e	-|--|--⌫--⌫|
o lesmusast	|--|-----|
illetrouast	-|-|------|
assez aq uis celeement	----||-⌫--|--------|
maisnenuit nula	---||-|--|--||
fors unenuitapres sope r	---|--|---|----|----⌫|
queen lacham breu oustaler	--|-|-|----⌫--|-⌫---|---|
cham berleinap ela	----⌫------|--⌫--|
al a chambrepr iuee ala	|-⌫|------|--⌫---|--|
quan til uec otf aitso naf aire	----⌫|--⌫--|-|-⌫--|--⌫|--⌫---|
emet reseuolstel	|---⌫-|-|----|-|
u n poigardaari e re	-⌫|--|----|---⌫-⌫-|
euitilue c	|--|----⌫|
u nlue secrei	-⌫|--|-----|
les tableselaiss a	--|-----||-----⌫|
ea p resceacos tuma	|-⌫-⌫--|-|----⌫---|
quechascum ioral otueeir	--|------|--|--⌫-|----|
celesierentesaueier	|---||----||------|
s aucuns ne fustqui les r emu ast	|-----|-|---|--|--|-⌫---⌫--|
sonse creii	--|--⌫---||
e encoracostumaplus	|----|-------|---|
letintenu s	-|---|-|-⌫|
quet antcom illes u eeit	--|-⌫--|--|-|--|-⌫---|
ploreit desoilzeduelfaiseit	------|--|---||---|------|
p or le peche e	-⌫-|-|----||
porla rag e	--|-|---⌫|
quene zesteit detiel lignag e	--|--⌫|-----|-|---|------⌫|
souent ef eiziluequ esuint	------⌫|-⌫--|------⌫-|---|
e t antcele chosema int int	|-⌫--|---|----|--⌫---⌫--|
unedancele laparsut	--|------||------|
quimaistrechambre refut	--|------|-------⌫-|--|
quantelele uitlesoilz larm er	----|--|-|--|--|---|----⌫-|
un iorcommenc ea penser	-|--|-------⌫||-----|
ecreintque	|-----|--|
aucun maltalent	----|--------|
nefust montez	-|---|-----|
r epo s tement	-⌫---⌫-⌫-----|
en tresadamee	--⌫--|-|---||
sonse i gnor	--|--⌫-⌫---|
do ntilremembrastladolor	--⌫-|-|---------|-|----|
totd r eitasa	--|-⌫-⌫--||-|
da me enal a	--⌫-|-|--⌫|
corteisement lidemanda	-----------|-|------|
entreluiesonseignor	----|--||--|------|
aueit ma ltalant neiror	----|--⌫------|-|---|
cer tesnequitqu il s eitelmont	---⌫--|-|---|-|-|-⌫--|-|---|
qui lesde liz	--|--|--⌫--|
nel esdosors	-|-⌫-|-----|
nelesioi esneles	-|--|---⌫-|-|--|
poustiamais conternedir e	----|-|---|-----|-|---⌫|
queue rsmeimaintient m is si r e	--|--⌫-|--|--------|-⌫-|--⌫-⌫|
maisenlatoefeime di	---|-|-|--|--|-|-|
por q uoi le	--|-⌫--|-|
medeman dessi	-|-----⌫--|-|
ce leli co menceadire	--⌫-|-|--⌫----||---|
cesac he dexlinostre sire	-|---⌫-|--|-|-----|---|
chascuniorueileconteentrer	------|--|--|-|----|-----|
cham bresansnui lper	----⌫--|---|---⌫|--|
ian i e ntrerasi ioios	-|||-⌫-----|-|----|
quilne senis seango i sos	-|-|-||-|--⌫-|----⌫-⌫--|
ep o rce ai iegrant dotanc e	|-⌫-⌫|-|-|-|----|------⌫|
qu ent re uos	-|---⌫-|--|
deusnait mescreance	---||--|---------|
e lerespo nt	-⌫-|-----⌫-|
cortoiseamie	-------|---|
mo ltporpensastes grantfol ie	--⌫-|-----------|----|---⌫-|
quarian aurades cordeunior	---|-||---|---⌫----|-|--|
e ntremei e monche rseignor	-⌫---|--||--|---⌫|------|
maisor i ssezhors	---|-|-⌫---|---|
damis el es	-----⌫--⌫-|
pe t itesfranch es eanceles	--⌫-⌫---|------⌫-||------|
siuosalezesban eier	-|--|---|-----⌫---|
lahorsencel	-|---|-|--|
pa laiz plenier	--⌫---|------|
cel eso ntfaittostsonco mant	---⌫-|-⌫-|---|---|--|--⌫---|
de lachambre	-|-|------|
issent maint enant	-----|-----⌫----|
enlachambreala	-|-|------|--|
p artotaquis	-⌫-|--||---|
etant cre cha	|---|---⌫--|
quel ales t ablestrouees	-|-||--|-⌫----|------|
la olicuenslesot botees	-||-|----|--|-|-----|
q uan tlestrouabien	-⌫---⌫|--|----|---|
a poideduel	|--|-|---|
q uenem orut	-⌫-|-|-⌫---|
quardoncs _bie ntote fiance	---|----||---⌫|---|-----|
esensnuledes espe r ance	|---|---|---⌫----⌫-⌫---|
qu en ceinte	-|--⌫-----|
iertdeson enfant	---|-|--|-----|
paume maintenant	----|---------|
apr esen uint allitcorant	---⌫-|-|---|-|--|-----|
eel e iut oso nenfant	|--⌫|--||--⌫|-----|
ses c heuiauztrait	--|-⌫------|----|
ebrai tecrie	|----⌫||---|
ma isn eel	--⌫---⌫-||
liseneschalsquimoltl ama	-|---------|--|---||--|
uint alisi lid emanda	---||-|-|-|-⌫-----|
dameq ueu os estauenu	---|-⌫-|-⌫-|--|----|
eleen p lorant ar espondu	--|-|-⌫-----||-⌫------|
ie nai soingde	-||-|----|-|
loncpl aittenir	---|--⌫--|----|
faitestostmon seigno rue n ir	-----|---|--|------⌫|--⌫-⌫-|
quaror endreit i	---|--⌫------||
eseno nmais ne l uerrai	|-|--⌫|---|-||-----|
cilfist m onteru nescuer	--|---|-⌫----|-⌫|-----|
isnele ment sorsondestrier	------⌫---|--|--|-------|
deciqualbois reg ne ne	-----|-|---|---⌫-|-|
gre goireses teitl i sire	---⌫-----|--⌫---|-⌫|---|
quantille uit uenir poignant	----|-|-|--|----|-------|
en contreuinte s poronant	--⌫-----|---|-⌫-⌫-------|
silideman de quelsnoueles	-|-|-----⌫-|----|------|
ecillidist	|--|-|---|
madameu os de m ande	-|---|-⌫-|--⌫-⌫---|
n ena dedemorancesoing	-⌫-||-|--------|----|
che uauc hez tostnedemor ez	---⌫----⌫--|---|-|-----⌫-|
siuo so to sneparlerez	-|--⌫||--⌫|-|-------|
ne p ar lerezce qu it	-|-⌫--⌫----|-|--⌫-|
ciluousistm iauz	--|------|-⌫---|
morirc edit	----|-⌫|--|
f aitenoueleoist	-⌫---|-----|---|
dangoisse tressueefermi st	|-------|------||-----⌫-|
arieret ornel echeu al	-----|-⌫---|-⌫|----⌫-|
detintne montne ual	-----|-|---|-|--|
otregne sache e	-|----|-----⌫|
ne par ruene par	-|--|--|-|--|
ainzuint poignant tot a es lais	---|---|-------|--||--⌫---|
d eciquedeuant	-⌫-----|-----|
quant gr ego i resa pi e descent	----|--⌫---⌫-⌫--||--⌫|------|
l a uoizdela dameentent	-⌫|---|-|-|---|-----|
anceis quei lautre	------⌫--|-⌫|----|
parmila sales entrecort	----|-|---||--------|
enla cha mbreentr equifu peint e	-|-|---⌫---|----⌫|--|-|-----⌫|
e uitla dameneire e	|--|-|---|----||
quantl amereuitso nenfant	----|-⌫|---|--|--⌫|-----|
s ilaenbraci éma int enant	-⌫|||-------⌫-|--⌫---⌫----|
l esioi es dur e nt	-⌫-|---⌫-|---⌫-⌫-|
l acolerelenbr acem en t	|-----|||----⌫----⌫--⌫|
quelamereuersson fiz	--|-|---|---|--|--|
deci qua no net otepleine	----⌫-||--⌫-|-⌫--|-----|
qu antlachambre fudeliure e	--⌫--|-|------|-|-------⌫|
licuens a la dameapelee	-|----||-|---|-----|
damefaitilmerueil e ai grant	---|---|-|-------⌫|-|----|
quemalade estes	--|-----|----|
ensi fait i l entantpoid	---|---|-⌫|-|---|--||
a bienp r es	|---|-⌫-⌫-|
quedes oilzne	--|--|---|-|
encorehui matinal i or	-----|--|----|-|-⌫-|
uosmal ne dol or	--|--|-|---⌫-|
orestes ia tot e mue e	-|----|-|---⌫|---⌫|
e pale edescoloree	|---||---------|
dite so uo s tient	----⌫||--⌫|----|
plusgrieuement	---|---------|
moltuosestp ris	---|--|--|-⌫--|
ei eueique	|-⌫|--|--|
n i aenfe rte	|||----⌫--|
dontuosaiezle	---|--|---|-|
cors greu e ́	---|----⌫-⌫|
lorsresp ondiladamefranch e	---|----⌫---|-|---|------⌫|
qui delplorere ste ites tanche	--|--|-----|-⌫---⌫-|--⌫-----|
cesteenfertezestsia uerse	----|-------|--|-|-⌫----|
si honieesidespers e	-|----||-|-------⌫|
qu en terre na	-|-|----|||
celeracine	---|-----|
qui mepoustfa ir emecine	--|-|----|--⌫--⌫|-----|
aurai garison	----|------|
nep arhe rben epar	-|-⌫-|--⌫--|-⌫|--|
biaussiremiscuers	----|---|--|----|
dites sideus uos beneie	----|-|---|--|-----|
nel mecelezpor amorde	-||-|----|--|---|-|
seuos sauez en ueri te	-|--|----|-|----⌫-|
dontfustesq uiest	---|-----|-⌫-|--|
u ostrep ere	-⌫----|-⌫--|
otnonuostremere	-|--|-----|---|
lors se nbronch e l i cuens aua l	---||-⌫-------⌫|-⌫|----|---⌫|
neli resp ondib iennemal	-|-|----⌫---|-⌫--|-|--|
quantparleroidel	----|-----|-|--|
troblezen f u enson corage	------|-|-⌫|-|--|-----|
que ne parlez	--|-|-----|
certez pornientle	-----|--|----|-|
illirespontl aissezm e npais	-|-|------|-⌫-----||-⌫|---|
iamar menparlereziamais	-|--||-|-------|-|---|
ne l diraia femenahome	-||----||---|||---|
portotlauer	--|--||---|
qu iesta rome	--⌫|--||---|
q uantce oi ladamefranche	-⌫---|-|-|-|---|------|
les tablestrai forsde samanche	--|-----|---|---|-|-|-----|
coneues les alisire	------|--||-|---|
doncsnepar sieti lmaisque di re	----|-|--|---|-⌫|---|--|--⌫-|
m iauzuo u sistmorire nplace	-⌫---|--⌫-⌫---|----|-⌫|----|
n esietque	-⌫|---|--|
dir eneque	---⌫|-|--|
plo redesoilzmolta granthonte	---⌫-|--|---|---||----|----|
ladam er apelele conte	-|---⌫|-⌫----|-|----|
certesfaiteleie	-----|---|--|-|
qued eceneuautcelerrien	--|-⌫|-|-|---|----|---|
qu echascun iorsolez aler	--⌫|------|--|----|---|
l aenzuos tab les regarder	-⌫---|--|---⌫--|-------|
quantd e denzauezli tassez	----|-⌫-⌫---|---|--⌫|----|
ne seiquedei tmaispuisplorez	-|--|--|---⌫|---|---|-----|
merueilmei molt	------|--|---|
maisnepo rquant	---|----⌫-----|
decelairai ore atant	-|-|-----|--|----|
mais oruos pri que ne	---|-|--|--|--|-|
p arcelefeiq u eme	-⌫-|---|--|-⌫-⌫|-|
porhontedenulautre afaire	--|----|-|--|----|-----|
nemen dotezueir a	-||-|----|---||
ret rair e	---⌫----⌫|
seceste choseestdeuos	-|----|----|--|-|--|
qui e stables trouaiescrite	--|-⌫|-----|-----|------|
qune sueruos ot de	|--|---|--|-|-|
euostreon cle s	|-----|--⌫---⌫|
fuuostrepe re	-|-----|--⌫-|
e que enmerf uissezget ez	|--|-|--|-⌫-----|---⌫-|
enes lepasquefuisse znez	----⌫----|--|------⌫|--|
gregoir esueiteentent bien	-------⌫-|---||-----|---|
que celernelimonte	--|----|-|-|----|
quar ladam e alesletres li te s	---|-|---⌫||--|-----|--⌫--⌫|
tablesier ent escrite s	-----|---⌫--|-------⌫|
d eufaitilami e	-⌫-|---|-|---⌫|
nerecord e ztiel	-|------⌫-⌫|---|
nela dei t oms urre m enbrer	-|-|---⌫|-|-⌫----⌫-⌫-----|
ne detiel meru eileparler	-|-|---|----⌫---|-----|
sachezqueiesui	-----|--|-|--|
cipechables	-|--------|
dontlestoire est es crite es t ables	---||------|--|--⌫----|-|-⌫----|
d ontoiss ez merueilese duel	-⌫--|----⌫-|--------||---|
chascunsuousistmorirsonuuel	-------|------|----|--|---|
lad amereparol eapeine	-|-⌫--|-------⌫||----|
las secumdo lo ros e e str eine	---⌫-|--|--⌫--⌫---⌫|-⌫---⌫---|
fuinee en cest siecledemere	--|--|-|---|-----|-|---|
quarprimespechaiomon	---|-----|-----||--|
tan tquedesa charenceintai	---⌫---|-|-|---|--------|
enf a nt d edenz meieportai	---⌫-⌫-|-⌫----|--||-----|
equant i lfu	|----|-⌫|-|
nezenla mer	--|-|-|--|
le fis pormon peche	-|--|--|--|----|
puisnap artinta m eiderien	---||--⌫-----||-⌫-|-|---|
silota pres oma lo	|-|-|-⌫---||--⌫||
si luesquia due loa hont e	|-⌫|-----||---⌫|||----⌫|
silmorutie	|-|----|-|
n ent incon te	|-|-⌫-|---⌫-|
tantue nuze alez	---|--⌫--||---|
litensquiilestrasemblez	-|---|--|-|--|--------|
ens a mbleomeiparma ria ge	---⌫-⌫---||--|--|--⌫---⌫-|
cilqui estme sfiz de lignage	--|--|--|--⌫|--|-|------|
orsui sespos e	-|--||-----⌫|
cilestmi fizd emonfrere	--|--|-|--|-⌫|--|----|
tote ensuicerterien ne dot	---|-|--|----|---|-|--|
le ueir enaitrouéde	-|---|-|-|-----|-|
escriste stelstableslestoire	------|-⌫-|--|-----||------|
quimeramen teen	--|-|-----⌫-|-|
mesmainsescri	--|----|----|
quant lenfantenme r	----||-----|-|--⌫|
g et erfis	-⌫--⌫-|--|
gloirequedeu endrai	-----|--|---⌫-----|
ia mai s nuiliorioie n	-|---⌫|---|--|---||
mer ueileme	---⌫----|-|
coment la terre mesostient	-----|-|----|-|-------|
queeledeso zmeine font	--|--|----⌫|--|-|---|
quaronq ue smai sentotc estmo nt	---|---⌫--⌫|---⌫|-|--|-⌫--|--⌫-|
ne quit qu ifustmale uree	-|---|--⌫|---|----⌫---|
que tantparfusta mal menee	--|---|--|---||--|----|
haidexp or qu eineme do n as	--|--|-⌫-|--⌫-|-|-|--⌫-⌫-|
queiemorusse ene llepas	--|-|------|---⌫-----|
quefu bati zee	--|-|----⌫--|
ainzqueeussetieldestinee	------|----|---|-------|
la dolor e	-|----||
oai to z iors	|-|--⌫|---|
esténo rie	----|--⌫--|
se don s morusse	-|---⌫|------|
aceltermeq uesauuefusse	|--|----|-⌫-|----|----|
nequitque iee nfus sedeliur e	-|---|--|-|-⌫|---⌫-|------⌫|
por penit e n ce	--|-----⌫-⌫-⌫-|
neporaumosne	-|--|------|
ne par neg unebonechose	-|--|---⌫--|---|----|
la da me ensis eco npla igneit	-|--⌫-|---|-⌫|--⌫----⌫-----|
egregoirebien l entende it	|-------|---||-------⌫-|
bie n_porueir	---⌫||--|---|
e n soncorage	-⌫|--|-----|
queorconois s eitsunlignage	--|-|------⌫-⌫--|--|------|
la dame distne tamez	-|---|---|-|----|
o rpriqu euos rec onfor tez	-⌫|--|--⌫|--|---⌫-----⌫--|
queauonsdetens	--|----|-|---|
se no s pargrantsens	-|--⌫|--|----|---|
p u isquela choseestc oneue	-⌫-⌫----|-|----|--|-⌫----|
quidenosest au e nue	--|-|--|--|--⌫-⌫--|
gar tbienchasc unse pre ndre	---⌫|---|-----⌫--||---⌫---|
damandement	|---------|
aucunconrei	----|-----|
mal auons faitce no ses tuis	--|----|---|-|--⌫|--⌫|--|
gar dero nsnos de	---⌫----⌫-|--|-|
pensonshu imaisdefaire bien	------|--⌫----|-|----|---|
quardesco nforznen os uautr ien	---|-----⌫----|-|-⌫-|---|-⌫--|
uersde usomes nosmoltcolp able	---|--⌫|----|--|---|----⌫---|
maisi l n os	---|-⌫|-⌫-|
se ramerciable	--⌫-|--------|
silueit qu e aionsrepentance	|-|---|--⌫|----|---------|
ecuerde fairepenit ence	|---|-|----|-----⌫---|
s elo nclacolpeelepeche	-⌫---⌫-|-|----||-|----|
d unt nos auons lecolcharge ́	-⌫--|--|----|-|--|------⌫|
haideablesf el tiranz	--|------|-⌫-|-----|
cumescruese	--|-|----||
soz du anz	---⌫--⌫--|
moltn os quidesauer	---|-⌫-|-----|---|
eentes laizlac ez emis	|-|--|---|---⌫-||--|
molttep einesentoteguise	---|-|-⌫----|-|---|----|
demetrenosen	-|----|--|-|
tons eru i se	--|-⌫---⌫-⌫-|
iam ai s demeiseiai	-|-⌫--⌫|-|--|-||-|
naurasbailieen nu leplace	|----|-----|-|--⌫-|----|
seieaifa it	-|-|-|--⌫-|
tau olente	-|-⌫-----|
ne lai ae sciento uré	-||-||-⌫-----|-⌫---|
mesfaizm esui d etoi ser u ir	------|-⌫|--|-⌫|--|---⌫-⌫-|
ma is s i dex m euolt consen tir	--⌫-|-⌫|--|-⌫|---|------⌫--|
onques delmal	-----|--|--|
nefustsi lez	-|---|-|--|
cumtudel bie ns erasirez	--|-|--|---⌫|-⌫---|---|
eies eraisedexm	|-|-⌫---|-|--||
queun solpe titde tens aie	--|-|--|--⌫--|-|---|--|
or alisiressi parl é	-||-|----|-|----⌫-|
edist molt	|---|---|
par ai desirré	--|-|-------|
quem o nlignage coneusse	--|-⌫-⌫|------|-------|
edequel parente	|-|---|------|
orle conois	-|-|-----|
enitielguise	-|----|----|
que u eirementtotadeu ise	--|-⌫-------|--||---⌫--|
conoisqueuoseste s mamere	-----|--|--|----⌫|-|---|
e mesposesuerdemonper e	||-----|---|-|--|---⌫|
damedist ilor	---|---|-|-|
dese u rons	----⌫-⌫---|
iamaisiequ itne	-|---|-|--⌫-|-|
n osuerro ns	-⌫-|-----⌫-|
deciqual iorde iugement	-----|-|--|-|-------|
quedex iugeraitotegen t	--|--|------|---|---⌫|
il uecnos couend r a estre	--⌫--|--|------⌫-⌫|----|
deuantl aface alreicelestre	-----|-⌫|---|-|--|-------|
e doncsnos	|----|--|
_ier tgrieuementretrait	|---⌫|---------|------|
s icumiecui t	-⌫|--|-|---⌫|
nostrem esf a it	-----|-⌫---⌫-⌫-|
en la bala nce_iert pesé	-|-|----⌫--||---|----|
