f ormchdouai01 20Sacent	-⌫--|---------⌫-|-----|
seshoirs e t lafer aotroier	--|----|-⌫|-|---⌫|------|
à-sae ler à-	-||---⌫--|-||
iureret à- g arde rà	----|-|-||-⌫----⌫|-|
-safemme et à-ses anfa ns.	|-|----|-|-||--|----⌫-||
Et pour ces t e c hosemeismes	-|---|---⌫-⌫|-⌫---|------|
sedoitilsousmetr ee speciaume ntenla iuridic tion de	-|---|-|--------⌫|-⌫---------⌫-|-|-|-------⌫---|-|
deC haa l ons etde lesueke	-|-⌫---⌫-⌫--|-|-||-----|
d eToulqueilsidefa i lloite n	-⌫|---|--|-|||----⌫-⌫----|-⌫|
aucun esd eces chosesouentoutesqueil	-----⌫-|-⌫|--|-----|-|-|-----|--|-|
lou puissente scoumenieiret sa terremettre	--|-------|-⌫----------|-|-|----|-----|
en- entredi tetag reuerap ré sselo ncce	-||-------⌫|-|--⌫----|--⌫---⌫|----⌫-|-|
quedrois apor teroit	--|----|----⌫-----|
Etuolonsanco ret o rdenonsque li	-|-----|----⌫|-|-⌫------|--|-|
deu ant dissiresdeIai nuil es	---⌫--|--|----|-|---⌫----⌫||
oblig e à -c e lui	-----⌫|-||-⌫|--|
et seshoirspa r son saire mantq uequiq uion quessera d	-|--|----|--⌫|--|-----⌫---|-⌫-|----⌫----⌫---|---||
auantsiresdeIa inuiledoierenouueler	----|----|-|--⌫-----|---|---------|
etconf ermer dedans loupremieran ceste	-|----⌫----|-----|--|------|-|----|
or de nance.	--⌫--⌫----||
Et ordenonsencor que	-|-------|----|--|
ses co mm andemansnepuientnenedoientm enernefaire	--|--⌫--⌫-------|-|-----|-|-|-----|-⌫---|-|----|
me nerlou boisde	--⌫--|--|---|-|
Ma astonne d ouWautfor s que	--⌫----|-|-⌫-|---|---⌫|--|
leus de susdisq u i[l]i-o ntlour ysouaires	---|--⌫--|--|-⌫|---|||-⌫-|---|--------|
Ettoutesces conuenancesdo ientli	-|-----|--|----------|--⌫---|-|
abbes qu iorest	----|--⌫|-|--|
etcilquiapr ésluiuenron t	-|--|--|---⌫--|--|------⌫|
faireiur erau spri ous	----|---⌫-|--⌫|---⌫--|
deSaint Ame età-	-|----|--|-|-||
lou rc ommandemans quiusero nten	---⌫|-⌫----------|--|-----⌫-|-|
-l a-forest	|-⌫||-----|
etlisire sdeIainu ilelourd oi t iurer et	-|-|----⌫|-|-----⌫--|---|-⌫--⌫|----|-|
faire iu re rà	----|--⌫--⌫|-|
-son prou ost	|--|----⌫--|
for estiers.	---⌫------||
Ent esmoign agedelaquelchose nos	-|-⌫-------⌫--|-|-|---|----|--|
auon ssa aleies ces	----⌫|--⌫-----|--|
lettresde nossaés.	------|-|--|----||
Cefufaita ̀Saint Desieren	-|-|---|-⌫|----|-----|-|
l andegrace	|-|-|----|
mildoucensetsexante-q uatr eans ou-	--|--|---|-|------||-⌫----⌫|--|-||
moisdeiu llet .	---|-|--⌫---||
IehansetAal isdeuantditloo ns	-----|-|---⌫-|-----|--|---⌫-|
et ot troions	-|--⌫------|
confermonsetapr o uon s	---------|-|---⌫-⌫---⌫|
tou tesces chosesdesusditeset di u isei es	---⌫--|--|-----|----|----|-|--⌫-⌫----⌫-|
etlesauons promiseset pr ometonsà -	-|--|----|-------|-|--⌫------|-||
teniret à	----|-|-|
-garderferm emant	|-----|----⌫----|
etlei a ment e tceauonsnousiureisou rsa i nset	-|---⌫-⌫---|-⌫|-|----|---|----|---⌫|--⌫-⌫-|-|
fait iurernost rep reu ost eta ̀ -	---|----|----⌫-|-⌫---⌫--|-|-⌫||
nosfourestiers	--|----------|
deIa inuileet	-|--⌫-----|-|
liseignourquit enro ntIainuileetlipreuost	-|-------|--|-⌫----⌫-|-------|-|-|------|
e tliforestier ainsicomil	-⌫|-|--------|----|--|-|
unsa prés les au tresferontces tsairemantaus	--|-⌫----|--|--⌫---|-----|---⌫|--------|--|
abbei sdedansl an ein si com il	-----⌫|-----||-|---⌫-|--|-|
uenron tliunsaprés	------⌫|-|--|-----|
SaintOurbain .	----|------||
EtieIoff roisetie I ehans	-|-|----⌫---|-|-|-⌫----|
filauseignourd e Iainuileauons iureies	--|-|-------|-⌫|-------|----|------|
c es choses à- tenir	-⌫-|-----|-||----|
età-garde r fermema nt etpour ce que	-|-||-----⌫|-------⌫-|-|---|-|--|
nousnauiensnusseausieIoffroisiaifait	---||-----|--|----|-|-------||-|---|
mettre lou seel	-----|--|---|
labbeyd Escureie tie Iehans	|----||------|-⌫|-|-----|
i ai f ai t mett r elou seell ou deyendeSaint	|-|-⌫--⌫|----⌫-⌫|--|---|-⌫-|----|-|----|
Lore ntdeIa inuile.	----⌫-|-|--⌫-----||
EtieIe hanssiresdeIainuileetsenes chaus deCh ampaigne	-|-|--⌫---|----|-|-------|-|-----⌫----|-|--⌫-------|
etieAal isdame de	-|-|---⌫-|---|-|
Iain uile etno usIoffrois	----⌫---|-|--⌫-|-------|
etIehan sdesusnonme ip or c este chosemiaus	-|-----⌫|----|-----⌫|-⌫-|-⌫---|----|----|
garderet ten irnou ssonmesnoussousmispournous	-----|-|---⌫-|---⌫|-----|---|------|---|---|
etpor noshoirs enla	-|--|--|----|-|-|
iuridition de l esuesqued e	---------|-||-------|-⌫|
Chaa lonsetdeles uesquedeToul q ue	----⌫---|-|-||--⌫-----|-|---|-⌫-|
defailliensou	----------|-|
aleyensencont rede ceschoses deua ntdites d e	------|------⌫-|-|--|-----|----⌫-|----|-⌫|
partieoudeto ut quei ln o us p uisse nt escoume nier et	-----|-|-|--⌫-|--|-⌫|-⌫-⌫-|-⌫-----⌫-|-------⌫---|-|
n ostreterremettreenentreditet	-⌫----|----|-----|-|-------|-|
agreueraprés seloncce que droisaporteroit.	------|-----|-----|-|--|----|---------||
Et i eIe h a nssire sde Ia inuile	-|-⌫|--⌫-⌫-⌫-|----⌫|-|--⌫-----|
ets eneschausd eChampaigneet	-|-⌫--------|-⌫|---------|-|
ieAalisdame deIainuile auons	-|----|---|-|-------|----|
mis nossaése nces presenteslettre saueclessea us	--|--|----|-⌫|--|--------|------⌫|---|--|---⌫-|
des dou s arbritres et	--|---⌫|--------|-|
aueclessea us de l	---|--|---⌫-|-||
abb e i dEscureietdou	---⌫-⌫||------|-|--|
deyendeS aint Lorant deIainuileq u e li	----|-|-⌫---|-----|-|-------|-⌫-⌫|-|
disIoffroisetIehans	--|-------|-|-----|
y - ontfaitm ettre p arn o stre	||--|---|-⌫----|-⌫-|-⌫-⌫---|
uol entei.	---⌫----||
Cefufaite nl ande grace	-|-|---|-⌫||-|-|----|
mildoucensetsexante	--|--|---|-|------|
quatre ans oum ois deiulletdeu ant	-----|--|-|-⌫--|-|-----|---⌫--|
ChH M2 37E nnomdou	---⌫--⌫-|-⌫|--|--|
Pe ire etdou	--⌫--|-|--|
Filet douSaint	--|-|--|----|
Esperitamen.	------|---||
Ie R ena uz deBar	-|-⌫---⌫-|-|--|
cheualiersfreiresa ̀ThyebautcontedeB ar	---------|------|-⌫|-------|----|-|-⌫-|
faz cognuissantàtouz ceusquicesletr e su er ront	--|----------|-|---|---|--|--|----⌫-⌫|-⌫--⌫---|
ouoirrontqueie	-|------|--|-|
aifonde eetedifi eee nl onorde De uomnipotent	-|-----⌫|-|-----⌫-|-⌫||---|-|--⌫|---------|
etdesag lor iouse meire e tdetouzs ains et	-|-|-|-⌫---⌫----|----|-⌫|-|---|-⌫---|-|
deto utes sa intesla	-|--⌫---|--⌫----|-|
Maison De u de Brau zquisiet	-----|--⌫|-|----⌫|--|---|
enmaterrededanzlefinaige d	-|-|----|-----|-|------||
Anseruillemauillequi es tde lady ocese deChaa lons	---------|-|----|--|--⌫|-|-|--⌫----|-|----⌫---|
p orla rem is sion de mes pechieze tla	-⌫-|-|---⌫--⌫---|-|--|------|-⌫|-|
sa u ue te idema rmeetpo r	--⌫-⌫--⌫--⌫|-||-⌫--|-|--⌫|
l aremission des	-⌫|--------|--|
pech iez àmes	----⌫--|-|--|
a ncessor setla	-⌫-------⌫|-|-|
sauueteid elorarmes.	-------|-⌫|--|----||
Et iaidoneipor la so stenance desp ouur es	-||-|----|--|-|--⌫-------|--|-⌫----⌫-|
tr esp assa nshoste lezlaanzet despouuresgisanslaanz mala idest ou tes	--⌫---⌫----⌫-|-----⌫--|----|-|--|------|-----|----|----⌫---|-⌫--⌫--|
mesuignesd	--|-----||
Anse ruilled esquels	----⌫-----|-⌫-|----|
u ignesliunes ietdesla	-⌫----|-|--|-⌫--|--|-|
ual B ernartiusque à	--|-⌫-----|-----|-|
Ma cherommeisetune autreuignequ i fuGuil laum e le	--⌫---------|-|--|----|----|--⌫|-|----⌫----⌫|-|
Texerant quisie tenla Perriereetunea utre	-------|--|---⌫|-|-|-------|-|--|-⌫---|
ui gn equisietauchiésde	--⌫--⌫|--|---|-|-----|-|
la Perriere	-|-------|
en Frait izMarguerite.	-|-----⌫-|---------||
Etiai donei	-||-|----|
àtou z iors me s	-|---⌫|---|--⌫|
fursd Anseruillequi	---||---------|--|
sont bannalneautre furnepoentestrefait	---|-----|-|----|--|-|----|----|---|
a ̀ A nse ruillene enfinaige dAnseruille	-⌫|-⌫---⌫-----|-|-|------||---------|
q ui n e so ient à laditeMaisonDe ude	-⌫-|-⌫|--⌫---|-|-|---|-----|--⌫|-|
Brauzetdoiuent	----|-|------|
panrebusche li	----|-----|-|
f reire decelleditemaisonpor	-⌫----|-|----|---|-----|--|
affoue r lesdizfur sen b apteiz dA nseruille	------⌫|--|--|---⌫|-|-⌫-----||-⌫--------|
Et aid oneià celledite maison troisc harruaig es	-|-|-⌫---|-|----|---|-----|----|-⌫--------⌫-|
deter rearaiblequisieentenla f ind	-|---⌫-|------|--|-----|-|-|-⌫-||
Anseruil ledesquelsieaiacques te ile sdous et	--------⌫-|--|----|-|-|------⌫--⌫|--⌫|---|-|
litiersest	-|----|--|
de mon demainne se siee nt lid ui char ruaige que	-|--|-------|-|----⌫-|-|-⌫-|----⌫-----|--|
iea i acquesteidauan tetentor	-|-⌫|--------|-----⌫|-|----|
celled iteMaisonD eude	----|-⌫--|-----|-⌫-|-|
Br a uz ent reChamoilleietlaCr oteet litiersqui	--⌫-⌫-|---⌫-|---------|-|-|--⌫--|-|-|----|--|
estdemondemoinne sie t entr e Betain co rtet	--|-|--|-------|---⌫|----⌫|------⌫--⌫-|-|
Chancenay et A nseruillededanzlefin aige d Ans eruille eton t	--------|-|-⌫--------|-----|-|---⌫---||---⌫------|-|--⌫|
prisàg rei lifreirede	---|-|-⌫--|-|-----|-|
cellediteMais onDeu	----|---|----⌫-|--|
deB r auzces dizt roischa rru aigesensicomil	-|-⌫-⌫--|--|--|-⌫---|---⌫---⌫----|---|--|-|
lorfurentliureiauio r quec esletr esf urentfaites	--|-----|-----|-|--⌫|--|-⌫-|----⌫-|-⌫----|-----|
Ettout ced e preizq ue ieauoie	-|---|-|-⌫|----|-⌫-|-|----|
en finaige d Anseruille ce est	-|------||---------|-|--|
àsauoiri usqueàsix fauchiesqui	-|-----|-⌫----|-|--|-------|--|
sie ente ntrela ri uieredeMarneet lesu igne s	---⌫--|-⌫---|-|--⌫----|-|----|-|--|-⌫----⌫|
dAnseruil lee tentre ladau antditeM aison	|--------⌫-|-⌫|----|-|---⌫--|---|-⌫----|
D e ud eBrauz	-⌫-⌫|-⌫|----|
u uelet otroi	-⌫--|-|----|
freir edeladite Mais onDeu deBrauzpuissentacquester	-----⌫|-|-|---|----⌫-|--|-|----|-------|--------|
a ueccesd itessix fa uchi es depreiz iusq ueà	-⌫--|--|-⌫---|--|--⌫----⌫-|-|----|----⌫-|-|
uintf auchiesde preizquine medeuroie ntpoint	---|-⌫------|-|----|--|-|-|-------⌫-|----|
donei toutmonb o isqueondi tF o re st	----|---|--|-⌫-⌫-|--|-|--⌫|-⌫-⌫--⌫-|
qui siet e ntre	--|---|-⌫---|
Anseruilleetlariuierede	---------|-|-|------|-|
Ma rn eetquiest ioinsa uboisdeSaint	--⌫--⌫|-|--|--|----|-⌫|---|-|----|
Et ai donei a ̀ ladauant -dite	-|-|----|-⌫|-|-----||---|
Maison Deu machape lequi	-----|--|-|-----⌫-|--|
est dedanzmonmanoirdAnse ruilleet	--|-----|--|-----||----⌫-----|-|
la doiuent	-|------|
lifreirepr este deladite	-|-----|--⌫---|-|-|---|
Mai sonDeudeseruir	---⌫--|--|-------|
et chanterp ar	-|------|-⌫-|
t ro is iorsen la sem a inneet	-⌫--⌫-|---|-|-|---⌫-⌫---|-|
quant sires	----|----|
o udame de lauilleseraaulou ili	-⌫|---|-|-|----|---|-|--|-||
cha nterchascunior.	---⌫---|------|--||
Etaidonei àladit e	-|-|----|-|-|---⌫|
Mai sonDeudeBrauz	---⌫--|--|-|----|
a ̀Aunoymauille une grange etce	-⌫|----|-|----|--|-----|-|-|
deterrearaible	-|----|------|
queieauoie	--|-|----|
enfinaige decelleuille d A unoyau	-|------|-|----|----||-⌫---|-|
io rqu e c esl etres furent fai te s etuuel etot ro i	--⌫|--⌫|-⌫-|-⌫----|-----|---⌫--⌫|-|---|-|--⌫--⌫|
quel ifreire de ce llediteMaison De u	--|-⌫|-----|-|--⌫--|---|-----|--⌫|
puis sent tanta cquesteren fin ai ge de cellediteuillede	----⌫---|---|-⌫-------|-|---⌫--⌫-|-|----|---|----|-|
terrearai ble	----|----⌫--|
i-aientdouscharruaigesde ter re chascuncharru aige	||----|---|----------|-|---⌫-|------|------⌫---|
des ixuinz iorne ls dete rre.	-|-⌫-|---|-----⌫-|-|--⌫--||
Etiaidone i unefauchiedeprei qui	-||-|----⌫|--|------|-|---|--|
s i etenfinaige	-⌫-⌫-|-|------|
deLe uynecortsuslariuie red eSau zdelez le	-|--⌫-------|--|-|-----⌫-|-⌫|---⌫|----|-|
most ie rde Syainne	----⌫--⌫|-|------|
otroiquelifr eire delad i te Mais on	----|--|-|--⌫---|-|-|-⌫-⌫-|----⌫-|
Deupuissent	--|-------|
acquesterenfinaige dAunoyauec	--------|-|------||----|---|
celui prei	----|---|
i usque àuintfauchies	-⌫----|-|---|-------|
depreizqu i	-|----|--⌫|
re ntenem edeuroient .	--⌫--|-|-⌫|--------||
Etaidonei à	-|-|----|-|
ladau ant-dite Ma is onDeutouzlesfur s	-|---⌫--||---|--⌫--⌫-|--|---|--|---⌫|
etlesterr aigesde celle	-|--|----⌫----|-|----|
diteuille dAunoy	---|----||----|
etdoiu entpanre buschelifreirede ladi teMaison	-|----⌫--|----|-----|-|-----|-|-|--⌫-|-----|
Deu de Bra uzpor	--|-|---⌫-|--|
affouerl es	------|-⌫-|
fursd Au no ye n	---||--⌫--⌫|-⌫|
b apteizdAunoy neautre furnepoent estre	-⌫-----||----|-|----|--|-|----|----|
faità A u noyneou fina i ge d	---|-|-⌫-⌫--|-|-|----⌫-⌫-||
Aunoyqu in esoientàladite	----|--⌫|-⌫|-----|-|-|---|
M aisonDeude Brauz etdeces furs etde	-⌫----|--|-|----|-|-|--|---|-|-|
ceste rraiges d Au noydauant	--|--⌫------||--⌫--|-----|
- d izdoiuentlifreirede	|-⌫-|------|-|-----|-|
laM aisonDeudeBrauz rendrechascunanau	-|-⌫----|--|-|----|-----|------|-|-|
chapitredeSaint Es te inn e deT o ul uint	-------|-|----|--⌫--⌫---⌫|-|-⌫-⌫-|---|
et cinc meuesde	-|---|----|-|
blesaumuid eBarleDu c	---|-|--|-⌫|--|-|--⌫|
lamoitié waimet	-|------|---|-|
moitié aueinne lesquelsuintet cincmeuesde	------|------|--|----|---|-|---|----|-|
bleslicuensThyebauzde Barmesaiou s	---|-|----|-------|-|--|--|----⌫|
l or donaenau mos ne.	-⌫-|---|-|--⌫---⌫-||
Etaido neiàladiteMaiso nDeude	-|-|--⌫--|-|-|---|-----⌫|--|-|
Br auzdixar pansdeboisen finaige	--⌫--|--|--⌫---|-|---|-|------|
dA unoypor	|-⌫---|--|
laffouaigede la	|--------|-|-|
d auant-dite g range d Aunoyli	-⌫----||---|-⌫----||----|-|
si etdaua n tcelle dite	--⌫-|----⌫-⌫|----|---|
gra nge enm onb oisque ondit leBois do u	---⌫--|-|-⌫-|-⌫--|--|-|--|-|---|--⌫|
ces boisqu edoneilor aià	--|---|--⌫|----|--|-|-|
Anseruil leetàA unoy poentilmetre lor	--------⌫-|-|-|-⌫---|----|-|----|--|
forestiersauec les	---------|---|--|
chascun deces lousunfore stiere tdoiuent panre	------|-|--|---|-|----⌫----|-⌫|------|----|
la moitié	-|------|
desemmendes des forfaizqu i s eroientfaiten	--|-------|--|------|--⌫|-⌫------|---|-|
lorbois desus	--|---|----|
dizetie ou miheir	--|-|-|-|-|---|
l autrem oitié.	|----|-⌫-----||
Etuueletotroique l aMaisons De u	-|---|-|----|--|-⌫|------|--⌫|
deBr auzet	-|--⌫--|-|
t uit l im embrede celle dit emaisonaient	-⌫--|-⌫|-⌫----|-|----|---⌫|-----|----|
lorspasturai gesp orlor bestesgrosses et menues	---|--------⌫--|-⌫-|--|-----|------|-|-----|
pa rtoute ma terresau sles tail leiz desb oisqu i	--⌫|----|-|----|---⌫|--|----⌫---|--|-⌫--|--⌫|
passe ́ ci ncansen teilmen i ereque laMa isons Deu	-----⌫|--⌫-|--|-|---|---⌫-⌫--|--|-|--⌫----|--|
deBrauzi-aurapasturaige	-|----|||---|---------|
iusquesàmi lberbisetius quesa ̀ q uarante	------|-|--⌫|-----|-|---⌫---|-⌫|-⌫------|
uachesetportouzles bués	-----|-|--|---|--|----|
qu ilaboreront	--⌫|---------|
l esterresa raiblesetpor dixcheuauspastu raubles etpor	-⌫-|-----|-⌫------|-|--|--|------|-----⌫------|-|--|
ka rante porspasturaub lesetquant il	--⌫----|---|---------⌫--|-|----|-|
aurapaissonenmes bois il i -	---|------|-|--|---|-|||
poentenuoieruint delorporsp or	----|------|---|-|--|---|-⌫-|
engraissi er tan t comla paisson s	---------⌫-|---⌫|--|-|-------⌫|
du rr a et lagrangedauan t	--⌫--⌫|-|-|-----|-----⌫|
- d itedAunoy	|-⌫--||----|
aurapasturaigepar to utemat erre	---|---------|--|--⌫--|-|-⌫---|
porau tretant de	--|--⌫------|-|
bestescomladiteMaisonsDeudeBr auz	-----|--|-|---|------|--|-|--⌫--|
Et uuele totroiqueladite	-|---|-⌫|----|--|-|---|
Maisons D eudeBrauzaitsonmugnaige à	------|-⌫-|-|----|--|--|-------|-|
touziors mais franc	---|---|---|----|
enmon molin	-|--|----|
d A nseruille e t enau tremol inseielauoie	|-⌫--------|-⌫|-|--⌫--|---⌫-|-|-||----|
oum isuccessorapréscequeliblesseroitmoluz	-|-⌫|--------|-----|-|--|-|---|-----|----|
quelifreiredela	--|-|-----|-|-|
ditemaiso noulor c omandemenz	---|-----⌫|-|--|-⌫---------|
t roueroientenla	-⌫---------|-|-|
tremueetpoentauoir lifreir e decel ledite	-----|-|----|----|-|-----⌫|-|---⌫-|---|
MaisonD eude	-----|-⌫-|-|
Brauz touz iors maispressorfranc	----|---|---|---|------|----|
enlorditeMaiso nDeude	-|--|---|-----⌫|--|-|
Brauzporpresso rerles uin s de	----|--|------⌫--|--|---⌫|-|
lor creuz .	--|----||
laditeMais onDeu	-|---|----⌫-|--|
deBrauzàAnserui lle etàAunoyà	-|----|-|-------⌫--|-|-|----|-|
chascun ede	-------⌫|-|
cesuillesunhomecenglesoufisant	--|-----|-|---|-----|--------|
p orpanre garde	-⌫-|----|----|
asbe so ingnes de ladi te	-|--⌫--⌫-----|-|-|--⌫-|
ces hom es cen gles doiieet mi	--|---⌫-|---⌫---|--|-|-|-|
heir tenir enpiez touz	---|----|-|---|---|
iorsmais àladi te Maison etserontcil	---|---|-|-|--⌫-|-----|-|-----|--|
h o m efr ancenue r s	-⌫-⌫-⌫|--⌫--|----⌫-⌫|
enuersme s heirsetmessuccessorsdeto ute s	-----|--⌫|----|-|--|---------|-|--⌫---⌫|
cho sestan t	---⌫--|---⌫|
com il s eront ouseruised e	--|-|-⌫----|-|------|-⌫|
la diteMaison	-|---|-----|
ma isap réslam ortdeceshomesque on	--⌫-|--⌫---|-|-⌫--|-|--|----|--|-|
auroitass e neiàla dite	-----|---⌫-⌫--|-|-|---|
MaisonDeupor seruirli	-----|--|--|-----|-|
freirede l a dite Maison	-----|-|-⌫|---|-----|
nepoen triensde ma nd er	-|----⌫|----|--⌫--⌫--⌫-|
nerecla merena nf ans	-|-----⌫--|-|-⌫--⌫--|
nee nfemesquien -demorroi ent .	-|-⌫|----|--|-||--------⌫--||
E ttoutes ces ch oses	-⌫|-----|--|--⌫---|
desus dites ai ied one es	----|----|-|-|-⌫---⌫-|
perpetuelmentàtouziorsmai setfranchementd e	------------|-|---|---|---⌫|-|----------|-⌫|
toutes chose sà la dauant diteMai sonDeude	-----|-----⌫|-|-|-----|---|---⌫--|--|-|
moiet p ormesheirset po rmessucces sor s	--|-|-⌫-|--|----|-|--⌫|--|------⌫---⌫|
s ainznulrapel.	-⌫---|--|----||
EtcelleMaisonDeu de	-|----|-----|--|-|
Br auz dauantnomm eeretienieenmagarde	--⌫--|-----|----⌫-|-----|-|-|-|----|
gar dedemesheirsquiser oient	---⌫-|-|--|----|--|---⌫----|
sig nord Anseruille etdeuonsmetre	---⌫--||---------|-|-----|----|
et osterieetmiheir toutesle sfoiees	-|----|-|-|-|---|-----|--⌫|-----|
qu ebonnos sembler oit	--⌫|--|--|-------⌫--|
porle profi tdelaMai s onDeude	--|-|-----⌫|-|-|---⌫-⌫-|--|-|
Brauz maitrene	----|-----|-|
limaitresnelifre ir ede	-|------|-|-|---⌫--⌫|-|
la d iteMaison	-|-⌫--|-----|
Deude Brauz	--|-|----|
receuoirne ap rouend e rpersoneenladite Maison	-------|-|--⌫------⌫-⌫|------|-|-|---|-----|
moinon oupa rmes	--|--|-|--⌫|--|
heir s signorsdAnseruille secenestoit	----⌫|------||---------|-|-||-----|
p ornecess itéet pord ef autedepersone senla	-⌫-|------⌫---|-|--|-⌫--⌫---|-|-------⌫|-|-|
diteMais onDeudeBrauzpordes eruirau	---|----⌫-|--|-|----|--|---⌫----|-|
louet as of fi ces d ela	--|-|-|--⌫--⌫--|-⌫|-|
E t toutes ces choses	-⌫|-----|--|-----|
desusnommeesaiie doneie ne ntantiom	----|------|-|-|----|-⌫|-⌫-------|
deceque lifruite tle sissues	-|-|--|-|----|-⌫|--⌫|-----|
ensoientdesp anduen	-|-----|----⌫---|-|
lospitaleteiet en lacharitei	|----------|-|-|-|-------|
deladiteMaisonDeusainz faire	-|-|---|-----|--|----|----|
deceschos esnusaquezarr és cesqui	-|--|----⌫-|--|----|---⌫--|--|--|
s ontdauantnomme i ne neuuel	-⌫--|-----|-----⌫|-|-|---|
que ilen puissent	--|-|-|-------|
fairenusau tres aquez	----|--|--⌫---|----|
maismetre puremen tlesfru izetlesissue s	---|----|-------⌫|--|---⌫-|-|--|-----⌫|
enlospitaletei eten la	-||----------|-|-|-|
cha ritei de	---⌫----|-|
l adit e MaisonDeudeBrauz.	-⌫|---⌫|-----|--|-|----||
Etuueletotro ise ie	-|---|-|----⌫|-|-|
nauoieheirdemo ncors queladauant	|----|---|-|--⌫|---|--|-|-----|
-d iteMaisonsDeudeBrauz	|-⌫--|------|--|-|----|
soitenlag arde	---|-|-|-⌫---|
le contede	-|----|-|
B arquicumques	-⌫-|---------|
ensoitcuens sai nz metre f orsdesa main	-|---|----|---⌫-|----|-⌫--|-|-|---|
Entes moingnaige	-|---⌫---------|
d elaquel chose	-⌫|-|---|----|
ieairequisà monsignor et mon	-|-|-----|-|--|-----|-|--|
chie rfrei reThy eba ut contedeBar	----⌫|----⌫-|---⌫---⌫-|----|-|--|
decui fiés ceschos esdesus d ites mueuent q ue il	-|--|----|--|----⌫-|----|-⌫---|------|-⌫-|-|
me ist son seelences presant esletres	--⌫--|--|---|-|--|-------⌫-|-----|
auecle mien.	---|-|---||
Et ielidiz	-|-|-|--|
Thieba uzcuensdeBarqu ilou et creant	------⌫-|----|-|--|--⌫|--|-|-----|
toutesc eschose s desus dites com esiresdecuifiés	-----|-⌫-|-----⌫|----|----|---⌫|----|-|--|----|
tou tes ce schosesmueu entai	---⌫--|--⌫|-----|----⌫--|-|
mis m o nse elenc espresantes	--|-⌫-⌫|--⌫-|-|-⌫-|--------|
letresa ̀la re questedoudauant-ditRenautm on	-----|-⌫|-|--⌫-----|--|-----||--|-----|-⌫-|
freireentesmoi gna i ge de	-----|-|------⌫---⌫-⌫-|-|
Ce fu faitet doneienl	-|-|---|-|----|-||
andelIncarnation	-|-||----------|
No streSi gnor	--⌫---|--⌫---|
quantlimili airescourroit parmildo u-	----|-|----⌫----|-------|--|--|--⌫||
cenz etsexante witans oumoisde feurier	---|-|------|--|--|-|---|-|------|
ChHM273 À tozcesq ui	------|-|--|--|-⌫-|
orron tcespresentes lettresiePhilippes siresdeCha uu iré	-----⌫|--|--------|------|-|--------|----|-|---⌫--⌫---|
salutenNotre Signor.	----|-|----|-----||
Saichent tuit cilquis untetqui s erontque cum	-------|---|--|--|-⌫--|-|--|-⌫----|--|--|
ieetmui ho yrfussi enstenu àp aiie ret à	-|-|--|--⌫-|-----⌫--|---|-|-⌫----⌫|-|-|
bai llie r chacunanàt ozi orzma isàl	---⌫----⌫|-----|-|-|-⌫-|-⌫--|--⌫-|-||
abbé etau couuentdeBiauLui	----|-|-|------|-|---|--|
delord redeCi teaus de leueschié deL e ngres	-||---⌫-|-|--⌫----|-||--------|-|-⌫-⌫----|
ouà lorcoumandeme nt troys	-|-|--|----------⌫-|----|
muis etd emei	---|-|-⌫---|
d eblé par metiéfrement et auone àlamesure	-⌫|---|--|-----|------|-|----|-|-|-----|
de Ch au uiréet unmuide	-|--⌫--⌫----|-|-|--|-|
fromentàlamesuredeGre nanten mesd imes	------|-|-|-----|-|---⌫---|-|--|-⌫---|
deCh auuiré et	-|--⌫------|-|
p or raisondes aumornes	-⌫-|-----|--|-------|
que mesperes lor fit porluietp or Guiot	--|--|----|--|--|--|--|-|-⌫-|----|
monfr e r eetpor	--|--⌫-⌫-⌫|-|--|
raysondel aumorne que	-----|-||------|--|
iel o rhai faite assise	-|-⌫-⌫|--|----|-----|
àGrenantles	-|------|--|
quex aumo rn esieloet outroi etconf ermoi ie	---|----⌫--⌫-|-|-|-|-----|-|----⌫----|-|
e n esch ange eten	-⌫|----⌫---|-|-|
permuta tiondes di te sa umorne spa rlelox et par	-------⌫---|--|--⌫--⌫|-⌫------⌫|--⌫|-|--|-|--|
leconse nteme ntMargu eritema f enme bayllo i doen	-|-----⌫-----⌫-|-----⌫----|-|-⌫---|------⌫|---|
eta ssi ées dau antdiz	-|-⌫---⌫-|-|---⌫--|--|
a bbéetaucouuent la m oitié entiereme ntde to tes	-⌫---|-|-|------|-|-⌫-----|---------⌫-|-|--⌫--|
lestierces	--|------|
etdeto zles dim esgroset menuz	-|-|--⌫|--|---⌫-|---|-|----|
queiaià Buxereset en	--||-|-|------|-|-|
to tle fina ygeetes po ote zde la dit e	--⌫|-|----⌫--|-|-|--⌫---⌫|-|-|---⌫|
u ile etqueie i-	-⌫--|-|--|-|||
pourroie oudeuroie auoirdès	-------|-|------|----|---|
or enauant deto zcesqui	-|-|----|-|--⌫|--|--|
e is sarterontougaainne ront	-⌫--⌫--------|-|-------⌫---|
enlapootée t ou	-|-|-----|-⌫|-|
fi naygeetenl a	--⌫----|-|-|-⌫|
di te uile d e Buxere sdequeque uil e ou	--⌫-|---|-⌫|------⌫|-|-----|---⌫|-|
lui q u elicultiuaorsoientsa ufce	--|-⌫-⌫|-|--------|-----|--⌫-|-|
queestiercesete sdimesqueie	--|-|------|-|-⌫|----|--|-|
oumuih oiraquir ronsdèsorenauantenl a	-|--|-⌫--|-----⌫---|---|-|-|----|-|-⌫|
