q uiparoleauroipescheor	-⌫-|-----|-|--|-------|
seustiluecneaillors	----|----|-|------|
etsi n e sa seoien t point	-|-|-⌫||-⌫------⌫|----|
p er cheuaus esg arde	-⌫--⌫------|---⌫---|
en celpoin t	-|--|----⌫|
etuoit unechaiere	-|---|--|------|
auchiefdundois d	-|----||-|---||
estr ange guise	----⌫---|----|
quimol t lisa mblo it	--|---⌫|-|--⌫----⌫-|
est r ech iere	---⌫-⌫|--⌫---|
fusiauoitmai ntepierre	-|-|----|---⌫--|-----|
enlorassiseetseelee	-||-|-----|-|-----|
richementestoitneelee	--------|-----|-----|
lachaierequi estoitwide	-|------|--|-----|---|
percheu ausesgardesiquide	-------⌫--|------|-|----|
que porleroiassiseifust	--|--|-|--|-----||---|
et queseoiriluec	-|--|----|----|
m aisporcheque	-⌫--|--|--|--|
assis le uoit	----|-|---|
seme r ue illeque ce deuoi t	-|--⌫-⌫--⌫---|--|-|-----⌫|
que nusasseoir	--|--|------|
ape lesiro ua	---⌫-|-|--⌫-|
qu il lidieseil lisiet	-|-|-|--|-|-|-|---|
comentceua	-----|-|-|
enc elechaiere	-|-⌫--|------|
tant riche	---|----|
atend ezuousneroineprinch e	-----⌫-|---|-|--|-|------⌫|
qui i doieuenir se oir	--||---|----|--⌫--|
uolen tiers saroie le uoir	-----⌫----|-----|-|---|
co mentua queleest widetant	--⌫---|-|-|--|--|---|---|
tantcheualier	---|--------|
uoienestant	--|-|-----|
chascunsnali u ou il sasiece	-------|||--⌫|-|-||-----|
esgar dé grant	-----⌫--|----|
com ent puetestreporque lchose	---⌫--|---|----|--|---⌫|----|
en lachaiereseoirnose	-|-|------|----||--|
di stl iroispercheuau sbiaussi re	--⌫-|-⌫|---|---------⌫|----|--⌫-|
neu ouscailledeloirdire	-|-⌫--|-----|-||--|---|
neseroitnuspor f is	-|-----|--|---⌫-⌫-|
dist p erch euaus orsuitozfis	---|-⌫----⌫----|-|--|--|--|
queuousnem auez gaire schier	--|---|-||---|-----⌫|----|
die usuous	---⌫-|---|
gart dencombri er	---||--------⌫-|
encestmo nt	-|---|--⌫-|
p a rfaiset pardis	-⌫-⌫|---|-|--|--|
u ostreameait paradis	-⌫----|--|--|------|
s anznulerien de dec euoir	-⌫--|---|---|-|---⌫----|
dec ele ch aierel euoir	-|-⌫--|--⌫----|-⌫|---|
meditessansdelaiemen t	-|----|---|---------⌫|
carsa chiésbiencert ain eme nt	--|--⌫-----|---|----⌫---⌫---⌫-|
i amaiscaiensnemengerai	-⌫|---|-----|-|-------|
dusques atantqueiesaurai	------|----|--|-|-----|
l achoisoncomentce auie nt	|-------|-----|-|----⌫-|
quenus asseoirniuient	--|--|------|||----|
qua ntli roisl	---⌫-|-|---||
p arfondement puis si plora	-⌫----------|---|-|----|
et trestotli baron	-|------|-|----|
roinece mesamble	----|-|-|-----|
et lespuceles	-|--|------|
pleurentto tes	-------|--⌫--|
d e doelont	-⌫|---|--|
lor roub esdesroutes	--|----⌫-|--------|
niskeusqui rampros né	--|---|--|-------⌫--|
main nete ldoelquant ille	----⌫-|--⌫|---|----|-|-|
samb lequ il doiemo rir	----⌫-|-|-|---|--⌫--|
de ladol orqueild emaine	-|-|---⌫-|--|-|-⌫-----|
ilen malesemaine	-|-|---|------|
soi tentreequilpresenta	---⌫|-----|--||-------|
etquile chaie rea porta	-|--|-|-----⌫-|-⌫----|
par coimains p re udomest p erdus	--|--|----|-⌫--⌫---|--|-⌫----|
percheuau sfutozes perdus	---------⌫|-|--|--⌫-----|
etde ldoel quiluoit	-|--⌫|---|-|-|---|
que onfait	--|-|---|
etdistalroi seiaimesfait	-|---|-|--|-||-|------|
to zpres del amender	--⌫|---|-||------|
maise nco r	---|-⌫---⌫|
delach a i erel	-|-|--⌫-⌫-⌫--||
con ni siete tparquel	|-|||---|-⌫|--|---|
lir oislidistpiteusement	-|-⌫--|-|---|----------|
qui ades pl eu retenrement	--|---|--⌫--⌫-|--------|
hapercheuaus	-|---------|
d euousauoir sol as e t ioie	-⌫|---|----|---⌫-|-⌫|---|
oree nauraipesance e t ire	--|-⌫|----|------|-⌫|--|
p erc heuauslehaste	-⌫---⌫-----|-|----|
dist lirois	---|-|---|
pe rcheuausamis	--⌫-------|---|
q uilechaiere	-⌫-|-|------|
namagairesmoinem	|--|-----|--|-||
rochemen or	----|---⌫-|
lemenu oiaparun	-||---⌫--|--|-|
c uidieus enuoithonteetdamage	-⌫-|----|-----|----|-|-----|
ainzquerienme nu olsistconter	---|--|---||-⌫|-⌫-----|-----|
mefist limesacreante r	-|---|-|--|--------⌫|
sormacoroneet s ormat este	--|-|-----|-|-⌫-|-|-⌫---|
q ue achascunehautefes t e	-⌫-||-------|----|---⌫-⌫|
chaieree n telpoi nt m ise	------|-⌫|--|---⌫-|-⌫--|
comeele estorend ro it assise	---|--|--|-----⌫--⌫-|-----|
etdistquedignesesteroit	-|---|--|-----|-------|
des eoirc i l qu iconque rroit	-|-⌫---|-⌫-⌫|--⌫|------⌫----|
delmondelelosetle pris	--|----|-|--|-|-|---|
ne puetes treapris	-|---|--⌫--|----|
parhome ne ia	--|---|-|-|
forsparcelui	---|--|----|
qui iserra	--||----|
del graaletde	--|----|-|-|
ma is chili serra sanzdoutanc e	--⌫-|---||----|---|-------⌫|
or u ou s enaile	-|-⌫--⌫|-|-|-|
uoi rconté	---⌫|-----|
quantpercheuaus l	----|---------||
sidists irepar saint ligier	-|---|-⌫--|--|----|-----|
ce pueto n	-|---|-⌫|
sau oir delig ier	---⌫--|-|---⌫--|
siestencore nu sa ssis	||--|-----|--⌫|-⌫---|
oilfaitliro isdus qu ea	--|---|-|--⌫-|---⌫--⌫||
des bo nsch eualiersd emac ort	--|--⌫-|--⌫-------|-⌫|-|-⌫--|
ilisissent	-||------|
cef u cort	-|-⌫|---|
quelater reles	--|-|---⌫-|--|
etdie usqu ionquesnemen ti	-|---⌫-|--⌫|-----|-|---⌫-|
uousdestortqueu ous ni sech iez	---|------|--|-⌫--|||----⌫--|
perch euausce sac hiez	-----⌫----|-|---⌫---|
quegiraiseoirorendroit	--||---|----|--------|
qua nquenmede sfendroit	---⌫--|-|-|--⌫--------|
nului nele l airoi e	----|-|-|-⌫-----⌫|
sedieus me	-|----|-|
d oinsthonor etioie	-⌫----|----|-|---|
lot sisepasme	|-|-|-|----|
siregauainsr eblasme	---|------|-⌫------|
lamort quitost	-|---|--|---|
ne le deueure	-|-|------|
perch euaus enmeismel eu re	-----⌫----|-|-----||--⌫-|
sorlechaiereseoirua	--|-|------|----|-|
li roistotplorantseleua	-|---|--|------|-|---|
et chas cunsqui ensussetrai t	-|----⌫---|--|-|--|-|----⌫|
la cha ie re	-|---⌫--⌫-|
iectaun brait	----|-|----|
sihautco nloipar la	-|---||-⌫||-|--|-|
ne nianu l	|-⌫|||--⌫|
quine tre ssale	--|-|---⌫----|
etlaterre soz	-|-|----|--|
lac haie r e	-|-⌫----⌫-⌫|
fendietse traitsiarriere	----|-|-|----|-|------|
quealachai er enadoise	--||-|----⌫--⌫||-----|
quetou tent orplusd unetoise	--|---⌫|---⌫-|---||--|----|
estoitbi en	-----|--⌫-|
ausico nsen l	---|--⌫||-||
airfust pendue	--|---|-----|
fut oute cho iela chaiere	-|-⌫---|---⌫-|-|------|
ne s e muetaua nt ne	-|-⌫|---|---⌫-|-|
e tpercheuaus neseremue	-⌫|---------|-|-|----|
colo rne ch ange nenemue	----⌫|-|--⌫---|-|-|--|
nen apaordenule	-|||---|-|---|
ains quela	---|--|-|
terrefustra clos e	----|---|--⌫----⌫|
ne queras aldastlis o zsis	-|--|---⌫-----|-|-⌫-⌫---|
issirentforscheualiersis	-------|---|--------|--|
qui sor bi	--|---⌫-|
f urentcon tr eual	-⌫----|---⌫--⌫---|
deuantlespieza per cheu al	-----|--|---||---⌫----⌫-|
sonttot sis uenuen	---|--|--|---|-|
etlaterrereclot atant	-|-|----|-----||---|
q uidusqueenabi smeert creuee	-⌫-|-----|-|---⌫--|--|-----|
cestea ue ntu reestachi euee	----|-⌫--⌫---⌫-|--|----⌫---|
liroisaperche ual acort	-|---||------⌫--|----|
e ttotli barondel acort	-⌫|--|-|----|-|-⌫|---|
leuontueoir nusniares te	-|---|----|--|||----⌫-|
keus li senechaus f ait tel feste	---|-|--------|-⌫--|--|----|
qu ilcha ntedei oiesi rist	-|-|---⌫--|-|-⌫--|-|---|
etoia ntto z lesbaronsdist	-|---⌫-|--⌫|--|-----|---|
li ezpormilliur es	--⌫-|--|--|----⌫-|
conde che quesain setdeliures	--|-|--|--|----⌫|-|-------|
estperch e u ausquiauoitsis	--|-----⌫-⌫-⌫--|--|----|--|
enlachaier e	-|-|------⌫|
sontdesorter r ereuenu	---|----|---⌫-⌫|-----|
parfoidyst ydres	--|--|---|----|
deus cortoisiesauez	---|---------|---|
d oiuentestre	-⌫-----|----|
luneest dech e	|--|--|-|--⌫|
queu ousplorastes	--|-⌫--|--------|
etqueteldolordemenas tes	-|--|--|----|-------⌫--|
que tozenfusteses perdu s	--|--|-|-----|--⌫-----⌫|
quidast es quep erdu s	-------⌫-|--|-⌫----⌫|
fust perc h euaus c e me st aui s	---|----⌫-⌫----|-⌫||-⌫-|---⌫|
e t de che qui l es tr emes	-⌫|-|--|-|-⌫|--⌫|-⌫---|
