Acesteestoiredi reme	|----|------|--⌫-|-|
Etlion tfetparmi lecorsp laier	-|-|--⌫|--|--|-|-|---|-⌫----|
Dunroitespie fuferuz	|-|---|----|-|----|
sor le neudelb ra ie r	--|-|--|--|-⌫--⌫--⌫|
Par milacharuitenle	--|-|-|---|--|-|-|
sancr a ier	---|-⌫-⌫--|
Que l e speron en	--||-⌫-----|-|
coui nt amoillier	----⌫-||-------|
Lenforcheu r eetlecoldel dest rier	|---------⌫-⌫|-|-|--|--|----⌫---|
Du ne spie tintla hante	|-⌫|-⌫---|---|-|----|
d ep omier	-⌫|-⌫----|
P e rduenote tlefer e t laci er	-⌫-⌫--|-|-|-⌫|-|--|-⌫||---⌫-|
Agrantmerueille	|----|--------|
senblabiencheualier	-----|---|--------|
Quisoitissuzde	--|---|----|-|
fo rtestorplenier	--⌫-|----|------|
P aiensescr ien t Oreapressanztargier	-⌫---||----⌫---⌫|--|----|---|------|
Par Mahomet uez cilecheualier	--|------|--|-|-|--------|
Quilira ia	--||--|-|
Charle mainenoncier	------⌫----|------|
Siamenral e	-|-----|-⌫|
grantbarnaiefier	----|------|---|
Apresluiuont depai ens	----|--|---|-|---⌫--|
.x .mill ier	--⌫|----⌫--|
Et qant il	-|---|-|
uoient n e l e porront b aillier	-----|-⌫|-⌫|------|-⌫------|
Les forz espiez li	--|---|-----|-|
prenent alan cier	------||---⌫---|
Dexlegueri qui	--|-|----|--|
touchierent n eline	----------|-⌫|-|-|
sondes trier	--|---⌫----|
Ainzc e rsnedai nsnepristsautderami er	---|-⌫-⌫-|-|---⌫-|-|----|---|-|----⌫-|
Necor utmieuzqa ntenle fe tchacier	-|---⌫-|----|--⌫-|-|-|--⌫|------|
Comi lfetcor reson	--|-⌫|--|---⌫-|--|
au ferrant corsier	--⌫------|------|
Pa rtansliraa Aymerin oncier	--⌫|---||--||-----|-⌫-----|
Sele cheual	-|-|-----|
ne coui entestanchier	-|----⌫--|---------|
T anta errelinob ilegu errier	-⌫--||---|-|---⌫--|--⌫-----|
C Aymer i trueu e	|-----⌫|-----⌫|
cam einesa moillier	|--⌫---|-|-------|
Ensaconpangne maint	-|-|--------|----|
uaillan t cheualier	-------⌫|--------|
Ciliugleorporeuses bano ier	--|------|--|--|--⌫----⌫--|
Deuielerpan sentetdenuoisier	-|-----|---⌫---|-||--------|
Nocesontbo ne s	----|--|--⌫--⌫|
s atendent bon loier	|-------|--|----|
Mesen pou d	--|-|--||
eureorront leuers	---|-----|-|---|
Es uo s Fouquin pongnantsor led estrier	-|--⌫|------|-------|--|-|-⌫------|
Ahaut e uoizcomme nca ahuchier	|----⌫|---|-----⌫--||------|
Ay merissiregentil nobleguerrier	--⌫----|---|-----|----|-------|
uosamenez cem estauis moillier	--|-----|-||--|---|-------|
Mesdune choseuos poez esmaier	--||--|----|--|---|------|
Que uos ne lui	--|--|-|--|
nauroizouherb er gier	|-----|-|----⌫--⌫---|
Car Desrames l orguelle x etli fier	--|-------||--------⌫|-|-|---|
Et Bauf um ez	-|----⌫--⌫-|
cui Dexdointenconbrier	--|--|----|---------|
Quipar lac r oute	--|--|-|-⌫-⌫---|
sen issiren tl	|-|-------⌫||
Ici llale rent alamirant no n c ier	---⌫||---⌫---|||------|--⌫-⌫-⌫--|
Amenezont tant	-----|--|---|
p aiensau ersiers	-⌫----|--⌫------|
Ia nenser oient acon telimillier	-||-|---⌫----|----⌫-|-|------|
A si ege on t	-⌫--⌫--|--⌫|
tongr antpales ple nier	--|--⌫--|----|---⌫---|
Ni a pl ain pied et erreaumie n	|||--⌫--|--|-⌫|-⌫---|-|---⌫|
fe tt refou	--⌫|-⌫--|-|
tentedr ec ier	----|--⌫--⌫--|
Moltfierementnosasaillirentier	---|--------|--|----------|--|
Mesonquesgu iere s niporentg aengnier	--|-----|--⌫----⌫|||-----|-⌫-------|
Deuq ui t ota a	--|-⌫-|-⌫-|||
Nos oceimesdeslorp lusd unmillier	--|------|--|--|-⌫--||-|------|
M esdesnoz firent des pluso rs d omagie r	-⌫-|--|--|-----|--|-----⌫-|-⌫------⌫|
Et cruelment et naureretplaier	-|--------|-|-----|-|-----|
Aincois c arrierespeussionsreperier	------||-------|--------|-------|
couintlunemoi tielessi er	-----||--|---⌫--|-----⌫-|
Denostregentel fortestor p lenier	-|-----|---|-|---|----|-⌫-----|
desamesqui t outaa iug ier	--|---|--|-⌫--|||---⌫--|
A moipoezueoir sanznulcuidier	|--|---|----|---|--|------|
Q anlesto rfuine nsuipasmencon gi er	|-||----⌫|--||-⌫|--|--|------⌫--⌫-|
DistAymeris Mol tsenbles	---|------|---⌫|------|
bie nguerrier	---⌫|-------|
Sia en toim oltuai llant cheualier	-||-|--|-⌫--|---⌫----|--------|
Enn uleterremeillordetoine	-|-⌫--|----|------|-|--|-|
uoit Hermen ia rtpristlena aresnie r	---|------⌫--⌫-|----||-||-------⌫|
Be ledistilsauezmoi c onseillier	--⌫-|---|-|----|--|-⌫---------|
SeDexmeist oree nai	-|--||---|--|-⌫|-|
grant mestier	----|------|
Sirefetel epar	---|--|--⌫|--|
moifoiuolenti ers	--|--|-------⌫--|
se nbleli conseuze stlegier	--⌫---|-|------|-⌫-|-----|
Dontnestesuos.i iii.guerrier	---||----|--|--⌫---|-------|
QueCharlemaine	--|----------|
uosauoitfet	--|----|--|
L onbarz un m illier	-⌫-----|-|-⌫-----|
Dontchascuns aetarmeset	---|-------||-|----|-|
uen e zaug rantes torplenier	---⌫-⌫|-|-⌫---|--⌫--|------|
Pareuspo rroizgrantestor commencier	--|--|--⌫----|----|----|---------|
Alezauantuosetuoc heualier	---|----|--|-|-|-⌫-------|
E tge nir ai	-⌫||-⌫|--⌫-|
seluolezostroier	--|----|-------|
Droitauienne elpalesherbergie r	----||-----|-|----|---------⌫|
AuducGirart uostreoncleleguerri er	-|--|-----|-----|----|-|------⌫-|
Pr oier ailui sederienuos a	--⌫----⌫-|--|-|-|---|--||
Queuo ssec orea ce	--|--⌫|---⌫--||-|
besong premier	-----|------|
Il estuostre	-|--|-----|
oncless iu osdoitbienaidier	-----|-⌫|-⌫-|---|---|-----|
De moimeismes ife tes	-|--|------||--⌫--|
P lus creantmesn	-⌫--|-----|--||
i p oez enuoier	|-⌫--|------|
Ay merislot s enbracasamoillier	--⌫----||-||------|-|-------|
Leseuzleuislicommen ce	--|--|-|--|-|------⌫-|
Da me dist ilbien	--⌫-|---|-|---|
fe t aostroier	--⌫||-------|
Bienmesauezloiaument	---|-|----|--------|
conseillier	----------|
Alez endontn au e z quedelaier	---|-|---||--⌫-⌫|--|------|
Ie uo scommentauueraiiostiss ier	-|--⌫|------|-|----|-------⌫--|
Et geuos si re aD eu ledro itur ie r	-|-|--|--⌫-||-⌫-|-|---⌫----⌫--⌫|
Quiuosde sfanded e	--|--|--⌫-----|-⌫|
mo rte tdenconbrier	--⌫-|-⌫||---------|
uaits enli cue nssi pa rtdesa	---||-|-|---⌫-|-|--⌫-|-|-|
uc.L onbarz fi st	--|-⌫-----|--⌫-|
oluienuoier	|--|------|
Etiiiicontesqui m olt	-|---|-----|--|-⌫--|
fonta proisier	---||-------|
C illa conduientt otlech eminp lenier	-⌫-|-|--------|-⌫-|-|--⌫---|-⌫-----|
Dro it a u ienne ou en doit c heua l chier	---⌫-||-⌫----|-|-|---|-⌫----⌫-⌫----|
LeRosne passentsanz plus de	-|----|------|---|---|-|
A Luniaxu aitAymerisherbergier	|-----|-⌫--|------|---------|
Iusqaumatin queildut	---|-|----|--|-|--|
escl erier	----⌫----|
A rmersefist	-⌫---|-|---|
licuenseth aube r gier	-|----|-|-⌫----⌫-⌫---|
Etenmo ntasor.i.corant destri er	-|-|--⌫--|--|--|-----|------⌫-|
Puiss en alasor i. tertre pu ier	---||-|--|--|-|-----|--⌫--|
De saci teuoitles	-|-|--⌫-|---|--|
mursblanchoier	---|---------|
Et uo itpaie ns etSarrazinslogier	-|--⌫-|----⌫-|-|--------|-----|
Touten u iron Ner bon e	---|--⌫-⌫---|---⌫---⌫|
D esus . i.tertreAymeris enmonta	-⌫---|-⌫-|-----|------|-|----|
Deu a n tNerbonelespaiens	---⌫-⌫-⌫|------|--|-----|
Il lesmaud istde	-|--|----⌫--|-|
Deuquitotforma	--|--|--|----|
Et Hermeniart la b e l echeuaucha	-|---------|-|-⌫-⌫-⌫|--------|
De sesiornees ne uoscontera iia	-|--|------|-|--|-------⌫|-|
Trescauie nnemieneseiorna	---|||---⌫--|--|-|------|
Guimart Po incon enape la	------|--⌫----|-|---⌫-|
U n cheuali er queladame adouba	-⌫|-------⌫-|--|-|---|-----|
Conroietarm esetche ualli	-----|-|---⌫-|-|---⌫--|-|
Amisfeteleore entantamoi	---|--|--|--|-----||--|
Dr oitauienneaGirartto st	--⌫--||-----||-----|--⌫-|
duc qui tantdebontea	--|--|---|-|----||
Saluele deD e uqu it otfo r ma	----|-|-|-⌫-⌫|--⌫|-⌫-|--⌫-⌫-|
Etd epar moiqui t	-|-⌫|--|--|--||
ai enuoiela	-|-----|-|
EtdAymerison neueu quil	-||-----|--|----|-|-|
Legrantbesong ne li	-|----|-----|-|-|
Queassisee stNe r bone quil lessa	--|-----|-⌫-|--⌫-⌫---|-|-|----|
QantaPauie querre	---||----|-----|
moillier ala	-------|--|
Tantdepai ensen tor	---|-|---⌫--|--⌫--|
Quehomqui uiueautantn en	--|--|--|---|-----||-|
Mes Aymer isato tsa gen t i	--|-----⌫-||--⌫|-|---⌫||
Si men enuoiedroit auienne	-||-|-----|----||-----|
Corme herberges e	|-|-|-------|-⌫|
i lonqueslam a	-⌫|-----||--⌫|
EtcilrespontD amecomuos pler a	-|--|------|-⌫--|--|--|----⌫|
L ebo nd estri erforment esperonna	-⌫|--⌫|-⌫-----⌫-|------|--------|
Tres ca uie nne mienes atarda	---|||---⌫--|--|-||-----|
Le ducGirarts us el	-|--|-----|-⌫-|-|
pale s troua	----⌫|----|
Oubeterfaiti.gran torsqueila	-|----|---|-|----⌫|--|--|-||
Esuoslemesquibe l	-|--|-|--|--|--⌫|
Depar Iesuqui lemontestora	-|--|---|--|-|---|-----|
Et depa r celequialuilen uoia	-|-|--⌫|---|--||--||--⌫---|
Puis liaditquemotniobl ia	---|-||--|--|--|||---⌫-|
Cequ eladameli	-|--⌫|-|---|-|
distetdeuisa	---|-|-----|
L idus lantant	-⌫|--||-----|
gr an t io ieendemena	--⌫--⌫|--⌫-|-|-----|
De Dam edeu qui tot lemont cria	-|---⌫---|--|--|-|---|---|
Soit be neoiteleureque	---|--⌫-----||---|--|
c i uendra	-⌫|-----|
Lagentildam equiuos en uoie	-|-----|---⌫|--|--|--⌫---|
Noisigra ntioie ce sachiez de spieca	|-|-|---⌫-|---|-|------|--⌫|----|
Qant li miens niess i sa gedameaura	---|-|----|---|-⌫|--⌫-|---|---|
Dame Guiborcfetil	---|------|--|-|
entandezca	-------|-|
S onques m amastes or	|-----||------|-|
le uerregeia	-|----|-|-|
gebien qui decuer mamera	-|---|--|-|---||----|
Ca ces teda megrantennorportera	||---⌫-|--⌫-|----|----|------|
Isnelem entles degrez auala	-------⌫--|--|-----|----|
Da meHermen iart iusau	--⌫-|------⌫---|--|-|
perr on t roua	----⌫-|-⌫---|
Lidus lenb raceet	-|--||---⌫---|-|
apreslabe s a	----|-|--⌫-⌫|
Sus e lpal ais a uec lui	--|-⌫|---⌫--|-⌫--|--|
A s onpooir	|-⌫-|----|
chas cu nsdeuslenno ra	----⌫--⌫-||--||----⌫-|
Delormengi er neuosparleraiia	-|--|-----⌫-|-|--|-------|-|
Ca grantplant eliduslor en dona	||----|-----⌫|-|--|--|-|---|
PorAymeribiausenblant	--|-----|---|-------|
lormost ra	--|----⌫-|
DameGuiborc Herm eniartenmena	---|------|----⌫-----|-----|
De d anzseschanbresrichement	--⌫-⌫--|--|-------|--------|
Lonbartla ga rdenttantqueilaiorna	------|-|--⌫----|---|--|-|-----|
Chascunsothache ou	-------|-|----|-|
dartquibi e ntranch a	---|--|--⌫-⌫|------⌫|
Caroiezo rescomGirarz esploi ta	--|---|-⌫--|--|-----|------⌫-|
miepoures qui unb onamia	--|-----|--|-|-⌫-|--||
Mende seshomestantque.x. mileen a	----|--|----|---|--|--|---|-||
Chascunsot armesetdestrie r	-------|-|----|-|-------⌫|
neueuseco r ra	----|----⌫-⌫-|
D ame Hermeniart	-⌫--|---------|
sa fameli menra	-|---|-|----|
Loretl arge n t	|-|-||----⌫-⌫|
tou tmener li fera	---⌫|----|-|---|
QuedePauiela	--|-|----|-|
dame en amena	---|-|----|
Gui borcla seue aueclui co nduira	---⌫---|-|---|---|--|--⌫-----|
bata illetresbienliaidera	----⌫---|---|---|-|-----|
P arauenture	-⌫-|-------|
que mes t ie ri a ura	--|---⌫-⌫--⌫||-⌫--|
Sil fets es n oces tresb ieni	|-|--|-⌫-|-⌫---|---|-⌫--||
Gi rarzs entor nen i uolt plus seiorner	--⌫---||-|---⌫-|||---|---|-------|
Molt fieregent fet	---|----|---|--|
Etch eua lier s	-|--⌫---⌫----⌫|
qui moltfonta lo er	--|---|---||--⌫-|
DameHermeni artfet aueclu i aler	---|-------⌫--|--|---|--⌫|---|
Loretl ar g ent	|-|-||--⌫-⌫--|
niuol t pas	||---⌫|--|
E tleschiers	-⌫|--|-----|
pailesfetchargier et t roser	-----|--|-------|-|-⌫----|
Qu edePauie orentfet	--⌫|-|----|----|--|
Guib orc s a fame fetaue c eus	----⌫--|-⌫|---|--|---⌫|--|
De lor iornee sn euosquier a	-|--|------⌫|-⌫|--|----||
Nerbonen euodrent arester	------|-⌫|------|------|
Orredeuo nsci dAymerichanter	-|------⌫-|-||-----|------|
Qui en langardefu	--|-||------|-|
aumatin montez	-|----|-----|
Sorsondestrierf eru e stuzet ar me z	--|--|-------|-⌫---⌫-⌫---|-|--⌫--⌫|
Etrega rdadeue rs Nerboneesprez	-|----⌫--|----⌫-|------|-|---|
Tenduziuoit	-----||---|
.m. loges e t.m. tres	--|----|-⌫|--|---|
Et . m.aucubeset .m. brehans leuez	--⌫|-|------|-|--|------|----|
uoitlescuisinesetles feusalumez	---|--|-------|-|--|---|-----|
L es Sarrazin setueniretale r	-⌫-|--------⌫|-|----|-|---⌫|
Etl unalautreescremiret ioer	-||-|||----|-------|-|---|
Ces c heuaxferrent	--|-⌫----|------|
etmoinent abuurer	-|------|------|
De Damedeuq uilemontuolt sa uuer	-|------|-⌫-|-|---|---|--⌫---|
Lesmaudittoz licu ensgentis et	--|-----|--|-|--⌫--|-----|-|
Paienne gentDexuospuist	------|---|--|--|----|
craue nter	-----⌫---|
Mal soit desme resq ui tant	--|---|--|--⌫--|-⌫-|---|
Pui sdesglotons	---⌫|--|------|
qui lesont	--|--|--|
cuidass e qu e outrelagrantmer	-------⌫|--⌫|----|-|----|--|
L une moitieenpoist	|--|-----|-|----|
l entro uer	|-|---⌫--|
Unsa utres hom en fustmolte ffreez	--|-⌫----|--|-|---|---|-⌫-----|
Etilenp rist form entDeualoer	-|-|-|-⌫---|----⌫--|--||---|
uoirsDexfet il t oipuisse aore r	----|--|--|-|-⌫-|-----|----⌫|
Qui no s as fet	--|--⌫|-|--|
tel auoir amener	--|----|-----|
C omcistpai e n on tcife t amasser	-⌫-|---|---⌫-⌫|--⌫|-|--⌫|------|
SeDex cedone quitota asauu er	-|--|-|---|--|--|||----⌫-|
lepuisse a uoi retconqu ester	-|-----|-⌫---⌫|-|-----⌫----|
N ie reme s pourestant	|--⌫-|--⌫|-----|---|
compuisse d urer	--|-----|-⌫---|
Parcelapos tr eque	--|--|----⌫--⌫|--|
Se Dexme donemamoillierespouser	-|--|-|---|-|-------|-------|
auoirquilaestasen ble	----|--|-|--|----⌫--|
Feraimesnocesencedom a inetref	----|--|----|-|-|---⌫-⌫--|---|
Iaenc h ast elne m	-|-|-⌫-⌫---⌫-|-||
irai ost eler	---|---⌫---|
Por nocesfere n e p or ioiemene r	--|----|---|-⌫|-⌫-|---|----⌫|
Iu s d elan g a rdesenpristadeualer	--⌫|-⌫||--⌫-⌫-⌫--||-|----||------|
Iusq aseshome sne seu os t	---||--|----⌫|-|-|-⌫--⌫|
C o ntrelui	-⌫-⌫---|--|
uont sibaron ets iper	---|-|----|-|-⌫|--|
Quid e spaiens pri stre nta	--|-⌫-⌫|-----|---⌫----⌫-||
Seign o rbaro ndistA ymerisliber	-----⌫-⌫|----⌫|---|-⌫-----|-|--|
Puis queDex uost	---|--|--|---|
peupl eformer	-----⌫|-----|
Etenlauirge seden gnaaonbrer	-|-|-|----|-|---⌫--|------|
Q antui nt an terre porlemon desauuer	-⌫--|--⌫-|-|----|--|-|---⌫-|-----|
Ne fu renttant	-|--⌫---|---|
de paiensned Esclers	-|-----|-||------|
Comenpu etci sor ce tertre es gard er	--|-|--⌫-|-|--|-|-----|--⌫----⌫-|
Fr anccheu alierne uo sespo e ntez	--⌫--|----⌫----|-|--⌫|----⌫-⌫---|
Ca rs auientchosequ e doio nsasenble r	--⌫||-----|----|--⌫|----⌫-|-------⌫|
CriezMonioie etdelferir	----|------|-|--|----|
S i cuiderontSarrazinetEscl er	-⌫|--------|-------|-|----⌫-|
Queces oit Charl esli forz roiscoronnez	--|-|-⌫--|-----⌫-|-|---|---|-------|
Quiai tdeFrancesesbaron s	--|--⌫|-|-----|--|-----⌫|
P lusleredoutentque	-⌫--|-|--------|--|
Se cespr emiersau onsd e sbaretez	-|--|--⌫-----|--⌫--|-⌫-⌫-------|
Lire menanz	-|--⌫-----|
porroitpeti td ure r	------|----⌫|-⌫---⌫|
Tozl i gaein z uossoit abandonez	--|-⌫|-----⌫|--|---|--------|
Ian enpr endraiii.	-||-|--⌫-----|--|
d eniers monneez	-⌫-----|------|
Tuitens e ront et	---|-|-⌫-⌫---|-|
con pangno netper	---⌫------⌫|-|--|
Qui decest iorporrauisesc haper	--|-|---|--|----|--|---⌫----|
A toz iorz messerariches	|--|---|--|---|-----|
Bien sotlicue nsses	---|--|-|---⌫-|--|
gensreconfo rter	---|-------⌫---|
le s a bie nfet a seurer	--⌫||---⌫|--|-⌫-----|
uodroientia	--------|-|
es t reala senbler	--⌫-⌫-|||-⌫------|
ente ndentsipristre ntatr enbler	----⌫----|-|-------⌫-||--⌫-----|
autreNepo onseschap er	----|-|--⌫--|------⌫-|
Hui no scouie nt n os tre	--|--⌫|-----⌫-|-⌫--⌫--|
tensaf i ner	---|--⌫-⌫--|
RoisBoniface quica	---|-------|--|-|
n osfist torner	-⌫-|---|-----|
Ne sepoo itmieuzdenosdeliurer	-|-|---⌫-|----|-|--|-------|
Or puet noz fames	-|---|--|----|
ri che mentma rier	--⌫---⌫---|--⌫---|
Etnoz g ranz t e r resaautrehom edoner	-|--|-⌫---|-⌫-⌫-⌫--||----|---⌫|----|
Iame s. i.seuln en uerrare torner	----⌫|-⌫-|---||-|----|--⌫-----|
QantAymerisles ot	---|------|--|-|
si dementer	-|-------|
Les suensbarons enpr ist	--|----|-----|-|--⌫--|
S eigno r fet ilneuosquier a celer	-⌫-----⌫|--|-|-|--|----||----|
CesLonbarzci	--|------|-|
uoimo ltespoenter	--|--⌫-|--------|
Mesdunechose	--||--|----|
me puisbien ram enbrer	-|---|---|---⌫-----|
Qu e Bo nif acem efist bien comm and e r	--⌫|--⌫---⌫--|-⌫|---|---|----⌫---⌫-⌫|
Qantd e luidui partiret de seurer	---|-⌫|--|--|-----|-|--⌫-----|
Quese uenoiea batailleasenbler	--|-|-----||-------|-------|
Elf ront deuant lesmeisse chapler	-|-⌫---|-----|--|-----|------|
c auantlesfac onstoza ler	|----|--|---⌫--|--|-⌫--|
Et qantuendronsasrui s te sc ox	-|---|-------|-|---⌫-⌫--⌫|-⌫-|
Seles ueezfoir nereculer	-|--|---|---|-|------|
Pr o ier uosu eilato z etcom mender	--⌫-⌫--|--|-⌫--||--⌫|-|---⌫-----|
C auozespeeslesal ez	||--|-----|--|--⌫-|
Iaautre Turc ni	-|----|---|||
qu e rezna utreE scle r	--⌫-⌫--||-⌫---|-⌫----⌫|
QantLonbart	---|------|
oent leconte ainsiparler	---|-|----|----|-----|
l au t reNipoons plusdurer	|--⌫-⌫-|||----|---|----|
Parmi lamortnosco uient	--|-|-|---|--|--⌫----|
Enc ore ancui	---⌫--|----|
nenpo onse schaper	|-|--⌫--|-⌫------|
MesDamed exp u istceluiuergonder	--|-----⌫-|-⌫-⌫--|----|--------|
oci rreetdecoper	---⌫--|-|------|
fet aspaiens	--|-|-----|
Tel hardement prenenta	--|--------|------||
Quetozlesautresenpuet	--|--|--|-----|-|---|
en mieuzam er	-|----|--⌫-|
Seignorbar ond istAymerisliber	------|---⌫-|-⌫--|------|-|--|
Giraiauantlepremier cop	|---|----|-|------|--|
Sor mo ndestrier	--|--⌫|-------|
feruestuz etarm ez	--------|-|---⌫-|
Ia n i menrai ne conpangon	-|||-----|-|--------|
Sal amiran tpooie ia pa rler	|||------⌫|----|-|--⌫---|
Quea deliurelepoisse trou ue r	--||------|-|-----|----⌫--⌫|
Cestbonespiequisi	|--|--|----|--|-|
es t daciercl er	--⌫||----|--⌫-|
Lic uit gef ereparmi lecorpspasser	-|-⌫--|-|-⌫--|--|-|-|----|-----|
Selorseignor pooiemortgiter	-|--|------|----|---|----|
Petitporroi t li re menan z	----|------⌫|-|--⌫-----⌫|
Etuos u osfai tes garn iret	-|--|-⌫-|---⌫--|----⌫-|-|
Qa ntuosorr oiz mon o lifant	--⌫-|--|---⌫--|--|-⌫-----|
paiense ntormoiasenbler	-----|-⌫---|--|-------|
S ecorez m oitant os t sanzdemor e r	-⌫-----|-⌫-|----⌫--⌫|---|-----⌫-⌫|
a u ezuosque	-⌫-⌫-|--|--|
cetertreapasser	-|-----||-----|
responentBienfetacre anter	--------|---|--||---⌫----|
Quiuosf audraDexlepuist	--|--|-⌫----|--|-|----|
crauen ter	------⌫--|
Aces p ar oless	|--|-⌫--⌫---||
ene stli cue ns tor nez	-|-⌫-|-|---⌫-|---⌫--|
Sorsondestrierferu estuzet armez	--|--|-------|----⌫----|-|----|
Dexle conduiequia ncroizfupenez	--|-|------|--|-⌫|----|-|----|
Passeletertresi	----|-|-----|-|
est enlo st entre z	--|-||-⌫-|-----⌫|
uoitl e pomeldontl iaigleert	---|-⌫|----|---|-⌫|----|--|
P artantconutque ce rt	-⌫-----|----|--||-⌫-|
limestretre z	-|-----|---⌫|
S or sond estri eri	-⌫-|--|-⌫-----⌫-||
uinttotabriuez	---|--|------|
Lamiran t tr ueueet iii.roisco r onnez	|------⌫|--⌫---|-|---|---|--⌫-⌫----|
Ni auoitplusSarr azin	||----|---|----⌫---|
La conseilloie ntentreuspor deuiser	-|-----------⌫-|---|--|--|------|
Com il po rroientla citeconqueste r	--|-|--⌫------|-|---|---------⌫|
Aufeugrezoi sespren dreet alumer	-|--|------⌫|------⌫--|-|-----|
Me senpoudeure	--⌫|-|--||---|
changera lor penser	-------|--|-----|
Esuoslecontequi es t dedanzentrez	-|--|-|----|--|--⌫|-----|-----|
Po r telespie qui	--⌫-⌫-||----|--|
est grose tca rre	--|---|-⌫|--⌫--|
Etpard euantestoit liferstornez	-|--|-⌫----|-----|-|---|-----|
Litroiroisaillentch asc uns fu	-|---|--|-------|--⌫---⌫--|-|
DistAymerisGlotoncar uosseez	---|------|-----|--|--|---|
Mieuzuosira	----|--|--|
espoir que nepen sez	-----|--|-|---⌫--|
Oupi sespoir seneuozi	-|--⌫|-----|-|-|--||
uosueil de	--|---|-|
rien s aseu rer	----⌫|----⌫--|
Mesagiers su iia	--------|--⌫|-|
neluosquierceler	--|--|----|----|
Aumeillorroidontn u soistparler	-|------|--|---|-⌫-⌫|---|-----|
CestCharlema ineligentis et	|--|--------⌫--|-|-----|-|
Cilsim enuoiesonmesagecon ter	--|-||-----|--|-----|---⌫--|
A l amirantqueporfol puis	||------|--|--|--|---|
Q antilosa	-⌫--|-|--|
ost to rner	--|--⌫---|
en querre et	--⌫-----|-|
Sauant ira	|----|--|
ou c iuodrae s ter	-|-⌫|----|-⌫-⌫--|
Liquieusestc e fetesle moimo st rer	-|-----|--|-⌫|----|-|--|--⌫--⌫--|
L iamiranz	-⌫|------|
respont sanzdemorer	------|---|------|
Si reua saxia	--⌫-|--⌫--|-|
nemiqui er cele r	-|||---⌫-|----⌫|
Ie s u ilisireacui	-|-⌫-⌫|-|---||--|
uolezparle r	----|-----⌫|
Par Mahomet	--|------|
quegedoiao rer	--|-|--|--⌫--|
Bienuospoezporfol mu sartprouer	---|--|---|--|--|--⌫---|-----|
Qui tozarmezosastes cientrer	--|--|----|------|-|-----|
Etliportiersle doit bienconparer	-|-|-------|-|---|---|-------|
Q a nt u os l es sales uela insi passer	-⌫-⌫-|-⌫-|-⌫--⌫-|-|-⌫--|-⌫---|-----|
en p uetnusgarder	-|-⌫--|--|-----|
Queneliface	--|-|-|---|
oupieoupong coper	-|--|-|---|----|
Oude lates te endeu s	-|-|-|---⌫-|-----⌫|
leseuzcreuer	--|--|-----|
DistAymerisDefol ie	---|------|-|---⌫-|
oipa rl er	-|--⌫--⌫-|
Debiaurespondrene saue z apan ser	-|---|--------|-|----⌫|----⌫--|
Mess e des autresp uetsoncorsdeliu rer	--|-⌫|--|-----|-⌫--|--|---|-----⌫--|
Dandroitde uoslecuit bienaquiter	|------|-|--|-|---|---|------|
Ie uosde ffi nel uos	-|--|--⌫--|--|--|
quierpluscel er	----|---|---⌫-|
DeD a me d euq ui tot	-|-⌫-⌫--⌫-⌫-|-⌫-|--|
Br an d istlespieo lefer daciercle r	--⌫--⌫-⌫--||----||-|--||----|---⌫|
Fi ertlamirantquanq uilpot en teser	--⌫--||------|-----⌫|-|--|--⌫----|
lecor slifistleferp asser	-|---⌫|-|---|-|--|-⌫----|
Delfaudestuellefet mortc rauenter	--|---------|-|--|---|-⌫-------|
Qant Sarrazi nlont	---|-------⌫||--|
ueu iusuerser	--|--|-----|
E tal a terremo ri ret	-⌫||-⌫|----|--⌫--⌫|-|
Enfu ietorn entsanzplus	-|--⌫-|----⌫--|---|---|
dedemo rer	-|----⌫--|
Et li troiroise cuiden tde s torn er	-|-|---|--|-|------⌫|--⌫-⌫----⌫-|
MesAymerislorfu	--|------|--|-|
alanco ntrer	||----⌫----|
d acie rlorfetleschi es uoler	|----⌫|--|--|--|---⌫-|----|
Del trefse prent	--|---|-|----|
par forcearetorner	--|----||-------|
Paien le uoientnio tquespoenter	----|-|-----|||-⌫|-|--------|
IIc.ense ngnesioi ssiez crier	---|----⌫----||--⌫----|----|
Dont sestormi ssent S arra zine tE scler	---||-------⌫----|-⌫----⌫--|-⌫|-⌫----|
Leconte uont s ifort auironner	-|----|---|-⌫|---|--------|
Quedenulsansnesen pote schaper	--|-|--|---|-||-|--|-⌫------|
uoitlAymeris	---||------|
lesans c uidedesuer	-|---|-⌫---|-----|
Il tr aitl	-|--⌫--||
espe ed on t librans luisoi tcler	----⌫|-⌫--⌫|-|----|------⌫|---|
Cui i lconsiutsontan slifaitfiner	--|-⌫|------|--|---⌫|-|---|----|
Car ilnauoient loisird eus adober	--|-||------|-----||--|-----|
Desarmef urent sine porentdurer	------|-⌫----|-|-|-----|----|
Cachascuncopn enface. i.	||------|--||-|---|-⌫-|
mor tgiter	---⌫|----|
Lors faitli	---|---|-|
cuensso noli fantson e r	----|--⌫|---⌫---|---⌫-⌫|
Par.iiii.en paintesmo lt	--|-----|--⌫------|--⌫-|
haut ementetcler	----⌫----|-|---|
Quebienlentandent sibar onets iper	--|---||--------|-|---⌫-|-|-⌫|--|
Queil otfetlezlemontarester	--|-|-|--|--|-|---|------|
Adonc desrengentsanzplus dedemore r	----|---------|---|---|-|------⌫|
Quiainzquimieuzpansen td	--|---|--|----|------⌫||
esperonn er	--------⌫-|
