pou rce que	---⌫|-|--|
ilpasque iena conte	-|--|--|-||-⌫----|
a li tantqu e bienle	|-|------⌫|---|-|
on aperceuoiret fera aua nt queliplaisrema noir	-|---------|-|---|---⌫--⌫--|-|----|----⌫---|
comm entd is tla meredamoise le estes	----⌫--|-⌫--⌫|-|---|-------⌫-|----|
uous te le	---|--⌫-|
queilu ous ser oi t dommeaqui	--|-|-⌫--|---⌫--⌫||---||--|
ilnes eroit	-|-|-⌫----|
rien s deuous	----⌫|-|---|
ennondieumere dist	-|--|---|---|---|
ell e siest ilpar maintes	---⌫|-|--|-|--|------|
fo is a uenu	--⌫-|-⌫---|
e tsi neuou sen esmerueilliezia	-⌫|-|-|---⌫|-|------------|-|
sauezbien quantla	----|---|----|-|
c hose plaist il	-⌫---|-----|-|
nico uuient	||--⌫-----|
auo irpoin tdemoien	---⌫-|----⌫|-|----|
et ci n affier tnulz	-|-||------⌫|---|
bla s me s	---⌫-⌫--⌫|
quant enplu s s ouffisant	----|-|---⌫|-⌫--------|
lie u ne porroi e iemetre mon	---⌫|-|------⌫|-|----|--|
cuer et se	---|-|-|
uous ysauezquere prendreditesle	---||----|--|--⌫------|----|-|
etiel escouter ai	-|-||--------⌫-|
uolentiers dont parlaladame q uifu couroucie	---------|---|----|-|---|-⌫-|-|--------|
ele auoitditetoy	--|----|--|-|-|
e tditgarceuoirement	-⌫|--|----|--------|
ie areprendre et moultesteshardiequant	-||--------|-|----|----|-----|----|
siaband onne emen tuou sestesdescouuerte enu ersmoi	-|-----⌫----⌫----⌫|---⌫|----|----------|---⌫--|--|
uousdirai pourquoi i esai	---|----|---|---|-⌫|--|
touturaiementqui	---|--------|-||
na enuers uous	||-----|---|
n e cuernepenseesia droitquar	-⌫|---|-|-----|-||----|---|
uoirsestluineue ulie	----|--|--|-|--⌫-|-|
pas blasmerque	--|------|--|
saroiedo nt etseie lesauo iesimen	-----|--⌫-|-|-|-|-|----⌫-|-||-|
uoudroi ei e deport er	-------⌫|-⌫|------⌫-|
pou rlamourdemonseigneur qui	---⌫||----|-|--|-------|--|
l aimmeplus que nulhomme	|----|---|--|--|----|
messires laimmel eueulieameren	--|----||----|-⌫|---|-|---|-|
to usbie n s etpour cesra i so nsestesf olequant	--⌫-|---⌫-⌫|-|---|--|--⌫-⌫--⌫-|----|-⌫--|----|
ypensez mere	|-----|---|
puceleencorenauez uous	-----|-----||---|---|
nuler aiso n parquoiie a iedite	---|-⌫----⌫|--|---|-|-⌫-|---|
nef aitenule	-|-⌫---|---|
merecuides tu	---|-----|-|
que u nsteulz	--|-⌫-|----|
cheualier scomme ilestdeus tmetre	---------⌫|----|-|--|----⌫|----|
soncu erentel	--|--⌫-|-|--|
coche tco m metu esetpor quo i dist	-----⌫|--⌫-⌫-|-|-|-|--|---⌫|---|
uousqu eiesuic ochesieletedira idist	---|--⌫|-|--|-⌫----|-|-|-|----⌫|---|
ilestuoirsquetu es	-|--|----|--|-|-|
puc el eet pour ce	---⌫--⌫|-|---|-|
t aiie appellécoc het quartoiet	|-|-|-------|---⌫--|---|--|-|
toutesl es	-----|-⌫-|
quisontonlesdoitappell er coches car a	--|---|-|--|---|------⌫-|-----|--||
parlerelles tourn en tente llemaniere comme	-----|----|-----⌫--⌫|-|--⌫--|------|----|
li coche s	-|-----⌫|
auuent ci s ontcin e sont	-|---|-|-⌫--|-|-⌫|---|
huiameront	--|------|
elesce stui	---|--⌫---|
demain amerontellesun a utreet pour ce	-----|------|----|-|-⌫---|-|---|-|
nele tendroie	-|-|-------|
ie pas a sageseil	-|--||---|-|-|
ennulemanier eq ui soitymetoit	-|---|------⌫|-⌫-|---||-----|
son cuernesamour	--|---|-||----|
