telzco ustumance danferuient	---|--⌫--------||----|----|
qu eunq uar tiertandepartiroie	--⌫|-|-⌫---⌫---||-|----------|
re n art bien	--⌫-⌫--|---|
leu ou ro i e	-|-⌫--⌫--⌫-⌫|
mesqu antsesyyquartiersar oiz	--|--⌫--|--|-|--------|--⌫--|
siuousples t lequartm e la iroiz	-|---|----⌫|-|----|-⌫|--⌫----|
dimo i renartconbieniluaut	-|--⌫|-----|------|-|---|
conper esiadire	------⌫-|-|---|
quantas sezmangi éanaurez	----|--⌫--|-----⌫-|-|----|
toutatempsla uale ur saurez	---||----|-|----⌫-|-----|
dit ysengrintost	--|-------|---|
e ttostuostrequa rtierauroiz	-⌫|---|-----|---⌫----|-----|
anestafauueuenus	-|--||----|----|
deuantlian estan ttenus	-----|-|-|-----⌫|----|
etdistfauue deliuremoy	-|---|----|------|--|
ce poulain quegecilec u o i	-|------|--|-|----|-⌫-⌫|
carpor m undroit ledoia u oir	--|--|-⌫-|----|-|--|-⌫-⌫--|
dit fa uuenoncontre d imie	--|--⌫--|--|------⌫-⌫|--|
gesui doufaireapareillie	-|--|--|----|---------|
mes quebautisiezsoit auant	---⌫--|--------|---|----|
nonaite tpui sou	--|--|-⌫|---⌫|-|
i tecouuant	|-|------|
c arte lleordonnan cean menons	-⌫-|--⌫--|--------⌫-|-|-----|
or d ifaucequelz iert sesnons	-|-⌫|----|----|---|--|---|
gemio troyp arihesucrit	-|||-⌫---|-⌫-|--------|
e t di stfauueil estes c rit	-⌫|--⌫-|----|-|--|--⌫-⌫--|
dedanslasoledemonpie	-----|-|---|-|--|--|
donttu do iza uoir	---|-|--⌫-|-⌫---|
le cue rl ié	-|---⌫|-⌫--|
or garde mon que lnon y a	-|----|--|---⌫|--|||
fauue l epieta nduli	----|-⌫|--|--⌫--|-|
lenon cilectrouuerde uez	-|--|----|------|--⌫--|
i sangri n se lire sauez	-⌫------⌫|-|---|----|
ue ez quel n onild oitauoir	--⌫-|---|-⌫-|-|-⌫--|----|
lor sdistiss angrin aren art	---⌫|---|---⌫-----||---⌫--|
comperes ueez	-------|---|
se dieu z uousgar t	-|----⌫|---|---⌫|
uous saueztrop mi auxde m oi	---|----|---|--⌫--|-|-⌫-|
baisiez uous	------|---|
saichiezl e madire	-------|-⌫|||---|
dist re n ars iaila rumeehue	---|--⌫-⌫--||-|-|---|---|
parcoiiai tou bleel a	--|--||-|---⌫---|-⌫|
quipar lesyauxtouzmede ssant	--|--|--|---|---|-|--⌫----|
por coitozaueuglesme s an t	--|--|--|-------|-|-⌫--⌫|
etsinaige lehu	-|-||-|-|---|
qua n lois	-|-⌫|---|
saipointlire francois	--|----|---|-------|
anuizuerroiz	----|------|
bon clercbi enlire	--|----|--⌫-|---|
en nulromant nebienescrire	-|--|-----|-|---|------|
s i queparse	-⌫|--|--|-|
gene sa roie	-|-|--⌫---|
auequesse gene	------|-|-|-|
lors arenars le syauxc ouu ers	---||-----|--⌫|---|-⌫---⌫--|
lebornefaitetletr auers	-|----|---|-|-|--⌫----|
et distni u oig outecompere	-|---|||-⌫-|-⌫---|------|
genepo rroieletre	-|-|--⌫----|----|
il couuient	-|-------|
qu euousmemei gniez	--⌫|---|-|---⌫----|
et queparlamain	-|--|--|-|---|
me t aigniez	-|-⌫------|
deliurezuous l isiezla letre	-------|---|-⌫----|-|----|
geuoudro ie ia en me ssones tre	-|------⌫-|-|-|--⌫---|--⌫--|
c ene f ust poruous	-⌫|-|-⌫--|--|---|
conpaignie r	----------⌫|
gemef eusse huifaizseignier	-|-|-⌫----|--|---|-------|
etporler ume etporl atouz	-|--|-|-⌫--|-|--|-⌫|---|
lors metissangrinagenouz	---|--|--------||-----|
satested e ssouzlepie boute	-|----|-⌫-⌫----|-|--|----|
etdistfauuegeniuoi gou t e	-|---|----|-|||--|---⌫-⌫|
cezlepieapoint metre	--|-|--||----|----|
lorsdi st fauu euoizci	---|--⌫-|----⌫|---|-|
doupielefiertsusle sommet	--|--|-|----|--|-|-----|
si queanuers	-|--|-----|
aterrele me t	|----|-|--⌫|
touz estandustouz	---|-------|---|
e stor m iz	-⌫----⌫-⌫-|
pourneantfu stil andormiz	---|----|--⌫-|-|-------|
fu itetsespoul ains	--⌫-|-|--|----⌫---|
et dantr en ars nefu	-|---|-⌫--⌫--|-|-|
anunehaietost sebo ute	-|--|---|---|-|--⌫--|
desiquiissangrinesco ute	--|---|--------|----⌫--|
quel c ontenance s il fera	---|-⌫---------⌫|-|---|
porcelcob morssera	--|--|--|---|---|
miauxliuausist	----|-|------|
estrea nmaison	----|-⌫|-----|
ades napasclerg i e saison	---|||--|-----⌫-⌫|-----|
oruoigebient out an ape rt	-|--|-|---|-⌫--|-|---⌫-|
que cler giebiensasaisonpert	--|----⌫--|---|-|-----|---|
auc un esfoiz uilainguea ignent	---⌫--⌫-|---|-----|----⌫-----|
esleusoulicler cseme hainnent	-|---|-|-|----⌫|-|--⌫-------|
sisang rin li renesaust	|-----⌫--|--⌫-|-|----|
anc orcestepruneilneust	---⌫-|----|----|-||---|
is sa ngrindepaumi son uie nt	--⌫--⌫----|-|-----⌫--|---⌫-|
qui porfox dechehuss e t ien t	--|--|--|-------|-⌫|-⌫---⌫|
montseguerma nte et	---|-|------⌫--|-|
dit pouruoir	--|---|---|
ge nefis mi egrant sauoi r	-|-|--|--⌫|----|-----⌫|
quantgeuouloieclersdeuen ir	----|-|------|----|-----⌫-|
gem ansai bien acoitenir	-||-|--|---||--|----|
tel mestier naigemie c hi er	--|------||-|-|--|-⌫--⌫-|
gea intr op miax estr e	-|-⌫-|--⌫-|---|----⌫|
deso resman	--|-⌫--||-|
iraiaille urs	---|-----⌫--|
querira uantur e sme il leurs	-----|-⌫------⌫-⌫|--⌫--⌫----|
q u ellemasig rantcobdonne ́	-⌫|---|||-|-⌫---|--|-----⌫|
quetou t lechiefm	--|---⌫|-|----||
a esto nné	|----⌫---|
n equiert pasmamor deseruir	-⌫|-----|--||---|-------|
quide telz donsmesetseruir	--|-|---|---|-|--|-----|
de telznulne donroi efeuille	-|---|--|-|------⌫|------|
niertiames	|---|----|
le chiefnemedeui ll e	-|----|-|-|----⌫--⌫|
tourio ursmessouuenirman	------⌫--|--|-------||-|
et re nartquileregardoit	-|--⌫---|--|-|--------|
s anestmontf ormantesioiz	|-|--|---|-⌫-----|-----|
di stor estmal eurfuiz	--⌫-|-|--|--|--|---|
sansincconmeantan i	|-----|----|----||
cesteaumosneaq uis see usse	----|------|--⌫---⌫-|-⌫---|
mesdieuxm ana	--|----||-||
m ont biengardé	-⌫--|---|-----|
quima cestpresantretardé	--|||---|------|-------|
lorssanpartless au s	---||-|---|--|-⌫--⌫|
touzliez et ioians	---|---|-|-----|
cest tenus	|--|----|
etdistfoxestbienl ose	-|---|--|--|---||--|
quiaupiede cheua l semire	--|-|--|-|-----⌫|-|---|
iamesi orn emi mireray	----|-⌫-|-⌫|||------|
quantde cest elicon l iray	----|-|----⌫|----|-⌫---|
iuuenausnousan di ttoutuoir	-------|---|-|--⌫|---|---|
que grantsana celuipor uoir	--|----|--||----|--|---|
quis et s onann ui	--|-⌫-|-⌫-|---⌫-|
par autruiannui re garder	--|-----|----|--⌫-----|
de cet uisoit dieux	-|---⌫-|---|----|
adonta ses	----||--|
pi ezdesliez	--⌫-|------|
prantd e f ainmoroit	----|-⌫|-⌫--|-----|
et mo ntpour ceadieuo roit	-|--⌫-|---|-||---|-⌫---|
sic hoisiun eg ra nt monta ig ne	-|-⌫----|--⌫|-⌫--⌫-|-----⌫--⌫-|
q ui doisi auxesto ittoute plaine	-⌫-||----⌫--|----⌫-|----|-----|
aloientiqui	------|---|
etrenars quimon tpe utos ser	-|-----|--|---⌫|--⌫-|--⌫--|
amontgran t	|---|----⌫|
antreprandre	-----------|
le cuer prant	-|---|----|
a ses oisiaxtandre	|--|-----|-----|
etpanceque ta nt	-|----|--|--⌫-|
darts au ra	|--|-⌫--⌫-|
quaucundesesoissi auxa ura	-|----|-|--|-----⌫--|-⌫--|
desal amguedurerlipeut	-|-|-⌫----|----|-|---|
quei lu eut	--|-⌫|-⌫--|
lorss anest	---||-|--|
renarsesmehu	-----|-----|
quel i oisel nelont	--|-⌫|----|-||--|
concilzqu itre sb ienfuapris	--|---|--⌫|---⌫|-⌫--|-|----|
plains o npoi na	----|-⌫-⌫|---⌫||
de rai nsiaxpris	-|---⌫----|---|
anunhautleusa ne stmon tez	-|-|---|--||-⌫|-⌫-|---⌫--|
sicestdeses rainsiax	-||--|-|--|-------|
formantse ba tform antseplaint	------|-|--⌫|----⌫--|-|-----|
de sa couleurse taint	-|-|------|-|----|
montpleureetmo ntsegremante	---|-----|-|--⌫-|-|-------|
samblantfa it quemont	-------|--⌫-|--|---|
se repante	-|------|
etd iso it or tien charmauuesse	-|-⌫---⌫-|-|---|---|-------|
et taglo utonniee ttonesse	-|-|---⌫------|-⌫|--|---|
quetuas ades recehue	--|-|-|---|------|
ettoutetauieehue	-|----|-|--|---|
monttr e sgrans cosilseferoit	---|--⌫-⌫|----|--|-|-|-----|
poapresiloroit	-|----|-|----|
decuerpiteussemant	-|---|-----------|
etsemenoi tm on thumblemant	-|-|-----⌫|-⌫--⌫|---------|
aucund eses oissiauxle	----|-⌫|--|-------|-|
quiaus au tr esoissiaux ledirent	--|--|--⌫--⌫-|-------|-|-----|
ueez seigneurd ient il me ru eilles	---|-------|-⌫---|-|--⌫--⌫-----|
co nquesneueistesles pareil les	|-⌫----|-|------|--|------⌫--|
lorss ansonttuituersl iuolé	---||-|---|---|---|-⌫|----|
etpourla pitie ado l é	-|---|-|----|---⌫-⌫-|
iotquige mirent	|-|--|--⌫-----|
quantan telpour eteleuiren t	----|-|--|----⌫--|-|-----⌫|
lorsdistren ars seigne uroez	---|---|---⌫--|------⌫-|--|
uous trestuitle	---|-------|-|
nomdie u loez	--|---⌫|---|
ca r qu i bienleloe ra	--⌫|--⌫|---|-|---⌫-|
ilpeuttresto uteioie auoir	-|---|------⌫--|---|----|
c has cun sa p atern ostr edie	-⌫---⌫--|-|-⌫-----⌫----⌫|--|
etdelez moiu n	-|----|--|-⌫|
conteruous ueuilautori te	-----|---|----|------⌫-|
qui uanratou t deuerite	--|----|---⌫|-|-----|
nemant qu i	-|---|--⌫|
sil i priq ues isai ge s so ie	-|-⌫|--|-⌫-|-⌫|---⌫--⌫|--⌫-|
lagrace medoigne	-|----|-|-----|
quetelz pa roleuous mai ntai gne	--|---|--⌫---|---|---⌫----⌫--|
queuousoez de uos te mant	--|---|--|--⌫---⌫--⌫---|
quiuous moinent asauuem ant	--|---|------||------⌫--|
etauparadistres toutdroit	-|-|------|----⌫---|----|
d i tesamen quedieuxl otr oit	-⌫-⌫--|---|--|----||---⌫--|
adontlioi ssel	----|-|--⌫---|
s aro uterent	|---⌫------|
etre na rt t restuite scou t e rent	-|--⌫--⌫-|-⌫------|-⌫----⌫-⌫-⌫---|
quideuanteusa	--|-----|--||
faitsacis se	---||----⌫-|
luneiame suslaut re mi se	|--|---|--||---⌫-|--⌫-|
du ned esmainsan lautre fi ert	|-⌫-|-⌫-|----|-||----|--⌫--|
et distbonne g entilaf fiert	-|---|----|-⌫--|-|--⌫----|
sarmonoiez	-----|---|
etpresdemoi	-|---|-|--|
pa rcoi mepussie zoir	--⌫|--|-|------⌫|--|
etleuurededieuconi oir	-||----|-|---|----⌫--|
cuerssi re ceuoir	----|-|--⌫-----|
qu egenpuis seloan geau oir	--⌫||-|----⌫-|----⌫-|--⌫--|
lemerit eanai ez	-|-----⌫|-|--⌫-|
bo n negen tamidedieuoiez	--⌫-⌫-|---⌫|--|-|---|---|
s eigneu rgeuousueil	-⌫------⌫|-|---|---|
ma nte uoir	--⌫---⌫---|
escr itureleuo ir	----⌫----|-|--⌫-|
quicr oira	--|--⌫---|
et crestiens ier t	-|--------|---⌫|
pouruo i r paradis liafie rt	---|--⌫-⌫|------|-|----⌫-|
me sancroire sontplusorpoint	--⌫|-|-----|---|-----|----|
pr emi ersquebonneuiemoint	--⌫---⌫--|--|----|--|----|
ta igne lesyy	--⌫---|--|-|
conmandemans	-----------|
ceesttresbons	-|--|---|---|
conman cemans	------⌫-----|
main zsontde ce mont maltaich ié	----⌫|---|-|-|---|--|-----⌫--|
cro ien tpasdepech ie	---⌫---⌫|--|-|----⌫-|
ne demeffaitquep ec hiezsoit	-|-|------|--|-⌫--⌫---|---|
antel creancetrops e	-|--|------|---|-⌫|
co n cian cen an fais	--⌫-⌫----⌫-||-|---|
donquespoince pechie nefais	------|---|-|-----|-|---|
si condef ornicacion	-|--|-|-⌫---------|
oudemauuesseaquision	-|-|-------|-------|
oudes treanmalc onsanteour	-||--⌫--|-|--|-⌫---------|
oumesdisanzou bourdeo ur	-|--------|-|-------⌫-|
amai ntes g ens ilnansouuie nt	|---⌫---|-⌫--|-||-|------⌫-|
etd it quepor	-|-⌫-|--|--|
pechie non	-----|--|
pource quilneltientil nest	---|-|-|-|-||----|-||--|
ueritezuiau tquegeuous d ie	------|----⌫|--|-|---|-⌫-|
quecestun srains debo ugrerie	--||--|--⌫|----|-|--⌫------|
etfauc ecreancea ss ourrie	-|----⌫|------|-⌫--⌫-----|
asourréso n t	-------|--⌫-⌫|
ancestordon	-|---|----|
c ec ina rontpa rd on	-⌫--⌫||-⌫---|--⌫--⌫-|
quant ilerr entan mescreance	----|-|---⌫--|-|---------|
etsi nanfontpas conciance	-|-||-|---|--|--------|
nepointamander nesanueullent	-|----|------|-||-|-------|
nepoint dece il	-|----|-|-|-|
ne sedeullent	-|-|-------|
dientg ecroi et b autisi ez suis	----|-⌫|---|-|-⌫------⌫-|---|
etpa rta nt	-|--⌫|--⌫-|
getouz sauuezsui s	-|---|-----|---⌫|
pour cedigequ	---|-|-|-|-|
an croi re faut	-|----⌫-|---|
alerceloncd ieu san zdeffaut	---|-----|-⌫--|---⌫|------|
etoi tades	-|--⌫|---|
sacuremi se	-|---|--⌫-|
ao bei rasaintey g lise	|-⌫---⌫||-----|-⌫-⌫---|
o be i ssanceestnoble	-⌫--⌫-⌫-----|--|----|
si conpouruoirtes m oignerl os e	-|--|---|---|---⌫-⌫-----||--⌫|
estinobed ia ns	--|------⌫--⌫-|
ilestliezde	-|--|---|-|
m ausl ians	-⌫--|-⌫---|
bienleso tli ro is p har aon	---|-|--⌫|-|--⌫-|-⌫---⌫--|
autre foizdit	-----⌫---|--|
nousa rao n	---|-⌫---⌫|
que de sobeirs fuadi re	--|--⌫------|-|---⌫-|
quandil ne uostrandrelampire	----|-|-|---|-----||-----|
amoy ssequandlirequist	|---⌫--|----|-|------|
di eux am oysse dis t	--⌫--||-⌫----|---⌫|
uadistillepeu ple requerre	-|---|-|-|---⌫--|-------|
quephar aon tientan	--|----⌫--|----|-|
de parmoituli	-|--|--|-|-|
reque rras	-----⌫---|
responceorr as	-------|---⌫-|
mois sesqui adieu	----⌫--|--||---|
tant ostapharaona nuint	----⌫--||------|-⌫|---|
siconme dieuxli	-|----|----|-|
c o nm anda	-⌫-⌫--⌫---|
etlepeuplelidemanda	-|-|-----|-|------|
roisph ar aondistilescout e	---|--⌫--⌫--|---|-|------⌫|
ge uiencidepardi eusanz	-|---|-|-|--|--⌫-|---|
son peuple q uetu	--|-----|-⌫-|-|
car il uia ut q u	--|-|---⌫-|-⌫|
anautreleu aille	-|----|--|----|
lepeupledegitedemant	-|-----||----|-----|
et depardieulet e c ommant	-|-|--|---|-|-⌫|-⌫-----|
que le merandes	--|-|-|-----|
sanz respit	---|-----|
pharaonsotde cedespit	-------|-|-|-|-----|
at outse ildes ob ei	|-⌫--|-|-|---⌫--⌫-|
mestrop leidementan ioy	--|---|--------|-|--|
a ndemainq uan tilleuerent	-⌫------|-⌫---⌫|-|-------|
sustrestouzleur aubre str ou ueren t	--|-------|---|-----⌫|--⌫--⌫-----⌫|
l esquen et onsqu i touzmanioient	-⌫-|----⌫--⌫--|-||---|--------|
trestouzl esfruiz	-------|-⌫-|----|
qu e ilauoien t	--⌫|-|------⌫|
dontc h ascuns	---|-⌫-⌫-----|
esbaizset int	-----|-|-⌫--|
et moissesadieu re uin t	-|------||---|--⌫---⌫|
etd i sti ai requisto n	-|-⌫-⌫-||-|-----|--⌫|
petitlanpeutchaloir	----||-|---|------|
etdieuxlidist arrieriras	-|----|-|---|-----|---|
ancordepar moi lidiras	----|-|--|--|-|----|
que munpeuple te del iuro it	--|--|-----|-|---⌫----⌫-|
cilzquiad es p o urdie uouuro it	---|--|--⌫-|-⌫-⌫-|---⌫|-----⌫-|
tournearr i erancorauroydist	-----|---⌫-⌫-|----|-|--|---|
et lepeupl edieulir equist	-|-|-----⌫|---|-|-⌫-----|
p hara onanotm ontgrant ire	-⌫----⌫-|-|-|-⌫--|----|--|
etmo i ss e an print	-|--⌫-⌫--⌫|-|----|
nepour ce neli uost	-|---|-|-|-|---|
landemain aleur	|-------||---|
esueillier	---------|
an touzlor	-|---|--|
prezque i l auoien t	---|--|-⌫|------⌫|
es bonnesherb e squil an moient	-|-----|----⌫-⌫|-|-|--⌫-----|
tro uu erenttrestozdoumag iez	---⌫--⌫----|------|------⌫--|
etde laoutetouz mang iez	-|-||----|---|----⌫--|
touzlorprez	---|--|---|
trouueren tgastez	---------⌫|-----|
bien c onn urentse	---|-⌫---⌫----|-|
etuirentqueilmeffasoient	-|-----|--|-|----------|
etqu aplain	-|-||----|
desobeissoient	-------------|
me i me s liroisesbaizfeu	--⌫-⌫--⌫|-|---|-----|--|
mo i ssesq ui auretour feu	--⌫-⌫---|-⌫-|-|-----|--|
dista dieu g e ai la	---||---|-⌫|-|-|
airi en aquest é	-|--⌫-|------⌫-|
unautreyanuoiezque m oi	-|----||------|--|-⌫-|
que ne ueut rienferepour moi	--|-|---|---|---|---|--|
lo rsdist dieuancore siras	--⌫-|---|---|------⌫|---|
e t tie r ce f oiztulidi ras	-⌫|---⌫-⌫-|-⌫--|-|-|--⌫--|
moiss esarrier e r epaire	-----⌫-|------⌫|-⌫-----|
pourdie upor son me saige fa i re	---|---⌫|--|--|--⌫----|--⌫-⌫-|
di e u a ncor li rouua	--⌫-⌫|-⌫---|-|----|
desobeis santletrouu a	--------⌫---|-|-----⌫|
n a ri ensu oulu	||--⌫--|-⌫---|
dontlip eup lescest mont	---|-|-⌫---⌫--||--|---|
etliroysme imemant	-|-|---|--⌫------|
c artouzblezorges	-⌫-|---|---|----|
et frommans	-|-------|
ettrest outesleursgarnisons	-|-----⌫----|----|--------|
quilauoi ent an	-|-|----⌫--|-|
trouuerent plainesd euermine	---------|------|-⌫|------|
etlor s crierentilfamine	-|---⌫|-------|-|-----|
cartant deuerm ineyauo it	--|---|-|----⌫--||---⌫-|
nulz lenombreil n ans auoit	---|-|-----|-||-|-⌫----|
aut re zfoizlesraignes trouuerent	---⌫--⌫|---|--|------|---------|
tantque suslor uislo r	---|--|--|--|--|--⌫|
d on tpa rpoqued essanziuso i ent	-⌫--⌫|--⌫|-|--|-⌫-|---|----⌫-⌫--|
quar tozlesuislorconpisoient	---|--|--|--|--|----------|
tantquemoyssess aira	------|------||---|
etdist queplus il	-|---|--|---|-|
distdieuxtuiras	---|----|-|---|
a ncor marequestediras	-⌫---|-|-------|----|
lorsmoyssea r rierret ourna	---|-----|-⌫-⌫---|---⌫----|
l i roistoutabourdetourna	-⌫|---|---||-----|-----|
i lnob eine que	-⌫||--⌫-|-|--|
etdistmoy sses pa rcouu ant	-|---|---⌫---|--⌫|----⌫--|
peupl epointn	-----⌫|----||
iatantreq ueste	-|---|---⌫----|
or ipeuzestrea	-||---|----||
grantsei o ur	----|---⌫-⌫-|
mesquant seuintau pointdo	--|----|-|---|-|----|-|
chascunssabes tet rou ua	-------|-|---⌫-|-⌫---⌫-|
dont ilnor entpoi ntdedeport	---|-||--⌫--|---⌫-|-|-----|
qu i bestepointnau oit	--⌫|----|----||--⌫--|
sonamfantmortille	--|-----|---|-|-|
m eimeli ro issona ignefil	-⌫---|-|--⌫-|--|-⌫---|--|
trouuamor tdont se	-----|---⌫|---|-|
cefurentle spl aiesd egite	-|-----|--⌫|--⌫---||----|
dontge uousai memoire	---|-|---|-|------|
quant liroi s	----|-|---⌫|
etlip euplesuire nt	-|-|-⌫-----|----⌫-|
u ouloi r m oyssefirent	-⌫-----⌫|-⌫----|-----|
u i rentq uedur er	-⌫-⌫---|-⌫-|---⌫-|
n e pourroient	-⌫|---------|
sec ontredieuale r uouloie nt	-|-⌫----|---|---⌫|-------⌫-|
do ntli feu l i peup leba i lliez	--⌫-|-|--|-⌫|----⌫-|--⌫-⌫----|
mes auantfurentbien t ailliez	--|----|-----|---|-⌫------|
lorsmoysesle s aaduiz	---|-----|--⌫||----|
p ar m ilamerrougeconduiz	-⌫--⌫-⌫|-|--|----|------|
que eusdeuant e uspartir	--|--|-----|-⌫-|-----|
etlorsesd essersilse mir en t	-|---|-|-⌫-----|-|-|---⌫--⌫|
ius quedoureuenirfu temps	---⌫--|--|------|-|----|
lademour eren t quaranteans	-|------⌫----⌫|-------|--|
etn e u iu oientf orsquedemanne	-|-⌫|-⌫--⌫----|-⌫--|--|-|----|
quimont estoitetdouce	--|---|-----|-|----|
cil q ui pacianceauoient	--|-⌫-|-------|------|
toutesaueur	----|-----|
ilytrou uoient	-||----⌫-----|
n es toient paciens	|--⌫-----|------|
quiestoi ent	--|-----⌫--|
inobedians	---------|
nela trouuoien tfa de	-|-|---------⌫|--⌫-|
nelorest oitbonnenesade	-|--|---⌫--|----|-|---|
co nbienq ue uiure	--⌫------⌫-|----|
a nsinqueleur an	-⌫------|---|-|
po u rcep ouezuouscioir	--⌫-⌫|-|-⌫---|---|-|--|
quedesp ireetnonobeir	--|----⌫--|-|--|----|
faitdou lore t plaindre	---|---⌫--|-⌫|-------|
ameschi ef	|------⌫-|
etnepeuttournera bonchief	-|-|---|------||--|----|
lidesobeissantper dirent	-|-----------|---⌫-----|
que tostleu ouloir dieu n ef irent	--|---|-|-⌫-----|---|-⌫|-⌫----|
etsifu faitparfaitemant	-|-|-|---|-----------|
etperdiren tse condemant	-|--------⌫|--⌫--------|
ans equan lamann e	-|-⌫|-|-|-|----⌫|
qu ilorent	-|-|----|
conb ienq uiluiuoient goust norent	----⌫----⌫|-|-------|----||----|
lipac ia ntrien	-|---⌫--⌫-|---|
n eperdoien t	-⌫|--------⌫|
ett ou tgous tanlam anneauoient	-|-⌫--⌫|----⌫|-|-|-⌫---|------|
pourestausougi sgran terreur	---|--|-|-----⌫|----⌫|-----|
quant desobei st sonseign eur	----|-------⌫-|--|-----⌫--|
et cilzquitostobei r uiaut	-|---|--|---|----⌫|----|
to stanio it bie netpoin tnan	--⌫-|-|--⌫-|---⌫|-|----⌫||-|
cilzquiobeita	---|--|----||
nepeut fonde r	-|---|-----⌫|
me illeurmeson	--⌫-----|----|
p our ceuousueuilto uzreq uerir	-⌫--|-|---|----|--⌫-|---⌫----|
porlagracedieuaquerir	--|-|----|---|------|
queuousau e c	--|---|--⌫-⌫|
moianueigni ez	--|-|------⌫-|
etles santier sde	-|--|-------⌫|-|
dieutai g niez	---|---⌫-⌫---|
ettellep artuousueuilmener	-|----|-⌫--|---|----|----|
ioiesero izsan zpener	---|----⌫-|---⌫|----|
etqu anqueu ous	-|--⌫----|-⌫--|
uoudro iz aroiz	------⌫-|----|
ettuit a paiezuoustanroiz	-|---||----|---|------|
et se uousne uou sanuene z	-|-|---|-|---⌫|-|----⌫|
u ousceroiz tuitansinc	-⌫--|-----|---|-----|
deplaies con	-|-----|--|
cildegite furent	--||----|-----|
conb ienq ueala parfin sesmurent	----⌫----⌫-||-|-----||-------|
ansinc afinuousesmouroiz	-----||--|---|--------|
mes auan t	--|----⌫|
granttormantaroiz	----|------|----|
siu ousloque	-|-⌫--|-|--|
uous mesuie z	---|-|----⌫|
ettantnequant	-|---|-|----|
nide laiez	||--⌫----|
geleuousrequie r	-|-|---|------⌫|
nulle autre rien ci	----|----|---|-|
direna rs et ounousm anr as	-|----⌫-|-|-|---|-⌫---⌫-|
qua n taton	---⌫-⌫||--|
uouloir n o u s tanr as	------|-⌫-⌫-⌫|----⌫-|
dist ila u paradis terr estre	---|-|-⌫|------|----⌫----|
i qu i fer onsnous tuit nostreest re	-⌫--⌫|---⌫--|---|---|-----|---⌫-|
ailnecha utn efroit	|-|-|---⌫-|-⌫|----|
ne tropla rgenetrop	-|---|--⌫--|-|---|
tout e so u ffisance i demeure	----⌫|--⌫-⌫-------||------|
nenu l meschiefni	-|--⌫|-------|||
a nulleoure	|----|---|
iqui uiaut d ieuxquegeu o usmoin e	---|----|-⌫---|--|-|-⌫-⌫-|----⌫|
i usques plus grantgrac e iluousdoigne	-⌫-----|---|----|----⌫|-|---|-----|
tant leura renars r ecorde ́	---|---||-----|-⌫------⌫|
se fussentacordé	-|------|------|
que tuitsonuouloir feiss i ent	--|---|--|------|-----⌫-⌫--|
et a sauoiesemei ssi ent	-||-|---|-|---⌫---⌫--|
nefustunsme schiezquiliuint	-|---|--|--⌫-----|--|-|---|
que i ssangrinsiquise uru int	--|-⌫--------|---|--⌫---⌫--|
an haut il	-|---|-|
crienig arras	---|||-⌫----|
faustraistespandusseras	---|-------|-----|----|
quantrenars anta nt lan ouuelle	----|-----|----⌫-|-|-⌫------|
ne li fubelle	-|-|-|----|
ausoissiaxaditdec uertr ist	--|------||--|-|-⌫--|--⌫--|
miami u ezci antecr i st	-|--|-⌫-|-|------⌫-⌫-|
mau sfeusp uist	---⌫|---|-⌫---|
torma nter	-----⌫---|
quiuient cilec pormo itanter	--|----|----|--|--⌫|-----|
foizgereua nrai	---|-|----⌫---|
e tcom paig nieuoustanrai	-⌫|---⌫----⌫--|---|-----|
lorsdistant re bo uche	---|---|---⌫-|--⌫---|
etcu illier	-|--⌫-----|
aui entilsouuant amconbri er	---⌫--|-|------|--------⌫-|
gestoiesusuoie	|-----|--|---|
d auoir mapr oie	|----|-|--⌫--|
orlame tostcilzqui masproie	-|-|-|---|---|--||------|
lorssemistrenars	---|-|---|-----|
e tissan grin forta lasu ite	-⌫|-----⌫---|---||-|--⌫--|
dis tlierresfuirneuaudr a	---⌫|------|---|-|-----⌫|
parmoi uenir tecouuandra	--|--|----|-|--------|
lecuerdouuantretetrairai	-|---|--|-----|-|------|
iaautrechosenan ferai	-|----|----||-|----|
iss angrin fu fortetl egier	---⌫-----|-|---|-|-⌫----|
r enartpri ntmonta	-⌫----|---⌫-|---||
r e nartdecourre	-⌫-⌫---|-|-----|
tan tque par poquenecestaint	---⌫---|--|-|--|-||------|
etissangrinsparso n	-|---------|--|--⌫|
tostlifusaillizsuslecor s	---|-|-|------|--|-|---⌫|
et tantostmeh aigniél eust	-|------|---⌫------||---|
suneauanture nefeust	|--|-------|-|----|
quiest aue nue a renart	--|--|---⌫--||-----|
il uint pardeuantzze ssart	-|---|--|-----|-|-⌫----|
ouiadisunma noirauoi t	-|----|-|--⌫---|----⌫|
quiau nescuieres toit	--||-⌫|------|--⌫---|
mais ons yot etfour	----⌫--||-|-|---|
mestant ot	--|---|-|
suye laguerre	---|-|-----|
lestournoiemanssu iz	--|-----------|--⌫-|
monblessanfuf uiz	------||-|-|-⌫--|
couuin tan	------⌫|-|
foiremetre	----|----|
etbaillier ple geetfere let re	-|-------|---⌫-|-|---|---⌫-|
nebaillasortnecoustemans	-|-----|---|-|---------|
tantquesaill i rent man demant	------|-----⌫-⌫---|---⌫-----|
premiersecont et quarte t quint	------|-----|-|----|-⌫|----|
lescuiera uf u irsetint	|------|-⌫|-⌫-⌫-|-|---|
tie l lesc he uro nfurentua ndu	---⌫-⌫--|-⌫--⌫---⌫|-----|--⌫--|
etparsergenstoutespandu	-|--|------|---|------|
r emest forslefourde ter re	-⌫----|---|-|---|-|---⌫-|
