mesireno bles	-|---|--⌫---|
nemet eleio r	-|---⌫|-|--⌫|
quant rena rt lotducuer s oupir e	----|----⌫-||-|-|---|-⌫-----⌫|
to ut q uoisetint	--⌫-|-⌫--|-|---|
n ose mot dire	|--|--|---|
renartsotletre sensenfance	-----|--|-----⌫|-||------|
siot o i denigromance	-|-|-⌫|-|---------|
tant ot puis entendu aillors	---|-|---|------|------|
coubliezot des	|------|-|--|
mozmeill ors	--|-----⌫--|
renart nefu pasesmaiez	-----|-|-|--|------|
sonbastonprentcon	--|-----|----|--|
gentementlesotasoitrere	--------|-|--||--|----|
bienfuaprisdet el afere	---|-|----|-|-⌫-|----|
enplusorsse nslaessaié	-|------|--⌫-|||------|
nef etsemblan td	-|-⌫-|-------⌫||
onmeesm aié	---|---⌫---|
enses d oiz lacorroielace	-|--|-⌫--|-|------|---|
s isedresce enm ila place	-⌫|-|-----|---⌫|-|----|
sone scu p rentsi fuseur	--|-⌫--|-⌫---|-|-|---|
c onmechaste l qui si etsor m ur	-⌫---|------⌫|--|--⌫-|--|-⌫-|
liescremir li estmoult biaus	-|-------|-|--|----|----|
q uetouzense t	-⌫-|---|-|--⌫|
lesenuiaux	--|------|
so nescusor satestetient	--⌫|---|--|-|----|----|
etysengrinpresde	-|-------|---|-|
lu i uient	--⌫|----|
teldescremielidonna	--||-------|-|----|
quiagranth ontelitorna	--||----|-⌫---|-|----|
yse n gr inestdegrantair	---⌫-⌫--⌫-|--|-|----|--|
moultto st uarenartenuair	----|--⌫-|-|-----|-----|
il mal esbailliz	-|--|-|------|
totdis me sol oies ho nir	-----|-|---⌫---|--⌫--|
s eneme uen zdelauitan ce	-⌫|-|-|---⌫|-|-|-----⌫-|
quemef e isparsorqu idance	--|-|-⌫-⌫-|--|-----⌫-----|
quanttuamafamegeus	----|-||-|---|---|
et a f orcelaporgeus	-||-⌫---|-|------|
renartresp ontsire mal dites	-----|----⌫--|---|--|----|
otroiez queieso iequites	------|--|-|--⌫-|-----|
fereuosf ere granthonmage	---|--|-⌫--|----|------|
asch eu aliersdemon	-|--⌫--⌫-----|-|--|
puis i re por uos outremer	---|-⌫-|--|--|-------|
se meuol ezquiteclamer	-|-|---⌫-|----|-----|
renar t fa itilne	-----⌫|--⌫-|-|-|
te trauailles	-|---------|
certes iecuitque	-----|-|---|--|
petituail les	----|----⌫--|
quant de mes main s eschaperas	----|-|--|----⌫|---------|
i apuisnemeramponeras	-⌫|---|-|-|---------|
renart r es p o nt cestdeuinaille	-----|-⌫--⌫-⌫-⌫-||--|---------|
bien uerromesala batai lle	---|-------||-|-----⌫--|
lequel denosaura le	-|---|-|--|---|-|
distys engrinnoien tte	---|--⌫-----|-----⌫|-|
nemepuisue ng ie r	-|-|---|--⌫--⌫--⌫|
etdist renart oro id angier	-|---|-----|-|-⌫|-⌫-----|
qu aleztoteiormenacant	-|---|---|--|-------|
mes assail liez	--|------⌫---|
d e ma intenant	-⌫|--⌫-------|
a cest mot ysengrinacort	|---|--|-------|----|
renartna tale nt quilsentort	-----|||----⌫-|-|-||-|---|
son esc u met deuantson f ront	--|---⌫|--|-----|--|-⌫---|
met pieauan ts ouentsesgront	--|--|----⌫|-⌫----||------|
moultleuay sengr inha stant	----|-|-|-⌫-----⌫-|--⌫----|
renartseuabien	-----|-|-|---|
desfendant	---------|
ainzquisengrin pa rt	-----|-------|--⌫-|
le fiert renartque	-|----|-----|--|
p asne faut	-⌫-|-|---|
telco plez loreillelidonne	--|--⌫|--||------|-|----|
totelat este li	---|-|-⌫---|-|
siquea poiqueil ne ch iet	----||--|--|-|-|--⌫--|
acelassau tmal li enchiet	|--|-----⌫|--|-|------|
quantsa teste	----|-|----|
desa ma insep r ist aseig ni e r	-|-|--⌫-|-|-⌫-⌫--||----⌫--⌫-⌫|
dieupriequinefau tne	---|---|--|-|---⌫|-|
qu e i l lega rtd	--⌫|-⌫|-|--⌫-||
afo le ment	---⌫--⌫---|
parsafam eestcedittrahiz	--|-|---⌫|--|-|--|-----|
longuementfu	---------|-|
que ilnesotou il estoit	--|-|-|--|-|-|-----|
soitiorsounuizqueltensfe soit	---|---|-|---|---|---|--⌫---|
porlecopquil ot receu	--|-|--|-|-|-|----|
renartl ot	-----||-|
bie naparc eu	---⌫|-----⌫-|
nef aitsemb l antque	-|-⌫--|----⌫-⌫--|--|
neque aperceuleust	-|--|------||---|
mes d autrepart tor nes achiere	--||----|---|---⌫-|-⌫|-----|
orseregart que	-|-|-----|--|
ilnelfiere	-|-||----|
seilenpuetloisirauoir	-|-|-|---|-----|----|
enc orli fe r a	---⌫-|-|--⌫-⌫|
bie n sauoir	---⌫|-----|
quen a talent d eluiatr ere	--|||-----|-⌫|--|---⌫--|
e n su sdelui l efe rat rere	-⌫|--⌫|-|--|-⌫|--⌫-|-⌫---|
nele lairapasapro uchi er	-|-|----|--|----⌫----⌫-|
a u ba stonl euetesmochier	-⌫|--⌫---|-⌫|--|--------|
da ntysengrindeloing l	--⌫-|-------|-|----||
renartlidistpor qoi	-----|-|---|--|--|
labataille nereuien t	-|-------|-|------⌫|
bienset quefereli co uien t	---|--|--|---|-|--⌫----⌫|
ysen g r inserestporpen sez	----⌫-⌫-⌫-|-|---|------⌫--|
bien setquil	---|--|-|-|
aesté greuez	|----|-----|
tr op d emo re	--⌫-|-⌫---⌫-|
isnelement licorut	---------|-|----|
met pi eauan t ieteretrete	--|--⌫|----⌫|---|------|
me s durem ent renart se	--⌫|-----⌫--|-----|-|
ys engriniete	--⌫-----|---|
pasnare s te	--||---⌫-⌫-|
desonba stonuolelat este	-|--|--⌫---|---|-|-⌫---|
metpieariere	--|--|-----|
re nartquisotassezd efart	--⌫---|--|--|----|-⌫|---|
liauoitd itsire yseng rin	-|----|-⌫-|---|-----⌫--|
di eusquiso rtoz es t	--⌫--|--|--⌫|--|--⌫|
uraide uin	---|--⌫--|
setbienqueldr oit a moiau ez	--|---|---|--⌫--||--|--⌫-|
basto n uos fautsinelueez	-----⌫|--|---|-|-||---|
qar fesonpes amon sei gnor	--|----|--||--|---⌫---|
ancoisqaions h ontegreignor	------|----|-⌫---|-------|
d istysengr infaitesmo i tondre	-⌫--|------⌫-|-----|--⌫|-----|
s aseznenaipor uos	|---||-|-|--|--|
conf ondre	----⌫----|
quant assezram poné sef urent	----|----|---⌫----|-|-⌫----|
liduibaro nelc hampe sturen t	-|--|----⌫|-|-⌫---|-⌫------⌫|
derechief and ui sen reu ienen t	--------|---⌫-||-|---⌫-----⌫|
lorescuzmo ultcoint eme nttienent	--|----|--⌫--|-----⌫---⌫-|------|
y sengrin gete etfaitsonesme	-⌫------|---|-|---|--|---|
queieteruoil leparm eesme	--|----|----⌫-|--|-⌫----|
deluiprandremoults e n trem et	-|--|------|----||-⌫-⌫----⌫-|
en trel escu sonbast o nmet	--⌫--||---|--|----⌫-⌫|--|
enmi l echampson	---|-⌫|----|--|
bas tonlai sse	---⌫--|---⌫--|
etrenartson baston esle sse	-|-----|--|-----|----⌫--|
telcopli donne	--|--|-|----|
ainzquiltiengne	-----|-|------|
iamesn e rtior nele n	----||-⌫-|--|-||-⌫|
le brazsenestreliafrait	-|---|-------|-||----|
oraysengrinmauue s	-||-------|-----⌫|
andui o ntlo r escuzgu erpiz	----|-⌫-|--⌫|----|--⌫----|
si saerdent p armilespis	-||------|-⌫---|--|--|
lo nguementfurent en estant	--⌫-------|-----|-|-----|
enplusors sensse uonthas ta nt	-|------|---|-|---|---⌫--⌫-|
ne ueis tesgenzsi	-|----⌫--|---|-|
p ooitlautreabatre	-⌫---||----|-----|
m esnu snesendoitme rueil lier	-⌫-|--⌫|-||-|---|--⌫-----⌫---|
qu ise ngrinnesepotaidier	-|---⌫----|-|-|--|-----|
f orssolemen tdeson brazdestre	-⌫--|-------⌫|-|--|---|-----|
queperduauoi t le senestre	--|----|----⌫|-|-------|
l i zzto rne lau t retresto rn e	-⌫|-|--⌫--||--⌫-⌫-|------⌫--⌫|
lautrenes eior ne	|----|-|-⌫----⌫-|
moultt ornent ainzque	----|-⌫-----|------|
ysengrin sueffre	-------|------|
gr anthasch ie	--⌫--|-----⌫-|
lesd enz azzpoi plus	--|-⌫--||-|--|---|
que renartetpl us	--|-----|-|--⌫-|
c ontre renart moultseherice	-⌫----|-----|----|-|-----|
bi enlidescire sapelice	--⌫-|-|------|-|-----|
rena rtlifaitzztorden glo is	----⌫-|-|---|-|--||--⌫---⌫-|
yse ngrinneldoutoit	---⌫----|-||------|
rena rt lestrai ntpas n e sefaint	----⌫-||------⌫-|--|-⌫|-|----|
iamb et lifetde luil	----⌫-|-|--|-|--||
al a terre legiete	|-⌫|----|-|----|
renart iutsus	-----|--|--|
totentr auers	--|-|--⌫----|
l esden zlibrisa en la	-⌫-|---⌫|-|----|-|-|
en l ac hiereli	-|-⌫|-⌫----|-|
cracheetmoche	-----|-|----|
es e ulzli boute lebaston	-|-⌫--|-|----|-|-----|
etpoileas on gleslegrenon	-|----|-|--⌫---|-|-----|
traireli afaitm ale fin	-----|-||---|-⌫--|--|
puisliadit dant ys engrin	---|-||--|---|--⌫-----|
en cuisauronqu i	--⌫--|-----|--⌫|
droit aura	----|---|
m ieusfere le	-⌫---|---|-|
de uos tre fam emesc use z	-|---⌫--|---⌫||---⌫---⌫|
certesmoult estesau iliez	-----|----|----|--⌫----|
quanti ss iporu os tre moillier	----|-⌫--⌫|--|-⌫--⌫--|-------|
fai tesmoi e tu os traueillier	---⌫--|--|-⌫|-⌫-|----------|
ysengrino tqu i llel ai denge	-------|-⌫|-|-⌫|-|-⌫--⌫----|
moultertdolent	----|--|-----|
ce poise li nen	-|----|-||-|
puet plusfer e	---|---|---⌫|
renar t lifethonteetcontr aire	-----⌫|-|--|----|-|-----⌫---|
renartli faitdutout so nmie us	-----|-|---|-|---|--⌫|---⌫-|
del apoudreli	-|-⌫|-----|-|
ie teeseulz	--⌫-|-|---|
mese ntreses denz	--|-⌫---|--|---|
se demen t e	-|-----⌫-⌫|
etditfousestquimets entente	-|--|---|--|--|--||------|
e nfam enen riens qu	-⌫|---⌫||-|----|-|
poisontdefames sanz boidie	--|---|-|----|---|-----|
par f ameest plu snoise quepais	--|-⌫--|--|---⌫|----|--|---|
ialamoienecrairai mais	-|-|---|-|------|---|
famefait hair pere et mere	---|---|---|---|-|---|
fam efaittuersoncompere	---⌫|---|---|--|------|
par famesonthonim aint	--|---|---|---|-⌫---|
detozle sm ausest famesome	-|--|--⌫|-⌫--|--|---|---|
fousestquitrop met s	---|--|--|---|--||
ysengri ne inssise demente	-------⌫|-⌫----|-|------|
einssisec ompla int	-----|-|-⌫-----⌫--|
seu lement	---⌫-----|
r enartle fiert m enue m ent	-⌫----|-|----|-⌫----⌫-⌫--|
les e ul z etsorlafa ce	--|-⌫--⌫|-|--|-|--⌫-|
le poil etle	-|---|-|-|
cuirenesrache	---|-|------|
b ienuoitquil	-⌫--|---|-|-|
e sten male trape	-⌫-|-|---|----|
acestm otle bastoneschape	|---|-⌫-|-|-----|------|
que renarttenoite nsamain	--|-----|-----|-⌫|-|---|
cilqui not pasl e	--|--||-|--|-⌫|
cuer t ropuain	---|-⌫--|---|
seuoltleuer m es	-|---|----|-⌫-|
ne potestre	-|--|----|
q uil notuertuforsdu	-⌫|-||-|----|---|-|
brazd estre	---|-⌫----|
renar t lifethonte	-----⌫|-|--|----|
soufrirlestuet cepoise lui	------||-----|-|----|--|
bienleu o ud roitauoirconqui s	---|-|-⌫-⌫--⌫---|----|------⌫|
ysengrinti en tpornonsac hant	-------|--⌫--⌫|--|--|---⌫---|
ualeseulzc erchant	-|--|---|-⌫------|
mes par sagr ant mesau enture	--|--|-|--⌫--|-----⌫-----|
liaui nttel	-|---⌫-|--|
m a leaue nture	-⌫-⌫-|---⌫----|
sesdoiz en	--|---|-|
l ichietetcill eprant	-⌫|----|-|--|-⌫|----|
lachar litrenche iusqu e alos	-|---|-|------|-----⌫|||-|
sesbrazlace deriersondos	--|---|---|-----|--|--|
d elestraindre pasnese f ai nt	-⌫||---------|--|-|-|-⌫--⌫-|
ente le guise le	-|--⌫-|----|-|
queuoilleounonlefetdescendr e	--|-----|-|--|-|--|--------⌫|
lu ilefetestendre	--⌫|-|--|-------|
ore est renartenma ltrepail	--|--|-----|-|--⌫|------|
si lapeor nememeru eil	|-⌫||---|-|-|----⌫--|
ysengrindesgenouzle serre	-------|--|-----|-|----|
renart neuoitnecielneter re	-----|-|---|-|---|-|---⌫-|
iure ́auoit fauxserement	----⌫|----|---|-------|
parraprochainement	----|------------|
con faus selo i ilam enee	--|----⌫-|--⌫|-||-⌫---|
huiestuenuz	--|--|----|
mer c iquiertpor l es s a insderonme	---⌫-⌫|-----|--|-⌫-|-⌫-⌫--|-|----|
mesne liuautpas uneponme	--|-|-|---|--|--|----|
queysengrinlefiertet mai lle	--|-------|-|----|-|---⌫--|
r enartgron tetbaaille	-⌫----|----⌫|-|------|
ysen grin lefierten la	----⌫---|-|----|-|-|
n e tientpassa main	-⌫|----|--|-|---|
uer slu ichiere	---⌫|--⌫|-----|
a pouo ird u	|----⌫-|-⌫|
toutli cou ien tsofriret prandre	---|-|---⌫---⌫|-----|-|------|
icele angoi ss e et	----|-----⌫--⌫|-|
trairelifaitysengrin	-----|-|---|-------|
iluosistmi euse streaillors	-|-----|--⌫--|-⌫---|------|
queilsoufris tsigrantdolor s	--|-|-------⌫|-|----|-----⌫|
deu e nuze st	---⌫-⌫--|-⌫-|
plus f roit q ueglace	---|-⌫---|-⌫-|----|
mieus uelt mori r	----|---|----⌫|
cedistenplace	-|---|-|----|
luirecreantse plai nt	--|-------|-|----⌫-|
motaietézz plai nt	--||----|-|----⌫-|
aucuer s entoit moultgr antanui	-|---|-⌫-----|----|--⌫--|---|
plusquilnecuidoits entirhui	---|-|-|-|------|-⌫----|--|
qarenluinauoitpoin td esf ors	--|-|--||----|----⌫||---⌫--|
semblan tfetdonme	-------⌫|--||---|
qu isoit mors	--⌫|---|---|
yse ngrinase spoin sl e sache	---⌫----||--⌫|----⌫|-⌫|----|
moultl edescire et	----|-⌫|------|-|
renartn emu e t	-----|-⌫|--⌫-⌫|
ne piez ne mains	-|---|-|----|
bienfetsem b lan tquiln	---|--|---⌫-⌫---⌫|-|-||
estpas s ains	--|--|-⌫---|
ysengrinlabatusi fort	-------|||---|-|---|
que elc hampl eless ep ormort	--|-|-⌫---|-⌫|----⌫|-⌫-|---|
l i baron so nt	-⌫|----|--⌫-|
deluip arti	-|--|-⌫---|
atantlac ortsedeparti	----|-|-⌫--|-|------|
ai nztroiensn orent telio ie	--⌫-|------||----|--|--⌫-|
qua ntre cu rente laineatroie	---⌫-|--⌫--⌫---|-⌫----||----|
co nbrun liors et tiec elins	--⌫|---|-|--|-|----⌫----|
etchant eclere t	-|-----⌫----|-⌫|
yse ngrins	---⌫-----|
chazetrooniaux	---|-|-------|
etlidainsmesir eplatia ux	-|-|----|-|---⌫|------⌫-|
forsderenartnusnelueist	---|-|-----|--|-||----|
deriret enir sepouis t	-|---|-⌫---|-|-----⌫|
li parent renartont gra nt honte	-|-----|-----|--|---⌫-|----|
nobl enenu el t oir leconte	----⌫||-|-⌫--⌫|--|-|----|
ai nzco nman de que	--⌫-|--⌫----⌫-|--|
lenlepende	--|-|----|
chazleseulz	---|--|---|
etroonellespoins li lie	-|-----|--|----|-|--|
bienont renarten lor baill ie	---|--|-----|-|--|-----⌫-|
d epas moisons e streuenuz	-⌫|---⌫------|-⌫-|------|
bie nli en	---⌫|-|-|
seroitau enuz	-----|--⌫---|
se delormainspouoitpartir	-|-|--|----|-----|-----|
i a mesn i ro it honme trahir	-⌫-⌫--||-⌫--⌫-|----|-----|
tout elacort oissie zbruire	----⌫|-|---|------⌫|-----|
moult sehasten tdelui destrui re	----|-|------⌫|-|--|-------⌫-|
renart porsau ie	-----|--|-|-⌫-|
prieque lenlele staler	---|--|--|-|--⌫-|---|
qararegehirl i couient	--||------|-⌫|------|
les p ech iez dontil lisouient	--|-⌫---⌫--|---|-|-|------|
lorslifer entuenirbeli n	---|-|---⌫--|----|----⌫|
par la pri eresoncosin	--|-|---⌫--|--|----|
letesson mon seignorgrimbert	-|-----|--|------|-------|
degr antduel ale c uer couert	-|--⌫--|---||-|-⌫--|-----|
rena rtsefist	----⌫-|-|---|
aluic onfe s	|--|-⌫----⌫|
en a c hargiéson fes	-||-⌫------|--|--|
s e lonc lespechiezquil afes	-⌫-⌫---|--|------|-|-||--|
dontilaenu ers	---|-||---⌫--|
d ieume sfez	-⌫--|--⌫---|
si c o n ilconfessoit renar t	-|-⌫-⌫|-|---------|-----⌫|
atant esuos	----|-|--|
sirebernar t	---|------⌫|
qui d e grantmont furepairiez	--|-⌫|----|---|-|--------|
renarttroue	-----|----|
quifulie z	--|-|---⌫|
mou lt sedement e formentplore	---⌫-|-|------⌫|------|----|
ysen grin maud it et	----⌫---|----⌫-|-|
enquisliaetdema ndé	-----|-||-|----⌫---|
quel iroi senacon mande ́	--|-⌫|---⌫|-||---⌫-----⌫|
biausire q ue tosts oi tpenduz	---|---|-⌫-|---|-⌫--⌫|-----|
p arnu lu ineso i t	-⌫-|--⌫--⌫|-|--⌫-⌫|
desfe nduz	-----⌫---|
q uantlifrere	-⌫---|-|----|
o tquei ll idit	-⌫|--|-⌫|-⌫|--|
pesa miep e tit	---|--|-⌫-⌫--|
ertdegrant f ran chisepl ains	--|-|----|-⌫---⌫----|--⌫---|
quepas nest o it	--|--||---⌫-⌫-|
ren art la bien apa rceu	---⌫--|||---|---⌫---|
au g rantduelquil	-|-⌫---|---|-|-|
qu e mainn egri mbertli tessons	--⌫|-----⌫|---⌫----|-|------|
etespinar s lihericons	-|-------⌫|-|-------|
quedantrenart deman de ra	--|---|-----|-----⌫--⌫-|
en sa m esonmoinee nfe ra	-|-|-⌫---|----|-⌫|--⌫-|
laouuitnoblebele me nt	-|-|--|----|----⌫--⌫-|
lesalue cortoisement	-|----|-----------|
est leu e zenesta nt	--|---⌫-⌫|-|----⌫-|
carnesetfrerequilainttant	--|-|--|----|-|-|---|---|
deiostelu i	------|--⌫|
l a a segié	||-⌫-----|
frere be rnartli aproié	----|--⌫----|-||-----|
q ue pordieu otroi tsillip lest	-⌫-|--|---|-----⌫||-|-|-⌫---|
querenart s a inetsauf lilest	--|-----|-⌫-⌫-|-|---|-|---|
etnoblerega rdale frere	-|----|----⌫--|-|----|
por dieusireledeuezfere	--|---|---|-|----|---|
nepue t aleradieulegran t	-|---⌫|---||---|-|----⌫|
ne pardonne son maltalent	-|-------|--|--------|
ihesucrist	----|----|
par donnasamort	---⌫----|-|---|
al ui d e uez pran dreconfort	|-⌫-|-⌫-⌫--|----⌫--|------|
itel conseil uo suoil	---|------|--⌫|---|
que uos lessiezrenartale r	--|--|------|-----|---⌫|
ai ez mercid u pecheor	--⌫-|----|-⌫|------|
seuersdie uaaucune amor	-|---|---⌫||-----|---|
moultdepriel e mpe reor	----|-----||-⌫---⌫---|
q uer enart li	-⌫-|-⌫----|-|
dointparamor	----|--|---|
p orc efait i lsui	-⌫-|-⌫|---|-⌫|--|
prieru osuoilne	----|-⌫-|---|-|
soitp enduz	---|-⌫----|
ancoisle m en l essiez	-----|-||-|-⌫-----|
die usleuospuist	---⌫-|-|--|----|
guerredon ner	---------⌫--|
moia dieu s eruir	--||---|-⌫----|
quipo r nosselessa mor ir	--|--⌫|--|-|----|---⌫-|
etpornos f uencroizpene z	-|--|--|-⌫|-|----|----⌫|
p a rdonnerlideu ez	-⌫-⌫------|-|---⌫-|
si enfere moine clois trier	-|-|---|----|-----⌫----|
preu donsdeuend racesachiez	----⌫---|------⌫-|-|------|
po rdieuor le me	--⌫|---|-|-|-|
f aites rendr e	-⌫----|-----⌫|
qarseuoslef esiezpendr e	--|-|--|-|-⌫----|-----⌫|
iacer tesni aurez	-|---⌫--|||----|
die u a pitie	---⌫||----|
d upec heor	-⌫|---⌫---|
m es soitconfessise	-⌫-|---|-----|-|-|
quilsera sausienen	-|-|---|---|-||-|
ornemenrefusez	-|-||-|------|
moi pa rguerredon	--|--⌫|--------|
n obl eent entquebien a dit	-⌫---⌫|---⌫--|--|---||--|
uodroitauoirescon dit	------|----|-----⌫--|
q ue illide mand ast	-⌫-|-|-|--⌫----⌫--|
fereconma ndas t	---|-----⌫----⌫|
r e nartl i otroie erroment	-⌫-⌫---|-⌫|-----|-------|
sanz nu l au tre conte n dement	---|--⌫|--⌫--|-----⌫-⌫-----|
renartaieté de pr iso n	-----||----|-|--⌫---⌫|
en a menéen	-||----|-|
poison li d onn e nt	-----|-|-⌫---⌫-⌫-|
por am ordre	--|--⌫----|
e t bien l	-⌫|---||
endoctrine ntenl ordre	----------⌫-|-||----|
dedrasamoine	-|---||----|
lontuest u	|--|----⌫|
en lordrelontbien	-||----||--|---|
ain zyyior s	---⌫|-|---⌫|
fu ilgar iz	-|-|---⌫-|
sachiezn en fumie marriz	------||-|-|--|-----|
tozfugariz	--|-|----|
e tre spassez	-⌫|--⌫------|
parmainsmauuez pas est pas sez	--|----|-----|--|--|---⌫--|
bien ret ientc equ	---|---⌫---|-⌫|-|
enli ensaigne	-|-|-------|
passemblant	--|-------|
quilsefaig ne	-|-|-|----⌫-|
l essignes fa itde moniage	-⌫-|-----|--⌫-|-|------|
moul tl etienn en tl aiensa sage	----⌫|-⌫|-----⌫--⌫|-⌫----||---|
chier e sttenuz	----|-⌫-|----|
etmoultamez	-|----|---|
frererenarte rt apelez	----|-----|-⌫-|-----|
etsi fet moultlepapel art	-|-|--|----|-|-----⌫--|
tantqu ils empuisse	-----|-||-|-----|
issir parart	----|--|--|
moultestrenart	----|--|-----|
uo lentiersua as ainteegl ise	--⌫-------|-||-⌫----|---⌫--|
s ou entlimembrede s gelines	-⌫--⌫--|-|-----|--⌫|------|
dontilseult mengi erleseschi nes	---|-|----|-----⌫-|--|-----⌫--|
m oult fetrenart gr anzoroisons	-⌫---|--|-----|--⌫--|-------|
etseti entenaflicions	-|-|--⌫--|-|--------|
moultse dedui thone stement	----|-|-----⌫|----⌫------|
bienli sient	---|-|----|
liuestement	-|--------|
si sentremet	-||-------|
apr a ndre	---⌫-⌫---|
ilna en luiriens	-|||-|--|----|
qu erep rendre	--⌫|---⌫-----|
ore estrenart	--|--|-----|
deuenuzmo ines	------|--⌫---|
grant dolorsuefre	----|----|-----|
etgranzpaines	-|----|-----|
d eieunere t deueillier	-⌫|-----|-⌫|-|-------|
dec ha nter et deuer seillier	-|-⌫--⌫---|-|-|---⌫-------|
zzi orfu lamesse chantee	-|-⌫-|-|-|----|------|
renartlotde cue res coutee	-----||-|-|---⌫|--⌫-----|
to tderr eainistdu	--⌫|----⌫---|--|-|
ensa mainte noitzzsautier	-|-|---|--⌫---|-|------|
quatrech a po nstozso r anez	-----|--⌫-⌫--⌫-|--|--⌫-⌫---|
zzborioisdon nez	-|------|---⌫--|
qu iauoitnon tybersliriches	--⌫|----|--|-----|-|-----|
uerseulsnestoit	---|---||-----|
auersnechiche s	----|-|------⌫|
renartlesa aparceuz	-----|--||-------|
or serailbiendeceuz	-|---|-|---|-----|
f etsesgrenons bruire	-⌫-|--|------|-----|
lie ementsecuide deduire	---⌫----|-|----|------|
par die ufetil n emapartien nent	--|---⌫|--|-|-⌫||--------⌫---|
c ilquime ng ierde charne daingnent	-⌫-|--|--⌫--⌫--|-|---|-|--------|
pasfaitueude meng ier char	--|---|--|-|----⌫--|---|
moult lete ndroi e a granteschar	----|-|--⌫-----⌫||----|-----|
quit elueuf ere me feroit	--|-⌫-|--|-⌫--|-|-----|
certesdurem ent	-----|-----⌫--|
mesferoi t	--------⌫|
d echar ne mepuisie	-⌫|---|-|-|---|-|
se ie empuis enlieuuenir	-|-|-|---|-|---|----|
aceus mo sterreque	|---|--⌫-----|--|
amageuleles	|-|----|--|
leiortrespassel anuit uint	-|--|--------|-⌫|---|---|
r enart q uideschapons	-⌫----|-⌫-|--|------|
nelespotmetr eeno ublia nce	-|--|--|----⌫|-|-⌫-----⌫--|
trespasse obedience	--------|--------|
uintaucha p ons siles des ioche	---|-|---⌫-⌫--|-|--|---⌫----|
meniue aucuerli touche	-----|-|---|-|-----|
lesautre syya	--|-----⌫|-||
mise nterre	--|-⌫|----|
lendemainlesuen dra reque rre	|-------|--|---⌫--|-----⌫--|
si les acoue rzdut errie r	-|--||----⌫-|-|-⌫-----⌫|
arieres est alezcouchier	-----||--|---|-------|
nusne setriendesonaguet	--|-|--|---|-|--|----|
nedubaratqueila fe t	-|-|----|--|-||--⌫|
bien lichaidelauenture	---|-|---|-||-------|
moul t se retretasa	----⌫|-|-----||-|
lendemainapreslesmatines	|-------|----|--|------|
renartqui tantainme gelines	-----|--|---|----|------|
s e st des a utres	|-⌫-|--|-⌫----|
pui s estencloistreretornez	---⌫|--|-|-------|-------|
letierzmenia quenus n e	-|----|----|--|--|-⌫|
a u q uartmengier illec passot	-⌫|-⌫---|------|----|-----|
zz frerequi	-|----|--|
bienapa rcut	---|---⌫---|
querenartli	--|-----|-|
rous lesdecut	---|--|----|
etaucouentleuacontant	-|-|-----|-|-|------|
et renart en othonte	-|-----|-|-|----|
r e nartleurenuoloit droit	-⌫-⌫---|---|-|-----|----|
ber nart nenotquef ere	---⌫---||-|-|--|-⌫--|
quilauoitmengiézzcorbel	-|-|----|------|-|-----|
q uilt rouerent enlor prael	-⌫|-|-⌫-------|-|--|----|
tantl arrecinslor ot	---|-⌫-------|--|-|
quebien soren tqu ilertm esfaiz	--|---|-----⌫|-|-|--|-⌫-----|
arenartonttolulesdras	|-----|--|---|--|---|
q uantilsemparti	-⌫---|-||-|----|
toz f u cr as	--|-⌫|--⌫-|
ne dem andoitnuleautreriens	-|---⌫-----|---|----|----|
nemes issu zf ustdela iens	-|--|----⌫|-⌫--|-|--⌫---|
mo ultdurementliezse n	--⌫--|-------|---||-⌫|
quelordrepas neliplaisoit	--||----|--|-|-|-------|
to rnezsenest	--⌫---||-|--|
encornuiraaysen grin	----|----||----⌫---|
l imoinelo ntm is	-⌫|----||-⌫-|-⌫-|
toz seus senua	--|---||-|-|
nusne l conuoie	--|-||------|
mou ltmenaceses anemis	---⌫-|-----|--|-----|
ceus parqui f uen painemis	---|--|--|-⌫|-|----|--|
satesteiurecoro nnee	-|----|---|----⌫---|
irenertpardo nnee	--||--|-----⌫---|
aysengrinne aty b er	|-------|-||--⌫-⌫-|
ilatantmaussoufert	-||---|---|------|
roone ert en un e hai e	----|--|-|--⌫|---⌫|
deloingleuoitf orments	-|----|-|---|-⌫-----||
sisescrieuezle rendu	-||-----|--|-|----|
que deuio n auo irpen du	--|-----⌫|---⌫-|---⌫-|
deable slontore	------⌫||--|--|
li m oine nel uolen tsofrir	-|-⌫---|-||-----⌫|-----|
iln a ta lent deramponer	-|||--⌫---|-|-------|
ainz senpr isttan tostaaler	---||-|--⌫--|---⌫---||---|
droit ensates n iere	----|-|-|---⌫-⌫---|
oua troué	-||-----|
safame ch ier e	-|---|--⌫---⌫|
etquan tle uoi tgrantio ie	-|----⌫|-|---⌫|----|--⌫-|
se s yybrazaucolli ieta	--⌫|-|---|-|--|-|---|
q uimo ultauoi tgran tdueleu	-⌫-|--⌫--|----⌫|----⌫|---|-|
queys engrinlauoit uaincu	--|--⌫-----||----|-----|
sif ilzenontioiemoultg rant	-|-⌫--|-|--|---|----|-⌫---|
pereuoientdeuant	---|-----|-----|
puisqueilestsa ins	------|-|--|--⌫--|
repair ie z	------⌫--⌫|
nusnelespouoitcoroucier	--|-|--|-----|--------|
m oultfu b ie nacesm e zlie stres	-⌫---|-|-⌫--⌫|-----⌫-⌫|-|-⌫----|
r enartquifuresconme p re stres	-⌫----|--|-|--|----|-⌫--⌫----|
