enl enornostre	-||---|-----|
la uoiz uin t aus ourelies	-|---|---⌫|--|-------|
k a rlequi estoi t ar berge zet ota	-⌫-⌫--|--|-----⌫|--⌫-----⌫||-⌫--|
ozenun ualquehom	-|-|-|--|--|--|
ualkarlesiauoit yy	--|----|-|----|-|
lieuesd iluctresquelaior	-----||---|------|--|-|
xmgisoit tantostuoc karles	-|-----|------|--|-----|
retornermesg uanelo squila	-------|--|-⌫------⌫|--|-|
traizo n sauoit distn	------⌫|-----|---||
mi abeaussire	--⌫|----|---|
cor n atot iorpor	---⌫-⌫|--|--|--|
neent sachiez	----|------|
amestier daia	|------||--|
mesilhatrouéaucune beste	--|-|-|-----|-----|----|
saluagie q uar il	-------|-⌫--|-|
chaic eporces	-----⌫|--|--|
boise par cocorn eacomlai ot	---||--|-|----⌫||--|--|-|
maluaisconseil e	------|------||
cum tr ai tor conseil l i dona	--|--⌫--⌫--|------|-⌫|---|
conpainzi ud asqu i detra it	-------|-⌫--⌫-|--⌫|-|---⌫-|
rollan zn e sepuec sostenir si se	------⌫|-⌫|-|---|-------|-|-|
c ochao npreso r	-⌫---|-⌫|--|--⌫|
lerb a molt	|---⌫|---|
des iranz euaa sasoi estr e ind re que	---⌫----|--||-|--|----⌫-⌫---⌫-|--|
auoit moltgran tatan t	----|---|----⌫|----⌫|
uincsis freres bau doinse ro llanz	---|--|-----|---⌫----||--⌫----|
lipreia qu	-|----|-|
liqu esist de leuanelidis t	-|--⌫----|-||--|-|-|---⌫|
me s illifit si gne	--⌫|-|-|--|--⌫--|
quarilnepoet parler	---|-|-|---|-----|
b audoi ns	-⌫-----⌫-|
pristlau oiaca ela	----|-|-⌫--|-||-|
enel apue ctrouer puisreuint a	|-|-⌫|---⌫|-----|---|-----||
rolla nt euitqu il semuret	-----⌫-||--|-|-|-|----|
seigna e beneitot en	-----||----|--|-|
pl oran tgrantpaorot queli	--⌫----⌫|----|---|-|--|-|
sarrazi nuen issanteliprei ssant si	-------⌫|---⌫-----||-|----⌫----|-|
mo ntasorlechiual	--⌫--|--|-|-----|
rollan te la isa son freire	------⌫||--⌫--|--|-----|
al aapreslo st	--⌫|----||-⌫-|
si tostcum il s	-|---|--|-||
en fu pa rtizeterris	-|-|--⌫---||-----|
ui nteq uant iluit	--⌫-||-⌫---|-|--|
sonseignor sipresdemortsili	--|------|-|---|-|---|-|-|
quil sarmed e	-|-||---|-⌫|
confes s ion il	------⌫-⌫--|-|
auoit en icelior	----|-|---|--|
receue sestoi t	----|||-----⌫|
faiz confes	---|-----|
deses pec hez ancoisqu	-|--|---⌫--|-------|
il intrast	-|------|
labatalliecos tuma esto it	-|-------|---⌫---|----⌫-|
quetuitcilquienlab atalie	--|---|--|--|-|-|-⌫-----|
deuoientintr er	-------|----⌫-|
r e ceuoe nt quant	-⌫-⌫-----⌫-|----|
ilsestoent fait confes au s	-||------|---|-----|--⌫|
arceues queseauzprouoiresqui	-------⌫---||--|--------|--|
esto entl ors	----⌫--|-⌫--|
sol ei lrollanzl imartyrs	---⌫--⌫|------|-⌫|------|
cestapr oiera	----|--⌫----|
beauzsirades	----|---|--|
amoriela issaimonpai s	---|-|--⌫----|--|---⌫|
euinccai enequestaterrasauuagi e	|---|--|-|------|----|-------⌫|
por ess ou cer	--|---⌫--⌫--|
aacrestiante	-|---------|
esihaifachmainte	|-|--|---|-----|
batalieso rles	------|--⌫|--|
sarrazins e uencu a	--------||-----⌫|
otlai ade toisirap arc ui i	-||--⌫|-|--|---|-⌫-|-⌫-||
aisusfert mainte famema inte	-|------|-----|--||--⌫---|
emaint enguo icequ econ ter nepuis	|----|-----⌫--|--⌫|---⌫--|-|---|
sireietecomantm armee la	---|-|-|-----||---||-|
meten t es ma inze issicum	--|-|-⌫-|--⌫--|-⌫---|--|
deignasnaitred e lauirgi a	------|-----|-⌫|-|-----⌫|
soffrir mo rt e nlasainte	------|--⌫-|-⌫|-|-----|
croizeissi	----|----|
te pregeie	-|----|-|
q uet uostes	-⌫-|-⌫|----|
du rabble sira	--⌫-----|---|
par doname	---⌫---|-|
m espechezesimemet	-⌫-|-----||-|-|--|
endura bble	-|----⌫---|
repostu escil	----|-|-|--|
cuilicor neperissent mieainz	--|-|--|-|--------|--|---|
pa r auoir	--⌫|----|
mieuze tudi zq uemieuzamesla	----||-|--⌫|-⌫-|----|---|-|
uita daupe cheor qu e lamo r t	---|--|--⌫----|--⌫|-|--⌫-⌫|
iete croide tot	-|-|---|-|--|
mon cue r iete	--|---⌫|-|-|
r egeis d emab o c heesai	-⌫----|-⌫|-|-⌫-⌫-⌫-||--|
que tuuous oster m	--|-|---|----||
armad ecest	---|-⌫|---|
chaiti ucors	------⌫|---|
fazces uiura de melioruitalors	-----|----|-|-----|---|---|
p ristl achar ela p elden tra	-⌫---|-⌫|---||-|-⌫-||--⌫--|
sesmamelessicomaterris re conta	--|------|-|---|-----|--⌫----|
quileuite comen caa p lorer	--|-|--||-----⌫-||-⌫----|
beauzsirede sxm cri sli	----|---|--⌫|-|---⌫|-|
filzde labeoitauirgia	---|-|-|-----|-----|
teirec onoisdetot	--|---⌫----|-|--|
re qui er quetuesci l	--⌫---⌫-|--|-|-|--⌫|
quimerenpsistde mort dura bb lepar	--|-|-------|-|---|----⌫--⌫-|--|
loma rt irade	-|--⌫--⌫--|-|
esi saiquet uesuis	|-|--|--|-⌫|-|--|
derrei rio rres ordraiie	------⌫|--⌫|---⌫-----|-|
d eterraen	-⌫|----|-|
i c estach ar mei mate	-⌫-⌫---|--⌫-|---⌫-|-|
u e i r ai	-⌫-⌫-⌫-⌫-|
ie quies limen s	-|--|-|-|---⌫|
deselimenssouueir escesta	--||-|---|-------⌫-|----|
proieir adistpar tresfo ize	-------⌫|---|--|---|--⌫-||
acha scunafo izsi	|---⌫----|--⌫-|-|
pr enetla ch ar d	--⌫---|-|--⌫-||
entra sesmameles	----|--|------|
mistsa main ases	---|-|---||--|
oi lz e dist sira	--⌫-||---|---|
iesaiquetues	-|--|--|-|-|
li mens sa uuerae queie	-|---|--⌫----||--|-|
c esoilzlors	-⌫-|---|---|
ouriereg arda	---||---⌫---|
uers locele ses	---|-|--||--|
menbres e s onpi z	------||-⌫-|--⌫|
garni de aaueraie croiz	----|-|-|-----|----|
esid is ttotesueraies choses moi	|-|-⌫--⌫|----|------|-----|--|
oree nd roit	--|-⌫--⌫---|
quari e uei icelasa inte ioie q ue	---|-⌫|--|----|--⌫---|---|-⌫-|
oilznepuetuer	---|-|---|--|
ni orellieoirni cue r	-|------|--|-|---⌫|
doma penser	|--|-----|
quedesapar ellie	--|--|----⌫----|
adonera ses ami s apres	|----||--|---⌫|----|
sesmainzefit saproiera	--|----||--|-|------|
a n ost raseignoredist beaussire	|-⌫---⌫-|------||---|----|---|
desietepriquetuaies	--|-|-|--|--|-|---|
mercidetes fie us quisunt	----|-|--|---⌫-|--|---|
mort enla batalie	---|-|-|------|
amor beaussire destuqui pius	---|----|---|--|-|--|---|
m isericordios pardona	-⌫-----------|------|
lur lorpechez e	--|--|-----||
garda lesarmes d	----|--|----||
eusdau spenes denferenuoi a	--|---⌫|----||----|-----⌫|
l urlestous arcangesqui	-⌫-|--|---|-------|--|
lorarmesqu	--|----|-|
o nte n ebresd enferainzles	-⌫|--⌫-⌫----||----|---|--|
conduian ton	--------⌫|-|
r egnacelestiau	-⌫---|--------|
quelesso entauec	-|---|--⌫--|---|
les s ai nzmartirs	--|-⌫--⌫-|------|
eensenblaot	|-------|-|
finapres cestapreeira se	--|----|----|------|-|
armed euscorzau b enoitmartir	---|-⌫--|---|-|-⌫----|-----|
rollantelaissa	------||-----|
en portare ntonregn ade	--⌫-------⌫-|-|----⌫|-|
ioiadur abl eorfaitioia	---|---⌫---⌫|-|---|---|
termaauoclessainzmartyrs	----|---|--|----|------|
a loraqu e larmepartid el cors	||--|--⌫||---|----|-⌫-|---|
turpi nses toie auoe clo	-----⌫-|--⌫---|----⌫|-|
reik arleeliroismefaiz o tmes se	--|-⌫---||-|---|-|----⌫-⌫|---⌫-|
c ha nter porle sfiauzdefuncx	-⌫--⌫---|--|--⌫|----|------|
c o fu en la yyde iugl ai	-⌫|-|-|-|-|-|--|-⌫-|
estoi a elsecre d e	-----⌫|-|----|-⌫|
si oi laconpagnia deusangres	-|-|-|--------|---|-----|
deuantm ois	-----|-⌫-||
enp assoent chantant	---⌫------|-------|
fu mescoui	-|--|-|-|
aloentoncielapre s	-----|-|---|----⌫|
torb a de c hiual iers	----⌫|-|-⌫-----⌫---|
tozners s i uenoientausitost l	--|---|-⌫|-------|---|---||
os quia prisasapr oia	-|--||----|-|--⌫--|
qui senfuit gran terraquar	--||-----|----⌫|---|---|
h apaorqu ehomlali tolia	-⌫|---|--⌫|--|-|-|----|
autr esiil s enpassere ntdeu a nt moi	----⌫--|-||-|-------⌫-|---⌫-⌫-|--|
eielurdi squenpor tezu o s	|-|--|--⌫|-|-----⌫--|-⌫-⌫|
eil merespo ndirent nosm arsire en	|-|-|-----⌫------|--|-⌫-----|-|
enfere uostra	----||-----|
b onseignor	-⌫-|------|
enpo rta michie usen	----⌫--|------⌫-|-|
cellorsfitleseruizeapre s le	--|---|--|-|------|----⌫|-|
distakarlea conseil si re	---||----||------|--⌫-|
sa ch esueraiementquerol lanz tis	--⌫--⌫-|---------|--|---⌫---|--|
mo r z que s ainzmicheus	--⌫-⌫|--|-⌫---|------|
enportaon cellarma	------|-|--||---|
eles ar mesdemainz	|--|--⌫--|-|----|
crestians auec	--------|---|
mesie nesaimie cum	--|-|-|--|--|--|
ilestmorz esai bi enque l	-|--|---||--|--⌫-|--||
arme dem arsireenportent	---|-|-⌫-----|--------|
diable en enfer de mentraqueie	-----|-|----|--⌫--------|-|
cobaudoins uincli n ies	-|-------|---|-|-⌫--|
karlasor lechiuaurollan te	----|--|-|-----|------⌫||
recontat ot coque fait	------|-⌫-|-|--|---|
estotecumil	----||--|-|
auoitlaisse ́s on	----|------⌫|-⌫-|
frairemort	-----|---|
sozunarbre	--|-|----|
enunprael dele zlepairon	-|-|----|----⌫|-|-----|
maintenantot	---------|-|
granzplorz	----|----|
e gran zcrizp arl ostsi ala m es	|----⌫|---|-⌫-||--|-|---⌫-⌫-|
arreira etr ouakarlespr emeirans	------||--⌫--|-----|--⌫-------|
r ol lan t m orte giz oittoze nuers	-⌫--⌫---⌫|-⌫--||---⌫--|--|-⌫----|
ese s m ainz	|--⌫|-⌫---|
e ncroz ee s sor	-⌫|----⌫--⌫|--|
sonpiz lorsse laissa li	--|--|---|-|-----|-|
te rr adeuchiuau ecomenca	--⌫--⌫|--|-----||------|
aplo rer elesmainz aferirensenble	|---⌫--||--|----||----|-------|
safazceaesg ratiner	-|----||---⌫------|
deses ong le ses abarb eaarage r es es	-|--|---⌫--⌫||-⌫|----⌫||-----⌫||-⌫-|
cheueusedist molt	------||---|---|
ali destr esbraz d e	|-|-----⌫-|---|-⌫|
mon corz l	--|---||
en orsdefrancel esp ee de	--⌫--|-|-----||---⌫-|-|
iu stiza lala ncequinebrise tli	--⌫----|-|--⌫--|--|-|-----⌫|-|
ouberczq ui	------|-⌫-|
onquesnefaus sali d e saluacio	-----|-|----⌫-|-|-⌫|-------|
conp areraiudasma cabeau	----⌫---||----|--⌫-----|
qui se n bla nz estoitasanson par	--|--⌫-⌫---⌫-|-----||-----|--|
mor teparfo rtune	---⌫||--|--⌫----|
lom co nparersauli eionathea	--|--⌫-----|----||------||
chiu alier ssagesenb a tallie	----⌫-----⌫|----|-|-⌫-⌫-----|
eforselideffende res	|---||-|--------⌫--|
cresti ens limurs d es	------⌫--|-|---|-⌫-|
sosteneires desorpheli ns	----------|--|-------⌫-|
ed o neires	|-⌫-⌫-----|
deuianda larefe ctions	-|-----|-|----⌫-----|
ousp ou res o aur iches	--|-⌫--⌫--||-|-⌫----|
rele ueired au syglisesla bo na	----⌫----|-⌫--⌫|------|-|--⌫-|
quim ent irnesauoit	--|-⌫---⌫-|-|-----|
lalenguaqui	-|-----|--|
i u gementl i	-⌫-⌫-----|-⌫|
nobblescuens deus franceis po rquei t	------|----|---|-------|--⌫|---||
amen ai ieen cesta	----⌫-|-|-|----|
terra p or	----|-⌫-|
teueiie m ortp arquemas tu	-|--|-|-⌫--|-⌫-|--||-|-|
l ais sée triste en	-⌫---⌫--||-----|-|
cest sie g la	---|---⌫-⌫-|
alaschaitiu que	|--|------|--|
feraiiamaissiretu	----|-----|---|-|
otlesanges tu faz cesioiaen la	-|--|----|-|---⌫--|---|-|-|
co npagnie deusmart yrsedetoz	--⌫------|---|----⌫--||-|--|
a toziorzm aismecouendr a	|--|---|-⌫--|-|-------⌫|
plorerparteito tautresi	-----|--|--|--⌫|------|
cumdauidpl oraso rion athasesor	--|----|--⌫--|--⌫|---⌫----||--|
saultutenuaiseldos	---|-||-|---|-|--|
pai se nos guerp is e laisses	---⌫||--|-----⌫-||------|
nostri stesencest	--|---⌫---|-|---|
siegletuesen	-----|-|-|-|
belessales eno s	----|----||--⌫|
somesremes e nior tris te eplein	----|----|-⌫|--|----⌫-||----|
deplo rs ede lermesami s quin	-|---⌫-||-|-----|---⌫|--||
a uoies queyy	-⌫----|--|-|
partizde la terrae co mabons	-----|-|-|----||--⌫-|---|
elceltu esassiseu	-|--|-|-|----|-|
palaiscome sirese detoidet li	-----|---|----||-|--|--|-|
mundes plorer e liceus	-----|-----||-|---|
e sioist eissi plora	-⌫-----|----|----|
karlesro llan t emain tenant	-----|--⌫----⌫||----⌫-----|
quelio zse a rbe rgiast	--|-|-⌫|-|-⌫---⌫-----|
rol la ntefit le	---⌫--⌫-||--|-|
enbasmer elifitrendral es eruiz e	-------||-|--|-----|-⌫|-⌫-----⌫|
queo mfai tdeusmorz	--|-⌫|---⌫|---|---|
assezotentor ro ll ant	----|-|----|--⌫--⌫--|
p lor ée granz lumi naire s faites	-⌫---⌫-||----|----⌫-----⌫|-----|
decir ae molt f it tozli o z grantz	-|---⌫||---|-⌫-|--|-|-⌫|-----|
fuecxparle bois sa nzcoque	----|--|-|---|--⌫-|-|--|
mengerentpoi	--------|--|
e burent l	|-----||
endemainmolt matinsarmerent	-------|---|----||-------|
alere n tenr on c esuausl ai	-----⌫-⌫|-|-⌫--⌫-⌫-----|-⌫-|
ba talie a uoit estéetu itli	--⌫----|-⌫---|----||--⌫-|-|
chiuale rg izo entmortlai	-------⌫|-⌫---⌫--|---|--|
trouerentlorsamist e usiot	--------|---|---|-⌫-⌫-||-|
ot naffreza mortoliuier	-|------||---|------|
t r ouarentquies tetpartizde	-⌫-⌫------|--|--⌫--|-----|-|
siegle ealeze nmelior	-----||---|-⌫|-----|
alanua terra enuerse	|-|--|----|-----||
es tend uzen	--⌫----⌫-|-|
yypau sparlesyy	-|---⌫|--|--|-|
membresmolt	------|---|
f ortlie z	-⌫--|---⌫|
otbo nescord es e escorchede	-|--⌫--|----⌫-||-------|-|
d a rse despees	-⌫-⌫-|||-----|
ede saitesedel ancest otpertuse	|-|-----||-|-⌫----|-⌫-|------|
dau s gran zcos	---⌫|----⌫|--|
qu aueitrec eu lai refuli	-|----|---⌫-|--|---|-|
liplainzquar	-|-----|---|
che scunsplor otsorsonami t ozl i	---⌫----|----⌫-|--|--|--|-⌫-|-⌫|
bo iset ot ala	--⌫-||-⌫--⌫|-|
ualea estoi tplena d e plorse	----|-----⌫|----|-⌫|----||
d e l ermes ed ecrizelors iura	-⌫|-⌫----||-⌫|---||---|---|
li reispa rd e l etotpoentque il	-|---|--⌫|-⌫|-⌫|-------|--|-|
iroit a pres	----|-⌫---|
les s arraz ins	--|-⌫-----⌫--|
ne ianefineroi ti usquill es	-|-|-|-------⌫|-⌫---|-|-⌫-|
ouret tr ouez lors comenca a	----|--⌫---|---|------||
apres eissicumdes ueutli	----|----|--|--|---|-|
soleilzs arestaqu il	------||-----|-|-|
alongi ali	------⌫|-|
aumontamentde	----------|-|
trois e lirei stroua	----||-|---⌫|----|
le ssar razinssorun a	--⌫|---⌫-----|--|--⌫|
euaquia nom	--|--||--|
ebbapres desarra gozca	---|---|-|-----⌫----|
esi menio ent mai ntenant furent	|-|-----⌫--|---⌫------|-----|
ocis y ymireen h iaue t e	---|-⌫|---|-|-⌫|---⌫||
lorsi re auoceuslireisots a	--|--⌫-|---|--|-|---|-|-⌫|
chiualeriesentorna en	---------||-|----|-|
roncesuaussi en	---------|-|-|
fit porter	--|-----|
cui lui plotlaior	--|--|---|--|-|
rollanz gisoi t puis sienqu ist si	------|-----⌫|---|-|----⌫--|-|
coes tet uers o mencongia	-|--⌫--|---||--------|
que gua ne lons	--|---⌫--⌫---|
ar eiragard aque maint es	--⌫--------⌫|--|-----⌫-|
di zoentmaintenantenpristre nt	--⌫----|---------|-|-------⌫-|
batal iedui c hiualier	-----⌫-|--|-⌫-------|
pinebeusparguanelo	-------|--|------|
eterris par	|-----|--|
r ollant quar illauoit fai t	-⌫-----|---|-||----|---⌫|
chiualerilfurent misensemblasi	-------|-|-----|--|-------|-|
fulabatalliedaus	-|-|-------|---|
b arons for teaigra e	-⌫----|---⌫||----||
espaontabblemesala	-----------|--||-|
fin terris	--|-----|
o cistpin abeleeis sifuseualatraisons	-⌫---|---⌫---||---⌫-|-|---|-|-------|
charlesfitq uera	------|--|-⌫---|
yy forzc h iuausles plus	-|---|-⌫-⌫----|--|---|
effree zde	------⌫|-|
gua nelonpar lesyy menbres edesuz	---⌫----|--|--|-|------||----|
f itmonteryy	-⌫-|-----|-|
bones cor gees edecestamortfit	----|---⌫---||-|----|---|--|
morirguanelon quar	----|-------|---|
det trait resmorirl ors	--|-----⌫--|----|-⌫--|
pristrentli uiulescorsdelur	--------|-|--|--|---|-|--|
si les enb amerent to zc il qui	-|--|---⌫------|--⌫|-⌫-|--|
orentde quoi liundemir ra	----|-|---|-|-|-|---⌫-|
lia utradebas mali autrad	-|-⌫---|-|---⌫-|-|----||
aloelipou refurent fen du	---|-|---⌫-|-----|---⌫-|
lesuen tres	--|---⌫---|
e gitoent forsles	|------|---|--|
buelese e coquiestet	-----||-⌫-|--|----|
lessaleentlorsfurent mis	--|------|---|-----|--|
liunenlei teir es	-|-|-|---⌫----⌫-|
e liau trasor	|-|--⌫--|--|
le s cou sdeus	--⌫|---⌫|---|
chiuau sles a utres enporterent	------⌫|--|-⌫----|----------|
sorlesespaules eliautra	--|--|-------||-|----|
eliau t ra enporterent les	|-|--⌫-⌫-|----------|--|
nafrezelesma lades sorles	-----||--|--⌫----|--|--|
escheilesdefustalur cous li	--------|-|---||--|---|-|
fu rentiluecenfoi	--⌫---|----|----|
cilquiniiore n tnulamie	--|--|-||---⌫-⌫|--|--||
autraen fu re nt	----|-|--⌫--⌫-|
por téen france	---⌫--|-|-----|
iot quitantles	|-|--|---|--|
porte rent	-----⌫---|
qui lfurentporri elors les	-|-⌫|-----|----||---|--|
seuelirentl orsestoient	---------|-⌫--|-------|
c imister il i unsestoit en	-⌫-------⌫|-⌫|--|-----|-|
alich amp z eli autres	-----⌫---⌫||-|-----|
q ue n ostra sires a u oit sacrezpar	-⌫-|-⌫----|----|-⌫-⌫--|-----|--|
lesm a inzde yyeue squesliuns	--|-⌫-⌫--|-|-|---⌫----|-|--|
sainzmaimi sliautres sai nzt r ophes d	----|-----⌫|-|-----|---⌫-|-⌫-⌫----||
arla sai nzpo sd e	---|---⌫-|--⌫|-⌫|
narbona sa inz	------|--⌫--|
saorninsd e tolosa sainz	-------|-⌫|-----|----|
fronsde peireguiss ain z	----|-|--------|-⌫---⌫|
marcausdelimo g e s sain z	------|-|----⌫-⌫-⌫|----⌫|
eytropes de	-------|-|
saintesenceus	------|-|---|
dosci mesti res	--|--⌫-----⌫--|
fu m issagranzpartiedeceu squi	-|-⌫---|----|-----|-|---⌫|--|
moriren ten ron c esuaus	-------⌫|-|---⌫-⌫-----|
esifurent enfoi	|-|-----|----|
furentmortamoniardrin sa in t	-----|---||---------|--⌫--⌫|
rol la nt lemar tyr enfit	---⌫--⌫-|-|---⌫--|-|--|
metra loco rsen una chaps e	----|-|--⌫-|-|--|-----⌫|
mulesco uertdepailesmolt	----|--⌫---|-|-----|---|
riches esilefitense uelir	-----||-|-|--|----⌫----|
ligli se sain trom ainque il	|----⌫-|----⌫|---⌫--|--|-|
auo itiapiezcafaitaemishi	---⌫-|-|-----|----||--|-|
aueitchenoinesreggliers	----|--------|--------|
laifum islicorsenterra engrant	--|-|-⌫-|-|---|-|----|-|----|
henoremo r anz de	----||--⌫-⌫--|-|
e guarins demo ntleuneaugarzl i	|------|-|--⌫-----||-----|-⌫|
guasconzeyy d uc	-------||-|-⌫-|
oyyc hiu alers	|-|-⌫---⌫----|
ea ud aqui est iosta	|-⌫--⌫|--|--|----|
sons ei gnore	--|-⌫--⌫---||
eura ca otmo ltriches	----⌫-|-|--⌫-|-----|
ornemen z sifitpendras espeaaut	-------⌫|-|--|-----||----|--|
so r sonch epe sonco rna	--⌫|--|--⌫-||--|--⌫-||
sesp ezicoi fit	--|-⌫-|--||--|
l enor xmc ri st edona	|---|-|-⌫--⌫-||---|
ausch enoinesy ymire onc esdore	--|--⌫------|-⌫|---|---⌫-||-||
autretantdargentedona	--------||-----||---|
lory ylegue es deterrae nto z	--|-⌫|-----⌫-|-|----|-⌫|--⌫|
mera prendra lespeiso ns	--||------|--|-----⌫-|
efiss antc hes cunanson	|----⌫--|-⌫---⌫--|-|--|
paguissantyypoure s	---------|-|-----⌫|
elordo nassantrobes equelaba i a	|--|--⌫------|----||--||---⌫-⌫|
f ustreiausm es	-⌫--|-----|-⌫-|
port ealabuz ineasaintseu ri na	----⌫-|-|---⌫--||----|---⌫--⌫||
bordeue si ne fitmie	-----||-|-|--|--|
portag ran t ioiap otauer lacitez	----|-⌫---⌫|---|-⌫-|---|-|----|
debl aiuesqui est	-|--⌫----|--|--|
de si gra nt	-|-|---⌫-|
t resorees l e icerse	-⌫----||--⌫-⌫-⌫---|-|
doitdecoque laha l e	---|-|-|--|-|-|-⌫|
d ecelui pa r cu ipreer esela	-⌫|----|--⌫|--⌫|-----⌫-|--|
estra def fenduaabelinzfut	----|---⌫-----||-----|--|
enfoizoliuiers egandebonz lireis	-----|-------||--------|-|---|
defriseeocgiers lidu s	-|----||------|-|--⌫|
de n anem archa eguarins l i dus	-|-⌫----⌫----||------|-⌫|--|
donamarcha e	---------||
naimes lidus	-----|-|--|
dalischa mps	|-------⌫--|
iezent iostaloute re	-----|----||----⌫||
maintautra de	----|----|-|
c onpaigno nsla i ot uilaboneureaqui	-⌫--------⌫-|--⌫|-|---|-------|--|
estenbeli edeta ntes	--|------⌫|-|--⌫---|
h o nors a	-⌫-⌫---||
bord e us onci mestiresaint	----⌫-⌫-|-|--⌫------|----|
seurin fuseu el iz guai ffiers	-----|-|---⌫--⌫-|----⌫-----|
li reisdebor deue sifilze	-|---|-|---⌫--||-|---||
m ain eaen ig lise saint	-⌫---⌫-|-|--⌫---|----|
iorgiaiosta	-----|----|
l outer engelierslidus	|----|--------|-|--|
deguia inae ga utersde	-|----⌫--||--⌫----|-|
lu r mainea gi ezenta l	--⌫|-----|--⌫----|||
iglisesaint	-----|----|
lam berzli roisde beorgesal	---⌫---|-|---|-|------|||
sa i ntpeirede sa int se urin	--⌫-⌫-|----|-|--⌫--|--⌫---|
elu rmainee sal am onzdebretagnie	|--⌫|-----|---⌫--⌫--|-|--------|
d e uantlo	-⌫-⌫---|-|
pile rue rmeilquant	----⌫|--⌫----|----|
om poiaonsepucraei osta lui	-|---|-|------||-⌫---|--|
sampsonseiuoirese totalurmaine e	-------||------||---|--|-----⌫|
de danemarchese si	-|----------||-|
conpagnongelinseraini e rs	--------|-----||-----⌫-⌫-|
a ubesp ine	-⌫-----⌫--|
al auteraaxmd e s aint se urinde uers	||----|-|-|-⌫|-⌫---|--⌫---|--⌫---|
la cleitre elurmagniea	-|------||--|------|
oncimentira deb ordeaueng iesen t	-|--------|-|-⌫-----|-|-⌫-----⌫|
de ceus qui	-|---|--|
morirenten	-------|-|
roncesuauset urpins	---------||-⌫-----|
lifilious turp inqui f u	-|------|----⌫-|--|-⌫|
arce uesques deb ordeuse	----⌫------|-|-⌫-----||
se pucresai ntseurin par	--⌫----|---⌫-|-----|--|
co quedes f aisotmaint	-|--|--|-⌫----|----|
miraclepar	------|--|
luimoltest bonaeurea	--|---|--|--------|
lauiled e bordeusd etant riches	-|---|-⌫|------|-⌫|---|-----|
ost es ma rty r s	---⌫-|--⌫---⌫-⌫|
com hiiezent	--|-|-----|
o ncimentirede bo rd eus edo na	-⌫|--------|-|--⌫--⌫--||--⌫-|
xm yymireon cesdor	-|-|---|--⌫--||-|
e autretantdargent	|--------||-----|
eyypouresa	|-|-----||
pai treerobe s	---⌫--||----⌫|
hoiausfu ense u eliz anantes sacite	-----|-|----⌫-⌫---||-----|-|---|
otmainz autres bretonse a	-|----|-----|------|||
chascun a ygliseo ril dona	-------⌫|-----|-⌫|-|---|
r entacoma nda ac hante r yymesses	-⌫---|-|--⌫--||-⌫-----⌫|-|-----|
e yy sautirslei r aporceus	|-|------|---⌫-⌫|--|---|
e spagnia auo ente stémo rt	-⌫------|---⌫--|-⌫---|--⌫-|
er ecegumartyre por lamorx mcristor	|-⌫----|------|--||---|-⌫|----|-|
no s partim es de	--⌫|------⌫-|-|
blaiu esenos en alamesen	-----⌫-||--|-|-----|-|
gascognieepa rtolosatresqu a	--------||--⌫|-----|-----||
arleseiluec	----||----|
sitrouameslost	-|-------||--|
deuborguonionsq ui s ep ar tirent	--|----------|-⌫-|-⌫|-⌫--⌫-----|
de nosenual honestae siestoent	-|--|-|--|------||-|------|
uen uparmor lan epar tolosa	---⌫|--|---⌫--||--|-----|
elurs morzelurnaffrez que	|---|---||--|------|--|
enportauantenlitires	----------|-|------|
een charrete s pore nfoiron cime n tire	|-|--------⌫|--|-⌫----|-|----⌫-⌫---|
dealischamps encelcim isteri	-|---------|-|--|---⌫-----|
enfoii ede me smai nzestoutleco nte	----|-⌫|-|--⌫|---⌫-|-----|-|--⌫--|
d elengres	-⌫|------|
esal emone	|---⌫---||
samsonledux daub orguognions	-----|-|--|--|-⌫----------|
b eulanda exm	-⌫------||-|
leborguognonexm	-|---------||-|
eesto rmiexme	|----⌫--||-||
tierrigi rart	-----|--⌫---|
denubbl eseberen gier	-|-----⌫-||-----⌫---|
enaimonleduc	|-----|-|--|
deba iueireotyym ir e	-|--⌫-----|-|-|-⌫--⌫|
costans lirois enfu	------|-|---|-|-|
portezaromeparmere	-----||---|--|--||
mainz a utresromainz epuisli bons	----|-⌫----|------||---|-|---|
e np ei res d o naparlur	-⌫--⌫--⌫--|-⌫-⌫-|--|--|
yy mireoncesd ore autretantbesan z	-|---|----||-||--------|-----⌫|
qui estoentauspoures	--|------|--|-----|
arn auzd e bea ulandaeli	---⌫--|-⌫|---⌫-----||-|
dusnaim es	--|----⌫-|
iezent on mostier	-----|-|------|
s aint trofled arlaem aintautra	-⌫---|-----||---||-⌫---|----|
a pre s senalarent auiene ensemble	-⌫---⌫||-|------||----|-------|
eierem esi luecma lades	|-|---⌫-|-⌫---|--⌫----|
deu splaiese deus	---⌫|-----||---|
cos que ie	--|--|-|
auoiereceuen es pagn ie	----|----|-|--⌫----⌫-|
sen alaa paris otsesos lors	|-|--||----|-|--|-|---|
aunaenligli s emo n sei gnorsaint	---|-||----⌫-⌫|--⌫|---⌫---|----|
denisde se seue squese des ses	----|-|--⌫|---⌫----||--|--|
e sil ire ndi	|-|-⌫|--⌫--|
graicesq uila	------|-⌫-|-|
force elauert uli	----||-|----⌫|-|
auoitdon eesor paianegent	----|---⌫-|--|-----|---|
auoit somis	----|----|
a sa seg norielo r s	|-|---⌫----|--⌫-⌫|
