formCicom mence li seconzliures.	---|-|---⌫----|-|-----|-----||
] Ilcouientgardercequi est	|-|------|-----|-|--|--|
establi eslois destens	------|-|---|--|---|
de nterignerestitucione.	|-⌫-------|-----------||
Eseaucuns apar	|-|-----||--|
auentureempetré par dond aa gepar nostre beneficedes	-------|-------|---⌫--||--⌫-|--|-----|-------|--|
q uen ostre indulgenceauraestém ostr ee	-⌫-|-⌫----|---------|---|----|-⌫----⌫-|
en auen ant iugemenz et l	-|----⌫--|-------|-||
aministraci on delapro prechoseli	-----------⌫-|-|-|---⌫--|----|-|
sera otroiee ilait le tens	---|------|-|--|-|---|
droitest establi zàpo r suiurel es cause s denterigne	----|--|-------⌫|-|--⌫-⌫-----|-⌫-|-----⌫||--------|
restit ucionetàfinerle s entelm aniereque	------⌫----|-|-|----|--⌫|-|--|-⌫-----|--|
aidederestitu cionnes oitnule foizdeuee	---|-|-------⌫---|-|-⌫--|---|---|----|
àcelsqu i	-|---|--⌫|
ont mains de.	--|----|-||
anzdeschose squi furentfetes ençois queil	--|--|-----⌫|--|-----|----|------|--|-|
eu ssentempetré pardond	--⌫----|-------|-----||
[1]E seaucunsquis o i t	||||-|-----|--|-⌫-⌫-⌫|
de denzaageestoir s àun autreq uiautresi fu s t	--⌫---|---|--|---⌫|-|-|----|-⌫-|------|--⌫-⌫|
dedenzaageilnelisoit pas deueeque	-----|---|-|-|-|---|--|----|--|
i lnepui sse	-⌫|-|---⌫--|
userdelaide	---|-||---|
de restitucion	-|----------|
puisqu eila ur aacompli	---|--⌫|-|-⌫--⌫|------|
le uintet cinquies meandeson aage.	-|---|-|--------⌫-|-|-|--|---||
[2 ]Eseaucuns qui soit dedenzaage	||||-|-----|--|---|-----|---|
estoirsàunquifust	--|---|-|-|--|---|
enaage en tant com meapartie n t	-|---|-|---|---⌫-|-------⌫-⌫|
a scau ses que	-⌫|---⌫--|--|
ilareceues	-||------|
d elaperso neà celuiqui esten a age il	-⌫|-|-----⌫-|-|----|--|--|-|-⌫--|-|
deura auoi r tantde tensà	----|----⌫|---|-|---|-|
m etr e auant et	-⌫---⌫|----|-|
àfinerles	-|----|--|
causesderestituci oncom mecil	-----|-|---------⌫-|---⌫-|--|
àquiilestoirsetqui	-|--|-|--|---|-|--|
ses bienslia le ssiezàporsoi eren auoit	--|----|-||--⌫----|-|------⌫-|-|----|
[3] Esecil	||||-|--|
q uies t enaageestoirsà	-⌫-|--⌫|-|---|--|---|-|
aucunquiso itdedenzaag e	----|--|--⌫-|-----|---⌫|
seilestsesoirs parcertaine	-|-|--|--|---|--|-------|
droi tu resanzfe retestament ou ente st amentil	----⌫--⌫-|---|--⌫-|--------|-|-|--⌫--⌫----|-|
li co uendrac o mmencier e tfinerlesc ausesde restit uci on mainten ant	-|--⌫-----|-⌫-⌫-------|-⌫|----|--|-⌫----|-|------⌫---⌫-|-------⌫--|
queilserau enuzà l	--|-|---|-⌫---|-||
E se ile st	|-|-|-⌫-|
sesoirspardroitur ed	--|---|--|-------⌫||
en oreli t ens acostumez soit nombrezsanzn u l	--⌫--|-|-⌫--|--------|---|------|---|-⌫-⌫|
amenui sement àexamineret à f enirles	------⌫-----|-|-------|-|-|-⌫---|--|
cau se s derestitucionde sceque i lseraen	---⌫--⌫|-|----------|--⌫|-|--|-⌫|---|-|
possessiond e sbi ens .	---------|-⌫-⌫|--⌫--||
Cilmeis m es	--|----⌫-⌫-|
empereresdit.	--------|--||
]Liten sdedemanderenterigneresti tucionsoientgardé	|-|---⌫|-|-------|--------|-----⌫-----|-----|-----|
cilquidem ande r equiertdel aiement qui p uisestredonnez dedenz	--|--|---⌫---|-⌫------|---⌫------|--|-⌫--|----|-----|-----|
le te rme quie stestablizàde mander res t itucionsanz	-|--⌫--|--|-⌫-|-------|-|--⌫-----|---⌫-⌫------|---|
caus equ antlescauses seront	----⌫|--⌫--|--|-----|-----|
seuesparquoiil ledemande	----|--|---|-|-|------|
illic ouendra	-|-|-⌫------|
E seildemandetelde lai e ment quidedenzleterme	|-|-|------|--|--⌫---⌫-⌫---|--|-----|-|----|
quiest establiz ne puisseestre	--|--|-------|-|-----|----|
compris sicomm e	------|-|----⌫|
seillede mandep resdel a fin	-|-|-|--⌫----|-⌫--|-|-⌫|--|
delt ermeilc ouendra	--|-⌫---|-|-⌫------|
delaieme ntaldemandeeur quer ilestoitensapoos té	--------⌫-|-|---------|---|-|-----|-|-|----⌫--|
decommencier le pletsipartensque l i	-|---------|-|---|-|--|---|--|-⌫|
delaiemenzque ildemandepeu st es trecompri sel	---------|--|-|------|---⌫-|--⌫--|------⌫|-|
remanantd eltensqui estes t abliz.	-------|-⌫-|---|--|--|--⌫-⌫----||
¶[1]Me sseci l quisedefent	||||--⌫|-|--⌫|--|-|-----|
dema ndedelai e me ntquantil aurad it la cause	----⌫--|-----⌫-⌫--⌫-|----|-|---|-⌫-|-|----|
porquo iil	--|---⌫|-|
ledemande nosestabli s sons	-|------|--|-------⌫-⌫---|
queillisoitdon nezsan z	--|-|-|---|---⌫--|---⌫|
nul empeechement de lte nsquer iln	--|-----------|--⌫|--⌫-|---|-||
estoi t pase nsapoostédequele eureli	-----⌫|--|-⌫|-|------|-|----|---|-|
plezfustcom menciez cont relui	---|---|---⌫------|----⌫-|--|
Eporce lid oit	|--|-|-|-⌫--|
Et selidelaie menz qu e lidef end erres a	-|-|-|------⌫---|--⌫|-|---⌫---⌫----||
empetréseste nto utrele	-------||----⌫-|-⌫---|-|
estestabl iziln estpasdeuee	--|------⌫-|-||--|--|----|
al demandeeurqueilnequiere	-|---------|--|-|-|-----|
ses prueues .	--|------||
L iempe reres Iustinians dit.	-⌫|----⌫----|---------|--||
departonsden ostrec hosecommunel asuperfluedifference	--------|-|-⌫----|-⌫---|------|-⌫|--------|---------|
de lanq ui	-||-|-⌫-|
es tprofitablesa ̀ demand er	--⌫|----------|-⌫|------⌫-|
restitucion.	----------||
Etsiest ablis sons enlancieneRommeet enceste	-|-|---⌫-----⌫---|-||------|----|-|-|----|
roialci te ́eten Lombardie et	----|--⌫--⌫|-|-|--------|-|
es autres contrees queles p ac e dequatreanz	-|-----|-------|--||--⌫-⌫--⌫|-|-----|--|
conti n uelssoit nombrétant	-----⌫-⌫---|---|------|---|
seul ement de l iorquelia nzcommence	----⌫----|--⌫|--|--|-|-⌫-|-------|
q ui estpr ofitablesà dema nderre stituci onsiqueunsmeismes	-⌫-|--|--⌫--------|-|----⌫---|--⌫-------⌫-|-|--|--|------|
tens so it comm unsen	---|--⌫-|----⌫--|-|
tozleus queri l nossem ble	--|---|---|-⌫|--|---⌫--|
quece seroitassezm a le chose qu ea ucunediuersitén asquis t	--|-|-----|----|-⌫-⌫-|----|--⌫|-⌫----|---------|-⌫------⌫|
p or l a differencede sleus.	-⌫-|-⌫|---------|--⌫|---||
[1]Enosuolon s quecesoit	||||--|-----⌫|--|-|---|
g ardé ne mi etantse u lementen cels	-⌫----|-|--⌫|---|--⌫-⌫-----|-|---|
qui son tdedenza a g eà q ui	--|---⌫|-----|-⌫-⌫-⌫|-|-⌫-|
li a nzpr ofit ables àdemander	-|-⌫-|--⌫----⌫----|-|-------|
re stitucion com menc edesle premier iordel.xxui.	--⌫--------|---⌫----⌫|--|-|------|--|--|-----|
ie s mean mesenc elsquisont en	--⌫-⌫-|-|--|-|-⌫--|--|---|-|
aage si qu eli	---|-|--⌫|-|
deuantdizcontinuemenzdel	-----|--|-----------|--|
gard ez à	----⌫-|-|
contestat iondelpletetà finerle .	---------⌫--|--|---|-|-|----|-||
totautresicommeenla re stituci on à cels qui	--|------|----|-|-|--⌫-------⌫-|-|---|--|
sontdedenzaageest empetreztoz	---|-----|---|--|-------|--|
li tensqui est dedenz .	-|---|--|--|-----||
anzsoit e xceptezen larestitucionà cels	--|---|-⌫------|-|-|----------|-|---|
quisont enaageto z li tensen qu oiil	--|---|-|---|--⌫|-|---|-|--⌫-|-|
seront horsdelpa ïsporlebesoig	-----|---|--|--⌫--|--|-|-----|
delachose communeouque ilseronten besoigne	-|-|----|------|-|--|-|-----|-|-------|
por autres loials causesquis ont nombreeses ancienslois	--|-----|-----|-----|--|-⌫--|-------|-|------|---|
siquela res titucionàcels qui	-|--|-|---⌫-------|-|---|--|
s ontdedenzaag eet àcels	-⌫--|-----|---⌫|-|-|---|
qu isontenaagenesoit pas	--⌫|---|-|---|-|---|--|
dessemblab lesencestepart i e .	----------⌫--|-|----|----⌫-⌫||
Cisttitresestporquelscausesci l	---|-----|--|--|----|-----|--⌫|
qui sont en aagepueent	--|---|-|---|-----|
demanderrestitucion.	-------|----------||
L iemperer esAntoinesdit.	-⌫|-------⌫-|-------|--||
Se tu asestécondempnez qua n t	-|-|-|----|---------|---⌫-⌫|
t u n a uoiespoint de defendeeuret tu e st oie shors	-⌫||-⌫----|----|-|---------|-|-|-⌫--⌫---⌫|---|
delpaïspor l o fficedela legationqu e ie	--|----|--||-⌫----|-|-|-------|--⌫|-|
tauo iebail li eenboene foi	|---⌫-|----⌫--⌫|-|----|--|
t udesierre s pardroit à	-⌫|--------⌫|--|----|-|
au oirrestitucionde l i ug e mentque	--⌫--|----------|--⌫|-⌫--⌫-⌫---|--|
tuus estot e nteri gnementde	-|--⌫-|--|-⌫-----⌫------|-|
tesdefenses	--|-------|
quer ilest	---|-|--|
iugiéquecilquisonten	-----|--|--|--|---|-|
lofficedeleg acionso ienten telmeismepriu ile geen	|-----|-|---⌫----|--⌫---|-|--|-----|----⌫---⌫-|-|
so ntqui sonthorsde l païspar l ebe soig	--⌫-|--|---|---|--⌫|----|--|-⌫|--⌫---|
delachoseco mmune	-|-|----|--⌫----|
Cil mei sme se mpereres dit.	--|---⌫---⌫|-⌫-------|--||
Se tunep eusestreen present	-|-|-|-⌫--|----|-|------|
pardeuant ton a rbitreporceque	--------|--|-⌫-----|----|--|
tu estoies ten u zen prison parle	-|------|---⌫-⌫|-|-----|--|-|
commandement alpreuost ettupuezprouerpardeuantle	-----------|-|------|-|-|---|-----|--------|-|
pre uost delac o ntre equec esoituerit é tu	---⌫---|-|-|-⌫-⌫----⌫|--|-⌫|---|-----⌫-|-|
aurasrestitucion de lacause .	----|----------|-|-|----||
LiempereeurDioclicianset Maximians dient .	-|--------|----------|-|--------|----||
L icommundro i tsecor e ntpar l of fice	-⌫|-----|---⌫-⌫|-----⌫-⌫-|--||--⌫---|
aliugeesmarchiezqui s o n t fez	-|---|-|-------|--|-⌫-⌫-⌫|--|
par boen ef oine ïsàcels qui	--|----⌫|-⌫-|--⌫--|-|---|--|
sont enaage quan t	---|-|---|----⌫|
lacause estco nneue.	-|----|--|--⌫----||
Cilme isme empereeurdient.	--|--⌫---|--------|----||
Lac hosecomuneseu t use r dela droiture	-|-⌫---|-----|---⌫|---⌫|-|-|-------|
à cel squisontdedenz aageetpor c epu et	-|---⌫|--|---|-----|---|-|--|-⌫|--⌫-|
eledemander aidederesti tu cion.	--|-------|---|-|-----⌫--⌫---||
Ci lmeismeempereeurdient.	--⌫|-----|--------|----||
fus pri sde tesane miso	--|---⌫|-|--|---⌫--||
tonpere et ota mereetaprès quantfurent	--|---|-||-|---|-|-----|----|-----|
prisontureuenis	-----|-|------|
et dema ndas leu r heritageilnet es tpas	-|----⌫---|---⌫|-------|-|-||--⌫|--|
def enduquetune chalanges leur	---⌫---|--|-|-|--------|---|
choses àla semblancedelapr o fitableaction	-----|-|-|--------|-|-|--⌫-⌫------|-----|
quiestdonneeà	--|--|-----|-|
celsquionteue enterigne	---|--|--|--|--------|
restitucion.	----------||
C is ttyt resestde strang em e n zqui	-⌫--⌫|---⌫--|--||-⌫------⌫--⌫-⌫-⌫|--|
estfez p ormüe rle	--|--|-⌫-|----⌫|-|
Li empereeur Dioclicianset	-|--------|----------|-|
MaximiansetGraciansdient.	--------|-|-------|----||
P orce que	-⌫---|--|
lapos sessio nd o nne alauersaire ac ti oncon tr e	-|---⌫------⌫|-⌫-⌫--|-|--------|--⌫--⌫-|---⌫--⌫|
lunqui tien tlachosequant	|-|--|----⌫|-|----|----|
liestrangemenz	-|-----------|
estf ezpor	--|-⌫-|--|
müerle iugemententeri gne restitucionestotroie	----|-|-------|------⌫--|----------|--|-----|
par pardurab le establis sement.	--|--------⌫-|--------⌫-----||
doncentendr equese	---|-------⌫|--|-|
cil quiporseoitta choselauendiq u e	--|--|-------|-|----|-|----|-⌫-⌫|
lonnepleda st oluiet	|-|-|-----⌫-||--|-|
acheteeurtuaspooste ́	--------|-|-|------⌫|
par droitdempledierlequelquetu uoldras	--|----||--------|-----|--|-|------|
Cisttytreses t des	---|-----|--⌫|--|
LiempereresAntoinesdit .	-|--------|-------|--||
Il asouentesté	-||-----|----|
e scr it quelon nepuetpasap elerc ontrela	-⌫---⌫-|--||-|-|---|--|--⌫---|-⌫----|-|
sentenceàl arbitr e qui e stesleuzparmise qu er	-------|-||------⌫|--|-⌫-|-----|--|---|--⌫-|
action ne puet pasd	-----|-|---|--||
ilece stredo nneepor la choseiugiee .	---|-⌫---|--⌫---|--|-|----|-----||
Epor ceiest	|--|-||--|
pramise paine	------|----|
dune pa r te tdautreque lo n	|--|--⌫-⌫|-⌫||----|--||-⌫|
ne se d epartepa s descoue nan zpor po or de	-|-|-⌫-----|--⌫|--|----⌫---⌫|--|--⌫-|-|
lapainemes selon	-|----|--|-||-|
iu ge pu isque liiorzestpas sez qui est	--⌫-|--⌫-|--|-|---|--|---⌫--|--|--|
establi z en la mi seli	-------⌫|-|-|--⌫-|-|
iugemen znestnusecilqui	-------⌫||--|--||--|--|
n i ob eistpa s	||--⌫---|--⌫|
pas tenusà paier l a	--|----|-|----|-⌫|
L iempereeu rSarin setCh ier s	-⌫|--------⌫|-----⌫|-|--⌫---⌫|
et Numesdient.	-|----|----||
Se tes auersairesrefus acontrelaformedela	-|--|---------|-----⌫|-----|-|----|-|-|
miseàuenir pardeuantl arbitreq uiest oitesleuz	---|-|----|--------||------|-⌫-|---⌫--|-----|
il a per t bien queilest	-|-⌫---⌫|---|--|-|--|
tenuz àpaierlapainequi fucouenanciee	----|-|----|-|----|--|-|----------|
Lie mp ereeu r Di oclici anset	-|-⌫--⌫-----⌫|--⌫------⌫--|-|
Maximiansd ient.	--------|-⌫---||
Setu neueulzte ni rl a sentence àcelsqui	-|-|-|----|--⌫--⌫|-⌫|-------|-|---|--|
so ntarbitre	--⌫-|------|
delamise q uifu f e tee ntretoi	-|-|---|-⌫-|-|-⌫-⌫-|-⌫---|--|
et tafilleetpo rc e	-|-|----|-|--⌫--⌫|
q ue tu ape rçoizque iln esont	-⌫-|-|---⌫-----|--|-|-⌫|---|
pasloialainzuuelent auoirlagrace tafille q uant	--|----|---|------|----|-|----|-|----|-⌫---|
elepled era àtoi	--|----⌫--|-|--|
pai netu porrasuserdel	---⌫-|-|-----|---|-||
exceptiondetricher ie .	--------|-|-------⌫-||
ple deàt oii lnete sera	---⌫-|-|-⌫-|-⌫|-|-|---|
pas uee que tunel a pui sses empledier dela	--|--|--|-|-|-⌫|---⌫---|--------|-|-|
cause d e tricheriequ i seutestreaio stee à la paine	----|-⌫|--------|--⌫|---|----|---⌫---|-|-|----|
d elamise.	-⌫|-|---||
Liempereres	-|--------|
Iu stinians ditàDemosten elepreuost.	--⌫-------|--|-|--------⌫|-|------||
] Que par i ures n e soitfez	|--|---⌫-⌫---|-⌫|---|--|
en eslire le s ar bitreso religionde	-|-----|--⌫|--⌫-----||-------|-|
seremente tqueas tr icheeursne	-------|-⌫|--|-|--⌫-------|-|
soitdonnezc ommunementco ngiezdedespire les	---|-----|-⌫---------|--⌫----|-|------|--|
se ntencesasiugesnosuo lon s	--⌫------|-|----|--|--⌫---⌫|
parn ostr etressaintiug ement	--|-⌫----⌫|--------|---⌫----|
ordenerceste cho se .	------|----|---⌫-||
ilcouientdoncentrele demandeeuret	-|------|---|----|-|---------|-|
le defend e eu retleiugequ el	-|------⌫-⌫--⌫|-|-|---|--⌫||
onailleaua nt elplet	-|----|---⌫-|-|---|
parla religiondes eremente tlipledeeur	--|-|-------|-|-⌫------|-⌫|-|-------|
escriuentceoleur m ains ou par communes	--------|-||---|-⌫---|-|--|-------|
person esouil	------⌫-|-|-|
dient pard euantla rbitreoleur propr e uoi z queli	----|----⌫----||-⌫-----||---|-----⌫|---⌫|--|-|
a rbit r esestesleuzparleur seremen tet	-⌫----⌫-⌫-|--|-----|--|---|-------⌫|-|
ce i soitai ostéque lia rbitresaf et	-||---|--⌫----|--|-|-⌫------||-⌫-|
serementdefiner leplet o to teueri té	-------|-|----|-|---||--⌫-|----⌫--|
ilc ouie nt	-|-⌫----⌫-|
iugemenzsoitdeltot gardezetquelid ef en derres	-------|---|--|--|-----|-|--|-|-⌫--⌫--⌫-----|
neli d e ma nderresne sen	-|-|-⌫-⌫--⌫------|-||-|
puissentp artirainzs oie ntcontr aint detenirle	-------|-⌫----|---|-⌫---⌫-|-----⌫---|-|----|-|
ent otes manierese t d	-|-⌫---|-------|-⌫||
o bei rli .	-⌫---⌫|-||
nuletelchose	---|--|----|
n est escriteneordenee d arbi tree t	|--|------|-|------||----⌫--|-⌫|
les parties es cl erentcepar let res	--|------|--⌫--⌫----|-|--|---⌫--|
qui sesontaliees	--|-|---|-----|
parseremen td ester	--|-------⌫||----|
àlasentenc e àlarbit reil	-|-|-------⌫|-||-----⌫-|-|
co uientencest ui	--⌫----|-|----⌫-|
casg ar de ren	--|-⌫--⌫--⌫|-|
t o tesmanieres l as entencesal arbitre	-⌫-⌫--|-------|-⌫|-⌫-------|-|------|
porceque lesletreso ntautrete lforce seiles c ristrent	----|--|--|-----|-⌫-|-------⌫|----|-|-|--⌫-⌫-------|
lecommencementoucef u ordenéen ladeuant	-|-----------|-|-|-⌫|------|-|-|-----|
dite maniere	---|------|
quantli arb itresfue sleuzouse	----|-|---⌫----|-|-⌫----|-|-|
cef ues cr it	-|-⌫|--⌫--⌫-|
puislasentence queilont r eceuolareligion	---|-|-------|--|-|--|-⌫---||-|-------|
deleur serement ou i lontiure ́a ̀acomplir	-|---|-------|-|-⌫|--|----⌫|-⌫|-------|
leschosesqui sont	--|-----|--|---|
es t ab li es.	--⌫-⌫--⌫--⌫-||
¶ Messeli arbitresseusest	|--|-|-|-------|---|--|
requisde celsquipleden teti l liont	-----|-|---|--|------⌫|-|-⌫|-|--|
fets auoirparescrizouparleur	--|-⌫----|--|-----|-|--|---|
di z meismes si	--⌫|------|-|
co mme nosauons	--⌫--|--|----|
dit a ua ntet	--|-⌫--⌫-|-|
ilafetserement q uei liugerala	-||--|-------|-⌫-|-⌫|-----|-|
causeotot e uerité s es	----||---⌫|------|-⌫-|
iu g emenzestencest	--⌫-⌫----|--|-|---|
cas semblables aspremie rs etest confermezentotesm anieres	--|---------|-|------⌫-|-|--|--------|-|----|-⌫------|
Etento z cezcasliseil à establir action	-|-|--⌫|--|--|---|-|-|-------|-----|
ou porlef etou po r la	-|--|-|-⌫-|-|--⌫|-|
condicionou por lachos eseuloncce	--------|-|--|-|----⌫|------|-|
que laqual it é	--|-|----⌫--⌫-|
d el fetle requerra .	-⌫-|--|-|-------||
¶Esenule telchose n a pert	||-|---|--|----||-⌫---|
ou pa r escr itureoupar	-|--⌫|----⌫----|-|--|
leditas pa rtiese t lune	-|--|-|--⌫----|-⌫||--|
partiediequ eseremenz fuf ez detenirla sen tence	-----|--|--⌫|-------|-|-⌫-|-|----|-|---⌫----|
a sarbi treslesparoles à	-⌫|----⌫---|--|------|-|
cels pledeeursouà larbitre seul	---|--------|-|-||------|---|
nesontpasa ̀croire.	-|---|--|-⌫|-----||
Querseaucu nsotroie que seremenz ait estédonnez si	---|-|----⌫-|-----|--|-------|--|----|-----|-|
qu eliiug esni soitpasnommez	--⌫|-|---⌫-|||---|--|-----|
pardeuantqui ce dut estre fetnel escri ture des	--------|--|-|--|----|--|-||-----⌫---|--|
partiesneletesmoignepaslacomposition	------|-|-|--------|--|-|----------|
d e lpletquin est pascertainsquisouent	-⌫-⌫|---|--||--|--|-------|--|-----|
auiententreles	-----|----|--|
foushommesnedonnenul le	---|-----|-|----|---⌫-|
for ceas choses quiso ntiugiees.	---⌫-|-|-----|--|--⌫-|------||
Mesentelcasuaill ent les	--|-|--|--|-----⌫--|--|
chosesque lian cienestablirentd eslirelesarbitres.	-----|--|-|--⌫---|----------||-----|--|-------||
aucunsescritapré sla sentence àl	-----|-----|-----⌫|-|-------|-||
arbitre paro les	------|----⌫--|
par q uoiilaper e	--|-⌫--|-|----⌫|
que ilse consentaschoses qui sontiugiees	--|-|-|------|-|-----|--|---|------|
lon puetauoir actiondeco ntraindrelede fere	|-|---|----|-----|-|--⌫--------|-|-|---|
ceàquoi ils est	-|-|---|-||--|
Quer seles	---|-|--|
acostu meesparoles etla	------⌫---|------|-|-|
soutilgardedes painesquisont	-----|----|--|-----|--|---|
establies p ortenir les	--------|-⌫-|----|--|
misesest otroiee	----|--|------|
nosquiparleslois	--|--|--|--|---|
que nosauo nsnou ialmentescr itesauonsamendépluseur s	--|--|---⌫-|---⌫------|----⌫---|----|------|-------⌫|
uiceset pluseursdotesquis ouentauenoient	----|-|-------|----|--|-⌫----|--------|
esmises por quoine trenchonsnosentel escriture	-|----|--|---|-|--------|--|-|--|--------|
tote lapo orde	---|-|--⌫-|-|
lancien droit siques e	|-----|----|-|--|-⌫|
auc unsescritceilsoit contraintdassentirsoi as	---⌫--|-----|-|-|---|--------||-------|--|-|
chosesiugiee s	-----|------⌫|
etdemenerlesen	-|-|----|--|-|
totesmanieres	----|-------|
à eff eut Queril ne p ertpas	-|---⌫--|---|-|-|-⌫--|--|
u eritéque	-⌫-----|--|
ile scriue	-|-⌫-----|
que ilsicons ent e	--|-|||----⌫---⌫|
non paspor cetantseulement	--|--|--|-|---|--------|
queil n ele	--|-|-⌫|-|
contr edi ep asmes	-----⌫---⌫|-⌫-|--|
queilacomplissece contre	--|-|---------|-|-----|
quoi iln epeutaler	---|-|-⌫|---|---|
Cil mei smes	--|---⌫---|
emperer esdit.	-------⌫-|--||
]Porcequeilauoit estéestabli	|----|--|-|----|----|------|
ç a enar riereseneslirelesarbitresque	--⌫|-|--⌫-----|-|-----|--|-------|--|
p ainedel amise neconf ermoit	-⌫---|-|-⌫|---|-|----⌫-----|
pa sneliiugesn e lesescleroit pasainz	--⌫|-|-|----|-⌫|--|--------|--|---|
erentesle upar	----|----⌫|--|
commun asse ntement pores ter àleur	-----|----⌫------|--|--⌫--|-|---|
se ntenceai n zque nusple zfust	--⌫-----|--⌫-⌫|--|--|---⌫|---|
meuz selas e nt e nce	---|-|-|-⌫-⌫--⌫-⌫--|
fustdonneepor	---|-----|--|
celuia ̀ quilo n demandoit	----|-⌫|--||-⌫|--------|
i l nigaai gnastplu sfors quese	-⌫|||----⌫----|---⌫|---|--|-|
lidemande rres le uolsistautrefoiz	-|-------⌫---|-|------|----|---|
em pledier il eustlexcep tio ndelcouenan tà soi defendr e	--⌫------|-|---||-----⌫---⌫|--|-------⌫|-|--|-------⌫|
et se lasentencefustdonne e por	-|-|-|-------|---|-----⌫|--|
ledema n deeur	-|----⌫-⌫----|
elen eli ed ast	--|-⌫|-|--⌫--|
Nos establi sso n sdecelsarbitres que	--|-------⌫---⌫-⌫|-|---|-------|--|
no sauo nsauant diz et	--⌫|---⌫-|----|--|-|
quisontesleupartelassente ment par tel couenantqui	--|---|----|--|--|-------⌫---|--|--|-------|--|
soitcontenuzene scrit ou	---|-------|-|-⌫----|-|
sanzescrit que lontieg neleursentenc eque se	---|-----|--||-|----⌫-|---|-------⌫|--|-|
l esparties escriuentapré sc e	-⌫-|------|--------|-----⌫|-⌫|
que i lau ra donneesase ntence	--|-⌫|--⌫-|-----|-|--⌫-----|
que eleneleurdes plestpaslidef enderre s puisseauoir	--|--|-|---|---⌫----|--|-|---⌫-------⌫|-----|----|
ex ception de couenantetlideman derrespuisseauoiren	--⌫------|-|-------|-|-|-----⌫-----|-----|----|-|
fetsique l as e n tenceàlarbitre	--|-|--|-⌫|-⌫-⌫-⌫----|-||------|
puisseestremandeeà	-----|----|-----|-|
exec ution.	----⌫----||
Ece soitfet encesteroia l	|-|---|--|-|----|----⌫|
ci téparloffi ce	--⌫--|--||----⌫-|
de lah aute pr euostéou dec elu ienqui	-|-|-⌫---|--⌫------|-|-|-⌫---⌫|-|--|
cortli defenderresdoi tpl edieretes	---|-|----------|---⌫|--⌫----|-|-|
contreespar lesgou erneeursetpar	-------|--|--|---⌫-------|-|--|
le smin istreso u parles i ugesen	--⌫|---⌫-----|-⌫|--|--|-⌫---|-|
qui gouernementli	--|----------|-|
def enderres est.	---⌫-------|--||
¶Ese il nescriue ntpasa pré s	||-|-||-------⌫-|--|-⌫----⌫|
lasentence queil lauuiell ent t enir	-|-------|--|-|-|------⌫--|-⌫---|
ain zsetesentne lacon tre dientp a s e t	---⌫|-|-----|-|-|---⌫---⌫----|-⌫-⌫|-⌫|
a uc unedesparties	-⌫--⌫--|--|------|
nen uoient p as d ede nz	|--⌫-----|-⌫-|-⌫---⌫-|
les pr emiers.	--|--⌫-----||
iorz sapro testati onaliu geouàsonauer saire par	---|-|---⌫-------⌫-|-|--⌫-|-|-|--|----⌫----|--|
quoi ilsoitaperte chose	---|-|---|-----|----|
sentencene doitp ase strete n uelorsestlasentence	-------|-|---|-⌫-|-⌫---|--⌫-⌫-|---|--|-|-------|
confermeeparceque lespartiesse	--------|--|-|--|--|------|-|
t esent etlideman derrespuetauoir	-⌫----|-|-|-----⌫-----|---|----|
ladeuant dit e act ion e t lidefenderre slad euantdit e	-|-----|---⌫|---⌫--|-⌫|-|----------⌫|-|-⌫----|---⌫|
exception.	--------||
Messel une des parti es	--|-||--|--|-----⌫-|
lerefus eseulonc ladeu ant	-|-----⌫|------|-|---⌫--|
dite ma niere nene ue ult	---|--⌫----|-|-|--⌫--|
acomplir ce	-------|-|
quies t establide	--|--⌫|------|-|
c eneuientnu l egr e uancenelidefenderresne	-⌫|-|----|--⌫-⌫|--⌫-⌫----|-|-|----------|-|
p eutuserd e	-⌫--|---|-⌫|
l ex ception nelidemanderresdela	|--⌫------|-|-|----------|-|-|
d eua nt dite action.	-⌫---⌫-|---|-----||
Mesiciliuge ensoient esce ptéqui	--|---|---|-|-----|----⌫---|--|
sontesleuparserement	---|----|--|-------|
s eulonc le nouel est abl isseme ntd e nos trenon.	-⌫-----|-|----|---⌫---⌫------⌫-|-⌫|---⌫--|--||
¶Eia soitceque nos sachonsbien	||-|---|-|--|--|------|---|
l o ppini onqueIul ius	|-⌫-----⌫-|--|---⌫--|
Paulus otetpluseurautres ag ehomme qui	-----|-|-|------|----|-⌫--⌫|----|--|
atochiere ntcestequestionque nosdeter minonsore mesilne	---------⌫-|----|-------|--|--|-----⌫-----|--|--|-|-|
lat retier ent pas	-|-⌫------⌫--|--|
t resparfetement ainz quide rent quel on deustester	-⌫-------------|---|-----⌫---|--||-|----|----|
àlasentence iusquà unestempo rels actions	-|-|-------|----|-|---|-----⌫---|------|
Neporquantnosiugonsplus plaine mentetg ene ralmentque	---------|--|-----|---|------⌫---|-|-⌫---⌫------|--|
l a misequi estfete	-⌫|---|--|--|---|
susarbit repa re scri t fetau tresibienint erruption de	--|-----⌫-|--⌫|-⌫----⌫|--|--⌫----|---|---⌫--------|-|
t e nscommese	-⌫-⌫-|----|-|
liplezfustcomm encie ze niugementordin aire.	-|---|---|----⌫-----⌫|-⌫|-------|-----⌫---||
Esiestablissonsg ene ral mentque	|-|-----------|-⌫---⌫---⌫---|--|
les choses qui	--|-----|--|
parde uantlesar bitresse iliaa ucunecho sequi	-----⌫---|--|--⌫-----|-|-|||-⌫----|---⌫-|--|
pas àdroitfet eou quiait estécontredite	--|-|----|---⌫|-|--|--|----|---------|
