siqueseuent	-|--|-----|
mu exf ustquetu	--⌫-|-⌫--|--|-|
teporc hasse s	-|----⌫-----⌫|
el ten sd es te etgaagnasses	-|---⌫||--⌫-|-|---------|
quetu fussesde fainmorant	--|-|-----|-|---|-----|
amoiuiensuiandeq uerant	|--|----|-----|-⌫-----|
porcoi tedonroieamaing ier	--|--|-|------||-----⌫--|
quan tn e me	----⌫|-⌫|-|
poroes aidier	-----|-----|
por ce londitqu enu s n euiue	--|-|--|--|--⌫|--⌫|-⌫|---|
kechascuns	-|-------|
nedoitpenerde bien afaire	-|---|----|-|---||----|
plus enes tchierscilaque	---|-|--⌫|-----||-||--|
quesal autruil estue tente ndre	--||||-----||-----⌫|----⌫---|
enci a uintc unecorne lle	---|-⌫---||--|-----⌫--|
sacistsor lou	|----|--|--|
dolsduneoelle	---||--|----|
o lo ubecla f iertdur ement	|--⌫|--|-|-⌫---|---⌫----|
sa l ei n neli oste	-|-⌫--⌫-⌫-|-|---|
aispr emen t	-----⌫----⌫|
labarbi sliat ditpor	-|-----⌫|-|-|--|--|
estumonteedesormoi	-|-|-----|----|--|
remuetoisifera s bien	----|--|-|----⌫|---|
so rla gol pilleous orlouchien	--⌫|-|---⌫----|-|-⌫-|--|----|
sifaialuiconme	-|--||--|----|
dit lacor nelle parma foi	--|-|---⌫----|--|-|--|
netestuetmietra uillier	-||-----|--|---⌫------|
doiesensegn ier	----|------⌫--|
piecaensigni e	----|-------⌫|
tantsuis ag eetueziee	---|--|-⌫--⌫|-|-----|
b i ens aisorcuiie pui zseor	-⌫-⌫-|-⌫-|--|--|-|---⌫|---|
etasaurpu ezremanoir	-||---|--⌫-|-------|
porce uousmo st reliescris	--|-|---|--⌫--⌫-|-|-----|
quecestuoirs quelihomdit	--||--|----|--|-|--|--|
p argrant proesc e etpa r r eproge	-⌫-|----|------⌫|-|--⌫|-⌫-----|
bienseit lichascui barbe	---|---|-|---|--|----|
biensaparcoit liuiziez	---||-------|-|-----|
les q u elsil	--|-⌫-⌫--|-|
puet auoir	---|----|
uns riches homcheua lch o i t ia	--|-----|--|-----⌫---⌫-⌫-⌫|-|
parmiz zchamp si esg ar da	----|-⌫|----|-|---⌫--⌫-|
s erfparloientense mble	-⌫--|--------|----⌫---|
sie str iuoientsemesemb le	-|-⌫---⌫------|-|-|----⌫-|
con sil fussententre grantgent	--||-|------|----|----|---|
uer austornadeliurement	--|--|----|----------|
demandalor p o rqu el	------|--|-⌫-⌫|--⌫-|
iluoloien t si	-|-------⌫|-|
co nsillier	--⌫-------|
quantnul homelapres nauoit	----|--|---|-|---||----|
lor parolleneo it	--|------|-|-⌫-|
liu nsres pondi ausignor	-|-⌫-|---⌫----|-|-----|
qu i lnauoie nt	-|-⌫||-----⌫-|
ains l orsemblebo nenature	---|-⌫-|-----|--⌫-|-----|
quilpa rl oientente l mesure	-|-|--⌫--⌫----|-|--⌫|-----|
se fontsouentli	-|---|-----|-|
nonsachant	---------|
detelchosem ostrent	-|--|----|-⌫------|
por autregent	--|----|---|
que ne l or puetauoirmestier	--|-|-⌫-|---|----|------|
d unmire conte	|-|---|----|
un riche homeque	-|----|---|--|
enunegr an t enfermete	-|--|--⌫--⌫|--------|
puizauoit l ou	---|----|-⌫-|
sancconmandé	---|--------|
asafil lequ elel e ga rdast	|-|---⌫-|-|--|-⌫|--⌫----|
quenullerie nni adesast	--|----|---⌫|||------|
parsesancceditc o nnestroit	--|-|---|-|--|-⌫-⌫--------|
quel e nferteses pere auo it	---|-⌫-----|--|---|---⌫-|
lapu c ele porta lousanc	-|--⌫-⌫--|----|--|---|
en sachambredesozzz banc	-|-|------|----|-|---|
maisil li estma lsauenuz	---|-|-|--|--⌫-|-----|
quetozlisansest esper duz	--|--|-|---|--|-----⌫--|
nelosastdire	-||----|---|
nemo strer	-|--⌫----|
nautreco ncelnepo t	|----|--⌫---|-|--⌫|
mais soi meisme fistseinner	---|--|-----|---|------|
icelsan clas sarefroidier	---|---⌫|---⌫-|---------|
t antque li miresa	-⌫--|--|-|----||
p arlousancaa parc eu	-⌫-|--|---||-⌫----⌫-|
quecilertpreinzquelalessié	--|--|--|-----|--|||------|
lo uricheh ome	--⌫|----|-⌫--|
quicudoitbienqueust enf ant	--|-----|---|-|---|---⌫--|
safil le fis t	-|---⌫-|---⌫|
uenirauant	----|----|
ou pa r destroit ou pa ramo r	-|--⌫|-------|-|--⌫|---⌫|
connest r elauertor	-------⌫-⌫|-|-----|
de lsanc lidistqu elee spandi	--⌫|---|-|---|-|--|-⌫-----|
etli autresestaitde li	-|-|-----|-----|-|-|
autreci ua	------|-|
des trich eors	--|-----⌫---|
destraitors desrobeors	--|-------|--|------|
en qui lafelogniemaint	-|--|-|-------|----|
paral smeismes sontateint	--|--⌫|------|---|-----|
s egarded e strepri s	-⌫|----||-⌫---|---⌫|
e nco nbrée toci s	-⌫---⌫----|-⌫|---⌫|
dunu ilaind itquisigesoit	|-|-⌫----|-⌫-|--|-|-----|
contresolloils ise torn oit	-----|------|-⌫|-|----⌫--|
ausdenssestoitmisdescouers	--|---||-----|--|--------|
pertuisest oi touers	------|---⌫--⌫|----|
unsescharbozdedensentra i	--|--------|-----|-----⌫|
etliuilainss en	-|-|------||-|
etmalli fist tant	-|--|-|---|---|
qua zz mire	-||-|---|
l estutal er conter etdire	|----|--⌫-|-----|-|---|
distquil est oitprainz	---|-|-|---⌫--|-----|
or esto itpiz	-|----⌫-|--|
quenefuains	--|-|-|---|
que liuilainsbien lenc rei	--|-|------|---||-|-⌫--|
et lifol sp uebles qui	-|-|---⌫|-⌫-----|--|
dien tceest	----⌫|-|--|
senefian ce	--------⌫-|
en doutance	-|-------|
etn iace luquenecr o it	-||||--⌫-|--|-|--⌫-⌫-|
q uegra nsmals	-⌫-|---⌫-|---|
auen i r lid oit	----⌫-⌫|-|-⌫--|
tantlipue bles	---|-|---⌫---|
u neschosesnon estable s	-⌫--|-----|--|-------⌫|
ontlorcrean ceetlores por	--|--|-----⌫-|-|--|--⌫--|
lou u ilaingaitentporsauor	--|-⌫----|------|--|----|
par oucelenfesdeu oi t	--|-|--|----|---⌫--⌫|
liescharbozparla f enestr e	-|--------|--|-|-⌫------⌫|
ouilentra sen	-|-|----||-|
e st issus	-⌫-|----|
lors lesa iltozdeceu z	---|--||-|--|-----⌫|
parceste es semple	--|----|--⌫-----|
desnonsachans est autre si	--|---------|--|-----⌫-|
quicr oentceuqu estrenepuet	--|--⌫---|--|-|----|-|---|
ou uanite zlestre t et m uet	-|------⌫|--|---⌫|-|-⌫--|
d unui laincon te quigarda	|-|--⌫---|---⌫-|--|----|
dedens sonhuis etespia	-----|--|---|-|----|
unautr e ho meuit sorson	-|----⌫|--⌫-|--|--|--|
femme feit son delit	----|---|--|----|
dexfaitilque a i	--|---|-|--|-⌫|
fe mmerespondu	--⌫--|-------|
que ueezuosbiaxsireamis	--|---|--|---|---|---|
un au tre home	-|--⌫--|---|
cem estauis	-||--|---|
sormonlitte tien t enbr acie	--|--|--|-|----⌫|----⌫---|
l orsd ist l afem mecorecie	-⌫--|-⌫--|-⌫|---⌫-|------|
fait ele nendotmie	---|--||-|--|--|
quecestuostre uielle folie	--||--|-----|-----|----|
tuti ensfait	-|--⌫--|---|
elmenc ongea uoire	-|----⌫---||----|
uifaitils ile	-|---|-|-⌫|-|
doicroi re	--|----⌫-|
fol sesfai t elesetucrois	---⌫|-|---⌫|--|-|-|----|
por ueriteicequetuuois	--|------|-|--|-|---|
siloum oine	-|--|-⌫---|
deauepleine	|---|-----|
fistt antostpa rder	---|-⌫-----|--⌫---|
puiz liconmenceademander	---|-|-------||-------|
qu ilu oitdedens etilli	-|-|-⌫--|-----|-|-|-|
ques ima ge meismeuit	--||---⌫-|-----|--|
p orcefai t ele	-⌫-|-|---⌫|--|
nestt upas	|--|-⌫|--|
en la cuueot ottesdra s	-|-|---||-⌫-|--|---⌫|
setu uois u nesemblance	-|-|---|-⌫-|--------|
tu nedoizpa sauoir c reance	-|-|---|--⌫|----|-⌫-----|
entesuois quemententsouent	-|--|---|--|------|-----|
dit liuilains or men	--|-|------|-||-|
chascunsd oitmuex croire et sauor	-------|-⌫--|---|-----|-|----|
c equesafeme dit	-⌫|--|-|---|--|
quecequec ilmaluaiseilu oi ent	--|-|--|-⌫-|------|--|-⌫--⌫--|
quiparueue l esdeu oient	--|--|---|-⌫-|---⌫----|
parces teessemple	--|---⌫-|-------|
quemoltual tmuezsensqu ec oint ise	--|---|---⌫|---|---|--⌫|-⌫----⌫--|
et p lusaideamainte	-|-⌫--|---||-----|
quel iauorsn eliparent	--|-⌫|----|-⌫|-|-----|
dunuilainuuel iciconter	|-|-----|---|--|-----|
fem meuitaler	---⌫-|--|---|
uerl a forestsond r uo li	--|-⌫|-----|--|-⌫-⌫||-|
aprescorr ut sis	----|----⌫-|-||
s iestdedenslouboismuc i ez	-⌫|--|-----|--|---|---⌫-⌫-|
silsenrepairetoz	|-||-|------|--|
sa femm el oudietbla sma	-|----⌫|-⌫---|-|---⌫--|
damelid emanda	---|-|-⌫-----|
parl a itenci	----⌫-⌫-|---|
etl imarisli res po ndi	-|-⌫|----|-|---⌫--⌫--|
queueuotson lecheo r	--|--|-|--|------⌫|
qui lifist ho n t eet	--|-|---|--⌫-⌫-⌫|-|
sire fai telesi uosples t	---|---⌫|--|-|--|----⌫|
deuditesuos	--|----|--|
cuidastesuoshomeueoir	--------|--|---|----|
alerom oinelmeceler	---||-⌫-|-||-|----|
ieluifait il	-||-|---|-|
e l bois passer	-⌫|---|-----|
lassefait el em ortesui	----|---|--⌫|-⌫---|--|
demain moriraiouencore h ui	-----|------|-|-----|-⌫-|
amaioleauin tautreci	||----|----⌫|------|
m erequeieui	-⌫--|--|-|-|
unpoideuantson finement	-|--|-----|--|-------|
iceuiieap ertem ent	--|-|-|--⌫-----⌫--|
noselci ecleplusr emanor	|-|-|--⌫---|---|-⌫-----|
sideparti rons n ostreauoir	-|-------⌫---|-⌫----|----|
ototelamoi epartie	|---|-|---⌫|-----|
memetraen une	-|----|-|--|
liu ilai nslotmerc i	-|-⌫----⌫-||-|----⌫|
la ssiezesterfaitele amie	--⌫----|----|---|--|---|
ne departezde moienci	-|-------|-|--|---|
mencongefuceu q ueie	-------|-|--|-⌫-|-|
n i osfaitele	||-|---|--|
p luse ster	-⌫--|-⌫---|
demarmemeconuientpenser	-||---|-|-------|-----|
ensorquet otporla	---------⌫-|--|-|
granthonte	----|----|
dontu o sauez cifaitlo u con te	---|-⌫-⌫|---|-|---|--⌫|---⌫-|
meseroitr eproué	-|-----|-⌫------|
quem alem ent	--|-⌫----⌫--|
aur oieoirré	---⌫--|-----|
senemeiurezsare ment	-|-|-|----|----⌫---|
sique uoiant	-|--|-----|
uostreparent	-----|-----|
qu e neueistes	--⌫|-|------|
home om oi	---||-⌫-|
puiza ffiezla u ostrefoi	---|-⌫----|-|-⌫----|--|
qu eu osiamaisme surez	--⌫|-⌫-|-----|-|----|
nemerep ro uerez	-|-|---⌫--⌫----|
uole nt iersdamec ilrespont	----⌫--⌫---|---|-⌫-|------|
au n mosti erenduis enuont	|-⌫|-----⌫-|----||-|---|
lali iurace	-|-|---|-|
qu eledist	-|--|---|
et plusasse zqueneliquist	-|---|----⌫|--|-|-|----|
p orced it lon en	-⌫-|-|-⌫-||-|-|
q u e fem me faittotengig nier	-⌫-⌫|---⌫-|---|--|-----⌫---|
que lescrea nsfaitmescreables	--|--|----⌫-|---|----------|
p lusazzart quelidyaubles	-⌫--||-|--|--|-|-------|
desoisiau s	--|------⌫|
ditquiassemblerent	--|--|-----------|
aparlementsiegarderent	|--------|-|---------|
quentr aus deusse auoirroi	-|---|--|-----|----|--|
quesgouernast	--||--------|
pardroi tefoi	--|----⌫-|--|
cha scu ns dotte demesprison	---⌫---⌫-|----|-|--------|
afa ire celeelecti on	|--⌫--|---|------⌫-|
quetutestoient	--|--|-------|
qua nt delcucut oient lo	---⌫-|--|----|----|-|
quelso isiausc e f u	----|-⌫-----|-⌫|-⌫|
maique toztens diso itcucu	--|--|--|---|----⌫-|---|
si lou poit lon de loncoir	-|--|---||-|-|---|--|
louboisfist	--|---|---|
tutdisoient enlor	--|-------|-|--|
et af fe rmoien t p arraison	-|--⌫--⌫------⌫|-⌫-|-----|
quelioisiausquesichanto it	--|-|------|--|-|------⌫-|
etsig r antio ie demen oit	-|-|-⌫-⌫--|--⌫-|-----⌫--|
deuoitbienestrer ois	-----|---|----|-⌫--|
degoue rnerzzgrante npi re	-|----⌫---|-|----|-⌫---⌫-|
sifustsi prouzet si ual lans	-|---|-|----|-|-|---⌫---|
en cessones	-|--|----|
eten ceschans	-|-|--|----|
a signorlou uoldre nt auoir	|-----|--|------⌫-|----|
maisiluoldr ent	---|-|-----⌫--|
pri messa uoir	---⌫--|--⌫---|
sonestre et soncontenement	--|----|-|--|----------|
lorsesgar de co nmunement	---|-----⌫-|--⌫--------|
quedoi talere n lormesaige	--|---⌫|---|-⌫|--|------|
la maseng e qu emolt	-|------⌫|--⌫|---|
l amasengeuolat totdroit	-⌫|------|----|--|----|
decialarb reouil	---|||---⌫-|-|-|
la masengeil lu ecs	-|------|--⌫--⌫-||
co nques licucusne	|-⌫----|-|----|-|
lamasengeleregarda	-|------|-|------|
en soncoragesapensa	-|--|-----||-----|
que louuoldrasi h aut monter	--|--|-----|-|-⌫--|-----|
sacortieuu eltesprouer	-|-----|--⌫--|-------|
desor la rbrea	----||-⌫---||
tantestsallie	---|--|-----|
ama lbaillie	|--⌫|------|
conqueslicucuzmotn e dis t	|-----|-|----|--|-⌫|---⌫|
ne peorsemblantnelifist	-|---|-------|-|-|---|
arri er e sen	----⌫--⌫||-|
ualamasengge	-|-|-------|
louc ucutledit	--|-⌫---|----|
e tbesta nge	-⌫|-----⌫--|
iadeluineferoit signor	-|-|--|-|-----|-----|
asautr esdit lades onor	-|----⌫-|--|-|---⌫---|
etlahontequelifi stgrant	-|-|----|--|-|--⌫-|----|
enfist pe orsem blan t	-|---|--⌫-|---⌫----⌫|
s unsgr ansoisiau sl imefaisoit	|--|--⌫--|------⌫|-⌫|--------|
ma luaisem ents	--⌫-------⌫--||
en uenge roit	-|-----⌫---|
quantenuer ce li	----|----|--⌫-|
quiestde tozoisia us limeindre	--|--|-|--|-----⌫-|-|------|
eslisent tel q ueso ituall ains	-------|--|-⌫-|--⌫-|----⌫---|
pr ou setsa geset enp rengna n s	--⌫--⌫|-|--⌫--|-|---⌫------⌫-⌫|
queroisdoitestre droiturierz	--|---|---|----|----------|
en iust ice roideset fiers	-|----⌫--|-----|-|----|
conseilsesont tenu	------|-|---|---|
si ontesg a rdée tueu	-|--|---⌫-⌫---|-⌫|--|
quedelaigle	--|-||----|
feron t lor r oi	-----⌫|--|-⌫-|
uossa idireporcoi	--|--⌫|---|--|--|
liaiglesabe le	-|-----||--⌫-|
s ie st assez de grantbaudor	-⌫|-⌫-|----|-|----|-----|
n e st oisiauls	|-⌫-|------||
i lli m efeist	-⌫|-|-⌫-----|
quelaueniance ne npr eist	--|-|-------||-⌫|--⌫---|
auoirlou u oloient ens emble	----|--|-⌫------|---⌫----|
etsi crioientcemesemble	-|-|-------|-|-|-----|
prin cesce doitbie nre poser	----⌫--|-|---|---⌫|--⌫----|
ne doit mie	-|---|--|
ad es ourer	--⌫-|----|
luinesonregne	--|-|--|----|
trauillier	---------|
ne l apour egent essillier	-|-⌫|----⌫|---|--------|
enciont faitc o nie	---|--|---|-⌫-⌫|-|
es s em plelemostreci	--⌫-⌫--⌫--|-|-----|-|
nedoi t pas faire signor	-|---⌫|--|----|-----|
de malua is hometricheor	-|-----⌫-|---|-------|
o iln aseparollenon	|-|||-|------|--|
quisegobillo npartencon	--|-|-------⌫|--|-----|
etu u et m an eciere tpa rle r	-|-⌫-⌫-|-⌫--⌫----|-⌫|--⌫---⌫|
quem oltfai tpetitadoter	--|-⌫--|---⌫|----||----|
dunuilainuosrac ont eci	|-|-----|--|---⌫---⌫|-|
chiualauoitno rri	-----|----|--⌫--|
gardéqu illouuotuend re	-----|-|-|--|--|----⌫-|
quel esdeniersuoloit prendre	--|-⌫-|------|-----|------|
poryyce di t ledonr a	--|-|-|--⌫|-|----⌫|
zz suensuoisins l obargoigna	-|----|------|-⌫|--------|
maisn iuol tmietant doner	---|||---⌫|--|---|----|
aumarchielouconuint	-|------|--|------|
ic ilcu i li cheual s estoit	--⌫-|--⌫|-|------⌫|-----|
li o troa quillidonroit	-|-⌫---|-|-|-|------|
auprisqueli ho mimetroit	-|---|--|-|--⌫||------|
queencontrealspremiersueno it	--|-------|--|-------|----⌫-|
coniluendroientau mergie	--|-|---------|-|-----|
d ambedouspars	|-------|---|
lontotroi é	|--|-----⌫-|
quantelmerchiefuren t entré	----|-|------|-----⌫|-----|
uneh omebo r gneontencontré	--|-⌫--|--⌫-⌫--|--|--------|
quiloud estr eeul	--|--|-⌫----⌫|--|
auoitperdu	----|----|
et auecals l	-|---|--||
on t retenu	--⌫|-----|
silide man detsonauis	-|-|--⌫---⌫--|--|---|
ch eualdiet	--⌫---|---|
eti lrespont q ueyyualt	-|-⌫|------|-⌫-|-|---|
sil est isnels ets ouez aut	|-|--|-----|-|-⌫---|--|
ll ou che ualba rga gna	|-⌫-|---⌫--|--⌫---⌫--|
de lasoiep artlotroa	-|-|---|-⌫--||----|
aut r es le co ntredit	---⌫-⌫-|-|--⌫------|
que tr oplauoit	--|--⌫-||----|
prisié petit	------|----|
tantlena ditettan hasté	---||-||--|-|--|-----|
qualaiust icela mené	-||-|----⌫--|||----|
s elimostra	-⌫|-|-----|
conment ilfu	------|-|-|
et liuilainsa respondu	-|-|------||-------|
i asonchiu alnaurapo r tant	-⌫|--|----⌫-||---|--⌫|---|
li tendra conu enant	-|-----|----⌫----|
sil ueltmostrer	--|---|------|
rena blement	----⌫------|
li doit tenir conuen t	-|---|----|------⌫|
q uepor lu ne fumesprisiez	-⌫-|--|-|-|-|---------|
ne porautreplusauilliez	-|--|----|---|-------|
que celuineuit onq u e smai s	--|----|-|--|---⌫-⌫-⌫|---⌫|
etl iui lainsli ditapres	-|-⌫|--⌫----|-|--|----|
ne doi tten i rso n es gart	-|---⌫|---⌫-⌫|--⌫|--⌫---|
queil ne uit	--|-|-|--|
queunepart	--|--|---|
porcel auoitdemiproisié	--|-||----|---|-------|
qu eilnenu itque la	--⌫|-||-|-⌫-|--|-|
mi edunoilueoir	--⌫||-|--|----|
quelicheualspooitualo ir	--|-|------|----|----⌫-|
silquiauplait o	--|--|-|----||
a lsest oient	-⌫-|---⌫----|
e tlouuilainparlero oient	-⌫|--|-----|-----|-⌫----|
lo u tornerent ag aberie	--⌫|--------||-⌫-----|
n iacelu quine	|||---|--|-|
o soncheualene st	|--|-----|-|-⌫-|
parbia u parlerest de liurez	--|---⌫|-----|--|--⌫-----|
porceuosuuelici mo strer	--|-|--|---|--|--⌫----|
etensegnier etdeuis er	-|--------|-|-----⌫-|
qui conques est	--||-----|--|
si entrepris	-|--------|
sima i ntapresces boins	-|--⌫-⌫-|----|--|----|
que li sachet co nseildoner	--|-|-----|--⌫----|----|
q uebiensedoitcontregard er	-⌫-|---|-|---|----------⌫-|
se parl erdoit deuantiustise	-|----⌫-|---|-----|------|
quens i paro lle	-|---⌫|----⌫--|
atelcoi n tis e	|--|---⌫-⌫---⌫|
pa rmi totesamesp ri s on	--⌫--|---|-|----⌫--⌫-⌫-|
que soi tsemblanced et o sso n	--|---⌫|--------|-⌫|-⌫-⌫---⌫|
lis ageshoma grant	-|-⌫---|--||----|
de stroi t	--⌫-----⌫|
tornesouent sont ort endroi t	----|-----|--|-⌫--|-|----⌫|
d u n laron contequigisoit	|-⌫|----|----|--|-----|
sozzzboisson sisedormoit	--|-|------|-|-|------|
u ne s orciere l itroua	-⌫-|-⌫------|||----|
lezlusacistsilesuella	--|-||----|-||------|
s iconmencaa c o ncil lier	-⌫|-------||-⌫-⌫----⌫---|
iorstiegnes on	---|-----|-⌫-|
eletoziorsli a ider a	--|--|---|-|-⌫----⌫|
en totleuz ouilira	-|--|---|-|-|--|
neliestuetnia nt	-|-|-----|---⌫-|
por quilauuel e	--|--|-|----⌫|
li lerressens pa or	-|-----|---|--⌫-|
en c i a uintqueperzzi or	--⌫-⌫|-⌫---|--|--|-|-⌫-|
fuentreprisalarrenci n	-|--------||--------⌫|
silitroueren t	-|||--------⌫|
etdistrent	-|-------|
qu ilsera penduz	-|-|---|-----|
q u elaid e ment cestcontenuz	-⌫-⌫|----⌫-⌫---||--|-------|
ilalasorciere man dee	-||-|-------|---⌫--|
sil aa conseilapellee	-||||------|------|
e t lipriequeli aidas t	-⌫|-|---|--|-|-----⌫|
ele respont que	--|------|--|
essaur fust et totenpais	-|---|---|-|--|-|---|
que lesfo rcheses toient	--|--|--⌫----|--⌫-----|
si lapellali le rre osoi	-||-----|-|--⌫--||--|
ila idiezmoi	-|-⌫----|--|
ua f aitelenedouterrien	-|-⌫--|--|-|-----|---|
ie tedeliureraim oltbien	-|-|---------|-⌫--|---|
s ilel collim istrentlahart	-⌫-|-|--|-|-⌫------|-|---|
et il criadel autre part	-|-|---|-||----|---|
latierce fois ala sorci ere	-|-----|---||-|-----⌫--|
m em b rastenquel maniere	-⌫--⌫-⌫---|-|---|------|
laseurasorl ouboiso n	|-----|--|-⌫-|-----⌫|
elerespontparfoussermon	--|------|--|---|-----|
pue zic ele	---⌫|--⌫--|
oretaiaidie	--||-|----|
et mainten uetconsillie	-|-------⌫|-|--------|
maisort euoiside mener	---|-|-⌫|--|-|--⌫----|
que n etesai consel	--|-⌫|-|--|-----|
porp ens e toi quetufera s	----⌫---⌫|--|--|-|----⌫|
queiaparmo icons eiln au ras	--|-|--|--⌫|----⌫--||--⌫--|
chasti e t outegen t	------⌫|-⌫---|---⌫|
quene s croi edeusle	--|-||----⌫|---|-|
en augurenen	-|-----||-|
que tra istestque si	--|---⌫--|--|--|||
licorsene stm isa essil	-|---|-|-⌫-|-⌫-||----|
un sfeuresfis tu ne co gnie	--⌫|-----|---⌫|-⌫-|--⌫---|
duree ttrench ant et b ien f o rgie	---|-⌫|------⌫--|-|-⌫--|-⌫-⌫---|
mais iln ese n pooita idier	---|-|-⌫||-⌫|----|-⌫----|
queel nepooit	--|-|-|----|
t an tqueel efu stenm anchie	-⌫--⌫|--|--⌫|--⌫-|---⌫-----|
etd aucunfustaper il lie	-||----|---|----⌫--⌫--|
auboisalapo rdemander	-|---|--|--⌫|-------|
c hascunfustquilpooittrouer	-⌫-----|---|-|-|----|-----|
auquelqu il	-|---|-|-|
liloententendre	-|----|-------|
de coii l puss emainche	-|--|-⌫|----⌫|------|
quantense mble	----|----⌫---|
orentp arlei	----|-⌫----|
conmunementlio ntloei	----------|-|-⌫-|---|
qui lp rengne de la noi reespine	-|-⌫|-⌫-----|-|-|---⌫-|-----|
nes lescorse et	--||------|-|
quilest m olt	--|---|-⌫--|
dursad epe cie r	---||-⌫---⌫---⌫|
decelupuestuenmainchier	-|---|---|-|----------|
a lorco nseil cru	|--|--⌫----|--|
qu ilnelontmie deceu	-|-|-||--|--|----|
delespi nea	-||----⌫-||
louma inge pris	--|--⌫---|---|
ensacoigniemis	-|-|------|--|
ameis mec ele cognie	|----⌫-|-⌫--|-----|
etpuiz l espinedeztrenchie	-|---||-----|----------|
m al gueredonliarendu	-⌫-|-------|-||----|
a so nmaingeeu	|--⌫|-----|-|
totautrecie stdes malu ez	--|------|-⌫-|--|----⌫-|
etd esfelonset des engres	-|-⌫-|-----|-|--|-----|
pro domlesm et auant	---⌫--|--|-⌫-|----|
et parlusont riche	-|--|-|---|----|
s e il sorpuentplu s d e lui	-⌫|-|-------|---⌫|-⌫|--|
font hon teet a nnui	---|---⌫-|-|-⌫---|
font i lloupis	---|-⌫|--|--|
quepluslesaaudesus	--|---|--||-|----|
iadisauint c	----|----||
u ns leu s	-⌫-|---⌫|
quechar nemaingeroitcedist	--|---|-|---------|-|---|
l esquarante	-⌫-|-------|
iord e quarame	--|-⌫|------|
a t antenau oitp riss on esme	|-⌫--|-|--⌫--|-⌫--|-⌫-|---|
tr oua zzmouton	--⌫--|-|-----|
grans et refaizcenslat oison	----|-|-----|---|-|-⌫----|
asoi meismedema nda	|--|-----|----⌫--|
quest cefaitil queieu oi l a	-|--|-|---|-|--|-|-⌫-|-⌫|
unsmoutonse stcemest	--|------|-⌫-|-||--|
que decharne mai ngeroie	--|-|---|-|---⌫------|
de s o ncoste	-|-⌫-⌫|----|
meref eroie	-|---⌫----|
orai f aitildi tefo l ie	-|-|-⌫--|-|--⌫-|--⌫-⌫-|
ie lou u oiseul	-|--|-⌫-|---|
san sconpagnie	---⌫|--------|
cestmesauisseie ne	|--|--|---|-|-|-|
tos t liuendrad	---⌫|-|-----||
a uc une part	-⌫--⌫--|---|
q uil enmenra auec	-⌫-||-|----|---|
si n enlaraniantpo rm oi	-||-|---|----|--⌫|-⌫-|
i e puizbienprendre l oumouto n	-⌫|---|---|------|-⌫-|-----⌫|
ce l maingerai por	--⌫|--------|--|
muexu altlisal m ons	---|-⌫--|-|---⌫-⌫--|
a maingier	|-------|
si l en puet lenuendreplus	-||-|---||-|-----|---|
si uetd ome	-|--||--|
demaluaiscuer	-|------|---|
ilnepuetlessieranulfuer	-|-|---|------||--|---|
so n f o rf et ne	--⌫|-⌫-⌫--⌫-|-|
sa glo t enie	-|---⌫-⌫---|
iaenco ntresa lecheri e	-|----⌫---|-|-------⌫|
hom ene feme lecheresce	---⌫|-|---|---------|
n egarderaueune promesce	-⌫|------|--|-|-------|
u nes ingescealamos trant	-⌫-|-⌫------|--|---⌫----|
ato tesbestes sonenfant	|--⌫--|-----|--|-----|
etill a tenoientporfol le	-|-|-⌫|-------|--|---⌫-|
etde semb lant etd eparolle	-|-|----⌫---|-|-⌫|------|
s eli conm enceadem ander	-⌫|-|----⌫---||---⌫----|
tant qu au lyonlala	---|-|-|---||--|
silestoit biau s	|-|-----|----⌫|
etil at dit	-|-|-|--|
cains silaidebeste neuit	|---|-|----|----|-|--|
por terleroiueens amais on	---⌫--|-|----|-|-⌫|----⌫-|
etsiresort	-|-|-----|
cesteraison	----|-----|
chasconsgo lpis	-------|--⌫---|
p r is esacoe	-⌫-⌫--⌫|-|--|
sese meruoill equeleest soie	-|-|--------⌫|-|--|--|---|
cel ese nua	---⌫||-⌫|-|
tote dola nte	---|----⌫--|
u no rsencontreenmisa cente	-⌫|-⌫-|-------|---|-|----|
liors estutsilesgarda	-|--|----|-||------|
parcointi se lidemanda	--|------⌫-|-|------|
estcefa iti l i lluecl enfant	--|-|--⌫-|-⌫|-⌫----||-----|
dontle sbestes paro le nttan t	---|--⌫|-----|----⌫--⌫-|---⌫|
p arestetb iausetg i z	-⌫-|--|-|-⌫---|-|-⌫-⌫|
oifait elece stmesfiz	-|---|--||-⌫-|--|--|
bailliezl ou	-------|-⌫-|
satantqueie lbais	-|---|--|-||---|
queu eoir lou uue l depl uspres	--|-⌫---|--|---⌫|-|--⌫-|---|
cel eli baillee t illep rent	---⌫|-|-----|-⌫|-|-|-⌫---|
mainiueui ste men t	------|--⌫---⌫---⌫|
porce ne deuroit nus mostrer	--|-|-|------|--|------|
s a priuetenesonpenser	-⌫|------|-|--|-----|
et siuosdiencest	-|-|--|-|-|---|
qu a traitornea fellon	-||------|-||-----|
nedoit len conmande r sonno	-|---||-|--------⌫|--|-|
neabandoner sontr esor	-|--------|--|--⌫---|
enco uoiteus neen	-|--⌫------|-|-|
nesed euroitnus ho mfier	-|-|-⌫-----|--|--⌫|---|
dun renclu s conte qui	|-|------⌫|----|--|
unhomequioluiestoit	-|---|--||--|-----|
q uan t lireclus	-⌫---⌫|-|-----|
