quipetitseime petit quiau t	--|----|----|----|-----⌫|
ce quenn esetpu etlanapanre	-|-|-|-⌫|--|--⌫-|--|-----|
quiiuel tpener	--||---⌫|----|
etentandre	-|-------|
faisliprodo mbiaxamischiers	---|-|-----⌫|---|---|-----|
il couient	-|------|
etcueret p eineet usauoir	-|---|-|-⌫---|-|-|----|
yyp uetentotsauoi r	-|-⌫--|-|--|-----⌫|
etquantuosonque sn	-|----|--|-----⌫||
ne autruifa irene l	-|-----|--⌫--|-||
seuo sfairen e losauez	-|--⌫|----|-⌫|-|----|
hontene blasme ni	----|-|-----|||
maisseu osne	---|-|-⌫-|-|
lapreneiez	|--------|
honteet blasmeiaureiez	----|-|-----||------|
lo rs lofis tliprod om monter	--⌫-|-|---⌫|-|----⌫-|-----|
etcil commanca a	-|--|-------||
comsilausttoz iorzue scu	--||-|---|--|---|--⌫--|
e ntornoi emanz e t enguerres	-⌫|------⌫----|-⌫|-|------|
etalépa rtote s	-|---|--⌫|----⌫|
les terres	--|-----|
querantbatailleet	------|-------|-|
uenoitdenature	-----|-|-----|
etqua nt nature liaprant	-|---⌫-|-----|-|-----|
cuersdo totientant	----|-|--||-----|
nelipuetpoineestregreu a igne	-|-|---|----|----|----⌫-⌫---|
la oun at u reet	-|-|-⌫--⌫-⌫-|-|
cuerssepaine	----|-|----|
par ce s yysibienlofaisoit	--|--⌫|-|-|---|-|------|
queaup rodomemoutplaissoit	--|-|-⌫-----|---|--------|
si qu ildisoiten son coraige	-|-|-|-----|-|--|------|
ques ilse fusttotson	--||-|-|---|--|--|
d arme spenezetent rem is	|----⌫|----|-|---⌫---⌫-|
sanfustil ass ezbi ena pris	|-|---|-|---⌫-|--⌫-|-⌫---|
qant liuallezot faitsontor	---|-|-----|-|---|--|--|
deuent lo prod omeau	-----|-|----⌫--|-|
lance l eueesenzrepaire	----|-⌫---|---|------|
ot ueufaire	-|--|----|
e t dit si r e ailob ien	-⌫|--|--⌫-⌫|-|-|-⌫--|
cuidiez uos que iamesti ermait	------|--|--|-|-----⌫-||--|
p oine seie	-⌫---|-|-|
metre l iuo il	----|||--⌫-|
onques r i enne	-----|-⌫-⌫-|-|
uirent m ioil	-----|-⌫|--|
don si grantenuieausse	--|-|----|----|----|
mou tuodr oiequei	---⌫|----⌫--|--||
autantcommenu lcheualier	-----|----|--⌫|--------|
quionquesmontast	--|-----|------|
sor destrier	--|-------|
neq u imielzsensaustaid ier	-|-⌫-⌫|----||-|----|---⌫--|
ne salence	-|-|----|
bien men oi er	---|---⌫--⌫-|
escubiencourir	---|---|-----|
ne del espeeescremir	-|-||----|-------|
etd och eual bien aidier	-|-⌫|--⌫---|---|-----|
ensin con uosenuiaidier	----|--|--|-|-|-----|
autretantcom	--------|--|
locueri aue z	-|---||---⌫|
faitl iprod ommoutensa urez	---|-⌫|----⌫-|---|-|--⌫---|
iamarcusanc on enaurez	-|--|------⌫-|-|----|
liprodom par y yfoiz monta	-|-----|--|-⌫|---|----|
et yyfoizd	-|-|---||
armeslimo str a	----|-|--⌫---⌫|
totquantque	--|-------|
i lmostrerl	-⌫|------||
tantque assez mo s tréan ot	------|----|--⌫-⌫---|-|-|
etpa ryyfo izmonte r lo fist	-|--⌫|-|--⌫-|-----⌫|-|---|
a lad arreainelidist	|-|-⌫-------|-|---|
uosen contreiez	--|--⌫--------|
z zcheualierquefereiez	-⌫|--------|--|------|
sil uosfe roitiore f erroie	|-|--|--⌫---|-|--⌫-⌫-----|
ets e uostrelancepecoie	-|-⌫|-----|----|-----|
aprescelicorro iesus	----|-|-|-----⌫-|--|
enfe roie plus	-|--⌫---|---|
am is ce ne	--⌫-|-|-|
feroiz uosmie	-----|--|--|
quefera i do nc par escremie	--|----⌫|--⌫-|--|-------|
alespee liroiz req ue rre	||----||----|---⌫--⌫--|
tantostafichiecilen	------|------|--|-|
l ala nceop re	-⌫|--⌫--||-⌫-|
t o tedroi te	-⌫-⌫-|----⌫-|
li pr odomquitant	-|--⌫---|--|---|
lo couoite	-|------|
darmes ens aign i eret	|----|---⌫----⌫-⌫-|-|
queilse saiche biend esfandre	--|-|-|-----|---|-⌫-------|
deles pee san loreq uiert	-||--⌫--||-|-|---⌫----|
e te nuair quantleuse niert	-⌫|-⌫----|----|---|-⌫|---|
puisa main	---||---|
a lespeemi se	||----|--⌫-|
amis faitil ent ele guise	---|---|-|-|-⌫--|----|
uosdesfandroiz sen	--|----------||-|
uosa ssau t	--|-⌫----⌫|
decefai tilse	-|-|---⌫|-|-|
n en setnul auta nt comie	|-|--|--|----⌫-|--|-|
quausborres etau staleuaz	-|--|-----|-|--⌫|------|
chiesmam eree n	----|-|-⌫--|-⌫|
aprisasse z	----|----⌫|
tantques ou antan	------|-⌫--⌫--|-|
sui lassez	--|-----|
don calom hui	---⌫|---|--|
mesa lo stel	--|||-⌫---|
f aitliprodomil niael	-⌫--|-|-----|-||||-|
et uos auroizcui qu ilanuit	-|--|-----|---⌫-|-|----|
os telsa nzuilenie anuit	--⌫--|--⌫-|------|----|
lorssenu onta nduicostea c oste	---||-|-⌫--|-⌫---|----||-⌫---|
et li u allezdit asonoste	-|-|-⌫----|--||--|---|
si remameremanseigna	--⌫-|-|---||-------|
quau oc homenalaseia	-|--⌫-|---||----|-|
necom paigni e al uin ause	-|---⌫------⌫||-⌫-||---|
granzmentquesonnonnesause	--------|--|--|--|-|----|
mensaignapor	|-------|--|
et ie u oil	-|-|-⌫--|
louostr esauoir	-|-----⌫|-----|
biaxamischiers faitlipr odom	---|---|-----|---|-|--⌫---|
go rnoman t degorotainon	--⌫------⌫|-|----|-|--|
ensiniusqua l ostel en	----|----|||----|-|
et mainam ainameduitienent	-|---||-⌫--|-----|------|
alamonteedundegre	|-|-----||-|----|
uint zzuallezt ot	---|-|-----|-⌫-|
deson gr e	-|--|--⌫|
quiaporta zzm antelcor t	--|-----|-|-⌫----|---⌫|
lo ualletafu ble r encort	-|-----|---⌫---⌫|-|---|
capres loch autnelipreist	|----|-|--⌫--|-|-|-----|
fro i du requimal lifei st	---⌫-⌫--⌫-|--|--|-|---⌫-|
richesmaisonsetbonesg enz	-----|------|-|----|-⌫--|
ot liprodometbo nssergenz	-|-|-----|-|--⌫-|------|
etli ma ngiers fu at ornez	-|-|--⌫-----|-|--⌫----|
bonset bia uxetbien	---|-|---⌫-|-|---|
silauerentsicheualier	-|-------|-|--------|
ets eson t as sisaumangier	-|-⌫|---⌫|--⌫--|-|------|
et liprodoml ezluiassis t	-|-|-----|-⌫-|--|-----⌫|
loualletet meng ier	-|-----|-|----⌫--|
auiaul ui enu neescuele	----|-⌫-|-|-⌫-|------|
desmesnefa isautre nouele	--|--|-|--⌫-|----|-----|
i otquel i fu rent	|-|---||--⌫---|
maisassez meng erentetburent	---|----|----⌫----|-|-----|
douman giern efais autre fa b le	--|---⌫---|-⌫|---|----|--⌫-⌫-|
qant le ué f u rentdel ata ble	---|--⌫--|-⌫-⌫---|-|-⌫|--⌫--|
lipro domqui	-|---⌫--|--|
mou tfucortois	---⌫|-|------|
pro ia deremenoirzzmo is	---⌫-|-|-------|-|--⌫-|
lo ualletque	-|-----|--|
delezluisist	----|--|---|
ou unantot p la i ns	-|-|-|--|-⌫--⌫-⌫||
il uosis t	-|-----⌫|
loretenist il	-|-------|-|
uol a ntiers	---⌫-⌫-----|
siapr eist	-|---⌫---|
andema ntiers	------⌫-----|
telchos equebienlipl e ust	--|----⌫|--|---|-|--⌫-⌫--|
quaub esoig mestier liaust	-|-|-⌫----|------|-|---|
etliuallezlidistapres	-|-|-----|-|---|----|
s irenesaise	-⌫--|-|--|-|
i esui pres	-⌫|--|---|
do menoir oumamere esta	-|-----|-|-|---|---|
mais ie pri deu q u	---|-|--|--|-⌫|
imemaintla	|-|----|-|
tantqua ncorlapu ise	-----|-⌫---|-|--⌫--|
que pasmeelau iche oir	--|-----|-|-⌫|---⌫--|
elpie dopontd euantlapo rte	-|--|-|---|-⌫----|-|--⌫--|
si ne s aisele estu iue	-|-|-⌫-||--|--|-⌫--|
de doel dem oi	-|---|-|-⌫-|
quantla laisai	----|-|-----|
cha ipasme ebienlosai	---⌫|-----⌫|---|-|--|
n ep orroit	-⌫|-⌫-----|
tantque iesause sonestr e	------|-|----|--|----⌫|
que iefeis sel oncsei or	--|-|----⌫-|-⌫--|---⌫-|
ainzmen iraidemai n auior	---||-|---|-----⌫|-|--|
otque rienn euaut	-|--|---|-⌫|---|
prei eree tl aparolefaut	----⌫--|-⌫|-⌫|-----|---|
lorsuontcoch iersanzplusdeplait	---|---|----⌫--|---|---|-|----|
e sliz quiestoient	-⌫|--|--|-------|
lip rodo mpar	-|-⌫----⌫|--|
ualletenal a	-----|-|--⌫|
la o il lo trouagisant	-||-|-|----|-----|
chemi sesetbraiesdechansil	-----⌫--|-|-----|-|------|
et chauces taint es	-|------|-----⌫-|
et c oted undrasde soiein de	-|-⌫--||-|---|-|---|--⌫-|
q ui futissuz et	-⌫-|-|-----|-|
porceque u estir l ifeist	--|-|--|-⌫----|-⌫|----|
lienuoiae tsi	-|-----|-⌫|-|
amiscesdrasqueciueez	---|--|---|--|-|---|
u est iroizuo ss i	-⌫---⌫----|--⌫|-⌫|
m encr ee z	|-|--⌫--⌫|
etliuallezrespontbiaxsire	-|-|-----|------|---|---|
uosporreiez	--|-------|
assez mielzdir e	----|----|---⌫|
que mameremefist	--|-|---|-|---|
don ne u a l entil mielzque cist	--|-|-⌫-⌫-⌫--|-|----|--|---|
etuos uole zqueie	-|--|----⌫|--|-|
uallezfoique iedoima	-----|--|--|-|--|-|
f aitlipro domainz	-⌫--|-|---⌫--|---|
uo smedeistesbiauxamis	--⌫|-|------|----|---|
qantieuosamen ai ce ienz	---|-|--|----⌫-|--⌫---|
que uosto zmescoman dema nz	--|--|--⌫|--|-----⌫----⌫-|
fe reiez etiesi ferai	--⌫----|-|-|-|----|
fait li u allezienen s e rai	---|-|-⌫----|-|--|-⌫-⌫--|
encontre uos denule	-------|--|-|---|
ausd r asue stirp lus	--|-⌫-⌫-|--⌫---|-⌫--|
si a lessa mere	-||--|-|---|
etlipr odomses ta baisiez	-|-|--⌫---||--⌫|-⌫------|
etlichaucelesp eronde stre	-|-|-----||---⌫---|--⌫---|
l ac ostumesoloittese s tre	-⌫|-⌫-----|-----|--|-⌫-⌫--|
qulfa isoitcheualier	-||--⌫----|--------|
lisoloitlesperonchaucier	-|-----||------|-------|
dautre uallezassez	|----|-----|----|
chacunsquiauenir i pot	------|--|-----||--|
arm era lamainmise	---⌫-||-|---|---|
etli prodomlesp eeaprise	-|-|-----||---⌫-||----|
sili cein tet silibaisa	-|-|----⌫|-|-|-|----|
etd itque donee	-|-⌫-|--|----|
laplushaute ordreaui aulespee	-|---|----|----|---⌫-||----|
quedexot faiteetcomma ndee	--|--|-|----|-|-----⌫---|
ordre docheual erie	----|-|------⌫---|
q u id oitestresenz	-⌫-⌫|-⌫--|----|---|
e tditam is o ruos	-⌫|--|--⌫-|-⌫|--|
a uientqueil u os coua igne	-⌫----|--|-|-⌫-|----⌫---|
c onbatr eaauc unc heualier	-⌫------⌫||---⌫-|-⌫-------|
ice uosuodroieproier	--|--|------|-----|
queuosen uaignezaudesus	--|--|-|------|-|----|
que uersu osne	--|---|-⌫-|-|
se p uiseplus	-|-⌫---|---|
desfan dre ne con tretenir	------⌫--|-|---⌫-------|
ainz lestuis e amerciuenir	---||------⌫||----|----|
qu a esci ent nelociez	-||----⌫--|-||----|
etgard ez q ueuos nese iez	-|----⌫-|-⌫-|--|-|--⌫--|
tro pp ar lan znetropnoueliers	---⌫|-⌫--⌫---⌫|-|---|--------|
nus ne pue testretrop	--|-|---⌫|----|---|
que souant telc h ose	--|-----|--|-⌫-⌫--|
quelanlitornea	--|--|-|----||
etlisai gesditetretrait	-|-|---⌫--|--|-|------|
quitrop p arole pechie fait	--|---|-⌫----|-----|---|
porcebiau xfr ereu os	--|-|----⌫|--⌫--|-⌫-|
de tropparleretsiuos pri	-|---|-----|-|-|--|--|
seuostrouezhomene fame	-|--|-----|---|-|---|
ou soitdamoisele o so itda me	-|---|--------||--⌫-|--⌫-|
desconsoillieedenule rien	-------------|-|---|---|
consei lliezla si fer oizbi en	------⌫----|-|-|---⌫--|--⌫-|
seuosconseil lie r las a uez	-|--|-------⌫---⌫|-|-⌫-⌫--|
etseuos po o iri auez	-|-|--|--⌫-⌫-||---|
une autrechoseuosapraig	--|----|----|--|-----|
nelote nezmiea	-|-|--⌫--|--||
f aitmi e adesdaignier	-⌫--|--⌫||----------|
uo lant iersalezaum outier	--⌫----⌫---|---|-|-⌫-----|
proi ercelui	----⌫-|----|
q ui atotfait	-⌫-||--|---|
quide uostreamem erci ai t	--|-|-----|--|-⌫---|--⌫|
ancestsiegleterrien	-|---|-----|------|
uosg artcomm e	--|-⌫--|----⌫|
soncrest ie n	--|-----⌫--⌫|
et liuall ezditau prodome	-|-|----⌫-|--|-|------|
d et ozlesapo stres	-⌫|-⌫-|--|---⌫----|
seiez uosbeneizbiaxsir e	----|--|-----|---|---⌫|
q au teloi	|--⌫--|-|
mameredire	-|---|---|
or ne dit es iames bi au x	-|-|---⌫-|----|--⌫--⌫|
q ue ceuo sap ristuostrem e re	-⌫-|-|--⌫|--⌫---|-----|-⌫-⌫-|
ne queleuo s	-|-|--|--⌫|
aitansaignié	--|---------|
de cemieneuosblastg ie	-|-|--|-|--|----|-⌫-|
auez dit i usqu e ci	---|--|-⌫----⌫|-|
mai sde sormesu ost remer ci	---⌫|--⌫-----|-⌫---⌫-|---⌫-|
uospri queuos	--|--|--|--|
anchastoiez	-|--------|
quese uos p luslo	--|-|--|-⌫--|-|
a foli e lotan roitan	|----⌫|-|---⌫---|-|
u ospri guarde z uos an	-⌫-|--|------⌫|--|-|
etquedireiedonc	-|--|---|-|---|
liuauasorscepoez	-|-------|-|---|
qui uostre e speronuos	--|-----|-⌫-----|--|
louosapristeten saigna	-|--|-----|-|--⌫-----|
etcil lia l odon doné	-|--|-||-⌫|--|----|
q ueiamais	-⌫-|-----|
niaura soné	||---|----|
ta ntcom il s era uis	--⌫-|--|-|-⌫--|--|
sedelu in onquilli estu i s	-|-|--⌫|-⌫-|-|-|-|--|-⌫-⌫|
quec e es tbiensq uilliensaigne	--|-⌫|--⌫|----|-⌫|-|-|-------|
li prodommainten antlosai gne	-|-----|-------⌫--|-|---⌫--|
etasamain leu ee en haut	-||-|---|---⌫-|-|---|
et ditbiau ssire	-|--|----⌫|---|
dexuossaut	--|--|---|
ale zadeu qui uosconduie	---⌫||--|--|--|------|
quela d emore	--|-|-⌫----|
li nouiauxche ualierss enpart	-|------|---⌫------||-|---|
d e sonoste mout li est tart	-⌫|--|---|---|-|--|---|
quea sa me re	--||-|--⌫-|
u enirpuise	-⌫---|----|
et que samereuiuetruise	-|--|-|---|---|-----|
si sem etausfor ezs o taines	-|-|-⌫-|--|---⌫-|-⌫-⌫-----|
mielzquaterrespla ine s	----|-||-----|---⌫---⌫|
as forez s e r econois soit	-|----|-⌫|-⌫-------⌫---|
etcheua uchetan tqueiluoi t	-|-----⌫---|---⌫---|-|---⌫|
unch astel	-|--⌫----|
f ortetbie nseant	-⌫--|-|---⌫|----|
desmurs n auoitnoian t	--|---||----|-----⌫|
forsme reteue etterreg aste	---|--⌫|-|--|-|----|-⌫---|
derreruerslochast else h aste	|----|---|-|-----⌫-|-|-⌫---|
t an tquedeuan tsaporte	-⌫--⌫---|-----⌫|-|----|
m ais zzpontpasserlicouient	-⌫--|-|---|-----|-|------|
s ifoibleainzqua laporte uain gne	-⌫|-----|-----||-|----|----⌫--|
quapoi n escu itqui l lo	-||---⌫-⌫-|--⌫-|-|-⌫|-|
sostaig ne	-------⌫-|
li cheual ierssor lopont	-|------⌫---|--|-|---|
etlopassequ emalneh onte	-|-|----|--⌫|--|-|-⌫---|
ne destorbierneli	-|---------|-|-|
tantquedeuantlap orteuient	------|-----|-|-⌫---|----|
silatrouaferméala c lef	-|-|----|-----||-|-⌫--|
mais napela miesoef	---||----|--|---|
ne ni apela mieen b as	-|||----|--|-|-⌫-|
tantahurté anellopas	---||-----|--------|
uintausfenestresd e	---|--|--------|-⌫|
unepuce let ainte etpale	--|----⌫-|-⌫----|-|---|
etdit quiestqui caapele	-|--|--|--|--|-|----|
cilregarda	--|------|
uerslap uce le	---|-|-⌫---⌫-|
silauoit e tditbelea mie	-|-|---|-⌫|--|---|-⌫--|
zzcheualie rssui quiu o s	-|--------⌫-|--|--|-⌫-⌫|
que laienz melai s siez	--|-----|-|---⌫-⌫---|
etlost ela nuit	-||---⌫-|-⌫---|
m esprester	-⌫-|------|
sire faitele uoslauroiz	---|---|--|--||-----|
maisiegreneuos	---|-|--|-|--|
e tneporq uantno s uosfer o ns	-⌫|------⌫---|--⌫|--|---⌫-⌫-|
s i be lostel	-⌫|--⌫|----|
comnos porr ons	--|--|----⌫--|
l orsest la	-⌫--|--|-|
pucelearriertrait e	-----|-----|-----⌫|
e tcilqui lapuce leagaite	-⌫|--|--|-|----⌫-|-----|
cr ie ntneli	--⌫--⌫-|-|-|
fac e tropester	---⌫|---|----|
si rec omanceaapeler	-|---⌫-----||-----|
e ttantost yy se rgent	-⌫|------|-|--⌫----|
q u i gr anzhaichesa lorcosti n dren t	-⌫-⌫|--⌫--|------||--|--|--⌫-⌫----⌫|
etchacuns otceintezzespee	-|------|-|-----|-|----|
sio n tla portedesfe rmee	-|-⌫-⌫|-|----|-----⌫---|
etdientsire uenezanz	-|----|---|----|--|
sebi e n e steusta s	-|--⌫-⌫|-⌫-----|-⌫|
moutfussentbe lma isilauoient	---|------|--⌫|--⌫-|-|------|
mesaiseautantq uilestoie nt	------|-----|-⌫|-|------⌫-|
d eieuner etde ueillier	-⌫|-----|-|-|-------|
tant qu ensen p oistmerueillier	----⌫-|-||-|-⌫---|----------|
ne ilotbiendeforstroue e	-|-|-|---|-----|-----⌫|
laterre g aste et escoee	-|----|-⌫---|-|-----|
dedan zrienne liamanda	-----⌫|---|-|-|-----|
que partotlaouil ala	--|--|--|-|-|-|--|
troua enh erm e eslesrues	----|---⌫---⌫-⌫-|--|---|
etlesmaisons	-|--|------|
tozdechaues	--|-------|
duesmo stiersen la uile auoit	---|--⌫-----|-|-|---|----|
quie stoient y y abaies	--|-⌫------|-⌫|-----|
lune des nonains	|--|--|------|
l autre d em o inesesgar ez	|----|-⌫|-⌫-⌫---|-----⌫-|
n etr ouamiebie n par ez	-⌫|--⌫--|--|---⌫|---⌫-|
les most iersnebienp orta n duz	--|----⌫---|-|---|-⌫----⌫-⌫--|
anco isestcreuezet f anduz	----⌫-|--|-----|-|-⌫----|
limursetlesto rzdescoue rtes	-|---|-|--|--⌫-|-------⌫---|
porteseren t	-----|----⌫|
ansin denuizcommedeiorz	----|-|---|----|-|---|
molins nimostne n	-----|||---|-||
icuistfors	|----|---|
an nulleudetotlochast el	-|--|--|-|--|-|-----⌫-|
n eniauoi t pain negastel	-⌫|||----⌫|---|-|-----|
n erie nnulequifust a uandre	-⌫|---⌫|---|--|---||-----|
donlanpoist	--|--|----|
zz denierpanre	-|-----|----|
ansin troualo chastelga ste	----|----|-|------|--⌫--|
quilnitrou anepai n	-|-|||----⌫|-|---⌫|
ne uinnesidre ne	-|--|-|----|-|
uersz zpalaisc ouert	---|-⌫|-----|-⌫----|
yysergentmen é	-|------|---⌫-|
etdescenduetdesarmé	-|-------|-|-------|
zzuall ez auale	-|----⌫-|----|
parlesd eg rez iusde	--|--|-⌫--⌫--|--|-|
quiaportoitzz	--|-------|-|
mant elgris	----⌫-|---|
au col au cheualier l amis	-|--|-|--------|||--|
et s oncheual ontestablé	-|-⌫-|-----|--|-------|
enlestableoilnauoitble	-||------||-||----|--|
nefainnefuer reseponon	-|---|-|----⌫-|-|-|--|
carilnes toitenlamaison	--|-||--⌫---|-|-|-----|
liaut r e deuantes	-|---⌫-⌫|-----|-|
parl esdegr e zmon teramont	--|-⌫-|----⌫-⌫|---⌫--|----|
sal equimout fu bele	---⌫|--|---|-|---|
duiprodom e etu ne	--|------⌫|-|-⌫-|
liso ntal encont re	-|--⌫-|||------⌫-|
lip rodome estoientche nu	-|-⌫-----|-------|---⌫-|
non pass i	--|--|-⌫|
que tuitfusent	--|---|-----|
de belaageotoutlors anc	-|--|---||---|--|-⌫--|
eta to ut elor f orcefusent	-||--⌫--⌫|--|-⌫---|-----|
s anuietpessance naus ent	|---|-|-------||---⌫--|
et la pucele uint	-|-|-----|---|
p luscointe	-⌫--|-----|
p lusace smeeet p l usio inte	-⌫--|---⌫---|-|-⌫-⌫-|--⌫---|
queesp eruiersnepapegua uz	--|---⌫------|-|-------⌫-|
sesmantesfuetsesbliauz	--|-----|-|-|--|-----|
dune por preuoireestelee	|--|---⌫--|----|------|
dornen estoitmiep ele e	|-|-||-----|--|-⌫---⌫|
l apane qui d erminefu	-⌫|---|--||-----|-|
d unsebelin uoiretchenu	|-|------|---|-|----|
fuli mantesaucolorllez	-|-|-----|-|--|-----|
estoittroplon z ne troplez	-----|---|---⌫|-|---|--|
ie onquesfisd eu i se	-|-----|--|-⌫--⌫-⌫-|
en bia uteque de x austmise	-|---⌫--|--|--⌫|---|---|
defa meneenface	-|--⌫-|-|-|---|
orme replaistque	-|-|-------|--|
un eenface	--⌫|-|---|
nemantire demot	-|------|-|--|
desliee fuetsiot	------|-|-|-|-|
lesch euox te xs estrepois t	--|--⌫---|--⌫||----|----⌫|
quebiencuidastquil	--|---|------|---|
queilfusent	--|-|-----|
tuit definor	---|-|--|-|
tante stoientlu isante t sor	---|-⌫------|--⌫----|-⌫|--|
lofrontotb lance thaut	-|----|-|-⌫---|-⌫|---|
tesco nsefustourez	--|--⌫|-|---|----|
etquede maindome ourezf ust	-|--|-|---||--|----|-⌫--|
de pi erre oudiuoire	-|--⌫---|-||-----|
lessorcisbr uns	--|-----|--⌫--|
etl argea ntroil	-|-⌫---|-⌫-----|
an latestefu rentli oil	-|-|----|--⌫---|-|--|
rientetuair cler etfandu	----|-|---|---|-|----|
e tmielzauenoit an	-⌫|----|------|-|
l i uer maus	-⌫|---⌫---|
sorle b lanc assis	--|-|-⌫---|----|
quelisinopl essorl argent	--|-|------⌫-|--||-----|
poranbl ersan etcuer	--|----⌫-|--|-|---|
fist dexanl i	---|--|-|-⌫|
passem erueille	------⌫-------|
no nquespuis nefi stsa paroille	|-⌫----|---|-|--⌫-|-|-------|
ne deuantcef ai te	-|-----|-|-⌫--⌫-|
etquant licheualiers la uoit	-|----|-|---------|-|---|
sila salueet	-|-|----|-|
etliche ualier samed u i	-|-|---⌫------⌫|----⌫-⌫|
etla d amoiseleloprant	-|-|-⌫-------|-|----|
parla main	--|-|---|
debonair emant	--------⌫----|
et ditbiaussire	-|--|----|---|
u ost reostex	-⌫---⌫-|----|
ie rtmiesen pres	--⌫-|--|---⌫---|
com ap rodomecou enroit	--||-⌫-----|---⌫-----|
seie u o s disoi e or andro it	-|-|-⌫-⌫|-----⌫|--⌫-----⌫-|
totuostrecoueigne et uostreest re	--|-----|-------|-|-----|---⌫-|
uos cu idereie z	--|--⌫-------⌫|
puetce estre	---|-|----|
que dema l ue istie	--|-|--⌫-⌫--⌫----|
porcequ aler	--|-|-|---|
mai sse uo splai stor	---⌫|-|--⌫|----⌫-|-|
lostel t el	|----|-⌫-|
com ile st pren e z	--|-|-⌫-|----⌫-⌫|
etdexuosdoin tme illor demain	-|--|--|----⌫|--⌫----|-----|
ansinl e nmainemain a	----||-⌫-----|---||
iusquanzzchanbre celee	----|-|-|------|----|
quimoutf u beleetg ranze tlee	--|---|-⌫|---|-|-⌫---|-⌫|--|
sorunecou tedesamit	--|--|---⌫-|-|----|
quifu estandue enzzlit	--|-|-------|-|-|--|
seso nta nduilei enzassis	-|--⌫-|-⌫---|---⌫--|----|
cheualieryy	--------|-|
u indrentl eianzet si	-⌫------|-⌫----|-|-|
s asistrent	|--------|
par tr opeauxet mot ned istrent	--|--⌫-----|-|--|-|-⌫------|
quil uirent celuiqui	-|-|-----|----|--|
delezlad ameet m ot ne dist	----|-|-⌫--|-|-⌫-|-|---|
porcedeparler se	--|-|-|-----|-|
q uedochastili soue n oit	-⌫-|-|-----|-|----⌫-⌫--|
q ueliprodom liauoitfait	-⌫-|-|-----|-|----|---|
tenoien t antres gra nt pla it	-------⌫|---|-|---⌫-|---⌫-|
tuitlicheualier	---|-|--------|
d exditliunsmoutmemeruoil	-⌫-|--|-|--|---|-|------|
seci stcheualiers estmuaux	-|--⌫-|---------|--|----|
gr a nz diausseroit co nques plu s	--⌫-⌫-|----|-----||-⌫----|---⌫|
cheualier sne funezde fame	---------⌫|-|-|--|-|---|
mout auient	---|-----|
bien delez	---|----|
etma dam e	-|-|---⌫|
assezde lezlui	----|--⌫--|--|
ne fusi entmuela ndui	-|----⌫--|---|-⌫---|
t ante st cistbiaxetcele be le	-⌫--|-⌫-|---|---|-|---|--⌫-|
conquesc heualiersnepucele	|-----|-⌫--------|-|-----|
si biennauin rentmesensanble	-|---||----⌫---|--|-------|
etdel un etdelautresa nble	-|-||-|-|-||----|--⌫---|
lunet l autre feist	|-|-||----|----|
po rce qu ensan ble	--⌫|-|-|-----⌫--|
an sind esyyquise taiso ient	--⌫--|-⌫-|-|--|-|-----⌫---|
trestuitgra n t	-------|---⌫-⌫|
parole teno ient	-----|----⌫---|
et ladamoiselecuidoit	-|-|--------|------|
quelarai gnast de quequesoi t	--||----⌫----|-|-----|---⌫|
tant quele uit tresbien ets ot	----⌫-|--|--|---|---|-|-⌫-|
que ilnelidiroit ia mot	--|-|-|-|-----|-|--|
selenelaraignoitau a nt	|--|-||--------|--⌫-⌫-|
moutdebonairemant	---|------------|
uen istesu o s hui	---⌫----|-⌫-⌫|--|
damoiselefaitil ie fui	--------|---|-|-|--|
ch ieszz pr odom ea zz	--⌫--|-|--⌫----⌫||-|
ouioiostelet bon etbel	-||-|----|-|--|-|--|
y ytorzforsetes l ites	-⌫|---|---|-|--⌫-⌫---|
u ne gr antetyy p et ites	-⌫-|--⌫--|-|-|-⌫--⌫---|
nesaito uteloure aconter	-|--|--⌫--||---|------|
nelo cha st elnes ai no mer	-|-|---⌫--⌫-|-|-⌫-|--⌫--|
maisi e sai b i en queliprodom	---|-⌫|--|-⌫-⌫-|--|-|-----|
gorn emantde goort ai	----⌫----|-|----|-|
habia usa misfait lapucele	-|---⌫-|-⌫--|---|-|-----|
uost repar olebele	----⌫-|---⌫--|---|
et m ou tauezditque	-|-⌫--⌫|---|--|--|
gre uosensaich edex	--|--|-|-----⌫|--|
quantuosprodomel apelastes	----|--|------||--------|
onques plu suoir mes	-----|---⌫|---|--|
nenparlast es	|-|-------⌫-|
saintrichi er	----|-----⌫-|
osiebienafic hier	-|-|---|----⌫---|
etsa chiez queiesuisan iece	-|--⌫----|--|-|--|-|-⌫---|
maisieno ui mout agrantpiece	---|-|||-|---||----|----|
et certes puisque u os meust es	-|-----|------|-⌫-|-----⌫-|
de uostreostelne coneustes	-|-----|----|-|--------|
p lusprodomemien esciant	-⌫--|------|---|------|
osteletbiau	----|-|---|
uosfistcaril	--|---|--|-|
loset bien	-|--|---|
commeprodometdebonaire	----|-----|-|--------|
puisanze t aasiez e triches	------|-⌫|-----|-⌫|-----|
mais c eianz nai l	---|-⌫----|||-⌫|
quey ymiches	--|-⌫|-----|
c uns miensonclesquies t	|--|----|-----|--|--⌫|
mout sainze t	---|----|-⌫|
moutreligi eu s	---|------⌫--⌫|
manuoiapor	|-----|--|
sop eranui t	---⌫-|----⌫|
etzz bocel plai nde uincuit	-|-|----|----⌫|-|--|---|
de uitaillena	-|-------|||
plusceianz	---|-----|
forscu ncheuroilcuns	----|-⌫|-------||--|
mi enssergens	--⌫--|------|
