COUS T UMES	----⌫-⌫---|
li chastel de	-|------|-|
Lomba rdie f urentalempereeur de	-----⌫---|-⌫----|||--------|-|
Rome ensondemaine	---|-|--|------|
o u tenues de lui	-⌫|-----|-|--|
etauo itsesbail l issespreuoset	-|---⌫-|--|----⌫-⌫-|--|-----|-|
sesseria n spartouteslesuil es quiiusti çoien tet	--|-----⌫-⌫|--|-----|--|---⌫-|--|-----⌫------⌫|-|
g ard oie ntlesd r oislempe reeu ret	-⌫---⌫---⌫-|--|-⌫-⌫--||----⌫----⌫|-|
auo iente stépardeuanttuitli	---⌫---|-⌫---|--|-----|---|-|
Lombart mouto beïssantale mpereeurcomme a leur	------|---|-⌫--------|||-⌫-------|----||---|
Or auintquenlunedesbonnes	-|----|-|-||--|--|-----|
uiles auoit.	----|----||
III. riches	---|-----|
Lombarsaqui	------||--|
libaillis n auoitpasfetleuruo lent é s	-|------||----|--|--|---|--⌫----⌫--⌫|
ainsauoitfe t pendre unle urparentpoursadeserte	---|----|--⌫|-----|-|--⌫-|-----|---|-|------|
dei ustice .	-|-⌫-----||
Lombartenfurent meu	------|-|-----|--|
pa r ma uuese	--⌫|--⌫----|
cause etpou rchaci erent	----|-|---⌫------⌫----|
malicieusement u n hommes out il ma licieus	-------------|-⌫|----|-⌫---⌫-|--⌫------|
etbien parlan t.	-|---|------⌫||
Cilp arlenor temen t dec eusse	--|-⌫-||----⌫-----⌫|-|-⌫--|-|
mis ten ta pina g ee tala	---⌫|-|--⌫----⌫-⌫|-⌫|--|
partoutesles b onnesuiles	--|-----|--|-⌫----|----|
Lombard ieetquantil	-------⌫-|-|----|-|
uenoitenuneuileilenq ueroit .X.ou.	-----|-|--|---|-|---⌫-----|--|-||
XII.d esplus forsd e lignage etd	---|-⌫-|---|---|-⌫|------|-||
auoiret puisparloita chascuna	----|-|---|------||------||
parsoiet leurd isoitqueles	--|--|-|---|-⌫----|--|--|
au tres bonnes uiless	--⌫---|-----|----||
e stoi entacorde es priueem entqueles ne	-⌫----⌫--|------⌫-|-------⌫--|-|---|-|
uouloie ntplusestre	-------⌫-|---|----|
enobeïssancede	-|----------|-|
seigneuret q uelauilequi	-------|-|-⌫-|-|---|--|
ia corderoitseroit destruite par lesautres	|-⌫--------|-----|--------|--|--|-----|
bonn esuile setse roit chascun e	----⌫-|----⌫|-|--⌫---|-------⌫|
bonne uile dam e	----|---|---⌫|
desoi sans	-|--|---|
Tan t fist	---⌫|---|
et ta ntpo urch a c ̧a c ilmessagesquilmist .u.ans	-|--⌫-|--⌫----⌫-⌫-⌫-|-⌫-|-------|-|-|---|--|--|
aupourc hacie r	-|-----⌫-----⌫|
queauc hiefde.u.anneesen un	--|-|-⌫---|-|--|-----|-|-|
seulioureten	---|---|-|-|
une euretoutesles	--|---|-----|--|
Lombardiecouru rent	--------|-----⌫---|
sus ace usquiestoient al empereeu r	--||--⌫-|--|-------|||--------⌫|
etl espristrentcomme ceusquines e n	-|-⌫-|--------|----|---|--|-||-⌫|
d onnoientgarde .	-⌫-------|----||
illese urent	-|--|-⌫----|
p risil leurc ouper ent lestestesa	-⌫--|-|---|-⌫-----⌫--|--|-----||
puis es tabl irentenleurui lest eus	---|--⌫----⌫----|-|---|--⌫--|-⌫--|
loisette us coustumes commeil leurpleutne onqu es	---|-|--⌫-|--------|----|-|---|----|-|----⌫-|
puisne trouu e ren t	---|-|-----⌫-⌫---⌫|
empere eurquicelfetueniastneadreçast	------⌫--|--|--|--|------|-|--------|
Etpa rcepouésuo us	-|--⌫|-|-----|--⌫-|
ent endreque	---⌫----|--|
c es t gr ans	|--⌫|--⌫--|
periusatousseigneursdesoufri r	-----||---|--------|-|------⌫|
t eusalianc esent resessougièsain s do iuenttous iours	-⌫--|------⌫-|---⌫-|--|-------|---⌫|--⌫----|---|----|
courreaudeuantsitost commeil s	-----|-|-----|-|---|----|-||
enpueenta perceuoiretfereuenianceseloncl e	-|-----|-⌫--------|-|---|-------|-----|-⌫|
mesfetsicommeiai	-----|-|----||-|
dit dess us.	--|----⌫-||
Grans mesfe ̀sestdautruimetrea	----|-----⌫-|--||-----|----||
mor t donquesdoi t	---⌫|------|---⌫|
e strelaiusticeaspr e etcr u eus	-⌫---|-|------|----⌫|-|--⌫-⌫--|
co mmedetr aineretde	--⌫--|-|--⌫----|-|-|
pendre cel uiq uile	-----|---⌫-|-⌫-|-|
Nepourquantlen puet	----------||-|---|
bienmetrea mor tautrui	---|----||---⌫|-----|
en tel maniere	-|--|------|
quelenn en	--||-||-|
pertn eu ie n emembre ne lesie n	---|-⌫|-⌫-|-⌫|-----|-|-|---⌫|
en deuxm aniere sla premiere s i	-|---|-⌫------⌫|-|-------|-⌫|
est quant guerr e	--|----|-----⌫|
estaouuerte c ont regentiusho mm eset aucuns	--|-------|-⌫---⌫-|------|--⌫--⌫-|-|-----|
ocistson ane mihors	----|--|---⌫-|---|
detriuesetd	-|-----|-||
asseurementla secondemanie resi	----------|-|------|-----⌫-|-|
est detuerautruise ursoidef end ant	--|-|---|-----|--⌫-|--|---⌫---⌫--|
M etreautrui	-⌫---|-----|
amortseursoidef e ndant	|---|---|--|---⌫-⌫----|
aucunsne sedonne gardeque	-----|-|-|----|----|--|
l enl edoieas saill iret l en	|-|-⌫|---|--⌫-----⌫-|-||-|
l as sau tparhaineou	|--⌫---⌫|--|----|-|
pourli r obero ua la requ e sted autrui	---|-|-⌫---|-⌫||-|----⌫-⌫--||-----|
parlou ier.	--|---⌫--||
man iereestassaillis	---⌫---|--|--------|
uoitq uilgietentalui sans	---|-⌫|-|------||--|---|
mer ci cousqui portentperilde	---⌫-|---|--|------|----|-|
mortetestsiap re ssés	---|-|--|-|--⌫--⌫----|
quilnese p uetmetr ea garant	-|-|-|-|-⌫--|----⌫||-----|
il li loit a soidefend re	-|-|---||--|------⌫-|
ets il e nso i defendant	-||-|-⌫|--⌫|--------|
en metaucuna morton	-|--|----||---|-|
ne lendoitriensde mander	-||-|---|----|--⌫-----|
caril le fet	--|-|-|--|
pourl a mort eschiuer	---|-⌫|---|-------|
estapelés e niu gemen tseurcele	--|------|-⌫|--⌫-----⌫|---|---|
occisionilpu et	-------|-|--⌫-|
bie nueni r	---⌫|----⌫|
auant et atend redroitm esquil p uistbienest re	----|-|-----⌫-|----|-⌫-|-|-|-⌫---|---|---⌫-|
prouué qu illefist	------|-|-|-|---|
seur soidefendant	---|--|--------|
s i commeilestdit dessus .	-⌫|----|-|--|--|-----||
Quantunshons e st assaillis	----|--|---|-⌫-|--------|
en ch a ude melleedepoins	-|--⌫-⌫--|-----|-|----|
etdepiés tantseulementsa nsarm eu re don tlen	-|-|----|---|--------|--⌫-|---⌫--⌫-|---⌫||-|
pu istmetreamo rt	--⌫--|----||--⌫-|
et cil qu elenbat p our soi	-|--|--⌫||-|--|-⌫--|--|
defendretretaucunearmeure et	-------|---|-----|------|-|
enmeta ucunamortdeceus quil assaillirent	-|--|-⌫---||---|-|---|--||-----------|
a pas bonne	|--|----|
resondedir e quillocistseur	----|-|---⌫|-|-||----|---|
soide f end a ntc arilne	--|--⌫-⌫---⌫-⌫-|-⌫-|-|-|
li loi soi tas oidefendr e que	-|---⌫---⌫||-⌫-|-------⌫|--|
de poinsetdepiésp uis qu il	-|----|-|-|----|-⌫--|-|-|
nestoitas saillis darmeu re	|-----|--⌫------||-----⌫-|
dont ilne pouoitestretres	---|-|-|-----|----|---|
Donquesquiautruimetainsiamortildoi testre	------|--|-----|--|----||---|-|---⌫|----|
iusticiés.	---------||
Quiamesure	--|------|
s ons o ug ietpoura uoiramendesdepl useurscasli	-⌫-|-⌫-⌫--⌫--|---|-⌫---|------|-|--⌫-----|--|-|
sougiet sepasse nt pa r leur	------|-|-----⌫-|--⌫|---|
s erement quilen ontbien fet	-⌫------|-|-|-|--|---|--|
cequil doiuen tet orrés	-|-|-|------⌫|-|-----|
lescases queus	--|--|-|----|
il sep ueen t p a ss erpar leur	-|-|-⌫----⌫|-⌫-⌫--⌫-|--|---|
s erement.	-⌫------||
L ipre mi erscassiest quant aucunsqui	-⌫|---⌫--⌫--|--|-|--|----|-----|--|
atrauers metsus	|------|--|--|
aaucun qu il enasontrauers porté	|----|-|-|-||--|------|-----|
Se ci laquiil lemet	-|--⌫||--|-|-|--|
susueutdireq uilenabien	--|---|---|-⌫|-|-||---|
dutparson serementil	--|--|--|-------|-|
senpass equites etdeliures	|-|----⌫|-----|-|-------|
mesbiense gart	--|---|-|---|
qu i lnent ree nco nnoissanc eneennianceains	-|-⌫||---⌫-|-⌫|--⌫---------⌫|-|-|-----|---|
son se rementcar ila u roit	--|--⌫-----|--|-|-⌫-⌫---|
a usere mentrenonciésicomm e si ldisoit I	-⌫|----⌫---|--------|-|----⌫||-⌫|-----||
aipaiémon trauersou	-|----|--|------|-|
Ie ne doipoint	-|-|--|----|
Ienecuidoiepasde uoirtraue rs	-|-|------|--|--⌫---|-----⌫-|
.S il disoit uned e	||-|-----|--|-⌫|
ceschosesilneu enroi tpasapre ̀sau	--|-----|-|-|-⌫-----⌫|--|----⌫-|-|
serementcar sildisoitI	-------|--||-|-----||
aipaiémo ntr auers et	-|----|--⌫|--⌫----|-|
onli nioitil conuenroi t qu	-|-|----|-|---------⌫|-|
il lemoustrastpar p r ueues	-|-|--------|--|-⌫-⌫----|
Ie ne do i p oint de trauers il	-|-|--⌫|-⌫---|-|------|-|
co nue nroitqui l d eïstreson p ou rquoietqu	--⌫---⌫----|-|-⌫|-⌫----|----|-⌫--⌫|---|-|-|
res onenuoirs eleli estoit	---⌫-|-|---||--|-|-----|
Mesi lpourroi tdi retel	--|-⌫|-------⌫|--⌫-|--|
il en seroi tcreu sp arsafoi si	-|-|-----⌫|----⌫|-⌫-|-|--|-|
comme s ildisoit	----||-|-----|
Ie sui clersou	-|--|----|-|
Ces denrees	--|------|
sont aclerc-oua	---||----||-||
gentilho mmeou aper sone p riuileg iee	-----|--⌫--|-||---⌫---|-⌫-------⌫--|
- et so nt pourleur user	|-|--⌫-|---|---|---|
de teusresonsseroit	-|---|-----|-----|
li acuséscreuspars a foi.	-|------|----|--|-⌫|--||
Ienencuidoie poin tdeu oirdetr auers	-||-|------|----⌫|---⌫--|-|--⌫----|
il re noncea us erement etsidoit	-|--⌫----|-⌫|-⌫------|-|-|---|
paierletrauer s et lam ende car	----|-|------⌫|-||--⌫---|--|
sescu id ier s	--|--⌫--⌫---⌫|
nelescuse pasdumesfe tcarc ha scunsquim ene	-||-----|--|-|-----⌫|--|-⌫--⌫----|--|-⌫--|
marcheandisedoitenquerrelescoust umesdes	-----------|---|-------|--|-----⌫---|--|
lieusparla ou	----|--|-|-|
il passesiqu	-|----|-|-|
ilpuistpaier ce qu il	-|----|----|-|-|-|
doit sa n senporterledroitd es s eigneu rs.	---|--⌫-⌫|-|-----|-|----|-⌫-|-⌫------⌫-||
negen tiushonsnedoiuentpointde	-|---⌫---|---|-|------|----|-|
trauersdechose	------|-|----|
qu il achate ntpo urle ur user	-|-|------⌫-|--⌫-|--⌫-|---|
nedechose qu	-|-|----|-|
iluendentquisoitcreue enleureritag es.	-|------|--|---|----|-|---|------⌫-||
Messilachetoientpour	--||-|---------|---|
reuendresicommea utre marc heantilc o nuenroitque	-------|-|----|-⌫---|----⌫----|-|-⌫-⌫-------|--|
lesden reess	--|---⌫---||
aquita ssen tdutrauerset d eschauc ieese t	------⌫----⌫|-|------|-|-⌫-|-----⌫---|-⌫|
des tonlieuse nla mani ereque lesdenr eesdesmarche ans	--|-------|-⌫|-|----⌫--|--|--|----⌫--|--|------⌫--|
s aquit ent .	|-----⌫--||
Etcequeiaidit de s	-|-|--||-|--|--⌫|
trau ersi e nte ntdetout esmanieresdepaag es	----⌫--||-⌫---⌫-|-|----⌫-|-------|-|----⌫-|
etde tonlieuscar to ut soit	-|-|-------|--|--⌫-|---|
reç o ite sn e soien tpasonni es	----⌫-⌫---⌫|-⌫|-----⌫|--|----⌫-|
nep ourquant toutes manieresderedeuancesdoiuen tes tre	---⌫-------|-----|-------|-|---------|------⌫|--⌫--|
deme nee s selonclacoustu medessusditefors	----⌫---⌫|-----|-|------⌫-|-----|---|---|
entantque quien portet rauerset	-|---|--|--|-|----|-⌫-----|-|
enest atains l amendeestde .	-|--|-----||-----|--|-||
du trauersrendreetquien portesontonlieuou	-|------|-----|-|--|-|----|--|------|-|
sacha ucieel a mendees tde	-|---⌫----||-⌫----|--⌫|-|
Lis econsca sdon tliacusésse passe p ar	-|-⌫----|--⌫|---⌫|-|------|-|----|-⌫-|
sonserementsiestquant	--|-------|-|--|----|
aucunssires acus e sontenant quil neli a	-----|----|----⌫|--|-----|-|-|-|-||
pas p aié	--|-⌫---|
soncensaiour.	--|---||---||
En celcassel	-|--|--|-||
ac usésueutdirequi len	--⌫----|---|---|-|-⌫|-|
a bie n fetcequildutilsen	|---⌫|--|-|-|-|--|-||-|
passe p arsonsereme nt.	----|-⌫-|--|------⌫-||
segartquiln entre en connoissancene	-|---|-|-||----|-|-----------|-|
enniance carilrenonce roit	-|-----|--|-|-------⌫---|
ause reme nt sicommei ai	-|--⌫----⌫-|-|----||-|
ditdessusde ce us qui sontacuséd etraue rsen	--|-----|-|--⌫-|--|---|-----|-⌫|-----⌫-|-|
Litiers casdontlacusés se passepar	-|----|--|---||------|-|----|--|
son sereme n tsi e s t quantauc unssires	--|------⌫-⌫|-|-⌫-⌫|----|---⌫--|----|
acusesontenantquil	----|--|-----|-|-|
neliapaspai échampartsi comme	-|-||--|---⌫-|-------|-|----|
Se lacu sés	-||---⌫---|
ueutdireq uilen a	---|---|-⌫|-|-||
bienfetce qu	---|--|-|-|
i l dut parsonserementilse n	-⌫|--|--|--|-------|-||-⌫|
passe sille	----||-|-|
lamani ere quei aidit des	-|----⌫--|--||-|--|--|
au trescasdessussa nsentrerenconno issance	--⌫---|--|-----|--⌫-|-----|-|-----⌫------|
ne en nian ceetsansal liguieraut rereson que	-|-|----⌫-|-|---|--⌫------|---⌫-|----|--|
leserement .	-|-------||
E t a usside	-⌫|-⌫---|-|
toutesre ntesdeues	-----|--⌫---|----|
qui renouuel entchasc unansepa sse	--|--------⌫--|-----⌫-|-|-|--⌫--|
lacusésparson seremen t	|------|--|--|-------⌫|
quil enabien	-|-|-||---|
fet ceq uildut	--|-|-⌫|-|--|
Mesquantils en estpassés	--|----|-||-|--|------|
un efois pa rsonseremen t de	--⌫|---|--⌫|--|-------⌫|-|
celuic asdont il s est passésil	----|-⌫-|---|-||--|------|-|
puetpaspasser	---|--|-----|
fois carsils en	---|--||-||-|
passoittous iour sliseigneurenp ourroient	------|---|----⌫|-|-------|-|-⌫--------|
estr e moutd amagié	----⌫|---|-⌫------|
parlestricheeurs q uimetr oient p oi	--|--|---------|-⌫-|----⌫----|-⌫-|
aauspariurerpourestre quitede	|--|-------|---|----|----|-|
l eurredeuanceset de	-⌫--|---------|-|-|
leu rmesf ès .	---⌫|----⌫--||
c ha mpartaaun sient enant une piece de ter r e	-⌫--⌫-----||-|---|-⌫----|--|----|-|---⌫-⌫|
etco mmandaa	-|--⌫-----||
son tenantquilli amenast.	--|-----|-|-|-|------||
XXX. gerb esquil	---|----⌫-|-|-|
iauoitd e champartcarde d roit commun	|----|-⌫|-------|--|-|-⌫---|-----|
c h a scunsest te nusa	-⌫-⌫-⌫----|--|--⌫--||
amenerlechampartdeson seigneur	-----|-|-------|-|--|-------|
to u t auant que lerema nantet li tenansc ha ria	--⌫-⌫|----|--|-|----⌫---|-|-|-----|-⌫--⌫--|
les gerbesd essusdites	--|-----|-⌫----|----|
etl es men aenla grange	-|-⌫-|---⌫|-|-|-----|
Etquan tillesco ntailn i en	-|----⌫|-|--|--⌫--|-|||-|
trouuaque .	-----|--||
XX IX.e tquantl itenansu it ce ildista	--⌫--|-⌫|----|-⌫|-----|-⌫-|-|-|---||
Pierres onseigne ur	-----|-⌫-|------⌫-|
Sireilme faut une gerbe	---|-|-|---|--|----|
deuo stredr oit.	-|--⌫---|--⌫--||
selem estcheue ouelem e stmescontee	|--||--|----|-|--||-⌫-|--------|
me sie la uoisq uer reetleraicimes cheuaus	--⌫|-|-|---|-⌫---⌫-|-|----|-|--|------|
et macha retedu sques at ant	-|-|---⌫---|--⌫----||-⌫--|
queielaurai	--|-||----|
rapo rtee .A	----⌫---|||
c erespondi	-⌫|-------|
Pierres quilnele uouloit pasainçoisuou loit	------|-|-|-|-|------|--|-------|---⌫---|
quilliamen dast c equilneli	-|-|-|----⌫---|-⌫|-|-|-|-|
champart sico mm eil deuoitetcommei l	-------|-|--⌫--⌫|-|-----|-|----|-⌫|
liauoitcommandé.	-|----|--------||
Et seur cesemistrent	-|---|-|-|-------|
endroitasau oirmons	-|----||---⌫--|--||
il iauoitamendeencel c as	-||----|-----|-|--|-⌫-|
Ilfuiugiéquiln	-|-|-----|-|-||
i auoitpoint damende	|----|----||-----|
par la res on dece queli	--|-|---⌫-|-|-|--|-|
tena nsmei smes	----⌫-|---⌫---|
sacusa a uantquil sedepartisi st de lag r ange	|----|-⌫---|-|-|-|---------⌫-|-|-|-⌫-⌫---|
etuoulo italer	-|-----⌫-|---|
que rre la gerbe a inçoisqu il	---⌫--|-|----|-⌫------|-|-|
en men astsescheuaus nesac harete.	-|---⌫--|--|------|-|-|-⌫-----||
litenansen eust m enés ses	-|-----|-|---|-⌫----|--|
cheuausetsa charetehors de l a	------|-|-|------|---|-|-⌫|
gra ng esans soi acuse r etsansl econgiédu seigneur	---⌫--⌫|---|--|-----⌫|-|---|-⌫|------|-|-------|
lamende ifu st	|-----||--⌫-|
E tparcepueto n en tend reque les amendessont	-⌫|--|-|---|-⌫|--⌫----⌫-|--|--|------|---|
establiespourcequelen	--------|---|-|--||-|
s egartdemesferepourpaourdauo irda m a ge	-⌫|---|-|------|---|----||---⌫-|--⌫-⌫-⌫-|
mescil napas tres bonneconscience	--|--|||--|---|----|---------|
quilieu e a mende decho se quine s t	--|----⌫|-⌫----|-|---⌫-|--||-⌫-⌫|
pasfetemalicieus ement toutsoitcequ o n	--|---|---------⌫----|---|---|-|-|-⌫|
p ue tleu erpar	-⌫--⌫|---⌫-|--|
lacoustu me enpl useursca s .	-|------⌫-|-|--⌫-----|--⌫||
Pie rressiarestalesdenreesde	---⌫---|-|-----|--|------|-|
Ie hanpour c e qu illimetoits usqu il	--⌫--|---|-⌫|-|-|-|-----|-⌫-|-|-|
en portoitsontrau ers .A	-|------|--|----⌫--|||
cerespo ndi	-|-----⌫--|
Ie hans quil	--⌫---|-|-|
lauoitpaiéaunsienseriant	|----|----||-|---|------|
etlenommaetap rès	-|-|----|-|--⌫---|
Pierresl i eut niéilsen	------|-⌫|--|---|-||-|
uoutpasserp arson serem ent.	---|-----|-⌫-|--|-----⌫--||
Et seur ce semistrent	-|---|-|-|-------|
en droita sauoirse	-|----||-----|-|
Iehansauo itrenonc i éau sere mentpou r cequil	-----|---⌫-|------⌫-⌫-|-|----⌫---|---⌫|-|-|-|
auoitditquillauoitpai é.	----|--|-|-||----|---⌫-||
I lfuiugié	-⌫|-|-----|
senpasseroi tpaspar sonse rementainsconuenroitqu	|-|--------⌫|--|--|--|--⌫-----|---|---------|-|
ilprouu ast le	-|-----⌫--|-|
paiementparp rueues .	-------|--|-⌫-----||
Etpa rceliugement pue t on entendre que qui se	-|--⌫|--|-------|---⌫|-|-------|--|--|-|
ueut pas ser parsere m entdesamesuresd ont l en	---|---⌫--|--|----⌫-⌫--|--|-------|-⌫--||-|
sepuet passer	-|---|-----|
parcous tu me l en	--|----⌫--⌫-||-|
doitdiretoutsimplementI	---|---|---|---------||
enaibien fetce	-|-|---|--|-|
queiedu ietado nquesil	--|-|--⌫|-|---⌫----|-|
s enpasse unefoi ssi co mme	|-|----|--|---⌫|-|--⌫--|
iaidi t des sus .	|-|--⌫|---⌫--||
Iehanssi auo ient	-----|-|---⌫---|
enungran t	-|-|----⌫|
terroirlec h a mpart laou ilau oi tmoutdete nans	------|-|-⌫-⌫-⌫----|-|-|-|--⌫--⌫|---|-|--⌫---|
Etde silonctanscomme il pouoitsou ueni r	-|-|-|---|---|----|-|-----|---⌫----⌫|
lit enantauoientmené	-|-⌫----|------|----|
le champart d eces l ieusen unegrangee t	-|-------|-⌫|--|-⌫---|-|--|-----|-⌫|
la partissoient	-|-----------|
I ehanssi c ommeil sacordoientmoitiéa	-⌫----|-|-⌫---|-||---------|------||
Pu i sauint	--⌫-⌫|----|
Pierresneuoutpasquelitenantde	------|-|---|--|--|-|-----|-|
cesli eusmenassentpluss a moitiédes	--|--⌫--|--------|---|-⌫|------|--|
champars oulieu la ou	-------|-|---|-|-|
il auoient tousioursmené ai nc ̧ois uouloit qu il	-|------|---|----|----|--⌫--⌫---|------|-|-|
lamena ssent	-|----⌫----|
enune mes onquilau o itho rsdute rroir et	-|--|---⌫-|-|-|--⌫-⌫-|--⌫-|-|--⌫----|-|
horsdu fief	---|-|---|
dontl i c h ampartmouuoi ent. Acer espondirent li	---|-⌫|-⌫-⌫-----|------⌫--|||-|-⌫----------|-|
tenantquilneuou loient pas estretenu	-----|-|-|-|---⌫-----|--|----|---|
acefere ne mene rneleuouloientf ors	|-|---|-|----⌫|-|-|--------|-⌫--|
ainsicommei lauoientacoustu méameneretseli	----|----|-⌫|------|-------⌫--||----|-|-|-|
Pi erres neuouloitpas qu on menastplus	--⌫----|-|------|--|-|-|-----|---|
encelli eu	-|--|--⌫-|
ille menroient	-|-|--------|
quelpart que	---|---|--|
Pierresuourroitout e rroirduqu ellichampartsontt enu	------|-------|-|-⌫-⌫----|----⌫-|-|-------|---|-⌫--|
iugi é quelihommenelemenroient pash o rsdu	----⌫-|--|-|----|-|-|--------|--|-⌫-⌫-|-|
t e rroiret quil offroient a sse ́ s.	-⌫-⌫----|-|-|-|--------|-⌫---⌫-⌫||
Liquarscas duquell ia ccuse ́ss e	-|----|--|-|---|-⌫|-⌫-----⌫-|-⌫|
passepa r sonsereme ntsiestquantlisires	----|--⌫|--|------⌫-|-|--|----|-|----|
dem ande aucunedef a utedaio urnement	---⌫---|-----|---⌫-⌫--||---⌫-------|
etlaiournemensnefu pasf es a	-||----------|-|-|--|-⌫-||
sa persone ainçoisfu commandé	-|------|-------|-|--------|
as afame ou	|-⌫|---|-|
asamesnieou asuoisin s	|-|-----|-|-|------⌫|
d el aiourné quilli	-⌫||-------|-|-|-|
deïs sentquilfus tateliour pard euan t	-----⌫---|-|-|---⌫||--|---|--|-⌫----⌫|
sonse igneurselaiournés ueut	--|--⌫-----|-||--------|---|
iurerqui lne	----|-|-⌫|-|
lifu pasdit il sepassede ladefaute	-|-|--|--|-|-|----|-|-|------|
tantdefoiscommeilestainsi	---|-|---|----|-|--|----|
aiournés.	--------||
Mescomman der	--|------⌫--|
leurpuetli	---|---|-|
sir esquilmete n tteus ge nsenl eurosteusqui	---⌫-|-|-|----⌫-⌫|---|--⌫-|-|-⌫--|-----|--|
leur facentsauoir lesa iournemensetsil nele	---|-----|-----|--|-⌫---------|-||-|-|-|
f ontlisirespuetleuer	-⌫--|-|----|---|----|
d a u samendedecommandement tresp ass é .	|-⌫-⌫|-----|-|-----------|-----⌫---⌫-||
Et seliser i ant	-|-|-|---⌫-⌫--|
quiontpouoirdaiou rnerdient	--|--|-----||----⌫---|----|
serement qui l	-------|-|-⌫|
firentl aiournementasaper sonelai ourne ́ sest en	-----||----------||-|---⌫---||--⌫-----⌫-⌫|--|-|
la d efautenenes en p uete scuser parson	-|-⌫-----|-|-||-|-⌫--|-⌫-----|--|--|
s erement.	-⌫------||
Ettoutains i es til des	-|---|----⌫|--⌫|-|--|
gentiushommesquisont aiournépar per sparreson	------|-----|--|---|-------|--|---⌫|--|----|
defief se laiournemensestfes	-|---|-||----------|--|--|
asapersone il	|-|------|-|
puetescusermessilest fes en	---|------|--||-|--|--|-|
sonostel enlamanier ede ssusditeil sepasse	--|----|-|-|------⌫|--⌫---|---|-|-|----|
del adefautepar	-|-⌫|------|--|
sonserement.	--|-------||
Liquins casduquellacuse ́sse passe	-|----|--|-|---||-----⌫-|-|----|
parso nsere mentsi estquantli	--|--⌫|----⌫---|-|--|----|-|
sire smetsusaaucunq uill iasa	----⌫|--|--||----|-⌫|-|-⌫||-|
s aisine brisieeetlas aisi nefufete en	-⌫-----|------|-|-|-⌫----⌫-|-|---|-|
derrierede	-------|-|
celui quila brisa.	----|--|-|----||
Sel ac usés ueutiurerq uil	-||--⌫----|---|----|-⌫|-|
neseut motdel a saisineilse	-|---|--|-|-⌫|------|-|-|
lamendedes aisinebr isieem estoutes	|-----|-|-⌫-----|--⌫----|-⌫-|-----|
uoiesdoitille	----|---|-|-|
lieuresaisir .	---|-------||
Pierres pr opos a	------|--⌫----⌫|
Iehanqu il liauoitbrisiesa	----|-|-|-|----|-----|-|
saisi ne parq uoi il u oul oitquil res aisist	-----⌫-|--|-⌫--|-|-⌫---⌫--|-|-|---⌫-----|
et quill iamendastce q u	-|-|-|-⌫|-------|-|-⌫|
il li auoitsasaisine brisiee	-|-|----|-|------|------|
.Acerespondi	||-|-------|
Ieha nsquilnesauoitr iensde la	----⌫-|-|-|-|-----|-⌫---|-|-|
sais ine carele	----⌫--|--|--|
n efupa sfeteali neen	-⌫|-|--⌫|---||-|-|-|
sapr esenceetceuouloit i li u reretseur ce	-|--⌫-----|-|-|------|-⌫|-⌫-⌫--|-|---|-|
semistr ent	-|-----⌫--|
endroitsil se npasse roit	-|----||-||-⌫|-----⌫---|
parson serement.	--|--|-------||
iugiéq ue	-----|-⌫-|
Iehans sep a sseroitdel	-----|-|-⌫-⌫------|-||
a me ndede	-⌫--⌫--|-|
saisinebrisiee parsonserement	------|------|--|--|-------|
puis que la saisinenefu p as fetea	---|--|-|------|-|-|-⌫-|---||
li ne ensaprese nce mesil seroittenus	-|-|-|-|-----⌫--|--|-|-----|----|
a ulieur esaisir	-⌫|---|-⌫------|
etla resaisinefete	-|-|--------|---|
s illa bris oitpuisilcherro it en	|-|-|----⌫--|---|-|------⌫-|-|
lamendede saisinebris ieecaradonquesnese	|-----|-|------|----⌫--|--|-------|-|-|
pourroi t il escus erqu	-------⌫|-|-----⌫-|-|
il n eseutl a	-|-⌫|---|-⌫|
saisin equ antil	------⌫|--⌫--|-|
meismes auroitl elieuresaisi.	------|-----|-⌫|---|------||
Bien segartquifetaautrui dam agee n bles	---|-|---|--|--||-----|---⌫--|-⌫|---|
semés ou enm arsouenbois	-----|-|-|-⌫--|-|-|---|
o uenprésque cilq uiie stpris	-⌫|-|----|--|--|-⌫-||-⌫-|---|
damagefesans e sttenusarendretoutl e damagequi	-----|-----|-⌫-|----||-----|---|-⌫|-----|--|
estprouués parl ap arenc edu lie u	--|-------|--||--⌫-----⌫|-|---⌫|
toutsoitce quecil	---|---|-|--|--|
quiiestpr isnapas	--||--|--⌫-|||--|
fet t outle	--|-⌫--|-|
damageainçoisle firen t	-----|-------|-|-----⌫|
aut regentquin	---⌫-|---|--||
ifur entpas trou u e ́.	|---⌫--|--|----⌫-⌫-⌫||
Carse cilqu i iest	--|-|--|--⌫||--|
pris nere nd oi tquele	---|-|--⌫--⌫--⌫|--|-|
damagequ ilaf etpresentement	-----|-|-||-⌫-|-----------|
donques auroitil gra ntauantag ed	------|-----|-|---⌫-|-------⌫||
alerenmesfetquetoutesles foisquiln	---|-|-----|--|-----|--|---|-|-||
isero ittrouuésilser oit	|----⌫-|-------|-|---⌫--|
quite sdudama ge et	-----⌫|-|----⌫-|-|
ainsi po ur ro ie ntestremoutdebiens	----|--⌫--⌫--⌫--⌫-|----|---|-|----|
essillié .	--------||
Etpourceestbonne lacoustumequecil	-|---|-|--|----|-|-------|--|--|
quiiesttrouuésrende toutle damageet	--||--|-------|----|---|-|-----|-|
