misir e noblelilyons	-|---⌫|----|-|----|
co mbr unlio ursetyseng rin	--⌫|--⌫-|-|-⌫--|-|-----⌫--|
etcha ntec le rettie sselin	-|---⌫----⌫--⌫|-|---⌫-----|
et dame pinteetroeniaus	-|---|----|-|-------|
pour ren art	---|---⌫--|
fontlede s loiaux	---|-|--⌫-⌫-----|
liparentre nartontgranthonte	-|-----|--⌫---|--|----|----|
noblesn enueuloi rnulconte	-----||-|---|--⌫|--|----|
ainz commande queonlepende	---|-------|--|-|-|----|
cha tle sieus li	---⌫|--⌫|---|-|
etroe niauxles mainsli	-|---⌫----|--|----|-|
rena rtontbien misa	----⌫-|--|---|--||
depasmoisonfureuenuz	-|--------|-|------|
iourpourfoltenuz	---|---|--|----|
sedeleurmainspooi tpar tir	-|-|---|----|----⌫|---⌫--|
iamaisniroit h o mmeaatir	-----||----|-⌫-⌫--|----|
toute lacourt	----|-|----|
oissiezbruire	------|-----|
hastentpour luidestruire	------|---|--|--------|
renartpoursaui e te nser	-----|---|-|--⌫|--⌫---|
p rie conl elait	-⌫--||-|-⌫|---|
quantaregehi rlicou uient	----||------⌫|-|---⌫----|
tou z lesp echiez	---⌫|--|-⌫-----|
illi ontfait	-|-|--|---|
uenir be lin	----|--⌫--|
ol uiamaine cha n te cli n	|-⌫-|-----|---⌫-⌫--⌫---⌫|
renartse faitalui confes	-----|-|---||--|-----|
encharg ason	-|-----⌫|--|
se lonclespe c hi ezquilafait	--⌫---|--|--⌫-⌫--⌫-|-|-||---|
decedequoiilauer sdi eu	-|-|-|---|-||---⌫|--⌫-|
si commei l co nfesso it renart	-|----|-⌫|--⌫------⌫-|-----|
estes atant	----|----|
frer ebernart	----⌫|------|
quidegr antmont ie r treperie z	--|-|--⌫--|---|--⌫-⌫|-------⌫|
tro uuagri mbert	---⌫--|---⌫----|
enq uisliaetdemandé	---⌫--|-||-|-------|
roisacommande ́	---||--------⌫|
querenartsoitbien	--|-----|---|---|
tos tpendus	---⌫|-----|
pournu llui nefus tdeffendus	---|--⌫---|-|---⌫|--------|
quantli frere s otlaparole	----|-|-----⌫|-|-|-----|
mol tlipois ese	---⌫|-|----⌫|-|
i lestd egran tsain tee plains	-⌫|--|-⌫|----⌫|----⌫--|-----|
iln estoitnesotne u ila ins	-||-----|-|--|-|-⌫---⌫--|
ensoncuera aperc eu	-|--|---||-----⌫-|
pou rlegrant	---⌫|-|----|
du elquila	--⌫-|-|-||
quemai ne gri mb er t lites sons	--|---⌫-|---⌫--⌫--⌫|-|---⌫---|
etespinarslihericons	-|-------|-|-------|
uitnoblesensean t	--|-----|-|----⌫|
lesaluemoltdo ucement	-|----|---|--⌫------|
lirois se dresceensonestant	-|---|-|-----|-|--|-----|
nesusf repasqui l	-|----⌫-|--|-|-⌫|
soitestant	---|-----|
iouste lui faitasseoir	-----|--|---|------|
lifreresl aqueult	-|-----||------|
quep our dieuottro itsilli	--|-⌫--|---|-----⌫-||-|-|
querenart sai net	--|-----|---⌫|-|
sauf lilaist	---|-|----|
ainsiler achatelerachatele	----|-|-⌫-----|-|------|-|
seigneurpour dieule deuez	-------|---|---|-|----|
nepuetalera	-|---|---||
dieulegrant	---|-|----|
quine par donne maltale n t	--|-|---⌫----|-------⌫-⌫|
itelconseilteueil don ner	---|------|-|---|---⌫--|
lessesren artaler	-----|---⌫--|---|
moltdepria	---|-----|
le mperoour	|-⌫-------|
querenartl idoint	--|-----|-⌫|----|
pour cefait il suiieuenus	---|-|---|-|--|-|----|
prieruous weilne	----|---|---|-|
soitpendus	---|-----|
aincoislessi ez renartaler	------|-----⌫-|-----|---|
dieus le u ouspu et guerredonn er	----|-|-⌫--|--⌫-|----------⌫-|
d onnezle nouspourd ieuseruir	-⌫----|-|---|---|-⌫--|-----|
quis el essapournousmorir	--|-⌫|-⌫---|---|---|----|
pouramourdieulen ousdonnez	---|----|---|-|-⌫--|-----|
r enar tpourquoisest	-⌫----⌫|---|---||--|
a ffichiez	-⌫-------|
iencuitfai r em oine ordener	|-|---|---⌫-⌫|-⌫---|------|
en tou tlemont n au ras onper	-|---⌫|-|---||--⌫-|-⌫-|--|
lifreresdis tl empereour	-|-----|---⌫||--------|
di eus n eueu ltmort d epeche our	--⌫--|-⌫|---⌫-|---|-⌫|-----⌫--|
maissoi tcon fesetsegart bien	---|---⌫|---⌫--|-|-|---|---|
saufli crestie n	---|-|-------⌫|
sil eretraitd egourp illage	-|-⌫|------|-⌫|-----⌫-----|
au mainsaille	-|----||-|-|
noblesententquebien	-----|-----|--|---|
ne luoudroita uoirescondit	-||-------|-⌫---|-------|
der ie n que il lidemandast	-|-⌫--⌫|--|-|-|--------|
nequ e a fa irecommand ast	-|--⌫||--⌫--|-------⌫--|
rena r tliren d ier raument	----⌫-⌫|-|---⌫-⌫|--⌫------|
s anznulau trecontre ste ment	-⌫--|--|--⌫--|------⌫---⌫---|
gete ́ de pris o n	----⌫|-|----⌫-⌫|
f rereenafait ensamaiso n	-⌫---|-||---|-|-|-----⌫|
po iss onlidonne ntpouramordre	--⌫---⌫-|-|-----⌫-|---|------|
bien le doc trin entde leurordre	---|-|---⌫----⌫--|-|---|----|
de drapsamoine lontuestu	-|----||----||--|----|
lefil zaput ainle testu	-|---⌫||---⌫--|-|----|
ain zla quinzaine fugariz	---⌫|-|--------|-|----|
cil quifutantf ormen tmar riz	--|--|-|---|-⌫-----⌫|---⌫--|
to stfu gari zetrespas sez	--⌫-|-|----⌫|-|------⌫--|
pa rmai ntmauuais	--⌫|---⌫-|------|
pasestpassez	--|--|-----|
bienretientceconl ienseig ne	---|------|-||-|-⌫|------⌫-|
pas quilsefeigne	--|-|-|-|-----|
le ssi gn es faitd emoiniaige	--⌫|--⌫--⌫-|---|-⌫|--------|
mol tletiennentli moine a	---⌫|-|-------|-|----||
c hieresttenuzetmolta mez	-⌫---|--|----|-|---|-⌫--|
or est renartfrereclame z	-|--|-----|----|-----⌫|
molt est renar t de biauseru ise	---|--|-----⌫|-|---|----⌫--|
uole ntiersuai t a sainteeglise	----⌫-----|---⌫||-----|-----|
so uuent limembrede sgelines	--⌫----|-|-----|--⌫|------|
d ontilseultrungier	-⌫--|-|----|------|
les eschines	--|-------|
apainetientesta cions	|----|----|----⌫----|
car souuentatemptat ions	--|------||-------⌫---|
bie n liau ientli	---⌫|-|--⌫---|-|
moltsecontienthonnestement	---|-|-------|-----------|
simetsemblancealordrea prendre	-|--|--------|||----|-⌫------|
que entreprend re	--|----------⌫-|
zz iourfula	-|---|-|-|
messe chant ee	----|-----⌫-|
renartd ec ue rlotescoutee	-----|-⌫|-⌫--⌫||-|-------|
tou t desraain istdu moust ier	---⌫|-------|--|-|-----⌫--|
ensamainte no itzzsautier	-|-|---|--⌫--⌫-|-|------|
yychap onsbiensuranez	-|----⌫--|---|------|
l eurau oitzzb ourgoisdonnez	-⌫--|--⌫--|-|-⌫------|-----|
qui auoitnon tyboutlirich es	--|----|--|-----|-|----⌫-|
uerseulsn es toi t auersne	---|---||--⌫---⌫|----|-|
renart les	-----|--|
aaper ceu s	|----⌫---⌫|
orserailbie nd eceus	-|---|-|---⌫|-⌫----|
s e il sesgrenonsnenfai tbruir e	-⌫|-|--|------||-|---⌫|-----⌫|
bel lement s encudede duire	---⌫-----||-|---|--⌫----|
pardieufaitilne ma par tient	--|---|---|-|-||-⌫---⌫----|
cilzquidechar m engier setie nt	---|--|-|---|-⌫-----|-|---⌫-|
fai tueudemeng i e r c har	---⌫|--|-|----⌫-⌫-⌫|-⌫--|
ieltendroieagr a nteschar	-||-------||--⌫-⌫-|-----|
quicestue ufaire me	--|---|--⌫|----|-|
sai q uestrenepourroit	--|-⌫|----|-|-------|
decharnemepui sabstenir	-|---|-|-|---⌫|-------|
puis enlieuuenir	---|-|---|----|
iemousterrai queiesuifrere	-|---------|--|-|--|----|
parler ne tere	-----|-|---|
t respas se la nuit uient	-⌫------⌫-|-|---|----|
ren artqui d e s	---⌫--|--|-⌫-⌫|
chapon ss ouuient	------⌫|-⌫------|
nelespot mettr een oubliance	-|--|--|-----⌫|-|--------|
toutetre spasse obedien ce	----|---⌫-----|-------⌫-|
uientaus chaponssi	----|--|------|-|
l esdesiouche	-⌫-|--------|
zz en meniaau	-|-|----|-|
cuerlit o uche	---|-|-⌫-⌫---|
les autresyyamis	--|-----|-||--|
endem a i nu e ultueni r	-----⌫-⌫-⌫|-⌫-⌫--|----⌫|
cou uerslesa	---⌫---|--||
bi en deterrier	--⌫-|-|------|
arrie re se st	-----⌫-||-⌫-|
uenuscouchier	----|-------|
nesotnulz motdesonagait	-|--|---|--|-|--|----|
nede sonlarrecin quafait	-|-|--|-------|-||---|
si lichaip ar	-|-|---|-⌫-|
m olt retraitbi enensana ture	-⌫--|------|--⌫-|-|-|--⌫---|
lendemainap reslesmatines	|-------|--⌫--|--|------|
renartquitan taime	-----|--|---⌫|---|
d undes chaponsse	|-|--|------|-|
restdisne z	---|-----⌫|
puisestenc loi str er etourn ez	---|--|-|-⌫---⌫---⌫|-⌫------⌫-|
me nianulznen sotmot	--⌫--|---||-|--|--|
auquart mengier molty pensot	-|----|------|---||-----|
zzfrerequibienappe rcut	-|----|--|---|----⌫---|
quere nartlirouslesdecu t	--|--⌫---|-|---|--|----⌫|
quantco nte ́il fuen	----|--⌫---⌫|-|-|-|
m olt enotrenartblasmegrant	-⌫--|-|-|-----|-----|----|
renar tleurenu oultdroito ffrir	-----⌫|---|-|-⌫---|----|-⌫----|
mais dantrenartneuoul tsouffrir	---|---|-----|-|----⌫|-------|
sirauo it mengi é zzcorbel	-|----⌫-|-----⌫-|-|-----|
quilauoienten	-|-|------|-|
leurpra el	---|---⌫-|
tantlarrecinsleur	---|--------|---|
quebienuoientq u ilameffait	--|---|-----|-⌫|-||------|
arenar tonttolu	|-----⌫|--|---|
c ongie li d o nnenttouz fugra s	-⌫----|-|-⌫-⌫----|---|-|---⌫|
n ed emandoit autreslorains	-⌫|-⌫-------|-----|------|
quehor sfust des esmains	--|---⌫|---|-|-⌫-|----|
a me ruieilles liez s	|--⌫--------|---||
carli ordresli desplaisoit	--|-|-----|-|----------|
tournezs en	------||-|
encornuiraaysengrin	----|----||-------|
li moinel ontmisa	-|----||--|--||
toutseul sen u a	---|---||-|-⌫|
nulzne l conuoie	---|-||------|
moltmena cesesanemis	---|----⌫-|--|-----|
parq uiilfuenpaine	--|-⌫-|-|-|-|----|
sateste iure	-|----|---|
couronne e	--------⌫|
ireniert pardonnee	--||---|--------|
aysengrinne	|-------|-|
par quiilatantmalsousfert	--|--|-||---|--|-------|
roenelestenmilauoie	-----|--|---|-|---|
uo itf ormens	--⌫-|-⌫----||
sies c rie uez	-|--⌫-⌫--|--|
que deuion auo ir	--|-----|---⌫-|
forment commenceatrestourn er	------|-------||---------⌫-|
tantqueiluint	------|-|---|
a sa tesniere	|-|-------|
ouiltrouuasa	-|-|-----|-|
fa mechi ere	--⌫-|---⌫--|
qu ant elleuit gran tio ie	--⌫--|-|-|--|----⌫|--⌫-|
enson cue rm olt ses leesca	-|--|---⌫|-⌫--||--⌫-----|
ca rm oltauoit g rantdu eleu	--⌫|-⌫--|----|-⌫---|--⌫-|-|
dysengrinquil auoit	|-------|--||----|
sifilenontioie molt gra n t	-|--|-|--|---|---|---⌫-⌫|
quan tleurpere u oient uiuant	----⌫|---|---|-⌫----|-----|
q uant sa inle	-⌫---|--⌫-|-|
uoientreperier	-----|-------|
pourroit maiscourroucier	-------|---|----------|
moltfu bien aces mez	---|-|---|----⌫--|
renartq uifurezcommeprest r es	-----|-⌫-|-|--|----|-----⌫-⌫-|
ot moltgranttalentdemengier	-|---|----|-----|-|------|
leue comm anda ahuchier	|--|----⌫---||------|
eton lia t ostaportee	-|-|-||-⌫--|------|
sesfilz on t	--|---|--⌫|
la tableposee	-|----|----|
plante iotuiandes	-----||-|------|
r azetsoriz etpiauxd yrai gnes	-⌫-|-|----|-|----||----⌫---|
ataintlesboter iau s	-----|--|-----⌫---⌫|
renar tl eu rcroist	-----⌫|-⌫--⌫|-----|
leshate riaus	--|----⌫----|
rainesy otauchisseh art	-----||-|-|-------⌫--|
que ore ntprises lifi l renar t	--|---⌫-|-----|-|--⌫|-----⌫|
etbonspaste zorentd	-|---|-----⌫|----||
sau ezc om metilfur en tpr i ses	---⌫-|-⌫--⌫--|-|---⌫--⌫|--⌫-⌫--|
zz heron uenoitd er iui ere	-|----|-----|-⌫|-⌫---⌫--|
q ui sassistdessusleurtesniere	-⌫-||-----|-----|---|-------|
la nguile du cul li	|-⌫-----|-|--|-|
et larenard e lasais i	-|-|------⌫|-|----⌫|
si lescorcha senfistpastez	-||-------||-|---|-----|
dantren artlesamolt	---|---⌫--|--||---|
auder rainor entlimau s	-|---⌫---|--⌫--|-----⌫|
quifur entmengiez au sabraus	--|---⌫--|------|-|------|
renart m eniaa uec sa fam e	-----|-⌫---|-⌫--|-|---⌫|
q uan totme ngi ésili dis tdame	-⌫---⌫|-|--⌫---⌫-|-|-|---⌫|---|
lon c t em psre cluseste ́	---⌫|-⌫--⌫-|--⌫---|----⌫|
guerpielai du to uten	------||-|-|--⌫-|-|
dia bles yso it	---⌫---||--⌫-|
puiscon ny fout	---||-|||---|
le fout rem	-|----⌫-||
es toucor psrancl é	--⌫|-|---⌫-|-----⌫-|
a paine ens eraimaissane ́	|----|-|-⌫---|---|----⌫|
dame ilcouuient que	---|-|-------|--|
ieuousfout e	-|---|----⌫|
l imoineaie nt	-⌫|----|---⌫-|
lamaleg oute	-|---|-⌫---|
lors laprise par	---|||----|--|
desco isli d onnesusl	--|--⌫-|-|-⌫---|--||
do nn aac elle ch aude	--⌫--⌫||-⌫---|--⌫---|
duu itet de laco ille baude	-|-⌫-|-|-|-|--⌫---|----|
con liafaitescumer	--|-||---|------|
aussi comgueulede	----|--|-----|-|
ot fait sidescend i	-|---|-|-------⌫|
maisla dameli deff endi	---|-|---|-|----⌫---|
que i lhuim a is	--|-⌫|--|-⌫-⌫-|
ne lacourbast	-|-|-------|
pardede rrierelapelast	--|-|--⌫-----|-|-----|
silneuouloitb oiu resouuent	|-|-|------|-⌫---⌫-|------|
queduculli i st	--|-|--|-|-⌫-|
tropfortuen t	---|---|---⌫|
qua ntil l auoi te str o itc our bee	---⌫-|-||----⌫|-⌫---⌫-⌫-|-⌫---⌫--|
toutele schineadesn oee	----||-⌫-----||----⌫--|
si fe r aida medi strenart	-|--⌫-⌫-|--⌫-|--⌫-|-----|
sienb eura cha sc un	-|-|-⌫---|---⌫--⌫-|
