lesse ignorsanciainsquiontbatailleor	--|--⌫-----|-------|--|--|---------|
blanche napeq ueil iaportet	------|---|-⌫-|-||------|
etmeru e il leuse mentceluit r esor gardet	-|----⌫-⌫--⌫-----⌫---|----|-⌫-⌫---|-----|
sonfeiallarrecin odesmoutes gardet	--|----|-------|---|---|--⌫-----|
nef u pas lipremier s	-|-⌫|--|-|-------⌫|
quitel tresoremblet	--|--|-----|-----|
saich ois q uesein tib au tifuqui	-----⌫--|-⌫-|---|---⌫--⌫||-|--|
locorsde se iniohansidec ip letolerent	-|---|-|--⌫-|----|-|---⌫--⌫-|-------|
torsseinmartinaspeteuinsembleren t	---|---|-----|-|-------|--------⌫|
etlesgenzde u eniceen	-|--|---|-|-⌫----|-|
c este guiseo urere nt	-⌫---|----|-⌫-----⌫-|
qu antl oc orsdesein ma rca ueniceaporterent	--⌫--|-⌫|-⌫--|-|---|--⌫-||-----|---------|
mo ut i ades	--⌫-|||--|
essemplesi tesc o uosai di t	--------|-⌫--|-⌫|--|-|--⌫|
qu ibien sunt	--⌫|---|---|
enmemoireetq uisouent	-|------|-|-⌫-|-----|
sun t li t	---⌫|--⌫|
cou ien tm ie queilsoient escrist	---⌫---⌫|-⌫-|--|-|-----|------|
orandroitd epar	--------|-⌫|--|
ceen prenzrespit	-|-|----|-----|
ici zd eciplesodes	---⌫|-⌫------|---|
qu itantbiensest	--⌫|---|---||--|
dedeufei au sministresissi	-|--|---⌫--⌫|--------|---|
comuosoiez	--|--|---|
comana fa it ce est	----||--⌫-|-|--|
partantes u isions dedeuamonestez	--|-----|-⌫-----|-|--|--------|
denulhome mortelne d oi tes trebl am ez	-|--|---|-----|-|-⌫--⌫|--⌫--|--⌫--⌫-|
maspardr oitdela boichede	--|--|--⌫--|-|-|-----|-|
tozestreloez	--|----|---|
traiz fuli	----|-|-|
corses y des	---|-|-⌫--|
de i ui let cesestlon	-|-⌫--⌫--|-|---|--|
mil a nz se ptanteet yyenlincarnation	--|-⌫-|--⌫-----|-|-|-||----------|
et fuenl adozeine t ot dro itindi ti on	-|-|-|-⌫|------|-⌫-|---⌫-|----⌫--⌫-|
tot ceuiaustihes ucris tet lifu	--|-|-----|----⌫|----⌫|-|-|-|
cal iorplutihesu	--|--|---|----|
cristqu it ot	----|--⌫|-⌫-|
se tettotuoit	--⌫|-|--|---|
par lamordo	--||---|-|
corsseinzquitan tseruilauoit	---|----|--|---⌫|----||----|
queiltram ists usterrepluie	--|-|----⌫--|-⌫-|----|----|
quilorfaill oit	--|--|-----⌫--|
rostieestoi teta rsedesirranz enes toit	-----|-----⌫|-|-⌫--|--------|-|--⌫---|
yy mo is au oitpassé que	-|--⌫-|--⌫--|-----|--|
pleunena uoit	---||-|-⌫---|
issilesp o ruit	---|--|-⌫-⌫---|
de s qui t ozles	--⌫|--|-⌫-|--|
sienzporuoit	----|------|
dizpie rrespar	--|---⌫---|--|
l o deguine ment	-⌫|-|-----⌫---|
e tde celuimeim esporlamonest ement	-⌫|-|----|----⌫-|--||-------⌫----|
estuenusp orla	--|----|-⌫-|-|
cause de bo nuisitement	----|-|--⌫|---------|
auleuouque l	-|--|-|---⌫|
faisoitlosuindemorement	------|-|---|---------|
sein tibau t etdelico ngie	---|-----⌫|-|-|-|--⌫---|
et senuaitauincencesen z nularestemen t	-||-|---||-------|---⌫|--|---------⌫|
odes lifi tgrant io ieetrec utlee m ent	---|-|--⌫|----|--⌫-|-|---⌫-|---⌫-⌫--|
qui lo seintcors auoit trou énouelem ent	--|-|----|---|----|----⌫-|-------⌫--|
comant auoi tou ré liditent irement	-----|----⌫|--⌫--|-|--|---⌫------|
dontmilgreset mil	---|--|---|-|--|
graces liabes a derent	-----|-|---||-|---|
etdecors et de	-|-|---|-|-|
cuerpar rai s onsal egrere nt	---|--|---⌫-⌫-||--⌫------⌫-|
nusneuosporroit	--|-|--|------|
direla ioie quilmeneren t	---|-|---|-|-|-------⌫|
e nduidefineioiem outtanrement plorerent	-⌫---|-|---|---|-⌫--|--------|--------|
en enbraca nzli	-|-------⌫-|-|
zzl aut re asezen piezesterent	-||---⌫-|---|-|---|-------|
sonper e et son meitred esirantm ent faiso it	--|---⌫|-|--|-----|-⌫--------⌫--|-----⌫-|
p ari erde	-⌫---⌫-|-|
so nsecreodesquitant	--⌫|----|---|--|---|
ilestoittoz c ertains q uebie nliadiroit	-|-----|--|-⌫------|-⌫-|---⌫|-|------|
aco nd u ire locorsou	|--⌫--⌫-⌫--|-|---|-|
telmal tra itauoit	--|--|---⌫-|----|
a ihes ucristmil graces	|----⌫|----|--|-----|
e nrendroi t	-⌫|-------⌫|
etquea nigunhome mortel n en par ler o i t	-|--||----|---|-----||-|---⌫---⌫-⌫-⌫|
auiauodon zzior li a besdemoret	----|---|-|--|-|-⌫--|------|
lende mai n as igl i sele ement retor net	|----⌫---⌫|||---⌫-⌫-|--⌫----|-----⌫--|
mes einzq uilsen	--|-----⌫|-||-|
alassed eretornerpa r let	-----|-⌫|-------|--⌫-⌫--|
aodo n quilo	|---⌫|--|-|
ior doto rnerass ignet	--|-|--⌫---|---⌫----|
masaau cun desfrerespierres sonsecre	--||--⌫--|--|-----|------|--|----|
commentouréauoienttrestot	------|----|------|------|
parloconseilde de	--|-|------|-|-|
t otl ofait	-⌫-|-⌫|---|
enparles an tau antiurerlor fit	-|------⌫--⌫|--⌫--|----|--|--|
cistd uia oro ison	---|-⌫-||---⌫---|
celuitenspreseurerent	----|---|-----------|
et tuitl i	-|---|-⌫|
a utref rere	-⌫---|-⌫---|
aice entenderent	|--|----------|
quemostrerlo rdeignassedocementdeu	--|------|--⌫|--------|-------|--|
oulo corsporteroient	-|-|---|----------|
douquelenesuoile rent	--|---|-|-----|-⌫---|
li ab es ousesfreresaui nc en c etorne t	-|--⌫-|-|--|-----||--⌫--⌫--⌫-⌫|-----⌫|
a loree tau iorque odes	||--|-⌫|-|--|--|---|
oroiez siuosplaitcomm entdes iouret	-|---|-|--|----|----⌫--|--||----|
comentillesconduis tcomentlesauiet	-----|-|--|-------⌫|-----|--|----|
conseilpri dentensamble derem	------|---⌫---|-------|-|--|
ne d es corderent	-|-⌫--⌫--------|
acequi liz z uiautrentli	|-|--|-|-⌫|--------|-|
autres acorderent	----||---------|
de laciteisse rent	-|-|---|----⌫---|
co iement bruitninoise	--⌫-----|----|-|----|
ce sac ho i z	-|---⌫--⌫-⌫|
ne menerent	-|-------|
parlauolon te deuuindrentauneiglis e	--|-|-----⌫-|--|-------||--|-----⌫|
r iuierequ elun apel ead eyse	-⌫-----|--⌫|--|----⌫|--⌫---|
seintcorsportoient sico mieuos deuise	----|---|--------|-|--⌫|-|--|-----|
ligliseo u	|-----|-⌫|
lom i stren ta uo itnonuangadice	-|-⌫-⌫-----⌫|-⌫--⌫-|--|--------|
bi e npertque deso	--⌫-⌫|---|--|--||
fit ceestlaueritez	--|-|--|-|------|
qui uiautque	--|----|--|
licor sse inz fustanqui ente rrez	-|---⌫|--⌫--|---|----|----⌫---|
autitred el a queleilfu ia or de nez	-|----|-⌫|-⌫|----|-|-|-|--⌫--⌫--|
tot c eordena des issic omuoso iez	--|-⌫|-----|--|---|-⌫-|--|-⌫--|
mo stierse nuin t unefame	--⌫----||-⌫|---⌫|--|---|
laq uels neueoitgoteet	-|-⌫---|-|----|---|-|
dototsordeestoit	-|--|----|-----|
a grantdeuotioni uientquarbi e n pensoit	|----|-------||----|---|--⌫-⌫|------|
que desapersmiracl esparloc orss ein t	--|--|----|------⌫-|--|-|-⌫--|-⌫---⌫|
quantplusauoitdegents ei nt	----|---|----|-|---|-⌫--⌫-|
l ors auoitcestefame enluigreinorfiance	-⌫--|----|----|---|-|--|------|-----|
oleauoitdetot	--|----|-|--|
miseoucors s einzsesperenc e	---|-|---|-⌫---||--------⌫|
c o nsoilq uistde fin cueret si	-⌫-⌫----|-⌫---|-|--|---|-|-|
lot senzdotan ce	|-|---|-----⌫-|
deua nt lo precious cors se i nts aienoilet	----⌫-|-|-------|---|--⌫-⌫-||--------|
de pa rt no str eseignor	-|--⌫-|--⌫---⌫|------|
co nse illidemandet	--⌫---⌫-|-|-------|
desa main fitsa colp e forment son	-|-|---|--|-|----⌫|------|--|
etmeintesfoizlaterrelon locorsseinz	-|------|---|-|----|--|-|---|----|
dece qued o sepulcre	-|-|--|-⌫|-------|
asoitraire pooit	|--|-----|----|
saboiche etsa face	-|-----|-|-|---|
toteanuiro no it	---|------⌫--⌫-|
sesor eile s	--|--⌫----⌫|
etsaface doce m enten fretoit	-|-|---|----⌫-⌫--|-|------|
trest ote sentenduea icemis a uoit	-----⌫--||-------||--|--|-⌫---|
ligranzdeuotions quie nsoncuert o rn oit	-|----|--------|--|-⌫|--|---|-⌫-⌫--⌫--|
sesplor ssauoi z confusecequale se batoit	--|----⌫|-|---⌫|------|-|-|--|-|-----|
esmou oittotloupub le	-----⌫--|--|--|---⌫-|
qu i enuironest o it	--⌫|------|---⌫-⌫-|
etamiser icordetre stotlesf lechissoit	-||-----⌫-----|---⌫---|--|-⌫---------|
depitietuitettotesai cesacorde rent	-|----|---|-|----||-⌫-||------⌫---|
que porlabonefammel o	--|--|-|---|----|-⌫|
c ors seintdepri eren t	-⌫--|----|-----⌫----⌫|
seintibauzaiden ostuit ensamble	---|-----|---|-⌫-|---|-------|
pa ra mord e	--⌫|-⌫--|-⌫|
lafam mef ormen tl ouregreterent	-|---⌫-|-⌫-----⌫|-⌫-|----------|
porlaprieredausi hesulafamm eoit	--|-|-----||--|-⌫---|-|----⌫|--|
mainten ant la ueue et loir li	-------⌫--|-|---|-||--|-|
icefulimiracl esp remiersque deus	--|-|-|------⌫-|-⌫------|--|---|
quepors asaint egraceen lauirge c har	--|--|-⌫|-----⌫|----|-|-|----|-⌫--|
liueisin q ui d euant	-|-----|-⌫-|-⌫----|
lafammeconuissoie n t	-|----|----------⌫-⌫|
qu antau ulgle etsordeestoitse mereueilloient	--⌫--|--⌫----|-|----|-----|-|-------------|
tu itettotesmi l gracesa	--⌫-|-|----|--⌫|-----||
ih esucri s t r endoie nt	--⌫--|---⌫-⌫|-⌫------⌫-|
et en ho norde l uilo	-|-|--⌫--|-|-⌫-|-|
corss eintaoro ient	---|-⌫---|----⌫---|
aussi en zzchate l	----|-|-|-----⌫|
unefeme es to it	--|---|--⌫--⌫-|
quipordedanz locorslesdia blesauoit	--|--|-----|-|---|--|---⌫---|----|
ma tinni s oir ior niho reaidierne	--⌫--|-|-⌫--|--|-|--⌫-|-----|-|
a bien pouqueliarme dot ot nes	|---|--|--|-|---|-|-⌫-|-||
enpar t oi t	-|---⌫-⌫--⌫|
l ides lo ial	-⌫|---⌫--⌫--|
diab lequisi	----⌫-|--|-|
lator mentoient	-|---⌫--------|
pesinttan tettelforce dedanzson co rs auo ient	-----|---⌫|-|--|----|-----|--|--⌫-|---⌫---|
qua lauter	-|||----|
ou auseinz porterne lapoie nt	-|-|----|-----|-|-|----⌫-|
por destr ece d esonpois l apos oi ent	--|-----⌫--|-⌫|--|---|-⌫|---⌫--⌫--|
quantplusdecalsein tleu lafammeaprucho ient	----|---|-|--|----⌫|--|-|----|-------⌫---|
p l usformen tlidia blededanz la tormentoie nt	-⌫-⌫-|------⌫|-|---⌫--|-----|-|----------⌫-|
les uoiz de totes	--|---|-|----|
bestesde lorco rsfors metoient	-----|-|--|--⌫-|---|-------|
auc unefoizian glintauc unefois b ruloient	---⌫--|---|---⌫----|---⌫--|---|-⌫-------|
loruisaig e orrible tote rie nest oient	--|------⌫|------|---|---⌫|---⌫----|
regar sespoentablespeor a	-----⌫|-----------|---||
toz facoi e nt	--|-----⌫-⌫-|
oroiezlo u mir acle quedesporsonseintfi t	-|---|--⌫|---⌫---|--|--|--|--|----|--⌫|
deuanttoz lidiables po r laboi chel issit	-----|--|-|------|--⌫|-|---⌫--||----|
etsans tozconc hiezquiplus	-|---|--|----⌫---|--|---|
quer ienspuit	--|-⌫---|---|
lors loiadeslipuples qui estoitquant	---|---|--|-|-----|--|-----|----|
uneautrefame fuy taliecl amee	--|----|---|-|-⌫----|--⌫---|
quisicoihesu	--|-|-|----|
cristsof fritfu muenee	----|---⌫---|-|--|--|
de ua ntqueaucorsseinz	--⌫--⌫----|-|---|----|
s e fuisseapruch ee	-⌫|-----|------⌫-|
liestdeihesu cr istl aparoledone e	-|--|-|----|--⌫--|-⌫|-----|----⌫|
e stenesde	-⌫-----|-|
zz chate luignoleo tnonfunez	-|-----⌫|------|-⌫|--|-|--|
d e lamain	-⌫|-|---|
etdobraiz dureme nt acr iblez	-|-|----|------⌫-|---⌫----|
paranmon itionau	--|-----⌫----|-|
ade irend it	|-||----⌫-|
g racesetsains s en est tornez	-⌫----|-|----||-|--|-----|
de calcarlochatelu nefame ame nee	-|-----|-|-----|-⌫-|---|---⌫--|
ifuq uipordro itnon mariees toit	|-|-⌫-|--|---⌫-|--|----|--⌫---|
qu iestoitd oudiablee napert	--⌫|-----|-⌫-|-----|-⌫|----|
li se inz gisoitestgarie et	-|--⌫--|-----|--|----|-|
pa r boi c he	--⌫|---⌫-⌫-|
porn a rries	--|-⌫-⌫----|
_ escumegit ee	|-----|---⌫-|
ded iuersecolorb ien lo t de s	-|-⌫-----|----|-⌫--||-⌫|--⌫|
prauise uneu ile poru eritezestoit	------|--|-⌫--|--|-⌫-----|-----|
enlaqueleunef ammeauximent demoroit	-|-|----|--|-⌫---|-------|-------|
qui autelmaladie	--|----|------|
etnuitauo it	-|---|---⌫-|
autretel garison co n marie	----|--|------|--⌫|----|
autremiracles ia quenunsce lerne	----|-------|||--|---|--⌫--|-|
ouchatel deio nidontre s qu elu nfundoit	-|-----|-|--⌫-|------⌫-⌫--⌫|--⌫|------|
lig liseotzzualet quelunma rtin	|--⌫---|-|-|----|--|--|--⌫---|
liquels z z	-|----|-⌫|
mout g rant	---|-⌫---|
tenscoruésestéauoit	---|------|----|----|
r equier elapu ichance	-⌫------⌫|-|--⌫------|
deseinz mart inalet	-|----|----⌫-|---|
queilloredrecessemei ntesfoi s li	--|-|-|---------|---⌫---|---⌫|-|
aso nautelsae rtetlose inzregrac et	|--⌫|----||--⌫-|-|-|--⌫--|------⌫-|
iquiuein t sein	---|----⌫|---|
t ibaut q ue	-⌫----|-⌫-|
des iamenet	--||-----|
liuenuedeluiseinet	-|----|-|--|---|-|
dru lo rend et	--|-|----⌫-|
testeleu eedroitem ant sen	----|---⌫-|-------⌫--||-|
icausquicel eiglise	----|--|---⌫|-----|
et m artin to talegr ee tdroitaleren	-|-⌫----|--⌫|-----⌫|-⌫|----|---|-|
etl aiguequemar tins a ligliseaportit	-||----|--|---⌫---|||-----|------|
encestui presentliurecestmiracle escr ist	-|-----|------|----|---|------|----⌫--|
etdecestsein zen samble	-|-|---|----⌫|--⌫-----|
latranslat ions c i d e s eintthibautfenist	-|--------⌫---|-⌫|-⌫|-⌫---|------|-----|
