d ireuous ueulc hi	-⌫--|---|---|-⌫-|
car aboi uremecouuend r a	--||---⌫--|-|-------⌫-⌫|
dela fontain nequiestla	-|-|-------⌫-|--|--|-|
prenez celpot	-----|--|--|
ettost alés	-|---|----|
de laf ontainne maportés	-|-|-⌫-------||-------|
b iausdous	-⌫---|---|
en feznesoiezquoi	--⌫--|-|----|---|
mes reuenésta ntostamoy	--|-------|--⌫----||--|
xmlauolentesa mere	-|-|------|-|---|
auoit moutgr ant talentdefere	----|---|--⌫--|-----|-|---|
xm quitantest debonnere	-|--|---|--|--------|
derire n e sepo u t	-|---|-⌫|-|--⌫-⌫|
gran t i oieoutensoncuer	----⌫|-⌫--|--|-|--|---|
c hielm ou ten mercie	-⌫---|-⌫--⌫|-|-----|
unbelmiracleu o usueulxxx	-|--|------|-⌫-⌫-|---|--|
q u efistxmxm no s tresi re	-⌫-⌫|---|-|-|--⌫-⌫--|--⌫-|
droit enla agedesixans	----|-||-⌫--|-|--|--|
sico nmeno usxxx	-|--⌫--|--⌫-|--|
apresno elxmxxx	----|--⌫-|-|--|
u npoidorge	-⌫|--||---|
que iltrouua	--|-|-----|
eniericopdedenslauile	-|------|-----|-|---|
l e enfe zqui	-⌫|----⌫|--|
estoit s ans	-----|-⌫--|
s iconme il le manioit	-⌫|----|-|-|------|
ch amppartoutle getoit	--⌫--|--|---|-|-----|
tostconmeilloutsemé	---|----|-||--|----|
horsdete rre	---|-|--⌫--|
fu tostleué	-|---|----|
tout secet meurxxx	---|--|-|---|--|
dece ne fistsa mblantxm	-|-|-|---|--⌫-----|-|
tousl esiu iss	---|-⌫-|--⌫-||
d ubono rgequeilx xx	-⌫|--|-⌫--|--|-|-⌫-|
qui de cestpai sfurentnés	--|-|---|---⌫|-----|---|
asqu ie xm e souloieiad is	-|--⌫--⌫|-⌫|------|---⌫-|
iouerildistrent	----|-|-------|
nousnesauons paso uilseront	---|-|-----|--|-⌫|-|-----|
ou pouruoir trouuez se ront	-|---|---|------|--⌫---|
mezsachiez bie n q ueilmentirent	--|------|---⌫|-⌫-|-|--------|
apres serep en tirent	----|-|---⌫--⌫-----|
tous les iuis	---|--|---|
auoienttrouuezlormuchiez enfans	------|------|--|------|-----|
en u nf ourqu iertlon c	-|-⌫|-⌫--|--⌫|--|---⌫|
nefu ssent ioer a lé	-|--⌫----|---|-⌫--|
ouexmsicon so uloie nt	--|-|-|--|--⌫-----⌫-|
car le siuis sisedoutoien t	--|--⌫|---|-|-|--------⌫|
quexmn es conuer tisist	--|-||-|------⌫-----|
et qu ilasa lo i nelestr eist	-|-|-||-|--⌫|-|--|--⌫---|
desiuis mes crean s	--|---|---⌫-----⌫|
dusoulei l	-|------⌫|
b ienest u e rite	-⌫--|--|-⌫-⌫---|
sique tuitliiuifleuiren t	----|---|-|---|-|-----⌫|
et durements	-|-------||
enesbahirent	-|---------|
xm d esusseo ir s	-|-⌫---|---⌫-||
chascunausifaireq uida	------|---|----|-⌫---|
n i porentauen ir	||-----|----⌫-|
ned esuslesoleilte nir	-|-⌫---|-|-----|--⌫--|
tretuit forsu n uoudrent	------|---|-⌫|-------|
a lor p o u oi r	|--|-⌫-⌫-⌫--⌫|
de seoirsiengrez estoient	-|----|-|-----|-------|
quetrestou saun fez cha oi ent	--|-------⌫||-|--|---⌫--⌫--|
lu n apr es	|-⌫|---⌫-|
en ha ut sailloi t	-|--⌫-|-------⌫|
etsorler ayseoirquidoi t	-|--|-|-⌫-|----|------⌫|
mes a ssez lorenuintde mal	--|-⌫---|--|-|---|-|--|
bruise r entlorcola ual	------⌫-⌫--|--|--|-⌫--|
forsun qui saillirniosa	---|-|--|------|||--|
af eret outconta	--⌫--|-⌫--|----|
g entq uisont pl ainsdeg u ile	-⌫--|-⌫-|---|--⌫---|-|-⌫-⌫--|
g rant n oiseenmainnentpa r la uile	-⌫---|-⌫---|-|-------|--⌫|-|---|
tousle smestrezdeceleterr e	---|--⌫|------|-|---|----⌫|
son tuenus a iose ph gra nte rre	---⌫|----||----⌫-|---⌫-|-⌫--|
et silionttretu itcont é	-|-|-|--|-----⌫-|----⌫-|
con mexmauoitouuré	---⌫-|-|----|-----|
iosephsien	-----|-|-|
fu moutdolent	-|---|-----|
lorsrespondi a	---|-------||
quemout forment li	--|---|------|-|
deceq u esimalsemenoit	-|-|-⌫-⌫|-|--|-|-----|
m esilneueutriens pourmoi	-⌫-|-|-|---|----|---|--|
tantle s ache p rier same re	---|-|-⌫---|-⌫---|-|--⌫-|
lorsaparléundesiuis	---||-----|-|--|---|
parligrant	--|-|----|
dieuiosep ha mis	---|-----⌫|-⌫--|
uost refixxmesttropfier	----⌫-|--|-|--|---|---|
uouslede ussiésen chac ie r	---|-|--⌫------|--⌫----⌫--⌫|
i oseph lirespont maintenant	-⌫----|-|------|---------|
xme st troppetitenfan t	-|-⌫-|---|----|-----⌫|
seie dentor m oilechasoie	-|-||----|-⌫-|-|------|
uerslegrantdieutropmesferoie	---|-|----|---|---|--------|
siielifeisoie	-|-|-|------|
iasoi til dep etitaage	-|---⌫|-|-|-⌫---|---|
bienc hie remen tleme	---|-⌫---⌫-----⌫|-|-|
etc heseroit amo utb on	-|-⌫-|-----||--⌫-|-⌫-|
ca rn a si sageenfant e lmonde	--⌫|||-|---|-----|-⌫|----|
tantconmeildure ala r oonde	---|----|-|---||-|-⌫----|
iosephfont il queuoulés	-----|---|-|--|------|
uoulésuous donquesguerreatraire	------|---|------|-----|------|
nenil distioseph bia u se i gnors	----|---|-----|---⌫|--⌫-⌫----|
ains liprieroiparamor s	---|-|------|--|----⌫|
l essecest efolie	-⌫---|----⌫|----|
siferasameremar ie	-|---|-|---|---⌫-|
io se phfontilbienlesachiez	--⌫--⌫-|---|-|---|-|------|
de u oir s euous nel enchaciez	-|-⌫--|-⌫|---|-||--------|
uous meismeschacie z	---|------|------⌫|
paisnedem orrés	---|-|---⌫-----|
ne mech au tfet il ou ie	-|-|--⌫--⌫|--|-|-|-|
eupor luidenoi se	-|--|--|-|---⌫-|
dontle c u erformentmetormente	---|-|-⌫-⌫-|------|-|-------|
et sameree nest m out dolente	-|-|---|-⌫|--|-⌫--|------|
xmatantd u raydescent	-|----|-⌫|--|------|
quant out regardéce l egent	----|--|-------|--⌫-⌫|---|
qui i osephformentmenachoient	--|-⌫----|------|----------|
chacier d upa isleuoul oient	------|-⌫|--⌫-|-|----⌫----|
xmq uifeisoitt ie x semilles	-|-⌫-|------|-⌫--⌫|-------|
lesiuis neprisoi tdeusbil l e s	--|---|-|------⌫|---|---⌫-⌫-⌫|
toutp riueeme ntsenala	---|-⌫-------⌫-||-|--|
onques so n tale ntnemou stra	-----|--⌫|----⌫-|-|---⌫---|
asiu is queiluousistfere	-|--⌫-|--|-|------|---|
neai osephn e	-||-⌫----|-⌫|
toutdroit as morssen est	---|----|-|---||-|--|
resuxite ́s	--------⌫-|
ene s t tornés xm	-|-⌫-⌫|------|-|
conquesn i fuaperc heus	|-----|||-|-----⌫---|
cheus quire sux ite ́sestoient	----|--|--⌫---⌫---⌫-|-------|
formen t xmregracio ien t	------⌫|-|--------⌫---⌫|
xmdroitde se t anses to it	-|----|-|--⌫|--|--⌫--⌫-|
l esmor sres uxitoit	-⌫-|---⌫|---⌫------|
al ostel toutdroitsenreuint	||----|---|----||-|-----|
et ios eph	-|---⌫--|
p arlamainl etint	-⌫-|-|---|-⌫|---|
grant pitieout	----|----|--|
d es onenfant	-⌫|-⌫-|-----|
s i lara isonn amai ntenant	-⌫||---⌫-----⌫|---⌫------|
biax fi x ne uouspu isgaranti r	---|--⌫|-|---|--⌫-|-------⌫|
neplus long u em entret enir	-|---|----⌫-⌫--⌫--|---⌫---|
alésquel partq ue uousuoud rois	----|---|---|-⌫-|---|----⌫---|
nesaiq uelpartaler	-|--|-⌫--|---|---|
biens aisetansauésd	---|-⌫-|--|--|----||
a illors q uerezuo streauant ag e	-⌫-----|-⌫----|--⌫---|-----⌫--⌫|
tous lesmestre sdecest pais	---|--|------⌫|-|---|---|
etauec els touslesamis	-|---|--|---|--|---|
m o nt conmandé eten charci é	|-⌫-|--------|-|--⌫------⌫-|
queieuousdonnetostcongi e	--|-|---|----|---|-----⌫|
seiene faziesui certain	-|-|-|--|-|--|------|
que iese roichaciédemain	--|-|--⌫--|------|-----|
ieetuosmere	-|-|--|---|
fereu ospesbia xfixxm	---|-⌫-|--|---⌫|--|-|
pour ce uous en	---|-|---|-|
couuient aler	-------|---|
pou ez demorer	---⌫-|------|
iosephaditbiaxfixxm	-----||--|---|--|-|
auecmoineserez uousplus	---|--|-|----|---|---|
i esaiuousa ue zsetans	-⌫|--|---|-⌫--⌫|--|--|
pensezd euousmon do usenfant	-----|-⌫|---|--|--⌫-|-----|
fuste ssiioennet	-----⌫|-|------|
quenef usiezs age uallet	--|-|-⌫----|-⌫--|-----|
te lsuidistx mco nie sui	--⌫|--|---|-⌫|--⌫|-|--|
nesoufrez pourmoi	-|------|---|--|
bi e n sa u roi trouuertelostel	--⌫-⌫|--⌫-⌫--|------|--|----|
ouieseroiapelébel	-|-|----|-----|--|
iane uen droi	-|-|---⌫---|
mes encellieu	--|-|--|---|
queauecquesmoynesoit	--|-------|--|-|---|
puisquem auez do nné	------||---|--⌫---|
iemen uoisiosephlabaisié	-||-|---|-----|||------|
partisde so n pe re	-----|-|--⌫|--⌫-|
etde sa chi ere mere	-|-|-|---⌫--|---|
en trésestenun e autre	--⌫----|--|-|--⌫|----|
xmqui nout curedeguile	-|--||--|---|-|----|
uenus est aunta intu rier	----|--||-|--⌫----⌫---|
et ditqui lest desonmestie r	-|--|-|-⌫|--|-|--|------⌫|
letainturierquantil l euit	-|---------|----|-|-⌫|--|
de celenfantout	-|--|-----|--|
b on deduit	-⌫-|-----|
puisliadittoutmaintenant	---|-||--|---|---------|
mondousenf antu enez auant	--|---|---⌫--|-⌫---|----|
et sime dipa rta	-|-|-|-|--⌫|-|
setu esen boneesperanc e	-|-|-|-|---|--------⌫|
deseruirmoi	-|-----|--|
toutamongre	---||--|--|
oilsireparlegrantde	--|---|--|-|----|-|
q u antenlostel	-⌫-⌫--|-||----|
fur eten us	-|-⌫----⌫-|
pourdemourer	---|-------|
lenfant xm	|-----|-|
l etain tu rie rl	-⌫|----⌫--⌫---⌫||
enaraisonne	-|--------|
e n fezmout esi oennepersonne	-⌫-⌫--|---|-|-⌫----|-------|
c on m enttuasnon	-⌫--⌫-⌫--|-|-|--|
x m di stilm	-⌫|--⌫-|-||
xmietebaillemesdras	-|-|-|-----|--|---|
orme dicon me nt	-|-|-|---⌫--⌫-|
sireaumieuxque	---|-|----|--|
en b one fo y	-|-⌫--|--⌫|
toutmaint e n antlet ainturier	---|-----⌫-⌫-⌫--|-|-⌫--------|
axmdistsa nsatar g ier	|-|---|--⌫-|----⌫-⌫--|
o rcha xm apresmoyuie n	-⌫|--|-|----|--|---⌫|
se es loiax tuauras	-|-|----|-|----|
amis queferas	---|--|----|
iches troisdras ichi prendra s	----|----|---|---|-------⌫|
silesmetrasentroischaudiere s	-|--|-----|-|----|---------⌫|
ichi tou tesentierez	---|---⌫--|-------|
toustroisserontentroiscoulor s	---|----|-----|-|----|------⌫|
orten souu iengneparamors	-||-|----⌫-----|--|----|
xment entquei e ueuld ire	-|---⌫--|--|-⌫|---|-⌫--|
que le grant die usi le	--|-|----|---⌫|-|-|
ensaingnier te ueulla manier e	----------|-|---|-|------⌫|
enq uelc oulorchascu n d ra pere	-|-⌫--|-⌫----|------⌫|-⌫--⌫|--|
drapen b leus era	---|-|-⌫--|-⌫--|
xm respontian i	-|------|-|||
lese co n t uertasen tendu	-|--⌫--⌫-⌫|---|-|--⌫----|
oilmo utbi en	--|--⌫-|--⌫-|
d escarlate sera le tiers	|--------|---|-|----|
carielai achetémoutch iers	--|-||-|------|---|--⌫---|
orl efai bieniem	-|-⌫|--|---|-||
qua ntt ensserar eu en dro	---⌫-|-⌫--|---|-⌫--⌫--⌫--|
mes iete desfent sor ta	--|-|-|------|--|-|
quel unlaut rena touchemie	--||-||---⌫-||-⌫-----|--|
des troisdra squeietai bail lié	--|----|---⌫|--|-||-|----⌫---|
car tropferoiez grant pe cie	--|---|------|----|--⌫--|
honnis ser oietout	-----|---⌫--|---|
chascundes troisdrasp arsoimet	------|--|----|---|-⌫-|--|--|
xm respo ndi	-|-----⌫--|
maintenant	---------|
alés uous ent seure m ent	----|---|--|-----⌫-⌫--|
tr esbienle	--⌫-|---|-|
feroi ceuerrés	----|-|------|
quantuous plairas ir eue ndrez	----|---|-----|-⌫|-⌫---⌫----|
li tainturi er de luise part	-|--------⌫-|-|--|-|---|
xmremestquimo ut esttart	-|-----|--|--⌫-|--|---|
que ileust chas cundrap	--|-|---|----⌫--|---|
du bienferepasne s efa int	-|---|---|--|-|-⌫|--⌫--|
tous lestroisdrasquenli	---|--|----|---|-|-|-|
enunecha udieremis a	-|--|---⌫-----|--||
xmqu i sefist tai ntur i er	-|--⌫|-|---|---⌫----⌫-⌫-|
sagez de so nmestier	----|-|--⌫|------|
lienfez prist	-|----|----|
enune chau diereles	-|--|----⌫----|--|
e n sembleles abie nboullis	-⌫-⌫-----|--||---⌫|------|
uns autres leseusthon nis	--|-----|--|---|---⌫--|
quantx mout m islestro isdras	----|-⌫|--|-⌫-|--|---⌫-|---|
en la chaudiere i snellepas	-|-|--------|-⌫--------|
sen es tlido us	|-|--⌫|-|--⌫-|
enfez torne ́s	----|-----⌫-|
quan til leso ut	----⌫|-|--|-⌫-|
bienatorne ́s	---|------⌫-|
enlamani e r e tains l esa	-|-|----⌫-⌫-⌫|----|-⌫-||
queso nmestrelicom manda	--|--⌫|-----|-|---⌫----|
l et a inturierestre uenus	-⌫|-⌫-⌫-------|--|--⌫----|
qui les dras	--|--|---|
bailla axm	-----||-|
etquant il uint ensa	-|----|-|---|-|-|
si netrouua pasle nfancon	-|-|-----|--||-⌫------|
lorzsestmout	---||--|---|
bienaperch eu	---|------⌫-|
queiamesnese roit	--|----|-|--⌫---|
aléssen estenautret erre	----||-|--|-|----|-⌫---|
ses troisdrasconmenc h aaquerre	--|----|---|-------⌫-⌫||-----|
quant nes treu uemoutdeuint m as	----||-|----⌫-|---|-----|-⌫-|
lor ss e claim me cha itifet las	---⌫|-⌫|-----⌫-|---⌫---|-|--|
iletqueferoi	-|-|--|----|
pourmestroisdr as ie quit morroi	---|--|----|--⌫-|-|---|-----|
bien ma honnic estr ibaudel	---|||----|-⌫--|-⌫------|
parle gran tdie unen	--|-|----⌫|---⌫||-|
ui nu ltel	-|--⌫|--|
parlui su ige	--|--|--⌫|-|
atousio rsm es seroimendis	|---|--⌫-|-⌫-|----|-----|
certesiefuifol bacheler	-----|-|--|--|-------|
quant lefixceensdemourer	----|-|--|----|-------|
por r iensfairen e	--|-⌫---|----|-⌫|
carnecr oi	--|-|--⌫-|
p a squesetans	-⌫-⌫|--|--|--|
ha lasco nme	-|--|--⌫--|
estbe lualleton	--|--⌫|-------|
iamesestdeuenus larron	----|--|------|-----|
hahidantp etitiesuet	---|---|-⌫---|-----|
fort larronesiete pr amet	---|-----|-|-|-|--⌫---|
nesaiquelpa r t tu	-|--|---|--⌫-⌫|-|
tum asmes dras	-||-|--|---|
ienesaioutule s emportes	-|-|--|-|-|--⌫|-------|
malpassasset uoncmes	--|-------|-⌫|--|--|
touthors du sens l e	---|---|-|---|-⌫|
tainturier	---------|
sa maison conm en ceac herq ui er	-|-----|----⌫--⌫-||-⌫----⌫--⌫-|
partret outcherquesamaisonz	--|----⌫--|------|-|------|
t rouueroits escha uderons	-⌫--------|-⌫-|---⌫------|
tanta cher ciélesdeus tro uua	---||----⌫---|--|---|---⌫--|
me snulerienspardedensna	--⌫|---|----|--|-----|||
mou tfudolentet	---⌫|-|-----|-|
pourlas setintet decheus	---|--|-|---|-|------|
h ahi grantdieu i eque	-⌫--|----|---|-⌫|--|
iam es mes dr asnetrouueroi	---⌫-|--|--⌫-|-|--------|
ormecouuient letierscerqu ier	-|-|-------|-|----|-----⌫--|
le gra ntdieumepuisthuiai dier	-|---⌫-|---|-|----|--|--⌫---|
encor e mepo rroitualoir	-----⌫|-|--⌫----|-----|
tant alachae t la	---|--|--|-⌫|-|
che rchant	---⌫-----|
l egrantdie uformentregret ant	-⌫|----|---⌫|------|------⌫--|
q uau tierschauderon sadrecha	-⌫|-|----|--------||------|
un drapta i nt enbleuiltrouua	-|---|--⌫-⌫-|-|---|-|-----|
quant celui a	----|----||
aperc he u	-----⌫--⌫|
dut outn e	-|-⌫--|-⌫|
setin tdecheu	-|---⌫|-----|
apresch o isiaut re coulour	----|--⌫-⌫--|---⌫-|------|
debo n uertmeillorquains ne uit	-|--⌫|---|------|-|---|-|--|
meillorqual enfantn a uoit dit	------|-|||-----||-⌫---|--|
letainturier fumout	-|---------|-|---|
a soimeismez p r ist adire	|--|------|-⌫-⌫--||---|
b onestfet il qu	-⌫-|--|--|-|-|
encoreme ite	-----|--⌫--|
ma mainen ce s te chaudereite	-|---|-|--⌫-⌫-|----------|
sa ma i napardeden s	-|--⌫-⌫||--|-----⌫|
une escar late i	--|-----⌫---||
richebonne etbienas si ze	----|----|-|---|--⌫--⌫-|
plus uermeille c	---|--------||
unec he r ise	--|-⌫--⌫-⌫--|
quantil lout	----|--⌫|--|
lestroisdrastrouués	--|----|---|-------|
siconmeilles outd euisés	-|----|-|--|--|-⌫------|
axm le petitenfant	|-|-|----|-----|
e n son cueren outio iegrant	-⌫|--|---|-|--|--⌫-|----|
legrantdieuestformentloe ́s	-|----|---|--|------|---⌫-|
a uoittretous sauués	-⌫---|------|------|
les drasqu	--|---|-|
ilb a illaaxm	-|-⌫-⌫---||-|
queilqu idoit auoirperdus	--|-|--⌫----|----|-----|
pesalui delamescre a nce	---|--|-|-|------⌫-⌫--|
qu outa x mpar fole	-|--||-⌫|--|---|
xm uint enune g a stine	-|---|-|--|-⌫-⌫----|
oumout auo itde	-|---|---⌫-|-|
sau uagine	---⌫-----|
setansdaag eauoit x m	--|--||---⌫|----|-⌫|
quant ilfeis oittelezue r tus	----|-|----⌫--|----|--⌫-⌫--|
ly ons g rifonsaluiuenoient	--⌫--|-⌫-----||--|-------|
qu i moutdoucementlenclinoient	--⌫|---|--------||----------|
chemi nuenoit	-----⌫|-----|
un moutg rant	-|---|-⌫---|
lyonueniruoit	---|----|---|
nipo uo itpasser peleri n	||--⌫--⌫-|-----|------⌫|
quetantost nefust m is afi n	--|------|-|---|-⌫-||--⌫|
lili ons cont re xm uint	-|--⌫--|----⌫-|-|---|
entresespiez	----|--|---|
s aqu eu etint	-⌫|--⌫--⌫|---|
si con xmleuit uenir	-|--|-|-|--|----|
deparlernes e	-|-----|-|-⌫|
atantostde sfendu	|------|--⌫-----|
lebe neoitenfant	-|--⌫----|-----|
pl usenau ant	--⌫-|-|--⌫--|
acest motlilion erra nt	|---|--|-|---|----⌫-|
p arde ua n txmsa resta	-⌫-|--⌫--⌫-⌫|-||-⌫----|
satest e le nc l ina	-|----⌫||-⌫--⌫-⌫--|
b ien sot queces toitxm xm	-⌫--|--|--||--⌫---|-|-|
quide noien tle monde f is t	--|-|-----⌫|-|----|-⌫--⌫|
tret o utesl es	----⌫-⌫---|-⌫-|
bes tezsauuagez	---⌫--|-------|
adieu enclinentlor	|---|--------|--|
moutli feisoient	---|-|--------|
bele chiere	---|-----|
lesbestesdeuant etderie re	--|-----|-----|-|-----⌫-|
x mdemora longue ment	-⌫|-----|------⌫---|
a ueclesb estes eniou a n t	-⌫--|--|-⌫----|-|---⌫-⌫-⌫|
ioseph g ra nt doul or eneu st	-----|-⌫--⌫-|----⌫-|-|--⌫-|
sau ec lesbestesle	|--⌫-|--|-----|-|
mout fu da nt ioseph couroucié	---|-|--⌫-|-----|---------|
pour c e qu auo it donné	---|-⌫|-|---⌫-|-----|
axmso npetit	|-|--⌫|----|
en son cueren out	-|--|---|-|--|
d oul or grant	-⌫---⌫-|----|
pour sonfix f u mou tesmarrie	---|--|--|-⌫|---⌫|-------|
car nesau oitoufu alés	--|-|---⌫--|-|-|----|
enquelter renen	-|---|---⌫-||-|
qu el raignes	--⌫-|------|
po urcequ e xmdemoroit	--⌫-|-|--⌫|-|-------|
a iosephformentem	|-----|------|-|
xm faceoutpalie	-|---|--|----|
ce que formentl am a	-|--|------||--⌫|
les bestez sauuagezdouta	--|-----|-------|----|
l eussentdeuo uré	|------|----⌫---|
si enamoutsouu entplore ́	-|-||---|----⌫--|-----⌫|
sauoit ou ilest oit	-----|-|-|---⌫--|
do ntaucuergran t doulor	--⌫-|-|---|----⌫|-----|
aucunsdesiuisdela u ile	-----|--|---|-|-|-⌫--|
quixm amoient	--|-|------|
sans guile	---|----|
aiosephsontuenustoutdro i t	|-----|---|----|---|---⌫-⌫|
chascundistquemoutsedo u toit	------|---|--|---|-|--⌫-⌫---|
qu ebe stez neussentmengié	--⌫|--⌫---||------|------|
sonfixd ont mout s ontcouroucié	--|--|-⌫--|---|-⌫--|---------|
carilsauoientb iensa nsdout e	--|-|-------|-⌫--|--⌫-|----⌫|
quedeslyons auoitgrant	--|--|----|----|----|
et des sarp ense nlorpai s	-|--|----⌫--|-⌫|--|---⌫|
sontforme n tesbahi s	---|-----⌫-⌫|------⌫|
quantioseph	----|-----|
louroicedir e	---|-|-|---⌫|
en sonc uer	-|--|-⌫--|
en outm outgran tire	-|--|-⌫--|----⌫|--|
mout doutales bestes	---|----|--|-----|
queilneussentfet	--|-||------|--|
as on fixquialachar	|-⌫-|--|--||-|---|
li outfetentendre	-|--|--|-------|
autresiuisaios ephuindrent	-----|---||---⌫--|-------|
et d eparler	-|-⌫|-----|
pas ne setindr ent	--|-|-|-----⌫--|
ain slion tditsansdemorer	---⌫|-|--⌫|--|---|------|
quiluirent xm deuorer	-|-|-----|-|------|
aslyons quitoutl estrangler ent	-|----|--|---||----------⌫--|
enlagas tineouila lerent	-|-|---⌫---|-|-|-⌫-----|
qui donques ueisti oseph	--|------|----|-⌫----|
ses poinstuerdres e scheuex	--|----|------|-⌫-⌫|-----|
quilquidechesoi t uer ite	-|-|----|--|---⌫|---⌫--|
que li iuifliont	--|-|---|-|--|
que xmsonfixestpe rdus	--|-|--|--|--|--⌫---|
a p oi dedeul nestc onfondus	|-⌫-|-|---||--|-⌫-------|
de lagastinesedepart	-|-|------|-|-----|
xmq uemoutl i	-|-⌫-|---|-⌫|
estoit t art	-----|-⌫--|
queil ueistiosephsonper e	--|-|----|-----|--|---⌫|
etmaries adou cem e re	-|----|-⌫|---⌫-|-⌫-⌫-|
c arbien sauoitensoncourag e	-⌫-|---|-----|-|--|------⌫|
q ueli fe liuisplainsderage	-⌫-|-|--⌫|---|-----|-|---|
lia uo ientdite tconté	-|-⌫--⌫---|--|-⌫|-----|
ly onsl auoient	--⌫--||------|
estrang lé	-------⌫--|
en r epairoit	-|-⌫-------|
a iosep hq ui	|-----⌫|-⌫-|
dolentes t o it	-----|--⌫-⌫-⌫-|
lyonsetsa rpenspar der iere	----|-|--⌫----|--|---⌫---|
lesiuoie ntpar	-|------⌫-|--|
lachariere	-|-------|
et bie nsauoientsan sdoutance	-|---⌫|-------|---⌫|-------|
que ilauoitsortou s p uissance	--|-|----|--|---⌫|-⌫-------|
s i conm e	-⌫|----⌫|
iuis regard oient	---|------⌫----|
xm arier e uen iruoient	-|-----⌫|---⌫-|-----|
mo utenfurentesmerueillant	--⌫-|-|-----|------------|
etenl orcuers forment dout a nt	-|-|-⌫-|----|------|----⌫-⌫-|
bestes qui olui sont	-----|--||--|---|
tou slesiuispaoure nont	---⌫|--|---|----|-⌫|--|
orenttale ntnedesir	----|----⌫-|-|----|
mencongeparfornir	-------|--------|
ains se uoud ren tmeit re	---|-|----⌫---⌫|----⌫-|
q uant xm hautlor	-⌫---|-|---|--|
hafau siuisauant nalé s	-|---⌫|---|----||----⌫|
mesilecquesuousreposés	--|-------|---|-------|
xmlesfisttous d emor er	-|--|---|---|-⌫----⌫-|
nesenosa a ler	-||-|--|-⌫--|
pu isa feta	--⌫-||--||
toutes les bestes	-----|--|-----|
deuantl uiencl i nerl estestes	-----|-⌫-|----⌫-⌫--|-⌫-|-----|
lesiuisxmapela	--|---|-|----|
toute slesbestes	-----⌫|--|-----|
lormou stra	--|---⌫---|
ores gardésfelonsiuis	-|--⌫------|-----|---|
conuo usestesplain sdanemis	--|--⌫-|----|-----⌫||-----|
enuoscuers n a qu efa nfeluez	-|--|----|||--⌫|--⌫------|
ne ueésuous c he s bestesmues	-|----|---|-⌫--⌫|-----|---|
plussages sont enlor	---|----|---|-|--|
que l iplusui el de uousnesoit	--|-⌫|---|--⌫-|-|---|-|---|
c archascuneconnois tsonmestre	-⌫-|-------|-------⌫|--|-----|
touts oncorageettou t sone s t re	---|-⌫-|-----|-|---⌫|--|-⌫-⌫-⌫-|
neueésuousconf ont grant	-|----|---|--|-⌫--|----|
am o ydeuantuous en lauoie	|-⌫-⌫|-----|---|-|-|---|
xmsiadita slyons	-|-||--|-⌫|----|
aso ngarcon secouroucha	|--⌫|-----|-|--------|
etsi l ereprist laidement	-|-|-⌫|------|--------|
lorsdis txmmou tdoucement	---|---⌫|-|---⌫|--------|
a iosephquil ui tcouroucié	|-----|-|-|--⌫|---------|
l i a forment prié	-⌫||------|----|
que ilnesesm aiederien	--|-|-||---⌫--|-|---|
e tquilseraamende ́bien	-⌫|-|-|---|------⌫|---|
iosephse tut sansplu sparler	-----|-|--|---|---⌫|-----|
son garc on n osabla sme r	--|----⌫-||--|---⌫---⌫|
osa couroucier	--|---------|
moutredouta	---|------|
pour ce courou ciernelo sa	---|-|------⌫---|-||-⌫-|
trais tunpoiarie re	-----⌫|-|--|----⌫-|
en p ezsetintporl apro iere	-|-⌫-|-|---|--|-⌫|---⌫---|
t antou t chier	-⌫--|--⌫|----|
un petitetse trai t	-|------|-|----⌫|
pourconnoistreet p our ue oir	---|---------|-|-⌫--|--⌫--|
xmquie stoitmo ut p uissant	-|--|-⌫----|--⌫-|-⌫------|
auuall etadit maintenant	-|----⌫-||--|---------|
ualletdi s txm chauenés	-----|--⌫-⌫|-|--|-----|
ieueulquedelauoust enés	-|---|--|---|---|-⌫----|
tenez biencequeuousbaudroi	----|---|-|--|---|------|
et tirésquantie tir eroi	-|-----|----|-|---⌫---|
le f ustb ailliez	-|-⌫--|-⌫------|
auualletni a	-|-----||||
liunsacheetli a utretire	-|-|----|-|-|-⌫---|---|
xmxmnost resire	-|-|----⌫-|---|
leua lletiosephensaingné	-|--⌫---|-----|---------|
ca rlefusta	--⌫|-|---||
bienaloi ngié	---|----⌫----|
tantont an duitir éems emble	---|--|--⌫--|---⌫-|---⌫----|
quasses fuloncce	-|----|-|---|-|
me sem ble	-|---⌫--|
la uertuxmestmout grant	-|----|-|--|---|----|
car ilf etdu npetitungran t	--|-|-⌫-||-⌫|----|-|----⌫|
etsi fetbiendungrantpetit	-|-|--|---||-|----|----|
qu ien cestmondesorgueillist	--⌫|-|---|----||----------|
a inssi lonc fu lif usttrouu é	-⌫----|---|-|-|-⌫--|-----⌫-|
conlip rodons loutdeui sé	--|-|-⌫-----||--|----⌫--|
i osephtou tce biene sgarda	-⌫----|---⌫|-|---|-⌫-----|
conme xmlefust tira	----|-|-|---|---|
les deuspiecezleuade terre	--|---|-----|---|-|----|
tostqueilpoutgranterre	---|--|-|---|----|---|
ioseph de ce moutliezdeui nt	-----|-|-|---|---|----⌫-|
quan tlespiecesensamaintint	----⌫|--|-----|-|-|---|---|
dune longor chascuneestoi t	|--|-----|-------|-----⌫|
sicon l iprodonsdemandoit	-|--|-⌫|------|--------|
aiosephuin tlebaceler	|-----|---⌫|-|------|
pourlefustqu er re	---|-|---|--⌫--⌫-|
etdemande r	-|-------⌫|
