LicuensAmilesfumou ltpreusetsenéz.	-|----|-----|-|---⌫-|----|-|------|
abeïes Et	------|-|
delaissiertoutemamanandieSiert li	---------|----|-|-------||---|-|
santéz porquise.	------|--------|
CedistAmisMoult m au ézconiuré.Or	-|---|---|----||--⌫--|--------|-|
neltenézamal	--|-----||--|
ne auilt éSirecom pains	-||----⌫-|---|---⌫----|
etieleuoz diréMaisieuoz	-|-|-|--|----|---|-|--|
Deudemaies téSenele faitez ne	--|-|-----⌫--|-|-|-|-----|-|
mensaich ie ́ z mal	|-|-----⌫--⌫-⌫|--|
gré.Anu itden uit quant ilfue nseréEt	----|---⌫-|-|-⌫--|----|-|-|-⌫-----|-|
couchiéze nlitsouef M euint	--------|-⌫|--|----|-⌫|---|
unsang resqui g ietagr ant	--|---⌫--|--|-⌫---|--⌫--|
clarté QuemenuoiaIhesusde maie sté.	------|--||-----|-----|-|----⌫----|
Depluisorschose s	-|-------|-----⌫|
otmoult amoiparléDemanda moietbie n m	-|----||--|-----|------|--|-|---⌫||
aesprouué	|--------|
Seanulioruoldr oieauoir	-||--|--|-----⌫--|----|
san téEti eli disMiexuo ldroie	---⌫--|-|-⌫|-|--|---|--⌫-----|
finer.L ors me	-----|-⌫--|-|
dist ilque n efuisseeffraézNe m	---|-|--|-⌫|-----|-------|-||
esmaiaissemie.Ce	---------|---|-|
distliangre sUn petit	---|-|-----⌫|-|----|
mentendéz.	|---------|
f izainsne uol s motsonne r.	-⌫-|---|-|---⌫|--|-----⌫-|
Sirei lme distienel	---|-⌫|-|---|-|--|
uo zquier cel erQueuozdeïs seetuolsisse	--⌫|----|---⌫-|--|--|-----⌫-|-|-------|
douz fiuls quetantpoézamerCe est Morans	---|----|--|---|----|---|-|--|-----|
etGasc elinsli	-|----⌫----|-|
ber Seuozpor moi le suolézdec oper	--|-|--|--|--|--⌫|-----|---⌫---|
Le sancr esoiur e	-|---|-⌫------⌫|
dedensun b acinclerEtle mien	-----|-|-⌫---|---|-|-|---|
cors decelui sanc la uer	---|-|----|---|--⌫--|
Adoncporroiema santé	----|------|-|-----|
recouu rer .Licuen s le ntent si	------⌫---⌫|-|----⌫||-⌫----|-|
conmenceaplorerNe	-------||-----|-|
sot quefa i r enepot	--|--|--⌫-⌫-⌫|-|--|
u n motsonner.	-⌫|--|------|
Moult li estdur	----|-|--|--|
etaucuertro pame rDese sdouz	-|-|---|---⌫|---⌫|-|--⌫|---|
fiul s queil	----⌫|--|-|
otengendréz Comlespor raoc ir reet	-|---------|--|--|---⌫-|--⌫--⌫-|-|
afoler Seg ens le	-----|-|-⌫--|-|
seuentnusnelporroit tense r C onnel	-----|--|--|------|-----⌫||-|--|
feïstet panre	-----|-|----|
uergonder.	---------|
Maisd autr e partsep rentapo rpanserDou conte	---||----⌫|---|-|-⌫---||--⌫------|--|----|
ilpo tt anta mer	-|--⌫|-⌫--|-⌫--|
Queluimei ̈smezenlairoitafolerNe por	--|--|---⌫----|-|------|-----|-|--|
rien snu llenele porroit	----⌫|--⌫--|-|-|------|
ueerQuantse scompai nsp uetsanté	---|----|--⌫|------⌫-|-⌫--|-----|
recouurer.C est moultgr a ntc hose	---------||--|----|--⌫-⌫-|-⌫---|
dommemortrest orer	|---|---|----⌫---|
mausdes douzan fans	---|--|---|--⌫---|
tuerNus nenporroi tle	---|--||-|------⌫|-|
pechiépardonner ForsDexdegloir equi	------|--------|---|--|-|-----⌫|--|
s elaissapener.	-⌫|-----|-----|
D exdis tAmi lesqui	-⌫-|---⌫|---⌫--|--|
toutasa sauuerCist homsi	---|-||-----|---|--|-|
corspo rmoitanse r	---|--⌫|--|-----⌫|
Enlabatailledoutra ïtorHa rdré.	-|-|-------|--|---⌫----|--⌫-----|
Quant ie lipuis demoi	----|-|-|---|-|--|
santé donnerD e	-----|-----|-⌫|
mesanfansqueieuolz	--|-----|--|-|---|
en gendrerDemoi sontil	--⌫------|-|--|---|-|
por uoirlepuisconterLore	--|---|-|---|-----||--|
soit bonne	---|----|
queDexlesfist f orm er. Q uant	--|--|--|---|-⌫---⌫--|-⌫---|
mes comp ainsenpuet	--|----⌫---|-|---|
cerecouure r Que h om q uiuiue neli	-|--------⌫|--|-⌫-|-⌫-|---|-|-|
porroitdonnerFors	------|-----|---|
Dex de gloi requitouta a	--|-|----⌫-|--|---|||
sauuerIenellairo ieporles	-----|-|--|-----⌫-|--|--|
membrescoper Nepor	------|----|-|--|
onmeseüstd onne r Qu	-|-|-----|-⌫----⌫|-|
am esdo uz	|-⌫-|--⌫-|
fiznaillele schiéscoperPorAmi	--||----|--⌫|-----|----|--|--|
f aireaïe.	-⌫---|----|
Amis compain spuetce i estreuerte ́zQueuoza moi	---|-------⌫|---|-|-⌫----|-----⌫-|--|--||--|
auézDemesdouzfiz serasres uigourézQuant	----|-|--|---|--|----|---⌫--------|----|
uozs e r oi z	--|-⌫-⌫-⌫--⌫|
dous ancdeulsdo uzlaue ́z Liuostresdi sn	--|-⌫--||---|--⌫-|----⌫-|-|------|--⌫||
trespasséz.Lorsist Am ilestrestou za b an donnéz Hors	-----------|---|--|--⌫---|-------⌫|-⌫-⌫--⌫------|---|
lachambreenlasaleest	-|------|-|-|---|--|
ent réz. Ceul s quii fur en tena	---⌫----|----⌫|--||---⌫--⌫|-||
t restozgiet éz Serians u aslésetche ualie rs	-⌫-----|----⌫--|------|-⌫-----|-|---⌫-----⌫-|
N ire mest	||--⌫---|
homqui de mere	--|--|-|---|
soitnés.L eshuisferma si	---|----|-⌫-|---|----|-|
bar rézLes	---⌫---|--|
cham bres cerche	----⌫---|-----|
enuiron d e tozléz	------|-⌫|--|---|
Q u eaucuns hom	-⌫-⌫|-----|--|
nefu st laienz reméz . Quantuoitqu il	-|--⌫-|-----|------⌫|----|---|-|-|
l aienzbien es seulézCorporra fa ire tou tes	-⌫----|---|--⌫------||-|----|--⌫--|---⌫--|
sesuole n téz	--|----⌫-⌫---|
Sespeepren tetu nbacindor é Dedensla	|----|----⌫|-|-⌫|----|---⌫-|-----|-|
ch ambresenest	--⌫----||-|--|
moulttostaléz Ou	----|---|----|-|
lianfantgisoi entlézal éz.Dormans	-|-----|-----⌫--|---||-⌫---|------|
lestr euue bras a	--|--⌫---|---||
brasacolézN	---|------||
ot douzs ibiaxdescien	-|---|-⌫|---|----|-|
Duresté.Mou ltdoucem ent le sauoit resgardéz	--------|---⌫-|------⌫--|--⌫|----|---------|
que cheüz est	--|-----|--|
pa smé zCh iet lui l es peeet	--⌫----⌫|--⌫--|--||--⌫--|-|
libacinsdoréz.	-|-----|------|
Quantseredresces idistcomcuens me m brézChaitis	----|-|-------|-⌫|---|--|----|--⌫-⌫----|------|
porrai faireLicuensAmile s fuformentesp er duzAla	-----|----|-|----|-----⌫|-|------|---⌫--⌫--||-|
t err eestenuerspasmézcheüzL i bac ins chiet	-⌫---⌫|--|-----|------|-----|-⌫|---⌫--|----|
etlibrans d	-|-|----||
acie r nus. Quantse	----⌫|---|----|-|
redrescedistcomhomperceü zAhi	-------|---|--|--|-------⌫|--|
disti lchaitiscommar if uzQuan t	---|-⌫|------|--|--||-⌫-|----⌫|
tesanfan s aurazl es	--|-----⌫|----|-⌫-|
chiéstoluzMaisnemenchautq u ant	-----|----|---|-||-|----|-⌫-⌫--|
ciliertseco rrus	--|---|----⌫---|
Qui est desg ensen gr a ntuilté tenuzEt conme	--|--|--|-⌫--|-|--⌫-⌫-|-----|----|-|----|
morsest il	---|--|-|
amente üz. Ma isor uen ra enuie.Li cuens	------⌫---|--⌫-|-|---⌫-|-|---|-|----|
satariauersles anfan spasporpasen	|-----|---|--|-----⌫|--|--|--|-|
alaDorm ant	--|----⌫--|
treuuemoultpa rlesre sgarda S esp ee l ieue o c irreles	-----|----|--⌫|--|--⌫-----||---⌫-|-⌫---|-⌫-⌫---|--|
uoldra Maisde fe rir unpetitse	-----|---|-|--⌫--|-|----|-|
Liainznésfreres del effrois	-|-------|-----|-||-----||
es ue illa Queli	--⌫--⌫---|--|-|
mainne qu ien	-----|--⌫|-|
lacha m breen tra. L anfessetornesonpe re	-|---⌫-⌫--|--⌫---||----|-|----|--|--⌫-|
r auisa Sespee u o itmoult grantpaore na.	-⌫----||----|-⌫-⌫-|----|----|---|-⌫|-|
apellesilenarr a isonnaBia xsi re	-----|-||-|---⌫-⌫-----|---⌫|--⌫-|
toutformaQueuolézfai re Nelmecelézuoz	---|----|--|-----|---⌫-|--|-|-----|--|
mais nu sperestel chos e	---|--⌫|----|--|----⌫|
ne pensa.-Biaussirefiuls ocirre	-|-----|-----|---|----|-----|
uo zuoil iaEt	--⌫|---|-|-|
fre requi deléz	---⌫-|--|-----|
toi estaCarmes	--|---|--|--|
compai nsAm isqui moult m ama	------⌫-|--⌫-|--|----||--|
Dousanc deuoz li sienscors	--|---|-|--|-|----|---|
garistr aQuegi etéz	-------⌫|--|--⌫----|
est dousiecle. Bia xtresdouz	--|--|------|---⌫|---|---|
peresdist lanfeser ramment Quantuo scompainsaura	----|---||----|--⌫------|----|--⌫|-------|---|
ga rissementS edenossans	--⌫--------|-⌫|-|--|---|
asor soilauement Noz sommez	|--|--|-------|--|-----|
uostrede uo streeng enrementFaireen p oéz del to ut a	-----|-|--⌫---|---⌫-------|----|-|-⌫---|--|--⌫-||
tale nt.Ornoz	----⌫--|-|--|
copézles chiésisnelle mentCarDexde	-----|--|-----|-------⌫---|--|--|-|
gloirenozauraen prese ntE nparadiseni ro mmezchantant	-----|--|---|-|-----⌫-|-⌫|------|-|-⌫--⌫---|-------|
Etproiero mmezIhesu cuitout	-|-------⌫---|----|--|---|
ape nt Que doupechiéuo z face	---⌫-|--|--|------|--⌫|---|
te nsement uozet	--⌫------|--|-|
Amiuostr ecomp aingnong e nt.	--|-----⌫|----⌫------|-⌫-⌫--|
nostre mere	-----|---|
BelissantNoz salu ézporDeuomnipotent.	--------|--|----⌫--|--|--|----------|
Licuens loït moult g rans p i tie ́s	-|----||---|----|-⌫---|-⌫-⌫---⌫-|
l enpre ntQue touz	|-|---⌫-|--|---|
pasméz ala	------||-|
terres este nt.Quantseredresces ireprinst	----||----⌫--|----|-|-------|-⌫|-------|
hardement. Ororroiz iamer u eill esbonnegentQue tex	---------|-|-----|-|---⌫-⌫----⌫-|----|---|--|--|
noï s tezen	|---⌫-⌫--|-|
tout uostre uiua nt.Li	---|-----|----⌫--|-|
cuensAmil e su intuer sle	----|----⌫-⌫|-⌫--|---⌫|-|
Haucel espeeli	----||----|-|
fiulslec olestent.Orest merueilles	----|-|-⌫-|------|-|--|---------|
se licuers neliment. La teste	-|-|----|-|-|----|-|----|
c opeliperesson	-⌫--|-|----|--|
Lesans rec iutel cle rbacindarg entApoi	-|---|---⌫--|-|---⌫|----||---⌫--||--|
nechietaterre.	-|----||-----|
Quantoto cisli c uenssonfil	----|-|-⌫--|-|-⌫---|--|--|
premier E tlis ansf u couléze l	------|-⌫|-|-⌫--|-⌫|------|-⌫|
bacinchierLate st ecouchedeléz	----|----|-|--⌫--⌫|-----|-----|
le col a rrier Puis	-|--|-⌫----|---|
autrehauce le brantdacierLe chiefli	----|----|-|----||----|-|----|-|
trespa rmilecoli erLe san creciut	---|--⌫--|-|----⌫-|-|---⌫|-----|
elcler bac in	-|---|---⌫-|
E tquantlottoutsi mis tl atest earrier.	-⌫|----||-|---|-|---⌫|-⌫|----⌫|------|
unriche tap i schier	-|----|---⌫-⌫|----|
Ho rs delacham breistli	--⌫-|-|-|----⌫--|--|-|
sanstargierMo ult	---|------|--⌫--|
parafaitles h uisbi enuerroillie r.	--||---|--|-⌫--|--⌫-|----------⌫-|
Au conteAmiuintAmilesarrier Qui el	-|----|--|---|-----|-----|--|-|
litiutmalades.Au	--|--|-------|-|
co nteAmiestAmilesuenusQui iut m ala de sentre les	--⌫--|--|--|-----|----|--|--|-⌫---⌫--⌫|----|--|
Lebacintint plai n	-|----|---|----⌫|
etdesus Dousanc	-|----|--|---|
sesfiul scui il	--|----⌫|--|-|
auoittoluzLeschi ésdes corset	----|----|--|---⌫--|--|---|-|
cope ́z pardesuz.Amisle	----⌫-|--|-----|---|-|
uoitmoult en	---|----|-|
estes perduz .Or	--|--⌫------⌫|-|
se demente	-|------|
etdist La stan t	-|---|--⌫|---⌫|
marfu zQue tuuenisenterre.	--|--⌫|--|-|----|-|-----|
QuantAmisuoitles anc	----|---|---|-|-⌫--|
elbacinclerSachié z	-|----|---|-------⌫|
de uoirnio t	-|---|||-⌫|
qu espoe nter.A	-|-----⌫----||
tantezuozdant	---|-|--|---|
Am ile leberSoncompa ingn onen prinsta	--⌫--|-|--|--|-----⌫----⌫-|-|-----||
apeller BiaussireAmiorpoe ́zbienleuer	------|----|---|--|-|---⌫-|---|----|
Separtel chose	-|--|--|----|
puetuostrecorssane r EtDex	---|-----|---|----⌫|-|--|
de gl oire	-|--⌫---|
uozweultsantédonnerDe mesdouz fiuls	--|----|-----|-----|-|--|---|----|
queieaidecole ́ z	--|-|-|------⌫-⌫|
Neplaing ienulf oi quedoi saint Omer .Am i s	-|-----|-|--|-⌫-|--|--|----|----⌫|--⌫-⌫|
se lieuesi	-|----|-|
conmencea plorer. S on co mpai ngnonpue tilbien	-------||------|-⌫-|--⌫----⌫----|---⌫|-|---|
Que uolentie rsilli	--|--------⌫-|-|-|
uoldroit donnerSagarisonsill apooit	-------|-----|-|------||-|-⌫|----|
trouuer .Une g rantcu uefait Amile	-------⌫|--|-⌫---|--⌫-|---|----|
aporterSo n	------|--⌫|
compaing nonafaitdedensentrerMais a	--------⌫--||---|-----|-----|---||
grant p a i ng n e ipuet	----|-⌫-⌫-⌫--⌫-⌫||---|
cil a u aler Tantfortestoitmalades.Orfu	--|-⌫-⌫---|---|---|-----|-------|-|-|
Amis en l a	---|-|-⌫|
cuueenparfont	---|-|------|
Amilest intle	-----|-⌫--|-|
ba c inreontDou	--⌫-⌫-|----|--|
rougesan c	----|---⌫|
lia frote ́	-||-----⌫|
lefrontLesi ex	-|----|--|-⌫-|
la boucheles membres	-|-----|--|------|
que lcorssontIambeset uen tre etlecors	-|-⌫|---|---|-----|-|---⌫--|-|-|---|
contrem ont	-------⌫--|
Piés cuissesm ainslesespaulesamon t.Dou sancpartout le	----|------|-⌫---|--|-------|----⌫-|--|---|------|-|
touche. Amil e s	------|----⌫-⌫|
fuet pre udometgen tiz.Soncompaingnon	-|-|---⌫---|-|---⌫---|--|----------|
anonAmis Leue dou	|--|---|---|--|
sancetla bouche	---|-|-|-----|
Moultpuetbiencr oirequeilest ses	----|---|---|--⌫---|--|-|--|--|
amis Quantse sdouzf iuls	---|----|--⌫|---|-⌫---|
asiporlui ocis.	|-|--|--|----|
Oiéz seignor comouuraI hesucr is.Si	----|------|--|----|-⌫------⌫--|-|
comi l tou che lesancelfront Amis	--|-⌫|---⌫--|-|---|-|----|---|
Li chietl aroiffe	-|----|-⌫|-----|
estoits ozprin sLesmains	-----|-⌫------⌫|--|----|
garissentl iuentres et lip is .	--------|-⌫|------|-|-|-⌫--⌫|
Quant orleuoit Am ilesses amisDeuenrent	----|-|-|---|--⌫---|--|---|--|-|---|
graces l e	-----|-⌫|
para dis Etse ss ains	----⌫--|-|--⌫|-⌫---|
etsessaintes.	-|--|-------|
Amileslicuensde io ieplainsD ece qu	-----|-|----|-|--⌫-|-----|-⌫|-|-|
e stoitgarise tsains.	-⌫----|----|-⌫|-----|
OrconnoistbiendAmi lesblanches	-|-------|---||--|--|-------|
m ainsAnduifont ioiede	-⌫---|----|---|---|-|
ces oi ézcertai n.HéDex	-|-⌫--⌫--|------⌫-|--|--|
faitilb i au sP e ressouu e rains Gr aci iéz soii é zuozettuit	---|-|-⌫-⌫--⌫|-⌫-⌫--|----⌫-⌫----|--⌫---⌫---|----⌫--⌫|--|-|---|
uostr e saintBiax Per eesperi tables	-----⌫|----|---|---⌫|------⌫-----|
Qu antAmi sfuet	--⌫--|---⌫|-|-|
haitiézSachiéz de uoirmoultfu A m ileslie ́s.	-------|-------|-|---|----|-|-⌫-⌫---|---⌫--|
Lors fuAm isacolé z e tb aisi éz	---|-|--⌫-|------⌫|-⌫|-⌫----⌫--|
EtDexd egloireloézet	-|--|-⌫|-----|----|-|
gr aci ié z.Lic uensAmilesqui fubien enseingniéz	--⌫---⌫---⌫-|-|-⌫---|-----|--|-|---|-----------|
ensa cha mbrebon sdras	-|-|---⌫---|---⌫|---|
enagietiéz Douzpa i r e	-||-------|---|--⌫-⌫-⌫|
bieneniert	---|-|---|
aasiéz Cotess or quos	------|----|-⌫--⌫---|
mantiau ls bien entailliéz	-------⌫-|---|----------|
D osterinfurentmoultbienappareilliéz.Amiss	|------|-----|----|---|-------------|---||
e nuest qui	-⌫|---|--|
estsainset haitiézE t	--|----|-|-------|-⌫|
ilmeïsme zsenestb ienatiriéz.	-|-------⌫||-|--|-⌫--|--------|
nus ho mdeuerté	--|--⌫|-|-----|
le saichié zQuilesdouzc ontes	-|--------⌫|--|--|---|-⌫----|
ue ïst si atirie ́ z Quelunsde	--⌫---|-|------⌫-⌫|--||--|-|
l autre parlui	|----|--|--|
triiézTantfortse resambloient .D echieresrobes sont	------|---|---|-|------------⌫|-⌫|------|----|---|
u est ulibaronT ants	-⌫---⌫|-|----|-⌫--||
entresamblent de uis	------------|-|--|
etdementon	-|-|-----|
Dou conten irdel nésde la raisonQue	--|------⌫-|--|---|-|-|-----|--|
lesdou zcontes n e	--|---⌫|-----|-⌫|
des seuerroithom QuiestAmilesne Ami sli	---⌫--------|--|--|--|-----|-|---⌫|-|
bar on.Qu ant	---⌫--|--⌫--|
uestufurentsiuont	----|-----|-|---|
Sim on Cestunsmon sti ers qui	---⌫-||--|--|---⌫---⌫--|--|
estde grantrenon .Lafa me Amilea la	--|-|----|-----⌫|-|--⌫-|----||-|
c lerefaso nEstoit	-⌫---|----⌫|-----|
aleepor f ai resori son	---|--|-⌫--⌫-||---⌫--|
Etdelagentiot	-|-|-|---||-|
agra ntfuison.Ezu ozAmile etAmi le	|---⌫-|------|-|-⌫-|----|-|--|-|
baronQuidou palais descen dent.Ius	----|--|--|-----|------⌫----|--|
doup alais	--|-⌫----|
descendent	---------|
mainamain.Lid ui baron quiontles cuer s	---||----|-|-⌫-|----|--|--|--|----⌫|
certai nsSont	------⌫-|---|
descendu dou palaisiusaupla in.Bienresamble r e nt	-------|--|-----|--|-|---⌫--|---|--------⌫-⌫-⌫-|
chastelain Moultlesesgardent etborioi setuilain. Ne	---------|----|--|--------|-|------⌫|-|------|-|
s euen tpas	-⌫----⌫|--|
so ntbien certainLiqueuls deulsdouz	--⌫-|---|------|-|-----||---|---|
lo r siress ouurain s Tuit en sonten	--⌫|----|-⌫-------⌫|---|-|---|-|
doutances.Des	---------|--|
baronscon seillen tcel legentCar ilne	-----|---⌫-------⌫|---⌫-|---|--|-|-|
seuent f aire	-----|-⌫---|
deuisementLique ul s estsires	---------|-|---⌫--⌫|--|----|
onnorsap ent	-----|--⌫--|
Tantsontli	---|---|-|
conteyn galetd	----|--⌫--|-||
u nsamblant.Licompaingnonni	-⌫|--------|-|----------|||
furentarrestantIusqua l	-----|--------|----|||
egliseouestoi t	-----|-|-----⌫|
Lafame Amileq uim ou lt otlecors	-|---|----|-⌫-|-⌫--⌫-|-|-|---|
iant.Main amainentre nt	----|---||---|-----⌫-|
dedensl orchiéssaingn ant.Diteiertla	-----|-⌫-|-----|------⌫---|---|---|-|
messe s enissoient	----||-|-------|
laiant. Laf am eAmiles	-|----|-|-⌫--⌫|----||
enuenoitaus imentMais quant	-|-----|---⌫----|---|----|
elu it les con tese n presantSes	-|-⌫-|--|---⌫--|-⌫|------|-||
merueil lantTou t e pasmeea laterres esta nt De la	-------⌫---|---⌫-⌫|-----||-|----||----⌫-|-|-|
merueill eque elleuoitsi g ran t.A u redrescier ico rren t	--------⌫|--|---|---|-|-⌫---⌫-|-⌫|---------||--⌫----⌫|
decen t.Qua ntsered resc esi parol e	-|---⌫-|---⌫-|-|---⌫----⌫|-|-----⌫|
enoiantS eigno r	-|----|-⌫-----⌫|
distelle porDeule roiamantI es ai de	---|---|--|--|-|-------|-⌫|-⌫-|-|
encia n tLunsdeuozd ouzaen	-----⌫-⌫||--|-|--|-⌫--||-|
moipart moultgrant	--|---|----|----|
Ets estAmil esli	-||--|----⌫-|-|
ha rd is combatansMaisie	--⌫--⌫-|--------|---|-|
faire co nnoissement.	----|--⌫-----------|
C edistAmilesuostres su i	-⌫|---|-----|------|--⌫|
Belis santEtue ́zici	-----⌫---|-|--⌫-|--|
A milecombatant	-⌫-|-|--------|
souffert tan t	-------|---⌫|
longuem ent MaisIhesuc risl enafaits auuement	-------⌫--|---|------⌫--||-||---|-⌫-------|
Quegaris ests i com es tappa rant.Ladammel	--|----|--|-⌫|--|--⌫|----⌫----|-|----||
oit sesmains	--|--|----|
uer s Deu en	---⌫|--|-|
t antLa sagenoillentplus de douzmilleiant	-⌫--|-||----------|---|-|---|----|---|
Q uituit en	-⌫-|---|-|
re nden t m erc ia uRoipuiss ant.Sonnent cilsaintet	--⌫----⌫|-⌫---⌫|-⌫|--|-----⌫---|------|--|----|-|
u ontchantantEtd e	-⌫--|-------|-|-⌫|
pitiéenplorentplusde ce nt.	-----|-|------|---|-|--⌫--|
Ce distAmiles Ne faitez ioi e	-|---|-----|-|-----|---⌫|
tant An soiz	---|--⌫---|
deuonsmenerdolor	-----|----|----|
moultgrantCa rmifilsont oc is etmortsaingla nt.	----|----|--⌫|-|--|---|--⌫-|-|---|-------⌫--|
lesoci s amon aceri nbrantSi	--|---⌫||--|-----⌫|----|-|
lo rcopailes ch i és tout	--⌫|----|--|--⌫-⌫--|---|
uoirement.Lesanc retinzenun bacin dariantEt	---------|-|---|-----|-|-|----||-----|-|
fis aAm i laueme nt .Ilot	--||--⌫|------⌫--⌫|-|-|
tantostdemal	------|-|--|
garissement Mais	----------|---|
toutcefuparl amon es tementIhesu	---|-|-|--||----⌫--⌫-----|----|
leP erequit ouz lesbiens	-|-⌫--|--|-⌫--|--|----|
co nsent.O renue nézsiuerrézmont ormentEtmon	--⌫-----|-⌫|-|--⌫---|-|------|--|-⌫-----|-|--|
et mondue l quies tgrans. Quantles auronz	-|--|---⌫|--|--⌫|-----|----|--|-----|
e nterr ézrichement	-⌫-----⌫--|--------|
Puis nozcopézles chiés de maintenant	---|--|-----|--|-----|-|---------|
Cardeserui lauommez.	--|------||-------|
Cedis tAmiles	-|---⌫|-----|
a lac hiere me mb reeue ne ́zentuit	|-|-⌫----|--⌫--⌫--|--⌫--⌫-|-|---|
bonnegenthonoreeS eriantbor iois c heualier gentletre e	----|---|------|-⌫-----|---⌫---|-⌫-------|---|-----⌫|
L assus amonten	-⌫----|----|-|
lasalepau ee Et	-|---|---⌫-|-|
si u erroiztu it	-|-⌫-----|--⌫-|
Onquessidurene fumaisesgardee.Lorsueï ss iéz	-----|-|---|-|-|---|--------|---|----⌫--⌫---|
moultgr ant	----|--⌫--|
estriu ee C orre le sgensauant derandonnee	------⌫-|-⌫---|--⌫|---|----|-|--------|
T restuitenmontenten lasale pa uee. Son n ent lisaint	-⌫------|-|------|-|-|---|--⌫---|---⌫-⌫--|-|----|
toute lacontreePo rle sanfansfumoult	----|-|------|--⌫|--⌫|-----|-|----|
grans la c riee.	----|-|-⌫----|
Laue ïs siézma intecro isaportee M ain t	-|--⌫---⌫----|--⌫---|---⌫-|------|-⌫---⌫|
encensier dont	--------|---|
es t lafumeeTuitci l	--⌫|-|----|---|--⌫|
preuoirechantentagrantcriee	-------|-------||----|----|
cha ntdes morsa	---⌫-|--|---||
moult gr ant	----|--⌫--|
alene e.EtBelissansnefupas	-----⌫-|-|--------|-|-|--|
arresteeC estlaprem ier e	-------||--|-|----⌫---⌫|
lachamb re	-|-----⌫-|
este n tree	--|-⌫-⌫---|
Plor ant crianttr esto ut ees cheuelee Porsesanfansa	----⌫--|-----|--⌫----⌫--⌫|--⌫-------|--|--|-----||
dolor men ee. Ceduelme nantla	----|---⌫--|-|---|--⌫---|-|
ch ambread effermee. D ex i	--⌫----||-⌫--------|-⌫-||
lauertusnommee.Le sanfans treuuegisanssozla	-|-----|------|--⌫|-----|-----|-----|--|-|
uelee Ens e ant ierent	----|-|-⌫-⌫--|-----|
s on tgr antioiem eneeU n epome	|--⌫|--⌫--|---|-⌫---|-⌫-⌫|---|
orentqu id or estoitouuree	----|--⌫||-|-----|-----|
Dontseiooientpar	---|-|------|--|
destinnee.Ez uozla damme q uitant	---------|-|--|-|----|-⌫-|---|
fu effraeeDela	-|------|-|-|
m er ueille estcheüepasmee. Ainzque	-⌫--⌫-----|--|-----|------|---|--|
poï stbieniestrereleu ee	----⌫-|---|-----|-----⌫-|
Fusilachambrede lautregent peupl ee	-|-|-|------|-||----|---|-----⌫-|
merueillesen	--------||-|
e stenze ntassee.Belis sansbaises e zfiz	-⌫-|--|-⌫-------|-----⌫---|----|-⌫-⌫|--|
bra cel eue e . Toutmaintenantestla	---⌫-|-⌫---⌫-⌫|---|---------|--|-|
nou uelle alee Etau	---⌫----|---|-|-|
cl ergiéet ala gentlettree	--⌫-----|-||-|---|------|
Eta touz ceulsq u ontfait	-||---|----|-⌫|--|---|
assamb l e eQueDex i	------⌫-⌫-⌫|--|--||
amira cledemonstree Des douz anfans	|----⌫--|---------|--|---|-----|
af ait resusci t ee.Ami lesala paroleescoutee	|-⌫--|-------⌫-⌫--|---⌫--||-|-----|-------|
Amis a la chiere membree.	---||-|-----|-------|
Telioieenontne potie st re cel eeCar	--|---|-|--|-|--|--⌫--⌫-|---⌫-|--|
ambedui le s	------|--⌫|
aimment. QuantBelissansuo itles anf ans	-------|----|--------|--⌫-|--|---⌫--|
ioerB raceleuee	---|-⌫---|----|
lesco rrut a cole r.Quilorsueï stdedensla chamb r eentrer	--|--⌫---|-⌫----⌫-|--|---|----⌫-|-----|-|-----⌫-⌫|-----|
Se riansbori ois	--⌫----|----⌫--|
p u celles entasser	-⌫-⌫-----|-------|
Etd ela ioie Ihesucri st	-|-⌫|-|---|--------⌫-|
grantmeruei ll elipoïstramembrer. Licuens	----|------⌫--⌫|-|-----|---------|-|----|
A miles ne poo it enz	-⌫----|-|---⌫-|--|
e ntrerMaisb ien oi ̈tla	-⌫----|---|-⌫--|--⌫-|-|
nou uelleconter	---⌫----|-----|
Desesanfans q ueDexot suscitéz.EtBel issans	-|--|-----|-⌫-|--|-|---------|-|---⌫-----|
uiscle r Departl a p ressen	--|---⌫|-----|-⌫|-⌫----||
iuoltplusarre st e r Ses	|---|---|----⌫--⌫-⌫|--|
f iz an main n e quellepotmoultamer.Bien	-⌫-|-|----⌫-⌫|-|---|--|----|----|---|
lesot fai t uestir	--|-|---⌫|-----|
etco nr aerNot douz	-|--⌫--⌫--||-|---|
pl usbiaxdesc iqueaMontcler	--⌫-|---|----⌫|--||-------|
Iu squan la sale l esena	--⌫--|-|-|---|-⌫-|-||
fait g uier. Quantorl esuoitdans	---|-⌫----|----|-|-⌫-|---|---|
Amilesliber Lorslesc orrutbaisi er	-----|-|--|---|--|-⌫----|-----⌫-|
etacol er Amis	-|----⌫-|---|
ausiz ici l	----|---⌫|
nepuetfiner D euls conioïretdouf orthon orer.	-|---|----||---|-------|-|--|-⌫--|---⌫----|
Lesgenslesuiennentueoir etesgarder. Dist Bel i ssans	--|---|--|-------|----|-|--------|---|---⌫-⌫----|
Sir eAmilebons	---⌫|----|---|
ber Sei ecuidais se hu im ain	--|-|-⌫|-------⌫-|--⌫--⌫--|
alaiorne r	||------⌫|
Queu ol sissiézmesanfans	--|-⌫--⌫-------|--|-----|
de c o ler Remesefui ssegeluoz di	--⌫-⌫-⌫--|-----|---⌫--|--|--|-|
sa nsfausser Po rreceuo ir	--⌫-|------|--⌫|------⌫-|
