cuers esu eille	----|---⌫----|
nospouonenten dre	--|----|-----⌫--|
chantez auois melodio se	------||---|-------⌫-|
simplepl esan tetgrac iose	-----|--⌫----⌫|-|----⌫---|
le biau chan tdep lusorspuceles	-|---|----⌫|-|-⌫-----|------|
lesfet bi enamerper	--|--|--⌫-|---|--|
m e t re doi ztone ntenci on	-⌫-⌫-⌫-|---⌫|--|-⌫------⌫-|
a sonnerlepsalterion	|-----|-|---------|
ouguiterneoucitole	-|-------|-|-----|
ce stcenquid utoutno usafole	|-⌫-|--|--|-⌫|---|--⌫-|----|
semblableme nt tedoiza dieur e	-----------⌫-|-|---|-⌫-----⌫|
arommansfe tichementli eure	|------|--⌫--------|--⌫---|
quer les heno rs etletempsa	---|--|----⌫-|-|-|----||
fameoutant des bat emens	---|-|---||--⌫---⌫----|
gran dementtepu et auanchier	----⌫-----|-|--⌫-|--------|
bien carol eretbiendanchier	---|-----⌫-|-|---|-------|
ba lerpass e raurigolet	--⌫--|----⌫-⌫|-|------|
ap e titpassimple et mole t	|-⌫-⌫--|--|-----|-|----⌫|
lesgieuzdesesches	--|----|--|-----|
e t deta ble s	-⌫|-|--⌫---⌫|
telzsontpro preset couuenables	---|---|---⌫---|-|----------|
no us tenonf ame abienaprise	--⌫-|----|-⌫--||---|-----|
e nseit lart etla g u ise	-⌫|---||--|-|-|-⌫-⌫--|
enf aisan t	-|-⌫-----⌫|
tongieuproprement	--|---|---------|
doiz pe nsercouuenablemen t	---|--⌫---|-------------⌫|
t elzgieuzsoutilz seulent moult	-⌫--|----|------|------|----|
qui cor tois ement le seitfere	--|---⌫----⌫----|-|---|---|
desautresgie uzest largement	--|-----|---⌫-|--|--------|
oupeuz ioue rsemblablement	-|---|----⌫|------------|
enmilformes	-|--|-----|
se tuueuz quenen	-|-|---|--|--|
t r op lede ch ose	-⌫-⌫-|---|--⌫--|
es tapucele	--⌫||-----|
quantiouer ne seittantsoit	----|----|-|---|---|---|
pari ouer solonnossou ue nt	--|-⌫---|----|--|---⌫--⌫-|
entrer enl	-----|-||
amorouscouuent	------|------|
le fo rtnestpa s	-|--⌫-||--|--⌫|
mesauos moursbien aoner	--||--|----|---|----|
siquenuleeniouant n edie	-|--|---|-|-----|-⌫|--|
nemes henouret courtois ie	-|--|-----|-|--------⌫-|
quantuostredouz cont e nement	----|-----|---|----⌫-⌫-----|
etuosb iautesapert eme nt	-|--|-⌫-----|-----⌫---⌫-|
regar donqueque	-----⌫--|--|--|
nulm ed ie	--|-⌫|-⌫-|
dugieulagreignorp artie	-|---|-|-------|-⌫----|
plusorsenaiueu tenchi er	------|-|-|--|------⌫-|
to ut uousissenttrenchier	--⌫-|---------|--------|
parla rdourde	--||-⌫----|-|
lorcouuoiti se	--|--------⌫-|
q uant legie unaloit a	-⌫---|-|---⌫||----||
lesau tres ai	--|--⌫---|-|
etaencientpariur er	-||------|------⌫-|
e td ireblasmesa nzdeserte	-⌫|-⌫--|-----|--⌫-|------|
a finderecouure r lor	|--|-|--------⌫|--|
iupiterlesouuer a insire	------|-|------⌫-⌫-|---|
u ou sgart	-⌫--⌫|---|
det elzledenges	-|-⌫--|-------|
etdetelz parolesretrere	-|-|---|------|------|
qui doient asda m es	--|-----|-|--⌫-⌫-|
cenna part i ent	--||-⌫----⌫-⌫--|
pas as ge ntilles	--|-|--⌫------|
mes asuil ainset alorf illes	--|-|---⌫---|-||--|-⌫----|
quibie nhenour	--|---⌫|-----|
necortois ie	-|-------⌫-|
ne so uur entonques	-|--⌫---⌫--|-----|
pourletempscha utsosestes	---|-|----|---⌫-||-|----|
uous deuez t enires umbr ages	---|----|-⌫---|-|----⌫---|
pourlagrantardo re schiuer	---|-|----|----⌫|-⌫------|
qui le halle	--|-|----|
feta uiuer	--|-⌫----|
a p rendr edeuezlesusages	-⌫-⌫-----⌫|----|--|-----|
petispel erinages	----|---⌫-------|
plusorsyontestéadieutes	------||--|----|-------|
qui d epuis	--|-⌫----|
yont eugranss ieutes	|--|-|----|-⌫-----|
lauousdeu ezuous es mouuer	-|---|---⌫-|---|--⌫-----|
querachesonpo ueiztrouuer	---|------|--⌫---|------|
ysouu ent et	|----⌫--|-|
amainte enest bien au enu	|-----|-|--|---|--⌫--|
as yglisesencou rtinees	-|------|-----⌫------|
ascaroles asassem blees	-|------|-|-----⌫----|
uou sdeue zbienmoustrerpar ees	---⌫|----⌫|---|-------|---⌫--|
seuousdes irezestre amees	-|---|---⌫---|----|----|
pourniena fame be le	---|---||---|--⌫-|
nebia ucorsse	-|---⌫|---|-|
moustrernel ose	-------|-||--|
querbia utedefameestperdue	---|---⌫--|-|---|--|-----|
quitoutesfois s e ti ent en mue	--|-----|---|-⌫|--⌫--|-|--|
po ur cenuoilieque h o rs s etree	--⌫-|--|---|-|--|-⌫-⌫-|-⌫|---|
souuentsi quechesc u nl a u ee	------|-|--|-----⌫-⌫|-⌫|-⌫-|
soi moustrer e stmont	--|-------|-⌫-|---|
pro fetable	---⌫------|
afame beleetdelieta ble	|---|---|-|-------⌫--|
plusors ouaillesseutassaudre	------|-------|---|-------|
la lo u uequ i	-|--⌫-⌫-|--⌫|
pas neue utfaudre	--|-|--⌫-|-----|
siseti entelle bien contente	-|-|--⌫--|---|---|-------|
empuetestre a sa sente	-|---|----||-|----|
autres ip our	------⌫|-⌫--|
un ami fe re	-|--|--⌫-|
uousdeuez entreplusorstrere	---|----|----|------|----|
lorsnefa udre zpasam entente	---|-|--⌫----⌫|--|||------|
qu auc uns	-|---⌫-||
amo rn euou spresente	---⌫|-⌫|---⌫|-------|
p our au oirprisethenor	-⌫--|--⌫--|---|-|----|
tedoiz entouzliex	-|---|-|---|---|
efforchier	---------|
deparlerhenorab lement	-|-----|-------⌫-----|
atoutesgenzetdou ce m ent	|-----|---|-|---⌫--⌫-⌫--|
telsedeuient	--|-|------|
parlertorra	-----||---|
quitos tses	--|---⌫|--|
amorstedorra	----|-|----|
s anzcenquetu t	-⌫--|--|--|-||
enprengesgarde	-|------|----|
riensquedouzparler n	----|--|---|-----||
tu m etr ecure	-|-⌫---⌫|---|
maintbiau coup giestenauenture	----|---|---|----|-|-------|
nentreuuemainte foizsanzqu erre	--|-----|-----|---|---|--⌫---|
cuer deserre	---|------|
tegarde alentabler	-|----|||-------|
quecilne t euoillefabler	--|--|-|-⌫|-----|-----|
quifetacrerepa rsemblant	--|--|-----|--⌫|-------|
qu e toutson cuerliuas enblant	--⌫|---|--|---|-|--|------|
aucunsenes t	-----|-|--⌫|
s iensengniés	-⌫|----------|
sicoustiuez e t si paig niez	-|--------|-⌫|-|----⌫---|
quilsembleasfames quiles ueent	-|-|-----|-|----|--|--|----|
quetou t le mundeenl or maineent	--|---⌫|-|----|-|-⌫-|---|---|
genz n euousatretiez	---|-⌫|---|-------|
quer ce sontribaus af feitiez	---|-|---|-----|--⌫------|
quepas nidorreent paillete	--|--|||-------|-------|
lo ruolente fus t fete	--⌫|------|---⌫|---|
amansn a fons	----|||---|
cell eestsagequil es eschiu e	----⌫|--|---|--|-⌫-|------⌫|
q uerau tretantco mmeiluousdient	-⌫--|--⌫------|--⌫--|-|---|----|
a che scun	|---⌫---|
quanttelz gens	----|---|---|
fo ntplus or s amies	--⌫-|----⌫--⌫|----|
uousuo usdeuez tenir	---|--⌫-|----|----|
dautres amisa	|-----|---||
lorssiserabonterendue	---|-|---|----|-----|
auc un sen	---⌫--⌫|-|
estdaut remaniere	--||---⌫-|------|
quifaingnen tuois m enchongiere	--|--------⌫|---|-⌫----------|
uou sdeuezsauoir	---⌫|----|-----|
ce nestforspourdu uostreau o ir	-||--|---|---|-|-----|--⌫-⌫-|
neso iezpourcen dec eues	-|--⌫--|---|--|---⌫---|
sebelesrobes	-|----|----|
o ntuestues	-⌫-|------|
ou s ilon tioui aus ou cheintu res	-||-|--⌫|----⌫--|-|-------⌫--|
dediuerses de sguiseures	-|-------|--⌫---------|
aucunefoi z telz	-----|---⌫|---|
ioiaux ostent	-----|-----|
a sfamesde qui eulz	-⌫|----|-|--|---|
s aco stent	|---⌫----|
etaussiuont	-|----|---|
ilentoruous	-|----|---|
pouruosiou ia us plus que pour uous	---|--|---⌫--⌫-|---|--|---|---|
centmile en ontestém oquies	---|---|-|--|----|-⌫-----|
quetelzr ibausontessilliees	--|---|-⌫----|--|---------|
etpource n doit chesc une sag e	-|---|--⌫|---|-----⌫--|---⌫|
soimirerena utr idamag e	--|----|-|-⌫---⌫|-----⌫|
essa mpledautri	----⌫---||----|
uousensen gne	---|-----⌫--|
quecescunesi	--|------|-|
secontiengne	-|---------|
porte nesoitouuerte	----|-|---|------|
a telzgenzdon t peutuenirperte	|---|---|---⌫|---|----|----|
s elsuous prame tentprametez	|--|---|-----⌫---|-------|
m esrienzduuost re ni	-⌫-|----|-|----⌫-|||
qu antlorp ra messesarezprises	--⌫--|--|-⌫--⌫-----|---|-----|
do nnezlorsles ioi espram ises	--⌫---|---|--|---⌫-|----⌫---|
issiuous deuezuous	---|---|----|---|
uersceulz qu i	---|----|--⌫|
uo us ue ulent larder	--⌫-|--⌫----|-----|
aue rsles fin zamans uritable s	---⌫-|--|---⌫|----|--------⌫|
e stredo uchesetamiables	-⌫---|--⌫----|-|-------|
sauc untenuo ie	|---⌫-||----⌫-|
letre sclos es	-----⌫|----⌫-|
c anchons mand emens outelz	-⌫------|----⌫----|-|---|
prendre lesdoiza bonnechiere	------|--|---||----|-----|
oufere prendrea ta chambriere	-|---|------||-|---------|
apressoutilm entlesregarde	----|-------⌫--|--|------|
etdeso n pa rle r tep reng arde	-|-|--⌫|--⌫---⌫|-|-⌫--|-⌫---|
sa uo ir monse c est par	--⌫--⌫-|--|-||--|--|
ou defin cuerquetant	-|-|--|---|--|---|
rescrire doiz nonp a s	-------|---|--|-⌫-⌫|
mes a prezun p o i de demore	--|-⌫---|-|-⌫-⌫|-|-----|
quer demore esueille	---|-----|-------|
les amansmesquelle so it brieue	--|----|----|---|--⌫-|-----|
pa rtr o plongueme ntp ou r loignier	--⌫|--⌫-⌫|--------⌫-|-⌫--⌫-⌫-------|
s eseulentamorsesl oignier	-⌫|------|----|---⌫------|
querilse mblea	---|-|--⌫---||
celuiq u iprie	----|-⌫-⌫|---|
quecen est nemesmoqu erie	--|-||--|-|--|----⌫---|
p ourcen doizass ez	-⌫--|--|---|---⌫-|
tostrescrir e	---|-------⌫|
setesamor sueuz d escr ire	-|--|----⌫|---|-⌫----⌫--|
et sitedoizbie n	-|-|-|---|---⌫|
at a rep o n se deuiser	|-⌫|---⌫-⌫-⌫-|------|
me sdelegier nedoizprametre	--⌫|-|-----|-|---|-------|
cenqueilrequiert parsa let re	--|--|-|-------|--|-|---⌫-|
nedu tout nedoizesco ndire	-|-|---|-|---|----⌫----|
l esioies desoncuer des ire	-⌫-|----|-|--|---|---⌫--|
fai luiioieet	--|--|---|-|
pao urensem ble	---⌫-|-----⌫--|
sique soncuer	-|--|--|---|
fremisseettremble	-------|-|------|
et quene fac hepa rtondit	-|--|-|---⌫-|--⌫|--|--|
s ecest prames seou e sc ondit	-⌫||--|------⌫-|-|-⌫--⌫----|
lors art lamantparfet ement	---|--||----|------⌫----|
rescris oscurement	------|---------|
messe troples trange fesees	--|-|---||--⌫-----|-----|
grantdamageau o iry porees	----|-----|--⌫-⌫-||-----|
biauzdi set debelemaniere	----|--⌫|-|-|---|------|
etchos e qui a	-|----⌫|--||
fame affiere	---|------|
rescri com m ec ourtoisee tsage	-----|---⌫-⌫|-⌫-------|-⌫|---|
montse utplere communlangage	---|--⌫-|----|-----|------|
etcombienqutaie	-|--------||--|
lamourous dedui t	|-------|-----⌫|
targier c enest miement ente	------|-⌫||--|--||---⌫---|
quetouzdi zauges	--|---|--⌫|----|
cel le sente	---⌫-|----|
setroplong u ementattendees	-|---|----⌫-⌫----|--------|
tantostdel ess ieseree s	------|---⌫---⌫-|-----⌫|
que rnenseutpardesespera n ce	---⌫|--|---|--|---------⌫-⌫-|
lessieramourquinesauance	------|----|--|-||-----|
de legierne doi z co ntrere	-|-----|-|---⌫|--⌫-----|
les io i estonami	--|--⌫-⌫-|--|--|
quer ioie delegier eu e	---|---|-|-----|--⌫|
en seutplus	-|---|---|
uil e estre	---⌫|----|
entrey y leme doiz taster	----|-⌫|-|-|---|-----|
netroptargie rne trop h a ster	-|---|------⌫|-|---|-⌫-⌫---|
mese ntrer petit apetit	--|-⌫----|----||----|
pour auoi r greignor	---|----⌫|-------|
fes en cestemaniere	--|-|----|------|
touzio rs seras tenue	---|--⌫-|----|----|
ne ian ierts amor	-|-||---||---|
pourcenme ndre	---|--|--⌫---|
selef aizune poseatend re	-|-|-⌫--|--|---|-----⌫-|
selademoure est	-|-|------|--|
m iltan s enseras mi examee	-⌫-|---⌫|-|----|--⌫-|---|
quer ch escu naime miex	---|--⌫----⌫|---|---|
ch o se qui e sta p a ineac quise	--⌫-⌫-|--|-⌫-||-⌫-⌫--|--⌫----|
i ssiporr astu	-⌫--|----⌫-|-|
est re amee	---⌫-|---|
etdetouzama ns henoree	-|-|---|---⌫-|------|
ne cilq u ia toy	-|--|-⌫-⌫||--|
iamesdeslié n	----|------||
priueement parta	---------|--|-|
chamb riere	-----⌫----|
quetutiengnessegree	--|-|-------|-----|
do izenuoier tes ma ndem ens	--⌫-|------|--|--⌫----⌫--|
setu croizmes ens eignemens	-|-|----|--|---⌫--------|
par e ffa nz	--|-⌫---⌫-|
pasne lesenuoie	--|-|--|-----|
ne tonconseilne lo r	-|--|------|-|--⌫|
querto st encuseeseree s	---|--⌫-|------|-----⌫|
setout a leurgr enefe s ees	-|---||---|--⌫|-|--⌫-⌫--|
outoutseroittret delor bouc he	-|---|-----|---|-|--|----⌫-|
tonsegrequi	--|----|--|
sip reztetouche	-|-⌫--|-|-----|
p ourprametre ou pou rappel er	-⌫--|-------|-|---⌫|-----⌫-|
quer e ff antne	---|-⌫--⌫--|-|
se itriensceler	--⌫-|----|----|
sesuslormeresriens	-|--|--|----|----|
aussitost l es descouureroient	----|---|-⌫-|--------------|
lo ncsero itdire le s	--⌫-|----⌫-|---|--⌫|
quipareul zlor ont	--|--|---⌫|--|--|
estéfetes	----|----|
doncd oitc he scuneau oir	---|-⌫--|-⌫--⌫----|--⌫--|
quedupetiteulbien se	--|-|----|--|---|-|
deuantluyriennefache	-----|--|---|-|----|
ueutqu echescunle sach e	---|--⌫|------|-|----⌫|
parune maint ant so ulement	--|--|---|-⌫--|--⌫------|
doizenuoierceleement	---|------|--------|
tesmandemensettondesir	--|--------|-|--|----|
maint eshonteset	-----⌫-|-----|-|
mainzdamages	----|------|
uien nent dauoir plusorsmess ages	----⌫---||----|------|----⌫---|
quer conseildeplus orsseu	---|------|-|----⌫--|--|
es t tantost partoutesmeu	--⌫|------|--|---|----|
effachetoutes	------|-----|
l establetes	-⌫-|-------|
ai nzquerienzde tamainy mete s	--⌫----|----|-|-|---||----⌫|
pasnedoiu ent	--|-|----⌫--|
yymainzco mprendre	-|----|--⌫-------|
pour estrel e s ou pechonmendre	---|----|-⌫|-⌫--⌫-----|-----|
pour tonco urage miexceler	---|--|--⌫----|---|----|
ami fame appeler	--|---|------|
ettoy hommesparl esens eignes	-|--|-----|--|-⌫-|---⌫-----|
quetu meis mesluyen sen gnes	--|-|----⌫--|--|--⌫---⌫---|
lorsneporranulysauoir	---|-|----|---|-----|
quelp ensee tu	---|-⌫----|-|
forstonam itantsolement	---|--|--⌫|---|-------|
quiconnoistralemandement	--|---------|-|--------|
refraingt escour ous	-------|-⌫-|----⌫--|
sef ineamors eru irdesires	-|-⌫--|---|-⌫---⌫-|------|
querdouc he doit estre et	---|----⌫-|---|----|-|
famequi ueutestrepesible	---|--|---|----|------|
enflerle uisage	-----|-|-----|
etles ueinestendre a outrag e	-|--|-----|-----||------⌫|
et si fait	-|-|---|
les iex tresaillir	--|--|---------|
com se f euendeustsaillir	--|-|-⌫-|-|----|------|
et pourcenseuous	-|---|--|-|---|
uou smirés	---⌫|-----|
q uantsi fo rmentuousair ez	-⌫---|-|--⌫----|---|---⌫-|
ar ezla conno is sanche	--⌫-|-|-----⌫--⌫-----|
premiere semblanche	-------|---------|
et issifuia disseruie	-|---|-|--⌫--|-----|
palasq uinesequ enutmie	----|-⌫-|-|-|--⌫---|--|
e nleausicomnous	-⌫||--|-|--|---|
apre ismes	----⌫----|
mes outpaor de	--|--|---|-|
l iemeismes	-⌫-|------|
uousamorde z donc mie	---|------⌫|---|--|
amaintenir	|--------|
te lfelenie	--⌫|------|
piezens er i ezr eno mmees	---|-|-⌫--⌫-⌫-|-⌫---⌫----|
etplusle de s	-|---|--⌫--⌫|
etmainzamees	-|----|----|
fuiredoizorguil etfier te	----|---|-----|-|----⌫-|
setenirteu euz en ch ierte	-|----|-|-⌫--|-|--⌫----|
querch ascumesch iueetdesprise	---|--⌫----|----⌫--|-|-------|
f amede telzuices esprise	-⌫--|-|---|----|------|
humb ledoiz estre etdebenere	----⌫-|---|----|-|-------|
setuu eu z	-|-|-⌫--⌫|
damorsa chieftrere	|----||----|----|
fiere f ame nedese rtmi e	----|-⌫--|-|----⌫-|--⌫|
que nenlatiengepour amie	--|--|-|-----|---|---|
mucrene soies ne pe nsiue	----|-|----|-|--⌫----|
netristremesbienente n tiu e	-|------|--|---|----⌫-⌫---⌫|
am aintenirioie et liec he	|-⌫-------|---|-|----⌫-|
b onn e ne st pas	-⌫---⌫||-⌫-|--|
tropgrant simpleche	---|----|--------|
nousten onfames troptesantes	---|---⌫-|----|---|-------|
a haingeousesetapesan tes	|----------|-||-----⌫--|
sin ous t raiondelles	-|-⌫--|-⌫----||----|
quant lesueon de tel manie re	----|--|---|-|--|-----⌫-|
pourcenuoilie quetut	---|--|---|-|--|-||
enguarde s	-|------⌫|
etquele s regard a nsregardes	-|--|--⌫|------⌫-⌫-|-------|
etasria nsuoi lqueturies	-|-|---⌫-|---⌫|--|-|---|
et quedetesiangleslo r	-|--|-|--|------|--⌫|
issiporrastues treamee	---|-----|-|--⌫--|---|
e tcouuoit ie etdesire e	-⌫|-------⌫-|-|------⌫|
querfamesl ieeset ioio uses	---|----|-⌫---|-|----⌫---|
ou agreentde toteschoses	-|------|-|----|-----|
tu bienlacontena nche	-|---|-|-------⌫---|
q uilesfamesdamerauan che	-⌫-|--|----||---|----⌫--|
orconuientilquet u	-|-------|-|--|-⌫|
commentuersl a mant te contie nges	------|---||-⌫---|-|------⌫---|
uis erdoiz commebien aprise	---⌫-|---|----|---|-----|
l estatd echascunetlaguise	|----|-⌫|------|-|-|----|
etouec luytedoizdedire	-|---|--|-|---|-----|
s i co mm eson esta tde sire	-⌫|--⌫--⌫|--|----⌫|--⌫---|
leri che doit g ranzd ons donner	-|--⌫--|---|-⌫---|-⌫--|-----|
lauocatsoy abandonner	|-----|--|---------|
a def fendreetaso ustenir	|---⌫-----|-||--⌫------|
ceulz dont profiettepuet	----|---|------|-|---|
deceulz quibiauzdizsoiu entrendre	-|----|--|----|--|----⌫--|-----|
ned euez nulautre don	-|-⌫---|--|----|--|
l es losquedeuous fer esoiu ent	-⌫-|--|--|-|---|---⌫|----⌫--|
po urtouzdonzsouffiereuou sdoiuent	--⌫-|---|---|--------|---⌫|------|
talentdauoirnecouu oiti s e	-----||----|-|----⌫----⌫-⌫|
nemeutp asfame bienapris e	-|---|-⌫-|---|---|-----⌫|
messon gentil courage	--|--|-----|------|
etle deduitdes on aage	-|-|-----|-|-⌫-|---|
quan tfame s	----⌫|---||
efforc h e deprendre	------⌫-⌫|-|------|
nous disonquelle	---|----|-|---|
seueutuen dre	-|---|---⌫--|
etnepenseaqui s abandonne	-|-|----||--||--------|
forsacelui qui	---||----|--|
plus lidonne	---|-|----|
mesprison uous gartdiex	--------|---|---|---|
si que nulquiuo usregartd	-|--|--|--|--⌫-|-----||
netruisscausenere son	-|-----|----|-|--⌫--|
quit orner doiea	--|-⌫----|---||
asclerssoutilzd ouzetauabl es	-|----|------|-⌫--|-|-----⌫-|
soi ésdouce setamiables	---⌫--|-----⌫|-|-------|
damerseuent	|---|-----|
la g uise e tl	-|-⌫---|-⌫||
tantfacent illepape lar t	---|-----|-|-|----⌫---⌫|
b iau seuentamorsdeporter	-⌫--|-----|----|-------|
etlor am ies confor ter	-|--|--⌫--|------⌫--|
iert da morsbienassig ni e	---||-⌫---|---|-----⌫--⌫|
fa me se de	--⌫-|-|-|
clercnest amee	----||--|---|
depremierfrontpou rmiexe npeindre	-|------|----|---⌫|---|-⌫-------|
doiztondesir celeretfeindr e	---|--|----|----|-|------⌫|
que pasne see s	--|--|-|---⌫|
montenserasplusaggreable	---|-|----|---|--------|
oysel ap e r choitlarey	----|--⌫-⌫-⌫----|-|--|
tantostsa uiseatelar ey	------||-⌫---||--|--⌫-|
quil s eraperi llous	-|-|-⌫--|----⌫----|
sipenselorsde s oire trere	-|----|---|-|-⌫-|--⌫----|
aut r es ipourtacouuo itise	---⌫-⌫--⌫|---|-|-----⌫----|
seretr ait	-|----⌫--|
laman tets	|----⌫|-||
que quidetoy s acointeroit	--|--|-|--||----------|
ensenlo replumésero it	--|-||-⌫-|-----|----⌫-|
teu oili ecommander	-|-⌫--|-⌫|--------|
q uetegardesdedeman der	-⌫-|-|-----|-|-----⌫--|
m esqui tedorra bi enpu es pre ndre	-⌫-|--|-|----|--⌫-|--⌫-|---⌫---|
decennete puet nul r epr endre	-|--|-|-|---|--|-⌫---⌫----|
iennehomeesacointe	----|---|-|------|
qu ipo urtoisoit iolis	--⌫|--⌫-|--|---|----|
et coi nte	-|---⌫--|
de luiteni r	-|--|----⌫|
chiersi ta pointe	----|-||-⌫-----|
nuleautre nes	---|----|-||
sedautre ami f e retegardes	-||----|--|-⌫-⌫-|-|-----|
tu n i peu sm e tremeillors	-|||---⌫|-⌫-⌫--|-------|
re aumes ne	--⌫----|-|
a mor iolie	-⌫--|----|
cure de par chonnerie	---|-|---⌫--------|
aupremierqua nto ton	-|------|---⌫-||--|
tuueuz crerea	-|---|----||
conbi enquiltebese etacole	-----⌫---|-|-|---|-|----|
notrier iensplusdeparole	|----|-⌫---|---|-|-----|
desiruoud rapar fere	----|----⌫-|---⌫---|
fai n gparboucheuo uloircontrer e	---⌫-⌫|--|-----|--⌫----|-------⌫|
a m or tropd e le gier donne e	-⌫-⌫-|---|-⌫|--⌫---|-----⌫|
nepuetauoirlongueduree	-|---|----|-----|----|
conbienquetelz giexmo ultte plesent	---------|---|---|--⌫--|-|------|
faisemb lan t queil tedesplesent	--|----⌫---⌫|--|-|-|---------|
unpoie t def or che	-|--|-⌫|---⌫--⌫--|
doiz lessier	---|------|
seton ami p argran tdesir	-|--|--|-⌫-|----⌫|----|
uien tdeuanttesportesgesir	----⌫|-----|--|-----|----|
po ure mpe trerp ar auenture	--⌫-|-⌫---⌫---|-⌫-|-------|
lesi oiesdelanuit oscur e	--|-⌫---|-|-|---|-----⌫|
molem ent le doiz escondire	-----⌫--|-|---|--------|
ce n quildesire	--⌫|-|-|-----|
etto utbasledoizmen a chier	-|--⌫-|--|-|---|---⌫-⌫----|
enfaig nantqueleueu zcachier	-|----⌫---|--|-|---⌫|------|
unpoideleer	-|--|-----|
pourso n cou ra ge miexu e er	---|--⌫|---⌫--⌫-|---|-⌫-⌫-|
etsite ntendr ail	-|-||-⌫|-----⌫|-|
pluschiere	---|-----|
qua ntilarasaio ieentiere	---⌫-|-|--|-|--⌫-|------|
tonamisi p arfetement	--|--|-|-⌫---------|
au commencheme nt	-|-----------⌫-|
qu e ilnaitso upechonnedou te	--⌫|-||--|--⌫------|-|---⌫-|
quetamor a luy	--||---||--|
n e soi t toute	-⌫|---⌫|----|
aprezquan tlamorestp ar fet e	----|----⌫||---|--|-⌫--⌫---⌫|
sidoizfere	-|---|---|
unpoideretrete	-|--|-|------|
sique ilchi een ielousie	-|--|-|---⌫|-|-------|
que dautr e ne s oiesamie	--||----⌫|-|-⌫---|---|
lor ss era plusar dantdefere	---⌫|-⌫--|---|--⌫---|-|---|
trestoutcenq uite	-------|--|-⌫-|-|
deurapler e	----|----⌫|
quer adonc sont amoursdoublees	---|----|---|-----|-------|
q uantlen lescr eint	-⌫---|--|--|--⌫---|
estreesgenees	----|-------|
bon c heual	--|-⌫----|
metsauertu toute	--|-|----|----|
apoindrequant ilpoint enroute	|------|----|-|----|-|----|
tendroi tfi ebl eetlassez	-------⌫|--⌫---⌫|-|-----|
autresestoi tpassez	-----|-----⌫|-----|
desaman sest toutenlaguise	--|----⌫|--|---|-|-|----|
quersitostc om l	---|-|---|-⌫-||
am antsauise	--⌫--||----|
queauc uns	--|---⌫--|
le u ontdecheuant	-|-⌫--|--------|
amorlesprentplusque deuant	---||------|---|--|-----|
chescun s esch aufeoutre	------||----⌫---|----|
q uantnenlif aittor t	-⌫---|--|-|-⌫--|---⌫|
d e se samors dont so loitestre	-⌫|--⌫|----|---|--⌫---|----|
p ar de uant	-⌫-|--⌫---|
tou tseignor	---⌫|------|
pou rcendoiztu t onamifere	---⌫|--|---|-|-⌫-|--|---|
un poiiel o uspourmiexatrer e	-|--|---⌫-⌫-|---|---|-----⌫|
quertes a mor s	---|--|-⌫---⌫|
t ost uiell i reent	-⌫--|-----⌫-⌫----|
se par cengardeesn estoien t	-|--|--|------||-------⌫|
aussi pour	----|---|
l amantm iex estr eindre	|----|-⌫--|----⌫-----|
doiztusouuentg ransdoutesfaindre	---|-|------|-⌫---|-----|------|
etg ran z perilz	-|-⌫---⌫|-----|
outu temes	-|-|-|--|
pour seruirdudo uz entre mes	---|-----|-|--⌫-|-----⌫--|
supo serporrasuneespi e	----⌫--|-----|--|----⌫|
en ioruou sesp ie	-|--|---⌫|---⌫-|
ou ton mari o u tesamis	-|--|---|-⌫|--|---|
quitou tlor	--|---⌫|--|
pen seo ntla mis	---⌫-|-⌫-|-|--|
l ors soiestu to utecertaine	-⌫--|----|-|--⌫--|-------|
qua toyamer metragrantpaine	-||--|---|----|----|----|
c reiratelz auentu r e s	-⌫----|---|------⌫-⌫-⌫|
quepour luylessueffressi dures	--|---|--|--|-------|-|----|
tant aiestuuolent efranche	---|---|-|------⌫|------|
faingtouziors paouret dout anche	----|---|---|----|-|----⌫----|
qu er fametropabando nnee	--⌫-|---|---|------⌫---|
estpoyprisieetpoy	--|--|-----|-|--|
rechoif tona miparf enestr es	------|--|-⌫-|--|-⌫------⌫-|
ta ntai tilbons huisen	--⌫-|--⌫|-|---|---|-|
e t paruout	-⌫|--|---|
etparre son	-|--|--⌫--|
faingtou zdiz quesoies en cr ein te	----|---⌫|--|--|----|-|--⌫---⌫-|
me sd epaour ne lessemie	--⌫|-⌫|----|-|----|--|
aferebonnecompaig n ie	|---|----|-------⌫-⌫-|
sip e nseraenson	-|-⌫-⌫----|-|--|
quenulynait telauantage	--|---||--|--|-------|
lors fachea creiretechambri ere	---|----|-⌫-----|-|-------⌫--|
que pri suale zsanznulre miere	--|---⌫|----⌫|---|--|--⌫----|
siferas tonamimuchier	-|----|--|--|------|
o uencornetouen huchier	-⌫|-|-----|-|-|------|
tantplusde	---|---|-|
poorsli feras	----|-|----|
aflambera s	---------⌫|
que rc hescu ns	---⌫|-⌫-----⌫||
e fforcheetdesree	-⌫------|-|-----|
cont re ce n que	----⌫-|--⌫|--|
nenli de uee	--|-|--⌫--|
s etonmari	-⌫|--|---|
dep resteg arde	-|-⌫--|-|-⌫---|
ou p oursoyymeteautre	-|-⌫--|--||---|----|
pourauiser etpour ue er	---|-----|-|---|--⌫-|
quen uln etepui sse	--|-⌫-|-⌫|-|---⌫--|
malgreque ilempuisse auoir	-----|--|-|-|-----|----|
porrascen tefa iz	-----|--|-|--⌫-|
aquerr eamisagrantplente	------⌫|---||----|-----|
