silzliuresquestcien	---|-----|-|--|-|-|
etqui autr ema ntlouuetfaire	-|--|----⌫---⌫-|-|---|----|
tro ueys onaduersa ire	---⌫--|-⌫-|-------⌫--|
uns uila insotunec u ignie	--|----⌫--|-|--|-⌫-⌫----|
qui d outout er e	--|-⌫-|---|--⌫|
fo rmantsepr i st agr ehuser	--⌫----|-|--⌫-⌫-||--⌫-----|
qu ardelinepoo ituser	--⌫-|-|-|-|---⌫-|---|
aboisuien tdouceman tli prie	|---|----⌫|--------⌫|-|---|
q ue li a maingo it	-⌫-|-|-⌫------⌫-|
sacuigni e	-|------⌫|
libo islidist	-|--⌫-|-|---|
cortoisem ant	---------⌫--|
pranzzma ng eseg uremant	---|-|--⌫--⌫|---⌫------|
li uilainssa	-|------|-|
c oigni eesmange	-⌫-----⌫|------|
au boi smal	-|---⌫|--|
tantostlepristau	------|-|----|-|
de tranchier	--⌫--------|
grant ef fort debranchier	----|--⌫---|----------|
boisie suisperil liez	---|-|---|-----⌫---|
helaisi eme s ui sessi liez	-|---|-⌫|-|-⌫--⌫|----⌫---|
ciluila insp er maco rtoisie	--|----⌫--|-⌫-|-|--⌫------|
medetrancheet	-|--------|-|
porch aciéaiceste	-----⌫----|-|----|
me scha nce	--⌫----⌫--|
don mueraonteaauitance	--|---||---||-------|
que sonanemi ne	--|--|----|-|
cont resoi chescuneschuisse	----⌫-|--|------|--------|
lobastonennule meniere	-|-----|-|---|------|
nelid oint donap reslo	-|-|-⌫---|--|--⌫--|-|
to n henemi ne	--⌫|-----|-|
fai reaidoire	---⌫-|------|
to illeapresta g loire	--⌫---|----|-|-⌫----|
quarqu i aideses henemis	---|--⌫|---|--|------|
contresoi puissans entmalmi s	-----|--|---||-|-⌫--|--|--⌫|
li chiensetli lous s	-|-----|-|-|---||
encontrarent	-----------|
enzz bo isio ie se men arent	-|-|--⌫-|--⌫-|-|---⌫----|
l un slautredou cemants alue	|--⌫||----|---⌫-----|-⌫---|
d itlilousmoutesla	-⌫-|-|---|---|-|-|
bien perta t apel	---|---||-⌫|--|
reluisan t	--------⌫|
tu moinne s uiededuisan t	-|------⌫|--|--------⌫|
nedote z pas qu eneme	-|----⌫|--|--⌫|-|-|
ceq ueie u oiquetu	-|-⌫-|-|-⌫-|--|-|
ditlichiens	--|-|-----|
norrizs uisatauble	-----|-⌫--||-----|
dome uaillantet honorauble	|--|-------|-|---------|
lamaignieensamble	-|------|-------|
monmaistre	--|------|
sefforce toute demoipai stre	|------|----|-|--|---⌫---|
chescu ns merit etmefait	------⌫-|-|--|-|-|---|
enfrotantmaplaignent	-|------||---------|
quantmessiresd or t etsomoille	----|--|----|-⌫--⌫|-|-------|
amienuitadoncieuoille	|------|----|-|-----|
ie gar dois	-|---⌫---|
lamaisonde nu it	-|-----|-|--⌫-|
siqueler respoin tneynuit	-|--|---⌫--|----⌫|-||---|
sele rresuient tantost esbaie	-|--⌫---|----|------|-----|
cilsanf uitquim outsan	--||-|-⌫--|--|-⌫--||-|
etsa imonli t de	-||-⌫|--|--⌫|-|
bele paille	---|-----|
repo usese nz fai lle	----⌫--|--⌫-|---⌫--|
lilous ditiai mou tgr ant e nuie	-|---|--||-|---⌫|--⌫--|-⌫---|
destreauuectoi	|----|----|--|
percom paignie	--|---⌫------|
etuiure auue c	-|----|----⌫|
t oi sanzrie nsfaire	-⌫-|---|---⌫-|----|
semamenieretepu etplaire	-|-|------|-|--⌫-|-----|
lichi ensrespontcor toisemant	-|---⌫--|------|---⌫--------|
uui luiureauss im ant	---⌫|----|----⌫--⌫--|
moutm epla itet mout l atien chiere	---|-⌫|---⌫-|-|---|-⌫|---|-----|
tacompaignie	-|---------|
et tameniere	-|-|------|
t el comeamoiieteferai	-⌫-|---||--|-|-|----|
te luiande tedonerai	--⌫|-----|-|------|
l i louscesteparol eoutroie	-⌫|---|----|-----⌫|------|
mestentalauoie	------||-|---|
tand isquens amble	----⌫---|---⌫----|
chemino ient	-------⌫---|
lourbesoign esperloient	---|-------⌫-|--------|
lil ousson compaignon regard e	-|-⌫--|--|---------|------⌫|
doucolquotchenuse	--|--|-|-|----|-|
p ristga rde	-⌫---|--⌫--|
lipoillichi et doucolual u	-|---|-|---⌫-|--|--|---⌫|
dit l i lous q ui	--|-⌫|---|-⌫-|
uou sai tolu	---⌫|-|---|
uostrepoil	-----|---|
porqu est eschenuz	--|-|---⌫-|-----|
est u ostr eaaiges a ceuenuz	--|-⌫----⌫|-----||-|----|
c ene pue testr e per nature	-⌫|-|---⌫|----⌫|--|-----|
ce e stperquelqu atr eauenture	-|-⌫-|--|-----|---⌫|-------|
distli chi ensiesuisesta chiez	---|-|---⌫--|-|---|----⌫----|
de io ur ianans eraileschiez	-|--⌫-|-||-|-⌫---|-------|
fortsuis lo iezqu e	---|---|--⌫--|--⌫|
nem estorde	-||------|
porc equeielesgenzne	--|-⌫|--|-|--|---|-|
denuitfaisf ran ch emantm ace rche	-|---|---|-⌫---⌫--⌫----|-⌫|--⌫---|
lamai sontoutenui t	-|---⌫--|----|---⌫|
quantuint aumat in	----|---|-|---⌫-|
merecouie nta esta chier	-|-------⌫-||----⌫----|
lilous resp onten	-|---|----⌫--|-|
nu leguise	--⌫-|----|
ie newoi lper dre	-|-|---⌫|---⌫--|
maf r an chis e	-|-⌫-⌫--⌫----⌫|
porauoirzz pouldabonda nce	--|----|-|---||------⌫--|
en cornaini e pais t ant ma pa nce	--⌫--||--|-⌫|---|-⌫--|-|--⌫--|
iai deu n eplace	--|--|-⌫|----|
mo nuantretantq uesersan soie	--⌫|-----|---|-⌫-|---|-|---|
miez uautfra nc estreen p ourete	---|---|---⌫-|----|-|-⌫-----|
quauoirrichesce sen uilte	-|----|--------⌫|-|----|
en ui l teytelc on deseruaige	-|--⌫-⌫--|--|-⌫-|-|-------|
qui tostfranchi sedecoraige	--|---|-------⌫-|-|------|
liserschose n	-|---|----||
aa luib one	||--|-⌫--|
il nestsire sde	-||--|----⌫|-|
sap ersone	-|-⌫-----|
son sei gnourestcors et	--|---⌫----|--|---|-|
r iensquisuens	-⌫---|--|----|
s oitn epuet	-⌫--|-⌫|---|
conplusa igrantposse ssion	--|---|-⌫|----|-----⌫----|
tant es tplus	---|--⌫|---|
ensubiection	-|---------|
quardet ant con	---|-|-⌫--|--|
plusaiser uir	---|-|---⌫--|
locouiente t m iezd esseruir	-|------|-⌫|-⌫--|-⌫-------|
sen m esch i et	|-|-⌫----⌫-⌫-|
d emals eigno raige	-⌫|--|-⌫-----⌫----|
neli l aisse no isso nusaige	-|-|-⌫----|--⌫-|--⌫|-----|
r ainbrelou uetiu squ	-⌫-----|-|-⌫--|--⌫--|
tou t celi	---⌫|-|-|
faitsesauoirsfaire	---|--|-----|----|
ma i sdefranchis ela no blesce	--⌫-⌫|-|--------⌫|-|--⌫-----|
s oremon t eto ute richesce	-⌫------⌫-⌫|--⌫--|-------|
tropest franc h i sepr eciouse	---|--|-----⌫-⌫-⌫-|--⌫------|
n estchoseoumondeplus	|--|----|-|----|---|
use rde fr anceuolun tey	---⌫|-|--⌫---|-----⌫--|
trespasse tout eautrebontey	--------|----⌫|----|-----|
senzcestene trui ssauerouse	---|----|-|----⌫|--------|
uiandene delitiouse	-----|-|---------|
franchi seest decuerl aui an de	-------⌫-|--|-|---|-⌫|--⌫--⌫-|
plusgran tsolazc uerne demande	---|----⌫|----|-⌫--|-|------|
qui toutessegure	--|---|-------|
q uoste to utemauai secu re	-⌫|---|--⌫--|-----⌫-|--⌫-|
p our zzpou de chaitisgainpra ndre	-⌫--|-|--|-|------|---|---⌫---|
i emauo l on teuandr e	-⌫|-|--⌫-⌫--⌫-|-----⌫|
en besoing encha itiu etey	-|------|-|---⌫----⌫---|
sem estq u i	-|-⌫--|-⌫-⌫|
uentte ldignetey	---|--⌫|-------|
engran t seruitutesemest	-|----⌫|--------|-|---|
quiautruison franccu er so zmes t	--|-----|--|----|--⌫-|--⌫----⌫|
chienlilous	----|-|---|
sonchemin adres cea utrepart	--|-----|-----⌫-|-⌫---|---|
ilne est o rne me rchandise	-|-|--|-⌫|-|--⌫--------|
quiuaillelo bien defranchise	--|-----|-|---|-|--------|
franchiseest	--------|--|
la pl us soue rainne	-|--⌫-|----⌫-----|
chosequi soitenuie	----|--|---|-|--|
ueraifr a n chi seenterrenee	----|--⌫-⌫-⌫---⌫-|-|----|--|
ne fuitmai sdecielfut donee	-|---|---⌫|-|---|--|----|
serui tuzcomanca ien t erre	-----⌫--|-------⌫|-|-⌫---|
tos tpuescomantcef ut enque r re	---⌫|---|-----|-|-⌫-|-----⌫-⌫-|
at empsdela loid enature	|-⌫---|-|-|--|-⌫|-----|
coman caic edistl escripture	-----⌫--|-⌫|---||---------|
qu antno e	--⌫--|--⌫|
mau ditlali gn ie	---⌫--|-|--⌫--⌫-|
sonfilc hampersafelonie	--|--|-⌫--|--|-|------|
en des courantd eshonora	-|---⌫------|-⌫-------|
s o n perep uislocom para	-⌫-⌫|---|-⌫--|-|---⌫---|
sal ig niequanfutm aldite	-|-⌫--⌫--|-|-|--|-⌫-----|
q ue de seruitutn e fut	-⌫-|-|-------|-⌫|--|
maldi tso itdit noeli	-----⌫|--⌫-|--|--|-|
chamsers s o itdes esfrer es	---|---|-⌫-⌫-|-|-⌫-|----⌫-|
lidroiz deu lau ostespro uer	-|----|--|-|-⌫--|-----⌫--|
lal oipuis trouer	-|-⌫-|---|-----|
puisle sloisc ontfa itesli	---|--⌫|---||--|--⌫---|-|
o ntaud esoztenu	-⌫-|-|-⌫---|---|
etl escrip te	-||------⌫-|
ontdonquesseruituzmaldite	--|------|-------|------|
qua r pou rpechie	---⌫|---⌫|-----|
f ustestroue e	-⌫--|-------⌫|
puislesloisconferme e	---|--|---|--------⌫|
quarp erma i ntespoinneschastoient	---|-⌫-|--⌫-⌫---|------|---------|
lesf aussers	--|-⌫--|---|
quilne s orguilloient	-|-|-||-----------|
franchise est don ques bien s c eles tre	--------|--|---⌫---|----⌫|-⌫----⌫--|
quarp eruertu comancaestre	---|-⌫-|----|------|----|
ceest donsdegrace	-|--|---|-|----|
s enzloquelnest riensqua	-⌫--|-|---||--|----|-||
siq uede deuueraiem ant	-|-⌫-|-|--|-------⌫--|
uie ntquehonsuiuefran che mant	---⌫-|--|---|---|----⌫---⌫---|
dese ruituzqu estde pechi ez	-|--⌫-----|-|--|-|-----⌫-|
donlimon desest entoichiez	--|-|---⌫--|--|---------|
n e wo i l	-⌫|--⌫-⌫|
ie cifaireparole	-|-|----|-----|
c este m at iereestd autreescol e	-⌫---|-⌫--⌫---|--||----|-----⌫|
c etien qu en	-⌫|---|-|-|
m orteuied ome	-⌫---|--||--|
franchise estdetoutbiensl asome	--------|--|-|---|----|-⌫|---|
lipi e z etles mains s ecomplaig nent	-|--⌫-⌫|-|--|----|-⌫|--------⌫---|
douu antreformantlorechaignent	--|-⌫----|------|-|----------|
dient qui luuetmaingier sanzconte	----|-|-⌫|---|-------|---|----|
etdestreois ousnea i pointd onte	-||----|---⌫--|-|-⌫|----||---|
tu uueznostretr auailgaster	-|---|-----|--⌫----|-----|
cedientse nzriensco nques ter	-|----|--⌫-|----|--⌫-----⌫--|
tu uuez rep osersenz	-|---|---⌫---|---|
riens fa ire	----|--⌫--|
touzbon s morseasuueza toitraire	---|---⌫|------|---||--|-----|
dece q uenosa moutgran t po innes	-|-|-⌫-|--||---|----⌫|--⌫----|
trauaillons tes gra nz	----------|--|---⌫-|
ioies moinn es	----|-----⌫-|
no sn ete pouo nsta ntchoser	--⌫|-⌫|-|----⌫-|--⌫-|-----|
outuui s deto nrepouser	-|-|--⌫|-|--⌫|-------|
et soffref ainou tu traua ille	-|-----|-⌫--|-|-|-----⌫---|
seuuezaquerre t a uitaille	-|---|------|-⌫|-------|
liuantresence nemi t	-|------|-|-|-|--⌫|
c ilz lire traie n tsapasture	-⌫--|-|--⌫-----⌫-⌫|-|------|
perm a ltalentmorirlo laissent	--|-⌫-⌫|-----|----|-|-------|
de fain que	-|---|--|
de riensnelopai ssent	-|----|-|-|---⌫----|
au defaut uie ntlamaindeprie	-|-----|---⌫-|-|---|-----|
li ch aitisq uelifac eaie	-|--⌫----|-⌫-|-|---⌫|--|
cele sayde lirefuse	---||---|-|-----|
et desa parescelescuse	-|-|-|------||-----|
ala m ainder echief demande	|-|-⌫--|---⌫-----|------|
l iuantre s queli	-⌫|------⌫|--|-|
doint uiande	----|-----|
ne uuetsapriere	-|---|-|-----|
es couteren nu le m eniere	--⌫-----|-|--⌫-|-⌫-----|
froidouremple tantost lo uantr e	-------|----|------|-|-----⌫|
conuiandede d an z	--|-----|--⌫-⌫--⌫|
de luisedeparts achalour	-|--|-|-----|-⌫|------|
pertetsa ualour	---|-|-|-----|
de naturesenfuitlaforce	-|-----||-|---|-|----|
secdem ore	--|---⌫--|
c ome une escorce	-⌫--|--|------|
douc olli estra centles	--|-⌫-|-|-----⌫---|--|
si quilt rangluti t a	-|-|-|-⌫--------⌫||
griez poinnes	----|------|
la mainslouit maigre etnerci	-|----|-|--|-----|-|----|
c om anc eaauoirmerci	-⌫--⌫---⌫||----|----|
deuian de li p rist a tendre	-|----⌫-|-|-⌫---||-----|
ma is tar tfut sinela pot	--⌫-|---⌫|--|-|-|-|--|
nature enluitantde f ailloit	-----|-|--|---|--⌫-⌫------|
que de maingierne	--|-|-------|-|
licha illoit	-|---⌫-----|
nep uetcuirene sostenir	-|-⌫--|----|-|-------|
sauiande nereteni r	-|-----|-|------⌫|
locuidereleuer	-|----|------|
t ant lofaitplusgreuer	-⌫--|-|---|---|-----|
nepuet p randre norrissemant	-|---|-⌫-----|-----------|
sidef faut	-|---⌫---|
dessoutee ma nt	---------⌫--⌫-|
touzlic orsdech ie t	---|-|-⌫--|----⌫--⌫|
coui ent lesperit	----⌫--||------|
deper luif airesabesoig ne	-|--|--|-⌫---|-|------⌫-|
l onnepuetlamains	-⌫-|-|---|-|----|
cilen soigne	-||--⌫-----|
nu nsna perfaites of fisance	--⌫-|||-------|-⌫--⌫------|
de fair ede perl uiche uance	-|----⌫|-|--|-⌫-|---⌫----|
ce estchoseapert eetdeli ure	-|--|----|-----⌫|-|----⌫--|
lunne puet se nzl	|-|-|---|--⌫-||
aut re b ien uiure	---⌫-|-⌫--|----|
amisdoitfair e et r ete nir	---|---|----⌫|-|-⌫---⌫--|
donquesq uiuueta	------|-⌫-|---||
bienue nir	---|--⌫--|
quin esta mis et l on ne	--||--|-⌫--|-|-⌫-|-|
au besoingporch aitiseclainme	-|------|--|--⌫---|-|------|
etqu ineuuet	-|--⌫|-|---|
faire autrui grac e	----|-----|----⌫|
aumo inssoi meismel aface	-|--⌫--|--|-----|-⌫|---|
lising es melan colious	-|----⌫-|-----⌫------|
naig efu tennious	----⌫|--⌫|------|
il en con tre	-|--⌫---⌫--|
pe rauentu re	--⌫|------⌫-|
renartmostrelisalaid ur e	-----|-----|-|-|----⌫--⌫|
cons oil lipris t a demand er	----⌫--|-|----⌫||------⌫-|
come ce porroitamander	---|-|------|------|
r en arl escou te fo int emant	-⌫--⌫-||-----⌫-|--⌫---⌫----|
ensonc uerenrit	-|--|-⌫--|-|--|
s amblantfaitque uolun ti er loie	-⌫------|---|--|-----⌫--⌫-||--|
etq ue d e son mal	-|-⌫-|-⌫|--|--|
li en noie	-|--⌫---|
ditlising es renarquar maide	--|-|----⌫-|----|---||---|
c ourirmanaig e questsilaide	-⌫----|-|----⌫|-|--|-|----|
de po u dechose	-|--⌫|-|----|
fai repl ait	---⌫-|--⌫--|
necouientre nar ts iluousplait	-|------|--⌫---⌫||-|---|----|
unechose quitroppou	--|----|--|---|--|
medon ezporc ourir	-|---⌫-|--|-⌫----|
de uo strecoe unepertie	-|--⌫---|--|--|-----|
medonezper gra nt cortoisie	-|----|--|---⌫-|--------|
souco umedonez qui uoustrain n e	--|--⌫|-|----|--|---|-----⌫-⌫|
cortoisiesou erainne	--------|---⌫------|
a mesan fanz	|--|--⌫---|
coe enfera i	--|-|----⌫|
iaiceri e nsne	--|-|--⌫-⌫-|-|
uosgreuerai	--|-------|
certesmouttep uet atain ner	-----|---|-|-⌫--|-----⌫--|
tacoeper les chans trainn er	-|--|--|--|----|------⌫-|
aprestoi laterreremue	----|--|-|----|----|
aussi come unsouz	----|---|-|---|
ceq ui tepoise sanzpr oaige	-|-⌫-|-|----|---|--⌫----|
seroit moutbonspormon usaige	-----|---|---|--|--|-----|
distrena rztuma c oe	---|----⌫-|-|-|-⌫-|
tropgranz est cedi sttesfolz	---|----|--|-|--⌫-|--|---|
ettr oppo isec edi t	-|--⌫-|--⌫--|-⌫|--⌫|
tumenzlegier e estetpetite	-|---|------⌫|--|-|-----|
uilzn a igesoitmaldite	---|-⌫-⌫--|---|------|
perterre ainzmiezma	--|----|---|---|-|
coetrai re	--|----⌫-|
toi si grant	--|-|----|
hono urfai re	----⌫-|---⌫-|
d au trechos e co urirta naige	|--⌫--|----⌫|--⌫---|-|----|
testue t si ng esdeputligna ige	|-----⌫|--⌫--⌫-|-|--|-----⌫--|
quar ma coequestnate	---|-|--|-|--|---|
ne doitpaiscourir	-|---|---|-----|
t el ordure	-⌫-|-----|
de cedonrenarzri ens	-|-|--|-----|--⌫--|
o tlo singe	-⌫|-|----|
trestot refait	------|-----|
e spouresferoit grantproaige	-⌫|-----|-----|----|------|
cequeliriche ont a	-|--|-|----|--||
li tropde richesanzgreuer	-|---|-|----|---|-----|
puetlopo urehome r eleuer	---|-|--⌫--|---|-⌫-----|
maisauarice	---|------|
doutrop n ed ou	--|---|-⌫|-⌫-|
poune faitgrace	--|-|---|----|
au ersnep uetauoiressez	--⌫--|-|-⌫--|----|----|
daquer irn	|-----⌫-||
estonqu eslessez	--|----⌫-|-----|
damasse ra it elapetit	|------⌫|-⌫|-⌫-|-----|
tro p lisamble	---⌫|-|-----|
lichiensun grantcerensi g oient	-|-----|-|----|--|----⌫-⌫----|
d e tout epart lo	-⌫|----⌫|---|-|
de s t r o ignoient	--⌫-⌫-⌫-⌫-⌫-------|
quant iluoit	----|-|---|
sifor t lochace	-|---⌫|-|----|
esbaiz estne	-----|--|-|
setq ueface	--|-⌫-|---|
lesboisespesot	--|---|----|-|
tr espess ez	--⌫------⌫-|
iaf us tdecorretouz lesse z	-|-⌫--⌫|-|----|---|-----⌫|
escha nsfierttres t oz esbaiz	-|---⌫-|----|----⌫-⌫-|-----|
orcu idebi enestre trahiz	-|--⌫--|--⌫-|----|-----|
quant il seuoitenl a plenac e	----|-|-|---|-|-⌫|------⌫|
ouneaipointde fo rteresce	-|-|-|----|-|--⌫-------|
il choi sitdeb u esune estable	-|----⌫--|-|-⌫-⌫-|--|------|
m outlisamb leestre	-⌫--|-|----⌫-|----|
l aia nzentrepo rsoi esduire	-⌫---⌫-|----|--⌫|--|------|
sauiecuide a in si nc	-|--|----|-⌫--⌫--⌫-|
co n duire	--⌫-⌫----|
unsanciains	--|-------|
diencest e mais on	-|-|----⌫|----⌫-|
cersq uelbesoigne ti	---|-⌫--|-------|||
po rtoi f oi n ne	--⌫|--|-⌫--⌫|-|
plussursen	---|---|-|
u n espesboc haige	-⌫|----|---⌫----|
fusses queencelabergaige	-----|--|-|--|--------|
miezoiseses champsg arison	---|----|-|-----|-⌫-----|
qu eci out esm is	--⌫|-|-||-|-⌫-|
en pris on	-|----⌫-|
ou doubo u ier	-|--|--⌫-⌫--|
tegar dequin os doiue nt pastre	-|---⌫-|--|-⌫-|-----⌫-|-----|
nedem orrapasqu	-|---⌫---|--|-|
ilneuiegnent	-|-|-------|
il tatiegnent	-||--------|
lice rs di tpe r	-|--⌫-|--⌫|--⌫|
uostrepitie	-----|----|
puis estrede	---|----|-|
mortrespitié	---|--------|
aiez hen nuit de moi	---|---⌫---|-|--|
au matin mepertrai	-|----|-|------|
ou foin perlouc onsantemant	-|---|--|--|-⌫----------|
desbuessequaichecoiema nt	--|---|-|------|------⌫-|
libouier s uientreuoir la roiche	-|------⌫|----|-----|-|-----|
silarempledelerbesoiche	-|-|-----|-||---|-----|
cilsanu aie t licersrepaire	--||-|-⌫-|-⌫|-|---|------|
es bues gran tfestepris ta faire	-|---|----⌫|----|----⌫||----|
de c e quil estoitesc hapez	-|-⌫|-|-|-----|---⌫----|
fust morzneestrap ez	---|---|-|------⌫-|
es buesmoutformant en	-|---|---|------|-|
l iunsdit net	-⌫|--|--|-||
es ioirm ie	--⌫---|-⌫-|
tex eschapezdounoue a nt	--|-------|--|----⌫-⌫-|
quiuoit unpetito u	--|---|-|----|-⌫|
argusape lonnostremaistre	----|---⌫--|-----|------|
quiciendroi t nosfaita	--|-|------⌫|--|---||
ilai cenzeazp ertou tregarde	-|-|---|--|-⌫-|---⌫|------|
ne striensdonne sep roigne	|-⌫-|----|--|-|-|-⌫-----|
se cestuipuez	-|-----|---|
tu deceuoir	-|-------|
cert es bienendoisioieauoir	----⌫-|---|-|---|---|----|
iluendra ne	-|-----|-|
demorrapoint	------|----|
cargrantcusent acuerlo	--|----|-----||---|-|
porceditl onqueses	--|-|--|-⌫-|--|--|
qu iles ts or tozsaiges	-|-|--⌫|-⌫-|--|-----|
tant estgranz sasubt il itey	---|--|----|-|----⌫--⌫---|
quetout percoit cest ue ritey	--|---|------||--|--⌫----|
cestegran ge aiensabaillie	----|----⌫-|-|-|-|------|
tout elamai g nie	----⌫|-|---⌫-⌫--|
ra ison sm eismecetensoigne	--⌫----⌫|-⌫----|-||-------|
chescunse nsa propre besoigne	-------|-⌫|-|-----|-------|
do ite st rear g usquitoutperco i t	--⌫-|-⌫--⌫-|--⌫-⌫-|--|---|-----⌫-⌫|
nonpasno u eantc	--|--|--⌫-⌫---||
on d ecoit	-|-⌫----|
ens abesoignesestuoi l lier	-|-⌫|-------|---|---⌫-⌫---|
texquen laut ruiuuet	--|-|-||---⌫--|---|
somo i lli e r	----⌫-⌫---⌫-⌫|
cilse taitarguzle anzantre	--|-|---|----|--⌫--|----|
lesb ue ssent	--|-⌫--⌫|---|
o udosetouuantre	-⌫|--|-|-|-----|
enaimeru oille	-|-|----⌫----|
ensoncu er de ceseco nsoille	-|--|--⌫-|-|-|-|--⌫------|
mo utfut tristesen sa	--⌫-|--|------|-|-|
presere iala ube cr euee	---|--|-||-⌫--|--⌫---|
siqu eleanz	-|--⌫|----|
respl andissoit	-----⌫--------|
liiours qu e pouaparissoit	-|----|--⌫|--|---------|
donerpastu re	----|-----⌫-|
i lregar de per auenture	-⌫|-----⌫-|--|-------|
e tu itu nes c ornesagues	-⌫|-⌫-|-⌫--|-⌫----|----|
quilonguesfurentetforchues	--|------|-----|-|-------|
que stc el aa haut eu oiz crie	-|-⌫-|-⌫|-⌫||----⌫|-⌫--|---|
si fort qu eloist samesnie	-|---|--⌫||---|-|-----|
le cersent quise terpiss oit	-|--|---|--|-|-------⌫--|
quitoutde paour	--|---|-|----|
fremis s oit	------⌫-⌫--|
la maig nieaporte ntu is a rm es	-|----⌫--|------⌫-|-⌫--⌫-⌫--⌫-|
aichesu oge setautres armes	-----|-⌫---⌫|-|-----|----|
lo cer uon t e nquiret enir	-|--|---⌫|-⌫---|---⌫---|
fol fut quantiluotlaiuenir	--|--|----|-|--|--|----|
grantfestefirent	----|----|-----|
maingie rent lo iouruenoi son	-------⌫---|-|---|-----⌫--|
tuquiceste fablepro poses	-|--|----|----|---⌫----|
ipue zbiennoter quatrechoses	|---⌫|---|----|-----|-----|
tout p r emiers que h ons	---|-⌫-⌫-----|--|-⌫--|
neso ittr o pse gu rs	-|--⌫-|--⌫-⌫|--⌫--⌫-|
ne tropliez	-|---|---|
ildoittouz iours est re enregart	-|---|---|----|---⌫-|-|-----|
metierlifai tdeto utse g art	-----|-|---⌫|-|--⌫-|-|-⌫--|
ci l quiont d es a u treslac ure	--⌫|--|--|-⌫-|-⌫-⌫---|-|-⌫--|
d oi u entourerper	-⌫--⌫-⌫--|----|--|
g rantmesure	-⌫---|-----|
uoill ierdoiuent por porueance	-----⌫--|------|--|--------|
d ormir perneglige nce	-⌫----|--|-------⌫--|
nesoinatru i setc onsoillier	-|--||----⌫|--|-⌫---------|
c uers le n z quibie nn esetuoillier	-⌫---|--⌫-⌫|--|---⌫|-⌫|--|-------|
lisers q uiautruibiendespensent	-|---|-⌫-|-----|---|---------|
d ormentroche ntquerien sne	-⌫-----|-----⌫-|--|----⌫|-|
ils e ngrais sentdatr u i uiande	-||-⌫------⌫---||---⌫-⌫|-----|
cefontqu elacharlourdemande	-|---|--⌫|-|---|---|------|
pi tiemere d ecortoisie	--⌫--|---|-⌫|--------|
ensoigne afaire autrui aie	-------||----|-----|--|
encortoisie	-|--------|
etenbontey	-|-|-----|
sededuitnoble	-|-----|----|
maisli u i lainssers	---|-|-⌫-⌫----|---|
touze n raige	---|-⌫-⌫----|
quantilf aitautrui auantaige	----|-|-⌫--|-----|--------|
un iuyfnez enbabiloinne	-|---|--|-|---------|
o ure aumedeca lidoin n e	-⌫|--⌫---|-|--⌫------⌫-⌫|
toutdroitot ac uillisauoie	---|----|-|--⌫----|-|---|
portoit pla inne unecorroie	------|---⌫---|--|------|
dautresric hescesmout gran tm asses	|-----|---⌫-----|---|----⌫|-⌫----|
portoit en mau leseten	------|-|---⌫--|-|-|
li cu s enttr op plusma l	-|--⌫-⌫--|--⌫-|---|--⌫|
essezqued ou cheminla poinne	----|--|-⌫-|-----|-|-----|
moute resescuer sendotan c e	---|-⌫-|--|----⌫|-|-----⌫-⌫|
deperdresar iche	-|-----|-|-⌫---|
sus ta nce	---⌫--⌫--|
reaumede trace	-----|-|----|
do uroiuu etaqu erir la grace	--⌫|--|--⌫-|---⌫---|-|----|
grant auoir	----|----|
mi ez co nd uire	--⌫-|--⌫--⌫---|
qua rl a terrenestoitsegure	---⌫|-⌫|----||-----|-----|
pourgrantdonsetporgra nt	---|----|---|-|--|---⌫-|
lamisti edour oiai	|------⌫|--|-⌫-|-|
cond uiteai au	----⌫---|-|-|
r oide mand ee	-⌫-|--⌫----⌫-|
uolon t ier done e	-----⌫-⌫--|----⌫|
s onproprebotoillierlidone	-⌫-|-----|---------|-|---|
cilcuideauoi rconduite b o ne	--|----|----⌫|-------|-⌫-⌫-|
mai sdou boto ill ie r fut	---⌫|--|----⌫---⌫--⌫|--|
lapenseepercouoitis e	-|-----|--|--------⌫|
porsonau oir	--|--|--⌫--|
occirrepe n se	------|--⌫-⌫-|
s anzau tr e de ffe nse	-⌫--|--⌫--⌫|--⌫---⌫--|
ilentrenten	-|------|-|
zzgrantbo chaige	-|----|--⌫-----|
li iui f conoi tl ocoraig e	-|---⌫|-----⌫|-⌫|------⌫|
decelui qui lo uuet t u er	-|----|--|-|---|-⌫-⌫-|
paour lan faitlocu ermuer	----||-|---|-|--⌫-|---|
bienconoissoitalaparole	---|---------||-|-----|
lapenseemaua isee t	-|-----|----⌫--|-⌫|
mesperancetoute	|--------|----|
g ardefaitilienaie doute	-⌫---|---|-|-||--|----|
esioirne mepuisn e rire	-----|-|-|---|-⌫|---|
mesc uersde danzmoitozsospire	--|-⌫---|--⌫---|--|--|------|
l i botoilliers	-⌫|----------|
pertricherie	--|--------|
distquil n ipe nsefeloni e	---|-|-|||--⌫--|------⌫|
dece p ristformant aiurer	-|-|-⌫---|------||----|
sanpris t es segurer	|-|----⌫|--⌫------|
un po usecomanceafier	-|--⌫|-|------||---|
et sapaourentrobl i er	-|-|----|-------⌫-⌫-|
ad onc libo toillierslicrie	--⌫--|-|--⌫--------|-|---|
iuifn enporterezlauie	---||-|-------|-|--|
ta derrierehoure esthui	-|-------|----|--|--|
cestechose niertiaisehue	----|----||---|--|----|
morirtes tuetcorset	----||--⌫---|---|-|
melaira sc e	-|-----⌫|-⌫|
doiztusauoir	---|-|-----|
