mi sirenoble lilio ns	-|---|----|-|---⌫-|
tantetpuisentendua i ll ors	---|-|---|------|-⌫-⌫--⌫--|
coubl iezot d esmoz mei llo rs	|----⌫--|-|-⌫-|--|---⌫---⌫-|
renartnefu pases maiez	-----|-|-|--|--⌫----|
son baston prentcom affetiez	--|-----|----|--|-------|
gent e mentlesot	----⌫-⌫---|-|--|
asoi t r a ire	|--|-⌫-⌫-⌫--|
bien f uapris a telafaire	---|-⌫|----||--|-----|
enpl usorssens laessaié	-|--⌫----|---|||------|
n efetsenb l antdome	-⌫|--|----⌫-⌫--||--|
enses doizla co rroi elace	-|--|---|-|--⌫----⌫|---|
sisere dre ceenmi la	-|-|--⌫---⌫-|---|-|
sones cu p rentsi	--|--⌫-|-⌫---|-|
comme chastelqui sietsormu r	----|------|--|---|--|--⌫|
liescremirs liestmout	-|--------|-|--|---|
q ue tout ens etles	-⌫-|---|-|-⌫-|--|
sonescus or sateste tie nt	--|---|-⌫-|-|----|---⌫-|
et ysengrinpres de luiuient	-|-------|---|-|--|----|
t eld escremielidon a	-⌫-||-------|-|---⌫|
que ag rant	--||-⌫---|
hontelitorna	----|-|----|
ysengrin est de gr antair	-------|--|-|--⌫--|--|
mout tostuarenartenuai r	---|---|-|-----|-----⌫|
re nart f et ilma l iesbaill iz	--⌫---|-⌫-|-|--⌫|--|-----⌫-|
totdizme souloie sh onnir	-----|-|-------⌫|-⌫----|
uangedelaui t ance	----|-|-|--⌫-⌫---|
qu em efeisp arsorquidance	--⌫|-⌫|---|-⌫-|----------|
quanttu ama famegeuz	----|-||-|---|---|
etaforcela porg euz	-||----|-|----⌫--|
renart respo ntsirem a l dites	-----|-----⌫-|---|-⌫-⌫|----|
otro iez queie soie	----⌫--|--|-|---|
faireu osfera i	----|-⌫-|----⌫|
gran t hom age	----⌫|---⌫--|
auscheualie rsdem o npa rage	--|--------⌫-|-|-⌫-⌫|--⌫---|
puisira i poru osoutre mer	---|---⌫|--|-⌫-|-----⌫--|
uolez quite clam e r	----|----|----⌫-⌫|
renart fet ilne te trauaill es	-----|--|-|-|-|--------⌫-|
cer tes ie cuitquepetit uailles	---⌫--|-|---|--|----|------|
qu ant d e	--⌫--|-⌫|
mesma inse schapera s	--|--⌫--|-⌫--------⌫|
iapuisne me ramposneras	-|---|-|-|----------|
ren artre spon tcestdeuinaille	---⌫--|--⌫----⌫||--|---------|
bienue rrome salabataille	---|--⌫-----⌫||-|-------|
le que l denosaurale p is	-|---⌫|-|--|---|-|-⌫-|
distysengrinnoiant	---|-------|-----|
sede uos ne	-|-|--|-|
mepu isuangier	-|--⌫-|------|
e t distrenartor oi da ngier	-⌫|---|-----|-|-|--⌫----|
qu a leztouteior menacant	-|-⌫--|----|--|-------|
mesassai lliezde m aintenant	--|-----⌫----|-|-⌫--------|
acemotysengrin	|-|--|-------|
rena rtn a	----⌫-|||
talentquilsen tort	-----|-|-||-|---|
sonescumetdeuantsonfront	--|---|--|-----|--|----|
metpieau ant so uentsesgront	--|--|--⌫--|--⌫---||------|
ysengrin hastan t	-------|------⌫|
renartseu a biendesfe ndant	-----|-|-⌫|---|-----⌫----|
ainzque ysengrinpartde	------|-------|---|-|
le fiert renartq ue pa s	-|----|-----|-⌫-|--⌫|
telcoplez l oreill eli donne	--|--|--||------⌫|-|----|
toute latesteli estonne	----|-|----|-|------|
siquea poique	----||--|--|
acelassaut m al	|--|-----|-⌫-|
li enchiet	-|------|
testeaueu seingnie r	----||--|--------⌫|
de samai nse	-|-|---⌫|-|
prist aseignier	----||-------|
di eupri equinef autnement	--⌫-|---⌫|--|-|-⌫--|-|---|
que ill egartd af olement	--|-|-⌫|---||--⌫------|
par safameestcedis ttraiz	--|-|---|--|-|---⌫|----|
longuementfusiesb ahiz	---------|-|-|---⌫---|
queil nesotoui l	--|-|-|--|-|-⌫|
s oit iorzou n uizqueltensfesoit	-⌫--|---|-|-⌫--|---|---|-----|
por le co pq u ilotre ceu	--|-|--⌫|-⌫|-|-|--⌫--|
renart la b i enap e rc e u	-----|||-⌫-⌫-|--⌫-⌫--⌫-⌫|
nefaitse nblant quille seust	-|---|--⌫-----|-|-|-|----|
nequeaperceuleu st	-|--|------||--⌫-|
mesdautrep arttorne	--||----|-⌫--|----|
regartque il nelfiere	-----|--|-|-||----|
se i lemp ue tl oisi r auoi r	-|-⌫|-|-⌫--⌫|-⌫----⌫|----⌫|
encorl i ferabien sauoir	----|-⌫|---|---|-----|
atal a nt d e	|---⌫-⌫-|-⌫|
luiatraire	--|------|
ensus delu i l eferatraire	----|-|--⌫|-⌫|---|-----|
nelel er apasaprouchier	-|-|-⌫--⌫|--|---------|
leuetesmoschier	-|--|---------|
dantysengrindelo ing regar de	---|-------|-|--⌫--|-----⌫-|
rena rtlidist porquoi	----⌫-|-|---|--|---|
qua lab a tail le ne reuient	-||-|-⌫-⌫----⌫-|-|------|
biens etqu eferelicouient	---|-⌫-|--⌫|---|-|------|
yseng rin serestpo rpensez	-----⌫--|-|---|--⌫------|
b iensetquila esté gre uez	-⌫--|--|-|-||----|---⌫--|
e stquetrop demeure	-⌫-|--|---|------|
isnelemen tli corutseure	---------⌫|-|----|----|
metpie a uan tgi eteretraite	--|--|-⌫---⌫|--⌫--|-------|
mesdurementrenartsegaite	--|-------|-----|-|----|
yse ngringietepas nareste	---⌫----|----|--||-----|
de s onba ston u olela	-|-⌫-|--⌫---|-⌫--|-|
metpiearrier esis	--|--|------⌫|-||
renar tquiseta ss ezde fart	-----⌫|--|--|-⌫--⌫-|-|---|
lia uoit ditsireysengrin	-|-⌫---|--|---|-------|
di eusq uisor tozest	--⌫--|-⌫-|--|--|--|
setbienque l dr oit uer smoi auez	--|---|---⌫|--⌫--|---⌫|--|---|
ba stonu osfautsinel ueez	--⌫---|-⌫-|---|-|-||---|
quefaiso nspes	--|-----⌫-|--|
am onseignor	|-⌫-|------|
ainco isqua ionshontegreignor	-----⌫---|-⌫---|----|-------|
distysengr in fetesmoitondr e	---|------⌫-|----|--|-----⌫|
sasez nenaipo ruos confondre	|---||-|-|--⌫|--|--------|
auant asse zramponé	----|----⌫|-------|
baron e l cha mpesturent	----|-⌫|---⌫-|-------|
derechiefa nd ui sen reuiene nt	--------|-⌫--⌫-||-|-------⌫-|
lesescuzmoutcointemen t tienent	--|----|---|---------⌫|------|
yse ngringiete	---⌫----|----|
et fetsonesme	-|--|--|---|
q uege teruueil leparmeesme	-⌫-|--⌫--|-----⌫-|--|-----|
de luipren dre mout sentremet	-|--|----⌫--|---||-------|
entrelescusonbastonmet	----||---|--|-----|--|
enmil e champson	---|-⌫|----|--|
esculaisse	---|-----|
so n bastone slaisse	--⌫|-----|-⌫------|
telcopli doneainzq uil	--|--|-|---|-----⌫|-|
iamesniert iorne	----||---|--|-|
l ensouieg ne	|-|------⌫-|
le brazsenestreli a frait	-|---|-------|-||----|
or ay sengrin mauues plait	-||-⌫------|-----|----|
andui o nt lorescuzgu erpi z	----|-⌫-|--|----|--⌫----⌫|
si saerdent pa rmi les	-||------|--⌫--|--|
l ong uementfur entenesta nt	-⌫---⌫-----|---⌫--|-|----⌫-|
enplusors sensseuon thastant	-|------|---|-|---⌫|------|
neueistesgenz si	-|------|---|-|
pooi tlautreabatre	----⌫||----|-----|
m es nu snesen puetmeru e illi er	-⌫-|--⌫|-||-|---|----⌫-⌫----⌫-|
q ysengrin	|-------|
n esepotaidier	-⌫|-|--|-----|
fors se ulementdesonbrazdestre	---|--⌫------|-|--|---|-----|
quepe rd uauoitl esenest re	--|--⌫--⌫|----|-⌫|------⌫-|
liu ns t orne l autretrestorne	-|-⌫-|-⌫---||----|--------|
laut reneseiorne	|---⌫-|-|------|
m outto rnentainzq uen usenchiee	-⌫--|--⌫----|-----⌫-|-⌫-|-|----|
ysengrinsueffre	-------|------|
grant hac h iee	----|---⌫-⌫--|
le s denz a zz	--⌫|---||-|
poiplusagues	--|---|----|
que renartetp lusesmoulues	--|-----|-|-⌫--|--------|
contrerenartmout sehe ric e	-----|-----|---|-|--⌫---⌫|
descire sapelice	------|-|-----|
ren art lifetzz	---⌫--|-|--|-|
tordenglo is	--||-----⌫-|
ys engrinnel doutoitaincois	--⌫-----|-||------|------|
renart lestraintpasnese faint	-----||-------|--|-|-|----|
iambetlife t	-----|-|--⌫|
a la te r relegieteenuers	|-|--⌫-⌫-|-|----|-----|
rena r tiuts us	----⌫-⌫|--|-⌫-|
lesdenz li	--|---|-|
bri saenla bo uche	---⌫-|-|-|--⌫---|
chie relicrache	----⌫-|-|-----|
et mouc he	-|----⌫-|
es eu lzli boutel e	-|--⌫-|-|----|-⌫|
e t poileas	-⌫|----|-|
on gleslegre non	--⌫---|-|---⌫--|
trair eli a	-----⌫|-||
fe t malefin	--⌫|---|--|
puisliad i tdan ysengrin	---|-||-⌫-⌫|--|-------|
encui sauron quidroitaura	----|-----|--|----|---|
e tquimieusferel esaura	-⌫|--|----|---|-⌫|----|
deuostrefa m e m escus ez	-|-----|--⌫-⌫||-----⌫-|
certes mout i estesaui le z	-----|---|-⌫----|---⌫--⌫|
quantissi por uostrem oil lier	----|---|--|-----|-⌫---⌫---|
fete smoiet uostraueill ier	----⌫|--|-|--|--------⌫--|
yse ng r in otquillelesdang e	---⌫--⌫-⌫-|-|-|-|-|-------⌫|
mou tert dolent sil	---⌫|--|-----||-|
ne se uenge	-|-|----|
ce poiselu i	-|----|--⌫|
n enpuetpl usfaire	|-|---|--⌫-|----|
renartlifaithontee t c ontra ire	-----|-|---|----|-⌫|-⌫-----⌫--|
renartl ifet	-----|-⌫|--|
detot sonmieulz	-|--|--|-----|
delapoud re li giete esieul z	-|-|----⌫-|-|----|-|----⌫|
etdis t fo u s estqui	-|---⌫|--⌫-⌫|--|--|
metsent ente	--||---⌫---|
maisentrese sdenzs e	---|----|--⌫|---|-⌫|
enriensquele d ie	-|----|-|--|-⌫-|
pois ontdefame sanz boid ie	--|-⌫--|-|---|---|----⌫-|
porfam eestplusnoise q ue	--|---⌫|--|---|----|-⌫-|
iala moiene	-|-|---|-|
croir aimais	-----⌫-|---|
f am efetha i rpereetmere	-⌫--⌫|--|--⌫-⌫|---|-|---|
fa mefettuersoncompere	--⌫-|--|---|--|------|
par fa messo ntho nizmainthome	--|--⌫--|--⌫-|--⌫--|----|---|
de tozlesmaus est	-|--|--|---|--|
fou sest quit ropimet s entente	---⌫|--|--|-⌫--||--||------|
yseng rin ains isedement e	-----⌫--|----⌫|-|------⌫|
ainsis e complai nt	----|-⌫|-------⌫-|
seulemen t	--------⌫|
renart le fiert menu ement	-----|-|----|----⌫----|
e tsor les eulzet so r laf ace	-⌫|--|--|---|-|--⌫|-|-⌫--|
lepoiletlecuir enarrache	-|---|-|-|---|-|------|
bien uoi t q u ilesten m ale	---|---⌫|-⌫|-|--|-|-⌫--|
ace stm o t	|--⌫-|-⌫-⌫|
lebastoneschape	-|-----|------|
que rena rttenoit	--|----⌫-|-----|
cilqui not pasle	--|--||-|--|-|
cue rt ro puai n	---⌫|-⌫--⌫|---⌫|
leuermesn epot estre	----|--|-⌫|--|----|
q uil notue rtu	-⌫|-||-|--⌫--|
forsdubraz	---|-|---|
renartlif et honteetannui	-----|-|-⌫-|----|-|----|
s oufrirlestue t c e poise lui	-⌫-----||-----⌫|-⌫|----|--|
bienleu oudroi tauoirconquis	---|-|-⌫------⌫|----|------|
de lapoudrelig iete el uis	-|-|-----|-|-⌫---|-|--|
ys eng ri n tientporno nsachant	--⌫---⌫--⌫|----|--|--⌫|------|
an d e ulzli ua les	--⌫-⌫-⌫--|-|-|--|
eulzcerchant	---|-------|
mespa rsagrant mesauentur e	--|--⌫|-|----|----------⌫|
telmaleauenture	--|---|-------|
sesdoiz en	--|---|-|
labo uche deden z	-|--⌫---|-----⌫|
lichie tetcilles prentas	-|----⌫|-|--|--|----|-|
la char litrancheiusq u a l os	-|---|-|------|----⌫|||-|
s esbrazlace d erriers ondos	-⌫-|---|---|-⌫-----|-⌫-|--|
de lestraindrepasne	-||---------|--|-|
ente leguiseledestr aint	-|--⌫-|----|-|-----⌫---|
queuue i lleou nonle	--|---⌫-⌫--|-|--|-|
faitdescendre	---|--------|
e tdeso uzluilefet	-⌫|----⌫-|--|-|--|
orestre nart	-|--|--⌫---|
enmaltrepeil	-|--|------|
sil a po orneme mer ueil	|-||--⌫-|-|-|---⌫---|
ysengrinde sge nolzleserre	-------|--⌫|--⌫---|-|----|
renartne u o it ne	-----|-|-⌫-⌫-|-|
cie lne terr e	---⌫|-|----⌫|
iuréauoitfausserement	----|----|---|-------|
siliparra prochain ement	-|-|----|--------⌫----|
com fau sse loi il	--|---⌫--|--|-|
huies tuenuzasaiorn e e	--|--⌫|----||-|----⌫-⌫|
merciqu iert por les sa inzderome	----|--⌫---|--|--|--⌫--|-|---|
mesneli uaut	--|-|-|---|
queyseng r in le f iertetmaill e	--|-----⌫-⌫-|-|-⌫---|-|-----⌫|
et dant r enartgront et baail le	-|---|-⌫----|----|-|-----⌫-|
y sengr in lefiert e nlach iere	-⌫-----⌫-|-|----|-⌫|-|--⌫---|
neti ent passamainuersluichiere	-|--⌫--|--|-|---|---|--|-----|
renart na pooirdel desfen dre	-----|||----|--|------⌫--|
tot l ic ouien t sou fr iretprendre	--|-⌫|-⌫-----⌫|---⌫--⌫-|-|------|
ic eleangois se etice mal	--⌫--|------⌫-|-|--|--|
traire lifetysengrinmal	-----|-|--|-------|--|
iluo us ist	-|--⌫--⌫--|
mieuse streai llor	----|-⌫---|--⌫---|
q ue il souf fristsigrant dolor	-⌫-|-|----⌫----|-|----|----|
deuenuzestplusf roizque	------|--|---|-⌫---|--|
mieusueltmorircedit	----|---|----|-|--|
queporluirecreantse claint	--|--|--|-------|-|-----|
ace st mota gitézzp laint	|--⌫-|--||----|-|-⌫----|
au cuers entoitm outgra ntannui	-|---|-⌫-----|-⌫--|---⌫-|----|
ilnecuidoit sentirhui	-|-|------|-----|--|
queen luin auoitp oi nt	--|-|--||----|-⌫--⌫-|
senblant fetd	-------|--||
ome quisoitmorz	--|--|---|---|
ysengr in asespoinz	------⌫-||--|----|
mo u tledesc ir e et desache	--⌫-⌫|-|----⌫--⌫|-|------|
renartnemuetne pie zne mains	-----|-|---|-|---⌫|-|----|
bien f etsenblant qu	---|-⌫-|-------|-|
ysengrin laba tusifort	-------|||--⌫-|-|---|
queel champl elessepor	--|-|----|-⌫|----|--|
libar onsontdeluiparti	-|---⌫-|---|-|--|----|
atantl acorts edepa rti	----|-⌫|---|-⌫|----⌫--|
ainztroiennorent telio ie	---|-----||----|--|--⌫-|
q uantrecurentelaineatro ie	-⌫---|-------|-----||---⌫-|
combrunl iours	--|---|-⌫|---|
et tie ce lins	-|---⌫--⌫---|
et chantecler et ysengri ns	-|---------|-|-------⌫-|
tybertlichazet	-----|-|---|-|
etlidainsmisirep lat iaux	-|-|----|-|---|-⌫---⌫---|
forsderenartnusnel ueist	---|-|-----|--|-||----|
deriretenirse poist	-|---|----|-|----|
lipare ntrenart o ntgrant	-|----⌫-|-----|-⌫-|----|
noblenenuel toirn ulconte	----||-|---⌫|--|-⌫-|----|
ainzco mmande que o n lepe nde	---|--⌫-----|--|-⌫|-|--⌫--|
ty bertli cha zleseulzl i	--⌫---|-|---⌫|--|---|-⌫|
etr ooniauxl espoinzli lie	-|-⌫------|-⌫-|----|-|--|
bien on trenart enlorbaillie	---|--⌫|-----|-|--|------|
d epa umoisonsest reu enuz	-⌫|--⌫-------|--|---⌫---|
bienli esseroitauenuz	---|-|-------|-----|
ma ins pooitpartir	--⌫--|----|-----|
iame sniroi thometra hir	----⌫||----⌫|---|---⌫--|
toutelacortoissi ezbru ire	----|-|---|-----⌫-|---⌫--|
mou t seha st entdelui	---⌫|-|--⌫--⌫--|-|--|
renart por sa uietenser	-----|--|-|--|-----|
pr ie quelenle lestaler	--⌫-|--|--|-|---|---|
cararegehirlicouie nt	--||------|-|-----⌫-|
lespechie z	--|------⌫|
don tilliso uient	---⌫|-|-|--⌫----|
lo rs lifirentuenirbelin	--⌫-|-|-----|----|----|
porlapriereson co usin	--|-|-----|--|--⌫---|
monseignorgrinbert	--|------|-------|
de grantduel	-|----|---|
cuer cou ert	---|---⌫--|
renarts e fist aluic onf es	-----|-⌫|---||--|-⌫---⌫-|
chargiésonfes	-------|--|--|
selonclespechiezq uil a fet	-----|--|------|-⌫|-||--|
aenuersdieumeffet	|-----|---|-----|
co nfessoitrenart	--⌫-------|-----|
atantezuos	----|-|--|
sirebernart	---|------|
quid egrantmontfureperiez	--|-⌫|----|---|-|-------|
renart trueuequifu liez	-----|-----|--|-|---|
mou t se dementeforment p leure	---⌫|-|------|------|-⌫----|
ysengrinm auditetd e ueure	-------|-⌫----|-|-⌫-⌫----|
enquislia e tdemandé	-----|-||-⌫|-------|
que lirois	--|-|---|
en a com ma nd e ́	-||---⌫--⌫--⌫-⌫|
biausirequ etostsoitpenduz	---|---|--⌫|---|---|-----|
par nu luinesoitdeffenduz	--|--⌫--|-|---|--------|
quan tlef rere otqueil l idist	----⌫|-|-⌫---|-|--|-|-⌫|---|
n elenpesa m ie petit	-⌫||-|---|-⌫-|----|
qu il ertd e g rantfranchis e plains	-|-|--|-⌫|-⌫---|--------⌫|-----|
quepasnestoituilains	--|--||-----|------|
ren a rt l a	---⌫-⌫-|||
bienaperc eu	---|-----⌫-|
a u grantd uel quilena eu	-⌫|----|-⌫--|-|-|-||-|
q uemainnegrinbertlite sson s	-⌫-|-----|-------|-|--⌫----⌫|
e te s pinart	-⌫|-⌫-⌫-----|
lih ericons	-|-⌫------|
renart dem andera	-----|---⌫-----|
en same sonmoineenfera	-|-|--⌫--|----|-|---|
l aouuit nob le belement	-⌫|-|--|---⌫-|-------|
le s alu ecortoisement	-|-⌫---⌫|-----------|
nobl esestleu ez enes tant	----⌫||--|---⌫-|-|--⌫---|
queneset frerequ	--|-|--|----|-|
ilain ttant	-|---⌫|---|
deiostelui la asegié	------|--|||------|
frer e hernauz lia prié	----⌫|------|-||----|
quepordie uo stroi tsiliplaist	--|--|---⌫|-⌫-----⌫|-|-|-----|
que renartsai n	--|-----|---⌫|
ets a uflilest	-|-⌫-⌫-|-|---|
et noblere garde l e frere	-|----|--⌫----|-⌫|----|
pordieu sire	--|---|---|
ledeuez fere	-|----|---|
nepu etal eradieulegra nt	-|--⌫-|--⌫-||---|-|---⌫-|
qui n epardone	--|-⌫|------|
ma utala nt	--⌫-----⌫-|
iesu crizpardona	---|---|------|
a lui deuezprendr econ fort	|--|----|------⌫|---⌫---|
itelc onseilu osuuei l do n er	---|-⌫-----|-⌫-|----⌫|--⌫-⌫-|
que uos lessiezrenartaler	--|--|------|-----|---|
ai ezmercidoupecheor	--⌫-|----|--|------|
aucuneamor	-----|---|
moutdeprie lempe reor	---|-----||----⌫---|
querenartlidoin t par	--|-----|-|----⌫|--|
ils uige ue nuz	-|-⌫-|-|--⌫--|
pri eruosuueil	---⌫-|--|----|
aincoislem	------|-||
enlessiezmen er	-|------|---⌫-|
dieus leu ospuistguerredonner	----|-|-⌫-|----|-----------|
donezl emoi	----|-⌫|--|
adieuseruir	|---|-----|
quipornossele s samo rir	--|--|--|-|--⌫-⌫-|--⌫--|
nosfuencroizpenez	--|-|-|----|----|
porce ledeuezpa r doner	--|-|-|----|--⌫-⌫----|
sienferai mo inecl oistrier	-|-|----|--⌫--|--⌫-------|
preudomesse racesachiez	------|----⌫-|-|------|
pordieuorlem efetes ren dre	--|---|-|-|-⌫|----|---⌫--|
q ueseuos lefesiezpendre	-⌫-|-|--|-|-----|-----|
iacertesniaurezanor	-|-----|||----|---|
dieuapiti e dupecheor	---||----⌫|-|------|
me ss oit confessise gartbien	--⌫|-⌫--|-----|-|-|---|---|
quilse ra sauf ie	-|-|--⌫-|---|-|
ornemen ref use z ledon	-|-||-|---⌫---⌫|-|--|
donezle moi par	----|-|--|--|
guerred on	-------⌫-|
nobl e ent entquebi en	----⌫|---⌫--|--|--⌫-|
neluoudroitauoirescondit	-||-------|----|-------|
deriensque illidem a ndast	-|----|--|-|-|---⌫-⌫----|
ne queaferecommandast	-|--||---|---------|
r enart lirendibone ment	-⌫----|-|----|----⌫---|
sanz autre c ontrediement	---|----|-⌫-----------|
r enart agité deprison	-⌫----||----|-|-----|
s i l enmo ineen saprison	-⌫||----⌫--|-|-|-----|
poissonlidonentporamordr e	------|-|-----|--|------⌫|
etbienl e ndoc tr inentdel	-|---||-⌫----⌫--⌫----|-||
desdrasmo ine	--|---|--⌫--|
l ontuestu	|--|----|
enlordrebienlontr e ceu	-||----|---||--|-⌫-⌫--|
a in zy y i o rzfu il g ariz	-⌫--⌫|-⌫|-⌫-⌫-|-|-|-⌫---|
sach iez n	----⌫--||
en f umiemarr iz	-|-⌫|--|----⌫-|
tozfugarizet	--|-|----|-|
res passez	---⌫-----|
parmeinzmauues pas est passez	--|----|-----|--|--|-----|
b ienretientce	-⌫--|------|-|
conlie nseigne	|-|-|-⌫------|
ne f e t pas sen blantque	-|-⌫-⌫|--|---⌫----|--|
lessign esfetdemon iage	--|----⌫-|--|-|---⌫---|
m out letienentla ie nz a sage	-⌫--|-|------|--⌫--⌫-||---|
chierestte nuzet mo ut	----|--|--⌫--|-|--⌫-|
frererenartest a pel ez	----|-----|--|-⌫---⌫-|
ets ifetmout l epapela rt	-|-⌫|--|---|-⌫|------⌫-|
t antqui l	-⌫----|-⌫|
sen puisseissirparart	|-|-----|----|--|--|
mout e st rena r tdebiau seruise	---|-⌫-|----⌫-⌫|-|---|------|
uolent iersuaasaint e	------⌫---|-||-----⌫|
so uentlimenbre	--⌫---|-|-----|
desgelines	--|------|
dontilse utm engier l eseschines	---|-|--⌫-|-⌫-----|-⌫-|-------|
mo utfet renartgranz	--⌫-|--|-----|----|
oroi so ns	----⌫--⌫-|
etse tientaaffli ctions	-|-|----||-----⌫-----|
moutseded uit hon estement	---|-|---⌫--|---⌫-------|
bienli sieent	---|-|-----|
liuestement	-|--------|
sisentremetde	-||-------|-|
l ordre apren dr e	|----|-----⌫--⌫|
il naen lui riensque reprendre	-|||-|--|----|--|--------|
o rest re nart deuenuzmoines	-⌫|--|--⌫---|------|-----|
grantdo lor sueffreet granz poines	----|--⌫--|------|-|----|-----|
de ieun er etdeuie i llie r	-|----⌫-|-|-|---⌫-⌫----⌫|
dechanteret de	-|------|-|-|
uerseil lier	-------⌫---|
z ziorfu la m essechan tee	-⌫|--|-|-|-⌫---|----⌫--|
renartl ot de cuer	-----||-|-|---|
toutderreainistdumostier	---|-------|--|-|------|
main tenoi tzz sa uti e r	---|-----⌫|-|--⌫---⌫-⌫|
yychapo ns toz sora n nez	-|-----⌫-|--|----⌫-⌫--|
lor auoi tzzboriois donez	--|----⌫|-|------|----|
q uia uoitn on tiebertli ri ch es	-⌫-|-⌫---|-⌫-|------|-|--⌫--⌫-|
estoit au ernechiches	-----|--⌫-|-|------|
re nar tlesaa perceuz	--⌫---⌫|--||-⌫------|
bie n deceuz	---⌫|-----|
se ilnen fet	-|-||-|--|
s esgre nonsbrui re	-⌫-|---⌫---|----⌫-|
lieementsencui de deduire	-------||-|---⌫-|------|
par dieufet	--|---|--|
ilnem aparti enent	-|-||------⌫----|
ci l qui dec harmengiernedeignent	--⌫|--|-|-⌫--|------|-|-------|
pas fet ueudemengi ercha r	--|--|--|-|-----⌫-|---⌫|
moutle tendroieagrant eschar	---|-|-------||----|-----|
qu i telueuf ereme	--⌫|--|--|-⌫--|-|
cer tesdurement meffe roi t	---⌫--|-------|-----⌫---⌫|
de ch a rn e	-|--⌫-⌫|-⌫|
mepuis get en i r	-|---|-|-⌫--⌫-⌫|
segeempuis en leu	-|-|-|---|-|--|
aceus monsteraiquef erai	|---|--------|--|-⌫---|
gueul e lesmengerai	-----⌫|--|-------|
li iorztrespasse lanuit uint	-|---|--------|-|---|---|
r enar tqui des chaponssou int	-⌫----⌫|--|--|------|---⌫--|
metreenoub liance	----|-|---⌫-----|
ceiortrespasseobed iance	-|--|--------|----⌫----|
cha pons silesdesiouche	---⌫---|-|--|--------|
meni ueaucuer	----⌫-|-|---|
lesa utres yyamis en te r r e	--|-⌫----|-||--|-|--⌫-⌫-⌫|
lendemainlesreuen dra que rre	|-------|--|-----⌫--|---⌫--|
s iles acouerzdu	-⌫|--||-----|-|
a rrieresestalez cou c hier	-⌫-----||--|---|---⌫-⌫---|
nu snesetriens	--⌫|-|--|----|
n edelbar atqueil	-⌫|--|---⌫-|--|-|
bienl i c haide lauenture	---|-⌫|-⌫--|-||-------|
moutseretraita sanature	---|-|------||-|-----|
lendemain apresles matines	|-------|----|--|------|
renartquitant	-----|--|---|
aimegelin es	---|-----⌫-|
sestdesautr esdesieunez	|--|--|----⌫-|--------|
p ui se sten cl oistre retornez	-⌫--⌫|-⌫-|-|--⌫-----|-------|
letier zme n iaque nusnelsot	-|----⌫|--⌫-⌫-|--|--|-||--|
auquartme ngier	-|----|--⌫----|
i llecpassot	-⌫---|-----|
zz frere q ui bienapercut	-|----|-⌫-|---|------|
q u erenar tli	-⌫-⌫|-----⌫|-|
ro uxle s decut	--⌫-|--⌫|----|
e tau co uentle uacontan t	-⌫|-|--⌫---|-|-|------⌫|
etrenart en o th ont e	-|-----|-|-⌫|-⌫---⌫|
renar tlor e nuoloit dr oit fer e	-----⌫|--|-⌫|-----|--⌫--|---⌫|
bernartnen otqu efe re	------||-|-|--⌫|--⌫-|
quilrauoitmengie ́zz	-|-|-----|------⌫|-|
q uiltrouerente nlor pra el	-⌫|-|--------|-⌫|--|---⌫-|
tanz lar recinsl orotil faiz	---|---⌫-----|-⌫-|-|-|---|
q uebien sorent quilf u	-⌫-|---|-----|-|-|-⌫|
arena rt ont tolulesdra s	|----⌫-|--|---|--|---⌫|
qu anti l sen p artitoz fu gras	--⌫--|-⌫||-|-⌫---|--|-|---|
nedemandoit nu lea utr eriens	-|--------|--⌫-|-⌫---⌫|----|
nemesquissuzfustde	-|--|-|----|---|-|
mout durem entl iezs e nfesoit	---|-----⌫--|-⌫--||-⌫|-----|
ordrepasneli p lesoit	----|--|-|-|-⌫-----|
t orn ez senes tpar	-⌫---⌫-||-|--⌫|--|
encornu ir a ayseng r in	----|--⌫--⌫||-----⌫-⌫-|
limoin elont misala	-|----⌫||--|--||-|
tou z seulssenuanusne l	---⌫|----||-|-|--|-||
moutme naceses	---|--⌫---|--|
c eulspar cui fu enpoinemis	-⌫---|--|--|-|-|----|--|
satest eiurecoron nee	-|----⌫|---|-----⌫--|
ireniert pard onee	--||---|----⌫---|
a yse ngrinnea tieb ert	|---⌫----|-||----⌫--|
parcuiilatant ma lsoufe rt	--|--|-||---|--⌫|-----⌫-|
rooniaux ertenune	-------|--|-|--|
leuoit for ment sesmaie	-|---|---⌫---||-----|
si escrieuezle	-|-----|--|-|
que deuionsauoir p e nd u	--|------|----|-⌫-⌫--⌫|
deabl eslontorehor s mis	-----⌫-||--|--|---⌫|--|
l imoinene luuelentsoufr ir	-⌫|----|-||------|-----⌫-|
iln atalentde rampo sn er	-|||-----|-|-----⌫--⌫-|
pr isttantostaler	--⌫--|------|---|
siuatotdroit ensatesnie re	-|-|--|----|-|-|------⌫-|
siatrouésafam echiere	|||-----|-|---⌫|-----|
et qu antle uoit granti oi e	-|--⌫--|-|---|----|-⌫--⌫|
seszz bra zaucolligit a	--|-|---⌫|-|--|-|---⌫|
qu emou ta uo itgrant duel	--⌫|---⌫|-⌫--⌫-|----|---|
q ue ysengrinl au oit	-⌫-|-------||--⌫--|
sifilz eno nt ioiemou t g r ant	-|---|-|-⌫-|---|---⌫|-⌫-⌫--|
qua nt lorpere uoien t	---⌫-|--|---|-----⌫|
puis queilests ainz	----⌫--|-|--|-⌫---|
