di reledoit	--⌫-|-|---|
uerslui faches e retou rnee	---|--|----|-⌫|-----⌫---|
co uuenant	--⌫------|
congie pristetsen pa rtatant	-----|----|-||-|--⌫-|----|
etorgieuscheuauch e osa gent	-|------|--------⌫||-|---|
baniere desp loie	------|----⌫---|
pa rt out en ala co nquester	--⌫|-⌫--|-|--|--⌫-------|
lesdamesconma nde aques ter	--|----|-----⌫--||----⌫--|
aschitesuoisentetasu ile s	-|-----|------|-|-|-⌫---⌫|
as parlemensetas conchil les	-|--------|-|-|-------⌫--|
etgirailes	-||---|--|
rentesueoir	-----|----|
on neurentaleurpoo i r	--⌫------||---|---⌫-⌫|
siqueprinch escomt es et rois	-|--|------⌫-|----⌫-|-|---|
damescheualie r set bourgois	----|--------⌫-⌫|-|-------|
sirai a lapostoile aronme	|---|||--------||----|
etas lyegausquiwaleconme	-|-|------|--|--------|
diro nt am oil i archeuesque	----⌫-||-⌫-|-⌫|----------|
sont prestoutmien	---|---|---|---|
etlieuesq ue	-|-|-----⌫-|
etl ipr ela td esainteglise	-|-⌫|--⌫---⌫|-⌫|-----|----|
etliabb ec h ascuns meprise	-|-|---⌫|-⌫-⌫-----|-|----|
metienentpo ur	-|------|--⌫-|
parles gra nsli	--|--|---⌫-|-|
uenr ont auarisceuenés	----⌫--|-------|-----|
omo i et au oec amené s	|--⌫|-|--⌫--|------⌫|
couuoitiseuofilleain sne e	---------|-|----|---⌫---⌫|
quimout sera	--|---|---|
w alec onmee	-⌫----⌫----|
a scardonnau s	-⌫|---------⌫|
et auclergie	-|-|------|
paruous deus enai w aaignié	--|---|---|-|-|-⌫-------|
ma intquequantilsontamonte ́	--⌫--|--|----|-|---|------⌫|
d auoirqui	|----|-||
nont dumelite	|--||------|
cureains meme tent en	---|---|-|--⌫---|-|
maintpouresontqui mout	----|----|---|--|---|
hu mle s impledoucdebonnaire	--⌫--|-⌫----|---|---------|
qu imoutse r oient dautreaffaire	--⌫|---|--⌫-⌫----||----|------|
fussentr iqueet as sasé	------|-⌫---|-|--⌫----|
hum le parpourete	---⌫-|--|------|
quant o rgieuso tditson	----|-⌫-----|-⌫|--|--|
se gent conmandaam ouuoir	-|---|-------||-⌫-----|
tantostdo ntpre ndenta	------|--⌫-|---⌫----||
alesm ouuo ir	||---⌫----⌫-|
afait so nner	|---|--⌫---|
trompespl us	------|--⌫-|
deyyorgieus	-|-|------|
orprions di eule	-|-----|--⌫-|-|
roides chieus	--|--|-----|
quedorgueilso ionss i deliure	--||------|--⌫---|-⌫|------|
q uen chesieclepuisso nssi uiu re	-⌫|-|--|-----|------⌫-|-|---⌫-|
quequantnous serons trespa ssé	--|----|---|-----|------⌫---|
de chique sen se ronsrespassé	-|--|--||-|--⌫---|--------|
lasuso lu i e tquil nouswart	----||--⌫|-⌫|-|-|---|---|
dech es da meset derenart	-|--⌫-|--⌫--|-|-|-----|
et nous doins t	-|---|-----⌫|
silemondeamer	-|-|----|---|
hairetlu isibien amer	---|-|--⌫|-|---|---|
qu ilnousu oeilleco nmeses fiex	-|-|---|-⌫-----|--⌫--|--|---|
olui met reou	|--|---⌫-|-|
regnedes chiex	----|--|----|
orgi eusenuarenars retou rne	----⌫--|-|-|-----|-----⌫--|
uers maupetruischiere	---|---------|-----|
fait mourne	---|-----|
carde sonfi llire s ouui ent	--|-|--|--⌫|-|--⌫-⌫----⌫--|
rousselq ueli roisprison	------|-⌫-|-|---|-----|
narestasiuint a	|-----|-|---||
degresmerueil l eforte	-|---|-------⌫-⌫|----|
ensen t re etdes chentauperro n	--|--⌫-⌫-|-|---⌫----|-|-----⌫|
en tou rlui uinre ntsib ar on	--⌫---⌫|--|-----⌫-|-|-⌫--⌫-|
s ili demandent quelsnouuele s	-⌫|-|--------|----|-------⌫|
etill eur d istlaideset	-|-|-⌫--|-⌫--|-----|-|
laidesie suisie nserrés	-----|-|--|-|-⌫-------|
et limiens fiexemprisonnés	-|-|----|---|-----------|
l a forsentremesan emis	-⌫|---|----|--|--⌫---|
bel esdeche queie	---⌫-|-|--|--|-|
ch ec orgie uspour mamour	--⌫||-----⌫-|---||----|
adetenumon f ilgringnour	|-----|--|-⌫-|--------|
fait s on consillier	---|-⌫-|---------|
et sonmais t regonfanonnier	-|--|----⌫-⌫-|-----------|
rous selm onfil auoie	----⌫--|-⌫-|--|----|
roynob lonpetitdouteroie	--|---⌫--|----|--------|
maisseiep uis	---|-|-|-⌫--|
ded ensdemain car ieirai	---⌫--|-----|--|-|---|
ueoirmon f il enl ost	----|--|-⌫-|-||--|
entr emes a nemis morteus	----⌫|--|-⌫----|------|
soi és m iea meschief	---⌫--|-⌫-||-------|
demoicarbi en uenraiachief	-|--|--|--⌫-|-----||----|
fi lseletruisenuie	--⌫|-|-|----|-|--|
conn elait ochis	|-|-⌫||--|----|
silestenuieilsera chi	|-|--|-|--|-|---|--|
et iou et lia miedi	-|--|-|-||----|
chascuns respontsi rediex loe	-------|------|--⌫-|---||-|
endroitdenouschascun s	------|-|---|-------⌫|
liue s presuint liio urs	-|--⌫-⌫---|---|-|--⌫--|
re n arsqu ifu deputeo rine	--⌫-⌫--|--⌫|-|-|---|-⌫---|
p ourlui desconnoi stre sonuis	-⌫--|--|---------⌫---|--|--|
so inst duneherbe	|-⌫---||--|----|
que blansne	--|----|-|
nefu maise nt reyycouleurs	-|-|---|-⌫--⌫-|-|-------|
aussiqueunsfre resmen eurs	----|--|--|---⌫--|---⌫---|
seuest e t s efaitrouegn ier	-|---|-⌫|-⌫|---|------⌫--|
pendiun sautier	----|-|------|
congieprentsis en	-----|----|-||-|
par tatan t	---⌫|----⌫|
se gent u ont	-|---|-⌫--|
pourlui larmiant	---|--|-------|
ba is eetconforte	--⌫--⌫|-|-------|
etle ur distqu	-|--⌫-|---|-|
ilso ientconforte	-|--⌫---|--|----|
gentcarpetituautdesconfo rs	---|--|----|---|--------⌫-|
maischascunssetiegneconfors	---|-------|-|-----|--|---|
c ar seuous uous	-⌫-|-|---|---|
desconfortés	------------|
uostr esanemis	-----⌫-|-----|
sanspaou r u o u sconfort	---|----⌫|-⌫-⌫-⌫|--|---|
e tsiprend ésen checon fort	-⌫|-|-----⌫--|-|--|---⌫---|
conne u o uspuistparf orc h epren dre	|-|-|-⌫-⌫-|----|--|-⌫---⌫-⌫|----⌫--|
iaus yy sepueentdesf endre	---|-|-|-----|----⌫----|
oucastel contr elostyyan s	-|-----|-----⌫||--|-|--⌫|
iemenuo is	-||-|--⌫-|
die x me soitaida ns	---⌫|-|---|----⌫-|
onalumoitia	-|------|-|
lescandailles	--|---------|
os tor o iiés grans	--⌫|-|-⌫----|----|
merueilles	---------|
q ue renarsfista l aprochier	-⌫-|-----|---|||--------|
delo stco nmencha ahuchier	-||-⌫-|--⌫------||------|
ahie diexurai sdiexahie	---|---|----⌫|---|---|
secourés moisa intemarie	--------|--|--⌫---|----|
i enoieraien	-⌫|------|-|
ch es fosse s	--⌫-|-----⌫|
ne sa iouuois nu isestreubés	-|--⌫|-|---|--⌫-|--|------|
sui et limien s	--|-|-|----⌫|
compainsochis	-------|----|
quantc hildugait oe nt	----|-⌫--|-|---|--⌫-|
aluiui ennentsi lerap esk ent	|--|--⌫-----|-|-|---⌫---⌫--|
du fosseet	-|----|-|
puis li empeskent	---|-|--------|
dont il uiente tq u	---|-|----|-⌫|-⌫|
il quie r tsitart	-|----⌫-⌫|-|---|
distsediexmegart	---|-|---|-|---|
pourfairepre dication	---|----|---⌫-------|
uenimesenc estepar t ie	------|-|-⌫---|---⌫-⌫-|
monc onpaignonochissansuie	--|-⌫--------|----|---|--|
m ontc hil de	|--|-⌫--|-|
celcastiel parmame	--|------|--||--|
es capéssui dausnotre	--⌫-----|--||--|----|
ma tenséq uil ne	||-----|-⌫|-|-|
nefui encestpa is	-|--|-|---|--⌫-|
dep arlapostoilesuichi	-|-⌫-||--------|--|--|
u enus signourpourdieu	-⌫---|------|---|---|
par d euantle roi memenés	--|-⌫----|-|--|-|-----|
e t ilsi fontlir ois	-⌫|-|-|---|-|-⌫--|
estoitquas esc hies	-----|-|-|---⌫---|
quant uoi t renartsademandé	----|---⌫|-----|||-------|
quiestchieus freres cordelois	--|--|-----|-----|--------|
cha iens nen ui m a isnul	---⌫---||-|-|-⌫-⌫-|--|
ch ilerr an mentleroi	--⌫-|---⌫--⌫---|-|--|
leurditquantle trouuerent	---|--|----|-|---------|
fustilleucnoiiés	---|-----|------|
sil nefu ssent li	|-|-|--⌫----|-|
ro issagn iés	--⌫-|----⌫---|
s est yyfoisdesedes trepoe	|--|-|---|-|-|---⌫--|--|
et renarsen derrierle moe	-|-----|-|------|-|--|
f aite t le caperonoste	-⌫--|-⌫|-|------|---|
si sa luele	-|--⌫--|-|
ro i sonoste	--⌫|--|---|
et d euantluis agenouilla	-|-⌫----|--||---------|
etl irois l end r echepuisla	-|-⌫|---||-|-⌫-⌫---|---|||
lesluiassis silienqu ist	--|--|----|-|-|----⌫--|
dequelu ileestnéqu ill a	-|---|-⌫--|--|--|-|-|-⌫|
et enqu elpa yse st sauile	-|-|--⌫-|--⌫-|-⌫-|-|---|
renarsquimo ut sa uoi tdeguille	-----|--|--⌫-|--⌫---⌫|-|-----|
pl u squ enu sli	--⌫-⌫|--⌫|--⌫|-|
distdedigon	---|-|----|
su i f rereionas	--⌫|-⌫---|----|
telpreu i lege aisirerois	--|----⌫-⌫---|-|---|---|
queiep uispreec hierde scrois	--|-|-⌫--|-----⌫---|--⌫|----|
siua urraidemain pr eechi er	-|--⌫----|-----|--⌫-----⌫-|
e tlaparoledieuno nchier	-⌫|-|-----|---|--⌫-----|
l irois lo troie	-⌫|---||-⌫----|
uo lentiers	--⌫-------|
etli r oineendem entiers	-|-|-⌫---|-----⌫------|
u intauroigrimbers litais sons	-⌫--|-|--|-------|-|----⌫---|
o luise nfilag enouillons	|--|--⌫|--||-⌫---------|
sesontmisp ar deuan t le	-|---|--|-⌫-|-----⌫|-|
grimbers ieuo us proi	-------|-|--⌫-|---|
merchi pour r ou sselmenneue u	-----|---|-⌫--⌫---|--|----⌫|
sauue uoraisonetuoueu	----|-|-----|-|-|--|
canuitlelaiss iésconfesser	|----|-|-----⌫---|--------|
eta c hepreudomep arler	-||-⌫-|-------|-⌫----|
s il pertl e cors sauués	|-|---|-⌫|---|------|
que litresglorieu sedame	--|-|---|-------⌫-|---|
uous pardoinst sir euosmesfais	---|--------|---⌫|--|------|
c on medist lem atin desfais	|-|-|---|-|-⌫---|------|
doitest reet chi l	---|---⌫-|-|---⌫|
quifurent pris	--|-----|---|
ol uisirepe t it	|-⌫-|---|--⌫-⌫-|
encroister oitsedesc onf es	-|--------⌫--|-|----⌫---⌫-|
moroient sireet	-------|---|-|
r espont meuolentes	-⌫-----|-|-------|
est qu echas cun ss oitconfessés	--|--⌫|----⌫---⌫|-⌫--|---------|
liroisconmander oenel	-|---|-------|-⌫----|
quele matinam aintroussel	--|-|----|--⌫---|------|
et tous sespris onss iseron t	-|---|--|----⌫--|-⌫|-----⌫|
confessésetap res morr ont	---------|-|--⌫--|----⌫--|
roeniausrespont uole ntiers	-------|------|----⌫-----|
ca rauroi estoitchart e riers	--⌫|-|--|-----|-----⌫-⌫----|
l endemain lesatous trais h ors	|-------|--||---|----|-⌫--|
pales de uismaigresdecors	----|-|--|------|-|---|
lesmained euant roi	--|----|-⌫----|--|
enmile mai s trepauillon	---|-|---⌫-⌫--|-------|
de chiergesi otgrant plente	-|-------||-|----|-----|
liroisa rousselapele ́	-|---||------|-----⌫|
etli distr ousselse	-|-|---|-⌫-----|-|
tenoiessique	------|-|--|
qu e nferoies nel choilepas	-|-⌫|------|-||-----|--|
rousselrespo ntpar saintthoumas	------|-----⌫-|--|----|------|
uousseriiésdemainpendus	---|-------|-----|-----|
querespitn	--|-----||
iauer ie ́s plus	|----⌫--⌫-|---|
l iroisrespontaussise ras	-⌫|---|------|----|--⌫--|
an uit maisre sp itna ras	--⌫--|---|--⌫--⌫-||-⌫--|
ne t ic ompaign on en s emen t	-|-⌫|-⌫-------⌫-|--⌫-⌫----⌫|
chifaitle iugement	--|---|-|-------|
rous siausres pont gentiex roi ssire	----⌫----|---⌫---|------|---⌫|---|
pointn ede ués moustreruotreire	----|-⌫|--⌫---|-------|----|--|
pourcheuers mi netant nequant	---|--|---|-|-|---|-|----|
seur mencors	---|--|---|
seroitdesfendant	-----|---------|
saroieplu sgrantdro itasses	|----|---⌫|----|---⌫-|----|
du fa ire r oisq ue uousnaués	-|--⌫--|-⌫--|-⌫-|---||----|
l irois sembrunche etsiro ug ist	-⌫|---||--------|-|-|--⌫--⌫--|
et arouss el	-||-----⌫-|
err aumentdist	---⌫-----|---|
despourc hel escompere	--|-----⌫---⌫-|------|
l i truielefait	-⌫|----|-|---|
noi nenfaule n en canchon	|-||-|----||-|------|
direbienmaintemesprison	---|---|-----|--------|
m a faitenochis tlecoupe e	||---|-|-----⌫|-|-----⌫|
etfistquebrun sot	-|---|--|----⌫|-|
lepelduchiefseurle musel	-|--|-|----|---|-|----|
qu en tendre li	-|--⌫-----|-|
f istmielnouuel	-⌫--|---|-----|
auoitdedensle caisne e nclos	----|-----|-|-----|-⌫----|
ill ecrei sifi st q uesos	-|-⌫|---|-|--⌫-|-⌫-|--|
auss if isti lb atreth iebert	----⌫|-⌫--|-⌫|-⌫---|--⌫-----|
le cat et lescoufle	-|--|-||-------|
uautilen traison mourdrir	---|-|-|------|-------|
et n e mecuidailhonnir	-|-⌫|-|----|-|-----|
deme femenefi stli lere	-|-|---|-|--⌫-|-|---|
ays engrinsen boncomper e	|--⌫-----|--|--|------⌫|
dedens le p u cadeualer	-----|-|-⌫-⌫|-------|
fistil estouper	---|-|-------|
etpuish uihot	-|---|-⌫----|
etcompissa	-|-------|
seslouuiausetpuisles	--|-------|-|---|--|
auo utre setpr i m aut	---⌫----⌫|-|--⌫-⌫-⌫--|
tourno ietauoecmi st	------⌫|-|----|--⌫-|
en peril demort ysengrin	-|----|-|---|-------|
maiswaris est athiesselin	---|----|--||---------|
le corb el tolilef roumage	-|----⌫-|---|-|-⌫------|
ou mon d ena	-|---⌫-⌫|||
b estesau uage	-⌫---|---⌫---|
quilnaitdecheutantsetmal	-|-||--|-----|---|--|--|
etn e fist	-|-⌫|---|
il caoiraual	-|----|---|
pinchartdel murmaisque garis	-------|--|--|------|----|
ene stadontiot ochis	-|-⌫-|----||-|----|
d eus censdesmieusaqui cauper	-⌫--|---|--|----||--|-----|
fi s t lestestesetpuis geter	--⌫-⌫|--|-----|-|---|----|
chahorsen mostaumangonn el	--|---|-||--|-|-------⌫-|
enmenaen son chastel	-|---|-|--|------|
parnuiten traisonorgueil	--|---|-|------|------|
monains nefil	--|----⌫-|--|
et si me dis tuneesp ieier	-|-|-|---⌫|--|---⌫-|--|
qu e i eitramisespiier	--⌫|-⌫||-----|------|
amaupetruispe smenouuele	|---------|--⌫--|------|
querena r saa sec or dele	--|----⌫-⌫|||-|-⌫--⌫---|
atraitmonfiletencor	-----|--|--|-|----|
quepa rsonco nseil	--|--⌫|--|--⌫----|
demaupetru isor gieusme sfi s	-|--------⌫-|--⌫----|--⌫|--⌫|
et si s enu a parlepais	-|-||-|-⌫|--|-|---|
iamaisleuerrai	-----|-|-----|
ma ispeuda ieenauerai	--⌫-|--||-⌫-|-|-----|
ameguer retrair e asefin	|-|----⌫-|-----⌫||-|--|
parchelu i	--|-----⌫|
quifi stdaig euin	--|--⌫-||---⌫|--|
lefaittenpere comparra s	-|---|--|---|--------⌫|
lemati nen primesmorras	-|----⌫|-|-----|-----|
etticompaignonauo e c t i	-|-|---------|---⌫-⌫|-⌫|
roussiauspou rche	--------|---⌫|--|
nes esbaubi	-||------|
maisauroirespont	---|-|--|------|
roisparichelepassion	---|--|-----|------|
queihesu cris s o uffri encrois	--|----|---|-⌫-⌫----|-|----|
auiourqu ilfude	-|---|-|-|-|-|
mortd estro is	---|-⌫-----⌫-|
muirtelmilen morro nt	---|--|--|-|-----⌫-|
s ac hésquencorea	-⌫--⌫---|-|-----||
naistre sont	------|---|
roisneco nniss ie ́s uous menpere	---|-|--⌫-----⌫--⌫-|---|--|---|
foi quedoi da me	--|--|--|--⌫-|
eme memer e	--|-|---⌫|
anch oisiroitdes hassas s i ns	----⌫--|----|--|------⌫-⌫-⌫-|
q uerre outremer assarra zins	-⌫----|-------|-|-----⌫---|
roi s que ie ne fuisseuengie ́s	---⌫|--|-|-|-----|------⌫-|
d e chemotfu l irois courchi és	-⌫|--|--|-|-⌫|---|-------⌫--|
si a igrementque desep oe	-|-⌫-------|--|-|-|-⌫-|
lid onna tel	-|-⌫---|--|
coupen leioe	---|-|-|--|
quill abatiet	-|-||----|-|
est ranl e ́	---⌫----⌫-⌫|
leustsonne	|---||-|-|
l eustos té	|---|--⌫--|
b lame n tleroimout fort	-⌫----⌫-⌫|-|--|---|---|
et gr imberslitaissonsde to rt	-|--⌫-----|-|-------|--⌫--⌫-|
se spoes etceurtchelepart	--⌫|---|-|----|----|---|
ou il u eoitseoirrenart	-|-|-⌫---|----|-----|
mais encore poin tne sauoit	---|-----|----⌫|-|-----|
nusdel ostque chesoit	--|-||--|--|--|---|
renars chascuns cu ide ionas	-----|-------|--⌫--|----|
aita non mout	--||--|---|
plusquelepas	---|--|-|--|
uientaluiet	----||--|-|
pui s il leprie	---⌫|-|-|---|
quepourla mour saint e mari e	--|---||-⌫---|-----⌫|----⌫|
uiegneau roi e nlemaistre ten t e	-----|-|--|-⌫|-|------|---⌫-⌫|
confessergentconsa nsatente	--------|---||-|--⌫-|-----|
doit metreamortainl	---|----||---|--||
ai ourn ee	--⌫----⌫-|
renarsiuientderandonnee	-----||----|-|--------|
cont re l uisel ieue	----⌫-|-⌫-|-|-⌫---|
etrenarslenclinatr ois foi s	-|-----||------|--⌫--|---⌫|
etpui sestiou steluia s sis	-|---⌫|--|---⌫--|--|-⌫-⌫--|
etse l iapo urdieurequis	-|-|-⌫||--⌫-|---|-----|
ches p rison s	---|-⌫-----⌫|
lai ssast d onner	---⌫----|-⌫----|
l e croiset	-⌫|----|-|
aleroutre mer	---|-----⌫--|
san sr e ueni rsii ertaumosne	---⌫|-⌫-⌫----⌫|-|-⌫--|------|
li roisleu rrespontparle trosne	-|---|---⌫|------|--|-|-----|
pa rlechieletlefirmame nt	--⌫|-|----|-|-|-------⌫-|
d on roitleurpoisd argent	-⌫--⌫---|---|---||-----|
neleslairoie alerdeliures	-|--|------|---|-------|
ne cui diés ie	-|---⌫----|-|
nesuimieiure s	-|--|--|----⌫|
quilnedoiuent escape r point	-|-|-|------|------⌫|----|
demainles metera ia point	-----|--|------⌫||----|
en ontle ur g ent uo c ompaignon	-|--|--⌫-|-⌫--|-|-⌫--------|
maisement mort ent raison	--------|---|-|-⌫-----|
et sontuous meis mereubé	-||--|---|----⌫-|-----|
etsiuouseussen ttue ́	-|-|---|------⌫|---⌫|
chequeuous	--|--|---|
cheawaran tetaf uistes	--||-----⌫|-|--⌫-----|
aussiai tdiexen m	----|--⌫|---|-||
ieuauroiete nir renart	-|------|--⌫--|-----|
aussiconmeie fa croussel	----|----|-|--⌫|------|
si m eustorgilleu scastel	-||---|--------⌫|-----|
coustéquemespere	------|--|--|---|
carparlesaint imesuaire	--|--|-|-----⌫--|-----|
d ontihesusf uenuelopés	-⌫--|-----|-⌫|---------|
que ilseroit lues	--|-|-----|---|
trai ne ́s	----⌫--⌫-|
loncmenroiaumedusca u	---|--|------|---|-⌫|
ie nen pre ndroiearge ntnior	-||-|---⌫-----|----⌫-|-|-|
cauoectout	|----|---|
che nefustpen dus	--|-|---|---⌫--|
tantsetdemalquenus hom plus	---|--|-|--|--|--|--|---|
et r o ussiausses fiexbienle	-|-⌫-⌫------|--|---|---|-|
etchest droiscarondirese iut	-|-|--|----|--|-|---|--⌫--|
touts urquecanques	---|-⌫----|------|
dont onpar maintes	---|-|--|------|
queq uiestdebonssouefflaire	--|-⌫-|--|-|---|----|-----|
heuraie mentnem epuis	-|-----⌫---|-|-⌫|---|
ch edistre nar scuncourt s ermon	--⌫|---|--⌫---⌫||-|----|-⌫----|
neuousfach e et nefist pardon	-|---|----⌫|-|-|---|-----|
ihesu cr islongisqu i f eri	----|--⌫-|-----|--⌫|-⌫--|
etnep ardonnail aussi	-|-|-⌫------|-|----|
magdalainetousses pechies	---------|---|--|------|
etcheus parcuicr uc hefiiés	-|----|--|--|--⌫--⌫-------|
ilfupar do nnails amort	-|-|---⌫--⌫--|-|-⌫|---|
durcueraquide	--|---||--|-|
nest adouc hiset	|--|-----⌫--|-|
roispourlesainte trinite	---|---|-|-----|------|
or gueiletfellonn ieostés	--⌫----|-|-------⌫-|-----|
d euo c ueretsi	-⌫|-|-⌫--|-|-|
uous souffrés	---|--------|
deces teg en t	-|---⌫-|-⌫--⌫|
chi me t reafin	--|--⌫-⌫-||--|
roisnobles	---|-----|
onuoustientafin	-|---|----||--|
ma is de pl uiseurse stl ir ecors	--⌫-|-|--⌫------|-⌫-|-⌫|-⌫----|
quechenestmietrestoutors	--|--||--|--|-------|--|
can qu il luist et bien le moustrés	---⌫-|-|----|-|---|-|--------|
en chequesigran tcruautes	-|--|--|-|----⌫|-------|
est en uo us etli rois respont	--|-|--⌫-|-|-|---|------|
est pournientdem ain morront	--|---|----|---⌫--|------|
don tdistrenarsaur oi no blon	---⌫|---|-----|-|-⌫-|--⌫---|
aumains a i ent confession	-|----|-⌫-⌫--|---------|
bie nleu oeil	---⌫|-|-⌫---|
che respontr ois nobles	--|------|-⌫--|-----|
qui moutestoitco urtoisetno bles	--|---|-----|--⌫-----|-|--⌫---|
renarsse part duroiatant	-----|-|---|-|--|----|
acueur pensieutristreetdolant	|----|------|------|-|-----|
uint asong entetasonfil	---||--|-⌫--|-||--|--|
quelir oisu eutmetreaes cil	--|-|-⌫--|-⌫--|----||--⌫--|
dont trait sonfil aunepart	---|----|--|--||--|---|
pour confesser	---|--------|
moutliest ta rt	---|-|--|--⌫-|
queilpeust a l uiparler	--|-|----||-⌫-|-----|
dont roussiaus	---|--------|
conme ncheaconter	-----⌫---||-----|
ses p echiesare nartsonpere	--|-⌫-----||--⌫---|--|---|
taisi ésch edistrenarsbiaus	-----⌫--|--⌫|---|-----|----|
iesuitesp ere ettu	-|--|--|-⌫--|-|-|
nenmoustre	|-|------|
sanlant quedechi e x	------|--|-----⌫-⌫|
n esoiesiaam ienui t	-⌫|----|-||-⌫-----⌫|
temetrai horscoiquilan uit	-|-----|---|----|-|--⌫--|
ettous tescompaigno nsotoi	-|---|--|---------⌫-||--|
ro ussiauslidi st	--⌫------|-|--⌫-|
m erchiuousproi	-⌫----|---|---|
ditesleno c ousingrimbert	----|-|-|-⌫----|-------|
quinousaimes iqu	--|---|---|-⌫|-|
il sepe rt	-|-|--⌫-|
renars re spo nttout a briesmos	-----|--⌫---⌫-|---||----|--|
uolentiersetpuisla a sso s	---------|-|---|||-⌫---⌫|
dontsil fustcon fes	---||-|---|---⌫--|
t outliautreuienent apres	-⌫--|-|----|------|----|
a renart quilesa sseure	|-----|--|--|-⌫-----|
demetreanuithorse t	-|----|----|---|-⌫|
lesa intimeceruelede	-|--⌫-----|------|-|
quant to utsefu rent	----|--⌫-|-|--⌫---|
confess é	-------⌫-|
re nars en apele grimbert	--⌫---|-|----|-------|
seliatre st out des couu ert	-|-||---⌫--⌫--|---⌫----⌫--|
estet qua nt	--|-|---⌫-|
de l eioieses p oestent	-|-⌫|---|--|-⌫--|---|
u erslechiel	-⌫--|-|----|
etdieuen merchie	-|---|-|------|
douchement lip rie	---------|-|-⌫--|
li ai ta m i e n u it	-|--⌫||-⌫-⌫-⌫-⌫-⌫-|
grim be rsrespontcoiq u il a nuit	----⌫--⌫-|------|----⌫|-|-⌫---|
seraioduo usieetli	----|-|--⌫-|-|-|-|
nenso ig niés pluss irem out bien	|-|--⌫--⌫----|---|-⌫--|-⌫--|---|
uenronsach iefd e cestaffaire	------||--⌫--|-⌫|---|------|
a t antlicambrelenca f aire	-⌫-⌫--|-|---------||-⌫---|
prendentles lisetuont couchier	-------|--|--|-|---|-------|
forschilqui l ostes ca r gaitier	---|---|--||--|--⌫--⌫-⌫------|
d oiuentl e sprisonsontremi s	-⌫-----|-⌫-⌫|------|--|----⌫|
enl e fosse ouilfurentpris	-|-⌫|----|-|-|-----|---|
et eng rans	-|-|-⌫---|
u npoideu ant lescos ca ntans	-⌫|--|---⌫--|--|--|--⌫----|
selieuerenarsetg rim bers	-|----|-----|-|-⌫---⌫---|
and oi sansplu senuontenuers	---⌫-|---|---⌫|-|---|-----|
lefosseouliprisonnier	-|----|-|-|---------|
roeneltrouué dormant ont	-----|------|------|--|
a soncauec prendent le c lef	|--|----|-------|-|-⌫--|
etpuisdeffrem ent toutsouef	-|---|-------⌫--|---|----|
luisetlesprisonsdesfereren t	|--|-|--|------|----------⌫|
sic au desfremer	-||-|--------|
n e s onn erent	-⌫|-⌫---⌫----|
li fersemout petitet non	-|--|-|---|------|--|
dontlesen menali taiss ons	---|--|-|---|-|-----⌫--|
si co iement que percheu	-|--⌫-----|--|------|
nen furent mout bie n aue nu	|-|-----|---|---⌫|---⌫-|
est autregrimbertsont	--|-|--|-------|---|
uenu etleurcor s	---|-|---|---⌫|
de pourpo insetdeh aubreg ons	-|------⌫--|-|-|-⌫------⌫--|
deplateset dewa mbisons	-|-----|-|-|--⌫------|
parmilost senu ont alaron	----||--||-|-⌫--||----|
deu antaus	---⌫--|--|
grim ber tle taisson	----⌫---⌫|-|------|
quiles conduistetquilesmai ne	--|--|-------|-|--|--|---⌫-|
ilet se m ais ni e	-|-|-|-⌫---⌫--⌫|
l anchebienarme ́	-⌫----|---|----⌫|
duscamaupetruis	---||---------|
nontcessé	|--|-----|
ens entrentparle ma istr e	--|------|--|-|--⌫----⌫|
merueill esestoi t forte	--------⌫-|-----⌫|----|
et r ou ssiausca ntea longe alaine	-|-⌫--⌫-----|--⌫--||----|-----|
entrerenuil e quiamoursmainequi amoursmaine	-----|-|---⌫|--|-----|----|--|-----|----|
p orteen tren t	-⌫---|--⌫----⌫|
toutcan tant	---|---⌫---|
con treaus	---⌫--|--|
u ienentp etitetgrant	-⌫-----|-⌫---|-|----|
tou tfon tioie pa r	---⌫|---⌫|---|--⌫|
d echequetoutsainront rou ssel	-⌫|--|--|---|---|---|---⌫---|
contresenfil	-----|--|--|
puc he les	---⌫--⌫--|
ui ntdameen me carles nouueles	--⌫-|---|--⌫-|--|--|-------|
diteunecamb eriere	---|--|----⌫-----|
deuantui nt nem ie	-----|--⌫-|-|-⌫-|
canta ntclerement	-----⌫-|--------|
ahaus c ris	|---|-⌫--|
i amaisamou rsn	-⌫----|----⌫-||
oub liera inonq ues nefis	---⌫-----⌫||---⌫--|-|--|
ouqueuoitson	-|--|---|--|
telioieen ot	--|---|-|-|
c asep arol e	||-|-⌫----⌫|
nepuetuenir deuensg ranttans	-|---|----|-----|-⌫---|---|
contrerouss elioie	-----|-----⌫-|---|
fucatroie snotpourelain e	-|||-----⌫||-|---|-----⌫|
r o usselsenfil ama in e	-⌫-⌫----|--|--|---⌫--⌫|
dameenmeescamb resrepos er	---|---|-|----⌫--|-----⌫-|
e trenars fait sesgenscanter	-⌫|-----|---|--|---|-----|
ettous sesestr umenstentir	-|---|--|----⌫----|-----|
et rompre pourluiesbau dir	-|-----|---|--|-----⌫--|
etasc restiauschiergesardans	-|-|-⌫-------|-------|-----|
metrequenlost	----|-|-||--|
li clar tesgrans	-|----⌫--|----|
enreluistlios s	-|------|-|-||
enesueille	-|-------|
enesuillantontgran t	-|--------|--|----⌫|
dont tesclartesu ientne pour coi	---|--|------|-⌫---|-|---|--|
renars lefaitmaisdusc	-----|-|---|---|---|
