des criteau ons la	---⌫----|--⌫--|-|
esilu prista dema nder	|-|-|----||----⌫---|
commentfu ste	------|--⌫-||
parque leempri se	--|---⌫-|-----⌫-|
laienz contre sa comm andise	-----|-----|-|----⌫-----|
t rezismeentré	-⌫------|-----|
liaumosniere rtes garé	-|--------|-⌫-|--⌫----|
domlotmis araison	--||-|--||-----|
nesotresp on dr e	-|--|----⌫--⌫--⌫|
oi lne non	--⌫|-|--|
maisias eit q i l	---|-|-⌫--||-⌫|
fustesba hi z	---|----⌫--⌫|
nert pasd eltott ropestordiz	|--|--|-⌫-|--|-⌫--|-------|
c arlespelerinsregar da	-⌫-|--|-------|-----⌫-|
e derechi eflesrenombra	|-------⌫-|--|-------|
si n i trouaqesoule ment	-|||----|-|-----⌫---|
douzzeparnombreescharsem e n t	-----|--|-----|---------⌫-⌫-⌫|
eporcosegur respondit	|--|-|----|--------|
si ref ist silside	--⌫-|-⌫--||-|-|-|
quant lespelerinsenu iai	----|--|-------|---⌫--|
douzz epa rdreitnombreinombrai	-----⌫|--⌫|----|-----||------|
noncqeiosachetant ne	|--|-|-|----|---|-|
ne tresp assaidet on	-|-----⌫----|-|-⌫-|
caron qorors	--|--⌫-----|
douzzeitr oef ssanz pl us esa nzmeins	-----||--⌫---⌫|---|--⌫-||--⌫-|----|
es i diconemoiuoelzcreire	|-⌫||--|-|--|----|-----|
failes no mbrer	--|--|--⌫----|
tantost eneire	------|-|---|
cartotensui segursefis	--|--|-|--|-----||--|
n i troes plusqa	||----|---|||
laprim orfis	-|----⌫-|--|
g re goireentent qeci llu dit	-⌫--⌫----|-----|-|--⌫|-|--|
to tluueirsicoml	--⌫|-|---|-|--||
sis esbahitlorsplus q ainceis	-||------|---|---||------|
e por co regiersenreq eis	|--|-|------|-|---⌫--|
les pe lerins priueem ent	--|--⌫-----|-------⌫--|
re nom brot souent	--⌫---⌫---|-----|
ma istoztensap reslud ouzisme	--⌫-|--|---|--⌫--|-|-⌫------|
ennom bra nt	-|---⌫---⌫-|
troualu t reszis me	----|-|-⌫------⌫-|
senf utsach ezfo rmentp e nsis	|-|-⌫-|----⌫-|--⌫----|-⌫-⌫---|
siert l aumosnier	-|--||--------|
tropentrepris	---|--------|
qui son nombre trouot	--|--|-----|-----|
e ne p orquantdelpeleri n	|--⌫-⌫------|--|------⌫|
to tse gurs	--⌫|--⌫---|
etot ce rzereit	|--|--⌫-|----|
qep asn e lu chala ngereit	-|-⌫-|-⌫|-|-----⌫------|
si s sirea torten nule	--⌫|---||---|-|---|
gra ntgardeendementre en apri se	---⌫-|----|---------|-||---⌫-|
li s erfdeqei co	-|-⌫--|-|--|-|
peustestre	----|----|
quantsoudementgardaso r dest re	----|--------|----|--⌫|----⌫-|
sitresu itq unsdese nui ez	-|-----⌫-||--|--|-⌫---⌫-|
iosteseiplusproefaco udez	----|--|---|----|---⌫---|
souentendiuerse mani ere	-----|-|------|----⌫--|
muotc olourechan iot chiere	---|-⌫----||----⌫--|-----|
car orssemblottot uielchenu	--|--|------|--|---|----|
or s iuue nc el enonb arbu	--⌫|----⌫--⌫-||--|-⌫---|
o rsfut palesorsrouele nz	-⌫-|--|----|--|------⌫-|
orsb runsorsblons	--|-⌫---|--|----|
orsg rosors genz	--|-⌫--|--|---|
comsilfustapertefantome	--||-|---|-----|------|
fut pen s iscon estlasome	--|---⌫-⌫-|-||--|-|---|
g ragoire comiauos di so ie	-⌫------|--|-|--|--⌫--⌫-|
ma i splus	--⌫-⌫|---|
loncc onteaqei	---|-⌫---||--|
a pr es mangiercongi epernoient	-⌫--⌫-|------|-----⌫|--------|
li p e lerins i	-|-⌫-⌫----|-⌫|
sen tornoient	|-|--------|
gr aces r enda ntioiouseliez	--⌫---|-⌫----⌫-|-----||---|
elipapess estap ro chiez	|-|----||--|--⌫--⌫----|
uersceluiquitotsoul ueieit	---|----|-||--|---|-----|
comace lui	--||--⌫--|
quiseisoiei t	--|--|-----⌫|
a lour ep lusasei proeche in	||---⌫|-⌫--||--|-------⌫-|
silu seisitlor sp arlamein	-|-|-----|---⌫|-⌫-|-|---|
elamenotp riueem ent	||-----|-⌫------⌫--|
ouoecsoitrestot senglement	----|--|------|---------|
en c hambreepueslu coniurot	-|-⌫-----||---|-|-------|
e alplusbeauqilpo t	|-|---|---||-|--⌫|
e lno n dedeuqil	-⌫|--⌫|-|--||-|
luid e is t	--|-⌫-⌫--⌫|
qu e ln omeuste q ilqueist	--⌫-⌫|-⌫-|---|||-|-----|
ecillorsr espondit i ta nt	|--|---|-⌫-------|-⌫--⌫-|
aqueifist s	|---|---||
iluais enq uerant	-|---|---⌫-----|
monnomqu i est	--|--|--⌫|--|
dit merueillous	--|----------|
maisitantsache s a e strous	---|----|-----⌫||-⌫-----|
iosuilip e ril lié demer	-|--|-|-⌫-⌫---⌫---|-|--|
quiia te uenoie tempter	--|-|-|-----|------|
enzenlace lleouescriuoies	--|-|-|--⌫--|-|---------|
quantdo uzzedenier sme donoies	----|--⌫---|------⌫|-|------|
ouoecl es cu eledargent	----||--⌫--⌫--||-----|
la quel etenuoi ot souent	-|----⌫||-----⌫-|-----|
laseintesilui ata mere	-|-----|-----⌫|-|---|
od lauian depolmentere	-|-|----⌫-|---------|
la q ue leusasp or	-|-⌫--⌫-|---|-⌫-|
t enfert e	|------⌫|
e ta ntsachesbendeueirte	|--⌫-|-----|--|-|-----|
ice leouret esl ut	---⌫-|---||---⌫-|
deus a pa stor	---||--⌫---|
s i comluplut	-⌫|--|-|---|
ees pous d esigliseseinte	|--⌫---|-⌫||-----|-----|
porl aquele ache tteeereinte	--|-⌫|----|----⌫---||-----|
sonprecious	--|-------|
s ancespandi t	-⌫--|-------⌫|
car por icoqe	--|--|--|-|
tonqueruit	--|---|--|
fran cau m osne rdouzdebon ai re	----⌫|--⌫-⌫----⌫|---|-----⌫--⌫-|
p or tant uot q efusses ui caire	-⌫-|---|--|-⌫|-----|--⌫----|
delgloriousapos tre	--|-------|----⌫--|
les q ui uertuz e n tamaniere	--|-⌫-|-----|-⌫|-|------|
bien asiesqa	---|-|---||
ce stiorseg ui	--⌫-|--|---⌫-|
co m su ccessorbon escheri	--⌫|--⌫------|--|------|
quantqoe mlioff rit	-----|--⌫|-|---⌫--|
asmesaisiezpordeupartit	-|--------|--|--|-----|
detotes parze	-|----|---||
proefeloing	----||----|
segonqecha squnot b es oing	----|-|---⌫---|-|-⌫--⌫---|
eturas faittoten sement	|-|--|---|--|--⌫-----|
gregoi re at antrespont	------⌫-|--⌫--|------|
diu a sed e ute gartparqei	---⌫|-|-⌫-⌫|-|---|--|--|
sauoi e s tuqedeus demei	-----⌫-⌫|-|-|---|-|--|
uot fai re espous des einte	--|---⌫-|-----|-|-⌫----|
s ac hesf istsiltotsanz	-⌫--⌫--|-⌫--||-|--|---|
fe int ise	--⌫---⌫--|
ioq uiciuoissisang les	-|-⌫-|-|---|--|---⌫--|
presen te ment trammisd e lui	------⌫--⌫---|------|-⌫|--|
poren q uer re tot	--|--⌫-⌫---⌫-|--|
ton porpos	--|-----|
acest mot se	|---|--|-|
t inttrestot c l os	-⌫--|------|-⌫-⌫-|
liserfdeutremblantde	-|---|--|--------|-|
qu ionc me s a	--⌫|--|--⌫||
aper t em ent ueu	----⌫-⌫--⌫--|--|
donc dist langledi uaqastu	---|---||----|--⌫-||-|-|
n ai espo ournetes ma ier	|--⌫-|--⌫--|-||--⌫--⌫--|
caronqor st epuesmelz paier	--|-----⌫|-⌫|---|---|----|
soie s to tc erzsegursef is	----⌫|--⌫|-⌫--|-----||-⌫-|
iesq ateisuide	---||--|--|-|
deu t rammis	--|-⌫-----|
qede sors s oietis	-|--⌫|--|-⌫--|--|
tantcomseras m esuifses eins	---|--|----|-⌫-|---||-⌫---|
qu i entre teie	--⌫|----|--||
entrecessor messagesui	----------|------|--|
ateinome eme ntliurez	|--|----⌫---⌫-|-----|
qui ama g ard e es	--||-|-⌫---⌫|-|
e sa ches quanqemesquer ras	|--⌫---|-----|--|----⌫--|
de deu par	-|--|--|
meisan zfaille auras	--|---⌫|-----|----|
t antd ist	-⌫--|-⌫--|
elorssenu anoit	|---||---⌫----|
egrego ir e erraumen tcheit	|-----⌫--⌫|--------⌫|----|
ius laterreenoreson	--|-|----|-|-----|
o rant odgrantd euotion	-⌫---|-|----|-⌫------|
sidistdeup ereg l orious	-|---|--|-⌫--|-⌫-⌫-----|
puissanzmisericordious	-------|-------------|
si p o runmie n	-|-⌫-⌫|-|---⌫|
t ant petitdon	-⌫--|----|--|
moiuolsrendreitelguerre don	--|---|-----|---|------⌫--|
qapap e e pas torm o i	||---⌫||---⌫--|-⌫-⌫|
sort ig l ise q uele	--||--⌫-⌫--|-⌫---|
de tonsancpre tious seintisme	-|--|---|---⌫----|--------|
n isestric odeuspereauti s me	-⌫-|---|--⌫|---|---|----⌫-⌫-|
po rmeig ardera ngle en u o i as	--⌫|--|-⌫----|-⌫---|--⌫-⌫-⌫-⌫-|
sor totcoq ei pl usm e	--|--|-|-⌫-|--⌫-|-⌫|
sides ors mest otmo n poi e ir	-|--|--|--|-⌫-|--⌫|---⌫-⌫-|
adespendre icestgrant au eir	|--------|----|----|--⌫--|
segontesseinzcomm and emen z	----|--|----|----⌫---⌫----⌫|
entrinemente npoures	----------|-⌫|-----|
silumei nsuols tant	-|-|---⌫-|---|---|
lup lus quipourrade seruir	-|-⌫--|--|-----|--⌫-----|
toteinsili	--|----|-|
serfd eorot	---|-⌫|---|
esachezde s donccommencot	|-----|--⌫|---|--------|
tan t pluslarge estre	---⌫|---|----|----|
quant plusf utcert	----|---|-⌫-|---|
deson loiier	-|--|-----|
e rtdesbonst empora us	-⌫-|--|---|-⌫------⌫-|
qua nt plus certde s cel estiaus	---⌫-|---|---|--⌫|---⌫------|
au erspecunespensions	--⌫--|------|-------|
censren tes patrimoinesdons	---|---⌫--|----------|---|
nislesi uelsdor e	--|--|-⌫---||-||
tr estotdonote nt rinement	--⌫----|----|-⌫--⌫-------|
a toz ap oures eari ches	|--||-⌫----|||--⌫---|
comcilquinert nauers ne	--|--|--||--||----|-|
segonqe chasqunotb e soing	----|-|------|-|-⌫-⌫----|
detot esparze proefeloin g	-|---⌫-|---||----||----⌫|
aclersa la ysaa bbeyes	|----||--⌫-||-⌫-----|
as h ospi taus	-|-⌫----⌫---|
aumosneries	----------|
as solitai resreclusoires	-|-------⌫--|----------|
as de sertee s er mit oires	-|--⌫------⌫|--⌫---⌫----|
aspaumers easpeleri ns	-|------||-|------⌫-|
a sueduese as orfeli ns	-⌫|-----||-|------⌫-|
asprisonse	-|------||
asexilliez	-|-------|
asma lades	-|--⌫----|
as mesaisiez	-|--------|
er tperessoccorabl e	--⌫|----|---------⌫|
totautresiporueirsanz fable	--|------|--|---|---|----|
trestozf ussent sisfiz	------|-⌫-----|--|--|
ioeurese uelzgr anzepetiz	------||---|--⌫--||----|
c ar itantsachez ueire ment	-⌫-|----|-----|-----⌫---|
s ilsoul eust	|-|---|---|
tot senglement	--|---------|
engendr eztresto z celsdel monde	-------⌫-|------⌫|---|--|----|
sestrepe ustalaroonde	|----|--⌫--||-|-----|
charnaumentd e sonsancdemeine	----------|-⌫|--|---|------|
il pasmairepeine	-|--|----|----|
mettreascorsn	-----|-|---||
asal mes garder	-|--⌫--|-----|
nel secleamer	|-|----|---|
s aumos ne aquatre termeslan	|-----⌫-||-----|-----||-|
segonlistregelasian	----||----|-------|
de quisegui tlase inte uie	-|--|-----⌫|-|--⌫---|--|
departirseutp arestablie	-------|---|-⌫-|-------|
al iorde pasqeertlap remei re	-|--|-|----|--|-|-⌫-----⌫-|
lafestedeseintpiere	-|----|-|----|----|
latierceal iordeseintandre	-|-----|-|--|-|----|----|
igl is eertauoué	---⌫--⌫|--|-----|
fistenremembrance	---|-|----------|
de l io r de	--⌫|--⌫|-|
sapr opre neissan ce	-|--⌫---|-------⌫-|
icestesquatrepar	------|-----|--|
tien tonqors la cite	----⌫|-----|-|---|
entrinementsan zcontre dit	----------|---⌫|------⌫--|
e insi comles	-⌫---|--|--|
nisestreic oref e seita l	--|----|--⌫|---⌫-⌫---|-⌫|
trestozles anz al iorpascal	------|--|--|-|--|-----|
pa rma tin ala u beescreu ee	--⌫|--⌫--|||-⌫-⌫-|------⌫-|
soierseseuten z enlentree	----|-|---|--⌫|-||-----|
dun e chapel ee nz enla uile	|--⌫|------⌫|-⌫-|-|-|---|
quiia fistlipapes uigil e	--|-|---|-|----|-----⌫|
ouis meismesh ab itot	-|-|------|-⌫--⌫---|
uiles oriornot	---|-⌫-------|
iloeq ese re aco stomi er	-----⌫-|-⌫-|---⌫-----⌫-|
l upoepl eennomde	-⌫|-----⌫|-|--|-|
pei s beisi er	---⌫|-----⌫-|
ese s aumosnes	|--⌫|-------|
sico m orslu porrezoir	-|--⌫|--|-|-----|--|
asrichesdonot richesdons	-|-----|----|-----|---|
a sroisaspr incesa s	-⌫|---|-|--⌫----|-⌫|
lesbons c he uausdestriers d epris	--|---|-⌫--⌫---|--------|-⌫|---|
les samizelesporpresbis	--|----||--|------|--|
les richespierresprec ious es	--|-----|------|----⌫----⌫-|
od le ses pec e sdeli tou ses	-|--⌫|--⌫---⌫-⌫|----⌫---⌫--|
puesred onotasordenez	---|---⌫---|-|------|
asenoinze u es qessacrez	-|-----|-⌫-⌫--⌫--|-----|
ea ls deacres carde na u s	|-⌫-|------|-----⌫--⌫-⌫|
lesbeubelez e les	--|-------||--|
ed argentcomfrancs beningnes	||-----|--|-----|--------|
s e gonqe iasquns ereitd ignes	-⌫-⌫--|-|------|----|-⌫----|
nis as c h eualers	--|-|-⌫-⌫------|
eascon tes	|-|---⌫--|
donotsanznom bree	----|---|---⌫--||
sanza con tes	---|-⌫---⌫--|
les anel sd or el esbe sanz	--|----⌫||-||-⌫-|--⌫---|
as esquier se as	-|-------⌫||-|
achasqunsegon saualour	|------|----|-|-----|
do no tro benoueaceliour	--⌫--⌫|--⌫-|---||--|---|
eplusor sautres dons	|------⌫|-----|---|
maisu eirementasautresf e ste s	---|-⌫-------|-|-----|-⌫-⌫---⌫|
si comalanatiuite	-|--||-|-------|
de s eint piereede	-|-⌫---|----||-|
s ei ntand re	-⌫--⌫-|---⌫-|
easa neissa ncedemeine	||-|------⌫--|------|
asaliensagent loingt ein e	-|-----||---|------⌫---⌫|
donot qua nq	----|---⌫-|
oncmesterereit	--|-----|----|
achasqunqui alui	|------|--||--|
as u iscontes ascheua li ers	-|-⌫-------|-|-----⌫--⌫--|
asuaua ssoursassoudeiers	-|----⌫-----|-|--------|
donotl esr ob esacees m ees	----|-⌫-|-⌫--⌫-|-----⌫-⌫--|
ouec mein tesautres	---|----⌫--|-----|
dom neme p l eistplus	--|-|-|-⌫-⌫---|---|
auanttraire	----|-----|
car tropen iau reit	--|---|-||--⌫---|
trestotlimi edrero man co u r	------|-|--⌫---|--⌫---⌫--⌫-⌫|
qui seit elm onduyence st	--|---|-|-⌫--|-|-|--⌫-|
si totes lesuousist	-|----|--|------|
e p oritantnenuoeil plusdire	|-⌫-|----||-|----|---|---|
forsqesa nzcogene raument	-----|--⌫-|-|----⌫------|
a trest otela poure	|-----⌫--|-|----|
as chefsdetoz	-|----|-|--|
lesme isd ono t	--|--⌫-|-⌫---⌫|
quantqenl anliren ou e lot	-----|-||-|-|---⌫--⌫-⌫--|
luuin lufroment lesbacons	-|--|-|------|--|-----|
lu lardlulegun	-|---|-|----|
lespei ssons	--|---⌫----|
lu burreloi le lufr o mage	-|----||--⌫-|-|--⌫-⌫---|
comoem sen é	--|--|---⌫-|
discre tesage	------⌫||---|
entensp arordre	-|---|-⌫-|----|
proe felo in g	----⌫||--⌫--⌫|
segonqe ch asqunsotbesoing	----|-|--⌫-----|-|------|
enu en d enges donot	-|-⌫--⌫-⌫----|----|
lesb aconsala sei nt	--|-⌫----||-|---⌫-|
leuneni ui ng frui ten	---|-|-⌫--⌫-|----⌫|-|
robesfoua ille sendecembre	----|----⌫----⌫|-|-------|
lu l art en	-|-⌫--|-|
feu re rloil e en	---⌫--⌫||---⌫|-|
enuironseidetotesparz	------|--|-|----|---|
do nota tozagrant foi s on	--⌫--||--||----|---⌫-⌫-|
chasqunerienensasais on	-------|---|-|-|----⌫-|
maislesfromages eles	---|--|-------||--|
e l uleitdon ottotesh ures	|-⌫|---|---⌫-|----|-⌫---|
en yue r sicom	-|---⌫|-|--|
largement sanz	--------|---|
eschars ete	-------⌫--|
ceu s q i luoust rent pren dre	---⌫|-⌫||-----⌫---|----⌫--|
mais ueirem entala gen ttendre	---|------⌫--||-|---⌫|-----|
si comasprefe ctz	-|--|-|-----⌫--|
e asmaires	|-|-----|
donotp imenzeleito iaires	----|-⌫----||-----⌫-----|
eaut resdonsplusprec ious	|---⌫--|---|---|----⌫---|
sicomerent delitious	-|--|----|--------|
acha squnse gons amesure	|---⌫---|--⌫--|-⌫|-----|
co mcilq ui	--⌫|--|-⌫-|
pristc ure	----|-⌫--|
qe iurer puess éss anzfein tise	-|----|-----⌫--|-⌫--|----⌫---|
q enson tens	|-|--|---|
nereitse inteiglise	|----|--⌫---|-----|
forsqu ele	---|-|--|
es t grangecommunale	--⌫|-----|--------|
richesegale	-----|----|
donchasqun pre ntco	--|------|---⌫-|-|
qu amesti er	-||-----⌫-|
franchementsanznegundangi er	----------|---|----|-----⌫-|
daut repartplusfesei tasez	|---⌫-|---|---|-----⌫|---|
g re g oires li	-⌫--⌫-⌫----|-|
deu enourez	--|------|
ca rtozles anzseut parcostom e	--⌫|--|--|--|---|--|------⌫|
don erenlaci tederome	---⌫-|-|-|--⌫-|-|---|
at reis milepoures nonei ns	|-⌫---|---|-----|-----⌫-|
par dreitnombreaince isplusqe meins	--|----|-----|-----⌫-|---|-|----|
quinzeliure sde purorfin	-----|-----⌫|-|--|-|--|
p ordr asfai zd elaineede	-⌫-|--⌫-|---⌫|-⌫|----||-|
porcoilt ese por couertors	--|-----⌫-||--|--------|
nispor lorsoude es des iors	--|--|--|-----⌫-|--|---|
l or redonot totensement	-⌫-|------|--|-------|
totdreit uintliuresm ei ns dec ent	--|----|---|-----|-⌫--⌫-|-|-⌫--|
asostenirludeu	|-------|-|--|
dom a unedame	--||--|---|
parnom cl ame etheoti ste	--|--|--⌫---⌫|------⌫--|
rescritgrego ireen	------|-----⌫--|-|
uneepistre	--|------|
loruie erttant pu re	--|--|--|---|--⌫-|
e lor abst inenceta ntdure	|--|----⌫-----|--⌫-|---|
qenefu ssentlororeiso ns	-|-|--⌫----|--|------⌫-|
o d lorseintesdeuotions	-⌫|--|------|--------|
trestotce rteinement	------|--⌫---------|
qasl ong ebarz	|-|-⌫---⌫----|
p asn arestussent	-⌫-||----------|
tote lagent der omani e	---|-|---|-|-⌫-----⌫|
fustdestru ite ehonie	---|------⌫--||----|
plusonqorors fistli seinz	---|-------|---|-|----|
carpa r totelar e gion	--|--⌫|---|-|-⌫-⌫---|
as u ile sas	-|-⌫---⌫|-|
chastel s asbour s	-------⌫|-|----⌫|
asmarch ieze	-|-----⌫--||
as q uarref ou rs	-|-⌫------⌫--⌫-|
fistamenerlespoulmenz q u iz	---|-----|--|-------|-⌫-⌫-|
parueiturersbo nsest abliz	--|--------|--⌫-|---⌫----|
quil esliurerent a ssoufreitous	--|-⌫-|--------|-⌫|----------|
maisas enfersasuergondous	---|-|-----|-|---------|
qui porhontenelporent querre	--|--|----|-||-----|-----|
tr amm ettre seul t oupeisoucerre	--⌫---⌫----|----⌫|-|---|-|----|
plei neunee scuele da rgent	----⌫-|--|-⌫-----||-⌫----|
desatabled emeine men t	-|-|----|-⌫------⌫---⌫|
ainceis q ilm aniast	------||-|-⌫-----|
ior netrespass ast	--|-|--------⌫--|
nuliqeustendeu	---||---|-|--|
q e d esaseintep oruean ce	-⌫|-⌫|-|-----|-⌫------⌫-|
nelendon astparcharite	-||-|---⌫--|--|------|
large ment s anz e scharse te	-----⌫---|-⌫--|-⌫-------⌫-|
segonquesis	----|--|--|
besoinz fustmaire	------|---|----|
porqadeulu p e ustattraire	--|||--|-|-⌫-⌫--|-------|
e ueiremen t as ez mo us trot	|--------⌫|--⌫-|--⌫--⌫---|
q en charite	|-|------|
t re s t ozamot	-⌫--⌫-⌫-⌫-|---|
caru nior en trespas errant	--|-⌫|--|-|------|-----|
unp ourem ort trouotgis ant	-|-⌫---|-⌫--|-----|---⌫--|
quifutderobbe ou rsoccis	--|--|-|-----⌫--⌫-|----|
m ais qu an tlu uitli deus	-⌫--|--⌫--⌫|-|--|-|---|
mortquidotqe fustd efamine	---|-----|-|---|-⌫|-----|
demesaise nonde	-|------|--|-|
eporcolorstanttr i stee reit	|--|-|---|---|--⌫-⌫--|-⌫---|
tant plorut eteldoelf es eit	---|-----||--|---|-⌫--⌫--|
qeueir ementsides esmeins	-|----⌫----|-|-|-⌫-|----|
leust o ccisne	|---|-⌫---|-|
futpasm ei ns	--|--|-⌫--⌫-|
ma rriznemournen angoissous	--⌫---|-|-----||---------|
cartantparot	--|---|--|-|
lu querpidous	-|---|-----|
etant mateconfussetint	|---|--||-----|-|---|
qepue sben lo ngessedestint	-|---⌫|--|--⌫---|-|------|
nisdelamess ec elebrer	--|-|-|----⌫|-⌫------|
o sot aprism er	-⌫--|------⌫-|
alautiertantso itintnondingne	||-----|---|--⌫|---|--|-----|
maisoreorrasunapert signe	---|--|----|-|----|----|
p arque iqen oistras lauertu	-⌫-|---⌫|---⌫------|-|----|
domue rtuou sereit qenu	--|--⌫-----⌫|----|---|
unssolitaireseremites	--|---------|-------|
quantadeu de seint es meri tes	----||--|-|-----⌫-|----⌫--|
terrienau eir	------|--⌫--|
neg unneuot alm on d eaueir	---⌫-|-|--|-|-⌫--⌫-⌫|----|
enzelde sertou il maneit	--|-|--⌫---|-|-|-----|
s ouleun es o ue cha teaueit	-⌫---|--⌫|-⌫-⌫-|---⌫-|----|
la queleilsoulsou lenourrit	-|----|-|---|---⌫-|------|
porqillamotelablandi t	--||-||---||-|------⌫|
troppo etcele st re adesmesure	---|--⌫-|--|-⌫--⌫-||--------|
s entente esa c ure	|------||-|-⌫--|
m istar equerr e nostresire	-⌫--||-⌫------⌫|-----|---|
deingna stmoustrer	-------⌫-|-------|
q uel loiier	-⌫--|-----|
espererdeust	------|----|
quantd ice stsecle pa sse ́f ust	----||---⌫-|----|--⌫---⌫|-⌫--|
porseslaborsen	--|--|-----|-|
lau t re uie	|--⌫-⌫-|--|
car la prese ntea ueitgu erpie	--|-|-----⌫--|-⌫---|--⌫----|
en trin ement po r soue	--⌫----⌫----|--⌫|---|
comtrestotlumond eo d	--|------|-|----⌫|-⌫|
auerspecunestem poraus	----|------|---⌫-----|
nis toz sesdel ices charnaus	--|--|--|---⌫---|-------|
sesde sirse se suole ntez	--|--⌫---||--⌫|----⌫---|
po rsouea mo rot	--⌫|---|-⌫--⌫|-|
f utmisen celdes ert	-⌫-|--|-|--|---⌫--|
ouil o tm ein t	-|-|-⌫|-⌫---⌫|
ahansofert	---|-----|
efreit temptations	|----|----------|
enfert ezt rib u lations	------⌫-|-⌫---⌫-⌫------|
e autres mesai se sasez	|-----|-----⌫--⌫|---|
dom neg unnomb re	--|---⌫-|----⌫-|
nest nombrez	|--|------|
epor co pr eotdeus ouent	|--|-|--⌫--|--|-⌫----|
qillufeistdem oustrement	|-|-|----|---⌫---------|
pa rquei deueir peus ts a ueir	--⌫|---|-|---|----⌫|-⌫-⌫---|
quelg u err edondeust aueir	---|-⌫-⌫---⌫---|----|----|
tantquu nenu tena ui s on	-----|-⌫-|--⌫|-|-⌫--⌫-⌫-|
oit deu s a petici on	--|--|-⌫|------⌫-|
e silu di stapertement	|-|-|--⌫-|---------|
sac h esf istsilsegurement	---⌫-⌫-|-⌫--||-|---------|
qe tameriteenz enma	-|-|-----|--|-|-|
aurasou ec	----|--⌫-|
mon serf gre goir e	--|---|---⌫----⌫|
q u ide rome es tp apessacrez	-⌫-⌫|-|---|--⌫|-⌫---|-----|
mo lt desconfortez	--⌫-|-----------|
quiquidotestre de ceuz	--|-----|----|--⌫---|
sesmerite sesesuertuz	--|------⌫||--|-----|
ses ieun es	--|----⌫-|
seso rei so ns	--|-⌫---⌫--⌫-|
ses l ermessesaffl ictions	--|-⌫----|--|----⌫------|
es auolonta ir epouerte	|-⌫|-------⌫--⌫|------|
odtrest o tes autr e dess erte	-|-----⌫-⌫-||----⌫|----⌫---|
p rist odgregoireacom pare r	-⌫---|-|-------||---⌫----⌫|
mesurerasmer epeser	------|----||----|
comcilqui t restote sauie	--|--|--|-⌫------|-|--|
nepreisotunebelefie	-|------|--|---|--|
porqace luif ustalouez	--|||--⌫--|-⌫--|-----|
quitantotde sesuoluntez	--|---|-|-|--|-------|
lo re l argenteles iuaus	|-⌫|||-----||--|----|
lesaut resaueirs	--|---⌫--|-----|
tem pora us	---⌫----⌫-|
domq uidot estreaaise	--|-⌫----|----||---|
acomp arot a samesaise	-----⌫---||-|------|
sisenp leins tdenutede ior	-||-|-⌫-----⌫|-|--||-|--|
sicomicil quis an zretor	-|--|---|--|-⌫--⌫|----|
trauer sp erdre cremeit	------⌫|-⌫----|------|
quanqe pordeusoufe r t aueit	-----|--|--|-----⌫-⌫|----|
quanteisenaui s on re gier e	----|--|-|---⌫-⌫-|--⌫----⌫|
par deu antlui	--|---⌫--|--|
nostresa lu iere	-----|--⌫--⌫---|
ad iten chastiant	|-⌫-|-|--------|
diuafist s	---|---||
tespe inesetes enfertez	--|--⌫---||--|-------|
teslaborsdomtant e sgreuez	--|-----|--|---|-⌫|-----|
etes mesa isesinfinites	|--|----⌫---|--------|
en contreles s e intes merites	--⌫-----|--|-⌫-⌫----|------|
degregoirequi tant mestchier	-|-------|--|---||--|----|
es orguillouse f ier	-|---------||-⌫--|
soulde ta cha t es englement	---|-|-|---⌫-⌫|-⌫--------|
nestdequantq	|--|-|-----|
tutonchat e imese nourris	-|--|---|-⌫---||------|
beises ep olis	-----||-⌫---|
c omcelu iquipargrant dep ort	-⌫-|----⌫|--|--|----|---⌫--|
tefait soueaus qe lq e confort	-|---|------|--⌫--⌫|------|
puesq e s lassez detesla bors	----|-⌫|-----|-|--|--⌫---|
mai smic herseruitors	---⌫|-|-⌫--|--------|
ne soic onfortenegune hore	-|--|-⌫------|-----|---|
fo rssoul quant plu spormei	--⌫-|---|----|---⌫|--|--|
qui riensal nedesire	--|----|-|-|-----|
mespormamor	--|--||---|
sofrirmartire	-----|------|
cel estreescoueitous	--|----|-|--------|
tesen z sofreitous	-|---⌫|---------|
si tedementes e	-|-|-------||
asqua nqecoueites	-|---⌫--|-------|
car poricoqeriensnen as	--|--|--|-|----||-|-|
so uentdiz deuq eferai	--⌫---|--|--|-⌫|----|
lascommentcest iortrespas s erai	--|------|---|--|-------⌫-⌫---|
quin ulsosten emen t nenai	--|-⌫-|------⌫----⌫||-|-|
mais iciltotl aueir delmonde	---|---|--||----|--|----|
qua ntpluslia creist e abonde	---⌫-|---|-|-⌫-----||-----|
p lu s uileendespit	-⌫--⌫|--||-|-----|
mei nsleimemeins	---⌫-||---|----|
ecode mo ustre apertem en t	|-|--⌫--⌫----|-------⌫--⌫|
car silla mast	--||-||-⌫---|
u eraiemen t	-⌫--------⌫|
tan tlargement p as	---⌫|--------|-⌫-|
neldona st	-||----⌫-|
pasne lesparpe illas t	--|-||-------⌫-----⌫|
turiches es en	-|-----|-|-|
tadestre sc e	-|------⌫--⌫|
ensarichesce	-|-|-------|
caratei est ta destr esc e aise	--||--|--|-|-----⌫---⌫|---|
a lui saric hes ce est me saise	|--|-|---⌫---⌫-|--|--⌫----|
tuesf i ersenaduersite	-|-|-⌫-⌫--|-|--------|
ciles t umbleenpro sperite	--|--⌫|----|-|---⌫------|
