SOIGNORSor escoutezque Désuoss oit	-------|-|-------|--|---|--|-⌫--|
felo nsqui lesontgri ueztant	----⌫-|--|--|--|---⌫--|---|
Mo rzetprissaront t utnaront	--⌫-|-|---|-----|-⌫-||----|
dem ortgarant	-|-⌫--|-----|
Cartant i uintilluc dela gant mesc réant	--|---||---|----|-|-|---|----⌫-----|
Plusde .C.mile	---|-||||---|
sont à bon s cheuaus coranz	---|-|---⌫|------|-----|
Q uetote enuaila terre et	-⌫-|---|-|--|-|----|-|
lib oi sfremiant.	-|-⌫--⌫|-------||
Franç oissan	------⌫--||-|
uo ntuersausesperonant	--⌫-|---|--|---------|
Granzcouss euontdon erdese spéestra incha nz	----|---|-⌫|---|---⌫-|--|-⌫-----|---⌫-----⌫-|
Lorsespiezf orz	---|-----|-⌫--|
lor uo nte nz escorsenbatant	--|--⌫-|-⌫-|-|---|-------|
les bo u eles lor uont	--|--⌫-⌫---|--|---|
Morent cilS ara zin s à	-----|--|-⌫---⌫---⌫|-|
miliersetàçanz.	------|-|-|----||
Lardourd ouchautle s uai fo rmentesfobliant	|-----|-⌫-|----|--⌫|--|--⌫----|---------|
Alagrand epou drer e queil	|-|-----⌫|---⌫----⌫|--|-|
uontdemen ant.	---|-----⌫--||
Et Franslesacolliren tquilesfierentso uen t.	-|----|--|---------⌫|--|--|------|--⌫---⌫||
Quantli amirausuoitnosFrançois	----|-|------|---|--|--------|
secour squ i ue nuzestsi granz	------⌫|--⌫|--⌫--|--|-|----|
Adonc seti ntilb ien lamiraus poren fant	----|-|--⌫-|-|-⌫--||------|--|--⌫---|
Quantui ti simorirSar azinse t	----|--⌫|-⌫-|----|---⌫----|-⌫|
.soulpetit quei l de	|---|----|--|-⌫|-|
douelnefent.	----|-|---||
I laifa itmetenant	-⌫|-|--⌫-|-------|
mander sonrereban	-----|--|------|
Plusde. XIIII	---|-||----|
.mileasfo rs espieztrencha nt	|---|-|--⌫-|-----|-------⌫-|
EtseDamedexnestà nosFrançois aid anz	-|-|------||--|-|--|--------|---⌫--|
A l am iraurarier es	||--⌫----|-----⌫-|
saro nt anlorcommant .	----⌫-|-|--|------||
MOUT futgr an z	---|--|--⌫--⌫|
labataileet	-|------|-|
me ruoilouse e t	--⌫--------|-⌫|
F rançois ifierentbie nquepointnes	-⌫-------||------|---⌫|--|----|-||
tranchentlorc ors etpoinzetbra izettestes	--------|--|-⌫--|-|----|-|---⌫-|-|-----|
MorentcilSar azinset t rabuchent des sel es .	-----|--|---⌫----|-|-⌫--------|--|---⌫-||
uéitesmaisde Sarazins telperde	------|---|-|-------|--|----|
L a t erreuermo ili tdou sancet des celuales	-⌫|-⌫---|-----⌫---⌫|--|---|-|--|-------|
Estrai ̈e remestMaugalielab ale	------⌫-|-----|-------|-|-⌫--|
Et f elon sSarazins	-|-⌫----⌫|-------|
parl a rene.	--|-⌫|---||
Etditliuns	-|--|-|--|
àlautreI ci estdel a	-||----|-⌫-|--|-|-⌫|
Etr espontMaugalieIen e	-|-⌫-----|-------|-|-⌫|
suisp ormatest e	---|-⌫-|-|----⌫|
Ançoisfuren ttrestut dePerse mian sest r e.	------|-----⌫|------|-|----|-|--⌫----⌫-⌫||
Iuglaourssuismo ubonssiuois	--------|---|--⌫|---|-|---|
auoi r co nquerre.	----⌫|--⌫------||
Ieailontans se r ui .I	-|-|--|---|--⌫-⌫-|||
.ch eualier	|--⌫------|
Quime donailautr ie r.I. pa ilede	--|-|----||----⌫--⌫||||--⌫--|-|
Bisterne .	-------||
Tan tsaidan cha nte me nt nen a i sozciel	---⌫|--||--⌫---⌫---⌫--⌫-||-|-⌫|--|---|
Ieferoiebien ci sordreunefontena le	-|-----|---|-|-----|--|-------⌫-|
Etdegrifons uolanzplusdemilà unter me	-|-|------|-----|---|-|--|-|-|---⌫-|
Etchacun s	-|------⌫|
sitendroit.	-|-------||
I.sarpantporla teste	||------|--|-|----|
Moutlait et	---|---|-|
tr ainant iu sq u eza ̀t err e	--⌫-----|--⌫--⌫-⌫-|-⌫|-⌫---⌫|
Siuostodroient bie n l esa uberz et leselmes	-|--|--------|---⌫|-⌫-|-⌫----|-|--|----|
E tmengeroient bien uos	-⌫|----------|---|--|
destriédeCastale .	-------|-|------||
Die nt liSarazinsIci giu sseroitpesmes.	---⌫-|-|-------|--|---⌫|-----|-----||
uai don ioerfont il	--|--|---|---|-|
a ̀lamiraurde P ers	-⌫||------|-|-⌫--|
Quitedonraias ez	--|-|-----|--⌫-|
uileschaitaus etterres.	----|-------|-|-----||
Et r espont MaugalieCenepoutor	-|-⌫-----|-------|-|-|---|-|
Poignezauant fait	------|----|---|
ele esploi tiez delaguere	--|------⌫---|-|-|----|
Françoi squisi fortuos	--------⌫|--|-|---|--|
apress ent.	------⌫--||
Quantl ipaiens d em entenant la	----|-⌫|-----|-⌫|-⌫-------|-|
To te soule estraïe gue rpisent l apucelle	--⌫-|----|-------|---⌫------|-⌫|------|
Et nos F rançois se f ierent e sputesg an zauerse	-|--|-⌫-------|-|-⌫-----|-⌫|----|-⌫--⌫|-----|
Donccom ma nçai	---|---⌫--⌫----|
l estour etmeruoilouse t pesm es.	|-----|-|---------|-⌫|----⌫-||
EttanteuosRichiers le	-|---||--|-------|-|
cheualieroneste	--------|-----|
Etai bran dila	-|-|----⌫-|-|
a n teoul anse igneuant a le	-⌫-⌫-|-||----⌫---|----⌫-⌫-|
ua i ferir e n l	--⌫|----|-⌫||
estou r . I.aumanco ur dAuerse	-----⌫||||-------⌫-||-----|
Lesculi a perci é e tl aubertli desserre	|---|-||-----⌫-|-⌫||-----|-|-------|
Oucors li mit lensoigneetla	-|---|-|--||-------|-|-|
hantenouelle	----|------|
Toteplenesalan ce l	---|----|-|---⌫-||
aba tmortdelasale .	---⌫|---|-|-|---||
Après lorai ocit	-----|--|-|---|
d ePale rne	-⌫|----⌫--|
.IIII. roislo rietemorzà	|---||---|--⌫|---|---|-|
F r ançoisleson tmenez pormi.I	-⌫-⌫------|--|--⌫|----|----|||
.uaula uerse	|---|-⌫----|
Dolanz fut Galïensliamiraus	-----|--|-------|-|------|
Quant uoit	----|---|
m orirsag antet	-⌫---|-|-⌫--|-|
tr abuchierà	--⌫-------|-|
Ahau te uoizescrieFrans	|---⌫-|---|-----|----|
Saraz i nsqu e faites	-----⌫-⌫-|--⌫|-----|
Se François	-|--------|
san uont si qu in i pe rd e nt	|-|---|-|-||||--⌫--⌫-⌫-|
les testes	--|-----|
Quant S a rrazin s	----|-⌫-⌫------⌫|
l antande nt si broichent	|-------⌫-|-|--------|
etdesse rre	-|-----⌫--|
Iri emantettot	---⌫----|-|--|
àno zFranc ̧ oi sse moilent .	-|--⌫|-----⌫-⌫--⌫|-|------||
Q uantFr ansuoient	-⌫---|--⌫--|-----|
uenir lespaiens s i à pres se	----|--|-----|-⌫|-|----⌫-|
Granz cousl oruont doner eshia umes deBister n e	----|---|-⌫-|---|----|-|---⌫---|-|------⌫-⌫|
Ne r emendrailestourainzi au raig rant	-|-⌫-------||-----|---||--⌫--|-⌫---|
Sarazinslesrec ul ent . I. grantarpande	-------|--|---⌫--⌫--||||----|----|-|
R ich ie rsuit	-⌫---⌫--⌫-|--|
Maugalie si	-------|-|
lapri stpo rlarene	-|---⌫-|--⌫|-|---|
P uis li dit enria ntCh euauchiez damo i sele	-⌫--|-|--|-|---⌫-|--⌫--------|----⌫-⌫---|
N euosi la irons m ieainzi perdons	-⌫|--||--⌫----|-⌫-|---||------|
leste stes.	--|--⌫---||
-Richie r smen tesmercicelid it la pu celle	|------⌫-⌫|---⌫--|----|-|-|-⌫-|-|--⌫----|
L ors cheuauch en tensan bleàforcea ̀pro uoce	-⌫--|--------⌫--⌫|-----⌫--|-|----|-⌫|---⌫---|
iuindrent aus Fransqui pa ien sdetrauer sent	|-------|--|----|--|--⌫---⌫|--------⌫---|
LorslaitRichiers l adamesi	---|---|-------|-⌫|---|-|
en lapresse	-|-|-----|
D espaien s	-⌫-|-----⌫|
orgoulous la put egantau erse.	--------|-|---⌫|---|--⌫---||
MO UTfut grantlabatai leetle chapl epesant	--⌫-|--|----|-|-----⌫-|-|-|-----⌫|-----|
uos poignant lami raurdesPersanz	--|-------||---⌫---|--|------|
Etaibrandil ahante	-|-|-----|-⌫|----|
des on e spié	-|-⌫-|-⌫----|
u eu t ferir en l esc ule conte Guinemant	-⌫--⌫|----|-||---⌫|-|----|--------|
L escul iaiperciéet laubergazerant	|---|-⌫|-|------|-||----|-------|
Deioste le coustéli mit	-|----|-|------|-|--|
lefertrench ant	-|--|------⌫--|
Tote plene	---|----|
salancele uetiust trabuchan t	-|----|-|--|---|---------⌫|
Puis ai tandusamainporle	---|-|----|-|---|--|-|
n ase lle pran t.	-⌫---⌫|-|----⌫||
Iléutiaiconquisprisonà son	-|---|--|------|-----|-|--|
amirausco nquirent.IIIIm.Persanz	------|--⌫-------||----||------|
Etbrochen t	-|-------⌫|
lescheuaus	--|------|
uontferirFloou ant	---|----|-----⌫--|
ont abatu deson cheuaul	--|----|-|--|------|
Soncheuaullion tmortàlor espi ez	--|------|-|--⌫|---|-|--|----⌫-|
tr anch anz	--⌫----⌫--|
Quàlat errechai ̈limarchisFloouam	-|-|-|-⌫---|----⌫|-|------|------|
EtSa razinslenc hauce ntetdarie ́setdeuan t	-|--⌫-----||---⌫-----⌫-|-|-----⌫-|-|-----⌫|
Granz cousli	----|---|-|
ontdonezli	--|----|-|
c uue rs soduan z .	-⌫---⌫-|------⌫||
F loouanz sede sfant à lo decombatant	-⌫------|-|--⌫----|-|-|-|--------|
.uII.ania i	|--||-||-⌫|
ocisà soncor desfandant.	---|-|--|--|---------||
I ltintlespéedroite dontd	-⌫|---||-----|-----|---||
aci ersestlibranz	---⌫--|--|-|----|
Qui ilcon su itàculpil n ai de nort	--|-|---⌫--⌫-|-|---|-||-|-|---|
AtanteuosRichierslear di	----||--|-------|-|--⌫-|
EtIoceranz son perelec o nteGuineman	-|-------|--|---|-|-⌫-⌫--|-------|
EtAnmar isde	-|-----⌫-|-|
Cha rtreet son	---⌫---|-|--|
f rereMoran	-⌫---|----|
A nge lierde LoonetRi char leNorman	-⌫---⌫---|-|---|-|--⌫---|-|-----|
EtFoqu ere	-|----⌫--|
deTroies Bauduinli Fla man	-|-----|------|-|---⌫--|
EtledudeBorgoine cui	-|-|-|-|-------|--|
grantonour apant	----|----|----|
Escorf a ndeBreteneetAntiaumeloFran	------⌫-⌫|-|------|-|-------|-|---|
Etli quesdeBor goinequip rouzestetuailanz	-|-|---|-|---⌫----|--|-⌫---|--|-|------|
en lorco mpaig nel ouriche roi Flor am.	-|--|--⌫-----⌫-|-⌫-|----|--|----⌫-||
Po rloumienesciantiafutprisFloouanz	--⌫|--|---|------|-|--|---|-------|
Q uanttut isontcoru zlic heualieru ailanz	-⌫---|--||---|----⌫|-|-⌫-------|-⌫-----|
Lapresse ontde rumpue	-|-----|--|--⌫-----|
Fl ooua nt	--⌫----⌫-|
Ni ai cel n	||-|--||
aitocisAra biouPers am.	--|---|---⌫-|-|----⌫-||
Floouan t re mo nterent sor	-------⌫|--⌫--⌫------|--|
.I .destrié	|||-------|
Quantilfutàcheua u l	----|-|--|-|-----⌫-⌫|
sireauçailou branc	-|-------|--|----|
Granzcousanuai d oner	----|---|-|--|-⌫---|
gent mescréant.	---|---------||
Li premie r s q ueil	-|------⌫-⌫|-⌫-|-|
n ai de mort garant	|-|-|---|-----|
Quelat este	--|-|-⌫---|
n anfaceuolerenmile cham.	|-|---|----|---|-|---||
Deu anlui ancontraile	---⌫-|--|--------|-|
r oideBoniuam	-⌫-|-|------|
Quiliot son	--|-|-|--|
cheuau l ocisdemet enant	------⌫|---|-|---⌫----|
QuantFloouanzleuoitsouuai re cuenisant	----|-------|-|---|--|--|--⌫---|----|
li uai doner	-|--|----|
sorsonescudeuant	--|--|---|-----|
Quelésla bocl e à orli peçoie et	--|---|-|----⌫|-|-|-|------|-|
Leh a ubertdesondos	-|-⌫-⌫----|-|--|--|
liderontetdesmant	-|-----|-|------|
Quedecioubraie rle	--|---|-|-----⌫|-|
uaitotpo rfandant	--|--|--⌫-------|
Mortl e trabuche àterre d o u des triéaufe rrant.	---|-⌫|-------|-|----|-⌫-⌫|---⌫----|----⌫----||
Outrefizàputai n ma uuai s	----|--|-|-----⌫|--⌫----⌫|
matins pua nt	-----|---⌫-|
Moncheuau l m	--|------⌫||
to n o ut raigegraint.	--⌫|-⌫--⌫----|-----||
Puis serefieres	---|-|-----|-|
Tursque il	---|--|-|
nementn éant	-|---|-⌫----|
loruaidonerdelespéetra nc ha nt	--|--|----|-||-----|---⌫--⌫--⌫-|
plus grandepresse seuai a demantant .	---|-----|-----|-|--|-⌫--------||
Etquantpaiensle uo ie nt si	-|----|-----|-|--⌫--⌫-|-|
l euontredota nt	-⌫|---|------⌫-|
lifontplacecele	-|---|----|---|
gentmescréanz.	---|---------||
EtFrançois	-|--------|
i ferirent ment escommunemant	|-------|----⌫-|----------|
Se pa iensnes en fuenttutmo ront	-|--⌫---|-||-|----|--|--⌫---|
àtorment.	-|------||
Quant uo itmor ir	----|--⌫-|---⌫-|
s eshom esli amirausPersanz	-⌫-|---⌫-|-|------|------|
A c ̧ois qui ancor sunttrestot	|-⌫---|--|----|---|------|
uisenestant	--|-|-----|
Ahauteuoizescr ieBar onfué	|----|---|----⌫-|---⌫-|---|
Quant paiens	----|-----|
lant a ndirentn	|---⌫-⌫------||
i otarestema nt	|-|--------⌫-|
AsFr a ns to rnent lesd os	-|--⌫-⌫-|--⌫----|--|-⌫-|
si s antorn e ntfuant .	-||-|----⌫-⌫-|----||
EtFrançois lesanchaucent	-|--------|--|---------|
sonent grailesetbusennesfor m an t.	-----|------|-|-------|---⌫-⌫--⌫||
Ferantles o ntmene z contrauaul.	-----|--|-⌫-|----⌫|---------||
Bi enlesontanc h a uciez .III I . liuéesgranz.	--⌫-|--|--|---⌫-⌫-⌫----||---⌫||------|----||
Ia itantn aulesezn arieres	-|----||------||------|
Queuosne trouesisSarazinsmorz	--|--|-|-------|-------|---|
Et tantess alesuoidesde	-|-----|-⌫---|-----|-|
destriéauferanz	-------|-------|
ie sir sor laut re	--⌫--|--||---⌫-|
etenuerset adens.	-|-----|-|----||
Deci que a ̀ u neeuele san m oi nent	-|-|--|-⌫|-⌫-|--|--⌫|--⌫-⌫--⌫---|
Mout laide	---|----|
et mult idouseet me ruoilefutgranz	-|---|-----|-|--⌫-----|--|----|
E tSarazin s	-⌫|-------⌫|
c rier Mah ometTau ergan.	-⌫---|---⌫-|-|---⌫----||
Enza n leu e se fierentli	--|-⌫||--⌫|-|------|-|
Saraz inspuant	-----⌫--|----|
Ainzqueilfusent outreen	---|--|-|-----|----|-|
i ot n oiétan t	|-|-⌫---|---⌫|
Q ue pa rdesuzlesmo rzanuont	-⌫-|--⌫|----|--|--⌫-|-|---|
liuisflotant .	-|--|------||
Agrant poinean	|----|----|-|
e stort lamirau z	-⌫----||------⌫|
desPersanz	--|------|
Onquesnanr emenailamoit ié de	-----||-|-⌫-----|-|----⌫--|-|
Enz ou chan sa n repaireRic hiersetFloou anz	--|-|---||-⌫|------|---⌫----|-|-----⌫--|
EtAulemanzasa nbleo l e bonroi	-|-------|---⌫---||-⌫|--|--|
o nt menezpriso nsà	-⌫-|----|-----⌫-|-|
Roi set princes et dus	---⌫|-|------|-|--|
anma tus Aufrican s	----⌫--|--------⌫|
Desmorzetdes	--|---|-|--|
naurez ane stqueuers li	-----|-|-⌫-|------|-|
Qui uo sitauoirarmes etbondestré	--|--⌫--|----|----|-|--|------|
Asontalant anpra n carilan	|--|-----|-|---⌫|--|-|-|
Ne les peut conternushonsta n	-|--|---|-----|--|---|--⌫|
fusaichanz.	-|-------||
Droi temantuersBaufor ts antor ne nt metenant.	----⌫-----|---|------⌫||-|---⌫--⌫-|-------||
Quant ui ndrentà Baufort don	----|--⌫-----|-|------|--|
futlaioieg r anz	--|-|---|-⌫-⌫--|
Floou anzse habergechi ésG odefroi	-----⌫--|-|------|---⌫--|-⌫------|
Deci àMonloonnot	---|-|------||-|
borgoiss i	------|-⌫|
Mout demoine grant ioie qu ant iluitFloo uam	---|------|----|---|--⌫--|-|--|----⌫--|
Lafi lele roiFlore	-|--⌫-|-|--|----|
uen ue iestcorant	---⌫-||--|-----|
Sestaule ́e baisier	|--|----⌫-|------|
le c ortois Floouant	-|-⌫-----|-------|
EtRichieretlesautresde la	-|------|-|--|-----|-|-|
terredesFra nz .	----|--|---⌫-||
E tquantuoit Maugalie sil	-⌫|----|---|-------|-||
esgarde form ant	------|----⌫--|
Dece liaulaibi en	-|-|-|----|--⌫-|
conuit néant	-----|-----|
Dusquelles oitdestaintedela no rté quo t	----|---|-⌫--|--------|-|-|--⌫---|-|-⌫|
Richierses tdesçanduzdou boncheuau l	-------|--⌫|---------|--|--|------⌫|
Et s a prisMaugali ecom cheualier uailanz	-|||---|-------⌫|--|--------|------|
Enu ne chanbre à uotel anmenemetenant	-|-⌫-|------|-|---||-----|-------|
Laisedes a pa roil e Maugalie	--|-|---⌫-⌫--⌫----⌫|-------|
a uco rsga nt	-⌫|--⌫-|--⌫-|
Etuintà .I . escrin	-|---|-||||-----|
I.oignemant	||--------|
Et uisetcor s etmainsanointineleman t	-|--|-|---⌫|-|----|-|---|--------⌫|
Puis si sefu baig nie rtot eti n aleman t	---|-|-|-|----⌫---⌫|--|-|-⌫-⌫------⌫|
Lablen chourlireuintet lenorté	-|----⌫----|-|-----|-|-|-----|
M o utporfut	-⌫-⌫-|--|--|
coloréequantsabautérepr ent.	-------|----|-|-----|----⌫--||
Quantlauaura iFloret elafile auroiFloram	----|-|-----⌫|------⌫|-|---|-|--|-----|
iert cor ociesauraile	---|---⌫---||----|-|
cord olant .	--|-⌫----||
Aum at i notàlaubeainzl ousolautleuant	-|-⌫--⌫-⌫--|-||---|---|-⌫-|-----|-----|
PrindrentFra ns Maugalieoulecorsauenant	--------|---⌫-|-------|-|-|---|------|
Si lafontbatï e rau	-|-|---|-----⌫-⌫|-|
m ostiers anuiça m	-⌫-----|-⌫-|-----⌫|
Etquantfutbatisiesi f u t laioiegranz .	-|----|--|------|-|-⌫-⌫|-|---|----||
F loretel oïdire	-⌫-----||--|---|
a ̀ poune per	-⌫|--|-|--|
estuenueà	--|----|-|
Floouant .	-------||
Lai o ù elle leuit sesbraizaucoull i	--|-⌫-|---|-|--|--|----|-|---|-⌫|
Carm eba isiez bansire franscheualiersuaila nz	--|-⌫|--⌫----|--|---|----|---------|-----⌫-|
Ia naiilo me	-||-|-|-⌫-|
anterr e que mes c oursam o ittan .	-|----⌫|--|--|-⌫---|--⌫-⌫-|--||
- Damedit Floou anzcesttot por néant	|---|--|-----⌫--||--|--|--|-----|
uo strepere	--⌫---|---|
aioluimai n s cheualiers u a il anz	-||--|---⌫-⌫|---------|-⌫-⌫--⌫--|
Etsiestoresauquescert es	-|-|--|---|-----|----⌫-|
me sbiens uoil anz	--⌫|----|----⌫--|
Asezt o tm	---|-⌫-⌫||
anerr oitantrestots onuiuant .	-|---⌫--|-|------|-⌫-|-----||
Pouur es honsdau tre te rres oudées con queranz	-----⌫-|---||--⌫--|--⌫--|-⌫------|---⌫------|
Ne do itfaire telc hosed ont lo éentlag anz	-|--⌫-|----|--|-⌫---|-⌫--|-|----|-|-⌫--|
Qua nt l antandiFlorote àp o unepert	---⌫-||------|------|-|-⌫-⌫|-|---|
E lleli respond iSireàuostretalant .	-⌫--|-|-------⌫|---|-|-----|-----||
CestporMaugalie lafile l	|--|--|-------|-|---||
Bi e nl a deuez	--⌫-⌫|-⌫|----|
a me rcar ole aile	-⌫--⌫|--|--|-|-|
c orsg ant	-⌫--|-⌫--|
Il nai t antbaled amedeci enOc i dam	-||-|-⌫--|---|-⌫--|---|-|--⌫-⌫--|
uolontiersu os	---------|-⌫-|
préisesiuo s f utàtala nt	------|-|--⌫|-⌫-|-|----⌫-|
Qu ant neuos puisauoir lecouranai	--⌫--|-|--|---|----|-|---|-|-|
-Damed it Floou anzd és	|---|-⌫-|-----⌫--|-⌫--|
orpoignezauant .	-|------|----||
Ma uga lie est madrue	--⌫---⌫--|--|-|---|
o l ecors auen a nt	|-⌫|---|----⌫-⌫-|
Neli faudr oi emieporles manbresperdanz	-|-|-----⌫--⌫|--|--|--|------|------|
Car ole maigaride meruoilo us tormant	--|--||-|---|-|--------⌫-|------|
l e sp oserai porlou los de	|-⌫--⌫-----|--|--|--|-|
Q uantlantand iF loro teàpounepe rt lou	-⌫---||------⌫|-⌫----⌫-|-|--|-|--⌫-|--|
Elleui ntàson p e re seliditanplorant	---|--⌫-|-|--|-⌫-⌫-|-|-|--|-|------|
Mer ci bausi re peres	---⌫-|--|--⌫-|----|
porDeuomnipotan t	--|--|---------⌫|
S euosneme	-⌫|--|-|-|
m archisFloouant	-⌫-----|-------|
au raimai sma riantr es totmonuiuant.	--⌫--|---⌫|--⌫-|-|--⌫--⌫--|--|-----||
A Flooua ntanuo ie trestot dem e intenant	|------⌫-|----⌫-|------|-|-⌫-⌫-------|
Queuene àl uiparle r	--|---|-|-⌫-|-----⌫|
carmestieran ai grant.	--|------|-|-|----||
Q uant lo u mesaig ier	-⌫---|--⌫|------⌫--|
uoi tFloouantl iua ilanz	---⌫|-------|-⌫|--⌫----|
Au roi anestaulez etaueclui	-|--|-|--|----|-|---|--|
Oùq ueliroislou	--|-⌫-|-|---|--|
uoitsil i ditsimplemant	---|-|-⌫|--|---------|
Carr eceuezmafilefra n sche ua lieruail anz	--|-⌫-----|-|---|---⌫-⌫|---⌫--⌫---|----⌫--|
Siserez roidAu sai	-|----|--||--⌫--|
de quanquil ia pent	-|-----|-||-⌫---|
Asez conquer rons terressor	---|-------⌫---|-----|--|
la paiennegant.	-|------|---||
Et Floouanzli ditbel etcortoisemant	-|-------|-|--|--|-|-----------|
Si rece n epout e stre sachezce rtenemant	--⌫-|-|-⌫|---|-⌫---|-----|--⌫--------|
Ciai une pu celleo	-|-|--|--⌫----||
lecorsauenant	-|---|------|
Qu imaimi s forsdec ha rtre	--⌫||-|--⌫|---|-|-⌫--⌫---|
e ttozc esautresFrans	-⌫|--|-⌫-|-----|----|
L aio ùnos	-⌫-|-⌫-|--|
deu o itpandre lamiraus desPers am	---⌫-⌫-|-----||------|--|----⌫-|
N os garilapuc ellede mortetde to rmant	-⌫-|---|-|---⌫---|-|---|-|-|--⌫----|
Mafo ili ai pleuie	-|--⌫|-|-|-----|
uoiant totema	-----|---|-|
Quefanme lapand roie seDexlou	--|----|-|----⌫---|-|--|--|
Ienelanma tiroieporlatesteperdant	-|-||-|--⌫-----|--|-|----|------|
doiied ire moncor et	--|-|-⌫--|--|--|-|
mo ntal ant	--⌫|---⌫--|
fizClo o uisl	--|---⌫-⌫--||
ap aresredesFra ns	--⌫-----|--|---⌫-|
Q ui mechaçaide Fran ce	-⌫-|-|------|-|----⌫-|
fier mautala n t	---|-------⌫-⌫|
Po r.I.petit me sfai tq ui ne	--⌫||||----|--⌫----⌫|-⌫-|-|
futgairesgranz	--|-----|----|
Q uecop aiàmonmaitre le s	-⌫-|---⌫-|-|--|-----|--⌫|
gr eno n sa ndormant	--⌫---⌫-⌫|-⌫|------|
M efitforiuri erF ranc e	-⌫|--|-------⌫-|-⌫----⌫|
t ermesqu eligrenonssontgr anz	-⌫----|--⌫|-|------|---|--⌫--|
Sim anira anFranceantremoie t	-||-|--|-|-----|----|--|-⌫|
Por pandrela quaronedourei gnequimapant	--|-----|-|------|--|---⌫--|--||----|
M ou lt amaseFloro tenelarefus noiant	-⌫--⌫-|----|-----⌫-|-|-|----|-----|
Masnenpuis	--||-|---|
douesa uoirquelaloi	----|-⌫---|--|-|--|
lo udesfan t	--⌫|------⌫|
baudozsi r eàRichi er lou	--|--|--⌫-⌫|-|-----⌫-|--|
Quifizestà cestduc	--|--|--|-|---|--|
l ouardiconba tant	-⌫-|---|-----⌫---|
Richiersuosseruirai mai s	-------|--|-------|---⌫|
t r e stotso nuiuant	-⌫-⌫-⌫---|--⌫|-----|
Siuos serai por f izdoi sce pasanaua nt	-|--|----|--|-⌫-|---⌫|-|--|-|---⌫-|
uostrefile por itel cou e nant	-----|---|--|---|---⌫-⌫---|
Que neuos facen t	--|-|--|-----⌫|
guerreSarazinsnePersanz	-----|-------|-|------|
Que i eneuossecore à	--|-⌫|-|--|-----|-|
. XLm . Frans .	|--||----||
foidit lir oisFlor es ce meuientàtalant	--|--|-|-⌫--|----⌫-|-|-|----|-|-----|
-Siredit lapuce llei ele uoul	|---|--|-|----⌫--|-⌫|-|---|
Quant autre nepout	----|----|-|---|
estreà Richie rme	----|-|------⌫|-|
-uenezauantRichiers ditli	|----|----|-------|--|-|
prouz F loouanz	----|-⌫------|
Sireci uezlaf ileau richeroiFloram	-|----⌫--|-|-⌫--|-|----|--|-----|
Le r éaume etlen ouret quanqu	-|-⌫-----|-||--⌫--|-|-----|
il ia pa nt .	-||-⌫--⌫-||
-Sir e ce d itRichiers totàuostretalant.	|---⌫|-|-⌫-|-------|--|-|-----|-----||
Ill ucquelai	---⌫----||-|
pleu i eRic h iersdem etenan t	----⌫-⌫|---⌫-⌫---|-|-⌫------⌫|
Puis liaifait omaigeféautéausimant	---|-|-|---|-----|-------|-------|
Iane loutre ́iraiantrestotson uiuan t	-|-|--|---⌫----|-|------|--|-----⌫|
Donquesm andailirois	------|-⌫----|-|---|
seshomes et sa	--|----|-|-|
Féauté etomaige fo ntRichi erbone mant	-------|-|-----|--⌫-|-----⌫-|----⌫---|
Aucr ois ant de	-|--⌫---⌫--|-|
la lune quela io ie fut	-|---|--|-|--⌫-|--|
Es pos ere nt lor	--⌫---⌫---⌫-|--|
fanme s Richierset Floouanz	-----⌫|-------|-|-------|
Pu isan fi rentlor nocesanz	--⌫-|-|--⌫---|--|----|--|
oupala i splusgrant.	-|----⌫-⌫|---|----||
Ora ifizreco urélirichesro is	-|-⌫|--|----⌫---|-|-----|--⌫-|
s aig ede luinetinte spé e	-⌫---⌫|-|--|-|---|-⌫----⌫|
pl uspo isanz	--⌫-|--⌫----|
d a rmes enestorf ort et gran t	|-⌫---|-|----|-⌫--|-|----⌫|
ForGuil aume a u	--|----⌫---|-⌫|
Cor sNésqu i	---⌫|---|--⌫|
tantfu c ombatanz	---|-|-⌫-------|
C o ntre paiens fel onsque o n cnamai	-⌫-⌫---|-----|---⌫--|--|-⌫-⌫||---|
Pui sq u i	---⌫|-⌫||
futroi sd A u said Ost eriche lagrant	--|---⌫||-⌫-⌫--||---⌫-----|-|----|
Conquit il Romenieenuerspaienegant	------|-|------|-----|-----|---|
O ueS ar azinst enoient adoncan sonuiuan t.	-⌫-|-⌫--⌫----|-⌫------|----|-|--|-----⌫||
MOUT dem oinentgrant	---|---⌫-----|----|
ioieo upalaisprincipel	---|-⌫|-----|--------|
Maugalielabale etFloou anzlibers.	-------|-|---|-|-----⌫--|-|---||
EtRichiersetFlorotequ itantf aità loer .	-|-------|-|------|--⌫|---|-⌫--|-|---||
Estesuos .I.	----|--||||
mesaigede Francel ouregn é	------|-|-----|-⌫-|----⌫-|
Ilap ortoit.I.brief t ot esto itlasd	-|--⌫-----||||----|-⌫-|----⌫-|--||
Por le sdegrezdem abreestmontezoupl ainchier	--|--⌫|-----|-|-⌫---|--|-----|-|--⌫-------|
Etdema nde	-|----⌫--|
et anquie rdeFloouantlouber	-|------⌫|-|-------|--|--|
EtRichi ers licortois liuaimou totmontrer	-|-----⌫--|-|------|-|--|--|--|------|
Laioù uo itF loouanslou	--|--|--⌫-|-⌫------|--|
prent à apeler	----|-|-----|
Richiersie uoelà uosparler	-------|-|---|-|--|-----|
