a nnaschayfasetsimyneetdadannietgamaliel	-⌫---|------|-|-----|-|------|-|-------|
iefismolt de maus sorterr e.	-|--|---|-|---|--|----⌫||
e t liiuifme	-⌫|-|---|-|
cruc efi iere n t auoecihe su.	----⌫---⌫----⌫-⌫|----|---⌫-||
e ti eaiueue slesmeru elles kil a	-⌫|-⌫|-|----⌫|--|----⌫----||-||
il e stcr eeresdetoutecreature	-|-⌫-|--⌫----|-|----|-------|
iecroik ilestroistouspoissans	-|---||-|--|---|-----------|
sil i criai	-|-⌫|----|
s ire aies m erchi	-⌫--|---|-⌫----|
demoiquant tu uendras	-|--|----|-|------|
entonregne .	-|--|----||
il oim aparolesi me dis t.	-|-|-⌫|-----|-|-|---⌫||
distnost resir e	---|----⌫-|---⌫|
ketuserras huiauoec m oienpar adis .	-|-|-----|--|----|-⌫-|-|---⌫---||
simedo naceste enseigneetsimedist	-|-|--⌫-|----|-------|-|-|-|---|
selaga rde de paradisn etelaisseentrermou str e	-|-|--⌫--|-|------|-⌫|-|-----|-----|---⌫---⌫|
li ceste enseignecest ecrois	-|----|-------|----⌫|----|
keihesu k iestoit crucefiiezlet a	-|----|-⌫|-----|---------|-|||
cargiésitenuoie e n pa radis	------|-||-----|-⌫|--⌫----|
atant me nui ngsi mo ustrai al a ngele	----||-⌫|--⌫-|-|--⌫-----|||-⌫----|
ceste e nseigne	----|-⌫------|
s i memis tala	-⌫|-|---⌫||-|
des tremon pereen	---⌫--|--|---|-|
paradi set s i me	------⌫|-|-⌫|-|
dists uefre	---|-⌫----|
un pocara danset	-|-|--|-⌫---|-|
tuit s i fil uendro ntla e te nterronttuitenparadis	---|-⌫|--|------⌫-|-|-⌫|-⌫-------|---|-|------|
sifai tem entparloitlil erres.	-|---⌫---⌫--|------|-|-⌫----||
et lipr oph et eetli	-|-|--⌫---⌫--⌫|-|-|
pa triarche respondirenttuitbe neois	--⌫-------|-----------|---|--⌫----|
soies tudextous poissans pe res de	----|-|--|----⌫-------|--⌫--|-|
misericordekitagra s ceas donee as	----------|-|-|---⌫-⌫-|-|----|-|
pec heorsetki lesramaines	---⌫----|-|-|--|-------|
a la de pa rad iset dones pardurable ui e.	|-|-|--⌫---⌫-|-|----|---------|--⌫||
ce ca rinusetluciuskimortau oien testéeten	-|--⌫----|-|-----|-|---|--⌫----⌫|----|-|-|
inferresuscité estoiente tyy i orsesture nt e n la c ite	----|---------|-------|-⌫|-|-⌫--|------⌫-|-⌫|-|-⌫--|
darimachie	|--------|
ki fui oseph .	-|-|-⌫----||
ets ai nsmichius	-|-⌫--⌫-|------|
l orotco mmandékil	-⌫-|-|--⌫------||-|
nedeis sentmo t	-|----⌫---|--⌫|
ainsfuissenttoustans	---|-------|---|---|
enoris on sde ciadontkeleureuendroitk e	-|----⌫--⌫|--⌫-|------||---|-------|-⌫|
dexleurferoitlemistere de laresurrection	--|---|-----|-|------|-|-|-----------|
dontdisentapresco u noscommanda sainsmichiel	---|-----|----|--⌫|--|-------|----|------|
apasserleflu niordainen un	|-----|-|---⌫|------|-|-|
saintleuumo lt	----|--||--⌫-|
adeceuxkir esuscité furent .	|-|---|-|-⌫--------|-----||
auonsio rscongiedec iestertantke li	----|--⌫-|-----|-|-⌫|----|-----|-|
pasquesoitpasseepor tes moig nier laresu rrection	-----|---|-----|--|---⌫----⌫---|-|----⌫-------|
ihesu c ristanos parenski	----|-⌫---||--|-----|-|
iuiss ont .	---|-⌫--||
e t nosfumestuitenpreslaresur r ectionbaptisiée l	-⌫|--|----|---|-----|-|-----⌫-⌫-----|--------|-⌫|
fl uniordainet	--⌫-|------|-|
sieumes cascuns blanc e estoleettuitsont remesoutre	-|----|------|-----⌫|-----|-|---|---|----|----|
leflun iordai nainc nefurentp uis ueudo me	-|---|------⌫|---|-|-----|-⌫--|--||-⌫-|
cetiesm oi ng auésuou s p ar nous dela	-|-----⌫--⌫-|----|---⌫|-⌫-|---|-|-|
resurrecti onihes u crist	----------⌫-|----⌫|----|
nostreseignor.	-----|------||
prii és luiki l	----⌫--|--||-⌫|
a itmerchide u ou setd enou sets i	-⌫-|-----|-|-⌫--⌫|-|-⌫|---⌫|-|-⌫|
nosdoinstpaisetamorcil	--|-----|---|-|---|--|
kinosfistetfourmaet sauuerae tme tra	-|--|---|-|-----|-|------|-⌫|--⌫--|
quantcilduiorent escr itcascuns par lu icha rtrede	----|--|--|----|----⌫-|------|--|--⌫|---⌫---|-|
ce lti e smoig nageannasetkayfasdontse le uerentsipr isent	--⌫|--⌫-⌫-----⌫---|----|-|-----|---|-|--⌫-----|-|--⌫----|
lesescrissi les	--|-----|-|--|
mi se ntesmainsnic odemuset iose ph.	--⌫--⌫-|-|----|---⌫-----|-|----⌫-||
e tcil f urentl orstransfig uréetdeuindren t blanccommenois	-⌫|--|-⌫----|-⌫--|--------⌫---|-|---------⌫|----|----|---|
onquespuis ne	-----|---|-|
fur entue u.	---⌫--|--⌫||
maislorescr itf ur ent	---|--|----⌫-|-⌫--⌫--|
lors troué si ing al	---|-----|-|---⌫-|
kilnau oit	|-||--⌫--|
mie plusen lunk	--|---|-||-||
enl au tre .	-||--⌫--||
ettouscesescri slut ondeuant	-|---|--|-----⌫|--|-|-----|
les iuusenlasynagog e	--|---|-|-|-------⌫|
et liiuif disententreux uoirementa uoitdexce	-|-|---|-----|---|--|--------|-⌫---|--|-|
beneoissoitil parmen ablement	------|---|-|------⌫-------|
ad ont iss iren tde lasynago gh e	--⌫--|---⌫----⌫|-|-|------⌫--⌫|
agrantpao r ensoncuer .	|----|---⌫|-|--|---||
etto ut ces tafairesicomilueu	-|--⌫-|---⌫|-----|-|--|-|--|
e toiconterentioseph etni codemu s apy lat e lep rouost	-⌫|-|--------|-----|-|--⌫------⌫||--⌫---⌫|-|-⌫-----|
escr istquankeli iuif au oie ntfaitetdit	----⌫--|-----|-|---|--⌫---⌫-|---|-|--|
e nuers ihesumetsimisttout	-⌫----|-----|-|-|---|---|
enlestoireetensesliuresou	-||------|-|-|--|-----|-|
pretoire .	-------||
fi stpylate s	--⌫-|------⌫|
lipr ouosunes l etres	-|--⌫---|---|-⌫----|
si lesen uoiaalacitederome.	-|--|--⌫---||-|---|-|---||
si ot escritenses letresco u	-|-|-----|--|-|-----|--⌫|
ke uousauésdeuanto i.	-|---|----|-----|-⌫||
