Monsieurl arc euesquede	-------||---⌫------|-|
le man dèrentà	-|---⌫------|-|
cesseigneursqu i s en	--|--------|--⌫||-|
allèrento uyr	--------|-⌫--|
m e sseetd isneret en furenthonteux	-⌫-⌫--|-|-⌫----|-|-|-----|------|
ceulx quiauoyentditces	----|--|------|--|--|
nouuellesm a is	--------|-⌫-⌫-|
letemp slesexc u sa	-|----⌫|--|---⌫-⌫-|
auec ce quele	---|-|--|-|
p aigeauoitditlanuyctNe ́gociationsentrele	-⌫---|----|--|-|----|--⌫----------|----|-|
roi etlesseign eurs	--|-|--|-----⌫---|
Praticquedepaixcontinuoit plus	--------|-|---|---------|---|
est roit en tre le roy e tleconte	---⌫---|--⌫--|-|--|-⌫|-|----|
Charroloysque ailleurs pourcequela	---------|--|-------|---|-|--|-|
forcegi soiteneulx	----|--⌫---|-|---|
Lesdemandesdes	--|-------|--|
seigneursestoient grandesparesp ecial	--------|-------|------|--|---⌫----|
po ur cequele ducde	--⌫-|-|--|-|--|-|
Berr y uouloit	----⌫|------|
Normandiep ourson partaigec e quele	--------|-⌫--|--|-------|-⌫|--|-|
royneu o uloitaccorder	--|-|-⌫-⌫----|-------|
Le contede	-|----|-|
Charrolo y s uouloitauo ir les uil lesa ssises	--------⌫-⌫|------|---⌫-|--|---⌫--|-⌫-----|
surlariuièrede	--|-|-------|-|
Somme co mme	----|--⌫--|
Pe ronn e et autresqueleroyauo it	--⌫----⌫|-|-----|--|-|--|---⌫-|
rachap t éesde quatrecensmille	------⌫-⌫---|-|-----|---|----|
escuzduduc	----|-|--|
Philippesn	--------||
yauoit pastro ismoyslesquelle si lauoit	|----|--|---⌫-|---|---------⌫|-⌫|----|
eu esp ar lapaix d	--⌫-|-⌫-|-|---||
A r ras du	-⌫-⌫--|-|
Char lesseptiesme	----⌫--|--------|
Le c ontede	-|-⌫---|-|
C harroloys disoi t quede sonuiuantleroyne	-⌫--------|-----⌫|--|-|--|-----|-|--|-|
lesdeuo it	--|----⌫-|
Luyramenteuoitc ombienil estoit tenuàsamai soncar	--|----------|-⌫-----|-|-----|---|-|-|---⌫--|--|
fugitifde so np ère leroy	------|-|--⌫|-⌫---|-|--|
Charle si ly	------⌫|-⌫||
fu t receu etnour rysix ans	--⌫|----|-|----⌫-|--|--|
ayantden i ersdeluy po u rson	----|---⌫-⌫--|-|--|--⌫-⌫|--|
uiure etpuisamene ́pa r eul x iusques	----|-|---|-----⌫|--⌫|---⌫|------|
Reim se t a ̀	----⌫|-⌫|-⌫|
P arisàsonsa cre	-⌫---|-|--|--⌫--|
Ainsi auoitprins	----|----|----|
ce contede	-|----|-|
Charro l oysentrèsg rantdespitcerac ha ptdes terres	------⌫-⌫--|-|----|-⌫---|-----|-|---⌫--⌫-|--|-----|
de ss us dictes	--⌫--⌫--⌫-----|
Tantfutdemen é e	---|--|-----⌫--⌫|
cestepra ticquedepaix q ue	----|---⌫-----|-|---|-⌫-|
le roy ui nt u ng ma tinpar eaue	-|--|--⌫-|-⌫-|--⌫--|--|---|
iusques uizà	------|--|-|
uizde nostreostlarg ementcheuaulx sur lebortde	--|-|-----|--|----⌫----|-------|--|-|---|-|
l ariuière	-⌫|-------|
En son b ateaun es t oientquequatre ou cin q	-|--|-⌫----||--⌫-⌫----|--|-----|-|---⌫|
pe rsonnessauf ceulx	--⌫------|---|----|
q ui tir oy e n t	-⌫-|---⌫--⌫-⌫-⌫|
Ilya uaitmonsrdu	-||-⌫---|----|-|
Laumon sr de	--|---⌫-|-|
Montaubanlorsadm ira l et monsrde	--------|---|---⌫---⌫|-|----|-|
Nantouillete td autres	----------|-⌫||-----|
Lescontesde	--|-----|-|
Charroloysetde	---------|-|-|
Polestoientsurle	--|-------|--|-|
bortdela riuièredeleur c os té	---|-|-|-------|-|---|-⌫--⌫--|
actendansledict sei gneur	--------|-----|---⌫----|
Leroy dem andaàm ons ei g n eur	-|--|---⌫---|-|-⌫---⌫--⌫-⌫-⌫--|
Charroloyscesmotz	---------|--|---|
M o nfrèremasseu rezuouscaraut resfoisledit	-⌫-⌫|-----||-----⌫--|---|--|---⌫------|----|
conte eutespousé sa soeur	----|--|-------|-|----|
Ledic tco nt e l uyresp ondit	-----⌫|--⌫--⌫|-⌫-|----⌫----|
Monse ig neurouy	-----⌫--⌫---|--|
si feirent ass ezdautres	-|------|---⌫-||-----|
Le roydescenditen ter reaueclesdessusdict z	-|--|--------|-|---⌫-|---|--|----------⌫|
qui estoyent	--|-------|
uenuzquant	----|----|
Lescon te s dessusdictz luyfeirentgranthon neurcommeraison	--|---⌫--⌫|----------|--|------|----|---⌫---|----|-----|
e st oitetluinenestoitpoint	-⌫--⌫--|-|--||-|-----|----|
chicheet comme n ça	-----|-|-----⌫-⌫--|
la parolledisant	-|------|-----|
ie congnois queestesgentilhomme et dela	-|-------|--|----|----------|-|-|-|
m aison de	-⌫----|-|
Leditc onte d e	----|-⌫---|-⌫|
C harro loysl uydema nd a	-⌫-----⌫---|-⌫-|----⌫--⌫|
Pourquoi monseigneur	-------|----------|
Pourcedis til que	---|-|---⌫|-|--|
qu antienuoyai	--⌫--||------|
mesemb a ssadeursà	--|---⌫-⌫-------|-|
Lislenaguères	----|--------|
deuersmononcleuostre p èreetuous	-----|--|----|-----|-⌫---|-|---|
Moruillierparla sib ienàuous	---------|----|-|-⌫--|-|---|
uousmemandastes par larceuesque	---|-|--------|--||---------|
Narbon nequi estgentilhomme illemonstrabie ncarch ascun	------⌫-|--|--|----------|-|-|------|---⌫|--|--⌫----|
se contentadeluyqueieme	-|-------|-|--|--|-|-|
rep entiro yedesparollesq ue uous auoit dictesledict	---⌫------⌫-|--|-------|-⌫-|---|----|-----|-----|
Moruil lier auantquefustl eboutdel	------⌫---|----|--|---|-⌫|---|-||
Etdistl eroy cespa rolles	-|---|-⌫|--|--|--⌫-----|
a uezten upromesseet	-⌫--|---⌫|-------|-|
encor esbeauc oupp lus tostquelebout	-----⌫-|-----⌫--|-⌫--|---|--|-|---|
Et l e di ten bonuisaig eetryant	-|-⌫|--⌫|-|--|------⌫|-|----|
cong noissantla	----⌫-------|-|
naturedecelluy	-----|-|-----|
àquiilpa rloitestre te lle qu	-|--|-|--⌫----|----|--⌫--|-|
il prendroitplaisirausdi c t es parollesetseuremen t ellesluy	-|--------|------|-----⌫-⌫-⌫-|-------|-|--------⌫|----|--|
pl eu rent	--⌫--⌫---|
E tauec telzgensuueil	-⌫|---|---|---|----|
iea uoirà	-|-⌫---|-|
bes ongnerquitiennentce	---⌫-----|--|-------|-|
quilzpromectent	-|--|---------|
Etdesauoualedict	-|-------|-----|
Mo rui llierd isa ntne luyauoir point donné	--⌫---⌫----|-⌫---⌫-|-|--|----|----|-----|
c harg e daucunesparollesquilauoitdic tes	-⌫----⌫||------|-------|-|-|----|---⌫--|
Eneffe ctlong tempsse pourmena leroyau	-|----⌫-|---|----|-|-------|-|--|-|
meillieudecesd euxconteslargem e nt	-------|-|--|-⌫--|-----|------⌫-⌫-|
gensarmézqu i l es regardoientas sezdeprès Là	---|-----|--⌫|-⌫-|----------|--⌫--|-|----|--|
fut dem andécesteduchéde	--|---⌫----|----|-----|-|
Normandi e e tla	--------⌫|-⌫|-|
riuiè rede	------⌫-|-|
plusieu r sautresdema ndes	-------⌫-⌫|-----|----⌫---|
pourchascun e t a ucu nesouu erturesiapieça	---|------|-⌫|-⌫---⌫--|---⌫------|-|-----|
f aictespour lebiend uroyaumecar	-⌫-----|---|-|---|-⌫|------|--|
cestoit la ̀le moinsde la	|-----|--⌫|-|----|-|-|
questioncarlebienpublicq ue	-------|--|-|---|-------⌫-|
e st oitco nuerty	-⌫--⌫--|--⌫-----|
enbiensp articuliers	-|----|-⌫----------|
Normandielero y	--------|-|--⌫|
ne uouloitent endre pou rnull e	-|------|---⌫----|---⌫|----⌫|
chose maisa ccordaaudictconte de	----|---|-⌫-----|-----|----|-|
Charroloys sad emandeetoffrit audictc o nte	---------|-|-⌫-----|-|-----|-----|-⌫-⌫--|
Poll officedeconnestableen	--||-----|-|----------|-|
faueur dud ictcont ed e	-----|---⌫--|----⌫|-⌫|
Charrol oisetfutleuradieutrèsgracieu x	-------⌫--|-|--|---|----|----|-------⌫|
Et seremistleroy	-|-|-----|-|--|
en sonb ateauetret ournaà	-|--|-⌫----|-|---⌫----|-|
Parisles autresà	----|--|-----|-|
Ainsi sepassèrentlesio ur sles	----|-|---------|--|--⌫--⌫|--|
ungs en trefue set les	---|-|------⌫|-|--|
autresenguerre maist outes parollesd	-----|-|-----|---|-⌫----|-------||
a ppointementestoientrom puesi	-⌫----------|-------|---⌫---||
en te ndzau	--⌫--⌫--|-|
lieuoùlesdeppu tézd unco stéet	---|--|--|-----⌫---||-|--⌫---|-|
dautre seestoi ent accoutum éz d	|----|-|-----⌫--|--------⌫--||
ass emb lerq ui e stoit	---⌫---⌫--|-⌫-|-⌫----|
Grang eaux	-----⌫|--|
M er ciers	-⌫--⌫----|
pratiquedessusdictesentre ten oit	-------|----------||-----⌫---⌫--|
entr elero yet	----⌫|-|--⌫|-|
ledi ctseigneurde	----⌫-|-------|-|
C harroloyset alloi entenuoyansgen sdel un	-⌫--------|-|-----⌫--|-------|---⌫|-||-|
àl aut r enonobsta ntqu il	-||---⌫-⌫|--------⌫-|-|-|
fustgu erre	---|--⌫---|
Etyalloitungappellé	-||-----|--|-------|
G uillaume	-⌫-------|
B ichee tun g autreappellé	-⌫---|-⌫|--⌫|----|-------|
Uisyeestans au conted e	----|-----|-|----|-⌫|
C harroloys tousd eux	-⌫--------|---|-⌫--|
Tou tesfois auoyentautresf ois rec eu	---⌫------|------|-------⌫--|---⌫-|
bien s duroy carl educ	----⌫|-|--|--|-⌫|--|
Phili ppeslesauoit	-----⌫---|--|----|
ba n nyze t l eroyles	--⌫-⌫--|-⌫|-⌫|--|--|
au oitrecueillizà	--⌫--|---------|-|
lareque stedudic t	-|-----⌫--|-----⌫|
seigneurde	-------|-|
Charrolois	---------|
C esa ll éesn e plaisoyen t	-⌫-|-⌫--⌫---|-⌫|---------⌫|
pas a ̀tous	--|-⌫|---|
et commançoient iaces sei gne ur sàse deffier l	-|------------|-|--|---⌫---⌫--⌫|-|-|------||
laisseretn eu stestécequisuruintpe ude	------|-||--⌫-|----|-|--|------|--⌫|-|
iou rs aprè silssenfussenttous alléz	---⌫-|-----⌫|--||-|------|---|-----|
honteusement	-----------|
Iele sayueuten ir trois	-|--⌫|-|--|---⌫-|----|
conseilze nunechambr eoùilzes t oien ttousassembl éz	-------|-⌫|--|------⌫|--|--|--⌫-⌫----⌫|---|-------⌫--|
etue izungiourq u ilen	-|--⌫-|--|---|-⌫|-|-|
d es pleutbien auconte d e	-⌫--⌫----|---|-|----|-⌫|
Char roloys ca ril	----⌫-----|--⌫|-|
sestoit desiaf aictdeux	|-----|----|-⌫---|---|
foi sen sapres en c e et il	---⌫|-|-|----⌫--⌫-⌫|-|-|
luysemb loit bienquelaplus grantforcede	--|----⌫---|---|--|-|---|----|----|-|
cest o stestoit s ienneetparl eren	---|-⌫-|-----|-⌫----|-|----⌫-|-|
con seilensa c hambre sansluy appelle rnese deuo it	---⌫---|-|-|-⌫-----|---|--|-------⌫|-|-|----⌫-|
point faire	----|----|
Et e npar l antle seigneur de	-|-⌫|---⌫-⌫--|-|-------|-|
Contaybiensaigehommecommeieuous ay ditailleurs	-----|---|----|----|----|-|---|-|--|-------|
luy distquille	--|---|-|-|-|
portas tpaciemmentcars	------⌫|---------|--||
illesco urroussoit qui lz	-|--|--⌫---------|-|-⌫-|
trou ueroient mieulx leurappointementqueluyet	----⌫-------|-----|---|-----------|--|--|-|
quecomm eil estoitle	--|----⌫|-|-----|-|
plus fortil failloit	---|---|-|-------|
qu ilfust le	-|-|---|-|
plussaige etqu illesgard a s tde	---|----|-|-|-|--|----⌫-⌫-⌫|-|
diu iseretentrete ni rioinctzde	---⌫---|-|-------⌫--⌫|------|-|
tout sonpouoir	---|--|-----|
etquil d issimula st	-|-|-|-⌫--------⌫-|
to utescesch osesmaisq ue	--⌫---|--|--⌫---|---|-⌫-|
a ̀lauer itél	-⌫|-|---⌫---||
ons esbahissoitassez	-||----------|----|
e tmesmementche z l u yd equ oysi	-⌫|--------|---⌫|-⌫-⌫|-⌫|--⌫-|-|
petiz personnaigesc ommeles deuxdes sus nommézsem pe schoyent	----|-----------|-⌫---|--|---|---⌫--|------||--⌫--⌫-------|
desigran tmatière	-|-|----⌫|-------|
e tquecestoitchose	-⌫|--||-----|----|
danger euseencoresayant affai reàr oy s i	------⌫---|------|----|-----⌫-|-|-⌫-|-⌫|
liberal com me	------|---⌫-|
Contayhayait	-----|-----|
Bischetoutesf o is ild isoitcequeplusie ursautresd iso ye nt	-----|-------⌫-⌫-|-|-⌫----|-|--|------⌫--|-----|-⌫---⌫--⌫-|
comme luyetcroy qu e sasuspic ionne l	----|--|-|---|--⌫|-|------⌫--|-||
enfaisoitparl ermais se uleme ntlane cess it é	-|------|----⌫-|---|--⌫-----⌫-|-|--⌫----⌫--⌫-|
de lama tière	-|-|--⌫-----|
Audict sei gneurde	-----|---⌫----|-|
Charroloyspl eut	---------|--⌫--|
ce c onseiletsemist	-|-⌫-----|-|-|---|
plusdefe st eaue cquesc esseig neu rsquep ar a u ant	---|-|--⌫--⌫|---⌫----|-⌫-|----⌫---⌫-|--|-⌫-|-⌫-⌫--|
et auecquesmeilleure	-|-------|--------|
chère e teutplusdecommunications	-----|-⌫|--|---|-|-------------|
auec eulxetleursgens	---|---|-|----|---|
quilnauoit	-|-||----|
ac cou stumé	--⌫---⌫-----|
Et àmonaduis quilenestoit	-|-|--|----|-|-|-|-----|
grantbeso ing et	----|----⌫--|-|
dangerquilz nesefussentseparéz	-----|-|--|-|-|------|-------|
Ungsaigeho mmese rtbienen une tellecompaign iemais	--|----|--⌫--|--⌫-|---|-|--|----|--------⌫-|---|
que on leuueillecroyreetnesepourro i ttro p	--|-|-|------|-----|-|-|-|------⌫-⌫|---⌫|
Maisiamaisie nay	---|-----|-||-|
congneuprincequi ait	------|-----|--|--|
sceu congnoistre l adifferencee ntreleshomm esi usquesàc e	---|----------|-⌫|---------|-⌫---|--|----⌫-|-⌫-----|-|-⌫|
quilsesoittrouuéennecessitéet	-|-|-|---|------|-|---------|-|
enaffai reetsilz le	-|-----⌫-|-||--|-|
congnoissoient silignoroientilz	-------------|-||---------|--|
e t departent	-⌫|--------|
leura utoritéàceulxqui plusleu rs	---|-⌫-------|-|----|--|---|---⌫-|
son tagreables etpour	---⌫|--------|-|---|
laagequileu r estplus sor table	|---|--|---⌫|--|---|---⌫----|
ou po ur estre co mprins enleurs	-|--⌫-|----|--⌫-----|-|----|
op pinion souau cunes fois sontmanyézp arce ulxqui	--⌫------⌫|-|--⌫----|---|---|------|-⌫-|--⌫--|--|
sçauentetconduyse ntleu rspe tiz pla isi rs	-------|-|--------⌫-|---⌫-|--⌫--|---⌫---⌫-|
Maisc eulxqui ont	---|-⌫---|--|--|
entendements e reuiennenttostquant	----------|-⌫|---------|---|----|
ilz enontbesoing	--|-|--|------|
Telzay ie ueule	---|-|-|--|-|
royle dictconte de	--|--⌫---|----|-|
Ch arrol oispour le temps delor setle	--⌫-----⌫--|---|-|----|-|---⌫|-|-|
A n glet erreet au tresplusieur s	-⌫-⌫----⌫---|-|--⌫---|--------⌫|
Et àte lle	-|-|--⌫--|
heureayieu euces	----|-|-|-⌫-|--|
troisquilleur enestoit	----|-|-|---|-|-----|
bon bes oingetquilz auo ientfaultede ceulx	--|---⌫---|-|-|--|---⌫---|-----|-|----|
quilzauo ientmespriséz	-|--|---⌫---|---------|
Etdepuis que le dit cont ede	-|-----|--|--⌫--|----⌫|-|
C harrolois eustestéunepie ̀ceduc de	-⌫--------|---|----|--|---⌫--|--|-|
Bourgogne etq ue	--------|-|-⌫-|
l af ortuneleust mysplus	-⌫|-⌫-----||---|--|---|
hau ltquen e fut	---⌫-|--|-⌫|--|
iamai shommed esamaison et	-----⌫|----|-⌫|-|-----|-|
sigrandquiln ecraignoit	-|----|-|-|-⌫|--------|
nu lprincepareilde lu y	--⌫|-----|-----|-|--⌫|
Di e ulesouffrit cheo iren cestegloi reettantluy	--⌫-⌫|-|-------|----⌫-|-|----|----⌫-|-|---|--|
diminuadusensquilmespr isoi t toutautr econseil	------|-|---|-|-|-----⌫----⌫|---|----⌫|------|
dumonde sa uflesien seul	-|----|--⌫-|-|---|---|
Et a us sitost	-|-⌫--⌫-|---|
a prèsfina sa uie	-⌫----|---|-|--|
doloreusementauecquesgr an t	------------|-------|--⌫--⌫|
nombred egens	-----|-⌫|---|
etde sessubiectze t desolasamaison	-|-|--|-------|-⌫|-----|-|-----|
com me uo us uoyezÉuénements de	---⌫-|--⌫-|----|-----------|-|
Norman d ie	------⌫-⌫-|
Suitedesne ́gociatio n s	----|--|--⌫---------⌫-⌫|
Pou rceque icy dessus iay	---⌫|-|--|--|-----||-|
beaucouppa rlé des dangiersqu ison tence straictéz et	-------|--⌫---|--|-------|--⌫|---⌫|-|--⌫|--------|-|
quepri ncesydoiuentestrebi ensaigesetbie n	--|---⌫---||------|----|--⌫-|-----|-|---⌫|
co ng noistre que lzgens les meinentet pa respecialceluyqui	--⌫--⌫------|---⌫-|---|--|------|-|--⌫|-------|----|--|
l e pl usapparantdu	-⌫|--⌫-|-------|-|
ieuma int enan ts	--|--⌫---⌫----⌫||
entendra qui m a meu deten irsi	-------|--|||--|-|---⌫-|-|
lon g c ompte deces tem atiè re	---⌫|-⌫----|-|---⌫-|-⌫-----⌫-|
Cep endantque ces traicti ez semenoientparuoyesdassemblées	---⌫-----|--|--|-------⌫-|-|-------|--|----||----------|
et quelonpouoit	-|--||-|-----|
co mmuniquer lesungs	--⌫--------|--|---|
auec les autrese nl ieudet ra icterpaixse	---|--|-----|-⌫|-⌫--|-|-⌫--⌫----|---|-|
traic tapar	-----⌫-|--|
a ucunsquele duchéde	-⌫----|--|-|-----|-|
Norma ndiese m ectroitentreles ma insduduc	-----⌫---|-|-⌫------|----|--|--⌫--|-|--|
Berryseu l	----|---⌫|
frère du royet	-----|-|--|-|
prendro itsonpartaigeet	-------⌫-|--|-------|-|
lai sseroit	---⌫------|
Berrya uroy	----|-⌫|--|
Ett e llement	-|-⌫-⌫------|
futc onduyc tecestemarchand isequemadamela	--|-⌫------⌫-|----|--------⌫--|--|-----|-|
grantseneschall ede	----|----------⌫|-|
N ormandie e taucunsà	-⌫-------|-⌫|-----|-|
comme seruiteur setparentzmi sdrentle duc	----|---------⌫|-|------|--⌫-----|-|--|
Bourbon auchasteaud e	------|-|-------|-⌫|
Rouen etparlàentraen	----|-|--|--|----|-|
Laquellet ost	-------|-⌫--|
consen tit à ceste mut atio nco mmetropdesiran tdauoir prince	------⌫--|-|----|---⌫----⌫|--⌫--|---|-------⌫||----|-----|
qu idem ourast aupay sde	--⌫|---⌫-----|-|---⌫|-|
Normandie et	--------|-|
l ese mblable feiren t tou tesles u illeset placesd e	-⌫|--⌫------|------⌫|---⌫--|--|-⌫----|-|-----|-⌫|
Nor mandieoupeu	---⌫-----|-|--|
senfaillut	|-|------|
Etatoui oursbiensem blé aux	-||----⌫---|---|---⌫---|--|
Normans et faitencores	------|-|---|------|
que sigr antduché c o mmelaleurre quiert	--|-|--⌫--|-----|-⌫-⌫--|-|---|--⌫-----|
duc etàdirelaueri téelleest	--|-|-|---|-|----⌫--|---|--|
de grante stimeet se	-|----|-⌫----|-|-|
y l i ue n t de	|-⌫-⌫--⌫-⌫|-|
grans denier s	----|------⌫|
ayueu leuerixcens cinquantemillefrancsauc unsdisoient	-|--|----|-|---|--------|----|-----|---⌫--|-------|
Tournéequ ef utlau illed e	-------|--⌫|-⌫-|-|-⌫---|-⌫|
Rou en tousle shabit ans f eirent	---⌫-|---|--⌫|-----⌫--|-⌫-----|
sermentaudictducde	------|-----|--|-|
Bourbon pourledict duc de	------|---|-----|--|-|
le baillyappelé	-|-----|------|
Oua ste quiau oitesténourr yduroyso nuarlet	---⌫--|--|--⌫--|----|-----⌫|-|--|--⌫|-----|
de chambrel uy estant en	-|------|-⌫-|-----|-|
Fl andreset bie npriué deluyet ungappellé	--⌫-----|-|---⌫|-----|-|--|-|--|-------|
Picqu artpuisge n eralde	-----⌫--|---|--⌫-⌫---|-|
Et aussi le	-|----|-|
gr antsen eschalde	--⌫--|---⌫-----|-|
Normandiequiestauiourduy neuoulut	--------|--|--|--------|-|-----|
fairele serment maisretour nauersleroy	----|-|------|---|------⌫-|---|-|--|
contre leuou loird esa m e ̀relaquelleauoit	-----|-|---⌫---|-⌫|-|-⌫-⌫--|-------|----|
conduytce ste reductioncom me ditest	------|--⌫--|--------|---⌫-|--|--|
uenueàlacongnoiss ancedu	----|-|-|---------⌫---|-|
ro y lamutat ion faic teen	--⌫|-|-----⌫--|----⌫-|-|
Normandiesedelib éra	--------|-|-----⌫---|
da uoirpaixuo yantnepo u o irdon nerremeddeà	|-⌫---|---|--⌫---|-|--⌫-⌫-⌫-|---⌫--|------|-|
cequ eia ̀ estoit	-|--⌫|--⌫|-----|
Incontinentfis t	----------|---⌫|
sçauoira ̀ mondict seigneurde	-------|-⌫|------|-------|-|
Charroloysqu i	---------|--⌫|
est oitensonost quil	---⌫--|-|--|--|-|-|
uouloitparlera ̀luy etluinommalheur e	------|-----|-⌫|--|-|--|----||----⌫|
qu ilse rendr oit a ux cham psaup re ̀ s	-|-|-|-----⌫--|-⌫-|----⌫-|---⌫--⌫-⌫|
d udictost	-⌫----|--|
e stan tprès	-⌫----⌫|----|
E t sa illità heuredicteaue cpar aduenturece nt	-⌫|--⌫----|-|----|----|---⌫|--|--------|--⌫-|
cheuaulxdont	-------|---|
lapluspartestoitdes	-|-------|-----|--|
Es cossoys de	--⌫------|-|
sagardedautresg enspeu	-|----||-----|-⌫--|--|
Ledictc onte de	-----|-⌫---|-|
Charroloys nemenaguèresge ns et yallasans	---------|-|---|------|--⌫-|-||---|---|
nulle cer imonie tout esfois il ensuruint	----|---⌫-----|----⌫-----|-|-|------|
bea uco upettantquil	---⌫---⌫-|-|---|-|-|
en y auoitbeau co up plusquil	-||----|----⌫--⌫-|---|-|-|
nenestoitsaillyauecques leroy	|-|-----|-----|-------|-|--|
Illesfistd emourer ung petit loinget	-|--|---|-⌫------|--|----|----|-|
se pourmenèren t eulxdeuxunep i èc ee t luydist	-|------------⌫|---|---|--|-⌫-⌫---⌫|-⌫|--|---|
l eroycomme	-⌫|--|----|
lapaixestoitfai cteetluic ompta cecas	-|---|-----|---⌫--|-|--|-⌫----|-|--|
qui estoi taduenu à	--|-----⌫|-----|-|
Rouendont l edictcon te ne sçauoi tencoresriensdisant	----|---|-⌫----|---⌫-|-|-------⌫|------|----|-----|
leroyquede	-|--|--|-|
sonco nsentement	--|--⌫---------|
n eus tiamais baillé	|---⌫|-----|------|
t elpartaigeà son frèremaispuisque	-⌫-|-------|-|--|-----|---|------|
d eulx m esmesles	|---|-⌫----|--|
Norma nsauoyentfaictcestenou al itéqu ilenestoit	-----⌫-|------|----|----|---⌫--⌫---|-|-|-|-----|
con t antetqu i lpa sse roi tletraicte ́	---⌫-⌫--|-|-|-⌫|--⌫---⌫---⌫|-|-------⌫|
ent outetelleforme	-|-⌫---|----|----|
commeil auoitest éaduisé	----|-|----|---⌫-|------|
parplusi eur s iournéesprecédentes	--|-----⌫---⌫|--------|-----------|
Etpeudautr eschosesyauoità acc order	-|--||----⌫-|-----||----|-|---⌫----|
Ledictsei gneurde	-----|---⌫----|-|
Ch a rroloysen fut fort ioye ux	--⌫-⌫------|-|--|---|----⌫-|
ca r son ost es t oite ntrès gr andeneces sité	--⌫|--|--|--⌫-⌫--|-⌫|----|--⌫---|-----⌫----|
de uiur e setprincipallement	-|----⌫-⌫|-|--------------|
da rgentet quant cecyne fus taduenu	|-⌫----|-|----|---|-|---⌫|-----|
tout ta ntquily auoi t	---|--⌫-|-|-||----⌫|
là de sei gne urssenfuss en tt ousalléz	--|-|---⌫---⌫--||-|----⌫--⌫|-⌫--|-----|
hont eusement	----⌫-------|
To u tes foysaudic t co n tearriuaceiour ou bien peu	--⌫-⌫---⌫---|-----⌫|--⌫-⌫-|-----|-|---|-|---|--|
d eio ursaprès	-⌫|--⌫--|-----|
ungrenfo rt queso n père	--|-----⌫-|--|--⌫|----|
Ph ilip pesde	--⌫----⌫--|-|
Bo urgongnelui	--⌫-------|--|
enuoy o i tque	-----⌫-⌫-⌫|--|
amen oit m onsrde	----⌫--|-⌫---|-|
Sau eusesoù ilyauoi t s ixuingtzho m mesdarmes	---⌫----|--|-||----⌫|-⌫-|-----|--⌫-⌫--||----|
etbie nq uinzecensarchersetsi xuingtzmilescuz	-|---⌫|-⌫----|---|------|-|--⌫|-----|--|----|
co ntanssur dixsommiersetgrantqua ntite ́da rcs	--⌫----|--|--|-------|-|----|---⌫-----⌫||-⌫--|
et d e traictz	-|-⌫|------|
etsepouruoyoi t assezbien lost des	-|-|---------⌫|----|---||--|--|
Bourguygnons esta nte n deffiancequ e le	-----------|----⌫-|-⌫|--------|--⌫|-|
demourantnese	--------|-|-|
accordastsans eulx	--------|---|---|
Ces parolles	--|-------|
d appoinctementplaisoyenttant auroyetaudic t conte	|------------|---------|---|-|--|-|-----⌫|----|
Charrolo ysqueiel uyay ouy	--------⌫-|--|-|-⌫-|-|--|
compterdepuisque	------|-----|--|
s iaffe ctueusementpa rloient	-⌫|----⌫----------|--⌫------|
de acheuer led e mourant quilznere gardoien tp ointoù	-|------|-|-⌫-⌫------|-|--|-|--⌫--------⌫|-⌫---|--|
ilz alloi entettire ̀ rent droitdeuers	--|-----⌫--|-|----⌫-⌫---|----|-----|
Pariset tantallè rent qu i lz	----|-|---|-----⌫---|-|-⌫-|
entrèrent dedans un ggrantboulleuartde terre etde	---------|-----|--⌫|----|---------|-|----|-|-|
auoitfaitfaireassez	----|---|----|----|
l oinghorsde	-⌫---|---|-|
a ubout dunetranchéeet	-⌫|---||--|--------|-|
en troitl ondedansla uilleparicelle	--⌫----||-|-----|-|----|--|-----|
Auecques ledictcon te	-------|-----|---⌫-|
esto yen tq uatreou cinqpersonne sseu llement	----⌫---⌫|-⌫----|-|---|--------⌫|---⌫------|
Commeilzs etrouuèren t	----|--|-⌫|----------⌫|
le ans furenttrèsesh abyz toutesfoisledictc ontetenoit	--⌫--|-----|----|---⌫---|---------|-----|-⌫---|-----|
lameil leure	-|----⌫----|
co nten anceq uil pouoit	--⌫----⌫---|-⌫|-|-----|
à croi re quenuld eces deux	-|----⌫-|--|--|-⌫|--|---|
seigneursne son t	--------|-|---⌫|
ac reü z deioy depuiscete m psl àueu ̈ que	--⌫----⌫|-|--|-----|-|--⌫-⌫-|-⌫-|---⌫|--|
àlunnelau tre	-||-|-||--⌫--|
neprintm a l	-|----|-⌫-⌫|
Commel esnouuel lesuindrent àl	----|-⌫-|------⌫--|-------|-||
ostque ledict seigneurde	--|--|-----|-------|-|
Charroloys est oitentrédedansledict	---------|---⌫--|-----|-----|-----|
bou lleuarti lyeuttr e ̀sgrandmurmu reet	---⌫------|-⌫||--|--⌫-⌫-|----|-----⌫-|-|
semisdr ent	-|-----⌫--|
ensemb leleconted e	------⌫-|-|----|-⌫|
Poll e mareschalde	--|-⌫|--------|-|
Bo urgongneles eigneur	--⌫-------|-|-⌫------|
Contayleseigneurde	-----|-|-------|-|
Hautbourdi netplus ieursautres d onnansgrantch ar g eaudict seigneurde	----------⌫|-|----⌫----|-----|-⌫-----|----|--⌫--⌫-⌫|-----|-------|-|
Charroloy sde ceste	---------⌫|-|----|
follyee tautre sq uies toyentde	-----|-⌫|-----⌫|-⌫-|--⌫-----|-|
