enl ennordelatrinite	-||----|-|-|------|
etcommegerbesen ao ustgesoient	-|----|-----|-|--⌫--|-------|
ildeboutenb outciuint deuz ce nzci	-|-|---|-|-⌫--|-|---|---|--⌫-|-|
q u atreuinsuns enunset	-⌫-⌫---|---|--|-|--|-|
a utr essouuins.	-⌫---⌫-|------||
amortsa nz copferir s emire nt laou	|---|--⌫-|--|----|-⌫|----⌫-|-|-|
ilueoientet ui rentq uechascun quilasadreco it	-|------|-|--⌫---|-⌫-|------|--|-||------⌫-|
cheoitne pl us nese	-----|-|--⌫-|-|-|
meschascuna insile	--|------|-⌫---|-|
fesoitporcequenulsi ne uo uloitsoi	-----|--|-|--|--|-|-|--⌫----|--|
retrairen eretorner po rce	-------|-⌫|-------|--⌫|-|
pouisttorner	-----|-----|
nareprouchen	||--------||
l amortmistrent deua nt lauieh elas	-⌫|---|-------|----⌫-|-|--|-⌫---|
enlor hardicorage .	-|--|----|-----||
or entlenn orsanzuasselageles flam anzquiles	--⌫--||---⌫-|---|--------|--|----⌫--|--|--|
regardoi ent commententrelz sentretuoient.	--------⌫--|------|---|--||-----------||
tel h ar diecefufolie	--|-⌫--⌫----|-|----|
mesfo rsenerie.	--|--⌫-------||
car desensnouurere ntilpoi nt a	--|-|---||-------⌫-|-|---⌫-||
celeh eurene acepoint.	---|-⌫---|-||-|----||
contedar tois t udemor ras	----||--⌫---|-⌫|-----⌫--|
donfran ce doit bien direl asqui auo i es	--|----⌫-|---|---|---|-⌫-|--|---⌫-⌫-|
entoutesterreseste ́etforni toutesg uer r es	-|-----|-----|----⌫|-|----|-----|-⌫---⌫-⌫-|
enk alabre encezille	-|-⌫-----|-|------|
n au oitchastiauc i tene ui lle qui	|--⌫--|-------|-⌫-⌫-|-|--⌫--|--|
nep arlas t	-|-⌫-----⌫|
encoredientilqu e	-----|----|-|--⌫|
estcequetexho ns estai nsifinezqui	--|-|--|--|--⌫-|--|--⌫--|----|--|
nepot estree xte rminezne	-|--|----|-⌫---⌫-----|-|
parn ulassa ut desco nfit	--|-⌫-|----⌫-|-----⌫---|
ces t uoirce	|--⌫|---|-|
qu ilotil le f ist il ot	-|-|-|-|-|-⌫--|-|-|
uict oiree tfuuai ncu e t	----⌫---|-⌫|-|---⌫--|-⌫|
sini otpercié escum essoi et	-|||-|------|---|-⌫-|--|-|
lesautresperdi .	--|-----|----||
ausi sonpereie	---|--|---|-|
ledi siseperdiala	-|-|-|-|----||-|
macourre que nul si	-------|--|--|-|
nelenpotse courr e	-||-|--|--⌫-----⌫|
etauecce luila noblecedefranceetla plu s	-|---|--⌫--|-|------|-|-----|-|-|---⌫|
grantrichece .	----|------||
resemblaau per e.	-------|-|---⌫||
acou rtrai	|---⌫----|
fran celecompe rede genzdehernois	----⌫-|-|-----⌫-|-|---|-|------|
dec heuax .	-|-⌫----||
a utantdebons en ronceuax	-⌫----|-|---|-|-------|
cesachiez uous	-|------|---|
morscarci l uen d ire ntbien lormors	---|--|--⌫|---⌫-⌫---⌫-|---|--|---|
mescelzcipiq uie zde morerenttouzmors n e	--|---|-|---⌫---⌫|--⌫-------|---|---|-⌫|
lormortn euengierentn	--|---|-⌫|---------||
o nquesp uiselne fuuengiee .	-⌫----|-⌫--|-|-|-|------||
esta insidemouree	--|-⌫---|-------|
plusap erduqui pl u samisetles mors	---||-⌫---|--|--⌫-⌫||--|-|--|---|
sinontnusamis .	-||--|--|---||
a celiorquantnousm esche imaint	|--|--|----|---|-⌫-----⌫|----|
grant gentilhome	----|-----|---|
icheimello	|---|----|
re nautiehan debr ulas	--⌫---|----|-|--⌫---|
chambella nc netereculas	---------⌫-|-|-|------|
tousuousmeistes la	---|---|------|-|
cordeoucol	----|-|--|
mesireiaq ues	-|---|---⌫--|
de saint p ol	-|----|-⌫-|
fu membrea membre toutdero uz	-|-----||-----|---|----⌫-|
commenciéauoi tleco ur rouzparcou stumespar m alusagesdo nt	---------|----⌫|-|--⌫--⌫---|--|---⌫-----|--|-⌫-|-----|--⌫-|
a cort ray	|----⌫--|
etmain hauthom me ag rantmech iequimour urent	-|---|---|---⌫-||-⌫---|----⌫-|--|----⌫----|
cefueniui gnet la iornee	-|-|-|---⌫---|-|-----|
festeestremembre e saintbe neoit	----|--|--------⌫|----|--⌫----|
beneiconfutorne e maleicon	-------|-|-----⌫|-------|
ausfrancoiscardi exsileu olt.	--|-------|--|--⌫-|-|-|-⌫--||
ne contre ster ho mm e nespot	-|------⌫---|--⌫--⌫||-|--|
contredieuneuaut nulefor ceetcil est	-----|---|-|---|---|---⌫-|-|--|--|
i esfo rce.	|----⌫--||
laforcelorsnefupaslor s i m orurent a	-|----|---|-|-|--|--|-⌫|-⌫------||
grantdou loret mains au tressise n f ouirent.	----|---⌫--|-|----|--⌫---|-||-⌫|-⌫------||
ie ne sa i	-|-|--⌫|
honnorfi r ent ou	-----|--⌫-⌫--|-|
lorp r oufitou lo ruergoignequantil uirentcele besoi ngne	--|-⌫-⌫----|-|--⌫|--------|----|-|-----|---|-----⌫---|
deceneueillsen tenc e r endre m iex	-|-|-|----|---⌫----⌫|-⌫----|-⌫--|
uautfouir que malatendr e etr ecule r	---|----|--|--|------⌫|-|-⌫-----⌫|
pormiex ferir .	--|---|----||
mes lenredist miexua utmorirahonn orqu	--|--|-----|---|--⌫-|----||----⌫-|-|
adeshonno r u iure .	|--------⌫|-⌫---||
endroit d e moyiemen deli ur e	------|-⌫|--|-||-|----⌫--⌫|
hon nes tement qui setueescientement	---⌫---⌫-----|--|-|--|-----------|
tienga homicide.	----||-------||
etceluiquil aplaceuuidequant iluoit	-|----|--|-⌫|----|----|----|-|---|
q ueriensnepuetf erelenne lidoit	-⌫-|----|-|---|-⌫--|--|-|-|---|
iamesretraire nan	----|-------||-|
m auuestie na	-⌫-------|||
coua rdiecaren c ombatreailmestr ie	----⌫---|--|-|-⌫------||-|-----⌫-|
etmiex uautun	-|---|---|-|
sageenbatail lequec elui qui fier t et	---|-|------⌫-|--|-⌫---|--|----⌫|-|
qui ma ille.	--|--⌫---||
sensetfor cesontbien	---|-|---⌫-|---|---|
ensemb lemesforce	------⌫-|--|----|
sanzsen smeresem blecar	---|---⌫|-|-----⌫--|--|
dauentureou testerie	|-------|-|-------|
qui mie n e uautune	--|--|-⌫|---|--|
q uens desaintpolquens de	-⌫---|-|----|--|----|-|
boulognequens dechamp aigneq uens	-------|----|-|-----⌫----|-⌫---|
de borgoign eet dedyuerse s	-|--------⌫|-|-|-------⌫|
nascio ns quiretor nerentlestalonsil	------⌫-|--|-----⌫-----|--|-----|-|
firentsen snonpasfoliequan tne lor porentfere	-----|---⌫|--|--|----|----⌫|-|--|-----|---|
ayequipotesch ape r	--|--|--|----⌫---⌫|
lorsf urentfla me nsesioui quant il uirent francois	---|-⌫----|---⌫--⌫-|-----|----|-|-----|-------|
esparspar le paisdetoutes	-----|--|-|---|-|-----|
auga aingc e sont adonn é	-|--⌫---|-⌫|---|-----⌫-|
d esgarnisonsce sont	-⌫-|--------|-|---|
d onnéd armeuresagrantfoison	-⌫----||-------||----|-----|
ontc hascunmi sen sameson	--|-⌫-----|--⌫|-|-|----|
de riches ioiaxetd auoir- ie	-|-----|----|-||----||-|
le puisbien dir edeuo iroren t flamenset	-|---|---|---⌫|-|--⌫-|----⌫|------|-|
leconquirentquautresgenzon ques tan tfirent degrant	-|---------|-|-----|---|--⌫---|---⌫|-----|-|----|
gaainga uns euli or.	-----||-|-⌫--|-⌫-||
les destri er s oren tdeseiorta qleshauberset	--|------⌫--⌫|----⌫|-|----|--⌫---|------|-|
le sespeeslesmeillorsles plus esproueestu it furentausi	--⌫|-----|--|-------|--|---|--------|--⌫-|-----|---|
plain comquoss e.	----|--|-----⌫||
sanzenterrersa nz	---|-------|--⌫-|
metre enfossed escheualier s ded a mo i si a xremain drent	----|-|----|-⌫-|---------⌫|-|-⌫-⌫--⌫-⌫--⌫-⌫|------⌫----|
ausoisiax .	--|-----||
senfurentfl amensdu	|-|-----|--⌫----|-|
leurric h esdont	---|---⌫-⌫-|---|
larges non paschiches	-----|--|--|------|
et m aint homm eenont	-|-⌫---|----⌫|-|--|
soudoi e rcarlargeme ntseue nt pai e r.	------⌫-⌫|--|-------⌫-|----⌫-|---⌫-⌫||
mes leroy-c h ascun sile tri cheen	--|-|--||-⌫-⌫----|-|-|---⌫--|-|
auoit mo uche etbiche qui	----|--⌫---|-|----|--|
dure men t l ont esmouch ié.	----⌫---⌫||--|-------⌫--||
s iloraleroy	-⌫|--||-|--|
tout couch i ésiendem o ura	---|-----⌫-⌫-|-|-|---⌫-⌫--|
sa n z argen t .	--⌫-⌫|-----⌫||
maintgentilhom me enests ergentquiuaittrotant	----|-----|---⌫-|-|--|-⌫-----|--|---|------|
sanz lance.	---|----||
gentil zroyqu eortauanceprende	------⌫|--|--⌫|-||-----|---|-|
tesdeuanciersme moir emet ton	--|---------|--⌫----⌫|--|--|
cueren auoir uictoirenetatant mieiu sques	---|-|----|-------|-||----|--|--⌫----|
tantqu ent r	---|-|---⌫|
elzse uoisentde ga stantcarceseroit	--|-|------|--⌫--⌫----|--|-|-----|
foleatend anc e .	---|-----⌫---⌫||
il son t touzgentde	-|---⌫|---|---|-|
po ruea nce	--⌫----⌫--|
sinedeue zpassireat endrequil	-|-|----⌫|--|---|--⌫----|-|-|
se ueillenta mercirendr e.	-|-------||----|-----⌫||
pe nsezde uezen lor mesfet	--⌫---|--⌫--|-|--|-----|
et qu ee ncor nauezr iens	-|--⌫|-⌫---||---|-⌫---|
fetneprisdeuos gen z la	--|-|---|-|--|---⌫|-|
u en iance dontfrancois sont a	-⌫--⌫----|---|-------|---||
gran t wi tance	----⌫|--⌫----|
c epoisemoiqua nt	-⌫|----|--|---⌫-|
i e ledi mesri ensplusque	-⌫|-|-|--|--⌫--|---|--|
leauxxxn anulaco rtnecordancen	-|-|--|||--|---⌫-|-|-------||
aura iafl andres adoucefrance	---|-|--⌫-----||----|-----|
anco isse ra franceu angiee .	----⌫-|--⌫-|-----|-⌫-----||
d u rtemp sdurio ret	-⌫-⌫|----⌫|--|--⌫|-|
dur eanne e q ue cel me schieffu ainsifet	---⌫|----⌫|-⌫-|--|--⌫-----|-|----|--|
quetauo ns nou s meffetfortune	--||---⌫-|---⌫|-----|------|
enuerstrestouz nos cou ra n soliu iers	-----|-------|--|---⌫--⌫-⌫|----⌫---|
oliu ie rsn	----⌫--⌫-||
a uons ne rollan z	-⌫---|-|------⌫|
dontnou s auons les	---|---⌫|----|--|
cuer s dola nz .	----⌫|----⌫-||
chetiuegent etde pi etailledesnostres	------|---|-|-|--⌫------|--|------|
ontleué la taille	--|----|-|-----|
d e mal eeu refuleure n eequa nt	-⌫|---⌫|--⌫-|-||---|-⌫-|---⌫-|
ilpr is trentt el charbonneeacreancesanzriens	-|--⌫--⌫----|-⌫-|---------||------|---|----|
roy lecuerauezeubraier	--|-|---|---|-|-----|
pensséses fosses	-------|-|-----|
de cour tray cepoisemoiquant	-|----⌫---|-|----|--|----|
leretr a y.	-|----⌫-⌫||
lafu rentf aislesgranz deluges	-|--⌫---|-⌫--|--|----|------|
su snos genz d esflamanzdebru ges .	--⌫|--|---|-⌫-|------|-|---⌫--||
ioie enon t sie nfont	---|-|--⌫|-|-⌫|---|
lamoeetdient roy	-|--|-|----|--|
quedela ioue	--|-|-|---|
dor me zetcelzd e flandre sueillent.	---⌫--⌫|-|---|-⌫|-------⌫|-------||
mainte sgenzsis e ne smerueille ntquantflamanz	------⌫|---|-||-⌫|-⌫----------⌫-|----|------|
nous uont reprouchant .	---|---|----------||
r oy labesoingneuet c loch ant neiene autre	-⌫-|-|--------|--|-⌫----⌫--|-|-|-|----|
niuoi t goute	||---⌫|----|
lunt ireauant et l	|-|-⌫--|----|-||
autrebouteetce deuantsi	----|----|-|-|-----|-|
ua derrie re commelegieu	-|------⌫-|----|-|---|
uous ne pouez	---|-|----|
estresanzguile	----|---|----|
enbou rceniae tenuille	-|---⌫-|-|||-⌫|-|----|
e n uoscha stiaus	-⌫|--|---⌫-----|
en uoscitezsont	-|--|----|---|
traitres-cestue ritez	-------|||--|--⌫----|
dontuo us estes	---|--⌫-|----|
d eseritez .	-⌫-------||
pa sne uoustienne nta mistez uos	--⌫|-|---|------⌫-|-⌫-----|--|
genzsiresediex	---|---|-|---|
tr ahize stes -cha cun le pense caruers	--⌫---|-⌫---||---⌫--|-|----|--|---|
uousc hascuns edeuine paruos c haua liers de	---|-⌫-----|-⌫|-----|--|--|-⌫----⌫----|-|
cuysinequisontde lez	------|--|---|--⌫--|
uous aucouchier.	---|-|-------||
seu ssiez esmouchierh orsd auec uo uslesgetissie z	---⌫----|---------|-⌫--||---|--⌫-|--|--------⌫|
etauequ esuo useuss iez gen z del oiaut eet d	-|-----⌫-|--⌫-|----⌫--|---⌫|-|-⌫-----⌫|-||
e nnor quineuo u siss entde shonno retuengissie zuostre	-⌫---|--|-|--⌫-⌫----⌫--|--⌫------⌫|-|---------⌫|-----|
grant h onte	----|-⌫---|
que flamensuousontf ets anzconte	--|------|---|--|-⌫-|-⌫--|----|
et enco refon tdeior eniour.	-|----⌫-|---⌫|-|--|-|---||
uo sgenznelessent asei ournene	--⌫|---|-|------||---⌫--|-|-|
finent de menacieretuous	-----|-|-------|-|---|
nef ete sque c hacier .	-|-⌫---⌫|--|-⌫-----||
selesboy s ne	-|--|---⌫|-|
lessiezqu e	------|--⌫|
de uosplainslai rezassezcarcelz sonttrespassezet	-|--|-----|---⌫--|----|--|---|---|---------|-|
morsq u iaudefendreesto ientf orsdon t mainteterre	---|-⌫-⌫|-|-------|----⌫---|-⌫--|---⌫|-----|----|
e tmaintpai s	-⌫|----|---⌫|
e n estdemourezesb ahizet maintepe rsonne	-⌫|--|-------|---⌫---|-|-----|--⌫-----|
orfelinede	-------|-|
courtray q uimaunous	-------|-⌫-|--|---|
deuin eetmaintedamee nu eu uete.	-----⌫|-|-----|---|-⌫|-⌫--⌫---||
cefuen iuingneten est e iour	-|-|-|-------|-|---⌫|---|
saintbeneoit i elediqui lors fuaun	----|------|-⌫|-|-|--|---|-||-|
mes crediu n eior ne emolt am ere ou	---⌫----|-⌫-⌫|---⌫--⌫|---|--⌫--|-|
maint enfant perdisonpere et ma inte	----|-----|----|--|---|-|--⌫---|
fameso nmari	---|--⌫|---|
lademort nulni	-|-|---|--|||
nonquesnioren tcymetieremescommecheuax en	|-----|||----⌫|--------|--|----|-----|-|
litie redemor erentaualle scha n z	-----⌫-|-----⌫----|---|--⌫|---⌫-⌫|
ou niot nisonnenechanzne sautier	-|||-|-|----|-|----|-|------|
por elzni otl i tnebiereportee	--|--|||-|-⌫-⌫|-|----|-----|
ne litno frand efetea	-|--||-⌫-----⌫|---||
ch apelain .	--⌫------||
s i demoure rentenpelain lescors	-⌫|-------⌫---|-|-----|--|---|
sines ai que iediedes	-|-|-⌫-|--|-|--|--|
amess e eles son te n uiece st en	---|-⌫|---|---⌫|-⌫|--||-⌫-|-|
ioieou en doulor	---|-|-|-----|
delunepa rt	-||--|--⌫-|
coulor quin	-----|-|||
ade lautr es i	|-||----⌫|-⌫|
endieuti ent c este	-|---|--⌫--|-⌫---|
ch ose toute	--⌫--|----|
quiuolt que	--|---|--|
la tantep ersonneperdi stde fra nce la	-|----|-⌫------|-----⌫-|-|---⌫--|-|
c ouronne.	-⌫------||
onque snefutel pe rte francede sbon se n est	-----⌫|-|-|--|--⌫--|-----|--⌫|---⌫|-⌫|--|
de serte .	--⌫----||
lesco uarslascheset re mis sont demouré	--|--⌫---|------|-|--⌫--|---|-------|
mes les amis gi sentasch a nz sanzauoirbiere	--|--|---|--⌫---|-|--⌫-⌫-|---|----|----|
ne nulnest qui	-|--||--|--|
lor mortreq uiere.	--|---|---⌫----||
leproue rbe tien t sonli eu	-|-----⌫--|----⌫|--|--⌫-|
distqui est m ortsi	---|--|--|-⌫--|-|
es tmort .	--⌫|---||
c est ma lfetc	|--|--⌫|--||
e st mal uaisetache	-⌫-|---⌫----|----|
tout s enfou ichascunse	---||-----⌫|------|-|
merueilleestquecuerneu ous fent.	--------|--|--|---|-|-⌫--|---||
royuousies te sun oliffant cemesembledont	--|---|---⌫--⌫|-|-------|-|-|-----|---|
uos t reforceneprisentuous	---⌫-⌫-|----|-|------|---|
ge nzuneesco rc e.	--⌫-|--|----⌫--⌫||
po r briconuous tient	--⌫|-----|---|----|
qui deussiez estreplenieretlarge	--|-------|----|------|-|----|
mesco mmepucel e	--|--⌫--|-----⌫|
uou suoicarceq uen uostreorele	---⌫|--|--|-|-⌫|-|-----|----|
uousmetent	---|-----|
chascunioruos	------|--|--|
genz tout cre ezceq ueu ossergenz uousdien t.	---|---|---⌫-|-|-⌫-|-⌫-|------|---|----⌫||
r oynes creezmie	-⌫-||-|----|--|
touzcaren mainsesttricherieentoruousamauueses	---|--|-|----|--|--------|----|---||-------|
seel zmisesfussentengerbeset	-|--⌫|----|------|-|-----|-|
unea r dantf ornaiseuos treroya umefustplusa	--|-⌫-⌫---|-⌫------|---⌫--|----⌫--|---|---||
mes chi ez uoustan tconseil	--|---⌫-|---|---⌫|------|
uousp erdez l xxx si uous c ouuien ttenirautrait	---|-⌫----||--|-|---|-⌫------⌫|----|-|----|
fl amensuo ntto stet uous	--⌫----|--⌫-|--⌫-|-|---|
s ireu ousd ormezde	-⌫--|-⌫--|-⌫----|-|
loreill e.	|------⌫||
len uous metdepessiausentraille quant	--|---|--|-|-------|-|------|----|
mort est la bonep a terne.	---|--|-|---|-⌫-⌫----||
deuessie uous fo ntlanter necelz	-|-----|---|--⌫-|------⌫-|---|
qui adestreeta sen estresont entor	--||-----|-||---⌫----|---|----|
erbe pest resireuo u s	---|----⌫-|---|--⌫-⌫|
decrois pil e.	-|----|---⌫||
nondi paspour huede	--|-|--|---|--|-|
bouillen e p ourdech ambl isirepi e rre	------|-⌫|-⌫--|-|--⌫----⌫|---|--⌫-⌫--|
cil ontesté	--|--|----|
etsontcompierreuers	-|---|--|-----|---|
uousentierseturais	---|------|-|----|
et fermes .	-|-----||
nequedent encor	--------|----|
est siterm e squen france du re guenel on	--|-|----⌫-⌫|-|-|-----|--⌫-|------⌫-|
etporceestes	-|--|-|----|
uous siretendres.	---|---|------||
sie nuiennentl es granzes clandresdontuous en	-|-⌫|-------|-⌫-|----|--⌫-------|---|---|-|
estesescha rnietuostreroyaume desgarni.	----|-----⌫--|-|-----|------|-------||
bi enleuo usont moust réengloisetles	--⌫-|-|--⌫-|--|-----⌫--|------|-|--|
flamenzquiplusi eursfoisuousont moquié et deceu	------|--|-----⌫---|---|---|--|------|-|----|
cequonque smes nefuueu	-|-|-----⌫|--|-|-|--|
sireau tempsdeuos d euanci ers.	---|-|----|-|--|-⌫------⌫--||
me suosb o n samis etenti ers son tenuersuoustui t	--⌫|--|-⌫-⌫-⌫|---|-|----⌫--|---⌫|-----|---|---⌫|
enchie ri.	------⌫-||
bieniparustauitte ri ou	---||-----||-----⌫-|-|
le sflamanzlefeugeterentqu a ntuost regent	--⌫|------|-|--|-------|--⌫-⌫-|----⌫-|---|
loro s t leuer entet uousi e stiez	--|-⌫-⌫|-----⌫--|-|---||-⌫----|
enceleanneeuoire men tde uitteri u ostreostleuastes	-|---|----|-----⌫---⌫|-|------|-⌫----|--|-------|
etenfrance uousentorna stes	-|-|-----|---|-|-----⌫---|
chacier esforezd ebiere .	------|-|----|-⌫|----||
ces techaceie rt au	---⌫-|----|--⌫-|-|
r oyaumechiere.	-⌫-----|-----||
chascunanpre nezune	------|-|---⌫--|--|
u ous en prenez mesnulnachieuene	-⌫--|-|-----|--|--||------|-|
nemetnulech oseafin.	-|--|---|--⌫--||--||
cest pardefa ute	|--|--|----⌫--|
decuerfin qui	-|---|--|--|
neseueut meller	-|-|---|-----|
d eguer recar auaricesi le nuerreetcou uoitise	-⌫|----⌫-|--|------|-||-⌫-----|-|---⌫------|
sa compaingne	-|---------|
nul quilne semp lai n gne	--|-|-|-||-|-⌫---⌫-⌫--|
autant font	-----|---|
esp ee ethaubercanosfran co is	---⌫-|-|------||--|----⌫--⌫-|
comme chauberc peut laboureren t erre mo le .	----|-------|---|-------|-|-⌫---|--⌫-||
franc ee s t t orneeen parabo leet a	-----⌫|-⌫-⌫|-⌫----|-|------⌫-|-||
grant ho nte etameschief	----|--⌫--|-||-------|
sicomdistpar defaut dechief folecre anceet	-|--|---|--|-----|-|----|---|---⌫---|-|
cou uoitisea f r anc eacon fusio nmise.	---⌫------||-⌫-⌫---⌫||---⌫-----⌫|---||
roy ge nzauez a deui se parmer	--|--⌫-|---||----⌫-|--|--|
genn esuenis e etpise mes riens	----⌫-|-----⌫|-|---|--|----|
debo nnepueent	-|--⌫|-|-----|
fai recaruous	---⌫-|--|---|
uoule ztout auoustraire.	-----⌫|---||---|-----||
sans riendonnerd uu ostreauoirsi n	---|---|-----|-⌫|-⌫----|----|-||
enp oezhonorauoi rcar d auern	-|-⌫--|----|----⌫|--||---||
iertun biaufet	---|-|---|--|
meslelarge t o z iors	--|-|----|-⌫-⌫|---|
bienfetcarto uziors u ient de	---|--|--|--⌫-|---|-⌫---|-|
lalargec epris honnorua louretprouec e.	-|------⌫|---|-----|--⌫---|-|------⌫||
ainsipassacel anenplour etentri s teceet	----|----|--|-|-|----|-|-|---⌫-⌫---|-|
end oulour.	-|-⌫-----||
et lesfranc ois s e nretornerent	-|--|-----⌫--||-⌫|----------|
etle sf lamenz	-|--⌫|-⌫-----|
s apa raill i eren tpore lz	|---⌫-----⌫-⌫----⌫|--|-⌫-|
def en d reauno uuiautemps.	---⌫--⌫-⌫-|-|--⌫----|----||
c eleanneesi co mie ntensf ul	-⌫--|----|-|--⌫||-⌫----|-⌫||
y uergrantet	-⌫--|----|-|
merueilleuzetapoures	----------|-||-----|
g enzmerueil leux.	-⌫--|-------⌫---||
etl esuinsausi	-|-⌫-|---|---|
preuzne fur e n t	----|-|---⌫-⌫-⌫|
etcel zmauuez mar chieenurentqui encel	-|---⌫|-----|---⌫---|-|----|--|-|--|
anlesacha terent	-|--|----⌫-----|
mauuez fu rentet	-----|--⌫---|-|
tropcousterent.	---|---------||
encelanunegrant est oiledeuersrom metoute	-|--|-|--|----|---⌫---|-----|---⌫-|----|
nouuelea ppa rustde	------|-⌫---⌫---|-|
gran tquantitequiredeu int-ce s t uerite	----⌫|-------|--|-----⌫--|||-⌫-⌫|-----|
toutepetite	----|-----|
ce ne puetonaler	-|-|---|-|---|
neantc ar lenleuitcommunement.	----|-⌫-|--|-|--|----------||
trois mois	----|---|
uoir e ment	----⌫-⌫---|
mes alent reedu mois	--|||---⌫--|-|---|
qua rt sac lartet ornaaut re	---⌫-|-|-⌫----|-⌫---|---⌫-|
part et deui ntp eti te et o sc u re .	---|-|----⌫-|-⌫---⌫-|-|-⌫--⌫-⌫-||
ainsinq uant siuasana tureetcemois	-----|-⌫---|-|-|-|--⌫---|-|-|---|
de feur ierauin t mainz clers	-|----⌫--|----⌫|----|----|
desputer encouuint por la senefiances auoir	-------|-|------|--|-|---------|-⌫----|
m es cele n auint	-⌫-|---||----|
pasenf rance	--|-|-⌫----|
ancois auin t delal esmonseta sse ztost	-----|----⌫|---|-⌫-|---|-|-⌫---⌫|---|
leuousd irons	-|---|-⌫----|
mes t outanc oisune au tr e	--|-⌫--|---⌫--|--|--⌫--⌫|
choseporfer enostre anneeclo s e.	----|--|---⌫|-----|----|---⌫-⌫||
la nuit denouuel	-|---|-|-----|
encelan fist ilsi tr es	-|--|-|---|-|-|--⌫-|
g rantfroi t a p anqueg elerent	-⌫---|----⌫||-⌫-|--|-⌫------|
estonniax.	-|------||
celanmour uren tlesaingniaxbrebiz et	--|-|----⌫----⌫|--|-------|-----|-|
autres best esgros seseschanzet	-----|----⌫-|----⌫--|-|----|-|
esteis etesfosses etes uilleset	-|---|-|-|-----|-|-|-----|-|
trouuoiton	-------|-|
mo rslesgenz p arangoissedefro it.	--⌫-|--|---|-⌫-|-------|-|---⌫-||
etpar to ut	-|--|--⌫-|
nef auoitc onquesmes	--|----||-----|--|
tant nenfu trou ee .	---||-|-|----⌫-||
touteri uier efugeleepardesussentiers	----|--⌫----⌫|-|----|--|----|-------|
etcheminsoul en	-|------|-|-⌫-|
cha rioitblez etu ins	---⌫----|---|-|-⌫--|
et quantceuint	-|----|-|---|
audesgelerque	-|-------|--|
cla conscouintchariertoutceque deuant el z trouoient uersoie nt	---⌫---|-----|------|---|-|--|-----|--⌫|--------|-------⌫-|
outreet t r ebuchoient.	----|-|-⌫-⌫---------||
lorsfu ma inte	---|-|--⌫---|
grantnefpe rie etmainte	----|--|--⌫--|-|-----|
autre marcheandiesanzmet renefe rerequ eu ure	----|----------|---|---⌫-|-|--⌫-|----⌫--⌫--|
c onq ues m esl enneuit teleuuredontm ar cheanz	|---⌫--|-⌫-|-⌫-|-|--|--|----|---|-⌫--⌫-----|
des er itezfur entd uleur- cestuer it ezet	---⌫--⌫---|---⌫--|-⌫|---|||--|---⌫--⌫-|-|
demourerentorphelin.	----------|-------||
cel antrebuch a	--|-|-------⌫|
m aint moulin quito ut	-⌫---|-----|--|--⌫-|
yu ern auoit	--⌫-||----|
moulu quele	----|--|-|
giel l o rauoi ttolu.	---|-⌫-⌫|----⌫|---||
sigaa ingn erentmoulinsauent	-|---⌫----⌫----|------||---|
pl usqu ina uoi entfetdeuant	--⌫-|-|||-⌫---⌫--|--|-----|
mou lins a cheuax re furent	---⌫---||-----|--⌫-----|
lorsenleurauiax .	---|-|---|----||
sigaain gnace l	-|-----⌫--|--⌫|
anquipotetnemie chascunquiuot	-|--|--|-|-|--|------|--|--|
lan ne eyyetyypou r uengierle c o n t e	|--⌫--⌫|-|-|-|---⌫|------|-|-⌫-⌫-⌫-⌫|
da rto ism a ndaleroy	|-⌫---⌫-|-⌫-⌫--|-|--|
des onbernage	-|-⌫-|------|
cequilotetde	-|-|-|-|-|-|
uass elage.	----⌫----||
sisen uind rentdeu ant doua y	-||-|----⌫---|---⌫--|----⌫|
mes flamens neno reesma y	--|------||-|-⌫-|----⌫|
anco istoziorsles a tendirent.	----⌫-|--|---|--|-⌫--------||
etassez dereprouches d irentausf ra n coi s	-|----|-|---------|-⌫----|--|-⌫--⌫-⌫---⌫|
puisd istrent auroyq ueilalast de uant courtray	---|-⌫------|-|--|-⌫-|-|----|--⌫---|-------|
e sfoss es	-⌫|----⌫-|
sagentpee schiere t puis quilsentorn ast	-|---|---⌫-----|-⌫|---|-|-||-|----⌫--|
couchierouchacier es	-------|-|------|-|
boys debi e re.	---|-|--⌫-⌫-||
entel gu is eet en tel m anierefurentdeu antdou ay	-|--|--⌫--⌫|-|-|--|-⌫-----|-----|---⌫--|---⌫-|
francois comme les p acede	-------|----||--⌫-⌫--|-|
etpuisun etrieue on tbastiequi	-|---|--⌫|-----|--⌫|-----|--|
n e ualustp asune a lie car tout	-⌫|-----|-⌫-|--|-⌫--|--|---|
fu arec ommancieretlapaistorneeentencier.	-||---⌫--------|-|-|---|-----|-|------||
tiexsonttrieues	---|---|------|
ausfl amansi lne font quesloin g ne r	--|--⌫----|-⌫|-|---|-|------⌫-⌫--⌫|
por ferelesfranco isde spendre	--|---|--|------⌫-|--⌫------|
etn ostre r oy niueute ntendreancois croittout	-|-⌫----|-⌫-|||---|-⌫------|-----|----|---|
ceque len dist.	-|--|--|---||
le tesmoingneetledist le	-|---------|-|-|---|-|
ui ttoutainsicomleto ntece	--⌫|---|----|--|-|--⌫--|-|
mes honte.	--|----||
tantc he ual ieri	---|-⌫--⌫---⌫--||
otcu i ceste t ri euepoint	-|--⌫|----|-⌫--⌫--|----|
quant l esflamens ontue uentreelz	----|-⌫-|------|--|--⌫|----|--|
