kicest secletrop	-|---|----|---|
seratlag entiz gemme	----|-|-⌫----|----|
dont laurai epaisier tqu i	---|-|----⌫|---|---⌫|--⌫|
e t uraieioieensi ke liliures	-⌫|----|---|---|-|-|-----|
nulzneporoit pense ircum	---|-|-----|-----⌫-|--|
grant ioie ilauront	----|---|-|-----|
quide unostre	--|--⌫|-----|
saniorface a face uerront	-----|---||---|------|
mut desireement ades	--|----------|---|
lagarderont	|---------|
nede luiaue oir saisiernesoip o r unt	-|-|--||--⌫--|------|-|--|-⌫-⌫-⌫--|
ce do ntla sainte gentsun t orenbon	-|--⌫-|-|-----|---|---⌫|-|-|--|
homnepuetorsepeti t nonsauoir	--|-|---|-|-|----⌫|--|-----|
dont p oronturaem ent sicumilestueo ir	---|-⌫----|-----⌫--|-|--|-|--|---⌫-|
n a urontm estierd e	|-⌫----|-⌫-----|-⌫|
cro iredo ntlos auro n tpar	---⌫--|--⌫-|-|-⌫----⌫-⌫|--|
deusfait uiureet	---|---|----|-|
s estui edetotes ri ensquisunt	|--|--⌫|-|----|--⌫--|--|---|
po rui uron turaiementquila	--⌫|--⌫----⌫|--------|--|-|
ui e uer ron t	--⌫|---⌫---⌫|
etcant kefut etesttotfinementsauront	-|----⌫-|--|-|--|--|-------|------|
kardeuquito t	--|--|--|--⌫|
conoistue la uel	------|--⌫||--|
conistront	---------|
deusest uraielumieresi	---|--|----|------|-|
cum d ist lescritu re	--|-⌫--||-------⌫-|
qui enlumi nezert	--|------⌫--|--|
dela lumier epure	-|-|------⌫|---|
nuleriensked eusfist neliserat	---|----|-|-⌫--|---|-|-|----|
an zuerrattotensemblecascune creature	--⌫|-----|--|-------|------|-------|
porsauoirpo r ueoi rn iratnez ane	--|-----|--⌫|----⌫||---|-|-⌫|-|
d edemandeird	-⌫|--------||
apr endremes t iers ne lisera	---⌫----|---⌫-⌫---|-|-|---|
kar ensicumie di	--|---|--|-|-|
quideuuoitq ui	--|--|---|-⌫-|
seitcantkedeus	---|-----|---|
ai ditcasconstotuerr a	-|--|------|--|----⌫|
t otsaurat	-⌫-|-----|
etca nkiluolra	-|--⌫-|-|----|
fairedeusliotrierat	----|---|-|-------|
bie nsk ilau ro nt pasigueilz	---⌫-||-|--⌫--⌫-|--|------|
karsolonc son	--|-----|--|
meritech ascons la ioieaurat	-----|--⌫-----|-|---|----|
ma is totauron tasse iztotsero n tgrantsanior	--⌫-|--|-----⌫|----⌫-|--|----⌫-⌫|----|-----|
tantaur ont dabundancene dem andront mell o r	---|---⌫--||--------|-|---⌫------|----⌫-⌫|
deuslurdon ratteilioie ne dam androntgranior	---|--|---⌫--|---|---|-|---⌫------|------|
quilameno r aur atmut a urat	--|-|----⌫|---⌫-|--|-⌫---|
gra nthonor	---⌫-|----|
as altres aurattot ce quile ns oin	-|-----|----|--|-|-|-|-⌫|-⌫-||
altru iioiecumla sue ame rat	-----⌫|---|--|-|--|---⌫--|
ensonbien p lus k enl	-|--|---|-⌫--||-||
autren esoi deliterat	----|-⌫|--|--------|
altru ibiensserat	-----⌫|----|----|
sienslisiensaltruiserat	----|-|----|-----|----|
e ntre eaziertsainteacorde	-⌫---|--|---|-----|-----|
e ntre eaziertsain te amors	-⌫---|--|---|----⌫-|----|
por l a mu rqu ilauro n tie rt lorioie gran iors	--||-⌫--⌫|-|-|----⌫-⌫|--⌫-|--|---|----⌫---|
l amurstoz	|----|--|
iorsdur at	---|---⌫-|
et lai oietozio rs	-|-|-⌫--|--|--⌫-|
n est nule solechosemel lorsentrep luisors	|--|---|---|----|---⌫---|----|-⌫------|
laute il e amurs	-||--⌫--⌫|----|
iertetteile compani e	---|-|----|-------⌫|
nul eanrme niauratqu isisoitensalcie	---⌫|----|||----|--⌫|-|---|-------|
ketotelaplusb assenes oit ioianzetlie	-|---|-|---|-⌫---|-|-⌫--|-----|-|--|
ne ianedemandratplus	-|-|-|--------|---|
halteseniori e	----|-------⌫|
t eil b ien iaterminenaurat	-⌫--|-⌫--|-|------||----|
quarcele ioie	---|---|---|
estdeusquiia nefinerat	--|---|--|-|-|------|
etd eus quilaioiee s t	-|-⌫--|--|-|---|-⌫-⌫|
tresqu il toz	-----|-|--|
i orsd urrat	-⌫--|-⌫----|
kideuatquiioieesti oietozio rs aurat	-|--|-|--|---|--|-⌫--|--|--⌫-|----|
desi ha ltbienne puetn uz	-|-|--⌫-|---|-|---|-⌫-|
h omassei zparlei r	-⌫-|-----⌫|------⌫|
encestem o rteiluienel puetnuzdeuiseir	-|----|-⌫-⌫----|--|-||---|--|-------|
kilobien decest secle	-|-|---|-|---|----|
poroit totassembl eir	-----|--|-------⌫--|
lomenor ki la estneporoi t	-|----|-|-|--|-|-----⌫|
resemb leir	------⌫---|
kiplus aur o it d e	-|---|---⌫-⌫-|-⌫|
senz mil foiz kesalemo ns	---|--|---|-|------⌫-|
seli fal droitparole	-|-|---⌫----|-----|
selifaldr oitraisons	-|-|-----⌫--|------|
ettoziors soiporoit	-|--|---|--|-----|
trauilierempardons	--------|-|------|
nediroit cum d eusestp iusetla rges	-|-----|--|-⌫--|--|-⌫--|-|--⌫---|
en sabochemilet	-|-|----|--|-|
millenguesau oit	--|------|--⌫--|
e tsil ato ziorsui uretozior s	-⌫||-||--⌫|---|--⌫--|--|---⌫|
parleir pooit	------|----|
les biens kedeus f eratses	--|----|-|---|-⌫---|--|
ami s nedi roit	---⌫|-|--⌫---|
de ldirenostaironsnesp ensseirne	--⌫|---|--|------|--|-⌫------|-|
si richehonorsihaltedeu squiporat	-|----|----|-|----|---⌫|--|----|
coment montrat sibas este n terre	-----|------|-|--|--|-⌫|----|
ki au r attoziors pais sensba talleets enzguer re	-|--⌫-⌫-|--|---|---|---|--⌫----|-|-⌫--|----⌫-|
uoien iatpaine encouientsoff erre	---|||-|----|-|------|----⌫---|
ce d ontg rant	-|-⌫--|-⌫---|
painene lpue t hom endu rer	----|-||---⌫|--|----⌫--|
debon teitde concordedepais	-|---⌫---|-|-------|-|---|
ae nam eir	|-⌫---⌫--|
ki haime et enuie enson co rsuul t	-|----|-|----|-|--|--⌫-|---⌫|
certesnenuitne iuer ne soi	-----|-|---|-|---|-|--|
puetreposeir	---|-------|
esgardeizsegriscoseestdedeua seruir	--------|-|---|---|--|-|--||-----|
ilnecomand erienc	-|-|------⌫|---||
umnepuistbiensoff rir	-|-|----|---|----⌫--|
m utpl usdulcec hoseestd ame ike	-⌫-|--⌫-|----|-⌫---|--||---⌫|-|
etded onne ir mu ltmenres	-|-|-⌫----⌫-|--⌫-|-----|
trau azkede tolir	----⌫-|-|-|----|
e scolteizsiluos plaist se	-⌫-------||-|--|-----|-|
iediueriteit	-|-|-------|
t ozlisecleslo	-⌫-|-|-----|-|
uoitt ozlisecle losei t	---|-⌫-|-|----|-|---⌫|
k aplus grantpaines uiuentqui	||---|----|-----|-----|--|
funtcek ed eush et	---|-|-⌫|-⌫--|-⌫-|
k e cilquisoi	-⌫|--|--|--|
traua llentde	-----⌫----|-|
deu seruir en g ret	--|-----|-|-⌫--|
oru oiezdel aueirsil	-|-⌫---|-||----||-|
unkesen pais	----|-|---|
io ienenreposnendelit	--⌫-||-|----||-|----|
ces tunsdesmaluaisuiscessi	|--⌫|--|--|------|-----|-|
cumtr ueueenescrit	|-|--⌫---|-|-----|
deusquitozlesmalzh eitk	---|--|--|--|---|-⌫--||
aplusenhait	|---|-----|
au aris ce es t unsmazquinuleorenefin e	--⌫----⌫-|--⌫|--|--|--|---|--|-|---⌫|
cumpl usat plusdemandene s eit auoir termine	--|--⌫-|-|---|------|-|-⌫--|----|------|
cestmalnepuetsaneir	---|--|-|---|-----|
nepu isons nemezine	-|--⌫----|-|-----|
tot li altremal uinent	--|-|----|--|-----|
d e sa maleracine	-⌫|-|---|-----|
au ariscefaitl omme	--⌫-----|---||---|
etnui tet iue ruoilier	-|---⌫|-|---⌫|------|
e stre lof ait larronrobeor usurier	-⌫---|-|-⌫--|-----|-----|------|
en foule faite ntrei r etenaiwe plonchier	-|--|-|---|-⌫-----⌫|-|-|---|--------|
les olz li f ait creueir	--|--|-|-⌫--|------|
m emb rest renchir	-⌫---⌫--|-⌫------|
elef ai tsonseriant plusqu ilpuistcons i reir	--|-⌫--⌫|--|------|---|-|-|----|----⌫-⌫---|
lifaitso ffrire t grant	-|---|--⌫----|-⌫|----|
froitendure r	----|------⌫|
b atalleneestuernel i laitredotei r	-⌫-----|-|-----|-|-⌫|---|-------⌫|
hard itlefaitenai weet enperi ld e	----⌫-|-|---|-|--⌫-|-|-|----⌫|-⌫|
maisanost resaniorquibien	---||----⌫-|-----|--|---|
s iuul ttenir	||---⌫|----|
asseizplusen grantsil	-----|---|-|----||-|
uul tle puetsofr ir	---⌫|-|---|----⌫-|
nede fain ne	-|-|---|-|
defroitne licouientmorir	-|----|-|-|------|----|
neenfo u ne	-|-|--⌫|-|
enflamme n el	-|-----|-⌫||
comande asallir	------||-----|
etlior guezque	-|-|--⌫---|--|
faitkepuetho mdelu id ire	---|-|---|--⌫|-|--⌫|-⌫--|
cerestg ier sunechose	-|---|-⌫---⌫|--|----|
que m ut heit nostre	--|-⌫-|---|-----|
liorguezfait morirlan rmeet	-|-----|---|----||--⌫--|-|
lecorsemp ire	-|---|---⌫--|
l i orguezest unsmazquitozles	-⌫|-----|--|--|--|--|--|--|
bie nsempir e	---⌫-|-----⌫|
lauieal orguillo s keplu sest f ole et	-|--|||--------⌫|-|---⌫|--|-⌫--|-|
tantat plu sd egrauancetant sofreplusde	---|-|---⌫|-⌫|-------|---|----|---|-|
trestote esten trauailetdemalaiseplaine	-------|--|-|------|-|-|------|-----|
as seizmeazse reposequi	--⌫---|---|-|-----|--|
humleuiema inne	----|--|--⌫---|
li orgu ez	-|----⌫-|
faitrobeir lior guezf aitto lir	---|-----|-|--⌫---|-⌫--|--⌫--|
orguez quatre	-----|-----|
foiz referir	---|------|
li orguezfaitturnoisetguerres	-|-----|---|------|-|------|
mai n tenir	---⌫-⌫----|
bienseuentquilauont q u il	---|-----|--|-|---|-⌫|-|
i suel e ntsoff rir	|----⌫-⌫-|----⌫--|
uns homd esai nteuie	--|--|-⌫|---⌫--|--|
qui deus e rthumlemen t	--|--|-⌫-⌫-|--------⌫|
en tre stote	-|---⌫----|
nes of fret eiltorment	-|-⌫--⌫--|-⌫--|------|
kefait un s cheualierse n un tu rnoiement	-|---|--⌫|---------|-⌫|-|--⌫--------|
kilesmembresiperdent	-|--|------||------|
bienseu ent	---|---⌫--|
se iem ent	-|-|-⌫--|
kanthom locheualierfier tparmi	---|--|-|--------|----⌫|----|
ethom li fait uuid iera	-|--|-|---|----⌫--||
gran t hontela	----⌫|----|-|
en tantsietlibon sho mtoz	-|---|---|-|---⌫|--⌫|--|
so lz en saca p ele	--⌫-|-|-|--⌫-⌫--|
etsen z nulgrant tormentcantetsamiserele	-|---⌫|--|----|------|-----|-|-------|
orguezatm azs eria nzet malecom panie	-----|-|-⌫-|-⌫----⌫-|-|---|---⌫----|
derrierluiet de uant l ui	------|--|-|--⌫---|-⌫-|
ad e xtreeta senestre uaniteiz	|-⌫-⌫---|-||-------|-------|
keke lial t refacen t cilduine l	-|-|-|--⌫-⌫-|-----⌫|--|--|-||
lais sentmie	----⌫---|--|
cil funtl a	--|---|-⌫|
etsall ire tdan s cei r	-|----⌫-|-⌫|---⌫-⌫---⌫|
la soila ssetli	-|--|--⌫---|-|
fo lztantquilnepuetaleir	--⌫-|---|-|-|-|---|----|
maisdentantli	---||-|---|-|
b onsh om qui nese uultlassei r	-⌫--|-⌫-|--|-|-|---|------⌫|
s ie t coi z et	-⌫--⌫|---⌫|-|
pen seadeu u ileno t	---⌫-||--||-|-|-⌫|
kia ltru i	-|-⌫----⌫|
uulto cire mu sdrir	---|-⌫---|--⌫----|
etgran tpaineli couientendurer	-|----⌫|----|-|------|------|
parnui tlo	--|---⌫|-|
stuet u oi lier parbonssen u oie aleir	----|-⌫--⌫---|--|---|--|-⌫--|----|
lune foiz attrop chaut l	|--|---|-|---|----||
a utres tu et trem bler	-⌫---|-⌫--⌫-|----⌫---|
sa uolenteiz	-|--------|
nepuetaleira uant	-|---|----|-⌫---|
achieftrairelo mal qu il	|----|-----|-|--|-|-|
uaitquerant	---|------|
dontquidetcreueirdiredont frit	---|-----|------||--|---|---|
demaltalant	-|--------|
li diable funtiln osuunt	-|-----|---|-|-⌫-|---|
ore ncombran t	-|-⌫--------⌫|
ki siesten fl eiz direquice	-|-|--|--⌫--⌫--||--|--|-|
uaitporca za nt	---|-----⌫--⌫-|
etteilmale	-|---|---|
auenture uaitque rre etdemand ant	-------|---|---⌫--|-|------⌫--|
ilsoffrettant de paineetmalaise	-|------|---|-|----|-|------|
mais homest deuantd euquiaincnen soffrit	---|--|--|-----|-⌫-|--|---||-|------|
bi enlaueize ntendutqui losecle maintient	--⌫-||----|-⌫------|--|-|----|--------|
etsoluncla fo lie del secl e	-|-----|-|--⌫--|--|----⌫|
so icont ien t	--⌫|----⌫---⌫|
m u ts ouentplus de maletde paine	-⌫-⌫|-⌫----|---|-|--|-|-|----|
q ui deusertet	-⌫-|--|---|-|
quia d eu setie nt	--||-⌫-|-|---⌫-|
nesoid oitnuzhomne	-|--|-⌫--|--|--|-|
despe r eir	-----⌫-⌫--|
l amercitd e upuethom	-⌫|-----|-⌫-⌫|---|--|
legieremen t trou eir	----------⌫|----⌫--|
nes t passigries	|--⌫|--|-|----|
lauoie cumn	-|---||-||
ip uistbien aleir	|-⌫---|---|----|
nelicielznestsihalz cum	-|-|----||--|-|---||-|
bien monter	---|-----|
muta tdommesalsecle quibien	--|-⌫||----|-|----|--|---|
riche gent	----|---|
kide ce kau oi doient	-|-|-||--⌫-|-----|
nu lebesonie	--⌫-|------|
nuleo renedescauzne	---|-⌫-|-|------|-|
e n laniesneuunt	-⌫|-----|-|---|
nequedentenlaioie depar adisseront	--------|-|-|---|-|---⌫---|-----|
s ecest uoir skeiedisqu	-⌫||--|----⌫|-|-|--|-|
ie rtdel a rig e gent	--⌫-|-|-⌫|---⌫|---|
k i ontsigrantp lanteit	-⌫|--|-|----|-⌫------|
kiuiuent sisuef sen zpai neetsenz torment	-|-----|-|---|---⌫|---⌫-|-|---|------|
sil ensiuun tadeudontlor	|-|---|---⌫||--|---|--|
uaitbelement	---|-------|
compuet asi	|-|---||-|
gran taise lore gne d euauoir	----⌫|---|-|--⌫--|-⌫-|----|
kitan t pardeu soipainentnont	-|---⌫|--|--|--|------||--|
gair esdes auoir	----⌫-|-|-⌫----|
liapostleguerpire nt l or corsetlorauoir	-|------|--------⌫-|-⌫-|---|-|--|----|
totpor ce quil	--|--|-|-|-|
poi ssent laglored eu	---⌫----|-|----|-⌫-|
li martyrsoi	-|-----|--|
lai s sontardoir et detrenchier	---⌫-⌫---|-----|-|----------|
em b olantaiwe cuireett ot uif escorcier	-|-⌫----|---|----|-|-⌫-|--|--------|
a s urs etas leonslormen bres de schi rieir	-⌫|--|-|-|----|--|---⌫---|--⌫----⌫----|
regnedeuqui l auoient	----|--|-|-⌫|------|
t antchier	-⌫--|----|
lih ermite guerpirentlurbien lo rheritage	-|-⌫-----|---------|--|---|--⌫|-------|
relenqu irentparenz eta miset	-------⌫----|-----|-|-⌫--|-|
deumanoient tot solenl ermitage	--|-------|--|--|-||-------|
et gr an t pai nesof r oienten laterresalu age	-|--⌫--⌫|---⌫-|---⌫-⌫----|-|-|----|----⌫--|
liautresaintege n t quifuren tetquisunt	-|----|-----|--⌫-⌫|--|-----⌫|-|--|---|
muttormententlurcorsetmutdetr aualhont	--|---------|--|---|-|--|-|--⌫----|--|
maiss eciluuntadeuqu iricheal	---|-⌫|--|---||--|--⌫|----|-|
seclesun t	----|---⌫|
qu i deuser uentpo rcoi	--⌫|--|---⌫---|--⌫|--|
tantdepainese f ont	---|-|----|-|-⌫--|
quei lmestierat li hom	----⌫|------|-|-|--|
tantdepainea	---|-|----||
sof fr i r	---⌫--⌫-⌫|
etlesaai semenz	-|--|---⌫-----|
deson cor s relenqui r	-|--|---⌫|--------⌫|
trescumpuetsisuefn ostre sanior	----|-|---|-|---|-⌫----|-----|
etsenzn ulgranttormentasamercituenir	-|---|-⌫-|----|------||-|-----|----|
m oiuolo itores alkes desen sdo neir	-⌫-|----⌫-|---|----|-|---⌫|--⌫---|
k epoisse ce stnuetsagementde noeir	-⌫|-----|--⌫-|---|-------|--⌫----|
cestaf air e	---|--⌫---⌫|
uoldroieuole ntie rsd euisei r	-------|----⌫----⌫-|-⌫------⌫|
co mm entli richeshomsoi	--⌫--⌫--|-|-----|--|--|
puettresbien salu er	---|---|---|----⌫-|
o iezcant lihomdo i t de	-⌫--|---|-|--|--⌫-⌫|-|
cantkil atguerpir	----|-|-|------|
en queleoreilne	-|----|--|-|-|
doitnuler ienre tenir	---|---|-⌫--|--⌫----|
et k antil	-|-⌫--|-|
deupa ineet tormentso f frir	--|--⌫--|-|------|--⌫-⌫---|
etsal trenepuet es tre	-||--⌫--|-|---|--⌫--|
porsamur doit morir	--||---|---|----|
silestente il poi ntmis	|-|--|-|--⌫-|---⌫-|--|
nepuet c angier	-|---|-⌫-----|
etluicouie ntudeu	-|--|-----⌫-||--|
uqu antquilat laissi er	|--⌫----|-|-|------⌫-|
tot doi tanzo is	--|---⌫|----⌫-|
guerpirkeihesumren oier	------|-|-----|---⌫---|
anzoisso i laist	-----|--⌫|----|
ardoirules	-----||--|
membrestrenchier	------|--------|
m aiscantilp uet enpais nostresani o r seruir	-⌫--|---|-|-⌫--|-|---|-----|----⌫-⌫|-----|
n el d e straintmie de deu a	-⌫||-⌫-⌫------|--|-|--||
relen quir	-----⌫---|
dontp uetb i en cequ	---|-⌫--|-⌫-⌫-|-|-|
il at parraisonreten ir	-|-|--|-----|-----⌫-|
ne nelen couientmie sil	-|-||-|------|--||-|
n e u ult depa rti r	-⌫|-⌫--|----⌫---⌫|
s ainteescr itureredistet	-⌫----|----⌫----|-----|-|
quilc oui entalaissier udeuula	-|-|-⌫---⌫--||-------||--||-|
quarquilari chiseainm etetsenten tei at	---|--|-|--⌫----|----⌫-|-||-----⌫-||-|
nepuetnedeuameirne faire	-|---|-|--|----|-|----|
so n seru ise	--⌫|----⌫--|
que ilp artn osturno nsorekedironsci	---⌫-|-⌫--|-⌫-|-----⌫-|--|-|-----|-|
sor sauiensbienpa r leir bo enmestier	|-|------|---|--⌫-⌫---|--⌫-|------|
nosau roit	--|--⌫---|
carmut seroitgrieschos e	--|--|-----|----|----⌫|
etmutmalnos iroit	-|--|--|--|----|
a lk esatsalueirnesepooit	-⌫--⌫-|-|------|-|-|----|
dont seroent dampneitn oeetabrahan s	---|------|-------|-⌫-|-|-------⌫|
ios ephqui e negiptefutr iches	---⌫--|--|-⌫|-----|--|-⌫----|
e tpoissans	-⌫|-------|
moysesaaron et sainzio blisofr an s	-----|----|-|----|--⌫|-|----⌫--⌫|
li iu stes samuel etdauid liualhans	-|--⌫---|-----|-|----|-|------|
ci st furent amideuetriche	--⌫-|-----|--|--|-|----|
gent as toient	---|--⌫-----|
biendels ecle grantabunda nceauoent	---|--|-⌫---|----|------⌫--|-----|
et toteu oies	-|-----⌫---|
as ongreitseruoien t	|-⌫-|----|--------⌫|
ke so uenti parleuent et	-|--⌫---||--------|-|
souen tlo ueoie nt	-----⌫|-|-----⌫-|
entrelescres tiiense lnoueltestament	----|--|----⌫-----|-⌫|----|--------|
sainzsixtes futaromeuns	----|-----|--||---|--|
d e la saintegent	-⌫|-|-----|---|
cilsa insho menlagliseauoitoretargent	--|--⌫--|--⌫|-|-|----|----|-|-|-----|
quipuis futtoz	--|---|--|--|
a s pouresdonei zparsai n tlaurent	-⌫|-----|-----⌫|--|---⌫-⌫|------|
mais la sainteesc riturecouient	---|-|-----|---⌫-----|------|
mutb ienente nd re	--|-⌫--|----⌫--⌫-|
carne se it	--|-|--⌫-|
nonens eni eretaprendre	--|---⌫---⌫-|-|-------|
niprentgardetosti	||----|----|---||
puet om m eprendre	---|-|-⌫-------|
etkibien nel entent en	-|-|---|-||-----|-|
de schendre	--⌫-------|
eledist c om	--|---||-|
nepuetric hise	-|---|---⌫---|
etdeuseruir	-|--|-----|
larich iseainmetdeulico uienthair	-|----⌫--|-----|--|-|--⌫----|---|
ets il deuuultameir	-||-|--|---|----|
r ichise doitguerpir	-⌫-----|---|------|
ud el un udel	|-⌫||-||-||
a ltrelocouient	-⌫---|-|------|
u oionsse ia	-⌫----|-|-|
porie ns cestegu e rreaco rdeir	-----⌫-|----|--⌫-⌫--|---⌫----|
o mne puetmieri chiseet	-⌫|-|---|--|--⌫----|-|
ormostretk e liri che s se	-|------|-⌫|-|--⌫---⌫|-|
puetmutbiensalueir	---|--|---|------|
deusnosco nsente	---|--|--⌫-----|
aluoir selui	-|---|-|--|
pla istasseneir	---⌫--|-------|
al trec ho sees tameir altre	--⌫--|-⌫--⌫-|--⌫|----|----|
nuzbonshomnuzsai nz	--|---|--|--|---⌫-|
homnedoi t	--|-|---⌫|
am eir au o ir	--⌫--|--⌫-⌫-|
se d e us li	-|-⌫-⌫-|-|
uultdon eir tr esbienlilistauoir	---|---⌫--|--⌫-|---|-|---|----|
maisunkesne	---|----|-|
se doitdeli tieren	-|---|----⌫---|-|
kitropaimm etl	-|---|----⌫-||
auo irc est	---⌫-||--|
cilquilauoi r	--|--||----⌫|
q uipi tiet	-⌫-|--⌫---|
depoure de nu tdedes couert	-|----|-|--⌫|-|---⌫-----|
altruimes a is ena tunke sluelh	-----|---⌫-⌫--⌫||-⌫|----⌫||---|
cil qui l a uoir	--|--||-⌫---|
ainmetetlamurde d eu	-----|-||---|-|-⌫-|
kipordesierdauoir guerpistladeudroiture	-|--|-----||----|-------|-|--|-------|
qui l oc onquiertato rt apech iet	--|-⌫|-⌫-------||--⌫-||----⌫--|
ki tant ainmet l auoirke par	-|---|-----||----|-|--|
lui se pariure	--|-|------|
teiz ho mne puetameir	---|--⌫|-|---|----|
deu enn ule me sure	--|-|-⌫--|--⌫---|
ki tantes t conuo itous et	-|---|--⌫|-----⌫----|-|
tan tlauoirdes ire	---⌫||----|---⌫--|
dontm estiersliseroits e	---|-⌫------|-|-----|-⌫|
quita nt lo gar deenclosqu ilmusist	--|--⌫-|-|---⌫-|-----|-|-|-----|
ete mpir e	-|-⌫----⌫|
serian ze stal auoir	------⌫|-⌫-|||----|
li auo irsest	-|---⌫--|--|
ki sis erta l auoir	-|-|-⌫--|||----|
deuser uir	--|---⌫--|
aimetl a uoirluicouientd eu	----||-⌫---|--|------|-⌫-|
d iteil a uoirlo stuetu d e	|----|-⌫---|-|----||-⌫|
deu departir	--|-------|
tan t quilensiset ien t ne	---⌫|-|-|---|-|-⌫---⌫|-|
puetadeu uenir	---||--|----|
enko r est teilz auoirsqui dees t ue nuz	----⌫|--|----|-----|--|-|--⌫|--⌫--|
etqu inest	-|--⌫||--|
a altruinerobeiz	|-----|-|-----|
kicel mimm estro p	-|--|----⌫-|---⌫|
ainmetilenie rtconfu nd uz	-----|-|-|--⌫-|-----⌫--⌫-|
ets ilepuet useirquil	-|-⌫|-|---|----|-|-|
ense ratperduz	-|--⌫--|-----|
ie uosdi raico mment quidau oirsefa itf ier	-|--|--⌫--|--⌫----|--||--⌫--|-|--⌫-|-⌫--|
quienest orguilhosquienmainetdangier	--|-|--|--------|--|-|-----|------|
k irepa rtir	-⌫|----⌫---|
nenuul tceazqui	|-|---⌫|---|--|
sac hie zquien silatquillo	---⌫---⌫|--|--⌫-||-|-|-|-|
comparrat ch ier	--------|--⌫--|
deceaz restqui n	-|---|---|--||
ont cu re d	--|--⌫-||
a s semblei rgrant	-⌫-⌫-------⌫|----|
d onentt ot quantqu	-⌫----|-⌫-|------|
il on tdient que ce st fr ankise	-|--⌫|----|--||-⌫-|--⌫-----|
maissi ontlurententesor uaniteit	---|-|--|--|------|--|-------|
ked eceq ui ldespendentpoi uien al	-|-⌫|-|-⌫|-⌫|---------|--|---|-|
deuseruise	--|------|
tostdone ntu ngarzo n	---|----⌫-|-⌫|-----⌫|
cheualupalefroit	-----||--------|
pelizone ngoleitumante la	------|-⌫------||-----⌫||
mai sl o poure	---⌫|-⌫|----|
quimue rtdeuantlor uelz d e	--|---⌫-|-----|--|---|-⌫|
nedenient regardeiria	-|------|--------|-|
sien destroit	-|-|-------|
quiles iambe sseit co ntr emo ntdreci er	--|--|-----⌫|---|--⌫---⌫---⌫-|-----⌫-|
ki sorla h alteta blesei t fairelo	-|--|-|-⌫---|--⌫--|---⌫|----|-|
al tr e sfait	--⌫--⌫-⌫|---|
bienseitrechin ie r	---|---|------⌫--⌫|
homlaportecel ui	--|-|----|---⌫-|
ma intiento m bien	--⌫------|-⌫|---|
mais lomessagedeu laithom	---|-|------|--|---|--|
laforsestei r	-|---|-----⌫|
nuluinenp ren tpietiezbien l i lait	----||-|-⌫---⌫|------|---|||---|
hom cri eir	--|---⌫--|
lifa it homcelmimes compare ir	-|--⌫-|--|--|----|-------⌫-|
quant liiugle r esuultsa lhiru	----|-|-----⌫-⌫-|---|--⌫---||
liportiers	-|-------|
ribauzmalaestu	-----|--|--|-|
me ssiresuult oir can teirke criestu	--⌫|----|---|--|---⌫---|-|----|-|
altre b ien nefaithomlo message	----|-⌫--|-|---|--|-|------|
m ai scesachie ́s pa ruoir	-⌫--⌫|-|------⌫-|--⌫|---|
quilloriertchi er uen du	-|-|--|---|---⌫-|---⌫-|
teiliatquitostpertcent solz	---||-|--|---|---|---|---|
a uneassise	|--|-----|
etneuoldroit	-|-|-------|
doneirunpoureen	-----|-|----|-|
poistde fendre nede	----|--⌫-----|-|-|
u ent nedebis e	-⌫--|-|-|---⌫|
etquidons noske de usnen doitpr endre iust ic e	-|------|--|-|--⌫-||-|---|--⌫----|----⌫--⌫|
cel u iqui	---⌫-⌫|--|
lauo irdeu	|---⌫-|--|
alowefolement	----|-------|
et laueir quin e donnetnul ui	-||----|--|-⌫|-----|---⌫-|
rienmais totp re nt	---|---|--|-⌫--⌫-|
ausibienlunkelautre m etrat deusen	---|---||-|-||----|-⌫----|---|-|
car cillassemblatma let cilmalle	--|--||--------|--⌫|-|--|--|-|
maislih oneste s homquideu aime t	---|-|-⌫------⌫|--|--|--|----⌫|
etdeucrient	-|--|-----|
a ldo neiraltenir	-⌫|--⌫---|-|----|
totens mesuretient	-----|-----|----|
b ienseit de quan tqui l	-⌫--|---|-|----⌫--|-⌫|
atk edep ar deu	-|-⌫|-|-⌫-|--|
quantiluoitsonmessageuole nti ersleritient	----|-|---|--|------|----⌫---⌫--|-|------|
bienseit dequantqu il	---|---|-|------|-|
atkedeusliatdonét	-|-|---|-|-|-----|
et parce nel	-|--|-|-||
uultildespendreen	---|-|--------|-|
uolentie r sl o despen sesikedeu uient	--------⌫-⌫|-⌫|------⌫-|-|-|--|----|
ka rmalement	--⌫|-------|
l al owetki cefait kedeus heit	|--⌫---|-|-|---|-|---|---|
distke lihomsed oitb ien	---|-|-|--|-|-⌫--|-⌫--|
tr auilh ir	--⌫-----⌫-|
paroeurequi	--|----|--|
boneest li list bieng aanier	---|--|-|---|---|-⌫-----|
dontilceazpuist k isunt	---|-|---|----|-⌫|---|
b ess ignosadrec ier	-⌫---⌫----|-----⌫--|
biengaanietkisi	---|------|-|-|
gaanie tdont altruiuul t a idir	------⌫|---|-----|---⌫|-⌫---|
doit homaidier etcuidoit	---|--|-----|-|--|---|
celuiqui seitastables e ta sescas ioueir	----|--|---|-|-----|-⌫|-⌫|----|-----|
kemaint enanten puist alatauernealeir	-|-----⌫----|-|----||-|------|----|
kib iensachetlesuns etles	-|-⌫--|-----|--|--|-|--|
altresg abeir	-----|-⌫----|
ceazqui seue nt les	---|--|----⌫-|--|
ia mbesencontremont	--⌫---|-----------|
