CO N STANTIN OPLE	--⌫-⌫-------⌫---|
ordeneroientleurba tail lesetqu ille s atender o i enten unes	-----------|---|--⌫----⌫--|-|-|-|--⌫|-------⌫-⌫-⌫--|-|---|
pl achesqu ienluecdeuante stoient lechité	--⌫----|--⌫|-----|-----|-⌫------|-|-----|
etsilne seuol oient	-||-|-|-|---⌫----|
comba tre neilneuoloient le uile rendre qu il	-----⌫--|-|-|-|-------|-|---|-----|-|-|
esgarderoientde quelpart liuens u e nroitsibouteroientle	------------|-|---|---|-|---|-⌫-⌫----|-|----------|-|
f u seurleuentsi le s ardero i ent	-⌫|---|-|---|-|--⌫|------⌫-⌫--|
ensisi lespr enderoientparforcheAchest	---|-|--|--⌫---------|--|-----||----|
conselsacorderenttout libar on	-----||---------|---|-|---⌫-|
Quantche ui ntauue spresise	----|--|--⌫-|-|--⌫---|-|-|
desarmer ent li	--------⌫--|-|
pele rin si se reposerent simengierents i	----⌫--|-|-|---------|-|---------|-⌫|
iurentiluec l e nuitdeu ant leurnauiepar	-----|----|-⌫|---|---⌫--|---|----|--|
ded en slesmu rs	---⌫--⌫|--|--⌫-|
Quantche uin t uersmie nuitque li	----|--|---⌫|---|--|---|--|-|
emp ereres	---⌫-----|
Morchofleslitrai ̈tresseutqu etout li	---------|-|----⌫----|---|--⌫|---|-|
F ranchois furent	-⌫-------|-----|
enlechité sieneutmou t	-|-|-----|-|-|--|---⌫|
grantpeurn e	----|---|-⌫|
iosadem or erainssenfuiamien uit	|--|---⌫--⌫-|---||-|--||--|-⌫--|
qu eonn enseut	--⌫|-||-|---|
Griuuirentqueleuremp ereressenestoitfuis	---|-----|--|---|---⌫-----||-|-----|---|
sitraisent	-|-------|
ila unhauthomme d elechité	-||-|---|----|-⌫|-|-----|
Laskersauoitanonchele	------|----||--|----|
nuitmeesmetantosts ien	---|-----|------|-⌫|-|
Quant chisfufaisemp ereressi ni	----|---|-|---|---⌫-----|-|||
o sademorer	-⌫-|------|
ainssemisten	---|-|---|-|
une galie anc hois que	--|----|---⌫---|--|
iourssisenpass aoutre le	----|-||-|----⌫|----|-|
Nike legra ntqui	---|-|---⌫-|--|
chi tése st i lluecs	---⌫---|-⌫-|-⌫----||
arr esta sen fus ir es etemper er es	---⌫---||-|-|-⌫--⌫-|-|-----⌫--⌫-|
Q uantch euintlendem ain parmatin sine	-⌫---|--⌫|---||-----⌫--|--|----|-|-|
fontmaiselp res tree t clercreues tu	---|---|-|-⌫---⌫--|-⌫|----|-----⌫-|
Dan oisestoi e nt e t gens d aut res	---⌫--|-----⌫-⌫-|-⌫|---||---⌫--|
nationssiuienentila lostas	------|-|------|-|||--|-|
Franchoisa pourches sion si leurcrientilmerchisileur	--------||--------⌫---|-|---|-----|-|-----|-|---|
disentto utensi	-----|--⌫-|---|
Gri uauoientfaitetsi	---⌫|------|---|-|-|
disen tquetoutli	-----⌫|--|---|-|
Griusenestoientfuine	---||-|-------|--|-|
nauoitr em ésenle	|----|-⌫--⌫--|-|-|
chité for spourege nt	-----|---⌫|----|--⌫-|
Franchois oïrentchesen	--------|------|--||-|
furent toutliéetpuis apré sfi stoncrier	-----|---|---|-|---|-----⌫|--⌫-|-|----|
parlostquenu s ne presistost eldeuant	--||--|--|--⌫|-|------|---⌫-|-----|
onaroit atir é comme ntonlesprenderoit	-|----|----⌫-|-----⌫-|-|--|---------|
Adont si sasanleren tl ihau t hommeli rikehomme	----|-||---------⌫|-⌫|---⌫|----|-|---|----|
et prisentcon se lentr aus	-|------|---⌫--⌫|---|--|
quele menue gentnen seurentmotneli	--|-|----|---||-|------|--|-|-|
pourec heual ierde l	----|-⌫-----⌫--|-||
ostque ilprenderoient	--|--|-|-----------|
lesmeille urs ostexdeleuil eet tre sdontcomm enc hierent	--|------⌫--|----|-|-|---⌫|-|---⌫----|----⌫---⌫------|
ilatraïrlem e nuegent etaporterleu r	-||-----|-|-⌫-⌫--|---|-||-----|---⌫|
malefoietmalec o mp aingniequ eilcompe rerentpuis	---|--|-|---|-⌫-⌫--⌫------|--⌫|-|-----⌫-----|---|
moltkier sicomme nousuous dironsapr és	---|---|-|----|---|---|-----|---⌫--|
Sienuoierentsais ir	-|---------|----⌫-|
touslesmelleu rsos texetles	---|--|------⌫-|--⌫--|-|--|
plusrikesde leuiles i	---|----|-|-|---|-⌫|
eu renttoussaisis	--⌫---|---|-----|
a nchoisque	-⌫-----|--|
lipourecheuali erne	-|----|-------⌫-|-|
lemenue gen tdel ostsa percheussent	-|----|---⌫|-||--||-⌫-----------|
Etquantle poure gentsaperchur entsialerent	-|----|-|----|---||--------⌫--|-|------|
dontqui miexmiex si p risent	---|--|---|---|-|-⌫-----|
c ho uquil atains entassés en	-⌫--⌫|-|-|------⌫--|-----|-|
itrouuérentetassés	|----------|-|-----|
enpris entet assés enirem est carl echités	-|----⌫--|-|-----|-||---⌫--|--|-⌫|------|
e stoitmol t gran set	-⌫----|---⌫|----⌫|-|
moltpuepl ee	---|-----⌫-|
limarchi sp rendrele pal ais	-|------⌫|-⌫-----|-|---⌫--|
Li onetlemoustier	--⌫-|-|-|-------|
Sousphie etles mai sonsle patriarkeetli autr ehaut	-------|-|--|---⌫---|-|--------|-|-|----⌫|---|
hommesi commel icont e fisentp re ndre	----|-|----|-⌫|----⌫|-----|-⌫--⌫---|
lesplusrikes	--|---|----|
palaise tl esplusrikesabeïes que on	-----|-⌫|-⌫-|---|----|------|--|-|
ipeuttrouuer carpuisque leu il e	|---|------|--|---|--|-|-⌫--⌫|
fuprisene f ist	-|----|-|-⌫--|
apour e narike	|----⌫|||---|
Ainssen ala	---||-|--|
qui a le rsen uaut	--|-⌫--⌫||-|---|
etqui u autsiremest sis	-|--|-⌫--|-|-----|-||
ena leren tliplus rikedeleuil e	-|-⌫-----⌫|-|---|---|-|-|---⌫|
Apré ssikem andaon	-----⌫|-|---⌫---|-|
q uetou sli auoir sdes waainsfu st	-⌫-|---⌫|-|-----⌫|--|-----|--⌫-|
aportés aune ab eïe	-------||--|--⌫---|
quien lecité	--|-|-|----|
Illuecfu aportés	-----|-|-------|
liauoirset	-|-----|-|
discheualiers haus ho mmes	--|---------|---|--⌫---|
despelerinse t	--|-------|-⌫|
ueniciensque on cuidoitaloiaussi	--------|--|-|------||-----|-|
lesmistona	--|---|-||
chelauoirwarder	---|----|-----|
Sicomm el iauoirsfulaaporté s	-|----⌫|-⌫|-----|-|-|-------⌫|
quisi estoitrikes etta nt	--|-|-----|----|-|--⌫-|
iauoitde rik e	|----|-|---⌫|
ua isselemente dor etdargentetde dras	--⌫----------||-|-||-----|-|-|---|
aor ettantde rike sioiausque ch	|-|-|---|-|----⌫|-----|--|-|
estoitune fi nemerueille dugrantauo i r quiluekes fu	-----|--|--⌫-|--------|-|----|---⌫-⌫|--|-----|-|
apor tés mais	----⌫---|---|
p uisquechis sie cles fuestorés si	-⌫--|--|---|---⌫---|-|-------|-|
grans a uoi rsnesinoblesnesirikesne	----|-⌫---⌫-|-|-|-----|-|-|----|-|
fu ueusnecon quis	-|---|-|---⌫---|
A li xandre neautans	-⌫--⌫-----|-|-|---|
Charlemai ne nedeuan tn e	---------⌫-|-|-----⌫|-⌫|
ap re ́sne iene qu it mieaumienensientque	--⌫--⌫-|-|-|-|--⌫-|--|-|---|------|--|
esquarante	-|-------|
p lusrikesc hitésdu mond eeusttantd	-⌫--|----|-⌫-----|-|----⌫|---|---||
auoircommeontrouua	----|----|-|-----|
Constantinobl e	-------------⌫|
Etsitesmongnoientli	-|-|------------|-|
Gri uquel esde uspars d el	---⌫|--|-⌫-|--⌫-|---|-⌫||
auoirdum o ndeestoienten	----|-|-⌫-⌫--|-------|-|
Co u stantino ble et	--⌫-⌫--------⌫--|-|
letier c he es toit	-|----⌫-⌫-|--⌫---|
esparsepar lemonde	------|--|-|----|
Etchil meïsmequi	-|---|------|--|
lauoirdeuoientwardersiprenoient l es ioia usd	|----|-------|-----|-|--------|-⌫-|----⌫-||
or etchouqueiluoloiente t	-|-|---|--|-|-------|-⌫|
embloientl	--------||
a uoiretpren oi tcascuns desrikes hommes	-⌫---|-|----⌫--⌫|------|--|----|-----|
ou ioiausdoroudr as desoie	-|-----||-|-|--⌫-|-|---|
a or ouchou queilamo itm iex sil	|-|-|---|--|-|---⌫-|-⌫--|-||
Ensi faiteme nt si commenchierent lauo iraem bler si qu e	---|-------⌫-|-|-------------||---⌫-||--⌫---|-|--⌫|
on nedepart ionquesau	-|-|------⌫|-----|-|
lost ne aspoures	|--|-|-|-----|
cheualier snea sserians	---------⌫|-|-⌫|------|
qui lauoirauoien taidiéawaaingnierforsle gr os	--||----|------⌫|-----||---------|---|-|--⌫-|
arge n tsicomme des p aielesdargentquelesdames	----⌫-⌫|-|----|--|-⌫-----||-----|--|--|----|
delechitéportoient	-|-|-----|--------|
Etliautres	-|-|-----|
auoirsquir emestapartirfu ca chiés si	-----|--|-⌫----||-----|-|--⌫-----|-|
male s u oiescomieuou s aidit	----⌫|-⌫---|--|-|---⌫|-|--|
maistot es	---|---⌫-|
eureseneurentli	----|-|-----|-|
u en icienleurmoitié	-⌫--⌫----|---|------|
etl e spi erres	-|-⌫-⌫|--⌫----|
preci e usesetligranstr esor sq ui	-----⌫-⌫---|-|-|----|--⌫----⌫|-⌫-|
r eme stapa rtira lasimalesuoiescomme	-⌫---⌫-||--⌫---|-⌫-|-|----|----|----|
nous uousdir onsaprés	---|---|---⌫--|-----|
Quant le chitésfu p rise	----|-|------|-|-⌫---|
et lipelerin se	-|-|------|-|
f u rentherbergiés icomie u ousai dit	-⌫-⌫---|---------|-⌫|--|-|-⌫--|-|--|
et lipalaisfurent prissitro uaon	-|-|-----|-----|---|-|---⌫-|-|
tantde rique ches es palais quetrop	---|-|-----⌫---|-|-----|--|---|
Siestoitlipa lai sde	-|-----|-|--⌫---⌫|-|
Lio nsir ikeset	---⌫|-|-⌫---|-|
sifai s co m ie uous dirai	-|---⌫|--⌫|-|---|----|
Il auoitbiended en s chupa l aisqueli	-|----|---|---⌫--⌫|--|--⌫-⌫--|--|-|
marchistenoit	------|-----|
chincchensmansion sq uito utes tenoientl une a	----|----|-------⌫|-⌫-|--⌫---|-------||--||
estoientto t es	-------|--⌫-⌫-|
f aitesa ore musi ke et sien iauoit	-⌫----||--|----⌫-|-|-|-||----|
bient rente c apelesque gra ns qu epetites	---|-⌫----|-⌫-----|--|---⌫-|--⌫|------|
sieni a uoit	-|-||-⌫---|
uneque onapeloitle	--|--|-|------|-|
Cape lequi	----⌫-|--|
siestoit rikeet	-|-----|---|-|
noblequil n i auo i t ne gon s	----|-|-|||---⌫-⌫|-|---⌫|
neueruelesneau tresmenbresquiaf erapart enissen t qui	-|-------|-|--⌫---|------|--||-⌫-|-----⌫-------⌫|--|
toutne fussen td argent	---|-|------⌫||-----|
nesi niauoit	-|-|||----|
col omb equi	---⌫---⌫|--|
nefusto u deia spe ou de pourfile	-|---|-⌫|-|--⌫--|-|-|-------|
p ierresprecieuses	-⌫-----|---------|
Etlipauemen s de l e capeleestoitd	-|-|-------⌫|-|-⌫|-----|-----||
unblancmarbresilisteetsicl er	-|----|-----|-|----|-|-|--⌫-|
queil sa nloi tqu	--|-|--⌫----⌫|-|
il fustdecristal etestoitchelecap e lesi	-|---|-|------|-|-----|----|---⌫-⌫-|-|
rikeetsinoble queonne uo us	---|-|-|----|--|-|-|--⌫-|
porroit mie aconter	------|--|------|
leg ra ntbi aute ́ne le	-|-⌫--⌫-|--⌫----⌫|-|-|
grantnobleche	----|-------|
de che lecapel e	-|---⌫-|-----⌫|
D edens chele capele	-⌫----|----|-----|
si t roua on	-|-⌫---|-|
d emoltrike ssaintua ire squeon	-⌫|---|----⌫|-------⌫---⌫|--|-|
itrouadeus pi eches del e	|----|---|--⌫----|-|-⌫|
Croisaussigroses	----|----|-----|
commelegambea	----|-|----||
unhomme et aussi	-|----|-|----|
longes comme	-----|----|
demietoi seetsii trouaon	----|---⌫-|-|-||----|-|
lefer d elelanchedont	-|--|-⌫|-|-----|---|
Sire s eutlecosté perchiéet	----⌫|--|-|-----|-------|-|
les deuxcleusq u ile utfichiésp ar	--|---|----|-⌫|-|-⌫-|-------|-⌫-|
mi lesm ains	-|--|-⌫---|
etparmi l espiésetsitrouaon e n	-|--|-|-⌫-|----|-|-|----|-|-⌫|
unefiolede cristalgra ntpartie	--|----|-|------|---⌫-|-----|
des ensancetsi	-|-⌫-|---|-|-|
itroua o nle tun i kequ	|----|-⌫|-|---⌫-⌫-|-|
ilauoituestue que onlide sp oullaquantonl	-|----|-----|--|-|-|--⌫--⌫----|----|-||
eu tmen e ́aumontde	--⌫|---⌫-⌫|-|---|-|
Ca uuairee tsii trouaonleb e neoite corone dont	--⌫-----|-⌫|-||----|-|-|-⌫-⌫-----|-----|---|
ilfu coronésqui e stoitdei oins	-|-|-------|--|-⌫----|-|-⌫---|
marinsa uss ipougnanscomme	-----|-⌫---⌫|-------|----|
fersdalesnes	---||------|
Etsiitrouaon deleuesteur e	-|-||----|-|-|-|-------⌫|
Dameetlekiefmonseigneursaint	---|-|-|---|----------|----|
Baptistre ettantdautres ri kes saintuaire s il luec	--------|-|---||-----|--⌫--|----------⌫|--⌫---|
neleuousporroiemieaco nter	-|-|---|------|--|---⌫---|
nedire leuerité	-|---|-|------|
encore autress aintuaires	-----|-----|-⌫---------|
en chele capeleque nous	-|----|-----|--|---|
uousauie me seuliés adi recaril	---|----⌫--⌫|------||--⌫-|--|-|
i a u oitdeusrichesuai ssiau sd	|-⌫-⌫--|---|-----|---⌫-----⌫||
pendo ient en	-----⌫---|-|
mi le capel eadeus grossescaaines	-|-|-----⌫||---|------|------|
de cheswaissia u ssi	-|---|-------⌫-⌫|-|
iau oit unet uileet	|--⌫--|--|-⌫---|-|
enlautreune	-||----|--|
touai lesi uousdirons	-----⌫-|-|---|-----|
dontchil s aint uaireesto ient uenu	---|---|-⌫----⌫----|----⌫---|---|
Ileutiadisun sain th omm een	-|--|----|-|----⌫|-⌫---⌫|-|
Cou st antinobles ia uintquechus sains	---⌫--⌫--------|-⌫|-⌫---|--|---|----|
honsrecouuroitdetiul elemaisonaune ueue fem me	---|---------|-|----⌫|-|-----||--|---|---⌫-|
pour lamour	---||----|
Sicommeil lerecou uroitsisapar ut	-|----|-|-|-----⌫----|-||----⌫-|
Siresa lui	----||--|
s iparla aluiorauoitli	-⌫|----||--|-|----|-|
boinshonsunetoaileentour lui	----|---|--|-----|-----|--|
Chadonne fist	--|----|---|
Si re chele to aile et	--⌫-|----|--⌫---|-|
liboinshonsl ibai lla et	-|----|---|-⌫|---⌫--|-|
Siresenenuolepa	----|-|-------|
senuisa g esiquese forme i	--|----⌫-⌫|-|--|-|----||
fu emprienteepuisselireba illaseli	-|---------|---|-|-|----⌫---|-|-|
ill e mportas t	-||-⌫-------⌫|
etquilla toucast as maladeset	-|-|-|-|------|-|------|-|
qui creancheiaroitsisero it netiés	--|-------||----|-|----⌫-|------|
dese maladie	-|-|------|
Etli bo inshonsle	-|-|--⌫--|---|-|
pristsi lenporta	----|-||------|
maisdeuant cho uq uill e mportast	---|-----|---⌫|-⌫|-||-⌫-------|
Dieuslieut	----|-|--|
rendu e se toai les ileprist l e boins hons	-----⌫|-|----⌫-|-⌫|-|----|-⌫|----|---|
silemuchasousun e tiul ed usques au	-|-|----|---|--⌫|----⌫|-⌫-----|-|
Au uesprequantil	-|-----|----|-|
s enalasip rists e toua ilesicomme	|-|--|-|-⌫---|-⌫|----⌫--|-|----|
illeua leti ules iuit	-|---|-|--⌫--|-⌫|--|
le formeemprienteee nletiu leau ssicommeen	-|----|---------|-⌫|-|---⌫-|--⌫--|----|-|
letoailesi enp ort a l e tiul e e tletoai lepuis	-|-----|-|---⌫---⌫|-⌫|----⌫|-⌫|-|----⌫-|---|
e nw arirentmaint maladee tchilsaintuairependoient	-⌫|-⌫------|----|-----|-⌫|---|---------|--------|
enmilecapele si comme ie uou s ai dit	-|-|-|-----|-|----|-|---⌫|-|--|
Orauoitencoreenchele	-|----|-----|-|----|
C ap ele un	-⌫--⌫--|-|
au tre saintu airecari l i auoit	--⌫--|------⌫---|--|-⌫||----|
une ymage desaint	--|----|-|----|
Dimitrequi e stoit pai nte enun	------|--|-⌫----|---⌫--|-|-|
Chisymag es si	---|----⌫-|-|
r endoittantdoil equeonn e nsauoittan t	-⌫-----|---||---⌫|--|-||-⌫|-----|---⌫|
ostercommeil	----|----|-|
decoroitdec helymage	-------|-|-⌫--|----|
Si iauoitbienuint	-||----|---|---|
desca pel eset	--|--⌫---⌫-|-|
a uoit bien deuschensmansion soutroischens qui	-⌫---|---|---|----|-------⌫|-|----|----|--|
tou testenoientensemen tlu n e	---⌫--|-------|-------⌫||-⌫-⌫|
autreetestoien ttoutesfaitesa or em usike	----|-|-------⌫|-----|-----||--⌫|-⌫----|
E testo itch ispalaissirik eset sinobles	-⌫|----⌫-|--⌫-|-----|-|---⌫-|-|-|-----|
queonneleuous	--|-|-|-|---|
saroit miedesc rireneac ont er	-----|--|----⌫---|-|--⌫---⌫-|
le gr antnoble che	-|--⌫--|-----⌫--|
nele grantri quec hede	-|-|----|--⌫----⌫-|-|
chu pa lais	--|--⌫---|
En chelpa l ais	-|---|--⌫-⌫--|
Blakernetr o uaonmolt grant tresor	-------|--⌫-⌫-|-|---|----|-----|
etm o ltrikequeoni	-|-⌫-⌫-|---|--|-||
rikesco ronesquia uoientestéasempereeurs	----|--⌫----|--|-⌫-----|----|-|---------|
q uipardeuantifurentet les riques	-⌫-|--|-----||-----|-|--|-----|
i oiaus d or etlesrikes	-⌫----||-|-|--|----|
drasde so ie	---|-|--⌫-|
a or et les rik es robesemperiause tle sriques	|-|-|--|---⌫-|----|--------|-⌫|--⌫|-----|
pierr e sprecieuseset ta nt dautres rique chesque	-----⌫-⌫|---------|-|--⌫-||-----|-----⌫---|--|
on nesa roitmie nombrerlegrant	-|-|--⌫---|--|------|-|----|
tresordor etdargent qu e on	-----||-|-||-----|--⌫|-|
delieus ailleurs	-|----|-------|
e nlechité	-⌫|-|-----|
Aprés lipel erinesgarder ent legr andeurdeleuile	-----|-|---⌫---|--------⌫--|-|--⌫-----|-|-|---|
etl esp alaiset les	-|-⌫-|-⌫----|-|--|
rique s abeïesetlesriquesmou stiersetlesgrans	-----⌫|------|-|--|-----|---⌫-----|-|--|----|
merueil les quiestoient e n	-------⌫--|--|-------|-⌫|
leu ile si	-|-⌫--|-|
senm erueil li erent moltdurementet	|-|-⌫------⌫--⌫----|---|-------|-|
semerueil lierentmoltdumo ustier	-|-------⌫------|---|-|--⌫-----|
Sous ph ie etde l e riquecheq ui	----⌫--⌫-|-|-|-⌫|-------|-⌫-|
Oruou s diraidumoustier	-|---⌫|----|-|-------|
Soup hiecom	----⌫--|--|
fa is il estoit	--⌫-|-|-----|
Souphi e engriu chest	------⌫|-|---|-|--|
Tr initése n fr anchois	--⌫------|-⌫|--⌫------|
Limoustie rs	-|-------⌫-|
Souphieestoittrest ous	------|-----|-----⌫--|
Siiauoitunes	-||----|---|
uautesp ar deden slem oustierentora	-----|-⌫-|-----⌫|-|-⌫------|----||
ler e ondequi estoientporteesd	-|-⌫-⌫---|--|-------|------||
unesgrosses colo mbe smoltrikesquei l	---|------|----⌫---⌫|---|----|--|-⌫|
niauoit colombe qui	||----|------|--|
de iaspe ou depo rphile ou	-|----|-|-|--⌫-----|-|
d erique sp ierresprecieuses n e sinen i auoit	-⌫|-----⌫|-⌫-----|---------|-⌫|-||-||----|
nule dechescolombes quine	---|-|---|-------|--|-|
portas tmedechinetele	------⌫|--------|---|
iauoitq uiwarissoitdum aldesrains	|----|-⌫-|--------|-|-⌫-|--|----|
quantons i frotoit telequ iwaris oitdu	----|-|||------|---|--⌫|-----⌫--|-|
ma ld uflancettelesq ui	--⌫|-⌫|----|-|----|-⌫-|
warissoien t da utre s	----------⌫||-⌫----⌫|
mala diesnesi ni	----⌫---|-|-|||
auoithuis en chu moustier	----|---|-|--|-------|
ne gonsneueruelesneautres	-|---|-|-------|-|-----|
menbresqui a f er apartenis sentquitout ne	------|--||-⌫-|---------⌫---|--|---|-|
fu ss entdargent	--⌫--⌫--||-----|
Limais tresauteus	-|----⌫---|-----|
dumoust ier	-|-----⌫--|
estoit sirikes queonnel eporroit	-----|-|----|--|-|-|-⌫|------|
mieespri siercar le	--|-----⌫---|--|-|
taule qui seu rl	----|--|---⌫||
aut elestoitert	---⌫-|-----|--|
pierrespre ci eus eses qu artele es et mo lues tou t ietéensa nlequeuns	------|---⌫--⌫---⌫-|--⌫--⌫------⌫-|-|--⌫---|---⌫|----|----⌫--|--|--|
rikesempereresfistf airesiauoitbien	----|--------|---|-⌫---|-|----|---|
che letaule quatorz e piésdeloncento rlautelauoit	---⌫-|----|-------⌫|----|-|---|----⌫||----|----|
un e scoulombesd argentquiportoient	--⌫-⌫|--------||-----|--|--------|
unabita c le seu rlautel	-|-----⌫-⌫-|---⌫||----|
quiestoita usifa is commeuns clok ier squi to us	--|-----|-⌫--|--⌫-|----|--|----⌫---⌫|--|--⌫-|
esto itdargent	----⌫-||-----|
mass is q ui	----⌫-|-⌫-|
estoit si r ikesqueonnepeustmi e	-----|-|-⌫---|--|-|-|----|--⌫|
nomb rer lauoirqueilualoit	----⌫--||----|--|-|-----|
laouon lisoitlewangile estoitsi	-|-|-|-----||-------|-----|-|
rikeset sino bles que nousne leuous	----|-|-|--⌫---|--|---|-|-|---|
sariemesmie descrire	-------|--|-------|
Aprés contreuallemoustierpendoit bi ench entlampierssi	-----|--------|-|-------|------|--⌫-|--⌫--|-------|-|
niauoitlamp ierqui	||----|----⌫--|--|
ne pen dist au ne grossecaained argent	-|---⌫---||-⌫-|-----|-----||-----|
aussigros secomme l ebrach a	----|----⌫-|----|-⌫|----||
unh o mmesii	-|-⌫-⌫--|-||
cascunla mpier bienuint et	-----|--⌫----|---|---|-|
c hinclampe souplus ets in	-⌫---|-----⌫|-|---|-|-⌫||
ia uo itlampierqui	|-⌫--⌫-|------|--|
neuausistbiendeuschensmarsdarg entA l	-|------|---|---|----|---||---⌫--|||
a neldu gra nthuis dumoust ier quitous	-⌫--|-|---⌫-|---|-|-----⌫--|--|---|
estoitdargentsii pendoitun s	-----||-----|-||------|--⌫|
b uhotiausqueon nesauoit dequele despois e	-⌫-------|--|-|-|-----|-|----|-------⌫|
il e stoits iestoitdugra n t	-|-⌫----|-⌫|-----|-|---⌫-⌫|
a une fl eustedontchilpasteurfleustent	|--|--⌫----|---|---|------|--------|
Ich isb uhoti aussi auoitt ele	---⌫-|-⌫-----⌫--|-|----|-⌫--|
u e rt u co mie uousdirai	-⌫-⌫--⌫|--⌫|-|---|----|
Quantunsenf ersh ons	----|--|---⌫--|-⌫--|
quiauoitmal dedens lecorssicomme	--|----|--|-----|-|---|-|----|
d enflequided en s	|----|--|---⌫--⌫|
estoitenf léslem etoitensebou ch e	-----|---⌫---|-|-⌫----|-|-|---⌫--⌫|
iasi peu nelieust misquant	-|-|--|-|-|---|--|----|
chusbuhotia u sle prenoitse	---|-------⌫-⌫|-|------|-|
lisuc hoittoutechelemaladieetchuuenin	-|---⌫---|----|----|------|-|--|----|
l ifaisoitc orre horspar	-⌫|------|-⌫---|---|--|
milegeulesile tenoit si fortqu	-|-|----|-|-|-----|-|---|-|
illef aisoitesruullieretlifaisoitlesiex	-|-|-⌫-----|---------|-|-|------|--|--|
t orne re n	-⌫----⌫|-⌫|
le testenenesenpooitpartirdeuant	-|----|-|-||-|----|-----|-----|
la que libuhotiausliauoitsuchié	-|--|-|--------|-|----|------|
c h el emala dieto uteh orsetauect outchouq ui	-⌫-⌫--⌫|----⌫--|--⌫--|-⌫--|-|---|-⌫--|---|-⌫-|
estoitplusma lades s i	-----|---|--⌫----|-⌫|
letenoitpluslongementet quantuns ho nsquin	-|-----|---|--------|-|----|--|--⌫-|--||
estoitmi e malades	-----|--⌫|------|
le m et oitase bouque	-|-⌫--⌫--||-|-----|
ia neletenis tnepeu	-|-|-|-----⌫|-|--|
A présdeuantchumou sti erde	-⌫----|-----|--|---⌫---⌫-|-|
Souph ie auoitune grosse colombequi	-----⌫-|----|--|-----|------|--|
bien auoi t trois brachi esa	---|----⌫|----|------⌫-||
de groisseuretsiauoit bie nchinquantetoises	-|--------|-|-|----|---⌫|---------|-----|
dehaut siest oitfaitedema rbre et	-|---|-|---⌫--|----|-|--⌫---|-|
puisde coiurepardes eure	---|-|-----|--|---⌫---|
le marbreetestoit m olt bienloiiedeboine s b endes	-|-----|-|-----|-⌫--|---|----|-|-----⌫|-⌫----|
Lassuss eurlebout de	-----|-⌫--|-|---|-|
chelec oulombesiauoit une pierrequi	----|-⌫------|-|----|--|-----|--|
bienauoitquinze p iésdelonc e taut antde	---|----|-----|-⌫---|-|---|-⌫|---⌫--|-|
Seur chelep i er r e	---|----|-⌫-⌫--⌫-⌫|
siauoit unempereeurie té deco i ur e seurungrant	-|----|-|--------|--⌫--|-|--⌫-⌫--⌫|---|-|----|
cheual de coiurequiten doit se	-----|-|-----|--|---⌫---|-|
main uers pai enismeetauoit letre sseurluiescrites qui	---|---|---⌫-----|-|----|-----⌫|---|--|-------|--|
diso ientquei uroit	----⌫---|--|-⌫----|
Sarrasin naroienttriw esde	-------||------|----⌫-|-|
l ui etens au tre	-⌫-|-|-||--⌫--|
ma in tenoitunepumedoret	--⌫-|-----|--|---||-|-|
unecroisseu rlepume	--|----|---⌫|-|---|
Et disoient	-|-------|
Griuquec hou	---|--|-⌫--|
Erac lesliempereres e tauoitbien que se u r	----⌫--|-|--------|-⌫|----|---|--|--⌫-⌫|
l e crupeducheual qu ese u r	-⌫|----|-|-----|--⌫|--⌫-⌫|
letesteque en tordis ai res	-|----|--|--⌫--|--|--⌫--|
dehairons qui ill uec aaroi ent cas cunan	-|------|--|---⌫--|-----⌫--|---⌫--|-|
Aprés ailleursenlechité	-----|-------|-|-|-----|
auoi tunautre	----⌫|-|----|
mo u stierque	--⌫-⌫----|--|
onapeloit l emoustier	-|------|-⌫|-------|
Si d isoito nquil	-|-⌫----|-⌫|-|-|
estoi t encorepl u srike set	-----⌫|-----|--⌫-⌫|----⌫|-|
plusnoblesqu e	---|-----|--⌫|
l imo us tiers	-⌫|--⌫--⌫----|
Souphieet t an ti a uoit	------|-|-⌫--⌫||-⌫---|
derikeches et de	-|-------|-|-|
nobl echesqueon neuouss aroit miacon te rl e	----⌫----|--|-|-|---|-⌫----|-|----⌫--⌫|-⌫|
noblechenele rikeche	-------|-|-|------|
dechumousti er	-|--|------⌫-|
Sii ge soienten	-||--⌫-----|-|
chu mo ustierset co rsdapostresets i i	--|--⌫-----|--|--⌫-||-------|-|-⌫||
estoit lecolomb e de marbreou	-----|-|------⌫|-|-----|-|
Siresfulo iésanchoisq uilfustmisen	----|-|--⌫---|------|-⌫|-|---|--|-|
l ecroisetsidisoit onque	-⌫|----|-|-|-----|-|--|
Cou stentins liempereresigesoit et	---⌫-------|-|--------||-----|-|
H elaine etassés a utresemp ereeurs	-⌫-----|-|-----|-⌫----|---⌫------|
O ra uoitailleurs enlechite ́uneporte	-⌫|-⌫---|-------|-|-|-----⌫|--|----|
Mant iaud or	----⌫--||-|
Seurch eleportesiauoit un	---|--⌫--|----|-|----|-|
pumeldorquiestoit	----||-|--|-----|
f aisp arte lencantementqueli	-⌫--|-⌫-|--⌫|----------|--|-|
G riudisoientqueiat ant co mme	-⌫--|-------|--|-|-⌫--|--⌫--|
li pum iax ifust causd etounoirrenecarroit	-|---⌫--||---|---|-⌫|--------|-|------|
e nle chit é seur	-⌫|-|----⌫-|---|
chu pumela uoit unimageieté	--|----|-⌫---|-|----|----|
deco i urequiauoitun	-|--⌫-⌫--|--|----|-|
