#MET A#T e xt URI	----⌫-|-⌫-⌫--⌫--|
#M ETA #DEAFhtt p//ww w.d e a f-page.d e/bibl /b ib99m.php# Meraugis F	--⌫---⌫|---|---⌫-----⌫---⌫-⌫-⌫--------⌫------⌫--⌫----------⌫--------⌫|
#META#ARLIMAhttps// www.arl ima.net/qt/raoul_de_houd enc .h tmll#mer	-----|-----|-------⌫-------⌫------------------------⌫---⌫--⌫-------|
#META#Auth orRaoul	-----|----⌫-|----|
de Houdenc	-|------|
uolontiersuo s	---------|--⌫|
cngeteroie	-|-------|
M esienepuis.	-⌫-|-|-|----|
- Sip oezb ien	|-|-⌫--|-⌫--|
Cele respon tSo zciel n	---|------⌫|--⌫|---||
Q ueiene face -Donc	-⌫-|-|-|---||---|
Por moi edierquantmieu z	--|--|----|----|----⌫|
Estre queuo s pren e zco ngié	----|--|--⌫|----⌫-⌫|--⌫----|
Etdites d itantuos pri gié	-|----||----|--|--|---|
Qua leruolezen uo streterre.	-|-⌫--|----|-|--⌫---|-----|
Simirez.I.che ua lierquerre	-||---|--|---⌫--⌫---|-----|
Ouimoutmaime Goruains	--|---||---|-------|
deP antelïon	-|-⌫--------|
Estsesrep eres.Dites li	--|--|---⌫----|----|-|
LamortMe raugise tei nsi	-|---|--⌫-----|-⌫|--⌫--|
Coment Belchis	-----|------|
liLoismaprise	-|---|||----|
Et se ilmaime	-|-|-||---|
t ant ne prise	-⌫--|-|----|
Qu il m e uueille	-|-|-⌫|------|
uersl uic o nquerre	---|-⌫-|-⌫-⌫------|
seig n ord em a	----⌫-⌫-|-⌫|-⌫|
Presentement porguerroiier .	-----------|--|----------⌫|
Saforc emepuetdesresnier	||----⌫|-|---|---------|
Soesera iets	--|----⌫|-||
Leroiaum equi de moimue t	-|------⌫|--|-|--|---⌫|
Li doinget	-|----|-|
uueilqueilsoitsuens	----|--|-|---|----|
Ca rsecis tfetde	--⌫|-|---⌫|--|-|
moise sbuen s	--|--⌫|----⌫|
Ia mesn equier por	-|--|-⌫|----|--|
nul a u oir	--|-⌫-⌫--|
bienneioie	---|-|---|
Ami ceami eor est	---⌫-|---⌫|-|--|
Dites moi AnchisésleRos	----|--|--------|-|--|
Monsenesc ha l queie	--|------⌫--⌫|--|-|
C omesa dam e etli comant	-⌫--|-|---⌫|-|-|-----|
Que GoruainCadruz	--|------|-----|
Reçoiuele premerainior	-------|-|--------|--|
QueGoruainsliuen dr arequerre	--|-------|-|---⌫--⌫|-------|
aïtdela guerre	---|-|-|-----|
As onpooi r.Seinsi lefet	|-⌫-|----⌫-||----|-|--|
Ielame rai	-||---⌫--|
ouentreset	-|-------|
n elfesoit ielehar roie .	-⌫-|-----|-|-|---⌫----⌫|
Porensei gnequ il uo s encroie	--|-----⌫--|-|-|--⌫|-|----|
Lipor terezcestaneldor.	-|---⌫----|---|---||--|
Illa ch atademo ntreso r	-||-⌫--⌫--|-|--⌫|-----⌫|
Selconoistbienetp ar itant	--|------|---|-|-⌫-|----|
Iecuitainçois	-|---|-------|
lemois issant	-|---|-----|
Or raBelchisautresn oueles.	--⌫-|------|-----|-⌫------|
Cestconse il ont	---|-----⌫-|--|
les damoiseles	--|---------|
Aferm é etAmiceuet	-----⌫-|-|----|--|
Cong iéprend re etBelchisla l et	----⌫--|-----⌫-|-|------|-|-⌫-|
Alerqueriensn eli demande.	---|--|----|-⌫|-|-------|
Amice monte	----|----|
quicomande	--|------|
LidoineaDeua tants	------||--||---||
Et s acheminecelepart	-||-------|---|---|
Ouel cuide	-|-|----|
Gor uaintrouer.	---⌫---|------|
Ta ntsepaine detostaler	--⌫-|-|----|-|---|---|
Q uele l at r oué comesage	-⌫|--|||-⌫-⌫---|---|---|
raconteso nm essa g e	------|--⌫|-⌫----⌫-⌫|
f olio120a	-⌫-------|
DeparLidoineq uilsa lue.	-|--|------|-⌫--|--⌫---|
EtquantGor uains ae ntendue	-|----|---⌫---|||-⌫------|
L a damoiselesiot	-⌫|--------|-|-|
M outgra ntia	-⌫--|---⌫-|-|
mesderiens qui l oie	--|-|----|-|-⌫|--|
Ence sts ieclegre i gnor	-|--⌫-|-⌫----|---⌫-⌫---|
Etditque Bel chisenaura	-|--|--|---⌫---|-|---|
Lames lee.Soz	-|---⌫---|--|
ciel na terre	---|||----|
Ou ilnalast pur liconquer r e	-|-||----|--|-|-------⌫-⌫|
Porce qu il	--|-|-|-|
il lipleroit.	-|-|-------|
Einsiio ianzcomilestoit	----|--⌫---|--|-|-----|
semonttozs esami s.	-----|--|-⌫-|---⌫-|
Tuit lihauthome doupaïs	---|-|---|---|--|----|
Goru ain quiass emble	----⌫--|--|---⌫----|
Grant g ent tant qui le not	----|-⌫--|---|-|-⌫|-⌫|-|
.CCC.quituit sont hautbaron .	----|--|---|---|---|-----⌫|
Am ice alaa Ca ualon	--⌫--|--||--⌫----|
Aus eneschal a lapucele.	-|-⌫-------||-|------|
Etquantil oïla	-|----|-|--|-|
damequiestoitprise	---|--|-----|----|
Si blasmeBelc hi set	-|-----|----⌫--⌫|-|
ia mesnesera	-|--|-|---|
Liezneioianzainçoi saura	---|-|-----|-------⌫|---|
Te l pletba st ipar	--⌫|---|--⌫--⌫|--|
quoiBel chis	---|---⌫---|
Seraessilliezet	---|--------|-|
D esaterre silne liren t	-⌫|-|----||-|-|-|---⌫|
Sad ameetdit	-|-⌫--|-|--|
outre ement	-----⌫----|
Quil fer a quan qu ele li	-|-|---⌫|---|-|--|-|
Puisqueinsiestqu e lec omande	---|-|----|--|-|-⌫-|-⌫-----|
Qu ensa terre	-|-|-|----|
soitreceüz	---|------|
Goruains bien i	-------|---||
s oitiluen u z	-⌫--|-|---⌫-⌫|
ill e r ece urau olentiers.	-|-⌫|-⌫---⌫--|-⌫---------|
Lorsmand eatozlescheualiers	---|----⌫||--|--|---------|
Dou roiaume quetoteins i	--|------|--|--|----⌫|
Estoientua i ncuet honi	-------|--⌫-⌫--|-|---|
Solor dame en pris on	-|--|---|-|----⌫-|
lessoient.	---------|
Liche uali erquimout	-|---⌫----⌫-|--|---|
Lorda meentendirentl afere	--|--⌫-|----------||----|
Quemau gréliueu tBelch is fere	--|---⌫---|-|---⌫|-----⌫-|---|
De sonfiz roimout	-|--|--|--|---|
Et dïenttuitqu ilon	-|-----|---|-|-|-|
La guerre. A	-|------||
tante nestuenuz.	---|-⌫|--|-----|
Tozlipa ïs es t esmeiüz	--|-|--⌫--|--⌫|-------|
Desnoueles quil	--|------|-|-|
oëntdi re.	----|--⌫--|
AC aualo n	|-⌫-----⌫|
a. I.co ncir e	|-⌫-|--⌫----⌫|
A ssemblenttuitli haut	-⌫--------|---|-|---|
Riensnitrue uentseguerrenon	----|||----⌫---|-|-----|--|
fol io12 0b	---⌫----⌫-|
E nlor conseilpar to t manderent	-⌫|--|------|--|--⌫|--------|
Lorg enzet	--|-⌫--|-|
es briéscomanderent	-|-----|----------|
Quen .uI II.io rzfussenttuit	-|-|---⌫--|--⌫-|------|---|
Leiorqu eli co ncire s	-|--|--⌫|-|--⌫-----⌫|
uintG oruains Cadruzogr anz	---|-⌫------|-----||--⌫--|
Quantcildelacité dedenz	----|--|-|-|----|-----|
Oïrent queG oruains	------|--|-⌫-----||
Asi g rantg ent comil auoit	|-|-⌫---|-⌫--|--|-|----|
Mout fure ntlié encontrealerent .	---|----⌫-|---|-------|-------⌫|
L i borioisqui	-⌫|------|--|
lor da me amerent	--|--⌫-|------|
uindrentt uitfors deCaualon.	-------|-⌫--|---|-|-------|
Aioieet aprocessïon	|---|-||----------|
Eu Goruainscelior	-|-------|--|--|
Sitostcom ilfu	-|---|--|-|-|
descenduz.	---------|
EtAnchisésli seneschaus	-|--------|-|---------|
Quimout estoi t preuz	--|---|-----⌫|----|
ui ent de ua nt luisile	--⌫--|--⌫--⌫-|--|-|-|
De la terrea	-|-|----||
la dameetdist	-|---|-|---|
Oian zto zq u e le le	----⌫|--⌫|-⌫|-⌫-|-|
Porbienferec eq uelemande	--|---|---|-⌫|-⌫|--|----|
Liaban donesestres ors.	-|----⌫---|--|----⌫---|
Goruai nsquienf ist trer efors	------⌫-|--|-|-⌫--|----⌫|---|
Onq ues pou resnesen	---⌫--|---⌫--|-||-|
Cheuali ersquien	-------⌫--|--|-|
uousistprendre.	------|-------|
PartantlorfistGorua ins	--|---|--|---|-----⌫--|
Quiln estoitpasuilains	-|-||-----|--|------|
ne chi ches	-|---⌫---|
AinzdïentToz nos	---|-----|--|--|
afet riches	|--|-----|
Cistnoueaus sire.Bien	---|------|----|---|
ue nuz Einsi leloe ntcil	--⌫--|----|-|---⌫-|--|
Por lalargeceq u ilitrueuent.	--|-|------|-⌫|-||--------|
Larg eceestteusquede	----⌫--|--|---|--|-|
Beautésens	------|---|
Neualentnoientselargece	-|-----|-----|-|------|
I faut carlargecee nlumine	|---|--|------|-⌫------|
P roecelar geceestmecine	-⌫----|---⌫---|--|-----|
Pa r qu oip roece mont eenhaut.	--⌫|--⌫-|-⌫----|----⌫|-|----|
Nu snepuetselargece	--⌫|-|---|-|------|
Conquerre pris pa rs onescu.	--------|---|--⌫|-⌫-|----|
Largece quitotauain cu	------|--|--||----⌫-|
A siceuspris quila imenttant	|-|---|---|-|-|-⌫----|---|
G or uainCadruz quon ques	-⌫--⌫---|-----|-|--⌫---|
Nameren t seignorqu il eu ̈ssent	|------⌫|------|-|-|--⌫-----|
Carencestpoint riensn e	--|-|---|----|----|-⌫|
Desonplesir	-|--|-----|
quientr eset	--|----⌫---|
S i l peu ̈ssent	|-⌫|---⌫-----|
folio12 0c	-------⌫-|
Eins ifuGoruains comiedi	----⌫|-|-------|--|-|-|
Sireset deto tlontsesi	----|-|-|--⌫||--|---|
Goruainsaparles	-------||--|--|
chasteaus mis	--------|--|
Sesg ard e seinsia	--|-⌫---⌫-⌫|----||
Le roiaumeetmis ensamain	-|------|-|--|-|-|---|
Etditquil mouralendemain	-|--|-|-|----|--------|
De Caualonotot sonost.	-|------||--|--|---|
Lesn ou eles quim outuo nt tost	--|-⌫--⌫---|--|-⌫--|--⌫-|---|
Sonttant alee squeBelchis	---|---|----⌫|--|------|
crueu seteschi s	-----⌫|-|-----⌫|
Setcelemueteetsetporuoi r	--|---|----|-|--|--|---⌫|
Qu illicouientl ague rreauoir	-|-|-|------|-⌫|---⌫--|----|
PorLid oines il ne	--|---⌫---||-|-|
Mes se Belchisli	--|-|------|-|
Loisne ment	---|-|---|
Mieu xuo udro it estrerenoiiez	----⌫|--⌫----⌫-|----|-------|
ocisounoiiez	---|-|-----|
Que poreustozen feïst	--|--|--|--|-|-----|
Comentqu il autc editil b ien	-----|-|-|--|-⌫|--|-|-⌫--|
Lido inenerendrailpas .	----⌫--|-|-----|-|---⌫|
Nestmiecomenc iee agas	|--|--|------⌫--||--|
Cestemesl ee mesa certes.	----|----⌫-|--||------|
B elc hi s quiquerestort les pertes	-⌫---⌫--⌫|--|--|------|--|-----|
G arnistses marcheset	-⌫-----|--|------|-|
Sesparenzquigrantioiefon t	--|-----|--|----|---|---⌫|
Dela meslee	-|-|-----|
etdelaguerre.	-|-|-|------|
Tote estesmeüe	---|--|------|
Iu s qualamer parce loutr ag e.	--⌫-⌫-||-|--|--|--⌫|----⌫--⌫-|
Belchisfumoutde	------|-|---|-|
grantlignage	----|------|
Et dehardi	-|-|----|
etde cruel.	-|-|-----|
Tuit si pare ntfu rentitel	---|-|----⌫-|--⌫---|---|
Qu onquesamor	-|-----|---|
nepesnameren t.	-|--||------⌫-|
Desonli gnagesas semb lerent	-|--|--⌫----||--⌫----⌫-----|
.CCC. etplusi sont	----|-|---||---|
Au c haste lla	-|-⌫-----⌫|-|
ouBel chisf u.	-|---⌫---|-⌫-|
EinsifuBelchisdela gue r re	----|-|------|-|-|---⌫-⌫-|
Garniz.Goruains li	------|-------|-|
fist requerre	---|-------|
Quilli rendist	-|-|-|------|
sadamoisele .	-|---------⌫|
Porcequilne	--|-|-|-|-|
uoutlanouele	---|-|-----|
Liuintaumatinq ueGor uains	-|---|-|----|-⌫-|---⌫----|
Liartsa terr e. Lorsfuplains	-|--|-|----⌫-|---|-|-----|
LiLois demauta lent	-|---|-|-----⌫---|
Fors desonc has tel sanz	---|-|--|-⌫---⌫--|---|
plu sdi re	---⌫|--⌫-|
Seni stagrantpooird egent	|-|-⌫-||----|----|-⌫|---|
Etditque por mil mar s d	-|--|--|--|--|---⌫||
Ne leroitquen lost	-|-----|-|-||--|
nesefier e.	-|-|----⌫-|
Tuit si pa re nta saba ni ere	---|-|--⌫--⌫-||-|--⌫--⌫--|
Oi rrentet tant	--⌫----|-|---|
ontche ua uchié	--|---⌫--⌫-----|
Qua .I .aguetelboistre nchie ́	-||--⌫|----|-|---|---⌫-----⌫|
folio12 0d	-------⌫-|
Ont lespre merains	--|--|---⌫------|
Et uienenttuitdesconra é	-|------|---|--------⌫-|
Ça. u.ça .X.ça .XX.çamai ns.	--|-⌫-|--|--|--|---|--|---⌫--|
Proieacueillen tet lesu i lain s	----|---------⌫|-|--|-⌫-⌫----⌫|
Tuënt et chacentpar lespla ignes.	-----|-|------|--|--|---⌫-----|
To tesfr em is se ntles m ontaignes	--⌫--|--⌫--⌫--⌫--⌫-|--|-⌫--------|
Desseriansetdes cheual iers.	--|------|-|--|------⌫----|
De uantlesautres	--⌫---|--|-----|
tozpre mier s	--|---⌫----⌫|
uientAnchisés lis eneschaus.	----|--------|-|-⌫---------|
T antont coru quelor	-⌫--|--|---|--|--|
Sontestanchié de tant	---|---------|-|---|
Meilloradesconf ire et	------||-------⌫--|-|
Quisatendent au	---|-------|-|
gue t lo rs a il lent	---⌫|--⌫|-⌫-⌫--⌫---|
L ances bessiee s	-⌫----|-------⌫|
les assaillent	--|---------|
Moutf ierement.Qu antA nc hisés	---|-⌫--------|--⌫--|-⌫--⌫-----|
Choisilorg entqui fusi pres	-----|--|-⌫--|--|-|-|---|
i a nemes dou	||-|--|--|
quemieuzuoudra morir	--|----|-----|----|
s oitlichanspartiz.	-⌫--|-|----|------|
An chisés qui	--⌫------|--|
moutfuhardiz	---|-|-----|
Sarreste et	|------|-|
assemble ses gen z.	-------|--|---⌫-|
Entrecheual iers	----|------⌫---|
etserge nz	-|-----⌫-|
. CCC. enson conroi.	-⌫---|-|--|------|
Lorsassemblent p argrant des r oi	---|---------|-⌫-|----|---⌫-⌫-|
Anch isésetBel c his li Lois.	----⌫----|-|---⌫-⌫--|-|----|
Alencontrerfu granz li frois	||--------|-|----|-|----|
Des lancesdont	--|-----|---|
entredon ent	--------⌫--|
l eus cousq ueilsedesarçonent	|--|---|-⌫-|-|-|-----------|
Descheuaus	--|------|
et parmiles p iz	-|--|-|--|-⌫-|
Sentr edonentd esfersbruniz	|----⌫------|-⌫-|---|-----|
Si morteu me nt	-|------⌫--⌫-|
quilse ntreuersent .	-|-||-⌫-----------⌫|
Enmi le ch ampteu s.C.enuer s ent	-|-|-|--⌫--|---⌫|--|-----⌫-⌫--|
lesamessonti ssues.	--|---|---|-⌫-----|
E nl esto rdesespeesnues	-⌫||----⌫|--|-----|---|
ueïssiez maint	--------|----|
coup depa rtir	---|----⌫---|
E ttous.C.delestor partir	-⌫|---|--|-||----|-----|
Oui sontferu iu squas	--|---|---|--⌫--|-|
s entretren chentlescerueles	|---------⌫----|--|-------|
hitleses pau le siusqu asf lans.	--|--|--⌫---⌫--⌫|----|-|-⌫----|
Tant entrebuschentq uelisans	---|-|----------|-⌫-|-|---|
Cortcom . I. doizaual le s	---|--|-⌫-|---|---|--⌫|
Debraz de test es	-|---|-|----⌫-|
et de mains	-|-|----|
Io nchetozlipaïsent or.	--⌫---|--|-|----|---⌫--|
Mout a clarïenten le s tor	---|-⌫--------|-||-⌫-⌫--|
La gentAnchisé set tantsont	-|---|--------⌫|-|---|---|
Afebloiié que cillo r font	---------|--|--|--⌫|---|
Asespees guerp irles rens.	-|-----|-----⌫-|--|----|
Ia mesue nuz niertat ens	-|--|--⌫--|||--||-⌫--|
Gor uainsqui uient por eus secorre.	---⌫----|--|----|--|--|-------|
Uneli eue licouient	--|--⌫--|-|------|
Ainc ̧oisq u il	----⌫---|-⌫|-|
Ousa g entest sidesmeslee	-|-|-⌫--|--|-|--------|
Qu i ls e nfuient c ̧a	-|-⌫||-⌫|-----|-⌫-|
I. ç a. II.	-|--⌫|-⌫--|
LiLoi senpristdontfugran zdeus	-|---⌫|-|----|---|-|----⌫|---|
quitu it sontdehaut	--|--⌫-|---|-|---|
Auuecc eus ades autres	----|-⌫--||--|-----|
Tant comluipl ot tot	---|--|--|--⌫-|--|
asonchois.	|--|-----|
Mesor u oit	--|-|-⌫--|
forsissir doubois	---|----|--|---|
Labaniere Goruainqui uient.	-|------|------|--|-----|
D ou puepl equialuiseti ent	-⌫-|-----⌫|--||--|-|--⌫--|
N est m i egieuscar ta ntiot	|--|-⌫-⌫|----|--|--⌫-||-|
Cheua l iersquedeloingsem blo t	-----⌫-⌫---|--|-|----|---⌫---⌫|
Que tozlimonzuenistens emble.	--|--|-|---|-----|---⌫-----|
Tantiagentque Belchissemble	---|||---|--|------|-----|
Qu onquesm es telp ueplene uit.	-|-----|-⌫-|--|-⌫----|-|---|
Mout redoteGoruainetdit	---|-----|------|-|--|
Enfinqu ilnel atend ra pas.	-|--|-|-|-||-----⌫-|---|
Oson e schec	|--|-⌫----|
plusqu elepa s	---|--⌫|-|--⌫|
Senu etet quantcilde	|-|-⌫-|-|----|--|-|
lost u o ient	|--|-⌫-⌫---|
Quei lse nu et s	--|-⌫||-⌫|-⌫-||
ilnelconuo ient	-|--|-----⌫---|
Cedïent i amesn aurant	-|-----|-⌫|--||-----|
De l ostsemetent ala	-||--|-|-----||-|
Tel .CC CC.quitui tle	--|---⌫--|--|---⌫|-|
M e spo rnoient	-⌫-⌫|--⌫|-----|
quetantneseuent	--|---|-|-----|
Chacier q ue ia mesles at eig nent.	------|-⌫-|-|--|--|--⌫---⌫----|
Lorcheua lchie ent etesteignent	--|-----⌫|----⌫--|-|---------|
Parcezbrui ieres et	--|--|----⌫----|-|
Sen uet quibien setlepaïs	|-|--|--|---|--|-|----|
Parmil a f orest etta ntfui t	--|-|-⌫|-⌫----|-|--⌫-|---⌫|
Qu aCampadoi neuientlanuit	-||--------⌫-|----|-|---|
.I.suen chastel quifumoutforz.	--|---|------|--|-|---|----|
Goruai nsCadruzetsesesforz	------⌫-|-----|-|--|-----|
Re mestesplain s deHardeci n.	--⌫---|-|-----⌫|-|-------⌫-|
L ichasteaus	-⌫|--------|
sistsor .I.chemin.	---|--|--|------|
Il uec selogesiassie t	--⌫--|-|---|-|-----⌫|
Leb lanc chastelquitropbiensiet.	-|-⌫---|------|--|---|---|----|
Ilnot plusbel	-||-|---|--|
enEngleterre.	-|----------|
Mou t otBelchisli Lois	---⌫|-|------|-|---|
gra nt terre	---⌫-|----|
Iluecen tormesc ilde los t	----|--⌫--|--|-⌫-|-||--⌫|
Lio nt lepaïs ass eztost	-|-⌫-|-|----|---⌫-|---|
Essillié.Quantcilde lator	---------|----|--|-|-|--|
uoientquilson tassisentor	-----|-|-|---⌫|----|----|
Sise garnissen t d ou desfe ndr e.	-|-|---------⌫|-⌫-|-----⌫---⌫-|
EtGo ruainsCadruz	-|--⌫-----|-----|
poreus p rendre	--|--|-⌫-----|
folio 121b	-----⌫---|
Fistfer e e schiel esplus	---|---⌫|-⌫------⌫-|---|
A u matind esquel i iorzuint	-⌫|----|-⌫-|--|-⌫|---|---|
Les assa ill ent et cild	--|----⌫---⌫--|-|--||
Loruienentasmursouil ont	--|------|-|---|-|-|--|
Loreschielesene sle p as	--|--------|---⌫---⌫-⌫-|
Dreciees.Moutestoientbas	--------|---|-------|--|
Li muret moutsedesfendierent	-|--|-|---|-|------------|
C ildedenzmestantsesforcierent	-⌫-|-----|--|---||-----------|
Cil delost	--|-||--|
quilmonterentsus	-|-|--------|--|
Partantl i eusque niporentplus	--|---|-⌫-⌫--|--|||-----|---|
E l baillecil	-⌫|-----|--|
dedenz durer.	-----|-----|
Parforcelor couintmonte r	--|----|--|-----|-----⌫|
Enlator etGo ruainsdemande	-|-|--|-|--⌫-----|------|
es salescomande	-|----|------|
l e mete so zle uent	-⌫|---|--⌫|-|---|
Le metent etlifeus sipr e nt	-|-----|-|-|---|||--⌫-⌫-|
A.I.palésdeuant	|--|-----|-----|
Sicom lidëa bl es	-|--|-|----⌫--⌫-|
S ail l idoupalés en lator	-⌫---⌫-⌫|--|-----|-|-|--|
Etele cstoithordeeent or	-|--|-----|-----|---⌫-|
D e cloieset deheriçon.	-⌫|-----|-|-|--------|
Donhordeïs en	--|-------|-|
Dedenz lato r sailli lifeus.	-----|-|--⌫|-----|-|----|
to r m enz quimout estfeus	--⌫-⌫-⌫--|--|---|--|---|
Querien s ne puet a luidurer.	--|----⌫|-|---||--|-----|
Neleporent	-|-|-----|
plusendurer	---|------|
Cilde den z	--|--⌫---⌫|
ainz metentlorcors	---|-----|--|---|
A bando n sisailliren t	|-----⌫|-|---------⌫|
Douchaste lparmilesfe nestres.	--|------⌫|--|-|--|--⌫-------|
Cou s et espaulesbrazettestes	---⌫|-|-------|---|-|-----|
Peçoiierentau	-----------|-|
s aillirius.	-⌫-----|---|
C ilfu rentpri si lni	-⌫-|--⌫---|---⌫|-⌫|||
Lortres destend entlorss	--|---|-------⌫--|---||
GoruainsCadruz	-------|-----|
e tli ozmuet	-⌫|-|-|---|
Dro itau chastelde	---⌫-|-|------|-|
Campad oine.	------⌫----|
Enlariuiered Autecoine	-|-|------||--------|
Corentetard enttot entor.	-----|-|---⌫--|--|-----|
BelchisliLo isfu	------|-|--⌫-|-|
De Campadoine quantiluit	-|---------|----|-|--|
Saterre ardoirsempres ad it	-|----|-----|------||-⌫-|
Asesparenz	|--|-----|
Mon tez mo ntez	---⌫--|--⌫---|
DeCampadoineenmi les prez	-|---------|-|-|--|---|
S en issen t	|-|-----⌫|
tui tpre std e mal	---⌫|---⌫-|-⌫|--|
Belchiscuique doic desple re	------|--|--|---|------⌫-|
Ditquil iral o r	--|-|-|--|-⌫-⌫|
genz ueoir.	---|-----|
Porcequilueut	--|-|-|-|---|
lostsorueoir	|--|-------|
boise nun eang arde	---|-⌫|--⌫|---⌫---|
M esonquesnesedonagarde	-⌫-|-----|-|-|---|----|
foli o121c	----⌫----|
Deuant q ueGoruain s lisailli	-----|-⌫-|-------⌫|-|-----|
Douboi souilot	--|---⌫|-|-|-|
.I. chasteletq ueilotpris.	--|--------|-⌫-|-|-|----|
So rles bons	--⌫|--|---|
c oreorsde pris	-⌫-----|-|---|
Loracorent.Q u antBelc hisuoit	--|-------|-⌫-⌫--|----⌫--|---|
Goruain Cadruzquii a	------|-----|--|-⌫|
Entre lu ie t le boisad estre	----|--⌫|-⌫|-|---||-⌫----|
queautre nepuet	--|----|-|---|
Liuient e nco nt reet lames lee	-|----|-⌫---⌫--⌫-|-|-|---⌫--|
C omencemesn	-⌫-----|--||
La gentBelchissempres	-|---|------|------|
Les dosetcill e satornere nt	--|--|-|--|-⌫-⌫|--------⌫-|
As espeesm outledement.	-|-----|-⌫--|--------|
Qua ntl iLoisuit c ertainement	---⌫-|-⌫|---|--|-⌫----------|
puissanceestoitoutree	--------|-----|-----|
F uiants enuet	-⌫----||-|--|
lance leuee	----|----|
Deuant et sipare ntaprés.	-----|-|-|----⌫-|------|
Cildel ostquisieuentdepre s	--|-||--|--|------|-|---⌫|
Enon t unemerueille ocis	-|--⌫|--|--------|---|
Onques.I.sol neni otpris	-----|--|--||-||-|---|
Totoci ̈enteins i lefont.	--|---⌫---|----⌫|-|----|
decheuaussenuont	-|------||-|---|
Cilquinemestrenten	--|--|-|-------|-|
.IIII. lieuesduralach ace	-----|-----|---|-|--⌫--|
Ai nzque l i Loispeu ̈stauoir	--⌫-|--|-⌫|---|---⌫--|----|
Recetqueiln epot	----|--|-|-⌫|--|
ACam pa doineret or ner.	|---⌫--⌫----|---⌫--⌫---|
Sinefine d esperoner	-|-|---||--------|
Deuant ce quiluintaMonhaut	-----|-|-|-|---||------|
ch as telqui moutfuhaut	--⌫--⌫--|--|---|-|---|
Assisen.I.regortde	----|-|--|-----|-|
Detant se puetBelchisuanter	-|---|-|---|------|-----|
Qui l necrient s iegede	-|-⌫|-|-----|-⌫---|-|
Setozli empiresdeRome	-|--|-|------|-|---|
Estoit en torn a uroiti lg arde	-----|--⌫--||-⌫----|-⌫|-⌫---|
Carla merd	--|-|--||
Escoce l e ga rde	-----|-⌫|--⌫--|
Dunepart.Se	|--|----|-|
fub ienseant	-|-⌫--|----|
Parderriere ilno tpar deuant	--|-------|-||-⌫|--|-----|
Plus b eauchastel	---|-⌫--|------|
enEngleterre.	-|----------|
De uantlaporte deue r ster re	--⌫---|-|----|----⌫-⌫|---⌫-|
Auo itune ric hetr en chiee	---⌫-|--|---⌫-|--⌫--⌫----|
D ont lafalise estoit tren chiee	-⌫--|-|-----|-----|----⌫----|
Plus de .C.toise sen parf ont .	---|-|--|-----⌫|-|----⌫---⌫|
Des u s larriered	---⌫-⌫||------||
Auoitmur s	----|---⌫|
et t orn e lesteles	-|-⌫---⌫-⌫--|----|
to tlemontn	--⌫|-|---||
auoitauteles.	----|-------|
foli o121d	----⌫----|
Monhaut cest	------|---|
chastel q ueiedi	------|-⌫-|-|-|
AuoitBel chisdeuan tga rni	----|---⌫---|-----⌫|--⌫--|
Dequanquilpot elmo ntauoi r.	-|---|-|-|--|-|--⌫-|----⌫-|
mi euzdesonauoir	--⌫--|-|--|----|
Lafu sa femeetsame sniee	-|-|-|---|-|-|--⌫----|
A seio r la fuenu oiiee	|----⌫|-|-|---⌫----|
Lidoine qui p a r mespri son	------|--|-⌫-⌫|------⌫--|
Fup rise lafu en	-|-⌫---|-|-|-|
Ma inzc heua li erspreuzetcortoi s	--⌫--|-⌫----⌫--⌫--|----|-|------⌫|
Be lchisoutre	--⌫----|----|
Entrezp or paor	-----|-⌫-|---|
Or uoit la gentGoruainuenir	-|---|-|---|------|----|
lichautcar poilesdote .	-|----|--|--|--|----⌫|
E tGoruainsui entetsagentto te	-⌫|-------|--⌫--|-|-|---|--⌫-|
Qui samai ned eua ntMo nhaut.	---⌫|----⌫-|-⌫---⌫-|--⌫-----|
M outle uitriche	-⌫--|-|--|----|
et fort ethaut	-|---|-|---|
Seld otemoutaasse oir.	--|-⌫--|---||----⌫---|
Mes p o rc equeil	--|-⌫-⌫|-⌫|--|-|
QueLidoineestlasu samont	--|------|--|----⌫|----|
nu l ior doumont	--⌫|--|--|---|
Nenpa rt ir adeuant quil	|-|--⌫--⌫--⌫|-----|-|-|
Parforc e pris t otson ost fet	--|----⌫|---|-⌫-|--|--|--|
L ogie r contreual la	-⌫----⌫|--------|-|
Deuers lame rpardederriere	-----|-|--⌫|--|-|-------|
Nipooitilpas	||----|-|--|
P ardeuantfistsa ge ntuenir.	-⌫-|-----|---|-|--⌫-|-----|
EinsifuenM onhaut assis	----|-|-|-⌫-----|----|
LiL ois qui ia neserapris	-|-⌫--|--|-|-|---|---|
Porriensmesd ecest	--|----|--|-⌫||--|
Q uilnadeterre	-⌫|-|||-|----|
forsdes murs	---|--|---|
Plai np ié que Gor ua insneliait	----⌫|-⌫--|--|---⌫--⌫--|-|-|--|
Essill ié.Orfetsonatret	------⌫---|-|--|--|----|
Deuant lechast el	-----|-|-----⌫-|
Assis. Partot	-----|--|--|
lemontmanda	-|---|----|
Engi gneorsmout e n i	----⌫-----|---|-⌫||
D enginstant q uon quescenauint	|-----|---|-⌫|--⌫---|-||----|
Lorfist fere quant illesorent	--|---|---|----|-|--|----|
pl usto st quil o nques po ren t	--⌫-|--⌫-|-|-|-⌫----|--⌫---⌫|
