kiuoltoïrcha ncun debeausemblant	-|---|---|---⌫---|-|---|-------|
aba tu lasi ameinelauferant	---⌫-|||-|-----||-------|
maisengelerli cuntred ititant	---|------|-|-------⌫-|----|
nel ame rrasainztefraid ulant.	--|---⌫---|---|-|---|-⌫----||
ferirleuetsur	----|-|--|--|
sunheal med e uant	--|----⌫-|-⌫-⌫---|
par tel uertuque des k asde nz le	--|--|----|--|---⌫|-|--⌫-|-|
lecors chiet iuslalm eue t	-|---|----|--||---⌫|--⌫|
aturment .	|------||
uns ara zin i ue ites p urun ant	-|-⌫---⌫--||--⌫-|--⌫-⌫----⌫--|
çoestgalat as quitient tyrielagrant	--|--|-----⌫-|--|----|----|-|----|
p er sapris	-⌫--⌫||---|
granthardement	----|--------|
beise salancelenseinie	----|-|----||-------|
u oleal ue nt	-⌫--|-|--⌫-|
enuers lecunt emet suncorsen	-----|-|----⌫|--|--|---|-|
asespurunstantcum cheuallirent	-|-------|---|--|-----|-|---|
fiertengelersursun es cudeuant	----|------|--|--|--⌫-|-----|
ul tre limetlensei nie	--⌫--|-|--||-----⌫--|
bienpleinepalme led esciree	---|-----|----|-|-⌫-----||
de suzlesseleli m etl efe rtrenchant	--⌫--||-----|-|-⌫-|-⌫|--⌫|--------|
deuleguaris t	--|-|------⌫|
k en lachar ne l	|-|-|---|--⌫|
nelpotte nirselen estriud	--|--|--⌫--|---||-----||
uoilieu neuoilleaterrele descent .	-----||-|-----||----|-|------||
gaï teescr iekilneporte	----⌫-|----⌫-||-|-|----|
engeler esten	------|--|-|
la press eent rez	-|-----⌫|---⌫--|
sisb onsescuz li est delcoluolez	--|-⌫--|----|-|--|--|--|----|
mien escïe nt	---|------⌫-|
il fust bien remuntez	-|---|---|-------|
quanttal otbrocheunt urc	----|---⌫-|-----|-|-⌫--|
desmesurez	---------|
h ummespuis qu	-⌫----|---|-|
il fu adubez	-|-|-----|
od seisantealtre s estsurli a rest ez	-|-------|-----⌫|--|--|-|-⌫----⌫-|
l ancentle slancesle s grosdarz	-⌫-----|--⌫|-----|--⌫|---|---|
egauelocs efausar z	|-------||------⌫|
multmalem entfu leiurdebutez	---|-----⌫--|-|-|--|------|
sis haubercs fu entrentelius naf rez	--|-------|-|-|-----|---|---⌫--|
meru eillesilestmul tblescez	----⌫----||-|--|---⌫|------|
ma isilnapla iedun til se sentenc umbrez	--⌫-|-|||---⌫-|---⌫|-|-|---|---⌫-----|
si acheual	-||-----|
puissees tre	-----|--⌫--|
sis br anzda s ceriertas	--|--⌫--||-⌫-⌫--|---|-|
turcs pri uez	----|---⌫--|
seinsk iltre nchera l es chiefs	----||-|---⌫-----|-⌫-|-----|
arecusseuient pui ngn antysorez	|------|----|---⌫---⌫--|-----|
galtie r dehunsedauilimenbrez	------⌫|-|---||---|-|------|
gi rard do rliens ehertal dli	--⌫---||-⌫-----||------⌫|-|
debien ferir	-|---|----|
sestchascunaprestez	|--|------|-------|
munioie escrientsilesont re cule z	------|-------|-|--|--|--⌫----⌫|
sikengelerse st elbai	-||-------|-⌫-|-|--|
granzcolpsse donente nce s es cuzlistez	----|----|-|-----|-⌫|--⌫|--⌫--|-----|
e nsemble iu stenttalot	-⌫------|--⌫----|----|
leseisdepiecen tsiont les	--|--|--------⌫|-|--|--|
quirspercez	----|-----|
les fersse	--|---|-|
plie nt s urceshalberssa fre z	----⌫-|-⌫-|--|------|--⌫---⌫|
nespottenirse le	--|--|----|--⌫-|
n e str iu	|-⌫---⌫-|
peitrelnece ngle n e frein	------|-|--⌫---|-⌫|----|
d argentez.	|-------||
tut liplusfortest	--|-|---|---|--|
ater re uersez.	|---⌫-|-----||
talotrel ieuesisalt su s	----|---⌫---|-|---|--⌫|
mettent lurmains	------|--|----|
as espe esdel ez	-|----⌫-|---⌫-|
l ascerluist	|----|----|
desbranz quil untleu ez	--|----|-|-|--|---⌫-|
formen t se	------⌫|-|
fi e r ent sur	--⌫-⌫-⌫--|--|
c esh ea lmes	-⌫-|-⌫--⌫---|
ia feustlechampdequeiquef ustfinez	-|----|-|----|-|---|--|-⌫--|----|
ne fustlapresse que	-|---|-|-----|--|
luradesturb ez.	--||-------⌫-||
galtier dehuns a arm ago tse stiust ez	------|-|---||---⌫---⌫||-⌫-|----⌫-|
mortlabati	---||----|
enport entma ls	------⌫--|--⌫-|
franceis ifi erentasbon sbranz	-------||--⌫----|-|---⌫|----|
trenchentesp allese schinese costez.	--------|---⌫----|-⌫------||-----||
parzitrebuchentasse z	---||---------|----⌫|
li plu sdeliureen esttres tut encum brez	-|---⌫|------|-|--|----⌫--|-----⌫---|
desa ncuermailen	-|--⌫-|------|-|
est tuschie li prez .	--|------|-|---||
arepairer brocheun turc de florïent	--------|-----|-|---|-|--------|
dunecitédelai nd e l agrant	|--|----|---|-⌫--⌫|-⌫|----|
uin taclarel p arlareidne lepren t	---⌫||-----|-⌫-|-|-----|-|----⌫|
sirefa itil par	---|--⌫-|-|--|
u usne faisum nïent.	-⌫-|-|-----|-----||
çodis ti aaurezmu ntalent .	--|---⌫|-⌫|----|--⌫|-----||
seluncle s	-----|--⌫|
euesnele issent nïent	---||---⌫-----|-----|
enuers les nozuontesp uruna n t.	-----|--|--|---|---⌫-----⌫-⌫||
clarelsescri e	-----||-----⌫|
sense inie naïma nt	|----⌫---|------⌫-|
arap aterl asüefl or ïan t.	----⌫---|-⌫|---|--⌫--⌫----⌫||
a cese nseiniesui enent	|--|-⌫-------|--⌫----|
more p e rsant	--||-⌫-⌫----|
e arabiztuitbientreskacent	|-----|---|---|----||---|
cel uini anenaitgunfanungent	---⌫-||||--|--|-------|---|
t urkeisugaueloc	-⌫-----||------|
trenc h a n t .	-----⌫-⌫-⌫-⌫||
f ranceisrecul ent	-⌫------|-----⌫--|
biendemiarpent.	---|---|-----||
iustaadroünl alemant	----||-----||------|
libris esuz	-|----⌫|--|
labucle darg e nt	-|----||---⌫-⌫-|
le sculifalseli clauelen	|-⌫--|-|----|-|-----|-|
elcorslim etsunespé trenc hant	-|---|-|-⌫-|--|----|-----⌫---|
entrelesf rancsl abatimortsancglent.	----|--|-⌫----||----|---|--------||
ar apatertient	--⌫-----|----|
tr enchant	--⌫------|
girard d orliens en fie rttantegrem ent	-----||------|-|---⌫-|---|-----⌫--|
kelaceruelee	-|-|------||
l ies pant .	-⌫|--⌫---||
quan til latmortsis enueit gualopant	----⌫|-||-|---|-||-|---|--------|
mes otinelli est	--|-----|-|--|
uen uz deuant	---⌫-|-----|
sespe etre itesun	|----⌫|---⌫--|--|
escu po rtant .	---|--⌫----||
arap a ter curtuers li a uferant	----⌫-⌫--|---|---|-|-⌫------|
ue itpa r mut g rant hardement	--⌫-|--⌫|--|-⌫---|--------|
si kel es cue le healmeli fent	-|-||--⌫-||-|-----|-|---|
dursuntli quir ne	--|---|-|---|-|
pot est er	--|---⌫-|
meslagrant	--|-|----|
targ etr es kas	----⌫|--⌫--⌫|-|
armespre nt	----|---⌫-|
es tauisia feisttut	--⌫|---|-|----|--|
su ntalent	--⌫|-----|
quant librisesespeeenestraant .	----|-|----||----|-|-------||
otinellefi ertaband unemen t	-----|-|--⌫--|-----⌫------⌫|
par teluertu kedeskal	--|--|----|-|---|-|
q uorlifent	-⌫--|-|---|
li corsietiu sadi ables lecomant	-|---|--|--⌫||--⌫----|-|-----|
puissi adit nus es te iumparent	---|-||--|--|--⌫--⌫--|-----|
pur telseruisetelguerdun	--|--|------|--|------|
l ire is cla relest alt urneiement	-⌫|--⌫-|---⌫--|--|-|-⌫---------|
de tutes parzueit	-|----|---|---|
tresbuch er sa gent	--------⌫-|-|---|
murir ebraireeoccireaturment.	----||-----||-----||------||
entre france isses leisseirrem ent .	----|------⌫-||--⌫-----|-----⌫--||
a cest epuin teoccistricardd	|----⌫|----⌫-|-----|-----||
ga rn ierdangierse hugundecl aruent	--⌫--⌫--||------||----|-|--⌫-----|
pruzietamor tsanglent.	---|---|---⌫|-------||
lapresseeissi s igent eme nt	-|-----|----|-⌫|----⌫---⌫-|
kiln ip erdiunesp urun uaill ant.	|-|||-⌫---|-|---⌫---|-----⌫--||
greslep urralïersa gent	-----|-⌫-|------|-|---|
mei si lne potauer od	---⌫|-⌫|-|--|---|-|
sei quecent.	--|--|---||
cil senuontu erslacitéfuia nt	--||-|---|-⌫--|-|----|----⌫-|
fra nc eislé siwentqu ilestresbu ch entsouent.	---⌫--⌫--|--|-----|--⌫|--|------⌫--⌫--|-----||
paienssefuie ntecildebarbarie	-----|-|----⌫-||--|-|-------|
de skasdestreiz	--⌫-|-|-------|
surla roche naïue .	--|-|----|-----||
il oqu esencuntrentla richecompaingnie	--⌫---⌫-|---------|-|----|----------|
delameisnee l emperurga rsie	-|-|------||------|--⌫---|
uintmilesuntlaputegenthaïe	---|---|---|-|---|---|----|
iafeust bata ille	-|----|----⌫---|
neremansistmie	-|--------|--|
meis liiu r	---|-|--⌫|
uaitsipasse cumplie	---|-|----|------|
cl arelmet iusla	--⌫---|--|--|-|
granttarg e flur ie	----|----⌫|----⌫-|
trai t lauentaillede labruiniesarzie.	----⌫|-|--------|-|-|------|-----||
ahalteuoizuersotinels	|----|---|---|-----||
estumahumet te	-|-|------|-|
dime i tunnu nsil nun cirai	-|--⌫|--|--⌫|--|---⌫----|
dist licun uers	---|-|---⌫---|
neltec eleraim ie.	--|-|-⌫-----|-⌫-||
çoest otinel	--|--|-----|
fizgalïenmamereatnun clye .	--|------|-|---|-|--|---||
baptize ́suilaisséaila	-------⌫|--|------|-|-|
charle sdef rance	------⌫|-|-⌫----|
matdon él um bardie	|-|---⌫-|-⌫--⌫-----|
ebelesentsa	|-------|-|
filliea amie.	-----||---||
iameispaien	-----|----|
n ameraien mauie.	|-----|-|-|--||
çodistclarel m erueillëai o ïe	--|---|-----|-⌫--------|-|-⌫--|
astu d uncissita fei	-|-|-⌫--|---|-|--|
e ncha nté es	-⌫----⌫---|-|
si asbeu le sterlie	-|-|--||-⌫------|
dequeic ilmiri e destem prent l	-|---|-⌫-|----⌫|------⌫----||
berkarteui encs i t e	--|--|-|--⌫--|-⌫|-⌫|
recuncilie.	---------||
fai dreitmahunde	--|----|----|-|
sigrantfelonie	-|----|------|
cumt ua sfai tde	--|-⌫|-⌫|---⌫|-|
t alei kasguerpie	-⌫|--||-|------|
i om etraipei sent r etei e	-⌫|-⌫----|---⌫|---⌫-⌫|--||
site durrailametraid almarie .	-|-|-----||------||------||
distoti nelçonefraiiomi e .	---|---⌫--|--|-|---|-|--⌫||
mal d ehezait lauostre	---⌫-⌫---|--|-|-----|
compaingnie	----------|
mes p arlafeiquedei sain te marie	--|-⌫-|-|--|--|--|----⌫-|----|
site puispre ndreu l emp erur gar si e	-|-|---|---⌫---|||---⌫---|---⌫--⌫|
i ouus pendra i	-⌫|--|------⌫|
a spuisde ga tanie	-⌫|---|-|--⌫----|
faitlipaienora sdit grantestultie	---|-|----|-|-⌫|--|----|-------|
des meillurshummes detute	--|-------|-----|-|---|
paien i e.	-----⌫-⌫||
multauezlequor plei n defelonie.	---|---|-|---|----⌫|-|------||
pre stsuikefaceuersteiunaatie	---⌫-|--|-|---|---|--|-|----|
tutsulasul de	--|--||--|-|
m espeefurb i e	|----|----⌫-⌫|
keti sbaptesmesnelac ristïeni e	-|--⌫|--------|-|-|-⌫---------⌫|
n e celemess ekeprestre	-⌫|---|----⌫|-|------|
uersnostreleineualt	---|-----|--|-|---|
melzualt mahunkefaitle f i z	---|---|----|-|---|-|-⌫-⌫|
dist l icunuersdïabl esu nt en	---|-⌫|------|------⌫|--⌫-|-|
si uolsm ahundefendre	-|---|-⌫---|-------|
faimeiseürk ene	--|--|----|-⌫|-|
rem a nieen tei	---⌫-⌫--|-|--|
e iod efendrai	|-|-⌫-------|
dampnedeuesalei .	--------||-|--||
lisara zin ena	-|----⌫--|-||
lieué l edei	-----|-⌫|--|
eotinelliapromissa	|-----|-||-----|-|
kelabataillener emaind raen sei.	-|-|-------|-|-⌫------⌫-|-|--||
enla cité	-|-|----|
ene stclarelentrez	-|-⌫-|-----|-----|
eotine l ena	|-----⌫|-||
lessuensamenez.	--|----|-----||
herbergiés u ntn osfrancei s esp rez	---------|-⌫-⌫-|-⌫-|-------⌫|-|-⌫--|
ten dentlurlogess iont	---⌫---|--|----|-⌫|--|
cil mirie por tentuniem e nt	--|----|---⌫---|-----⌫-⌫-|
as na ffrez	-|--⌫----|
les m orzen ontenf o ssesenterrez.	--|-⌫--|-|--|-|-⌫-⌫---|-------||
a ltrief lereiestotinelalez	-⌫|----|-|--|--|-----|---|
n ostre emperereestencunt re alez	-⌫----|-------|--|------⌫-|---|
obelisentenaimesli b arbez	|-------||-----|-|-⌫----|
lestriulitene ntliberes tdesmunt ez	|-----|-|----⌫-|-|--|--⌫|-------⌫-|
lafi lle charlesli cerchelescostez	-|--⌫--|------|-|-----|--|-----|
kiln esei tentaménenafrez	|-|-⌫|---⌫|------|-|-----|
treis fe izlabeisequa ntilfu desa rmez .	----|--⌫-|-|----|---⌫-|-|-|----⌫---||
fili oldist charlecu rte iseami e	----⌫-|---|-----|--⌫---⌫--|---⌫|
sirefaitild eusen	---|---|-|-⌫--|-|
ço comp aruntlipaen	--|----⌫----|-|---|
lostlerei guaitent burguinuneale mant	|--|-|--|-------|--------||---⌫---|
l anuitdormicharleseürement	-⌫|---|----|-----|---------|
e lipaiengu aitent	|-|----|--⌫-----|
cornentecrientdeskalsoleil	------||-----|---|-|-----|
clare lsel i eueal iur a parissant	-----⌫|-|-⌫-⌫--|-|--|-⌫--------|
istdelacha mbresis	--|-|-|---⌫---|-||
armeigneleme nt	---|--------⌫-|
aladubier futa nordemunt brant	||------|-|--⌫--|-|----⌫----|
eme lïens eapolinle	|--⌫-----||-----|-|
quatrefeizestm aiur d ungïant	-----|---|--|-⌫---||-|-----|
endosli uestentun h albercia ce rant	-|--|-|------|-|-⌫-----|--⌫--⌫---|
kilat ues tunecr i en t armet renchant	-||-|---⌫-|-|--⌫-⌫--⌫|---|-⌫-------|
kem a eleenostetantsuntliclou	-|-⌫-⌫--|-|---|---|---|-|---|
meissi otinelpusseapresm e r ta nt	---|-|-----|----|------⌫-⌫|--⌫-|
kacureçusekilfiergedelt renchant	||--------||-|-----|--|-⌫-------|
lespeenauerahaube rguarant .	|----||----|-----⌫|------||
el chieflilacentun healmeal	-|----|-|-----|-|-----|-|
rei priant	--|-----|
p asdefern edefust ne	-⌫-|-|--|-⌫|-|---|-|
ainz es t d ostde	---|--⌫||--|-|
la teste dunserpent	-|----||-|------|
escritisuntiouin e te ru agant	-----||---|----||--⌫--⌫----|
emahumeten	|------|-|
cils untli d eu kilrecleim e	--|-⌫--|-|-⌫-||-|-------⌫|
parcesquide ilaler	--|--|----|-|---|
seüre ment .	------⌫---||
al colli pendentun fo rtescu peisa nt	-|--|-|------|-|--⌫-|---|-----⌫-|
tutestdequirniade	--|--|-|---||||-|
fust nïent	---|-----|
bucles eniado rl uisant	-----|-||||-⌫|-⌫-----|
p uisliaportent u ne ns ei nie penda n t	-⌫--|-|-------|-⌫|-⌫--⌫--⌫--|-----⌫-⌫|
dunu ermail pai le	|-|-⌫-----|---⌫-|
percie ́menuemen t.	------⌫|--------⌫||
puisc eintmell ee se spee trenchant	---|-⌫---|----⌫-||-⌫---|--------|
kil nedur eitpur	|-|-|---⌫--|--|
mi l marsdor luisant	--⌫|---||-|------|
enmila p lace limeintlumturneue nt	-|-|-|-⌫---|-|----||-|-------⌫-|
quitantuato stqu a ntil	--|---|-|--⌫-|--⌫-⌫-|-|
es purunsent	--⌫----|---|
qu elarundel e	--⌫||-------⌫|
post pre nd r eenuolan t.	---|---⌫--⌫-⌫|-|-----⌫||
salten l as ele k	---|-|-⌫|-⌫--||
aarçun nese prent	|-----|-|-|----|
su n es ungredl ep ure sturmirsagent.	--⌫-⌫|-⌫-|-----⌫|-⌫-|-⌫------|-|---||
par l ac ités armentlimesc reant	--|-⌫|-⌫---||-----|-|----⌫----|
en turneas	-|----|-|
esperuns br ochant .	-------|--⌫-----||
dis t alphamie	---⌫|-------|
am ah un tecomant	|-⌫--⌫-|-|-----|
apoli nsireuictorielicun sent	-----⌫|---|-------|-|---⌫---|
demil m arsd	-|--|-⌫--||
orte frai acressemen t.	-|-|---|----------⌫||
forsde laporte	---|-|-|----|
seuetespurunant	-|--|---------|
apre ́ s l uiuunt	----⌫-⌫|-⌫-|---|
s arazinepersant	-⌫-----||------|
tu rcsbiendes k	--⌫--|---|---⌫|
mahum etleue nte nunchar uer tant	-----⌫-|----⌫-|-⌫|-|---|---⌫---|
ultrel i passentlaf or teue	----|-⌫|------|-|-⌫--⌫|--|
surun haltpuile	--|-|---|--|-|
lei ssa nt e n	---⌫---⌫-|-⌫|
forment lat achentachaenes dargent	------||--⌫-----||------||-----|
kil ne cheien	|-|-|----||
arieren au ant .	-----||--⌫--||
trestuitlaürenteprienthumlement	-------||------||-----|--------|
facechascun	---|------|
i fet pres en t	|--|----⌫--⌫|
tut lipluspoureioffriunbesant	--|-|---|----||----|-|-----|
clarel s enu eit sundestrier	-----||-|-⌫--|--|-------|
aleis s a nt	-----⌫-⌫-⌫-|
ar estezest sur	--⌫----|--|--|
un eue curant	-|--|-----|
ue itlos t de	--⌫-||--⌫|-|
france ederiree deuant	-----||-----||-----|
ditquenulnelentent	--|--|--|--|-----|
mah umetsiref etil	---⌫---|---|-⌫-|-|
cumfa itege nt	--|--⌫--|--⌫-|
icilfr unt gars iealq uordo lent.	---|--⌫--|----⌫-|-|-⌫--|--⌫---||
nostre empe rere est p ar matinle uez	-----|----⌫---|--|-⌫-|----|--⌫--|
surl eue del	--||--|--|
toldep ort erest al ez	--|---⌫---⌫-|--|--⌫-|
desesmeillurspriu ez.	-|--|-------|----⌫-||
rollant i estenaimesli barbez	------||--||-----|-|-----|
e oliu ere	|----⌫-||
oteli m enbrez	--|-|-⌫-----|
cla relsestal ariue	---⌫--||--||-⌫|---|
ahauteu oiz	|----|-⌫--|
escrieuuskila estez	-----|--|-|-|----|
estiloeccharle	--|----|-----|
l ichanu limen brez	-⌫|----|-|---⌫---|
feitlemperere fr ere	---||-------|--⌫--|
quemeuol e z	--|-|---⌫-⌫|
iotedirraique marfu ssez	-|-|-----|--|--|--⌫---|
tropasuescuchanu	---|-|----|----|
esebarbez.	-||-----||
pies c ̧aked ussez	----⌫-⌫-|-|-⌫----|
estre aunpeltuez	----||-|--|---|
trauallezestese destr u izedeseritez.	--------|----||-----⌫-⌫-||--------||
iaesttacoruneetis	-|--|-|-----||--|
empiresdonez	------|----|
al meillurhummekunquesmesfustnez	-|------|----||-----|--|---|--|
florï en desuliekita n test	------⌫-|-|----|-|--⌫-⌫|--|
cil est era reis	--|---⌫--|---|
defra nceclamez .	-|---⌫--|-----||
reismutpar esenparlez	---|--|--|-|-------|
edemençungedirebienendoctri nez.	|-|--------|---|---|--------⌫--||
unco resailaldestrier	----⌫-|---|-|-------|
quinze forz reis aiparforc ematez.	-----|---|---|-|--|----⌫|----||
o re teprometma feisi e r t	-⌫-|-|-----|-|--|-|-⌫-⌫|
iame sn en er t	-|--⌫||-|--⌫|
cest siege	---|----|
deseu erez	-----⌫---|
siertprisgarsieed e s truit esaci tez .	-|--|---|-----||-⌫-⌫-⌫-----⌫|-|--⌫--||
editclareldirete f istmal fe z	|--|-----|---|-|-⌫--|--|--⌫|
nefai sa creire	-|---⌫||-----|
tesiurs usez	--|---|---|
chiefaschanu sisunt t ipeilmell e z.	----|-|----|-|---|-⌫|---|----⌫-⌫||
partein iertmesfaitenul ebuntez	--|--||---|--|----|---⌫|-----|
nes turcomencéneturen ferme z .	|--⌫--|-------|-|--|--⌫-----⌫||
uerguni e a ch arl esia fra ncs e sg ardez	-------⌫||--⌫---⌫|-||---⌫--|-⌫--⌫----|
alcu ru zka si est de safublez.	-|--⌫--⌫|||-|--|--⌫-------||
di ta galdinmesarmes ma portez	--⌫||-----|--|----||-⌫-----|
s ireditotesuos treireatemprez	-⌫--|--|---|---⌫--|--|-------|
purm eieamurneuus desmesu rez	--|-⌫--|---|-|--|-------⌫--|
aima fei uersc larelafïez	-|-|--|---|-⌫----|-----|
dun grantafeireor euo ilkementendez	|-|----|-----|--⌫|--⌫-|-||-------|
iodimahumetne	-|-|------|-|
de itestre honurez	--⌫-|----|------|
neueit denfer	-|---||----|
es tm al fïez	--⌫|-⌫-|----|
tute saforcene	---|-|----|-|
ualttre isoefspelez	---|---⌫-|---|----|
a diabl esseitlesuencor scom a n de z	|-----⌫-|---|-|---|---⌫|---⌫-⌫-⌫--⌫|
estpruzseinte	--|---|-----|
cristïen tez	---------⌫--|
ne libaptesme	-|-|-------|
regenerez.	--------||
fun zufuibaptizez	---⌫||--|-------|
sila bataillede	-|-|-------|-|
luineme dunez	--|-|-|----|
demei nese rrezb i en	-|--|-|--⌫---|-⌫-⌫-|
filiolfait charle parc est guantlatene z.	-----|---|-----|--|-⌫--|----|-|----⌫||
ciluusaïe qui en croizfu pen ez .	--|--|---|--|-|----|-|---⌫-||
l i reisclare l	-⌫|---|-----⌫|
e ntend i lare isun	-⌫-----⌫|-|--⌫---|
ir reementen apeleotun	--⌫------|-|----|---|
culue r tfeit ilpurqu eigu erpis	-----⌫-⌫|---|-|-----⌫-|--⌫----|
laleiseintismequenusauerde uum	-|--|--------|--|--|---|--⌫--|
par queiles suensue ndr unt a	--|---|--|----|--⌫---⌫--||
ra nç u n	--⌫---⌫-⌫|
al grant iuïseunustuzen	-|----|-----||--|--|-|
kiiloc ertaueratelguerd un	-|---|--|----|--|-----⌫-|
ken parai ̈s i rrasenzcuntenciun.	|-|-----⌫-|-⌫--|---|---------||
deuquiihesuatnun	--|--|----|-|--|
e s teraprise ie rten	-⌫-⌫---|---||--⌫-|-|
cu mt raïtreefeldetartarun	--⌫|-⌫------||--|-|-------|
etu meïsme elpuz de bar atrun	|-|------|-|--|-|---⌫----|
elgr ant e nfernugisentlila run	-|--⌫--|-⌫----||-----|-|--⌫--|
ia mesnuliur nauerasrançun.	-|--|--|--||-----|------||
iot apelfelun	-||---|----|
dito tinel n u s uus en	--|-⌫----|-⌫-⌫|--|-|
defendrun.	--------||
f ranceiscurteisam einent le	-⌫------|------|--⌫-----|-|
cheualie r	--------⌫|
gentemen tl armentdesuzunoliuer	--------⌫||-----|----|-|-----|
rollantliuestu n bo nhalbercd ublier	------|-|---|-⌫|--⌫|------|-⌫-----|
apres luil asc entlehea lmeal	----|--|-⌫---⌫--|-|---⌫--|-|
q ui b abil oni e cunq uist	-⌫-|-⌫----⌫---⌫|----⌫---|
pargue rreier	--|---⌫-----|
d ecurec ̧usele cei ntl e fizr einer	-⌫|-----⌫---|-|---⌫-|-⌫|--|-⌫----|
al c ollipend entlatarge desirer.	-|-⌫-|-|----⌫--|-|----|-|----||
estultli donelensei niealreiloier	-----|-|---||-----⌫--|-|--|----|
l iferfubo n	-⌫|--|-|--⌫|
la hanstedelo rier .	-|-----|-|--⌫---||
unsesperunspursun	--|-------|--|--|
cheualbro cher	-----|---⌫---|
l iac haucie ́ droünde muntd isoie r.	-⌫||-⌫------⌫|-----|-|-----⌫-----⌫||
belesent tie ntsunarabicursier	-------|---⌫-|--|----|------|
t reisfeizlabei se	-⌫---|---|-|---⌫-|
puissalteld estrier	---|---|-|-⌫------|
beledit ilio ir ra i	---|--|-|-|--⌫--⌫|
laleideu uengier	-|--|--|------|
cristïente ́ leuereeshau cier	-----------⌫|----||-----⌫---|
paiene genthunireuergunier .	-----|---|----||--------||
lauostreamurcomparuntil	-|-----|---|--------|-|
multchier .	---|----||
ami s fai t eledeuuu spusse aider	---⌫|---⌫|--|--|--⌫|----|----|
aler ceue ske sefait libers einier	-|--⌫----⌫--|-|---|-|--|-⌫-----|
eue ben eitesur ses	--|---⌫---|--|--|
armesgeter .	----|----||
delostsepar t quantil fuadubez	--|--|-|---⌫|----|-|-|-----|
sahansteleuesi passeultrele s guez.	-|-----|---|-|----|----|--⌫|---||
li reiscla reles t encun tre	-|---|---⌫--|--⌫|-----⌫--|
en haltsescrie tra ït re	-|---||-----|---⌫---⌫-|
p assast esul trelesguez	-⌫------⌫-|--⌫--|--|---|
karia ester asa grant hunteliuerez	--|-|-----⌫-||----|----|------|
edetren chiezoc cis e demen brez	|------⌫----|--⌫--||-----⌫---|
iualdrarienliparentez .	|-----|---|-|-------||
estu uncore nule rienp urpensez	-|-|-----|---|---|-⌫-------|
quemahumet deit	--|------|---|
estredeucla mez	----|--|---⌫--|
siecleseruizehonurez	-----|-----||------|
quienlu icreit iame sniertafolez.	--|-|--⌫|----|-|--⌫||---|-----||
mai s cildeu	---⌫|--|--|
neualt uer sluiun sesperunsdorre z.	-|---|---⌫|--|--⌫|-------|-----⌫||
parde u fait	--|--⌫|---|
otesculuertuusimen tez .	---|------|--||---⌫--||
si i o cumbattu	-|-⌫|-----|-|
esteras matez	------|----|
kardeihe suauerai	--|-|---⌫-|-----|
la poestez	-|------|
nautre delui neniertdeuapel e z.	|----|-|--|--|---|--|----⌫-⌫||
dehezenaitmahunefiertez	----|-|--|----||------|
e uu s meïme que par luiuu s clamez	|--⌫|-----|--|--|--|--⌫|-----|
espé uus ferraineelez	----|--|-----|-----|
parc elseingnurqui	--|-⌫-|-------|--|
en croixs fu penez	-|-----|-|----|
tumbe ruusfrais a	-----⌫|--|---|||
cestcolpmatende z.	---|---||------⌫||
otinelbrochesun arabi	-----|-----|--|----|
ec larelbr oc h esu n	|-⌫----|--⌫--⌫-⌫|--⌫|
d estriertur neuen t	-⌫------|---⌫-----⌫|
sur les escu zse	--|--|----⌫|-|
fierent durement	------|-------|
par misepassent amduili fer trenchant	--|-|-|------|----|-|--|--------|
halbercsquedemortlurdefe nt.	-------|--|-|---|--|----⌫-||
ilsi ent f e r m	-|--⌫--|-⌫-⌫-⌫|
eenpeinentforment	|--------|------|
alurestr iussafichentredd ement	|--|----⌫--||-------|----⌫----|
li u nsuerl	-|-⌫-|--||
altredel abatrecuntent	----|--|-----|------|
rumpent lu rcenglese	------|--⌫|------||
lespeitrals	--|-------|
amduisabatent licheu aleruaillant	----||------|-|----⌫---|-------|
r odlantsen ristedit a belisent	-⌫-----||-|---||--||-------|
simaïtdeu scestb utier	-||---|---⌫|---|-⌫----|
ualtu n chant.	---|-⌫|----||
ditlapucele orailequ ordulan t	--|-|-----|-|-|-|--⌫-|-----⌫|
aseintemariemun	|-----|----|--|
amiu us comant.	--|-⌫-|-----||
paie ntglatiss entpurclarel	----⌫-|-------⌫--|--|-----|
dari n ant	|---⌫-⌫--|
ma humetpri e n tecrie nt ha lt ement	--⌫----|---⌫-⌫-⌫||----⌫-|--⌫--⌫----|
otun liseitdemortgarant.	---|-|---|-|---|-----||
mellee sespee la trenchant	-----||----|-|--------|
sest salli	|--|----|
tint curceces ual punt	---|--------⌫|-|---|
d orluisant	|-|------|
si se requerentamduiirreme nt	-|-|--------|----|------⌫-|
grant colpsse donentamdui	----|----|-|-----|----|
meintenant	---------|
amu nteshe almesuli or resplent	---⌫-|-|--⌫----||-|-|-------|
lefeuen sal tke lerbesesprent	-|--|-|---⌫|-||---||------|
li sarazin	-|------|
fum ultbon che ualer .	-|-⌫--|--|---⌫----||
leue mellee dun tlibrancfu	---|-----|---⌫|-|----|-|
e fi ertotinelsurl ehealmelereia lie r	|--⌫--|-----|--|-⌫|-----|-|--|-⌫---⌫|
t a nt p arestd urne lpo tmietrenchier	-⌫-⌫-|-⌫-|--|-⌫-|--⌫|--⌫|--|--------|
meisparlecolplestut	---|--|-|---||----|
unpoipleie r .	-|--|-----⌫||
tantl estun akil	---||-----⌫||-|
lefi s tagenuiller.	-|--⌫-⌫|---------||
seint e ma riedist	-----⌫|--⌫--|---|
charlealuisfier	-----|-|--|---|
