quiweultoirsarm on	--|----|--|----⌫-|
leual em pereor nonchier	-|-||--⌫-----|-------|
li emperer e q uant il sout	-|-------⌫|-⌫---|-|---|
uenoie nt mont liplot	------⌫-|---|-|---|
et ua encontreplaci don	-|-|-------|-----⌫--|
en sembleoluituitlibaron	--⌫-----||--|---|-|----|
grant ioie font	----|---|---|
ale nsembler	||-⌫-------|
poientsaou l er	-----|----⌫-⌫-|
de luiacol e retb aissie r	-|--|----⌫-⌫|-|-⌫------⌫|
aueienttrestuitchier	------|-------|----|
donta pl orer	---||--⌫---|
parlafaceli cort liru	--|-|---|-|---|-|-|
d esler mez dontsontli t aissel	-⌫-|---⌫--|---|---|-|-⌫-----|
etl orle moilliédel mantel	-||---|-------|--|-----|
issilont em p lorant leissié	---||--|-|-⌫-----|-------|
tuit libaron pargra nt p itie	---|-|----|--|---⌫-|-⌫---|
mont d ema nd e liemper e re	---|-⌫---⌫--⌫|-|-----⌫-⌫-|
de ses deuzfixet de	-|--|---|--|-|-|
e tporquoiilsenier talé	-⌫|--|---|-||-|---⌫|---|
pa issi en cele ́	--⌫-|-|-|----⌫|
tr estotle uoi rconta	--⌫----|-|---⌫|----|
omques unmot n elencela	-----|-|--|-⌫||-|---|
dissiconle uos ai	|---|--|-|--|-|
com il perdi s es	--|-|----|-⌫-|
fix au gue	--|-|--|
fam e enla n auie	---⌫|-|-|-⌫---|
conle notonnierlout rau i e	--|-|--------||--|---⌫-⌫|
cont esadolor	----⌫|-|----|
etasbaron squi	-|-|-----⌫|--|
montfulaioie	---|-|-|---|
d ela uen u ee au se nesca l	-⌫|-|---⌫-⌫-|-|--⌫-----⌫|
grant ioie	----|---|
enfon tpar totle	-|---⌫|--|--|-|
trestuit liprin ce et	-------|-|----⌫-|-|
lidemei nne	-|-----⌫--|
wiel zetgenu r es petizetgrans	----⌫|-|----⌫-⌫-|----|-|----|
cheualiersb orioi set	---------|-⌫-----⌫|-|
a presliroislia requis	-⌫---|-|---|-||-----|
et tuitli bar ond elpais	-|---|-|---⌫-|-⌫-|---|
deprendrelasene scauchie	-|------|-|----⌫-------|
cheualiersl amaistr ie	---------|-⌫|------⌫-|
etil issila	-|-|---|||
apresqu ilo rentmontproié	------|-|-⌫---|---|-----|
li roi s lia c ein tlebaudre	-|---⌫|-||-⌫---⌫|-|-----|
o lase ssinme	|-|--⌫-----|
de son fie	-|--|--|
adontfaitplacidusmander	----|---|-------|-----|
les ch eualiers e tassembler	--|--⌫-------|-⌫|--------|
quias r ommainso beiss oien t	--|-|-⌫------|-⌫-----⌫----⌫|
etquiseruisselor rendoien t	-|--|-------|--|--------⌫|
kantilfurent	---|-|-----|
tuit ariué	---|-----|
silaparunetunc onté	|-||--|-|-|-|-⌫----|
kantle sot conte ́toutatire	---|--⌫|-|-----⌫|---||---|
porroientsof fire	--------|---⌫---|
acomb at realore nnemis	|----⌫--⌫-||--|-⌫-----|
ter resi erent mis	---⌫-||-⌫----|--|
lors enuoieparl escastia x	---|-----|--|-⌫-|------⌫|
et parl e schite sensement	-|--|-⌫-⌫|-----⌫|-------|
ouils auoitquilauoitge nt	-|-|-⌫----|-|-|----|--⌫-|
keilfeissentche uali ers	-|-|-------|---⌫----⌫--|
porlebouso igqu iierttantgriers	--|-|-----⌫-|--⌫|---|---|-----|
embrief faite sc riureet sei gnier	-|----|---|-⌫--⌫----|-|---⌫----|
k an tcascu ns	-⌫--⌫|-----⌫-|
endoitenuoi er	-|---|-----⌫-|
li borcousesdeuz	-|---|-|--|---|
fixmanoient	--|-------|
qui pasnes entreconoissoient	--|--|-||----------------|
deuz cheualiers fai r ede uoit	---|---------|---⌫-⌫|--⌫---|
siconmees bries escript	-|----|-|----|------|
kantles hommesdel borcoir ent	---|--|-----|--|---|---⌫--|
leman dement etle s brie su iren t	-|---⌫-----|-|--⌫|----⌫|-⌫----⌫|
entreuzprenn ent co ns eilcertain	---|--|-----⌫--|--⌫--⌫--|------|
liquel iro nten	-|---|---⌫-|-|
lo st r omain	|-⌫-|-⌫----|
d o nteslissentles damoisseax	-⌫-⌫-|--------|--|---------|
quiiere ntgra nzetforsetbeaux	--|----⌫-|---⌫-|-|---|-|----|
ni auoi tnulqui defachon	||----⌫|--|--|-|-----|
nesemblastbi enfixde	-|-------|--⌫-|--|-|
encontenance etenusage	-|---------|-|-|----|
paroientbiende haut	-------|---|-|---|
m e sdont il	-⌫-⌫|---|-|
ierentnesau oient	-----|-|---⌫----|
ne me squenorriz	-|--⌫|--|-----|
les au oient	--|--⌫----|
porce nles ontapareilliez	--|--⌫|--|--|----------|
et enlostronmai n enuoiez	-|-||--|------⌫|------|
kant sontuenulicheualier	---|---|---|-|--------|
etliseriant etli	-|-|------|-|-|
i ssi com meil fu r ent mandé	-⌫--|---⌫-|-|--⌫-⌫--|-----|
ausenescalsontamen é	-|-------|---|----⌫-|
poreulzu eoir etpor esmer	--|---|-⌫---|-|--|----|
etporl e s	-|--|-⌫-⌫|
ba t ailles seurer	--⌫-⌫-----|-----|
etquantlesde u zdamoisseaxuit	-|----|--|--⌫-⌫|---------|--|
quiierentbeax plusqu epetit	--|-----|---|---|--⌫|----|
etforset p rouzcorto is	-|---|-|-⌫---|-----⌫-|
obeaxmem bresbienfrai set granz	|---|---⌫---|---|----⌫|-|----|
bienlifuuissone nsc ient	---|-|-|--|--|-⌫---⌫---|
qu iliere nt	-|-|----⌫-|
ne ́deg en til gent	--⌫|-|-⌫--⌫--|---|
plusles ama	---|--|--|
etles tin tchiers	-|--|---⌫|-----|
au tres cheual iers	--⌫---|------⌫---|
lapaternel affection	-|-------|--------|
i atern ot	|-----⌫-|
mont saraison	---|-|-----|
ae ulzam er etneporquant	|-⌫--|--⌫-|-|---------|
nescono issoit	|-|----⌫-----|
netantne q ua nt	-|---|-|-⌫--⌫-|
pu islo rbai ll eo	--⌫-|--⌫|---⌫--⌫||
soi la ma istri e	--|-|--⌫-----⌫|
l a cheualerie	-⌫|---------|
etasata bleaugrantmainger	-||-|--⌫--|-|----|------|
sontempres	---|-----|
luitou t lipremier	--|---⌫|-|------|
k antsesbataille soutseureez	-⌫--|--|--------⌫|--|------|
et ses eschi ellez ordenee z	-|--|-----⌫----|-------⌫|
si commeill outaco stume ́	-|----|--|--|---⌫-----⌫|
asennemis ennestalé	-|------|--|--|---|
por s oic omb atre ensemb leoeulz	--|-⌫-|-⌫---⌫---|------⌫-||---|
k antenueeraet tensetlieuz	-⌫--|-|----|-|---|-|----|
kerilnie rtpas	--|-||--⌫-|--|
tantoutra ioux	---|-----⌫---|
netantfolement coraioux	-|---|-------|-------|
quepar desre iun esp eron	--|--|-----⌫|-|---⌫---|
per dist nelep risd	---⌫---|-|-|-⌫--||
etta n tsauoi t bi enassembler	-|--⌫-⌫|-----⌫|--⌫-|--------|
asennemis etdeseurer	-|------|-|-------|
kel egaaig son	-|-⌫|----|--|
ennesto it	--|----⌫-|
au izomqu esrien sn i	--⌫------⌫-|----⌫|||
melz walloie nt cent cheual iers	---|-------⌫-|---|------⌫---|
ensembleoluiqu edeuzmilliers	-------||--|--⌫|---|-------|
ou ue c un autren efeissent	--⌫--⌫|-|----|-⌫|-------|
etq uitque mont plusipe rdis s en t	-|-⌫--|--|---|---||--⌫----⌫-⌫--⌫|
la uictoretouziors	-|------|---|---|
ses ennemis partoutuenq u oit	--|------|------|----⌫-⌫--|
lostcheuaucheq uauezoi	|--|--------|-⌫|---|-|
d esoi combatretout	-⌫|--|-------|---|
kan t sontuenuasen nem is	---⌫|---|---|-|--⌫---⌫-|
ontmort na uré	--|---|--⌫---|
po ient en durer	--⌫---|--⌫----|
conu ientledestorner	----⌫---|-|--------|
etsen wo nt pardesconfiture	-||-|--⌫-|--|-----------|
n acil delre tornerait cure	||--|--|--⌫-----|--|---|
eustacemo ntlesenserre	------|--⌫-|--|------|
qu i bienlorcalenge late rre	--⌫|---|--|------|-|--⌫--|
et tuitliromma i n ensemen t	-|---|-|-----⌫-⌫|-------⌫|
qu illessuie nt communalment	--⌫-|--|----⌫-|-----------|
etd encauchie r n eso nt	-||---------⌫|-⌫|--⌫-|
mont parle fo ntproousement	---|--|-|--⌫-|----------|
terr eont deliu r ee	----⌫|--|-----⌫-⌫-|
desbarbarinsdautrecontr ee	--|--------||----|-----⌫-|
ceuzqu ie nnescap eren tuis	---|--⌫|-⌫-|-----⌫----⌫|--|
sesontaronmetoussosmis	-|---||----|---|-----|
toutelo r terre	----|--⌫|----|
tindrentderonmet oziors pui s	-------|-|----|-⌫-|---|---⌫|
ce leterre aquitee	--⌫-|----|------|
unegr ant eu ea	--|--⌫--|--⌫||
kec ilap elentydisp is	-|-⌫-|--⌫----|-----⌫-|
quilmarc his sentacelpais	---|----⌫---⌫---||--|---|
i cel e terr eracomquisse	-⌫---⌫|----⌫|-|--------|
et a rommetoute sosmise	-||----|----|------|
puisnese ti ntmie ai tant	---|-|-|--⌫-|--||-⌫---|
ainco i zcomquistl a t e rreauant	-----⌫-⌫|-------|-⌫|-⌫-⌫--|----|
tantestalé	---|--|---|
sicondexplout	-|--|--|----|
quil uint auborcouconuersou t	-|-|---|-|---|-|---------⌫|
q uelommeaarage	-⌫-||---||----|
retintporle prisdupa ss ag e	-----|--|-|---|-|--⌫--⌫--⌫|
lefixsainte marie	-|--|-----|----|
dicelhonmequ il	|---|----|--⌫-|
etd autressil ladefe ndi	-||-----|--|-|----⌫--|
kesacasteene perdi	-|-|-----|-|----|
et eniceleregi on	-|-|----|----⌫-|
le z u ncortil quiln ie rtpasson	--⌫|-⌫|-----|---||--⌫-|--|--|
a u oitfait umpoi de	-⌫-⌫--|---|-|--|-|
dont montierentbaslicheuron	---|---|-----|--|-|------|
commepouurefameiui uoit	----|-----|---||--⌫---|
lab or c omm e el faiss o it	---⌫-|-⌫---⌫|-|-----⌫-⌫-|
lis enescal fist	-|-⌫------|---|
illu e cson ostp orr eposer	----⌫-⌫|--|--|-⌫-|-⌫-----|
etporcenque beax	-|--|--|--|---|
i er tlilieuz	-⌫--⌫|-|----|
d ebois de	-⌫|---|-|
blaus da utres alieuz	----||-⌫----|-----|
partroi sior si lluec seiorna	--|----⌫|---⌫|-⌫----|------|
porla beautequ	--|-|-----|-|
ili trouua	-||-----|
presdelcortil	---|--|-----|
ot faitdrechier	-|---|-------|
s es tentesetson t reff ich ier	-⌫-|-----|-|--|-⌫--|-⌫---⌫--|
d onts a fa m e	-⌫--|-⌫|--⌫-⌫|
la gar de auoit	-|---⌫-|----|
mesn eporquant rien nen	--|-⌫--------|---||-|
seign orsqui	-----⌫--|--|
dexaidi e r	--|----⌫-⌫|
deriens greuern u snelepuet	-|----|-----|-⌫-⌫|-|-|---|
kerde xestsa inzetglorioz	--|--⌫|--|--⌫--|-|------|
etent o zsesf aizmerueilloz	-|-|-⌫-⌫|--|-⌫--|---------|
quatr e ami dede	-----⌫|--|-|-|
enmontpoide termeassemblé	-|---|--|-|----|--------|
kerlidamoiseldes c endirent	--|-|-------|---⌫-⌫-------|
ciezlor mere	---|--|---|
eto stel ipristrent	-|-⌫---||--------|
conoissoitderien	---------|-|---|
neeuzlormer ep ou ne bien	-|--|--|---⌫|-⌫-|-|---|
keril erent petitenfa nt	--|-|----|----|----⌫-|
kantl araui	---|-⌫|---|
limarinn ant	-|------⌫--|
le ndemain	|-⌫------|
qua nt li i orfu bel	---⌫-|-|-⌫-|-|--|
endr oitm idi lidamoi se il	----⌫--|-⌫--|-|-----⌫--⌫-|
emsemblepristrent apa rler	-------|--------||--⌫---|
etlorenfanchearaconter	-|--|-------||-------|
lia ins nez aumenorcontout	-|-⌫--|--|-|----|------|
deq uel tensp lusloigli mem brout	-|-⌫--|---|-⌫--|---|-|---⌫----|
dic efait il	|--⌫|---|-|
plu sloig mememb re	---⌫|---|-|----⌫-|
peti t et tendre	----⌫|-|-----|
kemisperes	-|--|----|
iertse nescal	---|--⌫-----|
etm a m ere e ltemporal	-|-⌫|-⌫--|-⌫|-------|
dame degrantb eau te es toit	---|-|----|-⌫---⌫-|--⌫---|
etdeuz enf anzpetisauoi t	-|---|---⌫--|----|----⌫|
dec esdeuzestoiee l igreindre	-|-⌫-|---|------|-⌫|-------|
etmont ie rtbelmonfreremeindre	-|---|--⌫-|--|--|----|------|
mesienesaien	--|-|-|--|-|
misperesestoitesta is	--|----|-----|----⌫-|
ilsentorna	-||-|----|
parnuite tqui l e nmer	--|---|-⌫|-|-⌫|-⌫|--|
et siestoit o lui ma	-|-|-----||--|-|
etieetmonpet iteitfre re	-|-|-|--|---⌫----|---⌫-|
etquantnosfumeshors de	-|----|--|----|---|-|
per e m ontplorer	---⌫|-⌫--|-----|
mesienesaip orquoi	--|-|-|--|-⌫-|---|
nepor quoisi grant duelmenout	-|--|---|-|----|---|-----|
me siesai bien que	--⌫|-|--|---|--|
nestoitmie	|-----|--|
m a mereennos treco mpa ig nie	-⌫|---|-|---⌫--|--⌫---⌫--⌫--|
pui saunfloueleetgrant	---⌫||-|----|-|-|----|
uint mom pereonos	---|--|---||--|
deuz enfant	---|-----|
mon pe titfrere auantpassa	--|--⌫--|----|----|----|
et suslar iuele laissa	-|--|-|-⌫--|-|-----|
fuuers mo iretorne ́	-|---|--⌫|-------⌫|
et il fuia em milegue	-|-|-|-|--⌫-|-|--|
si uiun lo uq uil pristlenfa nt	-|-|-|--⌫|-⌫--|----||----⌫-|
e tsen to rnao toutfuiant	-⌫||-|--⌫--||---|-----|
a inzquemenperefustuenu	-⌫-----|--|---|---|---|
amoi fuunlyonissu	|--|-|-|---|---|
del boi s quitantostmesaisi	--|---⌫|--|------|-|----|
eto toutmoitost	-||---|--|---|
pastor smecostrent au lyon	------⌫||--------|-|---|
puis fui norri enlor meson	---|--|----|-|--|----|
elborcouuosmauez	-|---|-|--||---|
piecheaque m auezco n neu	-----||--||---|--⌫-⌫--|
o mquesp ui sde	-⌫----|-⌫--⌫|-|
lenfantne soi	|-----|-|--|
ne demomp ereg rantn e	-|-|--|-⌫--|-⌫---|-⌫|
omque s puisneui	-----⌫|---|-|-|
n e puisde	-⌫|---|-|
luiparle rn oi	--|-----⌫||-|
toutmainten antque li a is	---|-------⌫--|--|-|-⌫-|
ot tou tsonco ntea	-|---⌫|--|--⌫--||
fim m ené	--|-⌫---|
li puis n ét ou tempiez	-|---|-⌫-|-⌫--⌫|-|---|
etemplorant icen dist li	-|-|------|---|---|-|
simaitde x ler oi	-||--|--⌫|-|-⌫-|
degl o ire	-|--⌫-⌫--|
ke crestiensontemm emoire	-|--------|--|-|-⌫-----|
quei oibiensui	--||-|---|--|
kenoss ommes freres germains	-|--|-⌫----|-----|-------|
me norrirent	-|--------|
dientqu aunleum etollirent	----|-||-|--|-⌫|--------|
qui m auo ittou tissiraui	--||---⌫-|---⌫|---|---|
con iaiichipa r uos	--||-|---|--⌫|--|
quantsesonte ntreco nneu	----|-|---|-⌫------⌫---|
ase ntresaign es qu ont eu	-|-⌫---------⌫-|-|--|-|
ioieentr euz demenere nt	---|---|--|--------⌫-|
etfranchements entrac olerent	-|----------||------⌫------|
t antsont i oieuz ettants ont lie	-⌫--|---|-⌫----|-|---|-⌫--|--|
kedeioiequede pit ie	-|-|---|--|-|---⌫-|
pendanzdelorsbau drez	------|-|---|---⌫---|
sontdelorslermesar o sez	---|-|---|-----|--⌫-⌫--|
l ormer e deuanteuzestoit	-⌫-|---⌫|-----|--|-----|
quibien l or	--|---|-⌫-|
parolesoieit	------|----|
quitan tostcommench eapenser	--|---⌫---|--------⌫||-----|
dice nque lor oiconter	|---⌫|--|--|-|-----|
i cenq ue c o ntali	-⌫--|-⌫-|-⌫-⌫--|-|
a to uten soncuer	|--⌫-|-|--|---|
sic omildi st queiusticiers	-|-⌫-|-|--⌫-|--|---------|
iert som pere desche ualiers	---|--|---|--|---⌫------|
etc onmentil entra enmer	-|-⌫-----|-|----|-|--|
etco mment il leuit plore r	-|--⌫----|-|-|--|-----⌫|
itant de ses disbienconn ut	----|-|--|--|---|----⌫-|
kerit a nt emsemble	--|--⌫-⌫-|-------|
les uitentrebesier	--|--|----------|
eta c oleret embr achie r	-|-⌫-⌫---|-|----⌫-----⌫|
et queuzpl orent	-|-|--|--⌫----|
s itendrement	-⌫|---------|
k ant euz s or ent certainnement	-⌫--|--|-⌫--⌫--|------------|
queilestoientgermainfrere	--|-|-------|------|----|
sisapensa queleiert lor me re	-||-----|-|--|---|--|--⌫-|
eleoisedeuient	--|-|-|------|
kercert ainne nen	--|----⌫----||-|
iertno ient	---|--⌫---|
neporquantgrant	---------|----|
piti eauoit	----⌫|----|
quepl orerlesueeit	--|--⌫---|--|----|
por la grant	--|-|----|
io ie qu i lfaissoient	--⌫-|-|-⌫|---------|
decen quesentre conoi ssoient	-|--|--||-----⌫-----⌫------|
puispa rmati malendemain	---|--⌫|----⌫|||-------|
alaau se n escal	--|-|--⌫-⌫----|
et monthumblem entlipria	-|---|-------⌫--|-|---|
sire fai t	---|---⌫|
elpordieu te quier	-|--|---|-|----|
paisnemela is sier	---|-|-|--⌫--⌫---|
meneml o mb ardie	|-|-|-⌫-⌫--⌫----|
kerd e la terrefuinorrie	--|-⌫|-|----|--|-----|
deromme etfui	-|----|-|--|
e nchaitiuee	-⌫---------|
enicesteestr an ge	-|-----|----⌫--⌫-|
tout maintena ntquele	---|--------⌫-|-|--|
ot cend it	-|--|-⌫-|
s esparolesconnutetuit	-⌫-|------|-----|-|--|
et touzles signezsonseig nor	-|---|--|-----|--|----⌫--|
etnep orq uantsi ou tpeor	-|---⌫---⌫---|-|--⌫|---|
montquantlaconnut	---|----||------|
de lapeortrestoute	-|-|---|--------|
esbahiebien	------|---|
longuemen t	---------⌫|
q u erele nesesout	-⌫-⌫-|--|-|-|---|
asonseigno rmo nstrer	|--|------⌫|--⌫-----|
ke rhontel a f aisoitdouter	--⌫|----|-⌫|-⌫-----|-----|
kantatenir n e	---|-----|-⌫|
sepout plus	-|---|---|
chai r selaitate rre ius	----⌫|-|---||--⌫--|--|
a spi e z sons eignor sum ilie	-⌫|--⌫-⌫|--|-⌫-----||--⌫---|
ethumblement mer chi licrie	-|---------|---⌫--|-|---|
etdists ire a moi entent	-|---|-⌫--||--|-----|
pordieul e ro i ommipoten t	--|---|-⌫|--⌫|---------⌫|
etme ditauiepremiere	-|-|-|-|--|-------|
siconme elfuchaen narie re	-|----|-|-|--|--⌫|----⌫-|
kercem estuisques	--|-||--|--|-|-|
q uifudesronmai ns	-⌫-|-|--|------⌫-|
me str eet dus	--⌫---⌫|-|--|
quieustace	--|------|
apres qu ilfu regeneré	-----⌫-|-|-|--------|
aqui ihesucri stsap arut	|--|--------⌫-||--⌫---|
par l ecer f quielbois	--|-⌫|---⌫|--|-|---|
etquiparnuitd es amaison	-|--|--|---|-⌫|-⌫|-----|
iss ip orlatemptation	---⌫|-⌫-|-|---------|
etm en menae nsemble	-||-|---|-⌫------|
fame iere seloncloi	---|---|-----|--|
etnosdeux fix	-|--|---|--|
e tlemenor theos pitum	-⌫|-|----|-----⌫----|
uersegipte par milamer	---|-----|---⌫-|-|--|
nosfaisoi t droitementaler	--|------⌫|---------|---|
meslinoto nnierparen uie	--|-|----⌫----|--|--⌫--|
porleloierdesanauie	--|-|----|-|-|----|
en l anef osoimeretint	-|-⌫|--||--|-|-----|
et otoutmoiissis e nuint	-||---|--|---||-⌫|---|
mesihes ucristtrai	--|----⌫-----|---|
conques p aric elmarinnant	|-----|-⌫-|--⌫-|--------|
ne parautre hommeenma	-|--|----|----|-|-|
nefumachast eebl esmie e	-|-|-|-----⌫-|--⌫-----⌫|
o r sauezquai d it	-⌫|----|-|-|-⌫-|
c on oissanche	-⌫--⌫--------|
auoir re membranche	----|--⌫---------|
orm edites paramor d e	-|-⌫|----|--|---|-⌫|
dece n quequierla	-|--⌫|--|----|-|
eu stace quant cenoi	--⌫----|----|--|-|
poi ez sau oirbienla choisi	---⌫-|---⌫--|---|-|-----|
esg ardeaperteme nt	---⌫---|--------⌫-|
ilsoitq uepasnement	-|---|-⌫-|--|-|---|
degrantio ie se ncueresprent	-|----|--⌫-|--⌫|---|------|
pitie mo nt t endrement	----|--⌫-|-⌫--------|
pristaplorer	----||-----|
sill idescen t	--|-⌫|------⌫|
deseuz sitendrement	--|--|-|---------|
kese n mantel	-|--⌫|-----|
e nfu moilliez	-⌫|-|-------|
desles tasseax	--|--|------|
dessiquas piez	------|-|---|
ograntioieempbrachi e	|----|---|---------⌫|
etparplus orsfoiz la besie	-|--|----⌫--|---|||----|
del ie bessieretacol e r	-|-⌫-|------|-|----⌫-⌫|
donta terr e s ont e ncl inne ́	---||----⌫|-⌫--|-⌫---⌫----⌫|
et ihesumcristontaoré	-|----------|--|----|
euzaesté tant	--||----|---|
p rochains	-⌫-------|
kentretr ouuése so ntto zsains	|-------⌫----|-|--⌫-|--⌫|----|
sireth eosp itelidit	---|--⌫----⌫--|-|--|
entendez moi un solpetit	-------|--|-|--|----|
ousontn o sfix quant	-|---|-⌫-⌫|--|----|
ces a chi ezuos cep oisemo i	-|-⌫-⌫---⌫-|--|-|-⌫---|--⌫|
k antdeuantmoi nesontic hi	-⌫--|-----|--|-|---|--⌫-|
ten sa queienes	---⌫||--|-||-|
dam edi st ilia sontilmort	---⌫|--⌫-|-|-|---|-|---|
iapareuznaurons mesco nfort	-|--|--||-----|--|--⌫----|
k eruoiant meseulz lespr istrent	-⌫-|-----|--|---|--|--⌫------|
cru e ux bestesquillesochistrent	---⌫-⌫-|-----|---|--|---------|
sirefa itele	---|--⌫-|--|
d ieuparmont grantdeuotion	-⌫--|--|---|----|-------|
keriesaibi enque nosdeuzfix	--|-|--|--⌫-|--|--|---|--|
trouuerons s ainssaufsanzperix	---------|-⌫---|---|---|----|
dam ecomme ntseronttroué	---⌫|-----⌫-|-----|-----|
kantb esteslesontdeu oré	---|-⌫----|--|--|---⌫---|
d e uosporroientautrenestre	-⌫|--|--------|----|-----|
kera utrementne	--|-⌫-------|-|
p ue t ilestr e	-⌫--⌫|-|----⌫|
certa innement sireuosdi	-----⌫-------|---|--|-|
kerier en mamessonoi	--|--|-|-|-----|-|
deu zdamo isseax quilr ecord oient	---⌫|----⌫-----|---|-⌫-----⌫----|
lorenfa n ceetr amenteuoient	--|----⌫-⌫-|-|-⌫-----------|
mesil nes auoien tn oien t	--|-|-|-⌫------⌫|-⌫----⌫|
keilfu ss entde riens parent	-|-|--⌫--⌫--|-|----|-----|
mespar cenq u edistli	--|--|--|-⌫-⌫|---|-|
saperchu tsempres	|-------⌫|------|
q ui estoientfrere s ge rm ains	-⌫||-------|-----⌫|--⌫--⌫---|
porcen de uons estre	--|--|--⌫---|----|
kedexnos a	-|--|--||
nos fixsauué	--|--|-----|
queras dis quil furent	---|-|--|---|-----|
saiorebiencertainne ment	--|--|---|---------⌫---|
qu il s ontn os fix n endoutnoient	-|-|-⌫--|-⌫-|--||-|---|-----|
por censanz ter melesm andez	--|--|---|---⌫-|--|-⌫----|
etqui ilso nt lordemandez	-|--|-|--⌫-|--|-------|
tout maintenantli senescal	---|---------|-|-------|
les afaitque rre a	--||---|---⌫--||
kantde uantluifu rentuenu	---|--⌫---|--|--⌫---|---|
trestoutliont recon neu	-------|-|--|-----⌫--|
i cenquau oi ent raco n té	-⌫--|-|--⌫--⌫--|----⌫-⌫--|
etcommentles perdi a u gue	-|------|--|----|-⌫|--|
qu an t illespassoit	--⌫--⌫|-|--|------|
et co mme ntilfurent	-|--⌫---⌫-|-|-----|
lu na u lyonetl autre	|-⌫|-⌫|---|-||----|
dont p ensa eust a ce ump o i	---|-⌫---|----⌫-⌫-|-|-⌫-⌫|
et ensoncuer toutremembro ut	-|-|--|---|---|--------⌫-|
le s par oles t antost si s out	--⌫|---⌫---|-⌫-----|-|-⌫--|
certainne ment pu is nem	---------⌫---|--⌫-||-|
ke dex ses	-|--|--|
fix rendusli a	--|-----|-||
sainteustace montdoucement	----|------|---|--------|
e tsa fametout ensement	-⌫|-|---|---|-------|
les c ommenchierenta	--|-⌫------------||
aacoler etembra chier	|-----|-|-----⌫----|
d esuslo rs colz	-⌫---|--⌫-|---|
sont aclinn é	---|------⌫-|
eton tt a ntdepitieploré	-|--⌫|-⌫-⌫-|-|----|-----|
kele slerme s quildescendierent	-|--⌫|-----⌫|---|------------|
deloreulztouz les	-|--|---|---|--|
drasmoilli e rent	---|------⌫-⌫---|
g rantioiefontcommunement	-⌫---|---|---|----------|
e tloientdieu deuot e ment	-⌫|-----|---|-----⌫-⌫---|
qui icen lor aconsentu	--|---|--||-------|
kesesontentreconneu	-|-|---|----------|
toutmainten antsanzdemoree	---|-------⌫--|---|------|
e nua it parl	-⌫|--⌫-|--||
ostlarenoun mee	--|-|------⌫--|
etlibaro ntuit	-|-|----⌫|---|
sas emblerent	|--⌫--------|
qui montgrant ioiedemenerent	--|---|----|---|---------|
greignorque ie ne	-------|--|-|-|
saip ense r	--|-⌫----⌫|
n equ eho n s	-⌫|--⌫|--⌫-⌫|
neporroit cont er	-|------|----⌫-|
orent aquite e	----|------⌫|
a romme toutela	|----|----|-|
si sentorn entuersl ombar die	-||-|----⌫--|---|-⌫-----⌫--|
et e mporte ntgrantm anantie	-|-⌫|-----⌫-|----|-⌫------|
oeu lzenmeinnen tmeintchaitis	|--⌫-|-|-------⌫|----|------|
quil ont en celeterrepris	-|-|--|-|---|----|---|
ainzque ustace	-----|-⌫-----|
arommedont iliertissu	|----|---|-|---|---|
olegrantost qu iconduioit	|-|----|--|-||--------|
oidi re que	-|--⌫-|--|
morses toit	---|--⌫---|
liempereret r ai anus	-|-------|-⌫-⌫--⌫---|
q ui lotfa itdel ost mestreetdu s	-⌫-||-|--⌫-|-||--|-----|-|--⌫|
etadrien iert	-|-----|---|
quide traienestoitmontpe re	--|-|-----|-----|---|--⌫-|
et montsestoi ttouziorspené	-|---||-----⌫|---|---|----|
dedestruirecrestiente	-|--------|---------|
liemperere	-|-------|
quantilsout	----|-|---|
que sa inteustace	--|--⌫--|------|
repairo it	-------⌫-|
e ncontrealacondro i sestoit	-⌫------|--|--|---⌫-⌫|-----|
porlau icto ir equilauoit	--|-|-⌫----⌫--⌫|-|-|----|
d es bata illesquilout fi nneez	-⌫-|----⌫----|-|-|--|--⌫----|
etdesmarchesqu	-|--|------|-|
otdeliureez	-|--------|
granti oie ot quantillencontra	----|-⌫--|-|----|-||-------|
etparpluso rs foisle baissa	-|--|-----⌫-|---|-|-----|
e tl endemainliemperere	-⌫||-------|-|-------|
barondel empere	----|-||-----|
princhesetduz	-------|-|--|
contes marchis	-----|------|
enuontautemple appollinis	-|---|-|-----|---------|
as ydolessacrefi er	-|-----|-------⌫-|
et u nefeste commen chier	-|-⌫-|----|------⌫----|
keiluuellentelt emporal	-|-|-------|-|-⌫------|
faireunegra ntfes teroial	----|--|---⌫-|---⌫-|----|
enmemoiredel auictore	-|------|-|-⌫|------|
qu il ont ou par laiutore	-|-|--|-|--||------|
sei n t eustacequi otconquis	---⌫-⌫|------|--|-|------|
les barbar ins	--|------⌫--|
d autrespais	|-----|---|
sainteustacepasnientra	----|------|--|||----|
m eshors deltem ples	-⌫-|---|--|---⌫--||
l e mpererequ an ts ap erchut	|-⌫------|--⌫--⌫||--⌫-----|
kesainteustace pasn i	-|----|------|--|||
si lle f ait mont	--⌫|-|-⌫--|---|
tost apeler	---|-----|
et licommencheademander	-|-|--------||-------|
kendeuoitque l	|-|-----|-|-⌫|
templenentrot	-----||-----|
et asdexn e sacrefiot	-|-|--|-⌫|--------|
respo ntapertement	-----⌫-|---------|
etdit sirene doitnoie nt	-|--|---|-|---|----⌫-|
aydoles s a cre fier	|-----|-⌫-⌫---⌫---|
quid e dieu	--|-⌫|---|
a tent leloie r	-⌫---|-|----⌫|
