enla m arche de	-|-|-⌫----|-|
au oitesté	--⌫--|----|
morzfufaizun smostiers .	---|-|---|--⌫|-------||
qant licorsfuent errezlare ine demora	---|-|---|-|---⌫----|-|--⌫--|-----|
en labaieetl abaesse fis tfair eunmostier	-||----|-||------|---⌫|----⌫|-|------|
moutb ella ouli roisauoites té	---|-⌫-|-|-|-|---|----|--⌫--|
morzetmoutbeles off icinesetfutozfaizdedanz	---|-|---|----|---⌫-----|-|-|--|---|-----|
et qanti l fudedi ez siif u	-|---|-⌫|-|----⌫-|-||-⌫|
li roisportez .	-|---|-----||
et lo rs i uint lare inesoitierce	-|--⌫-||---|-|--⌫--|--|-----|
de nonains et si	-|------|-|-|
iotdeuschape lains ett r ois renduz.	|-|---|-----⌫----|-|-⌫-⌫--|-----||
toz lesiorzquiaiornoien tauoitlad ameune	--|--|---|--|---------⌫|----|-|-⌫--|--|
cos tu mequesitostcomeleauo it oiela	---⌫--⌫-|--|-|---|--|--|---⌫-|--|-|
mes se quelanchantoitpo rle roisiu enoit	---⌫-|--|--|-------|--⌫|-|--|-|-⌫----|
sor lolacet illuec endro ito e le	--|-|--|-|-----|-----⌫-||-⌫-|
a uo itsonf il	-⌫--⌫-|--|-⌫-|
perdu sil isoit sonsa utier t exho re	----|-|-⌫----|--|--⌫----|-⌫-|--⌫-|
estoitetce disoi tqu	-----|-|-|-----⌫|-|
el esauoitdebien et pl orentmoutdurement	--⌫|-----|-|---|-|--⌫----|---|-------|
etlachosefu	-|-|----|-|
s eueparlopaisquela	-⌫--|--|-|---|--|-|
reinehelenedebenoyces toitnoneetcilleusfu	----|-----|-|-----|--⌫---|---|-|--|---|-|
apelez mostier s reia us.	-----|-------⌫|----⌫-||
durement crutlileusetessaucaet	-------|---|-|---|-|------|-|
lesgentisfamesdopais s iren d irent espessement et	--|-----|----|-|---|||---⌫-⌫----|----------|-|
p ordeuetp oramor	-⌫-|--|-|-⌫-|---|
mais atant se	---|----|-|
licontes dela	-|-----|-|-|
desa co npaignieetre torneauroiclau das	-|-|--⌫-------|-|--⌫----|-|--|----⌫--|
delad eserte.	-|-|-⌫-----||
ic iandroi t	--⌫|------⌫|
ditli cont es que	--|-|----⌫-|--|
tante sp loitaclaudasliroisquil	---|-⌫--⌫----|------|-|---|-|-|
ottotela terredelrei aumedebenoycettote	-|---|-|----|--|---⌫---|-|-----|-|---|
laterredega unesquepuisqelamorz	-|----|-|--⌫---|--|-----|-|---|
auro i ban	-|--⌫|--|
fuseuen e ue squili rois bohorz	-|---|-⌫|--⌫---|-|---|-----|
qued eusiorzsiquide lan miauzq uil	--|-⌫--|---|-|----|--|----|-⌫|-|
soitmorz de diaud esonfrerequede	---|---|-|---|-⌫|--|----|--|-|
il auoit d eusfilz dont	-|----|-⌫--|---|---|
liunsauo itnon lyoniax	-|--|---⌫-|--|------|
etliautres bo horzsi	-|-|-----|--⌫---|-|
estoie ntameru eillesbel a nf ant	------⌫-||----⌫-----|--|-⌫--⌫--|
mais ilestoient desipetit aagequeli on ax	---|-|-------|-|-|----|---|--|--⌫--⌫-|
q ueuintunmo ise t	-⌫-|---|-|--⌫-|-⌫|
bohorzne nauoitque nuef.	-----||-⌫|----|--|---||
enlaterre de gaunesauoitdemo utpreudomes	-|-|----|-|-----|----|-|--⌫-|--------|
etdemout leiauscheualiers sicontretindrent tant	-|-|---|-----|---------|-|-------------|---|
laterr ecomil laporent c ontretenir .	-|----⌫|--|-|-|-----|-⌫---------||
et la reineeuanelafa meau roibohort	-|-|----|----|-|--⌫-|-|--|-----|
esto ieenun	----⌫-|-|-|
c ha stelquiestoit de so ndoaire siauoitn onmo n tlair	-⌫--⌫---|--|-----|-|--⌫|-----|-|----|-⌫-|--⌫-⌫----|
et estoitme ruoille sforz	-|-----|--⌫-------⌫|---|
s i estoit tote la terreprise forsque	-⌫|-----|---|-|----|----|------|
cil chastiaxoestoit l a	--|-------||-----|-⌫|
reineets ianfant.	----|-|-⌫|-----||
clau dasot tot	----⌫--|-|--|
lopaisen sa bailliesiuin tdeuant	-|---|-|-|------|-|---⌫|-----|
celuiseo ir mais	----|---⌫-|---|
lareinequi fame estoitnelosaatandre p or	-|----|--|---|-----|-||--|------|-⌫-|
paor queilnelifeisth ontesil	---|--|-|-|-|----|-⌫---||-|
lapoi stparforce	-|---⌫-|--|----|
pr a ndre sis anfoi del	--⌫-⌫---|-||----|--|
chastelentreli ets es deusa nfan zetse	------|----|-|-|-⌫-|---|-⌫----⌫|-|-|
fistnagi er out reune	---|----⌫-|---⌫-|--|
riuierequ i desou zlo cha s tel c orro it tan tqu ele uinten	------|--⌫|-----⌫|-|---⌫-⌫--|-⌫----⌫-|---⌫--|--|---|-|
uneforestdesusl ariuierequisoeau oit est é	--|-----|----|-⌫|------|--|--|--⌫--|---⌫-|
illuecmontala re ineensescheuax si s	-----|----|-|--⌫--|-|--|-----|-||
enaloit a podegen t	-|----||-|-|---⌫|
et pen sa quele ne	-|---⌫-|-|--|-|
fineroitder re rtantqu	-------||--⌫--⌫|-----|
eleuenroit aumostierou s a	--|------|-|------|-|-⌫|
suerlare ine de	---|-|--⌫--|-|
benoyce sto it uel e e.	-----|-⌫---⌫-|---⌫-⌫||
ensinssenaloiten tel	-----||-|----|-|--|
maniere etsiduianf a ntau ocquesli.	------|-|-|--|---⌫-⌫-|--⌫-----|-||
siuinten un e	-|---|-|--⌫|
moutbelelandeet mout gra nt.	---|---|----|-|---|---⌫-||
illuecauint la reine desesmescheance setor roiz	-----|----|-|----|-|--|----------⌫|-|--⌫---|
uoirsfuque lirois	----|-|--|-|---|
bohorzauoitensauiedesheri té un cheualie rpor	-----|----|-|-|--|-------⌫--|-|--------⌫|--|
unautre que il auoit	-|----|--|-|----|
oc iscar cefuunsdeshomesdo	--⌫-|--|-|-|--|--|----|-|
monde qui plus	----|--|---|
hautei ustisetint en	----|-⌫-----|---|-|
queli roisbohorz	--|-|---|-----|
de gaunesforslir ois	-|-----|---|-|-⌫--|
bansdebenoyc	---|-|-----|
sesfreres.	--|-----||
licheualiersquidesheritezesto itqui	-|---------|--|---------|----⌫-|--|
porlomecide sen estoit uenuz ac lau d as	--||------||-|-----|----||-⌫---⌫-⌫-|
c arilsa uoittotlocoui neetlopooirdes	-⌫-|-|--⌫---|--|-|----⌫-|-|-|----|--|
deu sf r eres.	---⌫|-⌫-⌫---||
l iroisclauda sla ma moutparsanblant	-⌫|---|------⌫||-⌫-|---|--|-------|
etessaucasili	-|------|-|-|
bai lla unepart iedesagentporcorrel a	---⌫--|--|----⌫-|-|-|---|--|----|-⌫|
ou iluoudroit .	-|-|-------||
etc illotintmout p resetmo ut	-|-⌫-|-|---|---|-⌫--|-|--⌫-|
sepe na d elui seruir	-|--⌫-|-⌫|--|-----|
c eluiior quelareinesen a l oit de	-⌫---|--|--|-|----||-|-⌫-⌫--|-|
mo nlair aumostiersaseror auint	--⌫----|-|------|-|----|----|
q ue enceleforestouele p assoitestoitli rois	-⌫-|-|---|-----|-|--|-⌫-----|-----|-|---|
claud asetchacoitunsangler	-----⌫-|-|------|-|------|
t ropgrant et	-⌫--|----|-|
lic h eua liersdeseritez	-|-⌫-⌫---⌫----|--------|
auecques lui .	-------|--||
s iencontrali	-⌫|-------|-|
cheualiersdeseritezlarei n e etse sdeus	---------|--------|-|---⌫-⌫|-|--⌫|---|
anfanzlaou	-----|-|-|
ilatandoit claudas autrespas dune grant	-|-------|------|-|------||--|----|
la dame si	-|---|-|
licortsa isiraufrain.	-|---|--⌫---|-|----||
etelecomm an caa pl orermouttend rement	-|--|----⌫--⌫-||--⌫---|---|----⌫-----|
etilfait prendreles	-|-|---|------|--|
deusanfanz qui	---|-----|--|
e stoiente ndeu sbrecuel ssoru nsomiersilesenmaine	-⌫------|-⌫|---⌫|-------⌫|--|-⌫|-----|-|--|------|
laouilauoitsons eignor laissié	-|-|-|----|--|-⌫-----|-------|
selareinere mest dolanteil nef ait pas	-|-|----|--⌫---|------|-|-|-⌫--|--|
ademand er c arlem ne	|------⌫-|-⌫-|--|-|
porroitg r eignorduel deuiser que e leensigrant ne	------|-⌫-⌫-----|---|------|--|-⌫-|---|----|-|
feistetcheoit pas meesi	----|-|-----|---⌫--|-|
tuit cilqui laueoient	---|--|--|-|------|
cui do ientque elemoreust	---⌫--⌫---|--|--|------|
eneslo pas .	------⌫--||
qua ntli ch eualierslau it si	---⌫-|-|--⌫-------|-|-⌫-|-|
dolosersilanprist pi tie zmoutgranz	------|-||-|----|--⌫---⌫|---|----|
et ill idist damem out m	-|-|-⌫|---|---|-⌫--||
auezmalfaitet uoset	---|--|---|-|--|-|
liroisqui m orzestmais	-|---|--|-⌫--|--|---|
li cuersne mesof fer oitpasque	-|----|-|-|---⌫---⌫--|--|--|
geuosmeisse en ma le s	-|--|-----|-|--⌫--⌫|
mainscaruosmefe istesia	----|--|--|-|--⌫----|-|
u nser uis e q uibien	-⌫|---⌫---⌫|-⌫-|---|
uos iertguerredonezencuic aru osme respitates	--|---|----------|----|-⌫-|-⌫-|-|---------|
un efo izde	--⌫|--⌫-|-|
lamo rtetm outuospe s ade mondese rite ment.	-|--⌫-|-|-⌫--|--|--⌫-⌫|-|--|----⌫----⌫---||
siuosenrandrailoguerredon c arge	-|--|-|------|-|--------|-⌫-|-|
uosmanraif ors de ceste	--|-----|-⌫--|-|----|
forestasauu e te	-----||----⌫-⌫-|
maisuosmel airoizmes	---|--|-|-⌫-----|--|
deu ssei gnorsquic i sont	---⌫|---⌫----|--|-⌫|---|
silesgarde raiet norrirai t a ntque i lserontgrant	-|--|-----⌫--|-|-------|-⌫-⌫----|-⌫|-----|----|
ilp ueentiamais lorte rr erecou re rmielzman	-|-⌫----|-----|--|--⌫--⌫|-----⌫--⌫|----||-|
etseuosen si nelo faitesuos	-|-|--|--⌫-|-|-|-----|--|
ne poe zestre se	-|---⌫|----|-|
honienonseuoschaez	----|--|-|--|----|
esmains clau dasde lad eser te.	-|----|----⌫--|-|-|-⌫----⌫-||
e lene set quefa irequ ese	-⌫-|-|--|--|--⌫--|--⌫|-|
elela issesesdeus anfanzeleneles cuideiama i s	--|--⌫---|--|---|-----|--|-|--|----|----⌫-⌫|
d au tr epartsele	|--⌫--⌫|---||--|
chietesmain sasonanemi	----|-|----⌫||--|----|
m or telelecrientassez	-⌫--⌫--|--|-----|----|
auoirh onteetdolor .	----|-⌫---|-|----||
s isepense	-⌫|-|----|
quemiauz liui au tprand rededeusm auslo	--|----|-|--⌫--⌫|-----⌫-|-|---|-⌫--|-|
main z mauuais car por	----⌫|------|--|--|
hontes elanlifaitneremanra	----|-⌫|--|-|---|-|------|
ilmiedesesanfanz que	-|--|-|--|-----|--|
ilne soie ntamort liure ́.	-|-|----⌫-||---|-----⌫||
e leuiau t metresesanfanzen la	-⌫-|----⌫|----|--|-----|-|-|
main denostres eignorqueil soient	---|-|-----|-⌫-----|--|-|-----|
desmam br é sesiauzueian t	------⌫--⌫-|--|---|-----⌫|
miauzqueele s oith o nie.	----|--|--|-⌫--|-⌫-⌫--||
sid i t aucheu a lierqueelela isselesanfan z en	-|-⌫-⌫|-|----⌫-⌫---|--|--|--⌫---|--|-----⌫|-|
lade ugardeetanla	-|--⌫|----|-|-|-|
ille sgartsicom	-|--⌫|---|-|--|
maispordeu faitelede c este fo restme	---|--|--|---|--|-|-⌫---|--⌫---|-|
gite zhors queparaut ruine	----⌫|---|--|--|---⌫--|-|
soie prise ned es torbee.	---|----|-|-⌫--⌫-----||
licheualierspristles deusanfanzsi lesliur a	-|---------|----|--|---|-----|-|--|----⌫|
a c els ancui	|-⌫--|-|--|
i lse fioit pluset mena	-⌫|-|----|---|-|---|
ladameasauuetehorsdela	-|---||------|---|-|-|
fore sttantquele uintau neab aie d e	----⌫-|-----|--|---||-⌫-|--⌫--|-⌫|
illa me tlaianzet	-|-|--⌫|-----|-|
lidistda meciuos re manroizt antqueuosuerr oiz	-|---|--⌫-|-|--|--⌫------|-⌫-----|--|----⌫--|
monmessagequiuosdi raqantclaudas s ensera	--|------|--|--|--⌫-|---|------||-|---|
ele r emaint	--|-⌫-----|
etils enpart	-|-||-|---|
etelelic hie ta s piez pord eu	-|--|-|-⌫---⌫|-⌫|---|--|-⌫-|
q uepitiezlipreignedesesdeus	-⌫-|-----|-|------|-|--|---|
anfanzquepor co uetisedauoirne	-----|--|--|--⌫-----||----|-|
lesmeteesmainsdelor anemi mortel	--|---|-|----|-|--|----|-----|
etildit sorsacreance que	-|-|--|--|-|------|--|
aurontmal i l n	-----|--|-⌫||
e s porragarant ir.	-⌫|----|------⌫-||
ata ntse nala	---⌫-||-⌫|--|
etqantiluint	-|---|-|---|
lisanglersocis.	-|-------|---||
ettantostuindren tlesnoueles que montlair sestoi t pris .	-|------|-------⌫|--|------|--|--------⌫|-----⌫|---||
claudasen fu	------|-|-|
moutliez e t simontei l	---|---|-⌫|-|----|-⌫|
t antostetuienta u	-⌫-----|-|----|-⌫|
chast e l s i t rou aquilestoitia randuza	-----⌫-⌫|-⌫|-⌫---⌫|-|-|-----|-|-----||
sagen tcarpuis que	-|---⌫|--|----⌫--|
a n fuhors ne	-⌫|-|---|-|
l osanusco ntrete nir	|--|--|--⌫------⌫--|
mais qant ilne	---|---|-|-|
lareine ne	-|----|-|
lesanfanzsianfumoutiriez	--|-----|-|-|-|---|----|
etneporqa ntdo	-|-------⌫-|-|
c ha stelsesaisi.	-⌫--⌫---|-|----||
ettin tend euslesr eiaumesant elmaniere.	-|---⌫|---⌫--|--|-⌫------|-|-⌫-|------||
mais atant se	---|----|-|
taistore s liconte s q ue plusn	----|---⌫|-|-----⌫|-⌫-|---||
anpa roleancoisretorneala re in e euai nn e la	-|--⌫---|-----|------||-|--⌫--⌫|----⌫--⌫|-|
fame au r oibo hort.	---|-|-⌫-|--⌫---||
