seulementde son eage etsil	--------|-|--|---|-|-||
at ant se ndepartideus etci l	--⌫--||-⌫|------||--|-|--⌫|
de la cite	-|-|---|
degaseui n renta	-|---|--⌫-⌫---||
la beiepou rlesain t homee t	|-⌫---|---⌫|-|----⌫|---|-⌫|
uoloie ntocireet	------⌫-|----|-|
etehesyciens o ndesiple parle	-|--------|-⌫-⌫|------|--|-|
co nmand ementiuliu	--⌫-----⌫----|----|
l emper eour	|-----⌫---|
qui quere lefa isoitpartou t ela	--|----|-|--⌫----|--|---⌫-⌫|-|
quan cilquil	---|--|---|
leque ro ient nele trouerent	-|---⌫--⌫---|-|-|--------|
ab e ieouillauo it la	--⌫-⌫-|-|--|---⌫-|-|
esté si conmencierent entreus	----|-|------------|---|--|
adire queu oire ment estoit il	|---|--|-⌫----⌫---|-----|-|
encanterespuisquilsauoitles	---------|-----|-|-----|--|
cossesquiestoient a	-----|--|-------||
lisainsh om	-|----|-⌫-|
k i del aestoit	-⌫|-|-⌫|-----|
departi s entraenlagrant	-------⌫|----|-|-|----|
desertin e	--------⌫|
antantqui pluisour	-|---|--|-------|
gensiuir ent	---||---⌫--|
sorentq uant il	-----|-⌫---|-|
uitquilnes e	--|-|-|-|-⌫|
pooit tant cele rent er equ	----|---|----⌫|-|-⌫--⌫|-|
nefust trouuer il	-|---|------|-|
ilse metro itenmeret	-|-|-----⌫-|-|--|-|
qu e rroit	--⌫-⌫----|
tantqu il trouer oitunill equine	-----|-|------⌫--|-|---⌫|--|-|
seroitabit ee	-----|----⌫-|
de nule creature etla arestero it	-|---|-------|-|-|--------⌫-|
adonqu esuint	------⌫-|---|
unssa i n s	--|--⌫-⌫-⌫|
desiples depales tinealuiadriiens	-------|-|-----⌫---||--|-------|
etoitapellé ssi	----|-------⌫|-|
queiu liens li empere res est oit	--|--⌫----|-|------⌫--|---⌫--|
ocis etqu ili	---|-|-|-||
crestien a empereourqu ilgouuren oit	-------||--------|--⌫-|-------⌫--|
le resne et	-|----|-|
ilr epairier as sesfre resquantli	-|-⌫-------|-|--|---⌫--|----|-|
sain sho mloiensiparler	----⌫|--⌫||-|---|-----|
ildistk in iroitmiedontse	-|---||||----|--|---|-|
part id e lasis	----⌫|-⌫|-|-||
parmi legrantdesertine dusk a unecite	----|-|----|--------|---||--|---|
la mer s ie t	-|--|-⌫--⌫|
e t estoit	-⌫|-----|
sedepar ti adriien s	-|-----⌫-|-------⌫|
del uiq uimout li fistdemal ca ril	-|-⌫-|-⌫-|---|-|---|-|--|--⌫|-|
lie mporta unede	-|-⌫-----|--|-|
uesteures si q ue lisainshomn	--------|-|-⌫-|-|----|--||
sotmotet lienuoi er ent	--|--|-|-|-----⌫--⌫--|
sifrere puis	-|----|---|
le c omperail mout	-|-⌫-----|-|---|
uneenfre me tes	--|-----⌫--⌫--|
lipristdontilfumo rt agrant	-|----|---|-|-|--⌫-||----|
dolour et sainsylair es	-----|-|----|-----⌫-|
demouraen lacite pou rquerrant	------|-|-|---|---⌫--------|
sienebesoignedo nt	----|-------|--⌫-|
ilestoitmout	-|-----|---|
ciparoleconment saintilaire s	-|-----|------|----|------⌫|
uintale mer e ten tra	---||-|--|-⌫|--⌫--|
etli fi eux lenotonnierestoit	-|-|--⌫--|-|--------|-----|
malades car li an emis	------|--|-|--⌫---|
iestoi t oucors etsains	|-----⌫|-|---|-|----|
ylaire sl en gar ientrue sq ui l	------⌫||-|---⌫|------⌫--⌫|-⌫|
es toie nten la	--⌫----⌫-|-|-|
meretfu yy	--|-|-|-|
li sa inshomkiemlaciteestoit	-|--⌫--|--|-|-|-|---|-----|
dontieuous aideuan t	---|-|---|-|-----⌫|
tr ouaunenefdema rcheansquis en	--⌫--|--|--|-|--⌫------|--||-|
deu oit aleren sesilleet	---⌫--|---|-|------|-|
sidoidesiplenauoient p lusde	-|--|------||------|-⌫--|-|
tousauo i rs terriiensc	---|---⌫-⌫-|--------||
liures d e uangillesetleur afuleuresli	-----||-⌫--------|-|---|--------|-|
sainshomen tr a	----|--|--⌫--⌫|
enle n efauoecl e s marceans	-|-|-⌫-|----|-⌫-⌫|-------|
pe nsaquec elliu redonroitil	--⌫--|--|-⌫-|---⌫-|------|-|
aunotonnier	-|--------|
pour sa des ertequant il	---|-|---⌫---|----|-|
fu renttoutentréesnes	--⌫---|---|-----|-|--|
etil l orent b i e nc ourut	-|-||----|-⌫-⌫-⌫|-⌫----|
ouplus parle	-|---|--|-|
dela mer li	-|-|--|-|
diables entraelcors	------|----|-|---|
lefillenotonnier	-|--|-|--------|
ciconmencaa	-|-------||
crieretadire	----|-||---|
yl airessersn ostre signour	--⌫----|---|-⌫----|------|
conmentpuet cou estre	------|---|--|----|
queneno us	--|-|--⌫-|
loistmiepourcoiquenous	----|--|---|--|--|---|
soionsseurenterreneen	-----|---|-|----|-|-|
donemoie spastantke	---|--|-⌫---|-----|
u iegneatere qu e	-⌫----||---|--⌫|
trebuciésdeci endroit en	---------|-|-|------|-|
lam eretem asb ismesainsylaires li	-|-⌫-|-|-|---⌫---|----|------|-|
distseihe su cris	---|-|---⌫-|---|
m e sd ieuxotroieque	-⌫-⌫|-⌫---|-----|--|
a restesarestet oitout	-⌫-----|-----|-⌫-|---|
pl ainement etsilte nueut	--⌫-------|-||-||-⌫|---|
ne osteretquem en	-|----|-|--||-|
demandestu q u isi hom	-------|-|-⌫-⌫|-|--|
pechie reset	------⌫--|-|
ce dis oitil pour	-|---⌫--|-|---|
couque l i	--|--|-⌫|
noton n ieretlimarceant	-----⌫-⌫--|-|-|-------|
enla nefestoient n el	-|-|--|-------|-⌫||
ensign ai sentne demoustrai s s entd	------⌫--⌫---|-|----------⌫-⌫-⌫--||
aucun miraclequ antiluenissenta	----|------|--⌫--|-|--------||
terreaprescounemie	----|----|--|-|--|
g ran tmentfugaris li enfeset	-⌫---⌫----|-|----|-|----|-|
orentcouent au	----|-----|-|
sai nth ome	---⌫-|-⌫--|
t ou tcilquien	-⌫--⌫|--|--|-|
laestoie nt	-|------⌫-|
p ar u erit equeia d eluine	-⌫-|-⌫----⌫|--|-|-⌫|--|-|
parleroientadont cour u r ent	----------|----|----⌫-⌫-⌫--|
p a r lam ersans auoirtou rme ntqu	-⌫-⌫|-|-⌫-|---|----|---⌫---⌫-|-|
ilariuerentet prissentporten	-|--------|-|-------|---|-|
sezilledonttrai stli	------|---|----⌫-|-|
aunotonnierl eliu re	-|--------|-⌫|---⌫-|
de lewangileet	-||-------|-|
sadesfu leurepoursa	-|-----⌫----|---|-|
deserteli n otonnierqu ib ien	------|-|-⌫-------|--⌫|-⌫--|
ueoi ent quil nauo ientnule	----⌫--|-|-||---⌫---|---|
creature forsleuruestureetceliure	-------|---|---|------|-|-|----|
il iurerentquilnem	-|-------|-|-||-|
pre ndroient nuleriens maisli	---⌫-------|---|----|---|-|
sain shomk iauoitausigrant	----⌫|--|-⌫|----|---|----|
enlapoureteet p lussiesiois soit	-|-|------|-|-⌫--|||------⌫---|
ken larikece	|-|-|-----|
toute suoiesfai re	-----⌫|----|---⌫-|
prendrecar il	------|--|-|
uausist que cil d ela	------|--|--|-⌫|-|
quidaiss e nt quenlin	--------⌫-⌫-|-|-|-||
eussent autrec osse forsqu il	------|----|-⌫---|-----|-|
poures et me ndis l inotonnier	-----|-|--⌫---|-⌫|--------|
ki a sses coss es	-|-⌫|--|----⌫-|
bao ient se	---⌫---|-|
departiren tdelui et	----------⌫|-|--|-|
ilsenalae nsusdel a	-||-|--|-⌫---|-|-⌫|
en unestr ang eliu des ertpour	-|-|----⌫---⌫|--|---⌫--|---|
aucuns marche ans	-----|------⌫--|
qu iuenissent	--⌫|--------|
d orientne lereconneussentla	|-----|-|-|------------|-|
conq uello ientl a ign eetquant	----⌫-----⌫---|-⌫-⌫---⌫|-|----|
un f a is a s sam ble ses	-|-⌫-⌫-|-⌫-⌫---⌫--|--|
d esiplesle	-⌫------|-|
portoitaune	------||--|
quiilloec estoitprocain esi le	--|-----|-----|-------⌫|-|-|
ue n doientsisen	--⌫-⌫-----|-||-|
aca toient	---⌫-----|
painquil depecoientaceu squia	---|-|-|---------||---⌫|--||
eusuenoient pourso u stenir	--|-------|---|--⌫-⌫-----|
e nsi li preudonsqu idoit laestre	-⌫--|-|-------|--⌫----|-|----|
repus etqu edeluinefust	----|-|--⌫|-|--|-|---|
pasmension sne	--|-------⌫|-|
parolem aissiconli	-----|-⌫--|-|--|-|
escripturedis t	---------|---⌫|
ettesmoigne	-|--------|
mauuaisementp uet estre	-----------|-⌫--|----|
rep us sel a	---⌫--⌫-|-⌫|
citesquias si sse est	----|--|--⌫--⌫--|--|
sour un eh autemontaigne	---|--⌫|-⌫---|--------|
cipar o leconmentil estoit	-|---⌫-⌫-|------|-|-----|
homaronmequi auoit l	--||----|--|----||
ou cor ssi lem enaon	-|---⌫|-|-|-⌫--|-|
au mostrie r	-|-------⌫|
saintpiereetsi	----|----|-|-|
fusi dist ilquiluenr oita	-|-|---|-|-|-|----⌫--||
saintylair ekies toi t repus	----|-----⌫|-|--⌫---⌫|----|
ensezill eets ito stqu ili	-|------⌫|-|-⌫|--⌫-|-|-||
fugari setli	-|----⌫|-|-|
liissihorsdou c ors	-|---|---|--|-⌫--|
adon t auintcunshaushom	----⌫|----||--|---|--|
de ronmes ertentr epris	-|-----|--|----⌫----|
d iab lequ i l iest oit	-⌫---⌫-|--⌫|-⌫|---⌫--|
corsentrési lau oit	---|-----|-||--⌫--|
aumoustiersaintpierela	-|-------|----|----|-|
c onmen calid iables qu i dedenslui	-⌫-----⌫-|-|-⌫-----|--⌫|-----|--|
en trés acri er	--⌫----||---⌫-|
encoregair e sque ylaires	-----|----⌫-⌫|--|------|
ihucr istuintensesi lleetn us ne	--|--⌫--|---|-|----⌫--|-|-⌫-|-|
connoistpourcou	-------|---|--|
quide ilestre s i	----|-|----|-⌫|
rep usquenu s	---⌫-|--|--⌫|
rec onnoisemais iou	---⌫------|---|--|
irai et si lensignerai	---|-|-||---------|
donten tra l i for senésen	---|--⌫--|-⌫|---⌫-----|-|
u nenefensamblel u iunepartie	-⌫-|--|-------|-⌫-⌫|--|-----|
desage ntet nagier enttantqu il	-|-|--⌫-|-|------⌫--|-----|-|
uin renten	---⌫---|-|
sesilleauliu oul i	------|-|--|-|-⌫|
sainshome stoi tarest és	----|--|-⌫----⌫|-----⌫--|
ta ntos tc onlideruésleu it	--⌫----⌫|-⌫-|-|------|-|-⌫-|
ilselaissa	-|-|-----|
caoirasse spieseten	----|-|--⌫|---|-|-|
eur ef uil sanés	---⌫|-⌫|-|-----|
etga risdes amaleauenturece fu	-|--⌫--|-|-⌫|---|-------|-|-|
premieremiracl eque	-------|------⌫|--|
nostre sires	-----|----|
fistporlui enses i ll edon t	---|--|--|-|---⌫-⌫--⌫|---⌫|
conmen cierent a uenir aluitantde	------⌫------||----||--|---|-|
malade squiln	------⌫|-|-||
en funulnombres	-|-|--|------|
et lisaint	-|-|----|
rele giousiuenoient	----⌫----||-------|
pou rlui ueir	---⌫|--|---|
s iuintu n haus ho m	-⌫|---|-⌫|---|--⌫|
qu i tous estoit	--⌫|---|-----|
e m fléset	-⌫-⌫----|-|
ent reprisde trop grant mala di e	---⌫-----|-|---|----|----⌫--⌫|
en meis mesleiou rki liu intfu il	-|----⌫--|-|---⌫||-⌫||-⌫--|-|-|
garise ts anés	----|-⌫|-⌫----|
donnergransdon setgrant	-----|----|---⌫|-|----|
auoir mai silne nuautnie nt	----|---⌫|-||-⌫|---|---⌫-|
r eceuoirdementier squelisainshom	-⌫------|---------⌫---|-|----|--|
estoiten sezil e c omieuous	-----|-|-----⌫|-⌫-|-|---|
aidit etconmec es cosses	-|--|-|----|-⌫-|-----|
auenoi e ntehesycien	------⌫-⌫-|--------|
lequ eroit par tout	-|--⌫----|--|---|
l esieclequi	-⌫|-----|--|
ses d esiplesest oiteta loit	--|-⌫------|---⌫--|-|-⌫---|
tousles pors de mer s et parl e s	---|--|---|-|---⌫|-|--|-⌫-⌫|
desertines po ursauoirs	---------|--⌫-|-----||
en orroient	-|-------|
nouuel lescaril	------⌫--|--|-|
sauoitb ien quil neser oi t	-----|-⌫--|-|-|-|---⌫--⌫|
nuliu ar estésquel a	----|--⌫-----|--|-⌫|
nouueledelui	------|-|--|
nefusttantos tpar t out	-|---|------⌫|--|-⌫--|
nonchieqantala c auciefdeyy	------|---|--||-|---|-|-|
ansoi dir euniuis cuns	--|-|---⌫|-|---||--|
prophet es descrestiensestoit	-------⌫-|--|--------|-----|
apa ruee nl a	---⌫--|-⌫|-⌫|
ter redesezille	---⌫-|-|------|
f aissoitsigransmiraclesqu eon	-⌫------|-|----|-------|--⌫|-|
quido it q uecefus t	-----⌫-|-⌫-|-|---⌫|
une des grans	--|--|----|
sainsdeca en	----|-|-|-|
ariere etquaneehesycienoi	-----|-|----|--------|-|
celuiparler etdireil l idemanda	----|-----|-|---|-|-⌫|------|
q uel abi t i l auoit	-⌫--|---⌫|-⌫|----|
langageetconme ntilse main tenoit	------|-|-----⌫-|-|-|----⌫-----|
e tdequeleageilestoit	-⌫|-|---|---|-|-----|
liiuisne lensotraison ren dreains	-|---|-||-|--|-----|---⌫--|---|
dis t q u il nelauoitmie	---⌫|-⌫|-|-||----|--|
ueuneplu s	--|-|---⌫|
n en sauo i tque	|-|----⌫-⌫|--|
renome equi llenauoitoie	------⌫|-|-⌫||-|----|--|
ehesycien entrat a nto st enu nenef	--------|----|-⌫-⌫---⌫-|-|-⌫-|--|
qui ensesillealo it etquant	--|-|------|---⌫-|-|----|
ildemandaa	-|------||
qui estoitenunan gle d el a	--|-----|-|-|--⌫--|-⌫|-⌫|
mer nou e llesdousain thomedo ntli	--|---⌫-⌫---|--|----⌫|---|--⌫-|-|
dis senttoutcilqui	---⌫---|---|--|--|
arestoiento ulisa ins hom	---------|-⌫|-|--⌫--|--|
estoitetcom mentil	-----|-|---⌫---|-|
maint enoit	-----⌫----|
sesmeruilloie nttuit que	|------------⌫-|---|--|
ainspuisquelisainsh om	---|------|-|----|-⌫-|
estoitue nus	-----|--⌫--|
enlacontreeq uita nte	-|-|------|-⌫-|--⌫--|
auoitfaite	----|----|
parl a uol ent e	--|-⌫|---⌫---⌫|
nostre signo urne	-----|-----⌫-|-|
uau t prendrenulecos seterriiene	---⌫|------|---|---⌫-|--------|
tantli seu st onpre senterneo sfrir	---|-|---⌫-|-|---⌫-----|-|-⌫----|
unes eul e	--|-⌫---⌫|
soustenir sauieehesyci enli	--------|-|--|-------⌫-|-|
homquioices pa r olesala	--|--|-|--|--⌫-⌫---|--|
tant quil trouua sonmaistredont	----⌫-|-|-----|--|------|---|
la is sacaoi rassespies	--⌫--⌫-|----⌫|-|--|---|
conmencaaarouser deses	-------||------|-|--|
la rmesl isainshomle releua	--⌫---|-⌫|----|--|-|-----|
etfur ent illoec y yiorsensamble	-|---⌫--|-----|-⌫|---|-------|
dontsotetentendibie n	---|--|-|------|---⌫|
eh esycienquelisainshomne	--⌫------|--|-|----|--|-|
uoloi tplus	-----⌫|---|
dem ourerenceleregion	---⌫----|-|---|-----|
po urla gent qu ia lui uenoien t	--⌫-|-|---|--⌫||--|-------⌫|
ai ns uoloi ta le ren siestranges	--⌫-|-----⌫|-⌫--⌫|-|-|--------|
terresqu elinon s deliunefust	-----|--⌫|-|---⌫|-|--|-|---|
comneusneses la ngages	------|-|--|--⌫-----|
qua ntehesyciensotsa uolen t es ile	---⌫-|--------|--|-|-----⌫-⌫|-⌫|-|
me naa u ncas telenlacon tree	--⌫-||-⌫|---⌫--|-|-|---⌫---|
dalmatiela aresta	-------|-|-----|
ilp our c ou qu	-|-⌫--|-⌫-|-|
ilquid oitmeneruiesolitaireca r	-|----⌫--|----|--|--------|--⌫|
late rre ertsauuagee testran ge	-|--⌫--|--|------|-⌫|------⌫-|
mai s illifu	---⌫|--||-|
conneus sicom poésoir etentendre	------|-|--|----|--|-|-------|
ci par ole	-|---⌫--|
con men tsainsylaire s	---⌫---⌫|----|------⌫|
e stoit enlatereda lmatie	-⌫----|-|-|---|--⌫-----|
s iiauoitun ser pents igrantet	-⌫||----|-|---⌫---|-⌫|----|-|
si crueus siqu ilessi l loit	-|-----|-|-|-|----⌫-⌫---|
toutlepa iset tuoi teth omes et	---|-|--⌫-|-|----⌫|-|-⌫---|-|
f emes e t enfante t saintylaires	-⌫---|-⌫|-----|-⌫|----|------|
fistfaireunfudelaigneetli	---|----|-|-|-|-----|-|-|
ser pensentra ens	---⌫---|----|--|
arsenpoure	--|-|----|
adon tauoi t ence lete reun gr ant	----⌫|----⌫|-|--⌫-|--⌫-|-|--⌫--|
dragon detanteoribleetsi	-----|-|----|-----|-|-|
cruelsquil ga stoit toutle	-----|-|-|--⌫----|---|-|
pai setmangoitbest eset	---⌫|-|------|----⌫-|-|
tousl aou illespooita taindre	---|-⌫|-|-|--|----|-⌫------|
apello ient s i fait	------⌫---|-⌫|---|
serpenten lo rlangagep ourcouqu	------|-|--⌫|------|-⌫--|--|-|
il ertsigrans	-|--|-|----|
sic rueusquilmangoit	-|-⌫----|-|-|------|
quantli sa inshom	----|-|--⌫--|--|
sotcestenouelleilconmandaa	--|----|------|-|-------||
faire unt res	----|-|-⌫--|
gran tfu d ela ingne	----⌫|-|-⌫|--⌫----|
pr es des li u ou li serpenshabitoit	--⌫-|--|--⌫|-|-|------|-------|
dont f ist	---|-⌫--|
se s orisons	--⌫|------|
signo uretquantille s otfine es	-----⌫-|-|----|-|--⌫|-|----⌫-|
fis tles erp ent	---⌫|-|-⌫---⌫--|
elfu e ntrer	-|-|-⌫----|
etsi l arta	-|-||--||
pouredeuanttoutle	----|-----|---|-|
quant ensifulateredeliuree dela	----|---|-|-|---|-------|-|-|
ma l eb es telisainshomfu	--⌫-⌫|-⌫--⌫-|-|----|--|-|
mo u t esm aiésque lpar tilporoit	--⌫-⌫|---⌫----|---⌫|---⌫|-|-----|
aler carl a	---|--|-⌫|
ne uoloitildemoure r	-|-----|-|-------⌫|
ennule m anie reetporpen soitenlui	-|---|-⌫----⌫-|-|------⌫---|-|--|
m ei smesl es	-⌫--⌫---|-⌫-|
teres laou	----|-|-|
nouelle deluin e fust seueapres	------|-|--|-⌫|---|---|----|
fugranscr olledeter equi	-|----|--⌫---|-|---⌫|--|
apresle mortiuliele mpereourau int	----|-|---|----||-⌫-------|--⌫--|
etis sirentlesmers	-|--⌫-----|--|---|
hors d e lourriu esto u t ausic om suns	---|-⌫|---|---⌫-|--⌫-⌫|---|-⌫-||--|
deluues deu stuenir	------|---⌫-|----|
et lesnesuenoientiaashautes	-|--|--|-------|-|-|-----|
m ontaignesquantce uire nt	-⌫--------|----|-|----⌫-|
cil de lacontree i lcrem irent	--|-|-|------|-⌫|----⌫----|
mo utsiconmecilquidroit	--⌫-|-|----|--|--|----|
quelo r castelnekaissentne l or	--|--⌫|-----|-|-------|-|-⌫-|
maison sne	------⌫|-|
confondu es siuinrentausaint home	--------⌫-|-|------|-|----|---|
silemenerent	-||--------|
deuanteus ausi	-----|--|---|
bata ille en contrelam er qui	----⌫---|--⌫-----|-|-⌫-|--|
uenoitmoutfistlisai ns	-----|---|---|-|---⌫-|
c rois enc ontr elamer o rpoé soir	-⌫---|---⌫----⌫|-|--|-⌫|----⌫|--|
g rantm iraclecar la	-⌫---|-⌫-----|--|-|
n ossauenircontrelesaintho me	|---|----|-----|-|----|--⌫-|
ains crute t	---|---|-⌫|
hau ca amont aussi	---⌫-|----|----|
conmeunegrantmo ntaigneetsi	----|--|----|--⌫------|-|-|
traistpe titetpetitariere	-----|--⌫--|-|----|-----|
c ete smoigneenco re	-⌫|--⌫------|----⌫-|
t o utecele	-⌫-⌫--|---|
contre t rucahuiceiouret	-----|-⌫--||--|-|---|-|
lesmeresle saprendentlour	--|----|--⌫|--------|---|
pourcouquillaient	---|--|-|-||----|
enmemo ireetl e recontent aceus	-|----⌫--|-|-⌫|--------||---|
quiiue nronttuit	--||--⌫----|---|
dela contreesesmeruillerentd es	-|-|------||-------------|-⌫-|
miraclesdel sa int home	-------|--|--⌫--|---|
ciparo l econme nts a i nsylaires	-|----⌫-⌫|-----⌫-|-⌫-⌫-⌫-|------|
en traen mer po uraler e mcipre	--⌫--|-|--|--⌫-|---|-⌫|----|
et luietses desiplesdont	-|--|-|--|-------|---|
u inrentlaronparmeresga lies	-⌫-----|----|--|--|-|--⌫---|
pour eus desreuber etsi tost	---|--|--------|-|-|---|
sa ins homl esuitsiles fist	--⌫--|--|-⌫-|--|-|--|---|
ret orner sansapa era	---⌫----|---|---⌫-||
luiausi tostconm	--|---|---|---|
ilu enoienten ralerent il	-|-⌫------|-|-------|-|
li sainshomqu ant ilu it et	-|----|--|--⌫--|-|-⌫-|-|
ente ndi teu scossesildist que	----⌫--|---⌫|-----|-|---|--|
nede mouroit il mie	-|--⌫------|-|--|
demouré tiauoit lo rs	--------⌫||----|--⌫-|
nuit toutcoiementtantqu ilui nt au	---|---|-------|-----|-|--⌫-|-|
po r tde mer sitrou aune	--⌫-⌫|-|--|-|----⌫|--|
n efchargie quideuoitaleren	-⌫-|------|--|-----|---|-|
siientra ens etsi	-||----|--|-|-|
d esiple auoec	-⌫-----|----|
luilim aronnier	--|-|-⌫-------|
trai ssent	----⌫----|
lo uran creets edepartirentd e l	--⌫-|--⌫--|-|-⌫|----------|-⌫-⌫|
po rtqua ntloruoille	--⌫-|---⌫-|--|-----|
dr ec iét	--⌫--⌫---|
etcorurenttantparla m erque	-|-------|---|--|-|-⌫-|--|
roubeor de	------|-|
l ameretla ronqui	-⌫|--|-|--⌫--|--|
estoient esgalieslorapar ure nt	-------|-|-----|--|----⌫---⌫-|
pourceus de	---|---|-|
lamerroberet	-|--|----|-|
destr uiretuitcildela	-----⌫---|---|--|-|-|
auoien t grant	------⌫|----|
paour etgrant d oute	----|-|----|-⌫---|
etlidesiplesaintylaire	-|-|------|----|-----|
dissentquilregardastcar	------|-|-|--------|--|
uenoi e n tetilregardade	-----⌫-⌫-⌫|-|-|------|-|
s iconm enca	-⌫|----⌫---|
arirepuis d ist	|---|---|-⌫--|
desiples uous p ouredef oiet de	-------|---|-⌫---|-|-⌫-|-|-|
cr eancep ourcoi a u és	--⌫----|-⌫--|--|-⌫-⌫--|
uous paour	---|----|
ia nen a mie ci	-||-||--|-|
a uo it quant ilensuilesfieu x	-⌫--⌫-|----|-|----|--|----⌫|
par mil arouge	---⌫-|-⌫|----|
encor dont	----|---|
fur entilto ut noiéparla	---⌫--|-|--⌫-|----|--|-|
nostresignour en si	-----|------|--⌫-|
parlo it ila	-----⌫-|-||
eusmaisporce neta rgoitmie	--|---|--|-|-|--⌫----|--|
qu i estoientes galies	--⌫|-------|-|-----|
feroientdesigrantforce	-------|-|-|----|----|
grantuertu arines qu	----|----||----|-|
il fai ssoient	-|---⌫------|
lemerescumeret	-|--|------|-|
fendre etia	-----|-|-|
estoienttant a pr oc i étqui n i	-------|---|-⌫--⌫--⌫-⌫--|-||||
a uoitmieun get de piere	-⌫---|--|-|--|-|----|
leualisainshomet estut	---|-|----|--|-|----|
deua n tenla nefettendi	----⌫-⌫|-|-|--|-|----|
ce us qui uenoient	--⌫-|--|-------|
tropaigr emen t	---|----⌫----⌫|
disttrusqu elaouuous	---|------⌫|-|-|---|
estesuenuuous soufrissesans	----|---|---|--------|---|
plusu enirau a ntor poe ́suo us	---|-⌫---|--⌫-⌫-|-|---⌫-|--⌫-|
grant foi qui estoitel sainthome	----|--|--|-----|-|----|---|
carlesgalie sresalire nttost	--|--|-----⌫|--------⌫-|---|
ariere etretornerentisnelement	-----|-|----------|---------|
elesnefuiss en t uenues	---|-|-----⌫--⌫|-----|
ciau squidedensestoie ntnea int	----⌫|--|-----|------⌫-|-|-⌫--|
nefine rentdariere re tour n erdusc	-|----⌫---||-----|--⌫----⌫-⌫-|---|
auriuag edonteles	-|-----⌫|---|---|
oru ousuo elioulaissi er p luisours	-|-⌫--|--⌫-|--|------⌫-|-⌫-------|
c osses pour c e quil	-⌫----|---|-⌫|-|-|
sambleque ieuou suoelle le	-----|--|-|---⌫|-----|-|
conte alongiermais	----|-------|---|
c etan ts eulement	-⌫|---⌫|-⌫-------|
u ousuoe l ioudire	-⌫--|---⌫|--|---|
est oit enlanefet il	---⌫--|-|-|--|-|-|
tre spassoi t	---⌫-------⌫|
uileset des	----|-|--|
cites queli	----|--|-|
d erueeacouroientauriuagee t	-⌫----|---------|-|-----|-⌫|
c rio ien tet	-⌫---⌫---⌫|-|
il lesooit e t	-|--|---|-⌫|
maintenantparla proieredel s aint	---------|--|-|------|--|-⌫---|
esto i entilgari tant n agier ent	----⌫-⌫--|-|---|---|-⌫-----⌫--|
adonkesquiluirent	------|-|-|-----|
celei uintausi	---||---|---|
cipa roleconmen t sains	-|--⌫---|------⌫|----|
comesarmefu	---||---|-|
e mparad i s et	-⌫|-----⌫-⌫|-|
fue mfou isemcipreet	-|-⌫----⌫-|-|----|-|
conmentesesi cuslembla	------|-----⌫--||----|
e t l emp ortaempale sti neasses	-⌫||---⌫---|-|----⌫---⌫-|-|--|
tuitfu rent ensamble	---|--⌫---|-------|
sainshomlourconiuraque	----|--|---|------|--|
tantostk e li ameliseroit del	--------⌫|-|--|-|-----|--|
corsissuequilnele gardiss ent	---|----|-|-|-|-|-------⌫--|
mi eseul e euremaistantostl	--⌫|----⌫|---|---|------||
enfouissentet m e siss en ten	----------|-|-⌫-⌫----⌫--⌫|-|
ensiconm il estoituestusa	---|---|-|-----|-----||
etcou quilau oitauoec	-|--|-|-|--⌫--|----|
couer tuneautrepouretulepetit	--|--⌫|--|----|----|---|----|
auoit ialis a ins homdecalour	----|-|-|-⌫-⌫--|--|-|-----|
en ses memb reneniauoi tnule	-|--|----⌫-|-|||----⌫|---|
uiguou rdom e fors se ulementsenset	------⌫||--⌫|---|--⌫------|---|-|
ramembra nce et t outes uoies	--------⌫--|-|-⌫----|----|
ieuse tdi soit a me	---|-⌫|--⌫---|-⌫-|
iso rsdecestc orsquecries	-|-⌫-|-|---|-⌫--|--|----|
tuisorsque doutes tutu	-|-|--|--|-----|-|-|
aspresdeyy	-|---|-|-|
anss e ruinostre	--|-⌫-⌫--|-----|
si gnouret si crie nsla mort	--⌫----|-|-|----⌫-|-|---|
end ementiersquildis soitcou	---⌫----------|-|---⌫---|--|
rendia me dontle nf ou irent	----|-⌫-|---||-⌫--⌫--⌫----|
cilqui la estoientquant	--|--|-|-------|----|
ez echius lisains	--⌫-----|-|----|
h om ki es t oit	-⌫-|-|--⌫-⌫--|
empal esti ne sotcestecossesise n	-|---⌫----⌫-|--|----|----|-||-⌫|
cipre et sidist en	----|-|-|---|-|
faignantsoncueretson coragepour	-------|--|---|-|--|-----|---|
toli rceusdelacontree la	----⌫|---|-|-|------|-|
s oupeconquiluoloi tlaarester et	-⌫------|-|-|-----⌫|-|------|-|
garderl ecors del saint homeensi	-----|-⌫|---|--|----|---|---|
dem ourali sain s h omyy mois e t	---⌫---|-|----⌫|-⌫-|-|---|-⌫|
dontemblal e corssaint	---|----|-⌫|---|----|
so urgrant	--⌫-|----|
peri ldes auietan til	----⌫|-|-⌫|--|---⌫|-|
reuint em pal estin eas ses	-----|-|---⌫-----⌫|-|--|
ili ui nt tou t li moineetles gens	-||--⌫-|---⌫|-|----|-|--|---|
descastia usuinr en te ncontr esi	--|------⌫-|----⌫--⌫|-⌫------⌫|-|
le missentenlabe ie quel isains	-|------|-||---⌫-|--|-⌫|----|
homauoitestor eetoutausi c o m	--|----|-----⌫-|---|---|-⌫-⌫|
ilfistencor een	-|---|-----⌫|-|
uieat o utesacote	--||-⌫-⌫--|-|---|
et sat ul eetsaciés qui l	-|-|-⌫--⌫|-|------|-|-⌫|
