enu nedespartie sdegrecequi	-|-⌫-|--|------⌫|-|----|--|
auplustost	-|---|---|
qu ilpor ent il	-|-|---⌫--|-|
esloignieren tde	------------⌫|-|
castoileet	-------|-|
sig ler entetnagierent tantqu	---⌫---⌫--|-|--------|-----|
ils ontuenuetar riue ́auperche	-|-⌫--|---|-|--⌫----⌫|-|-----|
q uisi res estoitdetoute la	-⌫-|--⌫--|-----|-|----|-|
con treeliquiex est oit	---⌫---|-|----|---⌫--|
c rueletdeputaire.si	-⌫---|-|-|--|---||-|
alaenthenorp arl er	--|-------|-⌫---⌫-|
al uietli distsonmessage	|-⌫-|-|-|---|--|------|
a mo t s i com meliro ys	|--⌫|-⌫|---⌫-|-|--⌫-|
prianzli otdi te ten c harg ié et	-----|-|-|--⌫|-⌫|--⌫-⌫----⌫--|-|
quant nestorl ent endi	----|-----||---⌫---|
abienpoi f a illique il n eli	|---|--|-⌫-⌫---|--|-|-⌫|-|
corutsuse tl i dist	----|--|-⌫|-⌫|---|
putaincoar zmauuaiscomme nt	-----|----⌫|------|-----⌫-|
feustesuostant ozez	------|--|---|---|
deuenirmoicest	-|----|--|---|
m essage contera	-⌫-----|-----||
petittie ntquen e	----|---⌫-|--|-⌫|
uif escorchierouardoir .	--|---------|-|-----||
al ezuosenquemar	--⌫-|--|-|--|--|
uenissiezuosetditesa	--------|--|-|----||
mauu esroyqueil	----⌫-|--|--|-|
quenos lep ri sio nset	--|--|-|-⌫--⌫---⌫-|-|
o itceluiqu iia sa	-⌫-|----|--⌫|-|-|
ne samour quiertauoirface	-||----|-----|----|---|
ilporracarge l imet.	-|----|--|-|-⌫|--||
faite s tostfuiezde ci	-----⌫|---|----|-|-|
qu e plusn edemorezsiferoiz	--⌫|---|-⌫|------|-|-----|
quesage set	--|----⌫|-|
quebien uosaui ent quant	--|---|--|---⌫--|----|
alezfrance tquite	---|----|-⌫|----|
sanzmal auo ir.me slipremi ers qui	---|--|---⌫-||--⌫|-|-----⌫--|--|
deparlu i amessage	-|--|--⌫||------|
meuen rasoitse ursque	-|---⌫-|---|--⌫--|--|
uie n en port era .	--||-|----⌫--||
quanten th enor entendi a insi parler	----|--⌫--⌫---|------|-⌫---|-----|
nes torb ienuou sist	---⌫--|-⌫--|---⌫---|
e streail lorssise	-⌫---|---⌫---|-|-|
departidelui	------|-|--|
san zcong ie et	---⌫|----⌫-|-|
asanef ou iamaiste l foizfu	|-|--|-|-----|--⌫|---|-|
cuidaentrer.	----|-----||
quantilfuenz	----|-|-|--|
sisel oignierent	-||--⌫---------|
pl ust ostquil poren t	--⌫-|-⌫--|-|-|-----⌫|
e t se mistrent audroitchemin	-⌫|-|-------|-|----|-----|
lorp ais.mes	--|-⌫--||--|
tormenzles	------|--|
sorp ri nsten m erqui mo lt	----⌫--⌫--|-|-⌫-|--|--⌫-|
lorfuperilleuxq ui	--|-|--------|-⌫-|
bie nlor durayyiorz	---⌫|--|---|-|---|
etyy n u izet	-|-|-⌫-⌫-|-|
estoit la mersi tre s acroze	-----|-|--|-|---⌫|-----|
ne st nu st antso it	|-⌫-|--⌫|-⌫--|--⌫-|
hardizquidouueoir	-----|--|--|----|
tan tsole ment	---⌫|----⌫---|
neustpoorsifurentengrant	|---|---|-|-----|-|----|
do ut ance deperir .quantu int	--⌫--⌫---|-|----||----|-⌫--|
li tormenz fu cessiez	-|------|-|------|
iln agieren t	-|-⌫-------⌫|
etsigl erentt antquil	-|----⌫----|-⌫----|-|
ui nd rentaup or tde troie	--⌫--⌫---|-|-⌫--⌫|-|----|
. etqua nt	|-|---⌫-|
cil de troie lesuire n t	--|-|----|--|----⌫-⌫|
sienorentmolt	-|-|----|---|
granti oiecaril	----|-⌫--|--|-|
c uido i en tbienq uei amais	-⌫----⌫-⌫--⌫|---|-⌫-|-⌫----|
reu en ist .	---⌫--⌫--||
qu anten t h enorfuarriuezet desc endu z	--⌫--|--⌫-⌫-⌫---|-|------|-|----⌫----⌫|
auport detroie tout	-|---|-|----|---|
auplus tost q uilpotal aet	-|---|---|-⌫|-|--|--⌫|-|
fistun sacreficea usdexet	---|-|--------|-⌫-|--|-|
lorr endi gracesdece que ill	--|-⌫---|-----|-|-|--|-||
auoien t garanti d em ortou	------⌫|------|-⌫|-⌫--|-|
u ea geouil auoitesté.a p r es	-⌫--⌫-|-|-|----|----||-⌫-⌫-⌫-|
u intou palaise t	-⌫--|-|-----|-⌫|
contaoiantleroyet	----|----|-|--|-|
touzsesfilz	---|--|---|
etto utelabaronnie	-|--⌫--|-|-------|
etdis tto utmotamot ceq ueil	-|---⌫|--⌫-|--||--|-|-⌫-|-|
auoitfet ettrouué	----|--|-|------|
ent o uzlesl ieusouilestesté.	-|-⌫-⌫-|--|-⌫---|-|-|--|----||
quantli r oysp rianz	----|-|-⌫--|-⌫----|
otoyleresponsdecels	-|-|-|------|-|---|
enthen orauo it parlé	------⌫-|---⌫-|-----|
i llimandoientsifu	-⌫|-|--------|-|-|
moltdolenz	---|-----|
etcorrociez	-|--------|
atouz sesb aronsorpo ez	|---|--|-⌫----|-|--⌫-|
o yrse ig norquant	-⌫-|--⌫--⌫--|----|
ge ntetcompoino s	--⌫-|-|--|--|--⌫|
prisent. or medites	------||-|-|----|
uosplestquenosen	--|----|--|--|-|
feronscarmoltnos	-----|--|---|--|
agranthontage	|----|------|
ceque i lnosont	-|--|-⌫|--|--|
fait etque il nosmande nt .	---|-|--|-|--|-----⌫-||
etamorir auonsnoset mielz	-||----|----|--|-|----|
uaudroitilmori r a ho neur	-------|-|----⌫||--⌫---|
en conq ueran t	-|----⌫-----⌫|
nostredroitque uiureet	-----|----|--|----|-|
so f frirno strehonte	--⌫-⌫---|--⌫---|----|
etau cune foizauienti l quecil	-|--⌫---|---|-----|-⌫|--|--|
qui ontesté uoincu	--|--|----|-----|
uoinquentau trui.siprenez	--------|--⌫---||-|-----|
uosuolezquenos	--|----|--|--|
enf acionsetil resp on e nt	-|-⌫-----|-|-|----⌫--⌫-⌫-|
tuiten sembletout euost re	---|--⌫-----|----⌫|----⌫-|
uolenteferonsdetouznozpooirs .	------|-----|-|---|--|-----||
lors apelaliroys pr ianz	---|----|-|---|--⌫---|
t ouzsesf il zet l eur	-⌫--|--|-⌫--⌫|-|-⌫--|
est est uitbiau	---⌫-|-⌫--|---|
fo rt etuigr euxetsi apartient	--⌫-|-|----⌫--|-|-|--------|
la besoigneplusenparti e	-|-------|---|-|-----⌫|
a uosqueausau tres porlamou rde	|--|--|--|--⌫---|--||----⌫|-|
moiquisui uostre	--|--|--|-----|
peres. geuueilq ueu os soiez	----||-|----|-⌫-|-⌫-|----|
mestressortouz et	------|--|---|-|
chascuns deuos aurasa genten	-------|-|--|---|-|---|-|
sonconduitparsoi ettu hector	--|------|--|--|-|-|-----|
geuueilpor ce	-|----|--|-|
plus sage s detouz	---|----⌫|-|---|
etlimeillorscheualiersque tu	-|-|-------|---------|--|-|
aies laba illielapuissa nce	---|-|--⌫----|-|------⌫--|
e tlaseig nories ortouz etsi te	-⌫|-|----⌫----|-⌫-|---|-|-|-|
fazh o irde mon regnepor	--|-⌫-⌫-|-|--|----|--|
ceq uetuiasle	-|-⌫-|-||-|-|
mei llo rdr oitet	---⌫---⌫|--⌫--|-|
quetuiesainznez.	--|-|--|------||
lorsdisthector que	---|---|-----|--|
mo ltuolentierss	--⌫-|---------||
en entremetraetfera	-|---------|-|---|
toutdoum ielzq ueilpo rraet	---|--|-⌫---|-⌫-|-|--⌫--|-|
s i pr ieat ouz lesdex	-⌫|--⌫-||-⌫--|--|--|
doignetelsan	-----|--|--|
et telpooiret me	-|--|----|-|-|
uueil len tcestebe soigneentel	-----⌫---⌫|----|--⌫-----|-|--|
maniereorden e rfa ireet	------|-----⌫-⌫|--⌫--|-|
a drecierqueie puis seuengi erla	-⌫------|--|-|----⌫-|-----⌫-|-|
mortdem onae let de	---|-|-⌫-|--⌫|-|-|
e tde toz m e s aut resamisetcon querre	-⌫|-|--|-⌫-⌫|---⌫--|---|-|---⌫-----|
esyona ma t anteet mestre	-----|-|-⌫---|-|-----|
ho rs dou s eruage	--⌫-|--|-⌫-----|
ontmize. lors parlahector	--|---||---|----|-----|
atozsesfreresetd ist seigneur	|--|--|-----|-|-⌫--|-------|
biennos deuonsesforcier	---|--|-----|--------|
deue n gi er nostr ehont e	-|--⌫-⌫--⌫-|-----⌫|----⌫|
ets achiez	-|-⌫-----|
uolentiers	---------|
mesp rouueroiea celsqu iainsin	|---⌫--------||---|--⌫|-----|
nos ontmesfaitqueque il	--|--|------|-----|-|
d e ust auenirde	-⌫-⌫--|-----|-|
moi . mes greigno r	--||--|-------⌫|
hontenos seroitseno s	----|--|-----|-|--⌫|
encommencionsetpasnenos	------------|-|--|-|--|
uengi onsque dedemorer en ce	-----⌫--|--|-|------|-|-|
si deuon sp an regard e a l	-|-----⌫|-⌫--⌫-|----⌫|||
encommencementa	-------------||
q u elchiefn os	-⌫-⌫-|----|-⌫-|
e npo rronstrairecar	-⌫|--⌫----|-----|--|
fort ge nt	---|--⌫-|
leur ter reetsi o ntmoltde genz	---|---⌫-|-|-|-⌫-|---|-|---|
d autresc ontrees q u i	|-----|-⌫------|-⌫-⌫|
sontad esdeleurpartieuezci	---|--⌫-|-|---|-----|--|-|
europequiestdes	-----|--|--|--|
quidurela tier cepartie dou	--|---|-|----⌫-|-----|--|
mondee toulimeillorcheual ier	----|-⌫|-|-|------|------⌫--|
et li mielzduitdeguerroier	-|-|----|---|-|--------|
quelen p uisse	--|--|-⌫----|
en nuleterreetcil daiseensement	-|---|----|-|--||---|-------|
so ntdeslor	--⌫-|--|--|
quitantbien	--|---|---|
seuentcheuauchi er et	-----|---------⌫-|-|
autantcommegu erre.et	-----|----|--⌫---||-|
diten prou erbe que	--|-|----⌫---|--|
mielz ual tas sezlessier quefolie	----|---⌫|--⌫--|------|--|----|
e ncomm encier.et	-⌫-----⌫-----||-|
geuoibien que no sauons	-|--|---|--|--⌫|----|
m aue sementappare illié	-⌫---⌫-----|------⌫-----|
quenosnauonsnauies neautre	--|--||----|-----|-|----|
appareil p arqu oi	-------|-⌫-|--⌫-|
nospuis sions	--|----⌫----|
seu rement sorauxaler. sien	---⌫-----|--|--|---||-|-|
prenons t el	------|-⌫-|
conseilquenosnen	------|--|--||-|
soionsb la umé n emo quéau	-----|-⌫--⌫---|-⌫|--⌫---|-|
departir .	-------||
etbien s achiez	-|---|-⌫-----|
nedimie ice parcoardize	-|-|--|--|--|-------|
me spo r ceq uil m	--⌫|--⌫|-|-⌫|-||
auisqu e cestdoumei ll or que	---|--⌫||--|--|---⌫--⌫-|--|
desoi au iser ainzle	-|--|--⌫---|---|-|
commenceme ntquele	----------⌫-|----|
lafinp uet	-|--|-⌫--|
estre . caru raiement ge	----||--|-⌫-------|-|
uoldroiebien que lonor etle	-------|---|--||---|-|-|
mei llo r enfeust	---⌫---⌫|-|----|
nerienstant	-|----|---|
guerresepoin zetlieus	-----|-|----⌫|-|----|
enestoit . etquim ielzsaura si	-|-----||-|--|-⌫---|----|-|
le die sif erabienetge len	-|--|-|-⌫--|---|-|-||-|
pri .l orsparlerent pluseurs	--||-⌫--|--------|-------|
quiilece stoientdemolt	--|---|-⌫------|-|---|
resons dont gra nza n uizser oitdou	-----|---|---⌫-|-⌫-⌫--|---⌫--|--|
racon terc artrop	-----⌫--|-⌫-|---|
quanthector otf ineesa	----|-----|-|-⌫---|-|
pl usorautres s iparlaparis	--⌫---|-----|-⌫|----|----|
etdistseignorto ut	-|---|------|--⌫-|
ledelai eme nt	-|-----⌫---⌫-|
queno sfaiso ns n eualt	--|--⌫|-----⌫-|-⌫|---|
riens n ossome sassezricheet	----|-⌫-|----⌫|----|----|-|
c esteuillenecrient	-⌫---|----|-|-----|
nu lho me faisons	--⌫|--⌫-|------|
cequ e ieloere	-|--⌫|-|----|
etme creezdecequege	-|-|----|-|-|--|-|
ettozliblau mes e nsoit	-|--|-|----⌫--|-⌫|---|
appareillonstost nauies et	-----------|---|-----|-|
alonsuigrosement	----|----------|
sorlesgriz ois	--|--|----⌫--|
carlidieuen uuelent	--|-|---|-|------|
nostrehonoretsi	-----|----|-|-|
uosdir aicomment	--|---⌫-|------|
g elesai. l autrie r	-⌫|-|--|||------⌫|
m au intuniour	|--⌫--|-|---|
que ge chacoie en	--|-|------|-|
yndelagrantlegreignorcerf	---|-|----|-|-------|---|
onq uesfeust	---⌫--|----|
ueuzsi corumes	---|-|------|
t oute ioraiorn e eetmo ietmi	-⌫---|--|-----⌫-⌫|-|--⌫|-|-|
etmolt dechiens	-|---|-|-----|
estoientco nquesriensne	-------||-⌫----|----|-|
p rei smes	-⌫---⌫---|
e til fesoitmoltgrantchaut. sim	-⌫|-|-----|---|----|----||-||
au intquegep erd i ou	--⌫--|--|-|-⌫---⌫|-|
descit arien st ozmesu e neorset me s	--|---⌫-----⌫|-⌫-|--|-⌫-⌫----|-|--⌫|
chiensetm e s tui	-----|-||-⌫-⌫--|
delezlafonteine ou nus	----|-|-------|-|--|
aboiure.simeprinstsomeilet	------||-|-|-----|-----|-|
m econuintile cdorm ir	-⌫|------|---⌫|----⌫-|
cou ch aisouzl ombredun genoiure	---⌫--⌫-|---||----||-|-------|
es toi t .tandis q ueg e dormoieme	--⌫---⌫||------⌫-⌫-|-⌫|------|-|
ui nt enauision deuantmoimercurion	--⌫-|-|------|-----|--|--------|
et olui ui ndrentiunouenuset	-||--|--⌫-----|---|----|-|
m ineruayy deesses.sime dist	-⌫-----|-|------||-|-|---|
mer curion paryyfoi z 2paris	---⌫-----|--|-|---⌫|-----|
entenz amoiu ezci	-----||--|-⌫-|-|
yy deessesauqueles une pomed	-|------|-|-----|--|---||
mass iceestenuoiee	----⌫--|--|------|
pomea lestres qui	---||------|--|
dien te n grec	----⌫|-⌫|---|
`laplusbelledesyy	--|---|----|--|-|
maur aqu iteme nt. or la ueu lt	|---⌫|--⌫-----⌫-||-|-|---⌫-|
ch ascuneauoir	--⌫-----|----|
ne diegesu is l a	-|--|-|--⌫-|-⌫|
toute syyuenues amoi pour	-----⌫|-|-----||--|---|
co ns eillier dau oir iug e qui	--⌫--⌫------||--⌫--|---⌫|--|
lapomedoignea laplusbel ene	-|---|-----||-|---|---⌫|-|
elenest encore an ule	--||--|-----||-⌫--|
ostr oiee m esacord eess e sontpar	----⌫---|-⌫-|-----⌫--|-⌫|---|--|
conse ilaton iu gement quecele	-----⌫-||--|--⌫-----|--|---|
ladon ras laur aet	-|---⌫--||---⌫|-|
seraten ue porla plus beledes	---|---⌫-|--|-|---|---|--|
point etacele horen est	----|-||---|---||--|
rie n s q uegeuolsisse auoir	---⌫-⌫|-⌫-|-|-------|----|
quegeneusse	--|-||----|
de m andas se c archasc une me	--⌫-⌫-----⌫-|-⌫-|-----⌫--|-|
prome toit .	-----⌫---||
uenu setfi anca que se	----⌫|-|--⌫---|--|-|
ge lidonoie la po meet que	-|-|-----|-|--⌫-|-|--|
plusbele laloasse q ue	---|---|-|-----|-⌫-|
eleme donro it laplus	--|-|-----⌫-|-|---|
be lefa medegrece	--⌫-|--⌫-|-|----|
toutama u olente.	---||-|-⌫-----||
pomeli ostr oiai	---|-|----⌫---|
et la loep orla	-|-|--|-⌫-|-|
plusbelee t	---|---|-⌫|
met ieingb ienali de	-|-⌫----|-⌫--||-|-|
ma promesseet	-|-------|-|
seuosuo le z	-|--|--⌫--⌫|
bailliezmoi ch eu ali erset g e	-------|--|--⌫--⌫---⌫--|-|-⌫|
etaincois q ueg ereuieign e maisge	-|-------⌫-⌫-|-⌫|--------⌫|---|-|
pensebienquegrantdom age	----|---|--|----|---⌫--|
lorfere et deiphe bus distque	--|---|-|------⌫--|---|--|
moltli sembl oit	---|-|-----⌫--|
bon conseilc e	--|------|-⌫|
queparisauoitdit.	--|----|----|--||
apresp arlahelenusquimol t	----|-⌫---|------|--|---⌫|
estoitsagesdeni grom ance	-----|----|-|--⌫----⌫---|
geuo usfaz asauoir queseparis	-|--⌫-|--||-----|--|-|----|
afamedegr eceque tr oie	|---|-|--⌫--|--|--⌫--|
en serad estruiteetes s illieeet	-|---|-⌫-------|-|--⌫-⌫-----|-|
yll io nabatuet	---⌫--⌫|----|-|
d espec ie z .et	-⌫-----⌫--⌫||-|
soieztouzseursqueli	----|---|----|--|-|
responslem	------|-||
ontd it etnoncié	--|-⌫-|-|------|
etai nsi conuientqui lsoitp ar	-|--⌫--|-------|-|-⌫|---|-⌫-|
uiueforc e	---|----⌫|
.lorsdi stparis	|---|--⌫-|----|
he le nus mesfreresna	--⌫--⌫--|--|-----|||
aguerroier et	|--------|-|
mielzameroit	----|------|
soireposerquetr auei llier	--|------|--|--⌫----⌫----|
et bien nos	-|---|--|
t enroitpor folse nos	-⌫-----|--|--|-|--|
crei onsqu	----⌫--|-|
ilseust ch osequi	-|----|--⌫--|--|
uenirsoit.mesge	----|---||--|-|
ma tanteou ge leur	-|----|-|-|---|
ferehonteetdomage.	---|----|-|-----||
ac o rder e nt	--⌫-⌫----⌫-⌫-|
ceque par isad it. apres	-|--|---⌫-||-⌫-||----|
parla unmolt sageclerc	----|-|---|---|----|
et b ien lestrez qui auoitno npanus	-|-⌫--|------|--|----|--⌫|----|
fil ausagedeiphe buset dist	--|-|---|------⌫--|-|---|
riens celerau roy de	----|----|-|--|-|
chose qui so itetsonprofit	----|--|--⌫-|-|--|-----|
geuo ienunedes	-|--⌫|-|--|--|
plane tes quesepar is	-----⌫--|--|-|---⌫-|
greceetil anamoine	----|-|-|-|-----|
fame quetroie ettout	---|--|----|-|---|
enertde ga stéetessil lié.et	-|--|--⌫--⌫---|-|-----⌫---||-|
m aintesfoizaige oydireamon	-⌫-----|---|-|-|-|---||--|
estoit s ages etde	-----|-⌫---|-|-|
grantaagequepar	----|---|--|--|
p aris s eroit	-⌫---|-⌫----|
troie destruiteetessi llieeporquoi	----|--------|-|----⌫----|--|---|
que parisnialast	--|----|||----|
etque uosu ostenissiezenbone	-|--|--|-⌫-|--------|-|---|
pais encestpa is.	---|-|---|--⌫-||
p arla quassandr a lafille	-⌫---|---------⌫|-|----|
e tdistasonpereetasesyy	-⌫|---||--|---|-||--|-|
et atouz les	-||---|--|
autresgeuu eil	-----|-|--⌫--|
qu euossachiezcertainement	--⌫|--|------|-----------|
quesep arisa famedegrec e	--|-|-⌫---||---|-|----⌫|
t r oi ee ttout	-⌫-⌫--⌫|-⌫|---|
d estruitet decenelaporra nus	-⌫------|-|-|-|-|-|----|--|
desfendreetainsic on uient quil	--------|-|----|-⌫--⌫----|-|-|
soit.apresce	---||----|-|
t indrenttu i t	-⌫------|--⌫-⌫|
ensemblelonguementlorconse il	-------|---------|--|-----⌫-|
etala parfinsacorde rent	-||-|-----||------⌫---|
queparisalast engreceetquil	--|----|----|-|----|-|-|-|
menastgrantfoisond e cheualierso	-----|----|-----|-⌫|---------||
luib ienappar eil liezpour	--|-⌫--|-----⌫---⌫---|---|
auxdesfe ndreetqu e lornauie	--|-----⌫---|-|--⌫|--|----|
feu st bienappa reillieeetbien	---⌫-|---|----⌫-------|-|---|
lorsa pelal ir oy sprianzparis	---|-⌫---|-⌫|-⌫--⌫|-----|----|
sonfilet li distt uirasen	--|--|-|-|---|-⌫|---|-|
etdeiphebus et eneas e t po lidamas et	-|--------|-|----|-⌫|--⌫------|-|
tuseras pr incesdaux to uz	-|----|--⌫----||--|--⌫-|
etseuospoezauoi r	-|-|--|---|----⌫|
esyona maser or	-----|-|---⌫-|
siuosenreto rnezetla	-|--|-|----⌫---|-|-|
mam ene z etse	|--⌫---⌫|-|-|
uosnela poe z	--|-|-|---⌫|
au oir si ue ngiez cegardez	--⌫--|-|--⌫----|-|-----|
lahonteetledomage	-|----|-|-|-----|
quilnosont	-|-|--|--|
sireuolent ier setto ut ains icom	---|------⌫---⌫|-|--⌫-|----⌫|--|
l i r oyslotdeuisé	-⌫|-⌫--||-|------|
etil fu fet	-|-|-|--|
.sientreren t e snes	|-|--------⌫|-⌫|--|
etn ag ierentetsiglerentta nt	-|-⌫--⌫-----|-|--------|--⌫-|
arriu éen un eille	-----⌫-|-|--⌫|---|
qui ano ncyth areaouilauoi t	--||--⌫|----⌫---|-|-|----⌫|
unemol tf ortcitequiestoi tape lee	--|---⌫|-⌫--|---|--|-----⌫|---⌫--|
trinit ee.etace ior	------⌫-||-||-|--|
mei sme squ eilse	---⌫---⌫|--⌫|-|-|
p arti ren t de	-⌫----⌫---⌫|-|
troie es toien t	----|--⌫-----⌫|
entréen merli	-----|-|--|-|
roys menelaus	---|-------|
e tnestor quialoien t enpyreet	-⌫|-----|--|------⌫|-|---|-|
pertheet s ent reu irent	-----|-||---⌫---⌫----|
n auiesparmer m esonquesne s	-⌫----|--|--|-⌫-|-----|-||
ent racointi erent d erien s	---⌫--------⌫----|-⌫|----⌫|
et ceiorquelitroye narriuere nt	-|-|--|--|-|-----⌫|--------⌫-|
y lled ecythareafesoient	-⌫--|-⌫|-------|-------|
le sgenzdou p ai sgrant fes teou	--⌫|---|--|-⌫--⌫|----|---⌫-|-|
temple de laciteen l oneurdela	-----|-|-|---|-||----|-|-|
deesseuenus.	-----|----||
iceluiroysmenelaus	-----|---|-------|
au oit unemolt belefa meq ui	--⌫--|--|---|---|--⌫-|-⌫-|
auoit anon helenequi	----||--|-----|--|
merueilleuse grantbiau teestoit	-----------|----|----⌫-|-----|
etestoitsereu r a uroycastoret	-|-----|-----⌫|-⌫|--|-----|-|
auroypolusquiuenu estoi ent	-|--|----|--|---|-----⌫--|
acele fe ste. etquant il	|---|--⌫--||-|----|-|
uirent les	-----|--|
troyenssideman derentd ouil	------|-|-----⌫-----||-|-|
estoiente tqu ilq ueroi entet	-------|-⌫|-|-|-⌫-----⌫--|-|
ildistrent	-|-------|
que ilestoien tde	--|-|-------⌫|-|
troie etque liroysprianz l e s	----|-|--|-|---|-----|-⌫-⌫|
auo i t tramiset	---⌫-⌫|-----|-|
e stoitlisiresdaux parisqui	-⌫----|-|----||--|----|--|
uen oit qu erree syon asatante	---⌫--|--⌫---|-⌫----⌫|-|----|
etse lapoaienta uoirilsen	-|-|-|------|-⌫---|-||-|
retorneroientarrierset seilne	------------|------|-|-|-|-|
l ontil lor f eron thonteet	|--|-|--|-⌫----⌫|----|-|
domage. et	-----||-|
qua ntiloyrent	---⌫-|-|-----|
sil al ere ntnoncier helen e qui	-||--⌫---⌫-|------|-----⌫|--|
estoitd amede	-----|-⌫--|-|
lacit eetsitost	-|---⌫|-|-|---|
e leoy nomerpari s	-⌫-|-|----|----⌫|
etque el esot	-|--|--⌫|--|
quiilestoit s ili	--|-|-----|-⌫|-|
cue r etlama molt	---⌫|-||--|---|
d uremen t.tant	-⌫------⌫||---|
fistparisettant	---|----|-|---|
porchaca que	-------|--|
iluithe l ene	-|--|--⌫-⌫--|
e t parla alui	-⌫|----||--|
alui.onques plustost	|--||-----|---|---|
norentparlélun	|----|-----||-|
a l a utr e	||-⌫---⌫|
sentr amere nttrop	|----⌫-----⌫-|---|
desmes ureemen t.que	------⌫-------⌫||--|
uosiroiege	--|----|-|
disant tantontfai tlitroyen	-----|---|--|---⌫|-|-----|
lanuitque il brisierent let emple	-|---|--|-|---------|-|-⌫----|
et roberentet pristrent	-|-------|-|--------|
heleneet assezdesautresetles	-----|-|----|--|-----|-|--|
mistrente n lor nesa u po rt	-------|-⌫|--|--|-⌫|--⌫-|
et s iglerent e t nagi erent	-|-⌫-------|-⌫|----⌫----|
quancqueil po rentuer s tro y e .	-------|-|--⌫---|---⌫|---⌫-⌫||
et auchie f	-|-|----⌫|
arriueren ta	---------⌫||
unportdeuant unfort	-|---|-----|-|---|
t h e nedonsqui pres	-⌫-⌫-⌫-----|--|---|
estoitdetr oie ayyliues.si	-----|-|--⌫--||-|----||-|
d esc endirentlitro y ensi	-⌫---⌫-------|-|---⌫-⌫-|-|
confortoitparishel enequi	---------|----|---⌫--|--|
gra n tdue lf eso it	---⌫-⌫|---⌫|-⌫---⌫-|
desonseignor	-|--|------|
de cas toret d epolu ssesfreres	-|---⌫--|-|-⌫|----⌫|--|-----|
liquelfrere sesmurenta pres	-|---|----||-------|-⌫---|
t royensenmerporre scorrehe len e lor	-⌫-----|-|--|--|--⌫-----|--⌫---⌫|--|
sero ret lesa ut resquio lui	----⌫|-|--|-⌫--⌫--|--||--|
es toie ntme ssigran t pestilen ce	--⌫----⌫-|--⌫|-|----⌫|--------⌫-|
etsigranzorage slessorprinsten	-|-|----|-----⌫|--|--------|-|
me r queilperiren tn onques	--⌫|--|-|-------⌫||-----|
ne fun ul qu ien pois t sauoir	-|-|-⌫-|--⌫|-|----⌫|-----|
autresnoueles .mol tsouu ent	-----|------||---⌫|----⌫--|
regretoi thelene	--------⌫|-----|
etsaterreets on	-|-|----|-|-⌫-|
paisquelea uoit l essiéet	---|-|--|-⌫---|-⌫-----|-|
m oltdeme noitgrant dueldeceque	-⌫--|----⌫---|----|---|-|-|--|
enestrangecon treeen	-|-------|---⌫---|-|
ains ienmen ee	----⌫|-----⌫-|
m esto utadesla	-⌫-|--⌫-|---|-|
conf o rtoitparis. quantil	----⌫-⌫----|----||----|-|
fure n ta ce	----⌫-⌫||-|
portarr iué si	---|---⌫---|-|
enuoiaparis un	-----|----|-|
messageatr oiedireetco nt er tout	------||--⌫--|---|-|--⌫--⌫-|---|
l afairesi comme	|-----|-|----|
illorsestoit	-|---|-----|
auenu. et aumatinse	----||-|-|----|-|
partirentdou	--------|--|
cha stelet sen	---⌫---|-||-|
uinrent atroie etli	------||----|-|-|
p rianzlorala al e nc ontre	-⌫----|--|--|||-⌫--⌫----|
grant c ompaignie	----|-⌫--------|
iluirentpa rise tlesa utr es	-|-----|--⌫--|-⌫|--|-⌫---⌫-|
s i lorfirentg ran t	-⌫|--|-----|-⌫---⌫|
ioie etmolt	---|-|---|
fuli roysliez de	-|-|---|---|-|
he lenequeil	--⌫---|--|-|
ameno ientsila dona a paris	-----⌫---|-|-|---||----|
afameeta espousecari lcuidoit	|---|-||------|--|-⌫|------|
parluirauoir sasu er.	--|--|-----|-|--⌫-||
m esquiq uefeis t	-⌫-|----⌫-|----⌫|
io ie nefe stel a	--⌫-|-|--⌫--|-⌫|
deuinequassa n dra	-----|------⌫-⌫--|
fesoit duel	-----|---|
ett r itesce	-|-⌫-⌫-----|
etdisoi tqueele	-|-----⌫|--|--|
estoitcertainequepor	-----|-------|--|--|
en ser oittroie destruite et	-|---⌫--|----|--------|-|
essillieesan ziamaisestr e restore e	--------|---⌫|-----|----⌫|-------⌫|
etmainte foizse	-|-----|---|-|
clamoitahaute	------||----|
uoiz lassechet iueoruerrai	---|----|----⌫--|-|-----|
granzpalaiset	----|-----|-|
ces granz tou rs cheoir	--|----|---⌫-|-----|
et t rebu c hie r et monpere	-|-⌫----⌫-⌫---⌫|-|--|---|
etma m e reet mesfrereset me s	-|-|-⌫-⌫-|-|--|-----|-|--⌫|
am isocirreetm est re	--⌫-|-----|-|-⌫---⌫-|
amortet toutceauezuosfet	|---|-|---|-|---|--|--|
roysprianz . p ui sre di st ele	---|-----||-⌫--⌫|--⌫--⌫-|--|
ha e cubabele mere commeuosau ez	-|-⌫---|---|---|----|--|--⌫-|
fet dolore use por teure	--|------⌫--|---⌫----|
etsof fertedenosqu ant il conuien t	-|---⌫----|-|--|--⌫--|-|-------⌫|
queparle fruit deuostre uentre	--|--|-|----|-|-----|-----|
morionstuite t troieettoute	------|---|-⌫|----|-|----|
la contreeensoit	-|------|-|---|
etessillieehafranches dames	-|--------|-|-------|----|
fra nchespucele s com uosdeuez	---⌫----|------⌫|--|--|----|
ploreretfairegrantdu el	-----|-|----|----|--⌫-|
deuozparenz	-|--|-----|
