equanttelhomem	|----|--|---||
lil eunsdistfizfua rei	-|-⌫---|---|--|-||--|
uila i nsua oreodm ei	----⌫-⌫-|-|--|-|-⌫-|
mur sunta mbeduiuenu	--|---|-⌫-----|---|
iloecadli l eunsueu	----|-|-|-⌫---|--|
desur lapiereune	----|-|----|--|
cum uns uilains	--|--|------|
p ar auenture	-⌫-|-------|
odsahacheoscis tunleun	-|-|----|-----⌫|-|---|
si ap elau ncompaignon	-|--⌫--|-⌫|---------|
q uifi st sembla n cec esteici	-⌫-|--⌫-|------⌫-⌫-|-⌫---|--|
home uleuns itantme	---||----|----|-|
uns huem faitliuila ins	--|---|---|-|----⌫--|
o d s esengi nseodse s mains	-⌫|-⌫-|----⌫-||-|--⌫|----|
leun s respundu	----⌫|-------|
co e st a tutpopl e conu	-|-⌫-||--|----⌫|---|
kehuemset entai ll er epurtraire	-|---|--|-----⌫--⌫-||--------|
mesli leunsne lpass etfaire	--|-|----|-||--|-⌫-|----|
o re e nirro nsensembleca	-⌫-|-⌫|----⌫-|-------|-|
liuila i ns uaitcillemena	-|----⌫-⌫-|---|--|-|---|
aun chas tellempereur	|-|----⌫--||-------|
issiau i ntkenicel iur	---|--⌫-⌫-||-|---|--|
aueientiliu gie ́ enplait	------|-|--⌫---⌫|-|----|
u nbaronkeliotmesfait	-⌫|----|-|-|-|------|
p rouezes t eitdetraisun	-⌫----|--⌫-⌫--|-|------|
sil fistge t erasunleun	-||---|--⌫-⌫-||--|---|
ki loncten so testégardé	-|---|---⌫|-⌫|----|-----|
ded enzsa cur t	---⌫--|-|---⌫|
oscisti gnelepas	-----|-⌫-------|
i ga rda armesnedras	|--⌫--|----|-|---|
tantsedepart	---|-|-----|
eli uilai nsqui multlier ttart	|-|-----⌫-|--|---|-|--⌫|---|
s enf ussentdiloc turné	|-|-⌫-----||---|-----|
guasti nesu ntalé	------⌫-|--⌫-|---|
parmi les l andes	----|--|-⌫----|
tres passerent	----⌫--------|
unaltre l eun encuntre rent	-|----|-⌫--|--------⌫---|
a celuiditkilfait	|----|--||-|---|
kil m eine leuilain	|-|-⌫---|-|-----|
quisetlaf osseaparailler	--|--|-|-⌫---|---------|
uilpurr eittre buc hier	|-|----⌫--|---⌫---⌫---|
alt resifiren tsi parent	---⌫---|-----⌫|-|-----|
iol ociraisi l	-||-----||-⌫|
licon sent	-|---⌫---|
li leunsdist kill escha rni st	-|----|---||-||-----⌫---⌫-|
nesuffreitkilosc ist	-|-------||-|---⌫--|
pu rnu l erienn esepeustia	--⌫|--⌫-⌫|---|-⌫|-|----|-|
li uilains lotsil	-|------||-|-||
ensotcodi tbongr e	-|--|-|--⌫|--|--⌫|
l ile un s addemandé	-⌫|--⌫--⌫|-|-------|
semblotcum	------|--|
dis tliuilains autr ementueit	---⌫|-|------|----⌫----|---|
iol uusdisainzfaitlileuns	-||--|--|---|---|-|----|
ainzquen usfussumcompaign uns	---|--|-⌫-|-----|--------⌫--|
mem ustr asun e p einture	-|-⌫----⌫-|--⌫|-⌫------|
su runepieredeauenture	--⌫|--|----|-|-------|
mesio t ai	--|-||-|
ou remustree	--⌫-|------|
adesco u ert las es g uardee	|-----⌫-⌫--||-|--⌫-⌫-----|
pares sam pleuus uolta p re ndre	--|--⌫---⌫--|--|---|-⌫-⌫--⌫---|
kenulsnedeitniente ntend er	-|---|-|---|----|-⌫-----⌫-|
af able ki	|-⌫---|-|
est d emencunge	--|-⌫|-------|
n epein t ur e que s emblesunge	-⌫|----⌫-⌫--⌫|--|-⌫----|----|
ceesta creiredunthom ueitl	-|--||-----|---|--|---||
ke lauerit e descour e	-|-|-----⌫|-------⌫|
unepuceleco ditmunta	--|-----|-|--|----|
ch ameilsi l cheualcha	--⌫----|-||--------|
deci kenunaltrecuntre e	---||-|-|----|------⌫|
duncsestla	---||--|-|
puc elepurpensee	---⌫--|--------|
s i admerciélicha m ei l	-⌫|-|------|-|---⌫-⌫--⌫|
qui s isuefded enzsunpeil	--|-⌫|---|---⌫--|--|---|
la ueitensemble odlui port ee	|-⌫---|-------|-|--|----⌫-|
iamespar li n	----|--|-||
ifust alee	|---|---|
traueille seruereit	------|-|--------|
multuolunters	---|--------|
s iel epoeit	-⌫|--⌫|----|
lichamei lz li	-|------⌫-|-|
ad respondu	-|-------|
telchargenefu	--|-----|-|-|
sot k elelifeist	--||--|-|----|
neke lefus tsurlui	-||-⌫-|---⌫|--|--|
is siuait de lapo ur egent	--⌫-|---|-|-|--⌫--⌫|---|
s iasr i ches unt	-⌫|-|-⌫-⌫---|--|
apris m ement	-----⌫-⌫----|
forment lequid e ntcoru scier	------|-|----⌫-⌫-|----⌫----|
d amag efaireeenn uier	-⌫----⌫|----||---⌫---|
duncriketcuntela	|-|-----|----|-|
qu i deske au nefurmie re	--⌫|----||-⌫-|------⌫-|
elte n s diuern esteita lez	-|--⌫-⌫||----|-----|-⌫--|
par aue nt ure	--|---⌫--⌫--|
enzes tentr ez	--|--⌫|----⌫-|
uiande demandeequ ist	-----|------||--⌫--|
karnenaueitnientc odist	--||-|----|----|-⌫|---|
en sam ai nneensun	-|-|-⌫--⌫|-|-|--|
dist l ifurmizqueastu	---|-⌫|-----|--|-|-|
kantt u deueies gu ainier	---|-⌫|------|--⌫-----|
e enh austtei purchacier	|-|-⌫---|--|---------|
iechantaifait ildeduis	-|------|---|-|-----|
aautresb estesmes n et ruis	|-----|-⌫----|--|-⌫|-⌫---|
uoilleguer edoner	-----|----⌫-----|
pur co mestotissi aler	--|-||----|---|---|
distlif ormizch ante oreamei	---|-|-⌫----|--⌫---|--||--|
parc elefeiqu eiotedei	--|-⌫--|--|--⌫|-|-|--|
mielzfustqu etupu rchacee u ses	----|---|--⌫|-|--⌫-----|-⌫-⌫--|
tauianded un tuiuredeuses	-|-----|-⌫--⌫|----|-----|
ke tufussesde freiz	-|-|-----|-|----|
amunhusuiandequeranz	|--|--|-----|------|
durrai io a	-----|-||
quanttu amene poez aidier	----|-||-|-|---|-----|
p urcodefe nt que hum en euiue	-⌫-|-|----⌫-|--|---⌫|-⌫|---|
ennunchalerneenoudiue	-|--------|-|-|-----|
sulunccoq uechascunsdei tfaire	-----|-|-⌫-|-------|---⌫|----|
sedeit penerdebiena traire	-|---|----|-|---|-⌫-----|
plu sene st chiers silad que	---⌫|-|-⌫-|-----||-|-|--|
ke si alaut ri se	-|-|||---⌫-|-|
deitatendre	---|------|
iadis auintqueu necorneille	----|----|--|-⌫-|--------|
sasistsurle dosd un	|----|--|-|--||-|
odlebeclefert durement	-|-|--|-|---|-------|
saleineosteasp rem ent	-|----|---|---⌫---⌫--|
la berbizliad ditp ur	-|-----|-|-|--|-⌫-|
cheualchestu	---------|-|
issi su rme i	---|--⌫|--⌫|
rem ue teisiferas	---⌫-|--|-|----|
sieunepiece su rle chien	--|--|----|--⌫|-|----|
a luicum amei	|--|--||--|
di s tlac ornaillep arma	--⌫-⌫|-|-⌫-------|-⌫-|-|
ne testuetmie	-||-----|--|
trau aillier	----⌫------|
que tumedeiuesenseingnier	--|-|-|-----|----------|
ie fupiec aensei gne	-|-|----⌫|-----⌫--|
tantsui sagee ueizie	---|--|---||-----|
bi ensaisur ki	--⌫-|--|--|-|
pu isrema neir	--⌫-|----⌫---|
pur c onusm ustreparrespit	--|-⌫|--|-⌫----|--|-----|
qu ecoestuersque lo m	--⌫|-|--|---|--||-⌫|
pargrant essamplee parrepro c he	--|----|-------||--|-----⌫-⌫-|
queasezsetcha t q ui barbeleche	--|---|--|---⌫|-⌫-|----|----|
biens aparceitliueizie z	---||-------|-|------⌫|
lesquelsilpuet aueir s uzpez	--|----|-|---|----|-⌫-|--|
uns riches homcheu alchot ia	--|-----|--|----⌫-----|-|
p armiunchap siesguar d a	-⌫---|-|---|-|------⌫-⌫|
qu eduiserf	--⌫|--|---|
en se m bleparlouent	--⌫--⌫-⌫--|--------|
siestre te mentconseillouen t	-|-----⌫--⌫---|------------⌫|
cumsilfu ssent entr egrant	--||-|--⌫----|----⌫|----|
turna deliu rement	----|-----⌫-----|
demandalur	------|--|
purquelmester	--|---|-----|
iluoleien t siconseillier	-|-------⌫|-|----------|
kant nulhomepresd	---|--|---|---||
els naueit	--||----|
nenu l lurparole	-|--⌫|--|-----|
liunsr espundi	-|--|-⌫------|
al seignur	-|------|
ki lnaueient	|-⌫||------|
ain zlursembl o tueizure	---⌫|--|-----⌫-⌫|------|
kilpar lo uent entelm esure	|-|---⌫--⌫---|-|--|-⌫----|
souentlinunsauant	-----|-|--------|
de telech osemu strentsembl ant	-|---|--⌫--|--⌫-----|-----⌫--|
puraut regentsuruezi er	--|---⌫-|---|-------⌫-|
quelurnepuet aue r	--|--|-|---|---⌫|
de so iselsditqui s asemblerent	--⌫|-⌫----|--|--||----------|
ap arlement siesgarderent	|-⌫-------|-|----------|
kentrelsdeusent	|---|--|------|
ki sguuernastpardreit efei	-||--------|--|-----⌫|--|
chacundutaparmesprisiun	-----|---|--|---------|
afaire i cele	|----|-⌫---|
tuzesteie nte sbai	--|------⌫-|-⌫---|
quant delcuccuoentlecr i	----|--|----|---|-|--⌫|
nesor entqu elsoise lscofu	-|---⌫--|--⌫--|----⌫-|-|-|
mesque tu t tensdiseitcuccu	--|--|--⌫|---|-----|----|
mut l epoeithom deloinzoir	--|-⌫|----|--|-|----|--|
kartutle bois fait	--|--|-|---|---|
t uz diseient	-⌫-|-------|
enlur ga rgun	-|--|--⌫---|
eafe rm entpar	|---⌫--⌫--|--|
oiselkisi chantot	----|-|-|------|
e sigrant noisedemenot	|-|----|----|------|
deue itestre reis esire	----⌫-|----|---||---|
deguuernerun grant empire	-|-------|-|----|-----|
siuailla nz	-|------⌫-|
ensesourescumeritsischan z	-|--|----|--|---|--|----⌫|
leuolent auer	-|-----|---|
m es ilu o lent prim es sauer	-⌫-|-|-⌫-⌫---|----⌫-|----|
sunestreesuncuntenement	--|----||--|----------|
pur co e sgar de n tcommunement	--|-|-⌫----⌫--⌫-⌫|----------|
alerenlurmessage	---|-|--|------|
lamese ngequimu lter tsage	-|----⌫--|--|--⌫-|--⌫|---|
aparceuanzeueziee	---------||-----|
u nt deci que a lui	-⌫-|---|--||--|
lamesen ge uolat	-|-----⌫-|----|
alarb re uil esteit	||---⌫-||-|-----|
silesgardapa r grantcointise	-||------|--⌫|----|-------|
mults esteitpresdelui asise	---||-----|---|-|--|----|
karilfese itm alu eise	--|-|----⌫-|-⌫---⌫---|
un co reu oldratplushalt munter	--⌫--⌫-|-⌫-----|---|---|-----|
sun curage uolt	--|-----|---|
surune brancheenhalt sa illi	--|--|------|-|---|--⌫---|
desu rl edoslies meulti	----⌫|-⌫|--|-|--⌫-----|
unkes licu ccuzmotne	----|-|--⌫---|--|-|
peiursembl ant	----|-----⌫--|
arierese nua	-----||-⌫|-|
l am e senge	-⌫|-⌫-⌫----|
l ecucculaidiste bl a stenge	-⌫|----|------||--⌫-⌫-----|
a saltresdistlade shonur	-⌫|-----|---|-|--⌫-----|
elehuntekelelifistgrant	|-|----||--|-|---|----|
un cnemustrapeiur	--⌫|-|-----|----|
siunsgranz	-|--|----|
oiselslimesfeseit	-----|-|--------|
mal ueisement seuengere it	---⌫--------|-|-------⌫-|
kantenuersli	---|-----|-|
ne s eo sa prendre	-|-⌫|-⌫-|------|
qu iestdetuzoisel slame indre	--⌫|--|-|--|-----⌫|-|--⌫----|
eslisen tt elquiseituail anz	-------⌫|-⌫-|--|---|----⌫--|
pruzesages	---||----|
e em p eranz	|--⌫-⌫----|
rei s deitestremultdreit u irier s	---⌫|---|----|---|-----⌫-⌫-----⌫|
eniustisereidesef iers	-|------|-----||-⌫---|
c onse il sesunt tenu	-⌫----⌫-|-|---|---|
esgardéueu	-------|--|
quedelaiglefrunt lur	--|-||----|----|--|
siuusdirraibien	-|--|-----|---|
li aigles adbelegrandur	-|-----|-|---|------|
si estasez de g ra ntualur	-|--|---|-|-⌫--⌫-|----|
multsobres eatemprez	---|-----||-------|
feiz es t b iens aulez	---|--⌫|-⌫--|-⌫----|
bienrepur re itiuner apres	---|-----⌫--⌫-|----|----|
kiln estdepreietropengres	|-||--|-|----|---|-----|
prince se deitb ien rep oser	-----|-|---|-⌫--|---⌫---|
nedeit miet uziorzpene r	-|---|--|-⌫-|---|----⌫|
l uiesun regnetrauaillier	-⌫-||--|----|----------|
pou re gent e xsilier	---⌫-|---|-⌫------|
is siluntfait	--⌫-||--|---|
parces tes sa mplemustre ci	--|---⌫|--⌫--⌫---|-----|-|
kelumnedeitpas faire seignu r	-||-|-|---|--|----|------⌫|
demalueishumegl angeur	-|------|---|--⌫-----|
telsse nobleiepartencun	---|-|------|--|-----|
qui mult petit faita doter	--|---|----|---||----|
e uol tmanesci e reparler	|---⌫|-------⌫-⌫||-----|
dunuila in nus	|-|----⌫-|--|
cunt e ici	----⌫|--|
qui aueituncheualnurri	--|----|-|-----|----|
tantlotg ardék ille	---||-|-⌫----||-|-|
uol t ue n dre	---⌫|--⌫-⌫--|
denier suoltauer eprend re	------⌫|---|---||-----⌫-|
puru int solsco dit le dorra	--|-⌫--|---|-|--|-|----|
unsuenueisinle barga i n a	-|---|-----|-|-----⌫-⌫-⌫|
m ietantdon er	-⌫-|---|---⌫-|
almarche lescouintaler	-|-----|--|-----|---|
cil akile c heual esteit	--||-|-|-⌫----|-----|
lotr iekilli l arr eit	|---⌫-||-|-|-⌫---⌫--|
kehom i mettre it	-|--||------⌫-|
quiencuntre	--|-------|
elsprimesuendreit	--|-----|-------|
des kiluind reiental mar che	--||-|----⌫-----|-|---⌫--|
d etutespa rzlun t	-⌫|----|--⌫-||--⌫|
kantel ma r chies un entre ́	---|-|--⌫-⌫---|-⌫-|-----⌫|
unhume untencuntr é	-|---|--|-------⌫-|
killedestreoila ueit perdu	|-|-|-----|--|-⌫---|----|
o delsen sembleluntretenu	-⌫|--|--⌫-----||--|-----|
silidema ndentsuna uis	-|-|----⌫----|--|-⌫--|
que del che ual	--|--|---⌫--|
ilrespun tque	-|------⌫|--|
dissolz ualt	--|---|---|
igneals esu e fa lt	------||--⌫-⌫|-⌫-|
cilque l ech eualbargeina	--|--|-⌫|--⌫---|-------|
de lasuepartl	-|-|--|---||
m es liautresl e cuntredit	-⌫-|-|-----|-⌫|--------|
keillaueitpr ei siép etit	-|-||----|--⌫--⌫---|-⌫---|
t a n t l ena d	-⌫-⌫-⌫||-|-⌫|
cildite hasté	--|--||-----|
kea la iustesel	-||-|------||
sil imu strac omentcofu	-|-⌫|--⌫---|-⌫----|-|-|
eliuilains	|-|------|
l adres pundu	|-|---⌫----|
iasun cheualnauratpurtant	-|--|-----||----|--|---|
n ene t endra tlec ouenant	-⌫|-|-⌫-----⌫|-|-⌫------|
cilu o ltmus trer reinablement	--|-⌫-⌫-|---⌫---|-----------|
ke bienl i	-|---|-⌫|
de it tenir couent	--⌫-|----|-----|
kan t purluine	---⌫|--|--|-|
fu p reisiez	-|-⌫------|
nepur autre	-|--|----|
plus a uiliez	---|-⌫-----|
uncneco n uit n eneuitmes	--|-|--⌫-⌫--|-⌫|-|--|--|
liuilainsliad ditapres	-|------|-|-|--|----|
k ilne de i ttenir	|-|-|--⌫-⌫|----|
s un esguard	-⌫-|------|
k arne l uit	-⌫-|-||--|
fors del unep art	---|-||--|-⌫--|
purcol aueitdemi	--|-||----|---|
ueeitfors la meitie	----|---|-|-----|
ne pot miedunoil u e ei r	-|--|--||-|--|-⌫-⌫--⌫|
kelicheualsdeuei t ual eir	-|-|------|-----⌫|---⌫--|
icil keentrels es tei ent	---|-|---|--|--⌫---⌫--|
eliuilainparleroeient	|-|-----|-----|-----|
leturnerenta	-|--------||
niadceluik i nesen	||-|----|-⌫|-||-|
odsun c heual sen est	-|--|-⌫----||-|--|
parbelparlers	--|--|-----||
estdeliu rez	--|-----⌫--|
pur co nusuolticimu s t rer	--|-|--|---|--|--⌫-⌫-⌫--|
enseignereendoctriner	--------||----------|
seit sientrepris	---|-|--------|
enai todsei	||--⌫|-|--|
kilu isacen tconsei l	-|--⌫|-----⌫|------⌫|
quebiense dei t contreguarder	--|---|-|---⌫|------------|
si parl erdeitdeuantiustise	-|----⌫-|---|-----|------|
kensaparoleaittel	|-|-|-----|--|--|
p armitutes a mesprisun	-⌫---|---|-⌫|--------|
que seitsemblance	--|---|--------|
d e reis un	-⌫|----⌫-|
lisagesh omengrantdestreit	-|----|-⌫-|-|----|-------|
turnesuuentsuntort	----|-----|--|---|
d unlarruncu n tekigiseit	|-|-----|--⌫-⌫-|-|-----|
suzun b uiss unsidor me it	--|-|-⌫----⌫-|-|---⌫--⌫-|
unesorci ere letroua	--|-----⌫--|-|----|
lezl u isasist s i	--|-⌫-⌫||----|-⌫|
lesu eilla	|---⌫----|
silco mencaaconse ill er	-||--⌫----||-----⌫---⌫-|
ior z tienge sun mester	---⌫|-----|--|-----|
en tuzliusu	-|--|---||
p urqueiil	-⌫-|---|-|
lauoi lle reclamer	-|---⌫--|-------|
neli estoetnient duter	-|-|-----|----|----|
duncfudlil eres senzpour	---|--|-|-⌫---|---|---|
i ssi auen t ke par u nio r	-⌫--|----⌫|-|--|-⌫|--⌫|
f uentrepris a lares in	-⌫|--------||-----⌫-|
silitrou erents i ueis in	-|||----⌫----|-⌫|----⌫-|
silidi entk iliertp e nduz	-|-|--⌫--||-|---|-⌫-⌫---|
k arma lements estcontenuz	-⌫-|--⌫-----||--|-------|
i lsasorcieremande e	-⌫|-|-------|-----⌫|
conseilapele e	------|-----⌫|
e leluiaida st	-⌫-|--|----⌫-|
eeleluidistkil ne	|--|--|---||-|-|
a seur fust etuten peis	|---|---||--|-|---|
kantdesfurcheses teientpres	---|--|------|--⌫-----|---|
dame f ait il deliuer ez me i	---|-⌫--|-|-------⌫-|--⌫|
ua fait elene	-|---|--|-|
du tez r ien	--⌫--|-⌫--|
i otede liueraibien	-⌫|-|--⌫------|---|
k antelcolli	-⌫--|-|--|-|
mistre ntla hart	------⌫-|-|---|
c ilcriadelautr e part	-⌫-|---|-||----⌫|---|
latiercefeiza la sorciere	-|-----|---||-|-------|
keliremembra st	-|-|--------⌫-|
en quele m anere	-|----|-⌫----|
leaseuras uzlebuissun	-|-----|-⌫-|-|------|
elelirespuntparfals se rmun	--|-|------|--|---|--⌫---|
p uis cel uretaibienaidié	-⌫--|--|--||-|---|-----|
emaintenueconseill ié	|-------||--------⌫--|
mesore teueisideme ner	--|--|-|--|-|----⌫--|
quenetesaicons eil d on er	--|-|-|--|----⌫--|-⌫--⌫-|
purpense teiqu et uferas	-------|--|--⌫|-⌫|----|
parmeiconseilnauras	--|--|------||----|
purcoch a stietu t e gent	--|-|--⌫-⌫---|--⌫-⌫|---|
creientdeus lede fent	------|---|-|--⌫---|
enaugurie ne en sorcerie	-|------|-|-|-------|
kartr aizestkise afie	--|--⌫--|--|-|-|---|
e stmis en	-⌫-|--|-|
e lal meuait en	||--⌫-|---|-|
grantperil	----|----|
unsfeu resfistu necoign ie	--|---⌫--|---|-⌫-|-----⌫-|
d ureetren ch antebienforgie	-⌫--||----⌫--⌫--||---|-----|
mesnes e np otnient a idier	--|-||-⌫|-⌫-|----|-⌫----|
neod linepoeitrien t rencher	-|-|-|-|----|---|-⌫------|
enmanc hié	------⌫---|
fus taparaillé	---⌫|---------|
albois ala pu rdemander	-|---|--|--⌫|-------|
fustk ilpot trouer	---||-|--|-----|
alqu elilli	-|--⌫-|-|-|
loent entendre	----|-------|
dek i ilpuisse m anc heprende r	-|-⌫|-|-----|-⌫---⌫-|------⌫|
kantensembleenor entp arlé	---|-------|-|--⌫--|-⌫----|
co mmunementliuntloé	--⌫--------|-|--|---|
kilprenge delane iree spine	|-|-----|-|-|--⌫--|-⌫----|
neisle scorc eelar acine	---||-⌫-----⌫||-|-⌫----|
m ult dure	-⌫--|---|
a despescier	|---------|
lapot bien amanchier	-|--|---|--------|
lifeuresalurconseil	-|-----||--|------|
karne l un tmiedeceu	--|-||--⌫|--|----|
del espinead l a man chepris	-||-----|-|-⌫|---⌫--|---|
si lad asa	-||-||-|
c o ingnie asis	-⌫-⌫-----|---|
odmeismecelecoin gn ie	-|-----|---|----⌫--⌫-|
a dpuisle spine detrenc he ́	-⌫|---||-⌫----|-------⌫--⌫|
malguerend un	--|-------⌫-|
liad re ndu	-|-|--⌫--|
s am ancheeu	-⌫|-⌫----|-|
tut autre siestdesmalueis	--|-----⌫-|--|--|------|
d estr esfeluns ede engra is	-⌫-|--⌫-|-----||-|-----⌫-|
quantunpro dumlesm etauant	----|-|---⌫--|--|-⌫-|----|
epar luisu ntrichee manant	|--|--|--⌫-|----||-----|
poen tmi elzdelui	----⌫|--⌫--|-|--|
tuziorz lifunthunteeen n ui	--|---|-|---|----||--⌫-⌫-|
acel ui funtil tut	|---⌫-|---|-|--|
quip l us lesad	--|-⌫-⌫-|--|-|
adisa uint queunsluspramist	---|-⌫---|--|--|--|------|
neman gereit codist	-|---⌫-----|-|---|
l e quarante iorsde	-⌫|-------|---|-|
atantaueitmissunesme	|---|----|--|--|---|
enunboist rouaun	-|-|---|-⌫---|-|
cras e refaitsenz la toi sun	---||-----|---|-|---⌫--|
aseimei sm esdemand a	|--|---⌫--⌫-|------⌫|
queestc o fait il que	--|--|-⌫|---|-|--|
coestunmultunco me s tuis	-|--|-|-----|-||-⌫-⌫|--|
sip urco nunque io aiprami s	-|-⌫-|-|--|--|-|-|-----⌫|
que nulecharnema ngereie	--|---|---|-|--⌫------|
desun coste	-|--|----|
m e re fereie	-⌫|--⌫-----|
or ai fa itilparlé folie	-|-|--⌫-|-|-----|----|
tutsulsen z	--|--|---⌫|
compaignie	---------|
estauissiionelguart	--|---|-|-|-||----|
telsiuendra	---||-----|
d alcune part	|-----|---|
quilenmerraensembleodsei	--||-|----|-------|-|--|
s i nel lerr a	-⌫|-||----⌫|
nientpurmei	----|--|--|
iopuisbien	-|---|---|
pre ndr e le multun	---⌫---⌫|-|-----|
si lma nger ai purun salmun	-||--⌫----⌫-|--|-|-----|
mielzualt uns	----|---|--|
sal munsa ma nger	---⌫---||--⌫---|
esi lpot hom	|-||--|--|
uendrepluschier	-----|---|----|
siuait dome	-|---||--|
demaluei s	-|------⌫|
ilnep ot lai ssieran ul	-|-|-⌫-|---⌫----||-⌫-|
sunsurfai tne	--|------⌫|-|
saglut unerie	-|----⌫-----|
iaen cuntresalecherie	-|--⌫-----|-|-------|
f emme lecheresse	-⌫---|---------|
nega rdera uounepramess e	-|--⌫----|--|-|-------⌫|
unesingessealadmustrant	--|-------|---|-------|
atu te s best essu nenfant	|--⌫--⌫|----⌫-|--⌫|-----|
cill atienenttuzpurfole	--|-⌫|------|--|--|---|
ep arse mblantepar parole	|-⌫-|--⌫-----||--|-----|
tant kalleun laladmustrer	---||-|---||---|------|
silicom encea dem ander	-|-|---⌫---||---⌫----|
silfudmultbels	|-|--|---|---|
queuncpluslaide	--|--|---|----|
bes te neui t	---⌫-|-|--⌫|
po rterliroue	--⌫---|-|---|
asa mai sun	|-|---⌫--|
re cordec e ste raisun	--⌫----|-⌫-⌫--|-----|
c hascungupilprisesa cue	-⌫-----|----|----|-|--|
sisesmerueil lekeleestsue	-||---------⌫-||--|--|--|
c elesen u a	-⌫--||-|-⌫|
unursenc untre enmilasente	-|--|---⌫----|---|-|----|
liursestut si esgu arda	-|--|----|-|----⌫---|
parcoi ntiselareisuna	--|---⌫----||-------|
faitililuec	---|-|----|
duntlesbestesparol en ttant	---|--|-----|-----⌫--⌫|---|
queta ntestbel sepetiz	--|--⌫-|--|---⌫||----|
elecoest m is fiz	--|-|--|-⌫-|--|
baillez lecatantq ueio l be s	------|-|-|---|-⌫-|-||--⌫|
luoilueerp luspres	|---|---|-⌫--|---|
cele liba i llee	---|-|--⌫-⌫--||
si lad mangiéhastiuement	-||-|------|----------|
pu rc onede uer eitnulsmus tr er	--⌫|-⌫|-|--⌫---⌫--|---|---⌫--⌫-|
s apriuetenesunpen ser	-⌫|------|-|--|---⌫--|
detelchose	-|--|----|
puet hom i oir	---|--|-⌫--|
qu ine pu etm ieatu zplaisir	--⌫|-|--⌫-|-⌫-||--⌫|------|
pa r desco ueranc e ui entgran tmals	--⌫|-----⌫------⌫|--⌫--|----⌫|---|
nestpaslicl es t u t	|--|--|-|--⌫-|-⌫-⌫|
orn usr ecu nte dundrag un	-|-⌫-|-⌫---⌫--||-|----⌫-|
kun ui lainprist acompa ignun	|-|--⌫---|----||-----⌫----|
ecil souent liprameteit	|--|-----|-|--------|
keleaumentleseruireit	-|-------|-|--------|
lidragunsuolte sprou er	-|------|---|-⌫-----⌫-|
cumilsepuetenlif ier	--|-|-|---|-|-|-⌫--|
unoefl icomanda a garder	-|--|-⌫|------||-----|
silidist kiluoleit err er	-|-|---||-|-----|---⌫-|
deloefg ardermultlipria	-||--|-⌫----|---|-|---|
eli uilainsl idemanda	|-|------|-⌫|------|
pur quei il li	--|---|-|-|
c o mandot iss i	-⌫-⌫-----|---⌫|
e lidraguns li respundi	|-|------|-|-------|
qui dedenz loef otenbatu	--|-----||--|-|-----|
trestutsun fiue	------|--|--||
tost serreitmor tsi lfu st brisiez	---|------|---⌫||-⌫|--⌫-|------|
kant lidragunfude sl oigniez	---|-|-----|--|-⌫--⌫------|
si ses tli	-||--⌫|-|
uilai nspurpens ez	-----⌫-|-------⌫-|
que lioefnie rtpar li gardez	--|-|--||--⌫-|--|-|-----|
parloe focirale dragun	--||--⌫|----|-|-----|
sunor au ra tu tenbandun	--|-|--⌫-|--⌫|-|-----|
quantli oefestei t depesciez	----|-|--|-----⌫|--------|
eli dragu nsfud	|-|-----⌫-|--|
repairi ez	-------⌫-|
lescaleuit	|-----|--|
gesira tere	----||---|
comenca aenquere	------||------|
simesguar dé	-|-------⌫--|
sa uol unte	-|---⌫---|
bienaparceitsatricheri e	---|-------|-|--------⌫|
departiees tlurcompa ignie	-------|--⌫|--|-----⌫----|
pur conusdit	--|-|--|--|
kea tri ch eurn e a	-||---⌫--⌫--|-⌫||
ne deitlu mcomander sun or	-|---||-⌫|-------|--|-|
neaband onersunchie rtre sor	-|-----⌫---|--|----⌫|---⌫--|
encuueitus	-|-------|
nesede i t nuls	-|-|--⌫-⌫|---|
tro pafier	---⌫|----|
dunrecluscunt eki	|-|-----|----⌫|-|
unuilainkiodluiesteit	-|-----|-|-|--|-----|
kantli reclusdedeu	---|-|-----|-|--|
eli uilai ns	|-|-----⌫-|
lidemandout	-|--------|
p ur quei adamm angat l efrui t	-⌫-|---|---|-⌫----|-⌫|----⌫|
parquei h uma inpo p lefud dest ruit	--|---|-⌫---⌫-|--⌫-⌫-|--|----⌫---|
equanti lla pomemanga	|----|-⌫|-|---|----|
al reclus souent	-|-----|-----|
tantku ne feiz	---||-⌫-|---|
se purp ensa	-|----⌫---|
qu eliuilainap eise reit	--⌫|-|-----|--⌫----⌫---|
d e lad emande k ilfeseit	-⌫|-|-⌫-----||-|-----|
gate demanda	---|------|
s u runetable	-⌫-⌫|--|----|
unesuri ce otde s uzmise	--|----⌫-|-|--⌫-⌫-|---|
pu is defendi ke nnuleguise	--⌫-|------||-⌫|---|----|
aluilainkiln i adesast	-|-----||-|||------|
ne ke desuznegardast	-|-|----|-|------|
k ar ili reit au nmustier	-⌫-|-|-⌫---||-⌫|------|
aoreis u npur deu	|-----⌫-⌫|--|--|
quantlireclus senfu	----|-|-----||-|-|
s e stliu ilain spur pensez	|-⌫-|-|-⌫-----⌫|---⌫-----|
queg ra nt m erueille lisembla	--|-⌫--⌫-|-⌫-------|-|-----|
del esquielekil	-||-------||-|
nesepoeit mied etenir	-|-|----|--|-⌫-----|
kilne llauoilledescourir	|-|-||-|-----|--------|
purueercoquedes uzfu	--|---|-|--|---⌫-|-|
