cilquiseuent	--|--|-----|
quauisli ertqu esinges	-|---|-|--|--⌫|-----|
de moi et demafemme	-|--|-|-|-|----|
que tensemb leneme	--||-|----⌫-|-|-|
chouquedo is	---|--|--⌫-|
faitil resemblez	---|-|--------|
t uessinge	-⌫|-|----|
ellee stsing e sse	---|-⌫-|----⌫-⌫--|
laideeth isdouseet fe l lenesse	----|-|-⌫------|-|--⌫-⌫------|
p ar tantpuessauoir deton	-⌫-|---|---|-----|-|--|
quecestun s ingentel pe tis	--||--|-|-⌫-------|--⌫--|
altricheor so nconpaingnon	-|-------|--⌫|----------|
disttotcest emismeraison	---|--|----⌫|----|-----|
demandalui totmot amot	------|--|--|--||--|
cizliaditque lui	--|-||--|--|--|
uitplusbell egen t	--|---|----⌫|---⌫|
ne quimiex fuistasonta lent	-|--|---|----||--|--⌫---|
apr e ssi atd it de l signor	---⌫-⌫|-|-|-⌫-|--⌫|-----|
quebienresemb le emperror	--|---|------⌫-|-------|
dontlo nt entreus	---||-⌫-|---|--|
molt ho noré	---|--⌫----|
det outesoartlontenclinei	-|-⌫----|---||--|-------|
lelo aulh o m eont	-|--⌫--|-⌫-⌫-⌫|--|
semprepri s	---------⌫|
descireietmalmis	-------|-|-----|
pors onuoir ditlifire nt h onte	--|-⌫-|---|--|-|----⌫-|-⌫---|
oiez lexemple	---||------|
decestconte	-|---|----|
ne pou tmi esodletrichor	-|---⌫|--⌫-|-|-|------|
liloaushon sauo irhonor	-|----|---⌫|---⌫-|----|
enco rto u lom uoilhetrichier	-|--⌫-|-⌫||-|-----|-------|
et pa rmench oingne iugier	-|--⌫|-----⌫-----|-----|
d unasne conte qui	|-|---|----|--|
unlionfierse lsal ua	-|---|---|-||---⌫-|
dieust e s autdieustesaut	----|-⌫|-⌫--|----|-|---|
lilions uit	-|----|--|
la snemo ltbaut	|-⌫--|--⌫-|---|
si liresponthastiueme nt	-|-|------|---------⌫-|
dezquant fum es	--|----|---⌫-|
si pres parent	-|---|-----|
distli asnesmerueilhes	---|-|----|---------|
moltpri siesa utresbe st e spoi	---|---⌫---|-⌫----|--⌫--⌫-⌫|--|
tuquid e schou que tout	-|----⌫-⌫|---|--|---|
quatresnulz	-|----|---|
netecontreuaill e	-|-|-----------⌫|
uienc ore od moiensoncest mont	----|--|-|--|-|--|---|---|
oules bes tesense mblesunt	-|--|---⌫--|----⌫---|---|
et ie teferai	-|-|-|----|
tresbi enueoir	---|--⌫-|----|
etsip orasapar ceuo ir	-|-|-⌫---|----⌫----⌫-|
que lles arunt poo r	-|-⌫---|----|---⌫|
aut resigrantcommedetoi	---⌫---|----|----|-|--|
lilionsestalez odlu i	-|----|--|---|-|--⌫|
en sonle montuienne nta ndui	-|--|-|---|------⌫-|-⌫---|
desus lemo nt	----|-|--⌫-|
otdebestesgra ntas emblee	-|-|-----|---⌫-|--⌫-----|
liasnesprist a r escane r	-|----|----||-⌫------⌫|
etsila id ement acrier	-|-|--⌫--⌫----||----|
que lesb estes s endepartirent	--|--|-⌫----||-|----------|
delapoor toutes	-|-|---|-----|
l ias n esdist	-⌫|--⌫-⌫-|---|
uoistuam is	---|-|--⌫-|
cequet auoie prom is	-|--||----|----⌫-|
lilionsl ia	-|----|-⌫||
cen est m ies por	-||--|-⌫--|--|
nepor fierteiqueent oias	-|--|------|--|-|-⌫-|-|
mai spor lecrique t uge tt as	---⌫|--|-|--|--|-⌫|--⌫--⌫-|
lur semblee spouenta ble	--|-----|-⌫--------⌫--|
quetouttoitinn entpordyabl e	--|---|--|----⌫--|--|-----⌫|
si esstdel org ui lhous fello n	-|---|-||---⌫--⌫----|-----⌫|
qui parm an aceet	--|--|-⌫--⌫--|-|
part encho n	--|-⌫-----⌫|
espoentelaf o ll e	-------|-|-⌫-⌫--⌫|
bienaessient	---||------|
que nulzne	--|---|-|
ld oiecontrest er	|-⌫--|--------⌫-|
d esquill o runtenha utparler	-⌫-|-|-||-⌫---|-|--⌫-|-----|
fu molt trauilhi és	-|---|--------⌫--|
ui uretoz a nnuiiés	--⌫--|--|-⌫-------|
enun e graue	-|--⌫|----|
fistso n lit	---|--⌫|--|
molt fu maladesc umil dist	---|-|------|-⌫-|-|---|
lesbestesfi sta	--|-----|--⌫-||
car iluoloit	--|-|-----|
ced i stc hoisir	-|-⌫-⌫-|-⌫-----|
poroita lb oisaler	-----|-⌫|-⌫--|---|
etsauiand eporchachier	-|-|-----⌫|----------|
unset unsissil es ma nda	--|-|--|---|-⌫-|--⌫--|
sesoccioit	-||------|
m iex l esuoloit	-⌫--|-⌫-|-----|
issimangier	---|------|
corre n etrauilhier	----|-⌫|---------|
li goupizest od eus	-|-----|--|-|--|
dehor s la g r auees t arestez	-----⌫|-|-⌫-⌫--|--⌫|------|
desnouelle s	--|-------⌫|
uo loit oir	--⌫---|--|
iluosistauantue nir	-|-----|----|--⌫--|
ireement lidemanda	-------|-|------|
por quilneuoutuenirauant	--|-|-|-|---|----|----|
et ligou pilz lidistatant	-|-|---⌫---|-|---||---|
sirefaitilnios	---|---|-|||-|
ca rie n enu oi n ulretorner	--⌫|-||-|-⌫-|-⌫-|-------|
desbe st e squi	--|--⌫--⌫-⌫|--|
laen sent rerent	----⌫|---⌫-----|
e tporuos u eo iri alerent	-⌫|--|--|-⌫--⌫-||------|
decortaroiest	-|---||--|--|
tezien tr elegierement	--||--⌫--⌫|----------|
miexl iuenroi tensuse ster	---|-⌫|------⌫|-|--|-⌫---|
porlesnouellesescout er	--|--|-------|------⌫-|
cinos ra conted unlion	-|--|--⌫----||-|---|
qunsuil ai nsprist	|--|---⌫--⌫-|----|
aconpaingnon	|----------|
entreusconterentlurparage	---|--|--------|--|-----|
si parlerentde lurlinage	-|--------|-|--|-----|
li lion s distfiz sui deroi	-|----⌫|---|--|--|-|--|
li uilain s dist uasore odmoi	-|------⌫|---|--|--|-|--|
aunmur sunt	|-|--|---|
a mduiuenu	-⌫---|---|
lilionsatilluc ueu	-|----|-|----|--|
defo rsla porteune painture	----⌫-|-|----|--|-------|
cum unsuilains	--|--|------|
parauent ur e	--|-----⌫--⌫|
od sahach eocistunlion	-|-|----⌫|----|-|---|
donc apelle soncon paingnon	---|-----|--|---⌫-------|
quifist c estesemb lancec i	--|---|-⌫---|----⌫----|-⌫|
homeoulioncar	---|-|---|--|
cefistuns hons fai t liuil a in s	-|---|--|---|---⌫|-|---⌫-⌫--⌫|
odesesen ginge tod ses	--|--|--⌫---|-⌫|-|--|
lilionsrespondu	-|----|-------|
cest atoutle	|--||---|-|
peuple conn u	-----|----⌫|
quehonspuetcailhier	--|---|---|-------|
etport raire	-|----⌫----|
maisli lio nsnelpuetpas faire	---|-|---⌫-|-||---|--|----|
oren ironsensemblecha	-|-|----|-------|--|
liuilain suat cizlamena	-|------⌫|--|--||----|
al chastela	-|------||
lemperio r	|-------⌫|
etissiauint quaun ior	-|---|----|-||-|--|
auoienti l	------|-⌫|
iugié taplai t	------⌫||----⌫|
unbarron q uili	-|-----|-⌫-|-|
otmesfai t	-|------⌫|
p rouezestoitdetraiso n	-⌫----|-----|-|------⌫|
gette rle fist	-----⌫|-|---|
aloncte nsi estoitgardez	|---|--⌫-||-----|-----|
etens acor tenc hainez	-|-|-⌫|---⌫|---⌫-----|
etillocist inellepas	-|-||----|--------|
ain snelgardaarme	---⌫|-||----|---|
l ilionsa ta ntsendepart	-⌫|----||--⌫-||-|-----|
etliuilains quim oltfu tart	-|-|------|--|-⌫--|-|---|
en f uissentd illucterne i	-|-⌫------||----|-----⌫|
enla gastinesun talei	-|-|------|---⌫|---|
par mi leslan de st resp asser ent	---⌫-|--|---⌫--⌫|-⌫----⌫-----⌫--|
lion encontr eren t	---|-------⌫----⌫|
aceluidist q uilfai t desroi	|----|---|-⌫|-|---⌫|-----|
q u im a in nele u il ain	-⌫-⌫|-⌫-⌫--⌫-|-|-⌫--⌫--|
quiseitla fosse ap arilh ier	--|---|-|----|--⌫-----⌫--|
ou il por oien ttresbuichier	-|-|---⌫----⌫|-----------|
au tres i seue nts i parent	--⌫----⌫|----⌫-|-⌫|-----|
ocir asille	----⌫||-|-|
lili onsdistqu illescarni st	-|--⌫--|---|-|-||-------⌫-|
nel sofferoit qui l l	-||--------|-|-⌫||
pornul leriens nel	--|---⌫-|----|-||
se pens ast	-|----⌫--|
liuilai ns lot	-|-----⌫-||-|
selme rciat	-||--⌫----|
mol tparli	---⌫|--|-|
doi tsauoirbon g rei	---⌫|-----|--|-⌫--|
lilionsli a	-|----|-||
sil lisembloitcumain so t fait	|-|-|-------|--|---⌫|-⌫|---|
liui lains distaut rement	-|--⌫----|---|---⌫-----|
i el uo s diainsfaitlilions	-⌫||--⌫|-|---|---|-|----|
quenosfu isons bonconpaingnons	--|--|--⌫----|--|-----------|
most ra s unepainture	----⌫--⌫|--|-------|
sorune pier ed	--|--|----⌫||
maisietai puisuraie	---|-||-|---|----|
adescouert las esgard ee	|--------||-|------⌫-|
ce s t exemple	--⌫-⌫|------|
uosuoilaprendre	--|---|-------|
quen u s nedoit ariens e ntendre	--|-⌫-⌫|-|---||----|-⌫------|
afableq ui estdemenchongne	|----|-⌫-|--|-|---------|
n apainturequise mb leso nge	||-------|--|--⌫--⌫-|--⌫--|
acroiredont ho muoit l ouire	|-----|---|--⌫|---||----|
quila u erit e ien descu eure	--|-|-⌫----⌫-⌫|-|-----⌫---|
un ep uicece dist	--⌫|-⌫---|-|---|
sor unchamo lse	--|-|-----⌫|-|
lche uacha	|---⌫----|
d esquesenune autreco n t re e	-⌫-----|-|--|----|--⌫-⌫-⌫--⌫|
doncsestla	---||--|-|
puicheporpe nsee	-----|-----⌫---|
si a merchié t le cha moil	-||--------⌫|-|---⌫---|
qui si sue f	--|-|---⌫|
dedenssonpoil	-----|--|---|
lauoi tensemble odsoiport ee	|----⌫|-------|-|--|----⌫-|
iamaisparsoi n	-----|--|--||
porsontrauailleser uiroit	--|--|------|-|---⌫-----|
molt ue lentie rssellepooit	---|--⌫------⌫-||---|----|
lichamo il	-|-----⌫-|
li a respondu	-||-------|
conques delicha rgie ́s	|-----|-|-|---⌫----⌫-|
nenesoutqu e lle	-|-|---|-|-⌫--|
fu istsor lui	--⌫--|--|--|
nequ elleli	-|-|---|-|
feistnu l annui	----|--⌫|----|
issi uadela	---|-|-|-|
p ouregent	-⌫---|---|
s asrichesont aproimement	|-|-----|--|----------|
formen tlesquidentcorochi er	------⌫|--|------|-------⌫-|
da magef aireet	--⌫---|-⌫---|-|
dungresilonoezlamaniere	|-|-------|--|-|------|
qui desque	--|-----|
aunefurmiere	|--|-------|
eltens diuer estoit	-|---||---|-----|
par auenturei es te nt r ee	--|-------||--⌫|-⌫--⌫-⌫-|
uia ndeidemandaetquist	---⌫--||------|-|----|
qu ellenenauoitpo intced ist	-|---||-|----|--⌫--|-|-⌫--|
ens a maiso nn	-|-⌫|-----⌫||
e n son recet	-⌫|--|----|
fumeequ astu	----|-|-|-|
donc fai t	---|---⌫|
deu s sesg aaingni e r	---⌫-⌫--|-⌫-------⌫-⌫|
en lauostporchachier	-||----|----------|
iechantfaitelleets idesduis	-|----|---|---|-|-⌫|------|
autresb estesetsi	-----|-⌫----|-|-|
quimeuoi lhegerred oner	--|-|---⌫--|------⌫---|
por choume	--|---|-|
uuel ciareste r	---|-|------⌫|
distlaf u r mischanteore a	---|-|-⌫-⌫-⌫--|-----|--||
queie te doi	--|-|-|--|
miex fus tque	---|---⌫|--|
tutoipo rchachase s	-|--|--⌫---------⌫|
elmoidaw ostet gaaingnaises	-|--||--⌫--|-|-----------|
quenefuis esdefroit morant	--|-|----⌫-|-|----|-----|
ou nul usuiande querrant	-|--|-|-----|-------|
p or quoi t oidonrai amang ier	-⌫-|---|-⌫-|-----||----⌫--|
qua ntt ua moi ne pues	---⌫-|-⌫||--|-|---|
po rce d efentque nusneuiue	--⌫|-|-⌫----|--|--|-|---|
anonchaloirn eenusdiue	|--|------|-⌫|-|-----|
soloncquechascunsaafaire	-----|--|-------|||----|
sedoitpenne rdebie n	-|---|-----⌫|-|---⌫|
plusesthom cier silat	---|--|--|---||-|-|
queprendre	--|------|
quesilaautr uidoitentendre	--||-||----⌫-|---|-------|
plai stuosoir dune corneilhe	----⌫-|--|--||--|--------|
quisistsor	--|---|--|
ledos duneouelle	-|--||--|-----|
odle beclefiertd urement	-|-|--|-|----|-⌫------|
salainneli toutaspr ement	-|-----|-|---|----⌫----|
la berbis li atdit po r qu oi	-|-----|-|-|--|--⌫|--⌫-|
cheuaches tuissisurm oi	--------|-|---|--|-⌫-|
r e mu etoi siferasbi en	-⌫-⌫--⌫|--|-|----|--⌫-|
siseezun poi sur lechien	-|---|-|--|--|-|----|
sifai sa luicumfais	-|---⌫||--|--|---|
dist lacorneillepar	---|-|--------|--|
ne testuetmie strauilhier	-||-----|---⌫|---------|
quet umoi doiesen sengnier	--|-⌫|--|----|--⌫-------|
ie sui g rant piechaensengnie	-|--|-⌫---|-----|--------|
sisage sienuois ie	-|---|-|------⌫-|
bien sai sorq ui	---|--|--|-⌫-|
iepuisseoir	-|---|----|
et aseur teire m anoir	-||----⌫--|--⌫-⌫----|
porchouuos mostreparrespit	--|---|--|-----|--|-----|
queceestuoirsqueuil ains di s t	--|-|--|----|--|---⌫---|--⌫-⌫|
et p ar respitetparrepr eche	-|-⌫-|-----|-|--|----⌫---|
bienseitlecatquibar be lileche	---|---|-|--|--|---⌫-|-|----|
biensaparchoit	---||--------|
lienuoisie s	-|--------⌫|
lesquez ilpuet	--|---|-|---|
auoi rsuzp ies	----⌫|--|-⌫--|
u ns richesh ons ch euachaia	-⌫-|-----|-⌫--|--⌫-----|-|
p armiunchamp	-⌫---|-|----|
si esga rda	-|----⌫--|
ouyy cerfensemblep arloient	-|-|---|-------|-⌫-------|
etestroitementco nsilhoient	-|-----------|--⌫---------|
ilfuissententre g rantgent	-|-------|----|-⌫---|---|
u e reustor nadeliureme nt	-⌫-⌫|--|---⌫-|---------⌫-|
demandalur por	------|--|--|
quelmestier	---|------|
il uol oi entsi	-|---⌫--⌫--|-|
consilhie r	---------⌫|
diasnau oit	|--||--⌫--|
nenuslurparole	-|--|--|-----|
liuns r espondial signor	-|--|-⌫------|-|-----|
qu il nauoientnulle poor	-|-||------|----|---|
ai nslur se mb loit enuoiseure	--⌫-|--|--⌫--⌫---|---------|
quil p arl o i en t	-|-|-⌫---⌫-⌫-⌫--⌫|
ent elmesure	-|-⌫-|-----|
cefu n t souent	-|--⌫-⌫|-----|
linonsa ua nt	-|--|--⌫--⌫-|
deteilcho sem os trentsemblant	-|---|---⌫-|-⌫--⌫----|-------|
poraut reg entsusu eziier	--|---⌫-|-⌫--|----⌫-----|
quine lur puetauoirmestier	--|-|--|---|----|------|
d un mirecontequiseng na	|-|---|----|--|----⌫-|
unrichehomequ eilgarda	-|----|---|--⌫|-|----|
enu ne grantenfermete	-|-⌫-|----|--------|
puissiale sanc	---|-||-|---|
asaf ilhequel lele gardast	|-|-⌫---|-|--⌫-|-|------|
q uenu lleriensni adesast	-⌫-|--⌫--|----|||------|
di stq u ilconist roit	--⌫-|-⌫|-|------⌫---|
quelmaladie so npere a uoit	---|------|--⌫|---|-⌫---|
lameschine	-|-------|
porta lesanc	----|-|---|
ens acha mbredesus unbanc	-|-⌫|---⌫---|----|-|---|
maismol t li est	---|---⌫|-|--|
qu eto t le	--⌫|--⌫|-|
sanca e span du	---||-⌫----⌫-|
ne losadir ene mostrer	-||--|---⌫|-|------|
nautre conselne	|----|-----|-|
souttrouer	---|-----|
maissoimeismes fistsengni e r	---|--|------|---|------⌫-⌫|
lesanc laissabien ref roidier	-|---|-----|---|---⌫------|
tant que limiresl ot	---|--|-|----||-|
parle sancatap arc e u	--|-|---|-|--⌫---⌫-⌫|
quecilestprai ns	--|--|--|----⌫-|
qu ilou tl aisiét	--⌫||--⌫|-⌫------|
l ericheshonsestesmaiés	-⌫|-----|---|--|-------|
q uicuid oit bienauoirenfa nt	-⌫-|----⌫--|---|----|----⌫-|
safi lhefistue nir aua nt	-|--⌫--|---|--⌫--|---⌫-|
tantpardes t roit tant	---|--|---⌫-⌫---|---|
pa ruoiror	--⌫|-----|
conoistre li fistlauoiror	--------|-|---|-|-----|
delsanc l idistqu elleespan di	--|---|-⌫|---|-|---|-----⌫-|
et quel iautre s	-|--|-⌫|-----⌫|
autresi ua t des tr icheors	------|--⌫|--|--⌫------|
deslaron s	--|-----⌫|
e tdesrobeors	-⌫|--|------|
fellon iemai nt	------⌫-|---⌫-|
pareus m eism es su ntata int	--|--|-⌫----⌫-|--⌫-|---⌫--|
q uantmainsse	-⌫---|----|-|
gardentdestr epris	------||----⌫|---|
sisunt encontreie tocis	-|---|--------|-⌫|---|
uilain cont equi gi soit	-----|----⌫|--|--⌫---|
contresol el	-----|---⌫-|
sisedormoit	-|-|------|
a den sgis oi tt o zdescouers	|---⌫|---⌫--⌫|-⌫-⌫|--------|
et s espertuisestoit ouers	-|-⌫-|------|-----|----|
unsescarbosdedens entra	--|-------|-----|----|
etl i uilai n s senenuoi lh a	-|-⌫|-----⌫-⌫||-|-----⌫--⌫|
gr ant malli fisttresqu a	--⌫--|--|-|---|-----||
lestuetaler	|-----|---|
co nteretdire	--⌫---|-|---|
limi res distqu i l e stoitprains	-|--⌫--|---|-|-⌫|-⌫----|-----|
orli est pizqu	-|-|--|--|-|
ilnefuains	-|-|-|---|
carli ui lainsbien	--|-|--⌫----|---|
etlif ousp euples qu il oy	-|-|-⌫--|-⌫-----|--⌫||-|
dientquec es tsignef iance	----|--||--⌫|------⌫----|
enpoorsunt	-|---|---|
etendotance	-|-|------|
ni a cel ui qui bien	|||---⌫-|--|---|
qu egr antm al auenir	--⌫|--⌫--|-⌫-|-----|
tantestfouspe uplesn oncreables	---|--|---|--⌫----|-⌫-|-------|
quenuainneschosesnon ueables	-|-|------|-----|--|------|
ontlur creanceet	--|--|------|-|
lu resp oir	--⌫|---⌫--|
le uilaingaitentporsa u oi r	-|-----|------|--|--⌫-⌫--⌫|
parunciz enfes deuoitnaistr e	--|-|--|----|-----|------⌫|
li esc a rbozpar	-|---⌫-⌫---|--|
la f enestr e	-|-⌫------⌫|
paruntentrasen	--|--|----||-|
donc furent il to z deceuz	---|-----|-|--⌫|-----|
parce stexemple q ue uo s	--|--⌫-|------|-⌫-|--⌫|
delno n saichante sta u tresi	--|--⌫|-------|-⌫-|-⌫-⌫----|
qu e ilcroitcequ e strene pu et	--⌫|-|----|-|-|-⌫---|-|--⌫-|
oulauanitelecomu et	-|-|-----|-|----⌫-|
dunuila incontequi	|-|----⌫-|----|--|
dedenssonhuis si	-----|--|---|-|
un aut reho meuit sorsonlit	-|---⌫-|--⌫-|--|--|--|--|
od safemmefists ondelit	-|-|----|---|-⌫-|----|
alasfait ilquai ieueu	|--|---|-|-|-|-|--|
donc alafemme	---||-|----|
r es pondu	-⌫--⌫----|
qu auezueu biassire	-|---|--|---|---|
unautre home	-|----|---|
ce mestauis	-||--|---|
surle littetint	--|-|--|-|---|
embra ch ie	-----⌫--⌫-|
cedistla femmecorochie	-|---|-|----|-------|
biensai faitellenedot	---|--|---|---|-|--|
qu e cestuostre	--⌫||--|-----|
uiel he foli e	----⌫-|----⌫|
tuuuesmenchoingnetenirauoire	-|---|----------|----||----|
ieluisel doi	-||-|-||--|
biencroire	---|-----|
fouzesfait ellesetu	---|-|---|---|-|-|
par uerit eiquenquet uuois	--|-----⌫-|------|-⌫|---|
asmains lepren t etsilen	-|----|-|----⌫|-|-||-|
aun e cuuedeiwepla ine	|--⌫|---||---|---⌫--|
dedenslei welefistgarder	-----||--⌫-|-|---|-----|
puis licomenceademander	---|-|------||-------|
quiluoitdedenset il	-|-|---|-----|-|-|
quesoimeismesdedensuit	--|--|------|-----|--|
po r choudist ellen estup as	--⌫|---|---|---||-|-|-⌫-|
cuwe o dtoztesdras	---|-⌫|--|--|---|
s e tu uei s unesemblan ce	-⌫|-|---⌫|--|-------⌫-|
tune d ois pas auoirerrance	-|-|-⌫--|--|----|------|
entesyosqui mentent	-|--|--|--|------|
di stliuilains ieme rep ent	--⌫-|-|------|-|-|---⌫--|
chasc uns doitmiex croireet sauoir	-----⌫--|---|---|-----|-|-----|
ceques afemmedist	-|--|-⌫|----|---|
q ue celi sonfauzyozuoien t	-⌫-|-|-|--|---|--|-----⌫|
quiparueuel efoloient	--|--|---|-⌫|-------|
ices t e xemp l enos deuise	----⌫|-⌫----⌫-⌫|--|-----|
que moltuautmi e x sens etcointise	--|---|---|--⌫-⌫|---|-|-------|
etplusaidea	-|---|---||
m aintegent	-⌫----|---|
queso n auoir nesiparent	--|--⌫|----|-|-|-----|
dunuilai nuueliciconter	|-|-----⌫|---|--|-----|
femmeuitaler	----|--|---|
uerlaforestson druodl i	--|-|-----|--|--|-|-⌫|
apressen ua ci l s	----||-|-|--⌫||
dedens leboismuichiés	-----|-|---|--------|
etcil s entorne	-|--||-|----|
t o zir iés	-⌫-⌫|--⌫---|
s afe m melaidist et	-⌫|--⌫-⌫-|------|-|
et ladameli demand a	-|-|---|-|------⌫|
porquoiilpa rloitsiuer	--|---|-|--⌫----|-|--|
etsonbar onlirespond i	-|--|---⌫-|-|-------⌫|
quilotueuson	-|-|-|--|--|
quilifisthonteetd eshonor	--|-|---|----|-|-⌫------|
alerod liue r lafo rest	---|-|-|--⌫|-|--⌫---|
sirefaitelles	---|---|---||
il uos pla is t	-|--|---⌫--⌫|
por amorde u	--|---|--⌫|
ditesm e uoir	----|-⌫|---|
quidas tesuo shome	------⌫--|--⌫|---|
ale ro dmoi nelm ecellers	---⌫|-⌫|--|-||-⌫|------|
gelui faiti l	-||-|---|-⌫|
elbois e ntrer	-|---|-⌫----|
l assefist ellem ortesui	-⌫---|---|---|-⌫---|--|
demain moraiou	-----|----|-|
e ncor hui	-⌫---|--|
a mauil le a uintautresi	||----⌫-|-⌫---|------|
merecargelui	---|--|-||-|
unpoi deuantlur	-|--|-----|--|
apertement	---------|
quns ch eualierl esconduisoit	|--|--⌫------|-⌫-|---------|
q uiauoic eusso uentes toi t	-⌫-|----|--|--⌫---|--⌫---⌫|
or sai bien presest	-|--|---|---|--|
mandezs irestozmescousin	-----|-⌫---|--|--|-----|
sidepar tironsnostreauoir	-|-----⌫-----|-----|----|
noz elsiecleplusrem anoir	|-|-|-----|---|---⌫----|
liuilainsl otmerci licrie	-|------||-|----|-|---|
laisies e ster fa it il	------|-⌫---|--⌫-|-|
nede partezdemoiissi	-|--⌫-----|-|--|---|
me nchongnefu q u anqueie	--⌫-------|-|-⌫-⌫----|-|
nozfaitelle plusciester	|-|---|---|---|-|----|
car demanlme	--|-||----|
m estue tpenser	|-----⌫|-----|
e tsorq ueto t porlagrant	-⌫|----⌫----⌫|--|-|----|
dontuos a uez faitsigrantco nte	---|--|-⌫--|---|-|----|--⌫--|
t oz iorsmeseroit	-⌫-|---|-|-----|
u il ain nemen taroieer rei	-⌫--⌫---⌫-----⌫|----|--⌫--|
nelfaites parsai remen t	-||-----|--|---⌫-----⌫|
si quel uoient	-|--||-----|
nostre parent	-----|-----|
que neue istes ho meod moi	--|-|--⌫----|--⌫-|-|--|
etpuisafierezpa rfoi	-|---|------|--⌫|--|
queiamaisnelreprouerez	--|-----|-||---------|
neiamaism ot	-|-----|-⌫-|
nensonnerez	|-|-------|
uolentiersd ame	---------|-⌫--|
illiresp ont	-|-|----⌫--|
mostier ens emble uont	------|---⌫----|---|
iuracequellequist	---|-|-|---|----|
etp lus assezqu	-|-⌫--|----|-|
el ne lid ist	-|-|-|-⌫--|
et quanq ue ellepen seroit	-|-----⌫-|---|---⌫-----|
etplusassezliiureroit	-|---|----|-|-------|
porce dist	--|-|---|
lomen reprouier	|-|-|--------|
quefe m messeuentengignier	--|--⌫-⌫--|-----|--------|
lesuosiiesnon uerables	--|------|--|-------|
ontpl usuna rtq u elidy ables	--|--⌫-|-|-⌫-|-⌫-⌫|-|--⌫----|
desoisiazcu ntquis	--|-----|--⌫-|--||
asenblerent	----------|
apar lem e ntsie sgarderent	|---⌫---⌫-⌫-|-|-⌫---------|
euzde ussenta uoirr oi	--|--⌫-----|-⌫---|-⌫-|
quisgouerna s ten droiteloi	--||-------⌫-⌫|-|-----|--|
chasc undenuncialeson	-----⌫-|-------|-|--|
af airecesteeslexion	|-⌫---|----|-------|
tuitenes toien t es b ahi	---|-|--⌫-----⌫|--⌫-⌫--|
quantde l c ucuoientlecri	----|--⌫|-⌫--|----|-|--|
nesorent quezoisiaz ce	-|-----|---|-----|-|
m aisq uetoztensdiso i t c ucu	-⌫--|-⌫-|--|---|----⌫-⌫|-⌫--|
omde loinz oir	-|-|----|--|
cartotle bo isfistre tenir	--|--|-|--⌫-|---|--⌫----|
tu itdisoie nten lurgar gon	--⌫-|------⌫-|-|--|---⌫--|
etaferm erent	-|-----⌫----|
p ar r aison	-⌫-|-⌫----|
quecilzo isiasquisi ch antoit	--|---|-⌫----|--|-|--⌫-----|
gr antno isedemenoit	--⌫--|--⌫--|-------|
deuoit bienes tre	-----|---|--⌫--|
roisetsire	---|-|---|
et gouer ner ungrantempire	-|-----⌫--|-|----|-----|
silfuists i preus	|-|----|-⌫|----|
etsi uailh ans	-|-|-----⌫--|
ense seuur es	-|--⌫|----⌫-|
asig norle uuel entauoir	|---⌫--|-|----⌫--|----|
mai siluuelen t pr imesauoir	---⌫|-|------⌫|--⌫--|-----|
sonestreet soncon tenem ent	--|----|-|--|---⌫-----⌫--|
esgardentcomun emen t	--------|-----⌫----⌫|
quidoitalerenlurmessage	--|---|---|-|--|------|
lama se ngequimolte stsage	-|--⌫--⌫--|--|---|-⌫-|---|
a parcho iurelaue rite	-⌫------⌫---|-|--⌫---|
ont iusqualui	--|----||--|
lam asengeuolatotdroit	-|-⌫-----|---|--|----|
aunarbre oucilzest oit	|-|----|-|---|---⌫--|
moltsestoitpres deliasise	---||-----|---|-|-|----|
sil esgarda pargrantcointise	-||------|--|----|-------|
nep risagairesa man iere	-|-⌫---|----|-|---⌫---|
carilfaisoitmauaise chiere	--|-|------|------|-----|
encoru or a plushaut	----|-⌫--⌫|---|---|
son corag eu uet	--|-----⌫|-⌫--|
esp r ouer	---⌫-⌫---|
sor unebranche enh aut salh i	--|--|------|-|-⌫--|----⌫|
desurledosli ameuti	----|-|--|-|-----|
onq ueslicucusmotne d ist	---⌫--|-|----|--|-|-⌫--|
nepi or semb lant	-|--⌫-|----⌫---|
nel enfist	-||-|---|
arieres enua lama s eng e	-----||-|-|-|--⌫-⌫---⌫|
lecuc u laidenge etblaste nge	-|---⌫|-------|-|------⌫--|
az autres dist la desho nor	-|-----|---|-|-----⌫--|
et la hontequellifistgrant	-|-|----|-|-|-|---|----|
ainsnelenfist	---|-||-|---|
pl us laitsemblant	--⌫-|---|-------|
segrantoisellim eff aisoit	-|----|----|-|-⌫---⌫-----|
m auuaisemen tsenuenger oit	-⌫----------⌫||-|------⌫--|
quantilue rlui nes osa	----|-|--⌫|--|-||--|
quidel plu s doisi as est lemendre	--|--|---⌫||----⌫-|--|-|-----|
eslisentunqui soituailhan s	-------|-|--|---|-------⌫|
preus etsages et emprena ns	----|-|----|-|-------⌫-|
roi sdoitestre moltdro ituriers	---⌫|---|----|---|---⌫-------|
eten iust iceredde	-|-|----⌫--|----|
acel oiselsesuntt enu	|--|----|-|---|-⌫--|
sio ntesgardeiet ueu	-|-⌫-|-------|-|--|
qued elai glefe runtlurroi	--|-⌫||--⌫--|--⌫---|--|--|
siuossaibiendirepo r	-|--|--|---|---|--⌫|
liaigleestde belle grandor	-|----|--|-|----|------|
si est assez d e gra ntualor	-|--|----|-⌫|---⌫-|----|
moltestso bres etatempre z	---|--|--⌫---|-|-------⌫|
