sul felunad	--|----|-|
ses frereslesconforte	--|-----|--|-------|
lesens eigneetlessermune	--|---⌫----|-|--|------|
bienfere essampledune	---|---|-------|---|
tant iltrau ail liek il se	---|-|----⌫---⌫--||-|-|
etcheu e sten grantf ebles ce	-|---|-⌫-|-|----|-⌫-----⌫-|
le corsestiatutflestri	-|---|--|-|--|------|
neisli oslisunts echi	---|-|-|-|---|-⌫---|
tregrantab stinen ce	-------|--⌫------⌫-|
le chefpelerlic ume nce	-|---|----|-|-⌫---⌫--|
barbenen g ernun	----||-|-⌫----|
n e remis t	-⌫|-----⌫|
peil sipetit	---|-|----|
pal ead lacolureleq uer	---⌫|-|-|----||-|-⌫--|
apeineuatantestmalade	|----|-|---|--|-----|
sifisic ienet mire	-|-----⌫--|-|---|
di entp ur deubeusire	--⌫--|-⌫-|--|--|---|
p artuns deci eta lun squere	-⌫-----|-|-|-|-⌫---⌫|----|
eirpluspur et deb on ere	--|---|--|-|---⌫--⌫--|
une ma nsiunk estdecisteus	--|--⌫----||--|-|------|
ul e ire st b ons	||-⌫-|-⌫-|-⌫--|
etlileubeus	-|-|--|---|
li prohu ms ke lamanantsu nt	-|-----⌫-|-|-|-----|--⌫-|
muzfranzs unt mu t	--|----|-⌫--|--⌫|
echeruusunt	|---|--|--|
adeuziurnee es t	|---|-----|--⌫|
lilusestnu mésoys i	-|--|--|--⌫--|----⌫|
alumhy pou suiurne r	---|-|--|-------⌫|
puisporezcasainsreturner	---|----|-|----|-------|
kan tserez	---⌫|----|
re uigur ez	--⌫-----⌫-|
tostreuenrezkan t uusuore z	---|-------|---⌫|--|----⌫|
malades il necreitle	-----||-|-|----|-|
mutfude bonere	--|-|--⌫-----|
neuouteuke l uru olerfere	-|---|-|-|-⌫-|-⌫---|---|
d aler asoisisaturne	|---||----||-----|
licouentremeinttris teet	-|-----|------|----⌫-|-|
dientli ceo ke	----|-|--|-|
es tbeupere	--⌫|--|---|
past ursmes tres	----⌫--|---⌫---|
uusplest ilnus guer pi r	--|----|-|--|----⌫--⌫|
etde nussito st	-|-|--|-|--⌫-|
depa rt ir	----⌫--⌫-|
pus keuenistesbr efs estlit ens	--|-|-------|--⌫--|--|-|-⌫--|
mutiad doletmu tlermans	--||-|--|-|--⌫|------|
ke tostreueng eseilsen	-|---|------⌫|-|-||-|
lierceueskeenout pite	-|--------|-|--|---|
ledolk ilfunt	-|--||-|---|
adre gardé	-|--⌫-----|
keueritablementre spund	-|------------|--⌫----|
feste seint edmu nd	----|----|----⌫-|
kemartir setreis esteit	-|------⌫|-|---|-----|
ap untenirepeirereit	|-⌫-----|----------|
mesle couentna tende ntmie	--|-|-----||-⌫-----⌫-|--|
decosundistlaprophec ie	-|-|--|---|-|-------⌫-|
c u m deucomotu outaue r	-⌫-⌫|--|-|--|-⌫--|---⌫|
uu sauraipusairecunter	--⌫|----|--|-|-------|
cungeprent laueie tent	----|----|-|---|---|
asoisiapeineuent	|----||----|---|
udelcouentpursa u enue	|--|-----|--|-|-⌫---|
e stioieetfeste	-⌫-|---|-|----|
me s p uis k	--⌫|-⌫--||
iluntiaen tendu	-|--|-|--⌫----|
ke malade ies tdecend u	-|-----||--⌫|------⌫|
etsi feble k	-|-|----||
iluaapeine	-|-||----|
amdeuzparz le	-----|---|-|
tu telurio ieetlurbaudur	--⌫-|--|--⌫-|-|--|-----|
se turne en	-|----|-|
dol eten tristu r	--|-|-|------⌫|
unl eues eli	-|-⌫-|--⌫|-|
estpre sté	--|---⌫---|
me smut li cr estsenferm ete	--⌫|--|-|--⌫--||------⌫--|
lacumunement demande	-|---------|------|
a meu i aund e	-⌫-|-⌫-⌫----⌫|
distsi tost cumillaueu	---|-|---|--|-|||--|
u ere icorsdeu	-⌫---⌫|---|--|
ge uoussalu	-|---|---|
deuousame r et	-|---|---⌫|-|
uo usser uir	--⌫-|---⌫--|
aigeut uziurz	-|-||-⌫-|---|
ieuou ssalumoncreatur	-|---⌫|---|--|------|
ieuo us salumunsalu eur	-|--⌫-|---|--|----⌫--|
de la pucelekenas quis	-|-|-----|-|---⌫---|
kimortpurmeien cr oizsuffris	-|---|--|--|-|--⌫--|------|
ki iuge r astrestut lemun d	-|----⌫-⌫-|------|-|---⌫|
etmors etui fs	-|---|-|--⌫-|
kantkeilsunt	---|-|-|---|
unkesfor suous nedesiray	----|---⌫|---|-|------|
unke euke uous	---|-|-|---|
en mu ndna may	-|--⌫-||-⌫--|
temoineuou sketutsauez	------|---⌫|-|--|----|
ketuz secrez de querserchez	-|--|-----|-|---|------|
a prest eumot	-⌫---|-⌫-|--|
adl e corsdeurece u	-|-⌫|---|--|----⌫|
uers celga rde	---|--|--⌫--|
e tdeu mer cie	-⌫|--|---⌫--|
alme estentant garnie	---|--|-|---|-----|
a ta n tests i reconfo rtez	|--⌫-⌫|--|-⌫|-------⌫---|
sicrie zet re u i gurez	-|----⌫|-|--⌫-⌫-⌫----|
nestre l icomence	-----|-⌫|------|
de pureteconscie nce	-|-----|-------⌫--|
celest ienemedicine	------⌫---|-------|
ad ioieou sei tuz iurzueisine	-|---|-|--|--|---|------|
pui sadd itensonengleis	---⌫|-|-⌫-|-|--|------|
kedir euous	-|---⌫|---|
puisenfranceis	---|-|-------|
hemditque uentref e it	--|--|--|-----|-⌫-⌫-|
munterenbla ndur etheit	-----|-|---⌫---|-|---|
kepr imescomence	-|--⌫---|------|
ioi e de q uer	---⌫|-|-⌫--|
etconscience	-|---------|
li sergantkedeuant li	-|------|-|-----|-|
plu rent pl einentetgrant	---⌫---|--⌫-----|-|----|
die nt laske	---⌫-|--|-|
deuendr um	-------⌫-|
desorm esdolenskefer um	------⌫-|-----|-|---⌫-|
kesume sen lointa inpais	-|----⌫|-|------⌫-|---|
poures esgarez	-----|------|
etme ndifs	-|--⌫----|
pasmarchander	--|---------|
robe s ne dener s	----⌫|-|-----⌫|
nesau umfuerne houer	-|---⌫-|---|-|----|
hunteestanusdemendier	----|--||--|-|------|
cistcle rkile srentes	---|---⌫|-|--⌫|-----|
degare isun bienseis isunt	-|----⌫---|---|----⌫|---|
linos tre seig nuredmond	-|---⌫--|----⌫--|-----|
kisenmoe rt et d ep artedemun d	-||-|---⌫-|-|-⌫--⌫---|-|---⌫|
grantparsa franchi se	----|--|-|-------⌫-|
nus atenua sons eruise	--||---||--|-⌫-----|
desoremes nauumseignur	--------||---|------|
oreual lessumessanzpas tur	--|---⌫--|----|---|---⌫--|
q uant lerceu eskeles	-⌫---||-----⌫---|--|
piteenadsi	---|-|-|-|
est dolent	--|-----|
u nle e usapelesi	-⌫|-|-⌫-|----|-|
liad d ist	-|-|-⌫--|
purd eutefr ailem enes cri t	--|-⌫-|-|--⌫-|-|-⌫-|--⌫---⌫|
m e stete spec ial	|-⌫-|-|-⌫----⌫--|
d enorw iz	-⌫|----⌫-|
w illame ke mutenui z	-⌫-----|-|--|----⌫|
m efaudra cumegel	-⌫|-----|---|-||
tutseigemo rtbien saideu eir	--|--|-|--⌫-|---|--|-|-⌫--|
apellerfet duncu nnot aire	------|--|---|-⌫|---⌫---|
escriz fetetescriz fet fere	-----|--|-|-----|--|---|
a sge ntiz	-⌫|--⌫---|
hu mmesbe upurueit	--⌫---|--⌫|------|
c umchescu n mesterauer	-⌫-|------⌫|-----|---|
et ordeine sonte stament	-|------|--|--⌫------|
executu rchoisietprent	-------⌫|-----|-|----|
d esesamisenen gletere	-⌫|--|---|-|--⌫------|
k e sene t poer unt defere	-⌫|--|-⌫|---|--|-|---|
sessor s n	--|---⌫||
adpas mis en	-|--|--|-|
kedames suntakatebi	-|----|---||-----|
leson mantelaculu r b ise	-|--|-----||----⌫|-⌫--|
etsatablette lurde uise	-|-|-------|--|--⌫---|
mariolefete	------|---|
e tlapassiu npurtrete	-⌫|-|------⌫|-------|
de seint t h omaslemartire	-|----|-⌫-⌫---|-|------|
e deargentfula	|-|-----|-|-|
temoinuer tuzenm eintmi r a cle	-----|--|--|-|-⌫---|--⌫-⌫-⌫--|
mede cineuntplusk e triacle	----⌫---|--|---|-⌫|------|
puisafebliril se sent	---|------|-|-|---|
demandei ll e noilliement	------|-⌫||-⌫----------|
tutp lenerement	--|-⌫---------|
kantkea cresti enapen t	---|-||------⌫-|----⌫|
quantli pr oueres estu en uz	----|-|--⌫-----|--|-⌫--⌫-|
cumc ustumeestbienreuestuz	--|-⌫-----|--|---|-------|
entresesmeinsp ristla	----|--|----|-⌫---|-|
d ebuchela be seetd esoi lz	-⌫|----|-|--⌫-|-|-⌫-|--⌫-|
lespl aieskesunt	--|--⌫---|-|---|
pent urees	----⌫----|
dese slermes suntarose es	-|--⌫|-----|---|-----⌫-|
fremi stgemist pluresuspir e	-----⌫-|-----|----|------⌫|
etdis tsauueu r	-|---⌫|------⌫|
fist ducefran chise	---|---|----⌫----|
suffrirteumortett euguise	------|--|---|-|-⌫-|----|
pu rnuspecheurscupables	--⌫|--|-------|-------|
ken s on poer	|-|-⌫-|---|
auoit d iabl es	----|-⌫----⌫-|
si duz qu ersi	-|--|--⌫-|-|
duce pe itrine	---|--⌫-----|
du sancc uralfeistesrosine	-|---|-⌫---|------|-----|
duces main sduzpezpe rcez	----|----⌫|--|--|--⌫---|
descl ousfe rins	--|--⌫--|--⌫---|
feresan gl ez	---|---⌫--⌫-|
char duc etendre etb ele	---|---⌫|-----|-|-⌫--|
pu ceuset fiz de	--⌫---|-|--|-|
kipurnusfutant flaele ́	-|--|--|-|---|------⌫|
etde scurgesturmente ́	-||-⌫------|--------⌫|
dunt l e s nuz	---|-⌫-⌫|--|
etles cureies	-|--|------|
uermeilliesfunt et	----------|---|-|
indes re ies	----|--⌫--|
laroseet la	-|---|-|-|
belistlabla nc h urtant estnette	-----|-|---⌫--⌫-⌫-|---|--|----|
leoscurm und	-|----|-⌫--|
tute nlumin e	--|-⌫------⌫|
a cor une kie st deesp in e	|---⌫--|-|-⌫-|-|---⌫--⌫|
deos plaies	-|-|-----|
dunem edeci ne	---|-⌫-----⌫-|
etla sante ke ianef i ne	-|-|----|-|-|-|-⌫-⌫-|
dreizestke	----|--|-|
ch e scunrecorde	--⌫-⌫---|------|
u ostreg rantmisericorde	-⌫----|-⌫---|----------|
cele franchise gra ntnusface	---|--------|---⌫-|--|---|
kameiparti	||--|----|
de ines tagrace	--⌫---|-|----|
et ke pr e ngecest s acr ement	-|-|--⌫-⌫--|---|-⌫---⌫----|
a mu nc orss auue ment	|--⌫|-⌫--|-⌫----⌫---|
atauntest ilenuliez	|----|--|-|------|
etdemurir tut	-|-|----|--|
requ ert dunctute	----⌫--|---|---|
uerlinulmaltalen t	--|-|--|--------⌫|
si acun de usparau enture	-|---||-⌫-|--|--⌫-----|
par ireu stfet eu	--|--|-⌫-|--|-|
ke dreiture	-|-------|
tut ausif ist atute	--|---|-⌫--||---|
curuzpar dunebone ment	----|---⌫---|----⌫---|
et alc uuentdecant erbire	-|-|-⌫----|-|----⌫-----|
pardune ilrancur et	------|-|-----|-|
si parumbl e cunfessiun	-|--|----⌫|---------|
facensati sfa cti un	----|----⌫---⌫---⌫-|
ifu desoisy	|-|-|----|
ki distsirepurdeu mercy	-|---|---|--|--|----|
estuostre amurdenuspartir	--|-----|---|-|--|-----|
e let uousnussigerpir	|--|---|--|-|-----|
nenilabbesmunquerremeint	----|----|--|---|------|
ou uusetmamur ketutueint	-|--|-||---|-|--|----|
m es cist n entendentpas lemot	-⌫-|---||--------|--|-|--|
a tant repose	|---|-----|
etle soilz	-|--⌫|---|
etfetunsemblant	-|--|-|-------|
fueufor le transir	-|-|--|-|------|
sanzralleret sa nzfre mi r	---|-----|-|--⌫-|---⌫--⌫|
gendr epal lir ubucheuurir	-----⌫|---⌫--||----|----|
en pesmurut	-|--|----|
kenp esuesquit	|-|-⌫-|------|
de pes enpespar	-|--|-|--|--|
dreittransit	----|------|
a dsemblance	-⌫|--------|
estenc h ange sanzgreuan ce	--|---⌫-⌫---|---|------⌫-|
q uant liseintcorsfudeuiez	-⌫---|-|----|---|-|-----|
pa r cunsel	--⌫|-----|
delue ntr efufetuuer ture	--|--⌫---⌫|-|--|----⌫---|
etquantkifu ensepulture	-|----|||-|-|--------|
fuenter é a so ysy	-|-----⌫-||--⌫--|
e t duntfuso ndit es clarci	-⌫|---|-|--⌫|--|--⌫-----|
ki ases am isditaueit	-||--|--⌫-|--|----|
k e iloc sen	-⌫|---|--|
q uerremeindreit	-⌫--|----------|
ceo fusifet k elep o rter	--|-|-|--|-⌫|-|-⌫-⌫---|
le sporte urs meins dut	--⌫|-----⌫--|----|--|
kegen tdient dela cun tree	-|---⌫|----|-|-|---⌫---|
plusiad du n eiurnee	---||-||-⌫-⌫|-----|
delabe yedes oy sy	-||---⌫-|-|-⌫--⌫-|
a labeyede	||----|-|
ucouint leseint	|-----|-|----|
cors porter	---|-----|
cu moi asauantcunter	--⌫|-|-|----|-----|
enteumanereseint	-|--|-----|----|
passa lesperilsdecomund	----|--|-----|-|-|---|
uesquitnettement	------|--------|
tan ts eintement	---⌫|-⌫--------|
a d iset timedeseptembr	|-⌫----⌫---|-|-------|
kalendes ibienuousremembre	------|-⌫|---|---|-------|
etlendemein fe ts e in te e glise	-||-------|--⌫|-⌫-⌫--⌫-|-⌫----|
safesteacustumeasise	-|----||------|----|
cumcus tumeestleuentlecors	--|---⌫---|--|-----|-|---|
n et tementded enz etd e hors	-⌫--⌫-----|---⌫--|-|-⌫-⌫---|
re u estu est	--⌫-⌫---|--|
auen antment	----⌫------|
cuma erceue sk eapen t	--||------⌫--⌫|----⌫|
s ons el estfreintkeneseit	-⌫-|-⌫-|--|-----|-|-|---|
fa uc inefete	--⌫--⌫--|---|
darein enselélettre	-----|-|----|-----|
faz gemaheu enli u r emettre	--|-|----|-|--⌫-⌫-⌫|-----|
purco quei ke ni sescri ure	--|-|---|-|--⌫|-----⌫--|
lali ploutl aimisenliure	-|-|----||-|--|-|----|
kep urueirpuise hemtraire	-|-⌫-|---|----|--|-----|
cumseintedmund fu debonere	--|----|-----|-|-------|
lisergantou	-|------|-|
leslettres	--|------|
parlu rseignurutr amis	--|--⌫|------||--⌫---|
et lendemein	-||-------|
si bien record	-|---|-----|
fuportélecors mort	-|-----|-|---|---|
re uestuzh onestemen t	--⌫-----|-⌫---------⌫|
nu ssuent s i gr ant	--⌫|----|-⌫|--⌫--|
cumueisétunc ab ennesuns	--|------|--||-⌫-------|
si urelespr ocessi u ns	--⌫--|--|--⌫------⌫-⌫-|
plusloinzeste itporte ́	---|----|----⌫-|-----⌫|
c ruz est lipople	-⌫--|--|-|----|
russeusen cret ine	------|-|----⌫--|
kant ploie uerse	---|----|----|
etpasne fine	-|--|-|---|
p ople n e de uen irc esse	-⌫---|-⌫|-|---⌫-|-⌫---|
tregrant fu lapresse	-------|-|-|-----|
les unsde sturbent autrieire	--|--|--⌫-------|----|---|
plusi agent kaunefe ire	---|||---|||--|--⌫--|
cistlabere	---|-|---|
desoilzdeb uche	--|---|-|-⌫---|
l oingestla	-⌫---|--|-|
ceocrei entkemuntlur uail le	--|----⌫--|-|---|--|----⌫-|
si t ucher	-|-⌫----|
p uissentuerle	-⌫------|--|-|
etchescunson	-|------|--|
cler uisre garde	---|--|--⌫----|
purla pressel i unliautre tarde	--|-|-----|-⌫|-|-|----|----|
femmes ma la d esenfanz portent	-----|--⌫--⌫-⌫-|-----|------|
lesautr es	--|----⌫-|
confortent	---------|
kar tuzsententale g ement	--|--|------|---⌫-⌫----|
ke liprientententiuemen t	-|-|-----|------------⌫|
lifebl esie st uenuz	-|----⌫-||-⌫-|----|
fo r cerecou reet uert uz	--⌫-⌫-|-----⌫-|-|----⌫-|
et kimalade ad sante	-|-|-----|-|----|
etki dolentreuentheyté	-|-|-----|-----|-----|
nenestnus kelecors	|-|--|--|-|-|---|
kele znerecu rt	-|--⌫|-|----⌫-|
li abbes uentdepunteni	-|----|---|-|------|
c untreleco rsetmuz oue li	-⌫----|-|--⌫-|-|--|--|-|
dereligiun	-|-------|
processiun	---------|
prestres etclers reuestuz	-------|-|----|-------|
n iest linumbres se uz	||--|-|------|--⌫-|
nisliuilain keterre gaine	--|-|-----|-|----|----|
etlipastur delamu ntaine	-|-|-----|-|-|--⌫-----|
laburetlurcure	----|-|--|---|
acurent nequident	------|-|------|
ueniralacumpaignie	----||-|---------|
kecit seintporteeguie	-|--|----|----||---|
tant i ad iapresse sanznumbre	---||-|-|-----|---|-----|
keche scun autriencumbre	-|---⌫---|----|-------|
ketuzioientl e	-|--|-----|-⌫|
ki a franceadfetsi	-||-----|-|--|-|
grant honur	----|----|
de franceeimentla cur une	-|-----|-----|-|---⌫--|
keafranceteupresent dune	-||-----|--|------|---|
mutloentd eu kealuriur	--|----|-⌫-|-||--|--|
grantéluradt e uconfess u r	------|--|-|-⌫-⌫|-------⌫-⌫|
bienestfra nceteufra nc hise	---|--|---⌫--|--|---⌫--⌫---|
e nnos iurssih au tas ise	-⌫|--|---|-|-⌫--⌫|--⌫--|
li a bbeskiueitsi	-|-⌫---|-|---|-|
grant rute	----|---|
degent garniemut ad	-|---|-----|--|-|
et pour grantunke nauoit ma ire	-|---|----|---||----|--⌫--|
kilperditsih au t sentuaire	|-|-----|-|-⌫--⌫|--------|
e tketoleitlifu st lecors	-⌫|-|-----|-|--⌫-|-|---|
karnauoitgar antie	--||----|---⌫----|
les c lerslerceueske e tly	--|-⌫---||--------|-⌫|-|
parol eau cors etdista mi	-----⌫|-|---|-|---|-⌫-|
tues unmoineobedient	-|-|-|----|-------|
ieteinsa besa	-|----|-⌫--||
comanz eta mun desir	-----|-||--|----|
entendreetobeir	-------|-|----|
biensaike tu g ra ntsire	---|--|-|-|-⌫--⌫-|---|
erceueskedecanterbire	--------|-|---------|
mestrediui ns ethaut prelat	-----|----⌫-|-|---|-----|
tuteng leterreprimat	--|---⌫------|-----|
etentantu us por treu erenc e	-|-|---|-⌫-|---⌫|---⌫-----⌫|
subiectiun obedience	---------|--------|
nepurquantpus k eesunmoine	---------|--|-⌫|-|-|----|
comand ke tu n iuel	-----|-|--⌫|---|
uous am onest com andetpri	---|--⌫----|---⌫--|-|--|
kesi to s tamitei desc ouere s	-|-|--⌫-⌫|--|--|----⌫-----⌫|
partensmi racles eto uere s	--|---|--⌫-----|-|-⌫----⌫|
ei nzprike tesuert uz	--⌫-|--|-|--|----⌫-|
ta ntpas se	--⌫-|---⌫-|
ceste presse	----|-----|
seiesapunteni	----||------|
detenset acu illi	-|---|-|---⌫---|
enseela la	------|-|
ky apellee est littere	-|------|--|------|
li abeskiest endutan ce	-|---|-|--|-|-----⌫-|
keenauenist mescheance	-|-|------|---------|
de r auineu de larec in	-|-⌫----||-|-----⌫-|
parquei confun du	--|---|------⌫-|
tre bleresunen	---⌫--|----|-|
pur q ueilecors sichalenga	--|-⌫--|-|---|-|-------|
aue nufu apu nteni	---⌫-|-||--⌫----|
k a ntseintedmund isuiurni	-⌫-⌫-|----|-----||------|
chapitireentra	--------|----|
c uuentilser muna	-⌫----|-|---⌫---|
ala parclosede u serm u n	|-|-------|--⌫|----⌫-⌫|
grantd euo tiun	----|-⌫---⌫---|
k e esbi enfez es pir itable	-⌫|-|--⌫----|--⌫---⌫-----|
pareutdemoin epardurable	-----|------⌫|---------|
li abb esou lecuuent	-|---⌫-|-|-|-----|
ceo bo nem ent	--|--⌫---⌫--|
d untliabbe spar	-⌫--|-|----⌫|--|
enu eisure	---⌫-----|
son moi ne letintpus cel	--|---⌫-|-|---|--|--|
etlape lla	-||---⌫--|
keilchalengeobedience	-|-|-------|--------|
uneautreres unditlura	--|----|---⌫-|--|--||
kan tseint thomasi	---⌫|----|-----||
amis esdel a me su n	|---⌫-|-|-⌫|--⌫--⌫|
seig nursdist	----⌫---|---|
ilbienestr esun	-|---|--|-⌫---|
aydespendu	-|-------|
keacuniur uus	-|---|--|--|
seitrend u	---|----⌫|
sa chezk eauen dr a	--⌫---|-⌫|----⌫--⌫|
keu npro hem	-|-⌫|---⌫--|
mensuccessur	--|--------|
pleneremen tpar safra nc hise	----------⌫|--|-|---⌫--⌫---|
aqu itera tute	---⌫----|---|
coe st c estu ikege	-|-⌫-|-⌫----⌫|-|-|
cestuicume nost reprenge	-----|---|----⌫-|-----|
cestuirendra ueraieme nt	-----|-----|--------⌫-|
k ea sein tthoma s rendreapent	-⌫||----⌫|-----⌫|-----|----|
seint t homasde	----|-⌫----|-|
cestuidist	-----|---|
k a ue n irfuc onu s promist	||--⌫-⌫-|-|-⌫|--⌫|------|
eit engle te rre le	--|-----⌫--⌫--|-|
et fra nceeneit	-|---⌫--|-|--|
lesen de si r	-|--|--⌫--⌫|
d eus keless en sau ance	-⌫--|-|--|-⌫--⌫|--⌫---|
duc onfessur	-|-⌫-------|
aseisifrance	|----|-----|
etestd reiz keil	-|--|-⌫---|-|-|
leaument ladette	-------|-|----|
auan tdite	----⌫|---|
laterceresunk ifu	-|----|----|||-|
qua ntmaladeiuta	---⌫-|-----|--||
so n corsco s euenttui d e si	--⌫|---|-|-⌫----|--|-⌫|-|
deuisa ilapunteni	-----|-||------|
m etl abur etp eine	-⌫-|-⌫---|-|-⌫---|
deeuf ereke	-|-|-⌫--|-|
deus ordeine	---|------|
etdunteitils igran t	-|---|--|-|-⌫|----⌫|
decelpechepardun	-|--|----|-----|
pren g e li seinzuengeance	----⌫-⌫|-|----|--------|
du ntfeiten airemembr ance	--⌫-|---|-|-|-------⌫---|
purcokil mi s t	--|-||-|--⌫-⌫|
feitmettre	---|-----|
al cors bonegarde	-|---|---|----|
ets el e nuitnusne someile	-|-⌫--⌫|---|--|-|------|
ke neue rsai leu	-|-|--⌫----⌫-||
ch anteuueille	--⌫---||-----|
matin fuporté auant	----|-|-----|----|
me sli popl es parf usi grant	--⌫|-|----⌫-|--|-⌫|-|----|
kele cor s uerpunteni	-|-|---⌫|--|------|
ag rant d euotiun sui	|-⌫---|-⌫------|--|
k a peine lepus themcrere	||----|-|---⌫|--|----|
ke ueriteuousistretreir e	-|-----|------|-------⌫|
d esserg anzmuzg r ant partie	-⌫-|----⌫--|--|-⌫-⌫--|-----|
abastun slapre ssehastie	|------⌫|-|---⌫--|-----|
a colursune ma isun	|-----|--|--⌫---|
keatemp res est mansiun	-||----⌫--|--|------|
couint l anuitherberger	-----|-⌫|---|--------|
l areposer	-⌫|------|
ifumusdescendu	|----|-------|
etacuil l ie z	-|-----⌫-⌫--⌫|
etbienuenu	-|---|---|
comencent aconseillier	--------||----------|
licoman ders	-|-----⌫---|
e tsitemp lier	-⌫|-|----⌫---|
nurentgrantpece	|----|----|---|
einzs untentré	---|-⌫--|-----|
e nm alpu rpos	-⌫|-⌫-|--⌫---|
kelecorsuoleienttoli r	-|-|---|-------|----⌫|
etla retenir	-|-|------|
hunt une resun	---|--|----|
mesnepoetau er f oisun	--|-|---|--⌫-|-⌫----|
quan tf udepunteni	----⌫|-⌫|-|------|
ue rs soisy	--⌫-|----|
passa par ci	----|--|-|
side ma ndakienf ust sire	-|--⌫--⌫--|-|-|-⌫--|---|
d ecesm aisuns etliplustd ire	-⌫|--|-⌫-----|-|-|----|-⌫--|
deutemp ledel ifurespundu	--|----⌫-|-|-⌫|-|-------|
ciuorayarenir	-|----|-----|
ci herber ger et cigisir	-|------⌫--|-|-|----|
ceofuuerai e profecie	--|-|-----⌫|-------|
lecor sn e lar rum mie	-|---⌫|-⌫|---⌫--|--|
desiseint home	-|-|----|---|
la parol e	-|-----⌫|
tenezu ousdu ncufause	----|-⌫--|--⌫-||----|
ciremeind rasul um sondit	-|-------⌫-|---⌫-|--|--|
et uouse tles autresdescu mf it	-|---|-⌫|--|-----|-----⌫--⌫-|
li a b besli respuntami	-|-⌫-⌫--|-|------|--|
et uous t empl ers n estmiesi	-|---|-⌫----⌫--||--|--|-|
bie n ditkeunes ulen uit	---⌫|--|-|--|-⌫--|-⌫--|
cid e mur ei t etceldreit	-|-⌫-⌫---⌫--⌫|-|--|----|
unkes senten t eteu nefu	----||-----⌫-⌫|--|-|-|
ke c ifustposeze n sa rcu	-|-⌫|---|----|-⌫|--⌫--|
pens au ncuez cilescrit	----⌫|-⌫-|--|-||-----|
du testament keco	-|--------|-|-|
n usdi s t	-⌫-|--⌫-⌫|
mesnuslecorsemp orterum	--|--|-|---|---⌫------|
a pun teni lale nterr u m	|---⌫---|-||-⌫-----⌫-⌫|
apertement	---------|
si euestfetcerteinemen t	-|-|--|--|-----------⌫|
etdels eint uengance	-|--|-⌫---|-------|
ensentirez grefsan zdut an ce	-|-------|---|---⌫|---⌫--⌫-|
li comanderskifu desc ret	-|--------|-|-|----⌫--|
seignurs d itpas neuousagref t	-------|-⌫-|--|-|---|-----⌫|
nedeuezpase nmerueil lier	-|----|--|-⌫--------⌫---|
sigedesir a c est maner	-|-|----||-⌫--|----|
remaine sihau t tresor	------|-|---⌫|-----|
kaset uautp lusk arg entetor	|---|---|-⌫--||---⌫--|-|-|
napent au ous	|----||-⌫--|
n esei n tcu ruce r	-⌫|---⌫-⌫|--⌫----⌫|
cumdeu le uou tet	--|--|-|---⌫|-|
li se inz si	-|--⌫--|-|
seituol e r p arf urni	---|---⌫-⌫|-⌫---⌫---|
liabbesmutdu ceme nt	-|----|--|--⌫----⌫-|
merciequantilentent	-----|----|-|-----|
nepurqu antuncor eadd ute	-------⌫--|-----⌫|-|-⌫--|
muteffreezfu lanuittu te	--|------|-|-|---|--⌫-|
niadnu lzkepurco n eu eille	||-|--⌫-|-|--|-|-⌫|-⌫----|
keneurechantuueillie	-|-|--|----||------|
sitost cum acun aparcut	-|---|--|---|------|
ue rslorient ke iurpa r ut	--⌫-||-----|-|--|--⌫-⌫-|
enpor téf ulitreseintcors	-----⌫--|-⌫|-|-------|---|
h astezsuntkei ssussunthors	-⌫----|---|-|-⌫---|---|---|
mes pais an st ant il acurent	--|----⌫--⌫|-⌫--|-|------|
le co rs uest u kihonurent	-|--⌫-|----⌫|-|-------|
ke neuithem unc	-|-|--|--|--|
esthostb ani	--|---|-⌫--|
fus tpoplesauni	---⌫|-----|---|
keestroiteuou sfustla ru e	-|-------|---⌫|---|-|--⌫|
la dr eite ueie auumtenue	-|--⌫---|---|---|----|
alt ierziur li abbes nusmeine	-|-⌫---|--|-|----|--|----|
tutdr eitasam esundemeine	--|--⌫--||-|-⌫---|------|
kenussuistmut ertla rut e	-|--|----|--|--|-|---⌫|
dunc tuziurz en	---|--|---|-|
pur lanoiseetfameetbr ut	--|-|----|-|---|-|--⌫-|
kec ilfir ent ke siuentt ut	-|-⌫-|---⌫--|-|-----|-⌫-|
kenus auenist desturbance	-|--|------|----------|
det ute p arz	-|-⌫--|-⌫--|
mescheance	---------|
mes nepurafo r s bien	--|-|---|--⌫-⌫|---|
kedeusuou drabie ngarantir	-|---|---⌫--|---⌫|-------|
ap untenisumesuenu	|-⌫-----|----|---|
aho n urgrantil receu	|--⌫-⌫-|----|-|----|
ap ressa mort fuco iu r q uart	--⌫--|-|---|-|-|--⌫|-⌫---|
k enifu mesnus sembla	-⌫|||--⌫--|--|-----|
iur duncseint clemen t	--|---|----|------⌫|
fur ent asemblégent	---⌫--|-------|---|
euesk esabbesetmoi nes	-----⌫-|----|-|---⌫--|
pr iursp re laz clersetchan oines	--⌫---|-⌫--⌫--|----|-|----⌫----|
lecors fue nsarc u posé	-|---|-|-⌫|----⌫|----|
grantsolempnite	----|---------|
asunieetluminarie	|----|-|--------|
atutl honurkem	|--||----||-|
uli seinz estenmemoire	|-|----|--|-|------|
abon dreitkar	|--|----|--|
lalm eesten	|---⌫|--|-|
co p rou ent	-|-⌫---⌫--|
kedeudel cel ad	-|--|--|--|-|
fe ta t uz	--⌫||-⌫-|
b onquerhon urent	-⌫-|---|---⌫----|
