en un iorgedepresseizde	-|-|--|-|---------|-|
f utahiers oikilouilai nso ides pitantplusamat	-⌫-|----|-⌫-|-|-|-----⌫|--⌫|---⌫-----|---|---|
q uarcomfaizca scunsahier soim eismesatapist	-⌫--|--|---|--⌫----|----|--|-⌫-----|------|
c eproe uentlesap orteies laidenges.	-⌫|----⌫---|--|--⌫------|--------||
quare nsicomliorg a ilhousdes honorsensis	---|-⌫--|--|-|---⌫-⌫-----|--|-----|---||
esioissent a	---------||
lafoizli hu mlede lurde sp itement.	-|---|-|--⌫--|-|--|--⌫--⌫------||
et cantiluoient soies t reu i lzeten	-|---|-|-----|--|--⌫-⌫-|-⌫-⌫-|-|-|
estrangescu ersporuec o ntilioiecaril	--------|--⌫--|-----|-⌫-|-|---|--|-|
entenden tcest i ugemen testreco nfermeit cui	--------⌫|---|-⌫------⌫|----|--⌫-------|--|
de soi et ilourentahiers oimeisme s	-|--|-|-|-----|----|-⌫-|------⌫|
a lsicomgeconoisciz	-⌫--|--|-|-----|--|
hom futg ranzdeforse nmira cles mais	--|--|-⌫---|-----|-⌫|----⌫---|---|
p lusgran z d euenzenhumili teit	-⌫--|----⌫|-⌫----|-|------⌫---|
marcell in sal simenthomdon ora ble uieilfut eueskes d e	-------⌫--⌫|--⌫-----|--||--⌫---⌫--|--|-|--|------|-⌫|
cel emeis meglis eanch onitan e cuialem entli	---⌫|----⌫-|----⌫|----⌫------⌫|--|----⌫--|-|
malzdespiez demultgrantdolo rauoi tcontr ait et	---|--|---|-|---|----|----⌫|----⌫|-----⌫--|-|
sam aihnie l o porteuent en tr elu rmainsseen	-|-⌫-----|-⌫|--------|--⌫--⌫|--⌫|----|-|-|
alcu nliumestiers astoit.	----⌫|--|-------|-----||
maisen uniorce lemeismeciteiz anchonitan efut	---|-|-|--|--⌫-|-----|-----|----------⌫|--|
e sprisepar lacolpe de no n caloir.	-⌫-----|--|-|----|-|--⌫|-----||
et quanteleforment	-|----|--|------|
ard oitdunkescorurentil trestotpar ke il lo fou	---⌫--|-----|-------|-|------|--|-|-|-|--|
e s taindero ient .	-⌫-⌫--------⌫---||
m ais c anti l	-⌫--|-⌫--|-⌫|
gettoientlaigu e	--------||----⌫|
laflammecreissoit e nsik	-|-----|--------|-⌫--||
eleiaastoitueuemanacierlodestruisemen td e	--|-|-----|---|-------|-|------------⌫|-⌫|
tot loborc.	--|-|---||
etquantli fousen u ai ssoitcascuns	-|----|-|---|--⌫-⌫--⌫----|------|
liusplusprochiens	---|---|--------|
as oiet i a	|-⌫-|-|-⌫|
otdeg uast eit nient peti te p artiedelbor cetnuzn	-|---⌫----⌫--|----|----⌫-|-⌫----|--|---⌫|-|--||
ipout enco ntresteirdunkesuintl i ue skes	|---|----⌫--------|-----|---|-⌫|--⌫---|
ame neizentre mainsetil	---⌫---|----|----|-|-|
destrainz de	--------|-|
necessiteit deperilh	----------|-|-----|
coma ndataceaz desamaihnie	----⌫---||---|-|-|------|
ki lopo rt e rentdisanzmetteiz moi encon trelofou.	-|-|--⌫--⌫-⌫---|-----|------|--|-----⌫--|-|--||
laqueilechosefutfaiteensi.	-|-----|----|--|----|---||
misen icel	--|-|---|
liuutote laforce de	--||---|-|----|-|
la flammesembl euet	-|-----|-----⌫---|
encontreluiu eni r.	-------|--|-⌫---⌫||
du nkescomenz at pa rmeruilhou se	--⌫---|------⌫-|--⌫|---------⌫-|
manier e liarsinsens oi	------⌫|-|-----|-|-⌫-|
meisme retorn eiralsi c om ilpar retornure	-----|------⌫--|---|-⌫-|-|--|--------|
desaraui ne	-|-|----⌫-|
cri a stke ilne poi s tlouesk etrespasseir.	---⌫-⌫-|-|-|-|---⌫-⌫|-|----⌫|----------||
et ensifutfaitk elafla mm e	-|---|--|---|-⌫|-|---⌫--⌫|
de la rsinencel	--⌫|-⌫---|-|--|
ter me refreneieensoimeismere froidatetnosat	---⌫-|--------|-|--|-----|--⌫------|-||---|
desenauant	--|-|----|
atoch ier alcunechosedem aison.	-----⌫--|-----|----|-|-⌫----||
pr enz tugardepieres de queilesain teit	--⌫--|-|----|-----|-|-----|----⌫---|
cefu tun mal ad e hommeseiret	-|--⌫|-|---⌫--⌫|----|---|-|
enorantlesflammesr epresseir	-|----|--|------|-⌫--------|
ge iprentgar desien a imerueilhe.	-||----|---⌫-|-|-|-⌫|--------||
li uraconterai ora toialcune chose	--⌫|---------|-||--|-----|----|
cuigesai parloracontem en t	--|-|--|--|-|--------⌫--⌫|
etdel honorableh ommemaximienloue skeetde laurion	-|--|--------|-⌫---|-------|-|--⌫--|-|-|------|
louie lh armoine	-|---⌫--⌫-|----|
cui tuconoisliqueill iunset li	--|-|-----|-|----|-⌫|--|-|-|
altresuit i us kes aor.	-----|--|-⌫--⌫--||-||
liqueizloistas auoir	-|----|----||-⌫----|
laurions de lsaintism eh ommeanastais efu tnurrize n	-------|--⌫|--------⌫|-⌫---|--------⌫|--⌫|-----|-⌫|
ce l monstier kide ios tel ob orcnep esinesubpento nia	--⌫|-------|-|--⌫---⌫-|-⌫|-⌫--|---⌫----|--------⌫--|
est ap eleiz .	--|--⌫----||
liqueiz nestpasmerueilhe	-|----||--|--|--------|
anastaises donorableuiefut ioi nza ssidu e iement	---------||-------|--|--|---⌫-|-⌫-----⌫-⌫-----|
albaronnon n oso lo pr ouost de l mo nstier ki el	-|----|---⌫-⌫--|-|--⌫----|--⌫|--⌫-----|-|-|
montsoract is estmis etpar	---|------⌫-|--|--|-|--|
uoi sineteitdeliuet parla	---⌫-------|-|--|-|--|-|
gr ande cedes constu m esetparlesestuidesdes	--⌫----⌫-|--|------⌫-⌫-|-|--|--|-------|--|
non nosus uiuoitde soz unmult asprepe re de	---⌫----|-----|--⌫--|-|---|----|--⌫-|-|
so nmonstiermai slesc o nstumesd e ce lui	--⌫|-------|---⌫|--|-⌫-⌫------|-⌫|--⌫--|
soff ro itiltozparm erueilhousepatience.	----⌫--⌫-|-|--|--|-⌫----------|-------||
e t ensiparsasuableteita s toitdes soure	-⌫|---|--|-|---------|-⌫-⌫---|---⌫----|
le sfreres com	--⌫|-----|--|
souentlo coroceme nt de l pere suaio itdesahumiliteit.	-----|-|--------⌫-|--⌫|---|-----⌫-|-|-|---------||
tantkesesmonstiers	---|-|--|--------|
fut mis enlasourainehaltece d	--|--|-|-|-------|------||
unmo n tnulepl aing en astoit ao uert e	-|--⌫-⌫|---|--⌫----⌫||-----|--⌫----⌫|
por ahaneiria	--|------|-|
s oi tcekeunpetitcortil	-⌫--⌫|-|-|-|----|-----|
m a isunstre scorz liu sell e izdelmo ntastoi t	-⌫-⌫-|--|---⌫|---|---⌫|-|-⌫-⌫-|--|--⌫-|-----⌫|
forscreguz l oqueilpo rprendoitl a	---|-----|-⌫|----|--⌫--------|-⌫|
pesantume d	--------||
u negrande	-⌫-|-----|
pierekin at ureilmenteissoit .	----|-|-⌫--⌫--------|------||
par unio rqu ant no nnosu s li	--|-|--⌫|--⌫--|--⌫-----⌫|-|
honorable s hompenseu etkecil meismes liuspoist	---------⌫|--|------⌫-|-|--|------|---|----|
estrecouenable su eazpornorrirles condimenzd esiotes	----|---------⌫|-⌫--|--|-----|--|--------|-⌫-|----|
selapesantume de c ele pie r eneltenist	-|-|--------|-|-⌫--|---⌫-⌫|-||-----|
dunkesui nten son	-----|--⌫-|-|--|
c oragekec incan tepeir	-⌫----|-|-⌫-----⌫-|---|
deb o s nepoisse nt	-|-⌫-⌫|-|------⌫-|
p asmouoir	-⌫-|-----|
celeme is mepesantume.	---|--⌫--⌫-|--------||
etquantde lhumaintrauailfutfai tedesperancedunkessoi	-|----|--⌫|-----|------|--|---⌫-|---------|-----|--|
tor nataldiuinco n fort etpar	---⌫--|-|----|--⌫-⌫---|-|--|
lonuitreneilsi lenc es oidonat	-|---------|--⌫----⌫|-⌫-|----|
et cantfaitefut	-|---|----|--|
la matineie dunkesuinrentlifrereacel	-|-------|-----|------|-|----||--|
meismeli usitrou erent la	-----|--⌫|-|----⌫----|-|
pesantumede si grande	--------|-|-|-----|
gra ndece auoir pluslonzaleitde celmeis me	---⌫----|----|---|---|----|-|--|----⌫-|
liu et deson alementlarg espa s cea zfreres auoir	--|-|-|--|------|----⌫|---⌫-⌫-|-⌫|-----|----|
en unaltretens e ssime ntquant	-|-|----|---|-⌫-----⌫-|----|
cilmeismeshonorableshom lauoit leslampes	--|------|---------|--|-----|--|-----|
l oratoiresi chait unedesesmains	|-------|-|----|--|-|--|----|
l a queilebrisi e	-⌫|-----|-----⌫|
enplu isors	-|---⌫----|
partiessali t .	------|----⌫||
kicr emanz latresgrande forsenerie de lpe re	-|--⌫----|-|---|-----|---------|--⌫|--⌫-|
de lmo nst ierc o l hitt ot eslespiecesdela	--⌫|--⌫---⌫--|-⌫-⌫-⌫--|-⌫--⌫-|--|-----|-|-|
lampesiles mist deu antlalteiretsido nat	----|-|--|---|---⌫--||-----|-|-|--⌫--|
soi en orison	--|-|-----|
o dgrief s ospi reme nt .	-⌫|----|-⌫----⌫----⌫-||
etquantil a uoit l eueitson chie f	-|----|-|-⌫---|-⌫----|--|----⌫|
delorison sitroua t	-||-----|-|-----⌫|
sainelalampe	----|-|----|
laqueilecremanz auoitcolhieparpieces .	-|-----|------|----|-----|--|-----||
etens i endousmiracles siuit le s	-|---⌫|-|---|-------|----|--⌫|
uertuz dedous pere s loist a sau oir	-----|-|---|----⌫|----||---⌫--|
en lapes an tumede	-|-|---⌫--⌫---|-|
lapiere lofai t	-|----|-|---⌫|
de gregoi r ekimeutlo montenlo	-|------⌫-⌫|-|---|-|---|-|-|
restorementde la	----------|-|-|
lamp ela uertut	----⌫|-|-----|
kilo bri siétcalic erestablit a la	-|-|---⌫----|-----⌫|--------||-|
promieresanteit.	-------|------||
al si com ge	--⌫-|--|-|
uoi noue a zm iraclesdes	--|----⌫-⌫|-⌫------|--|
anciense xemples.	------|-⌫------||
uues tud unkesen	---|-|-⌫----|-|
den onnosiconoistrealcunechoseet de	-|-⌫-----|--------|-----|----|-|-|
l as iwancehelyseu	-⌫|-⌫-----|------|
geluuelh et m ultd esir anment loconuoite .	-||----|-|-⌫--|-⌫----⌫-----|-|-------||
en uniorc a ntl iuiez oile s d efali tel	-|-|--|-⌫-⌫-|-⌫|---|----⌫|-⌫-----⌫|-|
monst ie retialiten sastoitpres	-----⌫--⌫|-|-|-|---⌫|-----|---|
decolhi r lesoliuesmaisnuz fru iz n	-|-----⌫|--|-----|---|--|---⌫-||
a parisso it es	-⌫-------⌫-|-|
oliues dun ke s semble ue talpe re	-----|---⌫--⌫|------⌫--⌫|-|--⌫-|
del monstier	--|-------|
ke li frere iroi entde forslomonstierp or	-|-|----|----⌫--|--⌫---|-|-------|-⌫-|
doneir luroeu res enuiron d une p art	-----|--|---⌫--|------||--|-⌫--|
etdaltreporcoil hir les	-||----|--|----⌫--|--|
oliuespar ke	-----|--|-|
lowierdelu roeureke kesoit	-----|-|--⌫|----|--⌫-|---|
doileporteroiental monstie r .	|---|----------|-|-------⌫||
la queilechoselihomd e l sanio r	-|-----|----|-|--|-⌫-⌫|-----⌫|
nonnosusodgrant h um iliteit defen dita	-------|-|----|-⌫--⌫------|-----⌫--||
faireparkeli freree issant	----|--|-|-|----|-⌫-----|
delmon s tierquan t il querroientlesgaangesdoile	--|---⌫-⌫---|----⌫|-|---------|--|------||---|
nesoffrissentlesdamag esdes	-|----------|--|-----⌫-|--|
ta n tkees arbresdel abies embleuetestrepoi	--⌫-⌫|-|-|-----|-||---|-⌫-------|----|--|
d oliu essilescoman datcolh iretmettre	|----⌫-|-|--|-----⌫--|----⌫-|-|-----|
elpre soiret	-|---⌫---|-|
loileia soitceke peti t enpoistei ssir	|---|-|---|-|-|----⌫|-|----|--⌫---|
kelom loportast a soi.	-|--|-|------||--||
futfai tetlifrereprisentl oile	--|---⌫|-|-|----|------||---|
en unpetituai sse let silaporterent	-|-|----|---⌫---⌫--|-||---------|
anon nosoloseria ntde deu .	|---⌫---|-|-----⌫-|-|--||
l oquei l oileilmist is nelement deuantlalteirsi	-⌫|----⌫|---|-|---|--⌫-------|-----||-----|-|
o ratcanttuitfurenteissut fors et enapresapelat	-⌫--|---|---|-----|-----|---|-|-|----|-----|
asoilesf re r e s	|--|--|-⌫--⌫-⌫-⌫|
sicoma ndatkeilpre isse ntces t oilecui	-|----⌫---|-|-|---⌫----⌫-|---⌫|---|--|
ila uoient	-|-⌫-----|
apo rteitsilo departissentpartoz	---⌫----|-|-|-----------|--|--|
lesua issealzdelmonsti er	--|--⌫------|--|------⌫-|
espa nd a ntpetitementketuitl iuai ssel	----⌫--⌫-⌫-|---------|-|---|-⌫|---⌫---|
seroi en t ueutestremolhiétd e	-----⌫--⌫|---|----|-------|-⌫|
labe ne izond ec el	-|--⌫--⌫---|-⌫|-⌫-|
meis me oile .	----⌫-|---||
les queizisne lemen t fistc lor e alsi	--|----|----⌫-----⌫|---|-⌫---⌫|---|
c omila stoien tuu it .	-⌫-|-|-⌫------⌫|--⌫-||
mais enlaltre ior quant	---|-||----|--|----|
liuaisself urentaouertsi furenttrestot plaintroueit	-|------|-⌫----|-----|-|-----|------|----|------|
nos prouonscascuniorestreaemplieslesparol esd e	--|------|-----|--|----|-------|--|-----⌫-|-⌫|
laueritei t kidist	-|-------⌫|-|---|
oeuret ioskes	-----|-----|
aoretg eoeure .	|-|-|-⌫|----||
encelmeisme tensessi ment lihonorableshom	-|--|-----|---|----⌫---|-|---------|--|
anastaisesdecuigefis cide ssore	---------|-|--|-|--|-|--⌫----|
ramenbra nceilfut notair es d e lasainte	--------⌫--|-|--|------⌫-|-⌫|-|-----|
romai ne glise a	-----⌫-|----||
cu igeser f	--⌫|-|---⌫|
par lauteordeu .	--||-----|--||
l iqu eizdes iranz entend realsouldeulai ssatl	-⌫|--⌫--|---⌫----|------⌫-|-|---|--|---⌫---||
esc rinil elliutune	---⌫--|-|-----|--|
abieetenicelliucuiie	---|-|-|---|--|--|-|
c i deuantaiparleitki su bpentoniaesta peleit mena t	-⌫|-----|-|------|-|--⌫--------|--|-⌫-----|----⌫|
e n sainzfaizparpl uisorsans	-⌫|----|---|--|--⌫-----|--|
futdessoure c eleabieparententiue gar de .	--|-------|-⌫--|---|--|--------|---⌫-||
elqueilloista sauoirliuunegra nde	-|----|----||-----|--|--|---⌫--|
ro chedesoureapeirtetunspa rfonztrebuche menz de ssozest	--⌫--|------|-----|-|--|--⌫----|--------⌫---|--⌫---|--|
maisenunenuitq uantia litotpois sanzdeus uolt	---|-|--|---|-⌫---|-|-|-------⌫---|---|---|
reguerre doneir lestrau alzd ecelh onorablebaronanastaisesi fut	--------⌫-----|--|----⌫--|-⌫|--|-⌫-------|----|--------|-|--|
fa itede la halte	--⌫--|-|-|----|
rocheu neuoiz kipar estend ut son	----|-⌫-|---|-|--|------⌫-|--|
criatdisanz ana st ais es uien	----|-----|---⌫--⌫---⌫-|---|
et quant ilf uap eleiz	-|----|-|-⌫|--⌫----|
dunkesfurent	-----|-----|
auoc altr esetfr ereparl ur nonsuochiét .	---|----⌫|--|--⌫--|--|-⌫-|---|-------||
etap resun pet it momentsisoitaut	-|--⌫--|-|---⌫-|-----|-|--|---|
cel eu oi zki fut	---⌫|-⌫--⌫|-|--|
fors miseet	---|---|-|
si a pelatlouitis mefr ere.	-|-⌫----|-|-----⌫-|--⌫--||
lesque iles uoiz cantla	--|---⌫---|---|---|-|
congregationsaouerteme nto toie s si nefutpasdotousechose	------------|---------⌫-|-⌫|---⌫|-|-|--|--|------|----|
kelitre spassemenz	-|-|---⌫---------|
deceazk i furen t apeleitastoit aproc hiez .	-|---|-⌫|-----⌫|------|-----|-----⌫---||
gieresdeuenz poideiors a nzois	-----|-----|--|-|---|-⌫----|
lihonora bl es	-|------⌫--⌫-|
be irs an a staises	--⌫--|--⌫-⌫------|
altre enic e lordenef uren tfors	----|-|--⌫-⌫|-----|-⌫----⌫|---|
meneitdela	-----|-|-|
c harenc ui il furent	-⌫--|-|-⌫-|-|-----|
u o chie ́tdela	-⌫-⌫----⌫-|-|-|
haltecedela roche .	------|-|-|----||
maisicilfreresa	---|---|-----||
cui uochier	--|------|
lauoizun poisoitautet	-|---|-|--|--|---|-|
e nsi lonomatqua ntlialt refure ntmort il	-⌫--|-|----|---⌫-|-|---⌫-|----⌫-|---|-|
ueskitparunp oideiors	-----|--|-|-⌫-|-|---|
etdu nke sfinatlauiepar keao uertement	-|--⌫---⌫|----|-|--|--|-|--⌫--------|
seroitmo stre itkelientergetteiz	-----|--⌫----⌫-|-|-|-----------|
sil encesd elauo iz auoits igne fiétun petite spazede	---⌫----|-⌫|-|--⌫-|----|-⌫----⌫----|-|----|-⌫----|-|
maisu n em erueil hosechoseauintkeca nt li	---|-⌫-⌫|-⌫------⌫---|----|----|-|--⌫-|-|
honorableshom anastaisesd el corseissit dun kes	---------|--|---------|-⌫-|---|-----|---⌫--|
astoitunsfrerese n labie kineu ol o it	-----|--|-----|-⌫||---|-|-|-⌫--⌫-⌫-|
p as uiur esor lui .	-⌫-|----⌫|--|--||
liquei ziusabaissiezasespiez	-|----⌫|--|--------||--|---|
com e nzat enlarmes luiproie rd isanz	---⌫-⌫---|-|-----|--|-----⌫|-⌫----|
getoiconiu rpar i celuiacu ituuas ke	-|--|-----⌫|--|-⌫----||--⌫|-|--|-|
iene face sor	-|-|---|--|
toiset iors e nicestmont	--|--|---|-⌫|----|---|
deuant cui settisme ioret	-----|--|-------|--|-|
ilmorutenicelme isme i orli	-|----|-|---|--⌫---|-⌫-|-|
queiz ne ke dent n efut pa sen	----|--⌫--⌫---|-⌫|--|--⌫|-|
entrelesaltresapeleiz pa rke	----|--|-----|------|--⌫|-|
oue rtementseroitconut ke	---⌫------|-----|----|-|
lotrepassementdecelui	-|-----------|-|----|
pro ier edel	---⌫---⌫|-||
honorable anasta i sepout	--------|------⌫-⌫-|---|
f reresentrelesaltres nefutpasapel ei zet	-⌫----|----|--|-----|-|--|--|----⌫--⌫|-|
ne kedentpar	--⌫-----|--|
l espr oi eres	-⌫-|--⌫--⌫---|
hommefutilde ces te lu mier esustraiz queileal tre chose	----|--|-|-|---⌫-|--⌫----⌫|-------|-----|--⌫--|----|
estdone i eaentendrese ce non	--|----⌫-⌫||-------|-|-|--|
kecil sont ahierdeudegrantm eritekeil	-|--|---|----|--|-|----|-⌫----|-|-|
puent alafieprendrelescho s eskiencorne	----||-|--|------|--|---⌫-⌫-|-|----|-|
sontpasdeuantd e stine ies	---|--|-----|-⌫-⌫-----⌫--|
mais lesc hoses	---|--|-⌫----|
cui lisai nthommefont en ora nt	--|-|---⌫-|----|---|-|---⌫-|
eles sont e nsi deuant destineies.	---|---|-⌫--|-----|---------||
ilne pue ntpasprendre l es choses	-|-|---⌫-|--|------|-⌫-|-----|
kinauro n te steitdeuant	-||----⌫-⌫|-⌫----|-----|
dest ineies.	----⌫-----||
le spuetauoirparp roi e res.	--⌫|---|----|--|-⌫---⌫-⌫--||
carmeismesl a deua nt destinat ions	--|------|-⌫|----⌫-|--------⌫---|
de l parmanableregne ele esten si ordineie deltotpoissantdeu	--⌫|---------|----|--|--|--⌫-|-------|--|----------|--|
parkeliellit	--|-|-|----|
aceparuengentpar lurtrauailhk e	|-|---------|--|--|-------|-⌫|
ilen proiantdes eruent	-|-|------|---⌫-----|
prendre cekelitotpoissanz deus de u antlessecl es lur	------|-|-|-|----------|---|--⌫-⌫--|--|----⌫-|--|
dispo satdonei r.	-----⌫--|-----⌫||
geualdroie pl u saoue rteme nt	-|-------|--⌫-⌫|----⌫-----⌫-|
amoi estreproueitsela	|--|----|------|-|-|
predestina tions pu etest reaidieparproier es .	----------⌫----|--⌫-|---⌫-|----|--|------⌫-||
pieres ce ke ie	-----|-|-|-|
distost puetes t re proueit.	--|---|---|--⌫-⌫-|------||
carcert estu seizke li	--|----⌫-|-|---|-|-|
sires dist aabrahamen	----|---||------|-|
isaa c serata	----⌫|----||
toiuoc hielasemencea .	--|---⌫--|-|------|||
cui lisir esenco r auoit	--|-|---⌫-|----⌫|----|
ditget oiai establit	--|-|-⌫-|-|-------|
pe redepluisorsgenz.	--⌫-|-|-------|---||
a cuiderechiefdeusprom ist disan zge	|--|--------|---|----⌫--|-----⌫|-|
benistrai a toietsimultiplie rait a s e mencealsico m	--------||--|-|-|---------⌫--|-⌫|-⌫-⌫----|---|--⌫|
le s estoiles d elcie l	--⌫|-------|-⌫-|---⌫|
et alsicomla grauele	-|---|--|-|------|
kiesten la riuede	-|--|-|-|---|-|
qu e ilechosee stataouerteme ntke li tot po issa n zde us auoit deuant	--⌫-⌫--|----|-⌫---|---------⌫-|-|-|---⌫--⌫----⌫-⌫|--⌫-|----|-----|
destineitamultiplierla semenceabraham parme iis aac	--------||---------|-|------|------|-----⌫|--⌫--|
etnekedent si es t escritisaac	-|-------|-|--⌫|-----|----|
p r oiatlo sanior porsafemme	-⌫-⌫---|-|-----|--|-|----|
kele astoitbr ahainge.	|--|-----|--⌫------||
lo itsi d onatc onciuement arebecke.	|-⌫-|-|-⌫---|-⌫---------||------||
gieres seli	-----|-|-|
multipliemenz delingieaabraham f utp redestineie par	------------|-|-----||------|-⌫-|-⌫----------|--|
is aac porco ipristil brehaingef emme	--⌫--|--|--⌫|----|-|--------|-⌫---|
m aissenzmeruei lhecertechose	-⌫--|---|------⌫--|----|----|
est ke ladeua nt destinatio n sparproieres empliequ ant	--|-|-|----⌫-|----------⌫-⌫|--|-------|-----|--⌫--|
ic il en cuideusauoitpredes ti neitestre multiplie	--⌫-|-|--|---|----|------⌫--⌫---|----|--------|
la sem enceabraham pristp arori sonkeil	-|---⌫---|------|----|-⌫-|---⌫--|-|-|
po ista uo i r filh .	--⌫--|-⌫--⌫-⌫|---||
par t antke	--|-⌫--|-|
larais onsaouritlas ecreie cho se ge lregehisnient	-|----⌫--|-----|-|-⌫-----|---⌫-|-||------|----|
de dotance n emoire meist .	-|------|-⌫|--|--⌫----||
uues tukeie	---|-|-|-|
toiracont ealcune ch os edescontr eies det oscane	--|------⌫|-----|--⌫--⌫|--|-----⌫---|-|-⌫-----|
parke tuconoisses	--|-|-|--------|
queilbar onen lei aientes teitet compro chain a	----|---⌫-|-|--|----|--⌫---|-|--|---⌫----||
la conissanced e	-|---------|-⌫|
totpoissanz	----------|
geluuelh e tced emande ie del t ot.	-||----|-⌫|-|-⌫-----|-|--|-⌫-||
ilfut unsh omd onorableuie	-|--|--|-⌫-||-------|--|
bonefacespar nom k ie ncel ecite it kies tdite	--------|--|--|-⌫|-⌫|---⌫|----⌫-|-|--⌫|---|
feren tistint lofficede laueskietet parconstu me s	-----⌫--|---||-----|-|-|------|-|--|------⌫--⌫|
laemplit .	|------||
icil gaudentiuslipreste s	---|---------|-|------⌫|
kiencoruit	-|----|--|
i lracontet les plu isors	-⌫|-------|--|---⌫----|
miraclesdecestui .	-------|-|-----||
liqueizprestesnorrizensonseruise	-|----|------|-----|-|--|------|
t antpuetcascunesdire de lui plus	-⌫--|---|-------|---|-|--|---|
uraiementencombie nl ui	--------|-|------⌫|-⌫-|
au intet aceazmiraclesenterestre	--⌫--|-||---|-------|---------|
alaglisede	|-|----|-|
cestuifut m ul t	-----|--|-⌫--⌫|
gra ndepo ur eteizkiazbone s p ense ssoltestre gar de	---⌫--|--⌫--⌫----|-|-|----⌫|-⌫----⌫|---|----|---⌫-|
d umiliteitetil	|--------|-|-|
na u oitnule altrechose atotesa	|-⌫-⌫--|---|----|----||---|-|
despenses e tansolement	-------|-⌫|--|-------|
laqueileparuniordune	-|-----|--|-|--||--|
sclaideuenante nsifutdeguasteiekeencele ien	------|-----|-⌫--|--|---------|-|-|----⌫|-|
uin gesauisonkesp etitet poi	---⌫--|--------|-⌫---|-|--|
de roisi ns	-|-----⌫-|
remeisent .	--------||
laqueileuing equantlicideuant	-|-----|----⌫|----|-|-|-----|
tresredotablesbon efa c esliueskes	---|---------|---⌫---⌫-⌫-|-|-----|
f u tentre iz sirenditgrand es gra sces al	-⌫-⌫|-----⌫-|-|-----|-----⌫-|---⌫---|-|
totpoissan tdeucarenla su e poureteit	----------⌫|--|--|-|-|--⌫|--------|
co nu ten corestreangois sié t.	--⌫--⌫|--⌫--|----|------⌫----⌫||
maiscant iali tensde mandoit ke cil meis mesroisin	---|---|-|-|---|--⌫------|-|--|----⌫--|-----|
kiremeis entpoissentmau reirsi	-|------⌫--|-------|---⌫---|-|
mist s olu ncc onstumegarde alauinge si comandatke	---|-⌫---⌫-|-⌫------|----||-|----|-|-------|-|
lom lagardastpar ent en tiue ueilhe.	--|-|------|--|---⌫--⌫---|-----||
iorcoma ndataconstance lo	--|----⌫---||--------|-|
preste sonn euout	-----|--|-⌫----|
k eiltrestoz	-⌫|-|------|
lesu aisseauz de	--|-⌫-------|-|
uinen laueskietettoz lestoneauz	--|-|-|------|-|--|--|------|
parsorespandue pizdeuan tapparei lhero italsicomilauoient	--|----------|--|-----⌫|-------⌫-----⌫-|---|--|-|------|
acon stumei t.	----⌫------⌫||
etquan tceot oit sesnierz lipres tes	-|----⌫|-|-|--|--|----|-|----⌫--|
multsoimeruil h atke liue s kes alsicom forseneizcom andoit	---|--|------⌫-⌫-|-|-|--⌫-⌫--|---|--|--------|---⌫-----|
ke ilfesist les	-|-|-----|--|
uaisse azde	------⌫-|-|
uin deuant	--|-----|
app ar elhierkinauoit miede	---⌫--⌫-----|-||----|--|-|
nekedentnosatilpas demandeirpor coi	-------||---|-|--|--------|--|--|
ilcomando it teiz ch osesmaisilobeit as es comanz	-|-------⌫-|---|--⌫---|---|-|----||-⌫-|-----|
uaisseazsolun csa constu me	-------|-----⌫|-|------⌫-|
deuant apparei lha t .	-----|-------⌫---⌫||
d unkes entrat lihom d euen lau inge	-⌫----|-----|-|--|-⌫-|-|-|-⌫---|
si colhi tlesroisi n set	-|-----⌫|--|-----⌫-⌫|-|
port at alcolch oir s i les	----⌫-|-|-----⌫--|-⌫|--|
comandatt ozeissir	-------|-⌫-|-----|
dil ok ese tlaremeist auocun	|--⌫--⌫-|-⌫|-|------|---|-|
petitenfa nzon .	----|----⌫---||
loqueil il	-|----|-|
mistius e ncelmeismec olchoirs i lofist	---|--|-⌫|--|-----|-⌫------|-⌫|-|---|
colchiercez	-------|--|
meismes trespoi deroisins.	------|---|--|-|------||
et quantdeceazmeismesroisins	-|----|-|---|------|------|
decoroitun poi deuin d u nkescomenzatlihomde	-------|-|--|-|--|-⌫-⌫---|-------|-|--|-|
deudeses mainsicere zoiuree n	--|-|--|----|--|--⌫-----|-⌫|
unpetituaisseletdep artir	-|----|------|-|---⌫----|
par tozlestoneaz et	--|--|--|-----|-|
l esuaisseazk i	-⌫-|-------|-⌫|
astoitdeuant a ppareilhiét po r	-----|-----|-⌫-----------|--⌫|
ben eizon s ike	---⌫----|-⌫--|
totliuaisseldecelmeis me uinastoient	--|-|------|-|--|----⌫-|--|-------|
u e utapo i neses tremol hiét .	-⌫-⌫-||--⌫-⌫--|--⌫--|---⌫----||
etquantilu n	-|----|-|-⌫|
pet itde lelicor	---⌫-|-|-|----|
o t mis en tozles	-⌫|--|-|--|--|
ua isseazdunk es apelatlopr este	--⌫-----|----⌫-|-----|-|--⌫---|
sicomandatisne l ementke lipoure fussentpre sent .	-|-------|----⌫-⌫----|-|-|----|------|---⌫---||
dunkescomenz at liuin s a cro istreelco lchoir sikeil	-----|------⌫-|-|---⌫||---⌫----|-|--⌫-----|---|-|
emplittozl esuaisseazd espoures	-----|--|-⌫-|-------|-⌫-|-----|
kifurent aportei t.	-|-----|-------⌫||
azqueizca ntiluit	-|----|--⌫-|-|--|
c ouenablementau oir	-⌫-----------|--⌫--|
