Carleslireisnos tre	-----|-|---|---⌫--|
Multhalt ement	---|----⌫----|
Munioi e renuuel ent	------⌫|-------⌫--|
Liemperereifait sunerses greislesE l	-|-------||---|----|--|-------|||
olif ankit restuzl esescl aire t	----⌫-|-|-⌫-----|-⌫-|----⌫----⌫|
Dient paien	----|----|
L a ge n t	-⌫|--⌫-⌫|
Carlunestbele	-----|--|---|
Batailleaurumeadureee	-------|----||-----||
Grante st lapla igneelar ge lacuntree	----|-⌫-|-|---⌫---||---⌫-|-|------|
L uisentcil elm eas perresdorgiruneesEcez	-⌫-----|--|---⌫|-|-----||-|-------||--|
bronie ssafreesE	------⌫|------||
cezespiezcezenseigne sfe rmees	--|-----|--|--------⌫|--⌫----|
Sunentcez greisles lesuoiz ensuntmultcleres	-----|--|-------|--|---|-|---|---|-----|
De lolifan h altessu ntl esm enees	-||-----|-⌫----|--⌫-|-⌫-|-⌫----|
Liamir alz	-|----⌫--|
en apelet sunfrereÇoest	-|-----|--|----|--|--|
Canab euslire is	-----⌫--|-|--⌫-|
Cil tintlat ereentresqu	--|---|-|-⌫--|-------|
Lesescheles	--|-------|
Cha rlunli a d mustrees	---⌫---|-|-⌫|-------|
u eezlor goilde	-⌫--||--⌫---|-|
Fran ce laloee	----⌫-|-|---|
M ult fierement cheua lchetl i e m perere	-⌫--|--------|-----⌫----|-⌫|-⌫-⌫-----|
Il estda rere odcelegentbarbee	-|--|--⌫---|-|---|---|-----|
Desurlurbronies lurbarbes	----|--|------|--|-----|
untgetee s	--|-----⌫|
Altresi blanch escume	------|------⌫-|---|
Cili ferr untde lancesedespe es	--||----⌫--|-|-----|||----⌫-|
B atailleau ru m eforte eadure e	-⌫------|--⌫--⌫||----||-----⌫|
Unkesnuls hom n e uit	----|---|--|-⌫|--|
telaiustee	--|------|
Plus quomn elancet	---|-|-|-⌫|-----|
B aligant ad sescumpa ig nestre sp ass ees	-⌫------|-|--|-----⌫--⌫--|---⌫--⌫---⌫--|
Une raisunluradite mustre e	--|-----|--||--||------⌫|
uenezpaien kar	----|----|--|
enle stree	-||-⌫----|
Desu n espietlah ansteen ad	-|--⌫|-----|-|-⌫----|-|-|
Karlun la mu re e nadturne e	-----|-|--⌫-|-⌫|-|-----⌫|
Carleslimagnesc umiluitlamiraill	-----|-|-----|-⌫-|-|--||-------|
Eledragon lense igne e	|-|-----||----⌫---||
lestandart	|--------|
Arabesigra ntfor ce	----|-|---⌫-|---⌫-|
De la contreeuntporpris eslespa rz	-|-|------|--|-------⌫-|--|--⌫-|
Ne més quetant cum e	-|---|--|---|---⌫|
l emperereenad	|-------|-|-|
France s e n esc rietmult	-----||-⌫|---⌫---|---|
Baron sfranceisuose stes	-----⌫|-------|--|-⌫---|
bo nsuassals	--⌫-|------|
Tantes batailles auezfaitese nc amp s	-----|--------|---|-----|-⌫|-⌫---⌫|
ueez paien felunsuntecua rt	---|----|----|---||---⌫-|
Tutelor leisundene r nelur ualtS il	---|--|---|-|----⌫|-|--|---||-|
untgrant gentdiç o	--|----|---||---⌫|
seignur squicalt	-------⌫|--|---|
Kiorneuoelt	-|-|-|----|
amei uenirse nalt	|--|----||-⌫|--|
Desesperons puisbrochetle	--|-------|---|------|-|
Ten cendo rliadfai t.	---⌫-----⌫|-|-|---⌫||
I III .salz	-⌫---⌫|---|
Icistr ei s estuas sals	----|-⌫--⌫|--|---⌫---|
C heualchez be rs	-⌫--------|--⌫-|
Nuldenusne u us falt	--|-|--|-|-⌫-|---|
Clers futliiur zelisoleilzlu i sanz	----|--|-|---⌫||-|------|--⌫-⌫---|
Lesozsuntbeles e lescump aignes gra n z	--|-|---|----||--|----⌫-----|---⌫-⌫|
Iustees sunt l ese schelesdeuant	------|---|-⌫-|-⌫------|-----|
R abe ls e liq ue ns	-⌫---⌫-||-|-⌫--⌫-|
Gu ine ma ns	--⌫---⌫--⌫-|
Lascent l e sr es nesalor	------|-⌫-⌫|-⌫--⌫--||--|
ceualscur anz	-----|---⌫--|
Brochent a eit	-------||--|
dunclaisentcurre	---|------|----|
S iuunt ferirdelur esp i eztrenchanz	-⌫|---|----|-|--|---⌫-⌫-|--------|
Rabels estch euale r	-----|--|--⌫-----⌫|
Lecheu albrochet des esp erunsd or	-|----⌫-|------|--|---⌫----||-|
Si uaitf erir	-|---|-⌫---|
Torle ulere ipe rsisN	-----⌫|-|--⌫|--⌫---||
escu t ne bro nie	----⌫|-|---⌫--|
ne poutsun colptenir	-|---|--|---|----|
L esp ieta or li	|---⌫--||-|-|
ad enzelcorsmis	-|--|-|---|--|
labat s ur unboi ssu np etit	|---|-⌫-|-|---⌫---⌫|-⌫---|
F ra nceis	-⌫--⌫----|
Damnesdeusno s aït	---------|--⌫|---|
Carlesa d dreit	-----|-⌫|----|
n elideuomfaillir	-⌫|-|----|------|
Guin em aniustetaun rei le utice	----⌫--⌫-|-----||-|--|--⌫----|
Tut elif reint	---⌫|-|-⌫----|
latargekie st flurie	-|----|-|-⌫-|-----|
Apré sli adlabr oniede scunfit e	-----⌫|-|-|-|--⌫---|--⌫-------⌫|
Tute l ens eigneli	---||---⌫----|-|
adenz e lc orsmise	-|--|-⌫|-⌫--|---|
Quemort labatki qu	--|---||---|-|-|
enpl urtu ki nri etAice stcolpc ilde	-|--⌫--||--⌫|--⌫-||---⌫-|---|-⌫-|-|
Fr ancesesc r ien t	--⌫---||---⌫-⌫---⌫|
Fe r ezbaronne	--⌫-⌫-|----|-|
u osta rgez mie	-⌫-|--⌫---|--|
C arles addrei t uer slagent	-⌫----|-|----⌫|---⌫|-|---|
Deusn usadmi s al plus ueraiiuïse	---|-⌫-|-|--⌫|-|---|----|-----|
Malpram i ssietsurunche ual tu t	-------⌫-⌫|---|--|-|---⌫--|--⌫|
Cundu itsun co rsenlapressedes	-----⌫-|--|--⌫-|-|-|-----|--|
Fran csD u reses al tr es	----⌫-||-⌫--|-|--⌫--⌫-|
granzcolpsi	----|----||
u ait ferant	-⌫--|-----|
Lun mor tsu r laltres uuent	|-|---⌫|--⌫||----|-⌫----|
uaittres ceuant	---|----⌫-----|
Tutpremereinsse scrie t	--|---------||-⌫-----⌫|
Lim ienbaron nurrituo s	-|-⌫--|----|-----|--⌫|
ail ungtens	-|-⌫--|---|
ueez mun f ilz	---|--|-⌫--|
CarlunuaitquerantAses armes tanz baronscaluni ant	-----|---|------||--|----|---|-----|------⌫--|
Meil loruassal de luii anedemant	----⌫--|-----|-|--|-⌫|-|-----|
Suc cu rezlea uoz	---⌫--⌫--|-||--|
espieztrenc h ant A ic estmot	-----|-----⌫-⌫--||--⌫--|--|
paienuenentauant	----|-----|----|
D urscolps ifiere ntmultest li	-⌫--|----||-----⌫-|---|--|-|
caples granz	-----|----|
Labataille estmeru eillusee pesa nt	-|-------|--|----⌫------||----⌫-|
Nefutsi fortenceis nepuiscel	-|--|-|---|-----|-|---|--|
Granzsu ntles ozeles cumpaignesfieres	----|--⌫-|--|-||--|---------|-----|
Iu steessunttr estute sl eses c he l es Eli	--⌫----|---|--⌫------⌫|-⌫-|--⌫-⌫--⌫-⌫-||-|
p aienmeru eillus e m entf i er ent	-⌫---|----⌫------⌫-⌫-⌫--|-⌫-⌫--⌫--|
Deustanteshanstesiad parmi	---|-----|------||-|--|-|
Escuzfruisezebronie sdesmaillee s	----|------||------⌫|----------⌫|
Laueïsezlatere sii unch eeLer be	-|------|-|---|-|-⌫----⌫-||--⌫-|
de l campkiestuert e e delgee	--⌫|---|-|--|----⌫||-----|
Li ami r alzre c leimetsamaisnee	-|---⌫-⌫--|--⌫-⌫-----|-|------|
Ferezbaronsur	----|----|--|
la g entchres tïene	-|-⌫--|-----⌫-----|
Labataille est multdureeafiche e	-|-------|--|---|---||------⌫|
U nceinzn ep uis	-⌫-|---|-⌫|-⌫--|
nefutsifo rtaiuste e	-|--|-|--⌫-|------⌫|
Iosqu ala nui tn	----||-|---⌫||
en ertfinsotriee	-|--|---|-----|
la sue gentapelet	-|--|---|-----|
F e rezpaien porelu enud nie s tes	-⌫-⌫--|----|--|-|-⌫---|||-⌫-⌫--|
I ouosdurraimuille r s	-⌫|--|-----|------⌫-⌫|
gentesebeles	-----||----|
Si uos duraifeuseh onorse	-|--|----|---||-⌫----||
Paienres p undent	----|---⌫-⌫-----|
d eu unsbenfere A	-⌫--⌫--|--|---||
colps pl enersdelorespiez i	----|--⌫----|-|--|-----||
centmil ie	---|---⌫-|
es pe es iunt	--⌫--⌫-||--|
Aisuo sleca ple	--|--⌫|-|--⌫--|
Batailleu eit ci lkientr elsu olt	-------|-⌫--|--⌫|-|---|--|-⌫--|
Li emper ere rec l eimetses	-|-----⌫--|---⌫-⌫----|--|
Fran c eis	----⌫-⌫--|
Seignorsbarons	-------|-----|
iouosaimsiuoscr ei	-|--|--|-|--|--⌫-|
Tantesbatail le sau ezfait es pur mei	-----|------⌫--⌫|--⌫-|----⌫-|--|--|
Regnescunquise	-----|------||
desordenet reis	---------|---|
Ben le conuisque	--|-|-----|--|
gueredunuosen dei	-------|--|-|--|
E d emuncorsde teres	|-⌫|--|---|-|----|
uengezuozfilz uozfreres	-----|--|---|--|-----|
euozh eirs	|--|-⌫---|
Renc esuals furentmo rzla ltreseir	----⌫-----|-----|--⌫-||-⌫---|---|
Iasa uezuos c untre	-|--⌫--|--|-⌫----|
pai ensaidreit	---⌫--|-|----|
Respo n den t	-----⌫-⌫---⌫|
Sireuosdit esueir	---|--|---⌫-|---|
X X.milliers	-⌫-|-------|
e nad odsei	-⌫|-|-|--|
Cum une mentlenp rame tentlorfe i z	---⌫---⌫---||-|-⌫----⌫---|--|--⌫-⌫|
faldrunt pur	-------|--|
mor t n epurdestre it	---⌫|-⌫|--|------⌫-|
Neniadcelsa	--||-|--|-|
lanceniempleit	----|||------|
Delure spees ifier e ntdem aneis	-|--|-⌫----||----⌫-⌫-|---⌫----|
La bataille est	-|-------|--|
demer uei llus	-|---⌫---⌫---|
Malpr amisp a r	-----⌫---|-⌫-⌫|
m i l ecampcheual ch et	-⌫|-⌫|---|------⌫--⌫-|
Dec els de	-|-⌫--|-|
Franc e ifaitm ultgrantdamage	-----⌫||---|-⌫--|----|-----|
Naime slid uxfierementle reguardet	-----⌫|-|-⌫-|--------|-|--------|
uaitleferi rcum	---|-|----⌫|--|
humeuertudable	---|---------|
Desun escutli	-|--|----|-|
freintlapenehalte	-----|-|---|----|
osberc l esdo us pansli desaffr et	-----|-⌫-|--⌫-|---|-|-------⌫-|
Elcorsli mettut el	-|---|-|--|---⌫||
ensei g neialne	-----⌫-⌫-|----|
Q uemort labat entre.	-⌫-|---||---|----||
uII.C.desaltres	-----|--|-----|
Can abeus lef rereal	---⌫----|-|-⌫---|||
amirai l l	------⌫-⌫|
Desesporuns benbr ochetsuncheual	--|-------|--|--⌫----|--|-----|
Tr aitadlespee	--⌫--|-||----|
l epunt est	-⌫|---|--|
de cris tal	-|----⌫--|
Naimun enle lmeprincipalL une	-----|-||-⌫--|--------||--|
meitie tlenfruissed d une	------⌫||-|-------||--|
A l bra ntdace rlentr enc het.u.	-⌫|---⌫-||---⌫||-|--⌫---⌫--|--|
Licap elersun den erne li ual t	-|---⌫----|-|---⌫-|-|-|---⌫|
Trenchetlacoifeentresqu ea la c har	-------|-|----|--------⌫||-|-⌫--|
Iusa lat er eunepieceen abat	--||-|-⌫--⌫|--|----|-|---|
Granzfutli	----|--|-|
colpslid uxeneston at	----|-|-⌫-|-|-----⌫-|
S empr escaïstse	-⌫----⌫-|-----|-|
Deusneliaidast	---|-|-|-----|
Desundestrerleco l	-|--|------|-|--⌫|
enenbra çat	-|-----⌫---|
Selipaiensune feizrecuurast	-|-|-----|--|---|--------|
S empr esfust mort linobilies u assal	-⌫----⌫-|---|---|-|-------|-⌫----|
Franceiuint	-----||---|
k ilsucc urrat	-⌫-|----⌫----|
Na imesl i	--⌫---|-⌫|
duxtant par estang uissablesElipaiensde	--|---|--|--|---⌫--------||-|-----|-|
fe rirmult le	--⌫--|---|-|
Carle slidist	-----⌫|-|---|
Culuertmar le baillastes	------|--|-|---------|
u aitlefer irpar sung r an t	-⌫--|-|---⌫-|--|--|-⌫-⌫--⌫|
uasselageLe scut lifreintcuntrele	--------||-⌫---|-|-----|-----|-|
c oer l iquasset	-⌫--|-⌫|------|
Des u nosber clidesrumpt	-|-⌫-⌫|-----⌫|-|-------|
lau entai lle	-|-⌫-----⌫--|
Que mortl a batl a	--|---||-⌫--|-⌫|
sel e enremeintguaste	---⌫|-|------|-----|
Mu lt adgrantdo el	--⌫-|-|----|--⌫-|
Car lemagneslireis	---⌫-------|-|---|
Naimunuei t nafr etdedeua ntsei	-----|---⌫|----⌫-|------⌫-|--|
S url er b eue rte	-⌫-||--⌫-⌫|--⌫--|
L iempereresli ad d it	-⌫|--------|-|-|-⌫-|
Naimeskarche ualcez od mei	-----|--|---⌫-----|-|--|
Morz estli glu zki en destrei tu u ste neit	---|--|-|---⌫|-|-|-------⌫|-⌫-⌫|--⌫---|
Elcors li mismunespiet	-|---|-|--|--|-----|
Respu ntlidux	-----⌫-|-|--|
Sire i ouosencrei	---|-⌫|--|-|---|
Seiouifalqu esmultg ran tprodi aureiz	-|-|--|----⌫-|---|-⌫---⌫|---||-----|
Puis sun t iustezparamu repar feid	---|---⌫|-----|--|---⌫||--|---|
Ensemblodelstels.	------|-|--|---||
FranceisNi adceloin	-------|||-|----||
ifiergeonic apleit	|-----||||-⌫-----|
Lia mira l z	-|-⌫----⌫-⌫|
cheualchetparlecamp	---------|--|-|---|
Siuaitferirlecunte	-|---|----|-|----|
Gu i neman	--⌫-⌫----|
Cuntrele coe r lifru isset l escutblanc	-----|-|---⌫|-|---⌫----||----|----|
Desunosbercl i	-|--|-----|-⌫|
derumpit lespans	-------|--|---|
Lesdo uscostezl i	--|--⌫-|-----|-⌫|
deseiuret des flancs	--------|--|-----|
Quemortlabatde	--|---||---|-|
sun cheualcurant	--|-----|-----|
Puisad oci s	---|-|---⌫|
Rich artle	----⌫--|-|
ueilllisiredes	----|-|---|--|
Paien es crient	----|--⌫-----|
Precius ees t uaillant	-------⌫|--⌫|-------|
Ferez baronnusiauo mguaran t	----|----|--||---⌫|------⌫|
Kipuisueïstlich eual erd	-|---|-----|-|--⌫----⌫-||
Occian te d	------⌫|||
Argoillie e de	--------||-|
D eluresp iez	-⌫|--|---⌫--|
benifierent e caplentE	--||------||------||
Franc eis nunt talentques e n a lgent	-----⌫--||--|-----|--||-⌫|-⌫----|
Asezimoerented es uns	---||------||-⌫-|--|
edes altres	|--|-----|
Ent resqu aluesp ree stmult fortlabataille	---⌫----|-|----⌫-|-⌫-|---|---|-|-------|
Desfranc sba rons i ad	--|-----⌫|--⌫---||-|
multgrandamage	---|---|-----|
aura t enceisqu eledeparted	----⌫|-----|-|--|-------|
M ultb en i f ier ent	-⌫--|-⌫-||-⌫---⌫--|
Fruis sent cez hanstes ecilespi ezf urb it	-----⌫---|--|------||--|----⌫-|-⌫---⌫-|
Kidu nc ueïstcez	-|--⌫-|-----|--|
escu z simalm is	----⌫|-|----⌫-|
Cezblanc sosbercski	--|-----⌫|------|-|
dunc o ïstfremirEcezescuzsur cez	---|-⌫---|-----||--|----|--|--|
helmes cruisir	-----|------|
Cezcheualers ki	--|--------|-|
dun cueïstcaï rEhumes brairecontret eremurir	---⌫|-----|----⌫||----|-----|-----|-⌫--|----|
Degran tdulor lipou ̈stsuuenir	-|----⌫|----|-|---⌫--|------|
Ce stebataille estm ult	--⌫--|-------|--|-⌫--|
fortasuffrir	---||------|
Liamiralzrecl ei met	-|------|----⌫--⌫--|
Mah umet altr esi	---⌫---|----⌫--|
Mi da mnedeuiouos aimultser uit	-|--⌫-----|-|--|-|---|---⌫--|
Tutestesym ag enesferaid	----|--|--⌫--⌫---|----||
Asli deuant un soendrut	-|-|-----|-|---|---|
Malesnuue lesliapo rtetedit	----|----⌫--|-|---⌫---||--|
B ali gantsiremal e stesoi	-⌫---⌫---|---|--|-⌫---|-|
Perdutau ez	-----|--⌫-|
Malpramisuos tr efilzE	--------|---⌫--⌫|---||
C an abe us uostre	-⌫--⌫---⌫-|-----|
frere estocisAdous	----|--|---||---|
Fran ceisbelem ent e nauint	----⌫---|-----⌫--|-⌫|----|
Li empereresenestl unsço	-|--------|-|--||--|--|
Gran zadle co rsbe n	----⌫|-|-|--⌫-|--⌫|
r esenbletmarchis	-⌫-------|------|
Blancadlabarbecum e flure n	----|-|-|----|---⌫|---|-⌫|
Liami r alzena dle	-|---⌫-⌫--|-|-⌫|-|
helmeenclinE aprés sinenbrunketsun uis	----|-----||-----|--|--------|--|--|
Sigrantdoel	-|----|---|
adsem pres	-|---⌫---|
quiadmur ir	----|---⌫-|
Si napela t	--⌫|-----⌫|
Ultrem arin	------⌫---|
Dis tlamiraill	---⌫||-------|
Ian gleu uenez aua nt	---⌫---|----|---⌫-|
uosestes prozeuostresaueirest	--|----|---||-----|-----|--|
uostreconseillaituztenz	-----|-------|-|--|---|
Que uo s en sembletd	--|--⌫|-|------||
Arrabizede	------||-|
Aurum nosla	----|--|-|
u icto rie delc hampEci lrespunt	-⌫----⌫--|--|-⌫---||--⌫|------|
Morzeste s	---|----⌫|
Iauost redeune uos e rent	-|----⌫-|--|-|--|-⌫---|
Carlesestfiers esihume uaillant	-----|--|----||-|---|-------|
Un c neuig e ntkisi fustcumbatant	--⌫|-|-|-⌫-⌫-|-|-|---|--------|
Ma isreclamez lesbarons d	--⌫-|-------|--|-----||
Iaianz Ço	-----|--|
que estreendeitnelale zdemurant	--|----|-|---|-||---⌫|-------|
Liamirailladsabarbe forsmise	-|-------|-|-|----|---|---|
Altres i bl anc he c umeflurenespine	------⌫|--⌫---⌫-|-⌫--|---|-|-----|
C umentqui l sei t	-⌫----|-|-⌫|---⌫|
ne siu oeltcelermie	-|||-⌫---|----|--|
Meta sabuc heuneclere buisin e	--||-|---⌫-|--|----|------⌫|
Sunetla clerqu esipaienloïrent	----|-|---|--⌫|-|----||------|
Partutlec amp	--|--|-|-⌫--|
sescumpaign es ralient	--|--------⌫-|------|
Occ iantibrai e nt ehenissent	---⌫---||----⌫-⌫-||--------|
Argu ille si	----⌫---|-|
cum eche nglatissent	---⌫|---⌫|---------|
Fran cparsi g rant	----⌫|--|-|-⌫---|
espé s ses	-----⌫|--|
rum pe ntepartissent A icest colp enietent mort	---⌫--⌫-||---------||----|---|-|-----|---|
Ogercu ardi sen outunkes	---|--⌫----⌫-||--|----|
Meilloruas sal delu in euestit	------|---⌫--|-|--⌫|-⌫|-----|
Fr anceislesesche lesu it rumpre	--⌫-----|--|-----⌫--|-⌫-|-----|
Si a pelat	-|-⌫----|
Tierri l educd	-----|-⌫|--||
Iozeranle cunte	------|-|----|
Multfie rement	---|---⌫-----|
Carl un en araisunet	----⌫-|-|--------|
u eezpaiencumoc i e ntuoz	-⌫--|----|--|--⌫-⌫-⌫-|--|
Deu neplac etqu elchefportezcoroneS	--|-|----⌫-|-|-|---|-----|-----||
o rnif erezpuruenge ruostrehunte	-⌫|||-⌫---|--|-----⌫|-----|----|
Niadicelki unsulmotr es pundet	||-|---|-|-|--|--|-⌫--⌫-----|
Br ochentadeit	--⌫-----|-|--|
lor ceua lslaissentcure	--|----⌫-|-------|---|
uuntlesferirlao	---|--|----|-||
illesencu ntrent	-|--|----⌫-----|
Carlemagneslireis	----------|-|---|
Na imeslidux e	--⌫---|-|--||
G eifreid d	-⌫------||
Ani oukil enseignetene it	---⌫-|-||-------|----⌫-|
Mu ltparest pr oz	--⌫-|--|--|--⌫-|
Puintle ceuallaiss etcurreadesple it	----|-|----|-----⌫-|----|-|-----⌫-|
Siua it ferircel uiki led ragunte neit	-|--⌫-|----|---⌫-|-|-|-⌫----|--⌫---|
Amburecrauenteen	-----|-------|-|
laplacedeua ntse iEledragone l	-|----|----⌫-|--⌫||-|-----|||
enseigneler ei	-------|-|-⌫-|
Ba ligantueitsungunfanuncadeir	--⌫-----|---|--|-------|-----|
Elesta ndart	||----⌫----|
Mahumetre maneir	------|--⌫-----|
Liamir alzalqu es	-|----⌫--|----⌫-|
s enaperce i t	|-|------⌫-⌫|
Qu e ilad torte	--⌫|-|-|---||
Carlemag nesdrei t	--------⌫--|----⌫|
Arabes enturnentplus.C.	----||-|------|---|--|
Li emperere recle i metsesparenz	-|-------|-----⌫-⌫--|--|-----|
D ites baro n por	-⌫---|----⌫|--|
ma idereiz	|-⌫------|
Resp undent	----⌫-----|
Mar ledemande rei z	--|-|-------⌫---⌫|
Trest u tseit	-----⌫-⌫|---|
felkin ifierget a	--|-|||------||
Passetli iur z siturn et	-----|-|---⌫|-|----⌫-|
alauespree	|-|------|
F ra ncepaïen	-⌫--⌫-||-----|
ifier ent dese spees	|----⌫--|--|-⌫----|
Ci lsuntua ssal kile s	--⌫|---|--⌫---|-|--⌫|
oz aiuster ent	-|-------⌫--|
Lorens eig nesn i unt mieubl iees	--|---⌫---⌫--|||--|--|---⌫---|
Liamiral z	-|------⌫|
Preciusead cr iee	-------|-|--⌫--|
Muni oiel enseigne	----⌫--||-------|
renumeeLunconuist l	------||-|------||
a ltrea shaltesuoiz ecler es	-⌫---|-⌫|-----|---||----⌫-|
Enmile c amp amduis entr	-|-|-|-⌫--|----||---|
encuntrer e nt	---------⌫-⌫-|
Sise uuntfer ir gran z	-|-|---|---⌫-|----⌫|
colpssentre d u nerent	----||-----⌫-⌫-⌫-----|
Delorespiez e n	-|--|-----|-⌫|
lortargesr oees	--|-----|-⌫---|
Fra itesles untdesuzcez	---⌫---|--|--|----|--|
b ucleslees	-⌫----|---|
De lorosbercslespans	-|--|------|--|---|
endeseurerent	-|----------|
Dedenzcezc orsmiene	-----|--|-⌫--|--|-|
sad eser ent	|--⌫----⌫--|
Rumpentcezceng l esecezseles	------|--|----⌫-⌫-||--|----|
uer seren t	---⌫-----⌫|
Cheentlirei atere seturnerent	-----|-|--||---|-|--------|
Isnelement surlorpie zreleue rent	---------|--|--|---⌫|------⌫---|
Mult u assalmentunttrait es lesespees	---|-⌫--------|--|-----⌫-|--|-----|
Ceste bataillene n ert ma isdestornee	----|-------||-⌫|--|--⌫-|--------|
Seinzhumemortnepoetestre a cheuee	----|---|---|-|---|----|-⌫-----|
Multest ua ssal	---|--|--⌫---|
Car les de	---⌫--|-|
Francedulce	-----|----|
L i amiralzilnelcrent nene dute t	-⌫|------|-|--|----|-|-|----⌫|
Cez lorespeestutesnues im ustrent	--|--|-----|----|---||-⌫------|
Surce z escuzmultgranzcolps	--|--⌫|----|---|----|----|
sentredunent	|----------|
Trench ent lesqu irsecezfu z	------⌫--|--|--⌫--||--|--⌫|
kisu ntd ubles	-|--⌫-|-⌫----|
Chee nt li clous ipe ceien t le s	----⌫-|-|---|-⌫|--⌫-----⌫|--⌫|
Puisfie rentilnudanud surlurbronies	---|---⌫---|-|--||--|--|--|------|
Des helmesclerslifuus	--|-----|----|-|---|
enescarbunet	-|---------|
Ceste bataillenepoe t remaneir	----|-------|-|---⌫|-------|
unssuntort ireco nuisset	--|--|---||----⌫------|
Distl amiraill	---||-------|
Carle skartepurpenses	-----⌫|--|-|--------|
Si pr en cunseill que uers meite	-|--⌫-|-------|--|---|--|-|
r epe nt es	-⌫---⌫--⌫-|
M ortasmu nfilz par	-⌫--|-|--⌫|---|--|
lemenescïente	-|--|--------|
granttortmunp aïsmecalenges	----|---|--|-⌫---|-|-------|
Deuenmeshomenfe deltetuoeil lrend re	----|--|--|-|--⌫-----|-----⌫|----⌫-|
uenmei seruir diciquen	--|--|-----||--|-|-|
Carle srespunt	-----⌫|------|
Multgrantuiltetmesembl	---|----|-----|-|----|
Pais n e amornedeiap aien rendr e	---|-⌫|---|-|--||-⌫---|-----⌫|
D e usnosapresentet	-⌫-⌫-|--|---------|
Chrestïe n tetepuiste	---------⌫-⌫--||---|-|
amerai semp res	-----|----⌫--|
Pu isserfecrei le reio mnipotente	--⌫-|---||---|-|--|-⌫---------|
Maluaissermun	------|-----|
Puisuuntferird es	---|---|----|-⌫-|
espeesqu unt	-----|-|--|
Liamir alzest mult degrant	-|----⌫--|--|---|-|----|
Carlemagne s urlelmedacer	---------|-⌫-||---||---|
Desurla testelia dfraitefendut	----|-|----|-|-⌫|----||-----|
espe e surles cheuelsmenuz	----⌫|--|--|------|----|
Prentde la car ngrantpleinepalmee plus	----|-|-|---⌫|----|-----|----||---|
I loecen dreitrem eint li ostut nut	-⌫---|--⌫----|---⌫---|-|-|--|--|
Carle scanceletporpoi	-----⌫|-------|--|--|
u olt quilseit mortneuencut	-⌫--|-|-|---|---|-|-----|
Gabrielest repairetal ui	------|--|-------||-⌫-|
Sili demandet	-|-|-------|
Reismagnesque fa istu	---|-----|--|--⌫-|-|
C arlesoït	-⌫----|---|
laseint e uoiz del	-|-----⌫|---|-||
Nen a dpoür	--|-⌫|----|
ned em urirdutance	-|-⌫|-⌫---|------|
Repairetloi uigureremembrance	-------|--|----||----------|
amiraill de lespeede	-------|-||----|-|
FranceLelmelifreint o ligemme	-----||---|-|-----||-|----|
r eflambent	-⌫--------|
Trenchetlateste p ur	-------|-|----|-⌫-|
laceruele espandreE	-|------|-------||
tutle uistresquen labar beblanche	--|-|--|-----|-|-|---⌫-|------|
a bat senz nuler e cuurance	-⌫--|---|---|-⌫-⌫-------|
Munioieescrietpur lareconuisance Aicest	------|------|--|-|-----------||----|
motu en uzi estdux	--|-⌫--⌫-||--|--|
Tencendurmunt et i est li reismagnes	--------|----⌫-||--|-|---|-----|
turnentne uolt	------|-|---|
D eusqu il ire mainent	-⌫--|-|-||--⌫------|
Franceisaicels q uilde mandent	-------||----|-⌫|-|--⌫------|
Pai en senfu ientcum	---⌫-||-|--⌫---|--|
Damnesdeusleuolt	---------|-|---|
En c a l cent	--⌫-⌫-⌫-⌫---|
Francelemperereauoe c Ço	----|||-------|----⌫|--|
dis tlireis	---⌫|-|---|
Seignurs uengez uoz doels	-------|-----|--|----|
S iescl argiezuo z t alenzeuozcoers	-⌫|----⌫-----|--⌫|-⌫----||--|----|
Karhoim ati nuos uiplure r desoil z	--|--|-⌫---⌫|--|-|-----⌫|--|---⌫|
Responde nt	--------⌫-|
Sireçonus estoet	---|--|--|-----|
Ca scun si	--⌫----⌫||
fi ert tanz granzc olpscum	--⌫--|---|----|-⌫---|--|
Pois enes toe rstrentdicels kisunt	--||-|--⌫---⌫------||----|-|---|
G ranzes tli	-⌫---|--⌫|-|
calzsise leuetla puldre	---|-|-|----|-|-----|
Paien senfuiente	----||-|-----||
Franceislesan guis sent	-------|--|--⌫----⌫---|
L ienc halzduret	-⌫|---⌫---|----|
E msumsa turmunte e est	-⌫|--|-|--|-----⌫|--|
Brami don ie	-----⌫---⌫-|
Ensemblod lisiclercesicano nie	------|-|-|-|----||-|----⌫--|
Def alselei que	-|-⌫---|--|--|
Deusn e namat unkes	---|-⌫-⌫|---|----|
Ordresnenuntne	-----|--|--|-|
e nlor chefs corones	-⌫|--|----|------|
Qu anteleuit	--⌫--|--|--|
Arrabizsicunfund reAhalte uoizsescrie	------|-|-------⌫-||----|---||-----|
MahumEgentilz reis iasu nt	----||------|---|-|--⌫-|
uenc uznozhumes	----⌫-|--|----|
Liamir alz o cisa	-|----⌫--|-⌫--||
sig ran thunte	-|-⌫---⌫|----|
Marsilie uerssa pareit se turnet	-------|---|-|-----|-|-----|
Pl uretdes oilz	--⌫---|--|---|
tutesa ch er eenbrunc het	---|-|--⌫--⌫|-------⌫--|
M orz estde d oe l	-⌫--|--|-|-⌫--⌫|
pecchetl en c umb retLanmedeluiasuifs	------||--⌫-⌫---⌫--||---|-|--|-|---|
diabl esdunet	-----⌫-|----|
Paiensuntmor zalquantE	----|---|---⌫|------||
