quibonscountesuoet entendre	--|---|------|---|-------|
granz coupsredunent es	----|----|-------|-|
refause ntl e sesc uzb uclers	-------⌫-|-⌫-⌫|---⌫-|-⌫-----|
par m i enp as sent lesacers	---⌫-⌫|-|-⌫--⌫---|--|----|
debon s espezcl erse	-|---⌫|----|--⌫--||
nut sunt bonslurhaube rcs	--|---|---|--|-----⌫--|
mefausirentmailes	-|--------|-----|
par sunt rudeslur co ups	--|---|----|--|--⌫--|
uolentparthast eles	-----|---|----⌫---|
ecilsetentbenesseles	|--|-|---|--|-|----|
euntdesfurruz trait l u r branz	|--|--|-----|----|-⌫-⌫|----|
emut suntdurs	|--|---|---|
e bentrenchanz	|--|--------|
ec umencentdure e schermie	|-⌫-------|---|-⌫-------|
duntnu ld eusautr e	---|--⌫||--|----⌫|
leoninsertde	------|--|-|
gra n t uigur	---⌫-⌫|----|
pruzfernicl esenestur	---|-------⌫-|-|----|
bense cu mbateuassaument	--|-|--⌫---||---------|
ec il mu t	|-⌫-|--⌫|
duresturli	--|----|-|
ti nt entes pees	--⌫--⌫--|--⌫---|
croisentfe rs	-------|--⌫-|
l ef eu a rda n tepers	-⌫|-⌫-|-⌫---⌫-⌫||---|
ent re eus	---⌫-|--|
dur capleizdu reasemblee	--|------|--⌫-|-------|
dure batailledurs asauz	---|-------|---|----|
d uredefens edursenchauz	-⌫--|------⌫|---|------|
dure enua ieedurs	---|----⌫-||---|
le s coup s	--⌫|----⌫|
kefergetost	-|----|---|
ci stfert celui ec ilre fert	--⌫-|---|----||-⌫-|--⌫---|
cistquert celuic il	---|----|----|-⌫-|
l e requert	-⌫|------|
desescu z fau ssenttentequir	--|----⌫|---⌫----|---||---|
deshe aum esfunt le feu	--|--⌫---⌫-|---|-|--|
cu mfu enforgedeun	--⌫|-|-|----|-|-|
desesten cle s l erb e en fume	--|-----⌫---⌫||---⌫|-|---|
merueillese rt l eo nins grant	---------|-⌫-|-⌫--⌫---|----|
leue lescuhauc e	---||---|----⌫|
mu testeitforse airus	--⌫|-----|---||----|
uncoup lidune merueillu s	-|---|-|---|---------⌫|
cel heame de qua rt er s	--|----|-|---⌫--⌫--⌫|
tutenesgruneli ascers	--|-|------|-|-----|
unq uar teren abati	-|-⌫---⌫--|-|----|
ffortertef orementleferri	----|--||-⌫------|-|----|
apo ike il	|--⌫|-|-|
ne lades tuné	-||-|--⌫----|
m esneladen	-⌫-|-||-|-|
charadesé	---|-----|
parestrangee sfor z fe rul	--|-------|-⌫----⌫|--⌫-||
lin e ir s des triersagenui lla	-|-⌫-⌫--⌫|---⌫-----|------⌫--|
ism eineki	---⌫---|-|
luitsiferir	|--|-|----|
pur renn ese pou tastenir	--|--|-⌫|-|---⌫|------|
un crigetapur	-|--|---|--|
leua ss a l	-|--⌫--⌫-⌫|
k ar ele c onutbenlecheual	-⌫-|--|-⌫---|--|-|-----|
la fie remutsesmerueil la	-|---⌫-|--||---------⌫-|
eais m eine d e manda	||--⌫-⌫---|-⌫-⌫----|
belesor conuissezuus	---|--|--------|--|
mut auezle querdole rus	--|---|-|---|----⌫--|
damenainesa ique l est	---|--|-|--⌫|---⌫|--|
m esdepour	-⌫-|-|---|
ail e que rtel	-|-⌫|---⌫|--|
elafierekeco demande	|-|----|-|-|------|
mutest sischaitrifs quere nbrande	--|--|--|--------|---|-⌫|-----|
siresunttuitcildela terre	-|-----|---|--|-|-|----|
en balance decestguerre	-|------|-|---|-----|
ipome don lecoupse nti	-----⌫--|-|---|--⌫--|
d egranti re te inste	-⌫|----|-⌫-|--⌫---||
elicheuaussestesforce z	|-|------||--|-------⌫|
re uenuz estesa ut	--⌫----|--||--⌫-|
ilregardeuersl e chastel	-|------|---|-⌫|------|
lagentueitachescu nkerner	-|---|---||------⌫|-----|
fiereeueit is meine	----||---|--⌫----|
kisunteneines e en	-|---|-|----||-|
eces dameseg enzplusurs	|--|----||-⌫--|------|
eot cescriz	|-|--|---|
ce spl ur s	--⌫|--⌫--⌫|
alquerenad	-|---|-|-|
mutgr a n tpite	--|--⌫-⌫-⌫|---|
l ebonbran tfurbiadha ucé	-⌫|--|----⌫|----|-|--⌫---|
lesculeuepu r seicuuerir	|---|---|--⌫|--|------|
leo ninfert	---⌫--|---|
pargran tair	--|----⌫|--|
elle heaumeferirle quida	-|-|-----|----|-|----|
plusbasl a sena	---|--||-⌫---|
parcesespallesen tr auers	--|--|-------|-|--⌫----|
fausa lib lancshobercs	----|-|-⌫----|------|
e lisanc ensaut	|-|---|-|---|
a llas quel dolsipetitfaut	-⌫---|---|--|-|----|---|
ke le corsnecoupa parmi	-|-|---|-|----|----|
me slihoid zel poinglig uenchi	--⌫|-|----⌫|-|----|-|-⌫-----|
englaca nt	-|-----⌫-|
l ic ulatarere	-⌫|-⌫---|----|
ffendul iad l	-----|-⌫|-||
arcunderere	----|-----|
bon futlibranc ze cil for t	--|--|-|-----⌫||--|---⌫|
al arcunpas ciln arest ut	||----|--|--||-----⌫-|
detrercou pales chi ne	-----|---⌫-||--⌫---⌫-|
suz celuile souine	--|----|-|-----|
leonins aterresestent	------||----||-----|
sautsusdeliurement	---|--|----------|
grant esteforz e	----|--||---||
uenuzes t uersipomedo n	----|--⌫|---|-------⌫|
brant trenchant dacer	----|--------||---|
qu idatbenf e rirled est rer	--⌫---|--|-⌫-⌫--|-|-⌫---⌫--|
mescil adle	--|--|-|-|
freinresaché	----|-------|
libra nzentre enterrepleinpie	-|---⌫-|----|-|----|----|--|
seduncfustat einzlidestrers	-|---|---|--⌫---|-|-------|
seueréloustendeusqua r ters	------||---|-|---|---⌫-⌫---|
i pomed onleue it	-⌫-----⌫-|-|--⌫-|
hurt él eoutod	----⌫-|-⌫|--|-|
le pi zde ldestrer	-|--⌫|--⌫|------|
sik e ala t errech et	-|-⌫||-|-⌫---|--⌫-|
deireteint e pers	-|--|----||---|
e purpensa grant fel unie	|-------|----|---⌫---|
espee furb ie	----|----⌫-|
albondes tr ersacoste ia	-|--|---⌫--⌫-||------⌫-|
cen g lesle buta	---⌫-⌫--|-|---|
s ikealquerli	-⌫|-|-|---|-|
ateinstlamure	------|-|---|
keichet ecilkic ist de su re	-||---||--|-|-⌫--|--⌫--⌫-|
ipomedonenpie zsa illi	-------|-|---⌫|--⌫---|
l escu tintele	|---|---||-|
brantfurb i	----|----⌫|
ueit lesa nc kide ldestrerrai e	---|-|--⌫-|-|--⌫|------|---⌫|
n e stmerueillese	|-⌫-|--------|-|
i l se nesmaie	-⌫||-⌫|-----|
karmutueitc eluif ort e	--|--|---|-⌫---|-⌫--||
de bonalein ee c umbatant	-|--|-----⌫||-⌫-------|
ent reeusrecomencel estur	---⌫-|--|--------||----|
outc oupsietéplusur	--|-⌫---|----|-----|
and uitant pruztanz	---⌫-|---|---|---|
unseul dece us kisesgarderent	-|---|-|--⌫-|-||----------|
nes ourentk iestutnoalz	-|-⌫-----|-⌫|----|----|
forz edurssuntuassaus	---||---|---|------|
mu t dur ala	--⌫|---⌫|-|
batai llefie re	-----⌫--|---⌫-|
purreposersunttra itarere	--|------|---|---⌫-|----|
leoninsforz ec ruelsfu	------|---||-⌫----|-|
apuiezseest	-----|-|--|
ipomed on metaresun	------⌫-|--||----|
ditlimut estes malbricun	--|-|--|----|--|-----|
mus arz enreurese f ous	---⌫--|-------||-⌫--|
nepoezmessuffrir	-|---|--|------|
mes c oups	--|-⌫---|
kariosui forzefers eg ra nz	--|-|--|---||---||-⌫--⌫-|
ene sturpruzeuaillanz	-|-⌫---|---||-------|
eai uencuzplusu rsmedle es	|-|-----|-----⌫-|-----⌫-|
coup s ecollees	----⌫||------|
esi n e qu it keai	|-|-⌫|--⌫-|-|-|
sifort hume	-|---|---|
de sescoce	--⌫|-----|
desik enrume	----|-|---|
s isuid eliures	-⌫|--|-⌫------|
cor saigrantle membres pl eners	---⌫|-|----|-|------|--⌫----|
euus e stespl us	|--|-⌫---|--⌫-|
f ebl eseme ndre	-⌫---⌫-||--⌫---|
petitdemembrest endre	----|-|------|-⌫----|
certe s deuus	-----⌫|-|--|
grantpiteai	----|---|-|
karbenuei e ententesai	--|--|--||-----||--|
kemut estese	-|--|----||
pru ze sage	---⌫||---|
sireestes degran t	-|------|-|----⌫|
uncoreuus lerraiben	-----|--|-----|--|
simisho meuolez deuenir	-|--|--⌫-|----|------|
odm ei en indeuus merrai	-|-⌫-|-|---|--|-----|
erichesfiusuusidurrai	|-----|---|--||-----|
etrente chasteausend e mei ne	|-----|--------|-|-⌫-⌫---⌫-|
afemmeuus idu rraismeine	|----|--||--⌫--|------|
ipom edon ad	----⌫---|-|
kesare puie	-|||--⌫---|
mutoutestéesale ré	--|--|----|-----⌫--|
mes bensese ntarepo sé	--|--|-|--⌫-||----⌫--|
bel si rebenuusaioi	--|--⌫-|--|--|-|-|
mesneirratpasdel	--|-|----|--|--|
seuus es teseforzegranz	-|--|--⌫--||---||----|
deus estgre indre s epluspu ssa nz	---|--|---⌫-----⌫||---|--⌫---⌫-|
ia uer rezfelu ncumbatre	-|---⌫--|----⌫|-------|
purtortleuer e dreitabatre	--|---|----||----|-----|
kes urluine	-|-⌫-|--|-|
chescu ndeit auersa deserte	------⌫|---|---|-|------|
kituziurzfettortde sun	-|--|---|--|---|-|--|
parmalliertguerd uné	--|--|-|--|-----⌫---|
uusuolezp ar fo rcecunquere	--|----|-⌫-|--⌫--|-------|
eanunresunceste	||--|----|----|
aforc euolezf emmeprendre	|----⌫|----|-⌫---|------|
ioparresu n lauoil	-|--|----⌫|-|---|
def end re	---⌫---⌫-|
fforceneestpruz	-----|-|--|---|
e ncuntreresu n	-⌫------|----⌫|
neuers leautetraisun	-|---|-----|------|
tenezme uusatreitur	----|-|--||------|
naen unk esdeuantcestiur	---|---⌫-|-----|---|--|
suile duncoreco	--|-|---|--|-|
tortclamez cest pais	---|-----|---|---|
atorticlame ́slafiere	|---||-----⌫-|-|----|
kar tut enserrez mis arere	--|--|-|-----|--|----|
le o ninslot tut enfremi st	--⌫-⌫---||-|--|-|-----⌫-|
asenarmes les cusesist	-|------||--⌫-|-----|
en hautle le uebense	-|---|-|--⌫-|--|-|
mutesteit apris detelouere	--|-----|----|-|--|----|
ipomedonle son repr ent	-------|-|--|----⌫--|
ereuentuerslui ferement	|-----|---|--|-------|
l eonin sesthardiz e	-⌫-----⌫|--|-----||
ecume ncemut	|----⌫--|--|
dur enchauz	--|------|
egrementas autl e	-------|--⌫--|-⌫|
i pomedonlitintestal	-⌫------|-|---|----|
easprementse defendi	|--------|-|------|
ches cuna autremutleidi	----⌫--||----|--|----|
desheau mese	--|----⌫--||
des broinesbeles	--|------|----|
uo le lefue este n celes	--⌫-|-|-||----⌫-⌫----|
desesc uroignent	--|---⌫|-------|
c uplent partent ese rei oignent	-⌫-----|------||-|---⌫------|
des coifesdespansdesho bercs	--|-----|--|---|--|--⌫----|
ensau tlefusa rdanse pe rs	-|---⌫|-|--|-⌫----||--⌫-|
li coup sunt espese	-|---|---|----||
croistli f ersesgroneleacer	-----|-|-⌫--|------|-|---|
souente menuseentredunent	-----||---|-|----------|
mutrebau dissent eresune nt	--|-----⌫------||------⌫-|
es heaumes lesmerueiluscoups	-|------|--|--------|----|
duntencheent	---|-------|
mail leseclous	----⌫--||----|
lor e sfausentles hob ercssafrez	---⌫-⌫|------|--|---⌫---|-----|
equa ssentlesheamesgemme z	|---⌫----|--|-----|-----⌫|
leoninsliuaitm utagref	------|-|---|-⌫-||---|
kar aukeslit urneames chef	--|----|-|-⌫---||---⌫---|
leoni ns fut mut adurez	-----⌫-|--|--|-----|
deleschermies out	-||--------|-⌫--|
e bienaparcei te rra u ment	|---|-------⌫|-⌫---⌫-⌫---|
cumba t laschement	-----⌫|---------|
cumdesu ezleueit	--|----⌫-|-|---|
ele cumence ademen er	|-|------||-----⌫-|
uint coups	---|----|
li d uneder andun	-|-⌫--|-|-⌫----|
sikeilnip outaueir andun	-|-|-|||-⌫--|----|----|
entre c escoup sdeunsul couprendere	----|-⌫-|----⌫|-|-|--|---|------|
tante n tendiasei	---|-⌫-⌫----||--|
cillasaut forment lerequert	--||----|------|-|------|
de unentredeuspar funt l e fert	-|-|--------|---⌫---|-⌫|---|
benhautamuntdeden zlecu	--|---|----|-----⌫||--|
a pe inead le coup	|--⌫--|-|-|---|
del escuporteun chantel hors	-||---|----|-|------|---|
od lescri staus	-|--|---⌫----|
en chetli or s	-|---|-|--⌫|
desenarmescoupa unlaz	--|------|----|-|--|
lifaus e nt elbra z	-|----⌫-⌫-|-|---⌫|
t ropladtrouéilocdesclos	-⌫--||-|-----|---|------|
lac har entamadekalos	-|-⌫--|-----|--|||-|
pas adese ́	--|-----⌫|
libranz elpoin	-|----|-|---|
liest turné	-|--|-----|
eci l au kettess eguenc hi	|--⌫|--⌫-----|-⌫|-----⌫-|
plaieben senti	----|--|----|
a ukettesseef fr ei eesee smaie	-⌫------|-|--⌫--⌫--⌫||-|-⌫----|
lesancsdesun	-|----|-|--|
bra z file erai e	---⌫|---||---⌫|
ipomedonencel esfrai	-------|-|--|-----|
regardalanel de sundei	------||---|-|--|--|
cel k esam ereliduna	--|-⌫|-|-⌫--|-|---|
lap iereer t boneee stancha	-|-⌫---|--⌫|---||-⌫------|
aseplaie la pie remist	|-|----|-|---⌫-|---|
e stanchez estlis ancs	-⌫-------|--|-|-⌫---|
adduntram poné	-|---|---⌫----|
u assaluu sestes asené	-⌫----|--⌫|----|-----|
t endre zplusbas	-⌫-----⌫|---|--|
deceste placenenist erezpas	-|----|----|--|---⌫---|--|
sidirrez la	-|-----|-|
r ecrea ntise	-⌫-----⌫----|
iouus fr aitantde	-|--|--⌫-|---|-|
fran chise	----⌫----|
purco ke tanthardi uus u ei	--|-|-|---|----|--|-⌫-|
uifuuslerreip artirdemei	--|--|-----|-⌫----|-|--|
ka runc netrouai	--⌫|--|-|-----|
ke i opussetant prese r	-|-⌫|----|---|-----⌫|
ipomedo n adi regr ant	-------⌫|-|-⌫-|--⌫--|
fferementregardesunbrant	--------|------|--|----|
a leoni ndit parir rur	|-----⌫|--|--|--⌫--|
uassaltro pestesuante u r	-----|---⌫|----|-----⌫-⌫|
iase deuplest	-|-|--|----|
letut pus ant	-|--|---⌫--|
puruusne serrair ec reant	--|--|-|-----|-⌫--⌫----|
neiapuruusen nuleguise	-|-|--|--|-|---|----|
neperde rai	-|-----⌫--|
honur nefran chise	----|-|----⌫----|
s emurirdei meulzuoil mur ir	-⌫|----|--|----|---|---⌫-|
k euifremeindr eemeihunir	-⌫|--|--------⌫||--|----|
uassalpurcoupk eio uncoreaie	-----|--|---|-⌫|-|-----|--|
nepu rfe b l escenepurplaie	-|--⌫|--⌫-⌫-⌫---|-|--|----|
se d eupl estnef eraiuilpl et	-|-⌫-|--⌫--|-|-⌫---|--|--⌫-|
deus est bonse	---|--|---||
granzuertuzfet	----|-----|--|
keilmepo t bienaid er	-|-|-|--⌫|---|---⌫-|
nostr equerele a d esredner	-----⌫|------||-⌫-------|
eue rsuuslafier edefen dre	|--⌫-|--|-|----⌫|-----⌫--|
coup scuntre	----⌫|-----|
granz coups rendre	----|----|-----|
atantle uelescuen	----|--⌫-||---|-|
d e la plaiedunc ne	-⌫|-|----|---|-|
acelefe izu eilenesent	|---|--⌫-|-⌫---|-|---|
d el brantlerequertegrement	-⌫-|----|-|------|-------|
ilesteitaukesreposez	-|-----|----|------|
e cilout plusu rsc oup sdu nez	|--|--|-----⌫-|-⌫---⌫|--⌫--|
ipomed on p asnese fein t	------⌫-|-⌫-|-|-|----⌫|
ensuncuragemut sepleint	-|--|-----|--|-|-----|
uncheualer	-|-------|
e keparuns ulbran tdascer	|-|--|-|-⌫-|----⌫||----|
deustsiestre demenez	----|-|----|------|
e silaidiz e	|-|-----||
karn iquidoutiurdesauie	--|-⌫|------|--|-|-|--|
p aresf orz dech eualerie	-⌫-|---⌫--|-|--⌫-------|
estreturné si	----|-----|-|
mu tli e stmalmutli est gref	--⌫|-|-⌫-|--|--|-|--|---|
e recoil t sungrant	|------⌫|--|----|
ea s autcelui par telrage	|-⌫-⌫--|----|--|--|---|
keenunranduncent	-|-|-|-----|---|
coups li d une	----|-|-⌫--|
d u nt laterreenuirunresune	-⌫-⌫-|-|----|------|-----|
partel esforzlenchauce	--|--|-----||-------|
en aut repa rla	-|---⌫-|--⌫|-|
keuerslui ne pout ares ter	-|---|--|-|---|----⌫--|
p ur coupreferir nepoutar ester	-⌫-|---|------|-|---|--⌫----|
a l dreinietteipom edon	-⌫|----|----|----⌫---|
unfe rcoup enairu s	-|--⌫|---|-|----⌫|
del br antlefer t elh eame	--|--⌫--|-|---⌫|-|-⌫---|
lesflu r saba tdel heame	--|---⌫-⌫|---⌫|--|----|
edel heaumeabat	|--|-----|---|
de usqu arters	--⌫-|--⌫-----|
del brantse tentben	--|----|-|---|--|
li a scers	-|-⌫----|
lacoifed el hobercsderu nt	-|----|-⌫-|------|----⌫-|
lequiriert uersl ateste parfunt	-|---|---|---|-⌫|----|------|
lecha renporte	-|---⌫|-|----|
entr a uersuet	-|--⌫-⌫---|--|
unecuruneli adfet	--|-----|-|-|--|
tutresa r e s	--|--||-⌫-⌫|
delaceruele	-|-|------|
delheaumee	--|-----||
del acoife	-|-⌫|----|
uol el ife rse	---⌫|-⌫|--⌫-||
li sancsa ut	-|---|--⌫-|
ionequitkeuncsidur	-|-|---|-|--|-|--|
gr anzcoupsfustmesdunez	--⌫--|----|---|--|----|
par humekiunkesniez	--|---|-|----|---|
ipomedonfeit	-------|---|
lechefpar ensundescuuert	-|---|--|-|--|--------|
en ramponantliaddun c dit	-|--------|-|-|---⌫|--|
desoremespu rr ez prendreab it	--------|--⌫--⌫-|------|--⌫-|
cistbranztrench e ben eroigne	---|----|------⌫|--||-----|
curunez estezcume mo ine	------|----|---|--⌫--|
en estnettementree s	-|--|--------|---⌫|
e nsunleche f n	-⌫|--|-|---⌫||
atnul remis	-|--|----|
u estésfrocuusauezcorune	-⌫-----|---|--|---|-----|
orepoezchanterp r imee	--|---|------|-⌫-⌫--||
oreei nzamismeramponastes	--|--⌫-|---|-|----------|
plaieuusgabbastes	----|--|--------|
cumentke seitde sel e plaie	-----|-|---|-|---⌫|----|
uneenauez hori bl eelaie	--|-|---|----⌫--⌫||---|
de me dcin es asez sa uera	-|--⌫----⌫-|---|--⌫---|
plaieuus ga rra	----|--|--⌫--|
certesamisfet	-----|---|--|
natel m undmires	|-|-|-⌫--|----|
kide la plaieseinmefa c e	-|-|-|----|---|-|--⌫-⌫|
cunqu is m ea uezences t eplace	-----⌫-|-⌫|-⌫--|-|---⌫-⌫|----|
l e meuldrecheualer	-⌫|------|-------|
keunc feri t de br a ncde	-|--|----⌫|-|--⌫-⌫-|-|
karsenzuusunkes nee	--|---|--|----|--|
kiuers mei se	-|---|--|-|
f ustdefendu	-⌫--|------|
keelmund nepurreit l umtrouer	-|-|---|-|------||-|-----|
hume u iuan tforsuusmun per	---|-⌫----⌫|---|--|--|--|
elafierenetendrapru	|-|----|-|-----|--|
si uusne laprendrezsun u u	-|--|-|-|-------|--|-⌫|
atant adi usl e brantieté	----|-|-⌫-|-⌫|----|----|
mut adsegn é	--|-|----⌫-|
quantilreuent	----|-|-----|
depumeisu n	-|-------⌫|
lauiedemande	-|--|------|
hors delpaispuisse fu i r	---|--|---|-----|--⌫-⌫|
eseost odd e luien	|-|--|-|-⌫|--|-|
pes partir	--|-----|
tol ezuus duncde	---⌫-|--|---|-|
simelessezletre freal	-|-|-----|-|---⌫|---|
uu usfustes	|-⌫-|-----|
enzhe rbergé	--|--⌫------|
iolai merueillescoueité	-||-|---------|-------|
ecillidi t ke uolent ers	|--|-|--⌫|-|------⌫--|
uenuzestase scheua l ers	----|--||--⌫|-----⌫-⌫--|
e snefs est entrez od sa gent	-⌫|---|--|-----|-|-|---|
esen uunt tutsigl ant aluent	||-|---|--|----⌫--|-|---|
ipomedonel	-------|-|
champr e mist	----|-⌫-⌫---|
etholomeuke	|-------|-|
cur tei sfist	---⌫---⌫|---|
ilou tmutben	-|--⌫|--|--|
ueules t ur	--||--⌫-⌫-|
e mut c onutsun	|--|-⌫---|--|
suuentlei ur	-----|-|-⌫-|
aueites té	----|--⌫--|
p uisre cumfo rté	-⌫--|--⌫-----⌫---|
sou ent dolenze	---⌫--|-----||
ioius f ut	----|-⌫-|
sul unc keasunseignurestut	---⌫--|-||--|------|----|
unbon destrer liadmené	-|--|------|-|-|----|
prest eign eltut ense lé	----||---⌫-|--|----⌫--|
cil de lch astel	--|--⌫|--⌫----|
suntener ru r	---|-|--⌫--⌫|
e suntenbra ndee enpour	|---|-|---⌫--||-|---|
nes euent quel ioieu do ilfaire	-|-⌫----|---|---||--⌫-|----|
ne que lil	-|---⌫|-|
untbenu cuntraire	--|--||--------|
tr isturuhaitioieudep ort	--⌫----||---|---||---⌫--|
keseitudreitu	-|---||----||
iaueraun suldeden z	|----|-|--|-----⌫|
kine seit iamut	-|-|---|-|--|
tost dolenz	---|-----|
ipomedon estia mun te z	-------|--|-|---⌫--⌫|
deskeaceltref	----||--|---|
estreturne z	--|-------⌫|
er ecomencaestrangementoue rer	|-⌫-------|-----------|---⌫--|
uncorea q il sepotsec ouerir	-----|||-|-|--|-|-⌫-----|
senquideben partir	|-|----|--|-----|
d elpais senzseide cou r i r	-⌫-|---|---|--|--⌫---⌫-⌫-⌫|
quan tilreuun taltrefarer e	----⌫|-|-----⌫|-|---|----⌫|
ensunficha unebanere	-|--|----|--|-----|
n e ire tutesurl anceneire	-⌫-⌫--|---|--|-⌫---|----|
tutela gentquidee	---|-|---|----||
keleoninsaldesu sseit	-|------|-|----⌫|---|
purcoke litrefssonsesteit	--|-|-|-|----|---|-----|
si targelun gesle uassal	-|----|---⌫--|-|-----|
a e sles br oche	|-⌫---|--⌫---|
asportesuent delacite	-|-----|---|-|-|---|
uoiz ad apelé	---|-|-----|
a lafiere e s c ie	|-|----|-⌫-⌫-⌫-|
beleoreuus aue ra iamie	---|--|--|---⌫--⌫|---|
nenpoez mesferedanger	|-|---|--|---|-----|
uencuai uostre	----|-|-----|
ffetestost	-----|---|
si uusaprestez	-|--|-------|
enindeensembl e	-|---|-------⌫|
lafierelotore estdesuee	-|----||-|--|--|-----|
pr e sa presestore tre is	--⌫-⌫||---|--|--|---⌫-|
fe izpasmee	--⌫-|-----|
i p omedonata n ts en turne	-⌫-⌫-----|---⌫-⌫||-|----|
enlac it eremei ntme i nt murne	-|-|-⌫--⌫|-----⌫-|--⌫-⌫-|----|
efuntgranz p leinte se	|---|----|-⌫------⌫||
tir ent lur cheuaus	---⌫--|--|------|
pa s mentp lusurse	--⌫-⌫---|-⌫-----||
g isent freiz	-⌫----|----|
baten tp aumesto rtent lur	-----⌫|-⌫----|--⌫----|--|
cri enthuchentguaim e nte ntbraient	---⌫--|------|-----⌫-⌫---⌫-|------|
pu rl ur d ameformen tses mai en t	--⌫|-⌫-|-⌫--|------⌫||--⌫---⌫--⌫|
epureusme isme reunt	|--|--|--⌫---|----|
tutdisq uidentu iu re adolur	--|--|-⌫-----|-⌫--⌫-||----|
uncmes tel	--|--|--|
dolne futmené	--|-|--|----|
cumilen fu ntparla cite	--|-|-|--⌫-|--|-|---|
plurent burgeis esede ment e nt	------|------||-|--⌫----⌫-⌫-|
dam esepuceles gaunnentent	---⌫-||------|----------|
la f ie re grantdolur	-|-⌫--⌫-|----|----|
uncmesnoutlameite de pei n e	--|--||--|-|----|-|---⌫-⌫|
keeleoredemei nekar sun uoil	-|--|--|-----⌫-|--|--|---|
enla mers eneiast dedol	-|-|--|-⌫|-----|-|--|
epurueirle	|--|---|-|
uusdike ismeine	--|-|-|------|
n a delq uergueresdepeine	|-⌫|-|-⌫--|-----|-|----|
tutsuncunse ilpris	--|--|-----⌫-|---|
guerpirt ut	------|-⌫-|
ses chasteause tutesahunur	--|--------||---|-|----|
k eprendrecelui a	-⌫|------|----||
tost d el cha stel ei ssu	---|-⌫-|---⌫---|--⌫--|
ee st de skeasbateau suenu	|-⌫-|--⌫--|-|------⌫|---|
s enuon ttutlipriue	|-|---⌫|--|-|----|
lec h as t el lessent esgaré	-|-⌫-⌫--⌫-⌫-|------|------|
par lafaus eposterne uunt	--|-|----⌫|-------|---|
elfa r entrent alezsunsunt	-|--⌫|------|---|--|---|
ipomedonaltref	-------|-|---|
esapl a ie	|-|--⌫-⌫-|
re tre in d refist	--⌫---⌫--⌫-⌫-|---|
lasesteit mutsi serepose	--|-----|--|-|-|-----|
mani a e butdormigrant	----⌫||--|----|----|
ketutsesentiseinedru	-|--|-|----|---||--|
edesu n trauailreuenu	|-|--⌫|------|-----|
unaue ntureuusuoil dire	-|---⌫----|--|---|---|
pur meulze sclarzi er la m atir e	--|----|-⌫-------⌫-|-|-⌫----⌫|
quant ismein ef ute n sezile	----|------⌫|-⌫-|-⌫|-----|
capaneusdu ncen laui le	-------|--⌫-|-|-|--⌫-|
cume inzois tes	--|-⌫--|---⌫--|
al seir quantiluint mut futt ristes	-|---|----|-|---|--|--|-⌫-----|
emutirezen	|--|---|-|
del p aismandalebarnage	--|-⌫--|----|-|------|
sikeiloutcinccenz cheualers	-|-|-|--|---|---|--------|
iofneslegers	-----|-----|
uers c al ab retintl echemin	---|-⌫--⌫--⌫-|---|-⌫|-----|
pur eusuen gerd e leonin	--|--|---⌫--|-⌫|-----|
un hau tcheminegrantte nei t	-|---⌫|-----||----|--⌫---⌫|
pr esdelfar sur lariue	--⌫-|--|--|--|-|---|
iladmu tbe legent	-|-|--⌫|--⌫-|---|
res plendist lac untree	---⌫-------|-|-⌫-----|
m eintblan cescuemein tu ermeil	-⌫---|----⌫|---||----⌫|-⌫-----|
fflambeiecunt reles oleil	--------|----⌫-|-|-⌫----|
meint ehe aumee meinte brunebele	-----⌫|--⌫---||-----|----|---|
cuntrel aclarte	-----|-⌫|-----|
estencel e	--------⌫|
e reluistemeintcroper e	|------||----|------⌫|
euenteill emein tebane re	|--------⌫|----⌫-|----⌫-|
er esplend istmeint glaiueagu	|-⌫-------⌫--|----|-----|--|
meint suzse l e a orteissu	----|-----⌫-⌫||-|-----|
meintar cundeoreme intlorei n	----|--⌫--|-|-||--⌫--|-----⌫|
sune i meint peiteral	---||----|-------|
eme intfrei n	|--⌫--|----⌫|
lebruit lanoisede	-|----|-|----|-|
nesepot pas celer neent	-|-|--|--|----|----|
cild ebateausles	--|-⌫|------|--|
ore s etene nt	--|-⌫|----⌫-|
adescumfi z	|--------⌫|
e multest pensiue lafiere	|---|--|------|-|----|
e dol en t edeg rant	|---⌫--⌫-⌫|-|-⌫---|
e quidoent	|-------|
ben keleonin	--|-|-----|
les eust guetéelchemin	--|---|-----|-|-----|
este pl us	--||--⌫-|
ert ia mi s de lses tein t	--|-|--⌫|--⌫-|--⌫----⌫|
iofuid oluredo lur	-|--|-⌫---||--⌫--|
iouoilu iureeuiure	-|---|-⌫---||----|
m orte mamortfui	-⌫--||-|---|--|
i o nepuisgarrir	-⌫|-|---|-----|
nei oenmerneio e nterre	-|-⌫|-|--|-|-|-⌫|----|
eideu stant	-|---⌫|---|
prenezfeblegerre	-----|----|----|
kiuers meipernezt el estrif	-|---|--|-----|-⌫-|-----|
siuuspeise ke tantuif	-|--|----|-|---|--|
n e uuses totfors	-⌫|--|--⌫--|---|
cum ande r	---⌫----⌫|
keiomen nieen	-|-||-|--|-|
capaneusueit lesb ateaus	-------|---|--|-⌫-----|
mutbench argezebo nse	--|--|--⌫----||--⌫-||
ceusdedenz adtostapelez	---|-----|-|---|-----|
uusqu el par talez	--|--⌫-|---⌫|---|
lafere sedr esce en e stant	-|---|-|--⌫---|-|-⌫----|
eresp undid emeintenant	|----⌫---|-⌫|---------|
io suiu nemaluree	-|--|-⌫-|------|
