formCHCor012	---|-------|
neiustic e	-|------⌫|
n eautrechosene en ces choses neas	-⌫|----|----|-|-|--|-----|-|-|
acruesn epartiranunsdenoshoirsànul	-----|-⌫|------|---|-|--|----|-|--|
iorf or s cilquiiert	--|-⌫--⌫|--|--|---|
dusde Borgoingne	--|-|---------|
etdoien testretotesces ch oses	-|-----⌫|----|----|--|--⌫---|
dauantdites et toteslesac ru es	-----|----|-|----|--|--⌫--⌫-|
c ommunes à toz	-⌫------|-|--|
iorsà nosà	---|-|--|-|
eles etànos hoirsne nosnenostre	---|-|-|--|----|-|--|-|-----|
hoir nep oons	---|-|-⌫---|
rien alienerennule	---|------|-|---|
maniered alienat ionde s ch oses	------||-------⌫--|--⌫|--⌫---|
daua ntdites nemet tr eenau tre mainne	----⌫-|----|-|---⌫--⌫|-|--⌫--|---|-|
E t àtotesc es co uenancesgarderettenir	-⌫|-|----|-⌫-|--⌫-------|-----|-|----|
en boinne foià toz	-|-----|--|-|--|
iorsetleamentsenseles tortfaire enloions	---|-|------|---|---|---|----|-------|
nosparces presen teslettres	--|--|--|------⌫--|------|
nos etnoshoirsparnos tres air emantet	--|-|--|----|--|---⌫--|-⌫---⌫----|-|
u ol o ns etconsenton sque senosounostr e	-⌫--⌫-⌫-|-|---------⌫|--|-|--|-|-----⌫|
hoir dontDexn os	---|---|--|-⌫-|
garta liensd erien	---|-⌫----|-⌫|---|
encontrec es	-------|-⌫-|
couenances da uantditesque nostres droiturierssireslirois de	---------|--⌫---|----|--|------|----------|----|-|---|-|
Franceàla requeste delabbausseetdou	-----|-|-|-------|-||-------|-|--|
couentdauantdiz oudelorpro cur ourqu iàce	-----|-----|--|-|-|--|---⌫---⌫--|--⌫|-|-|
fai rese r oitestabl iznos	---⌫-|--⌫-⌫--|------⌫-|--|
fei st amenderladefauteetre ndre c oste setgrieues	---⌫-|------|-|------|-|--⌫---|-⌫----⌫|-|------|
àsairementdoudit procurourqui	-|--------|--|--|--------|--|
au roit p ooirdefaire	--⌫---|-⌫---|-|----|
lo sairementetloferoit en lorarmes	-|--------|-|-|-----|-|--|----|
c estf aitrenonceonspornos	-⌫--|-⌫--|---------|--|--|
n oshoirs à	-⌫-|----|-|
t ozpriuileiges à toz	-⌫-|----------|-|--|
benefi ce sdedroit	------⌫--⌫|-|----|
etde costu me	-|-|-----⌫-|
totesexceptionsdefai t et	----|---------|-|---⌫|-|
dedr o it e tàtotesleschosesquiaidier	-|--⌫-⌫-|-⌫|-|----|--|-----|--|-----|
no sp orro ientetelesg r euer	--⌫|-⌫----⌫---|-|---|-⌫-⌫---|
etpa rquoinos porriensnosounostrehoi rresa illir	-|--⌫|---|--|-------|--|-|-----|---⌫|----⌫----|
d escoue nances dauantditesen	-⌫-|----⌫-----|-----|----|-|
totou enpartie .	--|-|-|-----||
Etnos Loÿzparlagraced e	-|--|----|--|-|----|-⌫|
Deuro i sdeFrance parla	--|--⌫-⌫|-|-----|--|-|
requesteetpa r laproiere à dauant	-------|-|--⌫|-|------|-|-----|
ditducdeBorg o in gneetpar	--|--|-|----⌫-⌫--⌫--|-|--|
la pro ie reet l asupplicat ionàl	-|---⌫--⌫-|-|-⌫|---------⌫--|-||
abbausseet à coue ntdau ant	-------|-|-|----⌫-|---⌫--|
diz auonsfaitm ettrenossaelzen	--|----|---|-⌫----|--|----|-|
ce s presentes lettres entesmoingnaigede uerit ei auec lo	--⌫|--------|------|-|------------|-|-----⌫-|---|-|
saelà daua n tditduc.	---|-|----⌫-⌫|--|--||
Ce fufait oumoi x demay enlan	-|-|---|-|---⌫|-|--|-||-|
queli miliaires corroitpar	--|-|--------|------|--|
milet dous cenz etsexanteet seix ans.	--|-|---|---|-|------|-|---|--||
Nos autempredictea bbatiss aetconuentu s se renitat emues tr am	--|----|-------|-⌫-------⌫|-|--------⌫|--⌫-------⌫-|---⌫--⌫-|
quantum cumDeo	------|--|--|
possumushumil ite r	-------|-----⌫---⌫|
supplicandorog amu squatinus di uinepietatis intuitu in predic t orum	----------|---⌫---⌫|-------|--⌫---|-------|------|-|------⌫-⌫---|
roburettestimoniums igil l um	----|-|----------|-⌫----⌫-⌫-|
uestru m unacum sigillodictid ucisinstrumento	------⌫|--|--|------|----|-⌫---|----------|
predictofaciatisappend i credimusenimnobise tecclesi enost replenius	-------|-------|------⌫|-------|---|----|-⌫|-------⌫|----⌫-|------|
ess ecau tumsipr ed ictuminst rumentumsigilliuestri	---⌫|---⌫--|-|--⌫--⌫----|----⌫-------|------|-----|
munimi n efuer it r ob oratum.	------⌫-⌫|----⌫-|-⌫--⌫-----||
In cuiusreitestimonium sigil lano strapres entibussun tappensa .	-|----|--|----------|-----⌫-|--⌫---|----⌫------|---⌫|------||
D atumapudRomaricummontemin	-⌫---|---|--------|-----|-|
crast inobeatorum P hilippiet	-----⌫--|-------|-⌫------|-|
Ia cobiapostolorumannoDomini	--⌫---|----------|---|-----|
millesimo ducentesimo	--------|----------|
sexagesimosex to.	---------|---⌫-||
Chu01 24Counue choze soit àt ous quecumdescors fus t	-----⌫-|-----|----|---|-|-⌫--|--|--|------|---⌫|
antrelechapistredeT o ul	----|-|--------|-|-⌫-⌫-|
dunepartet l on oble	|--|---|-|-⌫|-⌫---|
baronHanri contedeWadoimontdautreparten sicum	----|----|----|-|--------||----|---|--⌫-|--|
dedouzpiec esdeboixqui	-|---|----⌫-|-|---|--|
sunt lunnedeuersWandelainuillepres dou	---||---|-----|-------------|---|--|
Banel et l i	----|-|-⌫|
autredeuers Aroufeàlix uede Hei xentr eBe ttigneix	----|-----|-----|-||--⌫-|-|---⌫|----⌫|--⌫-------|
et Arofea uleu cumdista u ual	-|----|-⌫|--||-|---|-⌫|--|
laC onte ssepaixe tconcordea test ei faite	-|-⌫----⌫--|---|-⌫|-------|-⌫|---⌫-|----|
a n te lmaniere que doudauantdit	-⌫|--⌫|------|--|--|-----|--|
bo ix quisieta ntreAr ofe etBettigneixà	--⌫-|--|---|-⌫---|--⌫--|-|---------|-|
chiefde Heixau leu	----|-|---|-|--|
cum ditau ual laConte sselichapistresan	|-|--|-|--|-|-----⌫--|-|---------|-|
at etd oit auoi r	-|-|-⌫--|----⌫|
lesdouzpar sdoud escors	--|---|---⌫|--|-⌫-----|
d ouditboix p ar d euersAroufe	-⌫-|--|---|-⌫-|-⌫----|-----|
etlezTramonsen sicumlez bonnesquii	-|--|------|--⌫-|--|--|-----|--||
su nt mises l e tesmougnent etdeuisent	--⌫-|----|-⌫|----------|-|-------|
dauant dizcue nsdeWadoimont	-----|--|---⌫-|-|--------|
letiersdou	-|----|--|
di tbestansdou b oixpardeuer s Be ttig neixne	--⌫|------|--|-⌫--|--|-----⌫|--⌫----⌫---|-|
n epuetne ne	-⌫|---|-|-|
doitli dau antd izcu ensnen	---|-|---⌫--|-⌫-|--⌫--|--|
ilnesuihoirn e sui	-|-|--|---|-⌫|--|
houmeiamaisrien	----|-----|---|
reclamer outrelesbounes	-------|----|--|-----|
d auant dittesenlapartiele ch a pistrene lichapist rez	-⌫----|-----|-|-|-----|-|--⌫-⌫-----|-|-|-------⌫--|
nel o rhoumeen lapartie leconte	-|-⌫-⌫|----|-|-|-----|-|----|
outrelébounesd auantdittes	----|--|-----|-⌫----|-----|
et doudescors de l autrebo ixqui	-|--|------|-||----|--⌫-|--|
sietparde uersW a nde llai n ui lleprez doubanel paix autresi	---|--|--⌫---|-⌫-⌫---⌫----⌫-⌫--⌫--|---|--|----|---|------|
a n est faiteant re	-⌫|--|----|---⌫-|
ausentelmaniereque lidizch api strez	--|-|--|------|--|-|--|--⌫---⌫----|
atet doitau o irla	-|-|---|--⌫-⌫-|-|
-m oit iey	|-⌫---⌫--|
dou d esc ortdou	--|-⌫---⌫--|--|
d itboi x pardeue rs lezTra mou s	-⌫-|---⌫|--|----⌫-|--|---⌫---⌫|
et lidauantnum ézH an ris cuens	-|-|-----|---⌫--|-⌫--⌫--|----|
deWadoimontlautremoitieypardeuersWandell ainui lleensi	-|--------||----|------|--|-----|-------⌫-----⌫--|---|
cum lezb onnes quiis unt	--|--|-⌫----|--||-⌫--|
m isesledes so iur e ntetdeuisentnel i uns anuersl	-⌫---|-|---⌫--⌫---⌫-⌫-|-|-------|-|-⌫|--|-----||
a u tre ne puetiamai s	-⌫-⌫--|-|---|-----⌫|
rie nreclame rendizboix	---⌫|-------⌫|-|--|---|
outre lé bonnesdauant dittez.	----|--|-----|-----|-----||
Etcumbes tans	-|--|---⌫---|
etdescors fustautresiantr eaus des	-|------|---|------|----⌫|--|--|
ant recoursquies toientoupouoiente stredetoutes lor	---⌫------|--|--⌫-----|-|-------|-⌫---|-|-----|--|
trer esde toutes	----⌫-|-|-----|
lorsui ll ezquel	---|--⌫--⌫-|---|
elezsoientetde	---|-----|-|-|
t ouzlo rho umes anquel leuquilsoient	-⌫--|--⌫|--⌫---|-|---|--|-|-|-----|
ouquillezpuentauoir ou	-|-|-|--|----|----|-|
a cqu ester li dauantdi z cha pistresetli	-⌫---⌫----|-|-----|--⌫|---⌫------|-|-|
dau an tdizc uensac quittentetdeffont liuns	---⌫--⌫|--|-⌫---|--⌫-------|-|------|-|--|
anuers l autretouslezantrecou rs de	-----||----|---|--|--------⌫-|-|
lorster re sdeto ute s	---|---⌫--⌫|-|--⌫---⌫|
lor uilles	--|-----|
et det ouz lorhou me sq uelpartquil	-|-|-⌫--|--|---⌫--⌫|-⌫--|---|-|-|
soientouqu	-----|-|-|
i l lezp o urroie nt auoir ouacquester à touziours	-⌫|--|-⌫-⌫------⌫-|----|-|--------|-|---|----|
maisdezoranauan t .	---|--|-|-|----⌫||
Et està sauoirque	-|--|-|-----|--|
se n uns deshoum e s lec hap istre uatde z or	-|-⌫--|--|----⌫-⌫|-|-⌫---⌫----|--|--⌫|-|
anauan tdesouz le cont e anterre	-|----⌫|-----|-|----⌫|-|----|
n enan uillequilaitquilt ang ne ou	-⌫-|-|----|-|-|--|-|-|-⌫---⌫-|-|
conquie r eiama isil ousuiho irquela	-------⌫-⌫|----⌫-|-|-|--|--⌫-|--|-|
remanancedemour at	--------|------⌫-|
tout entieremantàchapistre de mueble etder ita gec	---|----------|-|--------|-|-----|-||--⌫---⌫-||
umtrouuer at deso uz le chapi s treetse	-|-------⌫-|----⌫-|-|-----⌫-⌫--|-|-|
auc unsdeshoumesledau ant ditco nt euenoitde moure r	---⌫--|--|-----|-|---⌫--|--|--⌫--⌫|-----|--⌫-----⌫|
enterrenienuille qu e li	-|----|-|-|----|--⌫|-|
c hapis tresai tou quiltangne ouconquiere	-⌫-----⌫---|--⌫|-|-|-|-----|-|--------|
iamai sl aremanance demorroit entierem ant àconte	-----⌫|-⌫|--------|--------|--------⌫--|-|----|
et àceshoirsd emuebleetd	-|-|--|----|-⌫|-----|-||
umtrouuero it desouz leconteetdeso us ce s	-|--------⌫-|-----|-|----|-|----⌫-|--⌫|
hoirsetci lauenoitparauantureque	----|-||-⌫|------|--|-------|--|
c hap ist realatmanoir an autreleuque	-⌫---⌫---⌫-|---|-----|-|----|--|--|
desous le co nteou ileutant re courset	-----|-|--⌫--|-|-|--|---⌫--⌫----|-|
de laiuenist demourerdesousle conteilperdroits a	-|--|-----|-------|-----|-|----|-|-------|-⌫|
remana nceausicumilfustmeuz de desous le	------⌫--|---|--|-|---|---|-|-----|-|
chapis tre etio irroi t lich apistrez de sa re ma nanceanti eremantde	------⌫--|-|--⌫-----⌫|-|--⌫-------|-|-|--⌫--⌫----|----⌫------|-|
muebleetd e ritage	-----|-||-⌫-----|
etensiseroit	-|---|-----|
il de s houmes	-|--⌫|-----|
lecontee t	-|----|-⌫|
ceshoirs c	--|----||
ilent elman ie re ueno ientdemo ur erdes ous le	-|-|-⌫-|---⌫--⌫-|----⌫---|----⌫--⌫-|---⌫--|-|
chapistre.	--------||
EtnosThieb auscue nsdeBarfasso nssau oir àtouz	-|--|-----⌫--|---⌫-|-|--|-----⌫-|---⌫--|-|---|
quenoz crantons o ttrions et uolo nstoutesces	--|--|-------|-⌫------|-|----⌫-|-----|--|
chozesensi cum	-----|---|--|
e lez sun tdauantdeuisees.	-⌫--|---⌫|-----|-------||
E t pou rce qu	-⌫|---⌫|-|-|
eles s oient fermes	---|-⌫----|-----|
et estable zauonsnoz mis nostre	-|-------⌫|----|--|--|-----|
sael àla req ueste l e ditHenr i contede	---|-|-|---⌫----|-⌫|--|----⌫|----|-|
Wadoimontaueclesienan cespresenteslet tr esq u efurent	--------|---|-|---|-|--|--------|---⌫--⌫-|-⌫-⌫|-----|
faitesl andegrace	-----||-|-|----|
et sexante etoitanslemoi s	-|------|-|--|--|-|---⌫|
Chu0127Nos Ferrisdoiens delen glisedeSeintDié	------|--|-----|-----|-||--⌫----|-|----|---|
ettous li chap itres	-|---|-|----⌫----|
desoumo i meslui fa sonscon issantàt ous saus qu i	-|--|--⌫-⌫--|--|--⌫---|---⌫-----|-|-⌫--|---|--⌫|
ceslettresuarrontetorontque com be stanset	--|------|------|-|----|--|--|--⌫----|-|
descors fustantre	------|---|----|
parte tlousig nor	---|-⌫|--|---⌫--|
Regnautsignor	------|-----|
deRomont dautre partqueli sires	-|-----||----|---|--|-|----|
Regn ausdauantdisauoit f aitunmolin	----⌫--|-----|--|----|-⌫--|-|----|
sus la re u i ere deM ort amede sousSeint Morise	--|-|--⌫-⌫-⌫--|-|-⌫---⌫--|--⌫---|----|-----|
sauile par	-|---|--|
- q u o inostresmolinsconapelle Costanmolin	|-⌫-⌫-⌫|------|-----||-|-----|----------|
estd eff aisetaleisà - niant pax	--|-⌫---⌫--|-|----|-||----|--|
et concorde	-|-------|
enestfaite	-|--|----|
e ntreno setlou	-⌫---|--⌫|-|--|
signor Regnautens icon le slet tres	-----|------|---⌫|--|--⌫|---⌫---|
qu ilen a itd one esàno s loudeuisent	-|-|-|-⌫-|-⌫---⌫-|-|--⌫|--|-------|
tenors deceslettres e st	-----|-|--|------|-⌫-|
telleIeR egnau ssiresde Romont	----|-|-⌫-----⌫|----|-|-----|
fassauoirà tozsausqu ic es letresuarro nt	--|-----|-|--|---|--⌫|-⌫-|-----|-----⌫-|
et orontquecombestans etdes cors fus t antrenos	-|----|--|--|------|-|---⌫---|---⌫|----|--|
d une pa rt et le doienetlechapitrede	|--|--⌫-|-|-|----|-|-|-------|-|
-lenglisedeSeintDié dautre	||------|-|----|---||----|
part de ceuque	---|-|--|--|
ieauoiefaitun	-|----|---|-|
molinsus lareuiere	----|--|-|------|
deM o rtam e deso us Sei n tMorise	-|-⌫-⌫----⌫|----⌫-|---⌫-⌫|-----|
ma uileparquoili	-|---|--|---|-|
molinsconape lleConstansMolins qui estoità	-----||-|---⌫--|-------|-----|--|-----|-|
doi enetauchapitred auant diz est deffais	---⌫-|-|-|-------|-⌫----|--|--|------|
et aleisàni ant paxet co ncorde	-|----|-|--⌫--|--|-|--⌫-----|
e n estfaitee nt el menier eparconsoil	-⌫|--|----|-⌫|-⌫-|------⌫|--|------|
debo nes gensqueie ai	-|--⌫--|---|--|-|-|
doneietdoigàtoz iors ledauan dit	----|-|---|-|--|---|-|----|--|
molinà-leglise de	----|-|||-----|-|
SeintDié da uan tditee tlidoi	----|---|--⌫---⌫|---|-⌫|-|--|
garentiretieetmi hoir	-------|-|-|-|-|---|
iormasuerstotesgen s	--|--|---|----|---⌫|
quià- droituorroientu en ir	--|-||----|--------|-⌫--⌫-|
en-tel menierequ eie etSebile ma	-||--|------|--⌫|-|-|-----|-|
femepanronsoudauanditmolintotenostreui e	---|------|-|-------|----|---|-----|--⌫|
la moitié	-|------|
d etotesuallances etde	-⌫|----|--------|-|-|
tousp rowages dou molineti	---|-⌫------|--|----|-||
me ter on smusniersetserianstelz c om il couient à molin	--⌫---⌫--⌫|-------|-|------|---|-⌫-|-|------|-|----|
parco munconcortetsenos ne nos poiens	--|--⌫--|------|-|-|--|-|--|-----|
concorderdoume trel idoienset l i	--------|--|--⌫--|-⌫|-----|-|-⌫|
chapitres dau antdislesimeteroit	--------|---⌫--|--|--||-------|
unan et ieou mafemelautre	-|-|-|-|-|-|---||----|
an e t deuonsmeintenir etretenir	-|-⌫|-----|--------|-|------|
loumo lin detot es ch osese ncomundespanset se	--|--⌫--|-|---⌫-|--⌫---|-⌫|----|------|-|-|
limolinsdauant dis	-|-----|-----|--|
es toitdeffaisparauent ureoupar	--⌫---|------|--|-----⌫--|-|--|
gue r reouautrement ieet li deuant diteegli sie	---⌫-⌫-|-|--------|-|-|-|-----|---|----⌫--|
serienstenui derefaireautre molinen	------|----|-|------|----|----|-|
comun despanse tiesegn eroielesiege	----|------|-⌫|-|----⌫----|-|----|
e tleboxetdeu onsieetlieglise da uant	-⌫|-|--|-|---⌫--|-|-|-|-----|--⌫---|
dite faremorreàdauanditm olinpar	---|---|----|-|-------|-⌫---|--|
ban etpar iusticeieme s ho mes de Romont	--|-|--|------|-|--⌫|--⌫--|-|-----|
SeintMoriseet liegliseles suenshomes deMoimont	----|-----|-|-|-----|--|----|----|-|------|
saufceuqueieetmihome	---|--|--|-|-|-|---|
poonsmorre quant	----|----|----|
nosuorron s	--|------⌫|
àm olindemonestan deRomont etlihome	-|-⌫---|-|--|----|-|-----|-|-|---|
deM oy montpu e ntmorreau tresiàm ol in	-|-⌫--⌫---|--⌫-⌫-|----|--⌫----|-|-⌫--⌫-|
delestande Mo ymont .	-||----|-|--⌫----||
Etsepar auenture	-|-|--|-------|
auenoitqu eli dauandismolinsnes offesist à	------|--⌫|-|-------|-----|-|-⌫-------|-|
dauan d itesui lle s li	-----⌫-⌫---|--⌫---⌫|-|
eglised auant dite porroitfaireunautremolin	-----|-⌫----|---|------|----|-|----|----|
s uscellereuiereou que	-⌫-|----|------|-|--|
ouba nde Seint Mo ris eetde	-|--⌫|-|----|--⌫---⌫|-|-|
ieseroietenusde	-|-----|----|-|
segnierlou siegedou mo linet	------|--|----|--|--⌫--|-|
louboxetlouchar roi de ma te rreetli	--|--|-|--|----⌫--|-|-|--⌫--|-|-|
dauandite egli seloucharr oi	----|---|----⌫-|--|-----⌫-|
suet erre ets i	--|-⌫---|-|-⌫|
louferoitdou to t ausuen siauerie nsie	--|-----|--|--⌫|-|---|-|------⌫-|-|
etmaf emedauant -ditela	-|-|-⌫--|-----||---|-|
m oitiéànosuies ent otes	-⌫-----|-|--|---|-|-⌫---|
chose senc eluimoli nensicomo u molin dauandit	-----⌫|-|-⌫---|----⌫|---|--|-⌫|----|----|--|
et seriens tenuidoureteniretmeintenir	-|------|----|--|------|-|--------|
encomun despanset	-|----|------|-|
aprés lam ort de moiet	-----|-|-⌫--|-|--|-|
d emafeme auerali eglisedeuantdi telez diz	-⌫|-|---|----|-|-----|-----|--⌫-|--|--|
molinstoz quites s an s partied enoshoirs.	-----|--|-----|-⌫--⌫|-----|-⌫|--|----||
Etest couans que iene mihoirne	-|--|-----|--|-|-|-|---|-|
poonsfaireiamasm olinen lareuiere	----|----|----|-⌫---|-|-|------|
deMortame deuant ditene desusne desous	-|------|-----|---|-|----|-|-----|
oubandeSeint	-|--|-|----|
Moriseetde Rom ont	-----|-|-|---⌫--|
Etentotesceschosesdauantditesà	-|-|----|--|-----|-----|----|-|
teniretàwar der e n bone foià-toz	----|-|-|---⌫--|-⌫|---|--|-||--|
iorsobligenparc espresentesl etres mes hoirs et	---|------|--|-⌫-|--------|-⌫----|--|----|-|
monhe ritag e etmoipa r	--|--⌫-----⌫|-|--|--⌫|
sar me nt.	---⌫--⌫-||
E tsuiai ie	-⌫|--|-|-|
faitparlo u	---|--|--⌫|
loz etparlauol onteide m onsignor	--|-|--|-|---⌫----|-|-⌫-|-----|
de Lor renne etm archis	-|---⌫----|-|-⌫-----|
qui encespresenteslettres a it mis son	--|-|--|--------|------|-⌫-|--|--|
seel aweclemien parmarequ aste en tesmo gn agede	---|---|-|---|--|-|----⌫---|-|-----⌫--⌫--|-|
queli deuandizduz et	--|-|----|--|--|-|
su iho ir ce	--⌫|--⌫-|-|
ieoumih oiraleiens	-|-|-|-⌫--|------|
deriennsencontr e	-|-----|-------⌫|
ces cho ses deuant ditesle fassentà teniretioïr	--|---⌫--|-----|----|-|------|-|----|-|----|
l e glisede uant dite desdeuansdizmo lins e ntie rement	|-⌫----|--⌫---|---|--|-----|--|--⌫---|-⌫----⌫-----|
ensi comilestdaua nt	---|--|-|--|----⌫-|
Et nosFerrisduzde Lorrenne	-|--|-----|--|-|-------|
etmarchisi auo n smisnost reseelawec	-|------||---⌫-⌫|--|----⌫-|---|---|
louse elloudeuanditsign ordeRomontparsarequaste	--|--⌫-|--|-------|----⌫-|-|-----|--|-|-------|
Eticestep a xotrions nos e tcen os	-|-----|-⌫-⌫|------|--|-⌫|-|-⌫-|
iacordo me s	|------⌫--⌫|
Et por sui quecesoitfe rmec hoseet	-|--|--|--|-|---|--⌫--|-⌫---|-|
astablesenden on s n o sà dauant	------||-|---⌫--⌫|-⌫-⌫|-|-----|
ditsignor Re g nautdeRo montc esletre seeleesdo u	--|-----|--⌫-⌫---|-|--⌫---|-⌫-|----|------|--⌫|
seelmonsignorFerriduc	---|--|-----|----|--|
deLo rrenneet	-|--⌫-----|-|
marchizawec nostresee l	------|---|-----|---⌫|
entesmoignage de	-|----------|-|
cestpaxet decescouenances	---|--|-|-|--|---------|
Ce fuitfait enlandel In carnation	-|---|---|-||-|-||--⌫--------|
Nost r eSignormi l et.CC.	----⌫-⌫|-----|--⌫|-|---|
etsexanteetnuefans	-|------|-|---|--|
C hu0144IePerres s ires	-⌫-----|-|-----|-⌫---|
d e Borlemontfais coness antà	-⌫|--------|---|------⌫--|-|
t ousceausqui ceslettr e su a rron tetorrontque	-⌫--|----|--|--|-----⌫-⌫|-⌫-⌫----⌫|-|-----|--|
doudesc ortquenos aueiensied unepart	--|----⌫--|--|--|------|-||--|---|
abbesdeSeintMansué	----|-|----|------|
deTouldautrepart	-|---||----|---|
desonprioreideSei nt	-|--|------|-|---⌫-|
M ontc estassa uoirdepres	-⌫--||--|----⌫---|-|---|
deter resqu e mouoi etd e	-|---⌫--|--⌫|-----⌫-|-⌫|
moi etdemon fiéque lidi s a bbes	--|-|-|--|---|--|-|--⌫|-⌫---|
auoit encloseset cou ertenson	----|-------|-|---⌫--|-|--|
estantd oudit pr ioreide	-----|-⌫-|--|--⌫----|-|
SaintIaikeonMontq ui	----|----|-|---|-⌫-|
sietentrelou dit	---|----|--|--|
pri oreietRor teipourbiende paisparlou	---⌫---|-|---⌫--|---|---|-|---|--|--|
consei l de bone	------⌫|-|---|
gen s etdenos amispai setconcor de en	---⌫|-|-|--|---|---⌫|-|------⌫-|-|
estfaiteentel	--|----|-|--|
meniere queie uensetaiuend uaudit	------|--|-|---|-|-|----⌫|-|--|
abbéceu que	----|--|--|
ieai et doia uoirouditestantet	-|-|-|--|-⌫---|-|--|-----|-|
e n lac hauci e soitpo rraison defié soit	-⌫|-|-⌫-----⌫|---|--⌫|-----|-|---|---|
por raisonde heritagesoitporautre	--|-----|-|-------|---|--|----|
raisonquelsq ue lesoi t soit ente rressoit	-----|----|-⌫|-⌫-|---⌫|---|-|--⌫---|---|
enp resouen	-|-⌫--|-|-|
t out e sautreschoze s	-⌫---⌫-⌫|-----|-----⌫|
porcent liuresdeprouene siensfo rsd equex ie ai	--|---|-----|-|-------⌫----|--⌫-|-⌫|---|-|-|
receupl einpaiementdouditabbei.	----|--⌫--|-------|--|--|----||
Etsiendoiporte rbonewa rantie	-|-|-|--|-----⌫|---|--⌫-----|
au ditabbei o uau pri ourdou	-|--|----|-⌫|-|---⌫--|--|
ditpri o reienuerstoutesgensdes chozesdauant dittes et	--|---⌫-⌫--|-----|-----|---|--|-----|-----|-----|-|
warder de force saufceuqueli disabb es	-----|-|----|---|--|--|-|--|---⌫-|
o u les dispriours re nder ontauenanment	-⌫|--|--|------|--⌫----⌫--|---------|
awart debonegentpreiouterresou de neirs	----|-|---|---|---|-|-----|-|--⌫----|
à c e aus q ueriens aueront	-|-⌫-⌫--|-⌫-|----|------|
on ditestant puisquilseraipro uéetconu	-|--|-----|---|-|-|----|---⌫--|-|---|
deuerontauoir .	-------|----||
Etfaisenc ortass auoirque	-|---|---⌫--|---⌫----|--|
ienemui oir neau onsn ed euons	-|-|--|--|-|--⌫--|-⌫|-⌫----|
auoir usua ireneautre	----|----⌫--|-|----|
ser uituteon dit e stantneenlachaciene	---⌫-----|-|--|-⌫----|-|-|-|-----|-|
on molin n e	-|----|-⌫|
o nfollond o udi t	-⌫|-----|-⌫-⌫---⌫|
estantforsquemorreetf ollerausic om a utr e	-----|---|--|----|-|-⌫----|---|-⌫-|-⌫---⌫|
gensnos moturespai en setnostre	---|--|------|---⌫--⌫|-|-----|
Etsi lidis	-|-|-|--|
abbesou l iprioursauoietc ostengesn edamag esou	----|-|-⌫|------|-----|-⌫-------|-⌫|-----⌫-|-|
faisoiet porl oquoisondech oze sd esus deui sees	-------|--||-------|-|--⌫---⌫|-⌫---|----⌫---|
iee tmuioirsomesten uà -rendre	-|-⌫|--|--|----|---⌫|-||-----|
etledeuons defaireà -l a reques tedou	-|-|-----|------|-||-⌫|------⌫-|--|
ditabbeioudeson comande m en t .	--|----|-|-|--|-------⌫-⌫--⌫||
Etsipr om éspar	-|-|--⌫--⌫--|--|
fianciepor moietpormesoirs	------|--|--|-|--|--|---|
queieta nraietgarderaiceschozes ausi com	--|-|--⌫---|-|-------|--|-----|---|--|
eles so n t	---|--⌫-⌫|
desusdeuise es etq ue	----|------⌫-|-|-⌫-|
mioi rneu anrons encontre neferonsue nirnesoffer ons	-|--⌫|-|-⌫-----|-------|-|-----|--⌫--|-|------⌫--|
que autresi-u eigneet	--|-----|||-⌫----|-|
auentureauenoit quei e	-------|------|--|-⌫|
ne m ioir uenissiensencontreces c h ozesdesusdeuisee s	-|-⌫|--|---------|-------|--|-⌫-⌫---|----|-------⌫|
o ufeisiensuenir donDex	-⌫|-------|----|--|--|
nosgartieconce ntetuueulquel i	--|---|-|-----⌫-|-|----|--|-⌫|
offi cia usdelacort de Toul	----⌫---⌫-|-|-|---|-|---|
àlareq u estede la bbei	-|-|---⌫-⌫---|-||-⌫---|
oudoupriour	-|--|-----|
daua ntdisoudelourc o mandementp uisset	----⌫-|--|-|-|---|-⌫-⌫--------|-⌫-----|
escomeneiermoietmeso irset f a ire denoncierpor e scomoneier	----------|--|-|--|-⌫--|-|-⌫-⌫--|--------|--|-⌫---------|
partout et	--|---|-|
quantàce umemesieensa	----|-|--⌫|-|--|-|-|-|
iuriditionpormoie t por	---------|--|--|-⌫|--|
m is oirsetnostr e terremettre enintr edit.	-⌫-|---|-|-----⌫|----|-----|-|----⌫---||
Etrenonsàla exeptiondesdoniersne mieau ̈s	-|-----|-|-|-------|--|------|-|--|--⌫-|
etnemiereceusetpromés parma foi	-|-|--|-----|-|------|--|-|--|
fianciequeausi toutcom	------|--|---|---|--|
i eauer a iseelie saeleraces lettre sdem on	-⌫|----⌫-⌫|---|-|------|--|------⌫|-|-⌫-|
s ael e tferai sa eler dou s a ellou	-⌫--|-⌫|----|--⌫---|--|-⌫-⌫-|--|
dit officiaul.	--|--------||
E ntesmoinage	-⌫|---------|
de uer itésontces lettressae lees parmareques te	-|---⌫---|---|--|------|---⌫---|--|-|------⌫-|
d ousaeld elacort	-⌫-|---|-⌫|-|---|
d e Toul a ueclesael l a bbédeMeruaut	-⌫|---|-⌫--|-|---||-⌫---|-|------|
dou q ueli e use quei enai	--|-⌫--|-⌫|--|--|-⌫||-|
p oin tdesa el q uefuret faiteslan que	-⌫---⌫|-|--⌫-|-⌫-|----|-----||-|--|
limiliaires NostreSeigno urcorroit	-|--------|-----|------⌫-|------|
parmi l douzcensse xanteetdeix ans	--|--⌫|---|---|--⌫----|-|---|--|
