#META#TextURIYuain	-----|------|----|
#META#DEA F	-----|---⌫|
#META#F EW	-----|-⌫-|
#META #ARLIMAhttp s//www.arlima.net/ad/chreti en_de_troyes.htm l# li o	-----⌫|-----|----⌫---------------------------⌫----------------⌫--⌫--⌫|
#MET A#AuthorChrétien deTr oye s	----⌫-|-----|--------|-|--⌫---⌫|
#M ETA # AuthorBorn	--⌫---⌫|---------|
#META#AuthorBornAmb	-----|------------|
#META#Auth orDied	-----|----⌫-----|
# META #AuthorDiedAmb	-⌫----⌫|------------|
#META #Aut horFl1	-----⌫|---⌫-----|
#M ETA# A utho rFl2	--⌫---|-⌫----⌫---|
# META# Te xtTitleYuain	-⌫----|--⌫------|----|
#ME TA#TextSubtitleLe Cheualier	---⌫--|-----------|-|--------|
#META# Textuol s	-----|-------⌫|
#META#TextS ubi romance	-----|-----⌫--|------|
#META#Tex tDo mlit	-----|---⌫---⌫|--|
# META#Translationfalse	-⌫----|----------|----|
#META#Collection	-----|---------|
#META#C oll ectionNo	-----|-⌫---⌫-------|
#META#TextDescARLu ersoctosyllabiquesàrimes	-----|----------|-⌫--|--------------|-|----|
#META#TextDesc uers8	-----|--------⌫---||
# META# TextDateARL 1178-1181	-⌫----|----------|--------|
#META # TextDateAdi	-----⌫|----------|
#META# Text D ateMin1178	-----|----⌫-⌫-----|---|
#ME TA#TextDateMax1181	---⌫--|----------|---|
# META# EdE dit or	-⌫----|---⌫---⌫-|
#M ETA# EdPl ace	--⌫---|----⌫--|
#META # EdPublisher	-----⌫|----------|
#META#Eduol	-----|----|
#META#EdYear	-----|-----|
#ME TA# EdPages	---⌫--|------|
#META#MsBase	-----|-----|
#META#MsOther	-----|------|
# META# MsN um	-⌫----|---⌫-|
#M ETA#MsDateARL	--⌫---|--------|
# META #MsDateAd i	-⌫----⌫|--------⌫|
#META # Form	-----⌫|---|
#META#Complete	-----|-------|
#M ETA#N oWord s	--⌫---|-⌫-----⌫|
#META#N oLin es	-----|-⌫----⌫-|
#META#Dial Auth	-----|----⌫---|
#META#Dial Scribe	-----|----⌫-----|
#META#Scan URL https //fr.wikisource.org/wiki/Yuain_ou_le_Cheualie r_a u_Lion	-----|----⌫--|-----⌫---------------------------------------------⌫---⌫-----|
#META#ScanURI Oth er	-----|-------⌫---⌫-|
# META# Ark ID	-⌫----|---⌫-|
#META#L cc nID	-----|-⌫--⌫--|
#META#Oclc ID	-----|----⌫-|
#META#WebAuthor	-----|--------|
#META#O RCIDWe bAutho r	-----|-⌫------⌫------⌫|
#META#WebReuiewer	-----|----------|
#META#ORC IDRe uiewer	-----|---⌫----⌫-----|
#META#Mis cInfo	-----|---⌫----|
unknownedi tion	------|---⌫---|
Se li le ons	-|-|--⌫--|
er tau eucuous	--⌫|--⌫--|---|
Pour t antquilsemesllastanous	---|-⌫--|-|-|-|-------||---|
Dontn eserie ́s u ous pas	---|-⌫|-----⌫-|-⌫--|--|
Duiseri ésc ontre n ousdous .	--|----⌫--|-⌫----|-⌫--|----⌫|
Siuo u scouuientieluous	-|--⌫-⌫|-------|--|---|
uostreleon osterde chi	-----|---|----|-|--|
Mais bienuouspoisttot orendroit .	---|---|---|----|--|---------⌫|
-Ouu olésuous	|-|-⌫----|---|
fai tilquil soit	---⌫|-|-|-|---|
Ouuolésuousqueielemete	-|-----|---|--|-|-|---|
1 08b. 555 8	-⌫----⌫---⌫|
Lorsli moustr entune cambrete.	---|-|------⌫--|--|--------|
Il dïent Laienslemetés.	-|-----|-----|-|------|
-Faitiertd es que uous le	|---|---|-⌫-|--|---|-|
Eton liuamai n tenantq uerre	-|-|-|-|---⌫-⌫-----|-⌫----|
Sesarmespourar mer	--|----|---|--⌫--|
Ets oncheual lio nt	-|-⌫-|-----|-|-⌫-|
traitfor s	----|---⌫|
Siliba ill entetili monte.	-|-|--⌫---⌫--|-|-||-----|
Pour lilaidi retfair ehonte	---|-|-----⌫|-|----⌫|----|
Lipassentli	-|------|-|
duicampion	--|------|
Qu asseü ré	-|------⌫--|
s onduleon	-⌫-|-|---|
Qui est dedenslecambre en clos.	--|--|-----|-|-----|--⌫----|
Des machesli donnent	--|-----|-|------|
gr anscops	--⌫--|---|
Quepet it e	--|---⌫--⌫|
aïelifait	---|-|---|
Es cusne hiam esqueilait	--⌫--|-|----⌫-|--|-|--|
Carquantsor l ehiame	--|----|--|-⌫|----|
lataignent	|--------|
Trest o utli e nbuigne ntetfraignent	-----⌫-⌫-|-|-⌫-------⌫-|-|--------|
Et l iescuspechoie etfont	-|-⌫|----|------|-|---|
Co nmeglache	--⌫--|-----|
tex copsifon t	--|---||---⌫|
Quese spoins	--|--⌫|----|
Moutfontandui	---|---|----|
aredouter.	|--------|
Etilquefaitde	-|-|--|---|-|
dusmaufés	--|------|
Dehonteetdecriem e escaufés	-|----|-|-|-----⌫|--------|
detou te safor che	-|---⌫-|-|---⌫--|
esuertueetmout sefforche	-------|-|---||-------|
De donnergranscopset pesan s.	-|-----|----|---|-|-----⌫-|
Nefaillentpasalors	-|-------|--||---|
orentlo r bontés adouble.	----|--⌫|------||------|
O r a soncuerdolent ettrouble	-⌫||--|---|-----|-|------|
Lileonsquiest en	-|----|--|--|-|
Qu edela grantbontéli menbre	--⌫|-|-|----|-----|-|-----|
108c. 5589	-----⌫---|
Q u ecilli fist par safranchi se	-⌫-⌫|--|-|---|--|-|-------⌫-|
a uroitdeso n seruiche	-⌫----|-|--⌫|-------|
Etde sa ïegrantmestie r	-|-||-⌫--|----|------⌫|
Ialir e ndroitagrantsesti er	-|-|-⌫-⌫-----||----|-----⌫-|
Etagrant muycestebo nte ́	-||----|--|----|--⌫---⌫|
Ianiaroit riensmesco n té	-|||----|----|-----⌫-⌫--|
S ilpooi tissirdelaiens.	|-|----⌫|----|-|------|
Mout uareuer chan tdetous	---|-|-----⌫----⌫|-|---|
uoi tpa rouilsen	---⌫|--⌫|-|-||-|
les copsde lab ataille	--|---|-|-|-⌫------|
Quip erill eusees t etuil aine	--|-⌫-----⌫---|--⌫|-|---⌫---|
Etpourchesi g rantdue ldemaine	-|---|--|-|-⌫---|---⌫|------|
Quil es rageuiset forsenne.	-|-|--⌫---|--|-|--------|
Tantuareuerchan tqu	---|-|---------⌫|-|
i l a ssenne	-⌫|-⌫-----|
quiporris s oitpr estere	--|------⌫-⌫--|--⌫-|---|
Sigrate tantquilsi enserre	-|----|---|-|-|||------|
Etfiche iusquepresdes rains.	-|----|-----|---|--|-----|
estoit mesireYu ains	-----|-----|--⌫---|
Mout tra uei lliés et	---|---⌫---⌫-----|-|
mou tsu ans	---⌫|--⌫--|
Que m out trouuo it	--|-⌫--|------⌫-|
les.ii. truhans	--|---|------|
Forset felonse t adurés.	---|-|-----|-⌫|-------|
M outiauoit cop sendu rés	-⌫--||----|---⌫|----⌫---|
Etre nd utant	-|--⌫--⌫|---|
c onilpluspot	-⌫-|-|---|--|
Nederiensble chie ́s n el es	-|-|----|---⌫----⌫-|-⌫|-⌫-|
Q uetropsauoientd escrem ie	-⌫-|---|-------||------⌫-|
Etlorescun estoient	-|--|---||-------|
Telqueriensen o stast espee	--|--|----|-|-⌫----|----|
t renchanset	-⌫-------|-|
sisepo oit	-|-|--⌫--|
mo ut fort	--⌫-|---|
Mesi reYuain s douter	----⌫-|-----⌫|-----|
tantsecontretin t	---|-|---------⌫|
Queli leons ou tresenuint	--|-|----|--⌫--||-|---|
Tantotdesous le soei lg ra té.	---|-|-----|-|----⌫|-⌫--⌫---|
lifelon m até	-|----|-⌫---|
Donques nelese ront il	------|-|-|--⌫---|-|
Carau leon triuenepai s	--|-|---|----|-|---⌫|
iltantque ui s	-|---|--|--⌫|
L unenaer te t	|-|-|---⌫|-⌫|
si lesache	-|-|----|
Atereausi com	|---|---|--|
unploto n.	-|-----⌫-|
ef freéliglouton	--⌫----|-|------|
Mes n ahonme entoute	--|||----|-|----|
soncuerioienen faiche .	--|---|---||-|------⌫|
Car chil ne re leueraia	--|---|-|--⌫-----|-|
Que li leonsateréa	--|-|----|-----||
Seli autres nelise cou rt	-|-|-----|-|-|--⌫---⌫-|
Pourluiai dierch elepartc ourt	---|--|--⌫---|--⌫--|---|-⌫---|
Etpourlui meïs me deffendre	-|---|--|-----⌫-|--------|
salastli leons prendre	|----|-|----|------|
Lués quil	----|-|-|
aroitceluiochis	----|----|----|
Queilauoit parteremis.	--|-|----|--|---|---|
Etsi rauoitplusgrant	-|-|-----|---|----|
Duleonquede	-|---|--|-|
sons eignour.	--|-⌫-------|
mesireYuains	-----|-----|
liatournéledos	-||------|-|--|
Etuoitlecolnu a deliure	-|---|-|--|-||------|
S elo nguement	-⌫|--⌫-------|
lelaisse uiure	-|-----|----|
lie s tbie nauenu.	-|-⌫-⌫|---⌫|-----|
La testenue	-|----|--|
glous abandonné	----|---------|
Etilliatelcop	-|-|-||--|--|
Que latestedu	--|-|----|-|
Sis ouauet quemotnen	-|-⌫-----|--|--||-|
109a .5651	----⌫----|
Etm aintenantatere	-|-⌫--------||---|
Pou r lautr eq u e li l eons tient	---⌫||----⌫|-⌫-⌫|-|-⌫---|----|
Qu er escourreet	--⌫|-⌫-------|-|
tolirliueut.	----|-|----|
M espour noien tcar	-⌫-|---|-----⌫|--|
t antsedeut	-⌫--|-|---|
Quemireatansmaisni ara	--|---||---|---|||--|
Qu ensonuenirsilenaura	-|-|--|----|-|-|----|
Lileonsq uisi uintirié s	-|----|-⌫-|-|---|-----⌫|
Quel ai dement	--|-⌫--⌫-----|
fu e npirié s.	-|-⌫-------⌫-|
Ettouteuoies arrierlebou te	-|---------|-----|-|---⌫-|
Etuoitque illi auo ittoute	-|---|--|-|-|---⌫-|----|
Lespaulledestr e dubustraite.	|-------|-----⌫|-|--|------|
Pour lui derie nsnese	---|--|-|---⌫-|-|-|
Quesesb astonsli est cheüs.	--|--|-⌫-----|-|--|------|
Et cilgistpre s conmefer us	-|--|---|---⌫|----|---⌫-|
Quil nesecraullene ne muet	-|-|-|-|------|-|-|---|
aq uebi e nparllerpuet	|-⌫-|--⌫-⌫|------|---|
Etditsico nmeil lepuetdire	-|--|-|--⌫--|-|-|---|---|
Os tésuostreleonbia usir e	--⌫---|-----|---|---⌫|---⌫|
Si l uousplaist q ueplus ne m	|-⌫|---|-----|-⌫-|---|-||
Que de desor faire uousloist	--|-|----|----|---|----|
Demoitoutquanques boinuo usiert.	-|--|---|-------|---|--⌫-|----|
Ci l q uimerchipri eetr equiert	--⌫|-⌫-|-----|---⌫|-|-⌫------|
Nidoitfaillir cil quila	||---|------|--|--|-|
Se honmesanspitié net rueue.	-|----|---|-----|-|-⌫-----|
Et ienem e d effendrai p lu s	-|-|-|-⌫|-⌫--------|-⌫--⌫|
mereleuer ai sus	-|-------⌫-|--|
De ci pourch e	-|-|---|--⌫|
quemestier	--|------|
uostre ma nai e.	-----|--⌫---⌫-|
-Didoncfa itil quetu	|-|---|--⌫-|-|--|-|
Queuain cuset recrean tsoi es.	--|----⌫--|-|-------⌫|---⌫--|
- Sirefait	|---|---|
il . ..*ipert bien	-|-⌫--||---|---|
109b .5682	----⌫----|
uaincus sui iem aloitgrémien	------|--|-|-⌫----|---|---|
Et recre a ns ieluousotroi.	-|-----⌫-⌫-|--|---|-----|
- Donqu esn astu	|-----⌫-||-|-|
garde demoi	----|-|--|
Etmes leons	-|--|----|
terasseüre.	-|---------|
Tantost ui ennentgrant	------|--⌫-----|----|
Toutesle s gens enuironl ui	-----|--⌫|---|------|-⌫-|
Etlisiresetlada m eil	-|-|----|-|-|--⌫-⌫|-|
Si lifont ioieet	-|-|---|---|-|
silacolent	-||------|
Etdel orfillelapa rolent	-|-|-⌫-|----||---⌫-----|
SilidïentOrseré suous	-|-|-----|-|-----⌫|---|
Damoisiaxetsiresd e nous	--------|-|----|-⌫|---|
Etnostr efilleiertuostred ame	-|-----⌫|----|---|-----|-⌫--|
Car nous l e uous donnons a fam e.	--|---|-⌫|---|------||---⌫-|
-Eti efaiti l l e	|-|-⌫|---|-⌫|-⌫|
uous red oi ng.	---|---⌫--⌫--|
Quil asi laitIen	--|||-||--|-||
en aisoi ng	-|-|---⌫-|
Si nen diie rienspourdesdaing	-||-|-|-|----|---|-------|
Se uouspl aist * s eiene	-|---|--⌫----⌫|-⌫|-|-|
Queienepuis neie ne	--|-|-|---|-|-|-|
Mess e uous plaistdeliurésmo i	--|-⌫|---|-----|--------|--⌫|
Les chaitiuesqueuous au és	--|--------|--|---|--⌫--|
Litermesest	-|-----|--|
bienlesaués	---|-|-----|
Quelessend oiuentalercuites .	-|---||-|-⌫-----|---|------⌫|
-uoirsestfa itil che queuousdites	|----|--|--⌫-|-|--|--|---|----|
Et i esuo us rentsans	-|-⌫-|--⌫-|---|---|
Ettrestouteslesuousaq uit.	-|---------|--|---|--⌫---|
Mesprenéssif e re ́ssa uoir	--|------|-|-⌫-⌫--⌫-|--⌫---|
Mafilleettrestout mo na uoir	-|----|-|-------|--⌫|-⌫---|
Quiest mout beleetgenteet sage	--|--|---|---|-|----|-|---|
Ia mais s irichemariage	--⌫---|-⌫|----|------|
Naurésse uous cestui	|-----|-|---|-----|
-Sirefaitiluousne saués	|---|---|-|---|-|-----|
109c.57 13	-------⌫-|
Mon e nsoignenemonafaire	--|-⌫------|-|--|-----|
uous osretraire .	---|-|--------⌫|
Maiscesach iésquantierefus	---|-|----⌫---|----|-|----|
Cequene refuseroit	-|--|-|---------|
Quide üs tsoncuerne	--|--⌫---⌫|--|---|-|
Metreen p uchel e bele	----|-|-⌫-----⌫|---|
Que uolentierslarec eu ̈sse	--|---------|-|---⌫--⌫---|
Seiepeüssen edeüsse.	-|-|------|-⌫|-------|
Chestineautre	-----|-|----|
rech e uoir	----⌫-⌫---|
Ien epuisce sachié sdeu oir .	-|-⌫|---|-|-------⌫|-|-⌫---⌫|
laissie ́se m	-------⌫-|-⌫|
damo isele m atant	----⌫----||----|
Qu iau eucm oiest	--⌫|--⌫--|-⌫-|--|
c ha uenue	-⌫-|----|
Compaigniemia	---------||||
Et ielareuoillitenir	-|-|-|-----|-|----|
Quequ il mendoiea uenir.	--|-|-||-|---|-⌫-----|
-u o lésb iausireEtuosconmant	|-⌫-⌫---|-⌫--|---|-|--|------|
Iamaisseiel ne uousconmant	-----|-|--|-|---|------|
Etmescon sax ne lem	-|--|---⌫--|-|-||
Ainzre mandr ésenma	---|--⌫-----⌫--|-|-|
Or gueilfaites et mes pr iso n	--⌫----|-----|-|---⌫--⌫---⌫|
Quantieuou s priq ueuouspr eigniés	----|-|---⌫|--|-⌫-|---|--⌫-------|
etuouslededaigniés.	-|---|-|-----------|
-Desdai ngsireNonfais par	|------⌫-|---|--|---|--|
Maisienepui sespouserfam e	---|-|-|---⌫|-------|---⌫|
Ner emanoir pournule	-|-⌫------|---|---|
Ladam oisele	-|---⌫-----|
quim enmaine	--||------|
Si gur * quautreme ntnepue*estre.	-|---⌫|-|-------⌫-|-|---|-----|
Mesieuousiur	--|-|---|--|
maindestre	---|-----|
Etuouspleui s simen	-|---|-----⌫|-||-|
Quesi conuousor meuee ́s	--|-|--|---|-|-|---⌫-|
109 d.5745	---⌫-----|
Reuendraiseieonque spuis	--------|-|-|-----⌫|---|
Etprendraiuostre fillepuis	-|-------|-----|----|---|
Qu elqueoreq ue bo n u ous i er t.	--⌫----|--|-⌫-|--⌫|-⌫--|-⌫--⌫-|
faitilquiuous	---|-|--|---|
Nefoyne ple genecreante	-|--|-|---⌫-|-|------|
uousatalente	---|-------|
u ousreuendr és hatiuement	-⌫--|-------⌫--|---------|
Iapour foynepourserem ent	-|---|--|-|---|-----⌫--|
Iecuitne uen driés plu stost.	-|---|-|---⌫-----|---⌫|----|
Or alésque ieuous	-|----|--|-|---|
touzcr eantesettouzcouuens.	---|--⌫-----|-|---|-------|
Ou uousuol e ́sneme	-|---|---⌫-⌫-|-|-|
Naimiemefi llesiuil	|-|--|-|--⌫--|-|--|
pa rforchele u ous	--⌫|-----|-|-⌫--|
O r a le ́senuostr ebesoigne	-⌫|-⌫--⌫-|-|-----⌫|-------|
Quetou t autantse uousuen és	--|---⌫|-----|-|---|---⌫--|
seuous remanés.	-|---|--------|
Tan tostmesire	---⌫---|-----|
Yuainssent ourne	-----||-|-⌫----|
Queel castelplusneseiou rne	--|-|-----|---|-|-----⌫--|
adeuantl u imenés	|-----|-⌫-⌫|-----|
L eschaitiue sdespris onnés	-⌫-|--------⌫|-------⌫-----|
Quelisires li a baillies	--|-|----|-||-------|
Poures etmal ap pareill ies	-----|-|--|--⌫-------⌫--|
M aisorsontrichesce l or samb l e.	-⌫--|-|---|-----|-|-⌫-|----⌫-⌫-|
Forsd u casteltoutes em samble	---|-⌫|-----|-----|--⌫-----|
Deuan t lui . ii.et.ii.senissent	-----⌫|--|-⌫--|-|---||-|-----|
Neienec uitqu el esfeïssent	-|-|-|-⌫--|-|--⌫-|--------|
Telioie comel es l efon t	--|---|--|--⌫-|-⌫|---⌫|
Deceluiquifisttout lem ont	-|----|--|---|---|-|-⌫--|
f ustdu chieluenusenttraire*.	-⌫--|-|----|----|--|-------|
Merc ietpaisliuo ntreque rre	----⌫|-|---|-|--⌫-|-----⌫--|
1 10a.5777	-⌫-------|
Touteslesgens quidit	-----|--|---|--|--|
Ta ntdehontecomil pluspo re nt	--⌫-|-|----|--|-|---|--⌫--⌫-|
Sileuo ntai ns i conuoiant	-|-|--⌫-|--⌫--⌫|--------|
Etil ditquilnen s et noia nt	-|-|--|-|-||-|-⌫-|----⌫-|
faitil queuo usdites	---|-|--|--⌫-|----|
Et siuousemclai m ei etozqui tes	-|-|---|-|----⌫-⌫|-⌫|--|---⌫--|
Conques cosequeieamal	|-----|---|--|-||--|
Nedeïstesdont mes ouuiegne.	-|-------|---|-|-⌫--------|
Chil sontmout liéde c heq ui l	---|---|---|---|-|-⌫-|-⌫|-⌫|
Et s ecou rtois iemo utl o ue nt	-|-⌫|---⌫-----⌫-|--⌫-|-⌫-⌫--⌫-|
Si leconmandent aDieu tuit	-|-|---------||---|---|
Quantgra n t piece l	----|---⌫-⌫|----||
orent conduit.	----|-------|
Et lesdamois eles liont	-|--|------⌫---|-|--|
Congiédemandé sisen uont.	------|-------|-||-|----|
Aup art ir touteslienclinent	-|-⌫---⌫-|-----|-|--------|
E t siliorentetdes t inent	-⌫|-|-|----|-|---⌫-⌫----|
QueDiexl i doins t io ie e tsanté	--|---|-⌫|-----⌫|--⌫-|-⌫|-----|
Et uen ira sa sauueté	-|---⌫-||-|-------|
Enquelcumque slieuqueil a ut.	-|----------⌫|---|--|-|-⌫--|
Etcil respon tque Diexle s	-|--|------⌫|--|---|--⌫|
Cuila d emeuremout	--|-|-⌫-----|---|
AlésfaitilDiexuous	----|---|-|---|---|
païs sauueset lies.	----|-----|-|----|
Mainten ants esontauoi ̈es	-------⌫--|-⌫|---|----⌫--|
Sisenuontgrantioie m enant.	-||-|---|----|---|-⌫-----|
Yuai ns maintenant	----⌫-|---------|
Delautre pa rt	-||----|--⌫-|
serac hemine.	-|---⌫------|
De s rer agrantesploitne	|-⌫-⌫--||----|------|-|
Trestouz lesiorz dela semaine	-------|--|---|-|-|------|
Siconlapuchele	-|--|-|------|
bi en sa uoit	--⌫-|--⌫---|
110 b.5808	---⌫-----|
Et lerechetlouele a uoit	-|-|-----|--|--|-⌫---|
Laissiel adesi retee	------|-⌫|----⌫----|
D eshaitieet de scomfortee.	-⌫-------|-|--⌫----------|
M esquantele ot	-⌫-|----|--|-|
la n ou uele	-|-⌫--⌫---|
Delauenueala puchele	-|-|----||-|------|
E t duCh e u alier	-⌫|-|--⌫-⌫-⌫----|
Nefu ioie s ecelenon	-|-|---|-⌫|---|--|
Queel eenotdedens	--|--⌫|-|-|-----|
s on cue r	-⌫-|---⌫|
Carorcuide elequesa suer	--|-|----|--|--|-|---|
D esoneritaig elilai st	-⌫|--|-------⌫|-|---⌫-|
Unepartiesil	--|-----||-|
lipla ist.	-|---⌫---|
Mal adeotgeü	---⌫--|-|---|
longuement	---------|
La puch ele etnouuel ement	-|----⌫--|-|------⌫----|
Esto it deson	----⌫-|-|--|
malrele uee	--|----⌫--|
Quidurementlau oitgreu ee	--|-------||--⌫--|----⌫-|
Sique bienp arut a	-|--|---|-⌫---||
sa chier e.	-|-----⌫-|
Al en contre	||--⌫-----|
toutepremiere	----|-------|
Lorest aleesa nsde more	--|--|---|--⌫-|--⌫---|
Si lessaluee t	-|--|----|-⌫|
l es honore	-⌫-|-----|
Dequanquesele sotn e puet.	-|-------|--|--|-⌫|----|
De laioie parlernestuet	-|-|---|-----||-----|
Qui fula nui tal ost e lfai te	--|-|-|---⌫|||---⌫-⌫|---⌫-|
Iap arole neniertr etrai te	-|-⌫----||-|---|-⌫-----⌫-|
iaroit a con t er	|----||---⌫-⌫-|
Tout uoustresp asdusquau mo nter	---|---|-----⌫-|----|-|--⌫---|
Del endemainqu i lsenpartirent.	-||-------|-|-⌫||-|---------|
Puisonterr étant queil uirent	---|--|---⌫-|---|--|-|-----|
Lechastelou liroysArtus	-|------|-|-|---|----|
Otseio urne ́	-|----⌫----⌫|
qu inza ineouplus.	--⌫----⌫--|-|----|
Etl a da moiselei estoit	-|-⌫|--⌫------||-----|
Quisaserou rdesire toit	--|-|-----⌫|------⌫---|
110c. 5839	-----⌫---|
auoit pu ismoutpres	----|--⌫-|---|---|
Lacour t satendoitlauenue	-|----⌫||-------|-|----|
Saserourqui uient et	-|-----|--|----|-|
Maismoutpetit aucue rlitoche	---|---|----|-|---⌫|-|----|
Qu elenecuide	-|--|-|----|
quel et ruise	-|--⌫|-⌫----|
Nulcheualie rquisouffr i rpuisse	--|--------⌫|--|------⌫-⌫|-----|
MonseigneurGaueynenestour .	----------|-----|-|------⌫|
Nei ln iauo it mai scu ni our	-|-⌫|||---⌫-|---⌫||-⌫|-⌫--|
q uarantaineauenir	-⌫---------||----|
Leri tagesole a tenir	|---⌫---|---||----|
Est* des r ainiéquitement	---|---⌫-⌫-----|--------|
Parraiso n	--|-----⌫|
e tpariugement	-⌫|--|-------|
Se cilso ls ioursfusttrespassés.	-|--|--⌫-|----|---|-----------|
Maisplusiaa	---|---||||
fa ireassé s	--⌫--|-----⌫|
Que le necuide ne ne croit.	-|-⌫-|-|----|-|-|-----|
Enunhostel	-|-|-----|
bas etestro it	--|-|-----⌫-|
Forsdu chast e l ch e len uitiurent	---|-|-----⌫-⌫|--⌫-⌫-|-⌫--|-----|
Ounu l esge nsnesreconnuren t	-|--⌫-⌫-|--⌫-|--|----------⌫|
Ca r seil un*chastelieüs sent	--⌫|-|-|--|------|-----⌫---|
Toutes lesgensle scon neüssent	-----|--|---|--⌫|---⌫--------|
Et dechenauoientilsoing.	-|-|--||------|-|-----|
appa rissants enissent	----⌫------||-|-----|
Sisere ponnentet tapissent	-|-|--⌫------|-|--------|
Tantq ueliiours fu clersetg rans.	---|-⌫-|-|----|-|----|-|-⌫----|
Iorsauoitpassénesaiqu ans	---|----|-----|-|--|--⌫--|
Quemes ires Yua i ns*s	--|---⌫---|---⌫-⌫--||
Destourn és. siquenesa uoit	--------⌫---|-|--|-|--⌫---|
A court de luynul e	|----|-|--|---⌫|
Forsque so lementla pu chele	---|--|--⌫-----|-|--⌫----|
i l sed eu oitconba tre.	-⌫|-|-⌫--⌫--|-----⌫---|
Pre sa trois liu esou a	---⌫||----|---⌫-|-||
110d. 5871	-----⌫---|
Se stoit delac ourtt restournés	|-⌫----|-|-|-⌫---|-⌫----------|
Etuintacourtsiatourn és	-|---||----|-|------⌫--|
Que re connoistrenele porent	--|--⌫---------|-|-|-----|
C ilquitoziou rs ueü	-⌫-|--|------⌫-|---|
As armesqueilapor ta.	-|----|--|-|----⌫--|
Ladamoiselequi tort a	-|--------|--|---||
serou rtrop	-----⌫|---|
uoi ant to zli*acort of fert	---⌫--|--⌫|--||---|--⌫---|
Qu e parl uidesra ini eruoldroit	--⌫|--|-⌫-|-----⌫---⌫-|-------|
n a dr oit	||--⌫--|
Iu squapoiseranonneb asse	--⌫--||--|---|----|-⌫---|
Et lideesra insiours esthui .	-|-|------⌫--|----|--|---⌫|
Siueezbienc onment	-|---|---|-⌫-----|
Gar nie amondroit mainten ir.	---⌫--||--|----|-------⌫--|
Sema suer deüst	-|-|---|-----|
N i eü stmais quedemourer.	||---⌫-|---|--|--------|
Dieu enpu isseieaourer	---|-|--⌫---|-|-----|
uient nen erepaire .	----|-|-⌫|-------⌫|
Bienipertqu emiexne	---||---|--⌫|---|-|
S isestpour nien t	-⌫||--|---|----⌫|
Eti aiestéappare i lli e	-||-|----|------⌫-⌫---⌫|
Touzles iour sdusqu au	---|--|----⌫|----|-|
Ades rainier cheq ui	|---⌫------|--|-⌫-|
Toutaidesrainié sansbata ille	---|-|---------|---|----⌫---|
S estormaisdroisque	|--|-|---|----|--|
i emera ille	-⌫|-|--⌫---|
e ri t aigeempais	-⌫--⌫-⌫---|-|---|
ne respondroie	-|----------|
Amaser ourpour rien squiuiue	|-|---⌫--|---|----⌫|--|---|
do lenteetcaitiue.	--⌫----|-|-------|
roysquimoutb ien	---|--|---|-⌫--|
111a.5 902	------⌫--|
Que lapuchele	--|-|------|
tortauo it	---|---⌫-|
uers saserourtropdesloi a l	---|-|-----|---|------⌫-⌫|
Li d istMami een	-|-⌫--||---⌫|-|
courtroyal	----|----|
Doit onatendrepar	---|-|------|--|
Tant co n laiust ichele	---|--⌫|-|----⌫---|-|
Siet et a tentpour droi t urier.	---|-|-⌫---|---|----⌫-⌫-----|
Nia rien de corionploier	|||---|-|-----|-----|
uendra sicon	-----|-|--|
uost reser ourtrestouta t ans.	----⌫-|---⌫--|-------||-⌫---|
A in squ eli roys eüstcedit	-⌫--⌫|--⌫|-|---|----|-|--|
Lecheu aliera u	-|----⌫----|-⌫|
Et lapucheledelés lui	-|-|------|-----|--|
Solasoluenoient ildui	--||--|-------|-|--|
Card uleon emblése	--|-⌫|---|-----|-|
Si furemés laouiliu r ent.	-|-|-----|-|-|-|--⌫-⌫---|
L iroysl apu chele aue u ̈e	-⌫|---|-⌫|--⌫----||--⌫-⌫-|
Sinela pas deconneüe	-|-|||--|---------|
li plotetab eli	-|---|-|--⌫--|
Quan til lauo itcarde uersli	----⌫|-|-|--⌫-|--|--⌫---|-|
De laquerel e	-|-|------⌫|
set e noit	-|-⌫-⌫---|
Por cequea udr oit	--|-|--|-⌫|--⌫--|
entendoit.	---------|
De laioieque ilenot	-|-|---|--|-|-|-|
aup l ustost que	-|-⌫-⌫-|---|--|
Or auantbe le Dex uoussaut	-|----|--⌫-|--|---|---|
Quantlau t rel	----||--⌫-⌫-||
ottout een tre ssaut	-|----⌫|-|---⌫----|
Eletrest ou rne silau oit	--|-----⌫--⌫--|-|-|-⌫--|
Et leche ualierq uele	-|-|---⌫-----|-⌫|--|
Sideuint plusno irequeterre .	-|-----|---|--⌫--|--|-----⌫|
Moutfubeldet ou s appelee	---|-|--|-|-⌫--⌫|------|
La puchele et	-|------|-|
royetsamaisnie	--|-|-|------|
orpuet estre desrainie	-|---|----|--------|
Ma dr oitu ren e	-|--⌫----⌫-|-⌫|
ma querele	-|------|
Par n ul che uali er dontl	--|-⌫-|---⌫----⌫-|---||
Parcestuila soii em erchi	--|-----|-|----⌫|-⌫----|
Quamenéai desques ichi.	-|-----|-|------|----|
Seüstilmout ailloursa f aire	|----|-|---|-------||-⌫---|
cheual iersdeboinaires	------⌫---|----------|
Maisdem oi lipr in sttes pités	---|-|-⌫-|-|--⌫--⌫-|--|-----|
Qu i laa rrieredosget és	-|-⌫||-⌫-----|--|---⌫--|
Tousses affa ire s	---|--|----⌫---⌫|
pourlemien .	---|-|----⌫|
Orf eroit courtoisie et bien	-|-⌫----|---------|-|---|
