pourlamitiede	---||-----|-|
sid uremen t maeschau fé	-|-⌫------⌫|||------⌫--|
queen nuitn e sere a	--|--⌫---|-⌫|---||
sifetes c hos eq ui mepla ise	-|----|-⌫---⌫|-⌫-|-|---⌫--|
ahontela feroizmo rir	|----|-|-----|--⌫--|
quer iens nelenpuis se garir	--|-⌫---|-||-|----⌫-|----|
queque le m perere deuis e	-----||-⌫-⌫-----|-----⌫|
parquelto rment	--|---|--⌫----|
eten qu elguise	-|-|--⌫-|----|
lada moisell eseroitmorte	-|--⌫-------⌫|-----|----|
cursatess en entree ns aporte	-------||-|----|-⌫|-⌫|----|
q uiertpr euos tde lacite	-⌫-|--|--⌫----⌫|-|-|---|
cruiexetplainsde	-----|-|-----|-|
iluoitle roi sihors	-|---|-|--|-|---|
mets entent e	--||------⌫|
ettots onsens	-|--|-⌫-|---|
atormenttroueretesl ire	|------|-----|-|---⌫--|
ornedoutez fet	-|-|-----|--|
porcespar olles deceua bles	--|--|---⌫----|------⌫---|
empereresfetlideables	--------|--|-|------|
do n tn as tuhonteet desd ai ng	--⌫-⌫||-|-|----|-|----⌫--⌫-|
dune fa meque i enedai ng	|--|--⌫-|--|-⌫|-|---⌫-|
nesueoiren mi leuis	--|----|--⌫-|-|--|
quiort e tientcemest aui s	--|-|-⌫|----|-||--|---⌫|
si longueme nt	-|--------⌫-|
escouteetie diraico mment	------|-|-|----|--⌫----|
peut fere tormenter	---|---|--------|
netesteut plusa dementer	-||-----|---||-------|
carenco reneu oi	--|----⌫-|-|-⌫-|
tormen t q uecesteanemie	------⌫|-⌫-|----|-----|
sepuisse entelguise	-|-----|-|--|----|
quef acetretotsonuo loir	--|-⌫--|-----|--|--⌫---|
roiscommandes to tsanz seio r	---|--------|--⌫|---|----⌫|
soientfetesi usqu autierzi or	-----|----|-⌫---|-|----|-⌫-|
quat rero e s par	----⌫-|--⌫-⌫|--|
oezcommentetenquel	--|------|-|-|---|
les d euxseront iointesensem ble	--|-⌫--|-----|------|-----⌫--|
etlesautresde u x	-|--|-----|--⌫-⌫|
cemes emb le	-|-|-⌫---⌫-|
seront aussi ensem bleio intes	-----|----|-----⌫--|--⌫----|
declos m enue mentporpointes	-|---|-⌫----⌫---|---------|
u osil uosdr aipramaitre	-⌫-|-|-----⌫-|--------|
par lesrains i eiferai	--|--|----|-⌫||----|
brochesdeferpa rtelesg art	------|-|--|--⌫|--|---⌫--|
passeront pa rcha scu nepa rt	--------|--⌫|---⌫---⌫-|--⌫-|
desroespla in	--|---|---⌫-|
li cerclesquis er ontpar mi	-|------|--|-⌫--⌫--|---⌫-|
e tles gentesq ue liro istienent	-⌫|--|-----|-⌫-|-|--⌫-|------|
qui au torn eruont	--|-|----⌫-|---|
etr euienent	-|-⌫-------|
s erontbroc hé sd e	-⌫----|----⌫---⌫|-⌫|
t ou tent or	-⌫--⌫|---⌫-|
facon etdun ator	----|-||-|---|
serontles roestoute	-----|--|---|----|
apr essil es fere	---⌫-|-|-⌫-|---|
enungrantfoss eouseron t	-|-|----|----⌫|-|-----⌫|
queque lesroes	-----|--|---|
contre ua ltoutaune hie	------⌫--⌫|---||--|--|
que le sautre stormenz la fui e	--|--⌫|-----⌫|------|-|---⌫|
contremontetent el	---------|-|-|-⌫-|
to utl unea uent	--⌫-||--|-⌫---|
en tre lesbroche sde	--⌫--|--|------⌫|-|
auralapucelleson	---|-|------|--|
mise toute nu e	---|----|--⌫|
et quant leur e	-|----||---⌫|
s era u enue	-⌫--|-⌫---|
quelesroes torner	--|--|---|-----|
etparenginfere ato rner	-|--|----|---|---⌫---|
unecontre l au tre ira	--|-----||--⌫--|--|
o nquessitostnedescira	-⌫----|-|---|-|------|
lileussa proie d esapo e	-|---|-|----|-⌫|-|--⌫|
comles den zd e c hascune	--|--|---⌫|-⌫|-⌫------|
l id eromp ron tsa charla ten dre	-⌫|-⌫-----⌫---⌫|-|---|-|---⌫--|
ace p orront es sampl e prandr e	|-|-⌫-----|--⌫-----⌫|------⌫|
li cret ie nquise ront	-|----⌫--⌫|--|--⌫---|
por cetuiserepent ir o nt	--|-|--|-|------⌫--⌫-⌫-|
m esilestdroit	-⌫-|-|--|----|
quelenlessoit	--|--||-----|
et q ued euent le torment soit	-|-⌫-|-⌫----|-|------|---|
la d amoi selleuueassise	-|-⌫----⌫----|--|-----|
apresaso nuo loireslise	----||--⌫|--⌫---|-----|
ousondomageou son profit	-|--|-----|-|--|-----|
queelmuir eoudieu sacrefit	--|-|----⌫|-|---|-------|
atantmandent les charpentiers	----|------|--|-----------|
tanti otmisdeiorsenti ers	---||-|--|-|---|----⌫--|
quelitormen zesta prest ez	--|-|------⌫|--|-⌫-----⌫-|
enmi las aleestarest ez	---|-|-⌫--|--|-----⌫-|
pl ainsdeb rochesd e ferag ues	--⌫---|-|-⌫-----|-⌫|--|--⌫--|
lipueplesetles genzmenues	-|------|-|--|---|-----|
sesontas s emblez	-|---|--⌫-⌫-----|
etni a nulqu idelestor	-||||--|--⌫|-||----|
etdela no isequeil	-|-|-|--⌫--|--|-|
delapeoretd ela	-|-|---|-|-⌫|-|
n etr anbletot en	-⌫|--⌫----|--|-|
l i rois sestutensone st age	-⌫|---||----|-|--|-⌫--⌫--|
et commande que totenue	-|-------|--|---|--|
s oit la pucel exxx	-⌫--|-|-----⌫|--|
ladamoiselleest	-|---------|--|
de sp oil lie e	--⌫--⌫---⌫---⌫|
toutepre s teetapareilliee	----|---⌫-⌫-|-|----------|
de m ort soufrir	-|-⌫--|------|
moultuolentiers	----|---------|
porihesucris ts ilestme stier s	--|---------⌫||-|--|--⌫-----⌫|
to rment queelle uoie	--⌫----|--|---|---|
nenul t raua il lnelade suoie	-|--|-⌫----⌫--⌫|-|-|--⌫----|
ne pointn enestses cuers	-|----||-|--|--|----|
ue rs leciel a ses eulz leue z	--⌫-|-|---||--|---|----⌫|
etditso ef ent re	-|--|--⌫-|---⌫-|
et pri edieududedenz	-|---⌫|---|-|-----|
qui est toute poissence	--|--|----|--------|
la cuipitie garde et	-|--|----|----|-|
celuiquideboncuerlapele	----|--|-|--|---||----|
ent ent le	---⌫--|-|
cri delapucele	--|-|-|-----|
besoi ngte reclai me	-----⌫-|-|------⌫-|
cuer tedoute	---|-|----|
etfaique cistengig nement	-|--|--|---|-----⌫-----|
qui de mort est	--|-|---|--|
aprest ement	------⌫----|
quipormoiestciem buchiez	--|--|--|--|-|--⌫------|
parta foudr e	--|-|-----⌫|
s o itt re b uchie z	-⌫-⌫-|-⌫--⌫-⌫-----⌫|
etfroissiezpar piece s men ues	-|--------|--|-----⌫|---⌫--|
quecesgenzqu i sontuen ues	--|--|---|--⌫|---|---⌫--|
et quienton nonne sefient	-|--|-|--|--|-|-|----|
de leurpooir teglorefient	-|---|----|-|---------|
siretu sez certenement	---|-|--|----------|
queporla peordutorment	--|--|-|---|-|------|
nefaz i epascesterequeste	-|--|-⌫|--|----|-------|
que demori rsuitot epreste	--|-|----⌫|--|---⌫|-----|
et de souffrirsigrant	-|-|-------|-|----|
de gneraseslire	--⌫-----|-----|
ldiporcels qui cisont	|-|--|---|--|-|---|
quien t on non	--|-|-⌫-|--|
p ormoicrero nt	-⌫-|--|-----⌫-|
t oi aientgr egn eu rfi ance	-⌫-|----|--⌫---⌫--⌫|--⌫---|
quan tiluerrontceste uengence	----⌫|-|------|----|-------|
apaineotf e tesaprie re	|----|-|-⌫-⌫-|-|----⌫-|
qantih esuquilauoitta ntchere	---|--⌫--|--||----|--⌫-|----|
lienuoiasonuengeme nt	-|-----|--|-------⌫-|
du cieldescent	-|---|------|
isnellement	----------|
unang eatotunefoudre	-|---⌫|---|--|-----|
plained euen tetograntpoudre	-----|-⌫|---⌫|-||----|-----|
quifie rtl	--|---⌫-||
engingen telmaniere	-----|-|--|------|
quepiecen ireme s t	--|----|||----⌫-⌫|
etlespiecesq	-|--|-----||
anson t sailli es	-|---⌫|------⌫-|
siont les genzsie sbahies	-|--|--|---|-|-⌫------|
siconlesuenz	-|--|--|---|
les a ruees	--||----|
q uatre mi leen	-⌫----|--⌫-|-|
sile storbillon s	-||-⌫----------⌫|
quedu fustned esaguillons	--|-|---|-|-⌫-|--------|
ne remestbrochene	-|-----|-----|-|
delapucele	-|-|-----|
nese uengastdeceusdelez	-|-|------|-|---|----|
siquil iotd escerue lez	---|-||-||-------⌫--|
quatremi lepaiensparcon te	-----|--⌫-|-----|--|---⌫-|
issili uengadiexsahonte	---|-|----|---|-|----|
a cemiracleiertlar einne	|-|------|---|-|-⌫----|
qui atendo it dekateline	--|------⌫-|-|-------|
la passionc ou ue rtement	-|------|-⌫--⌫--⌫------|
le ue ng e m ent	-|--⌫--⌫-⌫-⌫--|
quedex a f ettot	--|--||-⌫-|--|
lors seporpenssequeel le pert	---|-|--------|--|--⌫-|---|
sontenssel se c elefor m ent	--|---||-|-|-⌫--|---⌫-⌫--|
lorsselieueisnelement	---|-|----|---------|
deuentle roi	-----|-|--|
nene tien tpas	-|-|----⌫|--|
rois quepenssestu	---|--|------|-|
c o m diex a	-⌫-⌫|---||
gra ntuertu	---⌫-|----|
tulec u i desuaincre	-|-|-⌫-⌫-⌫--|------|
c essestu dol ent netesforce	-⌫----|-|---⌫--|-||------|
dehater tongran t dempnement	-|----|--|----⌫|---------|
quetuarasha sti uem ent	--|-|---|--⌫---⌫---⌫--|
s achiez q ue citepeutdempner	-⌫-----|-⌫-|-|-|---|------|
ce diex quicipotame ner	-|---|--|-|--|---⌫--|
lafoudredontquatremile ho me	-|-----|---|-----|---|--⌫-|
sontci ocisaune	---|-|---||--|
a ce quelareigneadit	|-|--|-|-----||--|
sel euerentsa nzcon tre dit	-|-⌫------|--⌫-|---⌫---⌫--|
maintsarrazin q uitot ceuirent	----|-------|-⌫-|--|-|-----|
mai nte nant si se conuertirent	---⌫---⌫---|-|-|-----------|
de uantle r oiapertement	--⌫---|-|-⌫-|---------|
e t cri erent moult	-⌫|---⌫----|----|
hauteme nt	-------⌫-|
lid iexaucret i ens es t granz	-|-⌫--|-|----⌫-⌫--|--⌫|----|
nosno ste nons	--|--⌫|--⌫---|
asesser ge nz	|--|---⌫--⌫-|
ette ndr ondesiq u enlafin	-|--⌫---⌫-|-----⌫|-|-|--|
quesiu era idieunesifin	--|-|-⌫---⌫|---|-|-|--|
n auonsnose nco re tr oué	|----|--|-⌫---⌫-|--⌫---|
ro isnosauonsb ien esproué	--⌫-|--|----|-⌫--|-------|
que tes diexsont ueinesyd oles	--|--|---|---|-----|--⌫---|
quet uforge saumainset	--|-⌫|-----⌫|-|----|-|
ne peuentnul ai de fere	-|-----|--|--⌫-|---|
roiscildieusont deputafere	---|--|---|---|-|--|----|
quantli tir antaceoi	----|-|---⌫--||-|-|
sachie z pointne sen esioi	------⌫|----|-||-|----|
ainsaeumoultgranthai n e	---||-|----|----|---⌫-⌫|
e tplus assez	-⌫|---|----|
lors lap ele	---||--⌫--|
paritiexdiz	--|----|--|
cerei gne quetudiz	-|---⌫--|--|-|--|
p or coit es tud eceuente e	-⌫-|--||-|-|-⌫|-|-----⌫|
lic res tient ontenchantee	-|-⌫---⌫---||--|--------|
mesieteiurpar mesgran z diex	--|-|-|--|--|--|----⌫|---|
que setues	--|-|-|-|
l onguementtiex	-⌫--------|---|
ettun e lessesta foleur	-|-|-⌫|-----|-|-----|
iet e feraiagrantdoleu r	-|-⌫|----||----|-----⌫|
latesteducorsdese urer	-|----|-|---|----⌫---|
et s iferai toncorsli urer	-|-⌫|----|--|---|--⌫---|
e t aubesteset aus o isiax	-⌫|-|-----|-|--|-⌫----|
qui en fe ronttozleurauiaux	--|-|--⌫---|--|---|-----|
l orscommendequel en	-⌫--|-------|--|-⌫-|
etquelenliperceetdest raigne	-|--|--|-|----|-|----⌫-----|
lesmamellesd e	--|-------|-⌫|
aclo s defer agrant ui ute	|---⌫|-|--||----|--⌫--|
et quantseron tbien	-|----|-----⌫|---|
atac hiees	----⌫----|
horsdu c ors	---|-|-⌫--|
sachi ee s	-----⌫--⌫|
ontlisergen trauie	--|-|------⌫|----|
quiliu ellenttolirla	--|-|-⌫-----|----|-|
end eme ntresquila	---⌫---⌫----|-||-|
etsilaidementdemenoie nt	-|-|--------|--------⌫-|
e lle regardela	-⌫--|------|-|
etdit amie carap ele	-|--|---|--|--⌫--|
notre segneurpar	----|------|--|
porquiamor	--|--|---|
iai si pochiere	|-|-|-|-----|
ma uiequeieuoil l morir	-|--|--|-|----⌫|----|
quitot peut me r ir	--|--|---|--⌫-⌫-|
les gran ztraua lsas	--|----⌫|-----⌫-|-|
du boncuer qu i laenuos	-|--|---|-|-⌫||-|--|
megartet tienge	-|---|-|-----|
queporlapoordutorment	--|--|-|---|-|------|
mafoi blechar ne se repente	-|---⌫--|---|-|-|------|
perdemaboneentente	----|-|---|------|
etlereaumeet l acorone	-|-|-----|-|-⌫|-----|
que diexa sescheualiersdonne	--|---||--|---------|----|
atantlirespontkath eli ne	----|-|------|----⌫---⌫-|
m oulti oieus ementtedemaine	-⌫---|-⌫-----⌫----|-|------|
porcestet ranssistoi repainne	--|----|-⌫----------⌫-|-----|
aura shui ui epardurable	----⌫|--|--⌫|---------|
asmes gardedudeab le	-|--|----|-|----⌫-|
lareignepo r	-|-----|--⌫|
alecorageferm et	|-|-----|---|-|
etpre stde souf r irle	-|---⌫-|-|----⌫-⌫-|-|
lorscommenc eausergentad i re	---|-------⌫|-|------||-⌫-⌫-|
p arf aceisnelem ent	-⌫---⌫--|-------⌫--|
le mperial comman dement	|-⌫------|------⌫-----|
lisergenzplain sdiniquite	-|------|-----⌫||-------|
l a mainn e	-⌫|-----⌫|
horsdela cit e	---|-|-|---⌫|
sili derompentle smamelles	-|-|--------|--⌫|-------|
abientranchan tesleslemailles	|---|--------⌫--|--|--------|
lie m ba tent enmi lepiz	-|-⌫-⌫--⌫---|---|-|--|
dec esoiezuostr etozfilz	-|-⌫|----|--|--⌫---|---|
atenailles lisachenthors	|--------|-|------|---|
lestendres	--|------|
mamellesducors	-------|-|---|
puisliont parmile coste	---|-|--|----|-|----|
tre sgr antcoutel bouté	---⌫|--⌫--|-----|-----|
siquelames enestpart ie	-|--||--||-|--|----⌫-|
uci e lala dest repartie	|--⌫-⌫||-|----⌫-|-----|
mistlareignenos tr esire	---|-|-----|---⌫--⌫|---|
pa r nu it	--⌫|--⌫-|
iestuenuzp orfire	|--|----|-⌫-----|
oulicorsauoitesté	-|-|---|----|----|
entreluietde	----|--|-|-|
si ladoucement	-|||--------|
q ui mo ultl	-⌫-|--⌫--||
auoittoziorsamee	----|--|---|---|
puislenseuelige n te men t	---||-------|--⌫-⌫--⌫---⌫|
et li fistson enterrement	-|-|---|--|----------|
alandemain	||-------|
ontdemandé	--|-------|
cilquiliroisa commandé	--|--|-|---||--------|
quiauoitainssiatorné	--|----|-----|------|
et enba sméetente r re ́	-|----⌫---|-|----⌫-⌫--⌫|
lecor s ains sinca lareigne	-|---⌫|----⌫---||-|-----|
etsi enont	-|-|-|--|
maint por haine	----|--|----|
limenistr e	-|-------⌫|
p arleur desroi	-⌫-|---|-----|
pri se tme néd euentleroi	---⌫|-⌫|--⌫--|-⌫----|-|--|
etle s comm andetoz	-|--⌫|----⌫---|--|
m es porf irequi nedesi rre	-⌫-|----⌫--|--|-|----⌫--|
forspor d ieu martyre	---|--|-⌫--|------|
seuad onneret	-|-|-⌫----|-|
greau fereor	--|-|-----|
etuadeuentl empereo r	-|-|-----||-------⌫|
emperer e s ce dist liquens	-------⌫-⌫|-|---|-|----|
t eliugementnes t miebu ens	-⌫-|-------||--⌫|--|--⌫--|
ocir r e sanzmef fet	----⌫-⌫|---|---⌫--|
cels qui neto n tdene antmef et	---|--|-||-⌫-⌫|-|--⌫--|---⌫-|
t uten porr asbienrepent ir	-⌫||-|----⌫-|---|------⌫-|
mesieneuoi llpasconsentir	--|-|-|---⌫-|--|--------|
qu enuse nmui re	--⌫|--|-⌫|---⌫-|
sanzdeserte	---|------|
ciaroi t tropdeslealperte	-|----⌫|---|------|----|
mortdeser uie	---|-----⌫--|
quil a reigneatenseruie	--|-⌫|-----||--|-----|
quela reigne enseueli	--|-|-----|-------|
porce qu e diexiertbi ende li	--|-|--⌫|---|---|--⌫-|-|-|
riensitelmeff et	----|---|----⌫-|
bi ensachestu qu e	--⌫-|-----|-|--⌫|
die un elquie rceler	---⌫|-⌫||----⌫|----|
que tout le montdoitapeler	--|---|-|---|---|-----|
litiranzcomme forsenez	-|-----|----|-------|
qu il a idement s estdemenez	--⌫|-⌫-⌫------||--|------|
caril aelcorsle	--|-||-|---|-|
giet euncrisi	----⌫|-|--|-|
esp eontabl e	---⌫-------⌫|
quetretoutee ntent ist la	--|-------|-⌫|----⌫--|-|
etdistc hetis l eure fu	-|---|-⌫----||---|-|
queieo n ques	--|-|-⌫-⌫---|
cheisusterre	---|--|----|
malemortcaruien simaterre	---|---|--|---|-||-----|
quantiepertt outa la reonde	----|-|---|-⌫--||-|-----|
ce queiam oieentotle mo nde	-|--||--⌫--|-|--|-|--⌫--|
tantostcommand equelleface	------|-------⌫|-|---|---|
u enirt ret ouzen milaplace	-⌫---|-⌫---⌫--|--⌫-|-|----|
lescheual iers dequipo r fire	--|------⌫---|-|--|--⌫-⌫---|
estoitesconestablee t	-----|-----------|-⌫|
tuitsontdeuentle roi	---|---|-----|-|--|
mesil liest si	--|-|-|--|-|
ensem bleli	-----⌫--|-|
quil creoient enihesuc rist	-|-|-------|-|------⌫---|
me sp ortr auaillnepor	--⌫|-⌫-|--⌫-----|-|--|
poine q uele nleurface	----|-⌫-|--⌫|---|---|
lacreanceneguerpiront	-|------|-|---------|
a le ursegne ur obei ront	|--⌫-|-----⌫-|----⌫---|
apoq uelit iranzne nrag e	|-|-⌫-|-|-⌫----||-⌫----⌫|
si commandep arson outrage	-|-------|-⌫-|--|------|
quelen le f acetormenter	--|--|-|-⌫--|--------|
ace lesc u ide espeonter	|-|--|-⌫-⌫--|--------|
la pe ordutorment	-|--⌫-|-|------|
gue rpisse ntleurproposeme nt	---⌫------⌫-|---|---------⌫-|
atantporfire s estdreciez	----|------||--|------|
etsautauant totcorrecie z	-|---|----|--|--------⌫|
que sanzlui les	--|---|--|--|
e nu it al er	-⌫|-⌫-|--⌫-|
lorsles commance	---|--|-------|
questcefet ildroi zemper ere s	-|--|-|--|-|----⌫|-----⌫---⌫|
que mo iquisu isirese tperes	--|--⌫|--|--⌫|----|-⌫|----|
ic esch eualierslesseu i ure	--⌫-|--⌫-------|----|-⌫-⌫--|
etles lessealeur del iure	-|--|----||---|---⌫---|
sachesque tunaras	-----|--|-||---|
queiesui chief de c emeffet	--|-|--|----|-|-⌫|-----|
se tue sfetli r oi s	-|-|-⌫|--|-|-⌫--⌫|
ne soiespa s por ce	-|----|--⌫|--|-|
tent commeatoiapent	---|----||--|----|
l es la folor siterep a nt	-⌫-|-|----|-|-|---⌫-⌫-|
detant leur doin gebone e s semp le	-|---|---|----⌫-|---|-⌫-⌫----⌫-|
faimain tena nte tsitessample	--|----⌫----⌫-|-⌫|-||-------|
et setuuels auantuenir	-|-|-|---|----|----|
ie teferai auantferir	-|-|----|----|----|
tantostcomman dequenl epraigne	------|------⌫-|-|-|-⌫|------|
et auo cl e scheualiers maigne	-|---⌫|-⌫-⌫|---------|-----|
loing audehors delacite	----|-|-----|-|-|---|
iluecs ontlicorsg e té	----|-⌫--|-|---|-⌫-⌫--|
etles testesaun epart	-|--|-----||--⌫|---|
quel ilyon aun etlili epart	--|-⌫|---||-|-|-|--⌫----|
etles ch iensetlesautresbestes	-|--|--⌫---|-|--|-----|-----|
les c o rsmanga ssentetles	--|-⌫-⌫-|-----⌫----|-|--|
a lendemain sefuassis	||-------|-|-|----|
totcorreciezettoz p enssi s	--|--------|-|--|-⌫-----⌫|
liroisenla sal em arbrin e	-|---|-|-|---⌫|-⌫------⌫|
et com man de que	-|---⌫---⌫-|--|
li soit deua ntlui pre sentee	-|---|----⌫-|--|---⌫-----|
s i laparite lxdi z	-⌫|||--|---⌫-|--⌫|
pucele e ntentc e queie di	-----|-⌫----|-⌫|--|-|-|
ue ls silecon tredi	--⌫-|-|-|---⌫----|
tuescoupa blede	-|-|-----⌫--|-|
cartou z ce l squi s ontici	--|---⌫|--⌫-⌫|--|-⌫--|--|
tulesa uoies	-|--|-⌫----|
e nch a n te z	-⌫---⌫-⌫-⌫--⌫|
lesai ge tor me ntez	--|-|-|---⌫--⌫---|
messerepe ntirte	--|-|----⌫---|-|
de lacreanceo utufoloies	-|-|------|-⌫|-|------|
et tuuoloies ahorer	-|-|------|-----|
me sdiexpui ssanzsa nzde mo rer	--⌫|---|---⌫----|--⌫-|--⌫--⌫--|
iet efero ie ia	-|-⌫|----⌫-|-|
tozle corr oz etl a	--|-|----⌫-|-|-⌫|
queia iuers toi	--||-⌫|---|--|
tep ard onroie	-|-⌫---⌫-----|
etmonreaumetedonroie	-|--|-----|-|------|
orfa imoulttos tnem ede laie	-|--⌫|----|---⌫|-|-⌫|--⌫---|
lundec esdeuxpr en simecroie	|-|-|-⌫-|---|--⌫-|-|-|----|
ou tules sacrefi cesfaces	-|-|--|-------⌫--|----|
outo nchiefsa nz	-|--⌫|----|--⌫-|
autr esm ena ces	----⌫-|-⌫---⌫--|
t e f eraiia du cors se urer	-⌫|-⌫---|-|-|---|--⌫---|
auschiens liurer	--|-----|-----|
la hors enc elelarge	-|---|-|-⌫--|----|
si que tr etoz lemont leuoie	--⌫--|--⌫---|-|---|-|---|
emperereditla	-------|--|-|
icest emortmest b on eet	-----⌫|---||--|-⌫--⌫|-|
cenestpa s	-||--|--⌫|
m orte incoisestuie	-⌫--|-⌫-----|--|--|
dautrech ose	|----|--⌫--|
iena ienuie	-||-⌫|----|
forsdemorir por	---|-|----|--|
monseign eur	--|-----⌫--|
ieno ionquesioie gregneur	-||-⌫|-----|---|-------|
carporcepleuraur oilees ce	--|--|-|----|---⌫-|----⌫-|
reposauraiporma t ristes ce	----|----|--|-|-⌫------⌫-|
finioies anzire	--|---|-⌫--|--|
iene te pui s	-|-|-|---⌫|
la dis medire	-|---⌫-|---|
com mentiemedoie si o ir	---⌫---|-|-|--|-⌫--⌫-⌫-|
toutesuiprest edobeir	----|--|-----⌫||----|
commend eras	-------⌫---|
iatel torment	-|--|------|
netroueras	-|-------|
queieneseufre d egrant	--|-|-|-----|-⌫|----|
m esttartque monroi uo ie	|--|---|--|--|--|--⌫-|
e tlagnelqueles uirg essi uent	-⌫||----|--|--|----⌫-|--⌫---|
parqui li an ge	--|--|-|--⌫-|
ducieluiuent	-|---|-----|
itelse gneurdoit	---|--⌫----|---|
lenrequerre	--|-------|
ciele tmeretterre	---|-⌫|--|-|----|
qu ant ot parle ́ lada m ois e l le	--⌫--|-|-----⌫|-|--⌫-⌫---⌫-⌫-⌫-|
li tiranzse shom esapelle	-|-----|--⌫|---⌫-|-----|
dont il auoitdeuantlimaint	---|-|----|-----|-|----|
etcommandec o nliamaint	-|-------||-⌫|-|-----|
horsdelacit edalixandr e	---|-|-|---⌫||--------⌫|
l afacentlesiensanc espand r e	-⌫|-----|-|---|---|------⌫-⌫|
ileu c lisoit lichiefcopez	----⌫|-|---|-|----|----|
s ien serasescuersuengiez	-⌫|-|---|--|----|------|
tantostlamesnent li serge nt	------|-|------|-|-----⌫-|
ontgrant pitiela gent	--|----|----|-|---|
etcrient apres	-|-----|----|
lameschine	-|-------|
amie kath eline	---|----⌫----|
aiezpi tie de taiouente	---|--⌫--|-|-|------|
det abiaute qu	-|-⌫|-----|-|
p l usque rosenefleurde lis	-⌫-⌫-|--|---|-|----|-|--|
bell eesgardeque t ueslis	----⌫|------|--|-⌫|----|
tulesses io iep ortristesc e	-|-----|--⌫-|-⌫-|--------⌫|
tuprenzpoureteporricheice	-|----|------|--|-------|
mortch angiertaui e	---|--⌫-----|-|--⌫|
a i nzmes pucele	-⌫-⌫-|--|-----|
no t en u ie	|-⌫|--⌫-⌫-|
demorirfors	-|----|---|
toi se ule ment	--|--⌫---⌫---|
uelsliureratorment	---|-----||------|
ientilpuc elesideliure	-----|---⌫--|-|------|
toncors quiestdi g nes d euiure	--|---|--|--|--⌫-⌫--|-⌫|----|
haiseg neur s dis t	--|---⌫----⌫|---⌫|
lessiezestercesteq uerelle	------|----|----|-⌫------|
cest epl ainte qu e	----⌫|--⌫----|--⌫|
riensneualt	----|-|---|
deuos nese traua lt	-|--|-|-|-----⌫-|
se lad ouceur de lan at ure	-|-|-⌫-----|-|-|-⌫--⌫--|
q uiseuruainttou te creature	-⌫-|--------|---⌫-|-------|
eslitmo ncue r porsa	----|--⌫|---⌫|--|-|
bienen deuezauoi rpi tie	---|-|----|----⌫|--⌫--|
n e u o smerueilli ezpas	-⌫|-⌫-⌫|---------⌫-|--|
q ue c istsieclesn	-⌫-|-⌫--|------||
estcunst repas	--||--|-⌫----|
ain coisaiez tretuitgrantioie	---⌫---|---|------|----|---|
quapareillieemestla	-|----------||--|-|
ihesucrist ensonparadis	---------|-|--|------|
ie luoiel cielcem est auis	-||--|-|---|-||--|---|
ouilm apelleetsemont	-|-||-----|-|-----|
quei emenuo ise la amont	--|-⌫||-|--⌫--|-|----|
ces tmesespousc	|--⌫|--|-----||
e stmesam is	-⌫-|--|--⌫-|
c est cilenq ui	|--|--|-|-⌫-|
iai moncu ermis	|-|--|--⌫-|--|
ce stmese spous cest	|-⌫-|--|-⌫----||--|
ma co ro ne	-|--⌫--⌫-|
ienenai rienssil	-||-|-|----||-|
du tou tensa g a rde	-|---⌫|-|-|-⌫-⌫--|
deuospenss ezetprenezgar de	-|--|-----⌫-|-|-----|---⌫-|
quemort qui	--|---|--|
tot lemontdesdaigne	--|-|---|--------|
encesterreurneuosseurpraigne	-|---|-----|-|--|----------|
queporle se ruise du deable	--|--|-|--⌫----|-|-----|
neperdoizuiepardurable	-|------|--|---------|
iss ie stuenu e enla p lac e	---⌫|-⌫-|----⌫|-|-|-⌫---⌫|
limenistrequilesmenac e	-|-------|--|--|-----⌫|
delates t e	-|-|---⌫-⌫|
fereuol e r	---|---⌫-⌫|
eldemandecongiedorer	-|------|-----||---|
doneuolentie rs	---|--------⌫-|
s oncu erqui	-⌫-|--⌫-|--|
estue r s dieuent iers	--|--⌫-⌫|---|---⌫---|
etseso eulzu ers lecieladreice	-|--|-⌫---|-⌫--|-|---|------|
etprie d ieu pa r g rantdestraice	-|---|-⌫--|--⌫|-⌫---|--------|
b iau sirediexbiausireperes	-⌫--|---|---|---|---|----|
mes ami set mes enper eres	--|---⌫|-|--|-----⌫---|
amisportesamise nterre	---|--|--|---|-⌫|----|
ro isporlestuensen uoi g ef er e	--⌫-|--|--|----|-|--|-⌫|-⌫--⌫|
en neu rde ceu s q uien toi	--⌫---⌫|-|---⌫|-⌫-|-|--|
gloiredesuirgesqui te croient	-----|--|-----|--|-|------|
l ibons ihesusgraces terent	-⌫|---|-----|-----|-|---|
de c e que	-|-⌫|--|
abiterentrele s anc ele s	-----|----|--⌫|---⌫---⌫|
enlacompangniedes puce les	-|-|---------|--|----⌫--|
quiences te fraginite	--|-|---⌫-|--------|
g a rdoient leuruirginite	-⌫-⌫------|---|--------|
sirep arta misericorde	---|-⌫-|-|----------|
a cequ e ie	|-|--⌫|-|
requier tacorde	------||-----|
qu ecilqu i aront enmem oire	--⌫|--|--⌫|----|-|---⌫---|
mapassion etma uicto i re	-|------|-|-|-----⌫-⌫-|
et enl oneur	-|-||----|
detoi biausire	-|--|---|---|
otroieles anzcontredire	-----|-|-⌫--|---------|
quetu entendes	--|-|-------|
leurrequeste	---|-------|
et quet aideleu rso itpreste	-|--||---|---⌫|--⌫-|-----|
enquelconqu e s ne ces si te	-|---------⌫-⌫|--⌫---⌫--⌫-|
