cil ki seiuen tdelettrure	--|-|------⌫|-|-------|
oreeniraidesque alm ur	--|-|---|-----|-|-⌫-|
a leziests afilleq u ist	-⌫--||--|-⌫|----|-⌫-⌫--|
le mur l esguardesidist	-|--||-------|-|---|
t uasfetele	-⌫|-|--|--|
sinasmiebi en	-||-|--|--⌫-|
kipurceo cat enueia	-|--|--|-||-----|
ceomest aui s	--||--|---⌫|
q uil te gabba	-⌫|-|-|----|
plusfortuerras	---|---|-----|
ak i iounc ne cuntreestui	|-⌫|-|--|-|----------|
ki estceo d uncli mul ezresp unt	-|--|--|-⌫--|-|---⌫-|----⌫--|
ad unc p lusfort entutlem und	|-⌫--|-⌫--|---|-|--|-|-⌫--|
oref et elece oestla	--|-⌫-|--|--⌫|--|-|
dedenz me ieestsesniz	-----|--⌫||--|--|--|
il na d enmeisifo rt	-||-⌫|-|--|-|--⌫-|
qu e ele nepuissetresperce r	--⌫|--|-|-----|---------⌫|
fuitpa rmimeiuient	---|--⌫--|--|----|
nu lechosene la	--⌫-|----|-|-|
limulez d it	-|----|-⌫-|
c om entchel es	-⌫--⌫--|----⌫-|
oreaio idure s no ueles	--|-|-⌫|----⌫|--⌫----|
la surizmaparente	-|----|-|------|
o reaiper dutu tem en tente	-⌫-|-|---⌫-|--⌫-||--⌫----|
ieoquido ue	--|-----⌫-|
sihaut munter	-|---|-----|
o re mecouie n t areturner	-⌫-|-|-----⌫-⌫||-------|
e enclineramanature	|-------||-|-----|
teu sestle	---⌫|--|-|
cu r s deauenture	--⌫-⌫|-|-------|
uaa meisun esite	-||-----||-|-|
uoi lle s pur	---⌫---⌫|--|
n uleri en	-⌫--|--⌫-|
t a natu remes	-⌫|----⌫-|--|
teusse qu idemuteshaucer	---|-|--⌫--|--|-------|
utre sundreitereleuer	---|--|----||------|
queplu ses t ut	--|---⌫|--⌫-⌫-|
bas returner	--|-------|
mespreisernedeit nulsundreit	---------|-|---|--|--|----|
n estmalkikilseit	|--|--|-||-|---|
i anesauerassiluinz	-⌫|-|------|-|----|
qu etupuissesf emme	--⌫|-|------|-⌫---|
quem euz seita	--|-⌫--|---||
kela s uricet tep etite	-|-|-⌫------⌫-|-⌫----|
issiaui entasorguil lus	---|---⌫--|-|------⌫--|
assurquidezas enuius	-|--------|-|-----|
querequerentquil	--|--------|-|-|
nedeu ereien t	-|---⌫------⌫|
la reuer ui lu	-|----||-⌫||
ne uodrei ent	-|------⌫--|
dunes car botn us cuntee dit	|-|--⌫---⌫--|-⌫-|----||--|
e ieolaitrou éenes crit	|--||-|----⌫-|-|--⌫---|
queotieuen unfe mer	--|-|--|-|-|--⌫--|
q u a nt ilfu sauld e	-⌫-⌫-⌫-|-|-|---|-⌫|
horsseneissi amu nt garda	---||-|----||--⌫-|----|
euitleg lecum	|--||--⌫-|--|
mutparlentient aorguillus	--|--||-|----||--------|
enzensunq u or fum ut	--|-|--|-⌫-⌫-|-|-⌫-|
escarb ozledist	------⌫-|-|---|
que l ursepa ndelur mesfist	--|-⌫-|----⌫--|--|------|
l egleueit	|---|---|
curteisebel	------||--|
iln esteient umneoi s el	-||-------|-|-|--⌫-⌫-|
saulnepoei ent uoler	---|-|----⌫--|----|
aleunnes o rent	|---|-|-⌫-⌫---|
aiesguardétuteniur	-|--------|--|-|--|
que nuste numsaseignur	--|--|--⌫---||------|
sihaut uola	-|---|---|
e quantiluo lt s i	|----|-|--⌫-|-⌫|
reuient bas	------|--|
me ssauoiz	--⌫|-|---|
estbassee quoi e	--|----||----⌫|
p asplush autque	-⌫-|---|-⌫--|--|
a utresiestmis co rsluisanz	-⌫-----|--|--|--⌫-|------|
cum est lisuenstut	--|--|-|----|--|
seit il granz	---|-|----|
unech oseaien	--|--⌫--|-|-|
m un p ense	-⌫-|-⌫---|
y uern neen	-⌫---|-|-|
ne uoil meselfemeren tre r	-|---|--|-|----|--⌫---⌫|
odautre s oiseusuo il uoler	-|-----⌫|-----|--⌫-|----|
siuiueraicumiluiueru nt	-|------|--|-|------⌫-|
dunccumence achanter	---|------||------|
mutl eid ement eacrier	--|-⌫---⌫----|||----|
derer e legle pristunt	-----⌫||---|----|--|
carilquidau o ler pl us haut	--|-|----|-⌫-⌫--|--⌫-|---|
a inz quegueres fust luinzalez	-⌫--|--|-----|---|----|---|
e s turd ifueestun ez	-⌫-⌫----⌫|-||-----⌫-|
ne po eitmi ehautmunter	-|--⌫--|--⌫|---|-----|
femer puisasener	----|---|-----|
feimaue it	---|---⌫-|
mangeruoleit	-----|-----|
pargrantdestresce sepleineit	--|----|--------|-|-------|
neli chal ei tsi o iseus	-|-|----⌫--⌫|-|-⌫----|
nul de eusl	--|-|--||
esch arneit	----⌫-----|
n e ntplusque fetalg upil	-⌫-⌫-|---|--|--|-|-⌫---|
que a ut resbestestienent	--|-⌫--⌫--|-----|------|
orenechautque	--|-|----|--|
hummetienge	--|-|-----|
uermuoisel	---||----|
dedenzlafi ente	-----|-|--⌫---|
delc heual	--|-⌫----|
kard efe imai doluremal	--|-⌫|--⌫-|-|----||--|
issiauientdessurquidez	---|-----|--|--------|
memes sun t iug ez	----|---⌫|---⌫-|
ceoenpernentquenepoentfere	--|-|------|--|-|----|---|
dunc lur couie nta retrere	---|--|-----⌫-||------|
dun senglerc untequeencuntra	|-|------|-⌫---|--|-------|
par unc hemin	--|-|-⌫----|
quei leoc estut	--|-⌫---|----|
meru eillaseique	----⌫----|--|--|
equi ll ineleissala	|-|-⌫|-⌫|-|-----|-|
equ euersli nesasuplei e	|--⌫|---|-|-||-------⌫|
ahurtot malement	------|-------|
dunc l apel a	---||----⌫|
parmal talent	--|---⌫-----|
fetilquei ieofereie	--|-|---|--|-----|
sim esdenzaguiser	-|-⌫-|---|------|
p ar cesteessam ple nus assume	-⌫-|----|-----⌫--|--|-----|
quesiestdelorguillushume	--|-|--|--|--------|---|
que quide bienensunpens er	--|----|---|-|--|----⌫-|
kenul neli dei ue cuntreeste r	-|--|-|-|---⌫-|----------⌫|
safie en sa pr ue sce	|---|-|-|--⌫--⌫--|
quilmemes sehurteeble sce	-|-|----|-|----||---⌫--|
issiauie nt quepar	---|----⌫-|--|--|
otenbo i splent e degla n	-|-|--⌫-⌫|-----⌫|-|---⌫|
lesporsisunt misech aciez	--|---||---|--||--⌫----|
liteiss un ss est acumpain iez	-|-----⌫--⌫||--|--------⌫--|
ensemble odeu ssi recunut	-------|-|--⌫|-|------|
esteitees tre dut	-----||--⌫--|--|
quantli porc uiendren t ameisun	----|-|---|--------⌫||-----|
ei l uitfere loccisiu n	|-⌫|--|---||-------⌫|
liteissun s comenceacrier	-|-------⌫|------||----|
areneerea iurer	|-----|||----|
que teisunsfusespiez	--|------|-|--|---|
quant od le sporcs alb ois	----|-|--⌫|----|-|-⌫--|
ceo e stcustumedasqua nz genz	--|-⌫-|------||-----⌫-|---|
teles custumesueule nt e nprend re	----|-------|-----⌫-|-⌫|-----⌫-|
duntpl usursfuntaeus ent en dre	---|--⌫----|---||--|---⌫--⌫--|
mesqu antil suntaparceuz	--|--⌫--|-|---|-------|
tuziurzsuntplu smescreuz	--|---|---|---⌫|-------|
unlu ses te ita cu mp ainez	-|-||--⌫--⌫-|-⌫--⌫--⌫----|
a lhyri cunebien af iez	-⌫|----⌫--||---|--⌫--|
puisauients i q u e li lus	---|-----|-⌫|-⌫-⌫|-|--|
alhyric un ad d i tami s	-|-----⌫-|-|-⌫-⌫|---⌫|
aie meiesi deust e ait	--|--||-|---|-⌫|--|
lihy ricunsre s punte dit	-|--⌫-----|--⌫-⌫---||--|
aiderpasne tepus	----|--|-|-|--|
teluou a sfet	--|--|-⌫|--|
que n e conus	--|-⌫|----|
tunuoutestu tainz	--|--||----⌫|---|
quenulstepuis sedeli u erer	--|---|-|----⌫-|----⌫-⌫---|
i anet enaidera i ainceis	-⌫|-||-|------⌫|------|
telestlacustume elal eis	--|--|-|------||-|-⌫--|
ceoueithumsuuentdelfelun	--|---|--|-----|--|----|
tant en chantetsu ncumpainun	---|--⌫------|--⌫|--------|
estengin nez	--|-----⌫--|
ner t aidez	|--⌫|----|
unluuient aun eri u ere	-|-|----||--⌫|--⌫-⌫--|
queilemanere	-----|-----|
ewepuissepasser	--|-----|-----|
uiti leocester	--|-⌫---|----|
enunbat e lsi l	-|-|---⌫-⌫|-||
queutr ele	--|---⌫|-|
liuileinsd istqu	-|------|-⌫--|-|
i ln efereit	-⌫|-⌫|-----|
si bon luerde lui n auei t	-|--|---|-|--||----⌫|
io l o tr ib i en	-||-⌫--⌫|-⌫-⌫-|
c eo ditli l us	-⌫-|--|-|-⌫-|
elbate lentrentambesdous	-|----⌫|------|--------|
d elateresuntesluiné	-⌫|-|---|---|-------|
lilus a dleuileinprié	-|--|-⌫|-|-----|----|
qui l lidesi stqu	-|-⌫|-|----⌫-|-|
eliu i le insl icumanda	|-|-⌫-⌫--⌫--|-⌫|------|
que treisparolesde	--|----|------|-|
il deustdirealsunespe ir	-|----|---|-|--|----⌫-|
ie ouol en terslilusrespunt	--⌫|---⌫--⌫---|-|--|------|
iduncdrescalatestea munt	----|-----|-|----||---|
bienfetkibienfet	---|--|-|---|--|
di stliui leinsceo est uer ite z	--⌫-|-|--⌫----|--|--|---⌫---⌫|
quant ilfure nt unpoi al ez	----|-|----⌫-|-|--|--⌫-|
sili a dleuilainrouez	-|-|-⌫|-|-----|----|
queunuei rde i ste	--|-|---⌫|--⌫-⌫-||
mutfetpis kin efei t	--|--|--|-|-⌫|---⌫|
f etliuileinsoredi leterz	-⌫-|-|------|--|-|-|---|
e steitmut u eizez	-⌫----|--|-⌫----|
neli uoleit	-|-|-----|
ain z quil uenistateres u s	---⌫|-|-|-----||---|-⌫-⌫|
lu s esteit	--⌫|-----|
alui leindistoreentendez	-|--⌫---|---|--|-------|
tute stperdue luinzepres	--|-⌫-|----||----||---|
quanque lemfetpur	------|--|--|--|
fetli ui leins	--|-|--⌫----|
choses ma uezue irdit	-----||-⌫--|--⌫-|--|
purquein eu o usisainceis	--|---|-⌫|-⌫-⌫---|------|
dunccomenca li lus arire	---|------|-|--||---|
fetilkarieo	--|-|--|--|
quedelan ef	--|-|-|-⌫-|
getéserei e	----|-----⌫|
as prodes h u mmese a s leiaus	-|-----|-⌫-⌫---||-⌫|-----|
auientsuuentd amagee	-----|-----|-⌫----||
del a cumpainieas feluns	-|-⌫|--------|-|-----|
mauueisenest lur guerduns	------|-|--|--|-------|
dun osturr ecu nteici	|-|----|-⌫---⌫--|--|
quesurunfust aueit	--|--|-|---|----|
elihua nens emble	|-|---⌫|---⌫----|
t ants en t reameren tambedui	-⌫--||--⌫-⌫--------⌫|------|
niensemblepune ient	-|-------|----⌫---|
eluroiseusensembleaueient	|--|-----|-------|------|
ore auientsi que un	--|-----|-|--|-|
lesosalhuan	--|-|-|---|
aueitduize char piz	----|---||----⌫--|
odlessuens oisel ez petiz	-|--|----|-----⌫-|----|
puis lur alaqu ere uiande	---|--|--|--⌫--|-----|
sic um enat ure	-|-⌫--⌫|---⌫--|
le demande	-|------|
a e us fu repeirez	|-⌫-|-|-------|
fusis nizorzesuillez	-|--|--|--||------|
l aueien tmalm is	|------⌫|----⌫-|
q uan tlios turfu	-⌫---⌫|-|--⌫--|-|
s es ois eusleidi eb lama	-⌫-|---⌫--|----||-⌫---|
p a rmaltalentlurrepruua	-⌫-⌫|--------|--|------|
qu euintanzot eireten ue	--⌫|---|--|-|---|---⌫-|
unc si grantdes cuuenue	--|-|----|---⌫------|
neli firentmes	-|-|-----|--|
lirespund irentapres	-|-------⌫----|----|
quilne s deitmie	-|-|-||---|--|
luim emes deit encuper	--|-⌫---|---|------|
carlurderereu nt eufrere	--|--|-----|-⌫-|-|----|
pur ce oes tdreitqu eensunni pere	--|--⌫|--⌫|----|--⌫|-|--|-|---|
illurrespunt	-|--|------|
uu sditesueir	--⌫|----|---|
legerechose esta	-----|----|--||
d eloe flep oeiebiengeter	-⌫-|--⌫|-|-⌫---|---|----|
parcha lure parco uer	--|---⌫--||--|--⌫--|
nelpoi fors	-||--|---|
mettre d e n ature	-----|-⌫|-⌫----|
maudite seit	------|---|
telnu reture	--|--⌫-----|
purceod ithum en r epru uer	--|--|-⌫-|--|-|-⌫----⌫--|
dela pumdelduz	-|-|--|--|--|
siel echeitdesuzlefustamer	-|--⌫|----|----|-|---|---|
ianesaueratantrueler	-|-|-----|---|-----|
quealmordre neseitrecunue	--|-|-----|-|---|------|
desur quel arbre eleestcrue	----|---|----|--|--|---|
sanature peo thum guench ir	-|-----|---⌫|--|------⌫-|
mes nulneputdeltu teissir	--|--|-|--|--|--⌫|-----|
un eglesestei tmut iriez	-|----|-----⌫|--|----|
osture curucez	----||------|
tu z leso i seus	--⌫|--|-⌫-⌫---|
fetasembler	--|-------|
apresl os t urlesfist uoler	----||--⌫-⌫-|--|---|----|
sauers ille purre ientpr endre	----||-|-|-----⌫---|--⌫----|
mesneluruolt	--|-|--|---|
pasatendre	--|------|
unche sne ses teitmis	-|---⌫--||--⌫---|--|
lesoiseuslunt	--|-----||--|
pui s esgar de ntkilasaudra	---⌫|-----⌫--⌫-|-||------|
eki auenir ip urr a	|-|-----||-⌫---⌫|
dunc un t l agrue e nueie ́	---|--⌫|-⌫|---|-⌫-----⌫|
purlel ungcol luntpreié	--|-|-⌫--|--||--|-----|
la g ruelancebek auant	-|-⌫--|----|--|----|
e l iosturdemein tenan t	|-⌫|----|------⌫-----⌫|
laueit pa rlateste saisie	|----|--⌫|-|----|-----|
la gruefust	-|---|---|
quelim esauie nt	--|-|-⌫------⌫-|
par derere	--|-----|
oiseusf istt rere	-----|-⌫--|-⌫---|
queen tur l uiuenuesteient	--|--⌫--|-⌫-|---|-------|
ekiaiderliuoleient	|-|----|-|-------|
tuzlesordea	--|--|----|
emesbailli	|--------|
eils enfueientd esurli	|-||-|------|-⌫---|-|
quan tele ot	----⌫|--|-|
purpensa sei queennuleguise	-------|--|--|-|---|----|
neuol stel	-|---⌫-|-|
paisa re ster	---|-⌫--⌫---|
ainzpasseraceo d i stla	---|------|--|-⌫-⌫-|-|
pur la h u nte queeleaueit	--|-|-⌫-⌫--|--|--|----|
q uelisere ittuziu rs retrete	-⌫-|-|----⌫-|--|--⌫-|------|
quan tel e	----⌫|--⌫|
siadunemaueencuntree	-|-|--|---|--------|
s ili demand ae	-⌫|-|------⌫||
a lotecel e l id ist	-⌫--||---⌫|-⌫|-⌫--|
qu e desun	--⌫|-|--|
paisertfuie	---|--|---|
silic unta	-|-|-⌫---|
sa u ileinie	-|-⌫------|
d u ncadla mauerespund ue	-⌫-⌫-|-|-|---|-------⌫-|
de mandalisiel eestuenue	--⌫----|-|-|--⌫|--|----|
senzcelusteilqu ilahuni	---|--|-----|--⌫|-|---|
elagrue lirespun di	|-|---|-|------⌫-|
einzlaifet ele ensemble odmei	---||-|--|--|-------|-|--|
du ncteloieopar drei tefe i	--⌫-|-|-|--|--|----⌫-|--⌫|
que tu t en uoisent a	--|-||-|---|-|-⌫|
esdeliueree	-|--------|
greinur malpeot ilailurs fere	------|--|---|-|-----|---|
cestessampleadpur ceocunté	---|-------|-|--|--|-----|
cil que suntplein	--|--|---|----|
demauu eiste	-|----⌫----|
een lur cuntreemes funt	|-|--|------|---⌫---|
pu islaguer pissent si sen u unt	--⌫-|-|----⌫------|-||-|-⌫--|
p urnentles sentlurpais	-⌫-|---|---⌫---|--|---|
aillursfu ntila utelu pis	------|--⌫-|-|-⌫---||--|
lurmauueisquordeiuentchang er	--|------|---|------|-----⌫-|
nemielu rma uueis	-|--|--⌫|--⌫----|
quor lesser	---|-----|
unprestre uolstiadisaprendre	-|------|----|----|-------|
a unlulett resferee nte ndr e	|-|-|----⌫--|---|-⌫---⌫---⌫|
a distleprestr e	|---|-|------⌫|
adistl i lus	|---|-⌫|--|
quemutert fele enginn us	--|--|--|--||------⌫-|
leprestre diod	-|------|-|-|
bdistlilusio	|---|-|--|-|
c distle pre strediauant	|---|-|---⌫---|-|----|
cdistlilus	|---|-|--|
ai duncitant	||---|----|
respuntle prestre ore d ipartei	------|-|------|--|-⌫|--|--|
di st ieonesai quei	--⌫-|--|-|--|---|
d iquetesembles ies pel	-⌫|--|-|-----|-⌫|--⌫--|
re spuntlilusildit	--⌫----|-|--|-|--|
lepres tredi tq ueu eri tetuche	-|----⌫--|--⌫|-⌫-|-⌫---⌫-|----|
telen pensetelenla	--|-|----|--|-|-|
leplusdi t	-|---|--⌫|
hum souent	--|-----|
il p ensent durement	-|-⌫-----|-------|
epar lurbuche estcuneu	|--|--|----|--|----|
ainceisque	------|--|
seitdaut re sceu	---||---⌫-|---|
la buchemustrelepenser	-|----|-----|-|-----|
t ut deiueeledeelp arler	-⌫-|----|--|-|-|-⌫----|
u neserp enttre spas sotia	-⌫-|----⌫--|---⌫----⌫--|-|
champ tran slanca	----|----⌫-----|
lichans li dist	-|----|-|---|
reguardete i	-------|--⌫|
tu nenport esnentdemei	-||-|----⌫-|---|-|--|
autresie st des	------|-⌫-|--|
quantilsesuntacumpainez	----|-|-|---|---------|
e n t reeus	-⌫-⌫-⌫-|--|
se ueulentsiguaiti er	-|------|-|------⌫-|
tantse quidentsuzueizier	---|-|------|---------|
qu eli u nspar lau tr e	--⌫|-|-⌫-|--||--⌫--⌫|
nea utres f ors	-|-⌫----|-⌫--|
eusniaerd e	--|||----⌫|
dunt entre eus	---|----|--|
seient encumbrez	-----|--------|
l i unspar	-⌫|--|--|
autrer ie nn e prent	----|-⌫--⌫|-⌫|----|
plusquelichans d elaserpent	---|--|-|----|-⌫|-|------|
unhum ceodi ten ta s sotble	-|--|--|--⌫|--⌫--⌫-⌫--|--|
e larunde l	||-----||
a desguardé	-⌫|--------|
cum lim uissunde forsestoen t	--|-|-⌫-----|--⌫---|------⌫|
bleasp rimer n osoe nt	--|---⌫----||----⌫-|
duncles apela	---|--|----|
queauantu enissen t lurroua	--|----|-⌫-------⌫|--|---|
tantlesau ei taseurez	---|--|--⌫--⌫|------|
grange esteient entrez	-----|-------|-----|
del b lemangeren t durement	--|-⌫-|--------⌫|-------|
duntleuilein firent d olent	---|-|-----|-----|-⌫----|
idunciuraquil	----|---|-|-|
lesprendreit	--|--------|
eq uilles uses tupereit	|-⌫|-|--|-|--⌫-------|
elarundele s engar ni	||-----|--⌫|-|---⌫-|
que lecunseil celuioi	--|-|------|----|-|
li m ui ssun	-|-⌫--⌫---|
sen suntde sturnez	|-|---|--⌫------|
deusiursentiers ni suntentrez	---|---|------|||---|-----|
liuileinsdist a sun sergant	-|------|---||--|------|
qu emerueille li semblotg rant	--⌫|--------|-|------|-⌫---|
kelimuissu n	-|-|------⌫|
s unt deuen u	-⌫--|-----⌫|
li b achelers adr espundu	-|-⌫-------|-|-⌫------|
quelarundel l aue itfet	--||------||---⌫-|--|
qu il sesteie nt issi r e tret	-|-||------⌫-|---|-⌫-⌫---|
m es siluoleit su n	-⌫-||-|-----|--⌫|
cu nse ilcreire	--⌫---⌫-|-----|
teus parol esdir eit p u rueire	---|-----⌫-|---⌫--|-⌫-⌫|----|
duntlarun deledeceuereit	---||----⌫---|---------|
eles muissu n sli	|--|------⌫-⌫|-|
enhaut parlast queele lois t	-|---|------|--|--||---⌫|
afermast ebien desist	-------||---|-----|
que iamesois eus ne pre ndreit	--|----|---⌫--|-|---⌫-----|
ne queiam alnelurfe reit	-|--|-|-⌫-|-|--|--⌫---|
l iuileinsdist	-⌫|------|---|
ceste parole	----|-----|
l arundeleke	|-------|-|
asm uissuns lalarecunter	-|-⌫------||--|-------|
si srefistenla grangeentrer	-||-----|-|-|-----|-----|
liuilei ns adses enginsf et	-|-----⌫-|-|--|-----|-⌫-|
lesmuissun sad	--|-------⌫|-|
pris eam ort tret	---|||-⌫--|---|
dunctencerent alarun de l e	---|--------|||----⌫--⌫-⌫|
qu eelelur otditmale	--⌫|--|--|-|--|---|
elelurrespunt cilmementi	--|--|------|--|-|----|
ei eomenti uus tutautre s i	|-⌫-|----|--|--|-----⌫-⌫|
quant me dist ueireieo auus	----|-|---|---||--||--|
li mausturnésu rnus	-|---|-----|--⌫|--|
purceo mustre parcestesc rit	--|--|-----|--|---|---⌫--|
m eintefeizhumtroue e dit	-⌫----|---|--|----||--|
aki m entirueu t	|-|-⌫----|---⌫|
acelui ke li mentirso lt	|----|-|-|-----|--⌫-|
nul sagehum	--|---|--|
nedeureitcreire	-|------|-----|
par olenule si	---⌫--|---|-|
elenef ust ueire	--|-|-⌫--|----|
mencungeensuncurage	-------|-|--|-----|
queliturne agran tdamage	--|-|----||----⌫|-----|
sifistlarundelele u ilein	-|---||-------|-|-⌫----|
quel e smuissuns	--|-⌫-⌫|-------|
prist aldemein	----|-|-----|
ci nusre cunteen ces te	-|--|--⌫----|-|---⌫-|
uileinstreisth o r sde	------|-----|-⌫-⌫-⌫|-|
odsesbuslesfie nsqu	-|--|--|--|---⌫-|-|
libufparten cunlasaillirent	-|--|--|---⌫--||----------|
sirepruuerentalu ilein	-|----------|-|-⌫----|
la bon ecerueise ele pei n	-|---⌫|-------||-|---⌫|
queparlur trauail oteu	--|--|--|------|-|-|
mesmalementlur a d rendu	--|-------|--|-⌫|----|
gr an thunt elesd emena	--⌫--⌫|----⌫|--|-⌫----|
uileinslu rdemanda	------|--⌫|------|
qu eceo eteit qu	--⌫|--|----|-|
ill urfist	-|-⌫-|---|
fiens funtilfors d eles table tr eire	----|---|-|---|-⌫||--⌫----|--⌫---|
distl i ui leinsuusl efemast es	---|-⌫|--⌫----|--|-⌫|------⌫-|
el ameisunen cumbrastes	|-⌫|-----|--⌫---------|
li buf d ien tc eoest ueritez	-|--|-⌫---⌫|-⌫-|--|------|
dunc sestliuileinpurpensez	---||--|-|-----|--------|
silurrespunt q ue horsl e traient	-|--|------|-⌫-|---|-⌫|------|
bi enestdreizquela	--⌫-|--|----|--|-|
peine enaient	----|-|----|
is siuadelmauueissergant	--⌫-|-|--|------|------|
quetu te iu r	--|--⌫-|--⌫|
ua repro chant	-|-----⌫----|
s ungrantser uisea sun seignur	-⌫-|----|---⌫---||--|------|
nepr ent garde	-|--⌫--|----|
d el honur	-⌫||----|
de ceoquil mesfet s uuent	-|--|-|-|-----|-⌫----|
nel ipeotsuuenirnie nt	-|-⌫|---|------|---⌫-|
quantsuntr auailueut repr uuer	----|--|--⌫----|---|----⌫---|
de sunmesfet li de itremembrer	-|--|-----|-|--⌫-|--------|
unem uscheeun	--|-⌫----||-|
estencerent	-|--------|
e ens emblese c uruc erent	|---⌫----|-|-⌫----⌫----|
lamuschedi tqu emeuzualeit	-|-----|--⌫|--⌫|---|-----|
equ een tel liuualeir poeit	|--⌫|-|--|--|-----|----|
uceleneseosotueer	|---|-|-|---|---|
nis surlerei	-||--|-|--|
po ei tseer	--⌫--⌫|---|
equa nquele	|---⌫---|-|
estut lan purch acot	-|--||-|-----⌫---|
eatrahei t etireillot	|-------⌫||--------|
lie r ttol eitsiert tué	-|-⌫-⌫|---⌫--|-|--|---|
edesa meisu n forsgeté	|-|-|-----⌫|---|----|
cu m p ai nunsmangums	--⌫-⌫-⌫--⌫---|------|
d e t unmielt an tcum	-⌫|-⌫-|---|-⌫--⌫|--|
lieesrespuntuusdites ueir	-|--|------|--|----|---|
mesilestleger asaueir	--|-|--|----||-----|
que plus esuilsq ueieone su i	--|---|-|---|-⌫-|--|-|--⌫|
li usf ezenn ui	--⌫-|-⌫-|---⌫-|
sezu seez uas lauuas	--||---|--|-||--|
fethonur n au ras	--|----||--⌫--|
ieosuipurle	--|--|--|-|
mienfetamee	---|--|---|
emutcheriebiengar d e e	|--|-----|---|---⌫-⌫-⌫|
delna t urefelun	--|--⌫-⌫--|----|
quan tiladbien e n bandun	----⌫|-|-|---|-⌫|-----|
uerslesmeil lurstropse	---|--|----⌫---|---|-|
e de parolesesriche e	|-|-----||-------⌫|
de sdein lescuntralie	--⌫----|--|--------|
nei ss inul estqu ebie nlidie	---⌫|-⌫|--|--|--⌫|---⌫|-|--|
lea utede s unaf e ire	---⌫--|-|-⌫-|--⌫-⌫--|
enp lein ecurtlesfer a teire	-|-⌫----⌫|---|--|---⌫|----|
unescuflesiutensunlit	-|-------|--|-|--|--|
mal adesests i	---⌫---|--|-⌫|
un i a iotsunnipres del ui	-|-⌫-⌫|-|--|-|---|-|-⌫-|
akiilfistsu uent	|-|-|---|--⌫---|
liescuf le s sepurpensa	-|-----⌫--⌫|-|-------|
ques amere ienu eera	--|-⌫|---||---⌫---|
silifrarequere pardu n	-|-|--|------|-----⌫|
luifaceoreisu n	--|---|------⌫|
merefet ilk arli preez	---|--|-|-⌫-|-|----|
purme i li	--|--⌫|-|
ie o fet e lecumen tir ai	--⌫|--|-⌫-|-----⌫|--⌫-|
n esaicument	-⌫|--|-----|
li priera i	-|------⌫|
meinte feiz ass ui llésunni	-----|---|-|-⌫--⌫---|--|-|
oi seusesmeulti	--⌫---|-------|
issiestdelafole gent	---|--|-|-|---|---|
u ntmesfet suuent	-⌫-|-----|-----|
ueulentalermer ci	------|---|---⌫-|
ainzq u il	---|-⌫|-|
le u eul entame nder	-|-⌫---⌫--|---⌫---|
deuslusho rsboi s sencuntrerent	---|--|--⌫-|---⌫||-----------|
la se rest urentsi parlerent	-|-|----⌫----|-|--------|
quenu lhumnesosot	--|--⌫|--|-||---|
t u t n e uousisse nt	-⌫-⌫|-⌫|--------⌫-|
ilrien prend r e	-|---|-----⌫-⌫|
ceo dis tl i uns	--|---⌫|-⌫|--|
kar ass aiums	--|---⌫----|
n uspou ms	-⌫-|---⌫-|
e que nul neitdenus po ur	|--|--||--|-|--|--⌫-|
liautredi tio	-|----|--⌫|-|
oimerueilles	-|---------|
quant telechosenuscunse illes	----|---|----|--|-----⌫----|
did uncun us poumsaler	-|-⌫--||-⌫-|----|---|
fetil bien	--|-|---|
ueezlace l gentu	---|-|--⌫|---||
lag entsient	-|-⌫--|----|
ul urgarbescuil le n telient	|-⌫-|-----|----⌫--⌫-⌫||----|
a lums esilu ra idums	-⌫---||-|--⌫|-⌫----|
ga r besensemble portums	--⌫-⌫--|-------|------|
bienauezditcillire s punt	---|---|--|--|-|--⌫-⌫---|
discielchampuenu i sunt	|---|-|----|---||---|
le bl e cuilliren te porterent	-|--⌫|---------⌫||--------|
me s leshumeslesescrierent	--⌫|--|----|--|---------|
liuns d eslu sadduncparlé	-|--|-⌫-|--⌫|-|---|-----|
suncu mpainu nadap elé	--|--⌫------⌫|-|--⌫---|
ue e zf et ilcum nusescrie nt	--⌫-⌫|-⌫-|-|--|--|------⌫-|
malnus ueulentp is nusdient	--|--|------|-⌫-|--|----|
nostrebienfet ne uaut nient	-----|------|-|---|----|
li mausuers	-|---|---|
hastiuement alboisa lums	----------|-|---|-⌫---|
seum ssicumnus s uliu ms	----⌫|-|--|--|-⌫----⌫-|
iluciu rerent	---|--⌫-----|
epramistren t	|----------⌫|
iam esbienneferuntce odistrent	---⌫-|---|-|-----|--⌫|-------|
ceouei thum suuentd elfelun	--|---⌫|--|-----|-⌫-|----|
ki amutpetitd	-||--|----||
laissel ebien q u	-----|-⌫|---|-⌫|
ilc omence	-|-⌫-----|
sil neueit en sa	|-|-|---|-|-|
pre s ence	---⌫-⌫---|
leluerqueenueutauer	-|---|--|-|---|---|
a malenturnesun esper	|--|-|----|--|----|
un gup ileunlusairerent	-|---⌫-||-|-||-------|
eensemblesecurucerent	|-------|-|---------|
siquenulnes	-|--|--|-||
p otacor der	-⌫-|----⌫--|
raisu nabien	-----⌫||---|
n epurecparcesteach eisun	-⌫-----|--|----|---⌫----|
alerent deuantlele un	------|-----|-|--⌫-|
l a par oleli unt	-⌫|---⌫--|-|--|
deuerite tut recordee	-|-----|--|-------|
