o rfaitespaixpourDie	-⌫|-----|---|---|--|
GerinqueainsyperduauoitEt	----|--|----|----|----|-|
dIu oire sa my e	|--⌫---||-⌫--⌫|
quebie n auoir	--|---⌫|----|
cuidoit .Ma is	-------⌫|--⌫-|
celle fusonan teque	----|-|--|--⌫-|--|
par a mou rsamo it .Ay	--|-⌫---⌫-|---⌫--⌫|-|
d istGari nb ien anoyerme doitCar	-⌫--|----⌫|-⌫--|-----|-|---|--|
iay perdul a mo urque	|-|----||-⌫--⌫-|--|
deuoi t. Etparcellui	-----⌫-|-|--|-----|
S eigneurquihaultc hietetlong zuo it	-⌫------|--|----|-⌫---|-|----⌫|--⌫-|
lecomparasemortne	-|------|-|---|-|
me dechoit Cellui quicea	-|------|-----|--|-||
fait secroir em e	---|-|-----⌫|-⌫|
uolloit Le bon roy deSez ille	------|-|--|--|-|---⌫---|
carcertess	--|-----||
i laidoitAn thia me	-⌫|-----|--⌫----⌫-|
danseltresbie n a ppartenoi t Oru oray	-----|---|---⌫|-⌫---------⌫|-|-⌫---|
nonchierlannoy etle	-------||----|-|-|
destroit. Maisainchoisquege uoise	--------|---|-------|--|-|----|
eray tou tdroit	---|---⌫|----|
u e ̈oirma	-⌫-⌫---|-|
doulce mere carbienappart enoi tQue i e le	-----|---|--|---|------⌫----⌫|--|-⌫|-|
uoiseueïr	----|----|
queplusluia noitEtie suiz enl auoye.	--|---|--|-⌫---|-|-|---|-|-⌫|----|
Ainsydis oit Garinqui	----|---⌫--|----|--|
tantdefiertéa .	---|-|------|-⌫|
uoi tuenir ungpreudommequibeste s	---⌫|----|--|--------|--|-----⌫|
amena Dela	----|-|-|
uille ou same re	----|-|-|--⌫-|
longuementconu er sa.Preudoms sedist G arinsque	---------|----⌫--⌫--|-------|-|---|-⌫----|--|
faitonpardelaBien	---|-|--|---|---|
sçayq ueuous uenéz dumarchiépard el a. Que	----|-⌫-|---|-----|-|-------|--|-⌫--⌫-|--|
castel Dittes moy	-----|-----|--|
commentu aDu sireetsaf ill eoutant	------|-⌫|-|---|-|-|-⌫---⌫|-|---|
de beaute ́a. Sontil sain et haitié	-|------⌫|-|---|-|---|-|------|
cellé z iaEt chilz	------⌫|-|-|----|
aresponduPar Dieuquime	|-------|--|---|--|-|
creaL esir eestfin égaisIautrey	---|-⌫|---⌫|--|---⌫-|---||----||
a. Gallerant	-|--------|
deMommo rt l esires	-|-----⌫-|-⌫|----|
a noma.O u non	|--|-|-⌫|--|
de Dieu bon	-|---|--|
cheualliery a . Dist leberGa rin	---------||-⌫|---|-|--|--⌫--|
ommeescouttaIe leuis	---|-------|-|-|--|
unefo ixquemoult bienbe horda.	--|--⌫-|--|----|---|--⌫-----|
dis t lebons homsgy	---⌫|-|---|---|||
fuzqu anti l	--|--⌫--|-⌫|
iousta.Mais ungt el damoisel quenuostreco rp zY	------|---|--|-⌫-|-------|-|-|-----|--⌫--⌫||
be ll e proesche contr eluib ien	--⌫--⌫|-------|-----⌫|--|-⌫--|
ioustaCar ilco n c quist le pris.	-----|--|-|--⌫-⌫-⌫----|-|----|
ce me sembléz	-|-|-------|
uous parDie uqui me crea.	---|--|---⌫|--|-|----|
Etse uou s ay	-|-|---⌫|-|
ue üen lauille	--⌫-|-|-|----|
dela D eden s l ostel Gari nquimaint	---|-⌫----⌫||----|----⌫|--|----|
le ́z decha. Il	--⌫-|-----|-|
luiestbien uenusdep uisqui l h er berga uouse t	--|--|---|----|---⌫--|-|-⌫|-⌫--⌫----|---|-⌫|
mereou tantdebeautéa.Biensembléz	---|-|---|-|------|-|---|-------|
gentilzbien	------|---|
portaIay estéhostellé bienXXans	----||-|----|--------|---|-|--|
ouplusaEncoresleuis	-|---||------|-|--|
or ainsquantmoncor p zy	--⌫---|----|--|---⌫-⌫||
passa. Etquant Garinloÿ tresforme nt	-----|-|----|----||--|---|-----⌫-|
sesslescha. Oncquespuisn e di stmot	|---------|------|---|-⌫|--⌫-|--|
comm anda.Et le	----⌫----|-|-|
pr eu do mpasse oultrequi sonchemin s	--⌫--⌫--⌫|----|-----|--|--|-----||
en ua. Not ga rreslongsallé	-|--||-|--⌫---|----|----|
quArchi lu s	-|-----⌫--⌫|
encontra Cheuauch ant	-------|--------⌫--|
afor cheluyI IIeua. Quantle	|---⌫--|--|-⌫--|--|----|-|
p reudo ml e	-⌫-----⌫|-⌫|
uitmoul thaulta lui	--|----⌫|----||--|
parlaPreudonsd i stArchi llus	----|-------|-⌫-⌫-|-----⌫---|
au é zencontre ́	--⌫--⌫|--------⌫|
la Ungiosne dam oisel	-|--|----|---⌫----|
quis uru ng morelua-Oïl	--|-⌫-|-⌫-|----|-||---|
distl epreudoms qu ipoint neluicella	---|-⌫|-------|--⌫|----|-|--|----|
Caril nesauoitmielefai t	--|-|-|-----|--|-|---⌫|
a quoypensa	|---|----|
Cargra nt traÿso ncach e.Sire d is tli preu domsb ien	--|---⌫-|-------⌫|----⌫-|---|-⌫--⌫|-|----⌫---|-⌫--|
sçayquede mandéz.Icel lui dem ois el	----|--|--⌫-------|----⌫--|---⌫---⌫-|
e stdeceste uille ne ́z.Onl	-⌫-|-|----|----|--⌫--|-||
appe lle Ga r inain syest il	----⌫--|--⌫-⌫-|---⌫-|--|-|
nomméz.Cestle plus hardiz cuer etde	-------||--|-|---|-----|---|-|-|
bonneurene ́z Quis oit en cepaÿz quiest	-------|--⌫-|--|-⌫--|-|-|----|--|--|
long zetleézC ar il	----⌫|-|----|-⌫-|-|
mieunganiecroyparu eritézQu	--|--|-|-|---|--|-⌫------|-|
aung behourtoui l fu	|--|------|-|-⌫|-|
moultloézCarilc oncquizl e	----|----|--|-|-⌫------|-⌫|
pr issurlesplusredoubte ́z.Al	--⌫-|--|--|---|--------⌫--|||
entre e de	-----⌫|-|
le uille serailhostell éz.-	-|----|---|-|-------⌫---||
Aymi distNarch illusbien	---|---|-----⌫----|---|
estes auis éz.A Ihesuuouscomman ch	----|----⌫---||----|---|------⌫-|
qu i en Croix fupenéz.A ice ste	--⌫|-|----|-|------||---⌫--|
parollesenest	------||-|--|
o ult re passéz.	-⌫---⌫-|-------|
Par dessusun g haulttrestre	---⌫-----|--⌫|----|------|
A r chillusmontézEtregardeGarinquiestoit l aarreste ́z.Pardeléz	-⌫-⌫------|------|-|------|----|--|-----|-⌫|-------⌫--|--------|
ungbuisson sesto i tasse miné z. Or	--|------||----⌫-⌫|----⌫-----⌫-|-|
tostdist Archillus ung	---|---|--------|--|
uous hastézCarie	---|------|--|-|
uoyleglo ut on quitant est	--|-|---⌫--⌫-|--|---|--|
adure ́z.Iammaisne	-----⌫--|------|-|
sera ylye ́ssilnestpris outué s. Lors	----⌫|---⌫-||-||--|---|-|----⌫-|---|
sau allentaual.Garin	|--⌫-----||---|----|
estremon tés uerslauil l esenua	--|-----⌫---|---|-|---⌫-⌫||-|-|
estarrestéz. Ains	--|---------|---|
q uArchillusse fustiusqu	-⌫|--------|-|---|----|
cheminézEn tradedens	--------|--⌫--|-----|
Garinl y alo séz.	----|-⌫|---⌫----|
Qua nti luint en	---⌫-|-⌫|---|-|
la ui lleadont sen	-|--⌫--|----||-|
est a lléz	--|-⌫----|
Droit alostel samere. G arinuint	----|||----|-|----|-⌫---|---|
droit ousa	----|-|-|
estoit. I l est entrésdedenset sonparintrouuoit .	------|-⌫|--|------|-----|-|--|----|--------⌫|
Ha ultement le	--⌫-------|-|
saluesitost q u	----|-|---|-⌫|
ille uo i t . Quan t lep reudon s leu it	-|-|--⌫-⌫-⌫|----⌫|-|-⌫------⌫|-|-⌫-|
lecorpz lui	-|----|--|
em br a choi t . Aladuchoi se uint quien	--⌫--⌫-⌫----⌫-⌫||-|------⌫-|---|--|-|
estoit.Damedist	------|---|---|
l epreudomspa r leDieu ou	-⌫|-------|--⌫|-|---|-|
oncroit uecyG arinuo filquiuie nten	-|----|---|-⌫---|-|--|--|---⌫-|-|
boncon roitQuant la	--|---⌫---|----|-|
duchoise lot enestantseleuo it.Garin	-------||-|-|-----|-|----⌫--|----|
en uientalui	-|----||--|
e nsac hamb ret outdroi t.Ilaccollo it	-⌫|-|-⌫----⌫-|-⌫--|----⌫-|-|-------⌫-|
le baisoitEtenlefest ianten	-|------|-|-|-|----⌫---|-|
s es br as	-⌫-|--⌫-|
sepas moit. Beauf ilz	-|---⌫----|---|-⌫--|
commen tuousest Ledittesmoyen droitDe	------⌫|---|--|-|-----|--|--⌫----|-|
quellieuuene ́zuous	---|---|----⌫-|---|
E t illeurrespond oitEtre co rdeasamerecomment	-⌫|-|---|-------⌫--|-|--⌫--⌫--||-|---|------|
alléauoi t	----|----⌫|
d euxu assaulx	-⌫--|-⌫------|
en Se zi lle tout	-|--⌫--⌫--|---|
comment lundes deuxde	------||-|--|---|-|
femmepourue ̈oitLeseur	----|------⌫---|-|---|
auno ble royqui S ez ille tenoit.Etpu islui	-|--⌫--|--|--|-⌫--⌫---|------|-|--⌫-|--|
dist commentaPauyeen	---|------||----|-|
d u royde Pauyequ ileurta yon	-⌫|--|-|----|--⌫|---|--⌫--|
estoitEtdu	-----|-|-|
Acquitai nequensa prisontenoit Et dIu oire	--------⌫-|-|-|-|-----|-----|-||--⌫---|
lui dist q uideliurélauoit	--|---|-⌫-|-------||----|
Etcomment maria igesdeso ncorpz fai t	-|------|-----⌫---|-|--⌫|----|---⌫|
esto itEtdelafille	----⌫-|-|-|-|----|
duroyque son	-|--|--|--|
c orpz amo it Etcommentles	-⌫---|---⌫-|-|------|--|
enffans auecqu i il	------|---|--⌫|-|
a llo it Enmenoient	-⌫---⌫-|---------|
leurpereen Acquittaine tout	---|---|-|----------|---|
dr oit Etsy fuYu oir e queespousser il deuoit. E t	--⌫--|-|-|-|--⌫---⌫|--|--------|-|------|-⌫|
puis sedist	---|-|---|
com mentto us onles	---⌫---|--⌫-|-|--|
assalloitEt commentfuren tprisou	--------|-|------|-----⌫|---|-|
ilcheminoit.	-|---------|
pointenpointlachoseluicompto it.Etquant la	----|-|----|-|----|--|------⌫--|-|----|-|
commentsonf ilzparlo itAdont	------|--|-⌫--|-----⌫-|----|
prist aploureretses	----||------|-|--|
mainstor goit	----|---⌫---|
Pourycesteauentur e.Da me	---|-----|-------⌫-|--⌫-|
sedi s t Garinia mmais necesseray. Ie	-|--⌫-⌫|----|--⌫----|-|--------|-|
yra y enSezille et	---⌫|-|------|-|
aub onr oy	-|-⌫-|-⌫-|
diray Comment	----|------|
sa fi lle est	-|--⌫--|--|
tantale cuer gay.Seie	---||-|---|---|-|-|
puisexploittierm amie ie r arr ayLa	---|----------||---|-|-⌫---⌫-|-|
fille auroyTh ie ry	----|-|--|--⌫--⌫-|
quitantale	--|---||-|
cuer gay.Oncques	---|---|------|
mais en ma uie	---|-|-|--|
amay Faulsementmestrauye	---|---------||--|----|
maisie lerescouray.De	---|-|-|---------|-|
moyare ́zh onneurs espouseeie l	--|---⌫-|-⌫-----||-------|-||
ay.- Biau x	--||----⌫|
filzdis tladu choise	---|---⌫|-|--⌫-----|
celle ray.Acestui mariaigeiene m	-----⌫---||-----|-------|-|-||
assent yray Caria	------⌫---|--|-|
uo usn elar é z	--⌫-|-⌫||--⌫--⌫|
c artell ingnai ge ysçayQuespo usern e	-⌫-|--|-⌫------⌫-|-----|-|----⌫---|-⌫|
parsai ntN icolayCest	--|---⌫-|-⌫-----||--|
maseurg ermaine.- Beau	-|---|-⌫-------||---|
f ilz d ist la	-⌫--|-⌫--|-|
duchoiseplusn eteue ui lcell er.	-------|---|-⌫|-|--⌫--⌫|----⌫--|
Lesenffans auecquiIhesuste	--|------|---|--|-----|-|
alle r Sonttes freres germ ains dont ilme doit	----⌫|---|--|-----|----⌫---|---|-|-|---|
p eserQueleur esta t ne	-⌫---|--|---|----⌫|-|
sceuchquantuinrent h os teller.Etpu isqueDieuxta	-----|----|------|-⌫--⌫------|-|--⌫-|--|----|||
f aittelle	-⌫--|----|
fortunetr ouuerN	------|--⌫----||
estdroitque te	--|----|--|-|
consente de t onant e	-------|-|-⌫-|---⌫|
espouse r. Se	-------⌫-|-|
pesch i et yas fait	-----⌫-⌫-||-|---|
setenuasconfesserEtleducd	-||-|--|--------|-|-|--||
Acquit taine	------⌫----|
qu elleuaultdeliu rer	-|---|----|-----⌫--|
C e rte sahault e honneuruaultmon c orpz	-⌫-⌫---⌫||-----⌫|------|----|--|-⌫---|
espo user .Mais	----⌫----⌫|---|
par g rantt raïson me conuientde seurerCaruneautre	--|-⌫---|-⌫------|-|-------|--⌫-----|--|--|----|
enama queDieuxpuistcrauent erEtpuis uault	----|--|----|----|-------⌫-|-|---|----|
le bon duc te llement	-|--|--|--⌫------|
e nformerQue fa ireledeuoyem ori r	-⌫------|--|--⌫--|-|-----|-⌫---⌫|
etenerb e rPo ur	-|-----⌫-⌫|--⌫-|
cemefist leduc	-|-|---|-|--|
de sa terregietter.	-|-|----|-------|
Puis me uinrent glou tonouie	---|-|------|----⌫--|-|-|
deuoyepasser	-----|-----|
Awettier ou cheminetmeconuientiu reruoire	-------|-|-----|-|-|-------|--⌫--|----|
seieuolloye	-|-|------|
mort eschapper	---|--------|
Quemon nom	--|--|--|
mefau r oit entous lieuxceller.Etqu ant	-|---⌫-⌫--|-|---|----|------|-|--⌫--|
uou sestesgrans pouruozarmespor ter	---⌫|----|----|---|--|----|---⌫--|
Nestd ro isqueplus	|--|-⌫--⌫-|--|---|
choilleainchoisteueuil	------|-------|-|----|
compterD ece ul xq ui ense mentm	------|-⌫|--⌫--⌫|-⌫-|----⌫---||
desh e rit er.Syte pry beaudoulx	----⌫-⌫---⌫--|-|-|--|---|----|
filz debon cuersa nsfauserQue	---|-|--|---|--⌫-|-----|--|
ie nayeu enganc e .QuantledanselGarin	|-⌫|--|-⌫------⌫-⌫|----|-|-----|----|
oy ̈ sa nacïon	--⌫|-|------|
Enesta n tse	-|----⌫-⌫|-|
leua san s nu lle arrestici on.Estinchelle	---|---⌫|--⌫--|---------⌫--|----------|
lesyeulxetfronche	--|----|-|------|
mentonEt hurtecon treterre de piete t	-----|-|----|---⌫--|----|-|---|-⌫|
det allon Etdystalui	-|-⌫----|-|---||--|
meïsmescoyemen tabas s onOrsuye lyésquant	-------|-------⌫||--|-⌫-|-|---|----|----|
suizdete l	---|-|--⌫|
g ene raci ̈on Sy	-⌫---⌫----⌫--|-|
haulteetsypoissantqueiay royatayon	-----|-|-|-------|--||-|--||----|
ducdehault e extracïo n. Ornedoubtehommequisoit	--|-|-----⌫|---------⌫-|-|-|-----|----|--|---|
regïon. I l	-------|-⌫|
accollasa m ere et	------|-|-⌫--|-|
b a isasa f achon.M er e	-⌫-⌫--|-|-⌫-----|-⌫--⌫|
neploure ́ s	-|------⌫-⌫|
plus uous raréz	---|---|-----|
uobaron .Ardoir feray	-|-----⌫|-----|----|
laputeenu ngfude carb on	-|---|-|-⌫-|-|-|----⌫-|
Ainsycomilfai soitlal amentac ïon	----|--|-|---⌫---|-|-⌫-------⌫---|
Entrerenta l	--------|||
ostelles faulx	----|--|----|
traïtresgl outon	--------|--⌫----|
Quiuol loy ent Garinmettreaexecucion.L ostel	--|---⌫---⌫--|----|-----||---------||----|
demandéclere m e ntahaultsonEt	-------|-----⌫-⌫-⌫-||----|--|-|
leu iell artG arinqui ga rdoitl a	-|-⌫----⌫--|-⌫---|--|--⌫----|-⌫|
mason Lesrecheutlïement etleur dist sans	----|--|------|-------|-|---|---|---|
ten chonuo u saréz bon	---⌫---|--⌫-⌫|----|--|
d esbie nsafoison.Lorsdis tauuielGarin	-⌫-|---⌫-||------|---|---⌫|-|---|----|
Archi llon Na ue ́zuouspointrecheutIiosne	-----⌫---||-⌫--⌫-|---|----|------||----|
dansi llo nQuiest	-----⌫---⌫|--|--|
nouuellemententrésenuo mais on -	-----------|------|-|-|----⌫-||
Oÿl distleuie lla rtf oyque	---|---|-|---⌫---⌫-|-⌫-|--|
doysaintSimon.Lorslesmena	--|----|-----|---|--|---|
a montsansnullearr esticion . Les	|---|---|----|---⌫--------⌫|--|
cheuaulxfurent b ienaysiéparun ggarcho n.L a tienne nt	-------|-----|-⌫--|-----|--|--⌫|------⌫-|-⌫|------⌫-|
par l eme ntde	---⌫-⌫---⌫-|-|
leur male f achon. A	---|----⌫-⌫-----||
ta blesont assizlesfaulxtraïtre sf ellon.	--⌫--|---|----|--|----|--------⌫|-⌫-----|
ao ÿmen cïonQueung cheual lier	|-⌫-|---⌫----|--|--|------⌫---|
her berguisonAdontmont aamontle nobl e dans ill on.Quant	---⌫--------|----|----⌫|----|-|----⌫|----⌫---⌫--|----|
Archillusle	--------|-|
uit sedresc haleme ntonSeluia	--|-|-----⌫-|-|--⌫---|-|--||
demandéCommen t auézanon	-------|------⌫|----||--|
appel le Garr indist	-----⌫-|----⌫-|---|
lefil zau baron.-	-|---⌫|-|-----||
A r chilluspar amoursuousprionue néz seïr a	-⌫-⌫------|--|-----|---|----|--⌫---|----||
tabl esa ns nul	----⌫|--⌫-|--|
aresticionCarb iensemblézaest red e bonne	---------|--|-⌫--|-------||---⌫-|-⌫|----|
extracï on.-Sirese	--------⌫--||---|-|
distGarinie croyquesesuyzmo n.Ou nom	---|----|-|---|--|-|---|--⌫-|-|--|
de gentillessedema ndéz	-|----------|----⌫----|
uo strebonEtuous serézse ruiz	--⌫---|--|-|---|-----|--⌫---|
auodiuisïon.Archillus tentl eu in	|-|---------|--------|---|-⌫|-⌫-|
en pensanttraÿson Sy e n	-|------|-------|-|-⌫|
fistGarrin b oire.Ora Gar in	---|-----|-⌫----|-||---⌫-|
cheuallier Quip ourluide struirese	---------|--|-⌫--|--|--⌫------|-|
uint illeclogier.Dontestes	---|----|------|---|----|
uous beausirese	---|---|---|-|
distG a rin le fier . -	---|-⌫-⌫--|-|----⌫||
A misdistNarchillus ia	-⌫--|---|---------|-|
n e le qu ie rch	-⌫|-|--⌫--⌫--|
cellerNo us sommesde Sezilleung	-----|--⌫-|-----|-|------|--|
païs plen ierS	----|----⌫--||
allonsquerir fo rtunea insique saudoyer.-	-----|-----|--⌫----|-⌫---|--|--------||
S e igneur se distGarin	-⌫-⌫-----|-|---|----|
iaroyebo n	|----|--⌫|
mestier Que	------|--|
ieneuïssedete lziu squesaXm ill i ers	|-|------|-|--⌫-|--⌫----|||-⌫---⌫-⌫--|
penseb r iefmen tt el fait	----|-⌫-⌫------⌫|-⌫-|---|
encommenchierDontmorirconuenra	------------|---|----|-------|
maintge n t il escui erIhe susuous	----|--⌫-⌫-⌫-|-----⌫-|---⌫--|---|
commans.Pensséz	-------|-------|
deuous aisier.	-|---|------|
Ado n tsest	---⌫-⌫||--|
aualléz qu il n yuot	-------|-|-|||--|
at targier. DontparlaArchi llus	--⌫-------|---|----|-----⌫---|
qui cuerotd a duerssier. uéz	--|---|-||-⌫---------|---|
lafistilunghomme	-|---|-|--|----|
q uimoultfait	-⌫-|----|---|
a prisier Ne sçaycommentl a rayto ut	|------|-|----|------||-⌫--|--⌫-|
amondesi rierMaisse	|--|----⌫---|---|-|
pouoy e deue rslos teappoi nti er Qu il	-----⌫|----⌫-||--⌫-|-----⌫---⌫-|-|-|
anuytsach a mbre	----|-|--⌫-⌫---|
enseig nierBie ntuerle uor iesmes et	------⌫---|---⌫|---|-|---⌫-----|-|
san s luie suei llier.-Cest	---⌫|--|-⌫----⌫-----|||--|
u oir dïent lesautresparle	-⌫--|-----|--|-----|--|-|
corpz saintRic quier. u éz	----|----|---⌫-----|-⌫--|
Garinqui ap porteamengi er .	----|--|--⌫----||-----⌫--⌫|
Arch ill u s lappellaseluidist sans	----⌫---⌫-⌫||------|-|--|---|---|
t argierPreudons	-⌫-----|-------|
seuous uolléz	-|---|------|
monconse ilottroyerIeuous	--|-----⌫-|-------|-|---|
donrayassézdargentet d or	-----|-----||-----|-||-|
fier. - S ire se dist Garini	----||-⌫--|-|---|----||
aroye b on	----|-⌫-|
m estier. -	-⌫------||
Etpar le foyquedo y aDieu	-|--|-|--|--|--⌫||---|
ledr oit turierSe	-|--⌫---⌫-----|-|
augran tbesoingq u ei ay m euollé zaïdierIe	-|----⌫|------|-⌫-⌫||-|-⌫|------⌫|------|-|
uousd onraydeterr e	---|-⌫----|-|----⌫|
auta nt quaungcheuall ier SyarézM march et	----⌫-|-||--|-------⌫--|-|----||----|-|
ungriche destrier.	--|----|--------|
Lor slui tend yleuinseluifistassay er.	---⌫|--|----⌫|-|--|-|--|---|-----⌫--|
D encost elui s	|------⌫|--||
so y prista con seillierSyrecÿens auézun gda nselmoult	--⌫|----||---⌫-------|---|-----|----|--⌫|--⌫---|----|
e n uostrehostelsestuollu	-⌫|-----|-----||--|----|
h erb regie r.Ille me fault ochire al	-⌫---⌫-----⌫-|-|-|-|----|-----|||
achierEtnelepuismieulx	-----|-|-|-|---|-----|
au oir pourle mes haignierQue	--⌫--|---|-|---⌫-------|--|
quant le uous aré z faitensac hambre cou chier	----|-|---|----⌫|---|-|-|-⌫-----|---⌫----|
Et qu ilsoi tendormis	-|-|-|---⌫|-------|
nousliron sresueillierMaisque	---||----⌫|----------|---|--|
nous uollézm eneret	---|------|-⌫---|-|
c onuoyerOu	-⌫------|-|
litou il gerraie uous en ueuilprier.Sa	--|-|-|----|-|---|-|----|-----|-|
ch am brenousueuilléz	--⌫--⌫--|---|--------|
monstre retensei gnierEtuous ar éz	-------⌫|-|-----⌫----|-|---|--⌫--|
ledonquay uoll ufianchier.	-|--|-|-|----⌫|---------|
Quant Garinle uiella rtaoÿceplaidier	----|----|-|------⌫-||--|-|-------|
sestauisézet	|--|------|-|
prist a s oust illierQu	----||-⌫----⌫-----|-|
il uoraceste chose	-|---|----|----|
ottr oyerTa nt	----⌫---|--⌫-|
qui l afa itaGarinceschoses	-|-⌫||--⌫-||----|--|-----|
anonc h ierP ourgaran dirsauie.	-----⌫-⌫--|-⌫--|-----⌫--|-|---|
distl yostes bien uo u say escouttéE tse ay	---|-⌫|----|---|--⌫-⌫|-|--------|-⌫|-|-|
moult bi en oy ̈	----|--⌫-|--⌫|
que mauéz pr esenté. Et sachiéz quesen uo us	--||----|--⌫-------|-|-------|--||-|--⌫-|
trou uoy eloyaulté Que	----⌫---⌫|--------|--|
euïssiéz p arnul	---------|-⌫-|--|
estatfaulséIaccom pl iroyebien l a	----|------||-----⌫--⌫----|---|-⌫|
uostreuollent é.-Oy ̈ ldist	-----|-------⌫--||--⌫-⌫|---|
Ar c hillus parmaCrist ien ne téIe	--⌫-⌫-----|--|-|-----⌫---⌫--⌫--|-|
uousen faulroyeen	---|-|-------|-|
iour d emonaé.-Sir e se	---|-⌫|--|---||---⌫|-|
d ist liostesief eray	-⌫--|-|----|-|-⌫---|
uost re gré.Allézuous ent	----⌫-|----|-----|---|--|
couchiers ecestuouollentéCa rdroit	-------|-⌫||--|-|--------|--⌫|----|
a mynuytuous port eraycler téEt uous menrayaulit	|-----|---|----⌫---|----⌫--|-|---|-----|-|--|
ouiayhostellé	-||-|--------|
Celluique uo usuolléz ain syau o irt ué. -Ostesdist	-----|--|--⌫-|------|---⌫-|--⌫-⌫-|-⌫---||----|---|
Archi ll usbi en	-----⌫--⌫-|--⌫-|
auézparle ́.Or	----|-----⌫-|-|
ar ayl aplusbelle detoutCr istieneté.A donts	--⌫-|-⌫|---|----|-|---|--⌫----------|-⌫---||
uontcouchier	---|-------|
lyé zetasseüré. Mai sainsq uil uoyentdemain	----⌫|-|---------|---⌫|---|-⌫|-|-----|-----|
leue ́uoroyentmoultbien estre de dens	----⌫|-------|----|---|----|--⌫---|
l eurhiereté Car leuiel lart	-⌫--|-------|--|-|----⌫---|
Garin quitan t anobletéuient droitas onfil leul	----|--|---⌫||-------|----|----||-⌫-|---⌫---|
qu asamere	-||-|---|
trouué Ou elleluir ecordoit sa grandeetnobleparente ́.	------|-|---|--|-⌫-------|-|-----|-|----|-------⌫-|
Et estoitsi	-|-----|-|
tres ly ésetdeteluollent éNenuaulsist	---|--⌫--|-|-|--|-------⌫-||-|-------|
poi ntte nirbien	---⌫-|--⌫--|---|
ro ya ulté.Mai s	--⌫--⌫-----|---⌫|
dec eotlecuercou rrouch iéetaÿré	-|-⌫|-|-|---|---⌫------⌫--|-|-----|
Ques es ami s	--|-⌫-|---⌫|
es to ientensementattrappéEtsine scet	--⌫--⌫---|-------|--------|-|-|-|---|
parquoy i lestoientgreué.	--|---|-⌫|-------|------|
At antes son parin quilabi en	|-⌫--|-|--|----|--|||--⌫-|
salue ́. Fil leul sedist ly os tes	-----⌫-|---⌫---|-|---|-|--⌫--|
uous g rantpi té Etdeuomort	---|-⌫---|--⌫--|-|-|-|---|
doub tanche.En s y	----⌫------|--⌫-⌫|
uielle f loris AGarin	---|-|-⌫----||----|
son filleul qu ifu preulx	--|------|--⌫|-|-----|
hardiz. Lors luicomptacomment lecheu allier des pis	------|---|--|-----|------|-|----⌫-----|---⌫--|
Luiauoitsi	--|----|-|
ce l leheurepromis	--⌫-⌫-|----|-----|
quilfustmorsaffollé zet	-|-|---|---|--------⌫|-|
occhis . E tluico mptecomm ente st oitfaitly o ttris	------⌫|-⌫|--|--⌫---|----⌫--|-⌫--⌫--|---|-|-⌫----|
Qu amen e r le	-|----⌫-⌫|-|
deuoitouil	-----|-|-|
fu stendormis.Et	--⌫-|--------|-|
quant Garinl oÿsifustt ous	----|----||--|-|---|-⌫--|
esba his.SainteMar ie damedistGari nly hard isErso ir le	----⌫---|-----|---⌫-|---|---|----⌫|-|----⌫-|----⌫-|-|
sal l u ay	---⌫-⌫-⌫-|
deDieudeParadis. Et	-|---|-|-------|-|
biendeulxfestÿécommeiolysSene	---||---|-------|----|----|-|-|
cachoientil	--------|-|
qu eie fusse murdris.Ilzsontma ltraïteurdiuers	--⌫|-|----|-------|--|---|--⌫|--------|-----|
malapris.Pa r	--|-----|--⌫|
le foy quei e doyaDi eudeP a radis Il	-|--|--|-⌫|--||--⌫-|-|-⌫-⌫----|-|
m ed iront par	-⌫|-⌫----|--|
quoy ie suis	---|-|---|
leuren nemis Oulyi us ert pour eulx u illai nementpartis	---|--⌫----|-|-|-⌫-|--|---|---|-⌫-----⌫-----|-----|
Lor sdemande	---⌫|------|
ses armesGa r insli agenssis. Richement	--|----|--⌫-⌫--|-|--------|--------|
e tsa sonbrancpris	-⌫|||--|----|---|
soi tlifu espris	---⌫|-|-|-----|
Syuenéz auecmoy	-|-----|---|--|
droittementale urslyz.Et c hilz	----------||--⌫--|---|-|-⌫---|
a re sp on du	|--⌫--⌫--⌫-|
uollentiersetno nenuisE tparle foyque	----------|-|--⌫|----|-⌫|--|-|--|--|
DieudeParadis	---|-|------|
Puis qu il	---|-|-|
sont mordreür etde telfait aprisIammais	---|--------|-|-|--|---|----|------|
neluiser a	-|--|---⌫|
trouueelymerchisQue nen	------|-|------|--||-|
prengneuenguance.Ga rins	------|---------|--⌫---|
c h ambre lecheualli ertrouuaQui es toitendormisma i sGari n	-⌫-⌫----|-|--------⌫-|-----|--|--⌫---|-------|--⌫-⌫|----⌫|
esueil la. L espeetenoitnuequigr a ntclerté	------⌫--||----|-----|--|--|--⌫-⌫-|------|
gietta. Q uantil	------|-⌫---|-|
p erchutGarin tout lesanc luimua.Il	-⌫-----|----|---|-|---|--|---|-|
apris s achemiseen estant	|---|-⌫|------|-|-----|
seleuaDeuantlebel Garin age noulxse	-|---|-----|-|--|----||--⌫----|-|
gietta.M ercy distil	------|-⌫---|---|-|
chiersirepo urDi euqui tout crea	----|---|--⌫-|--⌫-|--|---|---|
-uassau lx sedis t Gar rin ia	|------⌫-|-|---⌫|---⌫--|-|
ar aSe tantost n e medittes qui cy uous	--⌫|-|------|-⌫|-|-----|--|-|---|
enuoyaEt dont	-----|-|---|
uientlahaÿnequ	----|-|-----|-|
