ad mes mainsestuenuznouelement	-|--|----|--|----|---------|
uo luntezdepech ie	--⌫-----|-|----⌫-|
ne pot ue ntre	-|--|--⌫---|
n es lil uxur erampetos tal	-⌫-|-|-⌫----⌫|----|---⌫|-|
dené as oseui es	----|-|-----⌫-|
etporpr ent lo	-|-----⌫--|-|
la isa ntgrisluxurebruslecelui	--⌫---⌫-|---|-----|-----|----|
cuiatr oueososluxure	--|---⌫--|---|-----|
denetlui asc hos eset a	----|--|-|-⌫---⌫-|-||
sau o re tatr a uaill u xure	---⌫-⌫|-⌫||--⌫-⌫---|-⌫-⌫---|
de char est uencue	-|---|--|-----|
parl aborsouen t	--|-⌫---|-----⌫|
corztraua l iez	---|-----⌫-⌫--|
p artrauailest moin s	-⌫-|------|--|----⌫|
deletizporce	------|--|-|
escheuizetnename	-------|-|--|--|
e tnemoueirta uie	-⌫|-|-----|-|--|
trauaille toncors	--------|--|---|
part ra uaz	--|-⌫--⌫--|
etouure del qu el quet e	-|----|--|--⌫-|--|-⌫|
plaiste studequir utle our e	-----|-⌫----|---|---|---⌫|
a toi oulenten tionsde to nc or age	|--|-||-----⌫----|-|--⌫|-⌫--⌫--|
soitemploiae do ne curea	---|-------|--⌫-|---||
le i consoies e m	--⌫-⌫--|----|-⌫|
p ense deses cretures	-⌫---|--|--⌫-------|
e tde laloino strese g nor	-⌫|-|-|--|--⌫---|--⌫-⌫--|
aesfreque nceesdeui ns liures	--|------⌫--|-|----⌫-|-----|
assiduitede	--------|-|
li resoita toi	--⌫-|---||--|
espassesoit	------|---|
ta leicons et	-|------|-|
chasc h orn ax ta pan s e	-----⌫-⌫---⌫-|-|---⌫-⌫|
de loipar lec on est lisanz etli	-|--|--|---⌫-|--|-|---|-|-|
en tendemanzacruzlilecon	--⌫--------|----|-|----|
enseg netquite cui sseset	-----⌫--|--|-|---⌫---|-|
monstretout emtendes	-------|-||-------|
montprofetescumtu	---|-------|--|-|
faice s ce quetu lez	-----⌫|-|--|-|--|
s i l i atr ebien teplaisentette	-⌫|-⌫|---⌫|---|-|-------|-|-|
suntac etableet	---|--⌫-----|-|
ton disiret tescorage s est	--|----|-|--|------⌫|--|
a pari lliz entoz bi ens soies	-⌫----⌫---|-|--|--⌫--|----|
h umil es fu ndezen h umi litezet	-⌫----⌫-|--⌫---|-|-⌫---⌫----|-|
dariensdees panduzdu	------|-|--⌫-----|-|
humiliteifaittoi menor	--------|---|--|----|
ne tedau antma treaneluine	-|-|---⌫--|--⌫--||----|-|
te cu idirsouerain a neluia asme	-|--⌫---|-------||----|-⌫---|
t ozestre sou e rainsato i	-⌫-|----|---⌫-⌫----||--⌫|
c um tusoiessouerain s e ten	-⌫-|-|----|--------⌫|-⌫|-|
humilit es	-------⌫||
au eresglore	--⌫---|----|
tantcumserasplu s hum ile s	---|--|----|---⌫|---⌫---⌫|
plus tesureautaucedeglore	---|-|---|------|-|----|
eschiuisuantace	-------|------|
etdelit de	-|----|-|
d emonstranceet estudede	-⌫----------|-|-----|-|
ueneglorieneteha uc ie rne teuanter	---|-----|-|-|--⌫--⌫--⌫|-|-|-----|
nonestandre	--|-------|
lesales dorguil	--|---||-----|
el acionne	--⌫----|-|
de nera t oi	--⌫--||-⌫-|
nunbienparpre sumptionnun s	--|---|--|---⌫-------|---⌫|
essaucem antne soitdeuertutde	--------⌫--|-|---|-|-----|-|
iustic enen	------⌫|--|
e rge llitetne	-⌫---⌫---|-|-|
so iesessaucizdes bienfaizne	--⌫--|-------|--|-------|-|
teglori edesbones	-|-----⌫|--|----|
dessantque tu	------|--|-|
munce ssoies	-----⌫|----|
humiliez que tu	-------|--|-|
assauc iezq ue tuessauciez ne	------⌫--|-⌫-|-|--------|-|
re soies humiliezcar quiest	--⌫----|-------|--|--|--|
essa uciezest h umiliezetdegitiez	----⌫----|--|-⌫------|-|-------|
etesgrauantez ethurtez	-|----------|-|-----|
l iorgou zdemist l e s angeles	-⌫|-----⌫|-----|-⌫-⌫|------|
aroga ncedegiteet	-----⌫--|-----|-|
humil ialeshauz	-----⌫-|--|---|
mai s humi litez	---⌫|----⌫----|
ne setnenesof e rt	-|--|-|-|---⌫-⌫-|
decha emanthom cono isque deus	-----⌫----|--|----⌫-|--|---|
u i nhumiliezetenfo rme	-⌫-⌫|-------|-|-|--⌫--|
deseriantfazo bi es anzieca	-|------|--|-⌫--⌫--⌫--|--||
c om ilcil	-⌫-|----|
ensuil ess ample de celui etses	----||---⌫----|-|----|-|--|
traces soiesuise t	-----|----|--|-⌫|
despezet d egit ez	-----|-|-⌫----⌫-|
displ a ces a to i et	-----⌫-⌫--||--⌫|-|
soies despizchis toi	----|-----|---|--|
maimesqui asoies t uis granz	-----|--||--|--⌫|--|----|
estdeuant deu	--|-----|--|
quidispl ait a so iplaistadeu	--|-----⌫--||--⌫|-----||--|
s oes petizen tesoez ke t u	-⌫--|----|-|--|--|-|-⌫|
soe sgransdeu ant de u	---⌫|----|---⌫--|--⌫|
plusgr anzdeuant	---|--⌫--|-----|
cum pluss iresdespecz	--|---|-⌫---|------|
e ntesoez port eadesuergunne	-⌫|--|--|----⌫|---|-------|
et hont eent on	-|----⌫|-|-⌫-|
uiareemlamemore	----|-|-|-----|
de lfa t pec hiehontoieelleuer	--⌫|--⌫|---⌫--|------|------|
t esoe zporlahonte depechie	-⌫-|--⌫|--|-|----|-|-----|
uapardegitiéet parhumilie ́t	-|--|-------|-|--|-------⌫-|
uiarep ardi misefacon cendre	----|-⌫-|--⌫---|----|-----|
eta sta mine	-|-⌫---⌫---|
en uolopeles	--⌫-----|--|
d efal lantmenbresli	-⌫----⌫---|------|-|
sascuuresespuris s an z e t	--|----|--|-----⌫-⌫--⌫|-⌫|
afleuil la nt me nbre s li	-------⌫--⌫-|--⌫----⌫|-|
p lora blesha bitcourel	-⌫----⌫---|--⌫--|----||
co rsterretiso it lez	--⌫-|----|-|--⌫-|--|
possere essieem po d riere	------|-|--|-|--⌫-⌫----|
cendreesuisenc endre	-----|-|--|-|-⌫----|
toziorzpl oranzetenuoan zsospirsde	--|---|--⌫----|-|------⌫|------|-|
cuirc ompuntiontesoit	---|-⌫--------|-|---|
enton cuiret sos p ir entonpez	-|--|---|-|---⌫-⌫-|-|--|--|
espasses larmessoie	-------|-----|---|
e spandu es det ess oiz	-⌫------⌫-|-|-⌫--|--|
tisoent les	-|----|--|
li plaignement etlip lorti	-|----------|-|-|-⌫--|-|
soientades amezne deguerpir	-----|---|---|-|--------|
i aplaint e	-⌫|------⌫|
et larmes soissi	-|-----|---|-|
aperilizaplorzc um t u fus	-------||----|-⌫-|-⌫|--|
a la colpetescumfu	|-|----|--|--|-|
ite ncions apec hier soitl i	---⌫-----||---⌫---|---|-⌫|
deuot ionsa repentir e nsirepa ire	-----⌫---||-------|-⌫--|----⌫--|
selun clenferteapartirlimecineet	-----⌫||------||-----|-|-----|-|
selunc la pla ie liremede	-----|-|---⌫-|-|-----|
grantpec hie tdes ir entgrantplors	----|---⌫---⌫|---⌫--⌫--|----|----|
nullechosen e	----|----|-⌫|
fac eseurd epe chi er ne ne	---⌫|---|-⌫|--⌫---⌫-|-|-|
blandisse at oiialoques	--------||-⌫-|-------|
nete sostrace d ententio nde	-|-|-------||--------⌫|-|
penitenceesperance etfia nce	--------|--------|-|---⌫--|
etpaorssoiente ntoie spoire	-|----|-----|-⌫|--|-⌫-----|
ensimis e ricor deque tu	---|---⌫-⌫-----⌫-|--|-|
docei usticee s perance de pardo nt	---|-⌫-----|-⌫-⌫------|-|-----⌫||
esdra cetqu ili paors	-----⌫--|--⌫|-|----|
denfertetormencealeemend e	|----|-|-------|--|-----⌫|
ades etdebotepe ch ie	---|-|-----|--⌫--⌫-|
etuice et faituaisoset	-|---|-|---|-----|-|
cusence nosou p a u rn	-------⌫--|-|-⌫-⌫-⌫||
estd isolu cions deuie et	--|-⌫-----⌫----|-|--|-|
p erditionsetha bunda ncedefelonie	-⌫--------|-|--⌫-----⌫--|-|------|
nesoiesdolanz detes	-|----|-----|-|--|
rant grace s a d eude	---|-----⌫||-⌫-|-|
t eslang ors disire to i plus sauair	-⌫-|----⌫--|-----|--⌫|---|-----|
encorage queparcors e t par	-|-----|--|--|---|-⌫|--|
panseplu squepar char lesaduersetez	----|---⌫|--|--|---|--|---------|
su nt re mede	--⌫-|--⌫---|
alanmelienfertez neur e lachar	||---|-|-------|----⌫|-|---|
sainne la pansec arli	-----|-|----|-⌫-|-|
l angor sescu itles	-⌫-----⌫|----⌫-|--|
briselesfornaces del uxu re	----|--|-------|-|-⌫---⌫-|
se pr osperi tz t ar ist nesoies	-|--⌫------⌫-||--⌫--|-|----|
essauciezseaduersitez	--------|-|---------|
taui ent n esoi esdegitie z	|---⌫--|-⌫|---⌫-|-------⌫|
aurtetauient nesoies	----||-----|-|----|
uanta nz si	-----⌫-|-|
misere tauientne	-----||-----|-|
pourecorageai es	----|-----|--⌫-|
tempra nce empr osp r es cose set pacience	------⌫--|-|--⌫---⌫-⌫-|----⌫|-|-------|
en auerses co n oistoi	-|------|--⌫-⌫--|--|
es tree s prouéendolornesoies	--⌫--|-⌫-⌫-----|-|----|-|----|
uencu z ne soies essauciez	-----⌫|-|----|--------|
soies eugaus atoz ne cangi er	----|-----||--|-|-----⌫-|
t oncoragenep ar	-⌫-|-----|-|-⌫-|
par plor sostien	--|---|------|
to tparegal	--⌫|--|---|
droitn e soie scangieza	----|-⌫|----⌫|------||
nuledesauenturen unsc asesne t	---|----------|-⌫--|-⌫---|-||
atruuedessa pa reliéet	-----|-----⌫--⌫-----|-|
l oq u e l	-⌫|-⌫-⌫-⌫|
tap ansenen auancepropose	-|-⌫---|--|-----|------|
toi nune coseestrequene	--|---|---|----|--|-|
puit auenirpensaencontre totes	---|-----|----|-------|----|
au enturoses coseset	--⌫--------|----|-|
au enir mis eresem	--⌫---|---⌫---|-|
prospres co ses	-------|--⌫--|
po pansec o m ant tusosferas	--⌫----|-⌫-⌫-⌫--|-|-------|
contrare s panse	--------⌫|----|
ade s en ton	---⌫|-|--|
coragequamc ontrairesne	-----|---|-⌫--------|-|
tauiene a usageafier t	|-----|-⌫|---|-----⌫|
por ua ir lo	---⌫--⌫-|-|
damagedelpe ril tuit	-----|--|--⌫--|---|
liporpan séet l i	-|------⌫--|-|-⌫|
mala uiene etsuntsofer	--|-⌫----|-|---|----|
licontraireauent ure	-|--------|-----⌫--|
lipor ueuhecose par coseil	-|---⌫----|---|--|-----|
temarueliercumil	-|--------|--|-|
auiene n t lipansebrise	------⌫-⌫|-|----|----|
lesuen antasauzet ateneuist	--|---⌫--|----|-|--------|
le sau en irmoles tes	--⌫|--⌫--⌫-|-----⌫--|
li po rua rsasoagen t lauenemantdes	-|--⌫---⌫-|-------⌫||--------|--|
mausetfiert	---|-|----|
loutrecu idiermal	|-------⌫----|--|
ayg re su nt li malquino n	---⌫-|--⌫-|-|--|--|--⌫|
suntporpansé etgr euainou	---|--------|-|--⌫----|-|
nos cahunsdesporueue tfierent	--|-----|--------|-⌫|------|
griemantli subit ainsmaus	-------|-|-----⌫---|---|
uoi nttostc e	---⌫-|---|-⌫|
q u en estporueu	-⌫-⌫||--|-----|
tormente plusfortlisote ne	-------|---|---|-|----⌫-|
tempest ezd emercommuitla	-------⌫-|-⌫|--|------|-|
desporueuzene mis	---------|---⌫--|
turbemal emantetlimessaine ́	----|---⌫----|-|-|--------⌫|
apressentmal emanttotes	--------|---⌫----|----|
soteinescossesquiauinent	-------|-----|--|------|
subitainemantaui enentgr euaines	------------|---⌫----|--⌫------|
aparalle toncuir etasbiens etas	-------|--|---|-|-|----|-|-|
ma ssoffre b ien	--⌫|-----|-⌫--|
auersitez etprosperitezensi com il	--------|-|----------|---|--|-|
auienent qu eq uet auient	-------|--⌫--⌫-||-----|
soffre par deliure p ansese	-----|--|------|-⌫---|-|
mautelanztauient	--------||-----|
restrein lo	-------|-|
atempr eta forsennerieett	------⌫|-|----------|-||
i n dignationhoues traintoncorage	-⌫-⌫--------|--|--⌫----|--|-----|
etl a forc e diresene	-|-⌫|----⌫||--|-|-|
escheuirlir eatem pre	-------||--⌫|----⌫--|
defalir deforsenne rie e sprenlai	------|-|--------⌫--|-⌫----|--|
plussoies apareliez a	---|----|--------||
rece ureq uafaire lamoleste	----⌫--|-⌫||----|-|------|
sof frir que	---⌫---|--|
fa irel esmaus	--⌫--|-⌫-|---|
soie ssoffr anzet soi es et	----⌫|-----⌫--|-|---⌫-|-|
passible s et atemprez	--------⌫|-|-------|
gardepati e nceet temprance	----|----⌫-⌫--|-|--------|
est udoiea patienceet	---⌫----||-------|-|
apaisdesp isles prochesdes	|---|----⌫-|--|------|--|
faites laidangesreproue	-----|--------|------|
despisan t lesrep roches	--------⌫|--|---⌫-----|
uaint l e s errorsfinnantet	----|-⌫-⌫|-----|------|-|
sor munteparpatien ce les	---⌫----|--|------⌫-|--|
l eda nges	-⌫---⌫---|
desma us dissanz	--|--⌫-|------|
