nobles lilions	-----|-|----|
gentius roisfaitilent e n de ́s	------|---|---|-|---⌫-⌫-⌫--⌫-|
et a ma parole es c outés	-||-|-----|--⌫-⌫-----|
nepuetauo ir ode	-|---|---⌫-||-|
quinepardonneaucun pecat	--|-|-------|----|----|
ih esucrii pardounasa mort	--⌫--|---|-------|-|---|
alui endoispr endrerecort	|--|-|---|--⌫----|-----|
aie smerc hi de	---⌫|----⌫-|-|
asaucu ne amor	-|----⌫-|---|
couu entquill edonat	----⌫--|-|-|-⌫|----|
lais siés auoirr enart	----⌫----|----|-⌫----|
poruostreamorsuici	--|-----|---|--|-|
etquerenarsne soitpen dus	-|--|-----|-|---|---⌫--|
m utfort prialenp e rador	-⌫-|---|---||---⌫-⌫----|
quene cr e istloseng eor	--|-|--⌫-⌫--|------⌫--|
carilfontel si eclemaintmal	--|-|---|-|--⌫---|----|--|
l ap ainn e en	-⌫|-⌫----⌫|-|
auro ntinfernal	----⌫-|-------|
por quant se renarse s t uencus	--|----|-|-----|-⌫-⌫|-----|
donnésle mois iert rendus	------|-|--|-⌫|--|-----|
encoreporail di ua mer	-----|---|-|--⌫|-⌫--|
b onsrois etpor tarmeespurgier	-⌫--|---|-|--||---|--------|
diulenosdo nnas	--|-|--|--⌫---|
derena rt uossuieffi cax	-|----⌫-|--|--|----⌫--|
feronsdiup riera	-----|--|-⌫----|
soie armeen	---|---|-|
ahidistilenpereor	--|---|-|-------|
dius ne ue utmor tde	---|-|--⌫-|---⌫|-|
amentsoietfaceau cunbien	----|--|-|---|--⌫--|---|
sauuer sep uetsa luinetient	-----|-|-⌫--|||--|-|----|
selonclestatde guerpillage	-----||----|-|----------|
ermestosi orsenlermita ge	-|--|--|-⌫--|-||------⌫-|
noblesententq ueuoir	-----|-----|-⌫-|---|
n e luauroit a uo ir	-⌫||------|-⌫--⌫-|
c on tredit	-⌫--⌫-----|
derienqueillidemandast	-|---|--|-|-|--------|
nequ ila faireconma nda st	-|-|-||----|-----⌫---⌫-|
rena rtlirendib onnement	----⌫-|-|----|-⌫-------|
san snesunautr e arestement	---⌫|----|----⌫|---------|
ieté depri so n	----|-|---⌫--⌫|
frereenaf ai tens ama ison	----|-||-⌫--⌫|-|-⌫|--⌫---|
poissonslidouneporamordre	-------|-|----|--|------|
so uuent le dotr i ned el ord ene	--⌫----|-|----⌫-⌫-|-⌫||---⌫--|
lo rdrela uestu	|-⌫---|||----|
li fila putainleuencu	-|--||-----|-|----|
fustio rsfuilg aris	---|--⌫-|-|-|-⌫---|
tose s tgaris etrespassés	--|-⌫-⌫|----|-|---------|
cilqu i mainsmalsatrespassé s	--|--⌫|----|---||----------⌫|
bienr etintcec	---|-⌫----|-||
on liensaigne	-|-|-------|
sanblantque	-------|--|
i lsefaingne	-⌫|-|------|
ciersesttenus et	----|--|----|-|
r enars estclamés	-⌫----|--|------|
etilf ai tmut	-|-|-⌫--⌫|--|
lepap el ar t	-|---⌫--⌫--⌫|
tantquilsenpuisse issirparart	-----|-||-|-----|----|--|--|
mutestrenars	--|--|-----|
deb iel seruisse	-|-⌫--|-------|
uolentiersua asainteglisse	---------|-||-----|-----|
menbredesgeli nnes	-----|--|----⌫---|
d ontilse utrun gi er lesesc hines	-⌫--|-|--⌫-|---⌫--⌫-|--|---⌫----|
souue nten atentasio ns	-----⌫-|-||--------⌫-|
p r eunelit ientdautress er mons	-⌫-⌫-|-|-|-⌫---||-----|-⌫--⌫---|
bi e nlisi entsi	--⌫-⌫|-|--⌫--|-|
uestime nt	-------⌫-|
mut secontienthonnestement	--|-|-------|-----------|
et mists ententeal	-|---||------|||
ordeneaprendre	-----|-------|
nelenpeustreprendr e	-||-|----|--------⌫|
un iorfu lam es secantee	-|--|-|-|-⌫--⌫-|-----|
renarslo tdecuerescoutee	-----||-⌫|-|---|-------|
tot deriere estoit del mostier	--|------|-----|--|------|
maintenoit zzsaut ier	---|-----|-|----⌫--|
quatre caponst os sor an és	-----|-----|-⌫-|---⌫--⌫--|
quezzbori oisl i	--|-|----⌫--|-⌫|
otdonné s	-|------⌫|
non tibausl iriches	--|-----|-⌫|-----|
quiner tuersels	--||--⌫|---|--|
auers neniches	----|-|-----|
r enar s lesaa perce us	-⌫----⌫|--||-⌫-----⌫-|
orserr ail	-|----⌫|-|
bie ndeceus	---⌫|-----|
seilne nfait ses gr enons bruire	-|-||-⌫|---|--|--⌫----|-----|
liementsencui dededuire	------||-|---⌫-|------|
par diufaiti l nem	--|--|---|-⌫|-||
carm angierse tient	--|-⌫-----|-|----|
nai pas fait	|-|--|---|
u ued emangier	-⌫-|-⌫|------|
mut tenroiea	--|------||
gra nt eschar	---⌫-|-----|
quitel uue	--|--|--|
fair eme f eroit	----⌫|-|-⌫----|
diu sles e t mutmem esfer oit	---⌫|-|-⌫-⌫|--|-|-⌫-----⌫--|
seie en pui s	-|-|-|---⌫|
en liuu enir	-|--|-⌫---|
i emos t err ai quei esaifai r e	-⌫|---⌫-⌫---⌫-|--|-⌫|--|---⌫-⌫|
q ui qu endoieparlernetaire	-⌫--⌫-|-|---|-----|-|----|
l i io rstrespasselanuisuint	-⌫|--⌫-|--------|-|---|---|
descaponssouuient	--|-----|-------|
metreeno ublian ce	----|-|-⌫------⌫-|
mut to st trespasseobedie nce	--|--⌫-|--------|------⌫--|
uintas capons	---|-|-----|
yy enes coce	-|-|--⌫---|
sile sm angu e aplainne bouche	-|--⌫|-⌫----⌫||------|-----|
lesa utre syya mis a	--|-⌫----⌫|-||--||
queildemai nr eue nra	--|-|-----⌫|-⌫---⌫--|
c ouuer s l esabiend estra mier	-⌫-----⌫|-⌫-||---||-----⌫---|
estuen us rec ouchier	--|---⌫-|---⌫------|
nes etnusmot	-|-⌫-|--|--|
desonatrait	-|--|-----|
doularcinque ilafai t	--|-----|--|-||---⌫|
bienlichaid es auentu re	---|-|---|-⌫||------⌫-|
m ut retrait	-⌫-|------|
b i enasa n ature	-⌫-⌫-||-|-⌫----|
lendemainapreslesm atines	|-------|----|--|-⌫-----|
ren arsquitan tainmegelines	---⌫--|--|---⌫|----|------|
deyy c apons sestdesiunés	-|-|-⌫----||--|--------|
pui sesten	---⌫|--|-|
cloistre retornés	-------|--------|
les yy mangaquenusne l sot	--|-|----|--|--|-||--|
au quartpas garder nese	-|----|--|-----|-|-|
unsfrer es	--|----⌫-|
quirenartpercut	--|-----|-----|
core narsle rolsle	-|--⌫---|-|---|-|
quantreco nte ́fu en couent	----|----⌫---⌫|-|-|-----|
renarsenfublamésforment	-----|-|-|------|------|
lorenuautdroit offrir	--|-|---|----|-----|
mais dans bernars nel uau tsou frir	---|---|------|-||---⌫|---⌫---|
carm angié	--|-⌫-----|
auoitzzcorbiel	----|-|------|
ot trouéelpraiel	-|-----|-|-----|
tant lar recinslorau oit	---|---⌫-----|--|--⌫--|
bienseuent que ile stmesfais	---|-----|--|-|-⌫-|------|
arenartonttolu les	|-----|--|---|--|
congielidonent or est	-----|-|-----|-|--|
nedes iroi tplusau treriens	-|---⌫----⌫|---|--⌫--|----|
for squifust	---⌫--||---|
forsdesesliens	---|-|--|----|
am eruellesliesen	|-⌫-------|---|-|
desplais so it	--------⌫--⌫-|
tornés senesttot le c emin	------||-|--|--|-|-⌫---|
encornu ira	----|--⌫--|
ay sengri n	|-⌫------⌫|
lifrerelont mi s	-|----||--|--⌫|
enest misa lauoie	-|--|--||-|---|
mut manacesesanemi s	--|-----|--|-----⌫|
f u entelpainne mis	-⌫|-|--|-----|--|
sa test eiure cor on n ee	-|----⌫|---|---⌫--⌫-⌫-|
queiasiren	--|-||--||
iertpardonnee	---|--------|
aysengrinn e atibert	|-------|-⌫||-----|
porcu iilat ant	--|--⌫|-||-⌫--|
mal sou f ert	--|---⌫-⌫--|
rohenialsert	--------|--|
leszzhai e	--|-|---⌫|
de lo ncle uitsilem anace	-|--⌫-|-|--|-|-|-⌫----|
si es cr ieuéslerendu	-|--⌫--⌫-|---|-|----|
que deume sauoirpendu	--|-----⌫|----|----|
renar s n ot s oigd eseio rner	-----⌫||-|-⌫--|-⌫|----⌫---|
nen otcurederanp ro ner	-||-|---|-|----⌫--⌫--|
ta ntqueiluint ensa	--⌫----|-|---|-|-|
uot laissiésafemechiere	|-|-------|-|---|-----|
quant el e uit g r ant ioieena	----|--⌫|--|-⌫-⌫--|---|-||
dedens son	-----|--|
c uerforment	-⌫--|------|
enfantsignorrenart	-----|-----|-----|
fontgra nt	---|---⌫-|
