quib en com encee	--|-⌫-|---⌫---||
delerbequiser reit	-||---|--|---⌫---|
equantlome	|----||--|
lau reitbeue	|--⌫---|---|
multdolcements	---|--------||
end ormireit	---⌫-------|
nul malnesent ireit	--|--|-|----⌫----|
deceste erbequisi estfere	-|----|---|--|-|--|---|
iatoz iorsdoblemanere	||--|---|----|-----|
lunemadlelaltre	|--|----||----|
lafoilledambedeus estbele	-|-----||-------|--|---|
l afe melealafoilledrue	-⌫|--⌫---||-|-----|---|
telcom esalua gelaitu e	--|---⌫|-----⌫-|-----⌫|
lasusamon tenorient	-|--|----⌫|-|-----|
quiloingse stent	--|----||-⌫----|
ou lemtr oeu eun eperredure	-|--|--⌫---⌫|--⌫|----|---|
quan t lenla quertpa r	----⌫|--|-|----|--⌫|
nui t obscure	---⌫|------|
m es el n eluistmiede ior	-⌫-|-|-⌫|----|--|-|--|
car idonc p e rtsaresplen dor	--|----|-⌫-⌫-|-|-------⌫--|
lisoleizclers por	-|-----|----|--|
lireboch e sa grantclart e	-|------⌫|-|----|-----⌫|
c estdiamanzd o ntieouoscon t	|--|------|-⌫-⌫-|--|--|---⌫|
sidure perre naelmont	-|---|----|||-|---|
nulealtreperre ne	---|----|----|-|
nefernefeune la	-|--|-|--|-|-|
destr eint	-----⌫---|
mes c ilquidepecer la uoelent	--|-⌫-|--|------|-|------|
odmaild e fer bris erl a soelent	-|---|-⌫|--|----⌫-|-⌫|------|
quanten sancdebuc esttempree	----|-|---|-|--|--|------|
ent eleg uiseestengroignee	-|-⌫--|-⌫---|--|---------|
mesilcou en t	--|-|---⌫--⌫|
q uelesancseit	-⌫-|-|---|---|
tot freisene seitmiefreit	--|----||-|---|--|----|
de s pec e s	--⌫|---⌫-⌫|
poet leme ntaille r	---|--|-⌫-------⌫|
e gemmes efereasce r	|-----||--||----⌫|
apre ngdelaimant	----⌫-|-||-----|
quela perren	--|-|----||
estmiegr ant	--|--|--⌫--|
afe rr esemble sa	|--⌫|-⌫------|-|
ea cristalsaresplen dor	||------|-|-------⌫--|
alcunsdientdelaimant	-----|----|-||-----|
quil estc o ntreuenim puissant	-|-|--|-⌫-⌫---|----|-------|
equilchaceu eines poors	|-|-|----|-⌫----|----|
neque lartdesenc hant eors	-|--||--|--|---⌫----⌫---|
n edeureitceluiench an ter	-⌫|------|----|----⌫--⌫--|
quiceste p erresoel t por ter	--|----|-⌫---|----⌫|---⌫--|
l aimantquiateluertu	|-----|--||--|----|
signefiel erei	-------|-⌫|--|
sicom liprophet erec orde	-|--|-|-------⌫|---⌫---|
qu i a ce stelettresacorde	--⌫||--⌫--|-----||-----|
ieouisorun	--|-|--|-|
mont daimant	---||-----|
fet leprophe teunhomeestant	--|-|------⌫-|-|---|-----|
enmilepoepledisrael	---|-|-----||-----|
c el homefuc orteisebel	-⌫-|---|-|-⌫-----||--|
l imonzoulaperre esttrouee	-⌫|---|-|-|----|--|-----|
quitantest dure	--|---|--|---|
ee sprouee	|-⌫------|
s ign efied eu no stre	-⌫---⌫---|-⌫-|--⌫---|
la p err e	-|-⌫---⌫|
quiparnuitest cler e	--|--|---|--|----⌫|
deitsignefier ie sucrist	---|--------|--⌫-|----|
qui pornos hum aniteprist	--|--|--|---⌫----|----|
en ten ebr esn osuisita	-|---⌫---⌫-|-⌫-|-----|
declartenose nlumina	-|-----|--|-⌫------|
enlaseintelettre trouom	-|-|-----|-----|-----|
cele queuangileapelom	---|-|-------|-----|
quelisa luere sdistdesei	--|-|--⌫-----⌫|---|-|--|
ieo suielperee	--|--|-|---||
e quime u eitil	|--|-|-⌫--|-|
ueit monpere	---|--|---|
uirgne mere	-----|---|
iesucristnostresalue or	---|----|-----|-----⌫-|
no s uisi ta entenebror	--⌫|----⌫-|-|-------|
multpardusthom	---|--|---|--|
estreio ian t	----|--⌫---⌫|
quan tilt roua	----⌫|-|-⌫---|
telaim ant	--|---⌫--|
qui de tenebreslahorstrai t	--|-|-------|||---|----⌫|
ceoe stlisal ueresqui uait	--|-⌫-|-|---⌫----|--|---|
sorlesperres	--|--|-----|
fermesed ures	-----||-⌫---|
quiporcol s neporhurt eures	--|--|---⌫|-|--|----⌫----|
neluifaillentnenefaldr ont	-|--|-------|-|-|-----⌫--|
disferme sset endront	--|-----⌫|-|-⌫------|
encestes perresen tendez	-|-----|-----|--⌫-----|
l esapostresbene ure z	-⌫-|-------|----⌫---⌫|
lesprophetes ele s	--|--------||--⌫|
bon sseinz	---⌫|----|
nef uren tfalsnef einz	-|-⌫----⌫|---|-|-⌫---|
onquesp ortorment	-----|-⌫-|------|
neflechirent	-|---------|
mespor de u martiresoffr irent	--|--|--⌫|------|-----⌫----|
ete ltra uaile s i grant	|--⌫|---⌫---||-⌫|----|
e nontioiecerteine	-⌫|--|---|-------|
ceoquhome l aperre tr o eue	--|-|---|-⌫|----|--⌫-⌫--|
signefie parb el ep roeue	-------|--|-⌫--⌫|-⌫----|
qu enostre sires	--⌫|-----|----|
qua n tca iusenterre auala	---⌫-⌫|-|--|-|----|----|
lescompaigne s delha lt repaire	--|---------⌫|--|--⌫-|------|
neso ren tqueca iusu in t fa ire	-|--⌫---⌫|--|-|--|-⌫--⌫|--⌫--|
necomentilpristcha rhumeine	-|-----|-|----|---⌫|------|
il outso ffert la peine	-|--|--⌫----|-|----|
ef ude mortre susci té	|-⌫|-|---|--⌫-----⌫--|
susel celremonté	--|-|--|-------|
ueraihomentere	----|--|----||
de me nerentgran tpl ai t	--⌫--⌫-----|----⌫|--⌫--⌫|
lacelestial compaignie	-|--------|---------|
edem anderent sanzenuie	|---⌫-------|---|----|
d ont uentquiestcest r eid egloire	-⌫--|---|--|--|---|-⌫-|-⌫|-----|
qui tantahonore ui ctoire	--|---||----||--⌫-----|
quiceoestcest legeradire	--|--|--||--|----||---|
ces tl isi resdetotl	|--⌫|-⌫|--⌫--|-|--||
quitottent a	--|--|---||
glorios reicele stre	------|--|----⌫---|
ceoest lisires de uertuz	--|--|-|----|-|-----|
nos s estcombatuz	--||--|-------|
enbatail le	-|------⌫-|
e st puissantefo rt	-⌫-|-------||--⌫-|
carilaoccis elamort	--|-||-----⌫|-|---|
sei gnor s e damesgentnobire	---⌫----⌫||----|---|-----|
bochedo menepor reitd ire	----||-⌫-|-|---⌫---|-⌫--|
lasomede lumilit e	-|---|-||------⌫|
nela do lcor	-|-|--⌫---|
quenostresirefist pornos	--|-----|---|---|--|--|
quan tdesoncher sanc precios	----⌫|-|--|---|---|------|
nosraeins t e	--|------⌫||
nosrachata	--|------|
en labat ailleque	-|-|---⌫----|--|
ou i laenfer	-|-⌫||----|
despoillé	---------|
econfon dueeissill é	|------⌫-||-------⌫-|
bonegen t qu edeu benuosf ace	---|---⌫|--⌫|--|--|--|-⌫--|
eu osdontsamor	|-⌫-|---||---|
oroez esi mentendez	-|--||-||-------|
euoz corag es ame nd ez	|--|-----⌫-|---⌫--⌫-|
pené mesui	----|-|--|
multdere trai re	---|-|--⌫----⌫-|
les ess amples delbestia i re	--|---⌫-----|--|------⌫-⌫-|
seloncl alettre	-----|-⌫|-----|
oruos criom	-|--|----|
pordeumer ci	--|--|---⌫-|
sin osi auom c hosedi te	-|-⌫-||---|-⌫---|--⌫-|
qui deiueestre abonte escrite	--|----|----||----|------|
essamplair e	----------⌫|
edeben dire	|-|--|---|
ede b enfaire	|-|-⌫-|----|
esiditei auomf aillan ce	|-|---||---|-⌫------⌫-|
pa rnonsens oupar	--⌫|------|-|--|
obli an ce	----⌫--⌫-|
poramord euuos demandom	--|---|-⌫-|--|-------|
delano nsaua nce pardon	-|-|--⌫-----⌫--|-----|
e del obliance altr es i	|-||-------|----⌫--⌫|
uos criieomerci	--|--|--|----|
si mesd it aireneltraite	-|----⌫-|-|--|-|-----|
ep ar al c unse itafaité	|-⌫-|--⌫-⌫-|--⌫-|------|
quip lu sseitsageequi melzua ille	--|-⌫--⌫|---|---||--|---|--⌫---|
nuleenu i enementr a uaille	---|---⌫-⌫|-||-|--⌫-⌫-----|
ieouosdisalcom encement	--|--|--|-|---⌫-------|
epra m isquebonfinement	|---⌫-⌫-|--|--|-------|
aureitcestli ur eedeulotreit	-----|---|--⌫--⌫||--||-----|
deu nos comandeesiadreit	--|--|------||-||----|
quesesbesanzmultipliom	--|--|-----|---------|
eno stretrauailempleiom	|--⌫---|------|-------|
poracreistresag rantric hes ce	--|--------|-|-⌫---|---⌫---⌫-|
lessompa rperesce	-----|--⌫|------|
mult ense rrom ac haisonez	---|-|--⌫---|--⌫-------|
e den ostreseignor blasmez	|-|-⌫----|------|------|
or oezq uei lnos	-|--|-⌫-|-⌫|--|
enleuang i le ouest escrit	-||-----⌫-⌫-|-|--|-----|
quilparla d unprodhome sage	-|-|----||-|-------|---|
enpe lerinage	-|--⌫-------|
le uangirenosfet ac reire	|-⌫------|--|--|--⌫----|
que einz qu	--|---|-|
ape latreisde	---⌫-|----|-|
sesse r g anz	--|--⌫-⌫-⌫--|
sibaill aal unc incbesanz	-|-----⌫|||-|-⌫--|-----|
deuse alt e rzun	---||-|-⌫-⌫-|-|
selonc ceo bailla aches cun	-----|--|-----||----⌫--|
quesauert uso uteconut	--|-|----⌫|--⌫-||----|
puissenalalaouil	---||-|--|-|-|-|
m einten antqueil f u meuz	-⌫------⌫--|--|-|-⌫|---|
lis erganzqui outr eceuz	-|-⌫-----|--|--|-⌫----|
bes anzespleitatan t	---⌫--|-------|---⌫|
qui len gaaignaaltretant	-|-⌫|-|------|--------|
elisecon zfi s ten semen t	|-|-----⌫|--⌫-⌫|--⌫-----⌫|
me s liter zourafolemen t	--⌫|-|---⌫|---|-------⌫|
car un efosseenter re	--|--⌫|----|-|---⌫-|
le b esantsons ei gn ori	-|-⌫----|--|-⌫--⌫--⌫-||
eq uantli siresretorna	|-⌫---|-|----|------|
sest rei s s erganzaraisona	--|-⌫---⌫|-⌫-----|-------|
quilo rentfet deson aueir	-|-|-⌫---|--|-|--|----|
lipreme reinsliconta	-|-----⌫----|-|----|
sir efetil	---⌫|--|-|
tumebail las	-|-|----⌫--|
ci ncbesanzqua nttu t enalas	--⌫-|-----|---⌫-|-||-|---|
eieoenai puis t ant	|--|-|-|---|-⌫--|
qu altre scincenair ecouré	-|-----⌫|---|-|-|-⌫------|
tu asbenfai t fetilamis	-|-|--|---⌫|--|-|---|
d e mo ng aaingtes ent remis	-⌫|--⌫|-⌫----||-|---⌫----|
or serrasportafealt e	-|-----|--|-|-----⌫|
seigno rde	------⌫|-|
mult bele plente	---|---|-----|
si te baldraiaueir g reignor	-|-|------|----|-⌫------|
entreenla io ie	----|-|-|--⌫-|
tonseignor	--|------|
liseconzliredist belsire	-|-----|-|-----|--|---|
deme iep artuospuisben d ire	-|--⌫-|-⌫--|--|---|--|-⌫--|
deuosde usbesanzai fetquatre	-|--|--⌫-|-----|-|--|-----|
ted eiie o mie batre	-|-⌫-|--⌫|--|----|
fet li sire sportonse ruise	--|-|----⌫|--|--|--⌫----|
lemenauras a	-|--|----||
t ad e uise	-⌫|-⌫-⌫---|
iss iletepramete	---⌫|-|-|-----||
l iterzqu in aueit f et nulpreu	-⌫|---|--⌫||----|-⌫-|--|---|
uintalseign orsili	---|-|-----⌫-|-|-|
sireueez citon	---|---|-|--|
trestotenter ben laigardé	------|----|--||-|-----|
siresrespon tp ar de	----|------⌫|-⌫-|-|
tunes bon s ergant	-||-|--|-⌫-----|
netu neserrasmonconseil	-|-|-|-----|--|------|
nema ioienepartiras	-|-|---|-|-------|
hors demameson ten irras	---|-|-|----||-|----|
ede to temaco mpaignie	|-|--⌫-|-|--⌫-------|
carlaisséasparfelonie	--|------|-|--|------|
a multipl ier mes c hate ls	|-------⌫--|--|-⌫----⌫-|
seig norsli escrizest ite ls	----⌫---|-|-----|--|---⌫-|
mesgr antsignefia nce	--|--⌫--|--------⌫--|
nostresirequitotcrea	-----|---|--|--|---|
d eitestre ente n du	-⌫--|----|----⌫-⌫-|
elp rodhome	-|-⌫------|
lideusse rganzceoest lasome	-|---|--⌫----|--|--|-|---|
sonttuit cil quisonnon eshalcent	---|---|--|--|--|--|--------|
esaleimeintenent eh alcent	|-|--|---------||-⌫-----|
ecilen sa ioie	|--|-|-|---|
enterro nt	-------⌫-|
qu antto tes	--⌫--|--⌫--|
ch osesfi n eront	--⌫---|--⌫-⌫----|
mesciln imettra ia le pe	--|--|||-----|-|-|-|
quis ontres o ra uram uscé	--|-⌫-|----⌫-⌫|-⌫--|-⌫----|
tels ia font	---|||---|
m ult par e stfolsqui lerepont	-⌫--|--|-⌫-|---|--|-|-----|
laisseen terr e p orrir	-----|-|----⌫|-⌫----|
mesquidelc reist re edel	--|--|--|-⌫-----⌫-||--|
e d el multiplier	|-⌫-|---------|
c ilauralaioie certeine	-⌫-|---|-|---|-------|
uncorebailleche sc unior	-----|-----|---⌫--⌫-|--|
asess erganznostre	|--|-⌫-----|-----|
sesb esanz amul tiplier	--|-⌫----||---⌫------|
quant ilfetun boncheual er	----|-|--|-|--|------⌫-|
ou unbo nclerc ou	-|-|--⌫|----|-|
unsage ome	-|---|--|
totl empirederome	--||-----|-|---|
porreit parsonsens	------|--|--|---|
conseiller	---------|
enuo elttrauailler	-|--⌫--|---------|
m estrest otesa	-⌫-|-----⌫--|-|
de sabonte	-|-|----|
el serui s e nostreseign or	-|-----⌫-⌫|-----|-----⌫-|
q uantuendraa l daereinior	-⌫---|-----|-⌫|------|--|
qui dezq ue deun el idemant	---⌫--|-⌫-|--|-⌫|-⌫|-----|
qu ilaurafet de sonbes ant	-|-|---|--|-|--|---⌫--|
oilieol saiue raiem e n t	--|--||--|--⌫-----⌫-⌫-⌫|
damnedeu donelargement	-------|---|--------|
a lunpoeir	||-|----|
a lun uertua lun saueir	||-|----|||-|-----|
alun raisonoueloquence	||-|-----|-|--------|
equ ideceonefe t semence	|--⌫|-|--|-|--⌫|------|
tantdemen ters c omeilpoet	---|-----⌫---|-⌫--|-|---|
so nseignor enfoet	--⌫|------|-----|
doncpruisie opar cest eeuangire	---|----|--⌫|--|----⌫|-------|
quant deu m	----|--||
adonéd ebeldir e	|----|-⌫|--|---⌫|
lagracene m	-|----|-||
endeitarger	-|--|-----|
messon be s ant cr eistre e	--|--|--⌫-⌫--|--⌫-----||
de facondemafet deuriche	-|------|||--|--|----|
ne fust fortunequemen triche	-|---|------|--||-|-----|
grantmeste rm ep eust aueir	----|-----⌫|-⌫|-⌫---|----|
sciencenesaueir	------|-|-----|
ne corte isie	-|-----⌫---|
neafeitementn e honor	-|---------|-⌫|----|
nepoentuers	-|----|---|
liestri uer	-|-----⌫--|
onc ne melaissa ariuer	--|-|-|-----|-----|
por t einz me deme ine	---⌫|---|-|----⌫--|
totes hores parmer	----|----|--|--|
h al teine	-⌫--⌫----|
pleine detormented orage	-----|-|------|||----|
u ers mei felo n	-⌫--|--|----⌫|
s e ignorqui trestot	-⌫-⌫----|--|------|
e q ui setc omb enieocoueit	|-⌫-|--|-⌫---⌫-|--|-----|
priieoquei l del imaco r t	--|--|--|-⌫|-|-⌫||---⌫-⌫|
siquu ne feizmem e tte apor t	-|-|-⌫-|---|-|-⌫-⌫--||---⌫|
carbenen fustsaison e hore	--|--|-|---|-----||---|
cineferaia l trede mor e	-|-|----|-⌫-⌫--|--⌫---⌫|
lebesa ntdeumettraia	-|----⌫-|--|------||
por d esconf ireledi able	--|-⌫------⌫--|-|--⌫---|
diuisionsdegraces sont	--------|-|-----|---|
siles deiuent	-|--|------|
cil quilesont	--|--|--|--|
mettr eagaaing eausure	-----⌫||-----|||----|
porceouosdiq ue i eo	--|--|--|-|-⌫-|-⌫-|
quant de u	----|--⌫|
mason b esant liuré	||--|-⌫----|-----|
quil sei tmuscé ne e nterré	-|-|---⌫|-----|-|-⌫------|
icele scienceestperdue	----|------|--|-----|
est departieeseue	--|-------||---|
sens estriche possessions	---|--|----|----------|
c eo dit unliur edesermons	-⌫-|--|-|----⌫|-|------|
mesq uinacu redeseignor	--|-⌫-|||--⌫-|-|------|
ia o dluine fera	-|-⌫|--|-|---|
o dcelui maintquila depart	-⌫|----|----|--|-|-----|
abando neetost etar t	------⌫-||---||---⌫|
siliuentdemultgrant	-|-|---|-|---|----|
ca reletantaimelargesce	--⌫|--|---|---|-------|
eauerho me tant	|---|--⌫-|---|
desd e igne	----⌫-⌫---|
qu e odlui	--⌫|-|--|
remaneirnedeigne	-------|-|-----|
d ebo naire	-⌫---⌫----|
desessamples delbestiaire	--|--------|--|--------|
uos souegneque	--|------|--|
b eles sont	-⌫---|---|
u ee zla ma licedelmo nt	-⌫--⌫|-|--⌫---|--|--⌫-|
comet oz io rs cr e is t e auiu e	---|-⌫-|--⌫-|--⌫-⌫--⌫||----⌫|
ueez co metence e estriue	---|--⌫-|----||------|
tricheriec on tredreiture	--------|-⌫--⌫--|-------|
ueez com achereu eiture	---|--||----|-⌫-----|
l emtre spasse p a rmic estmonde	-⌫-|---⌫-----|-⌫-⌫--|-⌫--|----|
uee zcom grant mali	---⌫|--|----|--||
ueezcom home es tdeceuz	---|--|---|--⌫|-----|
ueezcomilest conceuz	---|--|-|--|------|
ueezco m e stenuolupez	---|--⌫|-⌫-|--------|
qu eldoel ilestnez	--⌫-|---|-|--|--|
ueezcomentiles tenfa nt	---|-----|-|--⌫|----⌫-|
es tfol enon	--⌫|--||--|
ue ezquan til uent	--⌫-|----⌫|-|---|
co mils orgoilledecorage	--⌫|-||-------|-|-----|
quantildeurei tcelu iloer	----|-|------⌫|----⌫|---|
quilafet aler eparler	--|||--|---||-----|
sentire ueeireoi r	-----||----||--⌫|
donques ne liuoeltobeir	------|-|-|----|----|
qu antiles tbele	--⌫--|-|--⌫|--||
richeefo rt	----||--⌫-|
eilnesttels	|-||--|---|
desonseignor quitel l	-|--|------|--|--||
chaitiu eisontret	-------⌫----|---|
totlemondeneprise	--|-|----|-|----|
que iamesl ifail le	--|----|-⌫|----⌫-|
poeirn esa	----|-⌫|-|
m es quantlamortu ers	-⌫-|----|-|---|-⌫--|
luis a dr esce	--||-⌫--⌫---|
qui le gaitegul e baee	--|-|----|---⌫|---|
donce st remise	---|-⌫-|-----|
leco rsestenterreenhul ez	-|--⌫-|--|-|----|-----⌫-|
deuer s mangezed efolez	-|---⌫|-----||-⌫-----|
almesenpart esgaree	---||-|---|------|
quinepoet mie aueirdenree	--|-|---|--|----|-----|
d equanqu il	-⌫|-----|-|
onquesgaai gna	-----|----⌫--|
u nnoueleir so n aueira	-⌫|----|--|--⌫|----||
ne fera ren	-|---|--|
enchaltplus qued un chen	-|----|---|--||-|---|
p orceo pardefetque dole nt	-⌫-|--|--|-|--|--|----⌫-|
quiencest euieest	--|-|----⌫|--|--|
tropl en t	---|-⌫--⌫|
dedeuserui reaore r	-|--|-----⌫||----⌫|
deitnul demore r	---|--|------⌫|
quanqu e homfeten ceste uie	------⌫|--|--|-|----|--|
te nca oidiuescee folie	--⌫-||--------||----|
forsquede c el seignorseruir	---|--|-|-⌫-|------|-----|
quidoneu iea pres	--|---|-⌫-|-⌫---|
ens au ig ne	-|-⌫|-⌫--⌫-|
fetbonourer	--|--|----|
car pu isquiluenta la uesprer	--|--⌫---|-|---|||-⌫------|
ipoe tlemgaaignersonp ain	|---⌫|--|-------|--|-⌫--|
ia nulniouerra enue in	-|--|||-----|-|--⌫-|
or oez que dit leuangire	-|--|--|--||-------|
el me conteque nostre sir e	-|-|----|--|-----|---⌫|
dis tasesdes c iples un	---⌫||--|---⌫-⌫----|-|
unees sam ple de grantdolcor	--|--⌫---⌫--|-|----|-----|
carillor d istqueunprodhom	--|-|--|-⌫--|--|-|------|
eissiun ior	----|-|--|
d esameson	-⌫|-|----|
ma tinp orourersaloer	--⌫--|-⌫-|-----|----|
qu en sa ui gne peussent	-|-|-|--⌫--|-------|
celsquei l troua meintenan t	---|--|-⌫|----|---------⌫|
loap ar itelcouenant	--|-⌫-|---|-------|
qua chescun	-||------|
do rreitundener	--⌫----|-|----|
cilnen firent mi edanger	--||-|-----|--⌫|-----|
tostfurent enla	---|-----|-|-|
u igneentré	-⌫---|-----|
fo ie labo ré	--⌫||----⌫--|
quan tuintauers	----⌫|---|----|
terceapresprime	----|----|----|
estesuosles iremeisme	----|--|-|-⌫--|-----|
q ui enc on traaltres	-⌫-|---⌫--⌫--|-----|
sisenueiaodles p remers	-||-----|-|--|-⌫-----|
pramis tqu illordorreit	------⌫|-|-|--|------|
delsoen tan t com r aison	--|---|---⌫|--|-⌫----|
endrei t midi en r etroua	------⌫|---|-|-⌫-----|
gen zoidis sile saloa	---⌫|----|-|--⌫|---|
uers no neen retrouad ocios	---|--⌫-|-|------||----|
adit que fetesuos	|--|--|----|--|
alez si ourezenma uign e	---|-|----|-|-|----⌫|
c ilne firent altrebarguigne	-⌫-|-|-----|----|--------|
ainz ialerentdemaneis	---||------|-------|
mesli iortorna endescreis	--|-|--|----|-|-------|
elareleueeaprisma	|-|------|------|
e li prodhoms	|-|------||
dreitel marche delacite	----|-|-----|-|-|---|
sorlese s talsaregardé	--|--|-⌫-⌫---||-------|
siuitourersoidis assez	-|--|-----|----|----|
qu i laesteient ama ssez	--⌫|-|-------|---⌫---|
quaue zfet il	-|---⌫|--|-|
tote i orf ait	---|-⌫-|-⌫--|
sirefont ilmalnoso r	---|---|-|--|--|-⌫|
nosnepeu mes	--|-|---⌫--|
hui trouer	--|-----|
ho mequinosuolsistloer	--⌫-|--|--|------|---|
donc uosest distil malement	---|--|--|---|-|-------|
al ezlasus	--⌫-|-|--|
deliurem ent	--------⌫--|
enma uig ne	-|-|---⌫-|
asalt r es ourers	-|---⌫-⌫-|-----|
eieo u o s	|--|-⌫-⌫|
dorraiuolenters	-----|--------|
tant com serra raison	---|--|----|-----|
seloncleiore la saison	-----|-|--||-|-----|
cilsaillentsus	--|-------|--|
euon t ourer	|---⌫|----|
mes o ncn esi	--|-⌫-||-||
couin tsuer	-----⌫|---|
cartostfuten s doeure less er	--|---|-|---⌫||----|----⌫-|
lorsapela son	---|----|--|
des pen ser	---⌫---⌫--|
liprodho m edistbels	-|------⌫||---|---|
s icom ieo	-⌫|--|--|
s ipaiez trestozmes	-⌫|----|------|--|
ecomence z asdereners	|-------⌫|-|-------|
site nuaiesqualpr emerein	-||-⌫|-|----|-|--⌫------|
e metachescunensamein	|--||------|-|-|---|
undenersis lesse zaler	-|----|-||-----⌫|---|
donclescomencea apele r	---|--|------||-----⌫|
sisfistarenger	-||---|------|
eba ille achescun un	|--⌫---||------|-|
matinuenuz	----|----|
q ui deren t benquant il	-⌫--⌫-----⌫|--|----|-|
ache scun sondenera uei r	|---⌫---|--|----|-⌫---⌫|
qui l deusse ntplusr ec eueir	-|-⌫|------⌫-|---|-⌫--⌫----|
si grondirentemurmurerent	-|---------||----------|
e od leseign or	|-|-|-----⌫-|
en parler ent	-|------⌫--|
si re fonti l ceocoment	--⌫-|---|-⌫|--|-----|
deshu i matinauomnos	--|--⌫|----|---|--|
e l etrauailpesant	|-⌫|------|-----|
orn achescun queun besant	-|||------|--|-|-----|
e cilquiorendreiti u indrent	|--|--|--------||-⌫------|
quidel trau ailrennesustindr ent	--|--|----⌫--|--|-|--------⌫--|
ontal tretan t c omno sauo m	--|--⌫------⌫|-⌫-|--⌫|---⌫|
seignors c e orespontliprodhom	-------|-⌫-⌫|------|-|------|
neuosfaz nul tortceo	-|--|--|--|---|--|
quant uost recouenanta ue z	----|----⌫-|-------|-⌫--⌫|
peise uosque	----|--|--|
ieofaz mag race	--|--|-|-⌫---|
nemelistilque delmenface	-|-|---|-|--|--|--|---|
ma largesc eou ilmeplest	-|-------⌫|-|-|-|----|
aicestmotchesc unse test	|----|--|-----⌫-|-|---|
quantdeusoutcesteessampledite	----|---|--|----|-------|---|
si lor aoue rteedescrite	-|--||---⌫--||-------|
une sentencea ss ez legere	--|-------|-⌫--⌫-|-----|
issifetil ser ront	---|--|-|---⌫---|
cilquisontue nupremerein	--|--|---|--⌫-|--------|
edeu antelsli daerein	|---⌫--|--|-|------|
desapelezia g rantment	--|-----|||-⌫-------|
mes lie slit	--|-|-⌫---|
sontc le r ement	---|-⌫--⌫-⌫----|
leuangileoi e	|-------|--⌫|
mes n e sauez	--|-⌫|----|
quesignefie	--|-------|
pl usorsde uossi clersnes ont	--⌫----|-|--|-|----|-|-⌫--|
ous ideclersapris	-|-⌫|-|----|----|
mesie ouosdirraiendreit mei	--|--⌫|--|-----|------|--|
iceoque ieo e n t enteuei	---|--|--|-⌫-⌫-⌫--||--|
li prodhomq uiprimesleior	-|------|-⌫-|-----|-|--|
ourersen sonlabor	-----|-|--|----|
signe fie le reidegloi re	-----⌫--|-|--|-|----⌫-|
quidonea ses	--|---||--|
o ur ers uicto ire	-⌫--⌫--|-----⌫--|
puisqu edeusoutel grantdeluge	------⌫|---|--|-|----|-----|
salué n oedede nz s ahuge	-----|-⌫-|----⌫-|-⌫|---|
e samesnee eses e nfanz	|-|-----||--|-⌫----|
sempr es en fulimondesgr anz	-----⌫-|-|-|-|-----|--⌫--|
erestor eze	|------⌫-||
nos tresi re s eissuz	---⌫--|--⌫--⌫|-----|
desamesone siuintqu erre	-|-|----||-|---|--⌫---|
ourerspor laborer	-----|--|------|
doncaloadeusesour er s	---|---|--|--|---⌫--⌫|
abr aha m futotli	---⌫---⌫|-|--|-|
quifu princedes prode shom es	--|-|-----|--|-----⌫----⌫-|
quis emence no ssom es	--|-⌫-----|--⌫|---⌫-|
endre itlatercesenreuint	-----⌫-|-|----||-|-----|
sicomeueni rle	-|---|----⌫|-|
aloer le prozmoyses	----|-|---|-----|
puisreuint si comieo u os di	---|-----|-|--|--|-⌫-|-|
nostreseign orendr eitmidi	-----|-----⌫-|----⌫--|---|
sial o ale bondaui	-|--⌫-⌫|-|--|---|
sa grace ertrepleni	-|----|--|------|
endreitnonepristdaniel	------|---|----|-----|
eie remieseio hel	|--⌫-----||--⌫--|
elesaltresqui deuinerent	|--|-----|--|---------|
lesc hosesquiauenirerent	--|-⌫----|--||----|----|
uersleuespreest	---|-|-----|--|
d eu deuale ́	-⌫-|------⌫|
dr eit el march e	--⌫--|-|-----⌫|
del a ci t e	-|-⌫|--⌫-⌫|
cariluintenla fin delmon de	--|-|---|-|-|--|--|---⌫-|
epri stenla reinemonde	|---⌫-|-|-|----|----|
sonosteleso nhabitacle	--|----||--⌫|--------|
pardeiteeparmi racle	--|----||--|--⌫----|
ecou ricest chos e certeine	|---⌫-||--|----⌫|-------|
sade ite encharhumeine	-|--⌫--|-|---|------|
eueiedeuie enseig ne r	|---|-|--|------⌫--⌫|
donc trouagent quine cre eient	---|----|---|--|-|---⌫----|
si lord ema nda quil	-|--|-⌫---⌫--|-|-|
eci ll i respondirentd o nqu es	|--⌫|-⌫|-----------|-⌫-⌫---⌫-|
queiln au eienttrou éonque s	--|-||--⌫----|----⌫-|-----⌫|
quil oreustditn em ostré	--|-⌫-|---|--|-⌫|-⌫-----|
laueiedelorsaluete	-|---|-|--|------|
doncl or e nseignadeula lei	---|-⌫-|-⌫------|--|-|--|
donquesapela ilase i	------|----|-||--⌫|
perrep oli ohan	----|-⌫-|-⌫---|
cilfurentenlauign e deu	--|-----|-|-|----⌫|--|
ourer s ilealesifort	----|-⌫|---||-|---|
onques pordotan cedem ort	-----|--|-----⌫-|-|-⌫--|
nefai llir enta	-|---⌫----⌫--||
lorseignor	--|------|
eil lorfistsig ranthonor	|-|--|---|-|-⌫---|----|
quill ordonaledener d	-|-|-⌫-|---|-|----||
equil lo rba illason	|-|-|--⌫|--⌫---|--|
adepart ire	|------⌫-||
a des pend re	|---⌫----⌫-|
e c il sifir ent san z	|-⌫-|-|---⌫--|---⌫|
mesprendre	---------|
unco rest dre itque	----⌫|--|---⌫-|--|
u osesponde	-⌫-|------|
