ocum es ri ches	|--|-|--⌫---|
la s epultureenla	-|-⌫-------|-|-|
mere d etoz	---|-⌫|--|
enordeitnos engenuistom en te neb res	-|-----|--|--------|-|-|--⌫---⌫--|
nosnur istomet e n	--|---⌫--|-|-|-⌫|
dolor nosenfantet omdauant nostrenas sance suntchargiei es noz	----|--|-------|-|-----|-----|---⌫----|---|--------⌫-|--|
chaitiuesmeres	--------|----|
denozeten nostrenassanc e	-|--|-|-|-----|-------⌫|
lesdepranonsetmerue lle	--|--------|-|-----⌫--|
es t come ntceu est que	--⌫|----⌫-|--|--|--|
n osn edessironsassinosmismes	-⌫-|-⌫|--------|---|--|-----|
liprimiereu oizk enossonnonses tdeplou ret	-|-------|-⌫--|-⌫|--|------|--⌫|-|----⌫|-|
carnosentrunsenla	--|--|------|-|-|
ualleied eplourensiquede tot es	------|-⌫|----|------|-|---⌫-|
uientsusceu quelibienaurosiob	----|--|--|--|-|--------|--|
uitb rie tensetsiestraa m pli z	--|-⌫--|---|-|-|--|---⌫-⌫---⌫|
d emaintesmiser esles	-⌫|------|-----⌫-|--|
nosuntapris cum	--|--|----|--|
uraiecho s ece s oitetnem ieslesparoll es	----|---⌫-⌫|-|-⌫--|-|-|-⌫--|--|------⌫-|
il neiz defe mm enulechosenen	-|---|-|--⌫--⌫|---|----|--|
e st plusu is	-⌫-|---|-⌫-|
ceuquilper auenturene selosen gestdel d el eit	--|-|-|--|-------|-|-|-----⌫---|--|-⌫--⌫--|
co rporeiens sens quil par roitenchosessentaulessin os	--⌫--------|---|-|-|---⌫---|-|-----|--------|-|-⌫-|
omespa uuen tousementd e	-|----⌫----⌫--------|-⌫|
lafin enl entreieq u ant om	-|--|-||------|-⌫-⌫--|-|
l iho m uit	-⌫|--⌫|--|
brieftens etpor	----|---|-|--|
c euq uil ne	-⌫-|-⌫|-|-|
moensfranchementuiu reenceuta ntpetitdespai cequi	----|----------|---⌫-|-|--|--⌫-|----||-----⌫-|--|
len treieet	|--⌫----|-|
l issuesidistilquil estoit raampl iz de	|----|-|---|-|-|-|-----|------⌫-|-|
demain tesmiser es uoireme ntestraampli zli ho mc	-|----⌫--|-----⌫-|-------⌫-|--|-------⌫|-|--⌫||
mi seres delcorset desmiseresdel	--⌫----|--|---|-|--|------|--|
c u er desmiseresest raam pli z	-⌫-⌫-|--|------|--|----⌫---⌫|
quant ildor tdesmiseresquant i l uellet	----|-|---⌫|--|------|----|-⌫|-----|
des m iseres	--|-⌫-----|
q u ilsetorstn ostre	-⌫|-|-|----|-⌫----|
siresmismesqui ne z	----|-----|--|--⌫|
u irg e neetquifutsens	-⌫---⌫-⌫-|-|--|--|---|
p e chietfutassibrief te nssorterre	-⌫-⌫----|--|---|----|--⌫-|--|----|
tens quil ifu tnefutmiessens maintes	---|-|-||--⌫|-|--|---|---|------|
caril ifut	--|-||--|
aw aitiez et	--⌫-----|-|
l a ide ngiez il	-⌫-⌫---⌫----|-|
trauill iezett ormentez	-------⌫--|-|-⌫-------|
cert esb ienpot soffer re	----⌫-|-⌫--|--|------⌫-|
ceste obedience porespu rgi er lacolpe	----|--------|--|----⌫---⌫-|-|----|
del a pri mierepr e ua ricaci onmais lidonsde la	-|-⌫|---⌫----|--⌫-⌫--⌫------⌫-|---|-|---|-|-|
g racen euintmie	-⌫---|-⌫|---|--|
ensicum lipec hiez car	---|--|-|---⌫---|--|
lipechi eztrespass at dun soulhom me	-|-----⌫-|--------⌫-||-|---|---⌫-|
damnacionde toz et li grace d e	--------|-|--|-|-|----|-⌫|
plusorspechiezeniustifiemen tet	------|------|-|-----------⌫|-|
certesm oltfutdel	-----|-⌫--|--|--|
totgriescilori gi nalspech iezqui nen	--|----|--|---⌫--⌫---|----⌫--|--|--|
entachatmiessolem e nt la p ersone	-------|---|-----⌫-⌫-|-|-⌫-----|
a s sil anature toteuo ies	-⌫-⌫-|-⌫|-----|------⌫--|
lipech iezperson elsest aun	-|----⌫--|------⌫--|--||-|
ch ascunplu s gries quantn o s	--⌫----|---⌫|----|----|-⌫-⌫|
l i uronsn osmen b resa rmesdefele nieal	-⌫-⌫----|-⌫-|---⌫-⌫--|-⌫---|-|----⌫--|-|
pechietch argiét iai ne mies	------|--⌫------|--|-|---|
sol eme nt del pec hietdenoz pereset	---⌫---⌫-|--|---⌫---|-|--|----|-|
den ozmismesma isas sidelnos tre	-|-⌫-|-----|--⌫-|--⌫-|--|---⌫--|
prop re lising ulerspechiez estassitres	----⌫-|-|----⌫----|------|--|---|---|
ce st cilpechiez qui fu tfaizelsig no r d e	|-⌫-|--|------|--|--⌫|---|-|---⌫--⌫|-⌫|
mai steitq uantli	---⌫----|-⌫---|-|
fellong e u ocisentatortloiuste	-----|-⌫-⌫|------||---|-|----|
e tquan tillo r escumenieies	-⌫|----⌫|-|--⌫|-----------|
mainsgett ar entelfilmismesdedeusicum tres	----|----⌫--⌫--|-|--|-----|-|--|-|--|---|
cruierho micide	-----|--⌫-----|
ke mo ntentl i	-|--⌫----|-⌫|
duip rimierenue rslotierz toteli	--|-⌫-----|----⌫-|-|----|---|-|
structure delmu nde empall itetfutausi	--------|--|--⌫--|------⌫-|-|--|---|
cum to t e e spauuereie	--|--⌫-⌫|-⌫---------|
encontrecestui	-------|-----|
pechietet abiempresfuren ttotes l escho ses	------|-||---|---|-----⌫|----|-⌫-|---⌫--|
reto rneies enlancienec onf usionancuens d es prin cesde	----⌫-----|-||------|-⌫---⌫----|------|-⌫-|----⌫--|-|
d ewastet totela	-⌫------|---|-|
terredelemperore tpreietet art	----|-||------|-⌫|-----|-|--|
u ns altres quie stdelc onsoil et de	-⌫-|-----|--|-⌫-|--|-⌫-----|-|-|
latauleloroi ocitper	-|----|-|--|---|--|
traison sonsoul filnesem ble t il	------|--|---|--|-|---⌫---⌫|-|
do nske liprimiers	--⌫-|-|-|-------|
assicuminnocen senuers lo secontensi sunttuitpechiet	---|--|-------⌫|-----|-|-----|---|---|---|------|
enuers c estui pec hi etetto teuoies	-----|-⌫----|---⌫--⌫-|-|--⌫------|
cestpechiet soffriten	---|------|------|-|
mism es cilquilui	----⌫-|--|--|--|
mismesfistpechiet por c eu qu	-----|---|------|--|-⌫-|-|
il delpechiet	-|--|------|
damnestlopechiet	------|-|------|
per c estpechietfutdest r uizlipechiezoriginal s	--|-⌫--|------|--|----⌫-⌫--|-|------|--------⌫|
etlipersonelset lisingul iersmismes	-|-|--------|-|-|------⌫---|-----|
futdestruiz	--|-------|
p er lui mismes	-⌫-|--|-----|
grantpechiet pui	----|------|--|
iup rouerquelialtre d u iqui	-|-⌫----|--|-|----|-⌫-⌫|--|
pl uspeti tsuntfunt	--⌫-|----⌫|---|---|
ab lasmeretuoiz c i	|-⌫-----|-|---|-⌫|
la prouance	-|-------|
i lportatlo pechietde	-⌫|-----|-|------|-|
mai ntegentetpo r t re s par sors	---⌫--|---|-|--⌫|-⌫--⌫-⌫---⌫---|
cheissentenperdicion pere sdis t il	--------|-|--------|----⌫|---⌫|-|
pardon elor caril ne	------⌫|--|--|-|-|
seuentquil fac entta parolle	-----|-|-|---⌫--|-|------|
u oletch iersireque	-⌫---|--⌫--|---|--|
rapeleien e puetestrene	-------|-⌫|---|----|-|
neretorstmiesueude atian zfacet	-|------|---|----||-|--⌫|----|
ce uporcai tulas	--⌫|--|--|-||-|
tra miso r eswarde	---⌫--|-⌫|------|
l esoyuresnostresignor	-⌫-|-----|-----|-----|
et lesmeruelle squil a t	-|--|--------⌫|-|-|-⌫|
faite s sorterre ilfutbatuzde scorgi eies	-----⌫|--|----|-|--|----||-⌫------⌫---|
ilfut coronez	-|--|------|
despines clofichiez	|------|---------|
de closafichiezalacro ixsoll ez	-|---|-------||-|---⌫-|----⌫-|
d e lai dengeset toteuoies dedenz	-⌫|---⌫-----|-|--------|-----|
do lorssi d istilper es	--⌫---|-|-⌫--|-|---⌫-|
pardone lor dunepartsifurent les	------|--||--|---|-|-----|--|
granz misere sdelcors	----|------⌫|--|---|
altre par tfut li	----|---⌫|--|-|
granz m isericordedelcuer	----|-⌫---------|--|---|
dune partfurent	|--|---|-----|
les d o lors et daltr e	--|-⌫-⌫---|-||----⌫|
partfure n t les	---|----⌫-⌫|--|
merci zd une partfut li	-----⌫||--|---|--|-|
oylesdesio issementetd altr e	----||----⌫-------|-||----⌫|
partf ur entles	---|-⌫--⌫--|--|
gouttes desanc que	------|-|---|--|
d ec orroientent erre le smis ericordes	-⌫--⌫-------|-|-⌫---|--⌫|---⌫--------|
nostresignorestoien tmoltes	-----|-----|-------⌫|-----|
et les miseres nostresignor e stoient	-|--|------|-----|-----|-⌫------|
assi moltesuenqueren tdons	---|-----|---------⌫|---|
lesmiseresle s misericordesou	--|------|--⌫|-----------|-|
lesmis eri co rdeslesmiseres	--|---⌫---⌫--⌫---|--|------|
sormoncentc hi er sire	---------|-⌫--⌫-|---|
tes ancienesmisericor des	--|-------|---------⌫--|
sormoncetli	--------|-|
sapi encelo mali cegranzest	----⌫---|-|----⌫-|----|--|
uoireme ntlorfalenie mais sire	-------⌫-|--|------|---|---|
tapitiez nenestilledon splusgranz	-|-----|--|--|---|---⌫|---|----|
certes awil en	-----|---|-|
t otesma nieres	-⌫---|--⌫-----|
neme ren tom donsma lporbienperceu	-|-|---⌫|-|---|--⌫|--|---|--|--|
quil fuire nt	-|-|-----⌫-|
fossea mon	----||--|
a inrmecertes	-⌫----|-----|
uoiremen tf uirentil lafo ssed	--------⌫|-⌫-----|-|-|--⌫--||
impaciencequan t il pl usorsoquesonsde	---------|----⌫|-|--⌫----|-------|-|
desdegaminist reue n t mais	-----|-------⌫----⌫-⌫|---|
quemon tet	--|---⌫--|
lorfosseenuers	--|----|-----|
det am a nsuetumequant	-|-⌫|-⌫-⌫-------|----|
il rend ir ent	-|----⌫--⌫--|
bien sifu irent il la	---|-|--⌫----|-|-|
fosse maisla chariteitn epuet	----|---|-|--------|-⌫|---|
o m mie sta rier n e n etrab uchetmiesille	-⌫|---⌫|--⌫---|-⌫|-⌫|----⌫----|---|---|
ne chi etmi esen	-|---⌫-|--⌫-|-|
la fossec a rille acumblet les	-|----|-⌫-⌫|---|-------|--|
bien sporles m alsque n li	----⌫|--|--|-⌫--|-|-⌫|-|
iai nauignet qu eles mou ssesquemurir doient estigne nt	--||------|--⌫|--|---⌫---|--|----|-----|-------⌫-|
lugnementdesuauite it	|-------|-|-------⌫-|
qui detoncorscaren aierti	--|-|--|---|--|-|---|-|
li sainzd e	-|----|-⌫|
misericordee t l ilarges	----------|-⌫|-⌫|-----|
rachatemenz	----------|
les moussesqu emur irdoient	--|------|--⌫|---⌫-|-----|
suntlesmisere s les mousses	---|--|------⌫|--|------|
quemurirdoient sunt leslaidenges	--|----|-----|---|--|--------|
etlia ffeit	-|-|-⌫----|
gener acionsaispreetmaluaise	-----⌫-----|-----|-|-------|
tere ndi t	-|--⌫---⌫|
chiersire quefesistu la imismesoutueste ndoies	----|---|--|----|-|--⌫|-----|-|-|----⌫-----|
enlacroixet la iouent	-|-|----|-|--⌫|-|-||
ociiue tsipreas	------⌫|-|----|
tu a tomp ere	-||--|-⌫--|
de is per esp ardonelor carilne	--⌫-|---⌫-|-⌫-----|--|--|-|-|
seu ent quilfa cent	---⌫--|-|-|--⌫---|
oc umes larges chie rsire	|-⌫-|-|-----|----⌫|---|
por pardonerocum	--|-------||--|
estgranzli mult itude nedeta douc eoro	--|----|-|----⌫-----⌫-|-|-|----⌫--||
eslonzi eies te spens esdenospenseset cum	-------⌫---|--⌫|----⌫-|-|--|-----|-|--|
e stfermeie	-⌫-|------|
tamiseric ordenessorlesfellonsmismesmerui llose	-|-------⌫---|--|--|--|------|-----|-----⌫----|
ci lpre i etetd ist asonper epardonelor	--⌫|---⌫-⌫-|-|-⌫--||--|---⌫|------|--|
etli g euhuchent	-|-|-⌫-|------|
crucifielo pl usestoientmolleset douces ses	-------|-|--⌫-|-------|-----|-|-----|--|
parollesque	-------|--|
olesetcilestoie ntdart	---|-|--|------⌫-|---|
o charitezpaciens	|-------|------|
etco m paciens charitez pacie ns soffestma is ch ar it ezbenigne	-|--⌫-⌫------|-------|-----⌫-|------|--⌫-|--⌫--⌫--⌫-|------|
estlicom blesnetel aie r	--|-|---⌫---|-|-|-⌫---⌫|
mies uenquere l omalc	---|-------|-⌫|--||
charitez habu ndanzmaislomal sor monterelb i enes t	-------|----⌫----|---|-|--|---⌫-----|-|-⌫-⌫-|--⌫|
charitez sorhab undanz	-------|------⌫-----|
l is o ulepacience	-⌫|-⌫-⌫--|-------|
d ede unenamonat	-⌫|--⌫|--|-----|
miesl esgeusapenitenc e	---|-⌫-|---||--------⌫|
anzlesa m onatassi sa benignetez	--|--|-⌫-⌫---|---|-|---------|
ca rlibenignecharitezaimet ceosmismes cui	--⌫|-|------|-------|----|---|-----|--|
elesoffret	--|------|
etardanme ntlesai m metlipacien z	-|-------⌫-|--|--⌫-⌫--|-|------⌫|
charteit faits emb l an t	-------|---|-⌫---⌫-⌫--⌫|
l i facetmaletsiatent	-⌫|----|--|-|-|----|
etsostientlo pechor	-|-------|-|-----|
maislibenigne	---|-|------|
lotraitetselfait	-|----|-|-||---|
conuertird el	--------|-⌫||
essarrancedesauoie uo sestespie res	---------|-|-|---|--⌫|----|---⌫--|
o uos geumaisuosf eriz	|--|--|---|--|-⌫---|
latresfarmepiered ontlisuen s depitie tres one t	-|---|----|----|-⌫--|-|----⌫|-|-----⌫|---⌫---⌫|
olesde pitietdecortcomentabouerr as	---|-|-----|-----|-----|-------⌫-|
tuchiers i receo s	-|----|-⌫-⌫-|---⌫|
qui desirentestreraamplit del rut d e	--|-------|----|-------|--|--|-⌫|
tondelei tquanttuceos	--|-----⌫|----|-|---|
mismesqui tecr ucefientarro se sensi de	-----|--|-|--⌫-------|----⌫--⌫|---|-|
l oledetamise r icorde	|--|-|-|----⌫-⌫-----|
aouertem e ntapertqu ece ste pas sions esttrespossanz por	--------⌫-⌫-|----|--⌫|--⌫--|---⌫----|--|---|------|--|
e spu siertotesmani eres	-⌫---⌫---|----|----⌫---|
depechiezmaisquise i ts i lle soi t	-|------|---|--|--⌫-⌫||-⌫--|---⌫|
or doneieamiestille	-|-----||-|--|---|
doneiecara altru i nepotille	-----|--||-----⌫|-|--|---|
estredone iepuistille do ns	----|----⌫-|----|---|--⌫-|
estre doneieal ange lenenil	----|-----|||----⌫-|----|
car ilnen otmestieret aldiaule	--|-|--|-|------|-|-|-----|
p uist ille dons estre	-⌫---|---|---|----|
d oneie neniluoirqu iln e	-⌫----|----|---|-|-|-⌫|
puetm iesreleu erilne uint	---|-⌫--|-----⌫-|-|-|---|
mie enlas embl ancedesangeles	--|-|-|-⌫----⌫---|--|------|
eti ainen auig netc umdiet	-|-⌫-|--|----⌫--||-|---|
enlase mbl ancedes diaules anz	-|-|--⌫---⌫---|--|------|--|
uintenlasemblancedeshommes	---|-|-|--------|--|-----|
habit fut atrouez sicum hom ilaniantit	----|--|------|-|--|--|-|-------|
luimisme spr ennanz	--|-----⌫|--⌫-----|
lafo rm edelserfi lestoitfilzetse	-|--⌫--⌫|--|---|-⌫|-----|---|-|-|
d eui ntsi cu m sersetne	-⌫---⌫-|-|--⌫|---|-|-|
pristmiesol em e nt	----|--|---⌫--⌫-⌫-|
d else rfpor	-⌫-|--⌫-|--|
es treso gez	--⌫--|--⌫--|
assi delma lserf	---|--|--⌫|---|
por ceuqui l batuz	--|--|-|-⌫|----|
fust etdel	---|-|--|
serf delpechie tpor ceuquil	---|--|------⌫|--|--|-|-|
lapo e nepaest sorceuqu	-|--⌫-⌫-|----|--|--|-|
ilco lpaule snen	-|--⌫------⌫|--|
e stoitenla	-⌫----|-|-|
se mb lancecedist des	--⌫--⌫----|-|---|--|
hommesetne	-----|-|-|
miedelomme	--|-||---|
carli primiers homnef utmie screez	--|-|-------|--|-|-⌫-|---⌫|----|
enchardepechiet nen	-|---|-|------|--|
en semblancedechard epech iet mai crizseploniat	-|--------|-|---|-⌫|----⌫--|--|---|-|------|
p arfont en	-⌫-----|-|
t otes lesmiseresdeshom mespor ceuquecil subtil	-⌫---|--|------|--|---⌫--|--|--|--|--|-----|
oylzdel diaulenen	---|--|-----|--|
a perceustcestgrant sacrement	-⌫-------|---|----|--------|
de pitiet etpo r ceufut il	-|-----|-|--⌫|--|--|-|
at rouez per h a bitetpe r	--⌫----|--|-⌫-⌫--|-|--⌫|
si cumho mnenen luitant	-|--|--⌫|--|-|--|---|
cu maldat den a tureapertient	--⌫|-|--|-|-⌫-⌫---|--------|
nenaparu t	--|-----⌫|
nulssignes	---|-----|
de sin gularite itce stde	-|---⌫--------⌫-||-⌫-|-|
e tporceuqu il ensi futatrouez	-⌫|--|--|-|-|---|--|------|
si fut ilc rucifiez apoc de	-|--|-|-⌫-------||--|-|
genttoteuoiessaourit porceu quancunegent	---|--------||-----|--|--|-|-----|---|
fuss e ntquen	----⌫-⌫-|-|-|
luicrusentetasaltr esfut	--|------|-|-|----⌫-|--|
recel ezcar	-----⌫-|--|
silc onut lau sse nt	|-|-⌫---||--⌫---⌫-|
i ailosignor deglo r e naussent	-⌫-|-|-----|-|---⌫-⌫||------|
cr ucifiiét etpor ceu mist	--⌫--------|-|--|--|---|
illan onsachanc eauoccelsingulerpec hietquil	-|-|-⌫-|-------⌫|---|--|-------|---⌫---|-|-|
desoza n cune	----|-⌫-⌫---|
umbredeius tis e puistauoi r mercit	----|-|---⌫---⌫|----|----⌫|-----|
desn onsachanz	--|-⌫-|------|
do uschoses	--⌫-|-----|
n osauo itlaié tenh eritage	-⌫-|---⌫-|-----⌫|-|-⌫------|
ci la nciensadansquided auant la f aceonde deu	--⌫|-⌫-----|----|--|-|-⌫----|-|-⌫----|-|--|
cest traualetd olor	|--|-----|-|-⌫---|
lo trauale n	-|-----|-⌫|
soffrancece unenauoitil	--------|--⌫|--|----|-|
miesoite npar ad isquantil	---|--|-⌫|---⌫--⌫-|----|-|
coma nd ez li fut	----⌫--⌫-|-|--|
dist nos tresiresqu illoyuraste tqu	---|---⌫--|----|-|-||------|-⌫|-|
i llo war des tcestoyuras tdeleitaulement etwardestlo	-⌫|-|---⌫---⌫||--|------⌫|-------------|-|------|-|
feomentasonuesetau esses	------||--|--|-||-⌫-|--|
orslo traualetla	--|-|-----|-|-|
d oloresw ardat	-⌫---|---⌫----|
nost res i resporousaliureren	----⌫-|-⌫-⌫--|--|--||-----|-|
lorma insmaisanceo sporlui mismes	--|--⌫--|---|-----⌫|--|--|-----|
aliurerenlormains	|-----|-|--|----|
fichiezsuisdist ileldelamer	------|---|---|-|-|-|-|--|
etles auues entrerenten iesqu a monainrmeeswardedist	-|--|----|--------|--⌫----||--|-----|------|---|
i l enunaltre	-⌫|-|-|----|
le ua lpere	--⌫|-⌫|---|
monhumilit eitet m o n	--|-------⌫--|-|-⌫-⌫|
traualcariu	-----|--|-|
suispo u re s	---|--⌫-⌫--⌫|
et ens traualsde	-|--|------|-|
maiuuentuteil trauillat	-|--------|-|--------|
uoirement sost enanz	--------|----⌫----|
etses mainsseru irentens traualzor eswardece	-|--|----|----⌫----|--|------|-|------|-|
qu es tqui l	-|--⌫|-|-⌫|
mismesdist del t raual	-----|---|--|-⌫----|
tui tqui trespas sezperla	---⌫|--|-------⌫--|--|-|
eswardezetsi uoiz si nuled olors	-------|-|-|---|-|---|-⌫----|
e stsi cum li	-⌫-|-|--|-|
meiedolorsilportat	---|-----|-|-----|
uraiement nozlangorset	--------|--|------|-|
nozdolorsilf ut	--|-----|-|-⌫-|
bienhomdedol orspour ese t dollanztemptezpertot	---|--|-|---⌫--|----⌫-|-⌫|------|------|--|--|
sensqued epechiet	---|--|-⌫|------|
ilote nsauieoyure p eneuouseet	-|-|-⌫|-|--|----|-⌫-------|-|
sostenutpassiondo lerouseendre mentresquilemme ila	-------|------|--⌫------|-----⌫--------|-|----⌫|-|
terreouureu e t	----|------⌫-⌫|
nost r esalueteit porceuneno bliera i a maista n t	----⌫-⌫|--------|--|--|--|-⌫-----|-⌫-⌫---|--⌫-⌫|
cum iuuiuer aiceos	--|-|-----⌫-|---|
traual squ il	------⌫|-|-|
soffritemproi c hier loulassementqu	------|-|----⌫-⌫---|--|--------|-|
ilsoffritenaler	-|------|-|---|
zaietlailestemptac ions en la	--|-|--|--|-------⌫---|-|-|
ieune lesuallesen	----|--|-----|-|
or isonet les	--⌫---|-|--|
larmesqui lplora tenlaco mp assionquilot	-----|-|-⌫|-----⌫|-|-|--⌫--⌫-----|-|-|-|
mat terai mie	---⌫----|--|
assienoblises dolors	---|-|---|--|-----|
etlesl az quen lidi stle sderac hemenz	-|--|-⌫-|-|-|-|--⌫-|--⌫|-----⌫-----|
e tlescollei e sl esdegabemenzet l esclos	-⌫|--|------⌫-⌫|-⌫-|---------|-|-⌫-|---|
altreschosessemblanz ace zque perluiet	-----|-----|-------||--⌫|--|--|--|-|
sorl uitrespas serent	--|-⌫-|-------⌫-----|
tres h abundanment altrementdemi requisli	---|-⌫----------|--------|-|-|-----|-|
sansdeli ustequi	---|--|-⌫---|--|
respa n duzests or terren eserai	-----⌫-⌫--|--|-⌫-|----|-⌫|----|
miedeliures	--|-------|
tre s crui er malicedesg eusquantiua	---⌫|----⌫-|-----|--|-⌫--|----|-||
chariteitnerent gra cesquant	--------|-|---|---⌫--|----|
i ual espir it	-⌫|||-----⌫-|
serai desdignousq uanti ulo	----|---------|-⌫---|-⌫|-|
san cdeltestamen ttarrai a or t	---⌫|--|--------⌫|-----||--⌫|
et d epass er ailofild edeu	-|-⌫-----⌫--⌫-|-|--|-⌫|--|
plusorgent suntquitraualetdolor	-----|---|---|--|-----|-|----|
sof frentm ais por ceuq u	---⌫----|-⌫--|--|--|-⌫|
denece ss iteitlofuntetnemie	-|----⌫--⌫----|-|---|-|-|--|
de uol u nteit si ne suntil	-|---⌫-⌫----|-|-|---|-|
m ies semblanta l ymage n e delf il dedieu	-⌫--|-------|||-----⌫-⌫|--|-⌫-|-|---|
unealtregent su ntqui	--|----|---|--⌫-|--|
asse zsoff rent et	----⌫|----⌫---|-|
ceuquilsoffr en tsoffrent	--|-|-|-----⌫--⌫|-------|
deuolu nteit mais	-|----⌫----|---|
cist nenunt n e partne	---|--|--|-⌫|---|-|
p artie en	-⌫----|-|
ceste pa rolle totenuitu elle t	----|--⌫----|---|---|-⌫----⌫|
liluxuriosetneue lletmie ssol ementpacianmentmesnes	-|-------|-|-|--⌫---|---⌫|---⌫----|---------|--|--|
a ssi uolentiers	-⌫--|---------|
por ceu qu	--|--|-|
ilsonde leitp uist	-|--|--⌫---|-⌫---|
aa mpl irliroberesuellet ass i	--⌫---⌫-|-|------|-----|---⌫|
tozuestizde	--|-----|-|
f aireproieetli leres uellet per	-⌫---|----|-|-|----|-----|--|
altruima isonm ais	-----|--⌫---|-⌫--|
tu tcistsu ntmol t	--⌫|---|--⌫-|---⌫|
eslon zié tdeltraualet	-----⌫----⌫|--|-----|-|
deladolorcu inostresires eswardat	-|-|----|--⌫|-----|----|-------|
ma is lihommedebone	--⌫-|-|----|-|---|
uolunteitquide loru olunteit	--------|--|-|--|-⌫-------|
untm ueies	--|-⌫----|
lor richecesempouertei t	--|-------|-|--------⌫|
ouquile srichece smismesquilun quesne n	-|--|--⌫|-------⌫|-----|-|-|--⌫---|--⌫|
orent un t	----|--⌫|
despe tiétassi	-----⌫----|---|
cumillesussentauesquitot	--|-|--|-----|---|--|--|
afaitun tdewe rpit	|---|--⌫|----⌫---|
porcristet	--|----|-|
enseuentt ot ce leparto u ilen	-------|-⌫-|--⌫-|---|-⌫|-|-|
tel e m aniere	---⌫|-⌫-----|
d enseutesa piu ce rtementquer li	|------|--⌫|-|--⌫------|---|-|
passi onsdelsalueor etlisemblance de	-----⌫--|--|------|-|-|--------|-|
sonhumani teits unt	--|------⌫---|-⌫--|
trespasseit enmonproutcarcist est li	----------|-|--|----|--|---|--|-|
sauors etli	-----|-|-|
fruzetd el	---|-|-⌫-|
traualet de	-----|-|-|
ores wardepordeucum meruillosem ents estenuers	-|--⌫----|--|--|--|-----------⌫--||--|-----|
t i contenue	-⌫|-------|
cel es ouera in emaiestezdetotes le s altres criat ures ques unt	---⌫|-⌫-----⌫--⌫|-------|-|----|--⌫|-----|-----⌫---|--|-⌫--|
cie letenterredistil	---⌫|-|-|----|---|-|
furent faites etquels	-----|-----|-|----|
plus ligie requeparolle mais	---|-----⌫-|--|------|---|
cude stuquil persole	----⌫|-|-|-|--|---|
te refesista pr esceuqu	-|-------|-⌫--⌫-|--|-|
t rente trois	-⌫----|----|
anzfutueuz s or	--|--|---|-⌫-|
terreet c onuersat entreleshom mes e nsiq u	----|-|-⌫-------|----|--|---⌫--|-⌫----⌫|
ses oyuresot chalon ge ors	--|-----|-|------⌫--⌫--|
etensesparolles awaitors nenenot	-|-|--|-------|-------|-|--|-|
ilpoistrecliner	-|----|-------|
sonchief et ceu	--|----|-|--|
p orcaicarliparolle estoi tde s s e nduede	-⌫-|--|--|-|------|-----⌫|--⌫-⌫-⌫-⌫---|-|
s a subtiliteitetseauoitprisungrosuestemen t	-⌫|----------|-|-|----|---|-|---|--------⌫|
el e estoit fa it e	--⌫|-----|--⌫--⌫|
porc eu sentremetoitdeplusgrosse	--|-⌫-||----------|-|---|-----|
oyu re tot ensicumli	---⌫-|--|---|--|-|
p ensede lommeseuest	-⌫---|-||---|-|---|
decorpore iene	-|-------⌫---|
uoixsenss o n amanriss emen tetdauantlauoixet apres	---|---|-⌫-⌫|--------⌫----⌫|-|-----|-|---|-|----|
ensi pristlifilzdedeu ch ar sens	---|----|-|---|-|--|--⌫-|---|
c onmistione tsens	-⌫--------|-⌫|---|
amanrissementetdauant	------------|-|-----|
lachareta pres lachar ilestniant	-|---|-|-⌫---|-|---|-|--|----|
e naie rlo peire m aisnozmainz traitarent cide	-⌫|---⌫|-|----|-⌫--|--|----|---------|-|-|
laparolle de uie	-|------|-|--|
ets ianosoilz ceuquedeslen commencement	-|-⌫||--|---|--|--|--||--⌫-----------|
porceua uoitaune ita	--|--|-⌫---|----⌫-||
parollechar trespure etainrmetre s	------|---|---|---|-|-----|---⌫|
saintesies toi en tattempre i esl es oyures	-----|-|--⌫---⌫--⌫|--------⌫-⌫-|-⌫-|-----|
de son cors	-|--|---|
dun e par tpor ceu	|--⌫|---⌫|--|--|
quile stoit	-|-|-⌫----|
sapienceeti usti se d	-------|-|-⌫----⌫-||
alt repartp orceuquildeltot	---⌫-|---|-⌫-|--|-|-|--|--|
en totnenauoit	-|--|--|----|
nuleloy ensesmen bres qu a	---|--|-|--|---⌫---|-||
fustcontrairemai s li meie	---|--------|---⌫|-|---|
p arollenenestne sapien cene	-⌫-----|--|--|-|------⌫-|-|
iustise ett oteuoiespue ten le ireceoure	------|-|-⌫-------|---⌫|-|--⌫|-------|
etauoir lespuetetdefail li r	-|----|--|---|-|------⌫--⌫|
li pueent et	-|-----|-|
a ldefalle me nt	-⌫|-------⌫--⌫-|
uienti lle	----|-⌫--|
plusligierementpluspriueiechos enosestde	---|----------|---|------|----⌫|--|--|-|
seru iras uic es	----⌫-|-|---⌫-|
de nostre ch ar ke nesoi td ordener	-|-----|--⌫-|-|-|---⌫||------|
etderast regn ere	-|-|----⌫----⌫--|
se soyuresetsestraualscar li	--⌫|-----|-|--|------|--|-|
ai ges de l	--⌫--|-||
o mm e estenclinte	-⌫--⌫|--|-------|
mal dessa iuuentute alanz ases	--|--|-|--------|----||--|
de leze ntreles f laie lset	--⌫--|-⌫---|--|-⌫----⌫-|-|
lesespeies	--|------|
perildemort	----|-|---|
no strepensees tnostre	--⌫---|----|--⌫|-----|
paro lleetbi enaur osestci l	----⌫--|-|--⌫-----⌫-|--|--⌫|
