seimme peti t queut	-----|----⌫|----|
etcoif etil q ueuoscerro i z	-|--|-⌫-|-|-⌫-|--|-----⌫-⌫|
le cons eiluostr e mere e tmoi	-|----⌫--|-----⌫|---|-⌫|--|
don td escendezet il de s cent	---⌫|-⌫-------|-|-|--⌫-⌫---|
etuns uaslle zsoncheualprent	-|--|------⌫|--|-----|----|
desdeusq uifurentuenu la	--|---|-⌫-|-----|---|-|
autresloudesar ma	-----|--|-----⌫-|
sireme st en	-|----⌫-|-|
laro be sot e	-|--⌫-|---⌫|
esreuelins e ten lac ote	-|-------|-⌫|-|-|-⌫--|
qui fu malfaiteetma ltaillie e	--|-|-------|-|--⌫--------⌫|
quesamereli o tba illiee	--|-|---|-|-⌫|--⌫-----|
pr eudo m sefist chaucier	--⌫----⌫|-|---|-------|
les esperon strenchanz	--|-------⌫|--------|
qu eliuasllezot aportez	--⌫|-|------|-|------|
et s estsorloucheualmontez	-||--|--|--|-----|-----|
et l escuparla	-||---|--|-|
guige pant	----|---|
a soncolet lala nc e prant	|--|--|-|-|--⌫--⌫|----|
et ditamis	-|--|---|
oreaprenez	--|------|
darmesetgardeuos p renez	|----|-|----|--|-⌫----|
c ommant e ndoit lance	-⌫-----|-⌫|---|----|
e tcheual poin dree tre ten ir	-⌫|-----|----⌫--|-⌫|--⌫---⌫-|
lorsadesploieel	---||--------||
seliaprentet	-|-|-----|-|
li ensei gne	-|-----⌫--|
commantondo i tsones cupra ndre	------|-|--⌫-⌫|--|--⌫-|---⌫---|
unpetitl ouf ait auantpandr e	-|----|-⌫-|-⌫--|----|-----⌫|
t an tcalc oldel cheual loioi nt	-⌫--⌫-|-|-⌫-|--|-----|-|---⌫-|
pu i smetlal ance	--⌫-⌫|--|-|-⌫---|
elfautreet poin t	-|-----|-|----⌫|
lo c he ualquiyym ars	-|-⌫--⌫--|--|-|-⌫--|
quenusplus uolentie rsnaloit	--|--|---|--------⌫-||----|
plus tostne de	---|---|-|-|
gregn o ruertu	-----⌫-⌫|----|
lip reudomsot mout	-|-⌫-----|--|---|
et de lc heualet dela	-|--⌫|-⌫----|-|-|-|
aprise ns enfance	----|-⌫||------|
s i p lotmo ut a uuaslle tetsist	-⌫|-⌫--|--⌫-|-⌫|------⌫|-|---|
trestotqua nquelipre udo mfi st	------|---⌫---|-|---⌫---⌫|--⌫-|
qan tli p rodomotfaitson	---⌫|-|-⌫----|-|---|--|
deuant leuasll etalret o r	-----|-|-----⌫-|-|---⌫-⌫|
quibiensenotgard edonee	--|---||-|-|----⌫|----|
sen repaire	|-|------|
lan c eleuee	---⌫-⌫|----|
etdemandeli	-|------|-|
amis saur i ez uos issi	---|----⌫-⌫-|--|---|
l escuetla	|---|-|-|
lance me ner	----|--⌫--|
po indreetram ener	--⌫----|-|---⌫---|
respont tot ade liure	------|--||--⌫----|
quiln eqei roit iaio rplu sui u re	-|-|-⌫|---⌫---|-|--⌫|---⌫|--⌫-⌫-|
ne terre ne	-|----|-|
auoir ne ust	----||-⌫--|
mesquen si	----|--⌫-|
faire lo u seust	----|--⌫|----|
ceq enneset	-||-|-|--|
puet enaprend re	---|-|------⌫-|
quiiuiautpene r	--||----|----⌫|
etentendre	-|-------|
faitli preudombi axamis cheuali ers	---|-|------|--⌫-|---|-------⌫--|
ilcouuienta tozle smestiers	-|-------||--|--⌫|-------|
etcu er et	-|--⌫-|-|
parce st roispueten	--|--⌫|-⌫---|---|-|
etq antuos on quesnel feistes	-|-⌫--|--|--⌫---|-||------|
nautr u i fe re ne louueistes	|----⌫-⌫|--⌫-|-|--|------|
fer enelousau ez	---⌫|-|--|---⌫-|
hontene blasmeni auez	----|-|-----|||---|
maisseuosnenapren i eez	---|-|--||-|-----⌫-⌫--|
honteetreprocheiauriee z	----|-|-------||------⌫|
lorslo fait li preud ommonter	---|-|---|-|-----⌫-|-----|
etilcommenca	-|-|-------|
si ad roi tla lanceet lescu	-||-⌫---⌫|-|----|-||---|
coms ileust	--||-|---|
t o ziorzuescu	-⌫-⌫|---|----|
e n to rnoiemenzetengue res	-⌫|--⌫--------|-|-|---⌫--|
et alépar totesl es terres	-|---|--|----|-⌫-|-----|
qerant bataille e tauent ure	-----|-------|-⌫|-----⌫--|
carilliuenoitde n ature	--|-|-|-----|-|-⌫----|
etqa ntnatureli ap rant	-|--⌫-|-----|-|--⌫---|
etlic uersdelto ti	-|-|-⌫---|--|--⌫||
nelipuetriensestregreuaine	-|-|---|----|----|-------|
la ounatureetcuerssepaine	-|-|-----|-|----|-|----|
par c esyytan tbienlou	--|-⌫-|-|---⌫|---|--|
queau preudomemout pla isoit	--|-|-------|---|---⌫----|
etqu ildis oitenson cora ge	-|-|-|---⌫--|-|--|----⌫-|
que sils e fu sttot	--||-|-⌫|--⌫-|--|
da rmespene zetentremis	|-⌫---|----⌫|-|-------|
ilas sezbien apris	-|--⌫--|---|----|
qan t l iua sllez	---⌫|-⌫|--⌫----|
ot fetsontor	-|--|--|--|
deuan tloupreudome alretor	-----⌫|--|-------|-|----|
lan celeueesen	---⌫-|----||-|
r ep air e	-⌫--⌫---⌫|
si comilli otueufaire	-|--|-|-|-|--|----|
et ditsire ai loie	-|--|---|-|-|-|
cuidiez uos q u eia m est ierm	------|--|-⌫-⌫|-|-⌫---⌫--||
paine se i emetreliu oil	----|-|-⌫|----|||-⌫--|
o nquesrienn e u ire ntmi	-⌫----|---|-⌫|-⌫---⌫-|-|
dontietel couoitisee usse	---|-|--|--------|-⌫---|
mout uou d roieqei enseus se	---|---⌫-⌫---|-||-|----⌫-|
aut retantcom	---⌫-----|--|
uos en sauez	--|-|----|
faitlipreud ommout	---|-|-----⌫-|---|
en sau roi z	-|---⌫---⌫|
iamarcus en conenauroiz	-|--|---⌫--⌫--|-|-----|
lipreudomparyy foiz monta	-|------|--|-|---|----|
partroisfo iz darmeslimostra	--|----|--⌫-||----|-|-----|
tre stot qanqe mostrer lensot	---⌫---|----|------||-|--|
et qantassez	-|---|----|
moustre ́ lenot	-------⌫||-|-|
e tpartroisfoizmonterloufist	-⌫|--|----|---|-----|--|---|
ala de erai n eli dist	|-|--⌫----⌫-⌫|-|---|
amiss euosenco ntrieez	---|-⌫|--|----⌫------|
uncheu alierqu eferieez	-|----⌫----|--⌫|------|
me fer oit i e lreferroi e	-|---⌫--|-⌫||--------⌫|
et se uostr e lance p ecoie	-|-|-----⌫|----|-⌫----|
n iauroitil plu s	||-----|-|---⌫|
maiscas po i nzli	----|-|--⌫-⌫-|-|
corro ie sus	-----⌫-|--|
feroi z uosmie	-----⌫|--|--|
do ncpor escre mie	--⌫-|--|-----⌫--|
delespee lou	-||----|--|
doi zr eq erre	---⌫|-⌫--⌫---|
etlespeegiteraterre	-||----|----||----|
emilouchamp ofraiteodroite	--|--|----||-----||-----|
et lipreudomqui mou t	-|-|------|--|---⌫|
d eluienseign e retaprendre	-⌫|--|-------⌫-⌫|-|-------|
qiil se sache bi ende sfendre	-|-|-|----|--⌫-|--⌫------|
al espees e n	||----||-⌫|
etenua irse leuseni ert	-|----⌫-|-|---|-|-⌫--|
lorsamaina	---||---||
lespeemis e	|----|---⌫|
amisfait ilen itelgui se	---|---|-|-|---|---⌫-|
uosdeffe ndrez	--|-----⌫----|
senu osassaut	|-|-⌫-|-----|
siresedexmesa ut	---|-|--|-|--⌫-|
nesetnushom tantcom ie faz	-|--|--|--|---|--|-|--|
borri axetastaleua z	-----⌫-|-|-|------⌫|
chi esma me reen apris	---⌫-|-|--⌫-|-|----|
tantq u es ouuenten suilass ez	-----⌫-⌫|-⌫-----|-|--|----⌫-|
do ntalons huime sa l	--⌫-|----|--|--⌫|||
faitlipreudomie	---|-|------|-|
aur oizcuiqu ilanuit	---⌫--|----|-|----|
oste lsanzu i lenieanuit	----⌫|---|-⌫-⌫----|----|
lorssenuontandui	---||-|---|----|
coste ac oste	----||-⌫---|
etliua sllez dist a	-|-|--⌫----|---||
siremamer emenseigna	---|-|---⌫||-------|
c auoc home nalai sseia	|---|---||----⌫--|-|
ne c o mpaigniealui neusse	-|-⌫-⌫-------||--||----|
grammentque	-------|--|
sonn onne se usse	--|-⌫-|-|--⌫---|
etselemense ignasauo ir	-|-|-||----⌫---|----⌫-|
ie uoil le uost re non sau oir	-|---|-|----⌫-|--|---⌫--|
biaxdouzamisfet	---|---|---|--|
li pre u dom	-|---⌫-⌫--|
gronem enzde grohoz ai	------⌫--|-|-----|-|
ens iiusca	---⌫|---||
senuie nent	|-|---⌫---|
et m ain amaina ndu isetienent	-|-⌫--||---|-⌫---⌫|-|------|
a lamonte edundegre	|-|-----⌫||-|----|
uintunsuaslleztotdesongre	---|--|------|--|-|--|--|
quiaportaun mantelcort	--|-----|-|-----|---|
louual let afubleren	--|---⌫--|------|-|
qenpreslouchautnelipreist	|-----|--|----|-|-|-----|
fro i dure q ui	---⌫-⌫---|-⌫-|
rich es maisons	----⌫-|------|
be lesetgr anz	--⌫--|-|--⌫--|
otli preudometbiax serianz	-|-|------|-|---|------|
et limangiers fuconreez	-|-|-------|-|------|
b i en con re ez	-⌫-⌫-|---⌫--⌫-|
silau erentlicheualier	-|---⌫----|-|--------|
puis si sasi strentauma ngier	---|-||---⌫-----|-|--⌫----|
etli preudom	-|-|------|
lez luiassist	--|--|-----|
louuaslletetmang ier lo fist	--|------|-|----⌫--|-|---|
auoc luienunees cuiele	---|--|-|--|--⌫-----|
nefazaut ref auele	-|--|---⌫-|-⌫----|
qa nz eniot neqelilfurent	--⌫-|-||-|-|--|-|-----|
mesas sezmenger entet burent	--|--⌫--|------⌫--|-|-----|
delmangier ne faz autrefable	--|------|-|--|----|----|
quantl e ué furentdela table	----|-⌫-⌫--|-----|-|-|----|
lipreudomqu imout fucor tois	-|------|--⌫|---|-|---⌫---|
proia deremanoir u n	----|-|-------|-⌫|
louu asllet q uidalez luisis t	--|-⌫-----|-⌫-|----|--|---⌫|
to tp lain silu ousist	--⌫|-⌫---||-|-⌫-----|
lou retenistiluo lentiers	--|-------|-|--⌫-------|
s iapr eistendementiers	-⌫|---⌫---|-----------|
tex ch o sessel esli pleussent	--|--⌫-⌫--||--⌫-|-|--------|
quiaubes oig	--|-|---⌫--|
moutl iualussent	---|-⌫|--------|
etl iuasllezli	-|-⌫|------|-|
sirenesaise	---|-|--|-|
i e suipres	-⌫|--|---|
mais ie proi deuquei l	---|-|---|--|--|-⌫|
tantqencor	----|----|
lapuisse ueo ir	-|-----|---⌫-|
carpasme e la	--|-----⌫|-|
auch ief dou p ont deuantsa port e	-|--⌫--|--|-⌫--|-----|-|----⌫|
s inesaisele	-⌫|-|--||--|
estuiu eomorte	--|---⌫||----|
et por ce ne porroitp as	-|--|-|-|------|-⌫-|
tantque ieseusse son	------|-|-----|--|
quei efeis seloncseior	--|-⌫|----⌫-|---|----|
ainzmeni rai de m ainaui or	---||-|-⌫--|--⌫-⌫--|-|-⌫-|
l ipreudom	-⌫|------|
otquerien neu aut	-|--|---|-|-⌫--|
pr oie re etlapa rolefaut	--⌫---⌫-|-|-|--⌫---|---|
s iuontcouchier	-⌫|---|-------|
sanz pl us deplet	---|--⌫-|-|---|
queli li t e stoienti afet	--|-|--⌫|-⌫------|-⌫|--|
lipreudo mpar matinleu a	-|------⌫|--|----|---⌫|
aupreudome e nala	-|-------|-⌫|--|
la ou il loutr ouagisant	-|-|-|--|--⌫--|-----|
sili aporta	-|-|-----|
enpresa nt	-|-----⌫-|
chemise etbraisedecha insil	------|-|-----|-|---⌫----|
etcha uces tainte s	-|---⌫---|------⌫|
en b resil	-|-⌫----|
etcotededrapdes oie inde	-|---|-|---|-|-⌫--|---|
qu i fufai ze ttiss u z en	--⌫|-|---⌫|-⌫|----⌫-⌫|-|
po r cequeues tirlife ist	--⌫|-|--|---⌫--|-|--⌫--|
liaporta etsi	-|-----|-|-|
amiscesdras	---|--|---|
quece ueez	--|-|---|
uestirezseuo sne n creez	-------|-|--⌫||-⌫|----|
et liuasllezliditbiax sire	-|-|------|-|--|---|---|
uosporrieza ssezmiauz	--|------|-⌫---|----|
lidr ap que mamere mefist	-|--⌫-|--|-|---|-|---|
d on tneu alent	-⌫--⌫|-|-⌫----|
ilm iauzquec ist	-|-⌫---|--|-⌫--|
etuos uolez queiele s ues te	-|--|----|--|-|--⌫|---⌫-|
uasllet foiqueiedo i ma	------|--|--|-|--⌫|-|
fai tlipreudomainz ualent	---⌫|-|------|---|-----|
uosmedei stesbiaxamis	--|-|---⌫---|---|---|
qant ie uosa menaiceanz	---|-|--|-⌫----|----|
queuos toz mes commandemenz	--|--|--|--|-----------|
ferieezetie	------|-|-|
fetliuasll ezianenserai	--|-|-----⌫-|-||-|----|
enc ontreuosdenu l ech ose	---⌫----|--|-|--⌫-⌫|--⌫--|
asdrasuestirplusnerep ose	-|---|-----|---|-|---⌫--|
sia lessame relaissi ez	-||--|-|--⌫-|------⌫-|
et li pr eudom s est	-|-|--⌫----||--|
abaiss iez	------⌫--|
si li chaucel	-|-|-----||
es peron de stre	--⌫----|--⌫---|
la costumesoloit texest re	-|------|-----|--|---⌫-|
quecilqui f aisoitc heualier	--|--|--|-⌫-----|-⌫-------|
lis ol oit l	-|-⌫--⌫--||
e speronc ha ucier	-⌫-----|-⌫--⌫----|
uasllezassez i ot	------|----||-|
chasc uns qui auenir ipot	-----⌫--|--|-----||--|
aluiar mer	|--|--⌫--|
alamainmi se	|-|---|--⌫-|
etl ipreudom	-|-⌫|------|
silicaint et s il oubaisa	-|-|----|-|-⌫|-⌫-|----|
etd it quedou neeli a	-|-⌫-|--|---⌫--|-||
hauteordr eauoc lespee	----|----⌫|---||----|
q ue dex ait faitenedonee	-⌫-|--|--|----|-|----|
l ordredec h euale rie	|----|-|-⌫-⌫-----⌫--|
quid oi testr esanzuileni e	--|-⌫--⌫|----⌫|---|------⌫|
et ditbi axfrereoruos	-|--|--⌫-|----|-|--|
silau ient	|-|--⌫---|
q ueil uos	-⌫-|-|--|
comb atrea	----⌫---||
aucu ncheual ier	----⌫|------⌫--|
i ceuosuoildire etproier	-⌫-|--|---|---|-|-----|
seuos enuenez au	-|--|-|----|-|
queuersuosn esepuisseplu s	--|---|--|-⌫|-|-----|---⌫|
deff endre ne co ntretenir	----⌫----|-|--⌫--------|
ainzl es tuiseamerciuenir	---||--⌫----||----|----|
q a escientnelocieez	||------|-||-----|
q ueu osnesoiez	-⌫-|-⌫-|-|----|
troppa rllan z netropnoueliers	---|--⌫-----⌫|-|---|--------|
nusnep uetestretrop p a rllier s	--|-|-⌫--|----|---|-⌫-⌫------⌫|
quisouuant	--|------|
te lcho sen edie	--⌫|---⌫-|-⌫|--|
qen l iatorn eauilenie	|-|-⌫|-----⌫||------|
uneautrechose uosapr eig	--|----|----|--|---⌫--|
te n ez miead esdeig	--⌫-⌫-|--||-⌫-----|
ne pa sne faita	-|--⌫|-|---||
des deigni er	---⌫------⌫-|
u olen t i ersalezaumostie r	-⌫----⌫-⌫-⌫--|---|-|------⌫|
proiercelui qui tota	-----|----|--|--||
qued e uostreamemerciait	--|-⌫|-----|--|----|--|
etqen cestsiecle terrien	-||-|---|-----|------|
u osgartcomme soncr estie n	-⌫-|---|----|--|--⌫-----⌫|
etliuasllez ditau	-|-|------|--|-|
p re udom e	-⌫--⌫----⌫|
detozlesapos t res derome	-|--|--|----⌫-⌫--|-|---|
soiezuosb eneoiz biaxsir e	----|--|-⌫-----|---|---⌫|
c autel oima meredire	|----|-|-|---|---|
orn editesiamesb iaxfrere	-|-⌫|----|----|-⌫--|----|
fet lipreudomqueuostremere	--|-|------|--|-----|---|
uosaitapris	--|--|----|
neenseignié	-|---------|
decem iene u osblasgie	-|-|-⌫-|-|-⌫-|---|--|
s e uos lauezdit ius queci	-⌫|--||---|--|---⌫--|-|
mesdesorla uostreme rci	--|----|-|-----|--⌫--|
u ospriq ueuos e n	-⌫-|--|-⌫-|--|-⌫|
ch a stieez	--⌫-⌫-----|
plusenp arllieez	---|-|-⌫-------|
afolielou tendr oitan	|----|--|-----⌫--|-|
porce uospri gardez uos an	--|-|--|--|-----|--|-|
di raiie do ncbiax	--⌫--|-|--⌫-|---|
l iuauasorscepoezdire	-⌫|-------|-|---|---|
qui uostreesperonuos	--|-----|------|--|
louuosa prist etenseigna	--|--|-⌫----|-|-------|
etcilli a lou dondoné	-|--|-||--|--|----|
que iamesn iaur a soné	--|----|||---⌫|----|
unmottantcom ilse rauis	-|--|---|--|-|--⌫-|--|
se deluino nquil liest	-|-|--|--⌫|-|-|-|--|
es t biensquilli	--⌫|----|-|-|-|
lipreu domm aintenantlo	-|----⌫--|-⌫--------|-|
eta lamainleueeenh aut	-||-|---|----|-|-⌫--|
etditbiaxfrere	-|--|---|----|
dexuos saut	--|--|---|
a le zadeu qui uos c ondu ie	-⌫--⌫||--|--|--|-⌫----⌫-|
qe li demorers uos	-|-|-------|--|
linouiaxcheualiers	-|-----|---------|
de sonosteetmo ut liest	-|--|---|-|--⌫-|-|--|
quea samere uenir puisse	--||-|---|----|-----|
etquesaine etuiue latr u iss e	-|--|----|-|---|-|--⌫-⌫---⌫|
si sem ete sforezs outaines	-|-|-⌫-|-⌫|----|-⌫-------|
c aras sez miauz c	-⌫-|--⌫--|----||
asterre s pla ines	-|-----⌫|---⌫---|
sereconissoit	-|----------|
et cheua uche tantq ueil uoit	-|-----⌫---|-----⌫-|-|---|
unchastelfortetbien sea nt	-|------|---|-|---|---⌫-|
ma isfor s des m ursn	--⌫-|---⌫|--|-⌫--||
auoitneant	----|----|
forscielet	---|---|-|
eueetterre gaste	--|-|----|----|
d aleruers lou	|---|---|--|
c hastelse haste	-⌫-----|-|----|
tan t quede uantlochast el ui nt	---⌫-⌫--|--⌫---|-|-----⌫-|--⌫-|
mesunpontpasserlicouin t	--|-|---|-----|-|-----⌫|
sifoibleainzca	-|-----|----||
la porteuieg ne	-|----|----⌫-|
apaine cu itqu	|----|--⌫-|-|
iloso utieg ne	|-|--⌫-----⌫-|
li cheualierssorlopontmonte	-|---------|--|-|---|----|
siloupassaqu e	-|--|----|--⌫|
maxneh onte	--|-|-⌫---|
neenc ombriers	-|---⌫-------|
tantquedeua ntlaporteuint	------|----⌫-|-|----|---|
sila trouaferméa la c lef	-|-|----|-----||-|-⌫--|
hurtamie souef	----|--|----|
neni apelami e enbas	-|||----|--⌫|-|--|
ta n t ihurtaq enesllopas	--⌫-⌫||----||---------|
ui nt asfenestresde l asale	--⌫-|-|--------|-|-⌫|---|
unepucel emaigreetpale	--|-----⌫|-----|-|---|
etditquiest quila	-|--|--|--|--|-|
ilesgarde uers lap ucele	-|------|---|-|-⌫----|
si lauoi t etditbele amie	-|-|---⌫|-|--|---|---|
un scheualie rs suiqui uosprie	--⌫|--------⌫-|--|--|--|---|
que laianz me fac oisentrer	--|-----|-|---⌫--|-----|
etlos tel anu it mesprester	-||--⌫--|---⌫-|--|------|
si faitel e	-|---|--⌫|
uoslauroi z	--||-----⌫|
maisiagre ne nosensauroiz	---|-|--|-|--|-|------|
lorsestlapucele airie rstraite	---|--|-|-----|-----⌫-|-----|
et cil q ui alaporteagait e	-|--|-⌫-||-|----|-----⌫|
crientquen l ifacetrop	-----|-|-|-⌫|---|---|
si recomme ncaa hurte r	-|-------⌫--||-----⌫|
et tantost y y	-|------|-⌫|
seriant u indr ent	------|-⌫----⌫--|
quigranzhaches	--|----|-----|
en lor mains tind rent	-|--|----|----⌫---|
etchascunsot	-|-------|-|
cainteuneespee	-----|--|----|
laportedesferme e	-|----|--------⌫|
et d ien tsireuenezanz	-|-⌫---⌫|---|----|--|
s ibi e nesteustasserianz	-⌫|--⌫-⌫|------|-|------|
moutfus sentbelmesi lauoient	---|---⌫---|--|--|-⌫|------|
mesais egrant ette lestoient	------⌫|----|-|--⌫|-------|
degeuneret deuellier	-|-----|-|-|------|
que l ans an	--|-⌫-||-|
pois tmerueillier	----⌫|----------|
et silotbienlafors	-||-|-|---|-|---|
gasteet e scouee	----|-|-⌫-----|
dedanzrienne	-----|---|-|
c arpartot laouilala	-⌫-|--|--|-|-|-|--|
trou a enzemileu desrues	----⌫|--||----|--|---|
lesmeisons to tesdecheues	--|------|--⌫--|-------|
c ommene fame n	|---|-|---||
te usmoustieren l auileauoit	--⌫-|-------|-|-⌫|---|----|
quiestoientdeus a ba ies	--|-------|---|-⌫--⌫--|
lune den onainesba hies	|--|-|-⌫----|----⌫---|
lautredemoinesesgarez	|----|-|-----|------|
ne trouamiebien par e z	-|----|--|---|---⌫-⌫|
l esmostie rsn e	-⌫-|------⌫-|-⌫|
bienportenduz	---|--------|
ancois uitcreueze tfandus	-----|--|-----|-⌫|-----|
lesmursetles	--|---|-|--|
torzdescouertes	---|----------|
etle spor t es furentouertes	-|--⌫|---⌫-⌫-|-----|------|
nuizc ommede iorz	---|-⌫---|-|---|
imuetnen i	|---|-|||
c uitf ors	-⌫--|-⌫--|
enn ul leude tot le	-|-⌫-|--|-|--|-|
netrouast en pa in negastel	-|------|-|--⌫-|-|-----|
neuinnes ydrenecer uoise	-|--|-|-⌫---|-|---⌫----|
ue rsun palaiscou e rt	--⌫-|-|-----|---⌫-⌫-|
lenont yyseriantmené	|-|--|-|------|----|
e t desc endu etdesarmé	-⌫|----⌫---|-|-------|
ettantostun su asll ezauale	-|------|--⌫|-⌫----⌫-|----|
parmile s d egrez	----|--⌫|-⌫----|
quiaportaunmant elgris	--|-----|-|----⌫-|---|
au colaucheualier	-|--|-|--------|
et u nsautres aestablé	-|-⌫-|-----||-------|
son cheualla oi ln able	--|-----|-||-⌫|||--|
ne fainnefuerresepoinon	-|---|-|-----|-|--|--|
nest oitenlameison	|---⌫--|-|-|-----|
etl iautrese riantlofont	-|-⌫|----|--⌫----|-|---|
monter parlesdegrezamont	-----|--|--|-----|----|
sale quimo ut fubele	---|--|--⌫-|-|---|
du iprodome et u ne	--⌫|------|-|-⌫-|
l isont alencontr euenu	-⌫|---|||-------⌫|---|
li prod ome	-|----⌫--|
est oientche nu	---⌫----|---⌫-|
no n passiquet uitfusse ntbla nc	--⌫|--|-|--|-⌫--|-----⌫-|---⌫-|
debela age a	-|--|-⌫--||
t otlorsanc	-⌫-|--|---|
et atote lor fo rc e fu i ssent	-||---|--|--⌫--⌫|--⌫-⌫----|
etl apucele	-|-⌫|-----|
uintplus co inte	---|---|--⌫---|
plu sa cesmeeet	---⌫|-⌫-----|-|
p lusiointe	-⌫--|-----|
qeespreuiersnep a pegauz	-|---------|-|-⌫-⌫-----|
sesmantia xfuetses b li auz	--|------⌫|-|-|--|-⌫--⌫--|
duneporpred andree s telee	|--|-----||----|-⌫-⌫----|
deno iret nestoi tpas	-|--⌫-|-||-----⌫|--|
l apenequid	-⌫|---|--||
ermines fu	------|-|
dunsebelin noiretchen u	|-|------|---|-|----⌫|
quinestoittro plo nsnetrop	--||-----|---⌫|--⌫-|-|---|
fulimantiax aucolor l lez	-|-|------|-|--|--⌫-⌫--|
i e oncqesf is deuise	-⌫|-----|-⌫-|-----|
deb iautequedexeust	-|-⌫----|--|--|---|
encors defem eneenfa ce	-|---|-|---⌫|-|-|--⌫-|
quime replaistque une en	--|-|-------|--|--|-|
oiene mentiraide mot	|-|-|-------|-|--|
des u eefuetsiot	---⌫-⌫-|-|-|-|-|
lescheuextexsestrepoist	--|-----|--||----|----|
que bie ncuidas tq uiles	--|---⌫|------⌫|-⌫-|--|
qu eilfussenttuitde fin or	--⌫|-|------|---|-|--|-|
tantestoi e ntluisan t e tsor	---|-----⌫-⌫-|------⌫|-⌫|--|
lo front ot	-|----|-|
blancetplain	----|-|----|
fu st ourez demain	--⌫-|----|-|---|
depierreodiuoire	-|-----|||-----|
qu e mainsdomeouré	--⌫|----||--|----|
so rciz bru n ezetlargeentr uel	--⌫---|---⌫-⌫-|-|----|----⌫--|
enlatestefurentlioil	-|-|----|-----|-|--|
clere t r iantuairetf andu	---|-⌫|-⌫---|---|-|-⌫---|
etmiauzli auenoitouuis	-|----|-|------|-|--|
liuerm auzsorlo	-|----⌫--|--|-|
blancas sis	----|--⌫--|
qeli sinop les sorl argent	-|-|-----⌫--|--||-----|
porambleriauz etcue r	--|-----|---|-|---⌫|
fistdexceli par	---|--|---|--|
sa meru eille	-|----⌫----|
conq uespuis n efist	|---⌫--|---|-⌫|---|
sapareille	-|-------|
nede uantfaiten elauoit	-|--⌫---|----|-⌫||----|
e tqant l icheualier s l auoit	-⌫|---|-⌫|---------⌫|-⌫|---|
silasalueet ele	-|-|----|-|--|
et licheualier anbe du i	-|-|--------|----⌫--⌫|
d amoiseleloprant	-⌫-------|-|----|
parlamaind ebonaire ment	--|-|---|-⌫--------⌫---|
etditbiaxsireuost reostex	-|--|---|---|----⌫-|----|
nese rapa san qenu it te x	-|--⌫-|--⌫|--⌫----⌫-|--⌫|
prodomeconuendroit	------|----------|
se ieuosdis oie orendroi t	-|-|--|---⌫--|--------⌫|
totnostrecou ine etnostreestre	--|-----|---⌫--|-|-----|----|
uoscui d er iezpuetcelest re	--|---⌫-⌫--⌫--|---|--|---⌫-|
qu edemauu e st ielodeisse	--⌫|-|----⌫-⌫--⌫-|-|-----|
porcec aler uose nf eisse	--|-||---|--|-⌫|-⌫----|
mess iluo s pl estore	--||-|--⌫|--⌫--|--|
lostel tel com il estprenez	|----|--|--|-|--|-----|
uosdoin t meillor	--|----⌫|------|
en silen main e	--⌫-||--⌫----⌫|
par lamain	--|-|---|
ius q enunech ambr ecelee	---⌫|-|--|--⌫----⌫|----|
quimo ut fu	--|--⌫-|-|
belee tlonge	---|-⌫|----|
soru nec o utedesamit	--|-⌫-|-⌫-⌫--|-|----|
qertestendue sorun li t	|--|-------|--|-|--⌫|
se so ntlaianz anduia ss is	-|--⌫-|-----|----|-⌫--⌫-|
cheualierq atreetcincet	--------|-⌫---|-|---|-|
uinrentla ian ze t sis asis tre nt	------|--⌫---⌫|-⌫|-||----⌫---⌫-|
partrop ea xet	--|----⌫--⌫|-|
mot nedis t re nt	--|-|---⌫-⌫--⌫-|
et uirentce lui	-|-----|--⌫--|
qui sesist	--|-|---|
delez lordameet motne dist	----|--|---|-|--|-|---|
por cede par l lers e tenoit	--|-|-|---⌫-⌫--|-⌫|-----|
qedou chastili souenoi t	-|--|-----|-|-------⌫|
queliprodomliauoitfet	--|-|-----|-|----|--|
sentenoiententrex grantplet	|-|-------|---|-|----|---|
t ui t l ich euali er aconseil	-⌫--⌫|-⌫|--⌫-----⌫-||------|
dexfetchasc un smou tmemeru el	--|--|-----⌫--⌫|---⌫|-|----⌫-|
secis tcheualiersest	-|---⌫|---------|--|
granzdi auxse roitconquessi biax	----|--⌫--|--⌫---||-----|-|---|
cheualiers ne nasqui	---------|-|-----|
mout auientbiendele zmadam e	---|-----|---|----⌫|-|---⌫|
etmadame ausi	-|-|---|---|
s ilnefussentm uelandu i	|-|-|------|-⌫--|----⌫|
tant estcil b iax etce le bele	---|--|--|-⌫--|-|--⌫-|---|
conqe s cheualiersne pu cele	|----⌫|---------|-|--⌫---|
naui ndrent messibienen semble	|---⌫-----|--|-|---|--⌫-----|
quedelunet del au tresenble	--|-||-|-|-||--⌫--|-----|
q u e de x lunpo r l	-⌫-⌫|--⌫||-|--⌫||
autref eist	----|-⌫---|
porceq ensanb leles	--|-||------⌫-|--|
mesla da moisele	--|-|--⌫------|
qui ll aresn ast deq ueque	-|-⌫||-----⌫--|-|-⌫----|
tant qeleuittres bien et sot	----⌫|--|--|---|---|-|--|
que ilnelidiroit iamot	--|-|-|-|-----|-|--|
la raisnoit auant	|-⌫-------|----|
etditmoutdeb onairemant	-|--|---|---⌫---------|
sired o nt uenistes u os hui	---|-⌫-⌫-|-------|-⌫-|--|
damoisele fetilieiui	--------|--|-|-|--|
chies unpreu dome a	----|-|----⌫---||
