oeztrestuitunnouauc onte	--|-------|-|----|-⌫---|
lenonsonp eredroitement	-|--|--|-⌫--|---------|
a c hartres a uintsi le	|-⌫------|-⌫---|-|-|
plusde yy genzetsil	---|-|-|---|-|-||
la f ame auicienle conte	-|-⌫--|------|-|----|
li enuoiasi	-|-----|-|
comlenc onte	--|--|-⌫---|
uneampole duilemes plaine	--|-----||---|--|-----|
nesto itpasainzestoit biensain e	|----⌫-|--|---|-----|---|----⌫|
porcequeillabeneist	--|-|--|-|-|------|
meseincoisqueg ueres	--|---------|-⌫----|
q uantdesusout samainleuee	-⌫---|----|--|-|---|----|
senestluiledesus	|-|--||---|----|
t antcrutettant amont po ia	-⌫--|---|-|---|----|--⌫-|
unsenf eszzior le stoia	--|---⌫-|-|--||-⌫----|
et couri ten	-|-----⌫|-|
unefe nestre	--|--⌫-----|
puis atiré	---||----|
osa mainde stre	|-|---|--⌫---|
ledrapd o n eles t oit	-|---|-⌫-⌫|-|--⌫-⌫--|
n elenme mbr outmesdelap e rte	-⌫||-|--⌫---⌫--|--|-|-|-⌫-⌫--|
futm olti re zq uan til lenmembre	--|-⌫--|-⌫--⌫|-⌫---⌫|-||-|-----|
t restuitlitremblerentli membr e	-⌫------|-|----------|-|-----⌫|
quan telchaite npauement	----⌫|-|----|-⌫|-------|
esto it toutp urement	----⌫-|---|-⌫------|
deuerr emesdela	-|----⌫|--|-|-|
no ut malquare liert benoe te	|-⌫-|--|---|-⌫|---|-----⌫-|
un s c hienszzso en c lerabaiout	--⌫|-⌫----|-|--⌫-|-⌫--|------|
mescilgairesnesesmaiout	--|--|-----|-||-------|
ai nz command a quil	--⌫-|-------⌫|-|-|
de par martinlorsnepe ust	-|--|-----|---|-|--⌫--|
abaierquibienle rorstast	-----|--|---|-|-------|
ouq uisauiande	-|-⌫-|-|-----|
a uicie n sench artrena	-⌫-----⌫-⌫|----⌫------|
a tor spr isons qu	|---⌫|--⌫----|-|
mes q ua ntmar tinsa	--|-⌫--⌫-|---⌫---||
qu illeste noitentelmart yre	-|-|--|--⌫---|-|--|----⌫--|
tan tostac orutmes pa s see	---⌫---|--⌫---|--|--⌫-⌫--|
e stoitiabien l anuit demie e	-⌫----|-|---|-⌫|---|-----⌫|
ilatrouéla porte	-||-----|-|----|
carauicien sserepose	--|-------⌫|-|-----|
etmartinspoudou	-|------|--|--|
mesacequilserepo sout	--||-|-|-|-|----⌫---|
dist uns angres cheitifcomoses	---|--|-----|------|--|---|
s i reposer co m t ureposes	-⌫|------|--⌫|-⌫|------|
etli s erfdieul a horsestoit	-|-|-⌫--|---|-⌫|---|-----|
ie nesoiz comm ent li	-|-|---|----⌫--|-|
ma intena nt ses genz esueillia	--⌫------⌫-|--|---|--------|
cidist quest éau	-|---|-|---⌫-|-|
mart inssiliaill ent ourir	----⌫--|-|-|----⌫--|----|
cill idistrentquerecourir	--|-⌫|-------|--|-------|
b ienquar onc corroillié	-⌫--|---|--|----------|
ni a u oit	||-⌫-⌫--|
n usmessomm ei llié	-⌫-|--|----⌫--⌫----|
auoit s iliestoit semb l ant	----|-⌫|-|-----|----⌫-⌫--|
n e stoie nt pas dessemblant	|-⌫-----⌫-|--|----------|
aus autres	--|-----|
ga rconsdeporece	--⌫----|-|-----|
quilsontprophetesdeperec e	-|-|---|--------|-|-----⌫|
l isi res sen dormi	-⌫|--⌫--||--⌫----|
et liangre liale	-|-|----|-||-|
derechiefcroulé si	--------|------|-|
l esueille	|-------|
leu ezetsap areille	---⌫-|-||--⌫------|
aler quartrops etar dout	---|---|---|-⌫|---⌫---|
si tr ouamartinquigard out	-|--⌫--|-----|--|----⌫--|
laporteetencor atendoit	-|----|-|----|-------|
biensoutse ilnelir endoit	---|---|-|-|-|-|-⌫-----|
les pr isonsqu ilecomparroit	--|--⌫----|-||-|---------|
nei anushom nel en	-|-⌫|--|--|-||-|
silipr ia qui s en	-|-|--⌫-|-|||-|
car aincoi squeil	--|------⌫---|-|
les rendro ittozneplus n	--|------⌫-|--|-|---||
i lec quedexmal ne l iface	-⌫--|--|--|--|-|-⌫|---|
cil sentorna etliprison	--||-|----|-|-|-----|
f urentmishor sde la	-⌫----|--|---⌫|-|-|
h orsle pieme toit	-⌫--|-|--|--⌫---|
demermost ier quiloinz	-|-------⌫--|--|----|
lidemon iaquelesauoient	-|-----⌫----|-|-------|
quien la grant e g liseestoien t	--|-|-|----|-⌫-⌫---|-------⌫|
a saintmorice en	|----|-----|-|
nushomniestoitqui gité	--|--|||-----|--|----|
ne f usthorsquantiliuenoit	-|-⌫--|---|----|-||-----|
les demoniaquesprenoit	--|----------|------|
porcequil lesuouloitc onnois tre	--|-|-|-|--|------|-⌫------⌫--|
silor fesoittout req uenoistre	-|--|-----|---|---⌫--------|
lordizet lornons e t	--|--|-|--|---|-⌫|
donil sestoienttrop forfeiz	--|-||-------|---|------|
puislesbatoitetlesliur oit	---|--|-----|-|--|----⌫--|
amartyree tceu s deliuroit	|------|-⌫|---⌫|--------|
io uste sensformentsepl eig no it	--⌫---|---|------|-|--⌫---⌫--⌫-|
lag ent q ueilnirem eingnoit	-|-⌫--|-⌫-|-|||---⌫-------|
b l e neuig nequelatampest e	-⌫-⌫|-|---⌫-|--|-|-------⌫|
ni feistchascunansa	||----|------|-|-|
siontmartind e ceprié	-|--|-----|-⌫|-|----|
etli ontaupic e enuoié	-|-|--|-----⌫|------|
qu ipremie r ssa p arten auoit	--⌫|------⌫-⌫|-|-⌫--|-|----|
ci l lipri aquil	--⌫|-|---⌫|-|-|
d ecequeplusmal	-⌫|-|--|---|--|
ne lorfa ce	-|--|--⌫-|
lo rsamartins encele place	--⌫-||------|-|---|----|
ta n tprié quil alacontree	--⌫-⌫|----|-|-||-|------|
de latampeste deliuree	-|-|-------|-------|
concni chai t ta ntcom	|--|||----⌫|--⌫-|--|
unio rref u tauic iens	-|--⌫|---⌫-⌫|----⌫---|
q ui estoitmoutma l	-⌫-|-----|---|--⌫|
cr estiens	--⌫------|
d euant mar tinquiesgardou t	-⌫----|---⌫--|--|--------⌫|
cuns deablesquile	|--|------|--|-|
d esus sesp aulese	-⌫---||---⌫---|-|
etmartinsquibien	-|------|--|---|
espaulele souf fl a	------|-|----⌫--⌫|
deman déquesene f iout	-----⌫--|--|----⌫-⌫---|
etmartins distqueil lio ut	-|------|---|--|-|-|-⌫-|
de susluideable bouté	--⌫--|--|-----|-----|
puissestcil molt toz	---||--|--|---|--|
tensdouté	---|-----|
q ui lessa le m auuesa f aire	-⌫-|----|-|-⌫----||-⌫---|
queilfeso itetf esoitfaire	--|-|----⌫-|-|-⌫----|----|
au ch asteaud ambaize	-|--⌫-----||------|
z z templeout	-⌫|-----|--|
quichescunio r dege nzemplout	--|------|--⌫|-|--⌫-|------|
porlim agre q u	--||--⌫---|-⌫|
ilaoroient	-|-------|
amoinesquiil ec	|-----|--|--⌫-|
prou oire marceau	----⌫---|------|
commenda m artinquearceau	-------|-⌫----|--|-----|
ni rem ainsista depecier	||---⌫------||-------|
nulem es do	---|-⌫-|-|
orent pouorquar tr o p pesout	----|----|---|--⌫-⌫|-----|
etma rtins aq ui il p eso ut	-|--⌫----||-⌫-|-|-⌫---⌫-|
priatant deuc unetampeste	---|---|--||--|-------|
chaitautemplesusl ateste	----|-|-----|--|-⌫|----|
e ttrest o ut ente rignement	-⌫|-----⌫-⌫-|----⌫--------|
lefondit iusqua u fundeme nt	-|-----|----|-⌫|-------⌫-|
su s zzpilierrestoitassis e	--⌫|-|-----|------|-----⌫|
z zymagrepar	-⌫|-----|--|
telmaistrise	--|--------|
qu ehomne l ap ooit	--⌫|--|-|-⌫|-⌫---|
destru ire	------⌫--|
q uant martins a u euquenuire	-⌫---|------||-⌫-|--|----|
nelipuetsia	-|-|---|-||
dieuproié	---|-----|
tantquedes cieus aenuoié	------|--|----||------|
feu quilardit	--|--||----|
e nt eleguise	-⌫|-⌫--|----|
futouteen poudr erem is e	-|----|-|-----⌫|---⌫--⌫|
unefamequi menoison	--|---|--|-------|
san c sanz oro i son	---⌫|---|---⌫-⌫--|
souleme nt	-------⌫-|
queltouchaa	-|-|-----||
sonuesteme n t	--|-------⌫-⌫|
martinssistsusunri uot	------|---|--|-|--⌫--|
si uit qu uns serpenzarr iuout	-|--|-|--|------|---⌫----|
tan t ostl idis t qu ede lariue	---⌫-⌫--|-⌫|---⌫|--⌫|-|-|---|
senalasttostetcilarriue	|-|----|---|-|--|-----|
delautrepartm oltuistement	-||----|---|-⌫--|--------|
soncommand ement	--|-------⌫----|
queles g enz	--|--|-⌫--|
no uoloient	||-------|
oiretlisarpenz	--|-|-|------|
empas qoureincoisquemengier	-|---⌫---|---------|------|
deustdemanda samangie r	----|------|||------⌫|
auoitpoisson etilli	----|------|-|-|-|
quecelu iiorneis un	--|----⌫|--|---|-|
nenp ristrent	|-|-⌫-------|
nene porent	-|-|-----|
trouerau endre	-----||-⌫----|
tantost comm andeachaton prend re	------|----⌫---||-----|-----⌫-|
lesroize t	--|---|-⌫|
dist qui lemp rendra	---|-|-⌫|-|-⌫-----|
etcil dit qu ei l les tendra	-|--|--|--⌫|-⌫|--|-----|
uole ntiers sisestale ́tendre	----⌫-----|-||--|---⌫|-----|
me sne tarda gaire sa	--⌫|-|----|-----⌫||
a inza prisune grantl a mpraie	-⌫--||---|--|----|-⌫-⌫-----|
lor s senuont moult liezdelo rp r aie	---⌫||-|---|----|---|-|--⌫|-⌫-⌫--|
c ha tonsetcilq uioluiuindrent	-⌫--⌫---|-|--|-⌫-||--|-------|
etagra ntmerueille letindrent	-||---⌫-|--------|-|-------|
maxim esa treu e sassembla	-----⌫-||----⌫-⌫|-------|
con cile q uarilli sembla	---⌫---|-⌫--|-|-|-----|
quenu o ierdeuo ite nespaig ne	-|---⌫-⌫--|----⌫-|-⌫|------⌫-|
quarpoorout queto utsorpeig ne	---|---|--|--|--⌫-|-------⌫-|
lepais lagent a rri enne	-|---|-|---|-⌫---⌫---|
etengiet laloicresti enne	-|-|---|-|--|------⌫---|
silesuoloit tozfeire ocire	-|--|-----|--|----|----|
et la uoir	-||-⌫---|
to utpr endreatire	--⌫-|--⌫----||---|
quant cist	----|---|
affeires fucontez	-------|-|-----|
a ma rtintantostestm ontez	|--⌫---|------|--|-⌫----|
p or ce porleucadien	-⌫-|-|--|--------|
p or nassetequigrac ien	-⌫-|------|--|----⌫--|
l empereortozior zmaintin drent	|-------|--|---⌫|-------⌫----|
etcontremaxime	-|-----|-----|
setindrent	-|-------|
quantl i euesqueoren toi	----|-⌫|------|----⌫|-|
queiluenoittuitamo i	--|-|-----|---|---⌫|
suntpo r lamo rtprici lien	---|--⌫|-|--⌫-|-----⌫---|
q uiparleuesq ue itacien	-⌫-|--||-----⌫-|------|
fumorz quantil lont ac usé	-|---|----|-||--|--⌫---|
quarn usdeu snes	---|-⌫-||--⌫|-||
e stoit r usé	-⌫----|-⌫---|
niszz iordesacompaignie	--|-|--|-|-|---------|
si seu e ntmoltbienq ue	-|---⌫-⌫-|---|---|-⌫-|
l euesq ue	|-----⌫-|
cheonisteaura	--------|---|
iat an tostdeuscenesaura	-|-⌫--⌫---||--|-|-|----|
siorentporceg rantfr eor	-|----|--|-|-⌫---|--⌫--|
l o rsu o nt	-⌫-⌫-|-⌫-⌫-|
sili prientquil deffe nd ist	-|-|-----|-|-|-----⌫--⌫--|
amartinquilne	|-----|-|-|-|
d escen dist	-⌫-----⌫---|
si l anuli re	|-⌫||--|-⌫-|
euesquesde l	-------|-||
lu ienuoia	--⌫|-----|
etmartin sdit	-|------⌫|--|
ol ap aiz ihesucrist empri se	|-⌫|-⌫--|----|----|-----⌫-|
puis uin t t out droit a uney glise	---|---⌫|-⌫--|----||--|-⌫----|
o u estéa orois on	-⌫|----||-----⌫-|
aseuesquesmot ne sonna	-|-------|--|-|----|
qua ntillesuitmol tse nmeru eille nt	---⌫-|-|--|--|---⌫||-⌫|----⌫-----⌫-|
a maxi meuont sico nseillent	|----⌫-|---|-|--⌫--------|
qui l li die	-|-⌫|-|--|
q ue riensdonné	-⌫-|----|-----|
ne li serasepard onne ́	-|-|---|-|----⌫----⌫|
euesquescequ ilfirent	-------|-|-|-|-----|
quarnesune rie ns nimeffirent	---|-----|---⌫-|||--------|
amartince quel isoeit	|-----|-|--|-⌫|----|
distmaximesetcil	---|------|-|--|
quiluolo ittantostgenzl iurer	-|-|----⌫-|------|---|-⌫----|
a occireetdeliure r	|-----|-|-------⌫|
lespouoi tto z de celm ar tir e	--|-----⌫|--⌫|-|--|-⌫--⌫---⌫|
dey ymauxuoltle men d rees lire	-|-⌫|---|---|-|---⌫-⌫-|--⌫---|
sidistqueoeusparleroit	-|---|--||--|--------|
ets a uoitbien qu	-|-⌫-⌫---|---|-|
ilses eroi t	-|-|-⌫----⌫|
tropmesf ei tsanz	---|----⌫--⌫|---|
nesune faille	-----|-----|
lorscomm andequelenpa s n	---|----⌫---|--|--|--⌫||
enespaignepuis emme neren t	-|-------|---|----⌫-----⌫|
sacreouilsacreren t	----|-|-|--------⌫|
zz e uesquequiprodommee re	-|-⌫-----|--|-------|-⌫-|
au matinomolt leidechiere	-|----||---|----|-----|
part martinet	---|-----|-|
sen r etorne	|-|-⌫-----|
molt iriez moutpensi smo l t	---|----|---|-----⌫|--⌫-⌫|
sen ueit t oute ior	|-|---|-⌫---|--|
deme ntant	----⌫----|
dece domestoit repen tant	-|-|--|-----|-----⌫---|
etd itq uila	-|-⌫-|-⌫|-||
esté ue nduz	----|--⌫---|
lorsest unsan gresdescend uz	---|--|--|--⌫---|-------⌫-|
q uidistmartin s molttedemen te s	-⌫-|---|------⌫|---|-|-----⌫--⌫|
bie nestd roizquetute	---⌫|--|-⌫---|--|-|-|
m esdam e dieule tepa rdonne	-⌫-|---⌫-⌫---|-|-|--⌫-----|
mar tinsescouteetmot n	---⌫---|------|-|--||
me smolt grantioie	--⌫|---|----|---|
delaquitance qu	-|-|-------|-|
fupuistoziorz plusle nz	-|---|--|---|---|--⌫-|
dechacie rles	-|------⌫|--|
maufeizpullenz	------|------|
noncpuisn ala anulconci re	|--|---||--||--|-----⌫-|
ou reaumeneenl empire	-|-----|-|-||-----|
u n dem oniaq ueamenout	-⌫|---⌫-----⌫-|------|
lagentqui moltsedemen out	-|---|--|---|-|-----⌫--|
quantdemartinpointsapre ssa	----|-|-----|----||----⌫--|
mes lessiél	--|------||
omme enla pressea	---|-|-|-----||
li deablesquarpouorou t	-|------|---|----|--⌫|
da lerlaoum art inalo ut	|-⌫--|-|-|-⌫---⌫-|---⌫-|
mer notonier s naioie nt	--|--------⌫|------⌫-|
quiparta mpeste	--|--|--⌫-----|
perilloient	----------|
sicriaun segypciens	-|---|--⌫|--------|
i ertpas e ncorecrestiens	-⌫--|--|-⌫----|--------|
lidexmartinquar nosde liure	-|--|-----|---|--|--⌫----|
si furentmaintenant deliure	-|-----|---------|------|
liconte s po rdes am esniee	-------⌫|--⌫|-|-⌫|-⌫-----|
qui estoitdemalaquo uchiee	--|-----|-|--|----⌫-----|
pr iamarti np arunesletr es	--⌫-|-----⌫|-⌫-|---|----⌫-|
cil mandaque	--|----|--|
lient remetres	-|---⌫-------|
esto itgieuxc ar bien	----⌫-|----|-⌫-|---|
sanzdotance	---|------|
sout quedexenprenoituenia n ce	---|--|--|-|------|-----⌫-⌫-|
mesparyyiorztant enpria	--|--|-|---|---|-|---|
que tresto utela mesniee	--|------⌫--|-|------|
santeporsa	----|--|-|
prier eeue	-----⌫|--|
con te suitquesaiue	---⌫--⌫|--|--||---|
lora tantualu	--||---|---|
a m a rtin et	|-⌫-⌫---|-|
en sama le a	-|-|--⌫-||
liure s darg entp o r tees	-----⌫||---⌫--|-⌫-⌫-⌫---|
mesmartinnesaref usees	--|-----||-||---⌫----|
nepr is esetbienlesauoit	-|--⌫--⌫-|-|---|-|-----|
ai nzqu iluenistetles	--⌫---|-|-----|-|--|
a prisonsr eembre otr ie es	|------|-⌫-----|---⌫--⌫-|
li moignesdist r ent quelessiees	-|------|----⌫-⌫--|--|-------|
deussentestrea lordespense	-------|----||--|-------|
me smartinsqui de tot aupe ns e	--⌫|------|--|-|--|-|--⌫--⌫|
distquen lig lisedoiuent estre	---|-|-||--⌫---|------|----|
etil lesdo itu esti retpestre	-|-|--|--⌫-|-⌫----⌫|-|-----|
unmoingneasacheminee	-|------||-|-------|
debresetrouee	-|----|-----|
sisi chaufou ttoz nuzsan z braies	-|||-------⌫|--|--|---⌫|-----|
l orsdistmartinpor quoit e ssa ies	-⌫--|---|-----|--|---||-⌫---⌫--|
nostre meso n	-----|----⌫|
cilquida q uefetespi er	--|----|-⌫-|--|----⌫-|
le ustsis es tdilecmeu	|-⌫--|-||--⌫||---|--|
mes mar tin l ou t p ar de u	--|---⌫--||--⌫|-⌫-|--⌫|
martins uint d esus	------|---|-⌫---|
yydeabl es enunet roche	-|-----⌫-|-|--|-⌫----|
q uisaintbri z for ment escioient	-⌫-|----|---⌫|---⌫---|--------|
i equitbienquillien seignoient	-⌫|---|---|-|-|-|--⌫---------|
q ueilson p are in fo least	-⌫-|-|--|-⌫---⌫-|--⌫----|
quaroncporrien	---|--|--|---|
quil li priast	-|-|-|-----|
nelileissa	-|-|-----|
folieadire	----||---|
mes il lidistquegrantmartyre	--|-|-|---|--|----|------|
aue ndroit	---⌫-----|
quarlarceuesquie maintendroit	---||----------|-----------|
empres lui etlapeneance	-----|--|-|-|-------|
f eroit idonquesde senfanc e	-⌫----|-------|-||------⌫|
einsi butp uiscilsafol ie	----|--|-⌫--|--|-|---⌫-|
commartins	--|------|
dists aprophecie	---|-⌫|--------|
ma rt ins outt oziorzen usage	--⌫--⌫--|--|-⌫-|---|-|----|
qu ilal out emp eler inage	-|-|--⌫--|-|-⌫----⌫----|
a sa intso uain	|--⌫--|--⌫---|
chascunes eson	-------|-⌫---|
li sire ie rtme seauxm es	-|---|--⌫-|--⌫----|-⌫-|
nefutoncquesplush e nnorables	-|--|------|---|-⌫-⌫--------|
nedousienpartoutplus metables	-|--|---|--|---|---|-------|
quantiluitmartinqui entrou t	----|-|--|-----|--|------⌫|
enly gliseauc uerdouu entreout	-||-⌫----|-|-⌫--|--|-⌫----|--|
moutgrantioi e	---|----|---⌫|
quarenpensea	---|-|----||
qu edex de lui parce	--⌫|--|-|--|--|-|
lorcheuauxqu	--|------|-|
ilfontdemener	-|---|------|
fistcilensa	---|--|-|-|
ma i so n mener	--⌫-⌫--⌫|----|
lemengier aprester	-|------|-------|
porl uia tendre	--|-⌫-|-⌫-----|
iusque domostierho rsuenist	-----|-|------|--⌫-|-----|
martinst out mai nt enant s	------|-⌫--|---⌫--⌫----||
deliglise e t cil agen oille	-||-----|-⌫|--|----⌫----|
deuant lu ietsa face moi lle	-----|--⌫|-|-|---|---⌫--|
contreualde p iteuses lermes	--------|-|-⌫------|-----|
silidist que bienestoitt ermes	-|-|---|--|---|-----|-⌫----|
deh erbe rgierpor	-|-⌫----⌫----|--|
quesonostelneref ustm ie	--|--|----|-|---⌫--|-⌫-|
luinesedesdinst pas	--|-|-|-------|--|
quarilauroite rré main tpas	---|-|-----|-⌫---|----⌫|--|
ai nzquil tro uastsibel ostel	--⌫---|-|---⌫---|-|--|----|
co m es tli siens mest resto u tel	--⌫|--⌫|-|----|--|-⌫-----⌫-⌫|-|
li respontquep orsoiaisier	-|------|--|-⌫-|--|-----|
lepre ndra cedistmesbaisie r	-|---⌫---|-|---|--|------⌫|
leuoutauantcommesonhoste	-|---|----|----|--|----|
toutmaintenantde ses piezl	---|---------|-|--|---||
silebeisames	-|-|----|--|
cilo uthonte	--|-⌫-|----|
ferai nulconte	----|--|----|
quieuxilfutmesbienlost ela	-----|-|--|--|---||---⌫--|
mesporquoidex	--|--|---|--|
am aintenantcenesaimie	|-⌫--------|-|-|--|--|
sa mal adie	-|---⌫---|
p uismengiera	-⌫--|------||
ma rtinm ostree	--⌫---|-⌫-----|
mo ltlir equiertet moltlipr iee	--⌫-|-|-⌫------|-|---|-|--⌫--|
qui lliaiutq u a rbie n sauoit	-|-⌫|-|---|-⌫-⌫-⌫|---⌫|-----|
quenu st el poueir	--|--⌫|-⌫-|-----|
ama rtinenestpitie p ri s e	|--⌫---|-|--|----|-⌫--⌫-⌫|
et pord ieuet	-|--|-⌫--|-|
por leseruise	--|-|------|
f ait ensa meson	-⌫--|-|-|----|
silia sem ble ́que res on	-|-||---⌫---⌫|--|---⌫-|
seroit queihe sucristpriast	-----|--|---⌫-|----|-----|
queil sante	--|-|----|
liot ri ast	-|--⌫--⌫--|
sil enyafaitlaprome sse	-||-|||---|-|-----⌫--|
etlic ommandaqu	-|-|-⌫------|-|
fustl end emainquan t c hanteroit	---||---⌫----|----⌫|-⌫--------|
etsitostconse torneroit	-|-|---|--|-|--------|
p esdeluipreist	-⌫-|-|--|-----|
ainc o isqueautre s	----⌫-⌫----|-----⌫|
queilpa s tant n	--|-|--⌫|---||
i emm eroit	|---⌫----|
acommenieroit	------------|
lendemainqu antiloutchantees	|-------|--⌫--|-|--|-------|
m a tine ssefuren t	-⌫-⌫----⌫|-|-----⌫|
lesgenz quar	--|---|---|
po rluichascun ueille	--⌫|--|------|-----|
martins lor distquil	------|--|---|-|-|
s e merueille	-⌫|--------|
des iausquipar ilec uolerent	--|---|--|--|---|-------|
conques cele nuitnechan terent	|-----|---|---|-|----⌫-----|
cil die ntqui l oirent dire	--|---⌫-|-|-⌫|-----|---|
quesaintursa inoutmolt	--|----|----⌫-|--|---|
genzquiilecestoien t	---|--|---|-------⌫|
po r c e qu e	--⌫|-⌫|--⌫|
crerr en ouu oloie nt	-----⌫||-|-⌫-----⌫-|
siuoutq ueilgar antiss ont	-|---|-⌫-|-|---⌫------⌫--|
lamalice d eq uoi ils o nt	-|-----|-⌫|-⌫--|-|-⌫-⌫-|
lorsdistm artinsque longuement	---|---|-⌫-----|--|---------|
onts ouffert	--|-⌫------|
mesamendem e nt	--|-------⌫-⌫-|
ilmetra si	-|----|-|
les a ssoudr a	--|-⌫------⌫|
iasainzursinsnoudesuoudr a	-|----|-----||-|--------⌫|
puisa demandéde	---||-------|-|
silabe ne iste t lordone	-|-|--⌫--⌫--|-⌫|--|---|
lorscommencen taor gu ener	---|---------⌫||--⌫--⌫---|
uiedemener	--|------|
telenef utoie	---|-|-⌫-|--|
netelch antne	-|--|--⌫--|-|
telme lodie	--|--⌫----|
neteldeduitcomilmenerent	-|--|-----|--|-|-------|
quartoutlelonc	---|---|-|---|
duiorc ha n terent	-|--|-⌫--⌫-⌫-----|
empres a la m esse c han tee	-----||-|-⌫---|-⌫---⌫--|
martin smes ai nz quil fus tfinee	------⌫|--|--⌫--⌫-|-|---⌫|----|
le meseaua commenia	-|-----|-⌫-------|
et del apaiz donn é	-|-|-⌫|---|----⌫-|
mes ainzquila itlamesseoie	--|-----|-|-⌫-|-|----|--|
fut tozsainzdesamaladie	--|--|----|-|-|------|
einsi renditmartindetor s	----|-----|-----|-|---⌫|
sadeitea zzdesesdetors	-|----||-|-|--|-----|
la ui le enfut l eurousnommee	-|--⌫-|-|--|-⌫-----|-----|
quigrabatot er t apelee	--|-------|--⌫|-----|
parle murau	--|-|--|-|
priorpassou t	----|------⌫|
saint florenmes	----|-----|--|
molt grantmasseout	---|----|----|--|
il ecde genzquisepleignoient	--⌫-|-|---|--|-|----------|
quepar zzser pentmortes toient	--|--|-|---⌫---|---|--⌫-----|
s ilirequero ientsaiue	-⌫|-|-------⌫---||---|
mes ill ordistque n	--|-|-⌫-|---|-|-⌫|
acomma n d ement	|-----⌫-⌫-⌫----|
s er ontdeliure uistem ent	-⌫--⌫--|------|------⌫--|
uers torssenuetgr antaleure	---|---||-|--|--⌫--|-----|
sia cont é c ele auentur e	-||----⌫-|-⌫--|-------⌫|
quie ncor uiuoit	--|-⌫---|-----|
etcill idistqu	-|--|-⌫|---|-|
il niauo it	-|||---⌫-|
forsque de pardeule	------|-|--|--|-|
deloing no	-|----|||
ain zi a lastseure ment	---⌫||-⌫---|-----⌫---|
q uantciloutle comm a ndement	-⌫---|--|--|-|----⌫-⌫------|
auboen martin	-|---|-----|
quilorsregno ut	--|---|-----⌫-|
ce lchacan oncpoorn	--⌫|----||--|---||
enpeleri nage enala	-|------⌫---|-|--|
acha bleeset lor ala	|---⌫----|-|--||-|
delor reliques	-|--|-------|
demande es	-------⌫-|
mesmoltlesli ontbien	--|---|--|-|--|---|
lichanoinelors lorpria	-|-------|---|--|---|
q uela oulen martiria	-⌫-|-|-|--|-------|
saint moriceli mostrisson t	----|-----|-|----------⌫|
etiusquelale	-|-----|-|-|
me nissont	--⌫------|
lorslont mené queplus ni	---||--|----|--|---|||
et qua ntm artinsleli eu	-|---⌫-|-⌫-----|-|--⌫-|
oucil furentmartirié	-|--|-----|--------|
si amaintenantdieu prié	-||---------|---|----|
quec hosefeirelipleust	--|-⌫---|----|-|-----|
de sreliques eust	--⌫|-------|---|
lors tre tzz	---|---⌫|-|
petit cout elet	----|----⌫---|
poremporterzz moncelet	--|-------|-|-------|
d elate rr epors ai ntuaire	-⌫|-|--⌫--⌫|--|-⌫--⌫------|
puissaill it nede mora gaire	---|-----⌫-|-|--⌫---|----|
unb oillonde sancc ontremont	-|-⌫-----|-|---|-⌫--------|
quid e se i pre ndrele s em ont	--|-⌫|--⌫|---⌫---|-|-⌫--⌫--|
amp ole saprises	---⌫---⌫||-----|
reliquesmises	-------|----|
queno stre si resli	--|--⌫---|--⌫--|-|
n oncp ui s	|--|-⌫--⌫|
li sansnebo i llonna	-|---|-|--⌫-⌫-----|
grantfut licriz parmi	----|--|-|---|----|
ontl ic lercyy	--|-⌫|-⌫---|-|
de sampoles t o utesfermees	--⌫|------|-⌫-⌫---|------|
etosonseau	-||--|---|
m artinsenso nt	-⌫-----|-|--⌫-|
yy remeses	-|------|
lunee mp artitayy	|--|-⌫|-⌫----||-|
aangiersense mble	|------|----⌫---|
l autre quicrient qu elen	|----|-||-----|--⌫|--|
atoziorzasoncol por tee	|--|---||--|--|---⌫--|
quantil morute lfutdonn e e	----|-|----|-⌫|--|----⌫-⌫|
al iglise ousoncors repose	||-----|-|--|---|-----|
s anz en osternesunechose	-⌫--|-|----|-----|----|
po r ce fut	--⌫|-|--|
encelecontree	-|---|------|
lig lisede martin fondee	|--⌫---|-|-----|-----|
cilq ui curede	--|-⌫-|---|-|
seiornou t	----||--⌫|
candes ento r nout	----||----⌫-⌫---|
pa r l a riu ie redeui enne	--⌫|-⌫|---⌫--⌫-|-|--⌫---|
ouou tun eygliseancienne	-|--⌫|--⌫|-----|-------|
demadamesaintemarie	-|-|---|-----|----|
ilecemmi lapraieri e	---|---|-|-------⌫|
trouasaint	----|----|
mesmequi n efi ne	----|--|-⌫|--⌫-|
de me tre pi erre e nsa santine	-|--⌫--|--⌫---|-⌫|-|------|
qu ilfeseit	-|-|-----|
ile questreire	---⌫---|-----|
porliglisedech ino n	--||-----|-|--⌫---⌫|
saint mes mepr ea	----|---⌫-|--⌫-|
qu alastolui	-|----||--|
quar sa uo iea	---|-|--⌫-||
d al eraromme apareilli ee	|--⌫-||----|---------⌫-|
cillidistq ua celefiee	--|-|---|-⌫||---|---|
n ipoueit alerporrie ns nee	||-----|---|--|---⌫-|--|
iusque sigliseaitacheuee	-----||-----|--|------|
irauolo ntiers	--|----⌫-----|
l orssemeitma rtinsen	-⌫--|-|---|--⌫----|-|
s ent iers	-⌫---⌫---|
iriezaucuerdedenzle	----|-|---|-----|-|
e nson chalan s en	-⌫|--|-----||-|
porsa pierreac hinonmene r	--|-|-----||-⌫----|----⌫|
tantost commence a demener	------|-------||------|
leuelechalan durem ent	|--|-|-----|-----⌫--|
etlesondessireide ment	-|--|----|-|-----⌫---|
