carleslireisnostre emperemagnes	-----|-|---|-----|-----|-----|
pa ienescrientpr ecie uselapelen t	--⌫--|-------|--⌫----⌫--||------⌫|
dient franceisdeuos	----|-------|-|--|
seithoigrantp e rte	---|--|----|-⌫-⌫--|
mult ha lt ementmunioier enuuelent	---|--⌫--⌫----|------|-⌫--------|
liempererei faitsuner sesgr eisles	-|-------||---|----|--|--⌫-----|
elolifan ki t re stuzlesesc lair et	||-----|-|-⌫--⌫---|--|---⌫----⌫-|
dient paienlagentest bele	----|----|-|---|--|---|
batailleaur ume	-------|---⌫-||
ad uree epesme	--⌫---||----|
g rantes tlaplaigne elargelac untre e	-⌫---|--⌫|-|------||----|-|-⌫-----⌫|
luisentcilelm e a sperresdor	------|--|---⌫|-⌫|-----||-|
e cezescuzecezbron iessafrees	|--|----||--|----⌫--|------|
ecezespiez	|--|-----|
c ezenseignesfermees	-⌫-|--------|------|
sunentces gre isl es	-----|--|---⌫---⌫-|
l esu oizens unt	-⌫-|-⌫--|-|-⌫--|
mult c l eres	---|-⌫-⌫---|
delolifanhaltes suntl esmenees	-||-----|-----|---|-⌫-|-----|
liami ralzenapeletsu nfrere	-|---⌫---|-|-----|--⌫|----|
coestcanabeu s lireisde flore dee	-|--|-------⌫|-|---|-|-----⌫--|
ciltintla te rre entre squ	--|---|-|--⌫--|-----⌫--|
enua lseuree	-|--⌫|-----|
les es chelescharlunli admus trees	--|--⌫-----|------|-|-|---⌫----|
ueezl orgoil defrance	---||-----|-|-----|
mu ltfier eme ntcheualchet li	--⌫-|----⌫---⌫-|---------|-|
ilestdarere od cele	-|--|-----|-|---|
gent b arbee	---|-⌫----|
des ur lur	---⌫-|--|
bro nieslurbarbesu ntgete es	---⌫---|--|-----|-⌫-|----⌫-|
al tresiblan chescumene ifsurgelee	--⌫----|----⌫---|---|--⌫-|--|----|
ciliferruntdel ancesedespees	--||------|-|-⌫----|||-----|
bata illeaurume	----⌫---|----||
forte eadur ee	----||----⌫-|
unkesnulshomneu ittel	----|---|--|-|-⌫-|--|
plu squ om ne la ncetune uer gepe lee	---⌫|-|-|-|--⌫---|--|---⌫-|--⌫--|
baligant ad	-------|-|
ses cu mpai gnes trespas sees	--|--⌫----⌫---|-------⌫---|
unerais onlur aditem ustree	--|----⌫-|--||--||-⌫-----|
uenezpaien kario n iraien	----|----|--|-||---|-|
desunespietla hansteenadb ranlee	-|--|-----|-|-----|-|-|-⌫-----|
enuers karlunlamureen adturnee	-----|-----|-|---|-|-|-----|
carlesli magnescu mil	-----|-|-----|--⌫|-|
uitl amiraill	--||-------|
eledragonlenseign e	|-|-----||-------⌫|
elestandar t	||--------⌫|
de celsdarabesigrantfo rc e ipar	-|---||----|-|----|--⌫--⌫||--|
delacuntree untpur p r ises l esparz	-|-|------|--|---⌫-⌫-⌫---|-⌫-|---|
nemesqueta ntle mpere res	-|--|--|--⌫-||-⌫-----⌫--|
lir eis de france sen	-|-⌫--|-|-----||-|
escr iet m ult halt	----⌫--|-⌫--|---|
baronsfranceisuos estes bonsuas s als	-----|-------|--|----|---|---⌫-⌫--|
tantesbataillesauezfait esencamps	-----|--------|---|----⌫-|-|----|
u eez paien	-⌫--|----|
felu nsunt ecuart	----⌫|---||----|
tuteslorleisundener ne	----|--|---|-|----|-|
g rantgentd icoseignursqui calt	-⌫---|---||--|-------|--|---|
kierreruo eltameiuenirs	-|----|--⌫--||--|----||
deses perons	--|--⌫-----|
puisbrochetlecheua l	---|------|-|-----⌫|
etencendorli adfait yy salz	|--------|-|-|---|-|---|
dient fr an ceisicistreisestu assals	----|--⌫--⌫---|----|---|--|-⌫-----|
cheualchezbersnul	---------|---|--|
denus neuus falt	-|--|-|--|---|
cl ers fut	--⌫--|--|
liiurzel isoleilzluisanz	-|---||-⌫|------|------|
les o zsunt	--|-⌫|---|
belese les	----||--|
cumpaignesgranz	---------|----|
iustees sunt le s	------|---|--⌫|
eschel esdeuant	------⌫-|-----|
liqu e nsr a bel s	-|--⌫-⌫-|-⌫-⌫---⌫|
lascent les	------|--|
l orce uals curanz	-⌫-|--⌫---|-----|
bro chentaeitdunclaisent	---⌫----||--|---|------|
curre francs	----|-----|
ferirdelurespiez trenchanz	----|-|--|-----|--------|
liquensrabelsest	-|----|-----|--|
cheuale rhardiz	-------⌫|-----|
lecheual broch et des e sperunsd orfin	-|-----|-----⌫-|--|-⌫------||-|--|
siuait f erir torleulerei	-|---|-⌫---|-----|-|--|
nescu tnebroniene	|----⌫|-|-----|-|
p out suncolp	-⌫--|--|---|
lespiet aor l iadenz	|-----||-|-⌫|-|--|
elc ors mis	-|-⌫--|--|
quemortla bat	--|---||-⌫--|
sur unboissunpetit	--|-|------|----|
di entfranceisdamnedeusnosait	--⌫--|-------|--------|--|--|
carlesad dre it nelideuomfaillir	-----|-|---⌫-|-|-|----|------|
eguineman iustetaun reileu ti ce	|-------|-----||-|--|---⌫--⌫-|
tutelifreintl at arge	---|-|-----|-⌫|-⌫---|
kiestf l uri e	-|--|-⌫-⌫---⌫|
apresl iadlab roniedescunfite	----|-⌫|-|-|-⌫----|---------|
tu telenseigneli a denz e lcors mise	--⌫-||-------|-|-⌫|--|-⌫|---|---|
abatkiquen pl u rtuk in	---|-|-|-|--⌫-⌫-||-⌫||
aicestcopcil	|----|--|--|
ferez bar onneuostargezm ie	----|---⌫-|-|--|-----|-⌫-|
carlesaddreit uers	-----|-|----|---|
deusnusadmis al plusue raii uise	---|--|-|--|-|---|--⌫--|-⌫---|
malpr amis siet suru nc heual	-----⌫---|---|--|-⌫|-⌫----|
cunduitsun cor senla press e desfr ancs	------|--|---⌫|-|-|-----⌫|--|--⌫---|
deuns es altres granz colp s	-|--|-|-----|----|----⌫|
i uaitferant	|---|-----|
sur laltresuuent uait tr e sceuant	--||----|-----|---|--⌫-⌫------|
tut premereinsses crietbalig ant	--|---------||--⌫----|-----⌫--|
ba ronnurrituosai lung tens	--⌫--|-----|--|-|---|---|
ueezmunfil scarlunleuait	---|--|---⌫|-----|-|---|
a ses armestanz	|--|----|---|
b arons calun iant	-⌫----|-----⌫---|
meilloruass aldeluiiane dem ant	------|----⌫-|-|--|-|-|---⌫--|
succu rez le	-----⌫--|-|
auozes pie z t renchant	|--|--⌫---⌫|-⌫-------|
aicestmot paienuene ntauant	|----|--|----|----⌫-|----|
dursc olp si	---|-⌫---⌫||
fieren tmult e s tl icaplesgranz	------⌫|---|-⌫-⌫|-⌫|-----|----|
labataille es t merueillusee pesant	-|-------|--⌫|----------||-----|
sifortenceis nepuisceltens	-|---|-----|-|---|--|---|
granzs untlesoz	----|-⌫--|--|-|
elescump ai gnesfieres	|--|----⌫--⌫---|-----|
iu stees sunttrest utesle sesc heles	--⌫----|---|-----⌫---|--⌫|---⌫----|
merueilluseme nt fierent	-------------⌫-|------|
deustanteshanst esia d parmi brise es	---|-----|-----⌫-||-⌫|----|-----⌫-|
escuzfruiseze bronies desma illees	----|------||------|-----⌫-----|
la u eisez	-|-⌫----|
la tere siiu nch ee	-|---|-|--⌫---⌫-|
l er bedelcamp	|--⌫-|--|---|
ki est uerte edelgee	-|--|----||-----|
liamiralzrecleimesamaisn ee	-|------|-------|-|-----⌫-|
ferez baronsur	----|----|--|
chres tiene	-----⌫----|
la ba t aille estmul t	-|--⌫-⌫----|--|---⌫|
dureeafichee	---||------|
puis n e futsifortai ustee	---|-⌫|--|-|---|--⌫----|
iosqu al anenertfinsot riee	----||-⌫|--|--|---|--⌫---|
li amira lzlasuegent apelet	-|-----⌫-|-|--|---|-----|
fe rez paienporel	--⌫--|----|--|-|
uenu dnie stes	----⌫|||-⌫---|
iouosdurraimuillersgentes	-|--|-----|-------|-----|
siuosduraifeusehon orseteres	-|--|----|---||---⌫--||----|
paienrespunde nt	----|--------⌫-|
deuun s benfer e	-----⌫|--|---⌫|
acolpsplenersdelor es pie zi	|----|------|-|--|--⌫---⌫||
plusdecentm ilieesp eesiunt traite s	---|-|---|-⌫---|---⌫--||--|------⌫|
edulur usepesmes	|-----⌫-||-----|
batai lle ueitci lki	-----⌫--|---|--⌫|-|
ent relsuolt e stre	---⌫|--|---|-⌫---|
liemper ererec le imet sesfranceis	-|-----⌫--|---⌫--⌫---|--|-------|
se ignors baronsiouos aimsiuoscrei	--⌫-----|-----|-|--|--|-|--|---|
tantesbatail les	-----|------⌫--|
auezfait espurmei	---|----⌫-|--|--|
re gnes cunquis e desordenétreis	--⌫---|------||----------|---|
ben leconuisquegueredun uosend ei	--|-|-----|--|-------|--|-|-⌫-|
ed emunco r sdet erre sed	|-⌫|--|--⌫-⌫|-|-⌫----⌫|||
u en ge zuoz	-⌫--⌫--⌫|--|
fizuosf rereseuozheirs	--|--|-⌫----||--|----|
qu en ren cesual sfurentmor zlaltreseir	-|-|---⌫------⌫|-----|---⌫||----|---|
ias auezuo scuntre	-|-⌫---|--⌫|-----|
pa iensaidrei t	--⌫---|-|----⌫|
respo ndentf ranc sireuos	-----⌫----|-⌫---|---|--|
di tesu eir	--⌫--|-⌫--|
itels yymiliersenad	----|-|------|-|-|
cumune mentl enpram etentlorfeiz	------⌫---||-|----⌫----|--|---|
nelifaldruntpurmortne pur	-|-|-------|--|---|-|--|
nen i adce l	|-||-|--⌫|
de lu r espees i	-|--⌫|-----||
fie rentdem aneis	---⌫---|---⌫----|
labataille estdemer u ei llusdestreit	-|-------|--|-|---⌫-⌫--⌫---|-------|
emalpramisparmile campcheualchet	|--------|----|-|---|---------|
de celsd efrance i faitmu ltgrantdamage	-|---|-⌫|-----||---|--⌫-|----|-----|
nai mesli d uxfie rementlereguardet	---⌫--|-|-⌫-|---⌫-----|-|--------|
u aitlefe rircumhume uertudable	-⌫--|-|--⌫--|--|---|---------|
de s unescutlif rei nt lapene h alte	-|-⌫-|----|-|-⌫---⌫-|-|---|-⌫---|
de sunosberclesdouspans	-|--|-----|--|---|---|
lidesaffre t	-|--------⌫|
el corslimettutel	-|---|-|--|---||
enseigne ialne	-------|----|
quemortentreyydesaltr es	--|---|----|-|--|----⌫-|
reiscanabeus lefrer ea	---|-------|-|----⌫||
des esporuns benbrochetsun	--|-------|--|------|--|
traitadlespeele punt e st d ecris t al	----|-||----|-|---|-⌫-|-⌫|----⌫-⌫-|
si fiertnaimunenl elme	-|----|-----|-||---|
principa l	--------⌫|
l un emeitietlen	|--⌫|------||-|
fruissedd unep art	-------||--|-⌫--|
trenchet yydes laz	-------|-|--|--|
licapelersundener ne	-|-------|-|----|-|
tre nchetlacoifeentresque al achar	---⌫----|-|----|--------||-⌫|---|
iusa la tereunepieceen abat	--||-|---|--|----|-|---|
gra nz fut li col p sli duxen estona t	---⌫-|--|-|---⌫-⌫|-|--|-|------⌫|
sempres caist s edeusne lia idast	------|----|-⌫|---|-|-|-⌫----|
destrerlecole n enbracat	------|-|--|-⌫|-------|
paien sune feiz	-----⌫|--|---|
r ecuurast	-⌫-------|
sempres fustmortli nobiliesua s sal	------|---|---|-|-------|--⌫-⌫--|
carles de franceiuintkil	-----|-|-----||---|-||
naimeslidux tantp ar est an gu issable s	-----|-|--|---|-⌫-|--|--⌫--⌫-------⌫|
paiensdeferi r m ultleh astet	-----|-|----⌫|-⌫--|-|-⌫----|
carles lidistculuertmar le	-----|-|---|------|--|-|
baillastes	---------|
ferir par sun g rant uasselag e	----|--|--|-⌫---|--------⌫|
lesc utlif rei nt cuntrelec oer liq uasset	|---⌫-|-|-⌫---⌫-|-----|-|-⌫--|-|-⌫-----|
desun os be rcli	-|--|--⌫--⌫-|-|
desrumptlauentaille	-------|-|--------|
que mortl a batla	--|---||-⌫--|-|
seleen remeint	---|-|------|
mult ad grant	---|-|----|
doelc arlemagnesli reis	---|-⌫---------|-|---|
quant na i munueitnafrét	----|--⌫-⌫--|---|------|
deua nt sei	----⌫-|--|
s url erbe uertelesanc tut cler	-⌫-||---|----|-|---|--|---|
liem pe reresliaddi t	-|--⌫--⌫----|-|-|--⌫|
a cunseill	|-------|
belsire naime skarcheualcez od mei	--|---|-----⌫|--|--------|-|--|
morz estligluzkien destreituus teneit	---|--|-|---|-|-|-------|--|-----|
elcorslimis mu ne spietune	-|---|-|--|--⌫|-⌫----|--|
respuntlidux	------|-|--|
seio uifalquesmult	-|-|--|-----|---|
gr antp rodi au reiz	--⌫--|-⌫--||--⌫---|
puis s unti us te z paramurepa rfe id	---|-⌫--|-⌫--⌫--⌫|--|---||--⌫|--⌫-|
ensembl od elstels yymil iefranceis	------|-|--|---|-|---⌫-|-------|
niadceloi quen	||-|----|--||
i fierge oni capleit	|-----||||------|
li amiralzcheu alchetpar l ecamp	-|------|----⌫-----|--|-⌫|---|
s iuaitferirle cunte	-⌫|---|----|-|----|
cuntre lec oe rlif ruisset lescut	-----|-|-⌫--⌫|-|-⌫------||----|
desun osbercli	-|--|-----|-|
de rumpitlespans	--⌫-----|--|---|
lesdo us c ostezlide seiuret des flancs	--|--⌫-|-⌫----|-|--⌫------|--|-----|
cheualcurant	-----|-----|
puis adocisgebuinelorain	---|-|---|-----||-----|
ri chartl euei llle sire desn ormans	--⌫----|-⌫|---⌫-|-|---|--|-⌫-----|
paienescrien t	----|-------⌫|
pr e ciu seestuaillant	--⌫-⌫---⌫-|--|-------|
ferezbar on nusi	----|---⌫-|--||
auomguarant	---|------|
kipuis uei st licheual erd	-|---|---⌫-|-|------⌫-||
celsdo cciant	---||-⌫-----|
edargoilli ee	||--------⌫||
debasc l e	-|----⌫-⌫|
delures pi ezbeni fierentecaple nt	-|--|--⌫--⌫-|--||------||-----⌫-|
e lifra nceis	|-|---⌫----|
nunt talentq u e	|--|-----|-⌫-⌫|
asezimoere nt ed esuns	---||-----⌫-||-⌫-|--|
edesaltres	|--|-----|
entresqu al	-------|-|
uespreestmult fort la	-----|--|---|---|-|
b at ail le	-⌫--⌫---⌫-|
des francsbarons i ad mult gran dam age	--|-----|-----||-|---|---|---⌫--|
do el iaur a tenceisqu eledeparted	--⌫-||---⌫-⌫|-------|--|-------|
ifierent fr ancei s earrabi t	|------|--⌫-----⌫||------⌫|
fru is sentcilh anstes eci les piez	---⌫--⌫---|--|-⌫-----||--⌫|--⌫---|
kiduncueistcezes cuzsimalmis	-|---|----|--|--⌫--|-|-----|
cez blancsosbe rcskid uncoist	--|-----|----⌫--|-|-⌫--|---|
ecez escuzsur	|--|----|--|
c ezhelmescr uisir	-⌫-|-----|--⌫----|
cez cheualers kidunc ueistcair	--|--------|-|---|----|---|
ehumes braire	|----|-----|
contretere murir	-----|---|----|
de gr antdulor li poust suueni r	-|--⌫--|----|-|----|------⌫|
ces tebat aillees tmultfortasu ffr ir	---⌫-|---⌫----|--⌫|---|---||--⌫---⌫-|
liamiralz recleimetapo lin	-|------|--------|---⌫--|
e teruaganemahumetaltresi	|-------||------|------|
midamnedeu iouo s	-|-------|-|--⌫|
tute s tesym agenesf erai d	----⌫|--|--⌫-----|-⌫---||
a sli de uantu nsoe ndrut gemalfin	-⌫|-|--⌫---|-⌫|---⌫|---|-------|
males nuueles li aport ete dit	----|------|-|-----⌫-||--|
bali ga nts ire males teoibai llit	----⌫--⌫-|-⌫--|--|--⌫-|-|---⌫---|
perdutauezmalpram isuostre fils	-----|---|-------⌫-|-----|---|
ec anabeusuos tre	|-⌫------|---⌫--|
frereestocis	----|--|---|
a do usfrancei s b el eme nt en auint	|--⌫-|-------⌫|-⌫--⌫---⌫-|-|----|
liempereresen est	-|--------|-|--|
g ra nz adl e corsbenresenbletmarchis	-⌫--⌫-|-|-⌫|---|--|--------|------|
bl anca dlabarbe cumefluren	--⌫--|-⌫|-|----|---|---|-|
li amiralz enad	-|------|-|-|
lehelmeenclin	-|----|-----|
eenapre ssin enbrunk etsun	|-|----⌫|-||-------⌫-|--|
sigrantdoelad se mpresquiadmurir	-|----|---|-|--⌫----|----|----|
s inapelat iangle ulul tremarin	-⌫||-----|------⌫||--⌫-------|
di stlami railliang leuuenez auant	--⌫-||---⌫----|----⌫--|----|----|
uosestesproz e uostresaueir est grant	--|----|---||-----|-----|--|----|
uost recunseillai	----⌫-|-------|-|
queuos ensemble t	--|--|-|------⌫|
d a rrabize	|-⌫-----||
aurumn oslaui ct o rie delch amp	----|-⌫-|-|--⌫--⌫-⌫--|--|--⌫--|
e c ilr espuntmor z e stesb aliga n t	|-⌫-|-⌫-----|---⌫|-⌫---|-⌫-----⌫-⌫|
iauostrede une uos erent gua rant	-|-----|--⌫|-|--|----|---⌫---|
carlesest fiers	-----|--|----|
esihume ua illant	|-|---|--⌫-----|
uncne uige ntki	--|-|-|--⌫-|-|
sifustcum batant	-|---|---⌫-----|
maisreclamezl esbarons	---|-------|-⌫-|-----|
tu rcseenfrunsarabi zeiaianz	--⌫--||------|-----⌫||-----|
co quees treendeitnelalezdemura nt	-|--|--⌫--|-|---|-||---|------⌫-|
liam ira ill a dsabarbe forsmise	-|--⌫---⌫--|-⌫|-|----|---|---|
altresiblanchecumefl ur en esp ine	------|------|---|--⌫-|-|---⌫--|
cu mentquilseit nesiuoelt celer mie	--⌫---|-|-|---|-|||----|----|--|
metasa bucheune clere	--||-|----|--|----|
sunet lacle r quesipai en lo irent	----|-|---⌫|--|-|---⌫-||-⌫----|
par tut le camp sescumpaigne sr ali ent	--|--|-|---|--|---------⌫|-⌫---⌫--|
cildocianti	--||-----||
braient ehenissent	------||--------|
arguillesi	-------|-|
iglat issent	|----⌫-----|
requerentfrancpa r	--------|----|--⌫|
sigrantestultie	-|----|-------|
el plus es pesses rumpe nt	-|---|--⌫--||-|-----⌫-|
ep art issent	|-⌫---⌫-----|
aicestco lp	|----|--⌫-|
e n ietent mort yymilie	-⌫|-----|---|-|----|
liquensogercuardisen ou tunkes	-|----|---|-------||--⌫|----|
meilloruassaldelu ineuestitbr onie	------|-----|-|--⌫|-|-----|--⌫---|
franceislese schele suit rumpre	-------|--|-⌫------⌫|--|-----|
siapelatti errileducd argone	-|-----|--⌫---|-|--||-----|
ge fr eid anioueio z er anle	--⌫--⌫-||----||--⌫-⌫--⌫-|-|
m ult fierem ent carles	-⌫--|------⌫--|-----|
e naraisu ne t	-⌫|------⌫--⌫|
ueezp a iencumoci en t uozhum es	---|-⌫-⌫--|--|---⌫--⌫|--|---⌫-|
ia deuneplacetqu el chef p o rtezcorone	-|--|-|-----|-|-|---|-⌫-⌫---|-----|
s or nifere z puruengeru o s t re	|-|||----⌫|--|-----|-⌫-⌫-⌫-⌫-|
ni adice lki	||-|---⌫|-|
un s ul motrespun det	-|-⌫-|--|------⌫--|
brochentad e itlorceua lslaissent	-------|-|-⌫-|--|----⌫-|-------|
uunt lesf e rirla o	---|--|-⌫-⌫--|-||
encun trent	-----⌫----|
mu ltben i f iert c arle magnes l ir eis	--⌫-|--||-⌫---|-⌫----⌫-----|-⌫|-⌫--|
n aimes liduxeoger l idan eis	-⌫----|-|--||---|-⌫|---⌫--|
aniou kil enseigneteneit	----|-||-------|-----|
multparestproz	---|--|--|---|
danzogers lida neis	---|----|-|--⌫---|
puint leceu al lai ss et	----|-|---⌫-|---⌫--⌫-|
ferirceluik i ledraguntenei t	----|----|-⌫|-|-----|-----⌫|
qu amburecrauen teen	-|-----|------⌫-|-|
l a place deuant sei	-⌫|----|-----|--|
eledra gone	|-|---⌫--||
lense ignelerei	|----⌫---|-|--|
ba l igan tueitsungunfanun	--⌫-⌫----⌫|---|--|-------|
el estandar tmahu met	||--------⌫|----⌫--|
li amiralza lquessenaperceit	-|------|-⌫----||-|-------|
queiladtor tecar le magne sd rei t	--|-|-|---⌫||---⌫--⌫-----⌫|-⌫---⌫|
paien darab esenturnentplusyy	----||----⌫||-|------|---|-|
liemp erer er ecleimet s espare nz	-|---⌫----⌫|-⌫-------|-⌫-|----⌫-|
dites baro npordeu si	----|----⌫|--|--|-|
ma idereiz	|-⌫------|
respundent francs marle	---------|-----|--|-|
demand ereiz	------⌫----|
trestut seitfel	------|---|--|
kin ifierget a e s pleit	-|||------||-⌫-⌫----|
iurzsiturnet	---|-|-----|
ala u espree	|-|-⌫-----|
paienifieren tdesespees	----||------⌫|--|-----|
cilsu ntuassal	--|--⌫-|-----|
ki lesoz aiusterent	-|--|-|---------|
lorenseignesn i untmieubliees	--|--------|||--|--|------|
li pre ciuse adcriee	-|---⌫----|-|----|
carles munioielen seigne	-----|------||--⌫-----|
l unconuist laltreashal tes	|-|------||----|-|---⌫--|
uoi zea scleres	---⌫||-⌫|-----|
enmileca mpamdui sentr encunt rerent	---|-|--⌫-|----||---|------⌫-----|
si seuu nt f erirgra nz	-|-|--⌫-|-⌫---|---⌫-|
entredunerent	------------|
delores piez enlor targes	-|--|--⌫---|-|--|-----|
fraitesles	------|--|
untdesuzces	--|----|--|
bucleslees	-----|---|
delorosb ercs les	-|--|---⌫---|--|
pans en deseurere nt	---|-|---------⌫-|
d edenzcezcorsmie nes ad eserent	-⌫----|--|---|--|-||--⌫------|
rumpent cez ce n gl e s ecez seles	------|--|--⌫-⌫--⌫-⌫||--|----|
uerseren t	--------⌫|
cheentlireiatere se	-----|-|--||---|-|
turbecherent	-----------|
isnele men tsur lorpiezr eleuerent	------⌫---⌫|--|--|---|-⌫--------|
multuassalment unt traiteslese spees	---|---------|--|------|--|-⌫----|
ces tebataill e nene r tmais destornee	---⌫-|-------⌫||-|-⌫-⌫|---|--------|
seinzhum emortnepoetestre a cheuee	----|---⌫|---|-|---|----|-⌫-----|
m ult estuassalcarles de f rancedul ce	-⌫--|--|-----|-----|-|-⌫----|---⌫-|
li amira lt ilnelcrent	-|-----⌫-|-|-||----|
cezlorespees tutesnues imustrent	--|--|-----|----|---||-------|
surces escu zm ult	--|--|----⌫|-⌫--|
gr a nz colps	--⌫-⌫-|----|
s e ntre dun ent	|-⌫----⌫---⌫--|
trenchent lesq uir secezfuzki su nt	--------|--|-⌫---⌫||--|--|-|--⌫-|
cheentli clousip eceren tlesbucles	-----|-|---|-|-⌫------⌫|--|-----|
p uisfierent il	-⌫--|------|-|
nudanudsurlur b ronies	--||--|--|--|-⌫-----|
desh elmesc lerslifous	--|-⌫----|-⌫---|-|---|
enesca rbunet	-|----⌫-----|
cesteb a taillen e poe tremaneir u nkes	----|-⌫-⌫-----|-⌫|---⌫|-------|-⌫---|
iosqu eliunss untortireconuisset	-----⌫|-|--|-⌫-|---||----------|
distl amiraill	---||-------|
carleskartepurpenses	-----|--|-|--------|
sipr e ncun seill que ue rsmeite	-|--⌫-⌫|---⌫----|--|--⌫-|--|-|
mortasmun filzpar	---|-|--|---|--|
le me nesciente	-|--⌫|-------|
a multgran ttortmun	|---|----⌫|---|--|
de uen meshom en fe deltet	--⌫--|--|--|-|--⌫-----|
uoeillre nd r e	-----|--⌫--⌫-⌫|
uenmei seruir	--|--|-----|
quenoriente	-|-|------|
carlesrespuntmult g ra nt	-----|------|---|-⌫--⌫-|
uilte tmesemble	-----⌫|-|-----|
paisneamo rne deia	---|-|---⌫|-|--||
paienrendre	----|-----|
r eceifla leique	-⌫----|-|--|--|
d eusnosapresen tet	-⌫--|--|-------⌫--|
christie ntetepuite ameraisempres	--------⌫---||--|-|-----|------|
puisserfecreile reiomnipotente	---|---||---|-|--|----------|
distbaligantmaluais sermun c umences	---|-------|------|-----|-⌫------|
pu is uuntferi r	--⌫-|---|----⌫|
desespeesqu unt ceintes	--|-----|-|--|------|
li amiralz estmultd egrant	-|------|--|---|-⌫|----|
fie rcarle magnesur	---⌫|-----⌫----|--|
da cerbrun	|-⌫--|---|
desur latesteli adfraitefendut	----|-|----|-|-|----||-----|
espeesurlescheuelsmenuz	----|--|--|------|----|
prentdela car ngrantp l e inep alme eplus	----|-|-|---⌫|----|-⌫-⌫-⌫--|-⌫---||---|
iloecen dre i t remeintli ostut	----|--⌫---⌫-⌫|------|-|-|--|
carles cance let	-----|-----⌫--|
por poiquilne stcaut	--|--|-|-||-⌫-|---|
mais deusne uolt quil	---|---|-|---|-|-|
sei tmort n e	---⌫|---|-⌫|
se intg a brieles t r epai réta lui	--⌫--|-⌫-⌫----|--⌫|-⌫----⌫---||--|
sili demandetreismagnesquef aistu	-|-|-------|---|-----|--|-⌫--|-|
quant carle s oit	----|-----⌫|--|
lasei nte uoiz	-|---⌫--|---|
n enadpournedemurird utance	|-|-|---|-|-|----|-⌫-----|
repa iretloi uigur	----⌫---|--|----|
er emembr anc e	|-⌫------⌫---⌫|
fiertlamira ill	----||-----⌫--|
delespeede	-||----|-|
lelmelifreinto	|---|-|-----||
l i gemmerefl ambent	-⌫|----|----⌫-----|
l a t estep urlacerueleesp andre	-⌫|-⌫---|-⌫-|-|------|---⌫----|
tut leuistresquenla	--|-|--|-----|-|-|
barbeblanche	----|------|
que mortl ab a tsenz n ulerec uur ance	--|---||--⌫-⌫|---|-⌫--|---⌫---⌫---|
munioi e esc rietpur lareconu isa nce	------⌫|---⌫---|--|-|------⌫---⌫--|
aicestmotuenuzi	|----|--|----||
estdux neim es	--|--|----⌫-|
pren t tencen dur	----⌫|------⌫--|
munté t iestl ireis ma gnes	------⌫||--|-⌫|---|--⌫---|
pai ensenturnentneuolt deusqu ili	---⌫-||-|------|-|---|---|-|-||
remainen t	--------⌫|
orsuntfranceisaicels quildem andent	-|---|-------||----|-|-|---⌫-----|
paiense n fuientc umda mnesdeusleuolt	----||-⌫|-----|-⌫-|--⌫-------|-|---|
encalce ntfrancselem p erer eauoec	-------⌫-|-----|||--⌫-⌫----⌫|----|
codistlir e is s ei gn urs	-|---|-|-⌫-⌫-|-⌫--⌫--⌫--|
uengezuozdoels	-----|--|----|
siescla rgiezuozt al enz e	-|-----⌫----|--|-⌫--⌫--||
k ar hoima tinuosui p lurerd es	-⌫-|--|--⌫--|--|-|-⌫----|-⌫-|
respo ndent f rancsireconuse stoet	-----⌫----|-⌫---|---|-|--|-⌫----|
ca scunsif ierttanzgranzcolp scumi l	--⌫----||-⌫---|---|----|----⌫|--|-⌫|
poi sen est oerst ren td	--||-|---⌫-----⌫---⌫||
su ntiloec	--⌫-|----|
g ranzestlicalz	-⌫---|--|-|---|
si s eleuet la	-|-⌫|----|-|
paie nsenfuiente franceisles a nguisse nt	----⌫||-|-----||-------|--|-⌫-------⌫-|
l ienchalz dure tdiciqu	-⌫|------|----⌫||--|-|
en sarraguce	-|--------|
ens u msa turmunteeest bra midonie	---⌫-⌫|-|--|-----|--|---⌫------|
e nsembl od	-⌫-----|-|
clerce sica nonie	----||-|--⌫----|
deus nen amat	---|--|---|
ordre s nenuntne en lorchefs corones	-----⌫|--|--|-|-|--|----|------|
q uantele uitarr a bizsic u nfundre	-⌫---|--|--|---⌫-⌫--|-|-⌫-⌫------|
ahalt euoiz	|----⌫|---|
sescri ea ieznosm ahum	|-----⌫|-⌫--|--|-⌫---|
suntu encuznoz hu mes	---|-⌫----|--|--⌫--|
liamiral zocis a sigranthunt e	-|------⌫|---||-|----|----⌫|
quantlotmarsilieuerssa	----||-|-------|---|-|
pareit seturnet	-----|-|-----|
p l uretdesoi lz	-⌫-⌫---|--|--⌫-|
tutesache reenb ru nchet	---|-|---⌫-|---⌫--⌫----|
mor z es tdedoe l	---⌫|--⌫|-|---⌫|
sic umpecchet lencum bret	-|-⌫-|------||-----⌫---|
lui as uifs	--|-|---|
diables dune t	------|----⌫|
paiensuntmorz	----|---|---|
alq uantcunfundue	---⌫---|--------|
e carlesa ds abatailleuencue	|-----|-⌫|-⌫|-------|-----|
de sarra g uceadlaporte aba tu e	-|-----⌫-⌫--|-|-|----|---⌫--⌫|
orsetilbenqueelle	-|--|-|--|--|---|
n e stmaisd efendue	|-⌫-|---|-⌫------|
pren tlacitetodsa genti est	----⌫|-|----|-|-|---||--|
p arpoestetic ele	-⌫-|------|--⌫--|
noitiiurat	---||----|
fiersest lireisala	----|--|-|---||-|
barbecanue	----|----|
