quiparoleauroipesche or	--|-----|-|--|------⌫-|
perche uause sgardesiquid e	------⌫---|-⌫-----|-|----⌫|
qu epor le	--⌫|--|-|
roiassise if u st	--|-----||-⌫-⌫-|
etqu es eoiriluecdeu st	-|--⌫|-⌫---|----|---⌫-|
mais por cheque assisle uoit	---|--|--|--|----|-|---|
semerueillequecedeuoit	-|--------|--|-|-----|
quenusas se oir ne siu a	--|--|--⌫--⌫--|-|||-⌫|
leroiapelesiroua	-|--|----|-|---|
c om e n tceuaquenusn	-⌫--⌫-⌫-⌫|-|-|--|--||
enc elechaier et ant	-|-⌫--|------⌫|-⌫--|
atendezuou sne roin epri nche	------|---⌫|-|--|-⌫|---⌫---|
qu i idoie	--⌫||---|
uenirseoir	----|----|
uolent ierssa roi eleuoir	------⌫---|--⌫---⌫|-|---|
comen tuaquele estwi de tant	-----⌫|-|-|--|--|--⌫-|---|
tant cheualier	---|--------|
uoienestant	--|-|-----|
chascunsna liu	-------|||--|
ouilsasiece	-|-||-----|
si les ai esgar dégrant piece	-|--|-|-----⌫--|----|----|
coment puetestreporquelchose	-----|---|----|--|---|----|
enlachaie re seoir	-|-|-----⌫-|----|
dist lirois percheuaus b iaussi re	---|-|---|---------|-⌫---|--⌫-|
caill ede loir	-----⌫|-||--|
ne seroitnus po rf is	-|-----|--|--⌫--⌫-|
d istper cheuausorsuitoz fis	-⌫--|---⌫------|-|--|--|--|
q ue uousn emauez gaireschier	-⌫-|---|-⌫||---|-----|----|
maisque dieusuous ga rtden comb rier	---|--|----|---|--⌫-||--⌫----⌫---|
ence stm ontparfa is	-|--⌫-|-⌫--|--|--⌫-|
etpar di s	-|--|--⌫|
u ostre a meait	-⌫----|-⌫-|--|
s anznule riendedeceuoir	-⌫--|---|---|-|-------|
decel e chaierele uoir	-|---⌫|------|-|---|
me dite ssans d elaieme nt	-|----⌫|---|-⌫-------⌫-|
carsachié sb iencer tainem e nt	--|-------⌫|-⌫--|---⌫------⌫-⌫-|
ia m aiscaiensnemengerai	-|-⌫--|-----|-|-------|
dusques atantqueie	------|----|--|-|
lac ho ison	|--⌫--⌫---|
come ntce auient	----⌫-|-|-----|
qu enusasseoirni ui ent	--⌫|--|------|||--⌫--|
qua ntliroislotsisozpi ra	---⌫-|-|---||-|-|-----⌫-|
p arfondement pu iss i plora	-⌫----------|--⌫-|-⌫|----|
ett restotlibaronens am b le	-|-⌫-----|-|----|---⌫--⌫-⌫-|
etlar o inecemesamble	-|-|-⌫-⌫--|-|-|-----|
e tles p ucelespleuren ttotes	-⌫|--|-⌫-----|-------⌫|----|
dedoe lon tlor roubesdesr outes	-|---⌫|--⌫|--|-----|----⌫----|
niskeu squi ramprosné	--|---⌫|--|---------|
m ainn eteldoelqua nti l	-⌫----⌫|--|---|---⌫-|-⌫|
qu ilsamblequil doi e	-|-|-----|-|-|---⌫|
ma inth omeenaf aitesmarir	--⌫--|-⌫--|-||-⌫--|------|
d e lad olorqueil demaine	-⌫|-|-⌫---|--|-|------|
hef aitil en malese maine	-|-⌫--|-|-|---|--⌫----|
so itentreequi l prese n ta	--⌫-|-----|--||-----⌫-⌫-|
chaiere aporta	------|-----|
pa r coimains preudom estperdus	--⌫|--|----|------|--|-----|
percheuausfutoze sperdus	---------|-|--|-⌫------|
et deldoelquiluoi t	-|--|---|-|-|---⌫|
queo nfait	--|-⌫|---|
etdist al roi se iai mesfait	-|---|-|--|-||-|------|
iesuitozpresdelam ender	-|--|--|---|-||--⌫----|
maisencor uouswe ild emander	---|----|---|--⌫-|-⌫------|
de lach aierel achoison	-|-|--⌫----||-------|
et parquel rai son	-|--|---|---⌫--|
lir oisli dist	-|-⌫--|-|---|
piteusement	----------|
qui ades pleuretenrement	--|---|-----|--------|
h apercheuaus desor quidoie	-⌫|---------|--|-|------|
deuou sauoir	-|---⌫|----|
oreenauraipesanceetire	--|-|----|------|-|--|
p ercheuaus lehastedeldire	-⌫--------|-|----|--|---|
distl iroispercheuau samis	---|-⌫|---|---------⌫|---|
quilechaier emat ramis	--|-|------⌫|||-⌫----|
n ama g airesmoi ne	|--|-⌫----|--|-|
deroche menor	-|----|----|
lem enuoia	-||-----|
parunmessage	--|-|------|
cuidie usen uoithonte etdamage	--|---⌫-|--⌫---|----|-|-----|
ain zquerienmenuol sistconter	---⌫|--|---||-|---⌫---|-----|
s or macoroneetsor	-⌫-|-|-----|-|--|
queachascunehau te f este	--||-------|---⌫-|-⌫---|
ertla chaiereent elpointmise	--|-|------|-|-⌫-|----|---|
co me eleest orendroit	--⌫-|--|--|--------|
e tdis tquedig nes ester oit	-⌫|---⌫|--|---⌫--|-----⌫--|
deseoircilqui con quer roit	-|----|--|--|---⌫----⌫---|
delmon delelosetlepris	--|---⌫-|-|--|-|-|---|
et c equene puetestreapris	-|-⌫|--|-|---|----|----|
parhomeneiane	--|---|-|-|-|
fo rsparceluiquiiser ra	--⌫-|--|----|--||---⌫-|
c est delgraalet	|--|--|----|-|
mais chilis errasanzdou tance	---|---||-⌫---|---|---⌫----|
oruo usenaileuoirconte ́	-|--⌫-|-|-|-|---|-----⌫|
quantpercheuausl	----|---------||
si di st sir e parsaintligi er	-|--⌫-|---⌫|--|----|----⌫-|
cepue ton sauoir	-|---⌫|-|-----|
estencore nu sassis	--|-----|--⌫|----|
oilf a itliroisdusque	--|-⌫-⌫-|-|---|-----|
c heualier sdemacort	-⌫--------⌫|-|-|---|
ma is s il	--⌫-||-|
isissentcef uco rt	|------|-|-⌫|--⌫-|
que l aterrelesenglouti	--|-⌫|----|--|-------|
et d ieusquionquesne	-|-⌫---|--|-----|-|
u ous destortqu e uous	-⌫--|------|--⌫|---|
nise chiez	||--⌫----|
etdistperch euausce	-|---|-----⌫----|-|
seoirorendroit	----|--------|
que u autquanqu	--|-⌫--|-----|
enmedesfendr oit	-|-|--------⌫--|
quepornuluinelelairoie	--|--|----|-|-|------|
sedieu s m e	-|----⌫|-⌫|
doinsthonoreti oie	-----|----|-|-⌫--|
lar oinelotsise pasm e	-|-⌫---||-|-|-|----⌫|
siregauai nsreblasme	---|-----⌫-|-------|
lamortquitost ne lede ueure	-|---|--|---|-|-|--⌫----|
percheu au s enmeisme leure	-------⌫--⌫|-|-----||---|
sor le chaie re seoirua	--|-|-----⌫-|----|-|
lirois tot pl orant seleua	-|---|--|--⌫----|-|---|
etch ascuns quiensus	-|--⌫-----|--|-|--|
lachaiereiectaunbrait	-|------|----|-|----|
si hautco nloi parlasa le	-|---||-⌫||-|--|-|--⌫-|
nenia nu l quinetressale	|-|||--⌫|--|-|-------|
etlaterre sozlac ha iere	-|-|----|--|-|-⌫--⌫---|
fen di etsetrai tsiarriere	---⌫-|-|-|----⌫|-|------|
chaie ren adoise	-----⌫-||-----|
quetou t entor plus	--|---⌫|----|---|
estoit bie nlaterrefendue	-----|---⌫|-|----|-----|
ausi consenla ir	---|--||-||-⌫-|
fu st pendue	--⌫-|-----|
fu toutechoiela chaiere	-|----|----|-|------|
muetauantnear riere	---|----|-|--⌫----|
etpercheuausne	-|---------|-|
colornechangen e	----|-|-----|-⌫|
de nule chose	-|---|----|
ainsquelaterre	---|--|-|----|
fus t raclos e	---⌫|------⌫|
n e que rasaldastli sozsi s	-⌫|--|--------|-|-----⌫|
issirentfo rs cheualier si s	-------|--⌫-|--------|--⌫|
qui sorbi fur entcon t reual	--|----|---⌫--|---⌫-⌫----|
deuantlespiez ap ercheual	-----|--|---||-⌫-------|
so nt to tsis	--⌫-|--⌫|--|
uenu enesta nt	---|-|----⌫-|
et laterrere clotatant	-|-|----|--⌫---||---|
quidusqueena bis meert cre u e e	--|-----|-|-⌫---⌫-|--|---⌫-⌫-⌫|
cest e a uentureestachieue e	----⌫|-⌫------|--|-------⌫|
liroisa perch eual acort	-|---||-----⌫---|----|
ettot libaronde	-|--|-|----|-|
leuontue oir	-|---|--⌫--|
nu s n iareste	--⌫|||-----|
k eusli senechaus fai t telfeste	-⌫--|-|--------|---⌫|--|----|
quilc hantede	-|-|-⌫----|-|
ioie s irist	---|-⌫|---|
etoiantto z lesba ron sdist	-|----|--⌫|--|--⌫---⌫|---|
n efu s t si l iezpor mil li ures	-⌫|--⌫-⌫|-|-⌫--|--|--|--⌫---|
c ondech eque	-⌫-|-|--⌫|--|
sainset deliures	----|-|-------|
est perc heu ausquiauoit	--|----⌫---⌫--|--|----|
enla chaiereetqu e	-|-|------|-|--⌫|
sont desorter r ereuenu	---|----|---⌫-⌫|-----|
p ar foidy s tydres	-⌫-|--|--⌫-⌫|----|
lifiu sn u	-|---⌫|-⌫|
deus cortoisiesauez faites	---|---------|---|-----|
quibiendoiu entestre retra it es	--|---|----⌫--|----|-----⌫--⌫-|
l un ee stde c heque	|--⌫|-⌫-|-|-⌫-|--|
uous plorastes	---|--------|
do lordemenast es	--⌫--|--------⌫-|
en fustesesperdus	-|-----|-------|
queuo us quidastesqu eperdus	--|--⌫-|--------|--⌫|-----|
fustpercheuaus cemestauis	---|---------|-||--|---|
et dech equil est remes	-|-|--⌫|-|-|--|----|
