alaueillede	|-|-----|-|
queieconuil esg r an sbontez	--|-|----|-⌫-|-⌫-⌫--⌫|-----|
quidede n z uosestoie nt	--|----⌫-⌫|--|------⌫-|
herb erg iees.	----⌫---⌫---||
qu antliroiso tc es te paroledite	--⌫--|-|---|-⌫|-⌫--⌫-|-----|---|
et lorsfupensi zdur em entetenc el penserli	-|---|-|-----⌫|---⌫--⌫--|-|-|-⌫-|-----|-|
comencent les lermes	--------|--|-----|
a colerto tcontreual l aface.	|----|--⌫|--------|-⌫|---||
etcilquiuoient cestechose et qui	-|--|--|-----|----|----|-|--|
tanten sont	---|-|---|
do lentquenusnelepor roit dire	--⌫---|--|--|-|-|---⌫---|---|
nosentrespon drep or	|----|------⌫--|-⌫-|
cequil leuoi ents i corrocié.	-|-|-|-|---⌫--|-⌫|--------||
et il demoregr antpiece en	-|-|-----|--⌫--|----|-|
c el cor ro uz.	-⌫-|---⌫--⌫-||
etq uantil parolesi disttrop dole n z	-|-⌫---|-|-----|-|---|---|----⌫-⌫|
diexienem ecuidaii am es	---|-|-|-⌫|-----|-⌫--⌫-|
d eseu rerde cestecomp a igni equ e	-⌫----⌫--|-|----|----⌫-⌫----⌫|--⌫|
fortun emauoitenuoiee	------⌫||----|------|
apresredist	----|-----|
a lancelotlancelo t	|-------|-------⌫|
ieuosrequier sorlafoiet sorleserreme nt	-|--|------|--|-|--|-|--|-|-------⌫-|
quiest entremoi	--|--|----|--|
et uosqueuo smaidie za conse i llier	-|--|--|--⌫||-----⌫||-----⌫-⌫----|
dece stec hos e.	-|--⌫--|-⌫---⌫||
sirefetil ditesmoicoment.	---|--|-|----|--|-----||
ieferoiefetiltropuole nti ers remanoi r	-|-----|--|-|---|----⌫---⌫--|-------⌫|
cesteque s t esil p ooit estr e .	----|---⌫-⌫-⌫||-|-⌫---|----⌫||
sire fetl ancelotielaiueue	---|--|-⌫------|-||-|---|
iur e ratantdepreudomesqu eie	---⌫-⌫||---|-|--------|--⌫|-|
ne cuitpas	-|---|--|
uolsissent laissier	---------|-------|
ennulemaniere.	-|---|------||
nia nulqu i	|||--|--⌫|
ne fustpariures	-|---|-------|
seroitt rop gra nzdesloiautez	-----|-⌫--|---⌫-|----------|
qui decelesuo ldroit requi err e	--|-|-|--|--⌫-----|-----⌫---⌫|
queuos dit esuoir.	--|--|---⌫-|---||
meslagransa morsquei eaia uos	--|-|----|-⌫---|--|-⌫|-||--|
merueue dire.	-|----|---||
et se ce fust couenablechoseneseanzie	-|-|-|---|--------|----|-|----|-|
leuol sis sebiencartrop me gr eu era	-|---⌫---⌫-|---|--|---|-|--⌫--⌫--|
lordepartem enz.	--|--------⌫--||
ta nt pa rol lenten tr auxqueli iorsfub iaxe t	--⌫-|--⌫---⌫---|--⌫-|--|--|-|---|-|-⌫--|-⌫|
cle rs etlisoulaxot ia	---⌫-|-|-|-----|-|-|
au q uesabatue larosee etlipalescomenca	--⌫-⌫--|-----|-|----|-|-|----|------|
a emplir desbarons	|-----|--|-----|
douroiaum e.	--|------⌫||
s efu leuee uintlaoulirois e sto it	-⌫|-|----|---|-|-|-|---|-⌫---⌫-|
etlidistsi re cilcheualieruosatenden tlaius	-|-|---|--⌫-|--|--------|--|-------⌫|-|--|
por al er oirmesse.	--|--⌫-|--|----||
etilselieue et	-|-|-|----|-|
essuieseseulzpor cequecilquileuerront	-----|--|---|--|-|--|--|--|-|------|
n esach entleduelq u	-⌫|----⌫--|-|---|-⌫|
siresga uuainscomande	----|--⌫-----|------|
q uele nliap ortses ar mes et	-⌫-|--⌫|-|--⌫--|--|--⌫--|-|
l an celot.	-⌫--⌫----||
et quant il	-|----|-|
sonta rm éfors delor es cuzsiuienent	---|-⌫--⌫-|---|-|--|--⌫--|-|------|
elpalesettroeuentlesc ompa ignons	-|----|-|-------|--|-⌫----⌫-----|
quiausintestoientapareil liép o r	--|-----|-------|-------⌫---|-⌫-⌫|
etquant il	-|----|-|
furent uenu a umostie ret	-----|---|-⌫|------⌫|-|
ilo ren toileser uisetoutensintarméco meil	-|-⌫---⌫|-|-|---⌫---|---|-----|----|--⌫-|-|
estoientsi reuindr ent elpales.	-------|-|-------⌫--|-|----||
s isasis tr en t li unlezles	-⌫||----⌫--⌫--⌫|-|-|--|--|
autres cilqui	-----|--|--|
compaignonestoient d e la queste	---------|-------|-⌫|-|-----|
sirefetliroisb audemagu spuisquecis t afereses t	---|--|-|---|-⌫--------⌫|------|---⌫|-----|--⌫|
em prissifiereme nt quilnepuet	--⌫---|-|-------⌫-|-|-|-|---|
estrelessiezie	----|------|-|
loeroiequelisaintfussentaporté.	------|--|-|----|------|------||
siiur eroi ent licompaignon t el serreme ntcom ecil	-|---⌫----⌫--|-|---------|-⌫-|-------⌫-|---⌫|--|
fontquienqueste	---|--|-|-----|
doiue nt e ntrer .	-----⌫-|-⌫----||
ieluoil bienpuisqu il	-||---|---|-----|-|
uosplestquil soitein sint fetliro isart us	--|----|-|-|---|---⌫---|--|-|--⌫-|---⌫-|
puisquilnepuetes t re	-----|-|-|---|--⌫-⌫-|
aut rem ent.	---⌫---⌫--||
lors firent	---|-----|
l i clercdelaienz apor terles	-⌫|----|-|-----|----⌫--|--|
sainzso rqoilenfaiso itles	----|--⌫|--|--|-----⌫-|--|
serremenz de la	--------|-|-|
et quant ilfure ntaporté d euantles	-|----|-|----⌫-|------|-⌫----|--|
mestresdoizli rois	------|---|-|---|
seignorgauuain etlidi stuos esm eust es	------|------|-|-|--⌫-|--|---⌫----⌫-|
p remier ementc estequeste uen ez auantetsi faites	-⌫------⌫----|-⌫---|-----|---⌫-|----|-|-|-----|
premi ers leserrement quec il doi uent	-----⌫--|-|--------|--|-⌫-|---⌫---|
fairequien c este	----|--|-|-⌫---|
sirefet l irois	---|--|-⌫|---|
baudemagussalueuostregraceilnel	---------|----|-----|----|-|-||
fer amie pre miers	---⌫|--|---⌫----|
me s c illeferaauantno s to z	--⌫|-⌫-|-|---|----|--⌫|--⌫|
quenosdeuonstenira	--|--|-----|----||
sei gnoret a m estredela	---⌫---|-||-⌫----|-|-|
tablereon deetceestmessires	----|----⌫-|-|-|--|--|----|
etquantilaurai uré	-|----|-|---|-⌫---|
aute lserrementc o meil fera	----⌫|--------|-⌫-⌫-|-|---|
nosferonstu itsan zcont redit	--|-----|--⌫-|---⌫|----⌫----|
car e i n sintdoi t	--|-⌫-⌫-⌫---|---⌫|
apelezgala ad	-----|----⌫-|
et iluintauantets age noillad euant le ssa inz	-|-|---|----|-||---⌫-----|-⌫----|--⌫|--⌫--|
etiura c omeloiax cheualiers	-|---|-⌫--|----|---------|
quilces tequeste maintendroit	-|-|---⌫-|-----|-----------|
ior e tplus enco rsillecouenoit	--|-⌫|---|----⌫||-|-|-------|
a fereneiamesacortnereuendroitde uantqu	|---|-|----||---|-|---------|--⌫-----|
il lauerite sauroit del sa int graal	-|-|-----|------|--|--⌫--|----|
s e illapoo it	-⌫|-|-|---⌫-|
sauoirennulemaniere.	-----|-|---|------||
apresiu r a lancelot	----|--⌫-⌫|-------|
toutautretelserr ementcome	---|-------|----⌫----|---|
ilauoitfet.	-|----|--||
etpuisiura mes	-|---|---|--|
siresgauu ains	----|----⌫---|
etperceual etboorz	-|-------|-|----|
etl yone l	-|-⌫----⌫|
e tapre sh elain s li blans.	-⌫|----⌫|-⌫-----⌫|-|----||
etlorsiurerenttuit licompa ignon de	-|---|-------|---|-|-----⌫----|-|
latablereond e li u n sapres lautre.	-|----|-----⌫|-|-⌫-⌫|----||----||
et qu antil o rentfetle	-|--⌫--|-|-⌫---|--|-|
serrementcilquimiss	--------|--|--|--||
i estoientsi trouer e n tcil qu imisles	|-------|-|------⌫-⌫-⌫|--|--⌫|--|--|
au oiente nescritqu ilestoientp ar contecent	--⌫----|-⌫|-----|-|-|-------|-⌫-|----|---|
etci nquant e etsipreudome tuitque lenni	-|--⌫------⌫|-|-|-------|---|--|--|||
sauoitu nc oua rt .	-----|-⌫|-⌫---⌫-||
sedesgeunerent unpoiporle	-|-----------|-|--|--|-|
roiq ui les enrequist.	--|-⌫-|--|-|------||
et quantil or ent m engiésimis trentlorhiaumes	-|----|-|--⌫--|-⌫-----|-|---⌫----|--|------|
en lorchies	-|--|----|
etl ors fu certaine	-|-⌫--|-|-------|
chose quilne re maindroient plus	----|-|-|-|--⌫----------|---|
sicomander ent la	-|--------⌫--|-|
reineadieuaplors	----||---||----|
etalerm e s.	-||----⌫-⌫||
e tquanteleu itquilestoient au mouoir	-⌫|----|--|-⌫-|-|-|-------|-|-----|
etquilne pooien tpl us	-|-|-|-|------⌫|--⌫-|
delaiersicom enca	------|-|---⌫---|
af eretropgran tduelaus int comes eel e	|-⌫--|---|----⌫|---|---⌫--|---|-⌫|--⌫|
u ei std euant luimorz	-⌫--⌫-|-⌫----|--|---|
tozse samis	--|--⌫|---|
ne senaperceustcomfaitementel e	-||-|--------|--|--------|--⌫|
esto itcorroci ee entraeleensachambreetselaiss a	----⌫-|-------⌫-|----|--|-|-|------|-|-|-----⌫|
chaoir e n so nlitet l orscomenca a	-----|-⌫|--⌫|--|-|-⌫--|------||
f ere un sigrantduelquilne	-⌫--|-|-|----|---|-|-|-|
fusts idur ho meou	---|-⌫|--|--⌫-|-|
monde sillauei st	----||-|-|---⌫-|
quito utepitie neneust .	--|--⌫--|----||-|---||
e tquantlancel otfu tozappareilliez com	-⌫|----|------⌫-|-|--|-----------|--|
d oumonteril	-⌫-|-----|-|
quit ant auoitgrandduel d ou	--|-⌫--|----|----|---|-⌫-|
dam elare in equenus	---⌫|-|--⌫--⌫|--|--|
n enpoistestreplus co rrou ciez sis entorna	|-|----|----|---|--⌫----⌫---|-||-|----|
ch am breo u il lauoitu eu eentrer	--⌫--⌫--|-⌫|-||----|-⌫--⌫|-----|
etentrad ede nz.	-|----|-⌫---⌫-||
et qua ntlareineleuitdedenze n trertotarmé	-|---⌫-|-|----|-|--|-----|-⌫-⌫---|--|----|
sili comencaac rierha	-|-|------||-⌫---|-|
la ncelot traiemauezet m ise a la mo rt	--⌫-----|----||---|-|-⌫--||-|--⌫-|
quilai ssiezlo s telmonseign or	--|---⌫----||-⌫-⌫--|--|-----⌫-|
leroipora ler	-|--|--|-⌫--|
enestranges ter resd ont uosi a ne reue ndroiz	-|--------|---⌫--|-⌫--|--|-⌫|-|----⌫-----|
seno stresir esn e	-|--⌫---|---⌫-|-⌫|
uosen rameine.	--|-|------||
damefetilsi feresedieu plest	---|--|-|-|---|-|---|----|
reuendrai assez pl us	--------|----|--⌫-|
prochie nementque	-------⌫-----|--|
uos ne cuidiez.	--|-|------||
diexfetele mes cue rsnel	---|--|--|--|---⌫-|-||
me d itpas	-|-⌫-|--|
qui me metentote sle sm esaisesdou	--|-|--|-|----⌫|--⌫|-⌫------|--|
mon dee tentotes	---⌫-|-⌫|-|----|
le spo orsouonques gent ilzfame	--⌫|--⌫--|-|-----|----⌫--|---|
fust pourh o me.	---|---|-⌫-⌫-||
d amefetili em	-⌫--|--|-|-⌫||
auostreco ngie quantu os plaira.	|-----|--⌫---|----|-⌫-|-----||
i alissie ziamesfet e le	|-------⌫|----|--|-⌫-|
parm a uolente .	--|-⌫|------||
mespu isqu	--|--⌫---|
ile steins iqueaferelecouient	-|-⌫-|----⌫|--||---|-|------|
alez enlaga rded e	---|-|-|--⌫--|-⌫|
celui q u i	----|-⌫-⌫|
se laissa t raueill ier e nlasa inti sme ueraiecroizpor	-|-----|-⌫-------⌫--|-⌫|-|--⌫----⌫--|-----|----|--|
deliurer lumain	-------||----|
lign aged el a pardurablemortquiuosco nduiea	----⌫--|-⌫|-⌫|---------|---|--|--|--⌫----||
salueteentozles leus ou uosirez .	------|-|--|--|---|-|--|---||
d amefetil	-⌫--|--|-|
faceparlasoiedignepitie.	---|--|-|---|----|----||
partl ancelot dela r einee tuienten	---|-⌫------|-|-|-⌫---|-⌫|----|-|
lacortau a l et	-|---|--⌫-⌫|-|
uoi tque sicompaignon e s toientiamonté	---⌫|--|-|---------|-⌫-⌫-----|-|-----|
nenatendoient amouoi rque solementporlu i.	-||---------||-----⌫|--|-------|--|--⌫||
eti luie ntasoncheual etmont e.	-|-⌫|---⌫-||--|-----|-|----⌫||
etl irois qu iuit galaad sanzescuetuoloit	-|-⌫|---|--⌫|--|-----|---|---|-|-----|
mouoir sanzescuen	-----|---|---|-|
la que steausicome	-|---⌫--|---|---|
liautreet iluient a	-|----|-|-|----||
distsireilme	---|---|-|-|
sembleq ue uos ne fet esmieass ez	-----|-⌫-|--|-|---⌫-|--|---⌫-|
qui nenport ez	--||-|----⌫-|
au cune scu de ceanzausint co m uos trec ompaignonfo nt.	--⌫--|-⌫--|-|----|-----|--⌫|---⌫--|-⌫--------|--⌫-||
sirefet i li e	---|--|-⌫|-⌫|
memeffer oieseiecean z	-|------⌫--|-|-|----⌫|
leprenoie .	-|------||
ia nulnenpre ndrai deuantque auent urelem	-|--||-|---⌫----|--------|-----⌫--|-||
oruos co ns aut diex	-|--|--⌫--⌫--|---|
fe tli rois.	--⌫|-|---||
car iemen teraiatantpuisque autreme ntnepuet	--|-||-|----|----|------|-------⌫-|-|---|
so nt monté libaron etlicheuali er.	--⌫-|-----|-|----|-|-|-------⌫-||
sis e n issentdela	-||-⌫|-----|-|-|
uon ttant co ntreualla ui llequilsont f ors	---⌫|---|--⌫------|-|--⌫--|-|-|---|-⌫--|
sine uei stes	-|-|---⌫---|
on q ues sigrand dueln esigrant	--⌫-⌫--|-|----|---|-⌫|-|----|
ploreizcom cilde la c itefesoientcomunalmentquant	------|--|--|-|-|-⌫--|-------|----------|----|
il uirentles compaignon sq ui	-|-----|--|----------⌫|-⌫-|
aloientenlaque st e	------|-|-|---⌫--⌫|
do usaintgraal	--⌫|----|----|
ne ilnauoitiluequesbaron nepo ure	-|-||----|-------|----|-|--⌫--|
de tozcauxqui	-|--|---|--|
deuoientremanoirquinen p lorast	-------|-------|--||-|-⌫-----|
achaudeslermes	|------|-----|
cartr op auoientgrantduelde ce st dep artement.	--|--⌫-|------|----|---|-|--⌫-|---⌫-------||
qui alersendeuoie ntne nfaisoient	--|---||-|------⌫-||-⌫|--------|
n u l sembl a ntqu	-⌫-⌫|-----⌫-⌫-|-|
illoren fustarie ns	-|--|-|---||---⌫-|
ainz uosf ust a uis	---|--|-⌫--|-⌫--|
se uoslesueissiez qu ilen fussenttrop	-|--|--|-------|-|-|-|------|---|
es t oienti lsanz faille.	--⌫-⌫----|-⌫|---|-----||
e t quanti l fure nt ue nuenla	-⌫|----|-⌫|----⌫-|--⌫-|-|-|
forestpardeuers lechaste luaganils	-----|--|-----|-|------⌫|----|-||
arresterent a	----------||
etlorsdistmessiresg auuains au ro i	-|---|---|--|----|-⌫------|-|--⌫|
sir euosauezassezalé	---⌫|--|---|----|---|
ret ornez il	---⌫----|-|
l ecou ient c ar uoses tes cilquiplus	-⌫|---⌫---|-⌫-|--|--⌫--|--|--|---|
ne nos c onuoie ra.	-|--|-⌫------⌫-||
lireto rnersfetli rois	-|----⌫----|--|-|---|
mefera assezpisque	-|---|----|--|--|
liuenirscartropaenuiz	-|-----|--|---||----|
medepartde	-|-----|-|
mesp uisqueieuoi queafaire	--|-⌫-----|-|--|--||----|
le coui ent	-|----⌫--|
ieme nretornera i.	-||-⌫|---------⌫||
etlor soste	-|---⌫|---|
messiresga uuain s sonhiaumedesatest eeta usint	--|----|--⌫-----⌫|--|-----|-|-|----⌫|-|-⌫----|
fo nt liautrecompaigno n	--⌫-|-|----|---------⌫|
sicortle r oibaisie retli	-|---|-|-⌫-|------⌫|-|-|
autreba rona pres .	----|--⌫--|-⌫---||
et quant ilont	-|----|-|--|
l orhiaumesrelaciezs i	-⌫-|------|-------|-⌫|
s entr ecomand ent	|----⌫-------⌫--|
adieumoltt endr e me ntplorant .	|---|---|-⌫----⌫-⌫--⌫-|------||
e tma in t e nantsedepartirent entelmaniere	-⌫|--⌫--⌫-⌫-⌫---|-|----------|-|--|------|
queliroiss e n	--|-|---||-⌫|
retornaakam a alote t	------||---⌫-⌫---|-⌫|
licompaignon entrenten laf orest .	-|---------|------|-|-|-⌫----||
sicheuauchent tantq u	-|----------|-----⌫|
il ui nd rent	-|--⌫--⌫---|
auchasteluagan.	-|------|----||
ciluagan sestoitunspreudonsdeboneuie	--|-----⌫|-----|--|-------|-|---|--|
est é unsdesbons	---⌫-|--|--|---|
c heualiersd ou monde tant co me	-⌫--------|-⌫-|----|---|--⌫-|
etq u anti luit	-|-⌫-⌫--|-⌫|--|
lesco mpaignonsquipassoien t pa r misonchastel .	--|--⌫--------|--|--------⌫|--⌫-⌫-|--|------||
sifist mainten ant	-|---|-------⌫--|
c loredetotespars et dist puisque	-⌫---|-|----|---|-|---|------|
diexliauoit te lehonorfaitequ ilestoient	---|-|----|--⌫-|----|----|-|-|-------|
e nson pooiril ne	-⌫|--|----|-|-|
sen istrontdeuantquillesauraser u iz	|-|------|-------|-|--|---|---⌫-⌫-|
de q anqu ilporr a.	-|-⌫---|-|----⌫||
silesretint en te lmanierelaienz ausintco m	-|--|-----|-|--⌫|------|-----|-----|--⌫|
et lesfist	-|--|---|
desarmeret les	-------|-|--|
s erui la nuit si	-⌫---|-|---|-|
belet sirichement queilsemerueillierenttuitou	--|-|-|--------|--|-|-|-------------|---|-|
c e l auoir pre ndre.	-⌫-⌫|----|---⌫---||
sipristrentcelenuitc ons eilque ilporroien t	-|--------|---|---|-⌫---⌫--|--|-|--------⌫|
lendemain s accorder entace qu il	|-------||--------⌫--||-|-|-|
sedepar tiroientets itendroitchascu n s sauoiepo rce	-|-----⌫-------|-|-⌫|-------|------⌫-⌫|-|---|--⌫|-|
que a honte l orse roit atorné seil	--||----|-⌫-|--⌫---|------|-|-|
aloient e nsamble.	------|-⌫------||
aumatinsi tost comeli iorsaparutse	-|----|-|---|---|-|---|-----|-|
leuerent licompaignon etpr istrentlorarme set	-------|-|---------|-|--⌫------|--|----⌫|-|
ale ren t oirmesseaune chapeleq ui laienz estoit	---⌫---⌫|--|----||--|------|-⌫-|-----|-----|
etquantil orentcefets imonteren t e n	-|----|-|----|-|--|-⌫|--------⌫|-⌫|
lor cheu ax etco ma nderentlouseignorde	--|----⌫-|-|--⌫--⌫------|--|------|-|
laienz a dieu et moltle me rcie re nt delagr a nt	-----||---|-|---|-|--⌫----⌫--⌫-|-|-|--⌫-⌫-|
honorquillorauoitf e te.	----|-|-|--|----|-⌫-⌫-||
si issirent douchastel	-|-------|--|------|
departirent maintenant	----------|---------|
a utreein si com e ill auoien t	-⌫---|---⌫-|---⌫|-||------⌫|
porparle ́ et se mistr ent enlaforestli uns	--------⌫|-|-|-----⌫--|-|-|-----|-|--|
lia ut res l alao uil lauoientplus	-|-⌫--⌫--|-⌫|-|-⌫|-|-|-----|---|
e spess een tousles	-⌫-----⌫|-|---|--|
leusoui ltrouoie nt	---|-|-⌫|-------⌫-|
neuoien es ent ier .	-|---|-⌫|-⌫---⌫--||
siploreren tassezac el depar tementcilq uipluscuidoient	-|--------⌫|----||-⌫-|-----⌫-----|--|-⌫-|---|--------|
au oir lescue rsetdursetorgueillox .	--⌫--|--|---⌫-|-|---|-|---------||
mes atantse	--|----|-|
testore l icontesd	---|--|-⌫|-----||
parole degalaadporce quecomencemenzauoites té	-----|-|-----|--|-|--|----------|----|--⌫--|
de la quest e.	-|-|-----⌫||
ordist licontesqu e	-|---|-|-----|--⌫|
q uantgalaa d	-⌫---|-----⌫|
partizdes escompaignonsquilcheua uchatrois	-----|-|-⌫-|----------|-|-|-----⌫---|----|
iorsou q uatresanz auenturetrouer quifacea	---|-|-⌫----|---|-------|-----|--|---||
amen teuoirencon te.	----⌫-----|-|---⌫-||
etaucinquiemeapre s hored euespresliauint	-|-|--------|----⌫|---|-⌫|------|-|----|
amenad r oit aune	----|-⌫-⌫--||--|
bla ncheabei e.	---⌫---|----⌫||
etquantilfulau enuz	-|----|-|-|-|-⌫---|
sihurtaa la p or teet	-|----||-|-⌫--⌫-|-|
li fre re delaienzissirentforsetle	-|---⌫-|-|-----|-------|---|-|-|
descendirentafine force	-----------||---|----|
com ecil quibienc onurentquilestoi tcheu aliers	---⌫|--|--|---|-⌫------|-|-|-----⌫|----⌫-----|
siprist liunssoncheualetli autresl	-|----|-|--|--|-----|-|-|-----||
en mena enunesalep ar	-|---|-|--|---|-⌫-|
terreporlu i desarmer	----|--|--⌫|-------|
et qua nt il	-|---⌫-|-|
l orentalegié deses	|----|------|-|--|
a rmesilesgarda deusdesc ompa ignon sde la	-⌫---|-|------|---|--|-⌫----⌫-----⌫|-|-|
tablereondedont	----|-----|---|
l i uns estoit	-⌫|--|-----|
lir oisba udemagusetli autres	-|-⌫--|--⌫-------|-|-|-----|
yuainsliauo ltres .	-----|-|---⌫----||
etsitost co meillorent	-|-|---|--⌫-|-||----|
a u isé et coneusi liacorurentle sbr aztend uzpo r	-⌫-⌫---|-|----|-|-|--------|--⌫|--⌫-|----⌫-|--⌫|
ferelifest e etioiecarmoltestoientliede	---|-|----⌫|-|---|--|---|-------|--|-|
illauo ienttro ué .	-||---⌫---|---⌫--||
sisefirentaluiconoi st re	-|-|-----||--|-----⌫--⌫-|
illes conutsi	-|--|----|-|
l or ref ist moltgrant ioieet	-⌫-|---⌫--|---|----|---|-|
moltleshonoracomec auxqu ilde uoi ttenir a	---|--|-----|---|-⌫--|-|-|--⌫---⌫|----||
co mpaignons .	--⌫--------||
lesoirquant ilorent	-|---|----|-|----|
mengi é etil se	-----⌫-|-|-|-|
furentalé esbatreen	-----|---|------|-|
un uergierqu ie stoitlaienz quimolt	-|------|--⌫|-⌫----|-----|--|---|
er tbiaxsi s a sistrent	--⌫|---|-||-⌫-------|
desozun arbre etlorslordemanda gala ad	----|-|----|-|---|--|------|----⌫-|
queleauenturele sauoit laienz amenez.	----|-------|--⌫|----|-----|-----||
parfoisire fontilnosiuenis mespor	--|--|---|---|-|--||-----⌫--|--|
ue oiruneauent ur equiiest	--⌫--|--|-----⌫--⌫|--||--|
tropmerueilleusecenos	---|-----------|-|--|
alenfaitentendant .	|--|---|--------||
encesteabeie un escu quenus n epue t pendre	-|----|----|-|---|--|--|-⌫|---⌫|-----|
illen uoi lle	-||-|---⌫--|
porte raquii lne meschieceta ntqu e	-----⌫||--|-⌫|-|--------|--⌫----⌫|
elpr emier	-|--⌫----|
i or o uel secontne	-⌫-|-⌫|-|-----|-|
soi toumorzou naurez oumehaig niez	---⌫|-|---|-|-----|-|------⌫---|
sisomes uenup ors auoir	-|----|---|-⌫-|-⌫----|
estuoirs quelen	--|----|--|--|
carielen uoille	--|-||-|---|-|
matinporterfe tli	----|-----|--⌫|-|
roisbau demaguse tlors	---|---⌫------|-⌫|---|
sa ure selauentur eest	--⌫--|-||-------⌫|--|
telecomelen ladeuise.	---|---|--|-|-----||
ennon dieu fetgala ad	-|--|---|--|----⌫-|
uos me contez	--|-|-----|
me r ue illesselau enture esttiexcome uos	--⌫-⌫--⌫----|-||--⌫-----|--|---|---|--|
me conte z et ditese t se	-|-----⌫|-|----|-⌫|-|
uosnelenpoezporter ie suiz	--|-||-|---|-----|-|---|
cil qui l emporteraicaraus i	--|--||-|-------|--|---⌫|
n ai iepointd escu .	|-|-|----||---||
sirefontildont	---|---|-|---|
leuoslaironsnos carautresi sauonsnosbien	-|--|------|--|--|------|-----|--|---|
f audre zpasalauenture.	-⌫-----⌫|--|||-------||
ie uo il fet ilque uosies sai ezauantpor	-|--⌫-|--|-|--|--||--⌫---⌫-|----|--|
uoirs ounonquelenu os adit.	----|-|--|--|--|-⌫-||--||
etils iacordenta ndui.	-|-|||-------|-⌫---||
celenuitf urentseruiet	---|---|-⌫----|----|-|
aeisi é licomp aig nonde	-----⌫-|-|----⌫---⌫--|-|
q a nquecildelai enzp orentauoi r	-⌫-⌫---|--|-|---⌫--|-⌫----|----⌫|
hon ore ren t lifrer egalaad	---⌫---⌫---⌫|-|----⌫|-----|
quantiloirent lete smoignq ue	----|-|-----|-|--⌫-----|-⌫-|
lidui c heualie rliportoientsile	-|--|-⌫-------⌫|-|--------|-|-|
couchier ent moltrichement	--------⌫--|---|--------|
hautementcom e lendeuoit feret elh ome come il	--------|---⌫|--|-----|---|-⌫-|-⌫--|---|-|
es to it .	--⌫--⌫-||
etpres delui iutli rois	-|---|-|--|--|-|---|
baudem ag us e tsescompainz.	------⌫--⌫-|-⌫|--|-------||
etl endemain quan tilorent oiemesse de mandali	-||-------|----⌫|-|----|--|----|--⌫----|-|
roisb aude mag us a un desfreres	---|-⌫----⌫---⌫-||-|--|-----|
delaienzou liescuzesto itd ontlen	-|-----|-|-|----|----⌫-|-⌫--|--|
faisoittel	------|--|
parolep arlep ais .	-----|-⌫-|-|-⌫--||
f et li preudons porcoiledemandez u os	-⌫-|-|-------|--|--|-|-------|-⌫-|
porce fetilquei elenportero ie	--|-|--|-|--|-⌫||-|-------⌫-|
a uec moi porsauoir s ilatelue rtu	-⌫--|--|--|-----||-||--|--⌫--|
comelen dist	---|--|---|
ie neuosl omiefet l i	-|-|--|-⌫|--|--|-⌫|
p r eud onsqueuosial emport oiz forsde ceanz	-⌫-⌫---⌫--|--|--|-||------⌫--|---|-|----|
cari enequitqu il	--|-⌫|-|---|-|-|
uosenauenis tse	--|-|------⌫|-|
toutes uoi es fet	-----|---⌫-|--|
estet de quelfacon.	--|-|-|---|----||
lemeinemaintenantd errierelemestreautelde	-|----|---------|-⌫------|-|-----|----|-|
troe ueiluecun	----⌫-|----|-|
esc ublanc aunecroiz	---⌫|----||--|----|
uerm eille.	----⌫----||
sirefetli preudons ueez cilescu que	---|--|-|-------|---|-||---|--|
uosdemandez	--|-------|
eti l lesgardent si dientqueilesta	-|-⌫||--------|-|----|--|-|--||
lora uisl iplu sbiausetliplusriches	--|-⌫--|-⌫|---⌫|----|-|-|---|-----|
que il e ussen tonques	--|-|-⌫-----⌫|-----|
et fleroit autresint s oefcomeseto te sles e spices	-|------|--------|-⌫--|---|-|--⌫--⌫|--|-⌫-----|
doumonde fu ssent espanduesd es uz .	--|----|--⌫----|--------|-⌫--⌫-||
etq uant yuainsliau oltres leuitsi	-|-⌫---|-----|-|--⌫-----|-|--|-|
distsim aitdiex	---|-||--|---|
ueezcilescu	---|-||---|
quenusnedoitpendrea sonc ols	--|--|-|---|-----||--|-⌫-||
il nestmieldrescheualiersqu eautres.	-||--|-------|---------|--⌫|-----||
etce est cilquiiaa	-|-|--|--|--|-||
mon co l ne p end ra carcertes iene	--|--⌫|-|-⌫---⌫-|--|-----|-|-|
suiz miesiuaillan sne si preudo nsqueie	---|--|-|-------⌫|-|-|------⌫-|--|-|
led oie p endream oncol.	-|-⌫--|-⌫----||-⌫-|--||
ennondi eufetlir oi sbau demagusque	-|--|--⌫-|--|-|-⌫--⌫|---⌫------|--|
qu i mendo ie aueniriel	--⌫||-|--⌫-|-----|-||
emport erai d eceanz .	------⌫---|-⌫|----||
etlorsle penta son coletlemporte	-|---|-|---||--|--|-||------|
forsd elm o stier.	---|-⌫-|-⌫-⌫----||
etquantil estuenuza son	-|----|-|--|----||--|
cheual sidita	-----|-|--||
galaad sire sil	-----|---||-|
uos pl esoit ieu ol dro ie	--|--⌫----|-|-⌫--⌫---⌫-|
bienqueuosmatendissoiz ceanzt antqueieuos seusse	---|--|--||----------|----|-⌫-----|-|--|-----|
direcoment	---|-----|
auend rade	-----⌫-|-|
c esteaue nture.	-⌫---|---⌫----||
ca r silmenmes cha oitil	--⌫||-||-|---⌫---⌫--|-|
meplai roitmolt queuo sl eseussiezcar i e	-|----⌫---|---|--|--⌫|-⌫|-------|--|-⌫|
saibienquelauentu reacheueroizu o slegierement.	--|---|--||------⌫-|---------|-⌫-⌫|----------||
