Quenul senblant	--|--|-------|
B ohorderonsdeuantla bele	-⌫---------|-----|-|---|
Do n t uosoieztui t	--⌫-⌫|--|---|---⌫|
Motporrapoisa uieamer	--|----|--|-|--|---|
Quisefain dradarmes	--|-|----⌫--||----|
Liroislesott rest ozsemons	-|---|--|-|-⌫----⌫-|-----|
Leterm eheent	-|----⌫|----|
fustilalendem ain	---|-|||-----⌫--|
Oiezdufrancd ebo nemai n	---|-|----|-⌫|--⌫-|---⌫|
Perinislec ongie ́dem a nde	------|-|-⌫-----⌫|---⌫-⌫--|
Liroism ont asor	-|---|-⌫---⌫|--|
Passelande	---------|
Qarconu oier ueu tle meschin	--|----⌫---|---⌫|-|------|
Contant uont parmié	------|---|--|---|
l eche min	-⌫|---⌫--|
T ui t licontesont delabele	-⌫--⌫|-|----|---|-|-|---|
Q uime tra	-⌫-|--⌫--|
lanceparastele	----|--|-----|
Ainzquepar teli	---|--|---⌫-|-|
par lemenz	---⌫-----|
Lir oi soffre	-|-⌫--⌫|----|
les garnemenz	--|--------|
estrecheualie r	----|--------⌫|
Ma isilnes uo uten cor bal lier	--⌫-|-|--|--⌫-|--⌫--|---⌫---|
Lirois conuoié l outunpoi	-|---|-------||--|-|--|
Porlabelefrancheau	--|-|---|------|-|
c hief bloi	-⌫---|---|
Ouilnapointdemautalent	-|-|||----|-|--------|
Moten parloientanalent	--|-|--------|-|----|
Li uaslezout	-|-----|--|
richeconuo i	----|-----⌫|
De scheualier set du	--⌫|---------⌫|-|-|
francroiA gran tenuizs on tdepartiz	----|--||----⌫|----|-⌫--⌫|-------|
Li roisleclai me	-|---|-|----⌫-|
Bea ux amis	---⌫-|---|
Alezuo s e nne d emo rez	---|--⌫|-⌫|-|-⌫---⌫--|
uostredameme	-----|---|-|
De son demo inesoudoier	-|--|----⌫--|-------|
Qui uienta lipor apaier	--|----||-|--|-----|
Tot esferais esu olente z	---⌫-|----|-⌫-|-⌫------⌫|
Po rl ié serai	--⌫|-⌫--|----|
entalentez	---------|
porramotauancier	----|--|-------|
Menbrelidelespié lancier	-----|-|-||-----|------|
Quif uen l	--|-⌫|-||
estache feru	------|---|
E les aurab ienouc e fu	-⌫-|-⌫---|-⌫--|-|-⌫|-|
Priéuos quelidïez	----|--|--|-|----|
Roissiferaigeluos a fi	---|-|----|--|--|-⌫-|
Adonchurt a	----|----⌫|
le ch aceor	-|--⌫----|
Liroisserestmise l retor	-|---|-|---|--|-⌫|----|
C il s en uientso nme sagea fait	-⌫-||-|----|--⌫|--⌫---||---|
Perinisqui	------|--|
tan tma latrait	---⌫|--⌫||----|
Porleseruiseala	--|-|------||-|
Conmepluspuet eti lchemine	----|---|---|-|-⌫|------|
Onq uesun iorne seior na	---⌫--|-|--|-|-----⌫-|
uintladonilto rn a	---|-|--|-|--⌫--⌫|
Recon te ́a sache u auchie Acelu iquimot en	-----⌫--⌫||-|---⌫-⌫-----||----⌫|--|--|-|
Artu r et d e	----⌫|-|-⌫|
Ce lenuitfurenta	--⌫-|---|-----||
Cel enuit f ula luned ime	---⌫|---|-⌫|-|---|-⌫--|
Que diroie	--|-----|
L i termeap rime	-⌫|----|--⌫---|
Desoia legierla roïne	-|--|-⌫-----|-|-----|
Tris tra nlisuens am is ne	----⌫---⌫|-|----|--⌫-|-|
u estusefu demaintegui se	-⌫---|-|-|-|-----|---⌫-|
Il fuenleg nesanz chemise	-|-|-|---⌫-|---|------|
De letburelfurent lesco tes	-|--|----|-----|--|--⌫--|
Etaquarrea usfurentses botes	-||-------⌫-|-----|--|----|
Unechape d e	--|----|-⌫|
Out fa ittalliertote e nfu mee	--|--⌫-|------|---|-⌫---⌫--|
Affublezse	-------|-|
fu fo rmentbien	-|--⌫----|---|
Maladesenbleplu sque	-----|-----|---⌫|--|
Etnequedensi otsespee	-|-------|-|-||----|
Entorses flans estroitnoee	----|--|----|------|---|
Tr ist ransenpartist del	--⌫---⌫--||-|---|--|-||
Cel eementa	---⌫-----||
G o uernal	-⌫-⌫-----|
Quilienseigneet si lidit	--|-|-------|-|-|-|--|
Trist rannesoiez bric	-----⌫--|-|----|---|
Prenezgarde delaroïn e	-----|----|-|-|-----⌫|
fera semblant	---|-------|
Ma istr efaitilsifer aibien	--⌫----⌫|---|-|-|---⌫-|---|
Gardezqueu os fac iez mo nbuen	-----|--|-⌫-|---⌫--|--⌫|---|
Geme criemm ot dap ercheuance	-|-|----|-⌫-||--⌫---------|
Pre ne z mon escu etma lance	---⌫--⌫|--|---|-|-|----|
Sesmapo rtezet	--||---⌫---|-|
En reign ez mestre	--⌫-----⌫-|-----|
Gouern a l	------⌫-⌫|
m es t que	|--⌫|--|
Aup asa ge prez	-|-⌫---⌫-|---|
enbusc hiez	------⌫---|
uo ssauezbien lebuen	--⌫|----|---|-|---|
Pieça que	----||--|
uosenestes sage	--|-|----|---|
estb lansc on me flor	--|-⌫---|-⌫--⌫-|---|
Courezle bien trestot entor	-----|-|---|------|----|
Que il n e soitmesco nneü z	--|-|-⌫|---|--|--⌫-----⌫|
Neden ul home aper ceü z	-|-|-⌫-|---|----⌫----⌫|
Art usat ot	---⌫-|--⌫-|
E t li rois	-⌫|-|---|
Marctot e nsem ent	---|--|-⌫----⌫--|
Cilch eualierd est ra ngeterre	--|--⌫------||---⌫--⌫--|----|
Boh ord e ro ntporlosaquerre	---⌫---⌫-⌫--⌫-|--|--|------|
E tporlamour	-⌫|--||----|
Ys eu tma mie Iferaitostuneesbaud ie	--⌫--⌫||-⌫--||----|---|--|------⌫-|
S uslalance soitlepenon	-⌫-|-|----|---|-|----|
Dontla bele	---|-|---|
Mestreorale zpriuos forment	-----|-|---⌫|--|--|------|
faciez motsauu ement	-----|--|----⌫----|
Prists on hena pe t son pui ot	----|-⌫-|----⌫|-⌫|--|---⌫-|
Le congiépri st d el uisilot	-|------|---⌫-|-⌫|-⌫-|-||-|
Gouernal uintason	-------|---||--|
Sonhernois pri st	--|------|---⌫-|
ain znefist el	---⌫|-|---|-|
Puis sisemis ttostalauo ie	---|-|-|---⌫|---||-|--⌫-|
cure quen usle	---|--|-⌫-|-|
Tantaerr é	---||---⌫-|
qu enbuschiez s est	-|---------||--|
Trist ranqui a u	-----⌫--|--|-⌫|
au chiefdela mar eS	-|----|-|-|---⌫||
Trist ransanz autre afai re	-----⌫--|---|----|----⌫-|
Deu ant soi fichesonbordon	---⌫--|--|----|--|-----|
Atachiéfuaun	-------|-||-|
co rdonAqueil aue t	--⌫---||---||---⌫|
pend uau col	----⌫|-|--|
sont l itaiermol	---|-⌫|----|--|
Sorlamote form ent	--|-|---|----⌫--|
Nesenbla pasho me	-|-----|--|--⌫-|
Q ar il ert gr osetcorporuz	-⌫-|-|--|--⌫-|-|-------|
Ilnertpa snainscon trez boçuz	-||--|--⌫|----|---⌫---|-----|
Larot e ententla s	-|---⌫|-----|-||
e s t asis	-⌫-⌫|---|
Mot o t bien	--|-⌫|---|
bocelésonuis	------|--|--|
Qantaucu npass edeuant	---|----⌫|----⌫|-----|
Enpla ignant disoit	-|---⌫-----|-----|
Ia nequidaies t reaumos nie r	-|-|-----|--⌫-⌫-|-----⌫---⌫|
Neseruir iordecestmest ier	-|-----|--|-|---|----⌫--|
maisel faire	---|-|----|
T ristranl orfaitdesb orses	-⌫------|-⌫-|---|--|-⌫----|
Queilfaittant chascun lidone	--|-|---|---|------|-|---|
Il les re çoitqu emotneson e	-|--|--⌫----|--⌫|--|-|---⌫|
Texa estés etanzmigno n	--||----|-⌫-|--|-----⌫|
Nesetsi bientrai re guig non	-|--|-|---|----⌫-|----⌫--|
Meïs mesl icorlainapié	-----⌫--|-⌫|------||---|
Et ligarç onli mains	-|-|-----⌫-|-|----|
Quiu ont mang antpar lechem in	--|-⌫--|----⌫--|--|-|----⌫-|
Tristran qui	-------|--|
ti en tlec hief	--⌫--⌫|-|-⌫---|
Loraumosne	--|------|
Deu lorquiert L un	--|--|-----||-|
autrele f iert	----|-|-⌫---|
Licu uert gars li desfaé	-|--⌫---|---|-|------|
Migno nherlotlont apele ́	-----⌫|-----||--|-----⌫|
Tris tranmotne sone	----⌫---|--|-|---|
D euceditlelor	-⌫-|-|--|-|--|
Licorbel qu isont pl ain de	-|-----|--⌫|---|--⌫--|-|
Lifontennu i	-|---|----⌫|
eti l estsage	-|-⌫|--|---|
Truantle claimentet h erlot	-----|-|-------|-|-⌫----|
Illes conuoie olepuiot	-|--|------||-|----|
Plus dequator zeenfait saigner	---|-|------⌫-|-|---|------|
Siqu ilnepüen t	-|-|-|-|-----⌫|
est anchier	---⌫------|
Lifrancuaslet	-|----|-----|
debone orine	-|---|----|
F erli noumaalle est erline	-⌫----⌫|-|-----|---⌫-----|
Liont done ́	-|--|----⌫|
illesreço it	-|--|-----⌫-|
Illorditque il atoz	-|--|--|--|-||--|
Sigra n t arson aensoncorsA poine	-|---⌫-⌫|----||-|--|---||----|
len pue tge t er fors	|-|---⌫|--⌫-⌫-|---|
Tuitci lq u iloientsi	---|--⌫|-⌫-⌫||----|-|
De p itiéprenent	-|-⌫----|------|
Ne tant ne quan tpasn umescr oient	-|---|-|----⌫|--|-⌫|-----⌫----|
Quilnesoit ladr es	-|-|-|---|----⌫-|
cilquiluoient	--|---|-----|
Pense n tuasletetesc uie r	-----⌫-⌫|-----|-|---⌫---⌫|
Qu ilseha stentde soilogier	-|-|-|--⌫----|-|--|-----|
Etdes tres tend rel or	-|--|---|----⌫-|-⌫-|
Pau ellon sde main tes colorsN ia	---⌫-----⌫|-|----⌫--|-----||||
r iche ho me naitsatente Ap lain	-⌫---|--⌫-||--|-|----||-⌫---|
errecheminetsente	---|-----|-|----|
Li che ualieruienent aprés	-|---⌫-----|------|-----|
grant pre sse	----|---⌫--|
encelmarc hés	-|--|----⌫---|
Esfo n dré lont	----⌫-⌫---||--|
mo ses tl ifans	--⌫|--⌫|-⌫|---|
Li ch e u alent rent	-|--⌫-⌫-⌫-|---⌫---|
iusq asfl ans	---|-|--⌫--|
Mainten i chiet	----|-||----|
enristpointne	-|---|----|-|
Parco ntr airelorditatoz	--|--⌫---⌫---|--|--||--|
Tenezuo sreignesp arles noz	----|--⌫|------|-⌫-|--|--|
Sih urte z	-|-⌫----⌫|
D euf ere zde lesp eron	-⌫-|-⌫---⌫|-||---⌫---|
Quiln aauantpointde taier	-|-|||----|----|-|----|
Qantil lepensente s saier	---|-|-|------|-⌫-⌫----|
Li m aroisfontdesoz lorpiez	-|-⌫----|---|----|--|---|
Chascunq uientr eestentaiez	------|-⌫-|----⌫|--|------|
huesess e na	-----||-⌫||
Lilad resasamainfor straite	-|---⌫--||-|---|---⌫|-----|
Qant enuoi	---|-|--|
unquiel taiuo itre	-|--|-|--|--⌫---|
Adoncflauele cil acuite	----|------|--||----|
Qan t illeuoitplusen	---⌫|-|-|---|---|-|
Li ladresdit	-|-----|--|
Pensezde moi	-----|-|--|
Dexuosgetf orsdu	--|--|--|-⌫--|-|
A idiezanouelermesdras Os aboteleel	-⌫----||------|--|---||-⌫|-----|-|
henapfiert	----|----|
Enestrangeleules	-|-------|--|--|
Maisillef ai t parle cherie	---|-|-|-⌫--⌫|--|--⌫-----|
Qanto r uerrapasse r samie	---|-⌫|----|-----⌫||---|
Yseut q u i a	----|-⌫-⌫||
l acr inebl oie	-⌫|--⌫--|--⌫--|
Queeleanai t en soncue r ioie	--|--|-|--⌫|-|--|---⌫|---|
Mot a grantnoise	--||----|----|
Li passeo rsollent lord ra s	-|------⌫|------|--|-⌫--⌫|
Deluienpuet	-|----|---|
lomoïr les huz	|-|---|--|--|
Dece usq uisolle lapaluz	-|--⌫-|-⌫-|----|-|----|
Cil quil a p asse nestseürs	--|--|-⌫|-⌫---||--|-----|
Ata ntesuosl er oi	---⌫-|-|--|-⌫|-⌫-|
Esgar de r uientlepasseor Oluidesesbar onsp lusor	-----⌫--⌫|----|-|------||--|-|--|---⌫--|-⌫----|
Criemen t quel i maro isnefonde	-------⌫|--|-⌫|----⌫-|-|----|
Tuit cildela	---|--|-|-|
Furentuenus or le	-----|---|-⌫-|-|
Pas Oescusfresocheua us cras	--||----|---||-----⌫-|---|
Delorarmesentreseigné	-|--|----|-----------|
Tuit sont couert	---|---|-----|
quemens quepié	--|---|--|---|
Maintdrapdesoie	----|---|-|---|
Boho rda ntuont deuant legé	----⌫---⌫-|---|-----|-|--|
Trist anconnois soit bienleroi	-----⌫-|-------⌫---|---|-|--|
Artu ssil apela asoi	----⌫|-||----||--|
Artus rois iesuimalades	----|---|-|--|------|
Bociez me seausd esfaiz	-----|--⌫----|-⌫-----|
Pou re estmonperenout	---⌫-|--|--|---||--|
a inz te rreÇasu iuenu zla umosne	-⌫--|--⌫--|--|--⌫|----⌫||-⌫-----|
Mo taioïdeto ib ien	--⌫|-|--|-|--⌫|-⌫--|
Tun e medoizpases condire	-|-⌫|-|---|--|--⌫------|
Tues uestudebeau sgrisens	-|-|----|-|----⌫|------|
Reneb orss ic o n	-----⌫--|-⌫|-⌫-⌫|
Desoz latoi lerencïene	----|-|---⌫-|--------|
Latouechar	-|---|---|
estb lancheetplaine	--|-⌫-----|-|-----|
T es ianb e suoi deriche pai le	-⌫-|----⌫-⌫|--|-|----|---⌫-|
Chaucie se touertemaile etles	-------⌫|-⌫||----|----|-|--|
sorcha uzd une e scarlate	------⌫-||--|-⌫-------|
Artusuoiz con ie me	----|---|--|-|-|
g r ateIailesgranz froiz quiqu ait les	-⌫-⌫--||-|--|----|----|--|-|--|--|
Li nob les	-|---⌫--|
Duid amo isell ont de schaucie ́	--|-⌫---⌫---||--|--⌫--------⌫|
Limaladesles sorchauxpr ent	-|------|--|-------|--⌫--|
Otots en uet isnelement	---||-|--|---------|
As isse restsor lamutern e	--⌫-|-|---|--|-|------⌫|
Liladresnus dece us nesperne	-|-----|--|-|--⌫-||------|
Qu id euantluisonttrespassé	--⌫|-⌫----|--|---|---------|
Fins drase naa gra n t	---|---|-⌫|||---⌫-⌫|
Etlessorc h auz	-|--|----⌫-⌫--|
Artusleroi	----|-|--|
T ristran sasist sorle	-⌫------||----|--|-|
Qantilse fuilu ec assis	---|-|-|-|---⌫-|----|
M arcfie rsetposteïs	-⌫--|---⌫-|-|-------|
Cheuaucha fortu e rsletaier	--------|---|-⌫-⌫-|-|----|
Trist ra nlaq euta es saierSil	-----⌫--⌫||--⌫--||--⌫----||-|
por rarienauoi rdu suen	---⌫-|---|----⌫|-|---|
Sonflauels onëahau t suenAsa	--|-----|-⌫---||---⌫|---||-|
uoi zroecriea pa ine	---⌫|--|---||--⌫--|
Ole nesfait	|-|--|---|
subler lala ine	-----||---⌫--|
Ma rc unpoide	--⌫-|-|--|-|
bie n Saumucetrait	---⌫||-----|----|
Freremetla	----|--|-|
M ain tesfoizt ali	-⌫---⌫--|---|||-|
te nsfaitgrief	--⌫-|---|----|
S irefaitiluostremerci	-⌫--|---|-|-----|----|
Or ma uezuos de froit	-||-⌫--|--|-|----|
Desozlachapea mis	----|-|----||--|
Qant quilpuet la	---|-|-|---|-|
t r estorneetmuce	-⌫-⌫------|-|---|
la d res f aitli r o i s	--⌫-⌫--|-⌫--|-|-⌫-⌫-⌫|
Ca rloonfilzdun	--⌫----|---||-|
Qanzanzasest é fors	---|--|-|---⌫-|---|
S ire troisanzia nement	-⌫--|----|--|||-|---|
Tan tconie f ui en saineuie	---⌫|--|-|-⌫-|-|----|--|
Motauoi ecortoiseamie	--|----⌫|-------|---|
Por li éaiie cesboceslees	--|--⌫-|-|-|--|----|---|
Cestartarie s	--|--------⌫|
p laindole es	-⌫---|----⌫-|
Mefait etnuitetio r	-|---|-|---|-|--⌫|
E to lanoisëestoner	-⌫||-|-----|------|
Tozceusqu iie	--|---|--⌫|-|
d emantdulor	-⌫----|-|--|
D e ulecr ia tor	-⌫-⌫|-|--⌫--⌫--|
L irois li dit	-⌫|---|-|--|
N ecelezm ie	-⌫|----|-⌫-|
C onmentcete do nn a t amie	-⌫-----|-|-|--⌫--⌫||---|
Dansroisse ssir es	---|---|--⌫|---⌫-|
ertmeseausO lie ́faisoiemes	--|------||---⌫|------|--|
Cistmausm e prist dela co mune	---|---|-⌫|----|-|-|--⌫---|
Mai splu s bele nefu queune	---⌫|---⌫|---|-|-|--|--|
Qui estele	--|--|--|
Ei n siseuestconc eleseut	--⌫-⌫-|-|---|--|-⌫--|---|
Li r oisl ententr ian t	-|-⌫--||-----|-⌫---⌫|
Artusd el autr ep art	----|-⌫||----⌫|-⌫--|
Enest uen uzqu i	-|--|---⌫-|--⌫|
Ioi os se fist que pl usnepo ut	---⌫-|-|---|--|--⌫-|-|--⌫-|
Artusenquistdelaroïn e	----|------|-|-|-----⌫|
Eluientfait	-|----|---|
Marcpa rlagaudine	---|--⌫|-|------|
Danroieleuien t o	--|--|--|----⌫||
conduire sentremet	-------||-------|
Distlun alautre	---||-|||----|
C onmen tissede	-⌫-----⌫|---|-|
ci si preno ngarde	-|-|-----⌫|----|
Litroifelon	-|---|----|
quimal feuarde	--|--|--|---|
uindrentaugué s i dema nderent	-------|-|---|-⌫|----⌫------|
Aumaladepar ont pas serent	-|-----|--|--|---⌫-----|
Ci l q uima in sfurente ntaie ́	--⌫|-⌫-|--⌫--⌫|-----|-⌫-----⌫|
T ristrana s onpui ot	-⌫------||-⌫-|---⌫-|
E tl o ren seigne	-⌫|-⌫-⌫|--⌫-----|
ungrant m olanc	-|----|-⌫----|
uez laceltorbe	--|-|--|----|
ap réscelfanc	--⌫---|--|---|
Laestlid roiz	-|--|-|-⌫---|
asseneo rs Giai ueüpasser plusors	-------⌫-|||-|---|-----|------|
Lifelonentre n tenla	-|----|-----⌫-⌫|-|-|
li l adresl or ens eigne	-|-⌫----|-⌫-|---⌫----|
Fange tro u erenta meruelle	----|---⌫-⌫----||-------|
Desiqasauuesde	---||-|----|-|
Tu it troi c hïen ta	--⌫-|---|-⌫-----⌫||
Lim alade f u susla	-|-⌫----|-⌫|--|-|
Poigniezafort	-------||---|
te l taiort	--⌫|--|--|
Alezsegnor	---|-----|
Par s a intap ostre	--|-⌫-⌫--|--⌫----|
Simedone chascun duuostre	-|-|---|------|-|-----|
Licheualfondent eltaier	-|-----|------|-|----|
Ci lse pre nen taesmaier	--⌫|-|---⌫---⌫||------|
Qar netr ouentriuene fonz	--|-|--⌫----|---|-|---|
C ilq uib ohor dent sorle mont	-⌫-|-⌫-|-⌫----⌫---|--|-|---|
S ontacor uisn element	-⌫--|----⌫|---⌫------|
Oiezdul adrecomilment	---|-|-⌫---|--|-|---|
Seignor sfa i ti l a	-------⌫|--⌫-⌫|-⌫||
cesbaro ns	--|----⌫-|
Tenezuos b i ensauos ar chons	----|--|-⌫-⌫--||--|--⌫----|
Malaitcilfansquisie stmos	--|--|--|---|--|-|-⌫-|--|
Ost e zcesmanteaus	---⌫-⌫|--|-------|
Sibraçoiez	-|--------|
parmie ́ letai	------⌫|-|--|
Ieuosd i bienquetresb ien	-|--|-⌫|---|--|---|-⌫--|
iai h uiueü gentpa sser	|-|-⌫-|---|---|--⌫---|
Quidoncuei ̈sthenapcasser	--|---|---⌫--|----|-----|
Qantli ladreslehenap	---|-|-----|-|----|
loche Olacoroiefiertl aboche	----||-|-----|----|-⌫|----|
autre d esmainsf lauele	----|-⌫-|----|-⌫-----|
Atant esuos	----|-|--|
Yseut labele	----|-|---|
Eltai er ui tse s	-|---⌫-|--⌫|--⌫|
Sor la motesistsesamis	--|-|---|---|--|---|
Ioieenagrantritet	---|-||----|--|-|
p iédecentsorla	-⌫--|-----|--|-|
De lautrepartf ur ent liroi	-||----|---|-⌫--⌫--|-|--|
quilontos oi	-|-|--||-⌫-|
Qui es gardent	--|--⌫------|
ceus dutaier	---|-|----|
T ornersorc oste et	-⌫----|--|-⌫---|-|
uen trellier	---⌫-------|
Etlima ladeslesargü e	-|-|--⌫----|--|-----⌫|
Seignorsla roïneest uen u e	-------|-|-----|--|---⌫-⌫|
Po r feresondesresneme nt	--⌫|---|--|----------⌫-|
Alezoïrcel	---|---|--|
iu gemen t	--⌫-----⌫|
Poieniaioie n enait	--|-|||---||-|--|
Oie zde lladre	---⌫|--⌫|----|
du des f ait	-|---⌫-⌫--|
D onoalenmeta ra ison	-⌫------|--||--⌫---|
Prental amaina	---|||-⌫|---||
Tire ad euspo in z mot durement	---||-⌫--|--⌫--⌫|--|-------|
Et c illit ent	-|-⌫-|-|-⌫--|
totmainte nant	--|------⌫---|
Leb as t on	-|-⌫--⌫-⌫-|
lil etl idegiez	-|-⌫-|-⌫|-----|
Ar iere chiettotes t	--⌫---|----|--|--⌫|
plungi ez N enu i tonforsle	------⌫-||-|-⌫-⌫|-|---|-|
po ilr ebors	--⌫-|-⌫----|
fudu taitraitfo rs	-|-|--|----|--⌫-|
Faitli maladesNen poi	---|-|------||-|--|
mesI aie ndor miio inteset	--||-|-⌫----⌫-|--⌫----|-|
Lesmainsgourdespor lemal	--|----|------|--|-|--|
Les piez e nf lezpor l epoacre	--|---|-⌫--⌫--|--|-⌫|-----|
Li maus a enpirez	-|---||------|
S es sontmi bra z com une	-⌫-|---|-|---⌫|--|--|
Dinases toit	----|--⌫---|
o la roïn e	|-|-----⌫|
Aperçut soidel uiel licli ne	-------|--|-||---|-|---⌫-|
B ien sout	-⌫--|---|
T ristrane rtsozla chape	-⌫------|-⌫-|--|-|----|
Lestrois fel o nsuiten	--|----|---⌫-⌫-|--|-|
Motlifubel etmotliplot	--|-|-|--|-|--|-|---|
quilso nt enlait	-|-|--⌫-|-|---|
tripot Agra n tmartir e	-----||---⌫-⌫|------⌫|
S ontissu li encuseor	-⌫--|---|-|-------|
Duta ierdeforsa	-|--⌫--|-----||
Ianeseront m aisnet s anz	-|-|-----|-⌫--|--|-⌫--|
pueplesedespo llent	-----|-|-----⌫----|
Li dra slaisen t autres racu ellent	-|---⌫|------⌫|-----|----⌫-----|
Mais o roiezdu	---|-⌫|---|-|
Qui fudel autre	--|-|-||----|
Laroïnemeta raison	-|-----|--||-----|
i l celsi glaton	-⌫|--|--⌫-----|
Esteraia f orm ent laidi z	-----|-|-⌫---⌫--|-----⌫|
Cistgarezestplaindero uï z	---|----|--|----|-|--⌫---⌫|
Marrizensu i	-----|-|--⌫|
forment menpois e	------||-|----⌫|
Seauos dras poi ntenadoise	-||--|---|---⌫-|-|-----|
Yse ut ristqui nertpas	---⌫-|---|--||--|--|
Delue lligui g nesi	-||--⌫|-|---⌫-⌫-|-|
Le pensers o u talaroïn e	-|-----|-⌫-⌫-⌫||-|-----⌫|
Un poiauallezu ne espine	-|--|---|--|-⌫-|-----|
Torne aunguéluiet	----||-|---|--|-|
Outrespasserentauques nez	-|------------|-----|--|
Delautr epartfu	-||----⌫|---|-|
Yseut sole	----|---|
Deuantle gué fugrantlafole	-----|-|---|-|----|-|---|
roi setdelo rbarn age	---⌫|-|-|--⌫|----⌫--|
Yseutcom elfusage	----|--|-|-|---|
Bien s auo itquecil	---|-⌫---⌫-|--|--|
le sga rdoient	|-⌫---⌫------|
Q uio utrele	-⌫-|-⌫---|-|
P asestoien t	-⌫-|-------⌫|
Ele est au p al efroiuenu e	--|--|-|-⌫--⌫----|----⌫|
P r ent leslangues delasan bue	-⌫-⌫--|--|------|-|-|---⌫--|
Ses noua desusles	--|---|----|--|
Nusescuiersnenus ga rçons	--|-------|-|--|--⌫-----|
Porle taiermex nesleu ast	--|-|----|--|--|---⌫--|
mexnesa parell as t	--|--|-⌫------⌫--⌫|
Lel orainboute sozlaselle	-|-⌫----|----|--|-|----|
Lepoitraloste	-|------|---|
Ys eutl a bele	--⌫--|-⌫|---|
Au palefroi oste	-|-------|---|
Saro be tientenunemain	-|--⌫-|----|-|--|---|
E n l a utre la	-⌫||-⌫---|-|
corgi e tin t	-----⌫|---⌫|
ole palefro iu int	|-|-------⌫|-⌫--|
Dela cor giel aferu	-|-|---⌫--|||---|
Etilpas seoutrela palu	-|-|---⌫-|----|-|---|
Laroïne ou tm ot	-|-----|--⌫|-⌫-|
gra ntesgart	---⌫-|-----|
qu isontde la utre part	--⌫|---|-||-⌫---|---|
Liroiprisie ́sen	-|--|------⌫||-|
esbahirent	---------|
Ettui t liautrequile uirent	-|---⌫|-|----|--|-|-----|
La roïneo utdesoied ras	-|-----|-⌫-|-|---|-⌫--|
Aporté furentde	------|-----|-|
Forré fur entde blanc hermine	-----|---⌫--|-|----|------|
M antelbliauttotlitra ïne	-⌫----|-----|--|-|---⌫---|
Sors esespaules	--|-⌫-|-------|
sontsicr in	---|-|--⌫-|
Ben d é a	---⌫-⌫-||
l ignes oror fin	-⌫---|-⌫-|-|--|
Unc ercledo rout sorson chief	-|-⌫----||-⌫|--|--|--|----|
Quiemparedech ie fen chi ef	--|-----|-|--⌫--⌫|-|---⌫-|
Colo rrosi nefrescheetblanch e	----⌫|----⌫-|------|-|------⌫|
Einsisadreceue rslapl a nche	----||-----|--⌫-|-|--⌫-⌫---|
Geuuelauo ir	-|---|---⌫-|
atoiaf er e	|--|--⌫--⌫|
Roi ̈nefranchedebon ere	---⌫--|------|-----⌫--|
Atoi irai sanz escondire	|--|---|---|--------|
Mai sienesai quet uueusd ire	---⌫|-|-|--|--|-⌫|---|-⌫--|
Ne uuel m es	-|---|-⌫-|
drasenpal üer	---|-----⌫---|
Asneserasdem oiporter	---|----|-|-⌫-|-----|
T otsouauetp ars us laplanche	-⌫-|------|-⌫-|-⌫-|-|------|
Au oifai t ilroïnefranche	--⌫-|---⌫|-|-----|------|
Ne me reque rez pastel	-|-|-----⌫--|--|--|
Gesui ladre s boçudesfait	-|--|-----⌫|----|------|
C uitefaiteleu npoit arenge	-⌫---|---|--|-⌫|--||-----|
qu e tonma l mepreng eN e naies doutenon	--⌫|--|--⌫|-|-----⌫||-⌫|---|----|--|
seraAlui parlerpointnem	---||--|-----|----|-||
ennoie Ole puiotsouentsapoie	-----||-|----|-----||----|
Diua maladesmotesgros	---|------|--|-|---|
Torlaton uis etça t ondos	--|-|--|--|-|--|-⌫-|--|
G e mon t e rai conmeuasl et	-⌫|---⌫-⌫-⌫--|----|----⌫-|
ensorristlideget	-|------|-|----|
Torne ledo s etele	----|-|--⌫|-|--|
Tuit lesgardentet	---|--|------|-|
roi etco nt e	--|-|--⌫--⌫|
Sescu isestients or	--|--⌫---|----|-⌫-|
sonpuiot Lunp iésorlie ueetlautre	--|----||-|-⌫--|------⌫-|-||----|
Souentf a it senb lan tdechoier	-----|-⌫-⌫-|----⌫---⌫|-|-----|
Gra ntchierefa i des o idoloir	---⌫-|-----|--⌫|-|-⌫-⌫|-----|
bele cheuauch a	---|--------⌫|
Ian bedeça ianbedela	---⌫-|----|----|---|
Or esgardez	-|-------|
uezl ar oïneche uauc hier	--|-⌫|-⌫----|---⌫----⌫---|
Unmal adequiseutc lochi e r	-|---⌫--|--|---|-⌫-----⌫-⌫|
Pr e squilne	--⌫-⌫|-|-|-|
chiet desorl a planche	----|-|--|-⌫|------|
Sonpuiottient desorsa hanche	--|----|----|----|-|-----|
Alonenc on trece lmese l Al issue deces t gacel	---|---⌫--⌫--|--⌫|----⌫|||----|-|---⌫|----|
L ac oru re nt	-⌫|-⌫---⌫--⌫-|
li damoi sel	-|-----⌫--|
A rtus cele	-⌫---|---|
partto rne	---|--⌫--|
Et liautre tr esto t a	-|-|----|--⌫----⌫||
Liladresotenclin leuis	-|-----|-|-----|-|--|
Dela utrepart uintel	-||-⌫---|---|---|-|
Yseutselaite scolorgier	----|-|---|-⌫---------|
prent arepe ri er	----||----⌫--⌫-|
A udep artirilrede mande	-⌫|---⌫----|-|----⌫----|
Y seut anuituiande	-⌫---|----|-----|
A rtus dist	-⌫---|---|
Ha ro ïnedonezla li	-|--⌫---|----|-|-|
Yseutlabele d ist	----|-|---|-⌫--|
