Aiceliorkeladolor fugr ans	|---|--|-|-|----|-|--⌫--|
Ensusse trait sale tinel	-|--|-|----|||-|----|
Uneautr e cho se lie s tuenueen	--|----⌫|---⌫-|-|-⌫-⌫|----|-|
Ro i s Walegrape suit	--⌫-⌫|---------⌫|--|
letineltropgra nt.	-|----|---|---⌫--|
Nelep uet mie	-|-|-⌫--|--|
leuerasontala nt	----||--|----⌫-|
Celuima udistqui	----|--⌫----|--|
lefistiss igrant .	-|---|---⌫|-----⌫|
Degra ntuoisdiese ua aporpensa nt.	-|---⌫-|------|-|-|---------⌫--|
D esacoroie	-⌫|-|-----|
sedes ch a int maint enant	-|---⌫--⌫-⌫--|-----⌫----|
Quilee esto it. i i.piés en unten ant	--|--|----⌫-|-⌫-⌫-|----|-|-|---⌫--|
fait m eruellous et courant	---|-⌫--------|-|------|
ue rsRainoua rt ui e ntW alegra pe atant.	--⌫-|-------⌫-|--⌫-⌫-|-⌫------⌫-||----|
Ialestr anglastparle mien	-||----⌫------|--|-|---|
Mais l ilasua	---|-⌫|--|-|
parl emilieuronpant.	--|-⌫|-----|-------|
Illere prentsile uarenoant	-|-|--⌫----|-|-|-|------|
Lasestrias fer afortettenant.	--|------|---⌫|---|-|------|
CilWaleg rapes fu	--|-----⌫----|-|
m ol tde male estras.	-⌫--⌫|-|---|------|
Tint la eoroiesiiet a	---|-|-----|-|---⌫|
u ncomp as	-⌫|----⌫-|
Isnelementfistleslasestrias	---------|---|--|--|------|
uers Raino uar t sen uient plus que	---|-----⌫---⌫||-|----|---|--|
Elcolli metl icuue rssatauas.	-|--|-|--|-⌫|----⌫-|-------|
Quant d utsac hiersi	----|-⌫-|---⌫---|-|
deron pi li	-----⌫-|-|
DistWalegrapes Apol in	---|---------|----⌫-|
O r uoiiebienqu eiane m aideras.	-⌫|--|-|---|--⌫|-|-||-------|
tecroitpi reses t que	-|----|--⌫--|--⌫|--|
S e cissesu ell er ecreanss ui	-⌫|--||---⌫---⌫|-⌫------|-⌫-|
Car f ormentsuie tt rauailliésetlas	--|-⌫-----|--|-⌫|-⌫----------|-|--|
E tcisdeables estforssa	-⌫|--|------|--|---|||
durs lesbras.	---|--|----|
Se ie lataigniete ́ ai ambesas.	-|-||-----|----⌫|-|----|--|
Ace sparoles sento rne	|--⌫|------||-|--⌫--|
CilWale grapes	--|----⌫-----|
o tformentlecuer sage.	-⌫|------|-|---|----|
R ainouart uoitgisa ntdesor le rbage	-⌫-------|---|----⌫-|----||-⌫----|
Bienset quilaenlui	---|--|-|-||-|--|
grant uaselage.	----|--------|
Seillataint	-|-||-----|
tost i a uradomage.	---||-⌫--|------|
Sontinelpris tquigistdesor	--|----|----⌫|--|---|----|
Siletraïneparmiunual ombrage.	-|-|------|--|-|-|--|-------|
S i lpuetuen ir sorla	|-⌫|---|---⌫-|--|-|
merau riuage	--|-|-----|
metra cedisit enson	----|-|----|-|--|
EtRainouars quise gisten lerbage	-|--------|--|-|---|-||-----|
Resauten piés de noie ntneseta rge.	-----|-|----|-|----⌫-|-|-|--⌫---|
Quantilneuitle Sa rra sinaufage	----|-|-|--|-|--⌫---⌫--|-----|
tinel ap oique	----||-⌫-|--|
i lnen rage.	-⌫||--⌫----|
i fistloncares tag e	|---|---|----⌫---⌫|
Ausile s uitcommecien de boscage.	---|-|-⌫--|----|---|-|-------|
R ain ouarssest deso uslarbre leués	-⌫---⌫----||--|----⌫-||----|-----|
Sis eregardeenuironet	-|-⌫|------|------|-|
De Walegrape	-|--------|
nesetouestalé s.	-|--|-|--|----⌫-|
tost ramembré s.	---|---------⌫-|
Quautne letrueuese tquil	----|-|-|-----|--⌫|-|-|
en e stp orte ́s.	-|-⌫-|-⌫----⌫--|
Lors fait telduel ia	---|---|--|---|-|
neue rés .	-|--⌫----⌫|
Puiss e ntor n atoutcontreuall es pres	---||-⌫|---⌫-⌫|---|-----|--|-⌫-|---|
Trueuelatrace si comilestale ́s.	-----|-|----|-|--|-|--|---⌫--|
Tan ta cor uRainouars liderue ́s	---⌫||---⌫|--------|-|-----⌫-|
uo itWalegr ape quis enfuitabrieués .	--⌫-|------⌫--|--||-|---|---------⌫|
trair eestoit iato uslas s e ́ s.	-----⌫|-----|-|--⌫-|---⌫-⌫-⌫-⌫-|
Rai nouarskeurtapréssest ar outés.	---⌫-----|----|-----||--|--⌫------|
Auois ses crieC u uert	|---||--⌫---|-⌫-⌫---|
nigarirés	||-------|
Ma luaise ment uo us en este senblés.	--⌫------⌫---|--⌫-|-|----⌫|-------|
La issiésmonfu stneleme traïnés	--⌫------|--|--⌫-|-|-|-|--------|
M aluaise honorcemestuis	-⌫------|----|-||--|--|
lip orte ́s.	-|-⌫----⌫--|
Lieuelefust	----|-|---|
fel cuuertpar i urés	--|-----|---⌫-⌫----|
Iaten seraliguerredonsdonés.	-||-|---|-|---------|------|
L ipaie n al otuersluiestre torués.]	-⌫|----⌫-⌫||-|---|--|--|--⌫--------|
Ren oua rs pr ent lagrantperc hequar ree	---⌫---⌫-|--⌫--|-|----|----⌫-|----⌫--|
Il la paumoiecontremont l	-|-|------|-----|---||
Fiertualegrape t ele	----|--------|-⌫--|
cuirainnipotauo ir	------|-|--|---⌫-|
desc iredes i	----⌫--|---⌫|
quenleschinee.	-|-||--------|
DistR enoarsUne e u auezportee.	---|-⌫-----|--|-⌫|---|------|
frerescest ueritép rouee	-----||--|------|-⌫----|
Quarcr oiz en dieuqui	---|--⌫--|-|---|--|
fis tcie le trousee	---⌫|---⌫|-⌫|-----|
Et enM ari equi ro ineestcl amee	-|-|-⌫---⌫|--|--⌫--|--|--⌫---|
Setule feztameserasaluee.	-|-|-|--||--|---|------|
Le paiens l ots a	-|-----||-|||
la te ste croll ee	-|--⌫--|-----⌫-|
Ienicreroi epor lor	-|||------⌫|--||-|
dun econtree.	|--⌫|-------|
DistRen oars Tuas folepensee.	---|---⌫---|-|-|---|------|
Quanttun e croiz	----|-|-⌫|----|
enlauirge henoree	-|-|----|------|
Iet ociraiamape rchequarree.	-||-----||-|--⌫---|-------|
Grantfulest oretlonguement dura.	----|-||---⌫-|-|---------|----|
EtRainoua rs le p aien	-|-------⌫-|-|-⌫---|
regar da .	-----⌫--⌫|
Cil Wa legrapes ariere retorna	--|--⌫-------|-----|------|
m ais ancoisse combatra .	-⌫--|-----|-|--------⌫|
Letinelprist	-|----|----|
a.ii.main slenbraca	|---|----⌫||------|
uers Rainou artruistementlelauc ha.	---|------⌫--|---------|-|----⌫--|
Ial eüstm ort	-||----|-⌫--|
maisilsedestorna	---|-|-|-------|
Aurechairenselpre le s tech a	-|------|--|-|--||-⌫-⌫----⌫|
Quelitineus.iii i.p ie ́ s ient ra	--|-|-----|----⌫-|-⌫--⌫-⌫||---⌫-|
EtRainouarslaprissi l	-|--------|||---|-||
Totma intenant d e	--|--⌫-------|-⌫|
Bertrantlimembra	-------|-|-----|
Quideltinelboute rl i	--|--|----|-----⌫|-⌫|
Prent letinelcontre	----|-|----|-----|
mo ntl e haucha	--⌫-|-⌫|-----|
Le boutderieresoussa sele	-|---|------|---||-⌫---|
F iertWalegrape e n boutantle heurta	-⌫---|--------|-⌫|------|-|-----|
Partel aïrquetoutentress ua	--|--|---|--|---|-|-----⌫-|
Sorle costé siforment lassena	--|-|-----|-|------||-----|
Que le fort cuir ro mpietdeseuia	--|-|---|---|--⌫--|-|------|
Ront li lescoste s et	---|-|--|-----⌫|-|
lecuerli creua.	-|---|-|-----|
Lepaie nc hiet unsigr antbre tieta	-|----⌫|-⌫---|-|-|--⌫--|---⌫|---|
Iusqu enlArchautt oteterre encrolla	----|-||------|-⌫--|----|-|-----|
Et enlamer	-|-|-|--|
lauoisenresona.	-|---|-|------|
EtRainouars sestu tsil e s gar da.	-|--------||----⌫|-||-⌫-⌫---⌫--|
Orserepent	-|-|-----|
decequeoci sla.	-|-|--|---⌫||-|
Raino uarsuoi t	-----⌫---|---⌫|
mor irsonfrereetbraire.	---⌫-|--|----|-|------|
Lors a tel	---||--|
duelneset qu	---|-|--|-|
ilp uissefaire.	-|-⌫----|-----|
Orle regretem oltbienauois	-|-|------|-⌫--|---||---|
Helasdist il comsuimorte ls	-|--|---|-|--|--|-----⌫-|
freredema ma ir e.	----|-|-|--⌫--⌫-|
Orsaii ebien pires	-|--|-⌫|---|----|
suique murdrai re .	--|--|-------⌫--⌫|
M aiscai ieditmo lt	-⌫--||-|-|--|--⌫-|
sui orecontraire.	--|--|---------|
Ian estmon fustmon cousin	-||--|--|---|--|-----|
nemon fr air e	-|--|--⌫---⌫|
sesniésneses	--|----|-|--|
compai re.	------⌫--|
Silf aitfoliedro it	|-|-⌫--|----|---⌫-|
ille c o m paire.	-|-|-⌫-⌫-⌫-----|
Quant paienu oientWalegrape estuencus	----|----|-⌫----|--------|--|-----|
Deses b arons	-|--|-⌫----|
senfuienttoutliplus .	|-|-----|---|-|----⌫|
Decefu moltRainouar sirascus	-|-|-|---|--------⌫|------|
Qua soutinel nesa tou sco nfon dus.	-||--|----|--||---⌫|--⌫----⌫---|
il comorsui durfe üs.	-|--|-|--|-----⌫---|
Nainul soulerains	|-|--|-----|---|
piést osnu s	----|-⌫-|--⌫|
Pa r .xxx.liusmen estli	--⌫|----|---||-|--|-|
s an scoru s	-⌫--⌫|----⌫|
Nepuismescour reparces	-|---|--|----⌫-|--|--|
callausagus.	------|----|
Seor m escapent cist pa ie nmescreüs	-|-||-------|---|--⌫--⌫|--------|
P ar t outeFrancese r am eslosperdus.	-⌫-|-⌫---|-----|--⌫-⌫|-⌫-|--|------|
Ungrant baratporpensali tondus	-|----|----|-------|-|-----|
fistmorta la terre	---|---||-|----|
Ung rantbretiet ecom	-|-⌫---|---|---⌫|--|
fus ta m ortferus	---⌫||-⌫--|----|
Mestoutesuoiesfubienlefus t tenus.	--|-----|----|-|---|-|---⌫|-----|
.m. Sarrasin iuiennentaescu s	--|-------||-------||----⌫|
Qu i tuitesgardentRainouar t	--⌫|---|--------|--------⌫|
q nigistius.	-⌫-|---|---|
Ciles ttuësqui nosaconfondus.	--|--⌫|----|--|--||---------|
Sarrasincuidentque Rainouarssoitmors.	-------|------|--|--------|---|----|
Plusdexx .m.i uienn ent lesgalos	---|-|--⌫--||-----⌫--|--|----|
Rainoua rt bo utent dela ncesetdecros.	-------⌫-|--⌫----|-|--⌫---|-|-|----|
susaussi bra itcomun t ors.	--|----|---⌫-|--|-|-⌫---|
Paien le uoien tsi	----|-|-----⌫|-|
lit ornentles dos	-|-⌫-----|--|--|
Et Rainouar s lessuitdem olt	-|--------⌫|--|---|-|-⌫--|
granstros.	----|----|
tinelbr is easpaiensles dos	----|--⌫--⌫|-|-----|--|--|
Pui s lorescrieetlordita bri é smos	---⌫|--|-----|-|--|--||---⌫--⌫|--|
Fi laputainmarmiauésencl os.	--⌫||-----|--|||----|----⌫--|
Ne pu is auoirunseuliorderepos.	-|--⌫-|----|-|---|--|-|-----|
Rainon arstinta.ii .pui nslamacue	------⌫--|---||---⌫|---⌫-|-|----|
Ci lquilat a i nt	--⌫|-|-|--⌫-⌫-⌫-|
auncopmortleru e.	|-|--|---|-|--⌫-|
Turc uneuoieba tue	---|--|---|--⌫--|
Grishartotnom doltre l IslePe rdue	-------|-|--||----||---|--⌫---|
Etf u safill eGuinehartlabocue	-|-⌫|-|----⌫|--------|-|----|
c ar du n hommecrue	-⌫-||-⌫|----|---|
A lordeuiellenecoue nra	||---|-----|-|----⌫--|
Grishart portoi tunehache	-------|------⌫|--|----|
Fie rtRainouart dur ement s	---⌫-|--------|---⌫----||
trenche etla	------|-|-|
broguemenue	-----|----|
Ius qu alach ar	---⌫-||-|--⌫-|
est la h achecorue	--|-|-⌫---|----|
Lisansch eïdesor	-|---|--⌫--|----|
l erbemen ue.	|---|---⌫--|
DistRa in ouars Or e nai un eeüe.	---|--⌫--⌫----|-|-⌫|-|--⌫|----|
uosie rtm o ltr icheme nt rendue.	--|--⌫-|-⌫-⌫-|-⌫------⌫-|------|
G rantfulestormerueilloset	-⌫---|-||----|---------|-|
EtRainouars	-|--------|
fulegiemet isneaus.	-|-----|-|-------|
GrishartQui es tesuos r ibaus	-------|--|--⌫--|--|-⌫----|
C h etisresemblesmolt bien a	-⌫-⌫---|--------|---|---||
tesdr apiaus.	--|--⌫------|
cui sineasrostidesmusti aus	---⌫---|-|----|--|-----⌫--|
Et astorchiés les pos et lesuessiaus .	-|-|--------|--|--|-|--|--------⌫|
Maiss olementpor ce que	---|-⌫------|--|-|--|
tues biaus	-|-|----|
Ietedorrai et citésetcastiaus	-|-|-----|-|-----|-|-------|
Et masemu r quiano nFlorechaus	-|-|----⌫|--||--⌫|---------|
Cestceledamequi portecele fa us.	|--|---|---|--|----|---|--⌫--|
R oisen serasainsquecoutli s olaus.	-⌫--|-|----|---|--|---|-|-⌫-----|
S i laites d ex qui n eualent.ii.	-⌫|--|--|-⌫-|--|-⌫|-----|---|
DistRainouarsFiusa	---|--------||--||
p u tainribaus	-⌫-⌫---|-----|
Maripassastes s imaits aint T ho mas	--||--------|-⌫||--|-⌫---|-⌫--⌫--|
Ilpasse a uantainsn ef u arestaus	-|----|-⌫---|---|-⌫|-⌫|-------|
paiendeso rli aumeaesmaus.	----|----⌫||-⌫---||------|
Neli ualutne coifenechapiaus	-|-|----|-|----|-|-------|
sesp ié s nenpendeliceruaus.	--|-⌫---⌫||-|----|-|-------|
DistRainouam	---|-------|
Poisebien cest	----|---|---|
irésa treschesneabaus.	----||-------|-||----|
Ac es parolesi uient lirois	|-⌫-|------||----|-|---|
EtDesraméset.xiiii.ami raus	-|--------|-|------|---⌫---|
E t.xxx.m. de paiensd esloiaus.	-⌫|------|-|-----|-⌫--------|
nen pe nse	|-|--⌫--|
lepere esperi t aus	-|---|------⌫-⌫--|
Rainou ars iertdeliurésasuassaus.	------⌫--|---|--------|-|-------|
Grant fu l anoiseli	----|-|-⌫|----|-|
cris et lahu ëe	---|-|-|--⌫--|
Sonentboisi nesetcor salame nee.	-----|-----⌫--|-|---⌫||-|--⌫---|
Li quensGuillamesa la	-|----|--------||-|
n oiseesco utee	-⌫---|----⌫---|
M onioiee scr iesa gentaassemble e.	-⌫-----|-⌫---⌫-|-|---||--------⌫-|
Sedexnen pensequifist ci e letrouse e	-|--||-|----|--|---|--⌫-⌫|-|-----⌫|
Cel ec o mpaigneserade sbaretee.	---⌫|-⌫-⌫------|---|--⌫--------|
Liamirau s	-|------⌫|
auoit sagentmandee	----|-|---|-----|
N otremé s Tnrci usquenlamer b etee.	|-|-----⌫|---|-⌫---|-|-|--|-⌫----|
.ccc.buisines sonent	----|-------|-----|
Tous enten tistlimo nset	---|-|---⌫---|-|--⌫-|-|
Liquens Guillau m esa sa u ois	-|----|-------⌫-⌫-||-|-⌫--|
haut leuee	---|----|
escrie a moltg ranta le nee	-----||---|-⌫---|-⌫--⌫--|
L edestrie r brochelar egne	-⌫|-------⌫|-----|-|-⌫---|
abandone e	--------⌫|
Tintun espielqu i	---|-|-----|--⌫|
l alemeleo tle e.	|------|-⌫|--⌫-|
Leroide Cordesquile siele	-|--|-|-----|--||-⌫----|
F erili qu enssorla brognedore e .	-⌫--|-|--⌫--|--|||-----|----⌫-⌫|
Desor labouclela fendue etcopee	----|-|-----|-|-----|-|----|
La uielle b roign ede srote et	-|-----|-⌫-----⌫|--⌫----|-|
corsestl enseg nepassee	---|--||-----⌫-|-----|
Mor tletrebuchedeuantluienlapree.	---⌫|-|-------|-----|--|-|-|----|
F iertsenlapresse si	-⌫---||-|-|-----|-|
EtAime risl e sui tde randonee	-|----⌫--|-⌫|---⌫|-|-------|
Ettontsi fil agrautesperonee.	-|---|-|--||----|---------|
en penseetsa uert unomee	-|----|-|-|----⌫|----|
Cele conp a gnees tt rop abandonee .	---|----⌫-⌫--|--⌫|-⌫--|---------⌫|
EtquantFlohart	-|----|------|
Etlaparoleoi ̈eet esc oute e	-|-|-----|--⌫-|-|---⌫----⌫|
Q ue Rainouars a	-⌫-|--------||
laperchequarree	-|-----|------|
Amortsonfre r equi gist g ueulebaee	|---|--|---⌫-⌫|--|---|-⌫----|---|
Elle sautsustresto t eesc heuelee.	---|---|--|------⌫-⌫|---⌫-------|
.x u .piés ottant	--⌫-⌫|----|-|---|
lontFrancois esmee	|--|-------|----|
Duncui rdebugle estoitenue lo ppee.	|-|---⌫|-|----|-----|----⌫--⌫----|
Ototsafausestenlestor	|--|-|---|--|-||----|
Degent tuërestoittoute	-|---|----|-----|----|
ataint toutea sauie	-----|----||-|--|
Co ntr esafausn an u lea rme du re e	--⌫---⌫|-|---|||-⌫-⌫-|-⌫--|--⌫--⌫|
Autre sibruitco n foudres	-----⌫-|----|--⌫|------|
A chescu ncop lorde	|------⌫|--||---|
uielederue e	----|-----⌫|
Ocitdegentunegrant charetee.	---|-|---|--|----|--------|
ARainouartl a Guillaume smostree.	|--------|||---------⌫|-------|
Dexdi stGuillaume ssaint euirgeheno ree	--|--⌫-|---------⌫|-----⌫|----|----⌫--|
Quelbeste est cequeie uoi laarmee	---|----|--|-|--|-|--|-|----|
De nos tregent fet	-|---⌫--|---|--|
moltgrantlapidee.	---|----|-------|
longue s ianiaurons du ree.	------⌫|-|||-----|--⌫---|
DistR ainou ars	---|-⌫-----⌫--|
F oli eaue ́spense e	|---⌫|---⌫-|-----⌫|
Iel o cirai ama	-||-⌫----||-|
p erchequarme.	-⌫----|------|
Flohartcoran td eran donee	------|-----⌫|-⌫|---⌫----|
Desabouche istunesig rant	-|-|-----|--|--|-|-⌫---|
Trestotelo stenfu	-------||-⌫-|-|-|
empullentee.	-----------|
E t Rainouarsliuiental en contree	-⌫|--------|-|----|||--⌫------|
Si li es criePute	-|-|--⌫---|---|
uielledesuee	-----|-----|
Quelsui sdiables u o us ontde nfer g itee	----|--⌫|------|-⌫-⌫-|--||-⌫---|-⌫---|
De qu ex ma ufés f u stes	-|--⌫-|--⌫----|-⌫-⌫---|
uos engendree	--|--------|
Puisque uousestesreine coronee	---|--|---|----|----|------|
Deüssiés estreen	---------|----|-|
uo chambre	-|------|
Ou n mauféq uiuouseüst	|-⌫|-----|-⌫-|---|----|
Por plai nemin e debons b esanscomblee	--|----⌫-|---⌫|-|---|-⌫----|------|
N eu ousuoudro iea uoir des pu cel ee.	-⌫|-⌫--|------⌫-|-⌫---|---⌫--⌫---⌫--|
Quant Floh ar tlot apoinest	----|----⌫--⌫||-||--||--|
Si lie scrieRibautsouf letostee	-|-|-⌫----|-----|----⌫-|-----|
Par Mahometmarm auésr a mponee	--|------|--||----|-⌫-⌫-----|
Decestefau stedorrai telc olee	-|----|---⌫|-|-----|--|-⌫---|
Iamaispar toi	-|---|--|--|
niertpaieleescur ee	|---|-----|-----⌫-|
Nepost or ch ié s	-|--|-⌫--⌫--⌫---⌫|
nechaudriere escumee.	-|---------|-------|
Elp asseauants ala	-|-⌫---|----|||-|
fausentesee	---|------|
EtR aino uars laform ent redoutee.	-|-⌫----⌫---|||----⌫--|--------|
C on trelafausala	-⌫--⌫--|-|---||-|
perche ietee	-----|----|
Tra nch e leferdonte lleestoitbende e	---⌫---⌫|-|--|---|-⌫--|-----|-----⌫|
Grantde mi	----|--⌫-|
piéestenlaperche	---|--|-|-|-----|
R ainouars sache etlauielle atiree	-⌫-------|----|-|-|-----||----|
Et sa fa us	-|-|--⌫-|
esten.ii.moitiés fr oee.	--|-|---|-------|--⌫---|
Cestunechoseq uiR aino uart	|--|--|----|-⌫-|-⌫----⌫---|
Rainouars uoitl agrantfauspecoie	--------|---|-⌫|----|---|-----|
G raut ioie	-⌫---|---|
enot lauie llefu irie	-|-|-|---⌫--|-|---|
D elpoinglefie rt pardeiousteloie	-⌫-|----|-|---⌫-|--|-------||--|
Que.ii.d es den s	--|---|-⌫-|---⌫|
l ipecoie et esmie.	-⌫|-----|-|-----|
Dist RainouarsBo ne	---|--------|--⌫-|
maué s paie.	|----⌫|----|
Ilsau tauau t	-|---⌫|----⌫|
lauiellea embracie	-|-----||-------|
Etellelu i nefumiee sbahi e.	-|---|--⌫|-|-|--|-⌫-----⌫-|
Partelue r tu nelmescre e ́s	--|--|--⌫-⌫-|--|------⌫-⌫-|
Qu a Rainouarta leschine ploie.	-||--------|||------|-----|
Ma isRainouarsala teste	--⌫-|--------||-|----|
g uen chie	-⌫---⌫---|
CarlapuorsdeFloh art lecu i uri e	--|-|----|-|----⌫--|-|--⌫-⌫---⌫|
Q uipluspuo it quecharoigne	-⌫-|---|---⌫-|--|--------|
E tFloh ar t	-⌫|----⌫--⌫|
a lauentail le saisie	|-|-------⌫-|-----|
As dens lia del h auberc	-|---|-||--|-⌫-----|
esr ac hie	---⌫--⌫--|
Ausilanglotq uecefus tform agie.	---||-----|-⌫-|-|---⌫|----⌫----|
Dist RainouarsDamesainteMarie	---|--------|---|-----|----|
Auouscommantetmon cors et	|---|------|-|--|---|-|
Grantpoor ai	----|---|-|
quecestene m ocie.	--|----|-||----|
Qua ntRainouarsuoitFl o hart qui	---⌫-|--------|---|--⌫-⌫---|--|
Mo lt laredoutepo rquoienme ntir oie	--⌫-|-|------|--⌫|---|-|--⌫----⌫--|
Deureclamaetdol cementli	--|------|-|---⌫-----|-|
SaintLiënartqui	----|-------|--|
l es prisou sdesloie	-⌫-|------⌫|------|
Saint Iuliën montinel	----|------|--|----|
uousotroie	---|-----|
Soruos treauteld ebonc uerlemetroie	--|---⌫--|----|-⌫|--|-⌫--|-|------|
Sedecestchamp lepris port er	-|-|---|----|-|---|----⌫-|
Fiertlapaiene que lecorsli	----|-|-----|--|-|---|-|
Ellechietmort e ets estentetpat o ie.	---|----|----⌫|-||-----|-|---⌫-⌫--|
DistRain ouar sIesé suousto ute	---|----⌫----⌫|-----⌫|---|--⌫--|
uielle puua iseGardés que	-----|----⌫--|------|--|
ne uouso ie	-|---|-⌫-|
prentsilebaisse	----|-|-|-----|
et pa umoie.	-|--⌫-----|
Dist Rainouars Certes neuosdonroie	---|--------|-----|-|--|------|
c ite ́de Tr oie.	-⌫---⌫|-|--⌫---|
Mais libo nsai ntuous aura t outeuoie.	---|-|--⌫|---⌫-|---|---|-⌫---|----|
Qu ant Ra inouarsot	--⌫--|--⌫------|-|
Grishartab atu	-------|--⌫--|
Etsa seror	-|-|----|
qui moltotdeuert u	--|---|-|-|----⌫|
Arieretorne apl ain co pestendu.	-----|----||--⌫--|--⌫|-------|
batail le seref iertdeuertu	------⌫-|-|---⌫---|-|----|
Ta n tenabat	--⌫-⌫|-|---|
couer tsont	-----⌫|---|
La graigno rpresse amolttostderompu.	-|-------⌫|-----||---|---|-------|
Francoisle uoie nt silirendentsalu.	-------|-|----⌫-|-|-|------|----|
Aces pa rol esesD esramé uen u	|--|--⌫---⌫-|-|-⌫------|---⌫|
En sa compaigne	-|-|--------|
.x l. m.escu.	--⌫--⌫-|----|
La ouiltornesont Francoisi rascu	-|-|-|----|---|-------|-⌫----|
Les chiés	--|-----|
lortrenche	--|------|
aubr ancdaciermolu.	-|--⌫--||----|----|
MaisRain o uarse na gran tduel eü	---|----⌫-⌫---|-⌫||----⌫|---|--|
Bien asonp ere li	---||--|-⌫--|-|
bersrec onneu ̈	---|---⌫-----⌫|
Augrantcors age et au	-|----|----⌫--|-|-|
ue rmeilescu .	--⌫----|----⌫|
Celepart c ort quantl ota perceü.	---|---|-⌫--|----||-|-⌫-------|
Quant Rainouarsuoit Desra mésonpere	----|--------|---|-----⌫--|--|---|
conutauco r setalahere	----|-|--⌫-⌫|-||-|---|
Etles cu dor	-||--⌫-||-|
etalagr antbanere.	-||-|--⌫--|------|
Parmilestor	--|-||----|
uint poigna n t	---|------⌫-⌫|
G uillaume uame nacha ntdelc ief	-⌫-------|-|--⌫-----⌫-|--|-⌫--|
Et R ainouarsnesetque p uisse fere	-|-⌫-------|-|--|--|-⌫----|---|
Quesillocist	--||-||----|
pi resestque	--⌫--|--|--|
Ili urede u	-|-⌫--|--⌫|
quido u montest salu ere	--|--⌫|---|--|----⌫--|
Encorsoitil	----|---|-|
e tilsou pere	-⌫|-|--|---|
Nella ise roit po rtot lord u nen pere	--|--⌫---⌫---|--⌫|--||-||-⌫|--⌫---|
son tinelsonor guelne com pere .	--|----|--|--⌫---|-|---⌫----⌫|
Rainou arsuintcorantpar	------⌫--|---|-----|--|
Paiens encauch e	-----|-------⌫|
e t maineagrant belloi.	-⌫|----||----|------|
RoisDesramés osonric he conroi	---|--------||--|---⌫-|-----|
Parlabataille	--|-|-------|
ma ine molt	--⌫--|---|
grantbufoi.	----|-----|
Sonfil encon treRainouartdeuantsoi.	--|--|-----⌫--|--------|-----|---|
Nel con nut mie si uou s d irai	--|---⌫--|--|-|---⌫|-⌫---|
Tousert descaus	---|--|------|
etpouresiconroi	-|----|-|-----|
Maluaisem entr esamble filderoi.	---------⌫--|-⌫------|--|-|---|
DistDesrame ́suassalp a role a	---|-------⌫-|-----|-⌫-⌫---||
Queishomest uD i le	----|--|-|-⌫|-⌫|-|
moipartafoi	--|--|-|--|
DistRainouar suoleutiersparmaloi	---|--------⌫|---------|--|-|--|
Malaieie seie poruosle	--|--|-|-|-|--|--|-|
M espe r es estes	-⌫-|--⌫-⌫-|----|
iel saitresbien	--|--|---|---|
Rainoua rssui	-------⌫-|--|
engendréssuid eto i.	---------|--|-⌫|--⌫-|
H omsuiGuillaume sil	-⌫-|--|--------|-||
aimenbonefoi.	--|-|---|---|
Se malli f ais ielefer ai atoi	-|--|-|-⌫---⌫-|-|---⌫-||--|
Ciltedeffiequin a soing	--|-|-----|--|||----|
d e ta lo i	-⌫|-|--⌫|
Cestmestinels	|--|--|-----|
queie tieng etp aumoi.	--|-|----|-|-⌫-----|
T eltedourai senefuis	-⌫-|-|-----|-|-|---|
d euantmoi	-⌫----|--|
Netegarraci lia ume que ieuoi .	-|-|----|--⌫|--⌫--|--|-|---⌫|
saisiparleregned orfroi.	----|--|-|----||------|
Roi sDesramésen	---⌫|--------|-|
estengra utesfroi.	--|-|---⌫-|------|
Rois Desramé sfu ar méssorLiart	---|--------⌫|-|--⌫---|--|----|
Ensacom paigne.xxx m.Açoupa rt	-|-|---⌫-----|----⌫-|-------⌫-|
Moltontocisde lagentRainouart.	---|--|---|-|-|---|---------|
tintpar lcfrai nd unepart.	---|--|-|----⌫||--|----|
Dist De sramésLais m oi al er	---|--⌫------|---|-⌫-|--⌫-|
Ie tocirai	-||-----|
tumetienspormusart.	-|-|----|--|------|
D istRainouarsPaléaués	-⌫--|--------|----|----|
Ainsuos ferrai	---|--|-----|
desuscel toënart.	----|--|--------|
fer ai senti rmon	---⌫-|-----⌫|--|
DistDesramés Rainouarsbia xamis	---|--------|--------|---⌫|---|
m es fiuspar fo i	-⌫-|---|--|--⌫|
l etep leuis.	-⌫|-|-⌫-----|
Partotlemont	--|--|-|---|
ge cer chié	-|---⌫----|
QuecroiMahon quiestpoe ̈ s t eïs.	--|---|----|--|--|---⌫-⌫-⌫-⌫----|
Iemecomb açatoim o l t a	-|-|----⌫--||--|-⌫-⌫-⌫||
nes a iquans ocis.	-|-⌫-⌫|----|----|
r enoie s entant com tu	-⌫-----⌫|-|---|--|-|
Seie tociiel	-|-||--|--|
f er aiaenuis	-⌫--⌫-||----|
D ist Rainouar sI anens oies	-⌫--|--------⌫|-⌫||-|-⌫---|
Seietescaptuserasm albaillis.	-|-||----|-|----|-⌫-|-------|
Ne tele raiiusquas po mdeLut i s	-|-|--⌫--|----|-|--⌫|-|---⌫-⌫|
Castelneuille	-----|-|----|
abat e tantsoitfom	----⌫|---|---|--|
Roi sabatuse nserasa	---⌫|-----|-⌫|----||
Desramés lot direen	--------||-||--|-|
est tosnercis.	--|--|------|
Iltretl e speelescua au antmis	-|---||-⌫---||---||--⌫--|--|
