o tzzempereeur	-⌫|-|--------|
l uiou ma fame	-⌫-|-|-|---|
certesie enfer oies i	-----|-|-|---⌫--|-⌫|
iug ementconme mi	---⌫----|----|-|
sauroient esgarde rsir e	--------|-------⌫|---⌫|
ditli sages dece	--|-|----|-|-|
doutezia c arbien	-----|-|-⌫-|---|
partans lorroizpar	--|---||-----|--|
foidist lirois don ques	--|---|-|---|---⌫---|
ilre spitieziusque demain	-|--⌫------|-----|-----|
e nt ornali	-⌫|-⌫---|-|
etfumoultioianz d e	-|-|----|-----|-⌫|
ce quel i enfesfu	-|--|-⌫|----|-|
res pitiez	---⌫-----|
lie mperieres re mestmou lt	-|-⌫--------|--⌫---|---⌫-|
p ensisetl	-⌫----|-||
daut repartquimoult	|---⌫-|---|--|----|
estoitdo lent ede	-----|--⌫----⌫|-|
emperi eres n a uoit fet	------⌫---||-⌫---|--|
io usticedesonfil lors	--⌫-----|-|--|--|---|
co u chieri usques	--⌫-⌫----|-⌫-----|
queliemperieresse	--|-|---------|-|
dame au si eleapela	---|--⌫-|--|----|
empe reeur sili dist	----⌫----|-|-|---|
sauez porcoi len fet	----|--|--|--|--|
lafeste ausfo x	-|----|--|--⌫|
dam efe tilnen il quant	---⌫|--⌫|-|---⌫-|----|
o i sifist zz	-⌫|-|---|-|
et lidi st	-|-|--⌫-|
uous dirai carie le	---|----|--|-|-|
au ctor itemesuousne	--⌫----⌫--|--|---|-|
bienentendre	---|-------|
quelen uous diedame	--|--|---|--|---|
fetilsi ferai mes	--|-|-|----|--|
orm edite spour coi	-|-⌫|----⌫|---|--|
l enfet lafeste a us	-⌫-|--|-|----|-⌫-|
s irediteleuolen tie rs	-⌫--|--|--|-----⌫---⌫-|
sire rome fumo ult	---|---|-|--⌫--|
guerroieeiadiscaryy	--------|----|--|-|
roispaiens	---|-----|
auoie nt asiseentele	-----⌫-|----|-|---|
mani ereq uiluoloient	----⌫--|-⌫|-|-------|
la chai ere saintp ere	-|----⌫--|----|-⌫--|
lapostelemet r e	|-------|---⌫-⌫|
torment et	------|-|
a mortet toute	|---|-|----|
crestientede struireli	---------|--⌫------|-|
q uemunsde	-⌫-----|-|
uilee mpristconseil	---|-⌫|----|------|
comentilenporroient	-----|-|-|--------|
esploitier	---------|
contr eles sarrazins	-----⌫|--|--------|
auoita rom e zzhome	----||---⌫|-|---|
etancienquiparlaet	-|-----|--|----|-|
dist seig n euren tendez	---|----⌫-⌫--|--⌫-----|
yyrois paiensnous ont	-|---|-----|---|--|
ceenz asis	----|---|
et uu elent	-|--⌫----|
citedestr uireet	---|-----⌫---|-|
desherit erse uous	--------⌫-|-|---|
uoliezcr oire	-----|--⌫---|
ie uo usd iroiemon p ense	-|--⌫-|-⌫----|--|-⌫---|
noussomesceenzyy	---|----|----|-|
etso mesge ntil	-|--⌫--|--⌫---|
de haut pa rentecha scuns	-|---|--⌫----|---⌫----|
dessagesgartson iour	--|----|---|--|---|
quelipaienne nous	--|-|----|-|---|
greuerne entrer en la	-----|-|-----|-|-|
u ileetqui	-⌫--|-|--|
ce ref usera	-|---⌫----|
ius tisiezill	---⌫-----|-||
on t uolen tie rstuit otroié	--⌫|-----⌫---⌫-|---|------|
etdesfendirent la	-|-----------|-|
yymoisque onquesn	-|---|--|-----||
e ntrern eriens mesfere	-⌫----|-⌫|----|------|
me suitaille faillia	--⌫|-------|-----||
dede nzsi leuralamoult	----⌫-|-|---|--|----|
mauueseme nt	---------⌫-|
uniourenuindrenta	-|---|-|-------||
g enuszzdes mes tr es	-⌫---|-|--|---⌫--⌫-|
celuigenus ditle n	----|----|--|--⌫|
ienuierzzmoisqui	------|-|---|--|
deuantfe urierli	-----|--⌫----|-|
ontditsire	--|--|---|
est hu iuostreiourque	--|--⌫|-----|---|--|
uousdeu ezdesfendrerome	---|---⌫-|--------|---|
contrelessar razins	-----|--|---⌫-----|
seign eursceditgenus	-----⌫---|-|--|----|
end ie u qui	-|-⌫--⌫|--|
nousuueille sec our re	---|------|---⌫---⌫-|
etmai ntenirc re stienteet	-|---⌫-----|-⌫--⌫------|-|
nousdointforce et	---|----|----|-|
contrenosan em iss aue z	-----|--|--⌫--⌫-|-⌫---⌫|
quei e u ousuueil	--|-⌫|-⌫--|----|
con mander que demain	---⌫-----|--|-----|
soiez tuitarméconm e	----|---|----|----⌫|
pourcombatre	---|-------|
feraizzenginsi	----|-|----|-|
merue il leus pou respoanter	-----⌫--⌫---|---⌫|--------|
lessarradins il	--|--------|-|
respondirent	-----------|
qu il feroientsa	-|-|-------|-|
uole ntelorsfistgenu s	----⌫--|---|---|----⌫|
fa irezzuestement etle	--⌫--|-|--------|-|-|
fist taindre	---|------|
enarrement	-|-------|
puisfistq uerre queues	---|---|-⌫----|-----|
descureu splusdun	|-------⌫|---||-|
mi llier et	--⌫----|-|
atachier acel	-------||--|
ueste mentetyfis tfe re	-----⌫---|-||---⌫|--⌫-|
ui a i resmoultlez dont	--⌫-⌫-⌫--|----|--|---|
l eslanguesfurentausi	-⌫-|------|-----|---|
ue rmei l les	--⌫----⌫-⌫--|
conm ec h arbo ns qui art	----⌫|-⌫-⌫----⌫-|--|--|
icefutenuam ou lt	--|-|---||-⌫--⌫-|
grant merueille et desu s	----|--------|-|----⌫|
fistfe re zzmi reo irqui	---|--⌫-|-|--⌫---⌫-|--|
resp lendissoit	----⌫---------|
contreleiour ici l	-----|-|---|---⌫|
seleua zzma tin	-|---|-|--⌫--|
moultbiend ecelengin	----|---|-⌫|--|----|
etpuis monta	-|---|----|
d u cressantquimoult	-⌫|-------|--|----|
estoi t hauteetpor ta	-----⌫|----|-|---⌫-|
deus e sp eesquantilse	---|-⌫--⌫--|----|-|-|
fu bien ap are illiezsi	-|---|--⌫---⌫-----|-|
des cren iaus de	--|----⌫---|-|
latourd euers	-|---|-⌫----|
sarraz in s lorsco nmenc a a	------⌫--⌫|---|--⌫-----⌫||
f erirdesy y esp eeset	-⌫---|--|-⌫|---⌫--|-|
uneescremieetune	--|-------|-|--|
fierebataillequeli	----|-------|--|-|
lesestancell e su o loient	--|---------⌫-⌫|-⌫-⌫-----|
des espeeslisarrazin	--|-----|-|-------|
regarderent	----------|
celemeru eillepar cel	---|----⌫----|--|--|
e n furent	-⌫|-----|
f ormentespoanté	-⌫-----|--------|
nenes auoien tquece	-|-|-⌫------⌫|--|-|
pooitestrelors dist	----|----|---|---|
unshauzhons	--|---|---|
desp aienslidiexdes	--|-⌫----|-|---|--|
crestiensestanuit	--------|--|----|
descendu z	--------⌫|
iu saterrepour sa	--⌫||----|---|-|
gent secourr e	---|-------⌫|
mar auo ns	--|---⌫-|
aco intiee	---⌫-----|
cest eguerretuit s erons	----⌫|-----|---|-⌫----|
mor tetoc iseta folé	---⌫|-|--⌫-|-|-⌫----|
atantse mi renta la	----|-|--⌫---||-|
uoieetlessierentl e	---|-|---------|-⌫|
romeetsenfoirent	---|-||-|------|
pourlenginqueil	---||----|--|-|
uir entmoultfirent	---⌫--|----|-----|
gr an t folieca r riens	--⌫--⌫|----|--⌫|----|
ie u ssentpe rdu	|-⌫-⌫----|--⌫--|
q u ant c il d eromeles	-⌫-⌫--|-⌫-|-⌫|---|--|
enuir ent foirlo rs	-|---⌫--|---|--⌫-|
corurentapres	-------|----|
moultennaurerentet	----|-|--------|-|
ocirente t grantauoi r i	------|-⌫|----|----⌫||
conquir ent	-------⌫--|
autresife tesuo us sire	------|--⌫--|--⌫-|---|
uousmenezunea utre tele	---|----|--|-⌫----⌫---|
conmecil quiieuea	----|--|--|---||
lap elotequantilla	-|-⌫----|----|-|-|
tantostla gie te as on	------|-|---⌫-||-⌫-|
com p aignon ilmest	---⌫-⌫-----|-||--|
bienmusart	---|-----|
quan tillatie ntet	----⌫|-|-|---⌫-|-|
lagiete etapres la	-|----|-|----|-|
r e demandecetienie	-⌫-⌫------|-|---|-|
afolieautresifete s	|----|------|----⌫|
uousuoussa m b lezl	---|---|--⌫-⌫-⌫--||
quantilp leure et len	----|-|-⌫----|-|--|
lamem elle	-|---⌫---|
setestautresintfetes	-|---|--------|----|
uou s uo us estesune	---⌫|--⌫-|----|--|
en zz corageetu ne	-|-|-----|-|-⌫-|
aut re enaut recilyy	---⌫-|-|---⌫-|--|-|
uousdecoiuent	---|--------|
art e tpa rleu r engin	--|-⌫|--⌫|---⌫|----|
dont uou s	---|---⌫|
mor roiza honteet ce	---⌫---||----|-|-|
seraa bondroit qua nt	---||--|----|---⌫-|
uolezcroire	----|-----|
u eistes u ous	-⌫-----|-⌫--|
bie nlapro uuanc ede	---⌫|-|---⌫-----⌫|-|
uostrefil zqu i me fist	-----|---⌫|--⌫|-|---|
toutesanglante	----|--------|
etmedes ci rama robe	-|-|---⌫--⌫-|-|---|
cepoi stes uousbienoir	-|---⌫---|---|---|--|
etque ate nde zu ous	-|--|---⌫---⌫|-⌫--|
men u en chiez	|-|-⌫--⌫----|
l iemperieres	-⌫|---------|
uoir a uez d it	---|-⌫--|-⌫-|
iebien etuost r e robe	-|---|-|----⌫-⌫|---|
de sciree ornatendrai	--⌫-----|-||-------|
carieuueilq u	--|-|----|-⌫|
soitor endroitdestruizor	---|--⌫------|-------|-|
delad esloi a l diexla	-|-|-⌫-----⌫-⌫|---|-|
co nfon dequitan tset	--⌫----⌫-|--|---⌫|--|
debarat etda rt	-|----|-||-⌫-|
ele sedesfen	--|-|-----|
les yy sa g es	--|-|--⌫-⌫-|
e tt ou z leurdizmet	-⌫|-⌫--⌫|---|--|--|
aneentlorss	|----|---||
lie mperier es	-|-⌫-------⌫-|
etdi tqueses filz	-|--⌫|--|--|---|
neuiura plus	-|----|---|
lor s di t	---⌫|--⌫|
s ers prenezlemoie t	-⌫--|-----|-|--|-⌫|
iemeismesiraiauec	-|------|---|---|
sileuerraidestruire	-|-|-----|--------|
ilqueurentmeinte nant	-|-------|------⌫---|
cil quineloserent	--|--|-||------|
ueerne desdire si leu r	---|-|------|-|---⌫|
ilata ntesuous que	-|---⌫-|-|---|--|
liautresmestr esqui	-|-----|-----⌫-|--|
estoitapelez	-----|-----|
meronu intdeuantla	----|-⌫--|-----|-|
s ale et des cendi	-⌫--|-|---⌫----|
e stoitpas	-⌫----|--|
d eg ra ntageiln	-⌫|-⌫--⌫-|--|-||
auoitque y yanzet	----|--|-⌫|--|-|
sauo it touzle s yy	----⌫-|---|--⌫|-|
arzsagesestoitet	--|----|-----|-|
il salualempereeur	-|----||--------|
moultcortoisement apresl	----|-----------|----||
etlidistrois	-|-|---|---|
emperiere smoultme	---------⌫|----|-|
dontuo us auez tantde	---|--⌫-|---|---|-|
corages une	------|--|
heure estes	----|----|
en zzcor a ge etautre	-|-|---⌫-⌫-|-|----|
enautreu ousn estes	-|----|-⌫--||----|
pas establestrop e stes	--|-------|---|-⌫---|
to rnanzsi hauzhons	--⌫----|-|---|---|
co nme uousest esne	--⌫--|---|---⌫-|-|
d eust p asestresi	-⌫---|-⌫-|----|-|
une heureuolezuostr e	--|----|----|-----⌫|
fi lz o cirreautre heure	--⌫-|-⌫----|----|----|
leuolezres p itieruous	-|----|---⌫-⌫----|---|
encreezmoult	-|----|----|
o nq ues nementi	-⌫--⌫--|-|----|
enauiegn eausi	-|------⌫|---|
f ist acelui qui m i eulz	-⌫--||----|--|-⌫-⌫---|
fameque ce	---|--|-|
quil ueoitc ertes	-|-|----|-⌫----|
emperie res il	-------⌫--|-|
carcemeseroi t moult	--|-|-|-----⌫|----|
fort a croire comen t fu	---||-----|-----⌫|-|
cebiausdouz	-|----|---|
lemoi sir ece	-|--|---⌫|-|
sag esiene le	---⌫-|-|-|-|
passeu o us nerespitiez	--|-|-⌫-⌫-|-|--------|
uost refilzde mort	----⌫-|---|-|---|
demainprim esanzplus	-----|----⌫|---|---|
pa r di eu	--⌫|--⌫-|
emperieres	---------|
iene sai qu edire	-|-|--|--⌫|---|
carma fameueul tm on	--|-|---|----⌫|-⌫-|
fair eda mp ner e tuous	----⌫|--⌫--⌫--|-⌫|---|
uolezsauuerornesai	----|-----|-|-|--|
iequia dr oit	-|--||--⌫--|
quitor touuousouli	--|---⌫|-|---|-|-|
fet pourbien ou	--|---|---|-|
lefetpourmalsire	-|--|---|--|---|
lisages uostre famea	-|----|-----|---||
to rt q uiuos trefilz	--⌫-|-⌫-|---⌫--|---|
ente l emanieredestruire	-|--⌫-⌫|------|--------|
mes uo u seno rroizpar	--|--⌫-⌫|-|-⌫----|--|
lachoisonetsaur oiz	|-------|-|----⌫--|
toutelaueritedex	----|-|-----|--|
di stli emperi eresse ie	--⌫-|-|------⌫---|-|-|
pooie sauoirqui	----|-----|--|
loialiugemen tderome	----|-------⌫|-|---|
le lesseroie pourtoute	-|--------|---|----|
franc esiredi t li	-----⌫|---|--⌫|-|
uous l orr oizprochain ement	---||---⌫--|--------⌫----|
et nen doutez mie	-||-|-----|--|
caril nepu etplus	--|-|-|--⌫-|---|
dem orermes	---⌫---|--|
respitiezl	--------||
enfantorlesouferro ns	-----|-|-|--------⌫-|
distlie mp erieresporl	---|-|-⌫--⌫------|--||
de u ousmes i euu eil	-|-⌫--|--|-⌫|--⌫--|
u ost reessampleoir sire	-⌫---⌫-|-------|--|---|
u olentiers	-⌫--------|
e lreaum e de	-⌫|-----⌫|-|
monbergier	---------|
fuiadisz z cheualier	-|----|-⌫|--------|
proi siédar meset	----⌫---||--⌫--|-|
erranz et moult es toit	-----|-|----|--⌫---|
richeshons	-----|---|
etpoissanz	-|-------|
cil c heualie rs	--|-⌫-------⌫-|
nuiten son litil	---|-|--|--|-|
so ngaquil amoi t	--⌫--|-|-|----⌫|
unebeledame mesne	--|---|---|--|-|
sotpasdont e le	--|--|---|-⌫-|
estoitne dequel	-----|-|-|---|
t e r reforsquetant que	-⌫-⌫-⌫-|------|----⌫--|
am ou rledestraignoitil	--⌫--⌫|-|-----------|-|
bienques eilueoit	---|--|-⌫|-|----|
connestroit mei nte nan t	----------|---⌫---⌫---⌫|
dameso nia	---|--⌫--|
amoitlecheualier e nsement	----|-|--------|-⌫------|
sotdequel t erre	--|-|---|-⌫---|
estoit neznede quel	-----|--|-|-|---|
mesquesamourla	-----||----|-|
destraignoitl icheualiers	-----------|-⌫|---------|
sapareilla	|--------|
etcharcha deussonmiers	-|------|---|-------|
etda rgentet	-||-⌫----|-|
mistal auoiepour	---||-⌫|---|---|
q uerreceledamequeil	-⌫----|---|---|--|-|
auoi t s ongiee	----⌫|-⌫-----|
n ei lne so t	-⌫|-⌫|-|--⌫|
pa rtaler ne o u	--⌫-|---|-|-⌫|
porroitoi rnouelles	------|--⌫|-------|
einsint errabien trois	------|---|---|----|
semainesquenule	-------|--|---|
quer a nt e tt outiourz	----⌫-⌫-|-⌫|-⌫-------|
esperoitqu il	-------|-|-|
trouue roit	------⌫---|
cele dame tant erra	---|---|---|---|
ilui ntenhongri eune	-|--⌫-|-|------⌫|--|
terremoult	----|----|
ri cheiouste lamer	--⌫--|-----|-|--|
trou azzchastel qui f u	----⌫|-|------|--|-⌫|
murdontlatour	--|---|-|---|
haute etfo rt	----|-|--⌫-|
quicilchas ti ausestoi t	--|--|----⌫--⌫--|-----⌫|
fu ha izdeceulsdu	-|--⌫-|-|----|-|
unefamea uoit mo ult	--|---|-⌫---|--⌫--|
paisnau o it	---||--⌫-⌫-|
sa pareil le	-|------⌫-|
debiautelisiresl	-|-----|-|----||
amo ittantqu	---⌫-|-----|
es t oitialous	--⌫-⌫--|-----|
etlauoitenfermee en	-||----|-------|-|
latourqui es toitsi	-|---|--|--⌫---|-|
etsifortco nmelen	-|-|---|--⌫--|--|
pooitdeuiserla	----|------|-|
ifu enclose nenen	|-|------|-||-|
issoitneiour n enui t	-----|-|---|-⌫|---⌫|
auoithuisdefe r bien	----|---|-|--⌫|---|
barrez lisires empo r toi t	-----|-|----|----⌫-⌫---⌫|
lescle stotiourz a uec	--|---⌫|-------|-⌫--|
fiast en nu lui	----|-|--⌫--|
cilchastelainsauoitg ran t	--|----------|----|-⌫---⌫|
guerreque unsautres	-----|--|--|-----|
lifes oitquili	-|---⌫--|--|-|
de st ruit et	--⌫--⌫---|-|
gastoit sa	------|-|
terreesu ous	----|-|-⌫--|
lecheualieruenudedenz	-|--------|---|-----|
lauilesiconme ili	-|---|-|----|-||
siregardase ur destre	-|------|--⌫-|-----|
deuerslatour	-----|-|---|
ala fenestresi	|-|-------|-|
sotbienque	--|---|--|
c ees toitl adameq u	-⌫|--⌫---|-⌫|---|-⌫|
ilauoitsongieelors	-|----|------|---|
conmen caa	------⌫-||
chan t er zz sond amours	----⌫-⌫-|-|--||-----|
et abienpetit	-||---|----|
lapela mesn	|----|--||
poursonseign eur	---|--|-----⌫--|
cheualiers	---------|
e nt raelc hastelet	-⌫--⌫-|-|-⌫-----|-|
trouual eseigneurqui	-----|-⌫|-------|--|
seseoitsus	-|----|--|
zzperron cildescendi	-|-----|--|-------|
puis le saluamoult	---|-|----|----|
court oisement	-----⌫-------|
etli distsireie	-|-|---|---|-|
cheua l ier qui	-----⌫-⌫--|--|
auroie mest ier	-----|----⌫--|
degaai ngn iersi ai	-|----⌫---⌫--|-|-|
moultde uous	----|-|---|
oi p arler	-|-⌫----|
moise i luousple st	--|-|-⌫|---|---⌫-|
et ie uousseruire moult	-|-|---|------|----|
uolentiers	---------|
carie nose	--|-||--|
paisdemore r pour	---|------⌫|---|
aizz cheualier ocis	-|-|--------|---|
biensoiezuousuenuz	---|----|---|----|
lisirescar ieuous	-|----|--|-|---|
receur aimoul t	------⌫-|----⌫|
uol enti ers	---⌫----⌫--|
grantioiecarieai	----|---|--|-|-|
grant mestier desoud oiers	----|------|-|----⌫----|
cipr es sontmianemi	-|--⌫-|---|-|----|
quimegastent	--|-|------|
lisires lefist	-|----|-|---|
hebergie renla uile	--------⌫|-|-|---|
chiezzzbouriois	----|-|-------|
riche homelicheua liers	----|---|-|-----⌫----|
fucortoisetlargesque	-|------|-|-----|--|
iroieiecontan t	----|-|------⌫|
f istlicheu a liers pa r	-⌫--|-|----⌫-⌫----|--⌫|
etparsaproesceq u e	-|--|-|------|-⌫-⌫|
il prist lesanemis	-|----|--|-----|
homeetafina l a guerre	---|-|----|-⌫|-----|
du toutasauole n te	-|---||-|----⌫-⌫-|
l amalisireset	|--|-|----|-|
hon oraetliabandon a	---⌫--|-|-|-------⌫|
son tr esoret	--|--⌫---|-|
lefist seneschalde	-|---|--------|-|
toutesa t erre	----|-|-⌫---|
qua nt il leu r	---⌫-|-|---⌫|
otleurguerreaqui tee	-|---|-----|----⌫--|
aloit licheualiers	----|-|---------|
deduisan tparmilauile	--------⌫|----|-|---|
uintdeu antl e c has tel	---|---⌫--|-⌫|-⌫---⌫--|
la o u lad a meestoit	-|-⌫|-|-⌫-⌫-|-----|
sitost conmelada me	-|---|----|-|--⌫-|
leuitsile c onnu t	-|--|-|-|-⌫----⌫|
tantostprist	------|----|
zzgrosion cruesdedan z	-|---|--|----|-----⌫|
sile lancasique le	-|-|----|-|--|-|
e ncoulaiusetle	-⌫|----|--|-|-|
gresledesuslicheu aliers	-----|----|-|----⌫-----|
le prist etle tro uua	-|----|-|-|---⌫--|
crueslo rs se pourpens a	----|--⌫-|-|--------⌫|
ce estoit se nefiancequ e	-|-----|--⌫-------|--⌫|
ilpourcha ca st	-|-------⌫--⌫-|
ilentrastenlatour	-|------|-|-|---|
etparl asta la dame	-|----⌫--||-|---|
lessa bi en	----|--⌫-|
yy io rzl i	-|--⌫-|-⌫|
che ua lier s qu ede	---⌫--⌫----⌫|--⌫|-|
parlétantqueuintzz	-----|------|---|-|
iour quilap e la son	---|-|-|--⌫-⌫-|--|
si lidistsir epar	-|-|---|---⌫|--|
amours donnez mo i	-----|-----|--⌫|
io ustec elet ourou	--⌫---|-⌫--|-⌫--|-|
comenc asse unemeson la	------⌫---|--|----|-|
meded uiro ieplus	-|---⌫----⌫-|---|
priueement e t mo nharnois	---------|-⌫|--⌫|------|
y met roie	|---⌫---|
lisiresbien	-|----|---|
leuousotroi	-|---|----|
fetes par tout uost r e	----|--|---|----⌫-⌫|
uostr euolente	-----⌫|------|
quantcil oicesi	----|--|-|-|-|
fum ou ltliez tantost	-|-⌫--⌫-|---|------|
f istm a nderc harpentiers	-⌫--|-⌫-⌫---|-⌫----------|
maconsetfist fere cele	-----|-|---|---|---|
qu im oultfubele	--⌫|-⌫---|-|---|
fuio ignant a	-|--⌫-----||
tourou cele dame estoit	---|-|---|---|-----|
chambre setsolier s y	-------⌫|-|------⌫||
assez cilc heualiers se	----|--|-⌫--------|-|
porpen sac omentne	------⌫-|-⌫----|-|
quelma niereilpoist	---|--⌫----|-|----|
p ar lera la dame qui	-⌫--⌫--||-|---|--|
en latourestoit	-|-|---|-----|
eins intauint queenla	----⌫--|----|--|-|-|
uileau oitzzmaconqui	---|--⌫--|-|----|--|
pasdupaisli	--|-|---|-|
cheua lierssacointade	-----⌫----||------|-|
luietl idist	--|-|-⌫|---|
amisme po rroieiefier	---|-|--⌫----|-|---|
entoidunechosequ e	-|--||--|----|--⌫|
iete dirai	-|-|----|
quetunemencusa sse s	--|-|-||------⌫---⌫|
certessire distli	-----|---|---|-|
macons oil	-----|--|
bienuousm epoezd ire	---|---|-⌫|---|-⌫--|
seurementuostre uole nte	--------|-----|----⌫--|
car ia pa rmoi	--|-|--⌫|--|
sero iz encu sezne	----⌫-|----⌫--|-|
d escouuerzamis	-⌫--------|---|
c heual iers tuas	-⌫-----⌫---|-|-|
moult b ien dit et i e	----|-⌫--|--|-|-⌫|
tefere r ich ehome sez	-|---|-⌫---⌫|---|--|
tu queieteuueil	-|--|-|-|----|
direi e aime	---|-⌫|---|
cele damequiesten	---|---|--|--|-|
celetour si	---|---|-|
m e perc asses	-⌫|----⌫----|
sisout ilmen t que	-|----⌫-----⌫|--|
aperceuoiretfai	---------|-|--|
iepuisseala	-|-----||-|
parlersiredistli	-----|---|---|-|
maconsce uousfera i	-----|-|---|----⌫|
lorsapareillesonafere	---|--------|--|----|
etperca celetou rsi	-|----|---|---⌫|-|
sis outi lme ntque il	-|-⌫----⌫---⌫-|--|-|
ui ntto utasondroit	--⌫-|--⌫-||--|----|
dame esto it quantilo t	---|----⌫-|----|-|-⌫|
cefet si s	-|--|-||
cheual ieretlidist	------⌫--|-|-|---|
sireo rp oez ale ra	---|-⌫|-⌫--|---⌫||
uos treamie	---⌫--|---|
quan tuou s	----⌫|---⌫|
plerac ar ie	----|-⌫-|-|
ai lauo iebastie et	-|-|--⌫-|-----|-|
quantl icheuali ers oi	----|-⌫|-------⌫--|-|
moultlie z	----|---⌫|
fist il tro pgra nt	---|-|---⌫|---⌫-|
cruau tequilo c istle	-----⌫-|-|-|-⌫-⌫--|-|
maconcaril	----|--|-|
dou toit quepar	---⌫---|--|--|
ne ledescouuristet	-|-|----------|-|
carbienuol oitceler	--|---|---⌫--|----|
sonafere etcou uriril	--|----|-|---⌫---|-|
amonttoutelaruelle	----|----|-|-----|
ainsint comele	------|---|-|
fe teetqu ant ilfu	--⌫-|-|--⌫--|-|-|
ent ab leure	---⌫--⌫----|
quifufaite	--|-|----|
soutilleteet	---------|-|
la damequi	-|---|--|
estoitsibeleetsi	-----|-|---|-|-|
merueilles	---------|
aregarderq uantladame	|-------|-⌫---|-|---|
u itlec heualiersien	-⌫-|-|-⌫-------|-|-|
ioiecarbiensot q ue	---|--|---|--|-⌫-|
ceestoitses amis	-|-----|--|---|
celu iq ueelea uoit	----⌫|-⌫-|--|-⌫---|
songiésilidistsire	------|-|-|---|---|
uous uenuz li cheualiers	---|----|-|---------|
lirespondidame uous	-|-------|---|---|
a ue nture conme madam e et	-⌫--⌫----|----|-|---⌫|-|
la rie ns el	-|---⌫-|-|
plus aing s ire sifaz	---|---|-⌫--|-|--|
ie uouscedit	-|---|-|--|
lad amep lusqu enul	-|-⌫--|-⌫--|--⌫|--|
autre le ch eualier l	----|-|--⌫------||
b ese si c onme	-⌫--|-|-⌫---|
cheuali ers	-------⌫--|
d o i t fer e samie	-⌫-⌫-⌫|---⌫||---|
leurple siretleur	---|---⌫--|-|---|
uo lentefirent conmegent	--⌫----|-----|----|---|
sentreamoientli	|-----------|-|
c heualiersnosa plus	-⌫--------||--|---|
ilecdemorer c a r il	---|------|-⌫-⌫|-|
cremoit q ue lis i r esne	------|-⌫-|-|-⌫-⌫-⌫-|-|
uenist si prist	-----|-|----|
dameetli dist	---|-|-|---|
ne uous plait ilme n	-|---|----|-||-⌫|
alerc a ri eai do ute	---|-⌫-⌫|-⌫|-|--⌫--|
deuostre seigne urmes	-|-----|------⌫-|--|
reuenrai s itostcon m e	-------|-⌫|---|---⌫-⌫|
ieaurai lesirsi re	-|----|----|--⌫-|
ladame auostreuolente	-|---||-----|------|
la damelidonna	-|---|-|----|
paramorszzaneld	--|----|-|---||
o rdont la	-⌫|---|-|
estoit moult r iche	-----|----|-⌫---|
entor nal i	-|---⌫-|-⌫|
cheualiersp armi l aruelle	---------|-⌫---|-⌫|-----|
ilestoit uen uzet	-|-----|---⌫-|-|
referm abienlentableure	------⌫|---||---------|
esbanoi e relborcet	-------⌫-⌫|-|---|-|
trouu ale seigneura	-----⌫|-|-------||
damesiuint	---|-|---|
etlisi res	-|-|--⌫--|
que bien fustilu enuz	--|---|---|-|-⌫---|
p uisl e f i stdele z l ui	-⌫--|-⌫|-⌫-⌫-|----⌫|-⌫-|
et parlerentdem aintes	-|--------|-|-⌫-----|
chose slisires	-----⌫|-|----|
el d oi aucheualier	-|-⌫-|-|--------|
siconnutsonanelqu	-|-----|--|---|-|
famequant ill	---|----|-||
ota perceu	-|-⌫-----|
merueilla moultetpensa	--------|----|-|----|
que c eestoit	--|-⌫|-----|
sesaneauset moultfu	--|-----|-|----|-|
esbahi zme s n eleu ost	------⌫|--⌫|-⌫|-|-⌫--|
mie ent ercier	--|---⌫-----|
caril neuoloit pas	--|-|-|-----|--|
ferehonteaucheualier	---|----|-|--------|
m eintenants en estd	-⌫--------||-|--||
i lectornez qu antle	-⌫--|-----|--⌫--|-|
uitcesi s e n	--|-|-||-⌫|
r etorna d autr e partet	-⌫-----||----⌫|---|-|
montap armil	----|-⌫---||
entabl eure enla	------⌫---|-|-|
la dameestoit etli	-|---|-----|-|-|
ietal a nel	---||-⌫--|
lad am eleprist	-|-⌫--⌫|-|----|
lemistensa bourse	-|---|-|-|-----|
e t cils en	-⌫|--||-|
tornali sires montaen	----|-|----|----|-|
q uimoultestoit	-⌫-|----|-----|
ethaute si	-|----|-|
dishuis de f er	--|---|-|-⌫-|
d esfermapuisprist les	-⌫------|---|----|--|
cles c ari lne se n	---|-⌫-|-⌫|-||-⌫|
fi asten nelui	--⌫--|-|----|
etsen ui nta	-||-|--⌫-||
dameli l asalue et s	---|-|-⌫|----|-||
asis tiousteli	----⌫|-----|-|
e t lideman deconmentil	-⌫|-|-----⌫-|------|-|
lie s ts ire	-|-⌫-⌫|-⌫--|
ilmestassez	-||--|----|
ma uues ement c ariesui	--⌫----⌫----|-⌫-|-|--|
seulee tm au ezen ferm ee	----|-⌫||--⌫-|--⌫----⌫-|
en cestetour	-|----|---|
meussiez embl ee	|------|----⌫-|
suimo ultdo l e nte et	--|--⌫--|--⌫-⌫-⌫--|-|
ha dameneuous	-|---|-|---|
courro ci eznenen	------⌫--⌫-|-||-|
soiezdolente	----|------|
car ceai iefetpour	--|-|-|-|--|---|
lagrant amor que ie	-|----|---|--|-|
en uo us sirefetla	-|--⌫-|---|--|-|
d amea soufri r leme	-⌫--||------⌫|-|-|
messachiez	--|------|
lis ir esdista	-|-⌫--⌫-|---||
e st li aniaus	-⌫-|-|-----|
pierrequeieuousdonai	-----|--|-|---|----|
s iredistl a dam eq ue	-⌫--|---|-⌫|---⌫|-⌫-|
uousafereiele	---||---|-|-|
