formCico umence	---|-|--⌫-----|
qie n sembleo l uies toi ent sauu e slesuies	-|-⌫-⌫-----||-⌫-|--⌫---⌫--|----⌫-⌫|--|---|
Aprésce auint	-----|-|----|
enfesYlaratesa uoitnon et	----|-------|-⌫---|--|-|
co nue rsenl abei ̈e	--⌫---⌫-|-||----⌫-|
fue n uoieza seintBene oitpar	-|-⌫-⌫----||----|----⌫--|--|
unsu en signor ensamble	-|--⌫-|-----|-------|
o cui ilestoitatoutdeus u esse aus	|--|-|-----|----|---|-⌫----⌫--|
pleinsdeuin.	-----|-|--||
Li uess elesto ientdefustet	-|----⌫-|----⌫---|-|---|-|
deflasc onapel é en cellanguage.	-|-----⌫-|----⌫-|-|--|-------||
L i enfe s q i le uinp ortoittote lauoie	-⌫|----⌫|-⌫|-|--|-⌫-----|---|-|---|
sepensaqilnendonroitqel	-|----||-||-|------|-||
una seintBeneoitet	-||----|------|-|
l autrer epondro iten	|----|-⌫-------⌫-|-|
lauoie sienbeueroitqant il	-|---|-|-|-------|---|-|
repa ir ero it .	----⌫--⌫---⌫-||
Einsintcom	------|--|
il l epensa	-|-⌫|----|
ein sintlefi stetala tantqilpre senta a	---⌫---|-|--⌫-|-|--|---||-|---⌫----||
seintBene oitlundesflasconscees t l un	----|----⌫--||-|--|-------|-|--⌫||-|
des bari lliaus et	--|----⌫-----|-|
hom ler eçut	--|-|-⌫----|
a grant gr ace.	|----|--⌫--||
Qa ntcilotpriscongié	--⌫-|--|-|---|------|
del reperierarriere	--|-------|------|
seinz Beneoizparl aa lui mou t bel em e ntet	----|------|----⌫||--|---⌫|---⌫--⌫-⌫-|-|
sili d i s t Beausfiuzgardeqe	-|-|-⌫-⌫-⌫|----|---|----|-|
tuace b ari lqetuas	-||-|-⌫---⌫|-|-|-|
repostiamés	-----|-----|
neboiu esmes qant tuiuendrasettu	-|----⌫-|--|---|-||------|-|-|
letrouera ssi	-|-------⌫|-|
u erse forset respant ce q ui l ad edenz	-⌫---|---|-|------|-|-⌫|-⌫||-⌫----|
Qa ntcil o ï einsin tparler	--⌫-|--|-⌫-|------⌫|-----|
leseinthomesi	-|----|---|-|
o t gr anth ontemesneqedentse de part iildeseint	-⌫|--⌫--|-⌫---|--|-------|-|--⌫----⌫|-|-|----|
Bene oit eta la ta ntqiluintasonbari l	----⌫--|-|-⌫-|--⌫-||-|---||--|----⌫|
sisep ensa qile sp ro ueroitse la chose	-|-|-⌫---||-|-⌫--⌫--⌫-----|-|-|----|
est oituoi requ il auoitoïe.	---⌫--|---⌫-|-|-|----|---||
Lorsaclina le bar i let tantost	---|-----|-|---⌫-⌫|-|------|
enissiunsserpen z dontcilqantille u it	-|---|--|------⌫|---|--|---|-|-|-⌫-|
merueilleet grant poorcarparc estechosesauo it	--------|-|----|---|--|--|-⌫---|----|----⌫-|
ilauoitmauues eoe ure	-|----|------⌫|--⌫--|
Nonmie granmentensus	--|--|-------|----|
de l abeïe se intBeneoitauoit	-||-----|--⌫--|------|----|
uneuileouil man oitgenzassezqipar	--|---|-|-|---⌫--|---|----|-|--|
lapa roleet parlenortementseintBeneoi t et	-|--⌫---|-|--||---------|----|------⌫|-|
parsapredicatione s to ient torneza lafoi	--|-|----------|-⌫-⌫--⌫---|-----||-|--|
nostreSignor et	-----|-----|-|
a uoient deguerpi	-⌫-----|-------|
lafau secreancede s ydr es.	-|---⌫-|------|--⌫|---⌫-||
En celeuileauoit nonains qui nostreS ignor	-|---|---|----|------|--|-----|-⌫----|
seruoient et	--------|-|
seinzBene oizi enuoioit	----|----⌫--||-------|
moutso uen t de ses freresporelesdoctriner etamonester	---|--⌫---⌫|-|--|-----|--|---|--------|-|--------|
qelesnostreSignor se ruissenten tentiuement	|---|-----|-----|--⌫-------|--⌫----------|
et lordret enissent porauo ir	-||----|-⌫-------|--|---⌫-|
uie parmenab le.	--|--------⌫-||
Adoncauintun	----|----|-|
iorq eli seinzh o menienuoiaun	--|-⌫|-|----|-⌫-⌫|-||-----|-|
auoit ac ost ume.	----||-⌫---⌫--||
Qantlimoines qilafuenuoiezotl esdamoi seles	---|-|-----|-|-|-|------|-|-⌫-|-----⌫----|
amonesteesdebien	---------|-|---|
predicationdef ine e ele s liproierent t antq	----------|---⌫---⌫|---⌫|-|--------|-⌫--||
il pr ist.	-|--⌫--||
p et itestoaillesqueleslidonerent	-⌫--⌫---|-------|-|---|-|-------|
si lesmist enson sein.	-|--|---|-|--|---||
Me i ntenantq ilf ureperieze tse inzB eneoiz	--⌫-⌫------||-|-⌫|-------|-⌫|--⌫--|-⌫-----|
le u itil le comenc ̧aa	-|-⌫-|-|-|------⌫-||
blasmermoutleidementet s ilidist C oment potentrer	------|---|--------|-|-⌫|-|---|-⌫----|--|-----|
la felonieen tonsein	-|------|-|--|---|
qetu iasr epo st e Limoinessesbahicar	-|-||-|-⌫---⌫--⌫|-|-----||-----|--|
sauoitdeqoi liseinz	-----|-|--|-|----|
homlere prenoit	--|-|--⌫------|
il auo iten	-|---⌫-|-|
sonseinoubliéce qu eles	--|---|------|-|--⌫|--|
noneinsdo néliauoie nt.	------|--⌫--|-|-----⌫-||
Seinz Beneoiz lidist Cuidestu	----|------|-|---|-----|-|
qeie ne fuss eenp resenceqant	-|-|-|----⌫|-|-⌫------|---|
les cho s es	--|---⌫-⌫-|
qe les ancelesDeute donerent et	-|--|------|--|-|-------|-|
tules m eïs e nt onse inQ antli	-|--|-⌫---|-⌫|-⌫-|--⌫-|-⌫--|-|
moines oï	-----|--|
lessa cheoir	----|-----|
as piezs e intBeneoita te rresi	-|---|-⌫-⌫--|------||--⌫--|-|
serepe ntidelafolie	-|----⌫--|-|-|----|
qi lauoitfete etsigetalestoaill es fors	|-⌫|----|---|-|-|---|--|------⌫-|---|
des on s einc	-|-⌫-|-⌫--||
auoit don e essi fu	----|---⌫-⌫-|-|-|
a s sous delseint	-⌫-⌫---|--|----|
Aprésc eauint	-----|-⌫|----|
qel iseinz	-|-⌫|----|
hom mengoit parun euespr eeetun sm oin esqiestoit	--|------|--|--⌫|-----⌫-|-|--⌫|-⌫---⌫-|-|-----|
fiusdun haut hometen oitdeuant lui	---||-|---|---|---⌫--|-----|--|
lachan del e	-|----⌫---⌫|
s icomençam outorguelleuseme nt apensereta	-⌫|-------|-⌫--|-------------⌫-||-----|-||
dire ensoncorageet ensapensee	---|-|--|-----|-|-|-|-----|
Qui estcistde uantqui ie sui tozdr oiz a	--|--|---|--⌫---|--|-|--|--|--⌫--||
sonmengier et	--|------|-|
cuiie serfde tenirsa	--|-|---|-|----|-|
lumie reetqisuiieq i seruirle	-----⌫-|-|-|--|-|-⌫|-----|-|
telg uiseSi co m li io uenesmoines	--|-⌫---|-|--⌫|-|--⌫----|-----|
pensoiticese inzBe neoizse	------|--|--⌫--|--⌫----|-|
torna uersl ui sile c o menc ̧a	----|---|-⌫-|-|-|-⌫-⌫----⌫-|
moutab la smer et silidi st	---||-⌫--⌫---|-|-|-|--⌫-|
Fr ereseigne ton cuer Qe estce	--⌫--|-----|--|---|-|--|-|
qetupens es Seignest oncuersife rasqesages	-|-|----⌫-|------|-⌫-|---|-|--⌫--|-|----|
Dontapelase s autres	---|----|--⌫|-----|
moinessi lorcomandaqeila	-----|-|--|------|-|-||
celuiostassent	----|--------|
lel umiere forsde	-|-⌫-----|---|-|
lemoineconmanda qil arriere	-|----|-------||-|------|
setre sistdeson s eruiceet	-|---⌫---|-|--|-⌫-----|-|
qu ilf ustcoizsis ereposas t	-|-|-⌫--|---|-|-⌫|-------⌫|
L ifrere demand erent a celuiq ilauoitpen sé	-⌫|----|------⌫----||----||-|----|---⌫--|
et illorrecon ta tou tenordrelegrant	-|-|--|-----⌫-|---⌫|-|----|-|----|
o rgue il qilauoit	-⌫----⌫-||-|----|
pens e ́et lafelon ie etla	----⌫-⌫|-|-|-----⌫-|-|-|
parole qil d isoittoutcoiem en t	-----||-|-⌫----|---|-----⌫--⌫|
ensa pensee en c ontreleseint home.	-|-|-----|--⌫-⌫----|-|----|---||
Dont sorent	---|-----|
lif rere certeinement qe	-|-⌫---|-----------|-|
nulec h ose nepooit estre asei ntBeneoit	---|-⌫-⌫--|-|----|----||---⌫-|------|
celeene re postecar ilsauoitet conni ssoitl es	----|-|--⌫----|--|-|-----|-|-----⌫----|-⌫-|
pense e set les coragesdeshomes.	-----⌫-⌫|-|--|------|--|----||
Uneaut refo izauintqeunegrant famineuinte n	--|---⌫-|--⌫-|----|-|--|----|-----|---|-⌫|
ce le region si qe totes	--⌫-|-----|-|-|----|
les genzde	--|---|-|
la contree e nest oie nt	-|------|-⌫|---⌫---⌫-|
destreinz.	--------||
Adont f ailliliblezenlab eïe	----|-⌫----|-|---|-||--⌫---|
se intBeneoit.	--⌫--|------||
Lor peinsestoits ifai ll iz	--|----|-----|-⌫|---⌫--⌫-|
q ilneni auoitqe.	|-||-||----|-||
tants eulementde re m anant.	---|-⌫-------|-|--⌫-⌫----||
Lifrereenestoient tuitesma iés nene	-|----|-|-------|---|----⌫---|-|-|
sau oientqe fe re .	---⌫----|-|--⌫-||
Qantsei nzBeneoizlesui tporces techosesi dolenz	---|---⌫-|------|--|--⌫|--|---⌫-|----|-|-----|
lordistPorq o ie ste su oz	--|---|--|-⌫-⌫|-⌫---⌫|-⌫-|
sitristes en uosc oragesp orce s t ebesoi gneSoffrezhui	-|------|-|--|-⌫-----|-⌫-|--⌫-⌫-⌫|-----⌫--|------|--|
tantseulem ent et demein auroizuosa grantp lenté	---|------⌫--|-|-----|-----|--||----|-⌫-----|
ce qemesti ers uoss era	-|-|-----⌫--|--|-⌫--|
Einsintpassa	------|----|
cis iorzet lanuiz.	--|---|-|-|---||
Etlende me in alamatineetrouerentildeu antlor	-|-----⌫--⌫-||-|------|--------|-|---⌫--|--|
m uisdeferinemoltbe leme n t a tornee	-⌫--|-|-----|---|--⌫----⌫-⌫|-⌫-----|
mise nene sorent onq esli fr ere	---|-|-|-----|---⌫-|-|--⌫--|
d onteleestoit uenueneparquel manierenostreSire s	-⌫--|--|-----|----|-|--|---|------|-----|----⌫|
doneeet enuoie	----|-|-----|
Li frere rendirent gracesano streSig noret parce	-|----|--------|-----||--⌫---|---⌫--|-|--|-|
apristrentil	---------|-|
etsor entbienc on	-|---⌫--|---||-|
nedeu oit mie d outerne des pererquiames tier	-|---⌫--|--|-⌫----|-|---⌫----|--||---⌫---|
etbesoigne	-|-------|
Unautrete ns apr ésce	-|----|--⌫-|---⌫--|-|
auintqeunshauz	----|-|--|---|
homqiennos tre	--|-|-|---⌫--|
Signorauoit safiancemis eui nta	-----|----|-|-----|---⌫|--⌫-||
seintBeneoitet si	----|------|-|-|
lipro iaq uilenson	-|---⌫-|-⌫|-|-|--|
chaste lqiestoi tpr esdeTeracenense enuoias tdeses	------⌫|-|-----⌫|--⌫-|-|----------|-------⌫|-|--|
freresporestabli retpor fe reune	-----|--|-------⌫|-|--|--⌫-|--|
SeinzB eneoizliotroi a.	----|-⌫-----|-|-----⌫||
Lo rseslutde ses freresqui	--⌫-|----|-|--|-----|--|
i roi entetsi l or distetde uisali queusser o it	-⌫---⌫--|-|-|-⌫-|---|-|--⌫---|-|----|---⌫-⌫-|
lorperesesperitueu sc eest abbesetli	--|----|----------⌫|-⌫|--|----|-|-|
queusseroit lorpr euoz	----|-----|--|--⌫---|
porg a rderl or aferes	--|-⌫-⌫---|-⌫-|-----|
Qantil oteinsintlachoseordene eet deuisee	---|-|-|------|-|----|------⌫|-|------|
illord i stAlezuos en	-|--|-⌫-⌫-|---|--|-|
et bi ensaciezqace ior	-|--⌫-|-----|||-|--|
ue ndraii e	--⌫----|-⌫|
siuosensegneraienque lleuuos feroizlemostier	-|--|---------|-|---⌫|--|--|-----|-|------|
etler efect oirasfr eresouilmengeront etl	-|-|-⌫-----⌫--|-|--⌫---|-|-|--------|-||
o stelporle s ostes	-⌫---|--|--⌫|----|
reçoiure etle s	--------|-|--⌫|
autresedef icesq u il	-----|----⌫---|-⌫|-|
uoscouendra.	--|-------||
Dontpr istren tli fr ere qi ale r sendeuo ient	---|--⌫------⌫|-|--⌫--|-|---⌫||-|----⌫---|
sabeneïçonsisenpa rtirentetalerent	-|---------|-||-|--⌫------|-|------|
tant quiluindr ent	---|-|-|-----⌫--|
a lerdeuoi ent.	-⌫--|-----⌫--||
Qantilifurentuenu sicome ncier ent a q ue r re	---|-||-----|---|-|----⌫-----⌫--||-⌫--⌫-⌫-|
etaator n erlorchose sp ar grant diligenseet	-||----⌫-⌫-|--|-----⌫|-⌫-|----|--------|-|
il sor entqe	-|---⌫--|-|
besoinzes to it aoezla	------|--⌫--⌫-||--|-|
uenue seint Beneoit	----|----|------|
qi iorleur	-|--|---|
au oi tmis deuenir .	--⌫--⌫|--|-|----||
Qantuintl anuitqelise inz	---|---|-⌫|---|-|-|--⌫--|
hom lor auoit promis	--|--|----|-----|
uendroitalendemein enauision	-------||--------|-|------|
celuiquilauoit fet decel	----|-|-|----|--|-|--|
coue ntabbe ́	----⌫-|----⌫|
preuostaussi ntetsilor	------|-----⌫-|-|-|--|
ensig naetd emo str a	-----⌫-|-|-⌫---⌫---⌫|
chascun leu parlui ouildeu oientfer e e t establir	------|--|--|--|-|-|---⌫----|---⌫|-⌫|-------|
loredef ice s.	--|----⌫---⌫||
Qantl ia bbes etlipreuoz	---|-⌫|-⌫---|-|-|-----|
sefure ntesuell ieze tl e uezliuns	-|----⌫-|------⌫--|-⌫|-⌫-⌫--|-|--|
contaalau trelauision	----|||--⌫--||------|
qi lauoitueü e mespor cenecru rent	|-⌫|----|----⌫|--|--|-|-|---⌫---|
ilmieces t ech oseenco reeinz	-|--|---⌫-⌫|--⌫--|----⌫-|---|
atendoientlauenuesein tBeneoitsicom	---------|-|----|----⌫|------|-|--|
illorauoit	-|--|----|
ditetmoltsesmeruelloie n tpor	--|-|---||------------⌫-⌫|--|
qoiilneuenoit.	--|-|-|-----||
qu il ne u endroit mieilrepai rierent alui toz	-|-|-|-⌫------|--|-|-----⌫------||--|--|
do lenze tsidis trentSeinzperesnosgard ions	--⌫---|-⌫|-|---⌫----|----|----|--|----⌫---|
tau enuesi	-|-⌫---|-|
c omtunos auoies promispor c e qe	-⌫-|-|--|-----|-----|--|-⌫|-|
tun osenseignasces	-|-⌫-|-----------|
etd emostrasses com entetouno us feïssonsnos edef ices mes	-|-⌫----------|---⌫--|-|-|--⌫-|--------|--|----⌫---|--|
tuneuenis mie .	-|-|----|--||
SeinzBene oizlorre spondiBea u sfreres	----|----⌫--|--|--⌫-----|---⌫-⌫|-----|
porqoid itesuostieusparoles	--|--|-⌫---|--|----|------|
iemieauoseins i	-|--||--|----⌫|
comie uospr omis et	--|-|--|--⌫---|-|
frererespondirentQa n t fuc eqe uosi uenist es	----|-----------|--⌫-⌫|-|-⌫|-|--||------⌫-|
I ll ordistDont	-⌫|-⌫-|---|---|
n em apa ru ieauos.	-⌫||---⌫-|-||--||
endormant etdemostrai	-|------|-|--------|
chascun leuetensignaiAlezreto rnezarriere	------|--|-|-------|---|----⌫---|------|
etsife testotes les habitation sdel	-|-|--⌫--|----|--|----------⌫|-||
abeïe sicom ie	-----|-|--|-|
lesuosmostrai paruisionen	--|--|------|--|-----|-|
l ab eïe.	|--⌫---||
Qantlifrere oïrent	---|-|----|------|
ceilletindrent agrantm erueille	-|-|-|-------||----|-⌫-------|
si reperierent arrieresi	-|----------|------|-|
firentloro eureet ordenerent ensicomilauoientpar	-----|--|-⌫---|-|---------|---|--|-|------|--|
aui sionueü .	---⌫---|---||
Detelforceet de	-|--|----|-|-|
teluertuesto it l i	--|----|----⌫-|-⌫|
s einzhomensapensee qapoinesli	-⌫---|--|-|-|-----|||-----|-|
pooitestre	----|----|
nu le chosec el eee tses	--⌫-|----|-⌫--⌫-|-⌫|--|
parolesmee smementauoientsigrantforceqeles	------|---⌫------|------|-|----|----||---|
onquesueinescara de ́ s auenoient	-----|-----|--|-⌫--⌫-⌫|--------|
einsi co m	----|--⌫|
il l esdisoit.	-|-⌫-|-----||
Dontuous p oezo ïre t entendreun	---|---|-⌫--|-⌫--|-⌫|-------|-|
beaumiracle.	---|------||
Pre sdesabeïe h abitoient .	---⌫|-||-----|-⌫--------||
nonai nse nunlorpropreleuquinees	-----⌫-|-⌫|-|--|-----|--|--|---|
e stoientdehaute lignie	-⌫------|-|----|-----|
Un sho m re ligieuslesseruoit	--⌫|--⌫|--⌫------|--|------|
de cedo ntel les auoientmestie r	-|-|--⌫-|--⌫--|------|------⌫|
meselesnepooientt enir lorlangue sen uers luiqe	--|---|-|------|-⌫---|--|------⌫|--⌫---|--|-|
moutsou entn el e l aidengassentde p arolestant qu	---|---⌫--|-⌫|-⌫|-⌫-----------|-|-⌫-----|---|-|
eleslescommouoientmoutsouentengra ntire	---||------------|---|-----|-|---⌫-|--|
Qant lipreu domotmout longuement so ffert	---|-|----⌫--|-|---|---------|--⌫----|
cestanuiet	---|---|-|
ala aseint	--||----|
Bene oitetsi liconta et dist c omec ez	----⌫--|-|-|-|----|-|---|-⌫--|-⌫-|
da mes life soien t	--⌫--|-|--⌫-----⌫|
grantho nte etgrant anuipar parole s.	----|--⌫--|-|----|---|--|------⌫||
Qantlise in zhomoïcedes	---|-|--⌫--⌫|--|--|-|--|
n oneinsillor manda parunsuenfrere qilo r	-⌫-----|-|--|----|--|-|---|----|-|--⌫|
dist Belessuersdest reigniez uoslan gues etamendezcar	---|----|----|----⌫-------|--|---⌫---|-|------|--|
ne lefetes ie	-|-|----|-|
uosescumenierai	--|-----------|
Lesnoneinsnelessie rentmi eporce lor uiez	--|------|-|------⌫---|--⌫|--|-|--|---|
costu mesCar femestencentuolentiersCe	-----⌫--|--|----|------|---------|-|
leu r sam ble mout bons	---⌫|---⌫--|---|---|
mestie rs.	------⌫-||
Pui sqe tencesont en tre pr isses El esnen eren t ia	---⌫|-|-----|--|--⌫---⌫--⌫----|--⌫-||-|----⌫|-|
s o uprisesAinzlimenttantqe mallo r	-⌫-⌫------|---|-----|---|-|--|--⌫|
les fistsilesconsaut	--|---|-|--|------|
Et n os au si ntcar	-|-⌫-|--⌫--⌫-|--|
mout souent	---|-----|
Auons aeles malco uentuoireas plu i seu rs non	----||---|--|--⌫---|----|-|---⌫-⌫---⌫-|--|
mi e ato tes.	--⌫||--⌫--||
Malfontcel es qi sont estou tes Sicomc ez	--|---|---⌫-|-|---|-----⌫--|-|--|-⌫-|
noneinsest oientue r slor	------|---⌫----|--⌫-⌫|--|
conuers qionqes po r	------|-|----|--⌫|
lemandeme ntsaintBeneoit nes	-|-------⌫-|----|------|-||
amenderentmes moutpouaprésceauintsi comnostre	---------|--|---|--|-----|-|----|-|--|-----|
Si re s leuolt	--⌫--⌫|-|---|
qelesm o rurent	|---|-⌫-⌫-----|
s i furent enfoïes en lor eglisse.	-⌫|-----|-------|-|--|------||
en chantoitme sseencele eg li se siestoit	-|-------|--⌫--|-|---|--⌫--⌫-|-|-----|
co stumeq elidyacre sdisoit	--⌫----|-⌫|-|------⌫|-----|
ahau tesu oizqeliescomeniie zississent	|---⌫--|-⌫--|-|-|----------⌫|--------|
s en ala ssent.	|-|---⌫----||
L anorricea ces.	-⌫|------||--||
damoisele squisein zB eneoizau oit escomenieesparsa paroleseule ment	---------⌫|--|----⌫|-⌫-----|--⌫--|----------|--|-|-----|-----⌫---|
seles de lorparoles nes amendoi ent ueoit	|---|-|--|------|-||-------⌫--|----|
q eles delorsepou ture ss	|---|-|--|-----⌫----⌫||
enisso ientetaloientfors de leglissetantostqe	-|----⌫---|-|------|---|-||------|------|-|
lidyacresdis oit qeli	-|------|---⌫--|-|-|
escomeniezsenal a ssent .	---------||-|--⌫-⌫----||
Qant ele otces techoseueüe	---|--|-|---⌫-|----|----|
pluiseurs foiz il li souint de la parol e	--------|---|-|-|-----|-|-|-----⌫|
qesein zBeneoizlormandadementieres q elesesto ient	-|----⌫|------|--|----|----------||---|----⌫---|
qillesesc omenioitseelesn	|-|--|---⌫-------|-|---||
amendoientlo r ui eset lorcos t umesetl orparoles	---------|--⌫|--⌫-|-|--|---⌫-⌫---|-|-⌫-|------|
LorssenalaaseintBene oitt o tplorant	---||-|--||----|----⌫--|-⌫-⌫|------|
n onc ̧aces t echo se.	-⌫---⌫-|---⌫-⌫|---⌫-||
Qan tsei nz	---⌫|---⌫-|
Beneoiz l oïil	------||--|-|
li d on a de sa pr o premeinuneoubliee	-|-⌫--⌫|-|-|--⌫-⌫--|---|--|------|
distAl ezetsi l edi tes a	---|--⌫-|-|-|-⌫|--⌫--||
uostrepres tre qilc hantem e sse	-----|----⌫--||-|-⌫----|-⌫-⌫--|
deces te oubleesi	-|---⌫-|-----|-|
neserontpl us escome niee z .	-|-----|--⌫-|------⌫----⌫||
Lors sen ala	---||-|--|
la norriceet s i	-|------|-|-⌫|
f is teinsi nt com lise inzhom liauoit coma ndé	-⌫--⌫|-----⌫-|--|-|--⌫--|--|-|----|----⌫---|
T antost comela	-⌫-----|---|-|
messefu chant ee porlesescomenieesla o u il estoi ent	----|-|-----⌫-|--|--|----------|-|-⌫|-|-----⌫--|
etceuint al	-|-|---|||
au tref oi zqe	--⌫--|-⌫--⌫|-|
li dya cres distqe	-|---⌫---|---|-|
li escomeniiezalassentfors deleglisseonqespuisles	-|----------|-------|---|-||------|----|---|--|
damoiselesnifure ntue ües .	---------|||----⌫-|--⌫---||
Parcesotlen bien	--|-|--||-|---|
sanz doutance qelesestoient	---|-------||---|-------|
assouse sparl esainthome	-------⌫|--|-⌫|----|---|
Une autrefoiz auint	--|----|---|----|
aprésce qu ensem bleo le s eint home auoit	-----|-|-|-----⌫--||-|-⌫---|---|----|
unenfançonq irenduzestoi tmo inessiamoit	-|--------|-⌫|-----|-----⌫|--⌫---|-|----|
mout son pereetsa mere.	---|--|---|-|-|---||
Ad on caui ntq ec il	--⌫--⌫|---⌫-|-⌫|-⌫-|
enalasanzle co ngiései nt Beneoit e t	-|--|---|-|--⌫----|---⌫-|------|-⌫|
sanzsabeneïç o na la meso ns onperee tsa	---|-|--------⌫-⌫||-|----⌫|-⌫-|---|-⌫|-|
E ncelmeïsmesiorqi liuintauint	-⌫|--|-------|--||-⌫||---|----|
qilmor utet i ss idece steuie.	|-|---⌫-|-|-⌫--⌫|-|--⌫--|--||
Liperes et la mere qi moutl	-|----|-|-|---|-|---||
amoi ent enfurent moutdolent	----⌫--|-|-----|---|-----|
si lenfo ïren t	-||----⌫-----⌫|
L autreior ap rés	|----|--|--⌫---|
auintquiltrouerentlenfantfors	----|-|-|--------||-----|---|
sorentqimisl au oitforsdelasepouture.	-----|-|--||--⌫--|---|-|-|--------||
r epristrentetsile ren foi ̈r entmes au	-⌫---------|-|-|-|---⌫---⌫--⌫--|--|-|
tierçio r letroue r e ntilaussi nt come deuant	-----|--⌫|-|-----⌫-⌫-⌫-|-|-----⌫-|---|-----|
Do nts enalerenta	--⌫-||-|------||
se intBen eo ita s abeïesi liconterentet	--⌫--|---⌫--⌫-|||-----|-|-|--------|-|
distre n tcestechose etsi li	------⌫-⌫|----|----|-|-|-|
proierenttout e mplorantqil	--------|---|-⌫|------||-|
alenfantdeignast	||-----|-------|
rendresa g racesi	-----|-|-⌫---|-|
qu il peüstdemorer en sa	-|-|-----|------|-|-|
sepouture.	--------||
Li seinzhomlordonaase s	-|----|--|--|---||--⌫|
pro presmeinsuneoubleebeneoiteetsacreesi lor	---⌫---|----|--|-----|-------|-|-----|-|--|
distOr enalez etsi	---|-|-|---|-|-|
limetez ce stechosesseu le piz pargrantreu erence	-|----|--⌫--|-----|--|-|--|--|----|---⌫-----|
et p uissi le remet e zensasepouture	-|-⌫--|-|-|-----⌫-⌫|-|-|--------|
L iperesetlamerefire nt	-⌫|----|-|-|---|----⌫-|
einsin tneonqes	------⌫|-|----|
cors ne futrouez	---|-|-|-----|
seur terre .	---|----||
Orpoez oïretentendre	-|---|---|-|-------|
com l iseinzhomestoi tdegrantmeriteenuers	--|-⌫|----|--|-----⌫|-|----|-----|-----|
nostreSign orqeneis la	-----|----⌫-|-|---|-|
terrene uol oit mie det e n irl e c orsde sonmoine	----|-|---⌫--|--|---⌫-⌫-⌫-|-⌫|-⌫--|-|--|----|
qu inauo itmie	--⌫||---⌫-|--|
sa g race .	-|-⌫---||
Aprésceauintq un s moinesestoiten l	-----|-|----||--⌫|-----|-----|-||
abei ̈eqison	----⌫-|-|--|
cue rauoi t sitorné a	---⌫|----⌫|-|-----||
lauanit é decest	-|-----⌫-|-|---|
mondeqi lneuoloit	----||-⌫|-|-----|
en nule mani ereladedenzdemorer	-|---|----⌫--|-|-----|------|
SeinzBeneo izlechastioit mout	----|-----⌫-|-|--------|---|
etam o nestoit	-|--⌫-⌫------|
de bien f ere et	-|---|-⌫--|-|
ded emorer p or	-|-⌫-----|-⌫-|
seruirno stre S ignor	-----|--⌫---|-⌫----|
compai gniedese s freres	------⌫---|-|--⌫|-----|
Cilrespo ndo it ausein thomeqece	--|-----⌫---⌫-|-|----⌫|---|-|-|
ne porroi testren ene porr oit e nnule	-|------⌫|----|-⌫|-|----⌫--|-⌫|---|
manier elordresosfrir ne la uie .	------⌫||----|------|-|-|--||
Une foizauintqese inzBeneoi zen	--|---|----|-|--⌫--|------⌫|-|
fumouten nui ez si	-|---|--⌫---⌫-|-|
ire qilse nalast	--||-||-⌫|----|
ettenist sauoie.	-|-----|-|---||
Limoinessepartidelsei nt	-|-----|-|----|--|---⌫-|
ho me ettanto stco m il fuiss uzde l	--⌫-|-|-----⌫-|--⌫|-|-|---⌫-|-||
a beïeilui te nmisau oieungrant	-⌫----|-|--⌫|-⌫--|-|-⌫--|-|----|
dragonqi uerslu iauo itlageu le baee.	-----|-|---|--⌫|---⌫-|-|---⌫-|---||
Dontcomençalimoinesa	---|-------|-|-----||
crier ahautes uoiztottrambl antAcorez	----||-----|---|--|------⌫--|-----|
Acorezcar cis dragons meueut deuo re r	-----|--|--|------|-|---|----⌫--⌫|
etoci r re D o ntiacor urentli freremes de cel	-|---⌫-⌫-|-⌫-⌫-||----⌫----|-|----|--|-|--|
drago nn e uirentilmie einz trouerentl emoine	-----⌫|-⌫|-----|-|--|---|--------|-⌫|----|
sitra mblantetsiespoorizqe	-|---⌫-----|-|-|-------|-|
po rpouqilneperd oit la uie.	--⌫|--||-|-|----⌫--|-|--||
Dont lepristrent sile reme nerent arr ie re	---|-|--------|-|-|----⌫-----|---⌫--⌫-|
enlabei ̈ea se intBe ne oit	-||----⌫-||--⌫--|--⌫--⌫--|
Lorspromistlimoi nesqeiame ́sn isteroitde	---|------|-|---⌫--|-|----⌫-||-------|-|
sabe i ̈eet	|---⌫-⌫-|-|
il si ne fist	-|-|-|---|
einz remesttozles	---|-----|--|--|
i orzde s a	-⌫--|-|-⌫|
uieenlareli gion .	--|-|-|----⌫---||
Einsi nt auint ilpar	-----⌫-|----|-|--|
le sorissonssein t	--⌫|-------|----⌫|
B eneoi tdecel oribledragonqeli moines	-⌫-----⌫|-|--|-----|-----|-|-|-----|
uoloitensuireq ant	-----|------|-⌫--|
i l nenueoit m ie.	-⌫||-|----|-⌫-||
Cene fet mieatereq	-|-|--|--||---||
unssi ensmoines qiPe leri ns	--|--⌫--|-----|-|--⌫----⌫-|
estoitapelez contoit e tdisoit qeu nsmout	-----|-----|------|-⌫|-----|-|-⌫-|---|
preudomestoit moutentrepris	------|-----|---|--------|
carrend r ene pooitce qil de uoit	--|----⌫-⌫|-|----|-||-|--⌫---|
ad onq es estoi tmoltmeins	--⌫---⌫-|-----⌫|---|----|
de monoie qilnes t	-|-----||-||--⌫|
Lipreudomnesauoitqe	-|------|-|-----|-|
f erecari l nesauoitouprend reces	-⌫--|--|-⌫|-|-----|-|-----⌫-|--|
