me laisié sporl	-|-------⌫|--||
Tousuosferoie	---|--|-----|
finet dede nier s.-Siredis tHercenfroisués	--|-|-|--⌫----⌫-||---|---⌫|----------|---|
no usapareill iésCar	--⌫-|--------⌫---|--|
nou s ferons adèsquanquemest ieruos	---⌫|-----|----|------|----⌫--|--|
[i]ert.Etre s po n t li traitresDechou su i e	------|-|--⌫-⌫--⌫-⌫|-|-------|-|---|-|-⌫|
molt lié s.	---|----⌫-|
Oruo sd ira	-|--⌫|-⌫--|
iedonq uesde me sconsauspremiers.	-|----⌫--|-|--⌫|------|--------|
ma rcheanttousuous apareilliésDecotesbougerencdecapieu s	--⌫------|---|---|-----------|-|----|--------|-|------⌫|
soruoscie ́sS aitAiol[s]	--|--|---⌫-||--|------|
solers grans s oitd e b u ies	-----|----|-⌫--|-⌫|-⌫-⌫--|
cauciésPuis pre ndronsmo ntress o r trestoutlauil	-------|---|---⌫-----|--⌫|-----⌫-⌫|-------|-||-|
Monoretmonargentme s	--|-|-|--|-----|--⌫|
monaésdeniers Ettorserons	------|------|-|--------|
lesmales so rle s plusfo rs	--|----|--⌫|--⌫|---|--⌫-|
som iersE tsiferons Aiol dela	---⌫---|-⌫|-|-----|---|-|-|
cartresachierEtMirabel s afeme al gentcors	-----|------|-|------|-⌫|---|-|---|---|
Si lorferonsiur erla	-|--|-----|---⌫-|-|
for sacelmo ustierQu eianendiront	---⌫||--|--⌫-----|--⌫|-|--|-----|
cose dont soionsen terchié.Pui sen istronsl afors	---|---|-----|--⌫--------|---⌫|-|------|-⌫|---|
F ranc e tient	-⌫----⌫|----|
tan tdelanguage ia	---⌫|-|-------|-|
n erme[s]enterchié S	|------|---------||
ir o nsaPanpelune al fo rt roi	--⌫-⌫-||--------|-|--⌫-|--|
MibrienSil i rendronssa fille	------|-|-⌫|-------|-|----|
al g en tcor safai tié(s). Etcil hei tplus Aiolque	-|-⌫--⌫|---⌫|----⌫-------|-|--|---⌫|---|---|--|
desousielT ropnous donraauoir	--------|-⌫--|---|----|----|
et uilesetplaisié[s]	-|----|-|----------|
uos uolés DieulepererenoierAusi	--|-----|---|-|---|------|---|
com ie fera i	--|-|----⌫|
tou sensui co nsellie ́s Plus uousdonra	---⌫|-|--|--⌫-------⌫-|---|---|----|
liroise tau oir et	-|---|-⌫|--⌫--|-|
deniers Conquesn eneut enFranceLoeysne	------||-----||-|--|-|-----|----|-|
-Siredis tHercenfrois tout	|---|---⌫|----------|---|
son sap arellié Que nou ferons	---⌫|--⌫-------|--|--|-----|
toutch o uqueuostrepl aisir	---|--⌫-⌫|--|-----|--⌫----|
[i]ert.MieusuoiliouDameldéle	------|----|---|--|-------|-|
pere r enoierQuefuisse ch adedensoci set	---|-⌫-----|--|-----|--⌫|-----|---⌫|-|
detren c hiés.	------⌫-⌫-----|
CCLIIOiésdel	----|----|--|
traitorses	------|--|
cors soitconfond usQ uil	---|---|-------⌫-|-⌫|-|
uieutqueto utsihome	----|--|--⌫-|-|---|
soi entarsetpenduE Dieussise ront	---⌫--|--|-|----||----|-|--⌫---|
nenes tordrau nsI lfait sontres orprendret rest o ut	|-|--⌫-----|-⌫-|-⌫|---|--|----⌫-|------|-⌫----⌫-⌫-|
la uilfuAloi demarcheant sesont	-||-|-||--|-|--------|-|---|
t o ut.u. uestuDe	-⌫-⌫-|--|----|-|
cotesbugerenc et de capesdesus	----|-------|-|-|----|----|
Eti ete r entAio l dela	-|-⌫---⌫-⌫--|---⌫|-|-|
cartre u ilfuEt Mira belsa	-----||-|-|-|----⌫--|-|
femequitropi ot i euS i	---|--|---||-|-⌫-|-⌫|
ontmenéen.i.mosti er lasu sSorsains	--|----|-|--|-----⌫-|-|--⌫|--|----|
lorfo n tiurer	--|--⌫-⌫|----|
.u.foiesuplu s Que iane	--|----||---⌫|--|-|-|
diront coss e don tsoi entreconnu	-----|----⌫|---⌫|---⌫--|------|
A iolsaime	-⌫---|---|
ianenserapar iurs. Puis	-||-|---|---⌫----|---|
tors erent les	----⌫----|--|
ma llessorle s destrier[s]gre nus	--⌫---|--|--⌫|----------|---⌫--|
Aiole t Mirab el	---|-⌫|-----⌫-|
sor.i.mulPar	--|--|--|--|
la por te senissentsiabatentl emur	-|---⌫-||-|-----|-|------|-⌫|--|
Makaire st r aitl esp e edelfe urelebran cnuLes	-------⌫|-⌫-⌫--||---⌫-⌫|--|--⌫--|-|----⌫|-|--|
port ierset	----⌫---|-|
lesgardesen	--|-----|-|
ales c iés to lus. Par milost s en	|--|-⌫---|--⌫---|--|-||--||-|
t or ne r ent	-⌫--⌫--⌫-⌫--|
ch a f orsseson tue nuDuscal trés	--⌫|-⌫--|-|---⌫|--⌫-|---|-|----|
L oeys nesontaresteu.	-⌫---|-|---|-------|
O r entendé sdAiol coma le	-⌫|--------⌫||---|--||-|
sensperduQuil ne	---|----|-|-|-|
motd ir e porcoi	--|-⌫--⌫|--|--|
soi e ntconnu	---⌫-⌫-|----|
Etui t trés	-|--⌫|----|
bie n Elie son perele	---⌫|---|--|---|-|
quenuEtLoeysson	----|-|----|--|
oncle meruelless esttenuQu	----|--------||--|---|-|
ilonqu esne	-|----⌫-|-|
dis tc os e do n t	---⌫|-⌫--⌫|--⌫-⌫|
ilfustconneu[s].Et Makair esdes sentqui	-|---|---------|-|------⌫-|---⌫---|--|
sest oit d esc onnu	|---⌫--|-⌫---⌫---|
ba sse mentquant desconnu [s]se fuCil Dieusde	--⌫---⌫---|----|--------⌫--|-|-|--|----|-|
sa i n tegloirequimain t elciella	--⌫-⌫-⌫-|-----|--|----⌫|-|---|-|
sus Sautle r oiLoe ysa	--|---|-|-⌫-|---⌫-||
Nossomes marceantde PineletdeBuEt	--|----|-------|-|----|-|-|-|-|
s omespar laporte	-⌫---|--|-|----|
deLossaneuenu .DonéauonsMakaire .ii.	-|------|----⌫|----|----|------|---|
marsdor[fin]u plu s Porc hou	---||-|----||---⌫|--|-⌫--|
quepa rsa teren ousa	--|--⌫|-|---|-⌫--||
conduislid us .Nous menonst elauoironquessigra nt	------|-|-⌫--⌫|---|-----|-⌫-|----|-----|-|---⌫-|
Ors omes enta tererice	-|-⌫---|-|-|---|---|
ro isparuenu Qua[r]nous liures	--⌫-|------|-----|---|-----|
conduit tan t	------|---⌫|
quesoions i ss u.Etrespondi liroisBiensoiés	--|-----|-⌫--⌫-|-|-------|-|---|---|-----|
u os uenuQue l part uousen	-⌫-|---|---⌫|---|---|-|
a lé smiensenestli t reu[s].	-⌫---⌫|----|-|--|-|-⌫------|
Co nduirele[s ]command eGautier	--⌫-----|----⌫|-------⌫|------|
d eMontaiguLeducBeuonsans	-⌫|-------|-|--|----|---|
b arbeet Io f roile	-⌫---|-|--⌫-⌫--|-|
kenuEtc ill esontmenésbien . iii.liewes	---|-|-⌫-|-⌫-|--|-----|---|-⌫---|-----|
uplus. Q uantilsont f orsd elost	|----|-⌫---|-|---|-⌫--|-⌫||--|
uenu Ad ont	---|--⌫--|
parlaMakairesli	----|-------|-|
t rai trespariur[s]S ignor b oincheua li er	-⌫---⌫---|--------|-⌫----|-⌫--|-----⌫--⌫-|
canousest esue nuPorch o uque uous	||---|---⌫-|--⌫-|--|--⌫-⌫|--|---|
mauésasaueté	|----||------|
co ndui tuous diraidonttelc osedon tbiene recreus	--⌫----⌫|---|----|---|--|-⌫--|---⌫|---|-⌫-|----|
No us som e sdeLosanea sau e té	--⌫-|---⌫-⌫|-|-----||---⌫-⌫--|
issuLeportier et legaite	---|-|------|-|-|----|
trouam echadeiu s	------⌫|--|-|--⌫|
u és leslaucheuauce(nt)ce sboinsmulès	-⌫--|--|-||-----------|--⌫|----|-----|
gre n us Faites armeruos homesles	---⌫-⌫-|-----|----|--|----|--|
granset l es menus	----|-|-⌫-|----|
asailliésLossane	---------|------|
lesroe set lesmurs.Le s portes	--|---⌫|-|--|----|--⌫|-----|
so ntouertesia ni	--⌫-|------|-|||
arafer uNe lseuentdela	--|---⌫|--⌫|-----|-|-|
uilen en e s	---|-⌫|-⌫||
engardenus P r endre	-|----|--|-⌫-⌫----|
p oés lauil e	-⌫---|-|---⌫|
san slanche	---⌫|-----|
etsans escu.	-|---|----|
Ia Damelde [x] degloire uostr eroi[s]nenaiutSil	-|-------⌫--|-|-----|-----⌫|-----|--|---||-|
les Borgengonsset o st nesontpendu .Oie ́s	--|---------|-|-⌫-⌫-|-|---|-----⌫|---⌫-|
del t raito rcom	--|-⌫-----⌫|--|
parestm al otrus	--|--|-⌫--⌫----|
Queiluieutquesi hom esoienttoutconfondu Si	--|-|----|--|-|---⌫|-----|---|-------|-|
iltrestout ca r lo r ior[s] estuenus.CCLIII	-|-------|--⌫|--⌫|-----|--|-----|-----|
Makaireslor	-------|--|
aditgranment de sa con uineMai s la	|--|-------|-|-|---⌫---|---⌫|-|
granttrai sonne lora	----|----⌫--|-|--||
iehimie.Cilret ornent	---|---|--|---⌫-----|
ari ere sont lor uoie	---⌫--||--|--|---|
Al ostensontuenu	||--|-|---|---|
ançoislaubeesc lairie.	------||---|---⌫------|
L a parolle ont	-⌫|------|--|
cont éalroi d e	----⌫-|-|--|-⌫|
SaintDe nise Etqu antFrançois leseure ntli	----|--⌫---|-|--⌫--|--------|-|-----⌫-|-|
os est estormie Enfressic aLo ssanene sas eurent	-|--|-------|-------|||--⌫----|-||--⌫-----|
Apié eta ce ual	|---|-||--⌫--|
entrerentenlau ileEtportentt r ench ant	--------|-|-|-⌫--|-|------|-⌫-⌫----⌫--|
achesetgrans lancesf orbiesLes	----|-|----|-----|-⌫-----|--|
Borg engons quiltreuent	----⌫-----|-|-|------|
detranchentetoch ient Et	----------|-|---⌫---|-|
[sen]u ontq uerreAiol en	-|--|-⌫--|-⌫----|---|-|
cartre perine EtM ira belsafememaisilnestrouent	-----|-----|-|-⌫---⌫--|-|---|---|-|--|------|
Makai re slese nmaine li	-----⌫--⌫|--|-⌫|----|-|
quiuers lit rai tres.Grantdoelen	------|-|-⌫---⌫----|----|---|-|
faitl irois etli ui llarsElieMais	---|-⌫|---|-|-|--⌫----|---|---|
puisti(e)ntilB orgon ge	---|------|-|-⌫-----⌫-|
sa terretoutequit eSi	-|----|----|----⌫|-|
con quesniperdiuallissantune	|--⌫---|||----|---------|--|
aillie.E tuont	------|-⌫|---|
querant Mak aire	------|---⌫---|
elborceten la	-|---|-|-|-|
cautqueill equierentiln el troue rontmie.	---|--|-|-⌫|-------|-|-⌫-|-----⌫---|---|
escape ́sli quiuersli	------⌫-|-|------|-|
traitr esSenamenéAiol et Mirabel	------⌫-||-||----|---|-|------|
samieE laschedist	|---||--|--|---|
neueun enaimie	----|-⌫-|-|--|
-Sire dr ois enp e reresche	|---|--⌫--|---⌫-⌫----|--|
dis tl idusElieMakaire sle m	---⌫|-⌫|--|---|-------⌫|-||
a mortliquiuers	|---|-|------|
litraitres.AhiMirabeldame d e u ostre	-|--------|--|------|---|-⌫|-⌫----|
s igno rieMar	-⌫----⌫--|--|
uousconquistmes fieuspar sacheuale rie	---|-------|--|----|--|-|-------⌫--|
Poiaduré ensambleliuostre comp aignie.Quant lesara	--||----|-------|-|-----|----⌫------|----|-|---|
feme lagentil dam e	---|-|-----|---⌫|
Auis se Ch eseragrantmerue lleselle	----⌫-|--⌫|---|----|-----⌫--||---|
remanten u i e Or	-----|-|-⌫-⌫|-|
diron sde Makairecuili cors Dieum audie	-----⌫|-|------|--|-|---|---|-⌫----|
Anbedeusles enmainecoreçous etplainsd	-------|--|-|----|--------|-|-----||
ireIl son tue nu	--|-|---⌫|--⌫-|
alRonesitroue nt lanauie .	-|---|-|-----⌫-|-|-----⌫|
Makaire sunenefdeson	-------⌫|--|--|-|--|
a uo iresligePuisi ent re li	-⌫--⌫-|-----|---||---⌫-|-|
.iiii. dessip leA iolon tmisdedens et Mirabel	-----|------⌫-|-⌫--|--⌫|--|-----|-|------|
me ismes.Parle Rosnegouernent e tagr an tforce uindrent	--⌫-----|--|-|----|--------|-⌫||--⌫--⌫|----|-------|
Toutco ntre ual se nuontenfressi	---|--⌫----⌫--||-⌫|---|-------|
ca saintGilleDel cors	||----|----|--|---|
saintnontq uefai reil n i	----||--|-⌫-|---⌫-|-|||
tornere ntmie	-------⌫-|--|
tereontlo r	---|--|--⌫|
uoieaqu ellie Gu erp isentlesporsdApes	---|---⌫----|--⌫---⌫----|--|---||---|
tie nentceus deSireNe tout	---⌫---|---|-|---|-|---|
lorherbegageneconteraim ie	--|--------|-|-------|-⌫-|
queieuous contcascuneost e[le]rieDusquesa	--|-|---|---|------|---⌫-------|------||
P anp e lunene cessentn e	-⌫---⌫-⌫---|-|------|-⌫|
Lat roue n t Mibrienlefort	-|-⌫----⌫-⌫|------|-|---|
roi dePersie	--|-|-----|
Uasamble gra nt ost etiouste	|------|---⌫-|--|-|-----|
grantenpire	----|-----|
DeNau airsetdeBascles auoit.l.mile	-|---⌫---|-|-|------|----|--|---|
u ieu taost	-⌫---⌫||--|
sor Fran cele garnie	--|----⌫-|-|-----|
Por Mirabelsaf i lled ontli si ens c ors s	--|------|-|-⌫-⌫--|-⌫--|-|--⌫--|-⌫--||
aireEt siheitplusAiol	---|-|-|---|---|---|
quen ule riensquiui ue	--|-⌫--|----|--|--⌫-|
tan senlasoieba ill ieMakaires li amaineli	---⌫|-|-|---|--⌫---⌫-|-------|||-----|-|
quiuersli traitr es Partans uaura	------|-|------⌫-|--|---|----|
s erui r d ese s	-⌫----⌫|-⌫|--⌫|
l osengeri es.	-⌫--------⌫--|
CCLIuEn laplus	----|-|-|---|
maistrerue	------|--|
q uitorne[uers]saintIake	-⌫-|----|-----|----|---|
Seherbe rgaMakaires etsihometoutquatre .Ilen	-|-----⌫--|-------|-|-|---|---|------⌫|-|-|
aapeléson	|-----|--|
o steFloquipasseSiotnonlipaiens	-⌫--|----------|-|-|--|-|-----|
qui son auoirli garde	--|--|----|-|----|
G ardés moi cestFrançoisquei lneuos	-⌫-----|--|---|--------|--|-⌫|-|--|
escapeGrant	-----|----|
m aenblési	||-----|-|
grant damaie.Et respontli pa iens	----|------|-|------|-|--⌫---|
enarésgardeQuantilmesca pera	-|----|----|----|-||----⌫---|
embl era au tre.Il lesmist	----⌫--|--⌫---|-|--|---|
am bedeusenselfontdune cartre	--⌫-----|--|-|---||--|-----|
Enunetr e sor iemaislauoir	-|--|--⌫-⌫---⌫-|---||----|
enfisttr aire. Engrans	-|---|--⌫----|-|----|
ca rca nsl esmisentete n buies les	--⌫---⌫-|-⌫-|-----|-|-⌫|----|--|
laisent.Makair ess	-------|------⌫-||
tornaetsidrutrestoutquatreEttre spassent	----|-|-|--|-------|-----|-|---⌫-------|
lesruesqui	--|---|--|
sont etgran s etlarge sDuscal maistrepalais	---|-|----⌫|-|-----⌫|---|-|------|-----|
denientn e	-|----|-⌫|
s ata rge nt . La tr euentMibr ie n	|---⌫---⌫--⌫|-|--⌫----|----⌫--⌫|
aladuré corage.	||-----|------|
Makaires les al u eli	-------|-|-⌫--⌫-⌫|-|
quiuersmescreable[s] Ma ho nste	------|------------|--⌫--⌫-|-|
saut bo in[s]roiset	---|--⌫----|---|-|
toiettonbarnage -E tM ahonste	--|-|--|------||-⌫|-⌫----|-|
garis seamisf rere mess ageDontuiensetde quel	-----⌫-|---|-⌫---|----⌫--|---|----|-|-|---|
moidetonafaire.	--|-|--|------|
-Si reiesuide Franchedec eletere	|--⌫-|-|--|-|------|-|-⌫--|---|
lar geRices dusdeBorgongesil	---⌫-|----|--|-|-------|-||
aitoutenm agarde.	-|---|-|-⌫|-----|
G r antgu ere ma	-⌫-⌫--|--⌫--|||
destrui tqui	-------⌫|--|
me namaine et cacheCarli	|-⌫|-----|-|----|--|-|
roisLoeysm atolues mes m a rces. So us	---|----|||-----|--|-⌫-⌫----|--⌫-|
Lengres enBo rgonge	------|-|--⌫-----|
esmucuneba tailleLafi s(t)poruous telcosedont	----|--|--⌫-----|-|--⌫---|--|---|--|---|---|
sieclesm e blame. Lac onquisiouAiolle	------|-⌫|-----|-|-⌫-----|--|---|-|
filElie ausa ge	--|---|-|--⌫-|
EtMir abeluofille le cortoiseet le	-|---⌫---|-|----|-|-------|-|-|
sage.Ieluous	----|--|---|
aienmenéen	-|------|-|
ceste uostre marcheChasont a	----|-----|-----|--|---||
monoste l umes	--|----⌫||--|
ostesles gard e.Maisu ousnes	----|--|----⌫-|---|-⌫--|--|
arésiaanul	----|-||--|
iorqueie sache	--|--|-|----|
arésmostré u oDieuet uostre	----|------|-⌫|---|-|-----|
im age.H onques	--⌫---|-⌫-----|
ne u ic Mahondro isestconorlifa che.	-|-⌫-|----|---⌫-|--||---|-|--⌫---|
Et resp o ndi li rois	-|----⌫-⌫--|-|---|
Moltes c ortoiset sage[s] .Quantil	---|-|-⌫-----|-|-------⌫|----|-|
entendusid reche	------|-|-⌫----|
ens onestagePlusde .uii.	-|-⌫-|-----|---|-|----|
foislebais e el	---|-|----⌫|-|
co l et enla	--⌫|-|-|-|
facheAmischedist lirois	----|---|--|---|-|---|
corto ise stesetsa g e s	-----⌫-|-⌫---|-|--⌫-⌫-⌫|
Assé suosdonraiter re honoretsignorage.-Orentendés	-----⌫|--|-----|---⌫-|----|-|---------||-|--------|
m oiquedistlifel	-⌫-|--|---|-|--|
Ma ka ire sIe	--⌫--⌫---⌫|-|
sai bientoute	--|---|----|
Franche les	------|--|
por s etlespassagesToutecrestientéerten uostre	---⌫|-|--|-------|----|----------|--|-|-----|
Maisque iaie	---|--||--|
uogentaceualetaarm es Chrestiensont	-|---||----|-||---⌫-|--------|---|
tout mor t etliuré aho n tageMarmeu itonques	---|---⌫|-|-----||--⌫-⌫---|--|-|-⌫-|-----|
[ mès] L oeys	-⌫----|-⌫---|
lif ieu sC harleEncorlitaurai ioulecief sor	-|-⌫---⌫|-⌫----|----|-|-----|--|-|---|--|
espaules.uous tenrés l agrant t ereet ie	--------|---|------|-⌫|----|-⌫--|-|-|
enser aigarde	-|---⌫-|----|
Deuous uauraiten irBorgongeenir eta g e .- Amische	-|---|-----|---⌫-|-------|-|--⌫---⌫-⌫-⌫||---|--|
dist liroiscortoisest e s etsage[s].Decrois ementuou s	---|-|---|------|---⌫-⌫|-|-------|-|-----⌫----|---⌫|
doinglaterrede N auaire. Ie	----|-|----|-|-⌫------|-|
comm anc Sarrasi ns	----⌫--|-------⌫-|
par desor l or	--|----|-⌫-|
omageQueiltres tout uous seruentet uostr e	----|--|-|----⌫---|---|------|-|-----⌫|
plaisirfacent.	------|------|
CCLu Mibri en[s] prentM a kaireetto usses	---|-----⌫----|----|-⌫-⌫----|-|--⌫-|--|
.iiii.d rus	-----|-⌫--|
Siles aame nésenso npalaisl asusEn	-|--||---⌫---|-|--⌫|-----|-⌫|--|-|
lamahomerie	-|--------|
lau Ma homet	-||--⌫----|
fu.Adontparla Makaires litra itrepariu rs	--|----|----|-------|-|---⌫---|-----⌫-|
M ahometdistlifelie	-⌫-----|---|-|--|-|
suiauo u suenus Auousme	--||--⌫-⌫|----||---|-|
ious iredelroide	--|-⌫--|--|--|-|
SaintDeni s.. �Et	----|----⌫---⌫|-|
de struésFr a nçois	--⌫------|--⌫-⌫-----|
après tou sunsetunsN e sai	-----|---⌫|--|-|--|-⌫|--|
q uésuosnomaisemiex	-⌫---|--|------|---|
c onnistrastu Q ue ienefacbi aus sire	-⌫--------|-|-⌫-|-|-|--|--⌫--|---|
auésue us.	----|--⌫--|
Sarra sinnesont mie sifol nees pe rduQue	-----⌫--|-|---|--|-|--|-|--⌫--⌫--|--|
n aient .i. uilain	|----|--|-----|
misMahometelbuQ uila ie ns	--|------|-|-|-⌫-|--⌫--⌫-|
est ent re ́s car toutcreus	--|---⌫--⌫-|--|---|----|
d ed ensfu.	-⌫--⌫--|--|
Amis distliuilainsiet aibien	---|---|-|------|-||-|---|
feraide F ran che etamiralet ducEt	----|-|-⌫---⌫--|-|-----|-|--|-|
autre soie nttout confon du.Se	----|----⌫-|---|------⌫--|-|
tiensmoulttest	----|----||--|
b ienauenu.[Li]paienliamen ent	-⌫--|-----|---|----|-|----⌫--|
unauferant	-|-------|
le baiseenlabouch eq ue nese	-|----|-|-|-----⌫|-⌫-|-|-|
tar gaplusEtrache	---⌫-|---|-|----|
contremont eldespit	---------|-|-----|
de Iesu ..�Etp uismebaiserasenmi le	-|----⌫--|-|-⌫--|-|-------|-|-|-|
treudelculCheert senefianchequ	---|--|--|--|--|----------|-|
eresrendus	---|-----|
S aras D i e u renoiéetla soi euertu	|---|-⌫-⌫-⌫|------|-|-|---⌫|----|
Et quei l nepe ut	-|--|-⌫|-|--⌫-|
e streetqu	-⌫---|-|-|
e nc orenef u. -Siferaiioubi aus	-⌫--⌫--|-|-⌫-||-|----|--|--⌫--|
durfeu[s] A chou mer e ncc oupable queta nt	--------||---|-|-⌫-⌫-|-⌫------|--|--⌫-|
Que t ous ioursneuousaieseruiet ma intenu.Makaire s	--|-⌫--|----|-|---|--|----|-|--⌫------|-------⌫|
lebaisai letsi.iiii.	-|----|-⌫|-|-|-----|
druL i uila insauess i Makaires	--|-⌫|----⌫--||----⌫|-------|
trait ensus Siredist	----|-|--|---|---|
litra itres	-|---⌫----|
uostreDieus	-----|----|
put -Non fait dist	--||--|---|---|
Mibriens mais	-------|---|
teu s sontses	---⌫|---|--|
del sinagog eis nelementissuDu sca l	--|-------⌫|--⌫-------|---|--⌫-|-⌫|
palaissont ariereu enu.CCLuIMibrien[s]pri stMaka ire	-----|---|-----|-⌫---|----|---------|---⌫-|----⌫--|
parlepantdelher mineAmisc he	--|-|---|-||---⌫---|---|-⌫-|
roisne u os	---|-|-⌫-|
mentiraimie.I ai mdes or e enauantla	-------|---||--⌫|--|--⌫|-|----|-|
uos treco mpaignie.	---⌫--|--⌫--------|
Menésme auost reostelieuoil	-----|-||----⌫-|----|-|---|
ueirma fille.	---|-|-----|
respondi Makairesuolentier s	-------|-------|---------⌫|
bi ausdou ssire.Il	--⌫--|---⌫|----|-|
trespas se	-------⌫-|
la ru e etlebo urcet leuileDe ssi	-|--⌫|-|-|--⌫--|-|-|---|--⌫--|
asonoste l	|--|----⌫|
n ecessen e	-⌫|----|-⌫|
nefine Ilenaapellé	-|---|-|-||------|
Fl oquipasse etProspisseSif ait	--⌫--------|-|--------|-|-⌫--|
ieterAi ol	----|--⌫-|
dela cartr eperine	-|-|-----⌫|-----|
EtMirab el sa femequ	-|-----⌫-|-|---|-|
gr antto rtifum ise. Mibriensuoit safillequi	--⌫--|--⌫-||-|-⌫---|-------|---|-|----|--|
a souplieDelalonge priso nalacolornoirch ie.	-⌫------|-|-|----|-----⌫||-|----|------⌫--|
Mibrien[s] le uoit	---------|-|---|
parlamain la s aisi eIll	--|-|---|||-⌫----⌫|-||
e naapel é	-⌫||----⌫-|
se licomme n che a direAuésuousrelenqui	-|-|-----⌫-⌫--||---|----|---|-------|
Maho metbele	----⌫--|---|
Oiechedist la damepo ra morDieub iaus	--|--|---|-|---|--⌫|-⌫--|---|-⌫---|
pris uostreDieu	---|-----|---|
Mahom etune	-----⌫-|--|
aillie.Ch ouqueSarrasi n	------|--⌫-|--|-------⌫|
croienttien g	------|----⌫|
iouagrantfollieQuantne	--||----|-----|----|-|
croient enD ieule	------|-|-⌫--|-|
fieusainte Marie.Qua nt lententMibr iens ap oi n	---|-----|-----|---⌫-||-----|----⌫---||-⌫-||
d ire .C CLuIIMibrien[ s]pri stsa	|---⌫|-⌫----|--------⌫-|---⌫-|-|
fillepar le bl ance	----|--|-|--⌫---|
maindestre.Aué suosrelenq u i Mahometfil lebele	---|------|----⌫|--|------⌫-⌫|------|---⌫-|---|
distlad amen end itesmaiskaieleQuant	---|-|-⌫--||-|-⌫---|---|-----|----|
Sa rrasin loirent sis esrag entet der uent.Çou que	--⌫-----||-----|-||-----⌫--|-|---⌫----|---|--|
Sa rrasin croientneuau tune	--⌫-----|------|-|---⌫|--|
ce nel eQuant ilne croient	--⌫---⌫|----|-|-|------|
Dieuleglorieus	---|-|-------|
celest reCeluiqu i	------⌫-|----|--⌫|
sesconss aenla	|-------⌫|-|-|
uierge puc ele .Quan t	-----|---⌫---⌫|----⌫|
lentent Mi br iensa poidire	|-----|--⌫--⌫---||--||--|
derue Uq ue	----||-⌫-|
il uoitAiol selp rentpa rlepu i[n]des t re	-|---|---|--|-⌫---|--⌫|-|--⌫---|---⌫-⌫-|
Filaputaindist	--||-----|---|
il f ellicieres s usper be[s]La riens	-|-⌫-|-------|-⌫-----⌫----|-|----|
mau e ́stolue queplusamoieente rre Dist	|--⌫-⌫-|----|--|---|----|-|--⌫--|---|
u a moi mespe e que reAnçois que	-⌫|--||----⌫|---⌫-|------|--|
i oumengu eli trenceraila	-⌫-|-----⌫|-|--------|-|
t est e.D ont parlaEstorgansq uifuné sa ualterne	-⌫---⌫-|-⌫--|----|--------|-⌫-|-|---⌫||-------|
onclesMibrienspor	-----|-------|--|
Mahomet q uefaitesQuecreés uos	------|-⌫-|-----|--|-----|--|
Mak aireMahometlidoin s tperte Quantsa loi	---⌫---|------|-|----⌫-⌫|----|----|-|--|
desloialest	-------|--|
sa geste.A	-|-----||
mil lorc heualiernepeutuostre	---⌫--|-⌫-------|-|---|-----|
estre Carchouest	----|--|---|--|
fil [s]El iealakenueteste	---⌫--|--⌫-||-|----|----|
Et siest niésl e	-|-|--|----|-⌫|
roiqu i ti ent France etgouerne.Se	--|--⌫|--⌫--|-----|-|-------|-|
il uieut Mahoncr oire trop	-|----|----|--⌫---|---|
lidonré[s]uo ster e.E tre spon di	-|--------|--⌫|---⌫-|-⌫|--⌫----⌫-|
Ai olsCheneporoitiaestreMieusi	--⌫--|--|-|-----|-|----|----||
uoilio um o rirqueie	---|--⌫|-⌫-⌫--|--|-|
Dameldé pe rde.CCLuIII Mibr iensape laMira b elle	-------|--⌫---|------|----⌫---|---⌫-|----⌫-⌫-|-|
Aués uosre lenquiMahom etbe l efille Aléssi l aourés	----|--|--⌫-----|-----⌫-|--⌫-⌫|----|----|-||------|
u ossa ume sl i	-⌫-|--⌫---⌫|-⌫|
d ites. .IIII.pa i enlenmain ent aforcele	-⌫----|-----|--⌫-⌫-||-|----⌫--||----|-|
tr ain entQui p arles	--⌫---⌫--|--|-⌫-|--|
brasle mainentcoreçous[e]et	---|-|------|-----------|-|
Sign or che	----⌫-|--|
di stla damelaisiés	--⌫-|-|---|-------|
deliureAo re rle	------|--⌫--⌫|-|
mes teutleceur enai	|--⌫---|-|---|-|-|
plaindire. Deliurele	----||---|------|-|
l aisi e rent	-⌫----⌫-⌫---|
lapu tegen te haie.Leusq ue	-|--⌫-|---⌫-|----|---|-⌫-|
dut aore rMahometetse s	--|----⌫|------|-|--⌫|
i(n)dele sEl(e)lesaisi	--------⌫|----|-|----|
Lescosteset lesbraset	--|-----|-|--|---|-|
lesfla ns lidebrisse.	--|---⌫-|-|--------|
Cestedame estmarie.-uoire dis t	----|---|--|-----||----|---⌫|
Mibrienstout ertmorte	-------|---|--|----|
et s os pr ise. -Non suidist	-|-⌫--⌫--⌫---||--|--|---|
Mirabia usma ua i segent aie.Comm entuospeutaidier ceste	-------⌫-|--⌫--⌫-⌫-|---|---|----⌫--|--|---|-----|----|
cose faillie Or peren tses uertus	---|------|-|-----⌫|--|-----|
quid epaorn	--|-⌫|---||
Quant l e ntendent	----||-⌫-------|
paienapoinesragentdire I lle	----||--||-------||--|-⌫|-|
deliurer Floq uipa sse e tPorprisseChefurentdoipa ienmolt	-------|----⌫----⌫--|-⌫|--------|--|-----|--|--⌫--|---|
plain d ire.La	----||---|-|
tere leroi	---|-|--|
gar dentettien [ en]t	---⌫---|-|----⌫-⌫---|
grantius tice Maispuisles tornaDieus	----|---⌫---|---|---|--|----|----|
alasoiepar tie	|-|---|---⌫--|
