mes siresainza nthoinesfu	--|---|----|-⌫-------|-|
ha bitat ions qu ilunqu es eustueue	--⌫-----⌫---|-|-|----⌫-|---|---|
lisarr azinense mb le	-|----⌫---|----⌫--⌫-|
estoient uenu qui marc heant	-------|---|--|----⌫----|
est oientquantilpassoie ntpar	---⌫----|----|-|-------⌫-|--|
s i li aportoi ent pai n mult	-⌫|-|-------⌫--|---⌫|---|
uolentier set	---------⌫|-|
m ultliementpor c e qu	-⌫--|------|--|-⌫|-|
il ueoi ent quelisainzhom	-|----⌫--|--|-|----|--|
auoit si gra nzfi anceenno stre	----|-|---⌫-|--⌫---|-|--⌫---|
etporcequ il menoit si	-|--|-|-|-|-----|-|
etdel fruitdespaumiers	-|--|----|--|-------|
meisme sse sostenoitilet	------⌫|-|--------|-|-|
uiuoitet s i ertsa	-----|-|-⌫|--|-|
frerec uiilauoit	----|-⌫-|-|----|
deguerp ielpremierdesertsorent	-------⌫|-|------|-----|-----|
leuouil estoit	--|-|-|-----|
comm encer entaport eruiandes et a	----⌫-----⌫--||----⌫-|------|-||
enuoierausi co mm elifi l zfait	------|---|--⌫--⌫|-|--⌫-⌫|---|
pere quantsa in z anthoine ui t	---|----|--⌫--⌫|-------|--⌫|
ce il l isemblaquilestoitde	-|-|-⌫|-----|-|-|-----|-|
tropchargiezet trop	---|-------|-|---|
auoient grantpain e	------|----|----⌫|
un d ecels qui lauenoit	-|-⌫|---|--|-|-----|
liaporta st un sarceletf rome nt et	-|------⌫-|-|-----|-|-⌫----⌫-|-|
sise metoi t entre	-|-|-----⌫|----|
e tabeure roitquanttotcel i fu	-⌫|------⌫---|----|--|-|-⌫|-|
aportélisa i nzhome	------|-|--⌫-⌫-|---|
a querre par lach am pa ignequi desozla	|-----|--|-|--⌫--⌫--⌫---|--|----|-|
montaigneest o it	--------|---⌫-⌫-|
l eucouenable por	-⌫-|--------|--|
sem erlofromentqu	---⌫-|-|------|-|
auoitaportédont	----|------|---|
troualisainzhomeu necolture	----|-|----|---|-⌫-|------|
no nmiem u lt grant	--⌫|--|-⌫-⌫-|----|
estoi t couenableet	-----⌫|--------|-|
deios telo	-----⌫-|-|
ru iseld elafontaine	--⌫---|-⌫|-|-------|
quila coroitcl ereetgente	--|-|-----|--⌫--|-|----|
semasaintanthoi neet	---|----|------⌫-|-|
so npainporu iureetmul t s	--⌫|---|--|-⌫---|-|---⌫||
dedanz s o ncue r quantil	-----|-⌫-⌫|---⌫|----|-|
l otra uail dautruipa rse spropr e s	-⌫|---⌫---||-----|--⌫|--⌫|-----⌫-⌫|
mainssostenirsau ie	----|-------|-|-⌫-|
ado nccommencierentplussors	---⌫-|------------|-------|
reueni raluietsi	------⌫||--|-|-|
e rtlauo i emult	-⌫-|-|--⌫-⌫|---|
longueetensusde tozleus	-----|-|----|-|--|---|
genz abit oie nt li	---|----⌫---⌫-|-|
sa in z hom	--⌫--⌫|--|
otpitiedece quil	-|----|-|-|-|-|
trauailiéquantil paruen oient a	---------|----|-|------⌫----||
etpor cequil	-|--|-|-|-|
nelor auoitque	-|--|----|--|
don ersepainno ntan t	---⌫-|-|---|--⌫|---⌫|
solementsi	-------|-|
commencaagain ieretherbesenun	-------||----⌫--|-|-----|-|-|
pet itdete rre dontil fussent	---⌫-|-|--⌫--|---|-|------|
r econ fort e z apreslo trau ail del a	-⌫----⌫----⌫-⌫|----|-|----⌫--|-|-⌫|
longueuoieq uimultertaspre	-----|---|-⌫-|---|--|----|
celorer tgrant	-|--|--⌫|----|
conforz etgr an tpitance	------|-|--⌫--⌫|------|
dont auintqu e lesbestes	---|----|--⌫|--|-----|
montaigne com mencer entamengier	--------|---⌫------⌫--||------|
sonblefqu ila uoit	--|---|-|-|-⌫---|
e n pristune quantillatint	-⌫|----|--|----|-|-|---|
ilparla ali si li dist por	-|----||-|-|-|---|--|
b liciez uoset	-⌫-----|--|-|
fa ites an uide	--⌫---|--⌫-|-|
mesc hoses	--|-⌫----|
bliecemienenecorroc e	-----|--|-|-|------⌫|
ieuos co mmantelno n	-|--|--⌫----|-|--⌫|
d e nos tre	-⌫|---⌫--|
seignorqueuosenalez	------|--|--|-|---|
etsin aprochie z	-|-||--------⌫|
do ntsen alere nt	--⌫-||-|-----⌫-|
bestesn eni o serentai nz	-----|-⌫|||-⌫-----|--⌫-|
aproch iersi	------⌫--|-|
c onsainz ant hoines	-⌫-|----|---⌫-----|
estoitenlamontaigneetes deserz	-----|-|-|--------|-|-|-----|
ennoroisons	--|-------|
et en uo ilesli	-|-|--⌫---|-|
fre r equ i a lui u enoien tl	---⌫-⌫|--⌫||--|-⌫------⌫||
esforc oienttant amoult granz	------⌫----|---||----|----|
parlor proieres quil	--|--|-------|-|-|
prenoitdel	------|-||
delgrumelquil	--|-----|-|-|
liaportoientporsostenir	-|---------|--|-------|
quaril ertmoul tuiauz	---|-|--|----⌫|----|
et deaagecom	-|-|---|--|
ilsoff r idepaines	-|----⌫-⌫|-|-----|
et delu ites ilne	-|-|--⌫---|-|-|
secomb atoitmietantsoleme n t	-|----⌫----|--|---|------⌫-⌫|
e ncontrelauo lentedesoncors mes	-⌫------|-|--⌫----|-|--|---|--|
en contre l esgranz	--⌫-----|-⌫-|----|
to rbesdese nem isqui	--⌫---|--|-⌫---⌫-|--|
u enoienttuitarmé	-⌫------|---|----|
tantensemb l equil sem bloitquela	---|------⌫-⌫|-|-|---⌫----|--|-|
montaigne enfust	--------|-|---|
t otepl aine	-⌫--|--⌫---|
etcetes temoignent cilq uile	-|-|---⌫---------|--|-⌫-|-|
uirentqua ntila	-----|---⌫-|-||
luiuenoi ent	--|-----⌫--|
totte nsauoitli	--|--⌫-|----|-|
sain z homson	----⌫|--|--|
corageetfer m etpaisible	-----|-|---⌫|-|-------|
etsi chacoit le sdeable s ensus	-|-|------|--⌫|------⌫|----|
luihardiementparl enon	--|---------|--|-⌫|--|
no str eseignor lesbestessaluagesde	--⌫---⌫|------|--|-----|-------|-|
l afore st etdela	-⌫|----⌫-|-|-|-|
liestoien tausicomtot es	-|-------⌫|---|--|---⌫-|
un e nu i tauintques ainzantho ines	--⌫|--⌫-⌫|----|--|-⌫---|-----⌫---|
estoitenuoi lle se tenieunes	-----|-|---⌫---⌫|-⌫|-|-----|
etenoroisons	-|-|-------|
e nuersnos treseig norsi	-⌫----|---⌫--|----⌫--|-|
auoit biena	----|---||
si esgar daenuiron sa	-|-----⌫-|------|-|
uit ueniretasemblersigra nt	--|----|-|-------|-|---⌫-|
torbedebestesorslyons	----|-|-----|--|----|
ue nissentsi commencierentle s	--⌫------|-|------------|--⌫|
gol es abaer etfaires em blant de	---⌫-||---|-|----|-⌫--⌫----|-|
luideuorersainzan t hoin essot bien	--|------|----|--⌫-⌫----⌫-|--|---|
etentendiqueceestoi t	-|------|--|-|-----⌫|
ded iable ieuo scommant	-|-⌫----|-|--⌫|------|
ale ztostce distsaint	---⌫|---|-|---|----|
anthoinesse nostre sireuosa	--------|-|-----|---|--||
donécong ie demoideuo rreret	----|----⌫-|-|--|----⌫---|-|
puissance uenezsi	--------|----|-|
lo faites et	-|-----|-|
seuose stesuenues	-|--|-⌫---|-----|
l econgiedodiableie	-⌫|-----|-|-----|-|
comm ant queuosen a le z	----⌫--|--|--|-|-⌫--⌫|
tost etdepartez	---|-|-------|
deci que ie	-|-|--|-|
suise rsdeno stre	--|--⌫-|-|--⌫---|
seigno r iesus	------⌫|----|
cr istmainten antque	--⌫--|-------⌫-----|
oiren tlec omman dementsaint	-----⌫|-|-⌫-----⌫-----|----|
s ise nfuirentausicomtotes	-⌫||-⌫-------|---|--|----|
batu esapre sceli uintli	----⌫-|----⌫|-|-|---|-|
d eable sde uanten autresemblancepor	-⌫-----⌫|--⌫---|-|----|--------|--|
quidoitta nt espaanter	------|--⌫-|--------|
quilochacast fors	-||-|------|---|
delermitage	-||-------|
li sainz hom	-|----|--|
totades aucuneschos et esenterr epor	--|---|------|----⌫--⌫-|-|----⌫|--|
sec o rr ecelsqui	---⌫-⌫--⌫|---|--|
uenoientalui s ic om	-------||--|-⌫|-⌫-|
ilert enson	-|--|-|--|
labou run iori lesgarda deuant	-----⌫|-|--|-⌫|------|-----|
l uis iuitune be s tequiauo it	-⌫-|-⌫|--|--|--⌫-⌫-|--|---⌫-|
fac ehumain e moult	---⌫|------⌫|----|
laiteet trop	----|-|---|
orriblemesnequed entsia uoit	------|--|------⌫--|-|-⌫---|
eleuiai re	--|----⌫-|
licor s etlipie	-|---⌫|-|-|--|
et la coedes emblanced as nequ ant	-|-|--|-|-⌫-------||--⌫-|--⌫--|
saint anthoineslouitil	----|--------|-|--|-|
se m erueillamult sifistlosigne	|-⌫-⌫-------|---|-|---|-|----|
dela sain tecroiz enmis onfront	-|-|----⌫-|----|---|-⌫-|----|
pu is siparlaet dist	--⌫-|-|----|-|---|
bes t e ie	---⌫-⌫|-|
s ui sers no streseignor	-⌫-|---|--⌫---|------|
si tue sde par	-|-|-⌫|-|--|
moiuenue et	--|----|-|
transmise ienau rraide	--------|-||--⌫---|-|
dotene peor	---|-|---|
etsetu es ci depar	-|-|-|-|-|-|--|
autrui e n uoié	-----|-⌫-⌫----|
iet ec ommant	-|-⌫|-⌫-----|
depardieuque	-|--|---|--|
quantli la izoilaparole	----|-|--⌫-|-|-|-----|
ilnios aares ter	-|||--⌫|----⌫--|
ainzsenfui	---||----|
mai ntenan tgr ant aleureet si c om	---⌫------⌫|--⌫--|-----|-|-|-⌫-|
i ls enen coroitsi chai	-⌫||-|--⌫-----|-|---|
ladeserti neetbi en	-|-------⌫-|-|--⌫-|
sachiezquausi comunement	------|-|---|---------|
mo roienttot eslesor rible	--⌫-----|---⌫-|--|--⌫----|
parcuili deabl esuoloientsainz	--|--|-|-----⌫-|-------|----|
anthoinesfaired epartirde	--------|----|-⌫------|-|
desert ine oilmenoits ain teuie	------⌫--||-|-----|-⌫---⌫-|--|
apre ssesmeruoille sque i eu oshai	----⌫|--|---------⌫|--|-⌫|-⌫-|--|
c onté etditdelsain t	-⌫----|-|--|--|----⌫|
uiene nten cor plusgranzs	-----⌫-|--⌫--|---|----||
estquil lesc ont etdie	--|---|--|-⌫--|-|--|
apres cenon demo ra mie g ran ttens	----|-|--|----⌫-|--|-⌫---⌫|---|
pl us ors dese sfreres	--⌫--⌫--|-|--⌫|-----|
luielde sert sili	--|-|--⌫---|-|-|
proierent mul tdocement	--------|---⌫|-------|
al abaieui seterlesmoinesq ua r illo	||----|--⌫----|--|-----|-⌫--⌫|-|-|
desiroient multaue ir	---------|---||--⌫-|
sessaintes	--|------|
parolessai nz	------|---⌫-|
anthoines encuipitie zet	--------|-|--|-----⌫|-|
misericordeesto itlorotroia	----------|----⌫-|--|-----|
etsise mist auec	-|-|-|---|---|
eus e nlauoie	--|-⌫|-|---|
limoine auoient ense mbleeus	-|----|------|----⌫---|--|
amen é un chame l	----⌫-|-|-----⌫|
portoie nt	-------⌫-|
l oraigueetlo rp ainquar en to t el a	-⌫-|----|-|--⌫|-⌫--|---|-|--⌫-⌫|-⌫|
uoie quimultertlongue	---|--|---|--|-----|
etsechenauoit aigu ene	-|----||----|----⌫|-|
fonteineiuq ue s	-------|---⌫--⌫|
n e tr esq uela ousainta nthoines	-⌫|--⌫---⌫-|-|-|----|-⌫-------|
habito it si lorauintacel le	------⌫-|-|--|----||---⌫-|
foizque aiguelorfaillien mila	---|--|----|--|-----|--⌫-|-|
uoiesi norent que boiur e	---|-||----|--|-----⌫|
neneso rent	-|-|--⌫---|
que fa ire lasoifles	--|--⌫--|-|---|--|
destrainoita bien pres qui lne	----------||---|---|-|-⌫|-|
defailloi entilalerent querant	---------⌫--|-|------|------|
dunepartet	|--|---|-|
dautresilpar	|----||-|--|
auenturepe u sse nttrouer a ucun	-------|--⌫-⌫---⌫-|-----|-⌫---|
floichelde plui equi fustremese	-------|-|----⌫|--|---|-----|
en aucune pierechauee	-|-----|----|-----|
riennelorualu	---|-|--|---|
car noiant ne	--|-----|-|
peussentauoir seco rsa	-------|----|----⌫-||
celedetre ce	---|-----⌫-|
etl i chamel	-|-⌫|-----|
lor choses portoitertsidestroiz	--|-----|------|--|-|-------|
desoif etdechalor	-|---|-|-|-----|
quil faiso it tr opmalefin ne	-|-|-----⌫-|--⌫-|---|--|-|
pooitalerla u oies ique	----|---|-|-⌫--|-⌫|--|
lolaserent et deguerpir ent	-|-------|-|---------⌫--|
qu ant saintantho ineu i tcele	--⌫--|----|-----⌫--|-⌫-⌫|---|
d estrece que lifrere soff roienti l	-⌫------|--|-|----|----⌫-----|-⌫|
dolenz enson cuer	-----|-|--|---|
trait e nsus delsun pois	----|-⌫---||--|-|--||
en oroiso ns ettendi	-|------⌫-|-|----|
mai ns uers no st reseignor	---⌫-|---|--⌫--⌫-|------|
ne demoramiemul tapresce	-|-----|--|---⌫|----|-|
otcommencié	-|---------|
lo rerq un e	|-⌫--||--⌫|
fontainecommenca	-------|-------|
luiasordre forsde	--||-----|---|-|
terr edont bur entlifr ereet	----⌫|---|---⌫--|-|--⌫--|-|
estanchierent lagrantsoif qu il	------------|-|----|---|-|-|
puisemplirentl orua isia uss i	---|--------|-⌫-|--⌫----⌫-|-⌫|
a leren tque rre	-⌫-----⌫|---⌫--|
loc h amel quil	-|-⌫-⌫---|-|-|
auoient a rrie relaisie ́li	------|-⌫----⌫-|------⌫|-|
auoit tant	----|---|
ale ́p arlo	---⌫|-⌫-|-|
desert qu e	-----|--⌫|
de queilertli ez	-|--|-|--|--⌫-|
entor leco lert	----|-|--⌫|--|
aersaune pierelalotroueren t	---||--|----|-|-|--------⌫|
lif r ere si labeurer entdel ai gue	-|-⌫-⌫--|-||-------⌫--|-||--⌫--|
quilauoient ap or teelors	-|-|------|--⌫--⌫--|---|
s enrepariere ntarrie re et	|-|---------⌫-|-----⌫-|-|
alerent ta nt a	------|--⌫-||
pie lor uoie	--|--|---|
uindrental abaieo uli moine	-------|||----|-⌫|-|----|
estoientquimultdesiroient	-------|--|---|---------|
s aint anthoine aueoi rtuitli moine de	-⌫---|-------||----⌫|---|-|----|-|
lab aieuenoient encontre	|--⌫--|-------|-------|
lui sicomme encon trelor	--|-|----|-----⌫--|--|
frereetlor	----|-|--|
pere esperite letlosaluoient	---|--------⌫|-|-|--------|
etacol o i ent sainz	-|----⌫-⌫-⌫--|----|
anthoine s	--------⌫|
esto itmultl iezdecequille	----⌫-|---|-⌫--|-|-|-|-|-|
ueoit qu ar ill es enmoitmult et	----|--⌫-|-|-⌫-|-----|---|-|
commencaaloerlesanciens	-------||---|--|------|
hu euresqu il	--⌫----|-|-|
faite setlesp lus	-----⌫|-|--|-⌫--|
amonestoit quilsetenisse nt do	---------|-|-|-|-------⌫-|-|
totaubien faireetlomal	--|-|---|----|-|-|--|
laisa sse nt etsifu stmultliez	-----⌫---⌫-|-|-|--⌫-|---|---|
de sa seror quil uitquele	-|-|----|-|-|--|-|--|
uirge e tdesigrantaage	----|-⌫|-|-|----|---|
maistresse desa utre	---------|--|-⌫---|
quan t ilotla	----⌫|-|-|-|
e stéta ntquillo r	-⌫---|--⌫---|-|--⌫|
otmostr e ́lasainteuoie	-|-----⌫-⌫|-|-----|---|
sal usicomill	---⌫|-|--|-||
auoit en pense	----|-|----|
enretornaarriereenler mitage	-|------|------|-||--⌫-----|
etreuint en sonhabi tacle enla	-|-----|-|--|----⌫----|-|-|
mon tai g neetla ouilhabitoi t	---⌫---⌫-⌫-|-|-|-|-|-------⌫|
uenoienta luip l us orsmoinesq uan t	-------||--|-⌫-⌫--⌫--|-----|-⌫---⌫|
ilsentoient lestemptacions	-|--------|--|----------|
del enn e mietil	-||---⌫-⌫-|-|-|
les con fortoitet	--|---⌫------|-|
disoitc reezeniesu crist	-----|-⌫---|-|---|----|
fermemente tf aites sescommandem enz	--------|-⌫|-⌫----|--|---------⌫--|
et ses ouressi com uos les	-|--|----|-|--|--|--|
trouezen sai nte escr iture	-----|-|---⌫--|----⌫----|
disoit iletdoct rinoit	-----|-|-|----⌫-----|
q uil en aloient	-⌫|-|-|------|
tuitreconfo r tez	---|-------⌫-⌫--|
telm eniere	--|-⌫-----|
enram en a	-|---⌫--⌫|
ilmultalauoiede salu	-|---||-|---|-|---|
siuos diconquepo rsente q ue	-|--|-||----|--⌫|----|-⌫-|
deus donastu nques a home	---|-----|-⌫----||---|
femene por	---|-|--|
miraclequ il feist	------|-|-|----|
porluises co rs	--|--|--|--⌫-|
l euaenorg oil to tt ens er tl i	-⌫--|-|---⌫--|--⌫|-⌫--|--⌫|-⌫|
sainz h omdunc orage	----|-⌫-||-|-⌫----|
totensrendo itilgraicesanostre	-----|-----⌫-|-|------||-----|
seignor deq uanque liaue noit	------|-|-⌫-----|-|---⌫---|
et sidisoit et amonest oita	-|-|-----|-|-------⌫--||
ceus quienfer mestoi en t	---|--|-----⌫|-----⌫--⌫|
quelesmausquil	--|--|---|-|-|
soff roi e nt	----⌫---⌫-⌫-|
receussente mpacience e t	---------|-⌫|-------|-⌫|
quilgar issoit	-|-|---⌫-----|
disoit ilque lasen tequ	-----|-|--|-|---⌫-|-|
receuoient	---------|
esto itdepard euaceus don nee	----⌫-|-|--|-⌫-||---|---⌫--|
noiantdautrui en telme niere	-----||-----|-|--|--⌫----|
conforto itsaint anthoinesceus	--------⌫-|----|--------|---|
qui est oienten	--|---⌫----|-|
paine e taceus	----|-⌫||---|
qui se nt ereceuoi entdiso it	--|--⌫--⌫|-------⌫--|----⌫-|
quadieuenr endissentgraices	-||---|-|-⌫--------|------|
samisericorde lesauoi t	-|----------|--|----⌫|
ad onca uintqu unshomde la terrede	--⌫--|-⌫---|-|--|--|-|-|----|-|
p alatine f r ontho auoitnonqui	-⌫------|-⌫-⌫----|----|--|--|
esto i t uenuzq uerrela	----⌫-⌫|----|-⌫----|-|
mise ricorde	----⌫------|
dedeuuint a	-|--|---||
saintanthoinee l	----|-------|-⌫|
d esertsiliroua qu il proiast	-⌫----|-|-|---|-|-|------|
nostreseignor	-----|------|
porlu itantquil	--|--⌫|-----|-|
de liurezdela grantdolorouil	--⌫-----|-|-|----|----|-|-|
estoi tquar	-----⌫|---|
li deab leslo	-|----⌫--|-|
d estrai gnoitsicruelmentquil	-⌫------⌫----|-|--------|-|-|
dep ecoitsa lang ueas esdenz	---⌫----|-|----⌫-||-⌫-|---|
etsiuoloi t seseusmeismes	-|-|-----⌫|--|--|------|
etqu ant sainthanthoi nesot	-|--⌫--|----|-------⌫--|-|
faitessesor ois o ns anos tre	-----|--|--⌫---⌫-⌫-||---⌫--|
seignor por	------|--|
celuiillidist	----|-|-|---|
uaten ettuserassene z	-||-|-|-|----|----⌫|
uostcroire	---|-----|
qu il en autre leupeust	-|-|-|----|--|----|
puisqu ilne receuoit	-----|-|-|-------|
ilue csa nte	----⌫|--⌫--|
siate n diet dem ora une	-|---⌫-⌫-|-|---⌫--|--|
p iece tantque sain zantho ine	-⌫---|------|----⌫|-----⌫--|
li distquilse nalastquar ilne	-|---|-|-||-⌫|----|---|-|-|
pooit ga irirmaistantostconil	----|--⌫---|---|------|--|-|
uendroite n egyptesentirait il	-------|-⌫|-----|--------|-|
l amise ricorde denostreseignor	-⌫|----⌫------|-|-----|------|
ado nsprimecrutcil ce que li	---⌫-|----|---|--|-|--|-|
sainzhomlidisoitsisen	----|--|-|-----|-||-|
ettantost con il ui nt e n	-|------|--|-|--⌫-|-⌫|
garizdelenn emitotsi com	----|-||---⌫--|--|-|--|
saintan thoine li auoitdit ac ui	----|--⌫-----|-|----|--||-⌫-|
nostre sirela uoi tde mostr é	-----|---||-⌫---⌫|--⌫-----⌫-|
auintqu u nep ucele	----|-|-⌫-|-⌫----|
est oit aunecite	---⌫--||--|---|
dedesert plainedegrant e nfe rmete	-|-----|-----|-|----|-⌫---⌫----|
que a pai nes	--||---⌫--|
loretrairoit	-|---------|
nu shomnedir oi t	--⌫|--|-|---⌫--⌫|
naturelicoroit	-----|-|-----|
iauzet par l esoroilesques itost	---|-|--|-⌫-|------|--|-⌫|---|
ilc ha oita terres ideueno it	-|-⌫--⌫--||----|-⌫|------⌫-|
porretureetu erse nse mbleetsiert	--------|-|-⌫--|-⌫---⌫---|-|-|--|
p alesin eedo nt ele	-⌫------⌫-|--⌫-|--|
me mbresauo itp erduz	--⌫----|---⌫-|-⌫----|
et oltretot	-|----|--|
ceauoitele iau zto zbestor nez	-|----|--|---⌫|--⌫|------⌫--|
contre natureet quants on pereetsa	-----|-----|-|----|-⌫-|---|-|-|
mer e oirentetentendirent	---⌫|-----|-|----------|
nouel le sdo	-----⌫--⌫|-|
sainthomeetque	----|---|-|--|
etlisaint homel alo ient	-|-|----|---||---⌫---|
querei l orent grantfiance que	----|-⌫|----|----|-----|--|
nostresire aidaistl orfi lle	-----|---|------|-⌫-|--⌫--|
a dontse mistre nta lauoie	-⌫---|-|------⌫-||-|---|
e nsembl e	-⌫------⌫|
lorfillee t	--|----|-⌫|
ta ntquil uinrent	--⌫---|-|------|
eldesert a upie	-|-----|-⌫|--|
de lamontaigneousa intanthoine	-|-|--------|-|--⌫--|-------|
ab i toitlaaresteren tens e nble	--⌫-⌫---|-|---------⌫|---⌫-⌫---|
saintpasnurie loconfes	----|-------|-|-----|
etmoi nesert c uimaximien sfistles	-|---⌫--|--|-⌫-|--------⌫|---|--|
iauz cre uerdementiersqu	---|---⌫--|-----------|
ile stoi t	-|-⌫----⌫|
emperereslimoinequiauec lopere	--------|-|----|--|---|-|---|
la meree stoientuenu	-|---|-⌫------|---|
a lerent asaintan thoine	-⌫-----||----|--⌫-----|
etquan til	-|----⌫|-|
liu or re nt contertote lenfe rme te	-|-⌫--⌫--⌫-|-----|---||----⌫---⌫-|
pucelle lisainthom lor	------|-|----|--|--|
commenc aa	-------⌫||
conterto telalangor	-----|--⌫-|-|-----|
eleauoitettotce qui l	--|----|-|--|-|-|-⌫|
auoien t faiten	------⌫|---|-|
lauo ietresqu	-|--⌫-|-----|
a tan tq ue	-⌫---⌫--⌫-|
ile stoientuenu asai ntpasnurie	-|-⌫------|---||---⌫-|-------|
tota usi consil eu stesté	--|-⌫--|--||-|--⌫-|----|
e nlorconpaig nieli	-⌫|--|-------⌫--|-|
meru ill e re ntmoulte t	----⌫---⌫-⌫--⌫-|----|-⌫|
p roierentqui	-⌫-------|-||
l aissastalu i	-⌫------||--⌫|
uenir lopereet	----|-|---|-|
l a mereaueclorfille	-⌫|---|---|--|----|
saintanthoine ne lor uoltmieotro ier	----|-------|-|--|---|--|----⌫--|
ainzlordi st	---|--|--⌫-|
alezuos enet bie nsachiezqu e	---|--|-|-|---⌫|------|--⌫|
uo strouerez	--⌫|-------|
lap ucelleg arieou	-|-⌫-----|-⌫---|-|
mor tenusn e	---⌫-|--|-⌫|
doit uenira mapo uertene ama	---|----||-|--⌫----|-||-|
humilitepor	-------|--|
tel cho se quar	--|---⌫-|---|
mi s ericordene	--⌫-⌫-------|-|
fa iremesla pit ieznostre	--⌫--|--|-|---⌫--|-----|
seignor lofa it et don ne	------|-|--⌫-|-|---⌫-|
etno n p orquantcelleporcuiuos	-|--⌫-⌫-⌫------|----|--|--|--|
requerezaie eleest	-------|--|--|--|
deliure de lanferm eteparses	------|-||------⌫--|--|--|
proie resausi distsainz anthoines	-----⌫--|---|---|----|--------|
etlors s enalerentlimoinesa	-|---||-|------|-|-----||
saintparn uries i	----|----⌫---|-⌫|
trouer ent	------⌫--|
la pucellegarieetmondee des a do lor	-|------|----|-|-----|-|-⌫|--⌫--|
pereetlam ere	---|-|-|-⌫--|
senuonte sleescentetdeme nant	|-|---|-⌫--------|-|----⌫---|
g rantioie	-⌫---|---|
apres ce nesaiquanzio rz	----|-|-|--|----|--⌫-|
que duifreres murent	--|--|-----|-----|
cont re e poralerau sainthomesicon il	----⌫--⌫|--|---|-|----|---|-|--|-|
aloie nttotela uoie	-----⌫-|---|-|---|
si fure ntsicontra int de lagr ant	-|----⌫-|-|------⌫--|-|-|--⌫--|
chal oretdesoifet d el	----⌫-|-|-|---|-|-⌫||
que li uns enm orutliau ltre	--|-|--|-|-⌫---|-|--⌫---|
sec ocha io stecelui	-|-⌫---|--⌫--|----|
terrequin atendoit	----|--||-------|
autr e chose q ue	----⌫|----|-⌫-|
lamortproc haine	-|---|----⌫----|
sain tanthoin e	----⌫|-------⌫|
mon taigneac elehore siapela	---⌫-----||-⌫--|---|-|----|
moult isn ellement	----|---⌫-------|
yymoinesquialui	-|-----|--||--|
estoientuenuadonc par	-------|---|----|--|
au enture si	--⌫-----|-|
lor comm a ndaqui tost	--|----⌫-⌫--|-||---|
prissent unuessel plaind	-------|-|-----|----||
sisenalassentla	-||-|-------|-|
droiteuoieuers	-----|---|---|
egypte s ilo r	-----|-⌫|--⌫|
d ist quey y	-⌫--|--|-⌫|
uenoientladontl i	-------|-|---|-⌫|
estoitmorsetaleza nostre	-----|---|-|---||-----|
etsil ne sespletoient	-||-|-||----------|
au tres moroit ausi	--⌫---|-----|---|
etc edistil	-|-⌫|---|-|
mefuoredemostré	-|-|--|--------|
parno st reseig nor	--|--⌫--⌫-|----⌫--|
oroiequ antilotceditlidu i	----|--⌫--|-|-|-|--|-|--⌫|
moine is nelem ent	----|--⌫-----⌫--|
trouerentcelui	--------|----|
e stoite tl autre quiencor	-⌫----|-⌫||----|--|----|
lors enfoirentlo	---|--------|-|
mort etlautre	---|-||----|
abeureren tpuis repa rier ent	---------⌫|---|----⌫----⌫--|
ari re etlomene ren t	---⌫-|-|-|----⌫---⌫|
compaign ieetb ie nsa chiez	--------⌫-|-|-⌫--⌫|--⌫----|
oucilestoit morztresqua la	-|--|-----|---|-----||-|
montaigneousa intanthoines	--------|-|--⌫--|--------|
estoitauoitzz boneiorneeet	-----|----|-|---|-----|-|
cefu bia u smiracleque nostr esire	-|-|---⌫-⌫|------|--|-----⌫|---|
demostr a a lui	-------⌫||--|
uneautrefoi zauint	--|----|---⌫|----|
anthoines estoit enla	--------|-----|-|-|
montaign e	--------⌫|
regardasodainnem entuers	------|---------⌫--|---|
ciel si uitlade fore aler une	---|-|--|-|--⌫---|---|--|
amedont liangl e menoien t	--|---|-|----⌫|-------⌫|
ioi e et quant	---⌫|-|----|
il leuitsi	-|-|--|-|
tozesbaizsifist	--|-----|-|---|
sesoroisons a	--|-------||
nostre seignorquilli	-----|------|-|-|-|
d emostr astparsadocor	-⌫------⌫--|--|-|----|
amees toit decuilia nges	--|--⌫---|-|--|-|-⌫--||
esleescoienttantost	-----------|------|
uintlauoiz	---|-|---|
li distque	-|---|--|
l i ameam oslo moine	-⌫|--|--⌫-|-|----|
arestéetdemoréen la	------|-|------|-|-|
contreed e	------|-⌫|
cilamos estoithomdegrantaage	--|---|-----|--|-|----|---|
et tottens auoitdemene ́	-|--|---|----|------⌫|
s ainte uietressanfance	-⌫----|--|---||------|
etyyiornees auoitdenittrelaou	-|-|------|----|-|-----|-|-|
ila uoitmaint iuques	-|-⌫---|----|-----|
sa i ntanthoine	--⌫-⌫-|-------|
e stoit en	-⌫----|-|
montaignequant limoinequi	--------|----|-|----|--|
esto ien t	----⌫---⌫|
illuecuirentsaintanth oine	-----|-----|----|----⌫---|
esmeruillie rent elmenieresi	-----------⌫|-|-⌫-|------|-|
liproieren tqui	-|--------⌫|-||
lor deistpor	--|----|--|
il s esmeruil loitet auoitioie	-||--------⌫---|-|----|---|
eti llor distporqu oi amos	-|-⌫|--|---|--|--⌫-|---|
e stoit orendro itdepar tizd e	-⌫----|-------⌫-|-----⌫--|-⌫|
cestsi ecle et alez	---|--⌫---|-|---|
enrep osparmenable	-|---⌫-|---------|
etenioieorsuos d irons	-|-|---|--|--|-⌫----|
unmi raclequiunefoizauint a	-|--⌫----|--|--|---|----||
sainzhom amo s	----|--|---⌫|
