s eignoursoez chancon	-⌫-------|--|------|
uo usnousampi riez	--⌫-|---|----⌫---|
ie uousdiraileuor maisque susuous traiez	-|---|----|-|--|------|--|---|-----|
l a ue ritedirai etanp ais n ouslaisiés	-⌫|--⌫---|----|-|-|-⌫--|-⌫--|-------|
si reditguinemans or u oustraezan	--⌫-|--|--------|-|-⌫--|----|-|
pechieferiez	-----|-----|
grantsemeplus	----|-|-|---|
conlifelonsiudasuousiestesmaint enus	--|-|-----|----|---|-----|-----⌫---|
qui damedeiuandiau felonsmesc re us	--|------|----|-|-----|----⌫--⌫-|
ueez cicestualet quioumoiest	---|-|---|----|--|-|--|--|
cer tesil est	---⌫--|-|--|
bon l eu issus	--|-⌫-|----|
iladeson paragedouze contesouplus	-||-|--|-----|----|-----|-|---|
p eresd ebiauuaizqu i	-⌫---|-⌫|-------|--⌫|
anlacort c harlemainefu	-|-|---|-⌫---------|-|
fo rment ir ascus	--⌫----|--⌫----|
tozba r ons dotezetquenauz	--|--⌫-⌫--|----|-|------|
etaladei requerr ebiena cinc	-|--|--|-------⌫|---||---|
auecluianala unstrait es	---|--|-|--|--|-----⌫-|
ua ndi lec omme fel aspaie nsouas tur s	--⌫--|-|-⌫---|--|-|----⌫-|-|-|---⌫|
puisouttan t	---|--|---⌫|
espl oitiéca pa ris	----⌫-----|||--⌫--|
tantdonacharlema ine or et a rgentfondu	---|---|--------⌫--|-|-|-⌫----|----|
l ada meait	-⌫|--⌫-|--|
espouseeetdebiauuai z estdus	-------|-|-|-------⌫|--|--|
c estu eu til mo rts eda medexn efut	-⌫---|--⌫|-|--⌫-|-⌫|--⌫----|-⌫|--|
maisie lanafoiet	---|-||-||--|-|
s eliatolu	-⌫|-||---|
damedexlec on fonde	------|-|-⌫--⌫----|
quioucielfaituertuz	--|-|---|---|-----|
teztraitesenc es tsicle	--|------|-|-⌫--⌫|----|
por monsignoursui	--|--|------|--|
ie fors doupaisissus	-|---|--|---|----|
orqueromessignor	-|-------|-----|
ousoiensretenu	-|-----|-----|
etlipreuozrespontquant l es	-|-|-----|------|----|-⌫-|
a antand us	|------⌫-|
cer tes fa it i lgloton maluous est auenu	---⌫--|--⌫-|-⌫|-----|--|---|--|----|
ie s uisp reuoz hug on	-|-⌫--|-⌫----|---⌫-|
que auezmanteu	--|---|-----|
seroisuous ia t rainezetp an du	-----|---|-|-⌫-----|-|-⌫--⌫-|
li preuo zdeu irso nci futfel	-|-----⌫|-|-⌫----⌫|-|--|--|
ile r tpreuoshu go n dede	-|-⌫-⌫|-----|--⌫--⌫|-|-|
soiti lmal dis	---|-⌫|---⌫--|
qua nt cilotque	---⌫-|--|-|--|
sim o rteil	-|-⌫-⌫----|
ilescriecesianscleremant ahau t	-|-----|--|---|--------||---⌫|
prenez moices	-----|--|--|
gloto n sque uo us	-----⌫-⌫|--|--⌫-|
meimeslipreuozlor	-----|-|-----|--|
estpremiers saliz	--|-------|----|
etsasitgu inem antparlesche uouzle	-|----|--⌫----⌫--|--|--|---⌫---|-|
qu antmil esuoit sonmatre siforment antrep ris	--⌫--|---⌫-|---|--|----|-|------|------⌫--|
aidi er iaianragerait uis	----⌫-|--|---------|--|
il hauce l ep oigdestre	-|----|-⌫|-⌫--|-----|
uer s lepreuoitc	---⌫|-|------||
teilcopliadonn ei	---|--|-||----⌫-|
deuanta nmile	-----|-⌫--|-|
quetres parmilabouche li	--|---|----|-|-----|-|
qu illicueuredeuantet la b o uche	-|-|-|-----|-----|-|-|-⌫-⌫---|
ansoufeuest chaoiz	--|-|--|--|-----|
li traitesbaud r is	-|------|----⌫-⌫-|
ces iansiont	--|---||--|
lesontbiensa sis	--|--|---|--⌫--|
les pieslor ontliezetangranz beuesmis	--|---|--|--|---|-|-|----|----|--|
etcilan iurede i et	-|--|-|---|--⌫|-|
lecor s sai ntde n is	-|---⌫|---⌫-|--⌫-⌫-|
q ue seront auforche sdema inpanduetmis	-⌫-|-----|-|------⌫|----⌫-|----|-|--|
auforcheslesan moignentquant i l	-|------|--|-|-------|----|-⌫|
fuesc larci	-|---⌫----|
l o rsplore	-⌫-⌫-|----|
guinem a nsetmileslipetis	------⌫-⌫-|-|----|-|----|
adeumoutd oucem entaregraterc estpris	|--|---|-⌫-----⌫--||-------||--|---|
a hihuguest raitesde d eisoez	-⌫-|-----|-⌫-----|-|-⌫-|---|
seie peuse	-|-|----|
uiurede cefusiezt oz fiz	----|-|-|-----|-⌫-|--|
la testeuous	-|----|---|
coupa sseaco mplis	-----⌫--|---⌫----|
car ilnesthonforsdei qui tan	--|-||--|--|---|--|--||-|
pe utgari r	--⌫-|----⌫|
ahi orss ir e	--|--|-⌫--⌫|
per esf ra nsduspoosteis	---⌫-|-⌫--⌫-|--|-------|
neu o usporrai	-|-⌫-⌫-|-----|
aidiertantsui iepl usmarris	-----|---|--|-|--⌫-|-----|
orimor rezgloton ce	-||---⌫--|-----|-|
loraditbau dris	--||--|---⌫---|
uoschiest ramet ra hugue des ui ietoz	--|----|-⌫-----⌫-|----|-|-⌫-|-|--|
ado nco ut	---⌫-|-⌫-|
auirsonmeru illousduel	|-----|----⌫-----|---|
ploroentpor milo n ces	-------|--|----⌫|--|
pu cellesd epri s	--⌫-----|-⌫|---⌫|
siest bi ausetgrans	-|--|--⌫--|-|----|
et esch euis	-|----⌫---|
etditlunea l	-|--||--|||
au tresire	--⌫--|---|
sainsesperis	----|------|
quelmalequel da mage etquel	---|--||---|--⌫---|-|---|
pich ie aci	----⌫-||-|
seunste zdamoisi au sestpanduzethonnis	-|--|--⌫|-------⌫--⌫|--|-----|-|-----|
moutparfuli preuoz	---|--|-|-|-----|
f e letdemuserez	-⌫-⌫|-|--------|
outh erbergiez etpordeu ostelez	--|-⌫--------|-|--|--|------|
or les anm oign eausforcheslitraitesprouez	-|--|-|-⌫----⌫|--|------|-|------|-----|
totco n tre uauluirs o nan	--|--⌫-⌫---⌫---|----⌫-⌫|-|
lapreuotese	-|------|-|
consoent deliuré	--|----|-------|
et lip reuozaniureconhond esmesur ez	-|-|-⌫----|-|---|--|--|-⌫-------⌫-|
foiqueied o itozmesami sporter	--|--|-|-⌫-⌫|--|--|---⌫|-----|
iamaisnem ain gerai c es	-----|-|-⌫---⌫----||-|
aurai afole z	----|-----⌫|
etpanduzparlesgorge se	-|-----|--|--|-----⌫||
ahonte liurez	|----|-----|
ca rhugueslimienss ir esestparausuergondez	--⌫|-----|-|----|-⌫--⌫-|--|--|--|--------|
moi meammeso nt	--|------|-⌫-|
iluilainnem ant mené	-|---------⌫--|----|
quantplusl es	----|---|-⌫-|
lair aiuiures	----⌫-|----||
aieiemaldehe	--|-|------|
droitasforchesles	----|-|------|--|
moignentci ont lesiauzbandez	-------|-|--|--|---|-----|
a doncleseus t morsho nn i s ouafolez	-⌫---|--|---⌫|---|--⌫--⌫-⌫|-|-----|
q u antunsf ran suauaco rsquiiertdegrantbon te	-⌫-⌫--|--|-⌫---⌫|------⌫-|--|---|-|----|---⌫-|
uirson bien trenteans	-----|---|-----|--|
de l aco rt charlonfupartis etdeseurez	-|-⌫|--⌫-|------|-|-----|-|-------|
por u nfranc cheualier quipor	--|-⌫|----|--------|--|--|
l uifutuez	-⌫-|-|---|
ma isdusorsdebiauuiaz la n auoitrespité	--⌫-|--|--|-|-------||-⌫|----|-------|
ta n tanpriach arlon quei lf utrespit ez	--⌫-⌫|-|---|--⌫----|--|-⌫|-⌫-|------⌫-|
re uitlef ilque ci	--⌫--|-|-⌫-|--|-|
estancomb rez	--|------⌫--|
iainemorra s an slu i ceditpar	--|-|----|-⌫--⌫|--⌫|-|--|--|
c eq uedusors li fit li iert	-⌫|-⌫-|--|--|-|--|-|---|
gerredon né	--------⌫--|
baudriletraitor	-----|-|------|
anauoit apelé	-|----|-----|
sirepreuoz dit	---|-----|--|
ilamoi en antandez	-||--|-|-------|
s e ne fero iz uousiai cecror em	-⌫|-|----⌫-|---|--|-|----⌫||
queuou ssanmon	--|---⌫|--|--|
signoriceshomespandez	-----|---|----|-----|
caril uo u s a nsauroitm i enesciantm algr e	--|-|--⌫-⌫|-⌫|------|-⌫-⌫-|------|-⌫----⌫|
c emes sirese storesanu ers	-⌫|--|----|-⌫-|---|---⌫--|
anco r pourabie n	----⌫|----|---⌫|
estre lun al autreacordé	----||-|||----|------|
seu ousma n	-|-⌫--||-⌫|
u olezcrore un respitanpren e z	-⌫---|----|-|-----|-|----⌫-⌫|
s i anuoiiés uosbr iesa bauuaizla citei	-⌫|--------|--|--⌫--||------|-|----|
ahugonmon signor	|----|--|-----|
lefrancduch o noré	-|----|--|-⌫-⌫----|
qu iluoudradecesfarequean prison	-|-|-----|-|--|---|--|-|-----|
seuous lesdestrur oisou ce	-|---|--|-------⌫--|-|-|
l itrametrez	-⌫|--------|
lor san pouro i s o irtoutescesuolantez	---⌫|-|-----⌫-⌫|-⌫-|-----|--|-------|
etneserois u erslui	-|-|-----|-⌫--|--|
de nea n tancombrez	-|---⌫-⌫|--------|
etlipreuozlena duremantmercié	-|-|-----||-||-------|------|
parla foiqueu ousdoi	--|-|--|--|-⌫--|--|
bonconcoilmedonnez	--|------|-|-----|
ai nsse rail fait con lauez deuisei	--⌫-|--⌫-|-|---|--||---|------|
ariereslesmetr aiquant	------|--|----⌫-|----|
u ouslemel ouez	-⌫--|-|-|-⌫---|
euou slesdeusbarons	|---⌫|--|---|-----|
arieresretornez	------|-------|
si les ontd es loiezet	-|--|--|-⌫--⌫----|-|
lesi ausxxx	--|-⌫--|--|
puisles o nt an grans bu esetan	---|--|-⌫-|-|----|--⌫-|-|-|
aniausfer mez	-----|---⌫--|
anun soliersor terrela	-|-|-----|--|----|-|
leso ntan terrez	--|-⌫-|--⌫-----|
ill ecneuo entillu mierene	---⌫-|-|--⌫--|-|--⌫----|-|
etbaudr islipreuozan	-|-----⌫-|-|-----|-|
aformentiure ́	|------|----⌫|
que iln egoterontne d ep ainne	--|-|-⌫|-------|-|-⌫|-⌫--|-|
ai nslesauerahugonetbali ezet liur ez	--⌫-|--|----|----|-|----⌫-|-|----⌫-|
lapre uot e resp ont coe mantetsouef	-|---⌫---⌫|----⌫--|---⌫---|-|----|
pardie utraites faustrop anaue z	--|---⌫|------|---|---|-|---⌫|
queceans les	--|----|--|
auiezpora mo rdeimené	----|--|-⌫--⌫|--|----|
or les a uezlieze tanpr is ongité	-|--|-⌫--|---|-⌫|-|--⌫--⌫-|----|
ilauronta mangier	-|-----||------|
siqueiainonsaur ez	-|--|--||-|----⌫-|
seiepuises plotiersianaiez malgre	-|-|---|--⌫------|-|-|---|-----|
mou testoit l apre ote	---⌫|-----|-⌫|---⌫--|
fran che dame iantis	----⌫--|---|-----|
e t amadeu forment leroideparadi x	-⌫|--|--|------|-|--|-|------⌫|
ans achambre an	-|-⌫|------|-|
antraco emantetseri	----|--⌫----|-|---|
lap lainchepardesus	-|-⌫------|--|----|
detrainchaetmalm it	---------|-|----⌫-|
unpartusiafaitde deuspie s et	-|-----|||---|-|---|---⌫|-|
ilec endroit	---|------|
estoentlipr esonniermar ri	------|-|--⌫-------|---⌫-|
milesplore	----|----|
def ainlid am oisiaus iantis	-|-⌫--|-|-⌫--⌫------|-----|
guinemansle conf orteantreces b rasl e prit	--------|-|----⌫---|----|--|-⌫--|-⌫|---|
netesaiquedonner se	-|-|--|--|-----|-|
dam edex mait	---⌫---||--|
loitcu ig ra nt	|--|--⌫|-⌫--⌫-|
pi eti esan prit	--⌫---⌫-|-|---|
balemantlesapele la dame	-------|--|----|-|---|
ne uouses maiezmiefranc	-|---|--⌫----|--|----|
cheu alier iantil	----⌫----|-----|
ieuousa i herber gié	-|---|-⌫|------⌫---|
pordeudeparad is	--|--|-|-----⌫-|
niauroismals anmoi	||-----|--|-⌫-|--|
parfoileu ous pleuis	--|--|-|-⌫--|-----|
iaiceroisdel i uré seles cleis puistenir	--|-----|---⌫-⌫---|-|--|----|---|----|
dameditguinemans de deicinccensm er cis	---|--|--------|-|--|---|---|-⌫--⌫--|
amaingieruousdonr aimalgreiana itbaudris	|-------|---|----⌫-|------|-|-⌫-|------|
leconfondequeanla	-|-------|--|-|-|
croisfut mi s	----|--|--⌫|
e tla bonepre uote cuii esusbenei	-⌫|-|---|---⌫---|--|-⌫---|----|
l or porta amangi eretpain	-⌫-|----||-----⌫-|-|---|
etch are t	-|--⌫-|-⌫|
etcilontbienmai n giéqui	-|--|--|---|---⌫-⌫---|--|
d e faimsunt es quis	-⌫|---|---|--⌫---|
oezdelapreote	--|-|-|-----|
puitb eneir	---|-⌫----|
quantuintdepremiersomequi totfu	----|---|-|------|---|--|--|-|
li p reuozets agent cestoentandormi	-|-⌫----|-|-⌫|---||------|------|
et ladamesan uaason	-|-|---||-|-||--|
litouilgit	--|-|-|--|
l es clez luia amblee z	-⌫-|---|--||------⌫|
chieflesprit	----|--|---|
uen ueest aucelier	---⌫-|--|-|-----|
oucilestoent pris	-|--|------|---|
etdeferment lesbues ou	-|--------|--|---|-|
ilest oen t mi s	-|---⌫---⌫|--⌫|
ortotced itladameleuez suspelerin	-|--|-|-⌫-|-|---|----|--|------|
fuez uous totdeci si ueudiésl e pais	---|---|--|-|-|-|-------|-⌫|---|
quecetantatandie zq u e iorsfu	--|-|---|-------⌫|-⌫-⌫|---|-|
escla rdis	-----⌫---|
neuous ga roit toz lors qui	-|---|--⌫---|--||--|--|
soi t ius qu	---⌫|---⌫-|
quenesoie z anduidecopéetocis	--|-|----⌫|----|------|-|---|
qu elimess an	--⌫|-|--||-|
ierandro it midi	--|-----⌫-|---|
qui lestaleznoncierhug onle ma leis	--||--|---|------|---⌫-|-|--⌫---|
ancor ces tlipreuozdurement repantis	----||--⌫|-|-----|-------|-------|
quil ne uou sa desie rafolez	-|-|-|---⌫||--|--⌫|-----|
guinema nsd edeucinc	-------⌫-|-⌫|--|---|
censmer cis	---|---⌫--|
ilissent dou palais c ontreuaulces ont mis	-|-----|--|-----|-⌫--------|-|-⌫--|--|
etlabonnepreu oten esa misa n	-|-|----|----⌫--||-||--|-⌫|
ainslorfi t ancell erdeusbon s	---|--|--⌫|------⌫-|---|---⌫|
cheuaxdepris	-----|-|---|
si lesac omman dei au roide	-|--||-⌫-----⌫--|-|--|-|
da meditguinemans dex	--⌫-|--|--------|--|
qu i lemondefit	--⌫|-|----|--|
uous andointle	---|-|----|-|
meriteansonsaint paradix	-----|-|--|----|------|
gui nemanscere garde si	---⌫-----|-|--⌫----|-|
aunpeil sasi	|-|---|---|
et ch aueze tsifuplanteis	-|--⌫---|-⌫|-|-|-------|
m ais aupas ser	-⌫--|-|---⌫--|
pont illecl o r meschei	---|----|-⌫-⌫|------|
enqui ontancontréu negaitebaudri	----|--|--------|-⌫-|----|-----|
qui estescheualie r gard ezn	--|----|--------⌫|----⌫-||
i aitmaint i	|--|-----⌫|
nous sommesnei	---|-----|--|
defra nceguinemans respondi	-|---⌫--|--------|-------|
etalonsa saint iaq uel	-|----||----|---⌫-||
apotre reque rir	-----|-----⌫--|
an no ndeidi tlag aiste uousiauez	-|--⌫|--|--⌫|-|-⌫----|---||---|
ai n zesteztraitordanhugon d eberri	--⌫-⌫|----|------|--|----|-⌫|----|
ilaleuélanois eet	-||----|-|----⌫|-|
agité uncri	|----|-|--|
a igenti spre uozconestes an d ormis	-⌫|-----⌫|---⌫--|--|----|--⌫-⌫----|
li traitorhugoni as	-|------|----|-⌫||
a nu eulentfoi r	-⌫|-⌫-----|---⌫|
seila nsin cs	-|-|-⌫----⌫||
an uontuou se stes mal balis	-|---|---⌫|-⌫---|--|----|
quant lantandi milo n adeusponsle sasi	----||------|----⌫||---|---|-|---|
parmout fi ermaltalant aterre	--|---|--⌫-|--------||----|
etli pre uozbaudri zlan osse	-|-|---⌫--|------⌫|-|-⌫---|
sisallisusanpiesl au tregente st ormi	-|----|--|-|---||--⌫--|---|-⌫--⌫---|
etcorurentasarmessifur entesbai	-|-------|-|----|-|---⌫--|----|
e tlipreuo z	-⌫|-|-----⌫|
m ontasor undes trierforn i	-⌫---|--|-|---⌫----|----⌫|
et uest iu naubert paruoir	-|----⌫|-⌫|-----|--|---|
le uousafi	-|---|--|
et par de suso ut ceint unbrancdacier	-|--|--⌫--|-⌫-|----|-|----||----|
deuanttrestous le s au tres l e c heminporsiugui	-----|-------|--⌫|--⌫---|-⌫|-⌫----|--------|
etlibonschatel ains	-|-|---|------⌫---|
donuous auez o i	--|---|---|-⌫|
uait c o ranta	---|-⌫-⌫---||
lacloche quantla nois ean t an di	-|-----|----|-|----⌫|--⌫-⌫--⌫-|
etsitranc he lacordeande ustronc onspar mi	-|-|-----⌫-|-|----|-|--⌫-|-----⌫--|---⌫-|
que n epuissesonerne	--|-⌫|-----|----|-|
lauille estormir	-|----|-------|
totpor l a mo r d orso n qu i	--|--||-⌫--⌫||----⌫|--⌫|
demorlegari	-|--|-|---|
gerredonnerliuiautce	----------|-|----|-|
quelidu sl i fit	--|-|--⌫|-⌫|--|
nonrandiaup e re	|-|----|-|-⌫-⌫-|
o r lerandraiaufil	-⌫|-|------|-|--|
prodomm ece rt	-------⌫|--⌫-|
paruer tele u ou sdi	--|---⌫-|-|-⌫--⌫|-|
ilnaitpasson se ruise perdu n	-||--|--|--|--⌫----|----||
etguinemanset milesse suntmis	-|--------|-|----|-|---|--|
l ipr euozlescon siutcontreualun che m in	-⌫|--⌫---|--|---⌫---|--------|-|---⌫-⌫-|
pardedefo rsuir sonauoit	--|-|----⌫-|---⌫--|----|
quiestoitplantezdant esetdol iu iersfloris	--|-----|------||---⌫-|-||--⌫--⌫---|-----|
cefuaumoisdema iqueli ga usont	-|-|-|---|-|--⌫|--|-|--⌫|---|
quel arouseetli glaisetli	--|-⌫|----|-|-|----|-|-|
prei renue rdit	---|-----⌫---|
esbanoier ceuont	--------|-|---|
pucellesetme schin	-------|-|--⌫----|
etbourioiz etbori oises ligrant et	-|-------|-|----⌫----|-|----|-|
ciliugleor i fontdechanterg rantdelit	--|------||---|-|------|-⌫---|----|
estez uous lepreuot	----|---|-|-----|
quiguinemantchosi	--|--------|----|
licuuerslore sc rienan irezpas e nsi	-|-----|--|-⌫--⌫--||-|---|--|-⌫--|
sachiésque	-------|--|
nuleriensne uous puetgaranti r	---|----|-|---|---|-------⌫|
m afamede strurase iela puistenir	-⌫|---|--⌫-----|-|-|-|---|----|
quigaranti	--|------|
saf orsuous ait mis	-|-⌫--|---|--|--|
anduis eroishugon anuoiéet tramis	----|-⌫----|----|------|-|-----|
pardeuditgu inemansuousiaue zmanti	--|--|--|--⌫------|---||---⌫|----|
ha uce lepeildechanea deusm ainsle	--⌫--|-|---|-|----||---|-⌫---|-|
lepreuot uaferirquil	-|-----|-|----|-|-|
neles parnia	-||--⌫-----|
p armi lechief	-⌫---|-|----|
desu ssibienleco nsiugui	----⌫|-|---|-|--⌫------|
quelecerueil li u ole	--|-|------|-|-⌫--|
sansau trecontredit	---|--⌫--|--------|
etambe duilieulli	-|----⌫--|-|--|-|
sont douchief	---|--|----|
etlisansdecorut	-|-|---|------|
quiaterreespandit	--||----|-------|
licors li chiet des arcons etlarmes	-|---|-|----|--|-----|-||---||
a donc i sontuenusihomeetsiami	-⌫---||---|---|-|---|-|-|--|
lepreuoi ttreu uentmortsiontleuélecri	-|------⌫|----⌫---|---|-|--|----|-|--|
lou cors anon t	--|---|-|--⌫|
port eisi lontanc eueli	----⌫-|-||--|---⌫----|
e t l ibarons anfuent	-⌫|-⌫|----||-|----|
cont reualun	----⌫----|-|
audepar t irduntrertre	-|-----⌫-⌫-||-|------|
n esporrontcil chosir	|-|------|--|-----|
nonque puis neles uirentariersont	|----|---|-|--|-----|----|---|
celiourfut lipr euo zoumontieranfois	--|---|--|-|--⌫---⌫|-|------|-----|
quan tlesnoualesoitc o ins h ugue sde	----⌫|--|------|--|-⌫-⌫--|-⌫----⌫|-|
sachiésde uerite meruillousduelan fit	-------|-|-----|---------|---|-|--|
que ces paransestoit	--|--|-----|-----|
etcesgermainscoisins	-|--|-------|------|
m ai s desquecil s anuont	-⌫--⌫|-----|--||-|---|
quantil ne out le filalame re s	----|-|-|--|-|--||-|--⌫-||
celior lauo it batu ean	--|--||---⌫-|----⌫|-|
daglentiersetdespinesparto tle cor sde	|---------|-||------|--|--⌫|-|---⌫|-|
an p lusdetrente l eusl iclerssa ns	-|-⌫--|-|-----|-⌫--|-⌫|----|--⌫-|
ne lalaissamaingierdedeus ior setdemi	-|-|-----|-------|-|---|---⌫|-|---|
etladuch es se p l o reet c r i e	-|-|----⌫--⌫-|-⌫-⌫-⌫-|-|-⌫-⌫-⌫|
ai or sd eb iauuaiz	-|--⌫|-⌫|-⌫------|
sir econ maruous	---⌫|--|--|---|
qu eldu el	--⌫-|--⌫-|
dommagequantie	------|----|-|
apres uousu if	----|---|-⌫-|
maismouttresbienmeuait quantmes fis	---|---|---|---|-|---|----|--|--|
s anuaituis	|-|---|--|
e tc il uitlongem ent huguesbie n so ezfiz	-⌫||-|--|------⌫--|-----|---⌫|--⌫-|--|
iluoust o uralatestepar lecorssa int	-|---|-⌫-⌫--|-|----|--|-|---|--⌫--|
h uguest e ild uelporpou nanrage	-⌫----|-⌫-⌫-|-⌫--|--|--||-----|
etguin emans emileso nt	-|----⌫----||----|-⌫-|
tant faitet	---|---|-|
etpass en tmons etuaus	-|----⌫--⌫|---|-|---|
etb oisetplaseis	-|-⌫--|-|------|
ettrespa ssent	-|------⌫----|
cesplain sces	--|-----⌫|--|
tertresc es	------|-⌫-|
apieregort sanuindrent	|--------||-|-------|
toutdroita un lundi	---|----||-|----|
orsanu aguinemanssa	-||-|-⌫|--------|||
sauo e acolie	-|--⌫|-----|
quant i l sonteschapé	----|-⌫|---|-------|
damede anm erci ent	-----|-|-⌫----⌫--|
etpasse nt	-|-----⌫-|
piere gort celle c itegarnie	-----⌫---|----|-⌫--|-----|
puisontp ass e ́lestollepampelun ela riche	---|--|-⌫---⌫-⌫||------|--------⌫|-|----|
ronc euauet	----⌫---|-|
esp ineci antrentan galice	---⌫--|-|------|-|-----|
asaintiaquel apotrelo r	|----|----||-----|--⌫|
offerande ont	--------|--|
deq uiauporde	|--⌫-|-|--|-|
sare sterent	|---⌫------|
la t reuuentch eu a lier s qui	-|-⌫------|--⌫--⌫-⌫----⌫|--|
sontdenorma n die	---|-|-----⌫-⌫--|
ch eualierfurentbonforquesotnonli	--⌫------|-----|--|------|-|--|-|
ansodees anuontanla	-|-----|-|---|-|-|
terre de bile	----|-|---|
a unroi crestoi enqui auoitno nbasile	|-|--|-------⌫-|--|----|--⌫|-----|
c argrantge rrei auo i tysore s	-⌫-|----|--⌫--||---⌫-⌫|-----⌫|
deconibr e	-|------⌫|
quiorsondeb iauua iztenoit ansabalie	--|----|-|-⌫-----⌫-|-----|-|-|----|
ladedanss acite ianla	-|-----|-⌫|----⌫|-|-|
chartre terr ine	------|----⌫--|
cha cun ior	---⌫--|--|
ledestruit et si lo uco ntralie	-|-------|-|-|--⌫|--⌫------|
lidusreclamedeulefilsainte m arie	-|--|------|--|-|--|-----|-⌫---|
et regratemilonet safa me	-|------|----|-|-|--⌫-|
quetint an tei ldolorhug u e scui	--|---|-|---⌫|----|---⌫-⌫-⌫|--|
selidus l esaust ia	-|-|--|-⌫|----|-|
n an portaitlauie	|-|------|-|--|
dam edex lesocoreetlianuoitaie	---⌫---|-|-----|-|-|-----|--|
sife railce c uit	-|--⌫-|-|-|-⌫--|
s i nedemo rramie	-⌫|-|----⌫--|--|
tant err a	---|---⌫|
guinema ns lipro uz etlihardis	-------⌫-|-|---⌫-|-|-|-----|
etauec luimil on lidamoisiaus de pris	-|---|--|---⌫-|-|---------|-|---|
de ciaupo rtde	-|-|-|--⌫-|-|
m erne fontare s te is	-⌫-|-|---|---⌫-⌫--⌫-|
la trouerentforcon dontuo usauezo i	-|--------|-----|---|--⌫-|---|-⌫|
ouluicent cheuali erscourageuz et har d is	-|--|---|-------⌫--|--------|-|---⌫-⌫-|
e t ont h auberset hau mesetescusdor uoutis	-⌫|--|-⌫-----|-|---⌫--|-|----||-|-----|
tra nchanset	---⌫-----|-|
d estriersarabis	-⌫-------|-----|
etsu ntdegerroierespr etei etgarni	-|--⌫-|-|-------|----⌫---|-|----|
gu inemans l e ss alue	--⌫------|-⌫-⌫|-⌫---|
de deuquinementi	-|--|--|-|----|
etf o r quesli	-|-⌫-⌫-⌫---|-|
demandedonestezbauzam is	------|--|----|---|--⌫-|
etcilio nes	-|--|--⌫--|
ualesqui a ci clerleuix	----|--||-|---|-|--|
e dexconil resamble	|--|--|-|-------|
uniantil ducde pris	-|-----|--|-|---|
quiauoitnonorsonnezfu	--|----|--|----|--|-|
d e biauuoisin	-⌫|---------|
te noi tami en sn ormendoi setponti s	--⌫---⌫|---⌫--⌫|-⌫--------⌫|-|-----⌫|
alui fudunege rredeus	|--|-||--|--⌫--|---|
anstozac ompl is	--|--|--⌫----⌫-|
qu a ntilauoitlage rr eafloclar t	--⌫-⌫-|-|----|-|--⌫--⌫||-------⌫|
soudoiersf uasarmeset ils ime det int	--------|-⌫|-|----|-|-|-⌫|-|---⌫--|
etme d on na a se zpalez	-|-|-⌫--⌫-|-⌫--⌫|----|
etosteri ns	-|------⌫-|
ains netrouuaihomequ esi	---|-|------|---|--⌫|-|
bienmefeit	---|-|---|
sire d itgui nemanspar	---|-⌫-|---⌫-----|--|
m onchiefc est cesfiz	-⌫-|----||--|--|--|
cestuianiandraors debiauuaizlii antis	-----|-------|--|-|-------|-|-⌫----|
i l ala deu requerr ecinca nsa e t	-⌫|--|--|-------⌫|---|-⌫-||-⌫|
oul uim ena	-|-⌫-|-⌫--|
hugonunt raito r menti	----|-|-⌫-----⌫|----|
cescomp eresestoit maisformentletrai	--|----⌫---|-----|---|------|-|---|
ille uandiausturs ce	-|-|----|--|---|-|
pui s reparaan franceli traites ma ntis	---⌫|-----|-|-----|-|------|--⌫---|
etuin t acharlemainele	-|---⌫||----------|-|
roide saint	--|-|----|
tantli donnabesansetoretarge nt	---|-|----|-----|-|-|-|----⌫-|
que lafa me ors on l i	--|-|--⌫-|---⌫-|-⌫|
donna e tpleui	----|-⌫|----|
lebiauuois	-|-------|
laterre etle po ntis	-|----|-|-|--⌫---|
ce stu ale t austhuguesafollé oumu rtri	--⌫-|-⌫---⌫|---|-----|------|-|--⌫---|
priso umoisil	---|-⌫|--|-||
an aisa if oi	-|-|--⌫|-⌫-|
orq uerommes signourquip ordeunou s ai t	-|-⌫-------|------|--|-⌫-|--|---⌫|--⌫|
e dexcea d i tforquesieuousanran	|--|-||-⌫-⌫|------|-|---|-|--|
damoisiausde bon naresne soiezxxx	---------|--⌫---⌫----|-|----|--|
iedeuei g ci uost rehon etma foi	-|-----⌫|-|----⌫-|--|-|-|--|
uouspl euiz	---|--⌫---|
uousfaudrai tantc oni e soe uix	---|------|---|-⌫-|-⌫|--|--|
ie etcilch e ualier qu euo us ueez	-|-|--|--⌫-⌫-----|--⌫|--⌫-|---|
nousuo us seruironstuitto t auostre p laisir	---|--⌫-|--------|---|--⌫||-----|-⌫-----|
etserois cheual ier	-|-----|------⌫--|
seleu olezsofrir	-|-|-⌫---|-----|
an corlecomparrah ug ues	--⌫--|-|-------|-⌫--⌫--|
l i maleis	-⌫|-----|
siredit guinema ns dedeuc inccens	---|--|-------⌫-|-|--|-⌫--|---|
l orslouentunenefetdede nscesont	-⌫--|-----|--|--|-|----⌫-|-|---|
et li maronnier	-|-|--------|
ciglent les auirons on tpris	------|--|------|--⌫|---|
aucieletauses toillescorurentquinze	-|---|-|--|--⌫------|-------|-----|
tantqui lsuntariuéaiceluipais	-----|-⌫|---|-----||-----|---|
auportdebile oudex	-|---|-|---|-|--|
