p uisloradist qu	-⌫--|--||---|-|
ouilpaissoit sesberg er ies	-|-|-------|--|----⌫--⌫--|
enchanse t lora prinsa d i re	-|----|-⌫|--||----||-⌫-⌫-|
uostr e peres	-----⌫|----|
simetrestourne	-|-|---------|
so nuis ai ge nullesh ores	--⌫|---⌫--⌫-|-----|-⌫---|
ne me d aig nenesregarder	-|-|-⌫---⌫-|--|-------|
neo uiesu isonp ie t ourner	-|-⌫|-|--⌫|--|-⌫-|-⌫-----|
nostressiresfuauecmi	------|----|-|---|-|
uossaiu ésbien quelai	--|----⌫--|---|--||-|
etparyy foisil	-|--|-|---|-|
monseruise etretourné	--|------|-|--------|
et to uteu oies di euslipoissans	-|--⌫----⌫---|--⌫--|-|-------|
nemesueffre	-|-|------|
auoirn oiseman t	----|-⌫-------⌫|
quant disoit	----|-----|
les bestes seront	--|-----|-----|
diue rses atoisiauienttons	----⌫---||--|-|-----|---|
etenfantient di uersfouons	-|---------|--⌫---|-----|
quant redisoit tu	----|-------|-|
po urton lo ierq uontblanches pe s	--⌫-|--|--⌫--|-⌫|--|-------|--⌫|
lesberbistoutes	--|-----|-----|
fouonnient	---------|
touts bla ns	----|---⌫-|
fo onsetanfanti ent	--⌫--|-|-------⌫--|
queuosdiroiedieusa	--|--|-----|----||
toutuostr epere etma do nné	---|-----⌫|---|-|||--⌫---|
quan tlitans u intde	----⌫|-|---|-⌫--|-|
c onceuoi r	-⌫-------⌫|
asbe rbismesiexesleuai	-|--⌫---|--|--|------|
etsi reuisenmon dormir	-|-|----|-|--|-----|
berbisenuai r	-----|-----⌫|
et lesuoioieenfanter	-|--|-----|-------|
diuers faons	-----|----|
e t faonner	-⌫|------|
etl angres nostresignour	-||-----|-----|------|
iaco bf aitil	----⌫|-⌫--|-|
enmondormir	-|--|-----|
etie respon di uoime	-|-|------⌫-|--|-|
eti ladisttesiexeslieue	-|-⌫||---|--|--|------|
etuoibesteu niuersiere	-|--|----|-⌫---------|
qui engen rentdiu ersfaons	--|-----⌫---|---⌫--|----|
serontatoin	-----||--||
anmantirons	-|--------|
iaibie nue uquanque t	|-|---⌫|--⌫|------||
laban t e ssoires et mestrait	----|-⌫-⌫|-----|-|-------|
iesuilidieus	-|--|-|----|
quifuiap ers	--|--|--⌫--|
a toienterrede bet ehe	|--|-|----|-|---⌫--|
outula pierre oinsis	-|-|-|-----|-----|
q uant tuleuo u a moifeis	-⌫---|-|-|--⌫||--|---|
lieuedoncsuset	----|---|--|-|
sit an re ua en	-||-|--⌫-|-|
rac hel l ya res po ndu	---⌫--|-⌫-|---⌫--⌫--|
enrichesses don cnauo ns nous	-|--------|---⌫||---⌫-|---|
do nostrepereq uequesoit	-|-----|---|-⌫----|---|
en heretaigesiauonsuoir	-|--------|-|----|---|
n ec uidepasques oien ssi e nes	-⌫|-⌫---|--|--|-⌫----⌫|--⌫-⌫--|
maispou restranges n osma intienent	---|---⌫|--------|-⌫-|--⌫--------|
etdegasté	-|-------|
nosrichessesetdeu oré	--|--------|-|---⌫---|
ma isno stre sire a	--⌫-|--⌫---|---||
quequ anqu eauoi t	--|--⌫----⌫|----⌫|
liasostrait	-||-------|
quelchoseades	---|----|---|
q uanqu edi r aetsoiespres	-⌫-----⌫|--⌫-⌫|-|----|---|
iacob adieuobei a	----||---|---||
etaumatin mainse leua	-|-|----|---|-|---|
s esfilzfa nm ess amainie	-⌫-|---|--⌫--⌫-|-⌫|-----|
desu scham os a encroie	----⌫|----⌫-||------|
s es richessessabergeri e	-⌫-|--------|-|-------⌫|
demesopotanieguie	-|----------|---|
en laterred e	-|-|----|-⌫|
quanqueout aquisen u amenant	------|--|----|-|-⌫|-----|
deisaac enlamaison	-|----|-|-|-----|
labantondoitse sberbio ns	----|------|--⌫|------⌫-|
etrachel la fanme	-|-----|-|----|
sonpereambl a	--|---|----⌫|
zzcors toutdor	-|---|---||-|
iacob neuout	----|-|---|
on q uesiehir	--⌫-⌫--|----|
asonsoirequilsanfuit	|--|----|-|-||-|---|
que quanaloitzz messan	---⌫-|-|----|-|--||-|
a lab an qui lianonci é	|---⌫-|--|-||-----⌫-|
quantlitiers	----|-|----|
ioursfua iour nés	----|-|-⌫----⌫---|
eng alaadiertciltroués	-|-⌫----|---|--|------|
ous e sf re r es le	-|-⌫-⌫|-⌫--⌫-⌫-|-|
en montde galaadle	-|---|-|-----|-|
me snostres	--⌫|------|
si res liapert	--⌫--|-|----|
dormante t di stapert	------|-⌫|--⌫-|----|
gardelaban	----|----|
que neparle r	--|-|-----⌫|
contre iacob quou puit greuer	-----|----|-|-|---|-----|
iacob quisoutqueci l uenoit	----|--|---|--|--⌫|-----|
encontre lui so ntreft andoit	-------|--|--⌫|---|-⌫-----|
etlaban uinta	-|----|---||
iacob iac ob entenami	----|---⌫-|----||-|
po urqueenrepo ns	--⌫-|--|-|----⌫-|
tanfu isainsis	|-|--⌫-|-----|
mesfilles enmoignescom cha itiues	--|-----|--------|--|---⌫-----|
quep ar espeeseusses ra uies	--|-⌫-|-----|-----|--⌫---|
pour coitan	---|--||-|
fuis c onques nousou	---||-----||-|--|
n on q ues demontrern oum e uous	|--⌫-⌫--|--------||-|-⌫|---|
agrantfestea gr antba ud oire	|----|----||--⌫--|--⌫--⌫---|
conduiretedeusse et gra ntfoire	-------|-|-----|-|---⌫-|----|
n es misouffert que iebaise sse	|-|-|-------|--|-|-----⌫--|
m esfil zmesfillesnanbraces se	-⌫-|---⌫|--|-----||--------⌫-|
tua smul t sostemantou uré	-|-⌫|---⌫|--------|--⌫---|
orletepuis guer redonner	-|-|-|---|----⌫-------|
maisuostredieus medeffan di t	---|-----|----|-|------⌫--⌫|
hiermatinestetd ist ami	---|-------|-|-⌫--||-|
ga rdefis t	--⌫--|---⌫|
ilcontre iacob	-|-----|----|
l isoitned ire	-⌫|---|-|-⌫--|
atama inieraleruou loi es	|-|--⌫---|----|---⌫---⌫-|
e ta tonpereet desirroies	-⌫||--|---|-|---------|
ettumesdieu squiesti entdor	-|-|--|----⌫|--|----⌫--||-|
masamblélorsrespontiacob	|-|-----|---|------|----|
pource manfu ito urnés	---|-||-|--⌫|--⌫-----|
que detisouque taidouter	--|-|-|--|--||-|-----|
quetesfilles ne	--|--|-----|-|
merauisses	-|-------|
partaforc eetmetollisses	--|-|----⌫|-|-|--------|
sequetudisquetaia mblé	-|--|-|--|--||-|-⌫----|
ouil seronttro uué	-|-|-----|---⌫---|
deuan t tes	-----⌫|--|
freres so ittués	-----|--⌫-|----|
quieret ensierch e	----|-|--------⌫|
e ntour mo i	-⌫----|--⌫|
en t o u rles	--⌫-⌫-⌫-⌫|--|
miensce quilte	----|-|-|-|-|
sau oitq u e ust	---⌫--|-⌫|-⌫--|
rac helses dieusneforsbouté	---⌫--|--|----|-|---|-----|
etlabanuaetquiertsonor	-|----|-|-|-----|--|-|
entourla maignieiacob	-----|-|------|----|
on questrouuerlaians	--⌫---|------|-----|
entrefrachela p res an tra	-|---|-----|-⌫-⌫--|--⌫--|
cell elesoutreponnu	----⌫|-|---|------|
desouslestrainetdes us	-----||------|-|---⌫-|
auq uelquirantrach eladist	-|-⌫--|------|----⌫-||---|
b iausperesne te cou rr ecier	-⌫---|----|-|-|---⌫--⌫----|
carmaintenantl e uer	--|---------|-⌫-⌫--|
leuernemepuismaintenant	----|-|-|---|---------|
maladesui dun malmult grant	-----|--||-|--|---|----|
fanme ssuet auenir	-----⌫|---|-----|
ho nmen ou doitueir	--⌫--||-|---|---|
ainsismoq ualabanrachel	-----|---⌫-|----|-----|
iacobaluiuenusenest	----||--|----|-|--|
pourquelcourp e pou r que	---|---|-----⌫|---⌫|--|
m a nseustu et ma	|-⌫----|-|-|-|
maison qu ie rs	-----|--⌫--⌫-|
orme dis quetua s troué	-|-|--|--|-|-⌫|-----|
maisonquaisttienesté	-----|-|---|---|----|
deu ant mesfreresmest	---⌫--|--|-----|---|
lee npresent	-|-⌫|------|
si ensero ntenceiugent	-|-|----⌫-|-|-|-----|
pourceyy ansi e	---|-|-|--|-⌫|
et teschieuresett es	-|--|-------|-|-⌫-|
defoonner nedefaillist	-|------|-|---------|
te sharoisi e n aip as mengié	--⌫|-----|-⌫||-|-⌫-|------|
ne parb estesne danmaigié	-|--|-⌫----|-|---------|
se sun tmalmisesi	-|---⌫|-------||
esranderai	-|-------|
tureq u iroie sce demoi	-|---⌫-⌫-----⌫|-|-|--|
qu epar larresin	--⌫|--|-------|
p eri ssoit	-⌫---⌫----|
pariour par	--|---|--|
nuitet pa r chalou r	---|-|--⌫|------⌫|
ma ndestruioieetpar	|-⌫|---------|-|--|
demes i exsanfu ioitdormi rs	-|--|-⌫-||-|--⌫---|-----⌫-|
pa ryyans ains i s t	--⌫|-|--|----⌫-⌫||
pourtesfilles fuiyyans	---|--|-----|--|-|--|
et yypourtesber bisser uans	-|-|---|--|---⌫--|---⌫---|
y yfois m a sbaret é	-⌫|---||-⌫|-----⌫-|
et monloiersi	-|--|----|-|
seli dieusdisaac d	-|-|----||----||
n efust amoi deffand emans	-⌫|---||--|-------⌫----|
par au anturemeussestu é	--|--⌫-----||-----|--⌫-|
mai sdieusamoi a	---⌫|----||--||
laba n respontmi filmes	----⌫|------|-|--|--|
toutesmes choses ma ber gerie	-----|--|-----|-|---⌫----|
suntmieneset dema main ie	---|-----|-|-|-|----⌫-|
quantou tce distsisalie rr ent	----|--⌫|-|---|-||----⌫--⌫--|
e tla pa i sentr eus	-⌫|-|--⌫-⌫|---|--|
laband enuitsi seleua	----|-⌫|---|-|-|---|
e t sesanf enstrestousbaisa	-⌫|--|---⌫--|-------|----|
et lesbeneistsisanrala	-|--|------|-||-|---|
ensonpaiseten	-|--|---|-|-|
i acob ausis san uason erre	-⌫---|----||-|-|--|---|
liangredieul iuontencon t re	-|----|---|-⌫|---|-----⌫-⌫-|
quantilles	----|-|--|
uist oi e ́squilmo ntre	---|--⌫-⌫-|-|-|--⌫---|
ieuo ifai tilhaube rgerie	-|--⌫|---⌫|-|-----⌫-----|
ouhauberg ié	-|-------⌫--|
suntdieumainie	---|---|-----|
quequeiacoble leu aproch e	-----|----|-|--|------⌫|
ou sesfreresesaud emo re	-|--|-----|---|-⌫---⌫-|
messaiges enuoie deu ant soi	--------|-----|---⌫--|--|
aesauoudemour oit	|---|-|------⌫--|
silor a distet	-|--||---|-|
comman dé	------⌫--|
quasonfrere	-||--|----|
aient sipa rl é	----|-|--⌫--⌫-|
messiresests ilidirés	--|----|--|-⌫|-|-----|
que o ulaba niai demo r é	--|-⌫|----⌫||-|----⌫-⌫-|
i aibuesetasn es e t berbis	|-|---|-|---⌫-|-⌫|-----|
puce ll es et seriensausis	----⌫--⌫-|-|------|----|
amonsignou r ielesan uoi	|--|------⌫|-|--|--⌫--|
pou rq ueils oie ntaso i	---⌫|-⌫-|-|-⌫---⌫-||--⌫|
grac eetanmoursi	----⌫|-|-----|-|
pla i t ad e	---⌫-⌫||-⌫|
lim essaige uontet retou r nent	-|-⌫------|---|-|-----⌫-⌫---|
iacobainsisraco ntent	----|-----|----⌫----|
a esauuenimesuoir	|---|------|---|
ou il uientat oi	-|-|----||-⌫-|
esauencon treuosuient	---|-----⌫--|--|----|
oului quatrecenscheualiers	-|--|-----|---|---------|
q uan tiacob sou tqu a i n si suenoit	-⌫---⌫|----|---⌫|-|-⌫-⌫-⌫--⌫|-----|
sedo uté loutplus	-|--⌫---||--|---|
led o utoit	-|-⌫-⌫----|
doncordonn eenyyparties	---|------⌫|-|-|------|
etsesseriens etsamai nie	-|--|------|-|-|---⌫--|
caril cui doitquepour	--|-|---⌫---|--|---|
es auencontre luia ille	--⌫-|-------|--|-⌫---|
enmist sess eria ns	-|---|--|-⌫----⌫-|
e tpuislor	-⌫|---|--|
filset l oriume n s	---|-|-⌫-|----⌫-⌫|
p uis ordonne ensecont	-⌫--|------|-|-----|
lesfranchesgensetl esfilzdi eu	--|-------|---|-|-⌫-|---|--⌫-|
endarrienearrieregarde	-|-------|-----------|
lui e t sa fanmearrier eg arde	--|-⌫|-|----|------⌫|-⌫---|
queseesauuaintle spremie rs	--|-|---|----|--⌫|------⌫-|
autres fuissentarri er	-----|-------|----⌫-|
poursauuementetpourg arir	---|--------|-|---|-⌫---|
que esa unes puitenuair	--|---⌫||-|---|-----|
puis dis t chasc umormantandé s	---|---⌫|-----⌫-|-||--------⌫|
seuosmo n frereencontrés	-|--|--⌫|----|---------|
etuosdem a n deacu i cees t	-|--|---⌫-⌫-⌫-||--⌫|-|--⌫|
e tces bestes et	-⌫|--|-----|-|
cistharnes	---|-----|
se sunt iacob se resau	-|---|----|--⌫|---|
etnosser i ent	-|--|---⌫-⌫--|
sonmesalui	-----||--|
iac ob dieu s d	---⌫-|----⌫||
etdisaacamoienten	-||----||--|----|
et q uimefaiso rretourner	-|-⌫-|-|---|-⌫|--------|
enlate rredon iesui snés	-|-|--⌫--|--|-|---⌫|---|
et mepromeisquetuau eroie s	-|-|------|--|-|--⌫-----⌫|
pie tiede moibienmefer oies	---⌫--|-|--|---|-|---⌫---|
aciasbienem pli	|-|-|---|--⌫--|
tu sessireq ue	-|--|---|-⌫-|
passai c i	-----|-⌫|
lefluniourda in oumonbat on	-|---|------⌫-|-|--|---⌫-|
toussous s ire sim anretour	---|---|-⌫--|-||-|-----|
con yyconpai gniesg rignour	--|-|------⌫----|-⌫------|
del i ure moi des mains mo n frere	---⌫-⌫--|--|--|----|--⌫|----|
desapuiss ancebiau sdous peres	-|-|-----⌫---|----⌫|---|----|
ce rtes cari ele	--⌫---|--|-⌫|-|
dousg ranmant	---|-⌫------|
u enranesoit	-⌫---|-|---|
etla mereout ous	-|-|---|-|-⌫--|
le sanfens	--⌫|-----|
t u med eis qu ebienmef e ro ies	-⌫|-|-⌫--|--⌫|---|-|-⌫-⌫--⌫--|
e tma l ignieacroiteroies	-⌫|-|-⌫----|-----------|
grauelled e	-------|-⌫|
qu enuns homs nepourroitnombrer	--⌫|---|---|-|-------|------|
cumcellen uiteu st do r mi la	--|----|-⌫--|--⌫-|--⌫-⌫-|-|
dece que outsideceur a	-|-|--|--|-|------⌫|
yychieuresouc e	-|-------|-|-⌫|
yyberb isy you t	-|----⌫-|-⌫|--⌫|
yych amousoule s faons	-|--⌫----|-|--⌫|----|
quara nte uai ch es	-----⌫--|---⌫--⌫-|
y ythoriax	-⌫|------|
yyan essesyyfaon n iaus	-|--⌫----|-|----⌫-⌫---|
c hacun e bergerieenuoie	-⌫-----⌫|-------|-----|
parcesser ge nsprai nt	--|--|---⌫--⌫-|----⌫-|
etpuis acesenfansad ist	-|---||--|-----||-⌫--|
alé sfa itilt uitde uan tmi	----⌫|--⌫-|-|-⌫--|--⌫---⌫|-|
une grantespac esoitfaite	--|----|-----⌫|---|----|
e ntre be steetbestepourtrai te	-⌫---|--⌫--|-|----|--------⌫-|
et au premieraconmandé	-|-|------||--------|
se esaua s	-|---|-⌫|
ancontr e ́	-------⌫-⌫|
quiestfreres ettedemande	--|--|-----|-|-|------|
quiieso u uasquelparttauance s	--|--|-⌫|--|---|---||------⌫|
cuisuntc eschosesquit anseuen t	--|---|-⌫-|-----|--||-------⌫|
ia cob ton se raie s respondu	--⌫--|--|--⌫|---⌫|-------|
a esauses don senuoie	|---|--|---⌫|-----|
monseignour que s praingelipro ie	--|-------|-|-⌫|------|-|---⌫-|
ap res nosuient	--⌫--|--|----|
c esman demens	-⌫-|---⌫-----|
distau secons austierssuans	---|-|-----|--|----|----|
etatous ceus qu im en ant	-||---|---|--⌫|-⌫--⌫--|
sa bergerie	-|-------|
ainsisdisans	-----|-----|
aesauainsis	|---|-----|
seletrouu é setadiouté s	-|-|-----⌫--⌫|-|--------⌫|
te ss eriansiacob ici uient	--⌫|-⌫-----|----|--|----|
qui a presnos	--|-⌫---|--|
nosse ut etuient	--|--⌫-|-|----|
mo n fr ereieapaisa n te r ai	--⌫|--⌫--|-|------⌫-⌫--⌫-⌫-|
parces d onsqueie lidonrai	--|--|-⌫--|--|-|-|-----|
d ebon naire letrouuerai	-⌫----⌫----|-|--------|
deua nt lui dons en uont	----⌫-|--|---|-|---|
etau matin sis estleués	-|-|----|-||--|-----|
ses yyfanmes ena mené	--|-|-----|-||----|
autant pucellesou	-----|-------|-|
legueiacobpas sei l	-|--|----|---⌫-|-⌫|
quantil outtou toutremené	----|-|--|---⌫|----|----|
sous demou rad esa	---|-----⌫-|-⌫--|
z zang re a ai nq uitro ué	-⌫|---⌫-||--⌫--⌫-|---⌫--|
ac uiilaluiteliuré	|-⌫-|-||----|-----|
iusque liiours fu ai ourne ́s	-----|-|----|-|--⌫-----⌫-|
quantuo itlangres n	----|--⌫-||-----||
ou s ormontra	-|-⌫-------|
ennersdecuiss el asena	-|---|-|-----⌫||----|
laquextan tostsere traita	-|---|---⌫---|-|--⌫-----|
liang res dist	-|---⌫--|---|
lais semaler	----⌫-||---|
laubeio ur neeiaape r tcler	|---|--⌫--⌫--|-|---⌫-⌫|---|
beneiss onnemou ueras	-------⌫-|-|---⌫----|
l angresadistqueln o n	|-----||---|---|-⌫-⌫|
nonsa resp ond u	--|||----⌫---⌫|
iacobneserasplusn o nmés	----|-|----|---|-⌫-⌫----|
maisisr aelquestuerites	---|---⌫--|-|--|------|
quiuaut autan tcom c ilqu iuoit	--|---|-----⌫|--|-⌫-|--⌫|---|
nostresignouret ap arso it	-----|------|-|--⌫----⌫-|
sancontred ieuasforse s te ́s	|-------|-⌫--|-|---|-⌫-⌫--⌫-|
con trelesho nsl	---⌫--|--|--⌫-||
ies plus asse s	--|---|----⌫|
distdimoi ton non	---|-|--|--|--|
po urcoilequiersicilrespont	--⌫-|--|-|-----|---|------|
mesnonsciest	--|---|-|--|
mult m e ruilla b les	---|-⌫-⌫------⌫-⌫--|
ia a neluin	-||----||
iert que noissables	---|---⌫---------|
ietebeneibeneis	-|-|----|-----|
qu ancontre moimul tfortestoie s	-|-------|--|---⌫|---|------⌫|
iacobice l eu apela	----|--|-⌫-|----|
phamuel quiautant uaura	------|--|-----|----|
dieu sa paru a	----⌫|-⌫---||
faceafaceiea i ueu	---||---|-|-⌫|--|
sau uee estm arme ence lleu	---⌫--|--||---|-|--⌫|--|
etlisoulausleuas us terre	-|-|------|---|-⌫-|----|
iac ob sanuaboiteusde sse rre	---⌫-||-|-|------|--⌫---⌫--|
pourlaquel choseiuerie	---|-|---|----|-----|
de ners pour c ene man iust mie	-|---|---|-⌫|-|---⌫---|--|
pouriac ob	---|---⌫-|
quo ut cuissebr isie	-|-⌫-|-----|--⌫---|
iacobleuacesiex	----|---|--|--|
aluiuenoit	|--|-----|
quat re cens h o nsqu ou	----⌫-|---|-⌫-⌫-|-|-|
ad euis é eny ypa rties	|-⌫----⌫-|-|-⌫|--⌫----|
les anfa nsdeces	--|----⌫-|-|--|
yypuce lles	-|----⌫---|
misesses yy ance lles	----|--|-|----⌫---|
anfansd eu a nticelles	-----|-⌫--⌫-⌫-|------|
e nleu fait aler	-⌫|--|---|---|
lyam apr es sesfilsester	---|---⌫-|--|---|----|
endar r ienle uamisrachel	-|---⌫-⌫--|--⌫||--|-----|
luiet son fila pres iosep	--|-|--|--|-⌫---|----|
yyfoi scestpuisag eloign iés	-|---⌫||--|---|--⌫------⌫---|
ius que e sau ces taproch iés	---⌫--|-⌫--||--⌫|------⌫---|
aprocha a iacob	------||----|
etl amb rass a parmei	-||---⌫----⌫|-----|
et lebai saa p l or er	-|-|---⌫-||-⌫-⌫--⌫-|
leuasesiex	---|--|--|
etpuissi uit	-|---|-|--|
lesfa nmes	--|--⌫---|
etlorp etis filz	-|--|-⌫---|---|
qui sunt i cild istesau	--|---|-⌫--|-⌫--|---|
atienentnouc elertu	-------||-|-⌫---|-|
i ac ob resp ontsuntmianfan t	-⌫--⌫-|----⌫--|---|-|-----⌫|
quadieusdonné	-||----|-----|
moi tonseriant	--|--|------|
l espucelles s anaprocherre nt	-⌫-|-------||-|----------⌫-|
dou ss i lancliner r ent	---⌫|-⌫||--------⌫-⌫--|
lya i uin t etpuis si	--||---⌫|-|---|-|
s a oure rrentesau	|-⌫----⌫----|---|
etaud a rriensiuint	-|-|-⌫-⌫-----||---|
esa udistquewelt sedire	---⌫|---|--|---|-|---|
quecestou rbes a moisanclinent	--|--|---⌫---||--||--------|
po ur cel ai	--⌫-|-||-|
faitiacobadi st	---|----||--⌫-|
quegr acetruisse	--|--⌫--|------|
quiies messiresetanmo ur	--|--|--|----|-|----⌫-|
esau dis tieanai	---|---⌫|-|-|-|
choses frere	-----|----|
que tunen as	--|-||-|-|
ainsismeplaitlestien esaura s	-----|-|----|--|----⌫-|----⌫|
ha sirec eadistiacob	-|---|-⌫||---|----|
ainsis n pas biau ssireor	-----||--|----⌫|---|-|
m ais sanmo uraitrouéa	-⌫--||----⌫-|-|-----||
mespe tisdon s	--|--⌫--|---⌫|
pren és iou proi	----⌫--||-|---|
telletafaceamoiap ert	----|-|---||--|--⌫--|
c on cedieuueisseen	-⌫-|-|---|-----|-|
debonnaire ssoi esamo i	----------⌫|---⌫-||--⌫|
pr an l a b enei sson q uet	--⌫-|-⌫|-⌫----⌫---|-⌫-||
etcele ique	-|----⌫|--|
d ieusmedonna	-⌫---|-|----|
quan ttouta moi abandonna	----⌫|---||--|--------|
quan t esau li	----⌫|---|-|
oitce dir e	--|-|---⌫|
respon s ne pouo itdire	------⌫|-|----⌫-|---|
touteuoiesdi st otoiirai	---------|--⌫-||--|---|
etconpai n s detauoieser ai	-|------⌫-⌫|-|-|---|---⌫-|
iaco b distsir ebienquenois	----⌫|---|---⌫|---|------|
pet isanfansaieaue cm oi	---⌫-|-----|--|---⌫|-⌫-|
quisunttanre buesetberb is	--|---|----|---|-|----⌫-|
et lor faonsuntauecm i	-|--|---|---|---|-⌫|
seie l es fasplus	-|-|-⌫-|--|---|
quene suellentsans	--|-|-------|---|
toutenzziouruerr aimorrir	---|-|-|---|----⌫-|-----|
maberg eriesans fai llir	-|----⌫---|---|---⌫---|
deua ntsonser uo i ssem essire s	----⌫-|--|--|--⌫-⌫--|-⌫-|----⌫|
ie l anseurraisan s c on tredire	-||--------|---⌫|-⌫--⌫------|
ain sis m est uet aler petit	---⌫--||---⌫--|---|----|
al er me spe tisfilz	--⌫-|--⌫|--⌫--|---|
sey rouie uanrai	---⌫|-|-|-----|
omo n signou retpa llerai	|--⌫|------⌫|-|--⌫-----|
esau respontor teproi	---|------|-|-|---|
quede monpuepleu oit	--|-|--|-----|-⌫--|
quisoientaumains	--|-----|-|----|
ticon pai gnon	-|---⌫---⌫---|
iaco b respon t	----⌫|------⌫|
sirebesoin ienanai pas	---|-----|-||-|-|--|
caramouraitroué etgras	--|----|-|-----|-|---|
esaue nseird em oure	---|-⌫|---|-⌫--⌫---|
etiaco bensocohtla boure	-|----⌫|-|-----|--⌫----|
maisonifist	-----||---|
tres ita ndist	---||--⌫----|
soc ohtapellele l euet dist	---⌫--|-----|-|-⌫-|-|---|
sa lemtresp assa	--⌫--|-----⌫---|
d echanaanlad emoura	-⌫|------|-|-⌫-----|
emorh etach eta	----|-|---⌫--|
zzchampyya igniaxlordonna	-|----|-|-⌫-----|--|----|
et zzautel ainqui dres s a	-|-|----|-----|----⌫-⌫|
etnost resignourapela	-|----⌫-|------|----|
f il lelye	-⌫--⌫-|--|
sa n es tissuepour	|-⌫|--⌫|----|---|
lesfanmes dan sans	--|-----|---⌫---|
sichenl auoitsilarauit	-----|-⌫|---|-|-|----|
et s auirginiteli ost e	-|-⌫|--------|-|---⌫|
etlirauitsicon	-|-|----|-|--|
s el isanbloit	-⌫|-⌫|-------|
pourceque filzau	---|-|--|---|-|
princee stoit	-----|-⌫----|
decepai sou celle alo it	-|-|---⌫|-|----|---⌫-|
tantlablanchi ttantl al os ange	---|-|-------⌫|---|-⌫|-⌫--⌫---|
quesauierginite lifrang e	--|-|---------|-|-----⌫|
aso nper esa nua	|--⌫|---⌫||-⌫|-|
cestepuce l lecardonnea	----|----⌫-⌫-|--|----||
afanme quantiacobloi t	|----|----|----||--⌫|
qu e sa fill eout fait	--⌫|-|----⌫|--|---|
s e sfilzfaillanssi setut	-⌫-⌫|---|-------|-|-|--|
si files tientenpait ure	-|--|--⌫----|-|----⌫--|
sise tutcoisi us q ue ifurent	-|-|--|---|-⌫--⌫-⌫-||-----|
etl i peressi c henemorht	-|-⌫|----|--⌫-⌫--|-----|
pourpa rlersan	---|--⌫---||-|
uint a iac ob	---||---⌫-|
pourcequeildonn at	---|-|--|-|----⌫-|
fa nme acelui	--⌫--||----|
qui lah o nnie	--|||-⌫-⌫---|
et emorhtaiacobparloit	-|-----||----|------|
maignie descha nsuenoit	------|--|---⌫-|-----|
oi rentde lorsuer	--⌫---|-|--|---|
elleauoitfaitdo uleur	---|----|---|--⌫----|
sienfur enttrescourecié	-|-|---⌫--|---|--------|
deceq uelle	-|-|-⌫|---|
outfait telpe ch ie	--|---|--|--⌫--⌫-|
d e cel ui q ui	-⌫|---⌫-|-⌫-|
del orlignie	-|-⌫-|-----|
pource cestec hosepuoit	---|-|----|-⌫---|----|
en israelne n elaissoit	-|-----|-|-⌫|-------|
qu efanmef u sti aes pousee	--⌫|----|-⌫-⌫-|-⌫|--⌫-----|
sedel a loin	-|-|-⌫|--||
estoitiudee	-----|----|
e mo rhtdonque sa eus parla	-⌫--⌫--|------⌫||--|----|
sichenmesfilzuiolee	-----|--|---|-----|
uostrefillepo urcea f anme	-----|----|--⌫-|-||-⌫---|
d enezetsiert	-⌫---|-||---|
et sifa iso ns dorenauant	-|-|--⌫---⌫-||-|-|----|
nosma riaigestou s ensan s	--|--⌫------|---⌫|-----⌫|
ba il l iésuosfilles afilz	--⌫--⌫-⌫---|--|-----||---|
l esraientde	-⌫-|-----|-|
sid emore ́s	-|-⌫-----⌫-|
cultiuésl aetlafuiez	--------|-⌫|-|-|----|
e tla tenéssire	-⌫|-|-----|---|
maissichen siad ist au	---|-----|-||-⌫--|-|
iacobau sis	----|--⌫--|
anmourietrouerai	-----|-|-------|
etqueuou lréset	-|--|---⌫----|-|
iedo nr ai	-|--⌫--⌫-|
son douaireli	--|------|-|
acro issi és	----⌫----⌫--|
demandés dons etesf or ciés	--------|---|-|---⌫--⌫----|
tropuoula ntiersie	---|-----⌫-----|-|
uo sdonrai	--⌫|-----|
quedeman drésmais quei	--|-----⌫----|----⌫--||
tant soulement	---|--------|
cestepuce lle	----|----⌫--|
afanme caramoip lait ell e	|----|--||--|-⌫---|---⌫|
lifil iacob resp ondent lors	-|--|----|----⌫-----|---|
asichenet auper e emorth	|-----|-|-|---⌫|-----|
par grantba ratetparuoidie	--|----|--⌫--|-|--|-----|
pourqueauie n tgr an tdesuerie	---|--|----⌫-⌫|--⌫--⌫|-------|
d elo r suer	-⌫|--⌫|---|
qu iesto ithonnie	--⌫|----⌫-|-----|
cestechosenepou ons faire	----|----|-|---⌫--|----|
qu edemandés nenepuetpla ire	--⌫|--------|-|-|---|---⌫--|
nenostre su er ia	-|-----|--⌫-|-|
ne donrons	-|------|
nelui quinacirco n si son	----|--|||-----⌫-⌫--⌫--|
gransdel oiaut es a no ss eroit	----|---⌫-----⌫-||--⌫|-⌫----|
sen ostre suernush on s auoit	-|-⌫----|---|--|-⌫--⌫|----|
quinecultiuoitnostreloi	--|-|--------|-----|--|
mai sence noslieronsauo s	---⌫|-|-|--|------||--⌫|
se u osfaitescequ e	-|-⌫-|-----|-|--⌫|
s enosamblanceuou lés	-⌫|-|--------|---⌫---|
etcirconcis a nostrelo i	-|--------||-----|--⌫|
afanmeuosfille sp anrons	|----|--|-----⌫|-⌫-----|
eta uos uos t r esn o smellerons	-||--|---⌫-⌫-⌫-|-⌫-⌫|--------|
