etuosseruoi eparchans	-|--|------⌫|--|----|
prenn ent lesmaussifierent	-----⌫--|--|---|-|------|
lesfonzhor s	--|---|---⌫|
espe estrait essaillentdestonneausf ors	----⌫-|-----⌫-|-------|--|-------|-⌫--|
mo nioieescrient p ar merueilleusesfors	--⌫----|-------|-⌫-|----------|-----|
i aiau r adesna u réetdes mors	-⌫||--⌫-⌫|--|--⌫-⌫--|-|--|---|
uas sal fu rent des tonnea ush ors	---⌫--|--⌫---|--|------⌫-|-⌫--|
parmilesrue ss enuien en t	----|--|---⌫||-|----⌫--⌫|
li estorsfuetmerueilleuset	-|-----|-|-|----------|-|
etl abata ill eetor rib leet	-|-⌫|----⌫---⌫|-|--⌫---⌫-|-|
qua ntxm uirentli	---⌫-|-|-----|-|
cuiue rt soduant	-----⌫-|------|
que xmfurentsi fier etcombat ant	--|-|-----|-|---|-|------⌫--|
asarmes corentlicuiuertsodu ant	-|----|-----|-|------|----⌫--|
paiensadoubent maint	----||-------|----|
etcom m unement	-|---⌫-⌫------|
enlormesonseten lormandemant	-|--|-----|-|-|--|--------|
por elsde ffendrese	--|--|--⌫------|-|
uon tapar eillant	---⌫|----⌫------|
deshostea usissent leses custrezauant	--|------⌫-|-----|--|--⌫--|---|----|
zz graille	-|------|
sonentsise uon traliant	-----|-|-|---⌫|------|
atan tezuoszz ch eualie ruaillant	----⌫|-|--|-|--⌫------⌫|-------|
del a mesnieguielinlepoissant	-|-⌫|-----|------|-|-------|
lenloramainelordestriersauf erran z	--|--|-----|--|--------|---⌫-----⌫|
etcilimontent	-|--||------|
tos te tisn elemant	---⌫|-⌫|---⌫------|
a lor cospendentle sforsescuspes ant	|--|--|------|--⌫|---|----|---⌫--|
enlor poi nzprenne ntlesfor z espieztranchanz	-|--|---⌫-|------⌫-|--|---⌫|-----|--------|
se uon t ademetant	-|---⌫|--------|
monioiees crien tetderriereetd eu ant	------|--⌫-----⌫|-|-------|-|-⌫--⌫--|
cilpo rlor	--|--⌫|--|
uieseuontbie ndeffendant	--|-|---|---⌫|---------|
quelacitee rt	--|-|---|-⌫-|
pu eple ed egent	--⌫----⌫|-⌫|---|
lauei ssiez	-|---⌫----|
einsigr ant	----|--⌫--|
tanthantefraindresor	---|----|-------|--|
l esescus p esanz	-⌫-|----|-⌫----|
etde sma illier ta nthaube rtiazerant	-|--⌫---⌫-----|--⌫-|-----⌫-|-------|
tantxms trebuchiermor tsa n glan t	---|--|---------|---⌫|--⌫-⌫----⌫|
malsoitdecelque n	--|---|-|--|-|-⌫|
esch apa stui uant	----⌫---⌫-|--⌫---|
quetuitnesoientenlaplace morant	--|---|-|-----|-|-|----|-----|
toutelate rre estcouu ertedes a nc	----|-|--⌫--|--|----⌫---|-|-⌫-⌫-|
o transsentornen	-⌫----||-|----||
li estorz fuet	-|-----|-|-|
merueil l euse tfo rs	-------⌫-⌫--|-⌫|--⌫-|
fierentdes pe esetde s	------||--⌫--⌫-|-|--⌫|
espiezgranzcops	-----|----|---|
otr ansen fuit quepaora	---⌫-||-|---|--|---||
licuensxmle	-|----|-|-|
suitmo l t pres audos	---|--⌫-⌫|---|-|--|
sile retintp ar le ma n tel	-|-|-----|-⌫-|-|--⌫-⌫--|
puis liadisthautemant a yymoz	---|-||---|--------||-|--|
seztuotrandequel gents uipreuoz	--|-|----|-|---|---|-⌫-|-----|
decelegent qui	-|---|---|--|
en dieunontcon fort	-|---||--|---⌫---|
q uantl espui sprandre aho nte uit	-⌫---|-⌫-|---⌫|------||--⌫--|--|
saches p or uoir	-----|-⌫-|---|
uenuzesa tamort	----|-||-|---|
xm alachiere	-||-|-----|
otran f el r ois	----|-⌫-|-⌫--|
damedetemaldie	-----|-|-----|
se tucreoies	-|-|------|
l efil saintemari e	-⌫|--|-----|----⌫|
serag arie	---|-⌫---|
etsen elfezceteiur et	-|-|-⌫||--|-|-|--|-|
d e celetestenen	-⌫|---|----||-|
porterastu	-------|-|
totpo r m ah omquineuautune	--|--⌫|-⌫--⌫-|--|-|---|--|
et ditotrandece	-|--|----|-|-|
nesai qu edie	-|--|--⌫|--|
tant enfera i quant mescuers enoutr ie	---|-|----⌫|----|--|----|-|----⌫-|
parx m ceneferaigem ie	--|-⌫|-|-|----|-|-⌫-|
dieucroie etma loideguerp isse	---|----|-|-|--|-------⌫---|
otle xma poun enrage d ir e	-|-|-||--||-----||--⌫|
toz lesdegrez c ontreualle train e	--|--|-----|-⌫-------|-|-----⌫|
lifran c l euoie nt	-|----⌫|-⌫|----⌫-|
s ilipristrent a di re	-⌫|-|--------||--⌫-|
fra ncoissescrientotranq ue	---⌫----||-------|----|-⌫-|
po rquoiauras	--⌫|---|----|
y yiorzrespitdem ort	-⌫|---|-----|-|-⌫--|
li cuens xm sescriaaesfort	-|----|-||-----||-----|
yydazhaitquil enpri erat rop	-|------|--||-|---⌫--|-⌫--|
par zzd es	--|-|-⌫-|
estreslauoient l anciéfors	-----||------|-⌫-----|---|
ainzqu ilueni st a t errefu ilmo rs	-----|-|----⌫-||-⌫---|-|-|--⌫-|
etapre s lu iengiterent y yhors	-|----⌫|--⌫|-|-------|-⌫|---|
qui o nt brisie zet lesbraz	--|-⌫-|------⌫|-|--|---|
or ontfran coi s laciteaquit ee	-|--|----⌫---⌫|-|---|-----⌫-|
l eshautestors	-⌫-|-----|---|
e t les sale spauees	-⌫|--|----⌫|-----|
uinetfrom e ntaplenteitr ouerent	--|-|----⌫-⌫-||-----||--⌫------|
deuanty ya nzne	-----|-⌫|-⌫-|-|
seroitafamee	-----|-----|
nene ser oi t	-|-|---⌫--⌫|
li yy baronqui asten tesremestrent	-|-|----|--|-|---⌫--|---------|
suselpales zzolifantsonerent	--|-|----|-|------|-------|
quel ont oi nozgen zqu i	--||--|-|--|---⌫|--⌫|
horsremestre nt	---|--------⌫-|
tan totmonterentsan znule demoree	---⌫--|--------|---⌫|---|------|
des i anym esni on tfetareste e	---⌫||---⌫-|||--⌫|--|------⌫|
quant iliuinrent	----|-||------|
siontioie mene e	-|--|---|----⌫|
etli uil a in q uiapres senale rent	-|-|---⌫-⌫-|-⌫-|----||-|---⌫---|
lorb uesdema nderent	--|-⌫--|----⌫------|
xms ontlie z quipasne lo ruaierent	-|-⌫--|---⌫|--|--|-|--⌫|-------|
ain z n enpardiren tuaillantune	---⌫||-|--------⌫|-------|--|
quias sezbi en	--|--⌫--|--⌫-|
n e lor fustrestor ee	-⌫|--|---|------⌫-|
ce oren ti lgrant soldee	-|----⌫|-⌫|----|-----|
il senr eparent arrier eenlor	-||-|-⌫------|------⌫|-|--|
tr espar mi f rance en uetlare nommee	--⌫-|---⌫-|-⌫----|-|--|-|--⌫-----|
li cuensxm a nymesaquitee	-|----|-||----|------|
a roisloo y s laparole est contee	|---|---⌫-⌫|-|-----|--|-----|
liroislente ntgr an t ioieen	-|---||----⌫-|--⌫--⌫|---|-|
aoree tmar iesa mere	---|-⌫|---⌫-|-|---|
